0100000007	Ts'etta
091f0d0094	Qiyğale xhinnee manbışe, mane mayitbışike axuyn bark'vbı sı'ı, Yaveşeene tamarisk yivek avud k'eyxha. Coyud yighılle yiğna sivar aqqaqqa.
0a0000000b	2 Şamuelin
0a01010079	Şaul qik'uyle qiyğa, Davud Amalekbışile ğamxha siyk'almee, mana Tsiklageeqa qarayle. Ma'ar mana q'ölle yiğna axva.
0a010200d7	Xhebıd'esde yiğıl Şaulne zastaveençe sa insan arayle. Mang'vee culqa abına ver haagvasva tanalinbı qıt'axxa'a, vuk'ulelqa nyaq'v kyaa'a. Mana insan Davudusqana qarı, mang'une ögiyl ç'iyelqamee k'yoyzarna.
0a01030083	Davudee mang'uke qiyghanan: – Nençene qöö? Mane insanee eyhen: – İzrailyne zastaveençe hixu, zıcar zı g'attixhan hı'ı.
0a010400e7	Davudee mang'uk'le eyhen: – Maa'ad hucoona ıxha? Hucoona ixhes, zak'le eyhe. Mane insanee eyhen: – Eskerar dəv'ə əlyhəəne cigeençe heepxıynbı, con g'ellesınbıb hapt'ıynbı. Şaulıy cuna dix Yonatanıb hapt'ıynbı.
0a01050064	Davudee cus xabar abıyne insanıke qiyghanan: – Şaulıy Yonatan hapt'ıva vak'le nençene ats'a?
0a010600cb	Mang'vee Davuduk'le eyhen: – Mane gahıl nəxüdme ıxha, zı Gilboayne suvaliy. Zak'le maa'ar cune nizeyk qirzıl Şaul g'acu. Balkanaaşil aleepxıynbıyiy dəv'əyn daşk'abıd mang'usqayiy hiyxhar.
0a01070063	Şaul yı'q'əlqa sak'ı ilyakkımee, zı g'acu mang'vee onı'ıyn. Zı mang'uk'le «Hooyva» uvhu.
0a01080064	Mang'vee zake qiyghıniyn: «Ğu vuşune vor?» Zınad mang'uk'le, «Zı Amalekbışda vorva» uvhu.
0a01090076	Şaulee zak'le uvhuyn: «Zasqana qıxha, zı gik'e. Zı sakaratee vorna, zas ine ık'arbışike g'attixhanas ıkkan».
0a010a00e6	Zı mançil-alla mang'usqa qıxha, mana g'ik'una. Zak'le ats'anniy, mang'usse avur axuyle qiyğa, ı'mı'r haa'as vəəxəs deş. Qiyğa zı mang'une vuk'lelin taciy xılelin lexa g'ayşu, inyaqa yizde xərıng'unemee, vasqa adı.
0a010b005a	Man g'ayxhımee, Davudeeyiy cune k'anenbışe ts'ıts'ı'ı colyun tanalinbı qıt'axxa'a.
0a010c00c0	Manbışe Şaulnemee, mang'une dixene Yonatannemee, gırgıne Rəbbine milletnemee exhalilqamee ak' avqu. Manbışe gyaaşe-gyaaşe sivar aqqaqqa, geebınbı g'ılıncıke alğav'u gyapt'ıva.
0a010d00ab	Davudee, cus mana xabar abıyne mek'vung'uk'le eyhen: – Ğu nençenane vor? Mang'vee alidghıniy qele: – Zı menne cigeençena vor, zı Amalekbışde sang'una dix vor.
0a010e006b	Davudee mang'uk'le eyhen: – Nəxürne ğu qı'dərq'ı'n Rəbbee g'əyxı'ng'ulqa gik'asva xıl g'ott'ul?
0a010f00dc	Ğu gik'uyna bınah val vob! Ğucad, yiğne ghalika, gardanaqa alyaat'u, «Zı Rəbbee g'əyxı'na paççah gik'uva». Davudee cune insanaaşina sa qort'ul eyhen: – Hoora, mana gik'e. Mang'veeyir ı'xı' mana g'ek'ana.
0a01110045	Davudee, Şaulneyiy cune dixene Yonatanee ak'ee ina mə'niy qəpqı'.
0a0112007f	Qiyğab mana «Vukuna mə'niy» Yahudabışik'le xəp quvxheva əmr haa'a (mana mə'niy «Qorkuyng'une kitabee» opk'un vobna):
0a01130063	İzrail, yiğna xəbvalla, yiğnecab axtıne cigabışee güvk'una. Nəxbın cehilyar hapt'ıynbı!
0a011400aa	Filiştinaaşin içer şadmeebaxhecenva, Sunnat hıdyav'uynbışde içeeşe bayrambı hıma'acenva. İn Gatee ats'axhxhıma'a, Aşkelonne şahrabışee mançina hımaa'a.
0a011500c3	Gilboayn suvabı, Şolqa çiyiy gyoğıy hasre mexhecen, Vuşde q'adaalybışee hasre şagavıd ılymaylecen. Maa'ad cehilyaaşiniy Şaulun g'alxan g'eliqqa huvu, maa'ad çilqa q'ış qıdyadğu.
0a0116008e	Gyapt'ıynbışde ebake, gucnanbışde tanıke, Yonatanın vuk yı'q'əlqa siyk'alan deşdiy, Şaulunıd g'ılınc idyats'ı qadaylen deşdiy.
0a011700a3	Şaulıy Yonatan, şu üç'übnang'a manimee vukkananbı, yugunbı vuxha. Habat'ameeyib cureepxha deş. Şu q'aacirıleb ek'ınbı, Aslanaaşileb gucukanbı vuxha.
0a011800a0	İzrailin içer, Şaulnemee gyaaşe! Mang'vee şolqa ç'ərəxən, gıranın tanalinbıniyxhe alya'anbı. Tanalinçılqad k'ınəğəyken karbıniyxhe qa'anbı.
0a0119005b	Siç'ookkane cigee nəxbın cehilyar hapt'ıynbı! Yonatan şene axtıne tepabışil qik'u.
0a011a009a	Yizda çoc Yonatan, yiğnemee yizın yik' gyotxhan. Ğu yizdemee, geer gıranra ıxha. Yiğın zı ıkkiykıniy, yedar vukkiykıniyle zı ooqaniy aqqaqqa.
0a011b003c	Nəxüb cehilyar hapt'ıynbı! Dəv'əyn silahbıd aguynbı!
0a020100cf	Sabara gah ılğevç'uyle qiyğa, Davudee Rəbbike qiyghanan: – Zı Yahudayne nenemecar şahareeqa hak'nene? Rəbbee eyhen: – Hak'ne. Davudee qiyghanan: – Nyaqane hak'ne? Rəbbee eyhen: – Xevroneeqa.
0a02020083	Davudur maqa cune q'öyursana xhunaşşeyka hayk'anna: İzre'elyğançena Axinoamır, Karmelyğançena Navalna sip'ıriy Avigailer.
0a02030082	Davudee cukan insanarıb cone xizanbışika Xevronqa qabı, mançine hiqiy-allane şaharbışee manbışis aaxvasın cigabı hele.
0a020400b4	Yahudayeençen insanar abı, Davudulqa q'ış qadğu, maa'ar mang'uke Yahudayne nasılına paççah ha'a. Maa'ad Davuduk'le uvhumee, Şaul Gileadeene Yaveşne milletın k'eyxhıva,
0a020500e2	Davudee maqa cun insanar g'uxoole. Mang'vee cune insanaaşik'le eyhen: – Maane milletılqa in yizın cuvab hixhar he'e: «Rəbbee şos xayir-düə hevlecen, vuşda xərna eyxhene Şaulus, şu yugvalla hav'u, mana k'eyxhıva.
0a02060082	Hasre mane vuşde işil-alla Rəbbee Cuna badal dyooxhena yugvalla şos haagvecen. Zınad mane vuşde işil-alla şos yugun ha'as.
0a0207008b	Vuşda xərna eyxhena Şaul qik'uva şu həşde xıleppı avqa qıma'a, it'umba ulyoozre. Yahudayne nasılen, cosda paççah zake hı'ı».
0a0208007e	Şaulne g'oşunbışde q'oma ulyorzuling'vee Nerne dixee Avneree, Şaulna dix İşboşet cukasana Maxanayimeeqa qıkkı ıxha.
0a02090094	Maa'ar Avneree mana Gileadne, Aşuriyne, İzre'elyne, Efrayimne, Benyaminne cigabışee vooxhene insanaaşde – gırgıne İzrailyna paççah ha'a.
0a020a00bc	Şaulne dixeqa, İşboşetıqa, İzrailyna paççah ıxhayng'a yoq'ts'al senniy vod. Mang'una paççahiyvalla q'ölle senna ts'ıts'avxha. Yahudayne nasılınmee, Davudun sura aqqı ıxha.
0a020b005e	Davudee Xevronee, Yahudayne nasıles paççahiyvalla yighılle sennayiy yixhıble vazna hav'u.
0a020c0075	Yiğbışde sa yiğıl Nerna dix Avner, Şaulne dixene İşboşetne insanaaşika Maxanayimğançe Giveoneeqa hayk'an.
0a020d00f0	Tseruya donane zəiyfayna dix Yoavmee, Davudne insanaaşika Giveonusneene xhyan sadıyne cigaysqa, manbışde ögiylqa qığeç'e. Yoav cune insanaaşika xhyan sadıyne cigayne sa aq'val, Avnerır cune insanaaşika – manisa aq'val giy'ar.
0a020e0086	Avneree Yoavık'le eyhen: – Havaasre mek'vunbı suğootsu, yişde ögiyl saç'ivkvecen. Yoaveeyid eyhen: – Havaasre saç'ivkvecen.
0a020f0099	Şaulne dixene İşboşetne sural sıç'ookvan Benyaminaaşin mek'vunbı qəpqı'mee, yits'ıq'vəyre insan eyxhe. Davudne suraler yits'ıq'vəyre eyxhe.
0a021000bd	Manbışe sana-sananbı vuk'ulbışike avqu, g'ılıncbı hiyxə. Manbışin gırgınbı habat'anbı. Mançil-allad Giveoneene mane cigayk'le Xelqat-Hatsurimva (G'ılıncbışin çol) eyhe.
0a0211006e	Mane yiğıl ma'ad geed it'umın saç'ikkvuy ıxha. Avneriy İzrailybı, Davudne insanaaşis maa'ab avub avxu.
0a02120085	Tseruya donane zəiyfayna xhebırsana dix: Yoav, Avişay, Asahelib maa'ab vooxhe. Asahel, çolana ceyran xhinne, g'elike ek'ra ıxha.
0a02130054	Mana neng'uqacar ilydyakkı, Avnerıqa qihna girxhu. Mang'uqar qihna g'adayxhvanmee,
0a0214005e	Avner yı'q'əlqa ilyakkı, eyhen: – Asahel, ğune vor? Mang'vee eyhen: – Ho'o, zı vorna.
0a021500ae	Avneree mang'uk'le eyhen: – Yiğne sağıqa, soluqa sa ilekke. Mane mek'vunbışda sa aqqı, manbışin silahbı g'ayşe. Asaheleemee Avnerıke xıl ts'ıts'a'a vuxha deş.
0a021600ae	Avneree, Asahelik'le meed eyhen: – Zaqar qihna gimexha, zake xıl ts'ıts'ee'e! Nişil-allane zı ğu gik'as? Qiyğa zı yiğne çoçune Yoavne aq'veeqa nəxürna ilyakkas?
0a0217014b	Asahelee meeb mang'uke xıl ts'ıts'aa'a deş. Manke Avneree cun nize alyat'u, cık'rıhiyna mang'une vuxhnele k'ena məxüd ı'xiyxə, cık'rı mang'une yı'q'ək ciga hı'ı qığeç'e. Asahel qukkyorkul cigeecar qek'ana. Mançile qiyğa Asahel qik'uyne cigaysse ı'lğən gırgınbı, maa'ab ulydyobzur ılğeebaç'e vuxha deş.
0a021800a3	Yoaviy Avişay Avnerıqa qihna g'adaaxhvan. Verığ k'yooçemee, manbı qabı hiviyxharanbı Giveonne sahrayne yəqqı'lyne Giahne ögiylyne Ammava eyhene tepalqa.
0a02190075	Benyaminaaşinbı Avnerne hiqiy-alla savayle. Qiyğab apk'ın, sa tepayne q'omaqa ılqeepç'ı, maayib ulyoozaranbı.
0a021a00dd	Avneree ts'irıka Yoavık'le eyhen: – Şi mısılqameene g'ılıncıke hapt'as? Nya'a, vak'le ats'a dişdiy, nekke qiyğa yugdacad ixhes deş? Ğu yiğne insanaaşik'le mısane eyhes, cone çocaaşiqab qihna gimabak'va?
0a021b0091	Yoavee eyhen: – Vorne Allahılqa k'ın ixhen, ğu manva ittevhuynxhiy, yizın insanar cone çocaaşiqa qihna miç'eebilqamee gyapk'asınbıniy.
0a021c009b	Qiyğa Yoavee şeypur əlüvxümee, manbışin gırgınbı ulyoozaranbı. İzrailybışiqa qihna gyapk'iy ç'əvə'ən, manbışika sayib sıç'ookka deş.
0a021d009d	Avneriy cun insanar xəmvolle Arava eyhene q'adaalile k'ena avayk'an. Manbı İordanne damayle ılğeepç'ı, Bitronule k'ena qabı, Maxanayimeeqa hiviyxhar.
0a021e009d	Yoavee, Avnerıqa qihna girxhuy ç'əv hı'ı sark'ılymee, cuna g'oşun sa'a. Asahelıle ğayrı Davudne insanaaşike yits'ıyüç'ər insan hiyxhar deşiy.
0a021f0065	Davudne insanaaşemee, Benyaminaaşina, Avnerne insanaaşina, xhebıd vəşşe yixhts'al insan gek'a.
0a022000a7	Asahel Bet-Lexemqa qıkkı, cune dekkına nyaq'vanane mağaree k'eyxha. Yoaveeyiy cune insanaaşe xəmvolle yəq avayk'an, miç'eebiys manbı qabı Xevronqa hiviyxhar.
0a0301009b	Şaulneyiy Davudne nasılen səvxı'y xıliyda ts'ıts'exhe. Vaxt apk'ıniylette, Davudne nasılena guc hexxooxhe, Şaulnemee nasılena k'ıl qooxhe vuxha.
0a0302005e	Xevronee Davudus dixbı vooxhe. Ts'erriyna dix İzre'elyğançene Axinoamee uxuna Amnon ıxha.
0a0303009c	Q'ör'esda Karmelyğançene Navalne sip'ıree Avigailee uxuna Kilav ıxha. Xhebır'esda Geşurne paççahne Talmayne yişşee Maakayee uxuna Avşalom ıxha.
0a03040046	Yoq'ur'esda Haggitee uxuna Adoniya, xhor'esda Avitalee uxuna Şefatya,
0a0305006d	yixhır'esdar Davudne xhunaşşee Eglayee uxuna İtream ıxha. Davudus man gırgınbı dixbı Xevronee vuxha.
0a0306004d	Şaulnayiy Davudna nasıl siviyxəmee, Avneree Şaulne sural guc saa'a vuxha.
0a03070096	Şauluqa Ayyayna yiş Ritspa donana həmbal zəiyfa yixha. İşboşetee Avnerık'le eyhen: – Nya'a ğu, yizde dekkıne həmbal zəiyfayka g'ılexha?
0a0308013e	İşboşetne mane cuvabıke Avnerıs geeb qəl vuxha, eyhen: – Nya'a zı vas, Yahudaabışin sura aqqına xvaana vuk'ulyne vob? Zı g'iyna yiğıniy yiğne dekkıne Şaulne nasılen, mang'une hambazaaşin sura aqqı. Zı ğu Davudne xılyaqa quvu deş. Ğu həşde mane zəiyfal-alla yizde gardanaqa bınah giviyxhe!
0a0309006d	Zı Davudus, Rəbbee mang'us k'ın g'assırıyn hide'eene, hasre Allahee Avnerne vuk'lelqa yiğbı alle'ecen!
0a030a008a	Zı paççahiyvalla Şaulne nasılıke g'avşu, Davudusqa qevles. Mana İzrailynayiy Yahudeyayna, Danile Beer-Şevalqamee, paççah ixhes.
0a030b0077	İşboşetık'le man eyhenbı g'ayxhımee, mana Avnerıle qəyq'ən ıxhayke, mang'us alidghıniycad qeles dəxə axva.
0a030c00ca	Qiyğa Avneree, Davudusqa cun insanar g'axuvu, eyhen: – İn ciga şavunne vod? Qora, zınayiy ğu cuvab g'ats'ak'vanas. Qiyğa gırgınacab İzrail yiğne suralqa ts'ıts'aa'as zı vas kumag ha'asın.
0a030d0098	Davudee eyhen: – Geed yugda, zı vaka cuvab g'ats'ak'vanasın. Saccu ğu zasqa ı'qqəmee, vakasana Şaulna yiş Mikal ayre. Mana dena zasqa ımmayle.
0a030e00c3	Davudee, İşboşetısqa Şaulne dixesqa cun insanar g'axuvu, eyhen: – Zı vəş sunnat hıdi'ına Filiştinğançena gik'ul-alla zas Şaulee hiyvuna yizda xhunaşşe Mikal zasqa seek'al hee'e.
0a030f005b	İşboşetee, insan g'axuvu, zəiyfa adamiysse Layişne dixesse Paltielsee g'ayşes ileeka.
0a03100095	Məng'ı'na adamiy geşşe-geşşe Baxurimqamee xhunaşşeyqa qihna ayk'an. Maa'ad Avneree mang'uk'le eyhen: – Yı'q'əlqa sak'le. Manar siyk'alna.
0a03110071	Avner İzrailyne ağsaqqalaaşika yuşanxha, eyhen: – Şos mısa ıkkannaniy vor, Davuduke şos paççah ha'as!
0a031200c5	Həşde vuşde yik'eençe ı'lğəən he'e! Rəbbee Davuduk'le dişdiy uvhu: «Zı Yizde nukarne Davudne xıleka, İzrail Filiştinaaşdeyiy gırgıne duşmanaaşine xılençe g'attivxhan haa'as».
0a03130099	Avneree man, hark'ın, Benyaminaaşik'led eyhen. Qiyğa İzrailyneyiy Benyaminaaşde yik'eençe ılğəən Davudus yuşan ha'asva, mana Xevronqa hayk'an.
0a03140078	Xevroneeqa, Avnerıka sacigee Davudusqa g'ayre insan arayle. Davudee, Avnerısiy cune insanaaşis otxhun-ulyodğiy hele.
0a03150105	Avneree Davuduk'le eyhen: – Hasre zı həşde hark'ın, gırgına İzrail yizde xərıng'usqa, paççahısqa, saa'as. Ğunar manbışika cuvab g'ats'ak'vne. Qiyğab vas nişşisiy vukkan, xəbvalla hee'e. Məxüd ıxha Davudee Avner vuççud hidi'ı g'ekkana.
0a031600e1	Mane gahıl Yoav, Davudne insanaaşika dəv'eençe sark'ıl eyxhe. Manbışe mebınbışike g'ayşuyn geed kar adayle. Mane gahıl Avner, Davudusse Xevronğançe ark'ın eyxhe. Davudee, Avner vuççud hidi'ı, g'aykkı ıxha.
0a03170088	Yoav, gırgıne g'oşunuka sark'ıling'a, mang'uk'le eyhen: – Nerna dix Avneriy arı. Paççahee mang'uk vuççud hidi'ı, g'aykkına.
0a03180096	Yoav, paççahne k'anyaqa qarı, eyhen: – Ğu hı'iyn kar hucoone? Yiğne k'anyaqa Avnerniy'e arı? Ğu nya'a mana g'aykkı? Həşde mana ark'ınna.
0a03190090	Vak'lecar Nerna dix Avner ats'ana. Mang'vee vas horbı ha'asva, yiğın hark'ın-qaraylen cigayiy ğu g'ecen işbı ats'axhxhesvacar arı ıxha.
0a031a00b3	Yoav Davudusse qığeç'umee, mang'vee Avnerıqa qihna cun insanar g'uxoole. Manbışer Avner Sira eyhene kahrızısse yı'q'əlqa sak'al ha'a. Davuduk'le man ats'acad eyxhe deş.
0a031b00c8	Avner Xevronqa sak'ımee, Yoavee cona q'öyrecab, yuşan haa'asın xhinne, mana şaharne akkabışiyle aqa akkyayhe. Qiyğad cune çocul Asahelil-alla, mang'une vuxhnes g'ılıncıqa ı'xı', gek'ana.
0a031c0089	Davuduk'le, man ats'axhxhamee, eyhen: – Rəbbine ögiyl Nerne dixene Avnerne ebal-alla, mısacab zaliy yizde ölkal bınah aaxvas deş.
0a031d00f9	Havaasre mana bınah Yoavılqayiy mang'une xizanılqa vuxhecen. Hasre Yoavne nasılee maşika gyatsts'ıyn ı'xnabınana insan deşda, əsaka iykarna insan deşda, g'ılıncıke qek'ana insan deşda, mıssınçika qek'ana insan deşda gah mooxhecen.
0a031e0083	Yoaveeyiy cune çocee Avişayee Avner gek'ana. Manbışe mana cona çoc Asahel Giveonee əlyhəəne dəv'ee gik'uynçil-alla gek'a.
0a031f00be	Qiyğa Davudee Yoavık'leyiy cune k'anene insanaaşik'le eyhen: – Tanalinbı qıt'axxı, palanbı ale'e, Avnernemee gyaaşe. Avner qıkkek'ane mıghırıqa qihna vuc paççah Davud ayk'an.
0a0320006e	Avner Xevronee k'eyxha. Paççah mang'une nyuq'vnel oo axtıra geşşena. Mang'uka sacigee milletıd geşşen.
0a0321006a	Paççah Davud Avnerne nyuq'vnel oo inva eyhe-eyhe geşşu: Avner məxür, g'eliqqa huvu, gik'as dexheyiy.
0a032200bb	Yiğın xıleppı ayt'ıl ıxha deş, G'elybışisıb zincır üvxü vuxha deş. Ğu sixnareeşine ögiyl qukkyoyk'alan xhinne qukkyork'ul. Manva uvhumee, millet meed Avnernemee geşşen.
0a032300f5	Qiyğa manbışin gırgınbı abı, Davudee, exha qixhesse, kar oxhnecenva mana ittunçil aqqaqqa ıxha. Davudeeme, k'ın g'assır, eyhen: – Verığ k'yooçesse, yizde ghalik gıney, medın kar set'veene, havaasre Allahee zalqa ver ablee'ecen!
0a03240082	Milletık'le paççahee ha'an g'acu, man gırgın manbışde yik'eençe eyxhe. Paççahee ha'an gırgıncad milletıs ıkkiykanan.
0a03250078	Mane yiğıl gırgıne milletık'leyiy gırgıne İzrailik'lecad ats'axhxhen, Nerna dix Avner paççahee gidek'u ıxhay.
0a0326006c	Paççahee cune insanaaşik'le eyhen: – G'iyna İzrailee xərna, qıvaats'ına insan qik'uva ats'a dişde?
0a032700cb	G'iyna zı g'əyxı'na paççahır ixheene, zaqa guc k'ılyba vob. Tseruyayn dixbı, Yoaviy Avişay, zale nimee vuxhee gucuka vob. Havaasre Rəbbee pisvalla haa'ang'us, haa'ane pisvallays sik'ı helecen!
0a0401009e	Şaulne dixek'le İşboşetık'le, Avner Xevron eyhene şaharee gik'uva ats'axhxhamee, mang'us zeze ooxha. İzrailin milletıd man g'ayxhı qəyq'ən giyğal.
0a040200ec	Şaulne dixeqa İşboşetıqa q'öyre cune destebışda xərna ıxha. Manbı Benyaminaaşinbı vooxhene Beerotğançene Rimmonun dixbı vuxha. Manbışde sang'un do Baana, mansang'unud Rexav ıxha. Beerot vucub Benyaminaaşinacab vuxha.
0a04030071	Beerotbı Gittayimeeqa heepxı qabı vuxha, g'iyniyne yiğılqameeyib manbı maa'ab menne cigaynbı xhinne aaxva.
0a04040125	(Şaulne dixeqa Yonatanıqa q'öyudsana g'el k'aana Mefiboşet donana dix ıxha. İzre'elyğançe Şaulıy Yonatan gyapt'ıva xabar qabımee, mang'uqa xholle sen ıxha. Mane k'ıning'uqa ileekang'vee mana mançe alyart'u, zaara heexvava, gade xılençe g'a'araççe mang'un g'elybı hayq'var.)
0a040500a4	İşboşetee yı'q'ı'hna manzil haa'amee, Beerotğançene Rimmonun dixbı Rexaviy Baana yəqqı'l gyabak'va. Manbı pırane gahıl qabı mang'une xaasqa hiviyxhar.
0a0406011e	İşboşet cune gozee tyulee g'alirxhu eyxhe. Rexaviy cuna çoc Baana suk alyabat'anbı xhinnee xaaqa ikkeepç'ı, mang'une vuxneeqa xincal hi'yxə. Qiyğab vuk'ul g'ats'pk'ın, vucub alyapt'ı, mançe heebaxanbı. Xəmvolle manbı Arava eyhene qadaalyne yəqqı'le k'ena avayk'ananbı.
0a0408012a	İşboşetna vuk'ul manbışe Xevroneeqa Davudne k'anyaqa abı, paççahık'le eyhen: – İna Şaulne yiğne duşmanna dixena İşboşetna vuk'ul vob. Mane Şaulısniy ğu gik'as ıkkan. G'iyna Rəbbee, yişde xərıng'ul – paççahıl-alla Şaulukeyiy cune nasılıke in hı'ı, qəl qığavhu.
0a04090251	Davudee Beerotğançene Rimmonne dixbışis Rexavısiy cune çocus Baanays inəxdın alidghıniy qele: – Zı Tsiklageenang'a culygena ixheene zas yugna xabar ana insanniy arı: «Şaul qik'unava». Zı mançil-allar mana aqqı gik'as alikkı. Mang'vee zas abıyne xabarın mukaafat mang'us man ıxha. Həşde karaı'dəən insanar qopkune insanne xaaqa ikkeepç'ı, mana cune tyulee gik'uyng'a, şosqa nəxüdiy qöö, zı mang'una eb ç'iyel g'alepçı, manbı ç'iyene aq'val gidyapt'ı g'alyaa'aye? Zı gırgınçike g'attixhan ha'ane Vorne Rəbbilqan k'ın ixhen məxdın kar ixhes deş!
0a040c00f7	Davudee cune insanaaşilqa əmr haa'a, manbışeb manbı avqu gyabat'anbı. Qiyğad manbışin g'elybıyiy xıleppı gyatxı, Xevroneene xhyan səəne cigayne k'ane k'eyxə. İşboşetna vuk'ulyub alyapt'ı, Xevroneene Avnerne nyuq'vneeqa k'evxhu.
0a05010078	İzrailin gırgın nasılbı Xevronqa Davudne k'anyaqa abı inəxüd eyhe: – Şi vaka sa milletınbı, sa ebanbı vob.
0a050200b5	Şenke yişda paççah Şaulnang'a, ğucabniy İzrailybı dəv'eeqa vukku qavaylenbı. Rəbbee vak'leniy uvhu, ğu Cune milletıs çobaniyvalla haa'as, şi vuk'lek vukkeekana ixhes.
0a050300da	İzrailin gırgın ağsaqqalar Xevronqa paççah Davudne k'anyaqa abayle. Paççahee maa'ad Rəbbine ögiyl manbışika cuvab g'ats'ayk'van. Ağsaqqalaaşe Davud İzrailyna paççah ixhecenva mang'ulqa q'ış qadağva.
0a05040071	Davud paççah eyxheng'a mang'uqa xhebts'al senniy vod. Mang'vee İzrailis yoq'ts'al senna paççahiyvalla haa'a.
0a050500c1	Davudee, Xevronee Yahudays yighılle sennayiy yixhıble vazna paççahiyvalla haa'a. İyerusalimeençeb mang'vee bıkırne İzrailisiy Yahudays xhebts'ale xhebılle senna paççahiyvalla hav'u.
0a0506015b	Paççahiy cun insanar İyerusalimqa hapk'ın, maane avaalacab vooxhene Yevusbışilqa k'yoohar. Yevusbışe Davuduk'le eyhen: – Vasse inyaqa ikkeç'es əxəs deş. Ğu inyaqa areene yişde bı'rq'ı'nbışisser, k'aanbışisser ğu inençe g'e'eşşes əxəsda. Manbışisqa məxüd qöö ıxha, Davudusse mane şahareeqa ikkeç'es əxəs deş.
0a05070059	Davudee maana Sion eyhena g'ala avqaaqqana. Həşde mançik'le «Davudna Şaharva» eyhe.
0a05080113	Davudee mane yiğıl eyhen: – Vuşuyiy Yevusbışilqava arı, hasre xhyan qööne tuneleençe ılğeç'u qoracen. Məxüb şu Davud g'ımece eyxhene «bı'rq'ı'nbışileyiy k'aanbışile» ğameepxhes. Həşde dişe eyhe: «Bı'rq'ı'nayiy k'aana xaaqa ikkeepç'es deş».
0a050900a8	Davud mane g'aleecar axva, mançil-allad mane g'alayk'le Davudna Şaharva eyhe. Mang'vee g'alayn hiqiy-alladın cigad Millo eyhene tepaysqamee adın cigad ali'ı qa'an.
0a050a005e	Xəəna G'oşunbışda Rəbb Davuduka ıxhal-alla, mang'una guc yiğ-yiğıle hexxooxhe vuxha.
0a050b00b1	Sur eyhene şaharne paççahee Xiramee, Davudne k'anyaqa cun insanar, sidırne yiven os, osanayiy g'ayeyna iş haa'as vəəxən insanar g'uxoole. Manbışe Davudus saray alya'a.
0a050c0068	Manke Davuduk'le ats'axhxhen, Rəbbee vuc İzrailyna paççah hı'ı, cuna paççahiyvallab axtı qav'u.
0a050d00a3	Davud Xevronğançe İyerusalimqa qarıyle qiyğa, mang'vee cus mançe mebın xhunaşşeriy həmbal zəiyfabı haa'a. Manbışeb Davudus dixbıyiy yişbı vuxooxa.
0a050e005b	Mang'us İyerusalim vuxhayne dixbışin dobı inbı vod: Şammua, Şovav, Natan, Sıleyman,
0a050f001e	İvxar, Elişua, Nefeg, Yafia,
0a0510001b	Elişama, Elyada, Elifelet.
0a051100cf	Filiştinaaşik'le g'iyxhen, Davud İzrailyna paççah ha'asva mang'ulqa q'ış qadğu. Manke manbışin gırgınbı Davud t'abal ha'asva avayk'an. Davuduk'le man ats'axhxhamee, yı'q'əlqa g'aleeqa siyk'al.
0a05120038	Filiştinarıb Refaimne q'adaalilqa qabı, maa'ab aaxva.
0a051300ce	Davudee Rəbbike qiyghanan: – Zı Filiştinaaşika səyxene? Ğu manbı yizde xılyaqa qevlesınbıne? Rəbbee Davuduk'le eyhen: – Ho'o, hoora səyxe, zı manbı yiğne xılyaqa qıdevu g'alepçes deş.
0a05140108	Davud Ba'al-Peratsimeeqa arı, Filiştinar gyapxı-gyapt'ı, eyhen: – Selin çine ögeedın kar haq'var hiyxvər ha'an xhinnee, Rəbbeeyib yizde ögiylin duşmanar oot'al-ooxal hav'u. Mançil-allad mane cigayn do Ba'al-Peratsim (ot'al-oxal ha'ana iyesiy) giyxhe.
0a05150082	Filiştinar heepxı əlyhəəmee, con byuttyar maa'adcad g'alya'a. Davudeeyiy cune insanaaşed man byuttyar sı'ı, qıkkekkanbı.
0a05160045	Filiştinar meeb Refaimne q'adaalilqa abı, maa'ad çadırbı giyxə.
0a051700b7	Mançinemee Davudee Rəbbike qiyghan, Rəbbeeyid Davuduk'le eyhen: – Ts'erriykecar manbışde ögiylqa qığmeç'e. Yı'q'əle apk'ın, totan yivarnane surale manbışilqa k'yoohre.
0a051800ae	Totane yivaaşine q'ombışile g'elybışin sesbı qöö gidğılmee, ğu zaara ı'ğı'ykre. Filiştinaaşde g'oşunukun ha'asva, mane gahıl Rəbb yiğne ögiyl əlyhəəs.
0a05190088	Davudee gırgın, Rəbbee cuk'le uvhuyn xhinnee ha'a. Mang'vee Gevayeençe Gezereeqa hivxharasdee cigeeqamee Filiştinar gyabat'a ıxha.
0a06010056	Davudee İzrailyğançe meer yugna, siyxənə xhebts'al aazır insan g'əyxı', saa'a.
0a060200ed	Davud, Yahudeene Ba'ala eyhene şahareençe Allahna q'utye qavaalesva, cune insanaaşika sacige maqa ayk'an. Mana q'utye Rəbbine doyul vuxha. Mane q'utyel oo keruvar ıxha. Xəəne G'oşunbışde Rəbbina taxt mane keruvaaşil oo vuxha.
0a06030093	Allahna q'utye ts'enne daşk'eeqa alivxhu, Avinadavne tepalyne xaançe qığaahana. Daşk'ad Avinadavne dixbışe Uzzayeeyiy Axioyee he'ekka ıxha.
0a06040056	Manbışe Allahna q'utye daşk'eeqa gyuvxhu qığaaha. Q'utyeyne ögiylir Axio ayk'an.
