2800000007	Matouš
2d0c130098	Nezjednávejte si spravedlnost sami, moji drazí, přenechte odplatu Bohu, neboť v Bibli čteme: „Mně patří odveta, já odplatím, praví Pán.“
2d0c1400a1	Pro vás však platí: když má nepřítel hlad, dejte mu najíst, když má žízeň, dejte mu napít. Tím dosáhnete toho, že se za své jednání zastydí.
2d0c15003c	Nenechte se strhnout ke zlému, ale přemáhejte zlo dobrem.
2d0d01005a	Každý se má podřídit pozemské vládě, neboť vládní moc má svůj původ od Boha.
2d0d020065	Kdo se staví proti ní, staví se proti řádu, který Bůh ustanovil, a přivolává na sebe trest.
2d0d03008d	Vláda tu není od toho, aby naháněla strach za dobré jednání, nýbrž za špatné. Jednej v souladu se zákony a nemusíš se jí bát.
2d0d0400b7	Jejím úkolem od Boha je sloužit občanům k dobru. Kdo ovšem páchá zlo, má se proč bát; ne nadarmo má vláda také meč. I to je jejím posláním od Boha, aby trestala zlo.
2d0d050059	Proto je nutno vládu respektovat nejen ze strachu před trestem; to je i věc svědomí.
2d0d0600b5	Ze stejného důvodu například platíme daně. Stát je vybírá v zájmu veřejného blaha a také výběrčí svým způsobem slouží všem, když plní tento svěřený úkol.
2d0d07008f	Dávejte tedy každému, co mu náleží: Komu daň – tomu daň, komu clo – tomu clo, komu úcta – tomu úcta, komu čest – tomu čest.
2d0d08007c	Nedělejte si dluhy. Jediný dluh nikdy nesplatíte: vzájemnou lásku mezi vámi. Kdo druhé lidi miluje, ten plní zákon.
2d0d0900ce	Vždyť všechna ta přikázání jako „nebudeš cizoložit, zabíjet, krást, toužit po cizím vlastnictví“ a kterákoliv jiná jsou zahrnuta v tomto jediném: Miluj svého bližního jako sám sebe.
2d0d0a003d	Láska neumí ublížit, proto láska je naplněním zákona.
2d0d0b00a4	Mějte to vše na paměti tím spíše, že víte, v jak kritické době žijeme. Přišel už čas probrat se z netečnosti. Očekávané vysvobození se blíží.
2d0d0c00d4	Noc se chýlí ke konci, den je přede dveřmi. Nechme tedy všeho, co patří do říše tmy, jako jsou pitky a nevázané zábavy, nemravnosti a bezuzdnosti, sváry a závist a připravujme se vstříc světlu.
2d0d0e0084	Všechno vaše jednání ať určuje Ježíš Kristus. Nevěnujte příliš pozornosti tělu, abyste se nestali otroky jeho potřeb.
2d0e010086	Lidi, kteří mají příliš úzkostlivou víru, přijímejte mezi sebe, ale ne proto, abyste kritizovali a vyvraceli jejich názory.
2d0e02009d	Jeden je přesvědčený, že je nutno dodržovat celou řadu náboženských zákazů a příkazů, například nejí jídla, která pokládá za nečistá.
2d0e030108	Jiný naopak věří, že na tom tolik nezáleží, že může jíst všechno. Kdo jí všechno, ať se nedívá spatra na toho, kdo třeba nejí vůbec maso. A kdo nepožívá maso, ať nekritizuje toho, kdo ho jí bez zábran: vždyť také on byl přijat Bohem.
2d0e0400af	Jakým právem chceš odsuzovat toho, jehož pánem nejsi ty, ale Bůh? Je jen Boží záležitostí, zda člověk stojí nebo padá – a i v pádu ho Bůh dokáže zadržet.
2d0e0500be	Někdo zase činí rozdíl mezi dny v týdnu, zatímco pro jiného je den jako den. Důležité je, aby v těchto věcech každý jednal podle svého přesvědčení a s touhou oslavit Boha.
2d0e070038	Vždyť nikdo z nás nežije ani neumírá jen pro sebe.
2d0e09007a	Proto Kristus zemřel a zase vstal, aby si podmanil vše živé i mrtvé. Tak tedy v životě i ve smrti náležíme jemu.
2d0e0a0067	Proč tedy odsuzovat bratra a pohrdat jím? Všichni se přece budeme muset postavit před Boží soud.
2d0e0b005d	Vždyť je psáno: „Každé koleno přede mnou poklekne, každý jazyk mě bude velebit.“
2d0e0c002f	Každý sám za sebe bude skládat účty Bohu.
2d0e0d007a	Nechte už tedy vzájemného kritizování; raději se mějte na pozoru, aby váš bratr neklopýtl a nepadl vaší vinou.
2d0e0e0189	Vím a jsem o tom plně přesvědčen – tak mi to dal poznat Ježíš, že nic není nečisté samo o sobě. Nečistými se stávají věci jen tomu, kdo je za nečisté považuje. Ale rozhodujícím hlediskem ať je vždy láska. I když nám svědomí v tom či onom nebrání, důležitější je nepohoršit bratra. Co samo o sobě ještě není špatné, může vyvolat špatnou odezvu.
2d0e110074	V Božím království nejde přece o jídlo a pití, ale o spravedlnost, pokoj a radost, jak je dává Duch svatý.
2d0e12004a	Kdo v tomto duchu slouží Kristu, líbí se Bohu a váží si ho i lidé.
2d0e130065	Usilujme tedy především o to, co slouží všem k pokoji a ke vzájemnému duchovnímu prospěchu.
2d0e140069	Nepoškozujme Boží dílo kvůli podružnostem a vyhýbejme se všemu, co by mohlo oslabit víru bratra.
2d0e150044	Je lepší odepřít si, co vadí mému bratru, než někoho zranit.
2d0e1600c1	Své přesvědčení však nezrazujme; Bůh o něm ví. Budeme šťastni a bez výčitek, když uposlechneme hlas svého svědomí. Neřídit se jím a zapřít své přesvědčení je hřích.
2d0f01008d	My vyspělejší ve víře jsme povinni snášet nedostatky těch, kdo tak pokročilí nejsou, a nesmíme být na svou úroveň domýšliví.
2d0f02003e	Pamatujte především na bližní a na to, co prospívá jim.
2d0f0300b9	Vždyť ani Kristus nehledal svůj prospěch, ale podle prorockých slov ze žalmu snášel výsměch nepřátel: „Urážky těch, kdo tebe, Bože, tupili, snesly se na moji hlavu.“
2d0f040083	I toto, jako vše v Písmu, bylo napsáno k našemu naučení, abychom získali vytrvalost a čerpali z toho povzbuzení a naději.
2d0f050046	Ať vám tedy Bůh, dárce toho všeho, dá žít navzájem v souladu.
2d0f060052	Tak si to přál Ježíš Kristus, abyste jednomyslně oslavovali Boha, jeho Otce.
2d0f070090	Nechtějte být nějakou uzavřenou společností. Nestraňte se jeden druhého; přijímejte se navzájem, jako nás Kristus přijal do slávy.
2d0f080067	Kristus byl poslán k židům, aby tak Bůh prokázal svou věrnost a splnil sliby, jež dal praotcům.
2d0f0900e2	Současně přinesl milost i všem ostatním lidem, aby také oni oslavovali Boha. Bible to potvrzuje na mnoha místech. Cituji alespoň některá: „Velebit tě budu mezi pohany a před nevěrci budu chválit tvé jméno.“
2d0f0a0036	„Pohani, i vy se radujte společně s jeho lidem!“
2d0f0b0045	„Chvalte Boha ve všech národech, celý svět mu vzdej chválu!“
2d0f0c0089	„Z kořene Jišajova vyroste výhonek, početných národů stane se vládcem. On bude nadějí pohanů, nadějí vzdálených Bohu.“
2d0f0d0090	Ať vás Bůh, dárce naděje, naplní pokojem, radostí a důvěrou, abyste s pomocí Ducha svatého naději neztráceli, ale naopak šířili.
2d0f0e0089	Nepochybuji o tom, moji bratři, že co do vědomostí i schopností jste sami dostatečně na výši, abyste se obešli i bez mých rad.
2d0f0f0049	Přesto jsem si v tomto dopise dovolil připomenout vám některé věci.
2d0f1000d2	K tomu mne přece Bůh povolal, abych byl služebníkem Ježíše Krista mezi všemi národy. Plním tedy tento svatý úkol, aby se všichni obrátili k Bohu a pod vedením Ducha svatého se mu cele odevzdali.
2d0f110035	Účast na Božím díle je mou největší chloubou.
2d0f120106	Považuji za přednost, že Kristus mým prostřednictvím probouzí víru v pohanech, mění jejich život a zázračným způsobem je přesvědčuje o své moci. Rozšířil jsem jeho poselství po celém okolí Jeruzaléma a ve všech krajích až po Illyrii.
2d0f140077	Zakládám si na tom, že zvěstuji Krista těm, kteří o něm dosud neslyšeli. Nechci stavět na cizích základech,
2d0f15007b	ale řídím se slovy Písma: „Uvidí ho ti, kdo o něm nic nevěděli, a poznají ho ti, kdo o něm nikdy neslyšeli.“
2d0f16004a	To byl tedy důvod, který mě dlouho zdržoval od cesty k vám do Říma.
2d0f170035	Ale nyní jsem v této oblasti svou práci dokončil.
2d0f1800d5	Už několik let se těším, že se u vás zastavím při cestě do Španělska. Doufám, že teď se mi to přání konečně splní a že se s vámi nějakou chvíli potěším, než mne zase vyprovodíte dál.
2d0f19005f	Zatím však musím ještě podniknout cestu do Jeruzaléma, abych pomohl tamním křesťanům.
2d0f1a0055	V Makedonii a Řecku uspořádali totiž sbírku na potřebné bratry v Jeruzalémě.
2d0f1b0072	Rozhodli se tak, protože jsou Jeruzalémským zavázáni vděčností za užitek z jejich duchovního bohatství.
2d0f1c007d	Až tedy vyřídím tuto záležitost a vybrané peníze odevzdám, vypravím se do Španělska a cestou se zastavím u vás.
2d0f1d0043	Už teď cítím, že Kristus našemu setkání určitě požehná.
2d0f1e003d	Chci vás ještě poprosit, milí bratři, modlete se za mne,
2d0f1f007c	abych byl ochráněn před nepřátelstvím nevěřících v Judsku a také aby Jeruzalémští mou službu dobře přijali.
2d0f200065	Potom – když mi to dopřeje Bůh – s radostí přijdu k vám, abych mezi vámi trochu pookřál.
2d0f210029	Bůh, dárce pokoje, buď s vámi všemi.
2d1001007c	Doporučuji vám sestru Fébu, obětavou služebnici Kenchrejského křesťanského sboru. Ochotně pomáhala mně i jiným.
2d10020064	Jestli se na vás obrátí, udělejte pro ni všechno, co budete moci, jak se na křesťany sluší.
2d10030096	Pozdravujte Prisku a Akvilu, kteří pro mne v Kristových službách riskovali život; nejen já, ale všichni křesťané jsou jim za to dlužníky.
2d10050092	Také všem věřícím, kteří se u nich scházejí, posílám srdečný pozdrav. Obzvlášť zdravím Epaineta, prvního asijského křesťana,
2d10060028	a Marii, která tolik pro vás udělala.
2d10070093	Pozdravujte mé krajany a bývalé spoluvězně Andronika a Junia, vynikající muže mezi apoštoly, kteří se stali křesťany dříve než já.
2d100801d0	Dále pozdravujte Ampliáta, Urbana, Stachyna a Apella. Také všechny od Aristobulů a Narcisů, Herodiona, Tryfainu, Tryfosu a Persidu. A ovšem Rufa a jeho matku – měla mě jako vlastního. A ještě Asynkrita, Flegonta, Herma, Patrobu, Hermeu a ostatní tamější bratry, Filologa, Julii, Nerea a jeho sestru, Olympa a všechny křesťany u nich. Pozdravte je ode mne bratrským polibkem. Taky ode všech křesťanských sborů a skupin vyřizuji pozdravy.
2d1011008f	Jedno bych vám ještě rád položil na srdce: dejte si pozor na ty, kdo vyvolávají spory a svádějí vás z cesty, kterou jste nastoupili.
2d1012009d	Takoví kážou ne proto, aby sloužili Kristu, ale pro svůj vlastní prospěch. Vyhýbejte se jim. Bezelstného člověka snadno zmatou líbivými řečmi.
2d1013008d	O vaší víře všude slyším jen to nejlepší a mám z toho radost. Přeji vám moudrost v konání dobra a zlo ať se vás ani nedotkne.
2d1014007b	Bůh, dárce pokoje, už brzo rozdrtí satana u vašich nohou. Náš Pán Ježíš Kristus ať vás obdaří svou milostí.
2d10150056	Pozdravuje vás můj spolupracovník Timoteus a přátelé Lucius, Jáson a Sozipater.
2d1016003f	I já, písař tohoto listu, Tercius, připojuji svůj pozdrav.
2d10170079	Také Gaius, náš hostitel, vás pozdravuje a rovněž vás zdraví správce městské pokladny Erastus a bratr Kvartus.
2d10190085	Bůh vám může dát schopnost žít podle slov, která jsem vám zvěstoval. Byly vám zjeveny jeho dávné plány, dlouho skryté,
2d101a005c	ale nyní objasněné proroctvími, abyste je vírou poslušně přijali a podle nich žili.
2d101b0049	Nade vše moudrému Bohu věčná sláva za Ježíše Krista. Váš Pavel
2e0000000d	1 Korintským
2e010100d6	Milí přátelé a drazí bratři, srdečně vás zdravím a zároveň i od Sosthena vyřizuji přání Boží milosti a pokoje – nejen vám v Korintu, ale i všem, kteří se kdekoliv hlásí ke Kristovu jménu.
2e01040079	Stále znovu musím děkovat Bohu, když vidím, jaké cenné hodnoty zplodilo mezi vámi svědectví o Ježíši Kristu.
2e0105005d	Právě tím se potvrdila jeho pravdivost, takže teď víte a znáte všechno, co je třeba.
2e0106004f	Zbývá jen jedno: s touhou vyhlížet návrat našeho Pána, Ježíše Krista.
2e01080060	On vám dá také sílu vydržet až do konce, takže se toho dne určitě dočkáte bez úhony.
2e01090069	Vždyť ke společenství s Kristem nás povolal přece sám Bůh – můžeme snad mít lepší záruku?
2e010a007c	Doslechl jsem se, milí bratři, že vaše obec není jednotná a že se dělíte na skupiny, které se mezi sebou hádají.
2e010c00f4	Jedni prý vynášíte Pavla, jiní držíte s Petrem, jiní se hlásí k Apollovi a jiní zase ke Kristu. Proto vás jménem našeho Pána, Ježíše Krista, napomínám: buďte všichni zajedno a nehádejte se. Smýšlejte a usuzujte stejně;
2e010d007a	Kristus je přece jen jeden. Byl snad za vás ukřižován Pavel? Nebo jsem snad někoho křtil ve svém vlastním jménu?
2e010e0046	Ještě dobře, že jsem kromě Krispa a Gája nikoho z vás nekřtil,
2e010f0033	takže se na můj křest nemůže nikdo odvolávat.
2e0110004f	Vlastně jsem křtil ještě Štěpánovu rodinu, ale jinak už o nikom nevím.
2e011100ed	Kristus mě totiž neposlal křtít, ale hlásat jeho radostné poselství; ne ovšem tak, abych posluchače oslňoval svou moudrostí, která nikomu nepomůže, nýbrž abych jim předkládal jedinou cestu k záchraně – jeho kříž.
2e011200ad	Kdo směřuje do záhuby, má ovšem učení o Kristově kříži za hloupost. Ale my víme – a to je naše záchrana, že Bůh právě tímto způsobem projevil svou moc.
2e01130071	V Písmu stojí: „Způsobím, že moudrým nepomůže jejich moudrost a chytrost chytrých nebude k ničemu.“
2e01140076	Kde jste, filozofové, znalci zákona a všichni učenci? Nedokázal Bůh, jak pošetilá je všechna moudrost světa?
2e011500a6	A protože přemoudřelému světu nestačily projevy Boží moudrosti k poznání Boha, rozhodl se Bůh zachránit ty, kdo mu uvěří, „pošetilým“ kázáním.
2e01160046	Židé čekají jen samé zázraky, Řekové ve všem hledají logiku,
2e01170063	ale my kážeme – ukřižovaného Krista. Židy to uráží a ostatní to pokládají za nesmysl.
2e01180056	Ale povolaní, ať židé či jinověrci, získávají v Kristu Boží moc i moudrost.
2e01190066	Boží „pošetilost“ je totiž moudřejší a Boží „nemohoucnost“ je silnější než lidé.
2e011a00a0	Jen se kolem sebe rozhlédněte, bratři, koho si to vlastně Bůh povolal. Zjistíte, že mezi vámi není mnoho vzdělanců ani lidí vlivných a vážených.
2e011b0088	A přece si Bůh vyvolil právě ty nevzdělané, aby zahanbil moudré. Obyčejné malé lidi si vyvolil, aby zahanbil vlivné a mocné,
2e011c004d	a bezvýznamné „nuly“ si vybral, aby zlomil moc pyšných domýšlivců.
2e011d003b	A to všechno proto, aby se před Bohem nikdo nepovyšoval.
2e011e00a8	Vždyť jen z vašeho spojení s Ježíšem Kristem pramení vaše moudrost, bezúhonnost, svatost i vykoupení. Opravdu se nemáme chlubit ničím jiným než Kristem,
2e011f0047	jak nás i Písmo napomíná: Kdo se chlubí, chlub se skutky Božími.
2e0201009c	Bratři, když jsem vám hlásal poselství o Kristu, také jsem nepřišel s nějakými zvlášť výřečnými proslovy nebo kdovíjak učenými výklady.
2e02020081	Rozhodl jsem se totiž, že pokud budu u vás, nechci mluvit o ničem jiném než právě o Kristu, a to o Kristu ukřižovaném.
2e020300c5	Často se mi třásl hlas, musel jsem překonávat slabost a všelijaké obavy. A jestli vás nakonec něco přesvědčilo, tak to nebyla moje učenost nebo výmluvnost, nýbrž moc Božího Ducha.
2e0205005a	A to je dobře, protože vaše víra nemá stát na lidské moudrosti, ale na moci Boží.
2e020600a0	Je pochopitelné, že pokročilejším křesťanům předkládáme i náročnější učení. Nejsou to ovšem poznatky přírodních nebo společenských věd,
2e020700c2	nýbrž pravdy pocházející z Boha, a proto bez Božího přispění zůstávají tajemné a skryté. Bůh už před věky připravil moudrý plán, jak nás převést do své nebeské slávy.
2e02080065	Nikdo z těch, kdo vládnou světu, neměl o nich tušení. Jinak by byli nemohli Krista ukřižovat.
2e020900b4	My hlásáme, jak stojí i v Písmu: „Co lidské oko nikdy nevidělo ani žádné ucho neslyšelo, co člověka ani ve snu nenapadlo – to nabízí Bůh těm, kdo ho milují.“
2e020a004f	Nám to Bůh odhalil prostřednictvím svého Ducha, kterému nic není skryto.
2e020b00d1	Jako nitro člověka je přístupné jen vlastnímu vědomí každého jedince, tak i Boží myšlení je známé jen Božímu Duchu, takže jenom s jeho pomocí můžeme poznat, co všechno nám Bůh daroval.
2e020d00cf	Když o těchto věcech mluvíme, nejde nám o to, aby to vypadalo „rozumně“, ale nasloucháme prostě tomu, co nám „napovídá“ Boží Duch, a jeho myšlenky tlumočíme slovy, která nám dává.
2e020e00b9	Člověku vyzbrojenému jen vrozenými schopnostmi jsou ovšem pravdy Božího Ducha proti mysli. Zdají se mu hloupé a nepochopitelné, protože pochopit se dají jen s pomocí Ducha.
2e020f007d	Kdo je však proniknut Božím Duchem, dovede ke všemu zaujmout jasný postoj a nemusí se ohlížet, co tomu řeknou lidé;
2e02100088	vždyť nikdo z nich nestojí ve svém poznání nad Bohem. Naše myšlenky pak vycházejí ze stejného zdroje jako myšlenky Kristovy.
2e030100e2	Bratři, jestli jsem k vám mluvil jako k malým dětem, mělo to svůj důvod. Nemohl jsem přece od vás v duchovních záležitostech očekávat chápavost vyspělých křesťanů, když vaše víra byla teprve v plenkách.
2e030300b6	Mám dokonce dojem, že z nich dosud nevyrostla a že stále ještě u vás převládají tělesné sklony. Řekněte sami – nejsou vaše spory a žárlivost až příliš lidské?
2e03040077	Když někdo tolik zdůrazňuje „já jsem s Pavlem“ a jiný zase „já s Apollem“, nelpíte příliš na osobě?
2e03050096	Vždyť kdo je Apollo? A kdo je Pavel? Pouze služebníci, kteří vám pomohli dospět k víře – každý zase jen tou měrou, jak mu uložil Bůh.
2e03060038	Já jsem zasadil, Apollo zaléval, ale vzrůst dal Bůh.
2e030700cb	To on dává vznik životu, a ne ten, kdo sází nebo zalévá. On své pomocníky odmění podle jejich práce, ale jinak jsou si všichni rovni v tom, že jsou jen pouhými pomocníky na Božím díle.
2e030a0096	Z Božího pověření jsem jako zkušený v tomto směru mohl položit základy, na kterých dál staví už jiný. Dávejte však pozor, jak staví!
2e030b00d5	Základem je Ježíš Kristus, jiný základ už položit nelze. Ale i potom je možno na ten základ stavět buď solidní budovu, jež přetrvá věky, nebo slepit chatrč, kterou rozhází první nápor větru.
2e030d0063	Kvalita stavby se musí osvědčit ve zkouškách – teprve ty ukáží, co kdo vlastně postavil.
2e030e002f	Když dílo vydrží, dostane stavitel odměnu.
2e030f0053	Komu se jeho dílo sesype, ten se sice sám zachrání, ale nic po něm nezůstane.
2e0310004d	Nezapomeňte, že ve vás působí Boží Duch, že jste Božím příbytkem.
2e03110049	Kdo by ničil Boží chrám, který je nedotknutelný, toho zničí Bůh.
2e031200d6	Nežijte v sebeklamu. Kdo si o sobě myslí, že všechno umí vysvětlit rozumem, jak se to dnes požaduje, ten má nejvíc zapotřebí stát se pro svět „pošetilcem“. Jen to je cesta k opravdové moudrosti.
2e031300a7	Všechno vědění, jímž se svět pyšní, je v Božích očích směšné. Stojí přece v Písmu: „On chytá rozumáře do léčky, kterou si sami nastraží“,
2e03140043	anebo „Pán dobře zná výpočty moudrých: nejsou k ničemu“.
2e03150028	Ať si tedy nikdo nezakládá na lidech.
2e031600b5	Pavel nebo Petr nebo Apollo – všichni jsou „vaši“ stejným dílem. Vám patří i svět, život i smrt, všechno v přítomnosti a všechno v budoucnosti. Všechno je vaše,
2e0317001d	vy Kristovi a Kristus Boží.
2e04010063	Nedívejte se na nás tedy jinak než jako na Kristovy služebníky a správce Božích tajemství.
2e04020063	Od služebníka se očekává, že bude vykonávat příkazy svého pána. Dá se to říci o mně?
2e04030097	Co o tom soudíte vy, není pro mne nejdůležitější. A nemůže to posoudit ani nikdo jiný, dokonce ani můj vlastní úsudek není rozhodující,
2e0404005f	i když mé svědomí je klidné. Jen sám Pán o tom může rozhodnout s konečnou platností.
2e040500f7	Nedělejte proto o nikom předčasné závěry, dokud se nevrátí Kristus. Však on už vynese na světlo to, co bylo zrakům skryto, a odhalí i ty nejtajnější pohnutky. Pak teprve dostane každý od Boha takové uznání, jaké mu náleží.
2e040600d0	Bratři, jistě rozumíte, že nemluvím jen o sobě a Apollovi, když vám tohle všechno říkám. Chtěl jsem jen na tom příkladu zdůraznit, že nemáte prosazovat své oblíbené kazatele proti jiným.
2e04070087	Nikdo přece nejsme ničím víc než ostatní. Všichni máme jen to, co jsme dostali, a nemáme se tedy před druhými čím chlubit.
2e040800e7	Vy jste přesvědčeni, že už jste duchovně dost vysoko a že víc nepotřebujete. Pyšníte se, že jste příslušníky Božího království. Kéž byste jimi skutečně byli! Necítili byste se pak tolik nad nás povzneseni.
2e0409009e	Tak se mi zdá, že nám apoštolům vykázal Bůh to nejposlednější místo, jako odsouzencům na smrt. Stali jsme se podívanou pro svět, anděly i lidi.
2e040a00a7	Prý nám náboženství popletlo hlavu, zato vy jste docela rozumní a vážení křesťané! Námi kdekdo pohrdá, vás každý uznává, my jsme slabí, vy siláci!
2e040b004d	Trpíme hladem a žízní, zimou a nemocemi, jsme štváni z místa na místo
2e040c0085	a na svůj chléb musíme tvrdě vydělávat. Žehnáme těm, kdo nás proklínají, když nás šikanují, trpělivě to snášíme,
2e040d005e	pomlouvají-li nás, modlíme se za ně. Nikde nemáme zastání, jsme stále jen vyděděnci.
2e040e0068	Ale to nepíšu proto, že bych vám chtěl něco vyčítat. Vždyť vás mám rád jako vlastní děti.
2e040f008c	Kazatelů a vychovatelů můžete mít celou řadu, ale vaším duchovním otcem jsem já, protože prvně jste evangelium slyšeli ode mne.
2e0410003a	Proto vás nabádám, abyste žili podle mého příkladu.
2e041100f1	Z téhož důvodu k vám posílám svého milovaného a věrného spolupracovníka Timotea. Víte, že ho mám rád jako svého vlastního syna. Ten vám připomene mé křesťanské způsoby, jak jim taky v každé církevní obci vyučuji.
2e0412005d	Někteří se začali povyšovat, jako bych už neměl do Korintu přijít. Velice se mýlí!
2e04130084	Přijdu co nejdříve, jak mi jen Pán dovolí, a pak uvidíme, zda je v jejich řeči Boží síla, nebo jen prázdné holedbání.
2e04140059	Boží království přece nestojí na řečnickém umění, ale na síle Božího Ducha.
2e04150047	Co mám tedy přibalit na cestu: hůl – nebo lásku a přívětivost?
2e050100a7	Slyšel jsem, že se dokonce u vás vyskytla nemravnost, jakou by člověk i mezi pohany těžko hledal: že si totiž jeden z vás udělal milenku z nevlastní matky.
2e05020087	A to se ještě nestydíte zdvihat nos až k nebi, místo abyste se zhrozili a vyloučili takového člověka ze svého společenství!
2e050300f5	Ačkoliv nejsem mezi vámi, mnoho jsem o tom přemýšlel a jako služebník Ježíše Krista jsem už rozhodl, co je třeba udělat. Svolejte shromáždění všech věřících, moc Pána Ježíše bude s vámi – a já v jeho Duchu také –
2e050500a6	a ten člověk ať je vyloučen ze společenství křesťanů a ať je ponechán moci zla. Vždyť může být zachráněn, až Ježíš Kristus přijde soudit svět.
2e050600c6	Nechápu, jak se můžete chlubit svou dokonalostí a přitom mezi sebou trpět takovou špínu. Cožpak nechápete, že nákaza, když se jí neučiní přítrž, může brzy zachvátit i ostatní?
2e050700d9	Ložisko rozkladu musíte odstranit, chcete-li sami zůstat čistí. Kristus byl zabit za nás! Nechme už tedy toho starého, hříchem prolezlého života a oslavujeme Krista v čistotě, upřímnosti a pravdivosti.
2e05090040	Napsal jsem, že od špatných lidí se máte držet co nejdál.
2e050a00a0	Nemyslel jsem to ovšem tak, že se máte vyhýbat všem nepoctivým, chamtivým, oplzlým a bezbožným lidem. To byste se museli vystěhovat na pustý ostrov.
2e050b00cf	Jestliže se však někdo vydává za křesťana, ale je nepoctivý a chamtivý, holduje kariéře a majetku, alkoholu, pohlavní nevázanosti nebo jiným neřestem, pak s ním ani nesedejte k jednomu stolu.
2e050c007b	Soudit nekřesťany – na to právo nemáte, ty ať soudí Bůh. Ale z našich řad musí být takový člověk vyloučen!
2e06010057	Smutné je i to, že mezi sebou vedete spory před světskými soudy. Není vám hanba?
2e06020077	Cožpak křesťané, kterým jednou bude svěřen soud nad celým světem, nejsou schopni dohodnout se sami mezi sebou?
2e0603002b	Nevíte, že jednou máte soudit i anděly?
2e06040060	Co jsou proti tomu nějaké obchodní záležitosti? Styďte se, že vám tohle musím vytýkat.
2e060500d1	To se mezi vámi nenajde ani jeden, kdo by vás rozsoudil? Není v takovém případě lepší nést křivdu než žalovat na svého bratra u nekřesťanů? Určitě tím uděláte svému Pánu větší čest.
2e0609009d	Myslíte, že do Božího království se dostane někdo hříšný? Neklamte sami sebe. Žádný chamtivec a požitkář, ani cizoložník nebo homosexuál,
2e060a0043	ani zloděj, opilec a hrubián do Božího království nevkročí!
2e060b00a4	I vy jste takoví bývali ale byli jste očištěni, prohlášeni za bezúhonné a odděleni pro Boha prostřednictvím jeho Ducha, a to zásluhou Ježíše Krista.
2e060c00da	Křesťanství – to není žádný seznam „smíš – nesmíš“. Nic nám není zakázáno, ne všechno nám však prospívá. Ke všemu smíme přistupovat svobodně – ale ne tak, aby nás to nakonec ovládlo.
2e060d00f6	Bůh nám dal chuť k jídlu a žaludek pro přijímání potravy; ovšem ani jedno ani druhé tu nebude věčně. Smilstvo je však problém daleko vážnější. Tělo nám nebylo dáno k tomu, abychom ho zneužívali, ale aby sloužilo Kristu.
2e060e0045	A stejnou mocí, jakou vzkřísil Bůh Krista, vzkřísí také nás.
2e060f0032	Naše těla jsou vlastně buňkami těla Kristova.
2e061000db	Jak bychom mohli něco takového spojovat s prodejnou ženou? Mojžíš říká, že „dva se stanou jedním tělem“. Je myslitelné a lze si vůbec představit jedno tělo ze dvou tak rozdílných „materiálů“?
2e06110041	My přece máme usilovat o jinou jednotu – o jednotu s Kristem!
2e06120085	Proto se varujte smilstva. Ostatní přestupky se těla přímo nedotýkají, ale smilstvem se proviňujete na svém vlastním těle.
2e0613006d	Mějte na paměti, že vaše tělo je chrámem svatého Ducha, který v něm bydlí a kterého vám dal Bůh.
2e06140072	Nepatříte už sami sobě, byli jste koupeni – a velmi draze koupeni. Ať tedy i vaše tělo dělá Bohu čest!
2e07010067	Teď ještě k dalším otázkám vašeho dopisu. Dokáže-li si muž odepřít ženu, prospěje mu to.
2e070200eb	Než však své síly přecenit a podlehnout pak pokušení s cizí ženou, je lépe, aby muž měl svou manželku a žena svého manžela. Pohlavní touha je přirozená a její naplnění by si manželé neměli vzájemně odepírat.
2e07040065	V manželství nemá ani muž ani žena právo nakládat se svým tělem bez ohledu na toho druhého.
2e070500bf	Proto se jeden druhému neodpírejte, leda po vzájemné dohodě a jen na čas, kvůli modlitbám; pak se zase jeden druhému odevzdejte, jinak byste se vystavovali nebezpečným pokušením.
2e07060053	Tím samozřejmě manželství nikomu nenařizuji, jenom k němu vyslovuji souhlas.
2e0707009f	Pochopitelně bych byl rád, kdyby měl každý takovou svobodu zříci se ho, jako mám já. Ale Bůh nedává všem stejný dar: jednomu dá to, jinému ono.
2e07080050	Osamělým a zejména vdovám doporučuji, aby do manželství už nevstupovali.
2e07090097	Jestliže jim však zdrženlivost dělá potíže, ať se raději ožení či vdají. Je lepší se vdát a oženit, než se trápit neukojenou touhou.
2e070a007e	Pro manžele však platí jednoznačně – a to není příkaz můj, nýbrž Kristův: žena ať od svého muže neodchází;
2e070b0078	pokud už odešla a nechce se k němu vrátit, musí zůstat neprovdána. Stejně ani muž se nesmí se ženou rozvést.
2e070c00f9	O dalších problémech se Kristus sám nevyjádřil. Já bych však radil toto: když se stal křesťanem jen jeden z manželů, ale ten druhý s ním chce žít dál, ať se nerozcházejí. Nemusíte mít strach, že by vaše děti byly nečisté.
2e070e0067	Víra i jen jednoho z manželů má v tomto případě očistný účinek i na druhého nevěřícího.
2e070f00de	Ale chce-li nevěřící z manželů odejít, nechte ho odejít. Nejste přece povinni držet se ho za každou cenu, jako byste byli jeho otrokem. Nebo máte nějakou záruku, že ho zachráníte, když rozchod odmítnete?
2e07110086	Každý by měl zůstat v tom postavení, v jakém ho zastihlo Boží povolání. Tak to vykládám ve všech křesťanských obcích.
2e071200c0	Kdo se například nechal po židovském způsobu obřezat, nemusí si z toho dělat těžkou hlavu, když se stal křesťanem. A kdo nebyl obřezán, nemusí ten obřad podstupovat ani nyní.
