0100000012	يارىتىلىش
171d0d019b	ۋە رەب مۇنداق دەيدۇ: ــ «مۇشۇ خەلق ئاغزى بىلەن ماڭا يېقىنلاشقاندا، تىلى بىلەن مېنى ھۆرمەتلىگەندە، بىراق قەلبى بولسا مەندىن يىراق تۇرغاچقا، مەندىن بولغان قورقۇشى بولسا، پەقەت ئىنسان بالىسىنىڭ پەتىۋالىرىدىنلا بولىدۇ، خالاس؛
171d0e0193	شۇڭا مانا، مەن مۇشۇ خەلق ئارىسىدا يەنە بىر كارامەت كۆرسىتىمەن؛ كارامەت بىر ئىشنى كارامەت بىلەن قىلىمەن؛ شۇنىڭ بىلەن ئۇلارنىڭ دانىشمەنلىرىنىڭ دانالىقى يوقىلىدۇ؛ ئۇلارنىڭ ئاقىللىرىنىڭ ئەقىللىرى يوشۇرۇنۇۋالغان بولىدۇ».
171d0f014d	ئۆزىنىڭ پۈككەن نىيەتلىرىنى پەرۋەردىگاردىن يوشۇرۇش ئۈچۈن ئاستىن يەرگە كىرىۋالغان، ئۆز ئىشلىرىنى قاراڭغۇلۇقتا قىلىدىغان، ۋە «بىزنى كىم كۆرىدۇ» ۋە «كىم بىزنى بىلگەن» دېگەنلەرگە ۋاي!
171d100181	ئاھ، سىلەرنىڭ تەتۈرلۈكۈڭلار! ساپالچىنى سېغىز لايغا ئوخشاتقىلى بولامدۇ؟ شۇنداقلا ئىش ئۆزىنى ئىشلىگۈچىگە: «ئۇ مېنى ئىشلىمىگەن»، ياكى شەكىللەندۈرۈلگەن ئۆزىنى شەكىللەندۈرگۈچىگە: «ئۇنىڭ ئەقلى يوق» دېسە بولامدۇ؟!
171d1100c6	چۈنكى قىسقا ۋاقىت ئىچىدىلا، لىۋان مېۋىلىك باغقا ئايلاندۇرۇلمامدۇ؟ مېۋىلىك باغ بولسا ئورمان ھېسابلانمامدۇ؟
171d1200eb	شۇ كۈنىدە گاسلار شۇ يۆگىمە كىتابنىڭ سۆزلىرىنى ئاڭلايدىغان، قارىغۇلار زۇلمەت ھەم قاراڭغۇلۇقتىن چىقىپ كۆزلىرى كۆرىدىغان بولىدۇ؛
171d1300ef	مۆمىنلەر بولسا پەرۋەردىگاردىن تېخىمۇ خۇرسەن بولىدۇ؛ ئىنسانلار ئارىسىدىكى مىسكىنلەر ئىسرائىلدىكى مۇقەددەس بولغۇچىدىن شادلىنىدۇ.
171d1400d4	رەھىمسىز بولغۇچى يوقايدۇ، مازاق قىلغۇچى غايىب بولىدۇ؛ قەبىھلىك پۇرسىتىنى كۈتىدىغانلارنىڭ ھەممىسى ھالاك قىلىنىدۇ؛
171d150166	مانا [مۇشۇنداق ئادەملەر] ئادەمنى بىر سۆز ئۈچۈنلا جىنايەتچى قىلىدۇ، دەرۋازىدا تۇرۇپ رەزىللىككە تەنبىھ بەرگۈچى ئۈچۈن تۇزاق تەييارلاپ قويىدۇ، ھەققانىي ئادەمنىڭ دەۋاسىنى سەۋەبسىز بىكار قىلىۋېتىدۇ.
171d16015f	شۇڭا ئىبراھىم ئۈچۈن بەدەل تۆلەپ قۇتقۇزغان پەرۋەردىگار ياقۇپنىڭ جەمەتى توغرۇلۇق مۇنداق دەيدۇ: ــ «ھازىر بولسا ياقۇپ خىجىللىققا قالمايدۇ، ھازىر بولسا ئۇ تىت-تىت بولۇپ چىرايى تاتىرىپ كەتمەيدۇ؛
171d1701ba	چۈنكى [ياقۇپ] قولۇمنىڭ ئىشلىگەن ئەمىلى بولغان، ئۆز ئارىسىدا تۇرغان ئەۋلادلىرىنى كۆرگەن ۋاقتىدا، ئۇلار نامىمنى مۇقەددەس دەپ ئۇلۇغلايدىغان، ياقۇپنىڭ مۇقەددەس بولغۇچىسىنى پاك-مۇقەددەس دەپ بىلىدىغان، ئىسرائىلنىڭ خۇداسىدىن قورقىدىغان بولىدۇ.
171d1800a9	روھى ئېزىپ كەتكەنلەر يورۇتۇلىدىغان، قاقشاپ يۈرگەنلەر نەسىھەت-بىلىم قوبۇل قىلىدىغان بولىدۇ.
171e0101a5	«ئاسىي ئوغۇللارنىڭ ئەھۋالىغا ۋاي!» ــ دەيدۇ پەرۋەردىگار، - «ئۇلار پىلانلارنى تۈزمەكچى، بىراق مەندىن ئالمايدۇ؛ ئۇلار مۇداپىئە توسۇقىنى بەرپا قىلىدۇ، بىراق ئۇ مېنىڭ روھىم ئەمەس؛ شۇنداق قىلىپ ئۇلار گۇناھى ئۈستىگە گۇناھ قوشۇۋالىدۇ.
171e0200eb	ئۇلار مەندىن ھېچ سورىمايلا مىسىرغا يول ئالدى؛ پىرەۋننىڭ قانىتى ئاستىدىن پاناھ ئىزدەپ، مىسىرنىڭ سايىسىگە ئىشىنىپ تايىنىدۇ يەنە!
171e0300ea	چۈنكى پىرەۋننىڭ قانىتى بولسا سىلەرنى يەرگە تاشلاپ لەت قىلىدۇ. مىسىرنىڭ سايىسىگە ئىشىنىپ تايىنىش سىلەرگە باش قېتىمچىلىق بولىدۇ.
171e0400b9	پىرەۋننىڭ ئەمىرلىرى زوئان شەھىرىدە بولسىمۇ، ئۇنىڭ ئەلچىلىرى ھانەس شەھىرىگە ھەردائىم كېلىپ تۇرسىمۇ،
171e05013d	ئاۋام ھەممىسى ئۆزىگە پايدىسى بولمايدىغان، ھېچ ياردىمى ۋە پايدىسى تەگمەيدىغان، بەلكى لەت قىلىپ يەرگە تاشلايدىغان، ھەتتا رەسۋا قىلىدىغان بىر خەلقتىن نومۇس قىلىدىغان بولىدۇ.
171e06025e	نەگەۋدىكى ئۇلاغلار توغرىسىدا يۈكلەنگەن ۋەھىي: ــ ئۇلار جاپالىق، دەرد-ئەلەملىك زېمىندىن ئۆتىدۇ؛ شۇ يەردىن چىشى شىرلار ۋە ئەركەك شىرلار، چار يىلان ۋە ۋەھشىي ئۇچار يىلانمۇ چىقىدۇ؛ ئۇلار بايلىقلىرىنى ئېشەكلەرنىڭ دۈمبىسىگە، گۆھەرلىرىنى تۆگە لوككىلىرىغا يۈكلەپ، ئۆزلىرىگە ھېچ پايدا يەتكۈزمەيدىغان بىر خەلقنىڭ يېنىغا كۆتۈرۈپ بارىدۇ.
171e0700cc	مىسىر!؟ ئۇلارنىڭ ياردىمى بىكار ھەم قۇرۇقتۇر! شۇڭا مەن ئۇنى: «ھېچنېمىنى قىلىپ بەرمەيدىغان راھاب» دەپ ئاتىغانمەن.
171e080127	ــ ئەمدى بۇ سۆزنىڭ كەلگۈسى زامانلار ئۈچۈن، گۇۋاھلىق سۈپىتىدە ئەبەدىلئەبەدگە تۇرۇۋېرىشى ئۈچۈن، ھازىر بېرىپ بۇنى ھەم تاش تاختىغا ھەم يۆگىمە كىتابقا يېزىپ قويغىن.
171e0900e2	چۈنكى بۇلار بولسا ئاسىي بىر خەلق، نائەھلى ئوغۇللار، پەرۋەردىگارنىڭ تەۋرات-تەربىيىسىنى ئاڭلاشنى خالىمايدىغان ئوغۇللاردۇر.
171e0a0149	ئۇلار ئالدىن كۆرگۈچىلەرگە: ــ «ۋەھىينى كۆرمەڭلار!»، ۋە پەيغەمبەرلەرگە: «بىزگە توغرا بېشارەتلەرنى كۆرسەتمەڭلار؛ بىزگە ئادەمنى ئازادە قىلىدىغان، يالغان بېشارەتلەرنى كۆرسىتىڭلار؛
171e0b00df	سەنلەر [دۇرۇس] يولدىن چىقىش، [توغرا] تەرىقىدىن ئايرىلىش! ئىسرائىلدىكى مۇقەددەس بولغۇچىنى ئالدىمىزدىن يوق قىلىش!» ــ دەيدۇ.
171e0c012f	ــ ئەمدى ئىسرائىلدىكى مۇقەددەس بولغۇچى مۇنداق دەيدۇ: ــ «چۈنكى سىلەر مۇشۇ خەۋەرنى چەتكە قېقىپ، زۇلۇمنى يۆلەنچۈك قىلىپ، بۇرمىلانغان يولغا تايانغىنىڭلار تۈپەيلىدىن،
171e0d00d1	شۇڭا مۇشۇ قەبىھلىك سىلەرگە ئېگىز تامنىڭ بىر يېرىقىدەك بولىدۇ، تام پۇلتىيىپ قالغاندا، ئۇ بىراقلا ئۇنى چېقىۋېتىدۇ؛
171e0e0114	خۇددى ساپال چىنە ھېچ ئايىماي چېقىۋېتىلگەندەك ئۇ ئۇنى چېقىۋېتىدۇ؛ ئۇنىڭدىن ھەتتا ئوچاقتىن چوغ ئالغۇدەك، باكتىن سۇ ئۇسقۇدەك بىرەر پارچىسىمۇ قالمايدۇ».
171e0f0196	شۇڭا رەب پەرۋەردىگار، ئىسرائىلدىكى مۇقەددەس بولغۇچى مۇنداق دەيدۇ: ــ «يېنىمغا توۋا بىلەن قايتىپ كېلىپ ئارام تاپىسىلەر، قۇتقۇزۇلىسىلەر؛ خاتىرجەملىكتە ھەم ئامان-ئېسەنلىكتە كۈچ ئالىسىلەر!»، ــ بىراق سىلەر رەت قىلغانسىلەر.
171e100151	سىلەر: ــ «ياق، بىز ئاتلارغا مىنىپ قاچىمىز» ــ دېدىڭلار، شۇڭا سىلەر راست قاچىسىلەر! ۋە «بىز چاپقۇر ئۇلاغلارغا مىنىپ كېتىمىز» ــ دېدىڭلار؛ ــ شۇڭا سىلەرنى قوغلىغۇچىلارمۇ چاپقۇر بولىدۇ.
171e11012a	مىڭىڭلار بىرىنىڭ ۋەھىمىسىدىن قاچىسىلەر؛ بەشىنىڭ ۋەھىمىسىدە [ھەممىڭلار] قاچىسىلەر؛ قېچىپ، تاغ ئۈستىدىكى يېگانە بايراق خادىسىدەك، دۆڭ ئۈستىدىكى تۇغدەك قالىسىلەر.
171e120183	ۋە شۇڭا سىلەرگە مېھىر-شەپقەت كۆرسىتىمەن دەپ، پەرۋەردىگار كۈتىدۇ؛ شۇڭا ئۇ سىلەرگە رەھىم قىلىمەن دەپ ئورنىدىن قوزغىلىدۇ؛ چۈنكى پەرۋەردىگار ھۆكۈم-ھەقىقەت چىقارغۇچى خۇدادۇر؛ ئۇنى كۈتكەنلەرنىڭ ھەممىسى بەختلىكتۇر!
171e130164	چۈنكى خالايىق يەنىلا زىئوندا، يەنى يېرۇسالېمدا تۇرىدۇ؛ شۇ چاغدا سىلەر يەنە ھېچ يىغلىمايسىلەر؛ كۆتۈرگەن نالەڭدە ئۇ ئۆزىنى ساڭا ئىنتايىن شەپقەتلىك كۆرسىتىدۇ؛ ئۇ نالەڭنى ئاڭلىسىلا، جاۋاب بېرىدۇ.
171e140111	رەب سىلەرگە نان ئۈچۈن مۈشكۈللۈكنى، سۇ ئۈچۈن ئازاب-ئوقۇبەتنى بەرسىمۇ، شۇ چاغدا سېنىڭ ئۇستازىڭ يەنە يوشۇرۇنۇۋەرمەيدۇ، بەلكى كۆزۈڭ ئۇستازىڭنى كۆرىدۇ؛
171e15010e	سىلەر ئوڭ تەرەپكە بۇرۇلساڭلار، ياكى سول تەرەپكە بۇرۇلساڭلار، قۇلىقىڭ كەينىڭدىن: ــ «يول مانا مۇشۇ، ئۇنىڭدا مېڭىڭلار!» دېگەن بىر ئاۋازنى ئاڭلايسەن.
171e16017f	شۇ چاغدا سىلەر ئويۇلغان مەبۇدلىرىڭلارغا بېرىلگەن كۈمۈش ھەلگە، قۇيما مەبۇدلىرىڭلارغا بېرىلگەن ئالتۇن ھەلگىمۇ داغ تەگكۈزىسىلەر؛ سىلەر ئۇلارنى ئادەت لاتىسىنى تاشلىغاندەك تاشلىۋېتىپ: ــ «نېرى تۇر» ــ دەيسىلەر.
171e170133	ئۇ سەن تېرىيدىغان ئۇرۇقۇڭ ئۈچۈن يامغۇر ئەۋەتىدۇ؛ يەردىن چىقىدىغان ئاشلىق-مەھسۇلات ھەم كۈچ-قۇۋۋەتلىك ھەم مول بولىدۇ؛ شۇ كۈنى ماللىرىڭ كەڭ-ئازادە يايلاقلاردا يايلايدۇ؛
171e1800a4	يەر ھەيدىگەن كالا ۋە ئېشەكلەر بولسا، گۈرجەك ۋە ئارا بىلەن سورۇغان، تۇزلانغان ھەلەپ يەيدۇ.
171e1900fa	چوڭ قىرغىنچىلىق بولغان كۈنى، يەنى مۇنارلار ئۆرۈلگەن كۈنى، ھەربىر ئۇلۇغ تاغدا ۋە ھەربىر ئېگىز دۆڭدە بولسا، ئەنھارلار ۋە ئېرىقلار بولىدۇ.
171e1a0185	پەرۋەردىگار ئۆز خەلقىنىڭ جاراھىتىنى تاڭىدىغان، ئۇلارنىڭ قامچا يارىسىنى ساقايتقان شۇ كۈنىدە، ئاي شولىسى قۇياش نۇرىدەك بولىدۇ، قۇياش نۇرى بولسا يەتتە ھەسسە كۈچلۈك بولىدۇ، يەنى يەتتە كۈندىكى نۇرغا باراۋەر بولىدۇ.
171e1b012e	مانا، پەرۋەردىگارنىڭ نامى يىراقتىن كېلىدۇ، ئۇنىڭ قەھرى يالقۇنلىنىپ، قويۇق ئىس-تۈتەكلىرى كۆتۈرۈلىدۇ؛ لەۋلىرى غەزەپكە تولۇپ، تىلى يۇتۇۋالغۇچى يانغىن ئوتتەك بولىدۇ.
171e1c0175	ئۇنىڭ نەپىسى خۇددى تېشىپ بويۇنغا يېتىدىغان كەلكۈندەك بولىدۇ، شۇنىڭ بىلەن ئۇ ئەللەرنى بىمەنىلىكنى يوقاتقۇچى غەلۋىر بىلەن تاسقايدۇ، شۇنداقلا خەلق-مىللەتلەرنىڭ ئاغزىغا ئۇلارنى ئازدۇرىدىغان يۈگەن سالىدۇ.
171e1d0171	مۇقەددەس بىر ھېيت ئۆتكۈزۈلگەن كېچىدىكىدەك، كۆڭلۈڭلاردىن ناخشا ئۇرغۇپ چىقىدۇ، ئىسرائىلغا ئۇيۇلتاش بولغان پەرۋەردىگارنىڭ تېغىغا نەي ناۋاسى بىلەن چىققان بىرسىنىڭ خۇشاللىقىدەك، كۆڭلۈڭلار خۇشال بولىدۇ.
171e1e013e	پەرۋەردىگار ھەيۋەتلىك ئاۋازىنى ياڭرىتىدۇ؛ ئۇ قاينىغان قەھرى، يۇتۇۋالغۇچى يالقۇنلۇق ئوت، گۈلدۈرمامىلىق يامغۇر، بوران-شاۋقۇن، مۆلدۈرلەر بىلەن ئۆز بىلىكىنى سوزۇپ كۆرسىتىدۇ.
171e1f00cb	چۈنكى پەرۋەردىگارنىڭ ئاۋازى بىلەن ئاسۇرىيە يانجىلىدۇ، ــ باشقىلارنى ئۇرۇش تايىقى [بولغان ئاسۇرىيە] يانجىلىدۇ!
171e200134	ۋە پەرۋەردىگار تەييارلىغان كالتەك بىلەن ھەر قېتىم ئۇنى ئۇرغاندا، بۇنىڭغا داپلار ھەم چىلتارلار تەڭكەش قىلىنىدۇ؛ ئۇ قولىنى ئوينىتىپ زەرب قىلىپ ئۇنىڭ بىلەن كۈرەش قىلىدۇ.
171e2101a7	چۈنكى توفەت قەدىمدىن تارتىپ تەييار تۇرغانىدى؛ بەرھەق، پادىشاھ ئۈچۈن تەييارلانغان، [پەرۋەردىگار] ئۇنى چوڭقۇر ھەم كەڭ قىلغان؛ ئوتۇنلىرى كۆپ يالقۇنلۇق بىر گۈلخان بار، پەرۋەردىگارنىڭ نەپىسى بولسا گۈڭگۈرت ئېقىمىدەك ئۇنى تۇتاشتۇرىدۇ.
171f0101d0	ــ ياردەم ئىزدەپ مىسىرغا بارغانلارنىڭ ھالىغا ۋاي! ئۇلار ئاتلارغا تايىنىپ، كۆپ بولغانلىقىدىن جەڭ ھارۋىلىرىغا، ئىنتايىن كۈچلۈك بولغانلىقىدىن ئاتلىق ئەسكەرلەرگە ئىشىنىپ كەتتى! بىراق ئىسرائىلدىكى مۇقەددەس بولغۇچىغا قارىمايدۇ، پەرۋەردىگارنى ئىزدىمەيدۇ.
171f020149	بىراق ئۇمۇ دانادۇر! ئۇ كۈلپەت ئېلىپ كېلىدۇ، دېگەنلىرىنى قايتۇرۇۋالمايدۇ؛ ئۇ بۇزۇقلارنىڭ جەمەتىگە، شۇنداقلا قەبىھلىك قىلغۇچىلارغا ياردەمدە بولغانلارغا قارشى ئورنىدىن قوزغىلىدۇ.
171f0301a4	مىسىرلىقلار تەڭرى ئەمەس، ئادەملەر خالاس؛ ئۇلارنىڭ ئاتلىرى بولسا روھتىن ئەمەس، ئەتتىن خالاس؛ پەرۋەردىگار بولسا قولىنى ئۇزارتىدۇ، ياردەم بەرگۈچى بولسا پۇتلىشىدۇ؛ ياردەم بېرىلگۈچى بولسا يىقىلىدۇ؛ ئۇلار ھەممىسى بىراقلا يوقىلىدۇ.
171f0402a8	چۈنكى پەرۋەردىگار ماڭا مۇنداق دېگەن: ــ «ئوۋنى تۇتۇۋالغان شىر ياكى ئارسلاننى بىر تەرەپ قىلىشقا توپ-توپ پادىچىلار چاقىرىلغاندا، شىر ياكى ئارسلان ئۇلارنىڭ ئاۋازلىرىدىن ھېچ قورقماي، شاۋقۇنلىرىدىن ھېچ ھودۇقماي، بەلكى ئوۋنى ئاستىغا بېسىۋېلىپ غار-غۇر تالىغىنىدەك، ساماۋى قوشۇنلارنىڭ سەردارى بولغان پەرۋەردىگارمۇ ئوخشاشلا زىئون تېغى ۋە ئېگىزلىكلىرى ئۈچۈن چۈشۈپ جەڭ قىلىدۇ.
171f050192	ئۈستىدە پەرۋاز قىلىدىغان قۇشلاردەك ساماۋى قوشۇنلارنىڭ سەردارى بولغان پەرۋەردىگار ئۆز قانىتى ئاستىغا يېرۇسالېمنى ئالىدۇ؛ قانىتى ئاستىغا ئېلىپ، زىئوننى قۇتقۇزىدۇ؛ ئۇنىڭ «ئۆتۈپ كېتىشى» بىلەن زىئون نىجاتلىققا ئېرىشىدۇ.
171f0600b0	سىلەر دەھشەتلىك ئاسىيلىق قىلغان ئىگەڭلارنىڭ يېنىغا توۋا قىلىپ قايتىڭلار، ئى ئىسرائىل بالىلىرى!
171f0700f8	چۈنكى شۇ كۈنىدە ئىنسانلار ھەربىرى ئۆزى ئۈچۈن ئۆز قولى بىلەن ياسىغان كۈمۈش بۇتلارنى ۋە ئالتۇن بۇتلارنى: ــ «گۇناھتۇر!» دەپ تاشلىۋېتىدۇ».
171f0801a8	«شۇ چاغدا ئاسۇرىيە قىلىچ بىلەن يىقىلىدۇ، بىراق باتۇرنىڭ قىلىچى بىلەن ئەمەس؛ بىر قىلىچ ئۇنى يۇتۇۋالىدۇ، بىراق قىلىچ ئادەتتىكى ئادەمنىڭكى بولمايدۇ؛ ئۇ جېنىنى ئېلىپ قىلىچتىن قاچماقچى بولىدۇ، ئارىسىدىكى يىگىتلىرى ئالۋانغا سېلىنىدۇ.
171f090144	ۋەھىمىدىن ئۇنىڭ «ئۇل تېشى» يوقايدۇ؛ ئۇنىڭ سەردارلىرى جەڭ تۇغىدىن ئالاقزادىلىشىدۇ» ــ دەپ جاكارلايدۇ زىئوندا ئوتى كۆيۈۋاتقان، يېرۇسالېمدا خۇمدېنى يالقۇنلاۋاتقان پەرۋەردىگار.
17200100d3	مانا، ھەققانىيلىق بىلەن ھۆكۈمرانلىق قىلغۇچى بىر پادىشاھ چىقىدۇ؛ ئەمىرلەر بولسا توغرا ھۆكۈم چىقىرىپ ئىدارە قىلىدۇ.
172002011b	ھەم شامالغا دالدا بولغۇدەك، بورانغا پاناھ بولغۇدەك، قاغجىراق جايغا ئېرىق-سۇلاردەك، چاڭقاپ كەتكەن زېمىنغا قورام تاشنىڭ سايىسىدەك بولغان بىر ئادەم چىقىدۇ.
17200300ad	شۇنىڭ بىلەن كۆرگۈچىلەرنىڭ كۆزلىرى ھېچ تورلاشمايدۇ، ئاڭلايدىغانلارنىڭ قۇلىقى ئېنىق تىڭشايدۇ؛
172004008b	بەڭباشنىڭ كۆڭلى بىلىمنى تونۇپ يېتىدۇ، كېكەچنىڭ تىلى تېز ھەم ئېنىق سۆزلەيدۇ.
17200500a4	پەسەندىلەر ئەمدى پەزىلەتلىك دەپ ئاتالمايدۇ، پىقسىق ئىپلاسلار ئەمدى مەرد دەپ ئاتالمايدۇ،
1720060194	چۈنكى پەسەندە ئادەم پەسلىكنى سۆزلەيدۇ، ئۇنىڭ كۆڭلى بۇزۇقچىلىق تەييارلايدۇ، ئىپلاسلىق قىلىشقا، پەرۋەردىگارغا داغ كەلتۈرۈشكە، ئاچلارنىڭ قورسىقىنى ئاچ قالدۇرۇشقا، چاڭقىغانلارنىڭ ئىچىملىكىنى يوقىتىۋېتىشكە نىيەتلىنىدۇ.
1720070140	بەرھەق، ئىپلاس ئادەمنىڭ تەدبىرلىرى قەبىھتۇر؛ ئۇ قەستلەرنى پەملەپ ئولتۇرىدۇ، مۆمىنلەرنى يالغان گەپ بىلەن، يوقسۇلنىڭ دەۋاسىدا گەپ قىلىپ ئۇنى ۋەيران قىلىشنى پەملەپ ئولتۇرىدۇ.
17200800a0	پەزىلەتلىك ئادەمنىڭ قىلغان نىيەتلىرى بەرھەق پەزىلەتلىكتۇر؛ ئۇ پەزىلەتتە مۇقىم تۇرىدۇ.
17200900d0	ئورنۇڭلاردىن تۇرۇپ، ئى خاتىرجەم ئاياللار، ئاۋازىمنى ئاڭلاڭلار! ئى ئەندىشىسىز قىزلار، سۆزلىرىمگە قۇلاق سېلىڭلار!
17200a00e1	بىر يىل ئۆتە-ئۆتمەيلا، ئى بىغەم ئاياللار، پاراكەندە قىلىنىسىلەر! چۈنكى ئۈزۈم ھوسۇلى بىكارغا كېتىدۇ، مېۋە يىغىش يوق بولىدۇ.
17200b0127	ئى خاتىرجەم ئاياللار، تىترەڭلار! ئى ئەندىشىسىز قىزلار، پاتىپاراق بولۇڭلار! كىيىمىڭلارنى سېلىۋېتىڭلار، ئۆزۈڭلارنى يالاڭ قىلىڭلار، چاترىقىڭلارغا بۆز باغلاڭلار!
17200c00a4	گۈزەل ئېتىز-باغلار ئۈچۈن، مېۋىلىك ئۈزۈم تاللىرى ئۈچۈن مەيدەڭلارغا ئۇرۇپ ھەسرەت چېكىڭلار!
17200d00ff	ئۈستىدە تىكەن-يانتاقلار ئۆسىدىغان ئۆز خەلقىمنىڭ زېمىنى ئۈچۈن، شاد-خۇرام ئۆيلەر، ۋاراڭ-چۇرۇڭ قىلىپ ئوينايدىغان بۇ شەھەر ئۈچۈن قايغۇرۇڭلار!
17200e017f	چۈنكى ئوردا تاشلىنىدۇ، ئادەملەر بىلەن لىق تولغان شەھەر ئادەمزاتسىز بولىدۇ، ئىستىھكام ۋە كۆزەت مۇنارلىرى ئۇزۇن زامانغىچە پەقەتلا ياۋايى ئېشەكلەر زوق ئالىدىغان، قوي پادىلىرى ئوزۇقلىنىدىغان بوز يەرلەر بولىدۇ.
17200f00ff	تاكى روھ بىزگە يۇقىرىدىن تۆكۈلگۈچە، دالالار مېۋىلىك باغ-ئېتىزلار بولغۇچە، مېۋىلىك باغ-ئېتىزلار ئورمانزار دەپ ھېسابلانغۇچە شۇ پېتى بولىدۇ.
1720100088	شۇ چاغدا ئادالەت دالانى، ھەققانىيلىق مېۋىلىك باغ-ئېتىزلارنى ماكان قىلىدۇ.
17201100fb	ھەققانىيلىقتىن چىقىدىغىنى خاتىرجەملىك بولىدۇ، خاتىرجەملىكنىڭ نەتىجىسى بولسا مەڭگۈگە بولىدىغان ئارام-تىنچلىق ۋە ئامان-ئېسەنلىك بولىدۇ.
17201200b8	شۇنىڭ بىلەن مېنىڭ خەلقىم خاتىرجەم ماكانلاردا، ئىشەنچلىك تۇرالغۇلاردا ۋە تىنچ ئارامگاھلاردا تۇرىدۇ.
17201300aa	ئورمان كېسىلىپ يىقىتىلغاندا مۆلدۈر ياغسىمۇ، شەھەر پۈتۈنلەي يەر بىلەن يەكسان قىلىۋېتىلسىمۇ،
17201400a3	سۇ بويىدا ئۇرۇق تېرىغۇچىلار، كالا ۋە ئېشەكلەرنى كەڭ دالاغا قويۇۋېتىدىغانلار بەختلىكتۇر!
17210101fb	ئى ئۆزۈڭ بۇلاڭ-تالاڭ قىلىنمىغان، باشقىلارنى بۇلاڭ-تالاڭ قىلغۇچى، باشقىلار ساڭا ئاسىيلىق قىلمىغان، ئۆزۈڭ ئاسىيلىق قىلغۇچى، سېنىڭ ھالىڭغا ۋاي! سەن بۇلاڭ-تالاڭنى بولدى قىلىشىڭ بىلەن، ئۆزۈڭ بۇلاڭ-تالاڭ قىلىنىسەن؛ سەن ئاسىيلىقنى بولدى قىلىشىڭ بىلەن، ئۆزۈڭ ئاسىيلىققا ئۇچرايسەن؛
1721020156	ئى پەرۋەردىگار، بىزگە مېھىر-شەپقەت كۆرسەتكەيسەن؛ بىز سېنى ئۈمىد بىلەن كۈتۈپ كەلدۇق؛ ئۆتۈنىمىزكى، سەن ھەر سەھەر [ئىسرائىلغا] كۈچلۈك بىلەك-قول، قىيىنچىلىق پەيتلىرىدە نىجاتىمىز بولغايسەن.
17210300e0	توپ-توپ ئادەملەرنىڭ غوۋغا-چۇقانلىرىدىن خەلقلەر بەدەر قاچىدۇ؛ سەن [خۇدا] قەددىڭنى تىك قىلىشىڭ بىلەن ئەللەر پىتىراپ كېتىدۇ؛
172104014f	چېكەتكە لىچىنكىلىرى ئوت-كۆكلەرنى يىغىپ يەۋالغاندەك، سىلەرگە بېكىتىپ بېرىلگەن ئولجا يىغىۋېلىنىدۇ؛ چېكەتكىلەر ئۇيان-بۇيان يۈگۈرگەندەك ئادەملەر ئولجا ئۈستىدە ئۇيان-بۇيان يۈگۈرۈشىدۇ.
17210500ca	پەرۋەردىگار ئۈستۈن تۇرىدۇ، بەرھەق، ئۇنىڭ تۇرالغۇسى يۇقىرىدىدۇر؛ ئۇ زىئونغا ئادالەت ۋە ھەققانىيلىق تولدۇردى؛
17210600f8	ئۇ بولسا كۈنلىرىڭلارنىڭ تىنچ-ئامانلىقى، نىجاتلىق، دانالىق ۋە بىلىمنىڭ بايلىقلىرى بولىدۇ؛ پەرۋەردىگاردىن قورقۇش ئۇنىڭ ئۈچۈن گۆھەردۇر.
17210700c5	مانا، ئۇلارنىڭ پالۋانلىرى سىرتتا تۇرۇپ نالە-پەرياد كۆتۈرىدۇ؛ سۈلھ-ئەھدە تۈزگەن ئەلچىلەر قاتتىق يىغلىشىدۇ؛
17210800ff	يوللار ئادەمسىز قالدى؛ ئۆتكۈنچى يولچىلار يوق بولدى؛ ئۇ ئەھدىنى بۇزۇپ تاشلىدى؛ شەھەرلەرنى كۆزىگە ئىلمايدۇ، ئادەملەرنى ھېچ ئەتىۋارلىمايدۇ.
17210900ed	زېمىن ماتەم تۇتىدۇ، زەئىپلىشىدۇ؛ لىۋان خىجالەتتىن سولىشىدۇ؛ شارون چۆل-باياۋانغا ئايلاندى؛ باشان ۋە كارمەل بولسا قىرىپ تاشلاندى.
17210a00d3	مانا ھازىر ئورنۇمدىن تۇرىمەن، ــ دەيدۇ پەرۋەردىگار، ــ ھازىر ئۆزۈمنى ئۈستۈن كۆرسىتىمەن، ھازىر قەددىمنى كۆتۈرىمەن.
17210b00d0	ــ سىلەرنىڭ بويۇڭلاردا قۇرۇق ئوت-چۆپلا بار، پاخال تۇغىسىلەر؛ ئۆز نەپەسلىرىڭلار ئوت بولۇپ ئۆزۈڭلارنى يۇتۇۋېتىدۇ؛
17210c00b2	ئەللەر بولسا ھاك كۆيدۈرۈلگەندەك كۆيدۈرىلىدۇ؛ ئورۇلغان جىغان-تىكەنلەردەك ئوتتا كۆيدۈرۈۋېتىلىدۇ.
17210d00be	ــ ئى يىراقتىكىلەر، مېنىڭ قىلغانلىرىمنى ئاڭلاڭلار؛ يېقىندىكىلەر، مېنىڭ كۈچ-قۇدرىتىمنى تونۇپ يېتىڭلار.
