0100000012	پەیدابوون
0e07120109	ئەوا تەختی پاشایەتییەکەت جێگیر دەکەم، هەروەک چۆن پەیمانم لەگەڵ داودی باوکت بەست و فەرمووم:”پیاو لە تۆ نابڕێت بۆ فەرمانڕەوایەتیکردنی ئیسرائیل.“
0e071300d4	«بەڵام ئەگەر لاتان دا و وازتان لە فەرز و فەرمانەکانم هێنا کە پێم داون، چوون و خودای دیکەتان پەرست و کڕنۆشتان بۆ بردن،
0e07140126	ئەوا لە خاکەکەم ڕیشەکێشتان دەکەم کە پێم داون و ئەم پەرستگایەش کە بۆ ناوی خۆم تەرخانم کردووە لەبەرچاوم نایهێڵم و دەیکەمە پەند و مایەی گاڵتەجاڕی لەنێو هەموو گەلان.
0e071500de	ئەم پەرستگا پایەبەرزەش، هەرکەسێک پێیدا تێبپەڕێت سەری سوڕدەمێنێت و دەڵێت:”بۆچی یەزدان وای لەم خاکە و لەم پەرستگایە کرد؟“
0e071601d7	ئینجا خەڵکی وەڵام دەدەنەوە:”لەبەر ئەوەی وازیان لە یەزدانی پەروەردگاری باوباپیرانی خۆیان هێناوە، ئەوەی لە خاکی میسرەوە دەریهێنان و دەستیان بە خودای دیکەوە گرتووە و کڕنۆشیان بۆ بردوون و ئەوانیان پەرستووە، لەبەر ئەوە یەزدان تووشی ئەم هەموو کارەساتەی کردن.“»
0e08010098	لە کۆتایی ئەو بیست ساڵەی کە سلێمان تێیدا پەرستگای یەزدان و کۆشکەکەی خۆی بنیاد دەنا،
0e080200a9	سلێمان ئەو گوندانەی بنیاد نایەوە کە حیرامی پاشا پێیدا و نەوەی ئیسرائیلی تێیاندا نیشتەجێ کرد.
0e08030044	ئینجا سلێمان چوو بۆ حەمات چۆڤا و گرتی.
0e080400b9	هەروەها تەدمۆری لە چۆڵەوانیدا ئاوەدان کردەوە، لەگەڵ هەموو ئەو کۆگایانەی کە لە حەماتدا بنیادی نابوون.
0e080500cb	ئینجا بێت‌حۆرۆنی سەروو و بێت‌حۆرۆنی خوارووی بنیاد نایەوە و کردنی بە شاری قەڵابەند بە شوورا و دەروازە و شمشیرە.
0e080601cd	شارۆچکەی بەعەلاتیشی ئاوەدان کردەوە، لەگەڵ هەموو کۆگاکانی سلێمان، هەروەها ئەو شارۆچکانەی سەربازگەی گالیسکە و ئەو شارۆچکانەی سەربازگەی ئەسپ سوارەکان و هەموو ئەوەی سلێمان ئارەزووی کرد لە ئۆرشەلیم و لە لوبنان و لە هەموو خاکی ژێر دەسەڵاتی خۆی بنیادی بنێت.
0e080700cb	هەروەها هەموو ئەو خەڵکەی پاشماوەی حیتی و ئەمۆری و پریزی و حیڤی و یەبوسییەکان بوون، کە لە نەوەی ئیسرائیل نەبوون،
0e08080101	پاشماوەی ئەم هەموو نەتەوانەی کە نەوەی ئیسرائیل لەناویان نەبردبوون سلێمان وەک کۆیلە بێگاری بەسەردا سەپاندن، هەتا ئەمڕۆش بەسەریان سەپێنراوە.
0e08090102	بەڵام سلێمان بۆ کارەکەی کەسی لە نەوەی ئیسرائیل نەکردە کۆیلە، چونکە ئەوان پیاوی جەنگ و ئەفسەری باڵا، ئەفسەری گالیسکە و گالیسکەسوارەکانی بوون.
0e080a00c5	ئەمانەش ئەو کاربەدەستە باڵایانەی سلێمان پاشا بوون، دوو سەد و پەنجا چاودێر لەسەر ئەو خەڵکەی کارەکەیان دەکرد.
0e080b016a	سلێمان کچەکەی فیرعەونی لە شاری داودەوە بردە ئەو کۆشکەی کە بۆی بنیاد نا، چونکە گوتی: «ژنی من لە کۆشکی داودی پاشای ئیسرائیل دانانیشێت، لەبەر ئەوەی ئەو شوێنانەی سندوقی یەزدانی چووەتە ناو شوێنی پیرۆزن.»
0e080c00c8	ئینجا سلێمان قوربانی سووتاندنی بۆ یەزدان سەرخستە سەر ئەو قوربانگایەی یەزدان کە لەبەردەم هەیوانەکە بنیادی نا.
0e080d015b	قوربانی سووتاندنەکان هەریەکە و لە ڕۆژی خۆی، بەپێی فەرمانەکەی موسا، لە شەممەکان و سەرەمانگەکان و جەژنە دیاریکراوەکان، ساڵانە سێ جار، لە جەژنی فەتیرە و لە جەژنی هەفتەکان و لە جەژنی کەپرەشینە.
0e080e0250	ئینجا بەپێی بڕیاری داودی باوکی، سلێمان بەشی کاهینەکانی بەگوێرەی خزمەتەکانیان دیاری کرد، هەروەها لێڤییەکانی لەسەر ئەرکی خۆیان دانا بۆ ستایشکردن و یارمەتیدانی کاهینەکان، هەریەکە بەگوێرەی پێداویستییەکانی ڕۆژەکەی خۆی. دەرگاوانەکانیشی لە بەشەکانی خۆیان دانا لەسەر هەموو دەرگاکان، چونکە ئەمە فەرمانەکەی داودی پیاوی خودا بوو.
0e080f00c1	لە فەرمانەکانی پاشا لایان نەدا کە سەبارەت بە کاری کاهین و لێڤییەکان درابوو، هەروەها بە کاری گەنجینەکانیش.
0e081000d9	بەم شێوەیە هەموو کارەکانی سلێمان ئامادە کرا، لە ڕۆژی بناغەدانانییەوە هەتا تەواوبوونی، ئیتر پەرستگای یەزدان تەواو بوو.
0e08110086	ئینجا سلێمان چوو بۆ عەچیۆن گەڤەر و ئێلەت لەسەر کەناری دەریا لە خاکی ئەدۆم.
0e08120166	حیرام بەدەستی ئەفسەرە کەشتیوانە شارەزاکانی لە دەریا چەند کەشتییەکی نارد، ئەوانیش لەگەڵ خزمەتکارەکانی سلێماندا چوونە ئۆفیر و لەوێوە چوار سەد و پەنجا تالنت زێڕیان هەڵگرت و بۆ سلێمانی پاشایان هێنا.
0e090101be	کاتێک شاژنی شەبا ناوبانگی سلێمانی بیست، هاتە ئۆرشەلیم بۆ ئەوەی بە چەند مەتەڵێک تاقی بکاتەوە. بە کەژاوەیەکی زۆر گەورەوە، وشتری بارکراو لە بۆنوبەرام و زێڕی زۆر و بەردی گرانبەها، هاتە لای سلێمان و لەبارەی هەموو ئەو شتانەی لە دڵی بوو قسەی لەگەڵ کرد.
0e090200a1	سلێمانیش وەڵامی هەموو پرسیارەکانی دایەوە، هیچ شتێک بۆ سلێمان قورس نەبوو وەڵامی بداتەوە.
0e09030077	کاتێک شاژنی شەبا دانایی سلێمان و ئەو کۆشکەی بینی کە بنیادی نابوو،
0e09040196	هەروەها خواردنی سەر خوانەکەی، دانیشتنی دەستوپێوەندەکانی، ڕێکوپێکی خزمەتکارەکانی و جلوبەرگاکانیان، ساقییەکان و جلوبەرگەکانیان و ئەو قوربانی سووتاندنانەی کە سلێمان لە پەرستگای یەزدان دەیکرد، لە بینینی ئەمانە سەرسام بوو.
0e0905009b	بە پاشای گوت: «ئەو هەواڵەی کە لە خاکەکەمدا لەبارەی کاروبار و داناییەکەت بیستم، ڕاستە.
0e0906011f	بڕوام بەو هەواڵانە نەکرد هەتا نەهاتم و بە چاوی خۆم نەمبینی، ئەوەتا نیوەی داناییە زۆرەکەی تۆم پێ ڕانەگەیەنراوە، زۆر مەزنتر بوویت لەوەی لەبارەی تۆوە بیستبووم.
0e090700e0	خۆزگە بە پیاوەکانت دەخوازرێ، خۆزگە بە خزمەتکارەکانت دەخوازرێ، ئەمانە کە هەمیشە لەبەردەمت ڕاوەستاون و داناییەکەت دەبیستن.
0e090801b8	ستایش بۆ یەزدانی پەروەردگارت، ئەوەی پێت دڵشادە و لەسەر تەخت دایناویت ببیتە پاشا بۆ یەزدانی پەروەردگارت. خوداکەت لەبەر ئەوەی ئیسرائیلی خۆشویستووە و ویستی هەتاهەتایە جێگیری بکات، تۆی کردووەتە پاشا تاکو ڕاستودروستی و دادپەروەری پیادە بکەیت.»
0e09090137	ئینجا سەد و بیست تالنت زێڕ و بۆنوبەرامێکی زۆر و بەردی گرانبەهای دایە پاشا، جارێکی دیکە بۆنوبەرامی بەو جۆرە زۆر نەهاتەوە، هێندەی ئەوەی شاژنی شەبا پێشکەشی سلێمان پاشای کرد.
0e090a00ef	هەروەها خزمەتکارەکانی حیرام و خزمەتکارەکانی سلێمان، ئەوانەی لە ئۆفیرەوە زێڕیان هێنابوو، دار ئەلگوم و بەردی گرانبەهاشیان هێنابوو.
0e090b0130	پاشا لەو دار ئەلگومانە پێپلیکانەی بۆ پەرستگای یەزدان و کۆشکی پاشا دروستکرد، هەروەها قیسارە و سازیش بۆ گۆرانیبێژەکان، وەک ئەو دارانە پێشتر لە خاکی یەهودا نەبینرابوون.
0e090c013d	سلێمانی پاشا هەموو ئەو شتانەی دایە شاژنی شەبا کە ئارەزووی کرد، جگە لەوەی پاشا پێیدا لە بەرامبەر ئەوەی بۆی هێنابوو. پاشان لەگەڵ خزمەتکارەکانی بەڕێکەوت و گەڕایەوە خاکەکەی خۆی.
0e090d0091	کێشی ئەو زێڕەش کە لە ساڵێکدا بۆ سلێمان دەهات، شەش سەد و شەست و شەش تالنت زێڕ بوو،
0e090e0102	جگە لەو باجەی لە بازرگان و فرۆشیارەکانەوە وەردەگیرا. هەروەها هەموو پاشایانی عەرەبستان و فەرمانڕەوایانی خاکەکە زێڕ و زیویان بۆ سلێمان دەهێنا.
0e090f00ba	سلێمانی پاشا دوو سەد قەڵغانی گەورەی لە زێڕی کوتراو دروستکرد، شەش سەد شاقل زێڕی کوتراو بۆ هەر قەڵغانێک.
0e091000e9	سێ سەد قەڵغانی بچووکیشی لە زێڕی کوتراو دروستکرد، سێ سەد شاقل زێڕ بۆ هەر قەڵغانێک. ئینجا پاشا لە کۆشکی دارستانەکەی لوبنان داینان.
0e09110085	هەروەها پاشا تەختێکی گەورەی لە عاج دروستکرد و بە زێڕی بێگەرد ڕووپۆشی کرد.
0e0912013c	تەختەکە شەش پێپلیکانەی هەبوو لەگەڵ تەختەپێیەک، هەموویان پێکەوە بەسترابوون، دوو دەسک لەم لاو لەو لایەوە لەسەر شوێنی دانیشتنەکە، دوو شێری ڕاوەستاویش لەتەنیشت دەسکەکان بوون.
0e091300c6	دوازدە شێری ڕاوەستاویش لەسەر ئەم لاو ئەو لای شەش پێپلیکانەکە هەبوو. لە هیچ پاشایەتییەک شتی وا دروستنەکرابوو.
0e09140186	هەموو کاسە و جامەکانی خواردنەوەی سلێمان پاشا زێڕ بوون، هەروەها هەموو قاپوقاچاغەکانی کۆشکی دارستانەکەی لوبنان لە زێڕی بێگەرد بوون، هیچ شتێک لە زیو دروستنەکرابوو، چونکە لە سەردەمی سلێمان زیو بەهایەکی ئەوتۆی نەبوو.
0e091500d9	کەشتیگەلی پاشا لەگەڵ خزمەتکارەکانی حیرام دەڕۆیشتن و هەر سێ ساڵ جارێک دەهاتن و زێڕ و زیو و عاج و مەیمون و تاوسیان دەهێنا.
0e09160091	سلێمان گەورەترین پاشا بوو لەنێو پاشاکانی سەر زەوی چ لە دەوڵەمەندی و چ لە دانایی.
0e091700d0	هەموو پاشایانی سەر زەوی بە ئاواتەوە بوون ڕووی سلێمان ببینن، هەتا گوێ لە داناییەکەی بگرن کە خودا لە دڵیدا داینابوو.
0e091800d4	هەریەکە و ساڵ لەدوای ساڵ بە دیاری خۆیانەوە دەهاتن، لە قاپوقاچاغی زێڕ و زیو و جلوبەرگ و چەک و بۆنوبەرام و ئەسپ و هێستر.
0e09190115	سلێمان چوار هەزار تەویلەی ئەسپ و گالیسکە و دوازدە هەزار ئەسپی هەبوو. لە شارەکانی گالیسکەکان داینان، هەروەها هەندێکیان لەلای خۆی لە ئۆرشەلیم جێگیر کردن.
0e091a00b8	بەسەر هەموو پاشاکاندا فەرمانڕەوایی دەکرد، لە ڕووباری فوراتەوە هەتا خاکی فەلەستییەکان و سنووری میسر.
0e091b00ce	هەروەها پاشا کارێکی وای کرد کە لە ئۆرشەلیم زیو وەک بەردی لێ بێت، دار ئورزیش لە زۆری وەک دار هەنجیری زوورگەکان بێت.
0e091c0072	ئەسپەکانی سلێمان لە میسر و هەموو وڵاتانی دیکەوە هاوردە دەکران.
0e091d0177	ڕووداوەکانی دیکەی پاشایەتی سلێمان لە سەرەتاوە هەتا کۆتایی لە تۆمارەکانی ناتانی پێغەمبەر و لە پەیامەکەی ئاحییای شیلۆنی نووسراون، هەروەها لەو بینینانەش کە عیدۆ سەبارەت بە یارۆڤعامی کوڕی نەڤات ڕایدەگەیاند.
0e091e0065	سلێمان چل ساڵ لە ئۆرشەلیم پاشایەتی هەموو ئیسرائیلی کرد.
0e091f00d9	پاشان سلێمان لەگەڵ باوباپیرانی سەری نایەوە و لە شارەکەی داودی باوکی نێژرا. ئیتر ڕەحەڤەعامی کوڕی لەدوای خۆی بوو بە پاشا.
0e0a010093	ڕەحەڤەعام چوو بۆ شەخەم، چونکە هەموو ئیسرائیل چووبوونە ئەوێ بۆ ئەوەی بیکەنە پاشا.
0e0a0200db	یارۆڤعامی کوڕی نەڤات ئەوەی لەبەردەم سلێمان پاشا هەڵاتبوو هێشتا لە میسر بوو، بەڵام کاتێک ئەمەی بیست لە میسرەوە گەڕایەوە.
0e0a0300a0	پاشان بەدوایاندا نارد، ئینجا یارۆڤعام و هەموو ئیسرائیل چوونە لای ڕەحەڤەعام و پێیان گوت:
0e0a0400ec	«باوکت نیرەکەی ئێمەی قورس کرد، بەڵام ئێستا تۆ لە ئەرکە سەختەکەی باوکت و لە نیرە قورسەکەی ئێمە سووک بکەرەوە، ئێمەش خزمەتت دەکەین.»
0e0a05008b	ڕەحەڤەعامیش وەڵامی دانەوە: «لەپاش سێ ڕۆژی دیکە بگەڕێنەوە لام.» گەلیش ڕۆیشتن.
0e0a060121	ئینجا ڕەحەڤەعام پاشا ڕاوێژی بەو پیرانە کرد کە لە خزمەتی سلێمانی باوکیدا بوون کاتێک کە لە ژیاندا بوو، لێی پرسین: «تەگبیرتان چییە، چۆن وەڵامی ئەم گەلە بدەمەوە؟»
0e0a0700ff	ئەوانیش قسەیان لەگەڵی کرد و گوتیان: «ئەگەر لەگەڵ ئەم گەلە چاک بیت و ڕازییان بکەیت و قسەی چاکیان لەگەڵ بکەیت، ئەوا بۆ هەمیشە دەبنە بەندەی تۆ.»
0e0a0800d9	بەڵام ڕەحەڤەعام ڕاوێژی پیرەکانی پشتگوێ خست کە پێیان دا و ڕاوێژی بەو گەنجانە کرد کە لەگەڵی گەورە ببوون و خزمەتیان دەکرد.
0e0a090110	لێی پرسین: «ئێوە ڕاتان چییە؟ بە چی وەڵامی ئەم گەلە بدەینەوە، کە قسەیان لەگەڵ کردووم و گوتیان:”ئەو نیرەی باوکت کە لەسەر ئێمەی داناوە سووکی بکەرەوە؟“»
0e0a0a0172	ئەو گەنجانەش کە لەگەڵی گەورە ببوون، وەڵامیان دایەوە: «ئەو گەلەی کە پێیان گوتی:”باوکت نیرەکەی ئێمەی قورس کردووە، بەڵام تۆ نیرەکەمان لەسەر سووک بکە“تۆ پێیان بڵێ:”پەنجە تووتەم لە کەمەری باوکم ئەستوورترە.
0e0a0b00f3	باوکم بە نیرێکی قورس باری کردوون، ئێستاش من زیاتر دەخەمە سەر نیرەکەتان، باوکم بە قامچی تەمبێی کردوون، من بە دووپشک تەمبێتان دەکەم.“»
0e0a0c00d3	لە ڕۆژی سێیەم یارۆڤعام و هەموو گەل هاتنە لای ڕەحەڤەعام، هەروەک پاشا پێی گوتبوون: «لەپاش سێ ڕۆژی دیکە بگەڕێنەوە لام.»
0e0a0d0068	پاشا بە توندی وەڵامی دانەوە، ڕاوێژی پیرەکانی پشتگوێ خست،
0e0a0e012f	بەپێی ئامۆژگاری گەنجەکان قسەی لەگەڵ کردن و گوتی: «باوکم نیرەکەی ئێوەی قورس کرد، منیش نیرەکەتان قورستر دەکەم. باوکم بە قامچی تەمبێی کردن، من بە دووپشک تەمبێتان دەکەم.»
0e0a0f0113	پاشا گوێی لە گەل نەگرت، ئەمە بە ویستی خودا بوو، هەتا فەرمایشتەکەی بهێنێتە دی، ئەوەی یەزدان لە ڕێگەی ئاحییای شیلۆنی بە یارۆڤعامی کوڕی نەڤاتی فەرمووبوو.
0e0a1001c5	کاتێک هەموو ئیسرائیل بینییان پاشا گوێی لێ نەگرتن، گەل وەڵامی پاشایان دایەوە: «چ بەشێکمان لەگەڵ داود هەیە، چ میراتێک لە کوڕی یەسا؟ ئەی ئیسرائیل، بگەڕێنەوە چادرەکانتان! ئەی داود، تەماشای ماڵەکەت بکە!» ئیتر هەموو ئیسرائیلییەکان گەڕانەوە چادرەکانیان.
0e0a1100b5	بەڵام ڕەحەڤەعام هێشتا پاشایەتی دەکرد بەسەر ئەو ئیسرائیلییانەی لە شارۆچکەکانی یەهودا نیشتەجێ بوون.
0e0a120166	ڕەحەڤەعام پاشا ئەدۆنیرامی نارد، ئەوەی کە سەرپەرشتیاری کاری بێگاری بوو، بەڵام نەوەی ئیسرائیل بەردبارانیان کرد و مرد. ئیتر ڕەحەڤەعام پاشا پێڕاگەیشت کە سواری گالیسکەکەی بێت و بەرەو ئۆرشەلیم هەڵبێت.
0e0a13006a	بەو شێوەیە هەتا ئەمڕۆ ئیسرائیل لە بنەماڵەی داود یاخی بوون.
0e0b010145	کاتێک ڕەحەڤەعام گەیشتە ئۆرشەلیم، بنەماڵەی یەهودا و بنیامینی کۆکردەوە، سەد و هەشتا هەزار جەنگاوەری هەڵبژارد، هەتا لە دژی ئیسرائیل بجەنگن و پاشایەتییەکە بۆ ڕەحەڤەعام بگەڕێننەوە.
0e0b020056	بەڵام پەیامی یەزدان بۆ شەمەعیای پیاوی خودا هات:
0e0b0300a7	«بە ڕەحەڤەعامی کوڕی سلێمان، پاشای یەهودا و بە هەموو نەوەی ئیسرائیل لە یەهودا و بنیامین بڵێ،
0e0b040176	”یەزدان ئەمە دەفەرموێت: مەچن و لە دژی براکانتان مەجەنگن. هەریەکە و بۆ ماڵەکەی خۆی بگەڕێتەوە، چونکە ئەمە لەلایەن منەوەیە.“» ئەوانیش گوێڕایەڵی فەرمایشتی یەزدان بوون و هێرشیان نەکردە سەر یارۆڤعام و کشانەوە.
0e0b050096	ڕەحەڤەعام لە ئۆرشەلیم نیشتەجێ بوو و لە یەهودا چەند شارێکی قەڵابەندی بنیاد نایەوە،
0e0b060036	وەک بێت‌لەحم، عێتام، تەقۆعە،
0e0b07002f	بێت‌چوور، سۆخۆ، عەدولام،
0e0b080020	گەت، مارێشا، زیف،
0e0b09002e	ئەدۆرەیم، لاخیش، عەزێقا،
0e0b0a0090	چۆرعا، ئەیالۆن و حەبرۆن. ئەم شارە قەڵابەندانە لەناو خاکی یەهودا و بنیامین بوون.
0e0b0b009d	جا قەڵاکانی بەهێز کرد و فەرماندەکان و ئەمبارەکانی خواردن و زەیت و شەرابی تێیاندا دانا.
0e0b0c00b4	لە هەموو شارێکیش قەڵغان و ڕمی دانا و زۆر بەهێزی کردن، یەهودا و بنیامینی لەژێر دەسەڵاتی خۆی هێشتەوە.
0e0b0d00b9	کاهین و لێڤییەکانیش لە هەموو سنوورەکانی خۆیانەوە لە سەرتاسەری ئیسرائیلدا هاتن و لایەنگری ئەمیان کرد.
0e0b0e012b	هەروەها لێڤییەکان لەوەڕگاکانیان و موڵکەکانیان بەجێهێشت و چوون بۆ یەهودا و بۆ ئۆرشەلیم، لەبەر ئەوەی یارۆڤعام و کوڕەکانی ڕەتیان کردنەوە کە کاهینیێتی بۆ یەزدان بکەن.
0e0b0f00dd	جا یارۆڤعام بۆ خۆی چەند کاهینێکی دانا بۆ نزرگەکانی سەر بەرزاییەکان و بۆ ئەو بتانەی کە لە شێوەی تەگە و گوێرەکە دروستی کردن.
0e0b10015e	ئەوانەی لە هەموو هۆزەکانی ئیسرائیل کە بە هەموو دڵ ڕوویان لە یەزدانی پەروەردگاری ئیسرائیل دەکرد، دوای لێڤییەکان کەوتن و چوونە ئۆرشەلیم هەتا قوربانی بۆ یەزدانی پەروەردگاری باوباپیرانیان بکەن.
0e0b1100ed	جا پاشایەتییەکەی یەهودایان بەهێز کرد و سێ ساڵ پاڵپشتی ڕەحەڤەعامی کوڕی سلێمانیان کرد، چونکە سێ ساڵ ڕێگای داود و سلێمانیان گرتەبەر.
0e0b1200ad	ڕەحەڤەعام ماحەلەتی کچی یەریمۆتی کوڕی داودی هێنا، کە دایکی ئەبیهەیلی کچی ئەلیابی کوڕی یەسا بوو.
0e0b13006a	ماحەلەتیش ئەم کوڕانەی بۆ خستەوە: یەعوش، شەمەریاهو و زەهەم.
0e0b1400a6	پاشان ڕەحەڤەعام مەعکای کچی ئەبشالۆمی هێنا، ئەویش ئەبیا و عەتەی و زیزا و شەلۆمیتی بۆ خستەوە.
0e0b150116	ڕەحەڤەعام مەعکای کچی ئەبشالۆمی لە هەموو ژن و کەنیزەکانی دیکەی خۆی زیاتر خۆشدەویست، چونکە هەژدە ژن و شەست کەنیزەی هەبوو، بیست و هەشت کوڕ و شەست کچیشی بوو.
0e0b1600ab	ڕەحەڤەعام ئەبیای کوڕی کە لە مەعکای بوو، لەنێو براکانی کرد بە میر هەتا لە جێی خۆی بیکات بە پاشا.
0e0b170122	جا ڕەحەڤەعام بە داناییەوە کوڕەکانی بەناو هەموو ناوچەکانی یەهودا و بنیامیندا لە هەموو شارە قەڵابەندەکان بڵاو کردەوە و خواردنی زۆری پێدان و ژنی زۆریشی بۆ هێنان.
0e0c010102	ئەوە بوو کە پاشایەتییەکەی ڕەحەڤەعام جێگیر و بەهێز بوو، ئەو و هەموو ئەو ئیسرائیلییانەشی کە لەگەڵیدا بوون، وازیان لە فێرکردنەکانی یەزدان هێنا.
0e0c0200d1	لە پێنجەمین ساڵی پاشایەتی ڕەحەڤەعام، شیشەقی پاشای میسر هێرشی کردە سەر ئۆرشەلیم، چونکە ناپاکییان لەگەڵ یەزدان کرد.
0e0c0300d7	شیشەق بە هەزار و دوو سەد گالیسکە، شەست هەزار سوار و سەربازێکی بێشوماری لیبی، سوخی و کوشی کە لە میسرەوە لەگەڵی هاتبوون،
0e0c04005e	شارە قەڵابەندەکانی یەهودای گرت و هاتە سەر ئۆرشەلیم.
0e0c05019c	پاشان شەمەعیای پێغەمبەر هات بۆ لای ڕەحەڤەعام و ئەو سەرکردانەی یەهودا کە لە ترسی شیشەق لە ئۆرشەلیم کۆببوونەوە و پێی گوتن: «یەزدان ئەمە دەفەرموێت:”ئێوە وازتان لە من هێنا، لەبەر ئەوە منیش لەناو دەستی شیشەقدا وازم لە ئێوە هێنا.“»
0e0c06009c	ئەو کاتە سەرکردەکانی ئیسرائیل و پاشاش خۆیان نزم کردەوە و گوتیان: «یەزدان دادپەروەرە!»
0e0c070179	کە یەزدان بینی خۆیان نزم کردەوە، فەرمایشتی یەزدان بۆ شەمەعیا هات و فەرمووی: «لەبەر ئەوەی خۆیان نزم کردەوە، لەناویان نابەم، بەڵکو خێرا دەربازیان دەکەم و لەسەر دەستی شیشەق تووڕەییم بەسەر ئۆرشەلیمدا نابارێنم.
0e0c0800c9	لەگەڵ ئەوەشدا دەبن بە کۆیلەی ئەو هەتا جیاوازی نێوان خزمەتکردنی من و خزمەتکردنی پاشاکانی خاکەکانی دیکە بزانن.»
0e0c090124	کاتێک شیشەقی پاشای میسر پەلاماری ئۆرشەلیمی دا، گەنجینەکانی پەرستگای یەزدان و کۆشکی پاشا و هەرچی هەبوو بردی، قەڵغانە زێڕینەکانیشی برد کە سلێمان دروستی کردبوون.
0e0c0a00e0	لەبەر ئەوە ڕەحەڤەعام پاشا لە جێی ئەوانە قەڵغانی بڕۆنزی دروستکرد و دایە دەستی سەرکردەی پاسەوانەکانی دەروازەی کۆشکی شاهانە.
0e0c0b00fb	هەر کاتێک پاشا بۆ پەرستگای یەزدان دەچوو، پاسەوانەکان قەڵغانەکانیان هەڵدەگرت و لەگەڵیدا دەچوون، پاشان دەیانگەڕاندەوە ژووری پاسەوانەکان.
0e0c0c0104	لەبەر ئەوەی ڕەحەڤەعام خۆی نزم کردەوە، تووڕەییەکەی یەزدان دامرکایەوە و بە تەواوی لەناوی نەبرد، هەروەها هەندێک کاری چاکیش لە یەهودا بەدی کراوە.
0e0c0d0206	ڕەحەڤەعام پاشا دەسەڵاتی خۆی لە ئۆرشەلیم بەهێز کرد و بەردەوام بوو لە پاشایەتیکردنی، تەمەنی چل و یەک ساڵ بوو کاتێک بوو بە پاشا و حەڤدە ساڵ لە ئۆرشەلیم پاشایەتی کرد، ئەو شارەی کە یەزدان هەڵیبژارد لەنێو هەموو هۆزەکانی ئیسرائیلدا هەتا ناوی خۆی تێیدا دابنێت. دایکیشی ناوی نەعمای عەمۆنی بوو.
0e0c0e006b	ئەو خراپەکاری کرد، چونکە بە هەموو دڵ ڕووی لە خودا نەکردبوو.
0e0c0f015c	ڕووداوەکانی پاشایەتی ڕەحەڤەعام لە سەرەتاوە هەتا کۆتایی لە تۆمارەکانی شەمەعیا پێغەمبەر و لە بینینەکانی عیدۆ دەربارەی ڕەچەڵەکەکان نووسراون. بەردەوام جەنگ لەنێوان ڕەحەڤەعام و یارۆڤعام هەبوو.
0e0c1000ca	ئیتر ڕەحەڤەعام لەگەڵ باوباپیرانی سەری نایەوە و لە شاری داود بە خاک سپێردرا، ئەبیای کوڕی لەدوای خۆی بوو بە پاشا.
0e0d010076	لە هەژدەیەمین ساڵی پاشایەتی یارۆڤعام، ئەبیا بوو بە پاشای یەهودا.
0e0d0200f0	سێ ساڵ لە ئۆرشەلیم پاشایەتی کرد، ناوی دایکی مەعکای کچی ئوریێل بوو، خەڵکی گیڤعا بوو. ئەوە بوو جەنگ لەنێوان ئەبیا و یارۆڤعام هەڵگیرسا.
0e0d03014a	ئەبیا بە سوپایەکی چوار سەد هەزار جەنگاوەری توانادارەوە چووە ناو جەنگەکە، یارۆڤعامیش بەرەی بەست بۆ ڕووبەڕووبوونەوەی ئەو بە هەشت سەد هەزار جەنگاوەری هەڵبژاردەوە لە پیاوانی پاڵەوان.
0e0d0400d4	ئەبیا لەسەر کێوی چەمارایم کە لە ناوچە شاخاوییەکانی ئەفرایمە ڕاوەستا و گوتی: «یارۆڤعام و هەموو ئیسرائیل گوێم لێ بگرن!
0e0d0500d9	ئایا نازانن کە یەزدانی پەروەردگاری ئیسرائیل پاشایەتی ئیسرائیلی بە پەیمانی نمەک بە داود و نەوەکانی داوە بۆ هەتاهەتایە؟
0e0d06009b	کەچی یارۆڤعامی کوڕی نەڤات، خزمەتکاری سلێمانی کوڕی داود هەستا و لە گەورەکەی یاخی بوو،
0e0d070123	جا کۆمەڵێک پیاوخراپ و سووکوچروک لێی کۆبوونەوە و خۆیان لە دژی ڕەحەڤەعامی کوڕی سلێمان بەهێز کرد و ڕەحەڤەعامیش گەنجێکی پێنەگەیشتوو بوو و خۆی لەبەردەمیاندا نەگرت.
0e0d08015e	«ئێستاش ئێوە دەڵێن کە خۆتان لەبەردەم پاشایەتی یەزداندا ڕادەگرن کە بە دەستی نەوەی داودەوەیە. ڕاستە ئێوە کۆمەڵێکی زۆرن و گوێرەکە زێڕەکانیشتان لەگەڵدایە کە یارۆڤعام کردوونی بە خوداوەندەکانتان.
0e0d090195	بەڵام ئایا ئێوە کاهینەکانی یەزدان، نەوەکانی هارون و لێڤییەکانتان دەرنەکرد و وەک گەلانی خاکەکانی دیکە کاهینتان بۆ خۆتان دانەنا؟ ئەوەی بێت بۆ خۆتەرخانکردن بە جوانەگایەک و حەوت بەرانەوە، دەبێت بە کاهینی ئەوانەی کە خودا نین.
0e0d0a010c	«بەڵام سەبارەت بە ئێمە یەزدان خودامانە و وازمان لێ نەهێناوە. ئەو کاهینانەی کە خزمەتی یەزدان دەکەن، ئەوان نەوەی هارون و لێڤییەکان یارمەتییان دەدەن.
