2800000007	Matiewo
2d0e110088	Kelima, U Tienu Diema ki tie jiedi yeni bonñukaama ya maama ka, ama, li tie mi teginma, mi yanduanma, yeni li pamanli mi Foŋanma nni.
2d0e12006c	Lanwani ii, yua n tuuni Kiristo po, ki tuagi lanya sanu, U Tienu ba tuo o yema, bi niba mo ń pagi o tuada.
2d0e130045	Lanwani ii, tin ya ŋua mi buama sanu yeni yaali n ba ŋanbi yuakuli.
2d0e140082	Da biidi U Tienu tuonli ti jiedi po. Tin ya bani ke bonlikuli ŋani, ama, li jɔgni yua n ba di, ki tua tantuudkaali o lieba po i.
2d0e150073	Li ŋani ke nilo ń da ŋmani nandi, ki da ñu daama mo, yeni ya bonli n ba cedi a kpiilo yama ń ña a niinni.
2d0e160084	ŋan pia ya dudugdi, tin ya ye fini yeni U Tienu siiga. Mi yediŋanma baa ye yeni yua n ki jalgi o yuli wan jagi ki cuo yaali ya po.
2d0e17008e	Yua ya yama n lengidi, ke o dini, o ba taa i tagli, kelima laa ñani ti dudugdi kani ka. To yaali n ki tie dudugdi maama mo, tie tuonbiadi i.
2d0f01005c	Mɔlane, tinba yaaba n pia u paalu ń gbadi a tadma tadingu niima nni, ki da dongi ti yuli.
2d0f02005a	Ti siig, yuakuli ń ya tie ti yaali n ŋani, ki mangi o lielo pali, klan pugni o dudugdi.
2d0f03007c	Kelima bá Kiristo bo ki dongi o yuli. O bo li tie nani lan diani maama yeni, yaaba n den sugdi a sugdi guani n yuli po.”
2d0f040099	Kelima, ban bo diani ya diani kuli tie tinba ya tundma po i, ke a i diani ń wangi ya juunli yeni yin paandi ti pala maama, tin fidi ki baa li dandanli.
2d0f050072	N miadi ke li juunli yeni mi baagima Tienu ń cedi yuakuli ń taa yantiayenli o lielo po nani Jesu Kiristo yeni.
2d0f06006d	Ke tin fidi ki taani yantiayenli yeni ñɔyenbu, ki fidi ki kpiagi ti Diedo Jesu Kiristo Báa yeni O Tienu.
2d0f070064	Lanwani ii, yin ya gaani i lieba cangu nani Kiristo ń ga i cangu maama ke wan kpiagi U Tienu yeli.
2d0f08008d	Kelima, n yedi ke Kiristo yua ku kɔnciagu naciemo ki waani U Tienu mɔmɔni, ke lan dɔgdi ki waani wan tieni yeni i yaajanba ya ñɔnianu.
2d0f0900a0	Yeni bi nilanba ke ban tieni U Tienu balga, o niñingbadma po. Nani lan diani maama, “Lanyognu n kpiagi a yeli bi nilanba siiga, ki yiini ki dondi a yeli.”
2d0f0a0048	Li go diani, “Mangi mani i pala, bi nilanba, yinba yeni i dogtieba.”
2d0f0b005b	Ki go diani, “Dondi mani O Diedo, yinba bi nilanba kuli; bi dogtieba kuli ń dondi o.”
2d0f0c0079	Isayi go yedi, “Li benpaali ba pudi Jese cugli nni, ki fii, ki diedi bi nilanba. Bi nilanba ba baa li dandanli o po.”
2d0f0d0093	Mɔlane, N miadi ke U Tienu dandanli ń gbieni yi yeni ti dudugdi pamanli yeni mi yanduanma, ke yin ya gbie yeni li dandanli Mi Foŋanma paalu po.
2d0f0e00b3	N kpiiba, mini mɔno pali paa i po, N pali paa i po, kelima yinba mɔno gbie yeni ti ŋandi, ki gbie yeni banmabuoli kuli. N pali go paa i po kelima, i ba fidi ki ya tigi i lieba.
2d0f0f0072	N go dangi yi ya tisɔnkaali ne yeni li pamancianli, ki bua min tiadi yi, kelima U tienu ń puni nni ya paabu po.
2d0f1000e7	Li paabu tie ke n ba tua Jesu Kiristo n ba sɔni ya naaciemo bi nilanba siiga. Ke min tua salga yidka, ki waani ba U Tienu laabaalŋamo. N ba tieni lani, lan todi, bi nilanba paabu ń tua ya paabu n ŋani ki gbie yeni mi Foŋanma.
2d0f110056	N pamancianli tie ke min kpiagi Jesu Kiristo yeli yeni U Tienu ń tieni ya bona kuli.
2d0f120099	Kelima mii pia papaali ki ba yedi libakuli kase Kiristo ń sɔni ya tuonli n po, ki ba cedi bi nilanba ń la yaalidgu yeni u paaciamu tuona, ki cɔlni.
2d0f130088	Mi Foŋanma paaciamu po min cili Jerusalema yeni li tinkundogi, ki ban pundi hali Iliri, min fidi ki yadi ki waani Kiristo laabaalŋamo.
2d0f1400c1	Lanya sanu nni i, ke n payianu den tie ke min yadi, ki waanu o laabaalŋamo, ama, li ki tie ban bani Kiristo yeli naankani ka, li tieni ke min da ti gedi ki maa nitiano ń bili ya fiagli po i.
2d0f150089	Nani lan diani maama: “Yaaba n ki kpeli ki baa li maalma o maama po, ba bandi o,” ke yaaba n ki kpeli ki gbadi mo ba gbadi niima nni.
2d0f16002c	Lanya po i, ke li pani nni ke mi cua i kani.
2d0f17006a	Ama, mɔlane, N ji ki pia kaanu, ki ba kali ya tinbuali ne, li ki luo bina ke N lingi ke min pundi i kani.
2d0f180061	Lanwani ii, N ya caa, Esipañi, n ba jadi i kani, yin ciani nni, li waagi ke n jiki baa i yegnu.
2d0f190037	Mɔlane, N caa Jerusalema, ki bua sɔni bi dogkaaba po.
2d0f1a0083	Kelima, li baatie pamancianli i, Maseduani yeni Acihaya yaaba po, ke ban teni bu paabu, ki todi talginba, Jeruslema dugkaaba siiga.
2d0f1b0096	Nn, li den tie bi po pamancianli i, yende, bi tie bi pandanba i. Kelima, bi nilanba ya baa bi yenpaabu, li tie ke bimo ń baa bikani ŋanduna bona i.
2d0f1c0090	Lanwani ii, N ya sɔni lanya tuonli ki gbeni, ki diidi ki sua ke min taani ya paabu kuli kua bi nui nni, N ya caa Esipañi, N ba tɔgni i kani.
2d0f1d0052	N bani ke min ba pundi i kani, li ba sua ke i kuli gbie yeni Kiristo yediŋanma i.
2d0f1e00b1	N kpiiba, Mɔlane, ti Diedo Jesu Kiristo yeli po, yeni Foŋanma buama po, N tigi yi, ki paandi i pala, ke yin mua ti jadi yin jaandi ki miadi U Tienu ya yognu kuli, ki todi nni.
2d0f1f0086	Yin ya jaandi ki miadi ke Jude yaaba yaaba n ki cɔlni yeni ń ŋa nni, min fuodi, ke Jerusalema dugkaaba pali ń mangi n tuonli po.
2d0f200072	Ya jaandi mani, ki mia ke U Tienu buama po, ke min pundi i kani yeni li pamanli, ki taani yeni yi ki baa mi fuoma.
2d0f210037	N miadi ke Mi yanduanma Tienu ń ya ye yeni ikuli. Ami
2d1001003c	n fuondi n ninsalo yua n tie sancle jaandiegu nni tuonsoanlo
2d100200a9	ke yin ga o ti yonbidaano yeli po maama ndagidi binigagidi ŋanba po yaala n buali yin todo kuli, kelima wani o ba den tua todika yaa nbi n yabi po yeni min yaa po kuli.
2d10030053	fuondi mani Pilisila yeni Akilasa n tuonsoalieba ti yonbidaano Jesu Kilisi yeli po.
2d1004006d	bani n den luni bi miana ki fie min polo yaa miali min bebe ka tiendi ba baliga ama yeni li jaandie yaba kuli
2d10050076	fuondi yaa jaandiegu nye bi deni, fuondi mani Epayineti n doanli moano, o tie kilisiti po bon kpiali Asi yaa dogu nni.
2d10060034	fuondi mani maliyama yua n soani li tuonpaali yi po.
2d10070094	fuondi mani An dienikusi, yeni Juniasi, n baa n ba yeni n yonbi lieba bi tie utienu tonda siiga ni moanba yaaba n kpa kicili uTienu tuonli yeni min.
2d1008002f	fuondi n danli ANpilia ti yonbi daano yeli nni.
2d10090046	fuondi n tuonsoalielo yudiben kilisiti nni yeni Sitasine n danli moano
2d100a0052	fuondi mani Apilasa wan yua n se ke li pa kilisiti nni yeni, Asitibolo deni yaaba.
2d100b0060	fuondi mani ti kpiilo Elodiana, fuondi mani Narsise den po yaaba yaaba n ye ti yonbi daano kuli.
2d100c0087	fuondi mani Trifeni yeni Trifoni yaaba n soani tuonpaali ti yonbi daano po, fuondi Pilisila wan yua n soani boncianla ti yonbidaano po.
2d100d0047	fuondi rufu yua ke yonbidaan lugido yeni o na yua n tie ti kuli yaa na,
2d100e0053	fuondi Asynkilita Fileseno, hermesi, Patroba Hermasi, yeni ti jaba yaaba n ye yeno.
2d100f0066	fuondi mani Filologi, yeni Julie Merde yeni o nisalo Olynpe yeni o nigagidi ŋanba yaaba n ye yeni ba.
2d1010004c	yin yaaa binini mani yi yaba ki fuodi ba. li jaandieli yaaba kuli fuondi yi,
2d10110098	moala ncegili yi yin foagimani yeniyaaba ncuoni yeni siiga mipaadima yeni a koankoana, yin kubi n tunda yaala ke yi ga n kani, yin foagidi yeni li danba
2d10120080	kelima laa nibuolu ki suani ti Yonbidaano po ka, ama bi yaa puona po, yeni ya maama nmani bi niba po ki boandi yaaba n ki daani,
2d101300be	yi coanli n pia yaa nannanli po pundi li ŋandunli kuli n ye yeni li pamanli kelima laa bonla po, n bua ke yin yaa tie yaa danba n bua yaala n ŋani kuli po, ki sani ki ŋa yaala n bia kuli.
2d1014007f	li ji kan waagi mi yanduanma Tienu baa mudi sutaani yuli yi taana tii po UTienu nyaa ye yeni yi ti yonbidaano Jesu kilisiti po.
2d1015004a	Timote n tuonsoanlielo fuondi yi lusiyusa, jasono, yeni Sopateli n kpiiba.
2d10160046	Mini Teryusa n diani li tili ne n fuondi yi ti yonbidaano yaa yeli po.
2d1017007c	Gayusa n canba yeni yaaba n ye li jaandieli nni yaaba kuli, Elasita yua n kubi udogu ligi fuondi yi, yeni n ninjoa karitusi.
2d101800a6	ke ti yonbi daano Jesu kilisiti ŋanbili n yaa ye yeni yi kuli Amina ke yua n baa fidi ki todi n gbadima min wangi ya labaali ŋanmo Ti yonbi daano Jesu kilisiti nni,
2d10190086	yua n fidi ki todi yi yeni olabaali ŋamo ke n todiba Jesu kilisiti nni ke nani yaala doagidi ki waani ŋasiili nni yaala ke da foagi.
2d101a0080	Ama moala ne o nisoaginkaaba yaaba ke UTienu den doagidi ba idian pokuli ke lan fidi ki nibuoli kuli n coanli li dandanli maama.
2d101b0052	ke UTienu bebe n ga ti kpiagidi yua n tie o yanfodaano li bina yeni li bina Amina.
2e0000000b	1 Korantien
2e01010065	Pɔl, ban yini yua ke wan tua Jesu Kiristu tondo, ke li ŋua U Tienu buama, yeni n naataano Sɔsteni,
2e010200fb	Ti diani li tili ne, ki ba teni U Tienu nitaanli yaali n ye Korenta, bani yaaba n baa mi yedŋanma Jesu Kiristu yeli po, ke bi gagdi ba ke ban tua niŋanba, yeni yaaba n li taagi ti Diedo Jesu Kiristu yeli hali ban ye naani kuli, bi Diedo yeni ti yua.
2e01030057	Ti Báa U Tienu yeni ti Diedo Jesu Kiristu ń puni yi mi yedŋanma yeni mi yanduanma!
2e01040060	N jaandi n Tienu yognu kuli, i po, kaa cedi yeni wan tieni i po ya ŋanbli Jesu Kiristu yeli po.
2e0105004b	Kelima wani ya po, i baa ya ŋalmani n yabi, ki nua mi maama yeni mi banma,
2e0106005a	Ban tieni Kiristu po ya kasiedi fiigi bonŋanla i siiga, ke i kubi yeni i mɔni ke li paa.
2e01070058	Mɔla, i ji ki luo yenpaabu bá kuli, yinba yaaba n guu ti Diedo Jesu Kiristu dɔgdima.
2e01080061	O ba pugni yi u paalu, ke bi kan fidi ki jalgi yi hali ti Diedo Jesu Kiristu ń ba cua ya daali.
2e0109005a	U Tienu tie tin dugi yua ya po, wani yua n yini yi ke yin ŋɔdi o bijua yeni li papienli.
2e010a00a0	N naataani, n miadi yi, ki paandi yi pala, ti Diedo Jesu Kiristu po, ke yin ya taa ñɔbu, ki da pia paadma i siiga, ama yin ya taa yantiayenli yeni maalyenma.
2e010b004b	Kelima, n naataani, n gbadi ke Kolowe niba maadi ke a kɔnkɔna ye i siiga.
2e010c0087	N bua yedi ke i siiga yuakuli maadi maama ne: “Mini n tie Pɔl yua yo! Ke mini, Apolosi yua! Ke mini Sefasi yua! Ke mini Kiristu yua!
2e010d006c	Kiristu ji paadi paadi yo oo? Bi kpaa Pɔl i, i po, li dapɔnpɔnli po oo? Bii, bi batise yi Pɔl yeli po i?
2e010e0066	N jaandi U Tienu yeni min ki batise bá niyendo yi siiga, lan ñani kirisipusi yeni Gayiwusi yaa ka.
2e010f003a	lani yaa ka, bi bi ba yedi ke bi batise yi n ya yeli po i.
2e0110005d	N go batise Sitefanasi diegu nni yaaba; lan ñani lankani, n ji ki tama ke n batise nitiano.
2e011100b5	Kiristu ki sɔni nni ke min ya batise bi niba ka, ama ke min ya wangi o laabaalŋamo, Li naa go tie ke min ya wangi yeni mi yanfomaama ka, ke Kiristu daapɔnpɔnli ń da tua fanma.
2e01120084	Kelima li daapɔnpɔnli maawangma tie yanluomaama i, yaaba n bodi po; ama tinba yaaba n baa mi faabma po, mi tie U Tienu paaciamu i.
2e0113005f	Li go diani ki yedi ne: “N ba buoni bi yanfodanba yanfuoma, ki biani bi nunfandanba nunfanbu.
2e01140080	O yanfodaano ye le? o gbanbando ye le? Ti jamaano ne ñɔniadaano ye le? U Tienu ki cedi ke ŋanduna yanfuoma kpandi gaadma aa?
2e0115009f	Kelima, nani ŋanduna yeni o yanfuocema ki bandi U Tienu yeni U Tienu yanfuoma, li tua U Tienu po yanbuama i, ke wan faabi yaaba n dugi o po yeni mi gaadmaama.
2e0116003f	Jufinba buali yaalidgu bona po, ke binilanba lingi mi yanfuoma.
2e01170072	Tinba ti wangi ban kpaa ya Kiristu li daapɔnpɔnli po i; li tie janjanma jufinba po, ki tie gaadma bi nilanba po.
2e0118007a	Ama, ban gagdi ki yini yaaba ya po, ban tie jufinba bii nilanba aa, li tie bi po U Tienu paaciamu yeni U Tienu yanfuoma i.
2e0119006c	Kelima U Tienu gaadma pia mi yanfuoma ki cie bi nisaalba, ke U Tienu tadingu pia u paalu ki cie bi nisaalba.
2e011a009a	N naataani, yin ya bani ke yinba yaaba ke bi gagdi ki yini i siiga, ti gbannandi yanfodanba ki yabi, u paaciamu danba ki yabi, bi ŋalmandanba mo ki yabi.
2e011b007a	Ama U Tienu taa ŋanduna yanluoma bona i, ki tulni bi yanfodanba, ki taa ŋanduna tadingu bona, ki tulni u paaciamu danba.
2e011c008b	U Tienu lugdi ya bona n ki pia mayuli ŋanduna nni, yeni bi niba ń fali yaali, ke laa pia fuoma, ki fanbi ban nua yaali ke li pia mayuli.
2e011d003c	O tieni lani, ke nisaalo ń da kpiagdi o yuli U Tienu kani.
2e011e006b	Wani ya po i, ke i fo Jesu Kiristu nni, wani yua n tua ti po yanfuoma, teginma, gagdiŋanma yeni daafaabma,
2e011f0056	Nani lan diani ki maadi maama: “Yua n kpiagdi o yuli, wan kpiagi o yuli O Diedo nni.
2e02010081	N kpiiba, min den gedi i kani ki ba dɔgdi U Tienu ŋasiili ki waani yeni, n dee kubi mi mabanma bii mi yanfuoma ka ki muandi yi.
2e020200ba	Kelima min den ye yi siiga yeni, ki jagi ki jagi ki cuo ke Jesu Kristo bábá yaaa ka, min ki bani libá ki ba maadi li po, Jesu Kristo yua ke bi den kpaa o li dapɔnpɔnli po yaa ka.
2e0203004e	N den cua yi kani ki tie nani yiamo yeni, ki jawaani pia nni, ke n jegli paaa.
2e02040096	N dee pia mi mabanma leni mi yanfuoma ka, ki tundi i tundi, ki gɔ muandi n laabaali, ama n maama nni leni n tunda nni, Foŋanma n den wangi mi paalu.
2e02050068	Li den tie yeni ke yin da taa dandanli ki teni o nufosaalo yanfuoma ka, ama ki ya dugi U Tienu paalu po.
2e020600c6	Ama leni li kuli, leni mi yanfuoma i ke ti tundi yaaba ke bi yama gagdi Kristo ŋɔgkaaba nni. Li yanfuoma ki tie ŋanduna ne yaama, mi gɔ ki tie ŋanduna ne badbijaba yaama; ban wan ba bia bikuli.
2e02070085	Ti maadi U Tienu ya yanfuoma i, mi den tie ŋasiili yaama n wuo i, ke u den tuodi ki bobni ti yudandi po ki sua ke ŋanduna da ki ye.
2e02080071	ŋanduna badbijaba ne, obá naa bani li yanfuoma, bi den kan cedi ke ban kpaa Yudandi Yonbdaano dapɔnpɔnli po.
2e020900d2	Ama nani lani diani U Tienu tili nni yeni: O nulo nibinli n kan baa lá yaala, ke o tubli mɔ n kan baa gbadi yaala, ya maalma n kan fidi ki kua o nulo pali nni palbi yeni, U Tienu bobni mani yaaba n bua o po.
2e020a0092	Tinba i ke U Tienu cedi ke mi foŋanma wangi ti u ŋasiili, leni i mɔni, mi foŋanma wan nua bonla kuli, bá yaala n wuo U Tienu pali nni mɔno.
2e020b00cf	ŋma bani yaala n ye bi nifosaalba pali nni? Nifosaalo bábá n bani o pali nni yaala n ye o pali nni. U Tienu mɔ, li tie yeni, U Tienu foŋanma bábá yaa ka, obá ki bani yaala n ye U Tienu pali nni.
2e020c0090	Tinba wan ki kubi ŋanduna ne yema ka ki tuuni li tuonli, U Tienu n puuni ti u foŋanma ke ti fidi ki bani wani U Tienu n puni ti ya paabu kuli.
2e020d00e4	Tin maadi yaala yeni: Ti ki maadi nani nifosaalo yanfomaama n buali maama ka, ti maadi nani U Tienu foŋanma n tundi ti ke tin ya maadi maama i. N nua ke ti wangi yaaba n pia U Tienu foŋanma, yaala n tie U Tienu foŋanma yaala.
2e020e00c8	Ya nulo ki pia U Tienu foŋanma, kan fidi ki gaa yaala n ñani U Tienu foŋanma kani. O ya po li tie gaadmaama i, o kan fidi ki gbadi mi niima nni, kelima U Tienu foŋanma n yen puni bi niba li banma.
2e020f0078	Yua n pia U Tienu foŋanma ba fidi ki ya bani bonla kuli ya niima nni, ama obá nan kan fidi ki ya bani u ya niima nni.
2e0210008b	Kelima nani lan diani U Tienu tili nni yeni, ŋma bani ti yobdaana maalma, ŋma ba fidi ki teni u i cegli. Tinba wan nan pia Kristo maalma.
2e03010098	N ninjab yen n nipuob, n kan fidi k ya maadi yeni nani jaanditieba yeni, ama nani min gbannanbuama danba yeni, nani yaaba da guani k mali jesu nni yeni.
2e0302004f	N tieni mi naaŋanma i, ti nandi ka. Hali yeni mɔla kuli i da k bobni k dagdi.
2e030300b6	Kelima i da li tie gbannanbuadanba i lani ya po i, ke li nunponli yeni a kɔnkɔna da bii ki ye i siiga. I ki cɔlni u gbanu i yema nni ii, i ki cɔlni bi niba yikodi yi cenli ni ii?
2e0304004d	Nilo ya yedi: “mini taa Apolɔsi po i” ne ki tie gbannanbuama yema ka aa?
2e0305005d	ŋma tie Apolɔsi, ke ŋma tie pɔli? Yi dugi ya tuonsɔnba po, ke u tienu puogi ba o tuonli.
2e0306003b	N ŋuundi, ke Apolɔsi jɔgni, ama u tienu n cedi ke li pa.
2e0307005a	Lan wani ii, yua n ŋuundi yeni yua n jɔgni k tie liba kuli. Ama u tienu n cedi ke li pa.
2e0308006d	Mɔla yua n ŋuundi yeni yua n jɔgni kuli tie yema i, yua kuli ba baa o panpaai nani o tuonli n dagdi maama.
2e03090049	Kelima ti tie u tienu tuonsɔnlai. I tie u tienu gɔgdigu, u tienu tagma.
2e030a00a0	Nani u tienu n puni nni o ŋalbalga yeni. N bili li fiagli nani tanmaaciamo yeni N bili li fiagli ke tɔa n maa ki tuani. Ama yua n ba maa ki tuani ṅ ya cegi.
2e030b005f	Kelima oba kuli kan fidi ke maa fiagtianli ke li kandi ban bili yaali, lani n tie jesu kiristo.
2e030c0034	Mɔla, yaa n maa fiagli po yeni wula yoo, muadi yoo?
2e030d0075	U yensiinu ba dogdi ki maani o tuonli n dagdi maama. Kelima o mu ba bigni o ku waani yua kuli tuonli ṅ dagdi maama.
2e030e003b	O nilo ṅ maa yaali ya mɔni ki ciadi, o bo baa o panpaai.
2e030f0040	Ama li ya juu (sia) oba la fala waamu, ama bi ba faabi'o u mu po
2e0310003c	I bani ki tie u tienu yekaanu, ke u tienu fuoma ye i niinni?
2e0311006c	Nilo ya biidi u tienu yekaanu, u tienu ba biani'o. Kelima u tienu yekaanu tie kaan ŋanmu i nani yimba yeni.
2e0312007b	Nilo ṅ da bɔndi o yuli. Nilo ya maali ke o tie yanfodaano ti jamaano ne, wan go tu a gaado, yeni, o baa pia mi yanfuoma.
2e03130068	Kelima ki tinga nni yanfuoma tie u tienu po gaadma i. Kelima bi diani: “o gaadma yaalidi o yanfodaano.
2e03140049	Yaali n pugdi u tienu bani ki bi yanfodaama yantiana tie bonyuyuodi i “
2e0315004d	Lanwani i, li ji ki buali japaadi bi niba po. Kelima yinba n yeni buoli kuli.
2e03160097	Lan tie Pɔli ii, Apolɔsi ii, bii Sefasi, li ŋandunli, mi yema aa, bii mi kuuma, m ɔlane ya bona bii ya bona n ba yuandi ki, lan kuli, yinba n yeni.
2e03170030	Kiristo n yeni yi mɔ, ke kristo mɔ tie U Tienu
2e04010077	Lanwani i, bi nua ti ke ti tie Kiristu naacenba, U Tienu ń gagdi ki lugdi yaaba ke ban ya wangi o banma yaama n duagi
2e0402005c	Bi nan ki buali bontɔli yaaba n wangi mi yeduagikaama ki kandi li papienli yeni ti dudugdi.
2e0403009c	Mini ya po, li ki maadi nni libá kuli yeni yin jia n buudi bii bi bujiaba ń jia n buudi. Mini n bá mo kan bu n buudi kelima n naa pia biidi bá kuli.
2e04040043	Ama lani ka kuni nni i mɔni, yua n ba jia n buudi n tie O Diedo i.
2e04050123	Lanyapo i, li ki buali ke yin jia buudi bá kuli, ke u yogu dá ki pundi, guudi mani hali O Diedo cuama, wani n ba tieni mi yenyenma ki dɔgdi yaali n duagi li biigli nni kuli, ki ba dɔgdi yaali n wuo bi niba pala nni kuli. Lanyogu i, ke U Tienu ba teni yuakuli wan dagdi yeni ya kpiagdi.
2e040600cf	N naataani, yinba ya po i, ke n taa mini yeni Apolosi yema nannanli, ki bua waani yi, ke yin togdi ti yema, ki da tieni ki pendi yaali n diani ki bili, ke i siiga, nilo ń da kpiagdi yendo, ki fali o lielo.
2e040700bb	Kelima ŋma n cedi ke a ki taa yeni a lieba? A pia be ke laa ñani U Tienu kani? To, li ya tie ke U Tienu n puni a, be n cedi ke a kpiagdi a yuli nani ŋaa baa li U Tienu kani ka yeni i?
2e040800a6	Mɔla i guo, mɔla i ji tie ŋalmandanba i, bá ke tii ye i kani, i cili ki ji diedi u kaanu. U tienu ń todi yin diedi u kaanu, ti mo ń ti fidi ki diedi yeni yi!
2e040900e4	Kelima, li naani ke U Tienu cedi ke timba bi tondba n juodi bi niba kuli ya siiga, li tie nani ti buudi jia ki cuo ti ke li buali ke tin kpe yeni i. Kelima bi ñani ki sieni ti asala siiga nni, bi niba yeni malekinba siiga nni.
2e040a00a6	Kiristu po cedi ke ti tie gaada, ama, yinba, i pia li miali Kiristu nni, ki tie yanfuodanba; tinba tadi, ke yinba tie paatieba. Bi kpiagdi yi yela, ki nan fali tinba!
2e040b008c	Hali yeni mɔla kuli, mi koma, u ñuñuunu, yeni mi mubima n bua kpa ti. bi cagni ti, ki wangi ti fala; ke ti waa, tii bani tin caa naani.
2e040c0064	Ti tuuni yeni ti nui, ki cɔgi, bi sugdi ti, ke ti kpiagdi U Tienu; bi cagni ti, ke ti tuo ki gaani.
2e040d00a1	Bi ya tabi ti ku totabgu, ti yen jiini mi yama ki maadi yeni li padingli; ti ji tie nani ŋanduna baadi yeni, nani bi niba ń yie ki luni yaali hali yeni mɔla.
2e040e005a	Mii diani yi ne kuli ki bua min kuani yi i fee ka, ama n diani yi nani n bibuadkaamu yeni.
2e040f00a7	Kelima i ya ti pia Kiristu tundkaaba tuda piiga, lani naa wangi ke i pia Báanba ke bi yabi ka, kelima mini n todi yeni o laabaalŋamo, ki cedi ke i mali Kiristu nni.
2e0410002b	Lanwani i, n mia yi ke yin ya togdi n yema.
2e041100ba	Lanyapo, n sɔni Timote i kani, wani yua n tie n bibuadga, ke o dudugdi yabi O Diedo po; wani n ba tiadi yi min pia ya sanbila Kiristu po, yeni mi tundi maama ti jaandiedi nni, kaankuli.
2e04120048	Nitianba i siiga nni gbie yeni ti japaadi nani n ji kan cua i kani yeni.
2e04130086	Ama, li ya tie O Diedo yanbuama, li ji kan waagi, n ba cua i kini, ki bandi yaabi n fiindi ti japaadi paaciamu, li ki tie bi maama ka.
2e04140035	Kelima U Tienu diema ki tie maama ka, ama paaciamu i.
2e0415004a	I bua be? Min cua i kani yeni balju bii yeni mi buama yeni mi yandingma i?
2e050100a9	N gbia ke bi maadi i maama ki tua ke mi conconma ye i siiga ke lan ya conconma buolu ki ye bá bi nilanba kani; mi yabdi hali ke i siiga, yendo dua yeni a báa denpua.
2e0502007a	I yabdi ti japaadi! yii tuo ki biidi i pala li tuonbiadi po, ki ba beli ki ñani i siiga yua n tieni lan ya tuonjɔgindi!
2e05030095	Bá ke n fagi yeni yi ti gbannandi po, n nan ye i siiga yeni n yantiali. N jia ti buudi ki cuo yua n sɔni lan ya cancagindi nani n ye i siiga yeni.
2e05040069	Ti Diedo Jesu Kiristu yeli po, yinba yeni n yantiali ń taani ki ye yeni ti Diedo Jesu Kiristu Paaciamu,
2e05050083	Li buali ke yin cedi ke setaani ń biani lan ya nilo gbannandi, o naano ń fidi ki baa u faabu ti Diedo Jesu ń ba cua ya daali.
2e05060054	I kpiagdi i yula fanma i, yii bani ke li dabinli waamu ne ba fiini ti bugdi kuli ii?
2e0507007e	yin buoni mani li dabinkpeli, yeni, i ba tua bugpaandi, nani yin ki pia dabinli yeni, kelima bi padi Kiristu ti paak pabiga o.
2e050800b2	Lanwani i, tin jaani mi jaanma lan da tie yeni li dabinkpeli, ki da tie i janbi yeni mi biadma dabinli, ama yeni ya kpanu n ki pia dabinli lani n tie li papienli yeni i mɔmɔni.
2e05090048	N diani yi li tili, ke yin da pia dɔnligu yeni yaaba n tie mi conconma,
2e050a00ad	mii maadi ŋanduna nni concona kuli ka, bii bi fafagdanba yeni a suuda, lani yaa ka yeni yaaba n ŋua i buli ka; li ya bi tie yeni i, li bi buali ke yin ña ŋanduna nni i.
2e050b0116	Mɔlane, min diani ki waani yi yaali n tie ke yin da cuo dɔnlgu yeni yua tua ke o tie i naataano, ki nan conbi, ki tie fafagdaano, bii ki ŋua i buli, bii ki tie suudo, lan yaa ka nisugdo, bii daañugaado, lan yaa ka yua n buadi jodi dima; yin da taani ki di yeni lan ya nilo.
2e050c0061	N ya jia niinpo yaaba buudi, li ba pugni nni be? I kan jia ti buudi yeni i siiga nni yaaba ka aa?
2e050d0058	Yaali n nua niinpo yaaba, U Tienu ba jia bi buudi, yin beli ki ñani o nibiado i siiga.
2e06010071	I siiga nni nilo ya baa maama yeni o lielo, o ba yini o bi nilanba kani ti buudi ki kan gedi bi nimɔnba kani ii?
2e0602003a	I ki bani ki bi nimɔnba ba jia ti buudi yeni ŋanduna aa?
2e0603006c	I ki bani ki ti ba jia ti buudi yeni malekinba aa? Li ba gaa ledi keti kan jia ti buudi yeni mi yema mabidi?
2e0604008e	I ya ba fidi ki jia mi yema maabidi, li tieni ledi i, ke yi ba liidi ki kpaagi li maama ki ŋa yaaba n ki pia mayuli i jaandi ni taanli nni i?
2e0605007e	N maadi yi, li tie i fee i. Nilo ki ye i siiga nni ki ba fidi ki jia maama nilo yeni o naataano siiga nni yeni mi yanfuoma aa?
2e0606003b	Ama nilo ṅ yini o kpiilo ti buudi daano yua ki dugi kani.
2e0607009e	Yaali n mɔni tie ke kɔnkɔnli n ji da ye kristo nitaanlinni. Lani tie biginli i po. Li ga ledi ke kan ŋmali o biidka tubli. Li tien ledi ke janbdi i lieba?
2e06080026	Li tie ke i tieni mi tudma i kpiilo po
2e060900ab	I bani ke yua n ki tiegi kan di u tienu diema faali ii? Da cengi mani mi tofaama, ti cancangindi, i buli jɔdma, mi conconma, mi naaŋmaama ya jaba n dua yeni bii jalieba,
2e060a0061	bu subu, mi ŋaanma, li daañugaadli, ku totabgu, yeni jodi. Oba kuli kan di u tienu diema faali.
2e060b0099	B tianba i siiga nni tie yeni i, bi ŋuudi i pala ke i ji ŋani, ki guan ki mangi yeni u tienu. Ti badciamo jesu kristo yeli po yeni u tienu foŋanma po.
2e060c0083	“Bi cabi nni buoli kuli” ama li kuli ka tie bonmɔnli, ki pia mi buama. Bi cabi nn buoli kuli ama n kan tua bonliba kuli yonbo.
