0100000014	Medheteththa Maxaafa
170e0b008f	Ne bonchchoy diiththaa giirissara duge si7oole wodhdhides; badati nees garsara hiixettida; guxuneti nees bollara may7o gidana› gaana» geeta.
170e0c0084	Nenoo wontta naazoo, torojje xoolinttezoo, ne waanada saloppe duge kundadii? Kawoteththata kawushshida neni waanada duge yegettadii!
170e0d00d4	Neni ne wozinan, «Tani pude salo kezana; ta kawoteththaa araataakka Xoossaa xoolinttetappe bollara dhoqqan woththana; zuma bolla shiiqizason anjjettida zumaa bolla dhoqqasohon ta kawoteththa araata bolla uttana.
170e0e006b	Tani shaarati diza dhoqqasohoppeka pude aadhdhana; tani tana Ubbaafe Dhoqqa Xoossa mala ooththana» gadasa.
170e0f0038	Gido attiin neni si7oolen duge ciimma ollan yegettadasa.
170e100074	Nena be7izayti ubbay tishshi histti xeellidi nena, «Biitta qaaththidayssinne kawoteththata kokkorisidayssi hayssee?
170e110070	Sa7a bazzo kessidayssi, katamatakka laalliday, di7ettidayti ba dere simmi bontta mala diggiday hayssee?» gaana.
170e120049	Kawoteththata kawoti ubbay bonchchon dhiskida; ba duufon duufon shempida.
170e1300cb	Ne gidikko koyettontta hagga mala duufoppe wora olettadasa; mashshan cadettidaytan, duge ciimma shuchcha ollan wodhdhidaytan, asa kushen hayqqidaytan kamettadasa; neni tohon yedhettida aha mala gidadasa.
170e140089	Neni isttara duufon daakka; gaasoykka ne biittaa bashshadasa; ne dereza ne dhayssadasa; iita ooththizayta zereththi mulekka akeekettenna.
170e150095	Istti dendidi biitta laattontta mala, alamen ba katama istti kunththontta mala kase istta aawata nagara gaason attuma nayti siifettanaasoho giigsite.
170e160095	Ubbaafe Wolqqama GODAY, «Tani istta bolla dendana; histtada istta sunththaa, isttafe attidayta, istta zereththaanne yeletaa Baabilooneppe dhayssana.
170e17005e	Tani Baabiloone quxarsa aqosonne care kessana; bashsha peyxan tani izo pitta dhayssana» gees.
170e180054	Ubbaafe Wolqqama GODAY, «Tani halchchida mala polettana; ta qoppida malakka hanana.
170e1900a7	Tani Asoore ta biitta bolla liiqisana; tani iza ta zuma bolla yedhdhana; iza qambaray ta dereza bollafe dendana; iza toohoykka istta hasheppe kichchana» gi caaqqides.
170e1a0057	Sa7a ubbaas qofettida qofay hayssa; kawoteththata ubbaa bollan micettida kushey hayssa.
170e1b0071	Ubbaafe Wolqqama GODAY hayssa qoppides; hessa iza oonee digganay? Izi ba kushe denththides; hessa zaaranay oonee?
170e1c0031	Kawo Akaazey hayqqida layth hizgiza qaalay yides;
170e1d00bc	Intteno Filisxeeme asatoo, inttena shocida guufey meqqida gishshas ubbati ufayettofte; shooshshaa garsafe haso shooshshi kezana; iza zereththika xongettiza marzera diza haso shoosh gidana.
170e1e009a	Putteesa manqoti duussaso demmana; metotanchchati woppu giidi ichchana. Gido attiin tani ne zare koshan wursana; qasse neeppe attidaytakka dippi histtana.
170e1f00c6	«Nenoo pengezoo! Wuu! Wuy ga; Nenoo katamazoo! Waassa; Intteno Filisxeeme asatoo! Intte ubbayka hirgan seerite! Gaasoykka pudeha baggafe cuway intte bolla yides; he cifraappe duuxxi attanay deenna.
170e2000a0	He kawoteththatappe kiitetti yiza qasttannetas ay gi zaaranee? ‹GODAY Xiyoone minththi essides; waaye ekkida derey izi garsan shemposo demmides› gi zaaro.»
170f0100cd	Mo7aabe biitta gishshas GODAY yootida qaalay hayssa; Qiire-Mo7aaben diza Eerey laalettadus; issi gallassa omarsan dippi gadus; qasse Qiire-Mo7aaben diza Qiirey laalettadus; issi gallassa omars dippi gadus.
170f0200af	Diboone asay Xoossa keeth kezides; yeekkanaas pude zumbullata bolla kezides; Mo7aabe asay Nebo gishshassinne Medeba gishshas waassees; hu7eynne buuchchay milxi gi meedettides.
170f030068	Ogey dizaso ubbaan maaqa may7eettes; pooqeta bollaninne dabaabay dizason yeekkeettes; afunth gusseettes.
170f040099	Hasebooneynne El7eeley waassida; istta waasoykka Yahaaxe gakkanaas seetettides. Hessa gishshas Mo7aabe olanchchati waassida; istta wozinaykka kokkorides.
170f0500e3	Ta wozinay Mo7aabe gishshas yeekkides; izippe goodettida asati Zo7aare gakkanaas, Egilaate-Shalishiya gakkanaas baqatida; istti afunth gussishe pude Luhite kezida; qasse Horonayme efiza ogera bishe bantti dhayanayssas waassida.
170f060063	Nimiriime haaththati miccida; maatay shullides; caarechchayka dhaydes; cilila miishshika beettenna.
170f070060	Hessa gishshas istti haarida aqotanne istti shiishshida haaro Ahaya shaafa tookki pinththeettes.
170f080078	Istta waasoy Mo7aabe zawa gakkanaas seetettees; istta waasoy Egilayme gakkanaas istta zilasaykka Bi7eeri-Eelime gakkees.
170f0900a6	Dimoona shaafati suuththan kumida; gidikkoka tani Dimoona bolla hessafe aadhdhizaaz ehana. Mo7aabeppe baqatizayta bolla biittayn casha attidayta bolla gaammo yeddana.
171001006a	Bazzo biittafe he pinththan diza Seelappe Xiyoone macca nay zuman deraa haarizayssas dorsa laaqqa yeddite.
171002006f	Bantta keeththafe goodettidi waayettiza kafota mala Mo7aabe maccassati Arnoone shaafa purden hessaththo hanana.
17100300ad	Mo7aabe asay Yuhuda asaas, «Nuus zore immite; nuus pirdite; seeta gallas intte eeshon omarsa dhuma mala nuna kammite. Baqatidayta qottite; goodettidaytakka aaththi immofte.
17100400c1	Mo7aabeppe goodettidayti inttekon takketto; istta dhayssizaytappe istti qotetti attizasoho gidite» gees. Un7eththizayssas wurseththi yaana; bashshi attana; otoranchchay biitta bollafe dhayana.
1710050092	Araatay siiqon minnees; he araatan Dawite keeththafe gididay, suure pirda amottizay, xilloteth eesosizay issi asi ammaneteththan iza bolla uttana.
1710060090	Yuhuda asay, «Mo7aabeta hallaca, otoreteththaanne moodheteththa, ceeqeteththaanne kadheza siyidos; gido attiin istta otoreteththi hada» gaana.
171007008b	Hessa gishshas Mo7aabeti waassana; issi bolla Mo7aabes yeekkana; Qiire-Hereesete katama asaa gishshas yuushshi qoppidi kayottishe yeekkana.
17100800d1	Haseboone goshsha gadeti Seebama woyne miththati shullida; kawoteththata haarizayti Iyaazeere aadhdhi biidi bazzo biitta kanththidi bantta xapho abba gakkanaas yeddidayta doorettida woyne miththata yedhettida.
17100900f2	Seebama woyne miththaa gishshas Iyaazeera yeekkiza mala tanikka yeekkays; Haseboonee! El7eelee! Tani ta afunththan inttena looxikissays. Gaasoykka inttes miththa ayfeti gakkida wode diza hombocaynne kath shiishshiza wode diza ufayssi attides.
17100a00bc	Ufayssaynne ililisay ne atakiltey dizasoppe kichchides; woyne tokkizasohon yexxiza yeththay deenna; ilisikka attides. Woyne teera gum7izasohoy deenna; gum7izayta hombocaakka ta dhayssadis.
17100b0072	Hessa gishshas ta wozinay Mo7aabe gishshas qadheta milas sissawus; Qiire-Hereeseta gishshas ta maraceya yeekkawus.
17100c0069	Mo7aabey pude ba zumbulla bolla kezikkoka daabura xalla; iza woosas ba eeqa keeth gelikkoka go7ay deenna.
17100d0034	GODAY Mo7aabe gishshas kaseti yootida qaalay hayssa.
17100e00cc	Ha7i gidikko GODAY, qaxxaretti ooththiza oosanchchay gallas qoodiza mala Mo7aabe bonchchoynne asaa corateththay heedzdzu layththa giddon kawuyana; heen attida asati guuththatanne wolqqay bayndayta gidana.
1711010065	Damasqo gishshas, «Be7ite, hayssafe sinththan Damasqo katamateththi attana; laaleththa doore gidana.
171102005c	Aaro7eere katamati kays gidana; mehe heenththasoho gidana; istta babisiza miishshika deenna.
17110300a6	Gimbettida katamay Efreemeppe, kawoteththa maatay Damasqofe dhayana; Aaraameppe casha attidayta bonchchoy Isra7eeletayssa mala kawuyana» gees Ubbaafe Wolqqama GODAY.
171104004b	«He wode Yaaqoobe bonchchoy shaarumatana; iza modhdhoteththaykka shuumana.
1711050079	Kath maxizaadey eqqida kaththaa shiishshidi modhe ba kushen maxiza mala Erafayme shoobbafe maxettiza pushulo mala gidana.
17110600d1	Wogara mith shociin nam7u woykko heedzdzu ayfeti hagga xeera bolla attiza mala oyddu woykko ichchash ayfeti dhippi gida haggata bolla attiza mala guuththa haggati attana» gi GODAA Isra7eele Xoossay haasaydes.
1711070057	He wode asay bana Medhdhidayssako xeellana; istta ayfey Isra7eele Geeshshaako xeellana.
17110800a0	Istti bantta kushen ooththida yarshosohota xeellettenna; istti bantta eeqatas exaane cu7asizasohotassinne Asheeris goynnana essida tuussatas bonchcho imettenna.
171109005f	He wode Isra7eele asaa gaason boshettontta attida mino katamati woranne aykkoy bayndaso gidana.
17110a009a	Nena ashshiza Xoossaa baladasa; ne izan qotetta attiza ne zaallaka akeekabeekka; hessa neni doorettida atakilte tokkikokka, ooraththa zereth ne zerikkoka,
17110b00a6	ne tokkida gallas izi mokkana mala ne ooththikokka, ne zerida wonteththa gallas izi ciiyana mala ne ooththikokka he kaththay hargeninne paxontta sakon mulera dhayana.
17110c0071	Be7a, daro asaa hanqo giirissi abba dambala mala giirees; be7a, asaa waaso daroy wolqqama haaththa mala guummees.
17110d0091	Asay wolqqama haaththa mala guummikkoka, izi istta seerikko zumbulla bollara carkon biza gudulla mala gote carkoy laalliza happa mala laalettana.
17110e009f	Hekko Sa7ay qammishin qofay baynda shiro gidides; sa7ay wonttanaappe kasetidi oonikka beettibeenna. Nu aqota bonqqidayta, ubbaa wolqqan ekkizayta qaaday hessa.
1712010047	Tophphiya shaafata matan diza giirettiza qefey diza biittays aayye ana!
171202013a	He biittaya qasttanneta shaccafe oosettida wogolon abba bollara shaafappe he pinth kiita yeddizaaro. Intteno pilata qasttannetoo! Adussanne bolla shugo asataakko, haakoninne matan dizay isttas yayyiza deretakko, wolqqamanne qaalay erettontta deretakko, shaafa haaththati iza dere shaakki biza kawoteththaako biite.
1712030072	Intteno sa7a bolla diza as ubbatoo! zumata bolla malatay kaqettishin intte be7ana; zayey punettishin intte siyana.
1712040096	GODAY taas, «Ta co7u ga uttana; seeta gallas awa seelan xolqettiza misha mala bone hombe mala, shaarappe bukkiza ira mala gidada ta xeellana» gides.
17120500b6	Kath maxiza wodeppe kase ciishsha wodey aadhdhishin, ciishshay gakkidi woyney ayfe ayfana gishin, woyne bolla diza koshshonttayssa xunqqana; daayida haggatakka qanxxereththi diggana.
171206009b	Istti ubbayka zuma bolla diidi baqqi miza kafotassinne bazzo do7atas attana; kafoti bone kumeth mishe shaaccana; bazzo do7ati balgo ubbaan mishe shaaccana.
17120700f9	He wode GODAAS Ubbaafe Wolqqama Xoossaas adussanne liiqo asaappe, matappe haahoppe yayyiza dereppe, wolqqamanne iza qaalay erettontta dereppe, shaafati shaakki biza kawoteththafe imotay yaana; medheteththa GODAY dizaso pude Xiyoone zuma bolla yaana.
17130100b0	Gibxe gishshas yootettida qaalay, «Be7ite, GODAY eesotiza shaara toggidi Gibxe yees. Gibxe eeqa xoossati iza sinththan kokkoreettes; Gibxe wozinay istta giddon seerees» gees.
1713020075	«Tani Gibxeta issaa issaa bolla denththana; ishay ishara, shooroy shoorora, katamay katamara, kawoy kawora olettana.
1713030091	Gibxeta wozinay labettana; tani istta halchcho hada ooththana. Istta eeqa xoossatanne moytilleta, tuna ayana xeygizaytanne marota zore oychchana.
171304007b	Qasse menxe iita asa kushen ta Gibxeta aaththa immana; babisiza kawoy istta haarana» gees GODAY, Ubbaafe Wolqqama Xoossay.
171305003e	Abbaye shaafa haaththi paccana; haaththi guuxxi guuxxi melana.
171306005c	Zara haaththati xinqqana; Gibxe kanchcheti micci dhayana; shaccatinne care maatati shullana.
1713070089	Abbaye shaafa lanqen haaththa matan diza miththati shullana; shaafaa matan zerettida kath ubbay carkon pitetti dhayana; aykkoyka attenna.
1713080087	Mole oykkizayti ceecana; Abbaye shaafan gaattile yeggizayti ubbay yeekkana; haaththa bolla bantta gite yeggizayta ubbaa wolqqay ixxana.
171309005d	Paatettida talbba suqizayti dhayana; qasse booththa puuttofe may7o dadizayti hidota qanxxana.
17130a003a	May7o dadizayti ceecana; damozan aqizayta wozinay meqqana.
17130b00c4	Xaanoose biitta halaqati keehi eeya; aadho eranchcha gidida kawo Paaroone aadho eranchchata zorey hada. Paaroones, «Tani aadho eranchchatappe issaa; tani kase kawota kaallizaade» waanidi geetii?
17130c0083	Intte aadho eranchchati ha7i awan dizoo? Ubbaafe Wolqqama GODAY Gibxe bolla ooththana qoppidayssa ane inttena bessettonne erisetto.
17130d006f	Xaanoose halaqati eeyda; Memppisa shuumeti balettida; izi dere kaaleththiza erettidayti Gibxe asaa baleththida.
17130e008b	GODAY istta bolla dochchiza ayana gussides; maththottida asi ba cooshshan gandigarza mala Gibxey ba ooso ubbaan gandigarana mala ooththida.
17130f004e	Kace woykko goyna, zamba woykko shacca heyti ubbay Gibxes aykkoka maadettenna.
1713100083	He wode Gibxe asay maccassa mala gidana. Qasse Ubbaafe Wolqqama GODAY istta bolla ba qese denththiza wode istti yashshan kokkorana.
17131100ac	Yuhuda asay Gibxe asaa bolla shiro denththeththana; Ubbaafe Wolqqama GODAY istta bollan ooththana halchchida halchchofe dendidayssan Yuhuda gishshas siyida ubbay shirotana.
17131200b2	He wode Gibxe biittan diza ichchash katamati Kanaane qaalan haasayana; Ubbaafe Wolqqama GODAA bagga gidanaas caaqqana. He katamatappe issiniya Bashsha Katama geetetta xeygettana.
1713130060	He wode Gibxe biittan GODAAS yarshosoy oosettana; qasse Gibxe biitta zawan GODAAS tuussi eqqana.
17131400c7	Hessi Ubbaafe Wolqqama GODAAS Gibxe biittan malatanne markka gidana; istti banttana un7eththizaytappe dendidayssan GODAAKKO waassiza wode izi istta ashshizaadenne maaddizaade kiittidi istta ashshana.
17131500a0	GODAY bana Gibxetas qonccisana; isttika he gallas GODAA erana; yarshoninne kaththa yarshon iza goynnana. Istti GODAAS adinettana; ba adinettidayssaka gaththana.
171316007c	GODAY Gibxe boshan shocana; zaaridikka istta paththana; isttika GODAAKKO simmana; izikka istta woosa siyidi istta paththana.
171317008f	He wode Gibxeppe Asoore gakkanaas wogga ogey oosettana; Asooreti Gibxe, Gibxe asay Asoore baana; qasse Gibxetinne Asooreti issi bolla goynnana.
1713180066	He wode Isra7eeley biittas anjjo gidanaas heedzdzanththo maaran Gibxeranne Asoorera issife qoodettana.
1713190086	Ubbaafe Wolqqama GODAY isttas, «Ta dere Gibxey, ta kushey medhdhida Asoorey, ta xinxxo Isra7eeley anjjettidayta gidetto» gi anjjana.
1714010064	Asoore kawo Sarggooney ola gadawaa kiittiin Ashdoode geetettiza Filisxeeme katama oli oykkida layth,
17140200a7	he wode GODAY Amoxe naa Isayaasa, «Maaqa ne bollafe qaara; ne caammaa tohoppe kessa» gi yootides; izikka hessaththo ooththides; kallonne caammay baynda simerettides.
17140300a3	Hessafe GODAY, «Ta aylle Isayaasi Gibxe bollanne Tophphiya bolla gakkanayssas malata gidana mala heedzdzu layth may7o may7onttanne caamma aaththontta de7ida mala,
17140400b8	Asoore kawoy Gibxeppe di7ettida cimatanne yelagata, Tophphiyappe beti yidayta kallonne caamma aaththontta ekki baana; istti duca kallo qaari yeggidi yedereththishe Gibxeta kawushshana.
171405004a	Tophphiya hidota ooththidaytinne Gibxen ceeqettizayti babbananne kawuyana.
17140600df	He wode abbaa matan de7iza derey, ‹Kase istti ceeqettidayti, Asoore kawoppe attanaassinne la7a kezanaas nu istta giddon qotettidayta aazi gakkidaakko ane xeellite; histtiin nuni waani kessi ekki attanee? gaana›» gides.
17150100b3	Abba lanqen diza bazzo biittas yootettida GODAA qaalay hayssafe kaallizayssa. Dugeha baggafe gote carkoy pitti ekki yiza mala worajjizay shiro denththeththiza bazzo biittafe yees.
171502009b	Yashshiza ajjuuta ta be7adis; aaththi immizayssi aaththi immees; di7izayssi di7ees. Elaame denda! Meedoone giddoththa! iza gaththida waaye ubbaa ta essana.
17150300a5	Hessa gishshas ta xeessay sako xalala gidides; miixay oykkida maccassa mala tana leessoy oykkides; tani siyida yo7oy tana gadigadissides; ta be7ida yo7on shirotadis.
1715040067	Ta wozinay poddu gides; tana yashshi kokkorisides; ta ufayssan naagida omarsay ta bolla hirga yeggides.
171505006e	Istti maadda giigsida; uttizaso giigsida; midanne uyida. Intteno shuumetoo dendite! gondalleza zayten quccite!
1715060040	GODAY tana, «Ba; wochchiza as woththa; izi ba be7idayssa yooto.
1715070089	Paran gooshettiza para-gaareta be7iza wode hare toggizayta gaamella toggizayta be7iza wode izi yuushshi qoppo; lo7eththi wochcho» gides.
171508007e	Naagizayssika waassishe, «Godawu, tani gallas gallas pacey baynda shakko bolla eqqadis; omars ubbaan ta naagizasohon eqqadis.
17150900b8	Be7ite, issi asi paratan gooshettiza para-gaaretan yides; histtidi, ‹Baabilooney kundadus! Kundadus! izi eeqa xoossa misletikka meqeretti gaden kundida› gi zaarides» gi waassides.
17150a0063	Balen bukettida ta derezoo! Ubbaafe Wolqqama GODAA Isra7eele Xoossafe ta siyida qaala nees yootays.
17150b00c0	Eedoome gishshas yootettida mino yo7o; issi asi Seyreppe tana xeygidi «Naagizayssoo! Gadey wonttanaas ay keena saatey attidee? Naagizayssoo! Gadey wonttanaas ay keena saatey attidee?» gides.
17150c0080	Naagizayssi zaaridi, «Wonttana; gido attiin simmidi qammana; oychchana koykko oychchite; gido attiin simmidi haa yiite» gides.
17150d0077	Arabe gishshas yootettida mino yo7o; Intteno Dadaane zal7anchchatoo! intte intte caana gaamellatara Arabe bazzon aqana.
17150e004e	Saamettidaytas haath ehite; intteno Temaanen dizaytoo! Bete asatas kath ehite.
17150f0074	Istti giththa mashshafenne koohoppe shodettida giththa mashshafe, waaxettida wondafeppenne suullida olappe baqatida.
1715100074	GODAY tana, «Konttiraate oosanchcha ooso gallassi wuriza mala issi layththa giddon Qeedaare bonchchoy ubbay wurana.
171511007c	Qeedaare biittan wondafen dukkiza wolqqama olanchchatappe guuththati attana; hessa GODAA Isra7eele Xoossay yootides» gides.
171601005a	Ajjuuta zulle bolla yootettida mino yo7o; Inttena aazi metiin ubbay pooqe bolla kezidetii?
171602008d	Hanne wocamay kumida katamayee! Shiroynne dirbbay kumida katamayee! Neeppe hayqqidayti mashshan hayqqibeettenna; woykko olan hayqqibeettenna.
171603009d	Nena ayssizayti ubbay issife baqatida; wondafe denththontta dishe di7ettida; morkkey haahon dishin baqatida ubbatoo! Intte oykettidi issi bolla qashettideta.
1716040082	Hessa gishshas tani, «Taappe haakkite; ane camo yeeho ta yeekkays; dhayda ta asaa gishshas tana minththeththana qoppofte» gadis.
171605007b	GODAY Ubbaafe Wolqqama Xoossay Ajjuuta Zullen wocama, dirbbanne shiro, dirsata laaleththinne zumatakko waaso gallassi dees.
1716060064	Elaamey wondafe yiishsha kooho, ba paratanne para-gaareta giigsides; Qiireykka ba gondalle oykkides.
1716070044	Lo7o zulleti para-gaaretan kumida; toga asati katamay pengen eqqida.
171608005d	Yuhuda miixata laallida; he wode wora giddon minjja keeththan diza ola massara ne xeelladasa.
171609004c	Dawite katamay daro laalettidayssa be7ideta; duge baggara haath eelissideta.
17160a0053	Yerusalaamen diza keeththata qoodideta; dirsaa ooraththanaas keeththata laallideta.
17160b00ba	Kase gal7a eele haaththaa zaaridi, iza minjjizaso nam7u gimbetappe giddon giigsideta. Gido attiin intte hessa ooththiday oonakko eribeekketa; koyro halchchi ooththidayssa akeekibeekketa.
17160c008d	He gallas GODAY Ubbaafe Wolqqama Xoossay intte yeekkana malanne waassana mala, intte hu7e binana buucana malanne maaqa may7ana mala xeygides.
17160d0093	Gido attiin injjenne ufays, booranne dharsho shukay, asho muussinne woyne ushshi dees; «Nuni wonto hayqqana gishshas ane moossinne uyoos» gideta.
17160e00a4	GODAY Ubbaafe Wolqqama Xoossay hayssafe kaallizayssa taas qonccisides; izakka ta hayththan siyadis; «Hayssi ha nagarazi intte hayqqana gakkanaas wursiin wurenna.»
17160f004d	GODAY, GODAY Ubbaafe Wolqqama Xoossay, «Baada kawo keeththa alaafe Sheebina,
1716100091	Hayssan ay ooththay? Hayssa nees duufo giigsanaas, dhoqqasohon ne moogettanaaso woocanaas, ne ahay uttanaaso zaalla woocanaas ooni nena azazidee?
1716110062	Haysso mino addezoo! Naagetta; GODAY nena minththi oykkidi ba kushen cuucumi oykkidi olana hanees.
1716120094	Nena yanbarsha mala yuushshidi aako biittan olana; ne godaa keeththas ne yeella gidadasa; ne heen hayqqana; ne bonchcho para-gaaretikka heen attana.
1716130052	Ne bonchchettidasoppe ta nena kawushshana; alaafeteththaafekka ne goodettana» ga.
171614003e	«He gallas tani Kilqiyaasa naa ta ashkara Elyaaqeeme xeygana.
171615009c	Ne seeloza ta iza mayzana; ne giththaa iza gixissana; ne daannateththaaka ta izas aaththa immana. Izi Yerusalaamen diza asaassinne Yuhuda asaas aawa gidana.
171616006a	Tani Dawite keeththa qulpe iza hashen woththana; izi doyiin oonikka gordenna; izi gordiin oonikka doyenna.
171617005c	Tani iza ammanettizasohon dhishke mala essana; izi ba aawa keeththas bonchcho araata gidana.
17161800ae	Qeeri xaaroppe biidi baath gakkanaas soon diza miish ubbaa kocan kaqqiza mala iza aawa keeththa bonchcho ubbay naytappe biidi naa naa gakkanaas iza bolla qaaphettana» gides.
17161900b6	GODAY Ubbaafe Wolqqama Xoossay, «He gallas ammanththizason eqqida dhishkey shodettana; meqqi wodhdhana; iza bolla kaqettida ubbay kundidi meqerettana» gides; hayssa GODAY yootides.
17170100ac	Xiroose bolla yootettida mino yo7o; Xiroosey dippi gi dhayda gishshas Tarseese markabetoo waassite; keeththinne wodebey bayndaso gidadus. Qophiroose biittafe worey kezides.
1717020047	Intteno harurotoo! Intteno duretida Sidoona zal7anchchatoo! Co7u giite!
171703007a	Gita abbaara Shihooreppe Xirooses kaththi yees; Xiroose aqotay Abbayeppe beettees; iza kawoteththatas zal7e baach gidadus.
171704009d	Hanne Sidoona katamayee! Hanne abba miixaye neni yeellata; abbay, «Tani miixatabeekke; naakka yelabeekke; attuma naytanne macca nayta dichchabeekke» gides.
171705004a	Xirooseppe keziza paapunththay Gibxe biittan siyettiza wode istti ceecana.
171706002e	Intteno harurotoo! Zilalite; Tarseese pinnite.
1717070079	Izi tohoy izo haako dere efidaara heen iza uttana mala ooththidaara, kase beni katamaya injjenne ufayssa katamaya hannii?
17170800a8	Kallachcha goxissidaari bolla, ba zal7anchchata daannasidaari bolla, biitta bolla bonchchettidi bayzizaytinne laammizayti izin diza Xiroosi bolla hayssa qoppiday oonee?
1717090091	Otorettizayta ubbaa bonchcho kawushshanaas qasse biittaa bolla dhoqqu dhoqqu gidayta ziqqi histtanaas GODAY Ubbaafe Wolqqama Xoossay halchchides.
17170a0077	Intteno Tarseese biitta asatoo! Inttena teqqizay baynda gishshas Abbaye shaafa mala intte biitta bollan kumidi goggite.
17170b0073	GODAY ba kusheza abba bolla miccides; izi kawoteththatakka daganththides; Kanaane miixati laalettana mala azazides.
17170c0081	Qasseka, «Hanne qoxettida Sidoona geela7oyee! Hayssafe guye ufayettofa; denda Qophiroose pinna; heenkka ne saro demmaka» gides.
17170d00cc	Ane Baabiloone biitta be7ite; he biitta asay paththontta as gidides; Asoore asay izo bazzo do7as gufaso kessides; istti bantta shakkota izi bolla gimbida; izi miixata laallida; budhettoyssi doore gidides.
17170e0040	Intteno Tarseese markabetoo, waassite! Intte miixay laalettides.
17170f00a6	He wode Xiroose katamay issi kawos de7o layththa keena laappun tammu layth dogettana; hessafe guye layma maccassay gishshas yexettida yeththi Xiroose bolla yexettana.
171710009d	Istti, «Hanne dogettida layma maccassayee! bagana denththa; katamay giddon yuuya; ne hassa7ettana mala baganaa lo7eththa shoca; daro mazamure yexxa» gaana.
17171100ad	Laappun tammu layththi polettidaappe guye GODAY Xiroose qoppana; gido attiin iza kase ba layma ooson simmana; sa7a bolla kawoteththata ubbaara ba laymateththa zal7e zal7ana.
171712009d	Gidikkoka iza demmida ubbaynne wodhey GODAAS dummatana; dagattennanne suuddenna; izi wodhey GODAA sinththan de7izaytas palahida kaththinne lo7o may7o gidana.
1718010069	Be7ite! GODAY biittaa bula kessana; mulera dhayssana; budheththa doore histtana; izin diza asaa laallana.
1718020160	Ubbaa miishshika issi mala gidana; dereza bolla hanzayssi qeeseza bolla hanana; aylle bolla hanzayssi godaa bolla hanana; ashkaray bolla hanzayssi godattey bolla hanana; shammizayssa bolla hanzayssi bayzizayssa bolla hanana; tal7e ekkizayssa bolla hanzayssi tal7e immizayssa bolla hanana; aco ciggizayssa bolla hanzayssi aco cigissizayssa bolla hanana.
171803004a	Biittay mulera bula gidana; mulera bonqqettana; ha qaalaa GODAY haasaydes.
1718040067	Biittaya melana; izin diza ubbay qokkana; alamey daaburana; biitta bolla erettida gita asati daaburana.
171805005f	Biittay ba asaan tunadus; istti woga menththida; maaraa moorida; mernaa caaqo qaala menththida.
17180600b6	Hessa gishshas qanggeththi biittaa mees; izin de7iza dereti bantta mooron qaxxayettana bessees; Hessa gishshas sa7a bolla diza asati xuugettida; isttafe qoodan guuththa asati attida.
1718070048	Woyne turay meliin woyne ushshi wurides; kase ufayettiza ubbay ceecides.
1718080069	Ufayssan karabe baqay co7u gides; kaa7izayta hombocaykka eqqides; ufayssiza diiththa giirissi co7u gides.
1718090050	Hayssafe guye istti yexxishe woyne ushshu uyettenna; ushshayka uyizayta cammana.
17180a003d	Laalettida katamaya kayzadus; keeththa pengetikka gordettida.
17180b0074	Woyne ushsha gishshas dubbushan waasseettes; ufayssi ubbay ceecen laamettana; homboca kaassi biitta bollafe dhaydes.
17180c003a	Katamaya mulera laalettadus; pengetikka meqeretti kundida.
17180d008f	Wogara miththa ayfe shoci qoqofiin woyne miththa qanxxi ekkiin attiza attida pushulo mala biittaa bolla, kawoteththata bolla hessaththo hanana.
17180e0067	Istti bantta qaalaa dhoqqu histtidi ufayssan yexxana; arshey wulliza baggafe GODAA gitateththa yootana.
17180f007e	Hessa gishshas arshey mokkiza baggara dizaytoo, abban diza haruroti GODAA Isra7eele Xoossaa, sunththaa dhoqqu dhoqqu histtite.
17181000c2	Biittaa gaxaappe, «Xillozas bonchchoy gido» giza mazamure nu siyidos; «Tani gidikko gilqada meqeth attadis; Tana aayye ana! Kaddizayti kaddeettes; aaththi immizayti aaththi immeettes» gadis.
171811004d	Intteno sa7a bollan diza asatoo, dagamay, ollaynne woximadey inttena naagees.
1718120090	Salo maskooteti doyettida gishshas, biitta yochchatikka qaaxxida; shiroppe baqatizay ollan kundana; ollafe kessi ekkidaykka woximaden oykettana.
1718130035	Biittay qaaxxides; za7idessinne phalqetti wodhdhides.
17181400a1	Biittay maththottida asa mala yiicotides; carkoy sugida gaabba mala gidadus. Biitta makkallateththay deexo gidida gishshas kundana; nam7anththoka simmi dendenna.
1718150057	He gallas GODAY bolla salon diza wolqqamata gars biitta bolla diza kawotakka qaxxayana.
171816008b	Istti ollan diza qasho asa mala issi bolla uucettana; istti qasho keeththan gordetti uttana; daro wodeppe guye istti pirda ekkana shiiqana.
1718170090	Ubbaafe Wolqqama GODAY Xiyoone zumaninne Yerusalaamen cimata sinththan bonchchon kawotana; he wode aginay shaaphettana; awa ayfeykka yeellatana.
17190100ae	Abeet GODAWU! Neni ta Xoossaa. Tani nena dhoqqu dhoqqu histtana; ne sunththaaka sabbana. Gaasoykka benippe qofettidayssa malalisiza hano kumeththa ammaneteththan ooththadasa.
17190200a5	Neni katamayo shuchcha doore ooththadasa; gimbettida katamayokka laalladasa; hayssafe sinththan gimbettida allagata katamati deettenna; Simmidi mulekka oosetettenna.
1719030052	Hessa gishshas mino dereti nena bonchchana; menxe iita kawoteththati nees yayyana.
17190400c7	Neni hiyeesatas zemppo; Metotanchchatas meto wode neni zemppo; gote carkofe geemmi attizaso; awa seelappe kuwattizaso gidadasa. Gaasoykka menxe iitata peenoy keeththa godara icettiza gote carko mala.
