2800000006	IMatta
2910080081	Aipang ni ava kunu kina uti nọ titaa ika, ki ya alọr iYesu ya. Ara tẹri bọ ace aghọ ighima ba, ka a kọng ẹrẹbata.
29100900ee	(note: The most reliable and earliest manuscripts do not include Mark 16:9-20.) IYesu ya sisang ko kpo ka awii ayeng ka awii ating sara ni, ava yeni ẹrẹkwyuẹ nga ukushi iMaryamu iMagadaliya, aghọmani awo nga ushẹẹ utinsara wu.
29100a004d	Ava kya kiya tẹri aghu mani ashi ni iYesu na asọ ju ikwyi ibibi na sa ci.
29100b0049	Aya kọng si iYesu sha akyo ayiri si anga nu nga, ara ma bọ aipang ba.
29100c0083	Kusang kindi ni, iYesu vasa yeni ẹrẹkwẹ nga ukushi atina nga apai na aghing mani ashi ayeng ba mani a kyeng kidẹ anifọng.
29100d004c	Kindọ agha pai Avughu kiya tẹri ushe; kindọ ni, ara ma bọ aipang ba.
29100e00c7	Ata ricuru ni iYesu va yeni ẹrẹkwyuẹ nga ukushi ọshọ na ayeng mani asọ la imila. Ava gẹr bọ ko taa aipang bọ, kina mani atọrọ bọ uma aipang na aghọmani anu nga mani asisang.
29100f0057	Ava tẹri bọ, si “Ukya idẹ asing kọ ya tẹri ila ididuma ko shi ajiya nadidu.
291010006f	Aghọmani ama aipang, na aju nga iminimini ni, aki peni foo. Aghọmani ata ma aipang ba ni aki wa nga ashuwa.
2910110079	Aki nu uma uwo ica ukushi aghọ ma aipang, Kidẹ nu uca mi ni ọki wuli ushẹẹ; aki pii ni irighimi mani ayẹbuba;
291012007c	aki kpeni iyọọ kina ivọ bọ; insi asa akang ni, aki jubọ icima ba; aki tila ivọ bọ kaya adumu, na ki lẹni.”
291013006c	Utumu mani Ate ọna iYesu pii ni bọ ni, ava kpa nga ki kyabọ ayaya ko, na va cica kavọ ila Ọnọng.
2910140085	Atina nga va kunu kiya tẹri ila ididuma kwabi, Ate ọna sha shẹ bọ kọ na sha sa imumani atẹri unga uwo ica nu shi kindọ.
2a00000005	ILuka
2a01010063	Kọnọ mani Ajiya nagigang kọ sher si ẹbọ ki wọọ ila imumani akọ ju kidẹ mayọ ni,
2a01020053	awọọ kọnọ mani aghi ite ma ayọ umumani ibọ nu na aju ungọ mani ọba.
2a01030097	Imẹ nu ni ọsọ duma, ka imẹ kọ kra uma ri nadidu na sisong kọ kpaa ka kyua na aju bu kọ, ni imẹ wọọ ngọ agha aghaghẹ iTiyofolos,
2a0104002e	ka inu ye imumani amẹẹ nọ na aipang nga.
2a010500e4	Akyua umani agọm iHiridus ko aYahudiya ni, ace ifirist shi kọ ayọrọ nga si uZakariya, asi kidẹ ọna mani aka ma bọ aghọ pii kọ ọtọ Ọnọng ka ọna Abija; ayọrọ ayiri nga si Alisabatu kidẹ ute Aruna.
2a01060052	Ka pai bọ na kyai na birbọ kishite Ọnọng, aka ju imumani Ọnọng sa uju.
2a01070049	Ashi bọ na anọ ba ka Alisabatu sa akuu; anyi bọ kọ kyaa atọọ.
2a01080073	Ace awii ni uZakariya sọ ju utina ifirist ka kyua mani akyo si ajiya nga bọ shina utina kidẹ ọna Ọnọng.
2a01090098	Ahwiya nga kọ wuru ituu kọnọ mani aghọ ifirist yira si ibọ ki ka ju utina ni, anga ki ka ghila idẹ ọna Ate ayaya, ka ya ta ugha ọvọng,
2a010a0050	ajiya nadidu sọ upii nọ Ọnọng kọ seshi ka kyua uta ugha ọvọng nga.
2a010b0059	Ba irishu, ace atuma Ate ayaya kunu ki ma tara kọ uhwo ila kọ ọka ni ata ugha kọ.
2a010c0037	UZakariya ya nu nga ni, ẹrẹbata kpẹnẹ nga kọ.
2a010d00b1	Atuma Ọnọng ba tẹri nga si, “Ba kọng ẹrẹbata ba uZakariya, Ọnọng yira ushọr ngọ, ayiri ngọ Alisabatu ki jee ngọ anọ, ingọ ki ma nga uca si iYahaya.
2a010e0058	Ingọ ki kọọ uhwai kini ikwyifu nagigang, ajiya na pam ki ju ikwyifu nọ ujee nga,
2a010f008a	anọ ki tee agha aghaghẹ kukushi Ate Ayaya. Aki sa nga akuma ko ima usa uvra ba. Aki sa nga na aghing Ọnọng na aku jee bọ nga ba.
2a01100041	Aki vuwa na agha Israila na pam kukushi Ate Ayaya Ọnọng bọ.
2a011100fa	Aki lite kidẹ aghing uyeri kini ẹrẹkyuọ nga kini Iliya ni. Aki ba nọ uci ọkyuọ ka aghọjee kina anọ bọ, ka ba tee na aghọ na aka hwiri bọ atọng ba ka tee agha aipang, ka wang Ate ayaya ajiya nga, ka peni bọ na so ci sha.”
2a01120091	UZakariya ba tẹri atuma Ọnọng si, “Imẹ ki ju nanyi ki mẹ ye kindọ? Imẹ wẹ ni itọ anakpii aghọ bọ mi kọ la awii apai.”
2a01130098	Atuma Ọnọng ba yira nga si, “Imẹ si iJibrilu na ating ki shite Ọnọng. Atuma mi si iba tẹri ngọ upii, ki ba tẹri ngọ idi ila ididuma.
2a011400a6	Ingọ wẹ ni ingọ ki kọmọ, ingọ ki biya ngọ upii ba, sa awii mani uma ri ki ba kọ, ka ingọ ta ma ngọ aipang kọ upii ba, aki ju wu ka akyua nga.”
2a0115005f	Ajiya sọ sa ukunu uZakariya, awo ica nọ umani ata kunu nga kaisa kidẹ ọna Ọnọng ba.
2a011600a6	Aya kunu ni, ata biya nga upẹni kini bọ ba. Asa kpẹlẹ si anu amọ aghaghẹ kidẹ ọna Ọnọng wọ, asa sọ yeni bọ na ivọ ka ata biya nga upii ba.
2a01170039	Akyua uju utina ifirist ya kpẹ wu ni, aba suwa nga aca.
2a0118006b	Awii ra ya wor bọ ni, ayiri nga Alisabatu kpaa afo. Asa shọrọ nga ki la ipiri itọ, asọ tẹri si,
2a01190073	“Imumani Aghọ ọna ju mi yidi kidẹ na awii umani a kra mi na ahwo kọ, awo mi ighong kọ kidẹ bajiya.”
2a011a007c	Kidẹ upiri itin ni, Ọnọng tuma atuma nga iJibrilu ki ice ifọng kidẹ ẹrẹbọ aGalili, aka yọrọ si aNazaret,
2a011b009b	kukushi ace anayiri mani ata ye nga aghẹmẹ ba, na akọ cira ace ajiya na aka yọrọ nga si uYusufu, kidẹ ute uDauda, uca anayiri bọ si uMaryamu.
2a011c006f	Atuma Ọnọng ba kyaa ukushi nga ki ya ju si “Isu bili ngọ, aghọ na hwiya, Ọnọng si ki ni ngọ!”
2a011d0052	Aba duma nagigang nọ upii, na sa ghulu ikwyi nga si iligba ighọ ubili yidi ni,
2a011e0061	atuma Ọnọng ba tẹri nga si, “Ba kọng ẹrẹbata ba, uMaryamu ka Ọnọng hwiya ngọ.
2a011f005d	Ingọ wẹ ni ngọ ki kpaa afo, kọ jee anọ anaghẹmẹ, ingọ ki ma nga uca si iYesu.
2a0120008c	Aki tee agha ghaghẹ, aki yọrọ nga si Anọ aghọ cẹẹ nọ ughọghẹ. Ate aYaya Ọnọng ki ma nga ẹrẹgọm ate nga uDauda.
2a0121004f	Aki ko ute uYakubu sọ usang asing. Ẹrẹgọm nga ki shi wu na amara ba.”
2a0122006c	UMaryamu ba tẹri atuma Ọnọng si, “Na nyi kọ ni udi ki ba kọ, ni imẹ ta ye mi aghẹmẹ ba?”
2a012300bc	Atuma Ọnọng yira nga si, “Aghing Ọnọng ki ba ngọ, ẹrẹkyuọ aghọ cẹẹ nọ ughọghẹ ki yuru ngọ ya. Agha Uyeri na aki jee ni, aki yọrọ nga si Anọ Ọnọng.
2a0124007d	Uwẹ ni, anayuru ngọ Alisabatu, aghọmani asi aki jee nga ba, ka kyuakyuari ni, ashina afo ipiri itin, kidẹ irihua nga.
2a01250031	Ki ba imumani Ọnọng ta ki bira nga uju ba.”
2a0126008d	UMaryamu ba ju si, “Imẹ ni agira Ọnọng nga, ta ni ọbami kọnọ mani ingọ tẹri ni.” Atuma Ọnọng ba sang nga kukushi nga.
2a01270077	Awii ra ni uMaryamu sang kaisa, ki wor kyaa ice ẹrẹbọ mani ishi na akọ, ka anọ ifọng ẹrẹbọ aYahudiya.
2a01280032	Aghila idẹ ọna uZakariya ki ya bili Alisabatu.
2a01290063	Alisabatu kọng ubili uMaryamu ni, anọ idẹ afo nga tee. Aba ma Alisabatu nga Aghing Ọnọng.
2a012a007a	Aba gyo anyu nagigang, ki tẹri si, “Ingọ shi na ayi afafu kidẹ ba yiri. Anọ idẹ afo ngọ shi na anyu adaduma!
2a012b004a	Na nyi kọ ni udi uyoo ba mi kọ, na ayuru Ate aYaya mi ki ba ukushi mi?
2a012c004a	Ka imẹ kọng ẹrẹyuẹ ubili ni, anọ tee kidẹ afo mi na ikwyifu.
2a012d005a	Ama anyu adaduma na aghọmani ama aipang na utuma mani Ate aYaya ba nga kọ ki hwura.”
2a012e0034	UMaryamu ba ju si, “ikwyi mi sọ brẹ Ate aYaya.
2a012f0033	Aghing mi kọng ikwyifu na Ọnọng aghọfoo mi,
2a01300082	ka sa mi ka ikwyi nga na imẹ kina umani agira ngọ nga! Kọ kpaa ka kyuari ni ajiya nadidu ju si imẹ ni ata mi anyu adaduma.
2a0131004d	Ka aghọ shina akyuọ kọ jumi uma kọkọng. Uca nga ni aghọ uyer nga!
2a01320061	Kọ kpaa ka ace akyua ki ma ta ace akyua, ahwoo nga si ka aghọmani aka kọng ẹrẹbata nga,
2a01330068	uma ọkọkọng na ju, aghọmani aka hwiri bọ atọng ba, ibọ kina amara bọ ni, afru bọ kọ.
2a0134005d	A wuru agọm wu ki ẹrẹgọm bọ, asa zẹẹ aghọmani aka ra sang bọ akwyi bọ ba,
2a0135004e	ama aghọ idafo uma udọdọma, na sa shira aghọnọ upeni na avọ ahwoo.
2a01360031	Ashẹ agira nga Israila, ka ashuni na ahwoo nga,
2a0137005c	kọnọ mani atẹri anarakpii mayọ, kushi Ibrahim kina ute nga ki ta kọ sang asing.”
2a0138004a	UMaryamu lara nga kina Alisabatu ki la ipiri tai, na sa tọ vuwa nga aca.
2a0139003f	Akyua na Alisabatu ki jee wu ya ju ni, ajee anọ anaghẹmẹ.
2a013a0066	Agha yayo kina anayuru ya kọng umani Ọnọng kọng ahwoo nga ni, ashẹ nga nọ kọng uhwai wu.
2a013b004c	Awii inanari na asho aghumu na anọ ni, awang ma nga uca ate nga uZakariya,
2a013c0039	ayuru ba ju si, “Kaayi, aki yọrọ nga si iYahaya.”
2a013d004f	Aba tẹri nga si, ayọ shibọ na ace anayuru umani ashi nọ uca kindọ ba.
2a013e0031	Asa ghulu ate na avọ, uca na wang sa ama anọ.
2a013f0063	Aba ju si ama nga ima uwọọ, aba wọọ si, “Uca nga bọ si iYahaya.” Awo ica nadidu bọ.
2a01400060	Anyu nga ba bọ yẹmi na ẹrẹghẹmẹ nga ba sheri, na adẹ kọ pii, na brẹ Ọnọng.
2a01410083	Ẹrẹbata ba kpẹnẹ agha yayo bọ nadidu. Ajiya dẹ kọ ma ila imumani iba nadidu ẹrẹbọ na isi na akọ ka aYahudiya.
2a0142008a	Aghọmani a kọng ni, ako kidẹ ikwyi bọ, asu tẹri si, “Ikẹmbọ na ananọ ri ke tee kọ?” Ka avọ Ate aYaya shi kini nga.
2a0143004a	Aba sa ate nga uZakariya na Aghing Ọnọng, aba nu amọ aghaghẹ, asi,
2a01440048	ubrẹ kukushi Ate aYaya, Ọnọng Israila, ka aba ki ba foo ajiya nga.
2a0145004d	Ashang ayọ aghọ ufoo, aghọ ẹrẹkyuọ, Kidẹ ute agira nga, uDauda.
2a0146003c	Kọnọ mani atẹri ka anyu atina nga aghọ upipar aiwuu.
2a0147005a	Afoo ayọ kidẹ ivọ ayikyo ọkọrọ bayọ, kina aghọmani awang bọ nu ayọ ba.
2a01480052	Kọnọ mani ayeni anarakpii bayọ ahwoo, ashuni na ọdọmọ upipar na sa ju.
2a01490023	Usuu na ju ate mayọ Ibrahim kọ.
2a014a005b	Ka kara ayọ kidẹ ivọ ayikyo ọkọrọ bayọ. Ka ayọ ju nga utina ba ẹrẹbata.
2a014b0035	Sa yọ shina uyeri ki shite nga, nadidu awii bayọ.
2a014c00a7	Ingọ anọ mi, aki yọrọ ngọ si aghọ pii kọ ọtọ Ọnọng aghọ ucẹẹ nọ ughọghẹ. Ingọ ki lite Ate na ọyọ ba, ka ingọ ya ker nga utra,
2a014d0053	Ki ngọ tẹri ajiya si aghọ ufoo bọ wẹ kọnọ ucira bọ avulu bọ wọ,
2a014e0066	ka ahwoo Ọnọng ba ayọ, ka yaya ni uyeri abidikyua ki kunu yi wọ, ki ba ka yaya kukushi bayọ,
2a014f0073	Ka ta aghọ kyeng kidẹ iting uyeri, kina aghọ kyeng ka iwuliwu ukpo, ka kyeng kina ayọ kọ utra ikwyifu.”
2a0150007b	Anọ fọnu, ki ba ni ẹrẹkyuọ kidẹ aghing. Aghila nga idẹ aghumu sa awii mani ayeni ẹrẹkwẹ nga ki Israila.
2a0201005e	Awii ra ni iKaisar Agustus sa si agyo anyu, si awọọ uca aghọmani asi ki ẹrẹbọ nga.
2a0202004d	Udi wu si upila ite na aju ka kyua Ukiriniyas, aghọ ko ẹrẹbọ Asuriya,
2a02030034	kwinga na akyaa ifọng bọ ka aya wọọ uca nga.
2a020400d1	IYusufu ma na aya ifọng aNazaret, kidẹ ẹrẹbọ aGalili ki kyaa aBaitalami kidẹ ẹrẹbọ aYahudiya, uwu shi ifọng mani ajee agọmo uDauda wọ. IYusufu kyaa ukadu ka anga ni aghọte uDauda nga.
2a0205005b	Akyaa kọnọ uMaryamu anayiri na cira nga ka aya wọọ uca bọ, aghọmani asi na afo.
2a0206002c	Ashi ka aBaitalami ni, akyua ujee nga ba ju.
2a02070082	Aba jee ẹrizẹri nga, ki yuru nga na ugyauto uwọro, ayaa nga kidẹ utakpo ka ata peni bọ ubọọ kọka ushulu akyeng ba.
2a02080060	Ki ididu ẹrẹbọ ni, ace aghọcee ka nyẹ kọ sẹsing, na asọ sha atẹm bọ na atii.
2a02090082	Ace atuma Ọnọng ba irishu va kunu kite bọ, ujọọ Agha aYaya ta uyeri ki ghẹmẹ bọ, nava kọng ẹrẹbata nagigang,
2a020a008d	atuma Ọnọng ba tẹri bọ si, “Inu ba kọng ẹrẹbata ba, uwẹ ni imẹ banọ ni ila ididuma, mani ki sa ikwyifu ka ajiya nadidu.
2a020b0055	Aidi ni, ajee nọ aghọfoo kidẹ ifọng uDauda, aghọmani anga shi uKristi, Ate.
2a020c0072	Amaa ni inu ki nu wẹ, inu ki ya nu ẹrẹpalẹ anọ na ayuru na ugyauto uwọro, na yẹẹ kidẹ utakpo.”
2a020d007f	Ba irishu, na ikir atuma Ọnọng ba ka ayaya ki ba ta akwyuẹ kina atuma Ọnọng ra, na brẹ uca Ọnọng, na asu ju si,
2a020e007d	“Ujọọ kushi Ọnọng ka ayaya! Taani ikwyifu shi kọ ka asing kina ajiya ni Ọnọng kakọng ọdọdọma bọ!”
2a020f00ce	Atuma Ọnọng ya sang bọ kọ ukushi bọ ni, asa vuwa bọ ayaya, aghọcee ba tẹri ace bọ si, “Ayọ bakye ka aBaitalami ka kyuari ka ayọ ya nu ima ra mani iba, inga ni Ọnọng tẹri yi.”
2a0210005d	Asa wor kaisa, ki ya peni uMaryamu kina IYusufu, kina ẹrẹpali anọ ni yii kidẹ utakpo.
2a02110060	Aghọcee ya nu nga ni aba tẹri ajiya ila umani atuma Ọnọng sa tẹri bọ ka ya anọ ri.
2a0212004e	Nadidu aghọmani a kọng imumani aghọcee ra sa tẹri bọ, na asa wo ica.
2a02130047	UMaryamu ba ko imumani atẹri nadidu, nasọsa ghulu ikwyi nga ka aya.
2a0214009d	Aghọcee vuwa bọ ọka mani atẹm bọ shiwu, na sọ brẹ na jọọ Ọnọng, imumani a kọng ki ba nu kọnọ mani atuma Ọnọng tẹri bọ ni.
2a02150081	Awii inanari ya ju, naya sho aghumu ni nga ni, aba ma nga uca si iYesu, uca mani atuma Ọnọng ma na kọ kpaa bọ afo nga ba.
2a0216009c	Akyua ya ju ni uMaryamu kina uYusufu ki ju imumani umẹẹ iMusa tẹri saju ka hwuru irighe ni, avasa kpaa iYesu ki kya bọ Urushelima kaya ma Ọnọng.
2a02170083	Kini mani Awọọ kidẹ umẹẹ Ate aYaya ni, “Ko iligba ẹrizẹri anaghẹmẹ umani ajee ni, aki hwuru nga irighe wọ.”
2a02180080	Ki ba ju wa ifuu kọnọ mani atẹri kidẹ umẹẹ Ate aYaya si, “Ukhimi upai, kina atattabara ayọrọ apai na ki wa.”
2a021900bd	Adakyua ra ni ace ajiya shiwu kọ Urushelima. Aghọnọ uca si iSaminu, aghọ ju aipang nga, aghọ ju utina Ọnọng, asọ sa awii mani aki foo Israila. Aghing Ọnọng shi kini nga.
2a021a006b	Aghing Ọnọng kọ yeni nga si, aki kpoo nga ba sa nu Ate yi uKristi umani Ọnọng tẹri si aki tuma.
2a021b00a5	Aghing ya sẹr nga, na ba ghila idẹ ọna Ọnọng ka kyua mani aghọjee iYesu ya ba ni nga kidẹ ọna Ọnọng ka ju kọnọ mani umẹẹ iMusa yeni saju,
2a021c003f	iSaminu ba yira anọ ki ko na avọ, ki sa Ọnọng izaa, si,
2a021d004c	“Ka kyuari, Ate Yaya, Shira agira ngọ ni ikwyifu, kọnọ mani utẹri,
2a021e0016	Ki mẹ nu ufoo ngọ.
2a021f0029	Uwo mani ingọ ju ki shite ajiya nadidu,
2a02200071	Uyeri nọ sọ yeni aghọmani ashi bọ aYahudawa ba itra ngọ, Kọ ba na ujọọ ka ajiya ngọ Israila.”
2a02210040	Aghọjee iYesu wo ica ni umumani atẹri kaya ẹrẹkwẹ nga,
2a022200f3	uSaminu sa bọ anyu adaduma. Ki tẹri uMaryamu ayuru iYesu si, “Ọnọng hwiya anọ ri ka asa ace aghọ bọ ukpaa, na ace aghọ bọ nagigang ka sisang kidẹ Israila. Aki shi amaa ukushi Ọnọng mani ajiya nagigang ki wang bọ ba.
2a0223007e	Kindiwu ni imumani ishi kidẹ ikwyi na pam ki yeni. Ima ri ki ta ngọ ulo kọnọ atuu ikwyi ngọ ni ikuma ọkọrọ.”
2a0224007f	Ace anahua aghọ nu, kidẹ ọna Ọnọng ayọrọ nga si Anatu, anọ iFanuwel ki ijiya Asher. Aci obuwa anyi atinsara wu,
2a022500d7	aghẹmẹ nga ya kpo ni, anyi, kina uci nga ba aghẹmẹ ashi anyi Ishọnanari na nari. Ata ya nga ọna Ọnọng ba, asọ ju Ọnọng utina atii kina atọnọ, na asọ shọr Ọnọng kina ukpẹnẹ anyu.
2a02260085	Inga va ba Ka kyua ra, ki sa Ọnọng nga izaa, kiva pii kaya ẹrẹkwẹ anọ kọ shi aghọmani asọ sha ka ama wo Urushelima.
2a0227009d	UYusufu Kọnọ uMaryamu ya kpẹẹ kwikẹ kọnọ mani umẹẹ Ate aYaya tẹri ni, aba vuwa bọ ẹrẹbọ aGalili ki kyabọ ifọng bọ aNazaret.
2a0228005c	Anọ ya fọnu, ki ba ni ẹrẹkyuọ, asi na uye nagigang. Ọnọng ta nga anyu adaduma.
2a0229004a	Aghọjee nga ka kyaa Urushelima kọ aligba anyi ka kyua usra agya ubulu,
2a022a0059	Aya la anyi ushonapai ni, aba kyaa usra ipara kini nga kọnọ mani akọ ghẹli wu ni.
2a022b0082	Aya kpẹẹ usra ipara ni, asa kpẹnẹ utra uvuwa bọ, na anọ, iYesu, aba laa nga kọ Urushelima ba si aghọjee nga ye ba.
2a022c0072	Ibọ ni, awiya kọ kyeng, akpaa si ashi ki dẹ bajiya. Asa dẹ kọ uwang nga kidẹ anayuru kina ayikyo bọ,
2a022d0041	Aya peni bọ nga ba ni, aba vuwa bọ Urushelima, kiya wang nga.
2a022e0075	Awii itai ni aya peni nga na ci kidẹ ọna Ọnọng kina aghọmẹẹ, na asọ hwiri bọ, na sa ghulu bọ uma.
2a022f0058	Nadidu aghọmani a kọng nga ni, asa wo ica nu ukpẹlẹ nga kọnọ uyira upii nga.
2a023000ae	Awo ica nu mani anu nga kọ kawẹ, ayuru nga va ju si, “Anọ mi kọng, ikẹmbọ wu nu ju ayọ kindọ? Imẹ kina ate ngọ duma nu mani ayọ ta nu ngọ nga ba.”
2a02310078	Aba tẹri bọ si, “Ikẹmbọ sa ni inu so wang mi? Inu ta ye nu si iyiya ni imẹ ki shi kidẹ ọna ate mi ba?”
2a0232002e	Na ata kpẹlẹ bọ upii na atẹri bọ ba.
2a02330079	Aba sisang ki yii bọ ki vuwa bọ aNazaret, na su kọng ima utẹri aghọjee nga. Ayuru nga kyo uma kidẹ ikwyi nga.
2a0234004f	IYesu lite nu ukyimi nu uye, nu fonu, kina uyoo ko ukushi Ọnọng kina ajiya.
2a030100fb	Kidẹ anyi uso na itọ na ẹrẹgọm ighighẹ iKaisar iTibariyas ni, iBuntus iBilatus so ko aYahudiya, iHiridus nga so ko ẹrẹgọm aGalili, anayuru nga iFilibus nga ko ẹrẹgọm Ituriya kina aTarakunitas, aLisaniya ko ẹrẹgọm Abiliya,
2a0302006e	akyua ni Hanana kini iKayafa sa afirist akakọng, Upii Ọnọng va ba iYahaya anọ uZakariya kidẹ aghumu.
2a0303009b	Aba ghẹmẹ nadidu ẹshẹẹ ẹrẹyẹma Urdun, na sọ tẹri upii Ọnọng si, ajiya lọkpaa na ju bọ iminimini, ka acira bọ uvulu bọ kọ,
2a030400ab	kọnọ mani awọọ kidẹ awọ aghọ pii kọ ọtọ Ọnọng, Ishaya si, “Ẹrẹwyuẹ uyọrọ ka aghumu si, ‘Inu ker Ọnọng utra, ka inu nawa itra nga.
2a0305008c	Aki hwura kọlọgba uhuo, aki yaa kọlọgba utii nọ ugbana ughọghẹ. Aki nawa utra umani ugomu wu, ka akeri itra ibibi ki ba iduma.
2a03060033	Nadidu ajiya ka ya sing ki nu ufoo Ọnọng!’”
2a0307008a	IYahaya tẹri ikir bajiya na aba sa aju bu iminimini si, “Inu iyọọ na kang! Inga waa nọ atọ si inu tẹ anang Ọnọng uki ba?
2a030800dc	Inu ju utina mani uki yeni ọlọkpaa nọ, kọnọ umani ashẹ ka ma ikọlọ ni, inu ba sa ka ikwyi nu si, ‘Ibrahim nga sa ate bayọ ba.’ Imẹ so tẹri nu si Ọnọng ki bira ukeri Ibrahim anọ ka atii ri.
2a030900a1	Ka kyuari ni anyu akperi shẹ ki ẹrẹpiya ọshẹ. Kindu ni nadidu ushẹ mani uta ma wu ikọlọ ididuma ba ni, aki kpa wu kọ, ka fẹni kidẹ ugha.”
2a030a0034	Ajiya ba ghulu nga si, “Ikẹmbọ na ayọ ki ju?
2a030b007e	Aba yira bọ si, Aghọmani ashi ni ugba upai, na kau kina aghọmani ashi nga ni kọba, aghọ shii ni imila ju kindọ.”
2a030c0058	Aghọ yira agonu ba sa aju bu iminimini, “Aghọmẹẹ, ikẹmbọ na yọ ki ju?”
2a030d0049	Atẹri bọ si, “Inu ba yira ki nu cẹẹ imumani asa nu uyira ba.”
2a030e00f3	Ace aghila akpọ ghulu nga si, “Ayọ ni, ikẹmbọ na ayọ ki ju?” Aba tẹri bọ si, “Inu ba kara ajiya ẹfẹ basi uyo bọ ba, inu ma ta atẹri kaya akwyi bọ ka ataa manọ nga ẹfẹ ba. Inu sa izaa ni imumani aka ja nu.”
2a030f0062	Umani ajiya so sha aghọ ufo ni, na didubu kpaa kidẹ ikwyi bọ si iYahaya nga sa aghọfoo ra.
2a031000f4	IYahaya ba tẹri bọ na didubu si, “Imẹ ni, ika ju nu iminimini na amusum, kindọ ni ace aghọ na acẹẹ mi na ẹrẹgọrọ ki ba, ungani iki biya mi ushii anii akpọ nga ba. Anga ki ju nu iminimini na Aghing Ọnọng, kina ugha.
2a031100a6	Akọ ọfọọ nga kavọ nga, aki pẹr ẹrẹwọọ ka nau, na sa cur alkama ka sa kidẹ afọ nga. Na sa foru ẹrẹwọọ na ugha mani uka kpo wu nga ba”
2a0312003b	Kinọ uwaa atọng nagigang, iYahaya ma ajiya ila ididuma.
2a03130065	IYahaya gẹr iHiridus na umani avo iHiridiya, ayiri anayuru nga iFilibus, ki ba ju uce nu uma ububi.
2a03140045	IHiridus kimi kaya uma ri, aba sa na ta iYahaya kidẹ ubọọ itii.
2a03150067	Asọ ju ajiya iminimini nadidu ni, asa kọ ju iYesu. Asọ pii nọ Ọnọng ni, a yaya ba fẹmẹ,
2a031600d6	aghing Ọnọng na alilẹ ikhimi ba ka ayaya ki ba shulu kaya ẹrẹkwẹ nga. Na sa kọọ ice ẹrẹwyuẹ ka yaya si, “Ingọ sha anọ mi, angọ mani imẹ yoo. Imẹ ka kọọ uhwai ngọ nagigang.”
2a03170090	Akyua ni iYesu kyọju utina umẹẹ nga ni, ashina anyii ishi tai wu ka sing ri. Ajiya kpaa si inga ni anọ uYusufu nga, IYusufu anọ iHeli,
2a03180068	IHeli anọ iMattat, iMattat anọ iLawi, ILawi anọ iMalki, iMalki anọ iYanna, IYanna anọ uYusufu,
2a03190070	uYusufu anọ iMattatiya, IMattatiya anọ Amos, Amos anọ iNahum, INahum anọ Azaliya, Azaliya anọ iNajaya,
2a031a0076	INajaya anọ iMata, iMata anọ iMattatiya, IMattatiya anọ iShimeya, iShimeya anọ uYusufu, IYusufu anọ iYahuza,
2a031b0080	iYahuza anọ iYowana, IYowana anọ iRefaya, iRefaya anọ iZerubabel, IZerubabel anọ iSheyaltiyel, iSheyaltiyel anọ iNiri,
2a031c0065	INiri anọ iMalki, iMalki anọ Addi, Addi anọ iKosama, iKosama anọ Elmadama, Elmadama anọ Er,
2a031d0069	Er anọ iYosi, IYosi anọ Eliyezar, Eliyezar anọ iYorimi, IYorimi anọ iMattat, IMattat anọ iLawi,
2a031e006b	iLawi anọ iSaminu, ISaminu anọ iYahuza, iYahuza anọ uYusufu, IYusufu anọ iYonana, iYonana Eliyakim,
2a031f0074	Eliyakim anọ iMalaya, iMalaya anọ iMainana, IMainana anọ iMattata, iMattata anọ iNatan, INatan anọ uDauda,
2a0320006d	uDauda anọ iYesse, IYesse anọ Obida, Obida anọ iBowaz, IBowaz anọ iSalmọn, iSalmọn anọ iNashon.
2a03210074	INashọn anọ Amminadab, Amminadab anọ Aram, Aram anọ iHesruna, iHesruna anọ iFeresa, IFeresa anọ iYahuza,
2a0322006b	iYahuza anọ iYakubu, IYakubu anọ Ishaku, Ishaku anọ Ibrahim, Ibrahim anọ iTera, iTera anọ iNahor,
2a03230062	INahor anọ iSerug, iSerug anọ iReyu, IReyu anọ iFeleg, iFeleg anọ Eber, Eber anọ iShela,
2a0324006a	iShela anọ iKenan, IKenan anọ Arfakshad, Arfakshad anọ iShem, IShem anọ iNuhu, iNuhu anọ iLamek,
2a03250074	ILamek anọ iMetusela, iMetusela anọ Anuhu, Anuhu anọ iYared, iYared anọ iMahalalel, IMahalalel anọ iKenan,
2a03260055	iKenan anọ Enosh, Enosh anọ iShitu, iShitu anọ Adamu, Adamu ni anọ Ọnọng.
2a04010067	IYesu ya vuwa ki ẹrẹyẹma Urdun kina Aghing Ọnọng, Aghing ba kyeng ni nga ki kyaa aghumu kọ,
2a0402006e	uka umani Ishẹẹ mra nga ki la awii isinar. Awii ra ni ata la nga ighima ba. Aya kpẹ ni asa kọng idafo.
2a04030066	Ishẹẹ ba tẹri nga si, “In kini ingọ ni Anọ Ọnọng nga ni, sa atii ri ka tee ubiredi.”
2a04040076	IYesu ba gẹr nga si, “Awọọ kidẹ ila Ọnọng si, ‘Ba Imila yọ kiyu yọ na ajiya ki lang kọ ba.’”
2a04050084	Aya sang kọ kadu ni, Ishẹẹ ba kpaa nga ki kya uce uka ka yaya nagigang, ayeni nga ẹrẹgọm asing ri nadidu kidẹ anakyua.
2a0406009e	Ishẹẹ ba tẹri nga si, “Imẹ ki ma ngọ uma ọdọdọma ri nadidu kinọ ujọọ bọ, kọ uma ri ni ama mi bọ, ika va ma aghọmani imẹ yoo.
