2800000006	Umatta
2c040a0101	Umɛn ibee umbi nu abi Uisrairha kishoo ahwɛng ugɛ, awu ri itsok Uyesu Ukiristo uwu Unazarat, uwuruwi umbi aka afɛre unga ri inyapuwe unga nu igãrhãmau ucicii, uwuruwi Unum aka asoyiwe ra akpe, atsu utsak uwirɛ akerhe adɛ̃ɛ̃ akerketawɔ ra asumbi.
2c040b005e	Uyesu ha unga awu “‘Utarhkpi umbi abi idzin aka akpɛ̃, ukpɔ uwu utarh angboki idzin.’
2c040c0071	Asi íkpombɔ ififɔrh ru uner uwɔɔ, asi idzowukumbɔ itsok ikɔɔ ru upfung umɛn iki ikpo ififɔrh ri ike.”
2c040d00a5	Ivangyɛ ateiya aka anyã ikeramɛn Ubitru nu Uyohana, umbɔ ahwɛngmbɔ ugɛ umbɔ asi itsĩmbɔ imesa, umbɔ adzeidzeu, na adiki ihwɛng agɛ umbɔ awu nggu Uyesu.
2c040e006e	Bɔr umbɔ aka anyã utsa uwuku ukerhe ha adɛ̃ɛ̃ nggu umbɔ, umbɔ asi ikpombɔ ubinkpi umbɔ aka irherhe.
2c040f0050	Nggee umbɔ atsu umbɔ adzembɔ ru udzepurhe ha, na akɛki itsũwã nggu adɔka.
2c041000ca	Umbɔ arhusa agɛ, “Umɛn ikorhi uguse nggu anera abɛrɛ? Ubinkutsu anera ru Urusharhima aka ahwɛngmbɔ ugɛ aka akorhumbɔ nggaa abin idzeu ru abok anera abɛrɛ, umɛn isi ídɛ̃ɛ̃ itsɛyimɛn.
2c04110083	Bɔr utsur arherhe ha atsĩ amaake ra anera, umɛn igbiite atombɔ utsur umbɔ abvui arherhumbɔ arherhe nggu anera ri itsok ha.”
2c0412006a	Mɔcɛ umbɔ ayisa abi itser Uyesu ha atsu umbɔ niba abvui arherhumbɔ arherhe, use imesa ri itsok Uyesu.
2c0413008c	Bɔr Ubitru nu Uyohana adzipa agɛ, “Àka avarhe nibikambi irhikungge ra anang Unum umɛn ĩdɔsa arherhambi ni ineke ĩdɔsa Arherhu-Num?
2c0414005e	Ubinkutsu, umɛn isi ídɛ̃ɛ̃ inekukumɛn irherhe ubinkpi umɛn iki igũ ni inyã ikɛi.”
2c041500af	Umbɔ aka atoma aziya umbɔ, umbɔ atsũwe umbɔ azĩmbɔ. Asi ikpombɔ ubinkpi umbɔ aka ikorhe na adzowe umbɔ uver, ubinkutsu anera kishoo akpoi Unum ru ubinkpi uku ukorhe.
2c0416004f	Utsa ukatarhu uwuku ukpo idzeu ikikerhe ha, imɛknga iki inangngge isɔka inaa.
2c0417009f	Ivangyɛ umbɔ aka atsũwe umbɔ Ubitru nu Uyohana azĩmbɔ ra abimbɔ, umbɔ asɔme kishoo abinkɛ ateiya abika adzowe idɛm-Num nu akakũ aka adɛyiwe umbɔ.
2c041800c5	Ivangyɛ umbɔ aka agũ rimi, umbɔ atsarhi irhakmbɔ ri ifɛn-Num nggu amɛn unying agɛ, “A Uteijee uner ijee kishoo, ungo umuna afã nggu abĩ nu akau akagɔng, nu abina kishoo aka awe ra ake.
2c041900b1	Arherhango ri Ipfu Isarsatangge, ungo uku urherhe ra angwĩ ugãrhãngo, utokamɛn Udauda ugɛ, “‘Awu use utsu abĩã kishoo agũ uvɔm nu anera akaifɛrhkɔ iyiki itãrhã?
2c041a008b	Ayɛrhe ru upfung agbopa atsimbɔ abee iwa, nu anggbaashi abĩã akɔng ananga unying awe ru igamtsa nggu Uteijee, nu ikɛi Ukiristonga.’
2c041b00e4	Awu idzidzɛrhe, uyɛrhe Uhiridu nu Ubuntu Ubirhatu agbopumbɔ itsi nggu atsen abi Uyahuda nu aner Uisrairha ru uteu ukpirɛ. Awembɔ ri ikpikpɛ̃ɛ̃ nggu ugãrhãngo Uyesu usarkasar, uwuruwi ungo uku usɛng unga awu Ukiristo.
2c041c0055	Umbɔ akorhe abinkɛ kishoo ijeengo nu ibibemango iki itsu ishaisha ugɛ ngge ikorhe.
2c041d0069	A Uteijee, ungo ugũo iziziyambɔ ra atsimɛn nu uma uyike agãrhãngo nggu ikeramɛn irherha arherhango.
2c041e006d	Uberu ubokngo ukpuku ukerhe ikɛi ukorhu nggaa abin idzeu nu igbigba ri itsok ugãrhãngo Uyesu usarkasar.”
2c041f00a9	Umbɔ aka afɛn-Num amaa, anangkɛ umbɔ aka akɔng adiki izizusa. Mɔcɛ atsuke umbɔ kishoo Ipfu Isarsatangge, umbɔ adɛ̃ɛ̃mbɔ irherha Arherhu-Num nggu ikeramɛn.
2c0420008f	Mɔcɛ kishoo abika adɔsa amɛnmbɔ awu unying. Ubɛn unera asi iwea ru ubin ukamnga, bɔr umbɔ agasha abinkɛ umbɔ aka awurake nggu adɔka.
2c04210083	Nggu ijee nggaa abi itser Uyesu aka adɛ̃ɛ̃ arherhe isisok Uteijee Uyesu ra akpe, nu imimuta irhɛirhɛ iki iwu ru umbɔ kishoo.
2c04220064	Unera asi ibee ubin adaka ru umbɔ. Ubinkutsu abi icang irham nu abi aya agoyiwe ake na akũ uhwɛka
2c04230044	aba adzowe ra abi itser Uyesu, umbɔ agashuwe anera ri itsũwãmbɔ.
2c042400a2	Rimi hã uner itsok Uyusuf aka akorhe awu unang Urhawi, adzeku Usayifuru, uwuruwi abi itser Uyesu iki iyisa unga Ubarnaba, agbena agburh “Uner uwuku Ufituwe.”
2c0425004e	Unga aka agoshe icangnga iyɔɔ, unga akũ uhwɛka aba adzowe abi itser Uyesu.
2c0501005e	Unera nuwɔ itsoka igburh Uhananiya, nggu utsɛ̃nga Usafiratu, agoshe icang irhammbɔ iyɔɔ.
2c0502007c	Nggu ihwihwɛng utsɛ̃nga, unga atsũ uhwɛka angwɛ̃ ukpunga na akũ ukpuku ubɔr aba angwɛ̃we ra adak abi itser Uyesu.
2c050300b7	Mɔcɛ Ubitru agɛ, “A Uhananiya, awu use utsu ungo uneke Ushaitan atsĩ ra amɛnngo? Ungo ugbɛrangwĩ utsuke Ipfu Isarsatangge, ungo ikɛi utsũɔ̃ ubin ukpɔɔ ru uhwɛk icanga?
2c050400d7	Isi iwengge iyingo ungo udɔrhu ugoshe? Ungo uku ugoshe ikɛi, uhwɛka usi iwekpɔ ri ijeengo? Awu use utsu ungo ukaifɛrhkɔ iyiki ikorhu ubin hã? Ungo usi igbɛrangwĩ utsukukɔ unera, ungo ugbɛr utsuke Unum.”
2c05050075	Ivangyɛ Uhananiya aka agũ rimi, unga agba nu abĩ akpea. Nggaa iwei ifɛr anera kishoo aka agũ ubinkpi uku ukorhe.
2c05060052	Mɔcɛ awɛdzɛm aba, akũ atorho abvur ukom iyornga, na akũna unga adzek adzake.
2c05070050	Aka ayoka akara ataar nu utsɛ̃nga atsĩwã, asi ihwɛngnga ubinkpi uku ukorhe.
2c0508008d	Ubitru arhusa unga agɛ, “Udɛyiwa umum, awu uhwɛk ha nukpi kishoo umbi aka agoshe icang hã?” Unga agɛ, “Ĩĩ, uhwɛk ngge niyɔ.”
2c050900b0	Ubitru agɔr unga agɛ, “Awu use utsu umbi agbopa atsimbi na aviri Ipfu Uteijee? Unyã! Adak abika adzake utsakngo akɔ ra angwĩ ubã, umbɔ awuri itsã ungo adzek ikɛi.”
2c050a009e	Kanying unga agba nu adak Ubitru akpea. Mɔcɛ awɛdzɛm aka atsĩwã aba anyã unga aka akpea, umbɔ ashupa unga adzek azĩ adzak akhapuwe ru udzak utsaknga.
2c050b0051	Nggaa iwei akarhãrhã ifɛr kishoo abika adɔsa nu kishoo abika agũ ifɛrha ha.
2c050c0089	Abi itser Uyesu akorhuwe abin idzeu nu abin igbigba ra anera arhɛrhɛ. Nu abi imangmang kishoo aki isaka akɔng ra Angwĩ Iya Usorhomon.
2c050d005a	Bɔr uner uwɔɔ asi itsĩ atomunga ru umbɔ, kishoo rimi hã anera ana adzowe umbɔ imor.
2c050e0065	Irhɛ akatsak nu akatsɛrh abika awe ru imangmang ru Uteijee ikpurhi idɛ̃ɛ̃ ititoma ri irhɛmbɔ.
2c050f00b3	Ubinkpi abi itser Uyesu aka akorhe utsu anera akũ abi irhãrhã adzeka ra atsĩndĩ, abɛta umbɔ nu atakarha nu afarmbɔ, ugɛ Ubitru aba atɔnga, usakanga uma utɔng nu abɔɔ.
2c051000a8	Anera arhɛrhɛ aka adzeyi ri iteu iyiki ikhapa ru Urusharhima, akɔng akũ abi irhãrhã aba nu abirabɛ ípfu iyiki ibewe iki idzowe umbɔ uver, nu kishoo akerhumbɔ.
2c0511008a	Ukugɔng Uwuku Udzowe Idɛm-Num nu kishoo abirabɛ aka awu nggu unga, awu abi ukpui Usaduki, agũ unyɛ̃ɛ̃ abi itser Uyesu akarhãrhã.
2c05120044	Ngge itsu umbɔ asok adzur abi itser Uyesu atsuke umbɔ ru ugborzĩ.
2c0513006f	Bɔr ru untsuuka ipfu itser Uteijee itsuruwe angwĩ ubã ugborzĩ hã ikũna umbɔ idzekngge. Igɔr umbɔ igɛ,
2c0514006a	“Àka azĩ adɛ̃ɛ̃ ru ufɔm Iya-Num na adɛyiwe anera undzuma arherhe akɛrɛ aki urhɛ uwuku ufa.”
2c05150138	Ukpekpeka, umbɔ atsĩ ru ufɔm Iya-Num, ru nyaka ngge iki idɛyiwe umbɔ, umbɔ atirhi imesuwe anera. Mɔcɛ Ukugɔng Uwuku Udzowe Idɛm-Num nu abirabɛ aka awu nggu unga aka aba atsĩ, umbɔ akɔng abi udzepurhe, aka awu akakũ Uisrairha kishoo, na adene itser ugɛ akũ abi itser Uyesu ha ru ugborzĩ hã aba.
2c0516006d	Bɔr abi idzɛu Iya-Num azĩ atsĩ ru ugborzĩ hã, abeea umbɔ, umbɔ ashimbɔ umɔ, umbɔ azĩ asɔme umbɔ
2c051700a9	agɛ, “Umɛn inyã ugborzĩ ugbang uku kpengkpeng, abi idzɛu ikɛi adɛ̃ɛ̃ adzɛu angwĩ ubã, bɔr umɛn iki itsuri, umɛn isi inyãmɛn unera ru ugborzĩ hã.”
2c051800a3	Anggbaashi abi idzɛu Iya-Num nu ateiya abika adzowe idɛm-Num aka agũ rimi, amɛnmbɔ aghong akarhãrhã, akaifɛrhkɔ ubinkpi uku ikorhe ri ifɛrhɛ iyɛrɛ ha.
2c0519008f	Mɔcɛ utsa uwɔɔ aba agɔr umbɔ agɛ, “Àka anyã! Abi ha abɛ umbi aka atsuku ugborzĩ adɛ̃ɛ̃ ru ufɔm Iya-Num, anu imesuwe anera.”
2c051a00b5	Mɔcɛ unggbaashi abi idzɛu Iya-Num nggu abi idzɛu ha azĩ akũ abi itser Uyesu aba, bɔr asi ikũmbɔ ri inggang. Anggbaashi ha anu igũ iwei anera utsur umbɔ atang umbɔ atarh.
2c051b008e	Umbɔ aka akũ abi itser Uyesu aba, atsu umbɔ adɛ̃ɛ̃ ra asu abi itser udzepurhe, mɔcɛ Ukugɔng Uwuku Udzowe Idɛm-Num anu irhusa umbɔ.
2c051c00db	Agɛ, “Umɛn ivangamɛn umbi akarhãrhã igɛ umbi niba abvui amesukumbi anera ri itsok ikɛrɛ ha. Bɔr nggayɛ umbi aka amaakumbi Urusharhima kishoo nggu imesambi ikɛi umbi abee itsuka umɛn uvau adzirh utsa ha!”
2c051d006f	Bɔr Ubitru nu abi itser Uyesu abɔɔ agɛ, “Awu ufang umɛn iki idɔsa arherhu Unum inangmɛn arherhe anera!
2c051e006e	Unum uwu atokamɛn unga asoyiwe Uyesu ra akpe, uwuruwi umbi aka afɛre ri inyapuwe unga ni igãrhãmau ucucii.
2c051f00ac	Unum aka aberuwe unga, atsu unga asei ru ubok ughanga, awu unggbaashi na awu Uner Uwuku Ufɔrh ikɛi na atsuruwe Uisrairha utsĩndĩ idzidzipambɔ ikɛi akpo itsũwe arhim.
2c05200077	Umɛn iwu ideka ri ifɛrha iyɛrɛ ha, iwu rimi ikɛi Ipfu Isarsatangge, iyiriyɛ Unum aka adzowe abika adɔsa unga.”
2c05210050	Ivangyɛ umbɔ aka agũ rimi, umbɔ agũ avɔm akarhãrhã na abee ifɛre umbɔ.
2c052200d3	Bɔr utsa Ufarisi uwɔɔ itsoka igburh Ugamarhiyerh, uwuku umesuwe Íkpem Umusa, uwuruwi anera kishoo aki asaka adzowe unga imor, asok adɛ̃ɛ̃ ru udzepurhea, atsu umbɔ akũ abi itser Uyesu adzeka awiya kata.
2c05230091	Mɔcɛ unga agɔr abi udzepurhe ha agɛ, “Umbi abimɛn Uisrairha àka angwɛ̃dzɛn na arhi anyã ubinkpi umbi aka abee ikorhuwe anera abɛrɛ.
2c052400d9	Ivanga niyɔ isha uner uwɔɔ aka adzeka, itsoka igburh Utuda, anyangi itsinga awu ubin ukpɔɔ. Anera ayombɔ anaka anaa aki idɔsa unga, bɔr afɛrkumbɔ unga, na asitukumbɔ abika adɔsa unga, ake awu imimashambɔ.
2c052500fd	Akɛrɛ ha aka amaa ikɛi, uwɔɔ itsoka igburh Uyahuda utsa Ugarhirhi adzeka ri ivangyɛ umbɔ aka adɛ̃ɛ̃ ivarhe irhɛ anera atsu anera adɔsa unga umbɔ awe ru igamtsa nggu agomnati. Unga ikɛi afɛrkumbɔ unga, abika adɔsa unga kishoo asitumbɔ.
2c052600ab	Nggee, umum idzaa umbi itsũwã, àka adzembi ru utsĩndĩ anera abɛrɛ, àka neke umbɔ azĩmbɔ! Ubinkutsu ibibemambɔ use itsermbɔ iba iwu iyi anera, iwuri isitungge.
2c0527009c	Bɔr itsermbɔ ha iba idzeku Unum, umbi asi ídɛ̃ɛ̃ akɛnmbi umbɔ, utsur umbi awembi ri ifuw nggu Unum.” Nggee umbɔ ayɛimbɔ itsũwã Ugamarhiyerh.
2c0528009e	Umbɔ ayisa abi itser Uyesu ha, atsu umbɔ akwɛre umbɔ ugwɛɛ. Na avange atombɔ utsur umbɔ arherhumbɔ arherhe ri itsok Uyesu, na atsũwe umbɔ azĩmbɔ.
2c05290079	Abi itser Uyesu ha asok azĩmbɔ agɔm akarhãrhã agɛ Unum anyã umbɔ amɛ̃ɛ̃mbɔ ihwa uver nu atsa ri itsok Uyesu.
2c052a007b	Ubɛn unuma, umbɔ asi inekukumbɔ imesuwe anera ri idzowe Isarhe Iyiki Ize ri Iya-Num nu aya ugɛ Uyesu unga awu Ukiristo.
2c06010106	Ri inum hã angwɛ̃ imesa anu ititoma arhɛrhɛ, umɔ abi Uyahuda abika agũ idũ abi Uherhini atsĩmbɔ ibvun arherhe ri itsi abi Uyahuda abika agũ idũ abi Ibrani ubinkutsu abika agau ubingha ubɛn unuma anu irhi atsɛ̃rhãpfu abi idũ Uherhini uku ungwaan.
2c06020092	Nggee umbɔ usɔkdũmɛn hã ayisa anera kishoo angwɛ̃ imesa agɛ, “Isi irhikungge umɛn ineke isarhe Arherhu-Num ni itsĩmɛn igashu ubingha.
2c060300aa	Umbi angwɛ̃mɛn nu anapumɛn, àka asɛng inera utɔɔva ra abimbi abirabɛ umbɔ aka ahwɛng umbɔ awu nggu Ipfu-Num nu itsoi. Umɛn iki idzowe itser iyɛrɛ ru umbɔ,
2c0604003f	nu umɛn itsu amɛnmɛn ri ifɛn-Num ni imesuwe Arherhu-Num.”
2c0605011f	Abika adɔsa kishoo agũibɛn ubinkpi umbɔ aka arherhe. Mɔcɛ umbɔ asɛng Uistifanu, uwuruwi aka awe ru imangmang akarhãrhã na awu nggu Ipfu Isarsatangge, nu Ufirhibu nu Uburokora nu Unikano, nu Utimon, nu Ubarmina, nu Unikorha aka adzeku Uantakiya, adzipa atsĩ agbeyi abi Uyahuda.
2c06060065	Umbɔ akũ anera abɛrɛ aba aden ra asu abi itser Uyesu, umbɔ aka afɛn-Num na atsoyiwe umbɔ abok.
2c060700a5	Nggee Arherhu-Num atɛ̃rhã. Irhɛ angwɛ̃ imesa ru Urusharhima ikpurhi idɛ̃ɛ̃ itoma akarhãrhã, nu arhɛrhɛ abika adzowe idɛm-Num adɔsumbɔ imangmang hã.
2c06080068	Uistifanu, awu nggu imimuta nu ijee akarhãrhã, akorha abin akagɔng aki idzeu nu aki igbigba ra anera.
2c060900f7	Bɔr abɔɔ abi ubã ifɛn-Num ukpɔɔ umbɔ iki iyisa agɛ Ubã Ifɛn-Num Abika Adzek Ukam, asoyimbɔ uning nggu Uistifanu. Abɛrɛ ha awu abi Uyahuda abika adzeku Usayirin nu Uarhekzandiriya, nu ikɛi abika adzeka abĩ Ukirhikiya, nu aki Uasiya.
2c060a0049	Bɔr afɔr uning adambɔ nggu itsoi iyi Ipfu-Num iki idzowe unga arherhe.
2c060b0082	Mɔcɛ umbɔ aghɔ̃rhã agɔr anera abɔɔ ri iwɔk umbɔ agɛ, “Umɛn igũ Uistifanu anu irhenu Umusa na arhenu Unum ikɛi.”
2c060c0080	Nggee umbɔ asoyiwe amɛn anera nu akakũ nu abika amesuwe ikpem. Umbɔ asok adzur Uistifanu akũ azĩmbɔ ra asu abi udzepurhe.
2c060d00ac	Umbɔ akũ anera abi ideka igbɛrangwĩ aba, umbɔ agɔr agɛ, “Utsak uwurɛ ubɛn unuma unga anu irherhi iyiki itãrhã ru usarkasar anang akɛrɛ nu Íkpem Umusa ikɛi.
2c060e007c	Umɛn igũ unga agɔr agɛ Uyesu uner Unazarat ha awuri ibibupuwe anang akɛrɛ na afaruwe agbeyi Umusa aka abɔra umɛn.”
2c060f006d	Kishoo abika asei ru udzepurhe ha awing asumbɔ arhi Uistifanu, anyã asunga awu ru nyaka aki ipfu itser-Num.
2c07010067	Mɔcɛ Ukugɔng Uwuku Udzowe Idɛm-Num arhusu Uistifanu agɛ, “Arherha akɛrɛ ha awu idzidzɛrhe?”
2c070200c4	Uistifanu agɛ, “Umbi angwɛ̃mɛn nu atesmɛn, àka akpeto ru umum! Unum uwuku ukpukpoi adzeka ru utokamɛn Uibrahim ri ivangyɛ unga aka awu ra abĩ Umesofotamiya, unga anasi iseisa ru Uharan.
2c0703005f	Unum agɔr unga agɛ, ‘Uso ra abĩmbi, ubɔre abimbi, uzĩ abĩkɛ umum iki idɛyiwa ungo.’
2c0704008e	“Nggee unga asoka abĩ abi Ukarhdi, azĩ aseisa ru Uharan. Utɛnga aka akpe amaa, Unum adene unga aba ra abĩkɛ umbi aka asei umɔ icɛrɛ.
2c070500da	Unum asi idzowuka Uibrahim ukam abĩ hã, uko ider udaka unying. Bɔr Unum abemuka unga agɛ unga awuri itsu abĩ hã awu akinga nggu unangnga iki idɔsu undzingnga, nggayɛ Uibrahim ana ashia ru ungwɛ̃ ri ivang hã.
2c070600a2	Unum arherhe nggu unga agɛ, ‘Unangngo awuri iwemgbɔ atsen ra abĩ akase, abi abĩ hã awuri itsu umbɔ igãrhã, awuri idzowe umbɔ ayetnum imɛka inaka inaa.
2c07070099	Umum iwuri itsukukũ uver ra abĩ hã umbɔ aka iwu igãrhã. Akɛrɛ ha aka imaa ikɛi, unang Uibrahim awuri idze adzaa umum igɔng ra anang akɛrɛ.’
2c070800b6	Unum adzowe Uibrahim ibibemuwe utsar ukpu usorhe. Uibrahim aka amar Uishaku, unga asorhuwe unga ru unum ukpu utɔrɔk. Uishaku unga amar Uyakubu, Uyakubu amar atokamɛn usɔkdũmɛn.
2c07090087	“Atokamɛn hã agũ unyɛ̃ɛ̃ ungwɛ̃mbɔ aka agburh Uyusuf, umbɔ agoshe unga azĩã igãrhã ru Umasar. Bɔr Unum awu nggu unga,
2c070a00b9	atsũwũka unga ri inyãyernga kishoo. Unum ikɛi atsu Uyusuf awu uner itsoi awe ru izama ra asu Ufir'auna uyɛrhe Umasar, nggee unga atsu unga awu ugomna Umasar ru udzepurhenga kishoo.
2c070b007d	“Mɔcɛ imerh itsĩngge abĩ Umasar kishoo nu Ukan'ana, itoma nggu ayetnum akarhãrhã, itsu atokamɛn ashimbɔ ru ubingha.
2c070c007b	Ivangyɛ Uyakubu aka agũ ugɛ ubingha uwekpɔ ru Umasar, unga adene atokamɛn azĩmbɔ Umasar uzɛ̃rhã ukpu inggbaashia.
2c070d007a	Ru uzɛ̃rhãmbɔ ukpu uvaa Uyusuf adɛyiwe itsikamnga ru angwɛ̃mbɔ, mɔcɛ Ufir'auna ikɛi ahwɛng abi iyambɔ Uyusuf.
2c070e0086	Akɛrɛ aka amaa Uyusuf atsu umbɔ ayisuwe utɛnga Uyakubu asok aba ru unga, nu kishoo abi iyambɔ, awu isɔka utɔɔva na atɔ̃ɔ̃.
2c070f0049	Mɔcɛ Uyakubu azĩã Umasar. Ru nggɔɔ ha unga nggu atokamɛn aka akpe,
2c07100089	na akũ akom ayormbɔ azĩmbɔ Ushekem, adzake umbɔ ru udzak ukpu Uibrahim aka agoi nggu uhwɛk uazurhfa ru ubok awɛ Uhamor ru Ushekem.
2c07110076	“Bɔr ivangyɛ iki itsuifɛr iyi ibibemuwe-Num ru Uibrahim iki iyok, anermɛn atɛ̃rhã akarhãrhã ra abĩ Umasar.
2c07120057	Mɔcɛ uyɛrhe uwɔɔ ru Umasar, uwuruwi aka asi ihwɛngnga Uyusuf agha iyɛrhe Umasar.
2c07130064	Unga agha urha unangmɛn na ayɔm atokamɛn na atsu umbɔ atãyĩwe irheng angwɛ̃mbɔ ngge ikpeyi.
2c0714006e	“Ivang hã niyɔ umbɔ aka amar Umusa, unga awu uzeze ungwɛ̃. Anɛta unga afɛ̃ɛ̃ ataar ri iya utɛnga.
2c07150061	Umbɔ aka angwɛ̃we unga ra awiya, unapa Ufir'auna unga ashupa unga akpɔm ru nyaku ungwɛ̃nga.
2c0716004f	Amesuwe Umusa ri kishoo itsoi abi Umasar na awe ru ijee ra arherhe nu ikikorhe.
2c0717006c	“Ivangyɛ Umusa aka atsĩ imɛka isɔka inaa, unga avarhe na asok azĩã iyepa angwɛ̃mbɔ abi Uisrairha.
2c07180076	Unga aka anyã utsa Umasar aka adɛ̃ɛ̃ iyɔm ungwɛ̃mbɔ, unga azĩ ayɛsuwe ungwɛ̃mbɔ afɛruka utsa Umasar ha.
2c0719007a	Umusa akaifɛrhkɔ agɛ abimbɔ awuri ihwɛngmbɔ ugɛ Unum awuri ikũ unga akũ afɔrh umbɔ, bɔr umbɔ asi ihwɛngmbɔ.
2c071a00ca	Unum uvaa, Umusa aba anyã abi Uisrairha avaa aka adɛ̃ɛ̃ ifuw. Unga abee igbopa atsimbɔ akũwe umbɔ ididɔɔr, agɔr agɛ, ‘Umbi anerabɛ, umbi awu angwɛ̃yi. Awu use utsu umbi ayɔm adɔka?’
2c071b0088	“Bɔr uwuku uyɔm undɔkanga hã ayiru Umusa adene ri ifɛna na agɛ, ‘Ungaa atsu ungo uwu uyɛrhamɛn, nu uwuku utsu uvau ru umɛn?
2c071c0049	Ungo ubee ifɛre umum ru nyaka ungo uku ufɛr utsa Umasar arhɛkɛ ha?’
2c071d007b	Ivangyɛ Umusa aka agũ rimi, unga atĩ azĩã Umidiyan, umɔ unga awea utsen ru nggɔɔ ha unga amar awɛkaci avaa akatsa.
2c071e0086	“Imɛka isɔka inaa iki itɔng, ipfu itser-Num idzeka ra asu Umusa ra arhum ri ikon urha iki igar ru ufum uku ukhapa ri Igũ Usinai.
2c071f0082	Ivangyɛ Umusa aka anyã rimi, unga adzeidzeu umɔ. Unga aka agɔpa azĩ na agbisha arhi, unga agũ urhɛm Uteijee uku ugɔr ugɛ,
2c07200073	‘Awu umum Unum uwu atokango, Unum uwu Uibrahim, nu Uishaku nu Uyakubu.’ Iyor Umusa izang unga afɔr irhi adaka.
2c0721006e	“Mɔcɛ Uteijee agɔr unga agɛ, ‘Utsũwe abadakngo, anangkɛ ungo uku udɛ̃ɛ̃ umɔ awu asarkasar abĩ.
2c072200a4	Idzidzɛrhe, umum inyãmum ayetnum anermum ru Umasar. Umum iki igũmum akpembɔ, umum icipuwa iba ishɔɔte umbɔ. Icɛrɛ uba umum idena ungo ubvui uzĩ Umasar.’
2c072300f4	“Awu Umusa ha nuwi umbɔ aka akpɛ̃ na agɛ, ‘Ungaa atsuka ungo uwu uyɛrhamɛn nu uwu uwuku utsu uvau ru umɛn?’ Unga hã Unum aka adene unga awu unggbaashi na awu uwuku ufɔrh, ru ubok ipfu itser-Num hã iki idzeka ru unga ru ufum hã.
2c0724008a	Unga akũna umbɔ adzeku Umasar na akorha abin idzeu nu abin igbigba ru Umasar, ru Ukau uku Ubãrhã nu ikɛi ra arhum imɛka isɔka inaa.
2c07250080	“Umusa ha unga agɔr abi Uisrairha agɛ, ‘Unum awuri idzaanga umbi uner uwuku usɔm Arherhu-Num ra anermbi ru nyaka umum.’
2c072600cc	Unga awu nggu ikikɔng atokamɛn abi Uisrairha ra arhum, nggu ipfu itser-Num hã iki irherha arherhe nggu unga ni Igũ Usinai, nu nggu atokamɛn, na ayɛi arherhe urhɛ aka adzeku Unum akũ akũwã umɛn.
2c0727007a	“Bɔr atokamɛn akpɛ̃mbɔ idɔsa arherhanga hã. Akpɛ̃mbɔ unga, na agũ ikpona ibvui izĩ abĩ Umasar ra amɛnmbɔ.
2c072800a6	Agɔr Uharuna agɛ, ‘Ugbishuwa umɛn anum abirabɛ aka idarh umɛn. Umusa ha aka akũna umɛn adzeka ra abĩ Umasar, umɛn isi ihwɛngmɛn ubinkpi uku ukpo unga!’
2c0729009f	Ivang hã niyɔ umbɔ aka agbishu ugberhe usaku ungwɛ̃ inak. Adzowe idɛm ru umgbɔ anu izek irhowa agɔm anggɔm nu ubinkpi umbɔ aka akũ abokmbɔ agbisha.
2c072a013b	Bɔr Unum adzipu undzingnga nggu umbɔ. Na aneke umbɔ atsĩ idzowe igɔng ru ídzɛr afã ngge iwu anummbɔ. Akɛrɛ ha awu uku kpengkpeng nggu ubinkpi umbɔ aka atsɛng ru abvur abika asɔm Arherhu-Num agɛ, “‘Umbi angwãmbi ijuɛ na adzaambi umum idɛm ri imɛka isɔka inaa ra arhum, umbi abi iya Uisrairha?
2c072b00be	Umbi azɛ̃rhã nggu ishia Umorhek nu idzɛɛr ugberhe Urifan, agberhe aki ha umbi aka agbisha adzowe ake igɔng. Ngge iki iwu rimi, umum iwiwayiwe umbi ra abĩmbi,’ ifaru Ubabirha itɔng.
2c072c00da	“Atokamɛn awe ru utsurha uwuruwi uku utsu umbɔ ahwɛng ideka Unum ru umbɔ ra arhum. Awu umgbɔ, uwu utsurhawi Unum aka atsu Umusa agbisha, ikɛi umbɔ agbisha umgbɔ uku kpengkpeng ubinkpi Unum aka adɛyiwe Umusa.
2c072d00ac	Utsurha ha ruwɔ atokamɛn aka akũ umgbɔ aba ra abĩ akɛrɛ umbɔ aka ayɛi ri ivang Ujoshuwa, Unum aka awayiwe atsen ra asumbɔ. Umgbɔ uwu umɔ uba utsĩ ivang Udauda,
2c072e0062	unga aka awe ru imimuta Unum, na afɛna agɛ unga amaa adzine anang ru Unum uwu utokamɛn Uyakubu.
2c072f0026	Bɔr awu Usorhomon unga adzine iya ha.
2c0730007f	“Rimi hã Nggaa Uwuku Ugɔng asi iseisa ri iyakɛ aki anera iki idzin. Ubin ukpu uner uwuku usɔm Arherhu-Num aka agɔr agɛ,
2c073100bd	“‘Afã awu anang isei iyɛrhamum, nu upfung uwu anangkɛ umum iki iden andaidakmum. Ikpũ iya iyikisong umbi aka idzina umum? Uteijee agɔr. Use anang akasong awu anang akika uwoshamum?
2c07320031	Asi iwea abokmum adzin abin akɛrɛ ha kishoo?’
2c07330097	“Umbi agbau abi igbĩrhĩ anera, nggu amɛn akika asheru usorhe nu ato! Umbi awe ru nyaka atokambi, ubɛn ivang umbi asi idɔsumbi Ipfu Isarsatangge.
2c073400cd	Ra abika asɔm Arherhu-Num, uwukusong atokambi asi idzowukumbɔ unga uver? Afɛrkumbɔ abirabɛ aka arherhe arherhe ri itsi uwuku ububa Uwuku Arhurhika ha. Nu umbi igambi aghambi adaknga, umbi afɛre unga.
