010000000b	Kamtawngnae
0e202100dc	Hezekiah teh, a na mintoenaw koe a i teh, Devit capanaw e phuen dawk, kahawipoung e tangkom koe a pakawp awh. Judahnaw hoi Jerusalem taminaw ni Hezekiah a due toteh a sungren sak awh. A capa Manasseh ni a yueng lah a uk.
0e2101005d	Manasseh teh siangpahrang a tawk nah kum 12 touh a pha teh, Jerusalem vah kum 35 touh a bawi.
0e21020077	Hahoi, BAWIPA mithmu vah hawihoehnae, Isarelnaw e hmalah BAWIPA ni a pâlei e naw ni a sak e panuettho e hno hah a sak.
0e210300bd	Bangkongtetpawiteh, a na pa Hezekiah ni raphoe e hmuenrasang hah bout a pathoup, Baal hanelah thuengnae a sak. Thingmeikaphawknaw kalvan kaawm e naw hai a bawk awh teh thaw a tawk pouh awh.
0e21040060	Jerusalem vah ka min yungyoe ao han, BAWIPA ni a dei e hmuen BAWIPA im dawk khoungroe hah a sak.
0e21050055	BAWIPA e im thongma kahni touh dawk kalvan kaawm e naw pueng hanelah thuengnae a sak.
0e210600c5	Amae capa hah Hinnom yawn dawk hmaisawi thuengnae lah a sak. Kahraikawnae hoi ânnae hah a hno teh, khueyuenaw, hmauinaw haiyah kâ a poe. BAWIPA lungkhuek sak nahanlah a hmaitung vah yonnae a sak.
0e2107008f	Cathut ni Devit hoi a capa Solomon koe, hete im Jerusalem kho Isarel miphunnaw thung hoi ka rawi e naw koe ka min teh yungyoe hoi ka o sak han.
0e21080117	Kaie kâlawknaw hoi kâpoelawknaw pueng, phunglamnaw hoi tarawi hane naw, Mosi hno lahoi kâpoe e naw hah na tarawi pawiteh, mintoenaw koe ka poe tangcoung e ram thung hoi Isarelnaw e khok teh ka cetsak mahoeh, telah a dei e, Cathut e im dawkvah ama ni sak e meikaphawk hah a ta.
0e210900a9	Manasseh ni JUdah taminaw hoi Jerusalem e taminaw hah yonnae a sak sak. Hat toteh, BAWIPA ni Isarelnaw e hmalah a raphoe e miphunnaw hlak yonnae hoe kapap lah a sak awh.
0e210a0054	BAWIPA ni Manasseh hoi a taminaw koevah, Lawk ouk a dei ei, banglahai ngai awh hoeh.
0e210b00a3	Hatdawkvah, BAWIPA ni Assiria ransa kahrawikungnaw a patoun teh, Manasseh hah pâkhing um a man awh teh, sumbawtarui hoi a pâkhi awh teh, Babilon lah a hrawi awh.
0e210c0069	Puenghoi kângairu lah ao toteh, BAWIPA hah a tawng teh, mintoenaw e Cathut hmalah puenghoi a kârahnoum.
0e210d0094	A ratoumnae teh, BAWIPA ni a thai pouh teh, Jerusalem kho amae uknaeram lah bout a hrawi. Hahoi Manasseh ni Jehovah teh Cathut doeh tie hah a panue.
0e210e00d3	Hahoi teh Devit khopui alawilae Gihon kanîloumlae ayawn koe tanga longkha kâennae totouh rapan a sak. Ophel rapan teh rasang poung lah a sak. Judah kho rapan katawnnaw koe tarankahawi e kahrawikungnaw a hruek.
0e210f00b5	Hahoi BAWIPA im dawk kaawm e ramlouk e cathutnaw hoi meikaphawknaw pueng hah a takhoe. BAWIPA e im rahim hoi Jerusalem e thuengnae a sak e naw pueng hah kho alawilah he a tâkhawng.
0e211000a9	Hahoi BAWIPA hanlah thuengnae khoungroe a sak teh, roum thuengnae hoi lunghawilawkdeinae a sak teh, Judahnaw hah Isarelnaw e BAWIPA Cathut e thaw tawk hanelah kâ a poe.
0e21110066	Taminaw teh hmuen rasang poung koe thuengnae a sak awh eiteh, amamae BAWIPA Cathut koe doeh a sak awh.
0e211200e4	Manasseh tawksaknae thung dawk hoi kaawm rae naw, Cathut koevah a ratoumnae hoi Isarel BAWIPA Cathut min lahoi profet ni ahni koevah lawk a dei e dawkvah, khenhaw. Isarel siangpahrangnaw e lairui cauk dawk thut lah ao nahoehmaw.
0e211300b7	A ratoumnae hoi Cathut ni a lungmanae kong hoi a kârahnoum hoehnahlan yonnae pueng hoi hmuenrasang a sak teh, thingmeikaphawk a sak e naw pueng, khenhaw! Hozai cauk dawk thut lah ao.
0e21140068	Hahoi Manasseh teh a mintoenaw koe a i teh, ama im vah a pakawp. Hahoi a capa Ammon ni a yueng lah a uk.
0e21150051	Ammon siangpahrang a tawk nah 22 touh a pha teh, Jerusalem vah kum 2 touh a bawi.
0e211600ab	A na pa Manasseh ni a sak e patetlah BAWIPA e hmaitung hawihoehnae a sak. A na pa Manasseh ni a sak e meikaphawknaw koevah, Ammon ni thuengnae a sak teh, thaw a tawk pouh.
0e2117006b	A na pa Manasseh ni a kârahnoum e patetlah BAWIPA hmaitung kârahnoum ngai hoeh. Ammon teh hoehoe a payon.
0e21180032	A sannaw ni a youk awh teh, ama im vah a thei awh.
0e21190089	Hatei Ammon ka youk e taminaw teh khocanaw ni he a thei awh. Hahoi khocanaw ni a capa Josiah teh a yueng lah siangpahrang a tawk sak awh.
0e2201005d	Josiah teh siangpahrang a tawk navah, kum 8 touh a pha teh, Jerusalem vah kum 31 touh a bawi.
0e2202007d	Hote siangpahrang teh BAWIPA hmaitung hawinae hah a sak teh, avoilah aranglah phen laipalah a na min Devit e lamthung a dawn.
0e2203012d	Bangkongtetpawiteh, a bawi nah kum 8 touh a pha teh, camo lah ao raei, a na min Devit e Cathut hah tawngnae a kamtawng. Hahoi, a bawinae kum 12 touh a pha navah, Judah ram hoi Jerusalem e hmuenrasangnaw hoi thingmeikaphawk hoi sakhlawn e meikaphawknaw hoi thukhlawn e meikaphawknaw hah koung a takhoe.
0e220400db	Baal thuengnae khoungroenaw hah a mithmu vah a raphoe teh, khoungroe van pâhung e meikaphawknaw hah a tâtueng teh, thingmeikaphawknaw hah vitkatip lah a phawm teh, hot koe thuengnae ouk kasaknaw e phuen dawk a rabawk.
0e2205006b	Vaihmahu hru hah ahnimae thuengnae khoungroe van hmai a sawi teh, Judah ram hoi Jerusalem hah a thoung sak.
0e22060046	Hot patetvanlah, Manasseh, Ephraim, Simeon, Naphtali kho totouh a sak.
0e220700b3	Thuengnae khoungroenaw hah a raphoe teh, thingmeikaphawknaw hoi sakhlawn e meikaphawknaw hah koung a phawm. Isarel ram e meikaphawk pueng koung a tâtueng teh Jerusalem lah a ban.
0e220800c7	Hahoi a bawinae kum 18 navah, a ram hoi bawkim a thoung sak nah kum vah, Azaliah capa Shaphan, kho ukkung Maaseiah, Jehoahaz capa ca kathutkung Joab hah BAWIPA Cathut im pathoup hanelah a patoun awh.
0e2209010b	Vaihma kacue Hilkiah koe a pha awh toteh, longkha karingkung Levih taminaw ni, Manasseh, Ephraim kaawm rae Isarelnaw pueng, Judah, Benjaminnaw pueng hoi, Jerusalem vah a bankhai awh e tangka a pâtung awh e heh Cathut im vah a thokhai awh teh, ahnimouh koe a poe awh.
0e220a00a1	Hottelah BAWIPA im dawk thaw katawkkungnaw kut dawk palang a poe awh teh, BAWIPA im dawk thawtawkkungnaw hoi im kapathoupkung, hoi im kasakkungnaw hah a poe awh.
0e220b00b7	Judah siangpahrangnaw ni a raphoe awh e im pathoup nahanelah, talung dêi e hoi pangkheknaw, patung, paloung, thing ran nahane hoi, kutsakkathoumnaw hoi im kasakkungnaw hah a poe awh.
0e220c00ec	Taminaw ni thaw hah yuemkamcu lah a tawk awh. Khenyawnkungnaw teh Merari capanaw thung dawk e Levih tami Jahath hoi Obadiah hoi, Kohath capanaw thung dawk e Zekhariah hoi Meshullam hoi, Levih tami alouke tumkhawng katumthainaw hah doeh.
0e220d00b2	Hnokari kaphawtnaw khenyawnkung lahai ao teh, thaw katawkkungnaw ni tawk hane thaw kareikung lahai ao awh. Levihnaw tangawn teh cakathutkungnaw hoi longkha karingkung lah ao awh.
0e220e0083	BAWIPA im dawk a thokhai awh e tangka hah a rabawk awh toteh, vaihma Hilkiah ni Mosi hno lahoi poe e BAWIPA kâlawk cauk hah a hmu.
0e220f0083	Hilkiah ni cakathutkung Shaphan koevah, BAWIPA im dawk kâlawk cauk ka hmu awh telah ati. Hahoi, Hilkiah ni cauk hah Shaphan a poe.
0e22100068	Shaphan ni cauk hah siangpahrang koe a ceikhai teh, na sannaw ni sak hanelah pouk e pueng hah a sak awh.
0e22110076	BAWIPA im dawk kaawm e tangka a rabawk awh toteh, kahrawikung hoi khenyawnkungnaw hah a poe awh telah lawk a thai sak.
0e22120089	Hahoi cakathutkung Shaphan ni, vaihma Hilkiah ni cauk na poe telah siangpahrang koe a dei pou teh, Shaphan ni siangpahrang hmalah a touk.
0e22130059	Hahoi hettelah doeh. Siangpahrang ni kâlawk dawk e lawk a thai toteh, a hni hah a ravei.
0e2214008c	Siangpahrang ni Hilkiah, Shaphan capa Ahikam, Mikah capa Abdon, ca kathutkung Shaphan hoi siangpahrang e san Asaiah tinaw hah kâ a poe teh,
0e22150148	cet awh nateh cauk na hmunae kong dawk kai hoi Isarel hoi Judah vah kaawm rae baw hanelah BAWIPA koe kâhet awh haw. Bangkongtetpawiteh, BAWIPA puenghoi lungkhueknae teh maimouh lathueng awi lah ao toe. Bangkongtetpawiteh, hete cauk dawk, tarawi hanelah thut e pueng heh mintoenaw ni BAWIPA e lawk tarawi awh hoeh toe telah ati.
0e221600e2	Hottelah siangpahrang ni kâ a poe e naw hoi Hilkiah teh hnicu hrueknae khenyawnkung Hasrah capa Tokhath capa Shallum e yu profet napui Huldah koe a cei awh (Ahni teh Jerusalem kho vah a o). Hateh hote kong hah a dei pouh awh.
0e22170062	Ahnimouh ni Isarel BAWIPA Cathut ni hettelah a dei. Kai koe na ka patoun e koe dei pouh awh nateh,
0e221800b1	BAWIPA ni hettelah a dei, khenhaw! hete hmuen hoi a thung kaawmnaw koe thoenae ka tho sak han. Judah siangpahrang hmalah a touk awh e cauk thung vah kaawm e thoebonae pueng hoi,
0e221900e7	amamae kut dawk hoi letlang ka lungkhuek sak nahanelah, hnam na thun takhai awh teh, alouke cathutnaw hanelah hmuitui a sawi awh kecu dawkvah, hete hmuen koe ka lungkhueknae hah awi lah ao vaiteh, roum sak lah awm mahoeh telah ati.
0e221a00b9	Hateiteh, BAWIPA koe kâhei hanelah nangmouh na kapatounkung Judah siangpahrang koevah hettelah dei pouh awh. Isarel BAWIPA Cathut ni hottelah a dei, hote na thai tangcoung e lawk dawk,
0e221b0105	hete hmuen hoi a thung kaawmnaw tarannae lawk hah na thai toteh, na lungthin a nem teh, Cathut hmalah na kârahnoum teh, ka hmalah na kârahnoumsak teh, na khohna hah na ravei teh, ka hmalah na ka dawkvah, kai ni hai na lawk hah ka thai toe telah BAWIPA ni ati.
0e221c010e	Khenhaw! na mintoenaw koe na ceisak vaiteh, ahnimouh koe karoumcalah na cei vaiteh, het hmuen hoi a thung kaawmnaw koe ka tho sak hane thonae pueng hah teh, na mit ni hmawt mahoeh telah dei pouh awh, telah a dei pouh. Hahoi siangpahrang koe hote lawk teh ka thokhai awh.
0e221d0064	Hottelah siangpahrang ni tami a patoun teh Judah ram hoi Jerusalem e kacuenaw pueng hah a pâkhueng.
0e221e00fa	Hahoi siangpahrang hoi Judahnaw pueng, Jerusalem taminaw pueng, vaihmanaw hoi, Levihnaw hoi, taminaw pueng, kathoung kalen pueng, BAWIPA im vah a cei awh. BAWIPA dawk a hmu awh e lawkkamnae lawk dawk e lawknaw pueng hah, a hnâthainae koe a touk awh.
0e221f0100	Hahoi siangpahrang teh amae hmuen koe a kangdue teh, cauk dawk thut e lawkkamnaw hah a caksak teh a lungthin buemlah, muitha buemlah hoi BAWIPA tarawi hane hoi kâpoelawknaw hoi lawkpanuesaknae hoi a phunglawknaw tarawi hanelah BAWIPA koe lawkkamnae a sak.
0e222000a5	Jerusalem hoi Benjaminnaw pueng teh hot patetlah o hanelah lawk a kam awh. Hahoi, Jerusalem khocanaw ni Cathut, a na mintoenaw e Cathut lawkkam boiboe lah a sak awh.
0e222100f6	Josiah ni Isarel ram dawk a kâen sak e thung dawk panuettho e hno pueng teh, koung a tâkhawng awh. Isarel ram dawk kaawm e pueng hah Cathut thaw a tawk sak. Hahoi a na mintoenaw e BAWIPA Cathut hanlah a hring nah thung phen takhai awh hoeh toe.
0e23010084	Josiah ni Jerusalem vah BAWIPA hanlah ceitakhai pawi a sak. Thapa yung pasuek, hnin hlaipali hnin vah, ceitakhai pawi hanlah a thei.
0e23020045	Vaihma hah thaw a poe teh, BAWIPA im dawk thaw tawk hanlah tha a poe.
0e2303010c	Isarelnaw kacangkhaikung lah Cathut hanlah hmoun e Levihnaw koe, Isarel siangpahrang Devit capa Solomon ni im a sak e dawk kathounge thingkong hah hrueng awh leih. Na loung hoi hrawm hanlah ngai mahoeh toe. BAWIPA na Cathut hoi a tami Isarelnaw thaw hah tawk awh leih.
0e23040084	Isarel siangpahrang Devit hoi a capa ni thut e patetlah imthungkhu kahrawikungnaw hoi kamcu lah ahuhu lahoi o hanlah kârakueng awh.
0e2305007f	Na hmaunawnghanaw imthungkhu kahrawikung hoi ka kamcu lah Levih taminaw hanlah hmuen ao e patetlah kathounge hmuen koe awm awh.
0e230600a6	Ceitakhai pawi thuengnae hah thet awh nateh, kâthoung sak awh. Mosi hno laihoi BAWIPA ni a dei e patetlah sak thai awh nahan na hmaunawnghanaw hanlah kârakueng awh.
0e230700da	Josiah ni hote hmuen koe kaawm e taminaw han hoi ceitakhai pawi koe kaawm e tami pueng hanelah, saring dawk tu hoi hmaeca 30, 000 touh hoi maitotan 3, 000 touh a poe awh. Hotnaw teh siangpahrang hnopai dawk hoi e doeh.
0e230800f8	Hahoi, kahrawikungnaw ni ma lungtho lahoi tamipueng hane, vaihma hane, hoi Levihnaw hanelah a poe awh. Cathut im kaukkung Hilkiah Zekhariah, Jehiel tinaw ni ceitakhai pawi hanelah tu hoi hmaeca 2,600 touh hoi maitotan 300 touh vaihma koe a poe awh.
0e230900d2	Konaniah hoi a nawngha Shemaiah, Nathanel hoi Levihnaw kaukkungnaw e kaukkung Hashabiah, Jeiel, Jozabad tinaw nihai, ceitakhai pawi hanlah Levihnaw hah tu hoi hmaeca 5, 000 touh hoi maitotan 500 touh a poe awh.
0e230a00b0	Hottelah thaw tawknae teh a kârakueng awh teh, siangpahrang ni kâpoe e patetlah vaihmanaw teh amae hmuen koevah, a kangdue awh teh, Levihnaw haiyah ahuhu lahoi a kangdue awh.
0e230b006f	Hote ceitakhai pawi hanlah a thei awh teh, vaihmanaw ni a thi hah a kathek awh. Levihnaw ni a pho hah a ho awh.
0e230c00a0	Mosi cauk dawk kaawm e patetlah a imthungkhu lahoi lengkaleng thaw a rei e patetlah BAWIPA koe poe hanelah hmaisawi han satheinaw hoi maitonaw hah a kârei awh.
0e230d00c9	Hote ceitakhai pawi ca hanelah, aphung patetlah kahmin lah a pâeng awh. Hateiteh, poe e moi kathounge hah hlaam, arai kaawm hoeh e hlaam hoi sum hlaam dawk a thawng awh teh, taminaw koe a ceikhai awh.
0e230e0123	Hathnukkhu, amamouh hoi vaihmanaw hanlah bout a kârakueng awh. Bangkongtetpawiteh, Aron e capa vaihmanaw teh hmaisawi thuengnae khoungroe dawk moi thaw hah poe hoi tangmin totouh a tawk awh. Hatdawkvah, Levihnaw ni amamouh hoi Aron e capa vaihmanaw hanlah bout rakung hanlah a ngainae doeh.
0e230f0143	Hahoi, Devit, Asaph, Heman hoi siangpahrang profet Jeduthun naw ni kâ poe e patetlah la ka sak e Asaph capanaw teh amamae hmuen dawk a kangdue awh. Hote longkha karingkungnaw teh, longkha tangkuem koevah, ao awh. Bangkongtetpawiteh, a hmaunawngha Levihnaw ni a rakueng pouh dawkvah, a thaw hah ceitakhai awh han ngai hoeh.
0e231000c9	Hottelah, siangpahrang Josiah ni kâ poe e patetlah ceitakhai pawi sak han hoi, BAWIPA e khoungroe dawk hmaisawi thuengnae poe hanelah hote hnin dawk BAWIPA thaw tawknae hnonaw pueng hah a rakueng awh.
0e23110091	Hote hmuen koe kaawm e Isarelnaw ni hote hnin dawk ceitakhai pawi hah a sak awh. Tonphuenhoehe vaiyei pawi haiyah hnin sari touh thung a hno awh.
0e231200d3	Profet Samuel se nahoi Isarel ram vah hot patetlah ceitakhai pawi sak awh boihoeh. Isarel siangpahrang apinihai Josiah, vaihmanaw, Levihnaw hoi Judah tami pueng hoi Isarelnaw ni a sak e patetlah sak awh boihoeh.
0e23130038	Josiah a bawinae kum 18 nah ceitakhai pawiteh a sak awh.
0e23140093	Hathnukkhu hoi Josiah ni bawkim be a pathoup hnukkhu, Izip siangpahrang Neko teh, Kakhemish tuk hanelah Euphrates palang a cei teh Josiah ni a tuk.
0e2315012b	Hatei, ahni ni nang Judah siangpahrang kai hoi nang bangmaw kâtuk hanelah kaawm. Sahnin vah nang na tuk hanelah, ka tho hoeh bo. Ka tuk lahun e tuk hanelah doeh ka tho. Cathut ni na huerang hanelah kâ na poe. Kai koe lah kampang e Cathut hah taran hanh. Na raphoe payon vaih telah laicei a patoun.
0e231600d8	Hatei, Josiah ni ban takhai hane ngai hoeh. A tuk thai nahan a meilam a kâthung teh, Cathut e a pahni dawk hoi ka tâcawt e Neko ni dei e hah tarawi ngai pouh hoeh. Megiddo tanghling vah, ahnimouh tuk hanelah a cei.
0e231700a4	Licung kapatuemnaw ni Josiah hah a kâ awh teh siangpahrang ni a sannaw koevah, kai hah na cetkhai awh leih. Bangkongtetpawiteh, hmâ puenghoi ka ca toe telah a ti.
0e231800d3	A sannaw ni leng dawk hoi a la awh teh, alouke leng dawk a hruek awh. Jerusalem a ceikhai awh teh, a due hnukkhu a na mintoenaw e phuen dawk a pakawp awh. Judahnaw hoi Jerusalem kaawm e naw ni Josiah a khui awh.
0e231900bc	Jeremiah ni Josiah hah a khui. La ka sak e napui tongpa naw ni a na minca totouh Josiah khuinae a dei awh rah. Isarel ram dawk phung a tawn awh teh, khenhaw! khuinae la dawkvah a thut awh.
0e231a0063	Josiah a kâroenae dawk hoi kaawm rae pueng BAWIPA e kâlawk dawk ao e patetlah hnokahawi ka sak e,
0e231b0078	ahmaloe hoi a hnukteng e hai khenhaw! Isarel siangpahrang hoi Judah siangpahrang lairui thutnae cauk dawk thut e lah ao.
0e2401007b	Hahoi, khocanaw ni Josiah capa Jehoahaz hah a ceikhai awh teh, Jerusalem vah a na pa yueng lah siangpahrang a tawk sak awh.
0e24020066	Jehoahaz teh siangpahrang a tawk nah kum 23 touh a pha teh, Jerusalem vah thapa yung thum touh a bawi.
0e24030089	Izip siangpahrang ni Jerusalem siangpahrang lah onae a kâhat sak. A ram heh ngun tangka talen 100 touh hoi sui talen 4 touh a rawng sak.
0e240400b9	Izip siangpahrang ni a nawngha Eliakim teh Judah hoi Jerusalem siagpahrang lah a tawk sak. A min teh Jehoiakim telah a thung pouh teh, Neko ni a nawngha Jehoahaz teh Izip ram a ceikhai.
0e2405008f	Jehoiakim teh siangpahrang a tawk nah, kum 25 touh a pha teh, Jerusalem vah kum 11 touh a bawi. BAWIPA Cathut e hmaitung hawihoehnae ouk a sak.
0e24060079	Babilon siangpahrang Nebukhadnezar ni ahni tuk hanelah a tho teh, Babilon lah ceikhai hanelah, sum bawtarui hoi a ka tek.
0e24070073	Nebukhadnezar ni BAWIPA e im dawk e hnopainaw hah Babilon lah a ceikhai awh teh, Babilon e a Cathut e im dawk a ta.
0e240800df	Jehoiakim kâroenae kaawm rae naw pueng hoi, panuetkatho e hno a sak e naw hoi, a khosaknae naw teh khenhaw! Isarel hoi Judah siangpahrangnaw e lairui cauk dawk thut lah ao. Hahoi a capa Jehoiakim ni a yueng lah let a bawi.
0e2409009e	Jehoiakim teh siangpahrang a tawk nah kum 18 touh a pha. Jerusalem vah thapa yung thum touh hoi hnin hra touh a bawi. BAWIPA e hmaitung hawihoehnae ouk a sak.
0e240a00e3	Hote kum abaw toteh, siangpahrang Nebukhadnezar ni a tami a poun teh ahni teh, BAWIPA im dawk e hnopai kahawi poung e hoi Babilon lah a hrawi awh. A nawngha Zedekiah hah Judah ram hoi Jerusalem vah, siangpahrang a tawk sak awh.
0e240b0058	Zedekiah teh siangpahrang a tawk nah, kum 21 touh a pha. Jerusalem vah kum 11 touh a uk.
0e240c0075	BAWIPA Cathut hmaitung kahawihoehe hno a sak teh, BAWIPA lawk ka dei e profet Jeremiah e hmalah kârahnoum ngai hoeh.
0e240d00b0	Cathut min lahoi lawk ka kam kung siangpahrang Nebukhadnezar taranlahoi taran a thaw. A lung a pata sak teh, Isarel BAWIPA Cathut koe lah, kamlang hoeh nahanlah a lungtang sak.
0e240e00bc	Vaihmanaw pueng hoi, tamimayanaw pueng nihai, Cathut ka panuek hoeh naw ni a sak awh e patet e panuetkatho poung e hno hah a sak awh. Jerusalem kathoung sak e BAWIPA im hai a khin sak awh.
0e240f00ae	A na mintoenaw e BAWIPA Cathut ni kâhruetcuetnae poe hanelah amom a thaw teh, patounenaw hah ahnimouh koe a patoun. Bangkongtetpawiteh, tamimaya hoi a onae hmuen hai a pouk.
0e241000ad	Hateiteh, ahnimouh taranlahoi BAWIPA lungkhuek sak teh, a roum hoeh totouh Cathut e patounenaw hah a panuikhai awh teh, a lawk hah a dudam awh teh, a profet hah a dudam awh.
0e241100de	Hatdawkvah, Khaldean siangpahrang hah ahnimouh koe a matheng sak teh, ahni ni thoundounnaw hah hmuen kathoung koe a thei. Thoundoun tangla hoi hnamthun e matawng totouh pahrennae tawn laipalah ahnimae kut dawk koung a poe.
0e241200b7	Cathut im dawk kaawm e hlaamnaw pueng kathoung kalen hoi BAWIPA im dawk ta e hnopai pueng, siangpahrang hno pâtung e hoi kahrawikungnaw e hno pâtung e totouh, Babilon vah a ceikhai.
0e241300b9	Cathut e im hai hmai a sawi awh teh, Jerusalem kalupnae hai koung a raphoe awh. Haw e im kalenpui hah hmai a sawi awh teh, haw e hlaam kahawihnawn kaawm e pueng hai, koung a raphoe awh.
0e24140099	Persia uknaeram ni a uk hoehnahlan totouh, ama hoi a capa san lah a coung roinae hmuen koe, tahloi dawk hoi ka hlout e hah Babilon lah a ceikhai awh teh,
0e241500d3	Isarel ram ni sabbath hnin a lunghawi hoehroukrak, Jeremiah pahni hno lahoi, BAWIPA e lawk akuep nahanelah doeh. Kum 70 kuepsaknae hnin dawkvah, tami kingdi lah onae tueng pueng dawk ram ni sabbath hah a ya han.
0e241600d7	Hat toteh, siangpahrang Sairus a bawi hoi Jeremiah e pahni hno lahoi BAWIPA lawk a kuep thai nahanelah, uknaeram pueng dawk pathang hane hoi thut hane hai BAWIPA ni Persia siangpahrang Sairus lungthin hah a tho sak.
0e24170121	Persia siangpahrang Sairus ni hettelah a dei. Talai siangpahrang uknaeramnaw pueng teh, kalvan e BAWIPA Cathut ni na poe toe. Hahoi Judah ram dawk kaawm e Jerusalem vah im sak pouh hanelah kâ na poe. Amae taminaw pueng koe apimaw kaawm. BAWIPA Cathut hah ahni koe awm naseh, luen sak awh.
0f00000004	Ezra
0f010100c8	Persia Siangpahrang Sairus a bawi kum pasuek nah, profet Jeremiah e pahni hno lahoi BAWIPA e lawk akuep nahanelah, a uknaeramnaw pueng dawk pathang hanelah, BAWIPA ni Sairus e lungthung a tahrue pouh.
0f010200bf	Persia siangpahrang Sairas ni a dei e teh, talai uknaeramnaw pueng teh, kalvan kaawm e BAWIPA Cathut ni kai koe na poe toe. Hatdawkvah, Judah ram Jerusalem vah im sak pouh hanelah kâ na poe.
0f010300d6	Nangmouh thung dawk apimaw amae tami lah na kaawm awh. Ahni koe Cathut ni rei awm khai naseh. Judah ram Jerusalem vah cei vaiteh, Isarelnaw e BAWIPA Cathut e im hah sak naseh. Jerusalem vah kaawm e teh BAWIPA doeh.
0f010400c3	Hmuen alouklouk lah kho kasaknaw ni, amamouh aonae koehoi Jerusalem e Cathut im hanelah a lungtho laihoi poe awh e hloilah ngun, tangka hoi sui, hnopai hoi saringnaw hoi kabawm awh naseh atipouh.
0f010500c2	Hahoi teh, Judah hoi Benjamin miphun imthung kahrawikungnaw hoi vaihmanaw, Levihnaw ni Jerusalem e BAWIPA im sak hanelah Cathut ni lungthin dawk thaw tawk pouh e taminaw pueng hoi a kamthaw awh.
0f0106008c	Amamouh lungtho lahoi poe e dei laipalah, atengpam kaawmnaw ni hai ngun hnopai, sui, saringnaw hoi aphu kaawm poung e hnonaw hoi kabawp awh.
0f0107008a	Siangpahrang Sairus hoi Nebukhadnezar ni BAWIPA e im dawk e hnopai Jerusalem hoi a sin teh, Cathut e im dawk a ta e naw, hah he a la pouh.
0f010800a8	Hote hnopainaw teh, Persia siangpahrang Sairus ni hno karingkung Mithredath kut dawk hoi a la sak teh Judah kahrawikung Sheshbazzar koevah be a parei hnukkhu vah a poe.
0f01090034	Hote hno kaawmnaw teh, sui 30, ngun 1,000, sarai 29.
0f010a003e	Suimanang 30, a phunlouk e ngun 410, alouke hno 1000 touh hoi.
0f010b008a	Sui hoi ngun hnopai abuemlah 5400 touh a pha. Sannaw teh Babilon hoi Jerusalem lah a cei kh ai navah Sheshbazzar ni hete hnonaw a sin awh.
0f020100a9	Babilon siangpahrang Nebukhadnezar ni san lah Babilon vah a hrawi teh amamouh onae khonaw dawk, Judah hoi Jerusalem lah san thung hoi a ram thung lah bout kabannaw doeh.
0f0202009d	Zerubbabel koe kabannaw teh, Jeshua, Nehemiah, Seriah, Reelaiah, Mordekai Bilshan, Mispar, Bigvai, Rehum hoi Baanah tinaw doeh. Isarel tongpa touk e naw teh,
0f02030011	Paroshnaw 2, 172.
0f02040012	Shephatiahnaw 372.
0f0205000c	Arahnaw 775.
0f0206002b	Pahathmoabnaw, Jeshua hoi Joab totouh 2812.
0f0207000f	Elamnaw 1, 254.
0f0208000d	Zattunaw 945.
0f0209000e	Zakkainaw 760.
0f020a000c	Baninaw 642.
0f020b000d	Bebainaw 623.
0f020c0010	Azgadnaw 1, 222.
0f020d0010	Adonikamnaw 666.
0f020e0011	Bigvainaw 2, 056.
0f020f000c	Adinnaw 454.
0f02100018	Hezekiah hoi Aternaw 98.
0f0211000d	Bezainaw 323.
0f0212000d	Jorahnaw 112.
0f0213000e	Hashumnaw 223.
0f0214000d	Gibbarnaw 95.
0f02150011	Bethlehemnaw 123.
0f0216000f	Netophahnaw 56.
0f02170010	Anathothnaw 128.
0f0218000f	Azmavethnaw 42.
0f0219002b	Kiriathjearim, Kephirah hoi Beerothnaw 743.
0f021a0016	Ramah hoi Gebanaw 621.
0f021b000f	Mikmashnaw 122.
0f021c0015	Bethel hoi Ainaw 223.
0f021d000e	Nebo canaw 52.
0f021e000f	Magbishnaw 156.
0f021f0014	Alouke Elamnaw 1254.
0f0220000d	Harimnaw 320.
0f0221001a	Lod, Hadid hoi Ononaw 725.
0f0222000e	Jerikonaw 345.
0f02230012	Senaahnaw 3, 6300.
0f02240032	Vaihmanaw, Jeshua imthung dawk hoi Jedaiahnaw 973.
0f02250010	Immernaw 1, 052.
0f02260012	Pashhurnaw 1, 247.
0f02270010	Harimnaw 1, 017.
0f02280035	Levih miphun. Hodaiah capa, Jeshua hoi Kadrielnaw 74.
0f0229001f	La kasaknaw, Asaph capanaw 128.
0f022a008c	Longkha karingnaw, Shallum capanaw, Ater capanaw, Talmon capanaw, Akkub capanaw, Hatita capanaw, Shobai capanaw abuemlah 139 touh a pha awh.
0f022b003d	Nethinimnaw: Ziha capanaw, Husupha capanaw, Tabbaoth capanaw,
0f022c002c	Keros capanaw, Siaha capanaw, Padon capanaw.
0f022d002f	Lebana capanaw, Shalmai capanaw, Hanan capanaw.
0f022e002e	Hagab capanaw, Shalmai capanaw, Hanan capanaw.
0f022f0029	Giddel capanaw, Gahar capanaw. Reaiahnaw:
0f0230002e	Rezin capanaw, Nekoda capanaw, Gazzam capanaw.
0f0231002d	Uzzah capanaw, Paseah capanaw, Besai capanaw.
0f02320031	Asnah capanaw, Mehunim capanaw, Nephusim capanaw.
0f02330030	Bakbuk capanaw, Hakupha capanaw, Harhur capanaw.
0f02340030	Bazluth capanaw, Mehida capanaw, Harsha capanaw.
