0100000004	Tite
280e14006b	Yia kat à li à ɗǝmbǝo. Sǝ alaggana male ramgi aɓwangine mana ue ka, à lùmsǝ azace lum-nong-ɓari.
280e150064	Lakki mala aɓwana mana à lìli ka, aburana á-tongno na. Amamǝna andǝ amuna ka à ɓallia ɗang.
280e160090	Tù anzǝm man ngga Yesu ne alaggana male ɓǝà eauwe a waru ɓǝà aki dǝmba aban o a nkaring, sǝ yì ka, ueo ace nea aɓwana ɓǝà o a la.
280e170077	Lang Yesu mesǝna ɓwapǝndǝa ka, pǝlǝa eauwe amur nkono nǝmurǝì ace pakhiwi. Ban yi bwalo nda akanó nǝmurǝì.
280e180074	Anggo ka waru nyingŋǝ̀nà kún gwangyi umna ɗār aɓa mùr, sǝ nggea gung longŋǝna nǝ̀ nggǝ pea wia tanni.
280e190048	Nǝ tadǝmbari mbul-mbul ka Yesu puro kǝ gya amur mùr aban yiu abania.
280e1a0074	Lang alaggana male nǝ̀ sǝni aban gya amur mùr ka, ɓangciu pakkia wia. À mak'zwalo, à na ama, “Kukwar na!”
280e1b005b	Anggo ka kara Yesu nea wia cau ama, “Wu cam kàngkàng! Mǝ nda. Wu kǝa ɓang ɗàng.”
280e1c0073	Pǝlǝa Bitǝrus ne wi ama, “Mǝtalabangŋo, ɓǝ̀ a nda ka, banggàm ɓǝn gya amur mùr ɓǝn kyane a bano.”
280e1d0065	Yesu ne wi ama, “Yiu.” Bitǝrus pǝlǝa sùlǝî ɓá waru sǝ gya amur mùr aban ká a ban Yesu.
280e1e0072	Lang sǝn eaki-nkono mala mùr ka, ɓangciu pakki wi, kara tita ko a mùr. Mak zwalo ama, “Mǝtalem, amsǝam!”
280e1f0075	Kara Yesu lǝmdǝ buì bwali sǝ ne wi ama, “We ka, gūliarǝu mo arǝàm kyau fat, palang sǝ a tuti a ɓabumo?”
280e20002b	Lang à eauna aɓa waru ka kara gung kùro.
280e21005f	Aɓwana mǝnana aɓa waru ka à peri a baní, à na ama, “Ɓafo, à nda Muna mala Ɓakuli.”
280e220037	À samsǝa à yì kpashi a nkaring mala amǝ Jenasaret.
280e23009c	Lang amǝ-le nǝ̀ yia sǝlǝ ama Yesu na ka, à turkiban arǝ aɓwana aɓalǝ amuna-là mana a ban mǝno ka. Aɓwana yiu nǝ amǝkwánó malea kat a baní.
280e24007e	À zǝmbi wi ace mǝnana ɓǝ̀ amǝ rǝkwana ɓǝà je kun daura male ka. Sǝ aɓwana mana à je kat ka rǝkwana malea malâ.
280f010078	Anzǝm mani ka aɓea amǝ Farisi andǝ amǝkani Nggurcau mala Musa pur a Urǝshalima, à yiu a ban Yesu sǝ à ɗì ama,
280f02006d	“Mana tsǝa sǝ alaggana mo kǝ yàl nzongcau mala aká sǝm? À kǝ̀ lak buia sǝ à nǝ̀ lili ɗang!”
280f030069	Yesu pǝlǝia wia ama: Sǝ ace man ɗe sǝ wu kǝ yàl nzongcau mala Ɓakuli ace pakki akanìgìr ma'wun?
280f04008a	Ɓakuli ka bang ama, “Pè tárró andǝ nggo gulo, sǝ ɓwa mǝnana sáng tárrí ko nggè ka, dumǝna púp à nǝ̀ wali ɓǝ̀ wú.”
280f050096	Sǝ wun ngga wu bang ama ɓǝ̀ ɓwa ne tárrí ko nggè ama, “Gìr mǝnana ɓǝ a wú nǝ́ kúmó a buam ace po gbasha ka, ǝn pani Ɓakuli ka,”
280f060078	ɓwe nǝ̀ gandǝ ginǝ pe tárrí ko nggè gulo nǝi. Anggo ka wu nyesǝna cau mala Ɓakuli ɓà ace pàkkiagir ma'wun.
280f070059	Wun amǝ'kúnɓárína! Ɓangna mala Ishaya amur wun ngga nda a njarì, mǝnana bang ama:
280f080055	“Aɓwana mǝnia ka à kǝ pam gulo nǝ mburkunia, sǝ ɓabumia ka nda kuko nǝ mim.
280f090067	Peri malea abanam ngga mǝɓane na; akanìgìr malea ka anzongcau mala ɓwapǝndǝa na à kaniki ka.”
280f0a0055	Yesu tunǝ ɓwabundǝa sǝ banggia wia ama, “Wu kwaki kir wun ɓǝ̀ cau kpaka wun.
280f0b0087	Gìr mana kǝ kutio a kun ɓwa ka nda kǝ pǝndǝkì ka ɗang, cau mana purkiyi a kúni ka, nda mana kǝ tsǝi sǝ kǝ pǝndǝki ka.”
280f0c0077	Alaggana male pǝlǝa à yiu a baní sǝ à ɗì ama, “A sǝlǝ ama bum amǝ Farisi lúllô arǝ cau mana a ne ka?”
280f0d0082	Sǝ Yesu pǝlǝia wia ama, “Ɓǝ̀ ya girpwala nani à pandǝi mǝnana Tárrám mana a kùli ka nǝ̀ pandǝi raka, à nǝ̀ ui.
280f0e0085	Wu ɗekia; yia ka à nda ka ante mana à kǝ bwalì ante gara ka. Ɓǝ̀ nte bwalì nte gara ka, yia kǝm ngga à nǝ̀ kpa tūli.”
280f0f006c	Bitǝrus ne wi ama, “Bǝla sǝm ɓá kanicau mana ama girlina na kǝ tsǝk ɓwa sǝ kǝ pǝndǝki raka.”
280f100033	Yesu nea wia ama: Wun gbal ka cau kǝ kpaka wun re?
280f11005c	Wu sǝlǝ mbo ama gìr mana kat kutio a kun ɓwa ka kǝ o a bumi, sǝ nǝ̀ nggá pur a nza?
280f120089	Sǝ agir mǝnana à kǝ pur a kun ɓwa ka à kǝ̀ yiu nǝ ɓabumi, sǝ à nda ka mǝnana à nǝ̀ tsǝk ɓwa nǝ̀ do nǝ pǝndǝkya ka.
280f130088	Àkǝ̀ ɓabum ɓwa sǝ aɗenyicau mǝɓane kǝ puro; wal-lú, nongnǝban a nza nǝ doɓala, gyagung, ǝn'í, kùmsǝkûn, sǝ zalǝban.
280f140096	Amǝnia ka à nda ka gir mǝnana à nǝ̀ tsǝk ɓwa nǝ̀ pǝndǝki ka. Lìli nǝ abu mǝnana à lea raka pà nǝ̀ tsǝk ɓwa nǝ̀ pǝndǝki ɗang.
280f150043	Yesu nying ban mǝno sǝ o a nzali mala amǝ Taya andǝ amǝ Sidon.
280f1600e7	Ɓè ɓwama Kan'ana mǝnana do a mǝno yì bu ban ngga, yiu a baní nǝ ɓua ama, “Mǝtalabangŋo, Muna mala Dauda, sǝn mǝsǝswatǝr mem! Ɓoarnsarilem ngga nda aɓa tanni kǝ̀rkǝ́r a ɓabù kukwar mǝnana kutia rǝì ka.”
280f1700ae	Yesu pǝlǝi wi kǝ cau ɗang. Alaggana male yiu a baní sǝ à zǝmbi wi ama, “Sǝnbi ɓwama mǝnia ka ɓacau male ɓǝ̀ o. Ace mǝnana camarǝ gya atà sǝm nǝ ɓua.”
280f180068	Yesu pǝlǝia wia ama, “Kǝ anzur mala amǝ Isǝrayila mana à ɓwarki ka nda à túrǎm abania ka.”
280f190055	Ɓwame yiu yi kū`ndǝó a ɓadǝmbi, sǝ na ama, “Mǝtalabangŋo, bwalàm kàm!”
280f1a0059	Yesu pǝlǝi wi ama, “Ɓoaro ɓǝà twal girlina mala amuna ɓǝà pè anvwa ɗàng.”
280f1b0094	Ɓwame eare ama, “E, Mǝtalabangŋo, nggearǝ anvwa ka à kǝ tarki aɓwangina girlina mǝnana à kǝ kpaki a nzali a ban-li mala amǝtalea ka.”
280f1c0087	Yesu pǝlǝa ne wi ama, “Ɓwama, paɓamuru mô ka nggea mǝgule na! Zǝmba mô ka à ongŋǝni.” Kara àkǝ̀ banì rǝ muni malâ.
280f1d005f	Yesu nying ban mǝno sǝ gya a kun Garang mala amǝ Galili. Kya eauwe a bum ɓe nkono do akàm.
280f1e00b5	Ɓwabunda pas yiu a baní. À yiu nǝ aɓwana mana à su ka, ante, a gbakǝre, amǝ'talasǝuɓunna andǝ acilia pas, à yì nongsǝia a ɓadǝmbi; sǝ twalia wia ban akwánó malea.
280f1f00be	Ɓwapǝndǝa ndali lang à sǝn amǝ'talasǝuɓunna aban nacau, aɓwan à su ka à lo tak, agbakǝre lo à kǝ gya, sǝ ante kǝ sǝnban. Pǝlǝa à ɓwangsǝki Ɓakuli mala amǝ Isǝrayila.
280f2000e9	Yesu tunǝ alaggana male a baní sǝ nea wia ama, “Ən nggǝ sǝn mǝsǝswatǝr mala aɓwana mǝnia ka, acemǝnana à ndakani atàm nongŋo tàrú a dyan, andǝa nzala. Ɓǝa kǝa o anggo ɗang, ace mǝsǝpǝndǝa makkia a njar.”
280f210088	Pǝlǝa alaggana male ne wi ama, “Ake sǝ sǝm nǝ̀ kum girlina a bondo mǝnia ka, mǝnana sǝm nǝ̀ linǝ aɓwana mǝnia pas ka?”
280f220078	Yesu ɗia ama, “Agbatali bǝredi shen a bu wun ɗe?” À ear ama, “À nda tongno-nong-ɓari andǝ amǝnji bǝti.”
280f23002d	Pǝlǝa Yesu ne ɓwabundǝa ɓǝa do a nzali.
280f24009c	Sǝ twal abǝredi tongno nong-ɓari andǝ anji, lang pangŋǝni Ɓakuli yàwá ka, pǝlǝa ɓwanggia sǝ pe alaggana male. Sǝ yia gbal ka, à gaki aɓwana.
280f25007e	Ɓwabunda man kat ka lìli ɗǝmbǝo, nying cili. Alaggana male ramgi cili mana ueo ka, à pwano arǝ azace tongno-nong-ɓari.
280f26006b	Lakki mala aɓwana mana à lìli ka, aburana á-ine na. Amamǝna andǝ muna mana ateà ka à ɓallia ɗang.
280f270052	Yesu pǝlǝa ne aɓwabundǝa ɓǝà o a la, sǝ kutio a waru o a bu-nzali Magadan.
28100100a9	Amǝ Farisi andǝ amǝ Saduki yiu a ban Yesu à nǝ̀ kārǝki. À zǝmbi wi ama ɓǝ̀ lǝmdǝia wia ɓekǝ gir'ndali mana nǝ̀ lǝmdǝ ama yì ka, pur nǝban Ɓakuli.
2810020072	Yesu pǝlǝia wia ama: Nǝ pwarikpǝra ka ɓǝ̀ wu sǝn kùli bang ngga wu kǝ na ama, “Ban no nǝ̀ ɓoaro.”
28100300dd	Sǝ nǝ budǝmbari ɓǝ̀ wu sǝn kùli bangŋa sǝ ban pǝndǝ ka, wu na ama, “Mbulo no nǝ̀ nya yalung.” Wu kǝ gandǝ bang ɓá pa mala bumkuli, sǝ agir mana à kǝ lǝmdǝ pa mala nza man ngga wu bwaltea ɗàng.
28100400c8	Nza mala amǝ'ɓealɓikea andǝ amǝ'ɗwanyi ɓanggi Ɓakuli na à alkiyita gìr mana à nǝ̀ sǝn ngga. Sǝ à pà nǝ̀ lǝmdǝia ɓekǝ gir'lǝmdǝa ɗang, shekǝ mala Yunana. Yesu pǝlǝa nyia o.
2810050075	Lang alaggana mala Yesu eauwe a ɓè nkaring nggeamùr ka, à sǝni ka ɓalǝia lorǝo à twal bǝredi a buia ɗàng.
281006006c	Yesu nea wia ama, “Wu par kir wun, wu yál ɓamur rǝ wun arǝ yist mala amǝ Farisi andǝ amǝ Saduki.”
281007006b	Pǝlǝa alaggana male kùtí a nacau arǝarǝia ama, “Bang anggo acemǝnana sǝm yiu nǝ bǝredi raka.”
2810080097	Yesu yi sǝlǝia wia nǝ cau mǝno à nakiyi ka sǝ ɗia ama, “Palang sǝ wu kǝ nacau arǝarǝ wun amur ɗwanyi bǝredi? Gūliarǝu ma'wun kyau fat!
28100900a7	Wun ado ka wu kǝ gandǝ bwalta cau mbo? Ɓalǝ wun lorǝna ce abǝredi tongno mǝnana ǝn linǝ aɓwana á-tongno nǝi ka? Azace shen sǝ wu lùmsǝia nǝ aɓwangine?
28100a008f	Sǝ lang arǝ abǝredi tongno-nong-ɓari mǝnana ǝn linǝ aɓwana á-ine nǝi ka? Azace shen sǝ wu lùmsǝia nǝ aɓwangine mǝnana a ueo ka?
28100b00a6	Palang sǝ wu gandǝ sǝlǝ ama ǝn pa arǝ nacau amur bǝredi raka? Mǝ nda arǝ na ama wu par kir wun ce wu earnǝ yist mala amǝ Farisi andǝ amǝ Saduki ɗang.”
28100c00a3	Nda sǝ cê kpania wia ama pa arǝ nunkiria amur yist mana à tsǝkiyi arǝ bǝredi ka ɗàng. Nda arǝ nacau amur kanigir nyir mala amǝ Farisi andǝ amǝ Saduki.
28100d007d	Lang Yesu yina a nzali Kaisariya Filipi ka, ɗì alaggana male ama, “Yana ɗe aɓwana kǝ na ama nda mim Muna mala Ɓwa?”
28100e00ba	Sǝ à pa eare ama, “Aɓea aɓwana kǝ na ama a nda Yohana Mǝbatisǝma; aɓea ka à kǝ na ama, Iliya; sǝ aɓea gbal ka ama Irimiya ko mwashat aɓalǝ amǝ'ɓangnǝa mala Ɓakuli.”
28100f0044	Pǝlǝa Yesu ɗia ma, “Sǝ wun ngga, wu kǝ na ama mǝ nda yan?”
2810100053	Shiman Bitǝrus pa eare ama, “A nda Kǝrǝsti, Muna mala Ɓakuli mǝyilǝmuì.”
28101100aa	Yesu ne wi ama: Tsǝkbu na muro, we Shiman muna mala Yunana, acemǝnana súrǝè mala ɓwapǝndǝa na lǝmdǝo mǝnia yì gìr ka ɗàng. Tárrám mǝnana a kùli ka nda.
2810120084	Sǝ we Bitǝrus ka a nda tali, sǝ amur tali mǝnia ka mǝ nǝ ɓak Ikǝlisiya mem, sǝ rǝcandǝa mala Lú pa nǝ̀ gandǝi ɗàng.
28101300cf	Mǝ nǝ po akyî mala Domurǝm mǝnana a kùli ka; gìr mǝnana kat à kùrrì a ɓanza ka, anggo sǝ à nǝ̀ kùrrì a kùli, sǝ gìr mǝnana kat a panzǝi a ɓanza ka, anggo sǝ à nǝ̀ panzǝi a kùli.
2810140054	Pǝlǝa nunkir alaggana male ama ɓǝa kǝa ne kǝɓwa ama yì nda Kǝrǝsti ɗàng.
2810150122	Twal a pwari mǝno ka Yesu tita mǝngì alaggana male ɓá cau ama, “Dumǝna púp mǝ nǝ ká a Urǝshalima, mǝ nǝ ká nu tanni kǝ̀rkǝ́r a bu aɓwana-mǝgule, agbani pǝris andǝ amǝkani nggurcau. À nǝ̀ wal-luem, sǝama a tàruià nongŋo ka mǝ nǝ loapi ɓembe nǝ yilǝmu.”
281016008e	Bitǝrus pǝlǝa tunǝi zak sǝ pǝrki nǝ ce a kúni ama, “Pà nǝ̀ pàk ɗàng, Mǝtalabangŋo. Kǝgìr pà nǝ̀ kúmǒ anggo ɗàng!”
28101700ad	Yesu pǝlǝa arǝ Bitǝrus sǝ ne wi ama, “Nyàrâm anggo, Shetan! A kǝ earce tsǝem mǝ annda, acemǝnana ɗenyicau mo ka mala Ɓakuli na ɗang, mala ɓwapǝndǝa na.”
28101800cb	Pǝlǝa Yesu banggi alaggana male ama: Ɓwa mǝnana kat earce ama nǝ̀ yiu atàm nǝ̀ duk mǝkpatam ngga, dumǝna púp nǝ̀ nying ɗenyicau ɓamúrì, nǝ̀ twal nggun-gangndǝi male sǝ nǝ̀ kpatam.
2810190088	Ɓwa mana kat kǝ sǝni nǝ̀ amsǝ yilǝmi ka nǝ̀ nggá ɗwanyibanì, sǝ ɓwa mǝnana kǝ turta yilǝmi acem ngga, nǝ̀ nggá kumi.
28101a010d	Ɓǝ̀ ɓwa kum koya gìr a ɓanza man kat, sǝ ɗwanyi yilǝmu mǝnana málá male pà kàm raka, lǝmdǝ ama pà nǝ́ kǝgìr ɗàng. Sǝ ɓǝ̀ ɗwanyini yilǝmu mǝnana málá male pà kàm raka, pà nǝ́ kǝgìr mǝnana nǝ̀ pa sǝ nǝ̀ kumi ɗǝm ngga ɗàng.
28101b00a7	Acemǝnana Muna mala Ɓwa ka nǝ̀ nggá yiu aɓa gulo mala Tárrí, andǝ amǝturonjar male atè, sǝ nǝ̀ yia pè koyan ngga tangnakusǝi, ace gìr mǝnana pàk ka.
28101c00a2	Ən nggǝ na wun aɓa mǝsǝcau ama, aɓea ɓwana na kani aban came mǝnana à pà nǝ̀ wù ɗàng sheɓǝ̀ à sǝna yiu mala Muna mala Ɓwa a Domurǝm male ka.
281101009b	Anzǝm nongŋo tongno-nong-mwashat ka Yesu twal Bitǝrus, Jemis andǝ Yohana mǝ'eam Jemis, sǝ à o amur ɓè nkono mǝ'dāhre. À nda kano nǝmurǝia ka,
2811020071	kara rǝ Yesu twalo nggaɗi a ɓamǝsǝia. Ɓamǝsǝi ta kǝla pwari, agir-nggūrǝì pǝlǝ amǝpwasǝe pwapwat.
281103003a	Kara Musa andǝ Iliya puro à came, à kǝ nacau nǝ Yesu.
28110400c3	Pǝlǝa Bitǝrus ne Yesu ama, “Mǝtalabangŋo, ndanǝ ɓoaro mǝnana sǝm nda kani ka. Ɓǝ̀ a nǝ ear ka, mǝ nǝ gilǝ agumli tàrú; mwashat aceo, mwashat ace Musa sǝ mwashat ace Iliya.”
28110500db	Ndarǝ nacau più ka, kara pǝrɓang mǝpwasǝe pwapwat yi gir múrià, sǝ giu pur aɓa pǝrɓang na ama, “Mǝnia ka nda Munem mǝnana ǝn earkiyi ace raka; mǝnana ban kǝ ɓoaram arǝì pepè ka. Wu ok cau male!”
2811060077	Lang alaggana male ok mǝnia yì giu ka, ǝn'ò pakkia wia kǝ̀rkǝ́r, pǝlǝa à kpa à kùmsǝ ɓamǝsǝia a nzali.
2811070068	Sǝ Yesu yiu yi tsǝk buì a rǝia, sǝ nea wia ama, “Wu lo, ɓangciu ɓǝ̀ kǝa pakka wun ɗàng.”
2811080041	À nǝ̀ loasǝ mǝsǝia ka, Yesu na kara à sǝni nǝmurǝì ka.
28110900a6	Lang à ndaban sùlǝî mur nkono ka, Yesu kwarkiria ama, “Wu kǝa ne kǝɓwa ce gìr mǝnana wu sǝn ngga ɗàng she ɓǝà loasǝna Muna mala Ɓwa a ɓembe ka.”
28110a00ac	Alaggana male pǝlǝa à ɗì ama, “Sǝ ɓǝ̀ nda anggo ka, palang sǝ amǝkani nggurcau kǝ na ama she ɓǝ̀ Iliya angŋǝna dǝmba yina ka sǝ Kǝrǝsti nǝ̀ yiu?”
28110b0073	Pǝlǝa Yesu eare ama, “Mǝsǝcau na à bang ngga, Iliya nǝ̀ ak tadǝmba nǝ̀ yiu, nǝ̀ yia gilǝki agir kat.
28110c00b9	Sǝ ǝn nggǝ na wun ama Iliya ka yina, sǝ à sǝlǝ ama yì na ɗang, sǝ à pàngŋǝ̀nì wi gìr mǝnana bumia earkiyice ka. Anggo gbal sǝ Muna mala Ɓwa nǝ̀ nu tanni a buia.”
28110d0050	Nda sǝ alaggana male yi sǝlǝ ama ndarǝ bang cau amur Yohana Mǝbatisǝma ka.
28110e0069	Lang à sùlǝ́nì múr nkono à yina a ban ɓwabundǝa a nzali ka, ɓeɓwa yi kū`ndǝó a ɓadǝm Yesu
28110f00ce	sǝ na ama, “Mǝtalabangŋo, ǝn nggǝ zǝmbô, sǝn mǝsǝswatǝr mala laggalem. Ndanǝ kwánó wukiaban mǝnana kǝ pe wi tanni kǝ̀rkǝ́r ka. Kusǝ pas ɓǝ̀ loapi wi ka, kǝ kpa aɓa bǝsa ko mùr.
2811100045	Ən yinǝi aban alaggana mô, sǝ à gandǝ twalban kwanè ɗàng.”
281111013a	Yesu pǝlǝa na ama, “Wun aɓwana mala nza mala kìɗìkì andǝ amǝ'ɗwanyi paɓamuru aban Ɓakuli! Nǝ̀ ngga ká a ya pwari sǝ mǝ nǝ do atà wun sǝ wun nǝ̀ kànì pàk ɓè kǝgìr? Nǝ̀ ngga ká a ya pwari sǝ mǝ nggǝ twal gandǝrǝu nǝ ɗwanyi earnǝ cau ma'wun arǝàm? Wu yinǝ munê abanam.”
281112006c	Yesu pǝlǝa sà arǝ kukwar mǝnana arǝ muna ka. Pǝlǝa kukwar purî rǝì. Àkǝ̀ banì rǝ munê mala.
2811130082	Nǝnzǝ́mò ka alaggana mala Yesu yiu a baní nǝmurǝì sǝ à ɗì ama, “Mana tsǝa sǝ sǝm gandǝ pusǝ kukwarnì ɗang?”
281114013f	Yesu nea wia ama: Nda acemǝnana paɓamuru ma'wun ngga gatti. Sǝama ǝn nggǝ na wun mǝsǝcau, ɓǝà bang ama wu earnǝ Ɓakuli bǝti kǝla kyauwe mala mǝsǝ musta ka, wun nǝ̀ gandǝ ne mǝnia yì nkono ka ama, “Turî ban mǝnia, o kano” sǝ yì ka, nǝ̀ turó. Ɓè kǝgìr pà kàm nǝ̀ gandǝ wun ɗàng.
2811150053	[Sǝama ulang mǝnia yì kukwar ka, kǝ ear puro ɗang she nǝ hiwi andǝ gilmùr.]
281116007f	Lang alaggana male yi ramǝna kat a Galili ka, Yesu nea wia ama, “Ɓè ɓwa ndo nǝ̀ nggá mak Muna mala Ɓwa a ban aɓwana,
2811170075	sǝ à nǝ̀ nggá wal-luí. A tàruià nongŋo ka nǝ̀ lo nǝyilǝmu.” Kara ban ɓiki alaggana male kǝ̀rkǝ́r.
28111800ca	Lang Yesu andǝ alaggana male bwalǝna Kapanahum ngga, amǝ'cemi ɓá Ndàmǝgule mala Ɓakuli yiu aban Bitǝrus sǝ à ɗì ama, “Mǝtala-ɓala ma'wun ngga kǝ mbwe boalo cemi mala Ndàmǝgule re?”
2811190112	Bitǝrus earia wia ama, “E, kǝ mbwe.” Pǝlǝa kutio a ɓala nǝ̀ nggá ne Yesu cè. Malaká loasǝ kúni ɗàng Yesu ak dǝmba ɗì ama, “Sǝ we Shiman ngga, lang sǝ a sǝni? A bu a yana sǝ amurǝm ɓanza akiyi boalo-cemi? A bu amǝtala là lè, ko a bu abǝri?”
28111a0078	Bitǝrus eari wi ama, “A bu abǝri.” Pǝlǝa Yesu ne wi ama, “Lǝmdǝ ama amǝtala là ka, à pa aɓa mbwe ɗàng.
28111b00d3	Sǝ ace mǝnana ɓǝ̀ sǝm ngga lulbumia raka, kyane a kun nggeamùr kya túr nli. Nji mǝnana awu nǝ tita bwale ka, mǝn kúni, a nǝ kum boalo kam. Twali kya mbwena boalo-cemi ma'sǝm nǝi, mem andǝ mô.”
281201007b	A nzǝm mǝno bǝti ka alaggana mala Yesu yiu a baní sǝ à ɗì ama, “Yana gulo kútìban kat a Domurǝm mala kùli?”
281202003d	Yesu pǝlǝa tunǝ ɓè muna mǝkyauwe sǝ tamsǝi aɓalǝia.
2812030090	Sǝ na ama: Mǝsǝcau, ǝn nggǝ bangga wun, ɓǝ̀ wu nggaɗya wu do kǝla amuna mǝkèke raka, pà wu nǝ̀ kutio a Domurǝm mala kùli ɗang.
2812040070	Sǝ ɓwa mǝnana kat nwangsǝ ɓamúrì kǝla muna mǝkyauwe man ngga nda ɓwamǝgule kat a Domurǝm mala kùli.
281205004d	Koya ɓwa sǝ ak muna mǝkyauwe kǝla mǝnia acem ngga, Mǝ nda akiyiam ngga.
28120600b7	Ɓǝ̀ kǝɓwa tsǝk mwashat atà amuna mǝkèke mǝnia mǝnana à earnǝ mim sǝ pak cauɓikea ka, kǝpǝna ɓǝà ɗurri ɓwe taligo a meali sǝ ɓǝa túrí aɓa nggeamùr mǝlime.
28120700b8	Caukwanban na nǝ ɓanza ace agir mǝnana à kǝ tsǝk aɓwana ɓǝà pak cauɓikea ka! Agir tamban ngga à nǝ̀ yiu púp. Sǝama caukwanban na nǝ ɓwa mǝnana à kǝ pur nǝbani ka!
28120800ef	Ɓǝ̀ buo ko kusǝo kǝ tsǝo a kǝ pak cauɓikea ka, kasǝi túrí. Kǝpǝna wu kutio a yilǝmu nǝ bu-kasǝa ko kusǝu-kasǝa amur mǝnana wu dum nǝ abuo ɓari ko akusǝo ɓari sǝ ɓǝà túrǒ aɓa bǝsa mǝnana pà nǝ̀ limgi raka.
28120900b4	Ɓǝ̀ mǝsǝo kǝ tsǝo a kǝ pak cauɓikea ka, ui túrí. Kǝpǝna wu kutio a yilǝmu nǝ mǝsǝu mwashat amur mǝnana wu dum nǝ amǝsǝo ɓari sǝ ɓǝà túrǒ a lú-bǝsa ka.
28120a00ba	Wu tsǝkir wun, wu kǝa būrǝce mwashat atà amuna mǝkèke mǝnia ka ɗàng. Ən nggǝ na wun mǝsǝcau amǝturonjar malea a koya pwari ka, à nda aɓadǝm Tárrám mǝnana a kùli ka.
28120b0044	[Muna mala Ɓwa yiu ace amsǝ aɓwana mǝnana à ɓwarki tanjar ka.]
28120c00cc	Lang sǝ wu sǝni, ɓǝ̀ ɓwa nanǝ anzur gbǝman sǝ mwashat ɓwarki ta ɓi ka, pà nǝ̀ nying amǝnia lumi-tongno-nong-ine bwamdǝ tongno-nong-ine ka amur nkono sǝ nǝ̀ oa alta mǝnana ɓwàr ka re?
28120d00a0	Sǝ ɓǝ̀ yi kumǝni ka, ǝn nggǝ na wun mǝsǝcau ban nǝ ɓoari wi ace nzur mǝnia mwashat ka nǝ̀ kútì mǝnana ndanǝi ace acili amǝno à ɓwarki raka.
28120e006f	Anggo gbal sǝ Tár wun mǝnana a kùli ka eare ama ɓǝ̀ mwashat atà amǝkèke mǝnia ka ɓǝ̀ ɓwàr raka.
28120f0094	Ɓǝ̀ mǝ'eambo pakko cauɓikea ka, kya bani nǝmurǝo lǝmdǝì wi cauɓikea male, a nre wun ɓari. Ɓǝ̀ oako ka, a nyesǝna mǝ'eambo a tanjar.
281210008a	Sǝ ɓǝ̀ pà nǝ̀ oako raka, tunǝ atò ɓwa mwashat ko ɓari a baní. Acemǝnana mǝsǝcau ka à kǝ oe a kun aɓwana ɓari ko tàrú.
2812110091	Ɓǝ̀ ginǝ ok ka, kyan nǝi a ban Ikǝlisiya. Sǝ ɓǝ̀ ginǝ okî Ikǝlisiya ka, nyesǝi kǝla mǝ ɗwanyi súrǝ̀ Ɓakuli ko mǝ'cauɓikea.
28121200a4	Ən nggǝ na wun mǝsǝcau gìr mǝnana kat wu kùrrì a ɓanza ka, à nǝ̀ kùrrì a kùli, sǝ gìr mǝnana kat wu panzǝi a ɓanza ka, à nǝ̀ panzǝi a kùli.
28121300b7	Sǝ ǝn nggǝ na wun mǝsǝcau ama, ɓǝ̀ aɓwana ɓari atà wun akani a ɓanza à nǝ̀ eare amur koya gìr mǝnana wu nǝ̀ zǝm ngga, Tárrám mǝnana a kùli ka nǝ̀ pakka wuni.
2812140056	Ɓǝ̀ aya ban sǝ aɓwana ɓari ko tàrú dapi aɓa lullǝam ngga, Mǝ nda aɓalǝia.
28121500ba	Pǝlǝa Bitǝrus yiu a ban Yesu sǝ ɗì ama, “Mǝtalabangŋo, kusǝ shen sǝ ɓǝ̀ mǝ'eambam camarǝ pakkam cauɓikea ka ɓǝ̀ ǝn twali wi banì? Kusǝ tongno-nong-ɓari na le?”
281216006b	Yesu eari wi ama: Awo, kusǝ tongno-nong-ɓari na ɗang, lumi tongno-nong-ɓari kusǝ tongno-nong-ɓari na!
281217009b	Ace cau mǝnia ka à nǝ̀ kànì Domurǝm mala kùli arǝ ɓè murǝm mǝnana earce nǝ̀ bǝlki kusǝ agǝna male mǝnana a bu amǝ'túró-ɓala male ka.
2812180072	Lang tinata bǝlki kusǝ agǝne ka à kya yiu nǝ ɓè ɓwabura a ɓadǝmbi, mǝnana li tangna boalo kǝ̀rkǝ́r.
281219009b	Sǝ ace mǝnana ɓwabure gandǝ mbwe raka, ɓwamǝgule male tsǝa ɓǝa me, yì andǝ māmí andǝ amuni andǝ agirkuma male kat, ɓǝà mbwe tangnê nǝi.
28121a0089	Mǝtúró-ɓala man pǝlǝa ɓun amur ankūnǝi a ɓadǝmbi sǝ zǝmba ama, “Ɓwamǝgule, pakkam munyi, mǝ nǝ mbweko boalo mo kat.”
28121b005f	Murǝm yi sǝn mǝsǝswatǝr mala mǝtúró-ɓala man nda sǝ twaliban tangne sǝ nyi ɓǝ̀ o.
28121c00c9	Lang mǝtúró-ɓala man purna a nza ka, yi kum ɓi mǝtúró-ɓala mǝnana kǝ kpate tangna boalo bǝti ka. Pǝlǝa kpe a mǝsǝ'meali kàngkàng ne wi ama, “Mbwem gir mǝnana ǝn nggǝ kpato ka.”
28121d005d	Ɓi mǝtúró-ɓala ɓun amur ankūnǝi sǝ zǝmbi wi ama, “Pakkam munyi, mǝ nǝ mbweo.”
