2800000008	מתיו
2c100a014c	וְאַחֲרֵי רְאוֹתוֹ אֶת־הֶחָזוֹן הָיָה עִם־לְבָבֵנוּ לְהָחִישׁ בֹּאֵנוּ אֶל־מַקְדּונְיָא בַּאֲשֶׁר הֵיטֵב יָדַעְנוּ כִּי נִקְרֵאנוּ מֵאֱלֹהִים לְבַשֵּׂר שָׁם אֶת־הַבְּשׂוֹרָה׃
2c100b00db	וַנֵּצֵא אֶת־טְרוֹאַס וַנָּבֹא בָאֲנִיָּה דֶּרֶךְ יְשָׁרָה אֶל־סַמּוֹתְרַקְיָא וּבַיּוֹם הַשֵּׁנִי אֶל־נַפּוֹלִיס׃
2c100c0114	וּמִשָּׁם אֶל־פִּילִפִּי הָעִיר הָרִאשׁוֹנָה עַל־קְצֵה גְבוּל מַקְדּוֹנְיָא וְרֵאשִׁית מוֹשָׁב לְאַנְשֵׁי שָׂדָי וַנֵּשֶׁב בָּהּ יָמִים מִסְפָּר׃
2c100d0153	וּבְיוֹם הַשַּׁבָּת יָצָאנוּ אֶת־הַשַּׁעַר עַל־יַד הַנָּהָר אֶל־מְקוֹם זֶה דִמִּינוּ שֶׁשָּׁם בֵּית הַתְּפִילָּה וַנֵּשֶׁב וַנְּדַבֵּר אֶל־הַנָּשִׁים אֲשֶׁר הִתְאַסְּפוּ שָׁמָּה׃
2c100e014e	וְאִשָּׁה יִרְאַת־אֱלֹהִים לוּדְיָא שְׁמָהּ רֹכֶלֶת בְּאַרְגָּמָן מֵעִיר תִּאֲטִירָא הִיא הִקְשִׁיבָה וַתִּשְׁמָע וַיהוָֹה פָּתַח אֶת־לִבָּהּ לְהַקְשִׁיב אֶל־דִּבְרֵי פוֹלוֹס׃
2c100f0137	וַיְהִי כִּי נִטְבְּלָה הִיא וּבֵיתָהּ וַתְּדַבֵּר אֵלֵינוּ לֵאמֹר אִם כֹּה תַחְשְׁבֻנִי לְמַאֲמִינָה בָּאָדוֹן בֹּאוּ־נָא אֶל־בֵּיתִי וּשְׁבוּ־בוֹ וַתָּאֶץ בָּנוּ׃
2c1010011a	וַיְהִי כְּבֹאֵנוּ לְבֹא בֵית הַתְּפִילָה וַתִּפְגְּשֵׁנוּ שִׁפְחָה וְהִיא רוּחַ לָהּ לְגַלּוֹת נְצֻרוֹת וְעֹשָׂה הוֹן יָקָר לַאדֹנֶיהָ בִּקְסָמֶיהָ׃
2c1011012c	וַתְּהִי הֹלֶכֶת אַחֲרֵי פוֹלוֹס וְאַחֲרֵינוּ קָרֹא וְאָמֹר הִנֵּה הָאֲנָשִׁים הָאֵלֶּה עֹבְדִים לְאֵל עֶלְיוֹן וְאֶת־דֶּרֶךְ הַיְשׁוּעָה אֶתְכֶם יְלַמֵּדוּן׃
2c10120166	כֹּה עָשְׂתָה יָמִים רַבִּים וַיָּקָץ פּוֹלוֹס בַּעֲשׂתָהּ כָּזֹאת וַיִּפֶן וַיֹּאמֶר אֶל־הָרוּחַ בְּשֵׁם יֵשׁוּעַ הַמָּשִׁיחַ אֲנִי מְצַוְּךָ לָצֵאת מִקִּרְבָּהּ וַיֵּצֵא הָרוּחַ כְּרָגַע׃
2c1013010a	כִּרְאוֹת אֲדֹנֶיהָ כִּי תוֹחֶלֶת הוֹנָם אָבָדָה וַיִּתְפְּשׂוּ אֶת־פּוֹלוֹס וְאֶת־סִילָא וַיִּמְשְׁכוּם אֶל־פְּקוּדוֹת הָעִיר הַשָּׁעְרָה׃
2c101400d8	וַיִתְנַהֲגוּם לִפְנֵי הָרָאשִׁים וַיֹּאמְרוּ הָאֲנָשִׁים הָאֵלֶּה מְתַעְתְּעִים אֶת־עִירֵנוּ כִּי יְהוּדִים הֵם׃
2c101500be	לַמֵּד יְלַמְּדוּ דִבְרֵי־דָת אֲשֶׁר לֹא כְדָתֵינוּ לַעֲשׂוֹתָם כִּי אֲנַחְנוּ רוֹמִיִּים אֲנָחְנוּ׃
2c101600d8	וַיָּקָם הֲמוֹן הָעָם עֲלֵיהֶם וְהָרָאשִׁים קָרְעוּ אֶת־בִּגְדֵהֶם מֵעֲלֵיהֶם וַיְצַוּוּ לְיַסְּרָם בַּשּׁוֹטִים׃
2c101700e7	וְאַחֲרֵי הַכּוֹת אֹתָם מַכּוֹת רַבּוֹת הִשְׁלִיכֻם אֶל־בֵּית הַכֶּלֶא וּפְקִיד הַכֶּלֶא צֻוָּה הַחֲזֵק עֲלֵיהֶם מִשְׁמָר׃
2c101800af	וְהוּא אַחֲרֵי צֻוֹּתוֹ כֵּן הֶחְבִּיאָם בְּמַחֲבֹאֵי הַכֶּלֶא וַיָּשֶׂם רַגְלֵיהֶם בַּסָּד׃
2c101900d3	וַיִּתְפַּלְלוּ פּוֹלוֹס וְסִילָא בַּחֲצוֹת הַלָּיְלָה וַיָּשִׁירוּ לֵאלֹהִים וַיִּשְׁמְעוּ לָהֶם הָאֲסִירִים׃
2c101a0105	וַיְהִי פִתְאֹם רַעַשׁ גָּדוֹל עַד כִּי נָעוּ מוֹסְדֵי בֵית הַכֶּלֶא וּפִתְאֹם נִפְתְּחוּ כָל־הַדְּלָתוֹת וַאֲסוּרֵי הָאֲסִירִים נָמָסּוּ׃
2c101b0151	וּפְקִיד הַכֶּלֶא נֵעוֹר נִבְהָל מִשְּׁנָתוֹ וַיַּרְא אֶת־הַדְּלָתוֹת כֻּלָּן וְהֵנָּה פְּתֻחוֹת וַיִּשְׁלֹף חֶרֶב לִסְפּוֹת אֶת־נַפְשׁוֹ בְּחָשְׁבוֹ כִּי הָאֲסִירִים נִמְלָטוּ׃
2c101c00d5	וַיִשָּׂא פוֹלוֹס אֶת־קוֹלוֹ וַיִּקְרָא חֲדָל אַל־תַּעַשׂ לְךָ מְאוּמָה רָע כִּי הִנֵּה אֲנַחְנוּ פֹּה כֻּלָּנוּ׃
2c101d0109	וַיְצַו לְהָבִיא נֵר לְהָאֶר־לוֹ וַיְהִי נֶחְפָּז לָבֹא אֶל־הַבַּיִת פְּנִימָה וְהוּא חָרֵד וּמַרְעִיד וַיִּפֹּל לְרַגְלֵי פוֹלוֹס וְסִילָא׃
2c101e0089	וַיּוֹצִיאֵם וַיֹּאמַר רַבּוֹתַי מָה־אֶעֱשֶׂה לְהוֹשִׁיעַ אֶת־נַפְשִׁי׃
2c101f00b7	וְהֵם אָמְרוּ הַאֲמִינָה בָּאָדוֹן יֵשׁוּעַ הַמָּשִׁיחַ וְתִוָּשַׁע נַפְשְׁךָ וְנֶפֶשׁ בֵּיתֶךָ׃
2c10200084	וַיַּגִּידוּ־לוֹ אֶת־דְּבַר יְהוָֹה וּלְכָל־אֲשֶׁר־אִתּוֹ בְּבֵיתוֹ׃
2c102100ef	וַיִּקָּחֵם אֵלָיו בָּעֵת הַזֹּאת בְּעוֹד לַיְלָה וַיִּרְחַץ אֶת־פִּצְעֵיהֶם וַיִּטָּבֵל הוּא וְכָל־אֲשֶׁר־לוֹ מִבְּלִי־בֹשׁ׃
2c102200f2	וַיְבִיאֵם אֶת־בֵּיתוֹ וַיַּעֲרֹךְ לִפְנֵיהֶם שֻׁלְחָן וַיִּשְׂמַח הוּא וְכָל־בֵּיתוֹ כִּי הָפַךְ לִבָּם לְהַאֲמִין בֵּאלֹהִים׃
2c102300de	וַּיְהִי כְּאוֹר הַיּוֹם וַיִּשְׁלְחוּ הָרָאשִׁים אֶת־עַבְדֵּי הַפְּקֻדּוֹת לֵאמֹר שַׁלַּח אֶת־הָאֲנָשִׁים הָאֵלֶּה׃
2c1024010b	וַיַּגֵּד פְּקִיד הַכֶּלֶא אֶת־הַדָּבָר לְפוֹלוֹס הִנֵּה שָׁלְחוּ אֵלַי הָרָאשִׁים לְתִתְּכֶם לָצֵאת מִזֶּה וְעַתָּה צְאוּ וּלְכוּ לְשָׁלוֹם׃
2c102501ce	וַיֹּאמֶר פּוֹלוֹס אֲלֵיהֶם יַסֹּר יִסְּרוּנוּ בְּלֹא־דִין וּמִשְׁפָּט לְעֵינֵי כֹל אַף כִּי־אַנְשֵׁי רוֹמִי אֲנָחְנוּ וְגַם־הִשְׁלִיכֻנוּ אֶל־הַכֶּלֶא וְעַתָּה אֲנַחְנוּ מוּצָאִים דְּחוּפִים בַּסֵּתֶר לֹא־כֵן הֵם יָבֹאוּ וְהוֹצִיאֻנוּ מִזֶּה׃
2c102600f0	וַיָּשִׁיבוּ עַבְדֵי הַפְּקֻדּוֹת אֶת־הַדְּבָרִים הָאֵלֶּה אֶל־הָרָאשִׁים וַיִּירָאוּ יַעַן שָׁמְעוּ כִּי אַנְשֵׁי רוֹמִי הֵם׃
2c10270087	וַיָּבֹאוּ וַיְרַצּוּם וַיּוֹצִיאוּם וַיְבַקְשׁוּם לַעֲזֹב אֶת־הָעִיר׃
2c102800ff	וַיֵּצְאוּ מִבֵּית הַכֶּלֶא וַיָּבֹאוּ בֵיתָה לוּדְיָא וְאַחֲרֵי רְאוֹתָם אֶת־הָאַחִים וְדַבְּרָם לָהֶם נִחֻמִּים יָצְאוּ וַיִּסָּעוּ׃
2c110100e9	וַיְהִי אַחֲרֵי נָסְעָם בְּאַמְפִפּוֹלִיס וּבְאַפֹּלוֹנְיָא בָּאוּ אֶל־תַּסְלוֹנִיקִי וְשָׁם בֵּית־כְּנֵסֶת לַיְּהוּדִים׃
2c110200db	וּפוֹלוֹס כַּאֲשֶׁר הִסְכִּין בָּא אֲלֵיהֶם וַיִּתְוַכַּח עִמָּהֶם בְּהָבֵן בַּמִּקְרָא שְׁלֹשֶׁת יְמֵי שַׁבָּתוֹת׃
2c1103016c	הוּא בֵּאֵר לָהֶם אֶת־הַכְּתוּבִים וַיְבוֹנְנֵם כִּי־כֵן נִגְזָר אֲשֶׁר יְעֻנֶּה הַמָּשִׁיחַ וְיָקוּם מֵעִם הַמֵּתִים וְכִי־זֶה יֵשׁוּעַ אֲשֶׁר בִּשְׁמוֹ אֲנִי קֹרֵא לָכֶם הוּא זֶה הַמָּשִׁיחַ׃
2c11040137	וַיַּט לְבַב מִסְפָּר אַחֲרָיו וַיִּדְבְּקוּ בְפוֹלוֹס וּבְסִילָא וְגַם־יְוָנִים רַבִּים אֲשֶׁר יָרְאוּ אֶת־הָאֱלֹהִים וְנָשִׁים נִכְבָּדוֹת בְּמִסְפָּר לֹא־מְעָט׃
2c110501b0	וַיְקַנְאוּ בָם הַסּוֹרְרִים שֶׁבַּיְהוּדִים וַיְלַקְּטוּ לָהֶם מִסְפַּר אֲנָשִׁים רֵיקִים מִן־הַשְּׁוָקִים וַיִּקְרְאוּ מָלֵא לִהְיוֹת מְהוּמָה בָעִיר וְאָז נָסַבּוּ עַל־בֵּית יָסוֹן וַיָּהִינוּ לְהוֹצִיאָם הַחוּצָה אֶל־הָעָם׃
2c1106016e	וַיְהִי כִּי לֹא־מְצָאוּם וַיִּסְּחוּ אֶת־יָסוֹן וַאֲחָדִים מִן־הָאַחִים עַד־לִפְנֵי רָאשֵׁי הָעִיר וַיִּקְרָאוּ אֵלֶּה הַמַּרְגִּיזִים אֶת־כָּל־הָאָרֶץ מִקָּצֶה הִנֵּה הֵם בָּאוּ גַּם־הֵנָּה׃
2c1107011f	וְיָסוֹן הוּא הַמְאַסֵּף אֹתָם בְּצֵל קֹרָתוֹ וְאֵלֶּה כֻלָּם מַעֲבִרִים עַל־דָּתֵי הַקֵּיסָר וְגַם־כִּי אֹמְרִים יֶשְׁנוֹ מֶלֶךְ אַחֵר וְהוּא יֵשׁוּעַ׃
2c11080095	וַיִּהְיוּ מְיָרְאִים אֶת־הָעָם וְאֶת־רָאשֵׁי הָעִיר אֲשֶׁר שָׁמְעוּ אֶת־זֹאת׃
2c11090085	וְהֵם לָקְחוּ עֲרֻבָּה מֵאֵת יָסוֹן וּמֵאֵת הָאֲחֵרִים וַיְשַׁלְּחוּם׃
2c110a012a	וְהָאַחִים הֵחִישׁוּ מִפְלָט לְפוֹלוֹס וְסִילָא לַיְלָה וַיְשַׁלְּחוּם אֶל־בְּרוֹאָה וְהֵם כְּבֹאָם שָׁמָּה בָּאוּ אֶל־בֵּית־הַכְּנֵסֶת אֲשֶׁר לַיְּהוּדִים׃
2c110b0132	וְאֵלֶּה הָיוּ טוֹבִים מִיהוּדֵי תַסְלוֹנִיקִי כִּי לָקְחוּ אֶת־הַדָּבָר בְּלֵב מָלֵא רָצוֹן וַיַּחְקְרוּ בַכְּתוּבִים יוֹם יוֹם לָדַעַת אִם כִּדְבָרָם כֶּן־הוּא׃
2c110c00b4	וְרַבִּים מֵהֶם הֶאֱמִינוּ וְנָשִׁים גְּבִירוֹת יְוָנִיּוֹת וַאֲנָשִׁים בְּמִסְפָּר לֹא־מְעָט׃
2c110d011f	כִּשְׁמֹעַ הַיְּהוּדִים בְּתַסְלוֹנִיקִי כִּי גַם־בִּבְרוֹאָה פּוֹלוֹס מַשְׁמִיעַ אֶת־דְּבַר אֱלֹהִים וַיָּבֹאוּ וַיַּצּוּ אֶת־הֲמוֹן הָעָם גַּם־פֹּה׃
2c110e00dd	וְהָאַחִים הֵחִישׁוּ לְמַלֵּט אֶת־פּוֹלוֹס וַיְהִי הוּא הָלַךְ עַד־הַיָּם וְסִילָא וְטִימוֹתִיּוּס נִשְׁאֲרוּ בָזֶה׃
2c110f0166	וַאֲשֶׁר אָרְחוּ לְחֶבְרָה עִם־פּוֹלוֹס הוֹלִיכֻהוּ עַד אַתִּינַס אֲשֶׁר שָׁם שָׂם פּוֹלוֹס בְּפִיהֶם צָו לְסִילָא וּלְטִימוֹתִיּוֹס כִּי־יָבֹאוּ אֵלָיו עַד־מְהֵרָה וְהֵם שָׁבוּ וַיֵּלֵכוּ׃
2c111000fe	עוֹד פּוֹלוֹס מְצַפֶּה לִקְרַאת בֹּאָם בְּאַתִּינַס וְרוּחוֹ הִתְמַרְמַר בְּקִרְבּוֹ מִמַּרְאֵה עֵינָיו כִּי מָלְאָה הָעִיר אֱלִילִים׃
2c1111010a	וַיְדַבֵּר עַל־כָּכָה עִם־הַיְּהוּדִים בְּבֵית־הַכְּנֵסֶת וְעִם־יִרְאֵי אֱלֹהִים וְגַם־בְּשַׁעַר יוֹם יוֹם עִם־כָּל־הַנִּמְצָאִים שָׁמָּה׃
2c1112027a	וַיִּתְעָרְבוּ אִתּוֹ גַּם־אֲחָדִים מֵחַכְמֵי בֵּית אַפִּיקוֹרוֹס הַמְכַחֲשִׁים וּמֵחַכְמֵי בֵּית הָאִסְטְוָה הַמַּצְנִיעִים וַיְהִי אֵלֶּה אֹמְרִים לוֹ מַה־לֶּאֱוִיל שְׂפָתַיִם הַזֶּה מָה הוּא אֹמֵר לְהַגִּיד וְאֵלֶּה כְּפִי הַנִּשְׁמָע הוּא מְלַמֵּד דַּעַת אֱלֹהִים זָרִים יַעַן כִּי־בִּשֵּׂר אֶת־יֵשׁוּעַ וְאֶת־תְּחִיַּת הַמֵּתִים׃
2c111300ea	וַיִּקָּחֻהוּ אֶל־הָאַרְיוֹפָגוֹס וַיֹּאמְרוּ מִי־יִתֵּן וְיָדַעְנוּ מַה־הִיא הַתּוֹרָה הַחֲדָשָׁה אֲשֶׁר אַתָּה מְלַמֵּד׃
2c111400b6	כִּי־דְבָרִים זָרִים אַתָּה קוֹרֵא בְאָזְנֵינוּ עַל־כֵּן אֲנַחְנוּ מְבַקְשִׁים לְדֵעָה מָה הִיא׃
2c1115012d	וְהָאַתִּינִיִּים כֻּלָּם וְגַם־הַנָּכְרִים הַמִתְגּוֹרְרִים בְּקִרְבָּם הֵם הֵכִינוּ לִבָּם רַק לַחֲדָשׁוֹת אִם־כֹּה לְסַפֵּר אוֹ כֹה לִשְׁמֹעַ מַה־יְסֻפָּר׃
2c11160131	וּפוֹלוֹס הָעֳמָד בְּתוֹךְ הָאַרְיוֹפָגוֹס בַּתַּוֶךְ וַיֹּאמַר אַתֶּם אַנְשֵׁי אַתִּינַס רָאֹה רָאִיתִי אֶתְכֶם כִּי לִבְּכֶם עִמָּכֶם בְּכֹל אֲשֶׁר תִּנְהָגוּ׃
2c111701b9	כִּי בְּהִתְהַלְּכִי כֹה וְעַל־עֲבֹדֹתֵיכֶם לֵאלֹהֵיכֶם אֲנִי הִתְבֹּנַנְתִּי וָאֵרֶא גַם־מִזְבֵּחַ וְעָלָיו כָּתוּב לֵאלֹהִים לֹא־יְדַעֲנוּהוּ וְהִנֵּה הַלָּז אֲשֶׁר תְּכַבְּדוּן אֹתוֹ וְלֹא תֵדָעוּהוּ אֹתוֹ אֲנִי מוֹדִיעַ אֶתְכֶם׃
2c11180110	הָאֱלֹהִים אֲשֶׁר בָּרָא אֶת־הָעוֹלָם וְכֹל אֲשֶׁר־בּוֹ הוּא אֲדֹנֵי הַשָּׁמַיִם וְהָאָרֶץ לֹא יֵשֵׁב בְּמִקְדָּשִׁים אֲשֶׁר עָשׂוּ לוֹ יָדָיִם׃
2c111900f2	אַף לֹא־יְכַלְכְּלֻהוּ יְדֵי אָדָם כְּמוֹ אִם צֹרֶךְ לְפָנָיו לְמִי וָמִי הֲלֹא הוּא הַנֹּתֵן חַיִּים וּנְשָׁמָה וְהַכֹּל לַכֹּל׃
2c111a011c	וְהוּא עָשָׂה מִדָּם אֶחָד אֶת־כָּל בְּנֵי־אָדָם לָשֶׁבֶת עַל־כָּל־פְּנֵי הָאֲדָמָה וַיְמֹדֵד מִדַּת יְמֵיהֶם וּלְמוֹשְׁבוֹתֵיהֶם גְּבוּלוֹת הִצִּיב׃
2c111b00f4	לְמַעַן אֲשֶׁר יִדְרְשׁוּ אַחֲרֵי אֱלֹהִים אוּלַי יְמַשְּׁשֻׁהוּ וְיִמְצָאֻהוּ אַף כִּי־רָחוֹק אֵינֶנּוּ מִכָּל־אֶחָד מִמֶּנּוּ׃
2c111c00e9	כִּי־בוֹ אֲנַחְנוּ חַיִּים מִתְעוֹרְרִים וְהוִֹים כַּאֲשֶׁר גַּם־שֹׁרְרוּ מִכֶּם אֲנָשִׁים כִּי בְּנֵי־אֱלֹהִים אֲנָחְנוּ׃
2c111d013a	וְאַף גַּם־בִּהְיוֹתֵנוּ בְנֵי אֱלֹהִים חָלִילָה לָּנוּ מֵחֲשֹׁב כִּי דֹמֶה הָאֱלֹהִים לַזָּהָב לַכֶּסֶף אוֹ לָאָבֶן אוֹ לְתַבְנִית כֹּל מַעֲשֶׂה אָדָם חָרָשׁ וְחשֵׁב׃
2c111e0110	אֶת־יְמֵי אֵין־דַּעַת הֶעֱבִיר אֵפוֹא אֱלֹהִים וְעַל־כֵּן הוּא מְצַוֶּה אֶת־בְּנֵי הָאָדָם עַתָּה כִּי בֹא יָבֹאוּ אֵלָיו מִכָּל־קְצוֹת הָאָרֶץ׃
2c111f012c	כִּי הוּא הִקְדִּישׁ יוֹם מוֹעֵד לִשְׁפָּט־בּוֹ תֵבֵל בְּצֶדֶק עַל־יַד אִישׁ אֲשֶׁר בָּחַר בּוֹ וַיִּתְּנֵהוּ נֶאֱמָן לַכֹּל בַּהֲקִיצוֹ אֹתוֹ מֵעִם־הַמֵּתִים׃
2c112000ed	וַיְהִי כְּשָׁמְעָם אֹתוֹ מְדַבֵּר מִקּוּם הַמֵּתִים אֵלֶּה לָעֲגוּ־לוֹ וְאֵלֶּה אָמְרוּ עוֹד נִשְׁמָעֲךָ עַל־כָּכָה שֵׁנִית׃
2c11210047	וַיֵּצֵא פוֹלוֹס מִתּוֹכָם וַיֵּלַךְ׃
2c11220169	וּקְצַת אֲנָשִׁים דָּבְקוּ אַחֲרָיו וַיַּאֲמִינוּ וּבֵינֵיהֶם גַּם־דִּיּוֹנוּסְיוֹס אֶחָד מֵהַשֹּׁפְטִים מִן־אַרְיוֹפָגוֹס וְאִשָּׁה אַחַת אֲשֶׁר שְׁמָהּ דָּמָרִיס וְעוֹד אֲחֵרִים עִמָּהֶם׃
2c1201008c	אַחַר הַדְּבָרִים הָאֵלֶּה עָזַב אֶת־אַתִּינַס וַיָּבֹא אֶל־קוֹרִנְתּוֹס׃
2c12020212	וַיִּמְצָא שָׁם אִישׁ יְהוּדִי אֲשֶׁר הָיָה שְׁמוֹ עֲקִילַס וְהוּא יְלִיד פּוֹנְטוֹס וְעַתָּה זֶה מִקָּרוֹב בָּא מֵאִיטַלְיָא עִם־פְּרִיסְקְלָה אִשְׁתּוֹ כִּי מֵאֵת קְלוֹדְיוֹס יָצָא צָו אֶל־כָּל־הַיְּהוּדִים לְהֵעָלוֹת מִקֶּרֶב רוֹמִי וּלְעָזְבָהּ וַיָּבֹא אֲלֵיהֶם אֶל־מְעוֹנָם׃
2c120300fb	וְיַעַן כִּי הָיוּ בַעֲלֵי מְלָאכָה אַחַת עַל־כֵּן הוֹאִיל לָשֶׁבֶת עִמָּהֶם וַעֲשׂה בַמְּלָאכָה וְהֵם אֹרְגִים מַסֵּכוֹת לְאֹהָלִים׃
2c12040100	וּבְכָל־שַׁבָּת וְשַׁבָּת דִּבֶּר עִם־הַיְּהוּדִים בְּבֵּת־הַכְּנֵסֶת וַיְלַמֵּד דַּעַת גַּם־אֶת־הַיְּהוּדִים וְגַם־אֶת־הַיְּוָנִים׃
2c1205014c	וַיְהִי כְּבֹא אֵלָיו סִילָא וְטִמוֹתִיּוֹס מִמַּקְדּוֹנְיָא הִתְנַדֵּב פּוֹלוֹס כֻּלּוֹ רַק לִדְבַר הַדָּבָר בְּהַרְאֹתוֹ לַיְּהוּדִים בָּרוּר כִּי יֵשׁוּעַ הוּא הַמָּשִׁיחַ׃
2c12060128	וְהֵם כִּי מָרוּ וְגַם־גִּדְּפוּ וַיְנַעֵר הוּא אֶת־חִצְנוֹ וַיֹּאמֶר אֲלֵיהֶם דִּמְכֶם בְּרֹאשְׁכֶם וַאֲנִי נָקִי מִכֶּם אֵלְכָה־לִּי עַתָּה אֶל־הַגּוֹיִם׃
2c12070100	וַיֵּלֵךְ מִשָּׁם וַיָּבֹא בֵּיתָה אִישׁ אֶחָד טִיטוֹס יוּסְטוֹס הָיָה שְׁמוֹ הוּא הָיָה יְרֵא אֱלֹהִים וּבֵיתוֹ אֵצֶל בֵּית־הַכְּנֵסֶת׃
2c1208012f	וּקרִיסְפּוֹס רֹאשׁ בֵּית־הַכְּנֵסֶת הֶאֱמִין בָּאָדוֹן הוּא וְכָל־בֵּיתוֹ עִמּוֹ וְעוֹד קוֹרִנְתִּים רַבִּים כַּאֲשֶׁר שָׁמְעוּ כֵּן הֶאֱמִינוּ וַיִּטָּבֵלוּ׃
2c120900be	וּדְבַר הָאָדוֹן הָיָה אֶל־פּוֹלוֹס בֶּחָזוֹן לָיְלָה אַל־תִּירָא כִּי אִם־תְּדַבֵּר וְלֹא תֶחֱרָשׁ׃
2c120a00a3	כִּי־עִמְּךָ אָנֹכִי וְאִישׁ לֹא יִגַּע בְּךָ לְרָעָה כִּי עַם־רָב לִי בָּעִיר הַזֹּאת׃
2c120b009c	וַיֵּשֵׁב שָׁם שָׁנָה וְשִׁשָּׁה חֳדָשִׁים וַיְלַמֵּד אֹתָם אֶת־דְּבַר הָאֱלֹהִים׃
2c120c010e	וַיְהִי אָז גַּלִּיּוֹן נְצִיב מְדִינַת אֲכַיָּא וְהַיְּהוּדִים כֻּלָּם יַחַד קָמוּ עַל־פּוֹלוֹס וַיַּעֲמִידוּהוּ לִפְנֵי כִסֵּא הַמִּשְׁפָּט׃
2c120d00c0	וַיֹּאמְרוּ הָאִישׁ הַזֶּה מְפַתֶּה אֶת־הָעָם לַעֲבֹד אֶת־הָאֱלֹהִים בַּעֲבֹדָה אֲשֶׁר לֹא כַתּוֹרָה׃
2c120e01a1	וְאוּלָם אַךְ־הוֹאִיל פּוֹלוֹס לִפְתֹּחַ שְׂפָתָיו וְגַלִּיּוֹן הִקְדִּימוֹ וַיֹּאמֶר אֶל־הַיְּהוּדִים לוּ אִם־הָיָה דִין רֶשַׁע אוֹ דְּבַר בְּלִיַּעַל כִּי־אָז נָשָׂאתִי אֶת־פְּנֵיכֶם אַתֶּם הַיְּהוּדִים כַּמִּשְׁפָּט׃
2c120f0187	אֶפֶס כִּי־רַק בְּתוֹכָחוֹת עַל־מִלִּין עַל־שִׂים שֵׁמוֹת וְעַל־תּוֹרַתְכֶם אַתֶּם נְדוֹנִים הָבוּ לָכֶם עֵצָה אַתֶּם לְבַדְּכֶם לָדַעַת מָה הַטּוֹב וַאֲנִי אֵין נַפְשִׁי לִהְיוֹת שֹׁפֵט עַל־הַדָּבָר הַזֶּה׃
2c1210005c	וַיְגָרֶשׁ אֹתָם מִלִּפְנֵי כִסֵּא הַמִּשְׁפָּט׃
2c1211010d	וַיִּתְפְּשׂוּ כֻלָּם אֶת־סוֹסְתְּנִיס רֹאשׁ בֵּית הַכְּנֵסֶת וַיַּכֻּהוּ לִפְנֵי־כִסֵּא הַמִּשְׁפָּט וְגַלִּיוֹן רֹאֶה וַיְהִי כְּלֹא רֹאֶה׃
2c121201e1	וַיִּתְמַהְמַהּ שָׁם פּוֹלוֹס עוֹד יָמִים רַבִּים אַחַר כֵּן נִפְרַד מֵעִם הָאַחִים וַיֵּשֵׁב בָּאֳנִיָּה לָלֶכֶת אֶל־סוּרְיָא וְהוּא לָקַח עִמּוֹ אֶת־פְּרִיסְקְלָה וְאֶת־עֲקִילַס וַיְגַלַּח אֶת־רֹאשׁוֹ בְּקַנְכְּרַי כִּמְלֹאת יְמֵי נִדְרוֹ אֲשֶׁר נָדָר׃
2c121300ca	וַיָּבֹאוּ לְאֶפְסוֹס וַיַּנִּיחֵם שָׁם וְהוּא בָא אֶל־בֵּית־הַכְּנֵסֶת וַיְדַבֶּר־שָׁם אֶל־הַיְּהוּדִים׃
2c1214009f	וְהֵם חִלּוּ אֶת־פָּנָיו כִּי יַאֲרִיךְ לָשֶׁבֶת בְּתוֹכָם רַק הוּא לֹא נֵאוֹת לָהֶם׃
2c1215014c	כִּי אִם־נִפְרַד מֵעִמָּם בְּאָמְרוֹ חַיָּב אֲנִי לָחֹג אֶת־הֶחָג הַבָּא בִּירוּשָׁלַיִם וְאַחֲרֵי־כֵן אָשׁוּבָה אֲלֵיכֶם אִם־יִרְצֶה יְהוָֹה וַיֵּלֶךְ דֶּרֶךְ יָם מֵאֶפְסוֹס׃
2c121600bc	וַיָּבֹא אֶל־קִסְרִין וַיַּעַל לִפְקֹד אֶת־הָעֵדָה לְשָׁלוֹם וַיָּשָׁב לָרֶדֶת אֶל־אַנְטְיוֹכְיָא׃
2c1217010b	וַיְהִי שָׁם יָמִים אֲחָדִים וַיֵּצֵא מִשָּׁם וַיַּעֲבֹר הָלֹךְ וְעָבֹר בְּאֶרֶץ גָּלַטְיָא וּפְרוּגְיָא וַיְאַמֵּץ אֶת־כָּל־הַתַּלְמִידִים׃
2c12180105	וְאִישׁ אֶחָד יְהוּדִי בָּא אֶל־אֶפְסוֹס שְׁמוֹ אַפּוֹלוֹס וַאֲלֶכְסַנְדְּרִיָּא עִיר מוֹלַדְתּוֹ אִישׁ דְּבָרִים וּמָהִיר בַּכְּתוּבִים׃
2c12190133	הוּא יָדַע אֶת־דֶּרֶךְ הָאָדוֹן וְרוּחוֹ כִּלַהַט יָצָא וַיְדַבֵּר וַיְלַמֵּד הֵיטֵב אֶת־דִּבְרֵי יֵשׁוּעַ רַק הוּא לֹא יָדַע כִּי אִם־טְבִילַת יוֹחָנָן לְבַדָּהּ׃
2c121a0177	וְהוּא הֵחֵל לְהַשְׁמִיעַ דְּבָרוֹ בְּאֹמֶץ לֵב בְּבֵית הַכְּנֵסֶת וַיִּשְׁמְעוּ אֹתוֹ פְּרִיסְקְלָה וַעֲקִילַס וַיְבִיאֻהוּ אֶל־בֵּיתָם וַיְבוֹנְנוּהוּ אֶת־דֶּרֶךְ הָאֱלֹהִים עוֹד יוֹתֵר מְפֹרָשׁ׃
