0100000014	Англунимос
2a0526004b	Най, тэрно мол шон андэ нэвэ морцянэ гонэ.
2a052700a9	И нико, ко пэл пхурано мол, на закамэла тэ пэл тэрно, колэстар со пхэнэла: «Пхурано мол фэдэр».
2a060100e4	Екхвар андэ субота, кала Исусо прожалас маляса, кай барёлас див, Лэстирэ сытярнэ сшынэнас о ворзо, кхосэнас андэ васт и ханас.
2a0602009c	Варисавэ андай фарисеёря пхэндэ: — Сости тумэ терэн кода, со нащи тэ терэ андэ субота?
2a060300a7	Исусо пхэндя лэнди: — Чи тумэ на бинэнас, со тердя Давидо, сар вов и лэстирэ мануша бокхайле?
2a0604011e	Вов зажыля андо чер Дэвлэско, ля марно, саво тховэнас англав Дэл и саво нащи сас тэ хал никасти, сар качи лэ рашаенди, халя ежэно и дя тэ хал пэстирэ манушэнди.
2a0605006e	Исусо пхэндя лэнди: — Шаво Манушыкано исин Хулай ла суботнё!
2a060600aa	Андэ авэр субота Исусо зажыля андэ синагога и сытярэлас. Котэ сас мануш шукэ правонэ вастэса.
2a060700f7	Сытяримаря Законостирэ и фарисеёря дикхэнас пала Лэстэ, на авэла ли Вов тэ састярэл андэ субота, колэстар со родэнас тэ ужылисарэн Лэс.
2a060800d1	Нэ Исусо жангля, со онэ гындонас, и пхэнэл манушэсти шукэ вастэса: — Вщи, выжа по машкар! Мануш вщиля и выжыля англэ.
2a060900f1	Исусо пхэндя лэнди: — Мэ пушав тумэндар: со домукэлпэ тэ терэс андэ субота, лашымос чи выритимос? Тэ фэрисарэл жувимос чи тэ хасавэл?
2a060a00d1	Вов подикхля пэр лэндэ и пхэндя колэсти манушэсти: — Процырдэ тиро васт. Вов процырдя, и лэско васт ашыля састярдо.
2a060b007f	Онэ жэ фартэ холяйле и дэнас дума машкар пэстэ, со тэ терэн лэ Исусоса.
2a060c009e	Андэ кодья вряма Исусо жыля по плай тэ мангэлпэ Дэвлэс и всавори рят сас андо мангимос.
2a060d00ba	Сар авиля дес, Вов акхардя Пэстирэн сытярнэн и вытидя лэндар дэшудуй, савэн проакхардя апостолонэнца:
2a060e00bd	Симонос, савэс проакхардя Пэтро, пхралэс Симоностирэс Андреёс, Иаковос и Иоанос, Филипос и Варфоломеёс,
2a060f0082	Матфеёс и Фомас, шавэс Алфеёстирэс Иаковос, Симонос, проакхардо Зилото,
2a06100079	шавэс Иаковостирэс Иудас и Иудас Искариотос, саво прэдя лэ Исусос.
2a06110178	Исусо сжыля плаестар лэнца тэлэ и тэрдиля по биплаенго тхан. Котэ стидэпэ бут Лэстирэ сытярнэ и фартэ бут мануша пай всавори Иудея и Иерусалимо, а кадя ж андай фороря Тиро и Сидоно, савэ по брэго барэ паеско.
2a061200d4	Онэ авиле тэ ашунэн Исусос и тэ састярэн насвалимастар. Мануша, савэ грыжонаспэ найжужэндар духондар, састярэнаспэ.
2a061300ac	Всаворэ мануша камэнас тэ лэнпэ Исусостэ, важ кода со Лэстар сжалас зор и састярэлас всаворэн.
2a061400af	Вов вазгля якха пэ сытярнэ и ля тэ пхэнэл: — Бахталэ тумэ, чёрэ! Тумаро исин Тхагаримос Дэвлэско!
2a061500b5	Бахталэ тумэ, ко бокхалэ икхатар! Тумэ чялёна! Бахталэ тумэ, ко икхатар ровэл! Тумэ авэна тэ радонпэ!
2a061600e6	Бахталэ тумэ, сар мануша тумэн фартэ на камэна, кала тумэн вытрадэна, акушэна и магрисарэна тумаро алав палав Шаво Манушыкано.
2a061700d7	Челэн андэ кодва дес баря лошаса! Баро потинимос тумэнди по болыбэн! Кадя терэнас пророконэнца дада калэ манушэндирэ.
2a06180065	Нэ бида тумэнди, барвалэ! Тумэ ужэ линэ пэско путинимос.
2a061900d3	Бида тумэнди, ко чялэ икхатар! Тумэ авэна бокхалэ. Бида тумэнди, ко икхатар асалпэ! Тумэ авэна тэ грыжонпэ и тэ ровэн.
2a061a00c7	Бида тумэнди, кала всаворэ дэн дума пала тумэндэ лашымос! Кадя лэндирэ папоря лашарэнас хохавнэн пророконэн.
2a061b00ba	— Мэ пхэнав тумэнди, ко ашунэн Ман: камэн тумарэн вражымарен, терэн лашымос колэнди, ко на камэл тумэн.
2a061c00ae	Бахталисарэн колэн, ко дэл амрая тумэн, и мангэн Дэвлэс палай кола, савэ терэн тумэнди наймишто.
2a061d00bc	Колэсти, ко арэсэла тут пай чям, подтхов авэр. Колэсти, ко залэл тутар упраи йида, отдэ лэсти и пэско гад.
2a061e007b	Всаворэнди, ко тутэ мангэл, дэ; и сар ко залэла тиро, на манг палпалэ.
2a061f0074	Терэн лэ манушэнди кода, со тумэ камэн, соб онэ тэ терэн тумэнди.
2a062000c9	Сар тумэ камэн качи колэн, ко тумэн камэл, пала со тумэн тэ наисарэ? И бэзэхалэ мануша камэн колэн, ко лэн камэл.
2a062100d1	Сар тумэ терэн лашымос колэнди, ко терэл мишто тумэнди, пала со тумэнди тэ наисарэ? И бэзэхалэ мануша терэн кадя жэ.
2a0622016c	Сар тумэ дэн ловэ андо ужылимос качи колэнди, савэндар патян, со залэна палпалэ, пала со тумэнди тэ наисарэ? И бэзэхалэ мануша дэн андо ужылимос бэзэхалэнди и ажутярэн тэ залэн палпалэ вся, скачи динэ.
2a062301c4	Ай тумэ камэн тумарэн вражымарен, терэн лэнди лашымос и дэн андо вужылимос, на ажутярэн, кай онэ отдэна палпалэ. Тунчи тумаро потинимос авэла баро, тумэ авэна шавэнца Майбарэстирэнца. Колэстар со Вов тангосарэл и колэн, савэ на наисарэн, и холятирэ.
2a06240053	Авэнтэ тангимасти, сар тангимаско Дад тумаро.
2a062500dc	На сындосарэн, и тумэ на авэна сындосардэ. На осындосарэн, и тумэ на авэна осындосардэ. Эртисарэн, и тумэ авэна эртисардэ.
2a06260126	Дэнтэ, и тумэнди кадя ж дэлапэ. Пхэрдэ гонэса шона и инке притасавэна, дэна тумэнди андо брэк, со авэла тэ росшолдёл. Савя мераса тумэ бинэн, кадя бинэна и тумэнди.
2a062700b0	Исусо роспхэндя лэнди кацави дума: — Сар коро андярэла корэс? На пэрэна ли онэ лэдуй андэ ганади?
2a062800ac	Сытярно на майбаро пэстирэ сытяримарестар. Нэ сар высытёла, тунчи авэла, сар пэско сытяримари.
2a062900a5	Со дикхэс по кашторо андэ якх пэстирэ пхралэстэ, ай андэ пэстири якх на додикхэс баро кашт?
2a062a01bf	Сар ту пхэнэса пэстирэ пхралэсти: «Пхрала, дэ, мэ вылава кашторо андай якх тири»? Сар ту на дикхэс баро кашт андэ пэстири якх? Ту, дуемуенго! Вылэ майанглал баро кашт андай якх тири, и тунчи дикхэса, сар тэ вылэ кашторо андай якх пэстирэ пхралэстар.
2a062b0081	По лашо дрэво на барёл найлашо плодо, и вырито дрэво на анэн лашо плодо.
2a062c00bd	Кажно дрэво ужанэлпэ пай пэско плодо. На стидэн инжыро пав тэрно и виноградо пав пусаимаско кустарнико.
2a062d0136	Андав води, пхэрдярдо лашымаса, лашо мануш выандярэл лашымос, а холяко мануш выандярэл холи андав пэско води, пхэрдярдо холяса. Со кав мануш андо води, кода лэстэ и пэ шыб.
2a062e0071	Со тумэ акхарэн Ман: «Рай! Рай!» — а на терэн кода, со Мэ пхэнав?
2a062f00bb	Мэ пхэнава тумэнди, пэр кастэ мэзимэ кодва, ко авэл Мандэ, ашунэн лава Мэрнэ и терэл кадя, сар Мэ пхэнав.
2a06300162	Вов мэзимэ по мануш, саво терэлас чер. Вов выганадя бари ганади и тховдя фундаменто по бар. Кала паи вазгляпэ и лэн выжыля андав брэго и жыля по чер, вой на схаладя лэс, колэстар со сас тердо мишто.
2a0631016b	Ай кодва, ко ашунэл Мэрнэ лава и на терэл кадя, сар Мэ пхэнав, вов мэзимэ по мануш, саво тердя чер пэ пхув бифундаментоско. Сар качи лэн жыля по чер, вов андэ кодья вряма роспхагляпэ и роспэляпэ всаворо.
2a07010076	Сар пэрэашыля тэ дэл дума кай мануша, Исусо жыля андо Капернаумо.
2a070200d9	Котэ, кав екх халавдо, пхурэдэр англай шэл халавдэ, сас бутярно, вов лэс фартэ танголас. Вов сас фартэ насвало и мэрэлас.
2a070300ea	Кала халавдо ашундя палав Исусо, бишалдя Лэстэ иудеёндирэн пхурэдэрэн тэ мангэн Лэс, кай тэ авэл и тэ састярэл лэстирэ бутярнэс.
2a070400b1	Пхурэдэра авиле кав Исусо и линэ тэ мангэн Лэс: — Кадва мануш ашэл, кай Ту тэ терэс када важ лэсти.
2a0705005a	Вов камэл амарэн манушэн и тердя амэнди синагога.
2a07060159	Исусо жыля лэнца. Кала Вов поджалас кав чер, пхурэдэр шэлэнго бишалдя Лэстэ пэстирэ амалэн тэ пхэнэн: — Рай, на лэ пэр пэстэ пхаримос. Мэ на ашав, кай ту тэ зажас талай ушарди мэрнэ черэстирэ.
2a07070081	Мэ ежэно на ашав тэ авав Тутэ. Нэ пхэн качи лав, и мэрно бутярно састёла.
2a070801a7	Мэ ежэно кандав, со припхэнэн манди мэрнэ пхурэдэра. И мандэ исин майцэкнэ мандар халавдэ, савэ кандэн ман. Мэ пхэнав екхэсти: «Жа!» — и жал, аврэсти: «Ав кардэ!» — и кодва авэл. Бутярнэсти пэстирэсти пхэнав: «Стер када!» — и вов терэл.
2a0709010b	Исусо шундя када, дивосайля, обрисайля кай мануша, савэ жанас пала Лэстэ, пхэндя: — Пхэнав тумэнди, со и андэ Израилё Мэ на аракхлем кацаво патимос.
2a070a007a	Кола, савэн бишалдэ, рисайле андо чер, аракхле бутярнэс састярдэса.
2a070b00d3	На прожыля бут вряма, тунчи Исусо жыля андо форо, саво акхарэлпэ Наино. Лэса жанас Лэстирэ сытярнэ и бут авэр мануша.
2a070c010c	Кала Вов поджыля кай форости удар, котар выандярэнас мулэс. Вов сас екх шаво кай дэй, ай вой сас пхивли. Екхэтанэ ласа андав форо выжанас бут мануша.
2a070d0088	Кала Рай удикхля кала жувля, Вов тангосардя ла. — На ров, — пхэндя Вов лати.
2a070e00bf	Тунчи Вов поджыля, ляпэ кав сикрио. Кола, ко андярэлас лэс, ашыле. Исусо пхэндя: — Шаворо, пхэнав тути: вщи!
2a070f0065	Муло бэшля и ля тэ дэл дума. Исусо отдя лэс лэстиря дати.
2a071000ff	Пэ всаворэ, ко сас котэ, авиля бари дар, и мануша линэ тэ лашарэн Дэвлэс и тэ пхэнэн: — Баро пророко авиля амэндэ! Дэл авиля кай Пэстирэ мануш!
2a07110079	Кацави дума розжыляпэ пала Лэстэ пай всавори Иудея и всавори пхув.
2a071200ab	Сытярнэ Иоаностирэ роспхэндэ лэсти пала вся кода. Тунчи Иоано акхардя пэстэ дуен андар лэндэ.
2a071300a3	И бишалдя лэн кав Рай тэ пушэн: — Ту кодва, Ко трэбуй тэ авэл, или амэнди тэ ажутярас аврэс?
2a07140101	Кала мурша авиле кав Исусо и пхэндэ: — Иоано Болдэмарё бишалдя амэн Тутэ тэ пушас: «Ту Кодва, Ко трэбуй тэ авэл, или амэнди тэ ажутярас аврэс?»
2a071500e7	Андэ кодья вряма Исусо састярдя бутэн манушэн насвалимастар, дукхатар и холятирэ духондар, и бутэнди корэнди отпхэрнадя якха.
2a07160175	Исусо пхэндя бишалдэнди: — Жантэ, роспхэнэнтэ Иоаности, со тумэ дикхле и шундэ: корэ дикхэн, бангэ пхирэн, насвалэ проказаса жужарэнпэ латар, кашукэ ашунэн, мулэ жундён, и чёрэнди роспхэнэлпэ Радосаво Лав.
2a07170057	Бахтало кодва, ко на хасарэла патимо андэ Мандэ!
2a0718010e	Кала бишалдэ сытярнэ Иоаностирэ ужыле, Исусо ля тэ дэл дума манушэнди палав Иоано: — Со тумэ пхирдэ тэ дикхэн андэ мал? Чяр, сави тинолпэ балвалятар?
2a07190108	Тунчи, со тумэ пхирдэ тэ дикхэн? Манушэс, урявдэс андэ барвали йида? Най! Кола, савэ урявдэ андэ ковли йида, жувэн барвалэс андэ тхагарэндирэ чера.
2a071a00a0	Тунчи, со тумэ пхирдэ тэ дикхэн? Пророкос? Кадя, пхэнав тумэнди, со майбарэс, сар пророко.
2a071b00d0	Вов кодва, пала кастэ пистросардо: «Акэ, Мэ бишалав англав Тутэ Мэрнэс ангелос, саво гытола англав Тутэ Тиро дром».
2a071c00f9	Пхэнав тумэнди: колэндар, савэн бэяндэ жувля, нинай майбарэс пророкос, сар Иоано. Но майцэкно андэ Тхагаримос Дэвлэско — майбаро лэстар.
2a071d00d0	Всаворэ мануша тай стидэмаря налогонэндирэ, ашундэ и прижангле Дэвлэско дром чячюно и прилинэ болдимос Иоаноско.
2a071e00b0	А фарисеёря и сытяримаря Законостирэ отпхэндэпэ тэ терэ, со пхэндя о Дэл, и на болдэпэ Иоаностар.
2a071f0093	Исусо пхэндя: — Пэр кастэ тунчи шонпэ мануша кала родостар? Пэр кастэ онэ мэзимэ?
2a07200130	Онэ — сар бэяцэ, савэ бэшэн пэ тарго и цыписавэн ек екхэсти: «Амэ дилабасас тумэнди пэ дудка, и тумэ на цэлэнас. Амэ дилабасас тумэнди ровиканэ диля, и тумэ на ровэнас».
2a0721009d	Акэ, авиля Иоано Болдэмарё, на хал марно и на пэл мол, и тумэ пхэнэн: «Андэр лэстэ бэнг».
2a072200ff	Авиля Шаво Манушыкано, хал и пэл, и тумэ пхэнэн: «Акэ мануш, саво обхалпэ, и матимари, амал стидэмаренго налогонэндиро и бэзэхалэ манушэнго».
2a07230054	Нэ допхэнэлпэ годи рындонца всаворэ бэяцэнца.
2a072400b2	Екх андай фарисеёря акхардя Исусос пэстэ черэ тэ хал. Исусо авиля лэстэ черэ и бэшля палай мэсаля.
2a07250121	Андэ кадья вряма екх жувли колэ форостар, савя жанэнас сар бэзэхаля, ужангля, кай Исусо хал андо чер фарисеёско, андя кордэ кхоро андай алебастро лэ духонэнца.
2a07260138	Жувли тэрдиля палал паша пэрнэ кав Исусо, фартэ ровэлас, и ясва прастэнас Лэсти пэ пэрнэ. Вой ля тэ выкхосэл Лэсти пэрнэ пэсти балэнца, чюминдэлас лэн и макхэлас духонэнца.
2a0727012c	Кала фарисеё, саво акхардя Исусос, дикхля када, вов гындосардя: «Сар Кадва Мануш чячес тэ авэл пророкоса, то Вов жанэлас бы, со манушни, сави Лэстэ лэлпэ, — бэзэхали».
2a072800b6	Тунчи Исусо пхэндя лэсти: — Симоно, Мэ камав тути варисо тэ пхэнав. Кодва пхэндя: — Пхэн, Сытяримари.
2a072900b1	— Дуй мануша сас ужылэ екхэ и колэсти манушэсти. Екх ужыло сас панч шэл динария, а авэр — пандэша.
2a072a00df	И екхэсти, и аврэсти на сас, соса тэ рисарэн ужылимос. Колэстар вов эртисардя дуенди. Ко лэндар авэла майфартэ тэ камэл лэс?
2a072b00bf	Симоно пхэндя: — Гындосарав, кодва, касти сас будэр ужылимос эртисардо. — Ту чячес полэс, — пхэндя Исусо.
2a072c015f	Обрисайля кай жувли, пхэндя Симоности: — Ту дикхэс акала жувля? Мэ авилем адо чер тиро. Ту паи манди на дян, кай тэ выхалавав пэрнэ, а вой выхаладя Мэрнэ пэрнэ ясвэнца и выкхосля пэстирэ балэнца!
2a072d00dc	Ту на чюминдян Ман, сар авилем тутэ, а кадья жувли кола вряматар, сар Мэ зажылем тутэ, на пэрэашэл тэ чюминдэл Манди пэрнэ.
2a072e00a7	Ту на дян Манди оливково дзэто тэ макхав шэро, а вой кучютнэ духонэнца помакхля Манди пэрнэ.
2a072f00ee	Важ кода Мэ пхэнав тути: лати эртисардэпэ бут бэзэха, пала кода вой покамля кадя бут. А кодва, касти цыра эртисардо, и камэл майцыра.
2a07300062	Тунчи Иисусо пхэндя жувляти: — Тирэ бэзэха эртисардэ.
2a0731009b	Нэ авэр мануша, савэ сас паша мэсали, гындонас: «Ко Вов кацаво, со и бэзэха эртисарэл?»
2a07320076	Исусо пхэндя жувляти: — Тиро патимос фэрисардя тут. Жа лэ мироса.
2a080100be	Тунчи Исусо жыля пай фороря и гава, пхэнэлас Радосаво Лав палав Тхагаримос лэ Дэвлэско. Лэса сас дэшудуй
2a080200ef	и кадя ж сас жувля, савэн Вов састярдя холятирэ духонэндар и насвалимастар: Мария, проакхарди Магдалина, савятар выжыле эхта бэнга,
2a08030127	Иоана, ромни лэ Хузастири, саво сас пхурэдэр андо чер Иродоско, Сусана и бут авэр. Кала жувля поможысарэнас Исусости и Лэстирэ сытярнэнди андай кода, со лэндэ сас.
2a080400a5	Кав Исусо авэнас мануша андай бут фороря. Сар стидиле бут мануша, Вов роспхэндя лэнди дума:
2a08050108	— Мануш выжыля тэ шол ворзо андэ пхув. Кала вов шолас, екх ворзо пэля пашав дром, и мануша пэрнэнца потасадэ, ай чирикля упралимастирэ похале лэс.
2a08060090	Авэр, со пэля пэ баруи пхув, подбариля тай зашутиля, колэстар со котэ на сас паи.
2a08070067	Трито пэля андэ чяр, и кодья розбариляпэ тай замардя лэс.
2a08080128	Авэр пэля пэ лащи пхув, бариля и андя андэ шэл молоря майбут колэстар, со сас шуто. Тунчи Исусо вазгля гласо тай пхэндя: — Кастэ исин кана, кай тэ ашунэл, мэк ашунэл!
2a08090064	Лэстирэ сытярнэ пушле Лэстар: — Сар тэ полэ кадья дума?
2a080a012c	Исусо пхэндя: — Тумэнди дяпэ тэ жанэн гарадо пала Тхагаримос Дэвлэско, ай аврэнди вся ашэлпэ гарадя думаса, кай онэ тэ дикхэн и тэ на удикхэн, тэ ашунэн и тэ на полэн.
2a080b0062	Акэ, сар тэ полэ кадья дума: ворзо — када лав Дэвлэско.
2a080c0100	Кодва, саво пэля паша дром, исин кола, савэ ашунэн лав, нэ тунчи авэл Бэнг и чёрэл лав андай лэнго води, соб онэ тэ на патян и тэ на фэрисарэнпэ.
2a080d011f	Ворзо, саво пэля пэ баруи пхув, исин кола, ко радомаса прилэл лав, кала ашунэл лэс. Нэ лэндэ нинай корнё. Сави-то вряма патян, нэ сар авэл зумавимос, онэ отпэрэн.
2a080e0164	Ворзо, саво пэля андэ чяр, исин кола мануша, савэ ашунэн лав. Нэ авэн жувимастирэ рындоря, тай лэнди камэлпэ тэ авэн барвалэнца и шукар тэ жувэн. Вся када на дэл тэ барёл лавэсти, и вов на анэл плодо.
2a080f00fa	Ворзо, саво пэля пэ лащи пхув, — када мануша, савэ ашунэн лав, ритярэн лэс андо лашо и жужо води и анэн плодо, тэрписаримаса андэ вся вряма.
2a081000ed	Нико на запхабарэл каганцо и на тховэл лэс талай пири или талав пато, а тховэл лэс упрэ пэ вучё тхан. Тунчи, ко зажала, дикхэла удуд.
2a08110098	Нинай нисо чёрэхано, со на авэла удикхло, и гарадо, со на ужанэна и со на выжала аври.
2a081200f5	Дикхэн, сар тумэ ашунэн. Кастэ исин, колэсти инке авэла дино, а кастэ нинай, колэстар отлэлапэ и кода, со, сар лэсти гындолпэ, лэстэ исин.
2a081300bd	Кав Исусо авиле Лэстири дэй и пхрала, и на сас сар тэ поджан, колэстар со паша Лэстэ сас фартэ бут мануша.
2a0814008d	Исусости роспхэндэ: — Дэй Тири и пхрала Тирэ тэрдён аври, камэн тэ дикхэн Тут.
2a081500ba	Исусо пхэндя лэнди: — Мэрни дэй и пхрала исин кола, ко ашунэл лав Дэвлэско и терэл кадя, сар вов пхэнэл.
2a081600c3	Екхвар Исусо пхэндя Пэстирэ сытярнэнди: — Пэрэплывисараса пэ авэр риг. Онэ бэшле андо чёвно, отплывисардэ.
2a081700d3	Сар онэ плывисарэнас, Исусо засутя. Вазгляпэ по паи бари балвал, и чёвно ля тэ зашол паеса кадя, со лэнди авэлас бида.
2a0818013c	Сытярнэ поджыле кав Исусо, вазгле Лэс и пхэндэ: — Сытяримари! Сытяримари! Амэ хасавас! Вов просутяпэ и запхэндя балваляти и паести, саво ваздёлас. Вся пэрэашыля, и ашыля тыхо.
2a08190130	— Кай патимос тумаро? — пхэндя Исусо сытярнэнди. Онэ ж пэрэдарайле тай дивосайле, и пушэнас екх екхэстар: — Ко Вов, со и балваляти, и паести припхэнэл, и онэ кандэн Лэс?
2a081a006e	Онэ приплывисардэ андэ пхув Гераса, сави сас англай Галилея.
2a081b012f	Кала Исусо авиля по бэрэго, Лэсти по дром выжыля мануш андав форо, андэр лэстэ сас бут бэнга. Пэр лэстэ дэлмут на сас йида, жувэлас на андо чер, а андэ склэпоря важ мулэ.
2a081c0103	Кала вов удикхля Исусос, вов пэля кай Лэсти пэрнэ и фартэ зацыписайля: — Со Ту мандар камэс, Исусо, Шаво Барэ Дэвлэско? Мангав Тут, на хасар ман!
2a081d0152	Исусо припхэндя найжужэ духости тэ выжал андав кадва мануш. Бэнг бут вряма хасарэлас лэс. Лэсти спхандэнас лэпунзэнца васт и пэрнэ, нэ вов росшынэлас лэн, и бэнг затрадэлас лэс андэ мал.
2a081e00ba	Исусо пушля лэс: — Сар тут акхарэн? — Легионо, — пхэндя кодва, колэстар со бут бэнга вжыле андэр лэстэ.
2a081f006f	Онэ линэ тэ мангэнпэ Исусостар тэ на бишалэл лэн андэ бездна.
2a082000d5	Найдур котар по плай пасынаспэ бут балэ, и бэнга мангэнас Исусос, кай онэ тэ вжан андэр лэндэ. Вов пхэндя лэнди: «Жан».
2a082100b2	Кала бэнга выжыле андав мануш и вжыле андэ балэ, и кола всаворэ шутэпэ пай кручя андо паи и тасиле.
2a082200ad	Пасымаря, савэ сас пашай балэ, дикхле, со тердяпэ, прастае и роспхэндэ вся андо форо и андэ гава.
2a0823014f	Сжылепэ мануша тэ дикхэн, со тердяпэ. Онэ поджыле кав Исусо и удикхле, со кодва мануш, андэ савэстэ сас бэнга, бэшэл пашай пэрнэ кав Исусо, урявдо и андэ пэсти годи, и авиля пэр лэндэ дар.
2a0824009b	Кола, савэ вся дикхле, роспхэндэ лэнди, сар сас састярдо мануш андэ савэстэ сас бэнга.
2a08250129	Тунчи всаворэ мануша, савэ жувэнас андэ пхув Гераса, линэ тэ мангэн Исусос тэ ужал лэндар, колэстар со онэ фартэ здарайле. Исусо бэшля андэ чёвно и рисайля палпалэ.
2a082600a3	Мануш, савэстар выжыле бэнга, мангля Исусос тэ лэл лэс Пэса. Но Исусо отмэкля лэс и пхэндя:
2a082700e9	— Рисав пэстэ черэ и роспхэн, со тердя важ тути Дэл. Кодва жыля, роспхэнэлас пав всаворо форо пала кода, со тердя важ лэсти Исусо.
2a082800b0	Кала Исусо рисайля палпалэ, Лэс радомаса прилинэ бут мануша, колэстар со всаворэ ажутярэнас Лэс.
2a08290113	Тунчи Лэстэ поджыля мануш, савэс акхарэнас Иаиро, саво сас пхурэдэр андэ синагога, и пэля кай Исусостирэ пэрнэ, ля тэ мангэл Лэс, кай тэ авэл лэстэ черэ.
2a082a00d2	Лэстэ сас екх щей, савяти сас дэшудуй бэрш, и вой мэрэлас. Исусо жыля лэса, и Лэс всаворэ ригэндар стасавэнас мануша.
2a082b00e7	Машкар лэндэ сас жувли, савятэ дэшудуй бэрш жалас рат. Вой отдя вся, со латэ сас, врачёнэнди, и никастэ на сас зор тэ састярэл ла.
2a082c00b2	Вой поджыля палал кав Исусо и ляпэ кай риг Лэстиря йидатэ. Рат андэ кодья ж вряма пэрэашыля тэ жал.
2a082d00ec	— Ко Мандэ ляпэ? — пушля Исусо. Нико на прижандёлас. Пэтро пхэндя: — Сытяримари, паша Тутэ бут мануша и стасавэн всаворэ ригэндар!
2a082e0076	Исусо пхэндя: — Варико Мандэ ляпэ. Мэ полем, со Мандар выжыля зор.
2a082f0122	Тунчи кадья жувли поля, со вой на гарадёла, тиносайля, поджыля и пэля англав Исусо. Англай всаворэ мануша роспхэндя, состар вой Лэстэ ляпэ, и сар вой састярдяпэ.
2a0830008e	Тунчи Исусо пхэндя лати: — Щей Мэрни! Тиро патимос фэрисардя тут. Жа лэ мироса.
2a083100f7	Кала Исусо инкэ на допхэндя када, авиля мануш андав чер пхурэдэр синагогако. — Щей тири муля, — пхэндя вов, — на залэ будэр Сытяримарес.
2a08320098	Ашундя када, Исусо пхэндя Иаирости: — На дара, качи патя, и щей тири авэла фэрисарди.
2a083300b5	Сар Вов зажыля андо чер, на дя никасти тэ зажан Лэса, качи о Пэтро, Иоано, Иаково, дад и дэй щиёратирэ.
2a083400b6	Всаворэ ровэнас и грыжонаспэ пала щиёры. — Пэрэашэн тэ ровэн, — пхэндя Исусо. — Вой на муля, а совэл.
2a08350062	Онэ линэ тэ асан Лэстар, колэстар со жанэнас: вой муля.
2a08360051	Исусо ля ла палав васт и пхэндя: — Бэята, вщи!
2a0837009f	Духо щиёрако рисайля латэ, и андэ кодья вряма вой вщиля. Исусо пхэндя тэ дэн лати тэ хас.
2a083800ac	О дад и дэй латирэ дивосайле. Исусо пхэндя лэнди, никасти тэ на роспхэнэн пала када, со тердяпэ.
2a090100d2	Исусо стидя екхэтанэ дэшудуен апостолонэн и дя лэнди зор и баримос тэ вытрадэн бэнгэн и тэ састярэн насвалимастар.
2a0902008c	И бишалдя лэн тэ роспхэнэн палав Дэвлэско Тхагаримос и тэ састярэн насвалэн.
2a090300ad	Пхэндя лэнди: — Нисо на лэнтэ пэса андо дром: ни дэсто, ни траста, ни марно, ни ловэ, ни авэр йида.
2a0904006b	Андэ саво чер тумэ тэ зажан, котэ ашэнпэ и котар жан майдур.
2a090500ec	Сар мануша тумэн на прилэна, тунчи, сар авэна тэ выжан колэ форостар, обмарэн пош тумарэ пэрнэндар, мэк када авэла важ лэнди шпэра.
2a090600d1	Дэшудуй жыле андо дром, пэрэжанас гав гавэстэ, роспхэнэнас Радосаво Лав, и андэ всаворэ тхана састярэнас насвалэн.
2a090700db	Дума пала вся када дожыля кав рай тетрархо Иродо. Вов дивосайля, колэстар со екх пхэнэнас: када Иоано жундиля андай мулэ,
2a090800ab	авэр — со када сикадяпэ Илия, ай авэр — со када жундиля андай мулэ екх андай дэлмутно пророко.
2a090900d5	Иродо пхэндя: — Иоаности мэ отшындэм шэро. А ко тунчи Кадва Мануш, пала саво мэ ашунав? И вов родэлас тэ дикхэл Исусос.
2a090a0111	Апостолоря рисайле и роспхэндэ Исусости пала вся, со онэ стердэ. Тунчи Вов ля лэн Пэса, и онэ жыле ежэнэ биманушэнго кав форо, саво акхарэлпэ Вифсаида.
2a090b0127	Нэ бут мануша ужангле пала када и жыле палав Исусо. Вов мишто лэн приля, пхэнэлас лэнди палав Дэвлэско Тхагаримос и кадя ж састярэлас колэн, касти када сас трэбуй.
2a090c015a	Вряма жалас кай рят, и дэшудуй поджыле кав Исусо и пхэндэ: — Отмук манушэн, соб онэ тэ жан андэ пашэ тхана и гава тэ аракхэн, кай тэ ратярэн и тэ хан, колэстар со амэ катэ андэ биманушэнго тхан.
2a090d011f	Исусо пхэндя лэнди: — Тумэ дэнтэ лэнди тэ хан. Сытярнэ дивосайле: — Амэндэ качи панч марнэ и дуй маще. Со амэнди, тэ жас тэ тинас хамос важ всаворэ акала мануш?
2a090e00b4	Котэ сас екхэн муршэн варикай панч мии. Исусо пхэндя сытярнэнди: — Розбэшлярэн манушэн по пандэша.
2a090f0047	Сытярнэ кадя тердэ. Кала всаворэ бэшле,
2a0910013b	Исусо ля панч марнэ и дуй маще, вазгля якха по болыбэн и пхэндя наис палав хамос. Тунчи Вов ля тэ пхагэл марно и мащё и тэ дэл Пэстирэ сытярнэнди, кай кола тэ роздэн манушэнди.
2a09110096	Всаворэ ханас и чялиле, и стидэ инке котора савэ ашылепэ, андэ дэшудуй барэ трасты.
2a091200ed	Екхварэс, кала Исусо мангэласпэ Дэвлэс ежэно, найдур Лэстар сас Лэстирэ сытярнэ. Вов пушля лэндар: — Пала кастэ прилэн Ман мануша?
2a091300cc	Онэ пхэндэ: — Палав Иоано Болдэмарё, ай авэр — палав Илия, ай авэр пхэнэн, со екх андай дэлмутно пророко жундиля.
