2800000009	ማቶስ
2d021c00c9	ይና ላምንካ Ꮊክ አይሁድ ማችባብ ዶፈን አይሁድ ካዬ፥ ኮትኮግንደረ ዘንጎካ Ꮊፈርድን ዋሄታ ሶለንም ተችርና ዶፈን ተችርካዬ።
2d021d0189	ዶፈን አይሁድ ማትንተና ዋርጎካ አይሁድ ማችባቤ፥ ዶፈን ሶለንም ተችርና ሳብታ አያናር ማድንዳ ቡደታ ሶለንም ተችርና ዳት ሙሴታ ህግንካ ጻፍምሳን ግንዳ ዋሄታ ሶለንም ተችርካዬ። ኮግንዳ ኤድና ጎፍስን ክት Ꮊብድንዳ ሳብዘንካዳት ኤድዘንካ ካዬ።
2d0301008d	ይና አይሁድ ማችባብ አይሁድ ማታክባብዘንካ ስገድንዳ Ꮊረከረ? ሶለን ተችርና Ꮊሮክ መዬ?
2d030200b0	ገታ አይሁድ ማትና በድ ጎግካ ስገዴ፥ ዝግዝድ ሪይና ሳብ ይንታ ቃለን አይሁድንከስካንታ ዋደካ ክታ እምንተኔ።
2d030300e5	ይና፥ አይሁድንከሳርንካ ዋልቃ ዋልቀንከስ አሜንምስባብ ማትሶ Ꮊፈራክ ከት ማቼ፥ ኬታ አሜንምክሳ ነግና ሳብ አሜንምስባብ ማቻንደትም ነግዝዶ?
2d03040119	ቦድሶ ነግሳዬ! “የስታ ቃለንዘንካ አምሳንዳ ዶፈን ማደዬ፥ የስታ ይምኤንባብም ሳብታ ፍርደናᎺይካ ጋምደዬ” ጋይምሶ ጻፍምሳን ግንዳ ኤድ ሙደና ካርካባብ ማችንከረ ሳብዶፈኔ።
2d0305011c	ኬዛር ማቼ ዎንታ ጎመና ሳብታ ጭላትችን ሰጅድንዳ ማቼ ይና ዎታ Ꮊሮንት ጋይቴ? ሳብ ዎንታ ጎመንጎካ ዎም ዋጭዴ ገታ ኖ ፋረድባብ ካዬ ጋይንትዮ? ኮዘን እ ኬዝድንዳ ኤታ ገቀር ግንዴ።
2d0306005f	ቦድሶ ኩን ካዬ! ኩን ኮት ማቼ ሳብ ፍጫሙደንዘን Ꮊስክ ፋረዳ?
2d030700ef	ኬዛር ማቼ ካርካባብ እስታ ማትንተና ሳብታ ዶፈንን መያ ማስካ፥ ክታቦንቼንታ በድምን ሰጅድንዳ ማቼ ይና፥ እም ጎማባብ ማስሶ ክት ፋረድንዳ Ꮊራጎከረ?
2d0308010d	ዋልቃ ዋልቃ ኤድንከስ “ኡርማ ሪም Ꮊፍካንታ ዳቅል ሪም ዎ ይያ” ጋየርቶ ኤስዝድባብ እም ካምስሰኮ ካሰዝደኬ፥ ኮካንታ ኮግንዳ ዶቅድባብከዘን ፋረድምድን ፍርደና ገቴ።
2d0309013e	ይና፥ ዎታ አይሁድንከስ አይሁድ ማታክባብከዘንካ ስግዶት ጋይንትዮ? ቦድሶ ኩን ካዬ! ኤድንከስ ሙዳ አይሁደረ ማታ አይሁድ ማታክባበረ ጎማባብከስ ኬታ ማትንተን እርምስቶ ቡዳር አርድንግንዳ ኬዝትቴ።
2d030a0058	ኩን ጋይምሶ ጻፍምሳንግንዳ “ዋልቃ ዎራ ጭል ኤድ ካዬ፥
2d030b0053	ገቀርድባበረ ካዬ፥ ሳብመረ ዝግድባብ ዋልቀረ ካዬ።
2d030c00af	ሙደነረ ሳብታ ጎግንዘንካ ዉተኬ፥ የካ መይዳክባብከስ ማተኬ። ላቅም ፍክስን ፍግዝድባብ ዋልቃ ኤድ ዎራ ካዬ።
2d030d0133	ኤድም ሰቅዝድን ዳቅል ኬዛካንታ፥ ከታ ጎርዝና ዱክታ ጎርግንዳ ፎችምሳንዴ፥ ከታ ይንታ አድምንካ ገስዝደኬ፥ ኬታ አፈናርንካ ዉድን ዳቅል ኬዘነረ ጉኒ ፋክት ደይዝድንደት ግንዳ ኡፈልዝድንዴ፥
2d030e0051	ኬታ አፈናርንካ ዉድንዳ ባድከ ዳቅል ኬዝካ ጮጫንዴ
2d030f0046	ኬታ ዱትነረ ኤድም ደይሳካንታ ሳነርሳንዴ፥
2d03100056	ኬታ አይድን ካርሙደናር Ꮊፈርድንዳ ካይንተከ ማጠኬ።
2d0311002c	ሳራትቼንታ ጎግን ኤሳየኬ፥
2d0312003d	ሳብመረ ቦድሶ ጳስ ኬታዘን Ꮊፈራዬ”።
2d03130117	ሙሴታ ህግና ሰጅድንዳ ህግታ ጎያር ዶቅድባብከስም ማቻንደትም ዎታ ኤዝዶቴ፥ ኮጎካ ኤድንከስ ኬዝድንደታ ጎግ ካይድንካ ጫም ጋይደኬ፥ ፍጫ ሙደና ሳብታ ፍርደንታ ጎይያር ማዴ።
2d031400aa	ኮካንታ Ꮊየነረ ኤድ ሳብታ እሪ ሙሴታ ህግን ቦድካ ጭልማዬ፥ ህግና ሰጅድንዳ ኤድ ሙደና ጎማባብ ማትንተኔ።
2d031500f4	ታ ማቼ ሳብ ኤድንከስም ክት ጭልዝድን ጎግና ሙሴታ ህግን ካይሳ ማትንተና መያ ማቴ፥ ኮነረ ሙሴታ ህግናርኬ ሳብዘንካ ኤሰርሶ ኬዛቅባብከስካ ማርከርምቴ።
2d0316008d	ኮካንታ ሳብ Ꮊረሰነረ ፋሳክዶቆ የሱስ ክርስቶሰካ አሜንድባብም ሙዳ ጭለትቸንም እምዴ።
2d0317007b	ኤድንከስ ሙደና ጎማ ፍክሴ፥ ሳብ ከትካንታ እምሳን ቦንቼና ከታዘንካ ካይቴ።
2d0318009e	ኮካንታ ኤድንከስ የሱስ ክርስቶስ ቦጃን አቅስንታ ፍክስንካ ሳብታ ዉቺ እምንተንካ Ꮊክ ጭልምደኬ።
2d03190171	ሳብ የሱስ ክርስቶሰም ካሲ ማስሶ ግግሳንደና ክትካ አመንምድባብ ሙደና ክታ ማቀስንካ ኬታ ጎመንታ ላላ ጋይን ኬት Ꮊብድንግንዴ፥ ሳብ ኮም ክታ ይይና ይንታ ዳንዳእንካ ኤና እሪ ኬታ ጎመን ካያ ማስካ ይንታ ገታ ፍርደን መያ ማስካንቴ።
2d031a009e	ታ ኮስለናረረ ሳብ ይንታ ማታርንካ ጭል ማትንተን ሰጅድንዳ የሱሰካ አሜንድባብከስም ሙዳ ጭልስኬ።
2d031b00d9	ይና ዎ ጋይርድንዳ ሪ Ꮊራዶቅዳ? Ꮊራርከረ ጋየራዮቴ! ዎ ጋየርዳክንዳ Ꮊራጎከረ? ሙሴታ ህግን ዎ ቦድንጎኮ? ኩን ካዬ፥ ኬዛር ማቼ አሜንኬ።
2d031c00bb	ኮካንታ ሳብ ኤድም ክት ጭልዝድንዳ፥ ኤድ ሙሴታ ህግንታ ፍክስንም ቦድንተካ ማታክናና አሜንካ ማትንተንም ገቀርዶቴ።
2d031d00b6	አና ሳብ አይሁድንከስታ Ꮊክ ጮይስዮ? አይሁድ ማታክባብከስታ ጮይስካዮ? ገታ አይሁድ ማታክባብከስተረ ኖ ጮይስዬ።
2d031e00b5	Ꮊረታ ጋይሴ ሶለን ተቸርስባብከስም አሜንካ ሶለን ተቸራክባብ ከስመረ ኮትኮ አሜንካ ጭልዝድባብ ኖ ዋልቃ ሳብዬ።
2d031f009d	ይና አሜንንጎካ ሙሴታ ህግንም ነግዝዶት ጋይንትዮ? ኩን ካዬ፥ ስግስሶ ሙሴታ ህግን ዳቅስሶ የዶቴ።
2d04010070	ይና ዋሄካ ዎንታ ባቤና ማችባብ አብራሀም Ꮊፍሴ ዎ ጋይድንዳ Ꮊራርየረ?
2d040200b0	አብራሀም ጭልምሳንዳ ፍክስካ ማቼስናና፥ ይ ጋይርድ ር Ꮊብዳዶቆ፥ ማታጋካ ዳት ሳብታ እሪ ጋይር ካንታ ማታዬ።
2d04030098	ጭል ማጻፍና “አብራሀም ሳብካ አሜንሴ፥ ክታ አሜንነረ ጭል ማትሶ ክትካንታ ፋይድምሴ” ጋይዴ።
2d04040099	ፍግዝድባብ ኤድ ክት Ꮊብድን ፍክስንታ ናክና ዝግዝድንዳ ክት ፍክሳንከካ ዳት ዉቺ እምንታ ካዬ።
2d040500c0	ኤታ ኡርማ ፍክስ ካያ ማቼረ ዎራ ጎመንባብከስም ጭልዝድን ጮይስንካ አሜንሴ ክታ አሜንና ጭል ማትሶ ክትካንታ ፋይድምዴ።
2d040600a2	ዳውተረ ይጎካ ሳብ ኡርማ ፍክስካይሳ ክት ጭልዝድን ኤድ Ꮊራከካ አንጅምስባብ ማትንተን መያ ማዝድዮ፥
2d04070092	“ኬታ ባችንም ነጋ ጋይምስባከስኬ ጎመን ኬታ ነጋ ጋይምስባብ ኤድንከስ ከታ አንጅምስባበኬ!
2d0408006f	ጮይስ ክታ ጎመን ክታዘን ፋይዳክን ኤችና አንጅምስባቤ!” ኩን ጋይሴ።
2d04090176	ይና፥ ዳዊት ኬዛንዳ ኮና አንጀና ሶለን ተቸርስባብከስካንታ Ꮊክዮ? አና ሶለን ተቸራክንባብከስካንተረ ዋሮ? ሶለን ተቸራክንባብከስካንተረ ዎሬ፥ “አብራሀም ሳብካ አሜንምሳንኦል ክታ አሜንና ጭል ማትሶ ክትካንታ ፋይድምሴ” ጋይቶቴ።
2d040a0151	ይና አብራሀመታ አሜንና ጭል ማትሶ ክትካንታ ፋይድምሳንዳ Ꮊንተረረ? ሶለንም ክት ተቸርተርንደታ እርዮ አነረ ክት ሶለን ተቸርሳንደታ ቡርዮ? ሶለን ክት ተቸርተርንደታ እሪ ዳት ሶለን ክት ተቸርሳንደታ ቡር ካዬ።
2d040b01c2	አብራሀም አክ ክት ሶለንም ተቸርተርንደታ እሪ አሜንና ክታ ጭል ማትሶ ክትካንታ ፋይድምሳን ግንዳ መያ ማስታ ቃዉታ ክትካንታ ማድንግንዳ ሶለንም ተቸርሴ፥ ኮካንታ አብራሀም፥ ሶለን ተቸራክዶቆ አሜንድባብከስካንተኬ ኬታ አሜንና ጭል ማትሶ ከትካንታ ፋይድምድባብ ሙደንታ ኖ ባቤኔ።
2d040c014a	ኮትኮግንደረ አብራሀም ሶለን ተቸርስባብከስተረ ባቤኔ፥ ሶለን ተቸርስባብከስካንተረ ባቤና ክት ማቻን ጎግና ከታ ተቸርንካ Ꮊክ ማታክናና ኖ ይ ተቸርተርንደታ እሪ ክታ Ꮊቃን አሜንን ከታ ጎርስምንከረ ዎሬ።
2d040d0108	አብራሀመኬ ክታ ሱሰንካ ፍጫ ሙደን ኬት ተይድንደትም ሳብ Ꮊድን ጉርምን ክትም እምሳንዳ አሜንካ ክት Ꮊፍሳን ጭለትቼንካንታ ዳት ሙሴታ ህግንም ክት ቦጃንካንታ ካዬ።
2d040e00c6	Ꮊድን ጉርምን ተይድባብከስ ሙሴታ ህግንም ቦድባብ ኤድንከስ ኬት ማቼ አሜንንታ መይንታ ካዬ፥ Ꮊድን ጉርምነረ ዉቺኩን ማዴ።
2d040f0092	ሙሴታ ህግና ተይᎺድንደና ሳብታ ዋጭኔ፥ ሙሴታ ህግና ካያማቼ ህግንዘንካ ስግና ባች ማታዬ።
2d041001f2	ኮካንታ ጉርምና ዶቅድንግንዳ ይምሳንዳ አሜንንታ ዘኔ፥ ኮነረ ጉርምና አብራሀመታ ሱሳ ሙደንካንታ ሳብዘንካ ዉቺ እምንተንካ እምምሳን ማትንተና ኮካ መያ ማቴ። ኮነረ ሙሴታ ህግንም ጎርስምድባብከስካንታ Ꮊክ ማታክናና አብራሀምግንዳ አመንስባከስ ሙደንካንቴ፥ ኮዘንከረ አምሳንዳ አብራሀም ዎ ሙደንተረ ባበኔ።
2d04110155	አብራሀምጎከረ፥ “በድ ዎርሰታ ባቤና የስም ማስትቴ” ጋይምሶ ጻፍምቴ፥ ኮነረ ጉርምና አብራሀምካንታ እምምሳንዳ ኖ ደእስባብከስም አምስዝድባብኬ ካየንደትም ዶቅድንግንዳ ይድባብ ጮይስንካ ክት አመንሳንካንቴ።
2d0412010f	አብራሀመም የስታ ሱሰና አንድር በተሬ ጋይምሶ ከዝምሳንደትግንዳ በድ ዎርሰንታ ባቤና ክት ማድንደትም አመንሳንደትኬ ጉርም ክት ይሳንዳ Ꮊረነረ ጉርም ይምዳክን ሪዘኔ።
2d04130164	ስለነረ ክታ ዋልቃ ጸታ ማታባብ ማችንከረ ክታ አⷝናትችንታ ጋፍንካ ደእስባብግንዳ ማትንተንጎካ አጥማካንታ ይ ማዳክንደትምኬ ሳረረ ዶንጀርሶ አጥማ ካንታ ኮት ማዳክንደትም ኖ ይ ኤስንከረ ይንታ አሜንካ ጋፍስባብ ማታክዬ።
2d041400c9	ይንታ አሜንካ ዛብዝባብ ማትሶ ሳብካንታ ቦንቻ እምሳ ዳት ሳብ ክትካንታ እምሳን Ꮊድን ጉርምንካ አሜንዳክቴ ጋይሶ Ꮊኤራክዬ።
2d04150084	ሳብ ክትካንታ እምሳን ጉርምና ቦድምድንዳ ማትንተን ቦድማ ቡዳርንካ አመንድ Ꮊቄ።
2d04160060	ኮካንታ አብራሀመታ አሜንና ጭል ማትሶ ክትካንታ ፋይድምሴ።
2d041700a5	ኬዛር ማቼ “ጭል ማትሶ ክትካንታ ፋይድምሴ” ጋይድን ቃለና ጻፍምሳንዳ አብራሀም ካንታ Ꮊክ ማታክናና፥
2d041800d2	ዎካንተረ ዋሬ። ዎንታ ጮይስን የሱሰም ደእናርንካ አምስሳን ጮይስንካ ዎ አሜንድባብ ዎካንተረ ዎንታ አሜንና ጭል ማትሶ ፋይድምዴ።
2d041900c0	ኮና ዎንታ ጮይስን የሱሰረ ዎንታ ጎመንካንታ ደእካንታ ስክስምት እምምስባብኬ ዎመረ ጭልስካንታ ደእያርንካ አምስባቤ።
2d050100bc	ይና ዎታ ጭላትችንም Ꮊፍሳንዳ አሜንካ ማቻንካንታ ዎንታ ጮይስን የሱስ ክርስቶስካ ሳብካ ክክን ሳራትች ዎንታ ዶቅዴ።
2d05020107	ታ ፈንክ አሜንካ ዳቅሶቶ ዎ Ꮊፈርድን ሳብታ ዉቺ እምንተናር ዎ አርደዳንዳ ክትካ ማቻንካንታ Ꮊድን ጉርምንካ ሳብታ ቦንቸን ካስምድባብ ዎንታ ማትንተንካ ጋይርዶቴ።
2d050300b1	ኮካ Ꮊክ ማታክናና ማጠና ዳንዳእንም ዎካንታ Ꮊፍስዝድንደትም ዎ ኤዝድንካንታ ዎንታ ማጠንታ ዋረረ ጋይርዶቴ።
2d050400a9	ኬዛር ማቼ ማጠናር ዳንዳእንም ዳንዳእናርከረ ጰጨንካ ዳቅንተን፥ ዳቅንተናርከረ Ꮊድን ጉርምና Ꮊፈርዴ።
2d05050098	ዎካንታ እምምሳን አያን ጭልንጎካ ሳብታ ሶልመና ዎንታ ቡዳር ጮጫንጎካ ጉርምና ዎም ኦስንሳዬ።
2d05060091	ጋፍስባብ ማትሶ ዎ ዶቅድንካ ሳብ ማታ ጋይሳን ሰጨንካ ክርስቶስ ጎመንባብከስካንታ ደእሴ።
2d050700da	ጭል ኤታ ካርያር ማትሶ ደእድ ኤድም Ꮊፍና አንድር ማጤ፥ ኮትኮግንደረ ላቅም ኤታ ካርያር ደእካንታ ማድባብና Ꮊረንግርካ Ꮊፈርዳ ማተረ።
2d05080102	ኬዛር ማቼ ዎታ ጎማባብ ማትሶ ዎ ዶቅድንካ ክርስቶስ ዎንታ ካርያር ደእቴ፥ ኮነረ ሳብታ ሶልመና ዎካንታ ዶቅድንዳ Ꮊስከካ አንድር ማትንተን ዎ ኤዝድንግንዳ ይዴ።
2d0509009f	ይና ዎ ጭልምሳንዳ የሱስ ክርስቶስታ ማቀስንካ ማቼ ስግሰረ ሳብታ ዋጭንዘንካ ዎ አቅድንዳ ክትጎኬ።
2d050a0115	ዎታ ሳብታ ይምኤንባብከስ ማትሶቶ ዎ ዶቅድንካ ክታ ይንችንታ ደእንካ ሳብካ ክክን ኤድምቶቴ፥ ታ ሳብካ ክክን ዎ ኤድምሳንደታ ቡር ክታ ይንችንታ ዶቅንተንጎካ ስግሶ አቅዶቴ።
2d050b00c3	ኮነረ Ꮊክ ማታክናና ሳብካ ክክን ኤድመን ዎ Ꮊፍሳን ዎንታ ጮይስን የሱስ ክርስቶስጎካ ሳብ ዎካንታ ይሳንደትካ ጋይርዶቴ።
2d050c00d1	ዋልቃ ኤድጎካ ጎማ ፍጫሙደንዘን Ꮊዴ፥ ጎመታ ጎግከረ ደእ Ꮊዴ፥ ኮትኮግንደረ ኤድ ሙደና ጎማ ፍክሳንካንታ ደእ ኤድ ሙደንዘን Ꮊዴ፥
2d050d00e0	ሙሴታ ህግና እምምተርንደታ እሪ ጎማ ኮ ፍጫሙደንዘን Ꮊቄ፥ ማታጋካዳት ሙሴታ ህግ ካየንደትካ ጎማ ይንታ ማታርንካ ጎማግንዳ ፋይድማይ Ꮊቄ።
2d050e013d	ማቼረ አዳምግንዳ ሳብታ ህግንም ስግንተካ ጎማ ፍክሳክባብከዘን ዎራ ነጋክ ዶቆ ደእ አዳምዘንካ አምስሶ ሙሴ የለልታ ኤድ ሙደንታዘን ዎልቃ Ꮊፍሴ። ኮና አዳም ኦስ እሪ Ꮊድባብ ክርስቶስታ ካምስ Ꮊቄ።
2d050f018b	ኬዛር ማቼ ሳብታ ዉቺ እምንተና ኤታ ጎመንዘንካ ስግዴ፥ ዋልቃ ኤታ ጎማጎካ በድንከስ ደእሳንደትግንዳ ኮትኮግንደረ ሳብታ ዉቺ እምንተንኬ ክት ዋልቀን ኤድ ማችባብ የሱስ ክርስቶስጎካ Ꮊፈርሳን ሳብታ ዉቺ እምንተና በድንከስካንታ ስጥመካ እምምቴ።
2d0510018f	ኮት ኮግንደረ ሳብታ ባዛካይሳ እምንተና ተይᎺዳንዳ ሳብታ ዉች እምንተንታ አፍና ዋልቃ ኤችንታ ጎመና ተይᎺዳን አፍንግንዳ ካዬ። ዋልቃ ኤታ ጎመንጎካ እምምሳን ፍርደና ዋጭም ተይᎺዴ፥ በድ ጎመን ጎካ እምምሳን ባዛካይሳ እምንተና ጭለትቸን ተይᎺዴ።
2d05110145	ዋልቃ ኤታ ጎማጎካ ደእ ኤድ ሙደንዘን ዎልቃ ኮት Ꮊፍሴ፥ ሳብታ ስጣን ዉች እምንተንኬ ባዛካይሳ እምንተን ተይሰኮ ጭልምስባከስ ሙደና ዋልቃ ኤድ ማችባብ የሱስ ክርስቶስጎካ፥ ጋምንተካ ሰንፔካ ዶቅተረኬ።
2d05120132	ይና ዋልቃባብ አዳመታ ጎመና ዋጭንታ ፍርደን ኤድ ሙደንዘን ተይᎺዳን ግንዳ ኮትኮግንደረ ዋልቃባብ የሱስ ክርስቶስታ ጭለትች ፍክስና በድንከስም ዋጭናርንካ ባዛካይሳ ማስሶ ሰንፔንም እምዴ።
2d051300bf	አዳመታ ክትምክሳ ነግንተንካ በድንከስ ጎማባብ ማቻንግንዳ ኮትኮግንደረ ክርስቶሰታ ክትምን ጎካ በድንከስ ጭልምደኬ።
2d0514009d	ሙሴታ ህግንታ Ꮊድንተንካ ባች በጄ፥ ኬዛር ማቼ ጎማ በጃንደትከካ ሳብታ ዉቺ እምንተና ስግሶ በጄ።
2d05150130	ኮነረ ማቻንዳ ደእንጎካ ጎመና ባንችምሳንግንዳ ሙደነረ ኮትግንዳ ዎንታ ጮይስን የሱስ ክርስቶስጎካ ስለንክንደታ ዶቅንት Ꮊፈርድንግንዳ ሳብታ ዉቺ እምንተና ጭለትቼን እምንተካ ባንችምዴ።
2d06010077	ይና Ꮊሮንት ጋይዳ? ሳብታ ዉቺ እምንተና በድንግንዳ ጎመካ ዳቅሶ ዶቅተሮቶ?
2d060200b3	ኩን ካዬ! ዎታ ደእዘንካ ፋስመርድንደትከካ ጎመዘንካ ፋስምስባብ ማትሶ ዶቅዶቶ Ꮊስግንዶንት ጎመካ ዳቅሶ ዶቅዳ?
2d060300d9	የሱስ ክርስቶስካ ክክን ዋልቃ ማትካንታ ዎታ ስኤርስባብከስ ሙደና ክታ ደእንመረ ክትግንዳ ተይድባብ ማትካንታ ዎንታ ስእርንም ኤሳየቴ?
2d0604012a	ስእርንካ ክርስቶሰካ ክክን ዎ ዱከርሳን Ꮊይካ ክታ ደእንም ክትግንዳ ተይድባብ ማቶቴ፥ ኮካንታ ክርስቶስ ሳብ ባቤንታ ቦንቸካ ደእናርንካ አምሳንደት ግንዳ ዎተረ ክላ ዶቅንት ዶቅተሮቴ።
2d060500c0	ክርስቶስታ ደእንካ ክትካ ክክን ኮግንዳ ዋልቃ ዎ ማቼ ኮትኮግንዳ ክታ ደእናርንካ አምንተንካ ክትካ ክክን ዋልቃ ማዶቴ።
2d060600fb	ጎማ ፍግዝድን ዎንታ እዘና Ꮊልእተርንግንደከ ጎመታ አይላ ዎንታ ማትንተና ነግድንግንዳ ጎማ ፍግዝድን እዘን ክርስቶሰካ ክክን ሮከርሳንደትም ዎታ ኤዝዶቴ።
2d06070033	ደእሳን ኤድ ጎማካንታ ቆልማዬ።
2d0608007f	ይና ክርስቶሰካ ክክን ዎ ደእሴ ክትካ ክክን ሰንፔካ ዎ ዶቅድንደትም አሜንዶቴ፥
2d060900b2	ክርስቶስ ደእናርንካ አምሳንካንታ አናካርንካ ክት ደአይንደትምኬ ደእነረ ክታዘን ዎልቃ ካየንደትም ኤዝዶቴ።
2d060a00df	ክት ደእሳንደትካ ጎማ ክተዘን ዎልቃ ዶቃይንግንዳ ካርንካ ጉጅምዳክንጎግካ ዋልቃዱት ኖ ደእቴ፥ ታየረ ሰንፔካ ኖ ዶቅድዮ ሳብካንታ ዶቅዴ።
2d060b00cb	ይና ደእ ኤድም ፋዝድንደትከካ ጎመዘንካ የታ ፋስምተቴ። የሱስ ክርስቶስጎካ ማቼ ሳብካንታ ሰንፔካ የ ዶቅድንደትም ገቀርከቴ።
2d060c00d5	ኮካንታ ደእድን የንታ ዘነንዘን ጎመታ ዎልቃ ዶቅድንግንደኬ ዋሄታ አንግርን ካንተረ ቆልምድንግንዳ የም ይሳባብ ስክስት Ꮊይ እመቴ።
2d060d01a6	ኮትኮግንደረ የንታ ዘነንታ ሱከንከስም ባችታ ፍክስ ር ማስሰቶ Ꮊይ ገችሰቴ፥ ኬዛር ማቼ ደእያርንካ አምሴቶ ስለንካ ዶቅድባብ የ ማቻንግንዳ ማስሰቶ የንታ ማተን ሳብካንታ እምከቴ፥ የንታ ዘነንታ ሱከንከስመረ ሙዳ ጭለትቼንታ ፍክስ ሪ ማስሰቶ ሳብካንታ ገችስከቴ።
2d060e00a6	ታ የ ዶቅድንዳ ሳብታ ዉቺ እምንተንታ ጎያረት ዳት ሙሴታ ህግታ ጎያር የ ማታክንካንታ ጎማ የም Ꮊይ ቆላ።
2d060f00e4	ይና Ꮊሮንት ጋይቴ? ሙሴታ ህግንታ ጎይናር ዎንታ ማትና ነግሶ ሳብታ ዉቺ እምንተንታ ጎያር ዎ ማቻንካንታ ጎማ ዎ ፍክሳ ጋይንትዮ? ቦድሶ ኩን ካዬ!
2d061001af	ዋልቃ ኤድካንታ ፍክስባብ ማትሰቶ ክትምካንታ የንታ ማተንም የ ግግዝድንካ ክትኮ የ ክትምድን ኤችንካንታ ፍክስባብ የንታ ማትንተን ኤዝደቴ፥ ኮትኮግንደረ ጎማካንታ የ ክትምዴ ደእም የንዘን ተይ Ꮊድን ጎመታ ፍክስባብ ማደቴ፥ ሳብካንታ የ ክትምዴ ጭለትቼንም Ꮊፍተረቴ።
2d061100b6	የታ እሪምሰቶ ጎመታ አይላ Ꮊቀቴ፥ ታ ማቼ የተያን ኤስስንካንታ ቡዳርንካ የንታ ክትምንካ ሳብካንታ ጋለትና ማታ።
2d06120069	ጎመታ አይላርንካ ዉቺ ዉትሰቶ ጭለትቼንታ ፍክስንባብከስ ማተቴ።
2d061301d7	እታ ኮግንዳ ኤድን አርድን አፈካ እ ኬዝድንደና የንታ ገቅርንታ ጋፍንዘንካ አምሳንዴ። እርምሰቶ የንታ ዘነንታ ሱከንከስም ቱነተኬ ባችታ ፍክስባብ ማስሰቶ የ ግግሳንደትግንዳ ሙዳ ኮትኮግንደረ ታ የንታ ዘነንታ ሱከንከስ ሳብካንታ ፋስምሳንዳ ማድንግንዳ ጭለትቼንታ ፍክስባብ ማስሰቶ እምከቴ።
2d06140085	ጎመታ አይላ ማትሰቶ የ Ꮊቃንደትካ ጭለትቼን ፍክስካንታ Ꮊረነረ የም ኤስማይ Ꮊቄ።
2d061500d2	ይና ኤና ኮታይካ Ꮊረንት መይድር Ꮊፍሳሬ? ታ የም ኦስንዝድን ሪዘንካ አብ Ꮊረነረ መይድር Ꮊፋከቴ፥ ኮትኮ ሪንተረ በእንተና ደእዬ።
2d0616010a	ታ ማቼ ጎመታ አይላትቻርንካ ዉቺ ዉትሰቶ ሳብታ ፍግዝድባብከስ የንታ ማትንተካ ሳብካንታ ፋስምስባብ ማደቴ፥ ሳብካንታ ፋስምንተረ በእንተና ስለንክንደታ ዶቅንትዬ።
2d061700e0	ጎመዘንካ Ꮊፈርድን ናክና ደእዬ፥ ሳብዘንካ እምምድን እምንተና ማቼ ዎንታ ጮይስን የሱስ ክርስቶስጎካ Ꮊፈርድንዳ ስለንክንደታ ዶቅንትዬ።
2d070100f7	እስታ እስመንከስኬ ምችነንከሶ! ኮም የታ ኤሳየቴ? እከዝድንደና ህግም ኤዝድባብከስካንቴ፥ ህግ ኤድዘን ገችታ ኤራ ዶቅድንደና ኤድ ሰንፔካ ዶቅድንካ Ꮊክዬ
2d07020112	ካምስካንታ፥ ይእሳን ኤተና ኮታ ክእስና ስንፔካ ክት ዶቅድን የለልታ ክትካ ክክን ህግካ ናዞክምሳንደ፥ ኮታ ክእስና ደእሳን ማቼ ይ ዞክምሳን ሙሴታ ህግንዘንካ ና ቡልምቴ።
2d07030152	ኮካንታ ክእስና ሰንፔካ ዶቅድንካ አብ አⷝና ኤር ኮት ይእሴ በልምንእንዳ ና ጋይምዴ። ኮታ ክእስና ደእሳንማቼ ክትካ ክክን ይ ዞክምሳን ህግንዘንካ ና ቡልምቴ፥ አብ አⷝና ኤር ኮት ይእሴረ በልምንእንዳ ና ማታዬ።
2d0704018f	እስታ እስመንከስኬ ምችነንከሶ የንተረ ይተና ኮትኮግንዴ፥ የታ ክርስቶሰታ ዘነንታ ሱካ የ ማቻን ጎካ ደእካ ፋስመርድንደትከካ ህግዘንካ ፋስምተቴ፥ ኮካንታ ሳብታ ፍክስንካንታ አፍ ዎ ኡዝድንግንዳ ደእናርንካ አምስባብ ክርስቶስታ ኮችንከስ ማተቴ።
2d070500e7	ኤታ ገቅርካ ዎ ኦንግድ Ꮊቃንደት Ꮊይካ ህግንዘንካ አምድን ዳቅል አንግርና ደእታ አፍ ዎ ኡስተርንግንዳ ዎንታ ዘነንታ ሱከንከሳር ፍግዝድ Ꮊቄ።
2d0706014d	ታ ማቼ ዎም ዞክሶ Ꮊቃን ህግንዘንካ ደእዘንካ ፋስምከካ ዎ ፋስምሳን ካንታ ህግንታ ዞክነናርንካ ቡልምቶቴ፥ ኮካንታ ዎ ፍግዝድንዳ ክላ አያንንታ ክተንካ ዳቲ እርምሶ ጻፍምሳን ገሳ ሙሴታ ህግንታ ክተንካ ካዬ።
2d07070157	ይና Ꮊሮንት ጋይዳ? ሙሴታ ህግና ይንታ ማታርንካ ጎሞ? ኩን ካዬ! ኬዛር ማቼ ጎማ Ꮊራ ኮት ማቼረ እ ኤዝድንግንዳ እም ይሳንዳ ሙሴታ ህግዬ። ሙሴታ ህግና “Ꮊይ አንገሬ” ጋያክናና አንግር Ꮊራናንከረ እታ ኤዝዳክት ዶቆ።
