2800000005	Macho
2c02030080	Bo doo bo bijɛ, bo yɛŋ fiɛɛ fimi fi nyu njɛ chilɛme chiŋgu, fi mo fi saaŋe fi gɛɛŋ yi bo le muh wu mumwaa wu mumwaa.
2c0204005a	Kiyo ki Yuude mo ki yisɛ yi bo le bachii, ki ge bo tu bo jɛme jɛ́ yi bituŋ yeye yeye.
2c0205008c	Gɛ̀ bee kife kɛɛ le, Bajuu ba gɛ̀ leesɛ muntele yi Nyo le gɛ̀ bee Yɛlusalɛm, bo ja bituŋ le bichii bi yi kikwɛɛ ki nshɛŋ le.
2c020600d8	No bo yu noo, bo mo bo taashɛ bo to wesee fɛ bamii ba gɛ̀ leesɛ muntele yi Jiso le. Bamii ba gɛ̀ leesɛ muntele yi Jiso le bayu mo bo jɛme, muh wu mumwaa wu mumwaa bo le yuge a jɛ́ yiboo le. Fi fuuŋsɛ bo.
2c02070066	Jwe yuŋ bo, bo tu bo ghaade, bo duu lɛ, “Gɛ bamii ba jɛme banɛ bachii nyu bamii ba Galalee gɛ?
2c0208005e	Fi jiɛnyi nɛɛ fɛ bee yuge muh wu mumwaa wu mumwaa bo le jɛme a jɛ́ yi bituŋ biɛsa le?
2c02090072	Bee bamu ja Batia, bamu ja Mɛde bɛ Ɛlaŋ, bamu ja Misobotɛmia bɛ Judia mo Kafadosia, bamu ja Bontu bɛ Ɛsia.
2c020a00c3	Bee bamu ja Fligia bɛ Banfilia, bamu Ijib bɛ bimbe bi Libia le, bì le mbebe a kilaantɛŋ kì Sɛliŋ le. Bee bamu ja Lum, nyu Bajuu bɛ bamii bo kaase lo bo tu bamii ba mbɛmɛ wu Bajuu le.
2c020b0088	Bee bamu ja Klɛt bɛ Alɛbia. Bee tu yuge a jɛ́ yi bituŋ biɛsa le yeye yeye no bamii banɛ jɛme biŋgha bi mwɛɛ bì Nyo gee.”
2c020c004a	Jwe yuŋ bo, bo tu bo maŋe lɛbolɛbo laa finɛ fiɛɛ duunyi lɛ la lɛ.
2c020d0053	Bamii bamu tu bo keede lo fiboo bo duu lɛ, “Bamii banɛ le mbvuuŋ koo wa bo.”
2c020e0133	Noo, Bita bɛ kimbɛge ki booŋ ba ntuŋ ba Jiso ba yuufe ncho wu mumwaa mo bo lɛɛŋ fo. Bita mo wu kɛ wu tu wu jɛme kinchvu ki bamii le fɛwɛɛwe lɛ, “Bɛŋ Bajuu mo bamii bachii ba chee Yɛlusalɛm, ŋgoone lɛ bɛŋ kɛ̂ɛ finɛ. Bɛŋ nyâ bintuŋ chuule yi fiɛɛ fì nlé njɛmɛ bɛŋ le.
2c020f0066	Mbvuuŋ baaŋ koo gɛ bamii banɛ no bɛŋ kwaji gɛ. Mɛɛse baaŋ gɛh lo juu bikaa bvuugɛ antaana.
2c0210005c	Fiɛɛ fì kooshi finɛ mɛɛse le fì Juɛl wù muh wu ntuŋ wu Nyo gɛ̀ jɛmɛ wa lɛ,
2c0211010c	‘Nyo duu lɛ, lé doo nyûme yi aju a kimɛsɛ le, wu chvû Kiyo ke yi bamii le bachii. Noo booŋ bena ba bilɛŋsɛ mo ba bikɛse, bo yûge mwɛɛ mù wu jɛme, bo sɛŋe bamii le, mwɛɛ njɛ bifilɛ too fɛ chuu yi bamii bena le, bifilɛ laane ŋgaamii bena.
2c0212009d	Lé ge doo nyûme aju ayu le, wu chvû Kiyo ke yi bamii ba lɛme be le bachii, bilɛŋsɛ bɛ bikɛse, bo yûge mwɛɛ mù wu jɛme, bo sɛŋe bamii le.
2c021300a8	Fi le lɛ wu gee mwɛɛ mu jwe wu yune le fɛwe, wu ka wu gee mwɛɛ mù duunyi bvuŋga bwe yi nshɛŋ le. Kilɛmɛ bɛ ŋgu mo chinjige chì kuufe ye le chi nyûme.
2c02140076	Juu lé chi gê chi jîmɛ, kwii jâ wu yɛ̂ɛde njɛ kilɛmɛ, fɛ juu chi baaŋ chi Tada chi kiŋgha ge chi to.
2c02150058	Noo, le yɛɛŋ wù lé wu gê wu lɛ̂ge Tada, wu lé wu gê wu bvûsɛ wu.’”
2c0216015b	Bita ka wu jɛmɛ lɛ, “Bamii ba Ishwala, bɛŋ yêgɛ bɛŋ yû chuule fiɛɛ fì njɛme. Jiso wu Nasalɛ gɛ̀ bee muh wù Nyo gɛ̀ dunyɛ bɛŋ le chuule lɛ le wu wù tuŋ wu no wu gɛ̀ ge Jiso gee mwɛɛ mù duunyi bvuŋga bvu Nyo, bɛ mwɛɛ mu de yì yunɛ, bɛ biŋgha bi mwɛɛ a bɛŋ ntɛnɛɛ. Bɛŋ kee mwɛɛ munɛ chuule.
2c021700c3	Jiso wunɛ le muh wù ba gɛ̀ nya bɛŋ le, gɛ̀ seese Nyo fi ge fi kooshi wu gɛ̀ kee wa. Bɛŋ mo bɛŋ yuuyɛ wu no bɛŋ gɛ̀ nya wu chiaaŋ yi bamii ba befe le, ba ta wu yi kintaaŋ le.
2c02180078	Geenɛ, Nyo kaasɛ wu bvusɛ wu yi kwe le, wu bonɛ chiaaŋ yi kwe le nje gɛ kwe gɛ̀ taŋlo yi mɛ yi jiji wu le gɛ.
2c021900a3	Dabi gɛ̀ bee wu jɛmɛ wa kune Jiso wunɛ wu duu lɛ, ‘N'yɛde Tada le wu nyu besa wu segechiikibo kaŋ kinchiɛɛŋ le, gɛ taŋlo fiɛɛ shîŋshɛ mɛ gɛ.
2c021a0076	Noo, fitele fiaŋ mo fi yuge njoŋ, njɛme bɛ kinlaŋye. Nle muh nyu ŋge ŋkwe gɛh lo, geenɛ njiiŋe gɛh nyu fwe,
2c021b0092	nje gɛ wo wù Nyo nyu wo ge wo chinɛ kiyo kaŋ woŋ wu baŋkfu le gɛ. Gɛ wo nyu wo ge wo chinɛ Mwa yo wu lɛme wù Yuude wu fo a jɛŋ gɛ.
2c021c0077	Wo le wo dunyɛ wa mɛ je yì taŋlo nfê yu fɛ mbonɛ. Nlé ŋgê nlaŋeye, no nlé ŋgê nyume a wo fwe.’”
2c021d00b2	Bita ka wu jɛmɛ lɛ, “Booŋ ba bwɛɛŋ, taŋlo njɛme bɛŋ le n'ya maŋe gɛ lɛ chiji chiji wese wu Nfoŋ Dabi gɛ̀ kwe, ba jiiyɛ wu, jɛŋ ye le fɛnɛ too bude abɛŋ.
2c021e0097	Wu gɛ̀ bee muh wu ntuŋ wu Nyo, wu ka kee ŋka wù Nyo gɛ̀ ka wa wu yu, wu ji leh lɛ wu lé wu gê wu gɛɛ mwa wu a kfuu che le yi kala we le.
2c021f010a	Wu mo wu yaŋsɛ wu yɛŋ fiɛɛ fì Nyo gɛ̀ bee ki wu gê le, wu jɛmɛ lɛ Mbvusɛ wù Nyo gɛ̀ ka lé wu gê wu bû yi kwe le. Le fiɛɛ fì wu gɛ̀ jɛmɛ lɛ, ‘Wu gɛ̀ baaŋ mɛ gɛh woŋ wu baŋkfu le gɛ, ye ye gɛ̀ baaŋ fo gɛ a jɛŋ gɛ.’
2c02200061	Jiso wunɛ Nyo gɛ̀ bvusɛ wu yi kwe le, bee bachii be le bamii be ba ŋgoo bee gɛ yɛŋ wu le.
2c022100be	Nyo le wu bɛɛŋsɛ wa wu, wu shiishɛ wu a kibo ke kinchiɛɛŋ le, wu nya wu Kiyo ki Yuude no wu gɛ̀ ka. Fiɛɛ fì bɛŋ yɛde bɛŋ ka yuge mɛɛse le Kiyo kiyu kì Jiso nya bee le.
2c0222009b	Gɛ nyu Dabi wù gɛ̀ bɛnɛ we gɛ. Dabi kibɛɛ gɛ̀ jɛmɛ fie lɛ, ‘Tada Nyo gɛ̀ jɛmɛ Tada waŋ le lɛ, “shilɛ a kibo kaŋ kinchiɛɛŋ le,
2c0223007b	gɛɛŋ bu sege nlé ŋgê ŋgîiŋsɛ bamii buŋ ba kimbanɛ, wo tomɛ bikaa biuŋ yi bo le njɛ kitege ki bikaa.”’
2c022400b0	Noo, bamii bachii ba Ishwala mo bo kêe chuule lɛ Jiso wunɛ wù bɛŋ gɛ̀ ta yi kintaaŋ le, le wu wù Nyo le wu gɛɛ wa lɛ le Tada ka nyu Mbvusɛ wù wu gɛ̀ ka.”
2c022500a5	No bamii bayu yu noo, njɛme wɛɛ koo bo. Bo mo bo biih Bita bɛ kimbɛge ki booŋ ba ntuŋ ba Jiso le lɛ, “Booŋ ba bwɛɛŋ, bee lé be gê nɛɛ mɛɛse?”
2c022600bf	Bita chvuu bo le lɛ, “Muh wu mumwaa wu mumwaa kûsɛ fitele fie, ba lêesɛ wu a joo a jee chi Jiso Kletu le lɛ Nyo lɛ̂ɛshɛ bimbefɛ bie wu ka wu nyâ wu bɛ nnya yi Kiyo ki Yuude.
2c022700af	Ŋka wuyu wunɛ le fɛ bɛŋ le, bɛ fɛ booŋ bena le, ka nyume fɛ bamii bachii ba le yaga le. Fi le lɛ wu fɛ bamii bachii ba Tada Nyo wese tɛŋe lɛ bo too fɛ wu le.”
2c02280096	Bita ka wu jɛme mwɛɛ wesee, wu teefe bo, wu chiisɛ lɛ bo fîh bikwɛɛ biboo yi ŋgɛ wù lé wu gê wu tô yi kiŋgogɛ kì befe kinɛ le.
2c02290095	Bamii yu njɛmɛ wu Bita wunɛ, ba duude bɛɛŋ, ba mo ba leesɛ bo a joo. Juu chiyu bamii taa fɛ ŋgoo yi bamii ba Jiso le njɛ banchvuge batɛde.
2c022a00ad	Bo mo bo nya bikwɛɛ biboo, bo yuge mwɛɛ nyu mù booŋ ba ntuŋ ba Jiso gɛ yɛyi. Bɛ bo mo bo nyu yi kintaashɛ le, bo bwɛɛyi blɛd, bo ka bo buune yi kintaashɛ le.
2c022b0085	Booŋ ba ntuŋ ba Jiso tu bo gêe mwɛɛ mu de yì yunɛ bɛ mwɛɛ wesee mù duunyi bvuŋga bvu Nyo, bamii yɛde, fi ghage lo bo.
2c022c005e	Ŋgoo yi bamii ba mbɛmɛ bachii tu bo nyu yi muh le wu mumwaa, bo kɛme fiɛɛ fiboo fimimia.
2c022d006a	Bo gɛ̀ ja bo gese manjuu maboo bɛ mwɛɛ muboo, bo gade bige biyu lɛbolɛbo no ŋgɛ wu muh gɛ̀ bee.
2c022e009f	Bo mo bo shee bo taashi fɛ yeh yi kintanyɛ le aju achii, bo jii mwɛɛ yi kintaashɛ le, a la le bɛ kinlaŋye fɛ muntele muboo le, bo yɛɛde gɛ ajii gɛ,
2c022f0061	bo yuusɛ Nyo. Bamii bachii koŋe bo. Tada tu wu fii bamii aju achii, wu taade yi ŋgoo yiboo le.
2c0301007e	Gɛ̀ bee juu chimi, Bita bɛ Joŋ ja bo bɛɛne fɛ yeh yi kintanyɛ le juu bikaa bitɛde fɛnshɛ, gɛ̀ bee kife ki buunɛ.
2c03020146	Gɛh kife kiyu le, bamii tuu muh mu bo too bɛ wu, bo shiishɛ wu fɛ jwe wu kitaŋ wù ba gɛ̀ tɛŋe lɛ wù Joŋe wù gɛ̀ leese fɛ yeh yi kintanyɛ le. Muh wuyu ba gɛ̀ boyi wu, wù nyu kiŋkɛlɛ, bamii gɛ̀ tuude wu aju achii bo too bo shiishi fɛ wu lɛgɛ bige fo a bamii ba fede bo leese yeh yi kintanyɛ le.
2c03030050	Wu yɛŋ Bita bɛ Joŋ bo fede ki bo lee yu, wu mo wu tu wu lɛgɛ bige a bo le.
2c0304004e	Bita bɛ Joŋ noŋ ajii yi ye ye le. Bita jɛmɛ wu le lɛ, “Bîjɛ bee!”
2c03050039	Wu mo wu bijɛ bo, wu kwaji lɛ bo le bo nyâ wu fiɛɛ.
2c030600b4	Bita jɛmɛ wu le lɛ, “Gɛ ŋkɛme bige gɛ mbɛŋ, geenɛ, fiɛɛ fì ŋkɛme nlé nnyâ wo le. Njɛme wo le a jee chi Jiso Kletu wu Nasalɛ le lɛ, jâ we wo jîɛnyi!”
2c03070085	No wu jɛmɛ noo, wu mo wu jijɛ wu yi kibo kinchiɛɛŋ le, wu chiaasɛ wu we. Kimimia, bikaa bɛ muŋgolo bi muh wuyu mo bi tɛmɛ.
2c03080094	Wu selɛ we wu lɛɛŋ, wu mo wu kɛ wu tu wu jiɛnyi. Bɛ bo gɛɛŋ bo lee fɛ yeh yi kintanyɛ le, wu tu wu jiɛnyi fo wu seele we, wu yuuse Nyo.
2c03090037	Bamii bachii ba gɛ̀ yɛde no wu jiɛnyi wu yuuse Nyo,
2c030a00b4	bo kɛɛ lɛ le muh wù gɛ̀ shee wu lɛgɛ kilɛgɛ jwe wu kitaŋ wù Joŋe wù leese fɛ yeh yi kintanyɛ le. Ajii jiiŋ bo, bo kɛme kiŋgha yi fiɛɛ fì kooshi bɛ wu le.
2c030b00ab	Muh wuyu ŋɛɛŋ lo yi Bita bɛ Joŋ le. Bamii yɛŋ de yuŋ bo, bo tu bo lege bachii bo gɛɛne bo taade bo le fɛ kijusɛ kì ba gɛ̀ tɛŋe lɛ Ŋgaa yi Salamoŋ le.
2c030c0124	Bita yɛŋ no bamii taashɛ bo too, wu mo wu jɛmɛ bo le lɛ, “Bamii ba Ishwala, le nje la wu jwe yune bɛŋ kune fiɛɛ finɛ, fɛ bɛŋ jiiŋe bee nɛ? Bɛŋ kwaji fiena lɛ ge bvuŋga bwesa muh wunɛ fɛ wu jiɛnyi? Noo bɛŋ kwaji tɛ lɛ ge kinche kesa kì yuude le? Gɛ nyu noo gɛ.
2c030d011f	Fi le lɛ Nyo wu Ablaham bɛ wu Asik mo wu Yakob, wu le Nyo wu bachiji chiji besa bachii gɛ̀ bɛɛŋsɛ wa Jiso muh we wu lɛme le wu gɛɛ wu mbebe ye le. Jiso wunɛ le wu wù bɛŋ gɛ̀ faŋ, bɛŋ jo bɛŋ nya bamii ba sage le, Balɛt tu wu goone ki wu chînɛ wu le, bɛŋ faŋ.
2c030e0088	Jiso gɛ̀ bee muh wu yuude, wù nyu chaaŋ, bɛŋ faŋ wu, bɛŋ jɛmɛ lɛ ba bvusɛ nyu muh wù gɛ̀ yuuyi bamii, ba nya bɛŋ le.
2c030f009c	Bɛŋ gɛ̀ ge noo bɛŋ mo bɛŋ yuuyɛ muh wù nyaa kinche bamii le. Geenɛ, Nyo kaasɛ wu bvusɛ wu yi kwe le, bee yɛŋ wu le bee mo be sɛŋe kune wu.
2c031000ed	Ge jee chi Jiso wuyu fɛ kiŋkɛlɛ kinɛ kì bɛŋ yɛde, bɛŋ kee, fɛ ki ja ki jiɛnyi. Fi kooshi noo nje bee le bee lee fitele yi Jiso le, fitele fì bee leese yi ye ye le mo fi ge muh wunɛ mo wu tɛmɛ chuule nɛ no bɛŋ yɛde.
2c03110087	Mɛɛse booŋ ba bwɛɛŋ, ŋkêe lɛ fiɛɛ fì bɛŋ bɛ bikwɛɛ biɛna bi woŋ gɛ̀ ge bɛ Jiso le bɛŋ gɛ̀ ge bɛŋ kee gɛ.
2c031200be	Fi gɛ̀ kooshɛ yinɛ je le ki fi gê fi to fi kojɛ no Nyo gɛ̀ ge wa bamii be ba ntuŋ le bachii wu gɛ̀ jɛmɛ baaŋ lo lɛ Mbvusɛ we, wu wù gɛ̀ ka lé wu gê wu yɛ̂ŋ ŋgɛ.
2c0313006b	Noo, bɛŋ kusɛ muntele mwɛna bɛŋ kaasɛ bɛŋ tu jiŋ fɛ wu le, fi le lɛ wu chiijɛ bimbefɛ biɛna,
2c03140062	wu mo wu ge shɛ́ŋ jɛde bɛŋ, wu chiiŋsɛ Jiso wù Mbvusɛ wù wu gɛ̀ balɛ fɛ bɛŋ le.
2c031500c8	Jiso wunɛ kɛme ki wu mɛ̂ fɛwe gɛɛŋ bu kife kì Nyo lé wu gê wu sêesɛ mwɛɛ munchii mu kaasɛ mu tu munfɛŋ, no wu gɛ̀ jɛme de yi bamii be ba ntuŋ ba yuude le baaŋ lo nchensɛŋ.
2c031600e4	Musɛ gɛ̀ jɛmɛ lɛ, ‘Tada Nyo lé wu gê wu bvûsɛ muh we wu ntuŋ wumu a booŋ ba bwe wene ntɛnɛɛ, wu chîiŋsɛ fɛ bɛŋ le gɛh no wu gɛ̀ bvusɛ mɛ, bɛŋ kɛme ki bɛŋ yûge fiɛɛ fì wu jɛme bɛŋ le.
2c0317007e	Muh wu le njɛ wu yuge muh wu ntuŋ wuyu le sɛŋ, le ba nyu ba bvûsɛ wu ŋgoo yi bamii ba Nyo le, ba lɛ̂ɛshɛ lo wu.’
2c03180091	Le gɛh tɛ no bamii ba ntuŋ wu Nyo bachii kɛge yi Samwe le bɛ baa ba gɛ̀ to a wu jiŋ gɛ̀ jɛmɛ wa kune mwɛɛ mù kooshi aju kanɛ le.
2c03190123	Mwɛɛ munchii mù Nyo gɛ̀ ka de yi bamii be ba ntuŋ banɛ le le mwɛna, leh wù Nyo gɛ̀ ji bɛ bachiji chiji bena, le tɛ fɛ bɛŋ le. Le no Nyo gɛ̀ jɛmɛ Ablaham le lɛ, ‘Nlé ŋgê nôŋ kimbonɛ yi bamii bachii le yi kikwɛɛ ki nshɛŋ le, fede yi mwa wu a wo yeh le.’
2c031a009a	Nyo mo wu cha muh we wu lɛme wu ya wu tuŋ nyu fɛ bɛŋ le lɛ wu tô wu nôŋ kimbonɛ yi ye yene le, wu gê bɛŋ chinɛ jé yene yì befe le.”
2c040100af	Gɛ̀ no Bita bɛ Joŋ gɛ̀ baaŋ bo jɛme bamii le noo, bachiji kintanyɛ bamu bɛ bikwɛɛ bi bamii ba nchi bo gɛ̀ chiɛɛne yeh yi kintanyɛ mo Basadushii bamu selɛ fo.
2c04020098	Bo gɛ̀ toonyi shɛ́ŋ nje Bita bɛ Joŋ gɛ̀ yɛyi bamii, bo feeji lɛ no Jiso gɛ̀ bu yi kwe le, le no baŋkfu lé bo gê bo bû tɛ yi kwe le.
2c04030064	Bo mo bo koo bo ba gɛɛŋ ba faa no gɛ̀ bee wa fɛnfu, lɛ bvu doo bvuyuu, fɛ bo tû bo yûge.
2c04040095	Geenɛ, bamii ba duude bo gɛ̀ yu wa n'yɛyɛ wu Bita bɛ Joŋ, bo gɛ̀ bɛɛŋ, ŋgoo yiboo duu, bilɛŋsɛ mo bo nyume wa njɛ banchvuge batɛŋ.
2c04050087	Bvu gɛ̀ bu bvuyuu, bachiji woŋ bɛ bamii ba sage woŋ mo bamii ba gɛ̀ duunyi banchi ba Nyo, taashɛ kijusɛ ki mumwaa Yɛlusalɛm.
2c04060096	Anas wù kikwɛɛ ki bachiji kintanyɛ bɛ Kayfa mo Joŋ bɛ Alɛksanda mo bamii bamu ba gɛ̀ bee tɛ kfuu chi kikwɛɛ ki bachiji kintanyɛ nyu fo.
2c04070098	Bo mo bo leesɛ Bita bɛ Joŋ a bo jii, bo biih bo le lɛ, “Bɛŋ chi jo faaŋ bvuŋga fɛ bɛŋ fɛ muh wunɛ? Bɛŋ chi fɛ a jee chi yɛɛŋ le?”
2c0408005f	Kiyo ki Yuude yisɛ yi Bita le, ki ge wu chvuu bo le lɛ, “Chiji woŋ bɛ bamii ba sage woŋ,
2c040900b0	bee lɛme fɛnɛ abɛŋ ki bee tanyɛ jwe kune lɛme chì joŋe chì bee chi ge fɛ kiŋkɛlɛ kinɛ le, fɛ wu jîɛnyi. No bɛŋ goone ki bɛŋ kɛ̂ɛ no fi chi jiɛnyɛ,
2c040a00f5	bɛŋ mo bamii bachii ba Ishwala kêe lɛ muh wunɛ lɛme a bɛŋ jii mɛɛse wù nyu wu tɛmɛ nɛ, nje jee chi Jiso Kletu wu Nasalɛ. Jiso wunɛ le wù bɛŋ gɛ̀ jo bɛŋ ta yi kintaaŋ le wu kwe, geenɛ Nyo kaasɛ wu bvusɛ wu yi kwe le.
2c040b008e	Wu le tɛdɛ chi Ŋwa wu Nyo jɛmɛ kune chi lɛ, ‘Tɛdɛ chì bamii ba njonɛ gɛ̀ faŋ lé chi jâ chi tû tɛdɛ chi buu chi yeh.’
2c040c0088	Le gɛh Jiso maa wù bvuuse bamii. Gɛ jee chi muh mu ka nyume yu fɛkuu fɛnɛ chi Nyo le wu gɛɛ lɛ taŋlo chi bvuuse bamii gɛ.”
2c040d00da	Bamii ba gɛ̀ sage baa, yu no Bita bɛ Joŋ jɛme bo ya faane gɛ, bo ka bo yɛŋ lɛ le bamii ba nchɛ, bo kee gɛ ŋwa chuule gɛ, de yuŋ lo bo. Bo mo bo kɛɛ lɛ fi le noo, nje le bamii ba gɛ̀ jiɛnyi bɛ Jiso.
2c040e0084	Bo gɛ ka bo kɛme fiɛɛ fì bo tɛɛnyi Bita bɛ Joŋ yi fi le gɛ, nje bo gɛ̀ yɛde muh wù ba gɛ̀ fɛ le, wu lɛme bɛ bo.
2c040f006f	Bamii ba gɛ̀ sage bayu ja bo bvusɛ bo akfuuŋ, bo mo bo shɛɛ bo tu bo chude bantaŋ lɛbolɛbo bo duu lɛ,
2c041000b0	“Bee lé be gê nɛɛ bɛ bamii banɛ? Bamii bachii ba Yɛlusalɛm le bo kɛɛ wa kune fiɛɛ fì duunyi bvuŋga bvu Nyo bwanyi le finɛ fi bo ge, gɛ taŋlo bee faŋ gɛ.
2c041100c2	Geenɛ, ki bee ge lɛ keefɛ saaka wuyu wunɛ ka wu sâaŋe wu gɛ̂ɛne fwe gɛ, bee kâjɛ bamii banɛ lɛ keefɛ bo ka bo môŋ lo bo jɛ̂mɛ fiɛɛ muh le kune jee chi Jiso wunɛ gɛ.”
2c0412008f	Bo tɛɛŋ Bita bɛ Joŋ bo kaasɛ bo lee. Bo lejɛ lo bo le lɛ keefɛ bo ka bo môŋ lo bo jɛme, kɛnɛ bo yɛyi muh kune jee chi Jiso gɛ.
2c0413008b	Bita bɛ Joŋ chvuu fiboo lɛ, “Bɛŋ kwâjɛ laa fiɛɛ fì le chuule fɛ Nyo le, le lɛ bee yû nyu bɛŋ le noo, wu wù Nyo le la?
2c04140055	Gɛ taŋlo bee lu ki be jɛ̂me kune mwɛɛ mù bee le be yɛŋ bee ka be yu gɛ.”
2c041500d1	Bamii ba gɛ̀ sage bayu bo ka bo lejɛ lo fi tɛmɛ, bo mo bo chinɛ bo le bo ja bo gɛɛne. Bo gɛ̀ fu fiɛɛ fì bo leesɛ bo yi ŋgɛ le, nje bamii bachii gɛ̀ yuuse Nyo yi fiɛɛ fì gɛ̀ kooshɛ le,
2c0416008d	fi ka fi ge muh wuyu wù ba gɛ̀ ge fiɛɛ fì duunyi bvuŋga bvu Nyo finɛ ki ba fɛ wu wù tɛmɛ gɛ̀ bee wu fede wa biluŋ mbaanyɛ.
2c041700b1	No bo chinɛ Bita bɛ Joŋ le noo, bo kaasɛ bo tu jiŋ fɛ bamii baboo ba ŋgoo le, bo sɛɛŋ bo fiɛɛ fì bachiji kintanyɛ ba baaŋ baaŋ bɛ bamii ba sage woŋ be jɛmɛ.
2c041800b1	Bo yu, bo mo bo banyɛ ye bo lɛgɛ Nyo yi muh le wu mumwaa lɛ, “Tada, Chiji Kikwɛɛ wù gɛ̀ fɛ kibvulɛ bɛ nshɛŋ bɛ jóo mo mwɛɛ munchii mù le manjuu manɛ le.
2c041900fb	Wo wù gɛ̀ ge chiji bachiji besa wù Dabi wù gɛ̀ bee mwa yo wu lɛme, wu jɛmɛ bɛ bvuŋga bvu Kiyo ki Yuude le lɛ, ‘Le nje la wù bamii ba le gɛ Bajuu gɛ fuge bɛ fiɛɛ shɛ́ŋ le, bamii chude bantaŋ njɛ bo lé bo lɛ̂ɛŋ sɛŋ?
2c041a0084	Banfoŋ ba fɛkuu fɛnɛ seese jɛŋ, bamii ba sage woŋ taashi ki bo juu bɛ Tada bɛ muh we wù wu le wu yefɛ lɛ le Mbvusɛ.’
2c041b0103	Le gɛh yɛɛŋyɛɛŋ bɛ fiɛɛ fì gɛ̀ kooshɛ alaantɛŋ yanɛ. Nfoŋ Hɛlod bɛ Bontu Balɛt gɛ̀ taashɛ bɛ bamii ba le gɛ Bajuu gɛ mo bamii ba Ishwala bo ji nchvuuŋ yi Jiso wu le mwa yo wu lɛme wù yuude wù wo gɛ̀ yefɛ lɛ wu le Mbvusɛ.
2c041c008c	Bo gɛ̀ taashɛ ki bo ge nyu mwɛɛ mù wo gɛ̀ bee wo seesɛ wa je yì ndefe le bɛ bvuŋga bwuŋ no wo koŋe lɛ mu gê mu kôoshɛ.
2c041d00a6	Noo, yi mɛɛse le Tada, bîjɛ wo yɛ̂ŋ je yì bamii banɛ nyuse bɛ bee. Nya bee bamii buŋ ba lɛme bɛ muntele mù tɛɛme ki bee feeji jɛ yo bee faane gɛ.
2c041e00a7	Nya bee bɛ bvuŋga bwuŋ bee fɛde bamii bee ka gee mwɛɛ mù duunyi bvuŋga bwuŋ bɛ mwɛɛ mu de yì yunɛ a jee chi Jiso wù Mwa yo wu lɛme wù yuude le.”
2c041f0089	No bo mɛse bo buunɛ, nshɛŋ shiŋshɛ fɛ bo gɛ̀ bee fo. Kiyo ki Yuude yisɛ yi bo le, bo mo bo tu bo feeji jɛ yi Nyo bo faane gɛ.
2c042000a9	Ŋgoo yi bamii ba mbɛmɛ gɛ̀ bee fitele fimimia, bo nyu yi muh le wu mumwaa, muh tɛŋe gɛ fiɛɛ fimi lɛ le fie wumaa gɛ. Fiɛɛ fi muh gɛ̀ bee fi bamii bachii.
2c042100a7	Nyo nya bvuŋga bvù baaŋ booŋ ba ntuŋ ba Jiso le, bo tu bo feeji bamii le fi tɛɛme lo lɛ Tada Jiso gɛ̀ bu yi kwe le. Nfii wu Nyo nyume yi bo le bachii wesee.
2c04220083	Gɛ muh gɛ̀ nyu yu wu fuude a bo ntɛnɛɛ gɛ, nje bamii ba gɛ̀ kɛme ŋɛɛ kɛnɛ yéh, bo gɛ̀ gese bo too bɛ bige biyu,
2c04230066	bo nyaa chiaaŋ yi booŋ ba ntuŋ ba Jiso le, bo mo bo gade bamii le bachii no ŋgɛ wu muh gɛ̀ bee.
2c042400c1	Muh mu gɛ̀ bee ba tɛŋe lɛ Yosɛf, booŋ ba ntuŋ ba Jiso chu jee che chimi lɛ Banaba, (Chì le lɛ, Muh N'yufɛ Muntele). Wu gɛ̀ bee muh wu a kfuu chi Lɛwe le, ba gɛ̀ boyi wu Sablu.
2c04250063	Wu mo wu gɛɛŋ tɛ wu gesɛ we mwɛ, wu to wu nya bige biyu chiaaŋ yi booŋ ba ntuŋ ba Jiso le.
2c05010055	Muh mu wù ba gɛ̀ tɛŋe lɛ Anania bɛ kwɛɛ wu Safɛla gɛ̀ gesɛ tɛ kijusɛ.
2c05020071	Bɛ kwɛɛ seesɛ bo gade bige biyu, wu mo wu jo kimbɛge wu gɛɛŋ wu nya chiaaŋ yi booŋ ba ntuŋ ba Jiso le.
2c050300c3	No wu nya noo, Bita biih wu le lɛ, “Anania, ge la fɛ wo chinɛ Sataŋ lee a fitele fiuŋ le wu gê lɛ wo mbîaŋ chimbiaŋ fɛ Kiyo ki Yuude le, wo mo wo gade bige bì wo gese kijusɛ yu?
2c050400db	Fɛ wo chi bee ki wo gêsɛ kijusɛ kinɛ gɛ chi bee kuŋ gɛ? Wo doo wo gesɛ bige nyume tɛ biuŋ gɛ? Wo ge nɛɛ fɛ wo ge kfuu chi finɛ fiɛɛ? Wo baaŋ mbiaŋ gɛ nyu bɛ bamii gɛ, wo mbiane nyu fɛ Nyo le.”
2c0505006c	Kimimia no Anania yu jɛmɛ wunɛ noo, wu mo wu gwe wu kwe. Bamii bachii bo gɛ̀ yu saaka wuyu faaŋ baaŋ.
2c05060053	Chuu yi bamii to yi banyɛ wu a nju le, bo jo wu bo bu bɛ wu bo gɛɛŋ bo jiiyɛ.
2c05070060	Ajiŋ njɛ juu bataŋ batɛde, kwɛɛ lee, wu kee gɛ̀ fiɛɛ fì be kooshɛ bɛ jwɛɛŋ gɛ.
