010000000a	Medhetethi
0e13040096	Iyosaafexi Yerusalaamen de7is. Barsaabepe doomidi derey dariya Efreema biitta gakanaw asaa giddon yuuyidi, Godaako, enta aawata Xoossaako enta zaaris.
0e13050040	Yihuda biittan de7iya gimbetida katamata ubban daynnata shuumis.
0e13060075	Entako, “Hinte pirdey asasa gidonashin, hinte pirdiya wode Goday hintera de7iya gisho hinte pirdiya wode naagetite.
0e13070086	Ha77ika Godaas yayyite; Godaa nu Xoossaa matan naaqoy, som7o xeellidi maaddeynne wodhaafe ekoy bayna gisho akeekidi pirdite” yaagis.
0e130800b3	Qassi, Godaa higgiya polisana melanne asaa giddon dendiya mootuwa pirdana mela Leewetape, kahinetapenne Isra7eele asaa soo halaqatape guutha asata Iyosaafexi Yerusalaamen shuumis.
0e13090066	Iyosaafexi enta haysada yaagidi kiittis; “Godaas yashshan, ammanetethaninne kumetha wozanan oothite.
0e130a0105	Banta kataman de7iya hinte ishati shempo wodhon, higge woyko kiita woyko awaajo menthon hinteko yiiko, enti Godaa sinthan bala gidonnaada, iya hanqoy hinte bollanne hinte ishata bolla yoonnaada enta seerite. Hinte enta seeriko hinte hinte huuphen bala gideketa.
0e130b00e1	Godaaba gidida ubban kahineta halaqaa Amaare; kawoba gidida ubban Yihuda kochaas halaqa gidida Isma7eela na7aa Zabada shuumas. Leeweti hinte bolla halaqa gidana. Hinte minnidi oothite; suureba ootheysara Goday gido” yaagis.
0e1401004b	Hessafe guye, Moo7abetinne Amooneti Ma7uunati Iyosaafexa bolla dendidosona.
0e140200d0	Guutha asati Iyosaafexako yidi, “Maxine Abbaafe hefinthan de7iya Edoomepe daro olanchoti nena olanaw yidosona. Enti Hasasoon-Tamaaran de7oosona” yaagidi odidosona. (Hasasoon-Tamaari Engaadas hara sunthu.)
0e14030057	Iyosaafexi yayyida gisho Godaa oychanaw qofa qachis; Yihuda biitta ubban xooma awaajis.
0e1404006f	Yihuda asa ubbay Godaape maado koyanaw shiiqidosona; enti Godaape maado koyanaw Yihuda katama ubbaafe yidosona.
0e14050067	Iyosaafexi, Yihudanne Yerusalaame shiiquwa giddon, xoossaa keethan de7iya ooratha dabaaba sinthan eqis.
0e140600d3	Ba qaala dhoqu oothidi, “Abeeti Godaw, nu aawata Xoossaw, salon de7iya Xoossay nena gidikii? Sa7an de7iya kawotethata ubbaa haarey nena. Gitatethinne wolqi ne kushen de7iya gisho neera eqetanaw danda7ey baawa.
0e14070089	Abeeti nu Xoossaw, kase ha biittan de7iya asaa, Isra7eele sinthafe yedethada ne laggiya Abrahaame zerethaas merinaw immiday nena gidikii?
0e1408003b	Enti ha biittan de7idosona; yan ne sunthaas keethe keexidi,
0e140900c9	‘Nu bolla iita metoy woyko oli woyko gadoy woyko koshi gakiko, ne sunthay de7iya ne keethaa sinthaninne ne sinthan eqidi, nu metuwan neeko waassana. Ne nu waasuwa si7ada nuna ashshana’ yaagidosona.
0e140a00a5	“Heko, ha77ika, Isra7eele asay Gibxefe keyida wode, enta biitta olonna mela oothada enta dhaysona mela diggida Amooneti, Moo7abetinne Sayreti ha biittan de7oosona.
0e140b0064	Nu oothidobas enti nuus zaaridaba be7a. Ne nuus immida laata biittafe enti nuna yedethanaw yidosona.
0e140c00a6	Abeeti nu Xoossaw, ne enta pirdikii? Nuna olanaw yida ha daro olanchotara oletanaw nuus wolqi baawa. Nuuni oothanaba eroko; shin nu ayfeti nena xeelloosona” yaagis.
0e140d0053	Yihuda asa ubbay banta naytaranne banta machetara shiiqidi Godaa sinthan eqidosona.
0e140e00c6	He wode Zakariyasa na7ay Yahazi7eeli shiiquwa giddon eqidashin Godaa Ayyaanay iya bolla wodhis. Zakariyasi Banaya na7a; Banayi Yi7eela na7a; Yi7eeli Mataana na7a; Mataani Leewe kochenne Asaafa yara.
0e140f00e1	Godaa Ayyaanay Yahazi7eela bolla wodhin, “Kawaw Iyosaafexa, Yihudaninne Yerusalaamen de7iya asaw, ubbay si7ite! Goday hintena yaagees. ‘Ha daro olanchota gaason yayyofitenne dagammopite. Olay hintebaa gidonashin Xoossaba.
0e14100081	Wonto enta bolla keyidi Xiixa geetetiya bessaa pude keyishin Yiru7eela mela biittan de7iya zangaara wursethan hinte enta demmana.
0e141100e0	Ha olaa oletey hintena gideketa. Yihudanne Yerusalaame asaw, hinte bessaa bessaa oykidi minnidi eqite. Goday hintena ashshiya ashuwa be7ite. Yayyofite; dagammofite; wonto enta bolla keyite; Goday hintera gidana’” yaagis.
0e1412007b	Iyosaafexi som7o sa7a gathidi goyinnis; Yihuda asa ubbay Yerusalaamen de7iya asa ubbay Godaa sinthan kundidi goyinnidosona.
0e1413006e	Qahaatanne Qore kochaafe guutha Leeweti eqidi banta qaala dhoqu oothidi, Godaa Isra7eele Xoossaa galatidosona.
0e141400f5	Enti wonta guura dendidi Tequhe mela biitta bidosona. Enti keyida wode Iyosaafexi dendi, “Yihudaninne Yerusalaamen de7iya asaw taani geysa si7ite. Godan, hinte Xoossan ammanetite; hinte minnana; nabeta ammanite ubbay hintew injetana” yaagis.
0e141500a7	Iyosaafexi asaara zoretidaape guye, “Godaa galatite, iya siiqoy merinaasa” yaagidi yexishenne iya geeshsha bonchuwa sabbishe olanchota sinthara biya asata shuumis.
0e14160082	Enti mazmure yethinne galata doomida wode Yihuda olanaw yida Amooneta bolla, Moo7abeta bollanne Sayreta bolla Goday dagama yeddis.
0e1417008d	Amoonetinne Moo7abeti Sayreta bolla dendidi, enta kumethi dhaysidosona. Enti Sayreta dhaysidaape guye banta giddon issoy issuwa dhaysidosona.
0e141800b0	Yihuda asay mela biittan de7iya olanchota be7anaw yida wode banta morketi de7iya bessaa be7idosona. Enta ahay biittan zin7idaysa demmidosona; entafe issi asika kessi ekibeenna.
0e141900d6	Hessafe guye, Iyosaafexinne iya asay di7o ekanaw bidi shinqe, ola miishe, ma7otanne hara al7o miisheta demmidosona. Shin di7o ubbaa efanaw danda7ibookona; di77idabay daro gidida gisho shiishanaw heedzu gallas ekis.
0e141a0085	Enti oyddantho gallasan Baraka Zangaaran shiiqidi Godaa galatidosona. Hessa gisho he bessaa “Anjo Zangaara” yaagidi sunthidosona.
0e141b0069	Hessafe guye, Yihuda asaynne Yerusalaame asa ubbay Iyosaafexi kaalethin, ufaysan Yerusalaame simmidosona.
0e141c0050	Enti Yerusalaame gakidi diithara, maasinqoranne zayera Xoossa keethi gelidosona.
0e141d005a	Isra7eele morketa Goday olidaysa biittan de7iya kawotethati ubbay si7ida wode yayyidosona.
0e141e005d	Yaatidi Xoossay Iyosaafexas ubba baggara shempo immida gisho iya kawotethay sarotethi demmis.
0e141f0092	Iyosaafexi Yihudan kawotiya wode iya laythi hastamanne ichasha; I Yerusalaamen laatamanne ichashu laythi kawotis. Iya aayiya Shiliha na7iw Azuubo.
0e1420006c	Iyosaafexi ba aawa Asa ogiyan hemetis; I he ogiyape haddirsi ushachi gibeenna; Godaa sinthan suureba oothis.
0e1421006f	Gidoshin, dhoqa goyinno bessata dhaysibeenna; asay buroo ba kumetha wozanan banta aawata Xoossaako simmibeenna.
0e1422007f	Iyosaafexi oothidabay koyrope wursethi gakanaw Isra7eele kawota taarike maxaafan, Hanaana na7aa Iyyu taarike maxaafan xaafetis.
0e14230061	Issi wode Yihuda kawoy Iyosaafexi iitabaa oothida Isra7eele kawa Akaziyaasara issifetethi oothis.
0e14240052	Nam7ay zal7e markabe medhanaw zoretidosona; Exiyoon-Gabiran markabeta medhidosona.
0e142500f0	Gidoshin Mareesa addey Dooda na7ay Alaazari, “Neeni Akaziyaasara issifetethi medhida gisho ne oothidaba Goday dhaysana” yaagidi Iyosaafexa bolla tinbite odis. Hessa gisho, markabeti meqidosona; enti zal7e oosuwa oothanaw danda7ibookona.
0e15010088	Hessafe guye, Iyosaafexi hayqidi ba mayzatara gahetis. Dawita kataman ba mayzata duufon moogetis. Iya bessan iya na7ay Iyoraami kawotis.
0e15020078	Iyoraama ishati Azaariyasa, Yi7eela, Zakariyasa, Azaariyasa, Mika7eelanne Safaaxa; haysati Yihuda kawa Iyosaafexa nayta.
0e15030098	Enta aaway Iyosaafexi entaw daro bira, worqa, al7o miishenne gimbetida katamata immis. Shin Iyoraami iyaw bayra na7a gidiya gisho kawotethaa iyaw immis.
0e1504006e	Iyoraami ba aawa kawotetha ekidi minnida wode ba ishata ubbaanne issi issi Isra7eele halaqata mashshan wodhis.
0e15050058	Iyoraami kawotiya wode iyaw laythi hastamanne nam7a; Yerusalaamen hospun laythi kawotis.
0e15060083	Iyoraami Akaaba na7iw ekida gisho Akaaba soo asay hemetidaysada kase Isra7eele kawota ogiyan hemetis; Godaa sinthan iitabaa oothis.
0e1507008d	Gidoshin, Goday kase Dawitara caaqida caaquwa gisho Dawita kochaa dhaysanaw koybeenna. Dawita kochay merinaw kawotana mela Goday iyaw caaqis.
0e1508005e	Iyoraama kawotetha laythan, Edoome asay Yihuda kawa bolla makallidi bantaw kawo kawothidosona.
0e150900bb	Hessa gisho, Iyoraami toora moconatanne para gaareta ekidi Edoome olanaw bis. Edoome asay iyanne iya para gaareta halaqata olidosona. Shin Iyoraaminne iya asay qamma dendidi baqatidosona.
0e150a00ac	He wodepe doomidi hachi gakanaw Edoome asay Yihuda asaas haaretibookona. Iyoraami Godaa, ba aawata Xoossaa aggida gisho Libina asay he wode Yihuda kawa bolla makallidosona.
0e150b007e	Iyoraami Yihuda gezze biittan dhoqa goyinno bessata giigisis; Yerusalaamen asaa laymatana mela oothis; Yihuda asaaka balethis.
0e150c00a9	Nabey Eeliyaasi Iyoraamas dabdaabe haysada yaagidi xaafis; “Goday, ne aawa Dawita Xoossay, ‘Neeni ne aawa Iyosaafexa woyko Yihuda kawa Asa ogiyan hemetanaysa aggada,
0e150d00c0	Isra7eele kawota ogiyan hemetadasa. Akaaba soo asay oothidaysada Yihudaninne Yerusalaamen de7iya asay eeqa goyinnana mela oothadasa. Qassi neepe lo77iya, ne aawa soo asaa, ne ishata wodhadasa.
0e150e005c	Hessa gisho, Goday ne asaa, ne nayta, ne machetanne new de7iya ubbaa wolqaama gadon shocana.
0e150f004f	Nena maraace hargey oykin, maraacey kare keyana gakanaw ne iita saketana.’”
0e15100050	Goday Filisxeemetanne Tophe matan de7iya Arabeta Iyoraama olana mela denthethis.
0e151100c0	Enti Yihuda bolla dendidi kawo gadhon de7iya miishe ubbaa, kawa adde naytanne iya macheta di77idosona. Qassi, Iya nayta ubbaafe kaalo gidida Akaziyaasape attishin, hara issi na7ika attibeenna.
0e15120046	Hessafe guye, Goday paxanaw danda7onna maraace hargen Iyoraama shocis.
0e151300bc	Nam7u laytha giddon hargey iya bolla goobis; iya maraacey kare keyis; I iita saketidi hayqis. Iya moogiya wode asay kase mayzatas oothidaysada iya bonchoos mithi dooridi tama eethibookona.
0e151400c9	Iyoraami kawotiya wode iyaw laythi hastamanne nam7a; I Yerusalaamen hospun laythi kawotis. I hayqiya wode oonika azzanibeenna. Iyoraami Dawita kataman moogetisipe attishin, kawota duufon moogetibeenna.
0e160100d5	Arabetara yida pangati, Iyoraama bayra nayta ubbaa wodhida gisho Yerusalaame asay Iyoraama na7aa, ubbaafe kaaluwa, Akaziyaasa iya bessan kawothidosona. Hessa gisho, Iyoraama na7ay Akaziyaasi enta bolla kawo gidis.
0e16020081	Akaziyaasi kawotiya wode iyaw laythi laatamanne nam7a. I Yerusalaamen issi laythi kawotis; iya aayiya Gotola, Zanbira na7aa na7a.
0e16030057	Akaziyaasi iitatethan baanada iya aayiya zorida gisho I Akaaba soo asaa ogiyan hemetis.
0e1604007e	Iya aaway hayqidaape guye Akaaba soo asay iya zoriya gisho dhayana gakanaw Akaaba soo asaada ika Godaa sinthan iitabaa oothis.
0e160500b7	Akaziyaasi Akaaba soo asaa zoriya kaallidi, Akaaba na7aa, Isra7eele kawa Iyoraamara issife Soore kawa Azaheela olanaw Galadan de7iya Raamota bis. Yan Soore asati Iyoraama caddidosona.
0e160600b6	Iyoraami, Soore kawa Azaheelara oletida olan cadetida gisho paxanaw Izira7eele bis. Iyoraama na7ay, Yihuda kawoy, Akaziyaasi, cadetida Akaaba na7aa Iyoraama, oychanaw Izira7eele bis.
0e160700cf	Akaziyaasi Iyoraama oychanaw bida buussaa, Xoossay Akaziyaasas hayqo gaaso oothis. Akaziyaasi Iyoraama soo gakida wode Akaaba kochaa dhaysana mela Goday doorida, Namisa na7aa Iyyu, mokanaw nam7ay keyidosona.
0e16080075	Iyyuy Akaaba kochaa bolla pirdaa poliya wode Yihuda halaqatanne Akaziyaasa maaddiya iya dabbota nayta demmidi wodhis.
0e16090100	Iyyuy Akaziyaasa koyishin Samaaren qosetidi de7iya bessaafe Iyyu asati demmidi iyako ehidi wodhidosona. “Ba kumetha wozanan Godaa koyida Iyosaafexa na7a” yaagidi moogidosona. Hessa gisho, Akaziyaasa soo asaape kawotanaw danda7iya asi oonika attibeenna.
0e160a0062	Akaziyaasa aayiya Gotola ba na7ay hayqidaysa si7ida wode dendada Yihuda kawa koche ubbaa dhaysasu.
0e160b010d	Shin kawa Iyoraama na7iya Yosabeeta hayqanaw de7iya kawo nayta giddofe Akaziyaasa na7aa Iyo7aasa kaysada ekasu. Iyanne iya dichiyaro qol7an qosasu. Hessada oothada Gotola wodhonnaada kawa Iyoraama na7iya Akaziyaasa michiya kahiniya Yoodahe machiya Yosabeeta iya qosasu.
0e160c0057	Gotola haariya wode ubban na7ay enta matan Xoossa keethan usupun laythi qosetidi de7is.
0e170100c7	Laapuntha laythan Yoodahey minnidi mato halaqata Yirohaama na7aa Azaariyasa, Yihoona na7aa Yisma7eela, Obeeda na7aa Azaariyasa, Adaya na7aa Ma7iseyanne Zikira na7aa Elsafaaxa shiishidi entara caaqis.
0e17020068	Enti Yihuda ubbaa bidi yan de7iya Leewetanne Isra7eele yarata halaqata ubbaa ekidi Yerusalaame yidosona.
0e17030096	He shiiqida asa ubbay Xoossa keethan kawuwara caaqidosona. Yoodahey, “Kawa na7aa haysa be7ite! Goday kase Dawita kochaas qaala gelidaysada I kawoto.
0e17040074	Hinte oothanaw bessiyabay haysa; sambaata gallas Xoossa keethi geliya kahinetapenne Leewetape sikoy pengiya naagite.
0e1705006c	Qassi sikoy kawo gadho naagite; sikoy qassi Baaso Pengiya naagite. Asa ubbay Xoossa keethaa dabaaban shiiqo.
0e170600b1	Oothiya kahinetapenne Leewetape attishin, oonika Xoossa keethi gelopo. Enti geeshshi gidiya gisho gelonna; shin hara asa ubbay Godaa kiita naagishe Xoossa keethaafe karera de7o.
0e17070095	“Leeweti ola miishe banta kushen kushen oykidi kawa giddoyidi I keyiya wodenne geliya wode iyara gido. Xoossa keethi geliya oonika hayqo” yaagis.
0e170800dc	Leewetinne Yihuda asa ubbay kahiney Yoodahey kiitida ubbaa oothidosona. Kahiney Yoodahey oosope keyanaw bessiya Leeweta kessidi yeddiboonna gisho, issoy issoy Sambaata gallas ooso geleysatanne oosope keyiya ba asaa ekis.
0e1709006b	Kahiney Yoodahey Xoossa keethan de7iya, kawa Dawita toora, gitanne guutha gondalleta toora moconatas immis.
0e170a00ae	Kahiney Yoodahey asa ubbay ola miishe ba kushen kushen oykidi Xoossa keethaa dugehape pudeha gakanaw yarsho bessa mataninne Xoossa keethaa matan kawa yuushon eqanaada oothis.
0e170b00c4	Yoodahe kawa na7aa Iyo7aasa kare kessidi, iya huuphen kallacha wothis; kawota higge maxaafaa iyaw immidi kawoyis. Yodaaheynne iya nayti Iyo7aasa tiyidi, “Kawoy birata tuussu gido” yaagidosona.
0e170c0055	Asay yexishenne kawa sabbishe ufayteysa Gotola si7ida wode asaako Xoossa keethi basu.
0e170d0123	Kawoy pengen tuussa matan eqidaysa be7asu. Halaqatinne zaye punneysati kawa matan de7oosona; Yihuda asa ubbay ufaytishe zaye punnoosona; mazmure yexeysati sinthe aadhidi banta yetha miishen galatoosona. Gotola ba ma7uwa peedhada, “Haysi geellatethi! Haysi geellatethi!” yaagada waassasu.
0e170e00a3	Kahiney Yoodahey tora moconatako, “Gotola Xoossa keethan wodhopite; iyo salpiya giddora aathidi kare kessite; iyo ashshanaw koyiya asi de7iko wodhite!” yaagis.
0e170f004a	Hessa gisho, enti iyo oykidi kawo gadho efidi Para Pengen iyo wodhidosona.
0e1710004f	Kahiney Yoodahey ba huuphen, asa ubbaynne kawoy, Godaa asi gidanaw caaqidosona.
0e171100b2	He wode asa ubbay Ba7aale Eeqa Keethi bidi, keethaa laallidi; yarsho bessatanne misileta tincherethidosona. Mataana geetetiya Ba7aala kahiniya yarsho bessata sinthan wodhidosona.
0e171200dc	Yoodahey kahinetanne Leeweta Xoossa keetha oosuwas halaqa oothidi shuumis. Enta oosoy Muse higgiyan xaafetidaysadanne kawoy Dawiti odidaysada yarsho yarshanaysa. Qassi kawoy Dawiti odidaysada mazmure yexishe bonchanaysa.
0e1713005e	Higgiyan xaafetidaysada tuna asi gelonna mela Yoodahey Xoossa keetha pengen naageysata wothis.
0e171400b7	Yoodahey tora moconata, gita asata, deriya haareysatanne he biitta asa ubbaa ekidi kawa Xoossa keethafe duge ehis. Qommo bagga pengera kawo gadho gelidi kawa araata bolla utisidosona.
0e1715004b	Yihuda asa ubbay ufaytis. Gotola mashshan hayqidaape guye katamay wopu gis.
0e1801007e	Iyo7aasi kawotiya wode iyaw laythi laapuna; I Yerusalaamen oytamu laythi kawotis. Iya aaye sunthay Saabo; iya Barsaabe maccas.
0e1802004b	Kahiney Yoodahey de7ida laytha ubban Iyo7aasi Godaa sinthan suureba oothis.
0e18030059	Yoodahey kawa Iyo7aasas nam7u macho immin enti iyaw adde naytanne macca nayta yelidosona.
0e1804003c	Guutha wodepe guye Iyo7aasi Xoossa keethaa oorathanaw qopis.
0e180500d6	Iyo7aasi kahinetanne Leeweta shiishidi, “Yihuda bidi hinte Xoossa keethaa laythan laythan oorathanaw Isra7eele ubbaafe miishe shiishite; hessa ha77i ellesidi oothite” yaagis. Shin Leeweti ellesidi oothibookona.
0e180600df	Hessa gisho, kawoy kahine halaqaa Yoodahe xeegidi, “Godaa aylley Museynne Yerusalaame asay Xoossa dunkaaniya oosuwas kessana mela kiitida giira Yerusalaamepenne Yihudape shiishana mela Leeweta ayis kiittabikii?” yaagis.
0e18070095	He wode iita maccase Gotola nayti Xoossa keethaa menthidosona. Enti Godaa keethan de7iya geeshsha miishe ubbaa ekidi Ba7aale goyinnanaw go7etidosona.
0e18080060	Kawoy Leeweta kiittin, enti saaxine giigisidi, Xoossa keethaa pengiyafe kare baggara wothoosona.
0e18090099	Xoossaa aylley Musey mela biittan de7ishe, Isra7eele asaape shiishana mela kiitida giira Godaas ehana mela Yihudaninne Yerusalaamen Leeweti awaajidosona.
0e180a0049	Halaqatinne asa ubbay ufaytidi saaxiney kumana gakanaw giira yeggidosona.
0e180b0108	Saaxiney Leeweta baggara kawo moorinnatako gakin saaxiniya giddon daro miishey dagaayetidaysa be7ida wode ubban kawo xaafeynne kahine halaqay yidi saaxiniyape miishe kessidi saaxiniya bessan zaari wothoosona. Enti ubba wode hessa oothidi daro miishe dagaayidosona.
0e180c00c9	He miishiya kawoynne Yoodahey Xoossa keetha oosuwa oothana mela shuumetida asatas immoosona. Enti Xoossa keethaa oorathanaw shuchu masseyisata, anaaxeta, biratanne naase birata oosanchota qaxaridosona.
0e180d0040	Oosanchoti Xoossa keethaa minni oothidi kaseysada oorathidosona.
0e180e0135	Xoossa keetha ooratho oosoy wurida wode palahida worqanne bira kawuwakonne Yoodaheko ehidosona. Enti he worqanne bira Xoossa keethaa gaatha oosuwas go7etiya miisheta, xuussa yarshos haniya saanetanne hara dumma dumma miisheta oothidosona. Yoodahey de7ida laythan ubban Xoossa keethan xuussa yarshoy yashetees.
0e180f004a	Yoodahey daro cimmidi hayqis; I hayqiya wode iyaw laythi xeetanne hastama.
0e18100073	Yoodahey Isra7eelen Xoossasinne Xoossa keethaas lo77oba oothida gisho Dawita kataman kawota duufon iya moogidosona.
0e18110061	Yoodahey hayqidaape guye Yihuda halaqati yidi kawa sinthan gufannidosona; kawoy enta oysha si7is.
0e181200a2	Enti Godaa banta mayzata Xoossa keethaa aggidi, Asheeri misiletanne eeqata goyinnidosona. Enti qohuwa gisho Yihuda bollanne Yerusalaame bolla Godaa hanqoy wodhis.
0e18130067	Enta zaarana mela Goday nabeta entako kiittis. Nabeti entaw markatidosona; shin enti si7onna ixidosona.
0e181400eb	Hessafe guye, kahiniya Yoodahe na7aa Zakariyasa bolla Xoossaa Ayyaanay wodhin Zakariyasi asaa sinthan eqidi, “Xoossay, ‘Hinte Godaa kiitaa ayis menthetii? Hessi hintew iita. Hinte Godaa aggida gisho ika hintena aggis’” yaagees.
0e1815006a	Enti iya bolla maqetidosona. Kawoy enta kiittin, Xoossa keethaa dabaaban, iya shuchan caddidi wodhidosona.
0e181600b2	Kawoy Iyo7aasi Zakariyasa aaway Yoodahey iyaw oothida keehatetha hassayonna aggidi iya na7aa Zakariyasa wodhisis. Zakariyasi hayqishe, “Goday haysa be7o; I halo keyo” yaagis.
0e181700a2	Laytha laamen, Soore olanchoti Iyo7aasa olanaw yidosona. Yihudanne Yerusalaame olidi halaqata ubbaa wodhidi, di7uwa ekidi Damasqon de7iya banta kawas yeddidosona.
0e181800d0	Soore olanchoti taybon guutha; shin Yihuda asay Godaa banta aawata Xoossaa aggida gisho, Goday daro gidida enta olanchota Soore olanchota kushen aathidi immis. Enti haysada oothidi Iyo7aasa bolla pirdidosona.
0e181900fb	Soore olanchoti iyape shaaketiya wode Iyo7aasi daro madunxidi de7ees. Kahiniya Yoodahe na7aa suuthaa gisho iya shuumati iya bolla maqetidi, I ba hiixan zin7idashin wodhidosona. I hayqin Dawita kataman moogidosona; shin kawota duufon iya moogibookonna.
0e181a006d	Iyo7aasa bolla maqetidaysati Amoone maccase Simaati na7aa Zabadanne Moo7abe maccase Simariti na7aa Yozabaata.
0e181b00bd	Heko, Iyo7aasa adde nayta taarikey, iyaw odetida tinbiteynne I Xoossa keethaa oorathidabay kawota taarike maxaafan xaafetidi de7ees. Iyo7aasi hayqin iya bessan iya na7ay Amasiyaasi kawotis.
0e1901009c	Amasiyaasi kawotiya wode iyaw laythi laatamanne ichasha; I Yerusalaamen laatamanne uddufun laythi kawotis. Iya aaye sunthay Yo7aado; iya Yerusalaame maccas.
0e1902004c	Amasiyaasi Godaa sinthan suureba oothis; gidoshin, kumetha wozanape gidenna.
0e19030044	Amasiyaasi kawotethaa minthidaape guye ba aawa wodhida asata wodhis.
0e19040127	Gidoshin, enta nayta wodhibeenna. Enta nayta wodhonna aggida gaasoy, Goday, Muse higge maxaafan kiittidaysada, “Nayti oothida nagaraa gisho aawata wodhanaw bessenna; aawati oothida nagaraa gisho nayta wodhanaw bessenna. Asi ubbay ba oothida nagaran nagaran hayqanaw bessees” yaagida gishosa.
0e1905010d	Amasiyaasi Yihuda asaa shiishidi banta aawata keethan keethan shaalaqatanne mato halaqata shuumis. I laatamu laythinne iyape bolla gidida Yihuda kochatanne Biniyaame kochata ubbaa taybidi gondallenne toora oykidi olas giigida heedzu xeetu mukulu dooretida asata demmis.
0e1906006c	Isra7eelepe issi xeetu mukulu mino asata heedzu mukulunne oyddu xeetu kilo giraame biran Amasiyaasi shammis.
0e19070078	Shin issi Xoossa asi iyako yidi, “Kawaw, Goday Isra7eeleranne Efreemara doonna gisho, Isra7eele olanchoti neera boopo.
0e190800aa	Enti tana minthana gada ne qopiko, xoonoynne xoonetethi Xoossaba gidiya gisho Xoossay nena ne morketa sinthan kawushana. Gidoshin, ne xalaala ba; minnada oleta” yaagis.
0e190900aa	Amasiyaasi Xoossa addiyako, “Taani Isra7eele olanchotas qanxida biray ubbay waananee?” yaagis. Xoossa addey, “Goday new hessafe aathidi immanaw danda7ees” yaagis.
0e190a0093	Hessa gisho, Amasiyaasi Efreemape yida olanchoti banta soo soo baana mela oothis. Enti Yihuda asaa bolla daro hanqetishe banta soo soo simmidosona.
0e190b0089	Hessafe guye, Amasiyaasi bana minthidi, ba olanchota kaalethidi, Maxine zangaara bin iya olanchoti Sayrepe tammu mukulu asaa wodhidosona.
0e190c008b	Hara tammu mukulu olanchota paxa di77idi, enta aafo doona efidi, aafuwan duge holin, garsan de7iya shuchan asa ubbay meqeretidi wuridosona.
0e190d00cd	Shin he wode Amasiyaasi baara olas boonna mela guye zaarida Isra7eele olanchoti Samaarepe Beet-Horona gakanaw de7iya Yihuda katamata olidosona. Enti Yihuda asaape heedzu mukulu wodhidi daro di7o ekidosona.
0e190e0077	Amasiyaasi Edoometa wodhidi simmiya wode enta eeqata ekidi yis. Enta xoosse oothi essidi enta goyinnis; ixaane cuyisis.
0e190f00ac	Godaa hanqoy Amasiyaasa bolla eexin, Goday Amasiyaasako nabe kiittis. He nabey bidi, “Banta asaa ne kushepe ashshanaw danda7iboona xoossata ayis zore oychadii?” yaagis.
0e191000ff	Nabey buroo oda bolla de7ishin kawoy, “Nena kawo zoriya asi oothiday oonee? Si77i ga! Ne ayis hayqanaw koyay?” yaagis. Nabey odaa essidi, “Ne haysa oothida gishonne ta zoriya si7onna ixida gisho Xoossay nena dhaysanaw qopidaysa ha77i eras” yaagis.
0e191100c5	Hessafe guye, Yihuda kawoy Amasiyaasi bana zoriya asatara zoretidi, Isra7eele kawa Iyyu na7aa na7aa, Iyo7akaaza na7aa, Iyo7aasako ase kiittidi, “Haaya; ane nam7ay olaa gahetoos” yaagidi mandis.
0e191200f2	Isra7eele kawoy Iyo7aasi Yihuda kawa Amasiyaasako haysada yaagis; “Libaanosen de7iya kinchotey Libaanosen de7iya zigaako kiita yeddidi, ‘Ne na7iw ta na7aas imma’ yaagis. Shin Libaanosen de7iya issi do7i yaara aadhishe kinchotiya yedhis.
0e191300ae	‘Taani Edoome xoonas’ gada ne wozanan otoron kumadasa. Shin ha77i ne son wopu gada utta; ne bollanne Yihuda bolla metonne dhayo ehanaw ayis denthethay?” yaagidi zaaris.
0e1914007b	Shin Amasiyaasi si7onna ixis. Enti Edoome xoossata goyinnida gisho Xoossay enta, enta morketa kushen aathidi immanaw koyis.
0e1915007e	Hessa gisho, Isra7eele kawoy Iyo7aasi olanaw keyin inne Yihuda kawoy Amasiyaasi Yihudan de7iya Beet-Sameesan ola gahetidosona.
0e1916004c	Yihuda asay xoonetidosona; Yihuda asa ubbay baqatidi banta soo soo bidosona.
0e191700ee	Kawoy Iyo7aasi Akaziyaasa na7aa na7aa, Iyo7aasa na7aa, Yihuda kawa Amasiyaasa Beet-Sameesan di77idi, Yerusalaame ehis. Efreema dirsa pengiyafe bidi maazane pengiya gakanaw de7iya oyddu xeetu wadha gidiya Yerusalaame dirsa gimbiya laallis.
0e191800ab	Xoossa keethan de7iya worqanne bira ubbaa, Obeed-Edoomey naagiya miishiyanne kawo gadhon de7iya miishiya ubbaa ekis; qassi oythu oothidi oykida asata ekidi Samaare simmis.
0e19190081	Iyo7akaaza na7ay, Isra7eele kawoy Iyo7aasi hayqidaape guye Iyo7aasa na7ay, Yihuda kawoy Amasiyaasi tammanne ichashu laythi de7is.
0e191a0081	Amasiyaasi oothidaba ubbay koyrope wursethi gakanaw Yihuda kawotanne Isra7eele kawota taarike maxaafan xaafetidi de7ees gidennee?
0e191b009c	Amasiyaasi Godaa kaalo aggidaape guye enti iya bolla Yerusalaamen maqetidosona. I Laakiso baqatis. Shin enti iya geedo ase kiittin enti iya yan wodhidosona.
0e191c0044	Iya aha paran caani ehidi, Dawita kataman iya mayzatara moogidosona.
0e1a01006f	Hessafe guye, Yihuda asa ubbay tammanne usupun laythi gidida Ooziyana iya aawa Amasiyaasa bessan kawothidosona.
0e1a020043	Iya aaway Amasiyaasi hayqidaape guye I Eloota katamaa zaari keexis.
