010000000b	1 Mooseksen
1406220055	Sillä luulevaisuus nostaa miehen vihan, ja säälimätön on hän koston päivänä.
1406230055	Ei hän huoli mistään lunastusmaksusta, ei suostu, vaikka kuinka lahjaasi lisäät.
1407010042	Poikani, noudata minun sanojani ja kätke mieleesi minun käskyni.
1407020055	Noudata minun käskyjäni, niin saat elää, säilytä opetukseni kuin silmäteräsi.
1407030037	Sido ne kiinni sormiisi, kirjoita ne sydämesi tauluun.
1407040049	Sano viisaudelle: "Sinä olet sisareni", kutsu ymmärrystä sukulaiseksi,
1407050059	että varjeltuisit irstaalta naiselta, vieraalta vaimolta, joka sanoillansa liehakoitsee.
1407060036	Sillä minä katselin taloni ikkunasta ristikon läpi,
1407070067	ja minä näin yksinkertaisten joukossa, havaitsin poikain seassa nuorukaisen, joka oli mieltä vailla.
140708004b	Hän kulki katua erään naisen kulmaukseen ja asteli hänen majaansa päin
1407090039	päivän illaksi hämärtyessä, yön aikana, pimeässä.
14070a004b	Ja katso, nainen tulee häntä vastaan, porton puvussa, kavala sydämeltä.
14070b0041	Hän on levoton ja hillitön, eivät pysy hänen jalkansa kotona;
14070c0044	milloin hän on kadulla, milloin toreilla, ja väijyy joka kulmassa.
14070d004f	Hän tarttui nuorukaiseen, suuteli häntä ja julkeasti katsoen sanoi hänelle:
14070e004f	"Minun oli uhrattava yhteysuhri, tänä päivänä olen täyttänyt lupaukseni.
14070f0053	Sentähden läksin ulos sinua vastaan, etsiäkseni sinua, ja olen sinut löytänyt.
140710004a	Olen leposijalleni peitteitä levittänyt, kirjavaa Egyptin liinavaatetta.
1407110039	Vuoteeseeni olen pirskoitellut mirhaa, aloeta ja kanelia.
1407120044	Tule, nauttikaamme lemmestä aamuun asti, riemuitkaamme rakkaudesta.
1407130037	Sillä mieheni ei ole kotona, hän meni matkalle kauas.
140714004e	Rahakukkaron hän otti mukaansa ja tulee kotiin vasta täydenkuun päiväksi."
140715004f	Hän taivutti hänet paljolla houkuttelullaan, vietteli liukkailla huulillansa:
1407160075	kkiä hän lähti hänen jälkeensä, niinkuin härkä menee teuraaksi, niinkuin hullu jalkaraudoissa kuritettavaksi,
1407170077	niinkuin lintu kiiruhtaa paulaan; eikä tiennyt, että oli henkeänsä kaupalla, kunnes nuoli lävisti hänen maksansa.
1407180042	Sentähden, poikani, kuulkaa minua, kuunnelkaa minun suuni sanoja.
140719004f	Älköön poiketko sydämesi tuon naisen teille, älä eksy hänen poluillensa.
14071a0061	Sillä paljon on surmattuja, hänen kaatamiaan, lukuisasti niitä, jotka hän on kaikki tappanut.
14071b0050	Hänen majastaan käyvät tuonelan tiet, jotka vievät alas tuonelan kammioihin.
1408010038	Eikö viisaus kutsu, eikö taito anna äänensä kuulua?
1408020046	Ylös kummuille, tien viereen, polkujen risteyksiin hän on asettunut.
1408030040	Porttien pielissä, kaupungin portilla, oviaukoissa hän huutaa:
1408040045	"Teitä minä kutsun, miehet, ja ihmislapsille kaikuu minun ääneni.
1408050043	Tulkaa, yksinkertaiset, mieleviksi; tulkaa järkeviksi, te tyhmät.
1408060050	Kuulkaa, sillä jalosti minä puhun, ja avaan huuleni puhumaan, mikä oikein on;
1408070054	sillä totuutta minun suuni haastaa, ja jumalattomuus on minun huulilleni kauhistus.
140808005d	Vanhurskaat ovat minun suuni sanat kaikki, ei ole niissä mitään petollista, ei väärää.
1408090051	Ne ovat kaikki oikeat ymmärtäväiselle, suorat niille, jotka löysivät tiedon.
14080a0051	Ottakaa minun kuritukseni, älkääkä hopeata, ja tieto ennen valituinta kultaa.
14080b0055	Sillä parempi on viisaus kuin helmet, eivät mitkään kalleudet vedä sille vertaa.
14080c0057	Minä, viisaus, olen perehtynyt mielevyyteen, olen löytänyt tiedon ja taidollisuuden.
14080d0064	Herran pelko on pahan vihaamista. Kopeutta ja ylpeyttä, pahaa tietä ja kavalaa suuta minä vihaan.
14080e0047	Minulla on neuvo ja neuvokkuus; minä olen ymmärrys, minulla on voima.
14080f005b	Minun avullani kuninkaat hallitsevat, ruhtinaat säädöksensä vanhurskaasti säätävät.
140810004a	Minun avullani päämiehet vallitsevat ja ylhäiset, maan tuomarit kaikki.
1408110065	Minä rakastan niitä, jotka minua rakastavat, ja jotka minua varhain etsivät, ne löytävät minut.
140812004b	Minun tykönäni on rikkaus ja kunnia, ikivanha varallisuus ja vanhurskaus.
140813006d	Minun hedelmäni on parempi kuin kulta, kuin puhtain kulta, minun antamani voitto valituinta hopeata parempi.
1408140041	Minä vaellan vanhurskauden polkua, oikeuden teitten keskikohtaa,
1408150068	antaakseni niille, jotka minua rakastavat, pysyvän perinnön ja täyttääkseni heidän aarrekammionsa.
1408160057	Herra loi minut töittensä esikoiseksi, ensimmäiseksi teoistaan, ennen aikojen alkua.
1408170054	Iankaikkisuudesta minä olen asetettu olemaan, alusta asti, hamasta maan ikiajoista.
1408180055	Ennenkuin syvyyksiä oli, synnyin minä, ennenkuin oli lähteitä, vedestä rikkaita.
1408190049	Ennenkuin vuoret upotettiin paikoilleen, ennen kukkuloita, synnyin minä,
14081a0052	kun hän ei vielä ollut tehnyt maata, ei mantua, ei maanpiirin tomujen alkuakaan.
14081b0055	Kun hän taivaat valmisti, olin minä siinä, kun hän veti piirin syvyyden pinnalle,
14081c0050	kun hän teki vahvoiksi pilvet korkeudessa, kun syvyyden lähteet saivat voiman,
14081d0078	kun hän merelle asetti sen rajat, että vedet eivät kävisi hänen käskynsä yli, kun hän vahvisti maan perustukset,
14081e0089	silloin minä hänen sivullansa hoidokkina olin, ihastuksissani olin päivästä päivään ja leikitsin hänen edessänsä kaikin ajoin;
14081f004c	leikitsin hänen maanpiirinsä päällä, ja ihastukseni olivat ihmislapset.
140820004d	Siis te, lapset, kuulkaa minua; autuaat ne, jotka noudattavat minun teitäni!
1408210049	Kuritusta kuulkaa, niin viisastutte; älkää sen antako mennä menojaan.
1408220075	Autuas se ihminen, joka minua kuulee, valvoo minun ovillani päivästä päivään, vartioitsee minun ovieni pieliä!
140823004b	Sillä joka minut löytää, löytää elämän ja saa Herran mielisuosion.
140824006f	Mutta joka menee minusta harhaan, saa vahingon sielullensa; kaikki, jotka minua vihaavat, rakastavat kuolemaa."
1409010044	Viisaus on talonsa rakentanut, veistänyt seitsemän pylvästänsä.
1409020056	Hän on teuraansa teurastanut, viininsä sekoittanut ja myöskin pöytänsä kattanut.
1409030059	Hän on palvelijattarensa lähettänyt kutsua kuuluttamaan kaupungin kumpujen rinteiltä:
1409040057	"Joka yksinkertainen on, poiketkoon tänne". Sille, joka on mieltä vailla, hän sanoo:
140905004b	"Tulkaa, syökää minun leipääni ja juokaa viiniä, minun sekoittamaani.
1409060054	Hyljätkää yksinkertaisuus, niin saatte elää, ja astukaa ymmärryksen tielle." -
1409070062	Joka pilkkaajaa ojentaa, saa itsellensä häpeän, ja häpeäpilkun se, joka jumalatonta nuhtelee.
140908005f	Älä nuhtele pilkkaajaa, ettei hän sinua vihaisi; nuhtele viisasta, niin hän sinua rakastaa.
140909005a	Anna viisaalle, niin hän yhä viisastuu; opeta vanhurskasta, niin hän saa oppia lisää.
14090a004a	Herran pelko on viisauden alku, ja Pyhimmän tunteminen on ymmärrystä. -
14090b0048	"Sillä minun avullani päiväsi enenevät ja jatkuvat elämäsi vuodet.
14090c0066	Jos olet viisas, olet omaksi hyväksesi viisas; ja jos olet pilkkaaja, saat sinä sen yksin kestää."
14090d0053	Tyhmyys on nainen, levoton ja yksinkertainen, eikä hän mistään mitään tiedä.
14090e003a	Hän istuu talonsa ovella, istuimella kaupungin kummuilla,
14090f0047	kutsumassa ohikulkijoita, jotka käyvät polkujansa suoraan eteenpäin:
140910005a	"Joka yksinkertainen on, poiketkoon tänne". Ja sille, joka on mieltä vailla, hän sanoo:
140911003c	"Varastettu vesi on makeata, ja salattu leipä on suloista".
1409120064	Eikä toinen tiedä, että haamuja on siellä, että hänen kutsuvieraansa ovat tuonelan laaksoissa.
140a010066	Salomon sananlaskut. Viisas poika on isällensä iloksi, mutta tyhmä poika on äidillensä murheeksi.
140a020047	Vääryyden aarteet eivät auta, mutta vanhurskaus vapahtaa kuolemasta.
140a030061	Herra ei salli vanhurskaan nälkää nähdä, mutta jumalattomien himon hän luotansa työntää.
140a04004e	Köyhtyy, joka laiskasti kättä käyttää, mutta ahkerain käsi rikastuttaa.
140a050041	Taitava poika kokoaa kesällä, kunnoton poika elonaikana nukkuu.
140a060055	Siunaus on vanhurskaan pään päällä, mutta väkivaltaa kätkee jumalattomien suu.
140a07003f	Vanhurskaan muistoa siunataan, mutta jumalattomien nimi lahoaa.
140a080045	Viisassydäminen ottaa käskyt varteen, mutta hulluhuulinen kukistuu.
140a090059	Joka nuhteettomasti vaeltaa, vaeltaa turvassa, jonka tiet ovat väärät, se joutuu ilmi.
140a0a0042	Joka silmää iskee, saa aikaan tuskaa, ja hulluhuulinen kukistuu.
140a0b0050	Vanhurskaan suu on elämän lähde, mutta jumalattomien suu kätkee väkivaltaa.
140a0c0044	Viha virittää riitoja, mutta rakkaus peittää rikkomukset kaikki.
140a0d005f	Ymmärtäväisen huulilta löytyy viisaus, mutta joka on mieltä vailla, sille vitsa selkään!
140a0e004c	Viisaat kätkevät, minkä tietävät, mutta hullun suu on läheinen turmio.
140a0f005b	Rikkaan tavara on hänen vahva kaupunkinsa, mutta vaivaisten köyhyys on heidän turmionsa.
140a100048	Vanhurskaan hankkima on elämäksi, jumalattoman saalis koituu synniksi.
140a11004a	Kuritusta noudattava on elämän tiellä, mutta nuhteet hylkäävä eksyy.
140a120057	Joka salavihaa pitää, sen huulilla on valhe, ja joka parjausta levittää, on tyhmä.
140a13005f	Missä on paljon sanoja, siinä ei syntiä puutu; mutta joka huulensa hillitsee, se on taitava.
140a14004c	Vanhurskaan kieli on valituin hopea, jumalattomien äly on tyhjän veroinen.
140a15004e	Vanhurskaan huulet kaitsevat monia, mutta hullut kuolevat mielettömyyteensä.
140a160045	Herran siunaus rikkaaksi tekee, ei oma vaiva siihen mitään lisää.
140a17004e	Tyhmälle on iloksi ilkityön teko, mutta ymmärtäväiselle miehelle viisaus.
140a18005c	Mitä jumalaton pelkää, se häntä kohtaa; mutta mitä vanhurskaat halajavat, se annetaan.
140a190058	Tuulispään käytyä ei jumalatonta enää ole, mutta vanhurskaan perustus pysyy iäti.
140a1a0048	Mitä hapan hampaille ja savu silmille, sitä laiska lähettäjillensä.
140a1b0048	Herran pelko elinpäiviä jatkaa, mutta jumalattomien vuodet lyhenevät.
140a1c0045	Vanhurskasten odotus koituu iloksi, mutta jumalattomien toivo hukkuu.
140a1d0046	Herran johdatus on nuhteettoman turva, mutta väärintekijäin turmio.
140a1e0046	Vanhurskas ei ikinä horju, mutta jumalattomat eivät saa asua maassa.
140a1f004d	Vanhurskaan suu kasvaa viisauden hedelmän, mutta kavala kieli hävitetään.
140a20005f	Vanhurskaan huulet tietävät, mikä otollista on, mutta jumalattomien suu on sulaa kavaluutta.
140b01004f	Väärä vaaka on Herralle kauhistus, mutta täysi paino on hänelle otollinen.
140b020050	Mihin ylpeys tulee, sinne tulee häpeäkin, mutta nöyräin tykönä on viisaus.
140b030060	Oikeamielisiä ohjaa heidän nuhteettomuutensa, mutta uskottomat hävittää heidän vilppinsä.
140b040047	Ei auta tavara vihan päivänä, mutta vanhurskaus vapahtaa kuolemasta.
140b05005d	Nuhteettoman vanhurskaus tasoittaa hänen tiensä, mutta jumalaton sortuu jumalattomuuteensa.
140b06005f	Oikeamieliset vapahtaa heidän vanhurskautensa, mutta uskottomat vangitsee heidän oma himonsa.
140b070053	Jumalattoman ihmisen kuollessa hukkuu hänen toivonsa, ja vääräin odotus hukkuu.
140b080047	Vanhurskas pelastetaan hädästä, ja jumalaton joutuu hänen sijaansa.
140b090053	Rietas suullansa turmelee lähimmäisensä, mutta taito on vanhurskaitten pelastus.
140b0a0055	Vanhurskaitten onnesta kaupunki iloitsee, ja jumalattomain hukkumisesta syntyy riemu.
140b0b0054	Oikeamielisten siunauksesta kaupunki kohoaa, mutta jumalattomain suu sitä hajottaa.
140b0c005b	Mieltä vailla on, joka lähimmäistänsä halveksii, mutta ymmärtäväinen mies on vaiti.
140b0d0066	Joka panettelijana käy, ilmaisee salaisuuden, mutta jolla luotettava henki on, se säilyttää asian.
140b0e0053	Missä ohjausta ei ole, sortuu kansa, mutta neuvonantajain runsaus tuo menestyksen.
140b0f0057	Joka vierasta takaa, sen käy pahoin, mutta joka kädenlyöntiä vihaa, se on turvattu.
140b10003d	Suloinen nainen saa kunniaa, ja voimalliset saavat rikkautta.
140b11005c	Armelias mies tekee hyvää itsellensä, mutta armoton syöksee onnettomuuteen oman lihansa.
140b120061	Jumalaton hankkii pettäväistä voittoa, mutta joka vanhurskautta kylvää, saa pysyvän palkan.
140b130056	Joka on vakaa vanhurskaudessa, saa elämän; mutta joka pahaa tavoittaa, saa kuoleman.
140b140059	Väärämieliset ovat Herralle kauhistus, mutta nuhteettomasti vaeltaviin hän mielistyy.
140b150055	Totisesti: paha ei jää rankaisematta, mutta vanhurskasten jälkeläiset pelastuvat.
140b16003d	Kultarengas sian kärsässä on kaunis nainen, älyä vailla.
140b170042	Vanhurskaitten halajaminen vie onneen, jumalattomien toivo vihaan.
140b18005a	Toinen on antelias ja saa yhä lisää, toinen säästää yli kohtuuden ja vain köyhtyy.
140b190053	Hyväätekeväinen sielu tulee ravituksi, ja joka muita virvoittaa, se itse kostuu.
140b1a0076	Joka viljan pitää takanaan, sitä kansa kiroaa, mutta joka viljan kaupaksi antaa, sen pään päälle tulee siunaus.
140b1b005e	Joka hyvään pyrkii, etsii sitä, mikä otollista on, mutta joka pahaa etsii, sille se tulee.
140b1c005b	Joka rikkauteensa luottaa, se kukistuu, mutta vanhurskaat viheriöitsevät niinkuin lehvä.
140b1d004e	Joka talonsa rappiolle saattaa, perii tuulta, ja hullu joutuu viisaan orjaksi.
140b1e0040	Vanhurskaan hedelmä on elämän puu, ja viisas voittaa sieluja.
140b1f0053	Katso, vanhurskas saa palkkansa maan päällä, saati sitten jumalaton ja syntinen.
140c010053	Tietoa rakastaa, joka kuritusta rakastaa, mutta järjetön se, joka nuhdetta vihaa.
140c02004e	Hyvä saa Herran mielisuosion, mutta juonittelijan hän tuomitsee syylliseksi.
140c030053	Ei ihminen kestä jumalattomuuden varassa, mutta vanhurskasten juuri on horjumaton.
140c040051	Kelpo vaimo on puolisonsa kruunu, mutta kunnoton on kuin mätä hänen luissansa.
140c050049	Vanhurskasten aivoitukset ovat oikeat, jumalattomien hankkeet petolliset.
140c060053	Jumalattomien puheet väijyvät verta, mutta oikeamieliset pelastaa heidän suunsa.
140c070046	Jumalattomat kukistuvat olemattomiin, mutta vanhurskasten huone pysyy.
140c080050	Ymmärryksensä mukaan miestä kiitetään, mutta nurjasydämistä halveksitaan.
140c090057	Parempi halpa-arvoinen, jolla on palvelija, kuin rehentelijä, joka on vailla leipää.
140c0a0057	Vanhurskas tuntee, mitä hänen karjansa kaipaa, mutta jumalattomain sydän on armoton.
140c0b005a	Joka peltonsa viljelee, saa leipää kyllin, mutta tyhjän tavoittelija on mieltä vailla.
140c0c004b	Jumalaton himoitsee pahojen saalista, mutta vanhurskasten juuri on antoisa.
140c0d0044	Huulten rikkomus on paha ansa, mutta vanhurskas pääsee hädästä.
140c0e005f	Suunsa hedelmästä saa kyllälti hyvää, ja ihmisen eteen kiertyvät hänen kättensä työt.
140c0f0054	Hullun tie on hänen omissa silmissään oikea, mutta joka neuvoa kuulee, on viisas.
140c100053	Hullun suuttumus tulee kohta ilmi, mutta mielevä peittää kärsimänsä häpeän.
140c110040	Toden puhuja lausuu oikeuden, mutta väärä todistaja petoksen.
140c120048	Moni viskoo sanoja kuin miekanpistoja, mutta viisasten kieli on lääke.
140c130041	Totuuden huulet pysyvät iäti, mutta valheen kieli vain tuokion.
140c140063	Jotka pahaa miettivät, niillä on mielessä petos, mutta jotka rauhaan neuvovat, niille tulee ilo.
140c15004f	Ei tule turmiota vanhurskaalle, mutta jumalattomat ovat onnettomuutta täynnä.
140c160060	Herralle kauhistus ovat valheelliset huulet, mutta teoissaan uskolliset ovat hänelle otolliset.
140c170054	Mielevä ihminen peittää tietonsa, mutta tyhmäin sydän huutaa julki hulluutensa.
140c180044	Ahkerain käsi saa hallita, mutta laiska joutuu työveron alaiseksi.
140c190040	Huoli painaa alas miehen mielen, mutta hyvä sana sen ilahuttaa.
140c1a0059	Vanhurskas opastaa lähimmäistänsä, mutta jumalattomat eksyttää heidän oma tiensä.
140c1b0054	Laiska ei saa ajetuksi itselleen riistaa, mutta ahkeruus on ihmiselle kallis tavara.
140c1c0046	Vanhurskauden polulla on elämä, ja sen tien kulku ei ole kuolemaksi.
140d010052	Viisas poika kuulee isän kuritusta, mutta pilkkaaja ei ota nuhdetta kuullaksensa.
140d020051	Suunsa hedelmästä saa nauttia hyvää, mutta uskottomilla on halu väkivaltaan.
140d030050	Joka suistaa suunsa, se säilyttää henkensä, mutta avosuinen joutuu turmioon.
140d04004e	Laiskan sielu haluaa, saamatta mitään, mutta ahkerain sielu tulee ravituksi.
140d050057	Vanhurskas vihaa valhepuhetta, mutta jumalattoman meno on iljettävä ja häpeällinen.
140d06005c	Vanhurskaus varjelee nuhteettomasti vaeltavan, mutta jumalattomuus syöksee syntisen kumoon.
140d070064	Toinen on olevinaan rikas, omistamatta mitään, toinen olevinaan köyhä, vaikka on tavaraa paljon.
140d08005f	Rikkautensa saa mies antaa henkensä lunnaiksi, mutta köyhän ei tarvitse uhkauksia kuunnella.
140d090048	Vanhurskasten valo loistaa iloisesti, mutta jumalattomien lamppu sammuu.
140d0a0057	Ylpeys tuottaa pelkkää toraa, mutta jotka ottavat neuvon varteen, niillä on viisaus.
140d0b0053	Tyhjällä saatu tavara vähenee, mutta joka vähin erin kokoaa, se saa karttumaan.
140d0c004e	Pitkä odotus tekee sydämen sairaaksi, mutta täyttynyt halu on elämän puu.
140d0d0056	Joka sanaa halveksii, joutuu sanan pantiksi; mutta joka käskyä pelkää, saa palkan.
140d0e0043	Viisaan opetus on elämän lähde kuoleman paulain välttämiseksi.
140d0f0045	Hyvä ymmärrys tuottaa suosiota, mutta uskottomien tie on koleikkoa.
140d100047	Jokainen mielevä toimii taitavasti, mutta tyhmä levittää hulluutta.
140d110054	Jumalaton sanansaattaja suistuu turmioon, mutta uskollinen lähetti on kuin lääke.
140d120048	Köyhyys ja häpeä kuritusta vierovalle, kunnia nuhdetta noudattavalle!
140d13004b	Tyydytetty halu on sielulle suloinen, pahan karttaminen tyhmille kauhistus.
140d14004b	Vaella viisasten kanssa, niin viisastut; tyhmäin seuratoverin käy pahoin.
140d150049	Syntisiä vainoaa onnettomuus, mutta vanhurskaat saavat onnen palkakseen.
140d160060	Hyvä jättää perinnön lastensa lapsillekin, mutta syntisen tavara talletetaan vanhurskaalle.
140d170057	Köyhien uudiskyntö antaa runsaan ruuan; mutta moni tuhoutuu, joka ei oikeudessa pysy.
140d180064	Joka vitsaa säästää, se vihaa lastaan; mutta joka häntä rakastaa, se häntä ajoissa kurittaa.
140d19004f	Vanhurskas saa syödä kylläksensä, mutta jumalattomain vatsa jää vajaaksi.
140e010046	Vaimojen viisaus talon rakentaa, mutta hulluus sen omin käsin purkaa.
140e020060	Joka vaeltaa oikein, se pelkää Herraa, mutta jonka tiet ovat väärät, se hänet katsoo ylen.
140e03004e	Hullun suussa on ylpeydelle vitsa, mutta viisaita vartioivat heidän huulensa.
140e040056	Missä raavaita puuttuu, on seimi tyhjä, mutta runsas sato saadaan härkien voimasta.
140e05004c	Uskollinen todistaja ei valhettele, mutta väärä todistaja puhuu valheita.
140e060051	Pilkkaaja etsii viisautta turhaan, mutta ymmärtäväisen on tietoa helppo saada.
140e070043	Menet pois tyhmän miehen luota: et tullut tuntemaan tiedon huulia.
140e080059	Mielevän viisaus on, että hän vaelluksestaan vaarin pitää; tyhmien hulluus on petos.
140e090045	Hulluja pilkkaa vikauhri, mutta oikeamielisten kesken on mielisuosio.
140e0a0041	Sydän tuntee oman surunsa, eikä sen iloon saa vieras sekaantua.
140e0b0047	Jumalattomain huone hävitetään, mutta oikeamielisten maja kukoistaa.
140e0c0044	Miehen mielestä on oikea monikin tie, joka lopulta on kuoleman tie.
140e0d003e	Nauraessakin voi sydän kärsiä, ja ilon lopuksi tulee murhe.
140e0e0072	Omista teistään saa kyllänsä se, jolla on luopunut sydän, mutta itsestään löytää tyydytyksen hyvä mies.
140e0f004b	Yksinkertainen uskoo joka sanan, mutta mielevä ottaa askeleistansa vaarin.
140e100046	Viisas pelkää ja karttaa pahaa, mutta tyhmä on huoleton ja suruton.
140e110044	Pikavihainen tekee hullun töitä, ja juonittelija joutuu vihatuksi.
140e120053	Yksinkertaiset saavat perinnökseen hulluuden, mutta mielevät tiedon kruunuksensa.
140e130056	Pahojen täytyy kumartua hyvien edessä ja jumalattomien seisoa vanhurskaan porteilla.
140e140047	Köyhää vihaa hänen ystävänsäkin, mutta rikasta rakastavat monet.
140e150057	Syntiä tekee, joka lähimmäistään halveksii, mutta autuas se, joka kurjia armahtaa!
140e160063	Eivätkö eksy ne, jotka hankitsevat pahaa? Mutta armo ja totuus niille, jotka hankitsevat hyvää!
140e170051	Kaikesta vaivannäöstä tulee hyötyä, mutta tyhjästä puheesta vain vahinkoa.
140e180052	Viisasten kruunu on heidän rikkautensa, mutta tyhmäin hulluus hulluudeksi jää.
140e190059	Uskollinen todistaja on hengen pelastaja, mutta joka valheita puhuu, on petosta täynnä.
140e1a003c	Herran pelossa on vahva varmuus ja turva vielä lapsillekin.
140e1b0041	Herran pelko on elämän lähde kuoleman paulain välttämiseksi.
140e1c0043	Kansan paljous on kuninkaan kunnia, väen vähyys ruhtinaan turmio.
140e1d0046	Pitkämielisellä on paljon taitoa, mutta pikavihaisen osa on hulluus.
140e1e0049	Sävyisä sydän on ruumiin elämä, mutta luulevaisuus on mätä luissa.
140e1f0069	Joka vaivaista sortaa, se herjaa hänen Luojaansa, mutta se häntä kunnioittaa, joka köyhää armahtaa.
140e20004d	Jumalaton sortuu omaan pahuuteensa, mutta vanhurskas on turvattu kuollessaan.
140e210067	Ymmärtäväisen sydämeen ottaa majansa viisaus, ja tyhmien keskellä se itsensä tiettäväksi tekee.
140e220041	Vanhurskaus kansan korottaa, mutta synti on kansakuntien häpeä.
140e230047	Taitava palvelija saa kuninkaan suosion, mutta kunnoton hänen vihansa.
140f010044	Leppeä vastaus taltuttaa kiukun, mutta loukkaava sana nostaa vihan.
140f02004d	Viisasten kieli puhuu tietoa taitavasti, mutta tyhmäin suu purkaa hulluutta.
140f030045	Herran silmät ovat joka paikassa; ne vartioitsevat hyviä ja pahoja.
140f04004b	Sävyisä kieli on elämän puu, mutta vilpillinen kieli haavoittaa mielen.
140f05005c	Hullu pitää halpana isänsä kurituksen, mutta joka nuhdetta noudattaa, tulee mieleväksi.
140f060052	Vanhurskaan huoneessa on suuret aarteet, mutta jumalattoman saalis on turmion oma.
140f070047	Viisasten huulet kylvävät tietoa, mutta tyhmäin sydän ei ole vakaa.
140f08005c	Jumalattomien uhri on Herralle kauhistus, mutta oikeamielisten rukous on hänelle otollinen.
140f09005e	Jumalattoman tie on Herralle kauhistus, mutta joka vanhurskauteen pyrkii, sitä hän rakastaa.
140f0a0050	Kova tulee kuritus sille, joka tien hylkää; joka nuhdetta vihaa, saa kuoleman.
140f0b0044	Tuonelan ja manalan Herra näkee, saati sitten ihmislasten sydämet.
140f0c0050	Pilkkaaja ei pidä siitä, että häntä nuhdellaan; viisasten luo hän ei mene.
140f0d004b	Iloinen sydän kaunistaa kasvot, mutta sydämen tuskassa on mieli murtunut.
140f0e0049	Ymmärtäväisen sydän etsii tietoa, mutta tyhmien suu hulluutta suosii.
140f0f0050	Kurjalle ovat pahoja kaikki päivät, mutta hyvä mieli on kuin alituiset pidot.
140f100040	Parempi vähä Herran pelossa kuin paljot varat levottomuudessa.
140f11003f	Parempi vihannesruoka rakkaudessa kuin syöttöhärkä vihassa.
140f120042	Kiukkuinen mies nostaa riidan, mutta pitkämielinen asettaa toran.
140f13004e	Laiskan tie on kuin orjantappurapehko, mutta oikeamielisten polku on raivattu.
140f14004f	Viisas poika on isällensä iloksi, mutta tyhmä ihminen halveksii äitiänsä.
140f150059	Hulluus on ilo sille, joka on mieltä vailla, mutta ymmärtäväinen mies kulkee suoraan.
140f160065	Hankkeet sortuvat, missä neuvonpito puuttuu; mutta ne toteutuvat, missä on runsaasti neuvonantajia.
140f17004c	Miehellä on ilo suunsa vastauksesta; ja kuinka hyvä onkaan sana aikanansa!
140f180054	Taitava käy elämän tietä ylöspäin, välttääkseen tuonelan, joka alhaalla on.
140f190044	Ylpeitten huoneen Herra hajottaa, mutta lesken rajan hän vahvistaa.
140f1a004a	Häijyt juonet ovat Herralle kauhistus, mutta lempeät sanat ovat puhtaat.
140f1b0059	Väärän voiton pyytäjä hävittää huoneensa, mutta joka lahjuksia vihaa, saa elää.
140f1c0053	Vanhurskaan sydän miettii, mitä vastata, mutta jumalattomien suu purkaa pahuutta.
140f1d004b	Jumalattomista on Herra kaukana, mutta vanhurskasten rukouksen hän kuulee.
140f1e004a	Valoisa silmänluonti ilahuttaa sydämen; hyvä sanoma tuo ydintä luihin.
140f1f004b	Korva, joka kuuntelee elämän nuhdetta, saa majailla viisaitten keskellä.
140f20005f	Joka kuritusta vieroo, pitää sielunsa halpana; mutta joka nuhdetta kuuntelee, se saa mieltä.
140f210042	Herran pelko on kuri viisauteen, ja kunnian edellä käy nöyryys.
1410010045	Ihmisen ovat mielen aivoittelut, mutta Herralta tulee kielen vastaus.
1410020056	Kaikki miehen tiet ovat hänen omissa silmissään puhtaat, mutta Herra tutkii henget.
141003003f	Heitä työsi Herran haltuun, niin sinun hankkeesi menestyvät.
1410040065	Kaiken on Herra tehnyt määrätarkoitukseen, niinpä jumalattomankin onnettomuuden päivän varalle.
141005005b	Jokainen ylpeämielinen on Herralle kauhistus: totisesti, ei sellainen jää rankaisematta.
1410060055	Laupeudella ja uskollisuudella rikos sovitetaan, ja Herran pelolla paha vältetään.
141007005f	Jos miehen tiet ovat Herralle otolliset, saattaa hän vihamiehetkin sovintoon hänen kanssansa.
1410080041	Parempi vähä vanhurskaudessa kuin suuret voitot vääryydessä.
141009004f	Ihmisen sydän aivoittelee hänen tiensä, mutta Herra ohjaa hänen askeleensa.
14100a0051	Kuninkaan huulilla on jumalallinen ratkaisu; hänen suunsa ei petä tuomitessaan.
14100b0051	Puntari ja oikea vaaka ovat Herran, hänen tekoaan ovat kaikki painot kukkarossa.
14100c005c	Jumalattomuuden teko on kuninkaille kauhistus, sillä vanhurskaudesta valtaistuin vahvistuu.
14100d004d	Vanhurskaat huulet ovat kuninkaille mieleen, ja oikein puhuvaa he rakastavat.
14100e004b	Kuninkaan viha on kuoleman sanansaattaja, mutta sen lepyttää viisas mies.
14100f0057	Kuninkaan kasvojen valo on elämäksi, ja hänen suosionsa on kuin keväinen sadepilvi.
141010004c	Parempi kultaa on hankkia viisautta, kalliimpi hopeata hankkia ymmärrystä.
1410110068	Oikeamielisten tie välttää onnettomuuden; henkensä saa pitää, joka pitää vaelluksestansa vaarin.
141012003e	Kopeus käy kukistumisen edellä, ylpeys lankeemuksen edellä.
141013004a	Parempi alavana nöyrien parissa kuin jakamassa saalista ylpeitten kanssa.
1410140054	Joka painaa mieleensä sanan, se löytää onnen; ja autuas se, joka Herraan turvaa!
1410150068	Jolla on viisas sydän, sitä ymmärtäväiseksi sanotaan, ja huulten suloisuus antaa opetukselle tehoa.
141016004f	Ymmärrys on omistajalleen elämän lähde, mutta hulluus on hulluille kuritus.
