2800000006	Matiɔ
2c051b009c	Bɔ dzə bəh bwa bə ntum bə Jisɔs, liə tɔm bɔ i bəni bə̀ bɔ sakaki kwili nshiŋ. Ayaka fwu wi bətii mfə gia ka bikəki bəmbikə i bɔ dzaka a,
2c051c0101	“Buku nì lansi kiŋ a mbɛiŋ ma chu mɔ̂m i lâni mi kɔm yɛli wi mi wələ. Ayakalə, mbɛiŋ yɛ̂iŋ gia yə mbɛiŋ mɔm! Mbɛiŋ fə nlani wimbɛiŋ waŋ Jɛlusalɛm wichi. Mbɛiŋ nəŋki i fə yi chusiki ka buku kiəki lə gia kɔm kpi yi.”
2c051d0068	Bita bəh mbaŋ wi bwa bə ntum bə Jisɔs chukuli a, “Buku kaŋaki i wɔkɔ num i Nyɔ, a kɔbi i mi.
2c051e0077	Mbɛiŋ nì baŋŋ Jisɔs i kintasi wə wi kpi. Ayakalə, Nyɔ wi bətii tii bəbukumbɛiŋ fiəni dzasi wi i kpi wə,
2c051f009e	giŋsi wi, tɔm i tsɛiŋ yi yiləkəli wə, a wi num Tikwili bəh Kimbwili, ka bəni bə Islae kɔlə ni kwûni shɔ́m yibɔ, ma Nyɔ ni dalinya chu bibɔ.
2c052000a3	Buku yɛiŋ gia yələ kabə fukuki i bəni, ayaka Kiŋ'waka ki Baiŋni kə Nyɔ nyaki i bəni bə̀ bɔ wɔkɔki i wi, ki bɔŋ tɔbi a gia yələ kɔ ŋkɔŋ.”
2c05210090	Si bəni bə̀ bɔ nì sakaki tumi wɔkɔ ndzaka wiwɔ yaka, shɔ́m bɔkɔ lɔ bɔ bɔkɔni. Bɔ ka nəŋki i wɔɔyi bwa bə ntum bə Jisɔs.
2c05220124	Ayakalə, mi widɔkɔ i mbaŋ wi bəni bə̀ bɔ nì sakaki kwili dza bɛiŋ, yɛli wi num Gamalia, a num mi wi Falasi a chu num mi wə wi laniki bənchi bə Nyɔ, bəni bəchi kɔksi wi na bindzɔŋ. Si wi dza bɛiŋ yakadəiŋ, ka dzaka a bə bwîli dəkə bwa bə ntum bə Jisɔs i biŋ.
2c05230091	Wi baaŋ dzaka i bəni bə̀ bɔ nì sakaki kwili a, “Bəni bə Islae, mbɛiŋ dzɔ̂ jɔbi i gia yə mbɛiŋ nəŋki i fə bəh bəni bələ.
2c0524010e	Mbɛiŋ yîŋti a, a nì kɔ i jɔbi widɔkɔ wə, mi widɔkɔ nì dza fa, bə bɔɔŋ a Teɔdas ka chusiki a ŋgaiŋ kɔ mi wimbum. Bəni kwu i wi chɛiŋ, ka gi yina. Bə nyani dzə wɔɔ wi, mbaŋ wiwɔ gaali, ayaka gia yə wi nì dzəki bəh yi ka laka kilɔlɔ.
2c052500d9	Asi yəmaka nì tsə, widɔkɔ chu tumbuku dzə i jɔbi wə bə nì faaki bəni bə bɔɔŋ wi a Judas, a num mi wi Galili. Wi guku bəni bəduli i wi chɛiŋ. Bə nyani dzə wɔɔ tə wi, ayaka mbaŋ wi waŋyi tə.
2c052600eb	I yələ wə, mih təfiki mbɛiŋ a, mbɛiŋ ma mɔ̂m i fə̂ gia yidɔkɔ bə bəni bələ. Mbɛiŋ bêe dzəh yibɔ. A kabə num a gia yə bɔ dzəki bəh yi chu lani bəni bəh yi a, akɔ gia num a yisi mi, ma yi ni laka kilɔlɔ.
2c0527009e	A kabə num a gia yiwɔ yisi Nyɔ, ma yi ni numki a mbɛiŋ kɔkə i gaka bɔ. Mbɛiŋ baaŋ ki tɔkni kə yi bi baiŋ buku a mbɛiŋ jwɔki num bəh Nyɔ.”
2c05280106	Si Gamalia dzaka yaka, bəni bə̀ bɔ nì sakaki kwili wɔkɔ ntəfi wi, fiəni bɔɔŋ bwa bə ntum bə Jisɔs, a bɔ lîə dzə̂. Si bɔ liə dzə yaka, bɔ twɛiŋ bɔ ka kiŋ a bɔ bi ma chu mɔ̂m i lani mi widɔkɔ kɔm yɛli wi Jisɔs ka bee bɔ nyə.
2c0529008c	Si bɔ buku fɛiŋ kabə tsə fibɔ num bəh kinsaŋli, a bɔ kɔ num bɔ kpɛiŋ i bəni bə̀ bɔ kɔ i ŋgəmsi bɔ kɔm yɛli wi Jisɔs.
2c052a00a7	Bɔ tsə yakadəiŋ, ka chu laniki bəni chɔkɔ bichi i juŋ yi fəni yi gia mə bəh i kikwili wə, fuku ntum wi ndzɔŋni, a Jisɔs kɔ Kimbwili wə Nyɔ nì kaka.
2c0601010d	A dzə num i jɔbi widɔkɔ wə, si mbaŋ wi bəni bə bumni nì kɔki tsəki a ninshiŋ, Bəju bə̀ bɔ nì dzakaki já yi Glik yisi i shwiŋyiki, Bəju bə̀ bɔ nì dzakaki já yi kwili, a bɔ gaaki biɛiŋ i bəkaŋa bəŋkwu chɔkɔ bichi tsɛiŋ kə bəbɔ.
2c060200d7	Ayakadəiŋ, bwa bə ntum bə Jisɔs bə̀ jwɔfi ntsɔ bəfa juŋni bəh mbaŋ wi bəni bə bumni bəchi dzaka i bɔ a, “Yi ndzɔŋki kə a, buku bêe i fûkuki gia yi Nyɔ, i tsə̂ num, i gâaki num biɛiŋ.
2c0603010f	Bwa bə nih bəbuku, yi ndzɔŋki lə a mbɛiŋ bâyi bəni nanitaŋ i mbɛiŋ kintəəŋ ma buku nya nɔm wələ i bɔ kaŋ. Mbɛiŋ kabə bayi, mbɛiŋ ka tsɛ̂iŋki num bəni bə̀ bɔ kaŋaki nɔni kindzɔŋni, num bɔ jikə bəh Kiŋ'waka ki Baiŋni chu kaŋa mfi.
2c06040059	Ayakadəiŋ, ma buku ni nyâ gwu yibuku num i ntsa wə bəh i nɔm i gia yi Nyɔ wə.”
2c06050142	Bəni bəchi wɔkɔ ndzaka wiwɔ, wi ndzɔŋ i bɔ nalə. Bɔ ka babwili Stifɛn num mi wə kimbum ki jikə nalə, num wi jikə tə bəh Kiŋ'waka ki Baiŋni. Bədɔkɔ num Filib bəh Blukɔlus, Nikanɔ bəh Timɔn, Balmɛnas bəh Nikɔlaus wə wi nì kɔ mi wi Antiɔk, num wi nì fiəni fiənini i kimbum ki Bəju wə.
2c06060072	Bɔ ka dzɔ bəni bələ ka tɔm bɔ i bwa bə ntum bə Jisɔs nshiŋ, bɔ jiə kaŋ yibɔ i bɔ wə ka tsa i bɔ.
2c06070092	Gia yi Nyɔ ka waŋki tsəki. Mbaŋ wi bəni bə bumni i Jɛlusalɛm kɔ tsə a i ninshiŋ. Bətii mfə gia bəduli jiə tə shɔ́m i Jisɔs wə.
2c0608009f	Stifɛn nì kɔ num wi jikə bəh ŋgamti wi Nyɔ bəh ŋga, i fəki gia yi dzaka ki wɔmni bəh bənchəsi bə̀ bɔ chusiki ŋga bi Nyɔ i bəni kintəəŋ.
2c06090109	Bəni bədɔkɔ dza yisi i ŋgukuliki bəh Stifɛn. Bəni bələ nì kɔ Bəju bə̀ bɔ nì buku dzə i Sɛlin bəh Alɛksandia bəh Silishia bəh Ɛsia. Bəni bəwɔ nì kɔ bəni bə juŋ yi tsani yə bə nì bɔɔŋki a juŋ yi Mfá yə bɔ Buku i Mfa wə.
2c060a006b	Si bɔ nì gukuliki yakadəiŋ, Kiŋ'waka ki Baiŋni nya Stifɛn bəh mfi mi widɔkɔ chu kɔbi i gaka wi.
2c060b008d	Bɔ ka dza nyini bəni bədɔkɔ i jum wə jum wə, a bɔ nyiki ntəkə a, bɔ nì wɔkɔ Stifɛn dzaka gia yichu kɔm Muses bəh kɔm Nyɔ.
2c060c00e4	Si bɔ fə yaka, ka nəŋni shɔm yi bəni bəh yi bəni bə̀ bɔ sakaki kwili, bəh yi bəni bə̀ bɔ laniki bənchi bə Nyɔ. Bɔ ka liəni i Stifɛn wə, dzɔ tsə bəh wi i bəni bə kwili bə̀ bɔ sakaki bənsaka nshiŋ.
2c060d00e2	Bəni bələ chu dzə bəh bəni bədɔkɔ a bɔ bêeŋki bənsaka bəntəkə, bɔ jiə gia i Stifɛn fuŋ dzaka a, “Mi wələ si lansi baaŋ kə i dzaka gia yichu kɔm juŋ yi fəni yi gia yələ, bəh i bənchi bə Muses.
2c060e00ba	Buku wɔkɔ si wi dzakaki a Jisɔs wi Nasali wə bi shakyi lə juŋ yi fəni yi gia yələ, wi bi chu kwuni tə nɔni kibukumbɛiŋ bi kwili biə Muses nì laniki bukumbɛiŋ yɛiŋ.”
2c060f00a7	Bəni bəchi bə̀ bɔ nì kɔ i juŋ yi nsaka yiwɔ wə bwaŋ dzə́kəh i Stifɛn wə, a bɔ tsɛiŋ, yɛiŋ num shi bi kwuni lɔ gwu ka bwɔsiki bi chinda wi Nyɔ.
2c0701005c	Fwu wi bətii mfə gia bikə i Stifɛn a, “Gia yələ bə dzakaki lə akɔ a ŋkɔŋ a?”
2c070200b6	Stifɛn chukuli a, “Bəba bəh bwa bə nih, mbɛiŋ wɔ̂kɔli. Nyɔ wi kiŋkɔkni nì tumbuku i tii wibuku Ablaham, wi kɛiŋ i Misɔbɔtɛmia, ka wi bi nyə tsə i nɔki i Alan,
2c0703007c	ka dzaka i wi a, ‘Bêe chwɔŋ ka ki juŋ, wɔ bûku i kwili wimbɛiŋ wə, wɔ tsə̂ i tumi kə mih ni chusi i wɔ.’
2c07040098	Ayakadəiŋ, wi buku nyə fɛiŋ i Kaldia, ka tsə i nɔki i Alan. Jɔbi wə ba wi nì kpi, Nyɔ fə wi dza dzə fa i di biə mbɛiŋ nɔki i liə lə.
2c0705010b	Wi nì kɔ fa Nyɔ nəki nya kə wi na bəh fidini fidɔkɔ fiə wi kɔ i tɔm gvu yɛiŋ. Ayakalə, Nyɔ kaka a ŋgaiŋ bi nya lə mbi wələ i wi a a nûmki ŋ'wi bəh ŋgɔkɔ wi. I jɔbi wə Nyɔ nì fə kiŋkaka ki kələ, a nì kɔ maka Ablaham kwati waiŋ.
2c0706009f	Nyɔ ka dzaka tə i wi a, ‘Bwa ba bi numki bəni bə dzəni i tumi ki bəni bədɔkɔ wə. Bɔ bi numki mfa fɛiŋ, bə bi chəbsiki bɔ i jía wə gi yina.
2c07070061	Mih bi lɔ lə ŋgəkə i tumi kiwɔ wə, bwa ba bi buku dzə fɛiŋ, bɔ dzə tsaki i mih fa.’
2c07080154	Nyɔ chu dzi tə miŋkaiŋ bəh Ablaham, kinchəsi ki miŋkaiŋ miwɔ num a Ablaham ni sûuŋki lə bwa bu. Ablaham ka bi bwɔ Ayjik, jɔbi kpɛiŋ kaŋ nyaŋ wi suuŋ wi. Ayjik ka bi bwɔ Yakɔb suuŋ tə wi. Yakɔb tə ka bi suuŋ bwa bu jwɔfi ntsɔ bəfa bə̀ bɔ kɔ bətii tii bəbuku a num i bɔ wə chwɔŋkijuŋ kibuku nì yisi.
2c070900ae	Bətii tii bəbuku bəwɔ bi ka dza bə́ ghəkəki Yɔsɛf waiŋnih wibɔ, ka taŋni wi, wi tsə ka numki mfa i tumi ki Ijib wə. Ayakalə, Nyɔ bə́ tɔkni bəh wi fɛiŋ,
2c070a00d0	gamti wi i bəŋgəkə bu wə bəchi. Nyɔ chu nya tə wi bəh mfi, fə Fɛlɔ ŋkuŋ wi Ijib ka kɔŋki wi, ka jiə wi, i nûmki mi wə wi kɔmsiki i wi wə chu nûm mi wə wi tsɛiŋki chwɔŋ ki ki juŋ.
2c070b0088	Dzɔŋ ka bi dza kwa Ijib wichi bəh tumi ki Kanan, bəni yɛiŋ ŋgəkə nalə. Bətii tii bəbuku nəki chu kaŋa kə biɛiŋ bidzini.
2c070c009a	Yakɔb ka bi wɔkɔ a biɛiŋ bidzini kɔlə i Ijib, ka faaŋ bwa bu bə̀ bɔ kɔ bətii tii bəbuku, bɔ ka tsə fɛiŋ i chɔkɔ bibɔ bi ninshiŋ wə.
2c070d007d	Bɔ ka fiəni tsə fɛiŋ i ntsə wibɔ wi kɔmsini wə, Yɔsɛf ka fə bwa bə nih wi kiə wi. Wi ka chusi tə bɔ i Fɛlɔ.
2c070e00ad	Yɔsɛf ka faaŋ ntum i Yakɔb ba wi, a wi bəh chwɔŋ ki ki juŋ kichi shi dzə i Ijib. Chwɔŋkijuŋ ki Yakɔb nì kɔ i jɔbi wiwɔ wə bəni mbaŋnanitaŋ ntsɔ bəte.
2c070f008c	Yakɔb wɔkɔ yaka, ka dzɔ chwɔŋkijuŋ ki kichi, shi bəh bɔ i Ijib. Wi bəh bətii tii bəbuku nì dzə kpiyi i fɛiŋ wə bɔ bəchi.
2c07100070	Bɔ dzə giŋ biwini biwɔ ka fiəni dzə bəh bi i Shɛkɛm, ləə i jum yə Ablaham nì taŋ i bwa bə Amɔl.
2c0711007b	Si jɔbi nì kpɛiŋniki dzəki wə Nyɔ nì kɔ i fə gia yə wi nì kaka i Ablaham, num bəni bəbuku du i Ijib nalə.
2c0712004a	Bəni bə̀ fɛiŋ bi dzə tɔm ŋkuŋ widɔkɔ wi nəki kiə kə Yɔsɛf.
2c07130094	Ŋkuŋ wiwɔ ka wɛɛliki chəbsiki bəni bəbuku i dzəh yi mfi wə kaŋyi a bətii tii bəbuku lɔ̂ɔtɔkɔki bwa bənchiŋ i biŋ a bɔ kpiyiki.
2c0714008f	A nì kɔ i jɔbi wələ wə, bə nì bwɔ Muses, a num waiŋ wi ndzɔŋ nalə i Nyɔ. Bə kuku yaka wi i ba wi dzu, i kifiəŋŋ kitali wə,
2c07150070	ka dzɔ tsə jiə wi i biŋ. Ayaka waiŋ ŋkuŋ Fɛlɔ wi kpaŋni ka bi tsə bɔŋ wi, kuku yaka wi ka waiŋ wi.
2c0716006a	Bə ka lani Muses bəh mfi bi bəni bə Ijib bichi, wi num mi wə wi kiəki ndzaka bəh i fəki gia nalə.
2c07170085	I jɔbi wə wi nì kɔ yaka buku jía mbaŋnyani, yi dzə i wi shɔm a ŋgaiŋ tsə yɛiŋ bwa bə nih bə ŋgaiŋ bəni bə Islae.
2c07180097	Jɔbi wə wi nì tsəki, wi yɛiŋ mi wi Ijib widɔkɔ twɛiŋ mi wi Islae. Wi ka liə i jwɔ biwɔ wə i chukuli, ka wɔɔ mi wi Ijib wiwɔ ka ləə.
2c07190090	Wi nì kwakaki a bwa bə nih wi ni kiə lə, a faaŋ Nyɔ ŋgaiŋ a ŋgaiŋ dzə̂ bwîli bɔ i bəŋgəkə wə. Ayakalə, bɔ nəki kiə kə.
2c071a010f	Chɔkɔ buku wɔɔ, Muses ka tsəki, tsə tumbuku i bəni bə Islae bədɔkɔ wə bəfa bɔ dza ka jwɔki. Ayaka wi liə yɛiŋ i gaali jwɔ biwɔ, ka bikə i bɔ a, ‘Bwa bə nih, mbɛiŋ bəchi kɔ mi bəh waiŋnih, akɔ kɔm nə mbɛiŋ jwɔki a mbɛiŋ mbɛiŋ a?’
2c071b0093	Ayakalə, mi wə wi nì la jwɔ i waiŋnih wi chini Muses chinini, bikə i wi a, ‘A jiə ndə wɔ i sakaki buku chu təiŋyi bənsaka bəbuku a?
2c071c0051	Wɔ nəŋki i bɔŋ wɔɔ mih asi wɔ ni wɔɔ mi wi Ijib wə i ŋgbufɔkɔ a?’
2c071d0093	Asi Muses wɔkɔ yakadəiŋ, wi lwa ka gɛiŋ buku i tumi ki Ijib wə, gɛiŋ tsə i nɔki i tumi ki Midian wə, ka bwɔ bwa bənyuku bəfa fɛiŋ.
2c071e0099	Asi jía nì tsə mbaŋnyani, chinda wi Nyɔ tumbuku i Muses nshiŋ i gbuku wə wi nì bɛli i kpɛiŋ wə i chwa i kɔmsi tsə i ŋkwuŋ wi Sina wə.
2c071f0071	Muses yɛiŋ yaka yi gaka wi, wi kini tsə i tsɛiŋ ndzɔŋ. Si wi kɔmsi tsə, wi wɔkɔ Bah Nyɔ dzaka i wi a,
2c072000b2	‘Akɔ mih Nyɔ wi bətii tii bəmbɛiŋ, Nyɔ wi Ablaham bəh wi Ayjik bəh wi Yakɔb.’ Muses wɔkɔ yakadəiŋ, ndzaŋ kwa wi, wi ka nyumki bəh nlwa, na chu mɔm i tsɛiŋ.
2c07210067	Bah Nyɔ chu dzaka i wi a, ‘Bâyi dzu ya yigvu, kɔm di biə wɔ num yɛiŋ yaka akɔ di bi baiŋni.
2c072200be	Mih lansi yɛiŋ si bə chəbsiki bəni mbəŋ i Ijib, chu wɔkɔ si bɔ kwiŋki, ayaka mih ka shi dzə i bwili bɔ i ŋgəkə wiwɔ mə, wɔ̂kɔli, i liə mih ki faaŋki lə wɔ i Ijib.’
2c0723014b	Muses wələ kɔ wə bɔ nì yisi nəiŋ, bikə i wi a, ‘A jiə ndə wɔ i sakaki buku chu təiŋyi bənsaka bəbuku a?’ Akɔ wi wə Nyɔ nì faaŋ a wi tsə̂ nûmki mi wi nsaka wibɔ, i bwîli bɔ i bəŋgəkə wə. Nyɔ nì faaŋ num chinda wi, wi dzə i kpɛiŋ wə wi nì bɛliki, a wi dzə̂ lâka ntum wiwɔ i wi.
2c072400f0	Muses ka tsə i Ijib, fə gia yi dzaka ki wɔmni bəh bənchəsi bə̀ bɔ chusiki ŋga bi Nyɔ, ka bwili bɔ fɛiŋ. Wi fə yidɔkɔ i Bɔkɔ yi Mbum yi Bɔkɔli wə, chu fə yidɔkɔ i chwa i di biə bɔ nì nyani i jía wə mbaŋnyani.
2c072500af	Ayaka Muses nì kɔ wi dzaka i bəni bə Islae a, ‘Nyɔ bi bwili lə mi wi ntum widɔkɔ i bwa bə nih bəmbɛiŋ kintəəŋ, wi chiŋsi i mbɛiŋ asi wi nì bwili mih.’
2c072600de	A chu num wi Muses wə chinda wi Nyɔ nì dzaka i wi i ŋkwuŋ wi Sina wə, jɔbi wə kijuŋni ki bəni bə Islae nì kɔ i chwa bəh bətii tii bəbuku, Nyɔ nì nya já yə yi nyaki nɔni a wi tsə̂si i bukumbɛiŋ.
2c07270072	Ayakalə, bətii tii bəbuku ka nəiŋ i wɔkɔ i Muses, ka nyɔkɔ jum i wi, ka kɔŋki a bɔ fiəni tsə i Ijib.
2c072800be	Bɔ ka dzaka i Ɛlɔŋ a, ‘Mwə̂m bənyɔ i buku bə̀ bɔ nì tsəki i bukumbɛiŋ nshiŋ, kɔm buku kiəki kə gia yə yi num bəh Muses wə wi bwili bukumbɛiŋ i tumi ki Ijib wə.’
2c07290086	Bɔ ka kɛiŋsi fimɔsɔ fi bwɔsi waiŋ naʼ, kum nyám, fə gia yɛiŋ i fi, ka laŋki i fi wə num a kɛiŋsi bɔ bəh kaŋ yibɔ.
2c072a012a	Si bɔ fə yakadəiŋ, Nyɔ ka nyɔkɔ jum i bɔ, bɔ ka yisi lɔ i tsaki num i wɔŋ bəh fiəŋŋ bəh bijɔŋ. Yi num asi bə nyaka i kiŋwakti ki bəni bə ntum bə Nyɔ wə, num Nyɔ nì dzaka a, ‘Bəni bə Islae, mbɛiŋ nì kumki nyám i chwa i jía mbaŋnyani, fə gia yɛiŋ i mih a?
2c072b0136	Mbɛiŋ nì nyaniki giŋki kintaŋ a num ki nyɔ wə yɛli wi kɔ a Mɔlɔk, chu giŋ jɔŋ wə mbɛiŋ nì kɛiŋsi a, akɔ nyɔ wə, yɛli wi kɔ Lefan, a num mimɔsɔ mə mbɛiŋ nì kɛiŋsi i tsaki i mɔ, kɔm yələ lə mih ni kɔŋŋ bwili lə mbɛiŋ, ma mbɛiŋ ni dza tsə daŋsi na i Babilɔn.’
2c072c00a8	Bətii tii bəbuku nì nyaniki i chwa bɔ kaŋa kintaŋ ki chusi a, Nyɔ kɔlə bəh bɔ, num bɔ nì maa kintaŋ kiwɔ biəli a liŋ aka kə Nyɔ nì chusi i Muses.
2c072d0141	Bwa bə bətii tii bəbuku nì dzɔ kintaŋ kələ i bətii bəbɔ, giŋ dzə bəh ki i fa i jɔbi wə bɔ bə Jɔshua nì lɔkɔki kidi i bitumi biə bi nì kɔ fa, num a nì tsəki Nyɔ i bɔ nshiŋ kɔŋŋ bwili bitumi biwɔ. Kintaŋ kələ ka numki fa i tsə buku jɔbi wə Ŋkuŋ Dɛbit nì sakaki kwili wələ.
2c072e0092	Ayaka wi ka yɛiŋ a kaŋ yi Nyɔ kɔlə i wi wə nalə, wi ka tsa a Nyɔ bûm ma ŋgaiŋ maa juŋ, i nya i wi Nyɔ wi Yakɔb, a wi nɔki yɛiŋ.
2c072f0045	Ayakalə, a nì kɔ num Sɔlɔmɔn i bi dzə maa juŋ yi Nyɔ yiwɔ.
2c073000b7	Na ayaka Bah Nyɔ wə wi kɔ Fwu wi Biɛiŋ Bichi wə, si nɔ kə i júŋ wə num a maa bəni bəh kaŋ. Yi kɔ a liŋ si mi wi ntum wi Nyɔ widɔkɔ nì nyaka a, Nyɔ nì dzaka a,
2c073100c0	‘Bɛiŋ kɔ kiŋgbɔkɔ kəŋŋ, ayaka fa kuku num kiŋgbɔkɔ kəŋŋ kigvu. Juŋ yə mi kɔ i maa a yi numki yiŋ, yi kɔ i numki na dəiŋ na? Ma di kɔlə biə mih kɔ i numki fɛiŋ na?
2c07320037	A kɔkə mih wə mih fə biɛiŋ biələ bichi a?’”
2c073300f3	Stifɛn ka dza dzaka i bɔ a, “Mbɛiŋ ləkəki bəh kifwu nalə, shɔm yimbɛiŋ bəh bintuni bimbɛiŋ kɔ num maka bə suuŋ. Mbɛiŋ bəh bətii tii bəmbɛiŋ kɔ a liŋ. Jɔbi wichi mbɛiŋ nəiŋ i wɔkɔli i Kiŋ'waka ki Baiŋni wə.
2c07340108	Mi wi ntum wi Nyɔ widɔkɔ nì kɔlə wə bətii tii bəmbɛiŋ nì baaŋ i bwaŋ gvu i wi chɛiŋ a? Bɔ nì wɔɔyi bəni bə ntum bə Nyɔ bə̀ bɔ nì dzaka a mi wi nɔm wi Nyɔ wi Chəŋ bi dzə lə. Ayaka wi bi dzə, mbɛiŋ taŋni wi, ka chu wɔɔ wi.
2c07350073	Akɔ mbɛiŋ bələ bəchinda bə Nyɔ nì dzə bəh bənchi bə Nyɔ i mbɛiŋ, mbɛiŋ nəiŋma i biəli bɔ.”
2c07360068	Si bəni bə̀ bɔ nì sakaki kwili wɔkɔ gia yə Stifɛn dzaka, shɔm bɔkɔ bɔ, bɔ ka dziki jəŋ.
2c073700b3	Ayaka Kiŋ'waka ki Baiŋni jikə i Stifɛn wə, wi bə́ tsɛiŋ mfih num i bɛiŋ, ka yɛiŋ baiŋni bi Nyɔ, yɛiŋ tə Jisɔs num wi numbɛiŋ i tsɛiŋ yiləkəli yi Nyɔ wə.
2c073800a0	Stifɛn dza dzaka i bɔ a, “Mbɛiŋ tsɛ̂iŋ, mih yɛiŋ bɔɔli wɛli, num mi wə yɛli wi kɔ Waiŋmi num wi numbɛiŋ i tsɛiŋ yiləkəli yi Nyɔ wə.”
2c07390087	Bɔ wɔkɔ yəmaka gia, ka baŋ bintuni bibɔ bəh kaŋ, ka wiliki bəh ŋga, i fɛiŋ wə bɔ bəchi sɛiŋ, ka chiŋni i Stifɛn wə,
2c073a00d6	guku buku bəh wi i kwili kintəəŋ, tsə ka yisi i tumyiki wi bəh kitəh. Ayaka bəni bə̀ bɔ nì kɔ bəmbeeŋ nsaka baayi bəmbuŋ bəbɔ, nya i sumi widɔkɔ wə bə nì bɔɔŋki a Sɔɔl ka bɔ tumyiki.
2c073b0067	Si bɔ nì tumyi Stifɛn bəh kitəh yakadəiŋ, wi tsa a, “Bah Jisɔs, dzɔ̂ kiŋ'waka kəŋŋ.”
2c073c008f	Ayaka wi ka tum binyu i kuku, wam bəh ŋga a, “Bah, ki tsɛ̂iŋ kə gia yichu yələ bəni bələ fəki.” Si wi dzaka yakadəiŋ, ka kpi.
2c0801014c	Si bə nì wɔɔki Stifɛn yakadəiŋ Sɔɔl nì tɔbiki lə a bə wɔɔ wi. A chɔkɔ biwɔ wə, bə yisi i nyaki ŋgəkə wi ləkəki i kijuŋni ki bəni bə bumni i Jɛlusalɛm. Kijuŋni kiwɔ kichi dza buku fɛiŋ ka waŋ tsə buku i bimbu bi Judea wə bichi bəh bi Samalia wə, a nì baaŋ a bwa bə ntum bə Jisɔs fɛiŋ.
2c08020083	Bənyuku bədɔkɔ bə̀ bɔ nì kɔ num bɔ jiə shɔ́m i Nyɔ wə nalə, dzə dzɔ wini wi Stifɛn ka tsə ləə, də wi nalə.
2c080300a3	Ayakalə, Sɔɔl num mfih a kaasiki kijuŋni ki bəni bə bumni, daŋ a juŋ bəh juŋ kwayi bəni bə bumni, bənyuku bəh bəkaŋa, chiŋsi i juŋ yi nsəŋ mə.
2c0804004d	Bəni bə̀ bɔ nì gaali tsə i bidi bichi wə, tsə ka fukuki gia yi Nyɔ.
2c0805006a	Filib shi tsə mfih i kwili wi Samalia wə, ka fukuki ntum wi ndzɔŋni, kɔm Kimbwili wə Nyɔ nì kaka.
2c0806007a	Bəni bəduli wɔkɔ chu yɛiŋ bənchəsi bə̀ bɔ chusiki ŋga bi Nyɔ, yə wi nì fəki, bɔ ka nya ntuni i wi nalə.
2c08070093	Biŋ'waka bi jisi nì bukuki lə i bəni wə, bi wili bəh ŋga, bəni bəduli bə̀ bɔ nì kɔ bɔ kpiyi kiwa kimu bəh bəŋkəkni bɔnih tə.
2c0808003a	Ayakadəiŋ, kinsaŋli kimbum num i tumi kiwɔ wə fɛiŋ.
2c080900cc	Mi widɔkɔ nì kɔ i tumi kiwɔ wə yɛli wi num Samɔn, a nì kɔ mi wi fə mfim, bəni bə Samalia bəchi nì yɛiŋki yakadəiŋ dzaka wɔm bɔ. Ayaka wi chu dzaka a ŋgaiŋ kɔ mi wimbum widɔkɔ.
2c080a00c0	Bəni bəchi i kwili wiwɔ wə i yisi i bənchiŋ bənchiŋ i tsə buku i bəmbum bəmbum wə, nya ntuni i wi ka dzakaki a, “Mi wələ kɔ ŋga bi Nyɔ biə bə bɔɔŋki a, Ŋga bi Mbum.”
2c080b0079	Bɔ nì nya ntuni i wi yakadəiŋ, kɔm wi nì kɔ wi si chusi mfim i jɔbi wi dəəŋ wə bəni yɛiŋ dzaka wɔm bɔ.
2c080c00cc	Ayakalə, i jɔbi wə Filib nì dzə ka fukuki kɔm ntum wi ndzɔŋni kɔm ŋkuŋ bi Nyɔ, bəh kɔm yɛli wi Jisɔs Klistus, bənyuku bəh bəkaŋa bum gia yə Filib nì fukuki wi ka juli bɔ i bɔkɔ.
2c080d00e0	Samɔn wə mwi bum tə gia yə Filib nì fukuki, wi ka juli wi i bɔkɔ. Wi ka baaŋ a bəh Filib ka yɛiŋki gia yi kaŋyini yimbum yimbum bəh bənchəsi bə̀ bɔ chusiki ŋga bi Nyɔ, yə Filib nì fəki dzaka wɔm wi.
2c080e0087	Bwa bə faaŋni bə Jisɔs bi ka wɔkɔ i Jɛlusalɛm a bəni bə Samalia nì dzɔ lɔ gia yi Nyɔ, bɔ ka faaŋ Bita bəh Jɔn i bɔ.
2c080f0054	Bɔ tsə buku fɛiŋ, tsa i bəni bə bumni bə̀ a, bɔ kwati Kiŋ'waka ki Baiŋni,
2c08100088	kɔm Kiŋ'waka ki Baiŋni nì ka dzə dəkə na i mi wimu wə i bɔ wə. Bə nì juli bɔ i bɔkɔ shəŋ a i yɛli wi Bah Jisɔs wə.
2c08110050	Bita bəh Jɔn jiə kaŋ i bɔ wə tsa i bɔ, bɔ ka kwati Kiŋ'waka ki Baiŋni.
2c08120096	Jɔbi wə Samɔn nì yɛiŋ a bwa bə ntum bə Jisɔs jiəki kaŋ i bəni wə Kiŋ'waka ki Baiŋni dzə i bɔ wə, wi ka nyaki kpɔ i Bita bəh Jɔn,
2c0813008d	ka dzakaki a, “Mbɛiŋ nyâ mih bəh ŋga biələ tə, ka na ndə wə mih jiə kaŋ yiŋ i wi wə, ma wi ni kwati Kiŋ'waka ki Baiŋni.”
