2800000006	ܡܬܝ
2b062000c1	ܐܡܪ ܠܗܘܢ ܝܫܘܥ ܐܡܝܢ ܐܡܝܢ ܐܡܪ ܐܢܐ ܠܟܘܢ ܕܠܐ ܗܘܐ ܡܘܫܐ ܝܗܒ ܠܟܘܢ ܠܚܡܐ ܡܢ ܫܡܝܐ ܐܠܐ ܐܒܝ ܝܗܒ ܠܟܘܢ ܠܚܡܐ ܕܩܘܫܬܐ ܡܢ ܫܡܝܐ
2b0621005e	ܠܚܡܗ ܓܝܪ ܕܐܠܗܐ ܐܝܬܘܗܝ ܗܘ ܕܢܚܬ ܡܢ ܫܡܝܐ ܘܝܗܒ ܚܝܐ ܠܥܠܡܐ
2b0622003d	ܐܡܪܝܢ ܠܗ ܡܪܢ ܒܟܠܙܒܢ ܗܒ ܠܢ ܠܚܡܐ ܗܢܐ
2b0623008d	ܐܡܪ ܠܗܘܢ ܝܫܘܥ ܐܢܐ ܐܢܐ ܠܚܡܐ ܕܚܝܐ ܡܢ ܕܐܬܐ ܠܘܬܝ ܠܐ ܢܟܦܢ ܘܡܢ ܕܡܗܝܡܢ ܒܝ ܠܐ ܢܨܗܐ ܠܥܠܡ
2b0624004c	ܐܠܐ ܐܡܪܬ ܠܟܘܢ ܕܚܙܝܬܘܢܢܝ ܘܠܐ ܡܗܝܡܢܝܢ ܐܢܬܘܢ
2b0625005b	ܟܠ ܕܝܗܒ ܠܝ ܐܒܝ ܠܘܬܝ ܢܐܬܐ ܘܡܢ ܕܠܘܬܝ ܢܐܬܐ ܠܐ ܐܦܩܗ ܠܒܪ
2b0626006b	ܕܢܚܬܬ ܡܢ ܫܡܝܐ ܠܐ ܗܘܐ ܕܐܥܒܕ ܨܒܝܢܝ ܐܠܐ ܕܐܥܒܕ ܨܒܝܢܗ ܕܡܢ ܕܫܕܪܢܝ
2b06270084	ܗܢܘ ܕܝܢ ܨܒܝܢܗ ܕܡܢ ܕܫܕܪܢܝ ܕܟܠ ܕܝܗܒ ܠܝ ܠܐ ܐܘܒܕ ܡܢܗ ܐܠܐ ܐܩܝܡܝܘܗܝ ܒܝܘܡܐ ܐܚܪܝܐ
2b0628009e	ܗܢܘ ܓܝܪ ܨܒܝܢܗ ܕܐܒܝ ܕܟܠ ܕܚܙܐ ܠܒܪܐ ܘܡܗܝܡܢ ܒܗ ܢܗܘܘܢ ܠܗ ܚܝܐ ܕܠܥܠܡ ܘܐܢܐ ܐܩܝܡܝܘܗܝ ܒܝܘܡܐ ܐܚܪܝܐ
2b0629006b	ܝܗܘܕܝܐ ܕܝܢ ܪܛܢܝܢ ܗܘܘ ܥܠܘܗܝ ܕܐܡܪ ܕܐܢܐ ܐܢܐ ܠܚܡܐ ܕܢܚܬܬ ܡܢ ܫܡܝܐ
2b062a00a6	ܘܐܡܪܝܢ ܗܘܘ ܠܐ ܗܘܐ ܗܢܐ ܝܫܘܥ ܒܪܗ ܕܝܘܤܦ ܗܘ ܕܚܢܢ ܝܕܥܝܢ ܠܐܒܘܗܝ ܘܠܐܡܗ ܘܐܝܟܢܐ ܐܡܪ ܗܢܐ ܕܡܢ ܫܡܝܐ ܢܚܬܬ
2b062b0042	ܥܢܐ ܝܫܘܥ ܘܐܡܪ ܠܗܘܢ ܠܐ ܬܪܛܢܘܢ ܚܕ ܥܡ ܚܕ
2b062c0081	ܠܐ ܐܢܫ ܡܫܟܚ ܕܢܐܬܐ ܠܘܬܝ ܐܠܐ ܐܢ ܢܓܕܗ ܐܒܐ ܕܫܕܪܢܝ ܘܐܢܐ ܐܩܝܡܝܘܗܝ ܒܝܘܡܐ ܐܚܪܝܐ
2b062d008e	ܟܬܝܒ ܓܝܪ ܒܢܒܝܐ ܕܢܗܘܘܢ ܟܠܗܘܢ ܡܠܦܐ ܕܐܠܗܐ ܟܠ ܡܢ ܕܫܡܥ ܗܟܝܠ ܡܢ ܐܒܐ ܘܝܠܦ ܡܢܗ ܐܬܐ ܠܘܬܝ
2b062e0067	ܠܐ ܗܘܐ ܕܚܙܐ ܐܢܫ ܠܐܒܐ ܐܠܐ ܡܢ ܕܡܢ ܐܠܗܐ ܐܝܬܘܗܝ ܗܘ ܗܘ ܚܙܐ ܠܐܒܐ
2b062f005f	ܐܡܝܢ ܐܡܝܢ ܐܡܪ ܐܢܐ ܠܟܘܢ ܕܡܢ ܕܡܗܝܡܢ ܒܝ ܐܝܬ ܠܗ ܚܝܐ ܕܠܥܠܡ
2b0630001f	ܐܢܐ ܐܢܐ ܠܚܡܐ ܕܚܝܐ
2b06310038	ܐܒܗܝܟܘܢ ܐܟܠܘ ܡܢܢܐ ܒܡܕܒܪܐ ܘܡܝܬܘ
2b06320058	ܗܢܘ ܕܝܢ ܠܚܡܐ ܕܢܚܬ ܡܢ ܫܡܝܐ ܕܢܐܟܘܠ ܐܢܫ ܡܢܗ ܘܠܐ ܢܡܘܬ
2b063300d8	ܐܢܐ ܐܢܐ ܠܚܡܐ ܚܝܐ ܕܡܢ ܫܡܝܐ ܢܚܬܬ ܘܐܢ ܐܢܫ ܢܐܟܘܠ ܡܢ ܗܢܐ ܠܚܡܐ ܢܚܐ ܠܥܠܡ ܘܠܚܡܐ ܐܝܢܐ ܕܐܢܐ ܐܬܠ ܦܓܪܝ ܗܘ ܕܥܠ ܐܦܝ ܚܝܘܗܝ ܕܥܠܡܐ ܝܗܒ ܐܢܐ
2b0634007c	ܢܨܝܢ ܗܘܘ ܕܝܢ ܝܗܘܕܝܐ ܚܕ ܥܡ ܚܕ ܘܐܡܪܝܢ ܐܝܟܢܐ ܡܫܟܚ ܗܢܐ ܦܓܪܗ ܕܢܬܠ ܠܢ ܠܡܐܟܠ
2b063500b2	ܘܐܡܪ ܠܗܘܢ ܝܫܘܥ ܐܡܝܢ ܐܡܝܢ ܐܡܪ ܐܢܐ ܠܟܘܢ ܕܐܠܐ ܬܐܟܠܘܢ ܦܓܪܗ ܕܒܪܗ ܕܐܢܫܐ ܘܬܫܬܘܢ ܕܡܗ ܠܝܬ ܠܟܘܢ ܚܝܐ ܒܩܢܘܡܟܘܢ
2b06360085	ܡܢ ܕܐܟܠ ܕܝܢ ܡܢ ܦܓܪܝ ܘܫܬܐ ܡܢ ܕܡܝ ܐܝܬ ܠܗ ܚܝܐ ܕܠܥܠܡ ܘܐܢܐ ܐܩܝܡܝܘܗܝ ܒܝܘܡܐ ܐܚܪܝܐ
2b0637006a	ܦܓܪܝ ܓܝܪ ܫܪܝܪܐܝܬ ܐܝܬܘܗܝ ܡܐܟܘܠܬܐ ܘܕܡܝ ܫܪܝܪܐܝܬ ܐܝܬܘܗܝ ܡܫܬܝܐ
2b06380042	ܡܢ ܕܐܟܠ ܦܓܪܝ ܘܫܬܐ ܕܡܝ ܒܝ ܡܩܘܐ ܘܐܢܐ ܒܗ
2b0639007a	ܐܝܟܢܐ ܕܫܕܪܢܝ ܐܒܐ ܚܝܐ ܘܐܢܐ ܚܝ ܐܢܐ ܡܛܠ ܐܒܐ ܘܡܢ ܕܢܐܟܠܢܝ ܐܦ ܗܘ ܢܚܐ ܡܛܠܬܝ
2b063a0095	ܗܢܘ ܠܚܡܐ ܕܢܚܬ ܡܢ ܫܡܝܐ ܠܐ ܗܘܐ ܐܝܟ ܕܐܟܠܘ ܐܒܗܝܟܘܢ ܡܢܢܐ ܘܡܝܬܘ ܡܢ ܕܐܟܠ ܗܢܐ ܠܚܡܐ ܢܚܐ ܠܥܠܡ
2b063b003b	ܗܠܝܢ ܐܡܪ ܒܟܢܘܫܬܐ ܟܕ ܡܠܦ ܒܟܦܪܢܚܘܡ
2b063c0073	ܘܤܓܝܐܐ ܕܫܡܥܘ ܡܢ ܬܠܡܝܕܘܗܝ ܐܡܪܝܢ ܩܫܝܐ ܗܝ ܡܠܬܐ ܗܕܐ ܡܢܘ ܡܫܟܚ ܠܡܫܡܥܗ
2b063d0078	ܝܫܘܥ ܕܝܢ ܝܕܥ ܒܢܦܫܗ ܕܪܛܢܝܢ ܥܠ ܗܕܐ ܬܠܡܝܕܘܗܝ ܘܐܡܪ ܠܗܘܢ ܗܕܐ ܡܟܫܠܐ ܠܟܘܢ
2b063e0062	ܐܢ ܬܚܙܘܢ ܗܟܝܠ ܠܒܪܗ ܕܐܢܫܐ ܕܤܠܩ ܠܐܬܪ ܕܐܝܬܘܗܝ ܗܘܐ ܡܢ ܩܕܝܡ
2b063f007e	ܪܘܚܐ ܗܝ ܕܡܚܝܐ ܦܓܪܐ ܠܐ ܡܗܢܐ ܡܕܡ ܡܠܐ ܕܐܢܐ ܡܠܠܬ ܥܡܟܘܢ ܪܘܚܐ ܐܢܝܢ ܘܚܝܐ ܐܢܝܢ
2b064000b0	ܐܠܐ ܐܝܬ ܐܢܫܐ ܡܢܟܘܢ ܕܠܐ ܡܗܝܡܢܝܢ ܝܕܥ ܗܘܐ ܓܝܪ ܝܫܘܥ ܡܢ ܩܕܝܡ ܡܢ ܐܢܘܢ ܐܝܠܝܢ ܕܠܐ ܡܗܝܡܢܝܢ ܘܡܢܘ ܗܘ ܕܡܫܠܡ ܠܗ
2b06410084	ܘܐܡܪ ܗܘܐ ܠܗܘܢ ܡܛܠ ܗܢܐ ܐܡܪܬ ܠܟܘܢ ܕܠܐ ܐܢܫ ܡܫܟܚ ܕܢܐܬܐ ܠܘܬܝ ܐܠܐ ܝܗܝܒ ܠܗ ܡܢ ܐܒܝ
2b06420073	ܡܛܠ ܗܕܐ ܡܠܬܐ ܤܓܝܐܐ ܡܢ ܬܠܡܝܕܘܗܝ ܐܙܠܘ ܠܒܤܬܪܗܘܢ ܘܠܐ ܡܗܠܟܝܢ ܗܘܘ ܥܡܗ
2b06430058	ܘܐܡܪ ܝܫܘܥ ܠܬܪܥܤܪܬܗ ܠܡܐ ܐܦ ܐܢܬܘܢ ܨܒܝܢ ܐܢܬܘܢ ܠܡܐܙܠ
2b06440066	ܥܢܐ ܫܡܥܘܢ ܟܐܦܐ ܘܐܡܪ ܡܪܝ ܠܘܬ ܡܢ ܢܐܙܠ ܡܠܐ ܕܚܝܐ ܕܠܥܠܡ ܐܝܬ ܠܟ
2b06450050	ܘܚܢܢ ܗܝܡܢܢ ܘܝܕܥܢ ܕܐܢܬ ܗܘ ܡܫܝܚܐ ܒܪܗ ܕܐܠܗܐ ܚܝܐ
2b06460067	ܐܡܪ ܠܗܘܢ ܝܫܘܥ ܠܐ ܗܘܐ ܐܢܐ ܓܒܝܬܟܘܢ ܠܬܪܥܤܪ ܘܡܢܟܘܢ ܚܕ ܤܛܢܐ ܗܘ
2b06470087	ܐܡܪ ܗܘܐ ܕܝܢ ܥܠ ܝܗܘܕܐ ܒܪ ܫܡܥܘܢ ܤܟܪܝܘܛܐ ܗܘ ܓܝܪ ܥܬܝܕ ܗܘܐ ܕܢܫܠܡܝܘܗܝ ܚܕ ܡܢ ܬܪܥܤܪ
2b0701009a	ܒܬܪ ܗܠܝܢ ܡܗܠܟ ܗܘܐ ܝܫܘܥ ܒܓܠܝܠܐ ܠܐ ܓܝܪ ܨܒܐ ܗܘܐ ܠܡܗܠܟܘ ܒܝܗܘܕ ܡܛܠ ܕܝܗܘܕܝܐ ܒܥܝܢ ܗܘܘ ܠܡܩܛܠܗ
2b07020036	ܘܩܪܝܒ ܗܘܐ ܥܕܥܕܐ ܕܡܛܠܐ ܕܝܗܘܕܝܐ
2b0703007f	ܘܐܡܪܘ ܠܗ ܐܚܘܗܝ ܠܝܫܘܥ ܫܢܐ ܠܟ ܡܟܐ ܘܙܠ ܠܝܗܘܕ ܕܢܚܙܘܢ ܬܠܡܝܕܝܟ ܥܒܕܐ ܕܥܒܕ ܐܢܬ
2b0704008c	ܠܝܬ ܓܝܪ ܐܢܫ ܕܥܒܕ ܡܕܡ ܒܛܘܫܝܐ ܘܨܒܐ ܗܘ ܕܒܓܠܝܐ ܢܗܘܐ ܐܢ ܗܠܝܢ ܥܒܕ ܐܢܬ ܚܘܐ ܢܦܫܟ ܠܥܠܡܐ
2b0705003d	ܐܦ ܠܐ ܓܝܪ ܐܚܘܗܝ ܗܝܡܢܘ ܗܘܘ ܒܗ ܒܝܫܘܥ
2b07060080	ܐܡܪ ܠܗܘܢ ܝܫܘܥ ܙܒܢܝ ܕܝܠܝ ܥܕܡܐ ܠܗܫܐ ܠܐ ܡܛܐ ܙܒܢܟܘܢ ܕܝܢ ܕܝܠܟܘܢ ܒܟܠ ܥܕܢ ܡܛܝܒ
2b07070086	ܠܐ ܡܫܟܚ ܥܠܡܐ ܠܡܤܢܟܘܢ ܠܝ ܕܝܢ ܤܢܐ ܡܛܠ ܕܐܢܐ ܡܤܗܕ ܐܢܐ ܥܠܘܗܝ ܕܥܒܕܘܗܝ ܒܝܫܝܢ ܐܢܘܢ
2b0708008c	ܐܢܬܘܢ ܤܩܘ ܠܥܕܥܕܐ ܗܢܐ ܐܢܐ ܠܐ ܤܠܩ ܐܢܐ ܗܫܐ ܠܥܕܥܕܐ ܗܢܐ ܡܛܠ ܕܙܒܢܐ ܕܝܠܝ ܠܐ ܥܕܟܝܠ ܫܠܡ
2b07090028	ܗܠܝܢ ܐܡܪ ܘܦܫ ܠܗ ܒܓܠܝܠܐ
2b070a0075	ܟܕ ܕܝܢ ܤܠܩܘ ܐܚܘܗܝ ܠܥܕܥܕܐ ܗܝܕܝܢ ܐܦ ܗܘ ܤܠܩ ܠܐ ܒܓܠܝܐ ܐܠܐ ܐܝܟ ܕܒܛܘܫܝܐ
2b070b0057	ܝܗܘܕܝܐ ܕܝܢ ܒܥܝܢ ܗܘܘ ܠܗ ܒܥܕܥܕܐ ܘܐܡܪܝܢ ܗܘܘ ܐܝܟܘ ܗܘ
2b070c00a4	ܘܪܛܢܐ ܤܓܝܐܐ ܡܛܠܬܗ ܐܝܬ ܗܘܐ ܒܟܢܫܐ ܐܝܬ ܗܘܘ ܓܝܪ ܕܐܡܪܝܢ ܕܛܒ ܗܘ ܘܐܚܪܢܐ ܐܡܪܝܢ ܗܘܘ ܠܐ ܐܠܐ ܡܛܥܐ ܠܥܡܐ
2b070d005b	ܠܐ ܕܝܢ ܐܢܫ ܓܠܝܐܝܬ ܡܡܠܠ ܗܘܐ ܥܠܘܗܝ ܡܛܠ ܕܚܠܬܐ ܕܝܗܘܕܝܐ
2b070e0059	ܟܕ ܕܝܢ ܦܠܓܘ ܝܘܡܬܐ ܕܥܕܥܕܐ ܤܠܩ ܝܫܘܥ ܠܗܝܟܠܐ ܘܡܠܦ ܗܘܐ
2b070f0064	ܘܡܬܕܡܪܝܢ ܗܘܘ ܝܗܘܕܝܐ ܘܐܡܪܝܢ ܐܝܟܢܐ ܝܕܥ ܗܢܐ ܤܦܪܐ ܟܕ ܠܐ ܝܠܦ
2b07100055	ܥܢܐ ܝܫܘܥ ܘܐܡܪ ܝܘܠܦܢܝ ܠܐ ܗܘܐ ܕܝܠܝ ܐܠܐ ܕܗܘ ܕܫܕܪܢܝ
2b07110086	ܡܢ ܕܨܒܐ ܕܢܥܒܕ ܨܒܝܢܗ ܡܤܬܟܠ ܝܘܠܦܢܝ ܐܢ ܡܢ ܐܠܗܐ ܗܘ ܐܘ ܐܢܐ ܡܢ ܨܒܘܬ ܢܦܫܝ ܡܡܠܠ ܐܢܐ
2b071200a5	ܡܢ ܕܡܢ ܨܒܘܬ ܪܥܝܢܗ ܡܡܠܠ ܫܘܒܚܐ ܠܢܦܫܗ ܒܥܐ ܗܘ ܕܝܢ ܕܫܘܒܚܐ ܕܡܢ ܕܫܕܪܗ ܒܥܐ ܫܪܝܪ ܗܘ ܘܥܘܠܐ ܒܠܒܗ ܠܐ ܐܝܬ
2b0713005a	ܠܐ ܗܘܐ ܡܘܫܐ ܝܗܒ ܠܟܘܢ ܢܡܘܤܐ ܘܠܐ ܐܢܫ ܡܢܟܘܢ ܢܛܪ ܢܡܘܤܐ
2b07140076	ܡܢܐ ܒܥܝܢ ܐܢܬܘܢ ܠܡܩܛܠܢܝ ܥܢܐ ܟܢܫܐ ܘܐܡܪܝܢ ܕܝܘܐ ܐܝܬ ܠܟ ܡܢܘ ܒܥܐ ܠܡܩܛܠܟ
2b0715005f	ܥܢܐ ܝܫܘܥ ܘܐܡܪ ܠܗܘܢ ܚܕ ܥܒܕܐ ܥܒܕܬ ܘܟܠܟܘܢ ܡܬܕܡܪܝܢ ܐܢܬܘܢ
2b071600ae	ܡܛܠ ܗܢܐ ܡܘܫܐ ܝܗܒ ܠܟܘܢ ܓܙܘܪܬܐ ܠܐ ܗܘܐ ܡܛܠ ܕܡܢܗ ܗܝ ܡܢ ܡܘܫܐ ܐܠܐ ܕܡܢ ܐܒܗܬܐ ܗܝ ܘܒܫܒܬܐ ܓܙܪܝܢ ܐܢܬܘܢ ܒܪܢܫܐ
2b071700b1	ܐܢ ܒܪܢܫܐ ܡܬܓܙܪ ܒܝܘܡܐ ܕܫܒܬܐ ܡܛܠ ܕܠܐ ܢܫܬܪܐ ܢܡܘܤܐ ܕܡܘܫܐ ܥܠܝ ܪܛܢܝܢ ܐܢܬܘܢ ܕܟܠܗ ܒܪܢܫܐ ܐܚܠܡܬ ܒܝܘܡܐ ܕܫܒܬܐ
2b0718004e	ܠܐ ܬܗܘܘܢ ܕܝܢܝܢ ܒܡܤܒ ܒܐܦܐ ܐܠܐ ܕܝܢܐ ܟܐܢܐ ܕܘܢܘ
2b07190055	ܘܐܡܪܝܢ ܗܘܘ ܐܢܫܐ ܡܢ ܐܘܪܫܠܡ ܠܘ ܗܢܘ ܗܘ ܕܒܥܝܢ ܠܡܩܛܠ
2b071a007c	ܘܗܐ ܓܠܝܐܝܬ ܡܡܠܠ ܘܡܕܡ ܠܐ ܐܡܪܝܢ ܠܗ ܕܠܡܐ ܝܕܥܘ ܩܫܝܫܝܢ ܕܗܢܘ ܫܪܝܪܐܝܬ ܡܫܝܚܐ
2b071b0082	ܐܠܐ ܠܗܢܐ ܝܕܥܝܢ ܚܢܢ ܡܢ ܐܝܡܟܐ ܗܘ ܡܫܝܚܐ ܕܝܢ ܐܡܬܝ ܕܐܬܐ ܠܐ ܐܢܫ ܝܕܥ ܡܢ ܐܝܡܟܐ ܗܘ
2b071c0108	ܘܐܪܝܡ ܝܫܘܥ ܩܠܗ ܟܕ ܡܠܦ ܒܗܝܟܠܐ ܘܐܡܪ ܘܠܝ ܝܕܥܝܢ ܐܢܬܘܢ ܘܡܢ ܐܝܡܟܐ ܐܢܐ ܝܕܥܝܢ ܐܢܬܘܢ ܘܡܢ ܨܒܘܬ ܢܦܫܝ ܠܐ ܐܬܝܬ ܐܠܐ ܫܪܝܪ ܗܘ ܡܢ ܕܫܕܪܢܝ ܗܘ ܕܐܢܬܘܢ ܠܐ ܝܕܥܝܢ ܐܢܬܘܢ ܠܗ
2b071d0049	ܐܢܐ ܕܝܢ ܝܕܥ ܐܢܐ ܠܗ ܕܡܢ ܠܘܬܗ ܐܢܐ ܘܗܘ ܫܕܪܢܝ
2b071e0072	ܘܒܥܘ ܠܡܐܚܕܗ ܘܠܐ ܐܢܫ ܐܪܡܝ ܥܠܘܗܝ ܐܝܕܝܐ ܡܛܠ ܕܠܐ ܥܕܟܝܠ ܐܬܬ ܗܘܬ ܫܥܬܗ
2b071f0099	ܤܓܝܐܐ ܕܝܢ ܡܢ ܟܢܫܐ ܗܝܡܢܘ ܒܗ ܘܐܡܪܝܢ ܡܫܝܚܐ ܡܐ ܕܐܬܐ ܠܡܐ ܕܝܬܝܪܢ ܡܢ ܗܠܝܢ ܐܬܘܬܐ ܕܥܒܕ ܗܢܐ ܥܒܕ
2b07200087	ܘܫܡܥܘ ܦܪܝܫܐ ܠܟܢܫܐ ܕܡܡܠܠܝܢ ܥܠܘܗܝ ܗܠܝܢ ܘܫܕܪܘ ܗܢܘܢ ܘܪܒܝ ܟܗܢܐ ܕܚܫܐ ܕܢܐܚܕܘܢܝܗܝ
2b07210065	ܘܐܡܪ ܝܫܘܥ ܩܠܝܠ ܬܘܒ ܙܒܢܐ ܥܡܟܘܢ ܐܢܐ ܘܐܙܠ ܐܢܐ ܠܘܬ ܡܢ ܕܫܕܪܢܝ
2b0722006d	ܘܬܒܥܘܢܢܝ ܘܠܐ ܬܫܟܚܘܢܢܝ ܘܐܝܟܐ ܕܐܢܐ ܐܝܬܝ ܠܐ ܡܫܟܚܝܢ ܐܢܬܘܢ ܠܡܐܬܐ
2b072300c1	ܐܡܪܝܢ ܝܗܘܕܝܐ ܒܢܦܫܗܘܢ ܠܐܝܟܐ ܥܬܝܕ ܗܢܐ ܠܡܐܙܠ ܕܚܢܢ ܠܐ ܡܫܟܚܝܢ ܚܢܢ ܠܗ ܠܡܐ ܟܝ ܠܐܬܪܘܬܐ ܕܥܡܡܐ ܥܬܝܕ ܕܢܐܙܠ ܘܢܠܦ ܠܚܢܦܐ
2b0724009d	ܡܢܐ ܗܝ ܗܕܐ ܡܠܬܐ ܕܐܡܪ ܕܬܒܥܘܢܢܝ ܘܠܐ ܬܫܟܚܘܢܢܝ ܘܐܝܟܐ ܕܐܢܐ ܐܝܬܝ ܐܢܬܘܢ ܠܐ ܡܫܟܚܝܢ ܐܢܬܘܢ ܠܡܐܬܐ
2b07250098	ܒܝܘܡܐ ܕܝܢ ܪܒܐ ܕܐܝܬܘܗܝ ܐܚܪܝܐ ܕܥܕܥܕܐ ܩܐܡ ܗܘܐ ܝܫܘܥ ܘܩܥܐ ܘܐܡܪ ܐܢ ܐܢܫ ܨܗܐ ܢܐܬܐ ܠܘܬܝ ܘܢܫܬܐ
2b07260070	ܟܠ ܡܢ ܕܡܗܝܡܢ ܒܝ ܐܝܟܢܐ ܕܐܡܪܘ ܟܬܒܐ ܢܗܪܘܬܐ ܕܡܝܐ ܚܝܐ ܢܪܕܘܢ ܡܢ ܟܪܤܗ
2b072700ce	ܗܕܐ ܕܝܢ ܐܡܪ ܥܠ ܪܘܚܐ ܕܥܬܝܕܝܢ ܗܘܘ ܠܡܩܒܠܘ ܐܝܠܝܢ ܕܡܗܝܡܢܝܢ ܒܗ ܠܐ ܓܝܪ ܥܕܟܝܠ ܐܬܝܗܒܬ ܗܘܬ ܪܘܚܐ ܡܛܠ ܕܠܐ ܥܕܟܝܠ ܐܫܬܒܚ ܗܘܐ ܝܫܘܥ
2b07280066	ܤܓܝܐܐ ܕܝܢ ܡܢ ܟܢܫܐ ܕܫܡܥܘ ܡܠܘܗܝ ܐܡܪܝܢ ܗܘܘ ܗܢܘ ܫܪܝܪܐܝܬ ܢܒܝܐ
2b0729006f	ܐܚܪܢܐ ܐܡܪܝܢ ܗܘܘ ܗܢܘ ܡܫܝܚܐ ܐܚܪܢܐ ܐܡܪܝܢ ܕܠܡܐ ܡܢ ܓܠܝܠܐ ܐܬܐ ܡܫܝܚܐ
2b072a007c	ܠܐ ܗܘܐ ܟܬܒܐ ܐܡܪ ܕܡܢ ܙܪܥܗ ܕܕܘܝܕ ܘܡܢ ܒܝܬ ܠܚܡ ܩܪܝܬܐ ܕܝܠܗ ܕܕܘܝܕ ܐܬܐ ܡܫܝܚܐ
2b072b0032	ܘܗܘܬ ܗܘܬ ܦܠܓܘܬܐ ܒܟܢܫܐ ܡܛܠܬܗ
2b072c007e	ܘܐܝܬ ܗܘܘ ܐܢܫܝܢ ܡܢܗܘܢ ܕܨܒܝܢ ܗܘܘ ܕܢܐܚܕܘܢܝܗܝ ܐܠܐ ܠܐ ܐܢܫ ܐܪܡܝ ܥܠܘܗܝ ܐܝܕܝܐ
2b072d007e	ܘܐܬܘ ܕܚܫܐ ܗܢܘܢ ܠܘܬ ܪܒܝ ܟܗܢܐ ܘܦܪܝܫܐ ܘܐܡܪܘ ܠܗܘܢ ܟܗܢܐ ܠܡܢܐ ܠܐ ܐܝܬܝܬܘܢܝܗܝ
2b072e0069	ܐܡܪܝܢ ܠܗܘܢ ܕܚܫܐ ܠܐ ܡܡܬܘܡ ܗܟܢܐ ܡܠܠ ܒܪܢܫܐ ܐܝܟ ܕܡܡܠܠ ܓܒܪܐ ܗܢܐ
2b072f0042	ܐܡܪܝܢ ܠܗܘܢ ܦܪܝܫܐ ܠܡܐ ܐܦ ܐܢܬܘܢ ܛܥܝܬܘܢ
2b0730003e	ܠܡܐ ܐܢܫ ܡܢ ܪܫܐ ܐܘ ܡܢ ܦܪܝܫܐ ܗܝܡܢܘ ܒܗ
2b07310046	ܐܠܐ ܐܢ ܥܡܐ ܗܢܐ ܕܠܐ ܝܕܥ ܢܡܘܤܐ ܠܝܛܝܢ ܐܢܘܢ
2b0732005e	ܐܡܪ ܠܗܘܢ ܢܝܩܕܡܘܤ ܚܕ ܡܢܗܘܢ ܗܘ ܕܐܬܐ ܗܘܐ ܠܘܬ ܝܫܘܥ ܒܠܠܝܐ
2b07330070	ܕܠܡܐ ܢܡܘܤܐ ܕܝܠܢ ܡܚܝܒ ܠܒܪܢܫܐ ܐܠܐ ܐܢ ܢܫܡܥ ܡܢܗ ܠܘܩܕܡ ܘܢܕܥ ܡܢܐ ܥܒܕ
2b07340079	ܥܢܘ ܘܐܡܪܝܢ ܠܗ ܠܡܐ ܐܦ ܐܢܬ ܡܢ ܓܠܝܠܐ ܐܢܬ ܒܨܝ ܘܚܙܝ ܕܢܒܝܐ ܡܢ ܓܠܝܠܐ ܠܐ ܩܐܡ
2b07350023	ܐܙܠ ܗܟܝܠ ܟܠܚܕ ܠܒܝܬܗ
2b0801002c	ܝܫܘܥ ܕܝܢ ܐܙܠ ܠܛܘܪܐ ܕܙܝܬܐ
2b08020078	ܒܨܦܪܐ ܕܝܢ ܬܘܒ ܐܬܐ ܠܗܝܟܠܐ ܘܟܠܗ ܥܡܐ ܐܬܐ ܗܘܐ ܠܘܬܗ ܘܟܕ ܝܬܒ ܡܠܦ ܗܘܐ ܠܗܘܢ
2b0803006f	ܐܝܬܝܘ ܕܝܢ ܤܦܪܐ ܘܦܪܝܫܐ ܠܐܢܬܬܐ ܕܐܬܬܚܕܬ ܒܓܘܪܐ ܘܟܕ ܐܩܝܡܘܗ ܒܡܨܥܬܐ
2b08040065	ܐܡܪܝܢ ܠܗ ܡܠܦܢܐ ܗܕܐ ܐܢܬܬܐ ܐܬܬܚܕܬ ܓܠܝܐܝܬ ܒܗ ܒܤܘܥܪܢܐ ܕܓܘܪܐ
2b0805006d	ܘܒܢܡܘܤܐ ܕܝܢ ܕܡܘܫܐ ܦܩܕ ܕܠܕܐܝܟ ܗܠܝܢ ܢܪܓܘܡ ܐܢܬ ܗܟܝܠ ܡܢܐ ܐܡܪ ܐܢܬ
2b080600a1	ܗܕܐ ܐܡܪܘ ܟܕ ܡܢܤܝܢ ܠܗ ܐܝܟܢܐ ܕܬܗܘܐ ܠܗܘܢ ܕܢܩܛܪܓܘܢܝܗܝ ܝܫܘܥ ܕܝܢ ܟܕ ܠܬܚܬ ܐܬܓܗܢ ܡܟܬܒ ܗܘܐ ܥܠ ܐܪܥܐ
2b0807009f	ܟܕ ܕܝܢ ܟܬܪܘ ܟܕ ܡܫܐܠܝܢ ܠܗ ܐܬܦܫܛ ܘܐܡܪ ܠܗܘܢ ܐܝܢܐ ܡܢܟܘܢ ܕܐܝܬܘܗܝ ܕܠܐ ܚܛܗ ܩܕܡܝܐ ܢܫܕܐ ܥܠܝܗ ܟܐܦܐ
2b08080034	ܘܬܘܒ ܟܕ ܐܬܓܗܢ ܟܬܒ ܗܘܐ ܥܠ ܐܪܥܐ
2b0809009b	ܗܢܘܢ ܕܝܢ ܟܕ ܫܡܥܘ ܢܦܩܝܢ ܗܘܘ ܚܕ ܚܕ ܟܕ ܫܪܝܘ ܡܢ ܩܫܝܫܐ ܘܐܫܬܒܩܬ ܐܢܬܬܐ ܠܚܘܕܝܗ ܟܕ ܐܝܬܝܗ ܒܡܨܥܬܐ
