280000000c	ማትዎስ
2b062800d5	አባታሳ ሳፋራ ናስን ቢሬ ባሪክ አማነፌ ባሶ ዙቴሴሬ ኮእባ ፎንቶ ካ ዳኖነክዋ። ኤስ ባሶትንኑ ታ ማጝሱኒ ካርኒ ዎኖ ክቱን ካብጉናዋ።»
2b06290067	አይሁድኒ ሜያ ደይ፦ «ሳማን ኬሬ ካኒ ቱሻ ታዋ» ኡባሲክ ኡኚሴቴ።
2b062a00c8	ኤካ ደይ ይሴቴ፦ «ሀኒስ አባባስንናዋ እንቶባሶንና አሪፌኒ ዮሴፍኒ ና የሱስቴኖሶ? ኤኪን ኣካክ፦ ‹ሳማንቱ ኬሬጝዋ› ይፌሶ?»
2b062b0053	የሱስ ዎልግሬ ኤካ ይ፦ «ንቶትና ንቶትና ኡኙቲታዋ።
2b062c00a8	ታን ዎሲ አባታስ ዛታናነታኖ ኦኑ ታኪ ዮክ ኣፋዋ ችማናዉዛ። ታ ማጝሱኒ ካርኒ ዎኖ ባሪን ክቱን ካብጉናዋ።
2b062d00bd	ራጁኒ ትቻሲ፦ ‹ዙታምቤሲሴ ሀኦኪን አሪር ስኖነዋ› ይስቴራ ትቼዋ። ኤሴኑ አባስኪን ኦዴሬ አሪ ባር ዙቴሬ ታኪ ዮናዋ።
2b062e008c	ሀኦስኪን ስና ሻካናነ አባስንኑ ብያር ኦኑ ኣፌዋ። አባታስኪን ስና ባር ባርቱ ብያርዋ።
2b062f0069	ፉቶ ንቶክ ማኬፋውጙዋ፤ ታክ አማነፌ ባር ኮእባ ፎንቶ ካባ ፋርዋ።
2b06300017	ካኒ ቱሻ ታዋ።
2b0631005e	አባንትሳክቶ ኢችማ ዳስ ሲ ማና ሜሴቴ። ስኑንታኖ ክትሴቴ።
2b06320067	ሳማን ኬሬ ቱሻስ ሀኒስዋ፥ ኤስ ቱሻሶን ሙን ባር ኣፋ ክቱና ዉዛ።
2b063300d8	ሳማን ኬሬ ካ እምን ቱሻ ታዋ። አሱ ሀን ቱሻሶን ሜፋናነ ኮእባ ፎንቶ ካክቱ ፎና። ሀን ዳስ አሱኒክ ካ ስናናክ ታ እማና ቱሻስ አሽናስዋ።»
2b063400bb	አይሁድኒ ሜያ ደይ፦ «ሀን አሱስ አሽባሶን እኖክ ኣካክ እማክ ችምንሪንሶ?» ይት ባሶትና ባሶትና ማእስሬ ካራካርሴቴ።
2b063500ec	የሱስ ባሶክ ኤካ ይ፦ «ፉቶ ንቶክ ማኬፋውጙዋ፤ አሱሳ ናኒ አሻሶን ሙ ሻካትነ ሀርንባሶን ደይ ኡሻ ሻካትነ [ኤስ ማአ ስና አሽናሶን] ንቶ ካኒት ኣፋዋ።
2b063600ae	አሽናሶን ሜፌ ባርናዋ ሀርናሶን ኡሽፌ ባርና ኮእባ ፎንቶ ካባ ፋርዋ። ታ ኮእባስ ዎኖ ባሪን ክቱኒ ካብጉናዋ።
2b06370048	አሽናስ ፉቶኒ ሙ፥ ሀርናስ ደይ ፉቶኒ ኡሻዋ።
2b0638008a	አሽናሶን ሜፌ ባርናዋ ሀርናሶን ደይ ኡሽፌ ባርና ታኔንቱ ፎና። ታ ደይ ባርኔንቱ ፎና።
2b063900c5	ሀየዉ አባታስ ታን ዎሲንናማቶ ታ ደይ ባርኪን ካብ ቾዋ ሀየዉ ስንናማቶ ታ አሻሶን ሜፌ ባር ደይ ታኪን ካብ ቾዋ ሀየዉ ስናና።
2b063a00d6	ሳማን ኬሬ ቱሻስ ሀኒስዋ። አባንትሳክቶ ሳማን ኬሬ ቱሻሶን ሜሴሬ ክትሴቴይሲማቶታዋ። ሀን ቱሻሶን ሜፌ ባር ኮእባ ፎንቶ ካክቱ ፎና።»
2b063b007b	የሱስ ክፍርናሆሙክ አሲፌና ካባሲክ ሀን ባሮን አይሁድኒ ሺጶኒ ኬያሲክ ማኬ።
2b063c0091	ናዎኒ ሜያስን ሾዎቤሲስ ኦደሴፋት፦ «ሀን ባር ችማ ዎላዋ። ኦንሶ ኤጴቶክ ችምንሪ?» ይሴቴ።
2b063d00ad	ስኑንታኖ የሱስ ናዎኒ ሜያ ኤስ ካማሲክ ኡኚሴቴማቶ ንብባሲ አሪፋት ኤካ ይ፦ «ሀን ባር ንቶትን ቱሳእሱኒሮሶ?
2b063e006b	ኤካ አሱኒ ና ዜምሜ ደን ፌናስታ ሀሚፌን ቢፌቲ ካባሲክ አዉ ኡትስሶ?
2b063f00a8	ካ እምፋስ ሀኦሲ አያናዋ፤ አሱኒ ሁግናስ እሳንነ ኣነ ኬእፋዋ። ታ ማኬና ካማስ ካ እምፋ አያናነዋ ካነዋ።
2b06400118	ስኑንታኖ ንቶስን አማኖኖር እሳ እሳር ፌሴቴርዋ» የሱስ ባሶስን አማኖኖር ኦ ስንናማቶናዋ ባሪን ኣትሬ እምኒስ ኦ ስንናማቶና ዜምሜኑ አሪሬ ፌር ስንና ቦርአቱ ኤስ ባሮን ማኬ።
2b064100a5	ቱስሬ ደይ፦ «አባስኪን እምቶኖይናሮን ኦኑ ታኪ ዮክ ችምኒር ኣፌ ስንና ቦርአቱ ኤስ ባሮን ማኬጝዋ» ይ።
2b06420079	ኤሴን ኦርፎ ናዎኒ ሜያስን ሾዎቤሲስ ኦርፎ ዎልሴሬ ባርኔን አነ ኣነ ሀሞቶ።
2b06430077	የሱስ አሲሬ ሄፔ ናዎባሳክቶኒን፦ «ንቶ ደይ ዎላ ሀማቲክ ሾሌፌትዮሶ?» ይ።
2b0644008a	ስሞን ጴጥሮስ፦ «ዳምታሶ፥ ኦኪ ዎላ ሀማንሪንሶ? ኔኪክ ኮእባ ፎንቶ ካ እምፋ ካማ ፋር።
2b06450055	ነ ኮርቶ ሀኦሲ ና ስንታማቶ አማነኒ ደይ አሪንዋ» ይ።
2b06460084	የሱስ ዎልግሬ፦ «ንቶ አሲሬ ሄፔስን ኮሪስ ታቴኖሶ? ንቶስን እሳይስ ዳቡሎስዋ» ይ።
2b064700d9	ኤስ ይና ባር ደይ ስሞንኒ ና ስና አስቆሮትኪ ዩዳንጝዋ። አሲሬ ሄፔ ናዎሳስን እሳይስ ስንፌናክኑ ኣትሬ እምኒስ ባር ስንና ቦርአቱ ማኬ።
2b070100f3	ኤሴን ኦርፎ አይሁድኒ ሜኒ አእስኛኒ ሜያ የሱስኒን ዎሩክ ሾልሴት ፌሴቴር ስንና ቦርአ ዩዳኒ ዳስታክ ዎል ሌ ሀማሶን ቤይፋት ጋሊላኒ ዳስታክ ኩቲት ፌር።
2b07020041	አይሁድኒ ሜኒ ሀፎኒ ሄቦስ ታእሴራ ፋር።
2b070300a0	ኤስታን ባሳ አይኒ ሜያ፦ «ነ ናዎሳክቶ ዛግፋታ ዎስቶሶን ብዮሶነክ ሀንታን ካብራ ዩዳኪ ዳስታ ሀምማ!
2b070400f6	አምማኖን አሪቶክ ሾሌፌ አሱ ዎስቶባሶን ኣቾክ ዎስቴፌር ኣፌዋ። ነ ደይ ሀን ዉዛሲክቶኖን ዛግፋታነ ቴትኔሶን ሀን ዳሲ አሱኒክ አምማኖን ቤሱታዋ» ይሴቴ።
2b0705005e	ኤስ ባሮን ይሴቴስ አይባሳክቶኑ ባርክ አማኖ ቤየቴ ቦርአ።
2b0706009b	የሱስ ባሶክ ኤካ ይ፦ «ታ ዎናስ ሀሽኑ ኣነ ካርአዋ። ስኑንታኖ ንቶ ዎናስ ዎንና ዎንና ማአ ፋርዋ።
2b070700c1	ሀን ዳስ ንቶትን ኦምቶና ኡግና ኣፋ። ስኑንታኖ ታ ዎስቶቤሲስ ማጙ ስንባሶን ማኬት ፋናር ስንና ቦርአቱ ታን ኦምቴሴፌዋ።
2b07080098	ንቶ ደን ሄቦስኪ ሀሚትዋ፤ ታ ዎናስ ሀሽነ ኣነ ካርአ ስንና ቦርአ ደን ሄቦስኪ ኣፋዋ ሀማና ዉዛ»
2b07090037	ኤስ ባሮን ማኬፋት ጋሊላክ ፉእቴ።
2b070a009b	ስኑንታኖ አይባሳክቶ ሄቦኒ ድማስታ ሀሜቴኔን ኦርፎ የሱስ ደይ አምማኖን ስኖይናማቶ ኣቸሬ ሀሚ።
2b070b0081	አይሁድኒ ሜያ፦ «ባርኪ አይንሶ?» ይሴት ሄቦስኪ የ አሱሳ ጋነሲ ሾልሴቴ ፌሴቴር።
2b070c00d0	ዳራሳ ጋነስንኑ ባሳ ቾዋሲክ አካማኖን ኡኝቸድፋር። እሳ እሳይስ፦ «ባር ማአ አሱዋ» ይ። ኦሚስ፦ «ኣነዋ! ዳራስን ኤሻርዋ» ይሴቴ።
2b070d0093	ስኑንታኖ አይሁድኒ ሜኒ ጋኝኜ ሜያኖን ድግሴቴ ቦርአ ኦኑ ባሳ ቾዋሶን አምማኖን ኣነ ዎሎዌ።
2b070e0058	የሱስ ሄቦሲ ጋነታክ ደን ቤቴሜቅደሲሲ ሀምሜ አሱ ኤጲ።
2b070f00a7	አይሁድኒ ሜያ፦ «ሀን አሱስ አስሲኛኒ ሜያኪን አሩኖይናሮን ትቻሶን ኣካክ አሩክ ችምሶ?» ይት ዲንቀሴቴ።
2b07100078	የሱስ ዎልግሬ ኤካ ይ፦ «ታ አሲፋና ባርኑ ታኪንታዋ፤ ታን ዎሲ ሀኦስክጝዋ።
2b071100a0	ባሳ ፍቃዲሶን ዛጉክ ሾሌፌር ፌፋናነ ሀን አሱስ ሀኦኪን ወደይ ታ ቴታስኪን ስንባሶን አሩክ ችማናዋ።
2b071200d5	ባሳ ቴታስን ማኬፌ ባር ቴትባሪ ኡልፍናሶንቱ ሾሌፌዋ። ስኑንታኖ ዎሲ ባሳ ኡልፍናሶን ሾሌፌ ባር ፉቶኒርዋ። ባሳሲ ደይ ኤሻ ዉዛ ኣፋ።
2b071300c0	ሙሴ ቱማሶን ንቶክ ኣነ እሜኖሶ? ስኑንታኖ ንቶስን ቱማሶን ዛግፌር እሳንነ ኣፌዋ። ታን ዎሩክ አዉኒሮን ሾሌድፌትሪንሶ?»
2b07140089	ዳራስ ዎልግሴሬ፦ «ኪና አያና ነይስሲ ፋርዋ! ደይ ኔን ኦንሶ ዎሩክ ሾሌዲፌሪ?» ይሴቴ።
2b07150089	የሱስ ባሶክ ዎልግሬ ኤካ ይ፦ «እሳ ቢስቴራ አሪቶኖይ ዉዛ ዛግና ንቶ ዙቴራ ዲንቀሴቲ።
2b071600ee	ሙሴ ሃርኮኒ ኩኑሱኒ ቱምሶን ንቶክ እምዋ። ኤስ ቱማስ ደይ ያናስ አባን ሜያኪንታኖ ሙሴኒኪንታዋ። ንቶኑ ደይ ቤይሳኒ ዎናክ ናንጎታ ሃርኮ ኩንስፌቲ።
2b071700e5	ኤሴ ሙሴኒ ቱማስ ሻርቶኖይናማቶ ቤይሳኒ ዎናክ ናንጎታ ሃርኮ ኩኒር ስንናኔን ታ አሱኒን ቤይሳኒ ዎናክ ፋትና ቦርአ ታይስታ አዋጋን ግእቴፌትሶ?
2b07180070	ፉቶኒ ማጝሱኒ ካርአ ካርቲታኖ አሱኒ ስንኒ ብያክ ማጝሱ ካርአቲታዋ።»
2b0719008e	ኤስ ካባ የሩሳለሙክ ፌሴ እሳ እሳ አሱኒ ሜያ ኤካ ይሴቴ፦ «ዎሩክ ሾልሴፌስ ሀን ባርቴኖሶ?
2b071a00c8	ኤሴኑ ባር ሀን አምማኖን ማኬድፌዋ፥ እሳ ዉዛነ ኣነ ማክሶቶዋ። ጋኝኘ ሜያኑ ሀን አሱስ ክርስቶስ ስንናማቶ ፉቶክ አርሴቴታሶ?
2b071b00c0	ስኑንታኖ ሀን ባር ኮንቴና ዳስ አይ ስንናማቶ አርኒርዋ። ክርስቶስ ዬፌና ካባሲክ አይን ስንናማቶ ኦኑ ኣፋ አሩና ዉዛ።»
2b071c013b	የሱስ ቤቴሜቅደሲሲ አሲፌና ካባሲክ ካምባሶን ቴግሬ ኤካ ይ፦ «ታን ፉቶክ አርሴቲርዋ፤ አይን ያናማቶ ደይ አርሴትርዋ፤ ታ ቴትናክ ኣነ ዮትዋ። ስኑንታኖ ታን ዎሲ ባር ንቶ አሩኖይትሮን ፉእቶኒርዋ።
2b071d006e	ባርኪን ያና ቦርአናዋ ባር ታን ዎሲና ቦርአናቱ ታ ባሪን አሪፋውጙዋ»
2b071e00c7	ኤስ ባሪ ቦርኣ ኤጶሶነክ ሾልሴት ፌሴቴር። ስኑንታኖ ባር ኦቶና ዎናስ ኣነ ካርአ ስንና ቦርአ ኦኑ ኤጳክ ኩሹባሶን ኣነ ሾ ዌ።
2b071f00f2	ስኑንታኖ ዳራሳስን ሾዎቤሲስ ባሪክ አማነሴቴ። ደይ፦ «ኤኪን ክርስቶስ ዬፌና ካባሲክ ሀን ባር ዛግና ቢስቴራ አሪቶኖይ ዉዛሲ ደናሎ ዛጉንጌሶ?» ይሴቴ።
2b072000e7	ፌርሳዊኒ ሜያ ባሳ ቾዋሶን ዳራስ ኡኚሴፌን ኦደሴቴ። ማግኒ ጋኝኜ ሜናዋ ፌርሳዊኒ ሜና የሱስኒን ኤጴ ዮሶነክ ቤቴሜቅደስኒ ታሶኒ ሜያኖን ዎሴቴ።
2b07210090	የሱስ ደይ ኤካ ይ፦ «ንቶኔን አነ ፎናስ ጋሮ ዎኒሮጝዋ፤ ኤስታን ታን ዎሲ ባርኪ ሀማናርዋ።
2b0722006a	ንቶ ታን ሾሎቲ፤ ኣፋ ዳናት ዉዛ፤ ታ ፋናስታ ዮክ ኣፋ ችማት ዉዛ።»
2b072300f5	አይሁድኒ ሜያ፦ «እንኖ ባሪን ዳንኖይኒ ድማ አይ ሀምንሪንሶ? አዉዛክነ ግሪክኒ ሜኒ ጋነያስ ሲክቴሬ ፌ አይሁድኒ ሜያኪ ሀምሜ አዛብኒ ሜያኖን አሱኒቶጝዋ?
2b072400c2	‹ንቶ ታን ሾሎቲ፤ ኣፋ ዳናት ዉዛ። ታ ፋናስታ ዮክ ኣፋ ችማትዉዛ› ይና ካማስ ኣምባንሶ?» ይት ባሶትና ባሶትና ዎሉምሴቴ።
2b072500a9	ሄቦሲ ኮእኒ ዎኖቲ አርክ ዎናስታ የሱስ የሬፋት ካምባሶን ቴግሬ፦ «ኦኑ እክቴር ፌፋናነ ታኪ ዬፋት ኡሾዋ።
2b07260086	ታን አማነፌ ባር ትቻስ ማኬናሲማቶ ካኒ አካኒ ኮርአ ባሳ ንባስን ኬሳናዋ» ይት ቻጊ።
2b072700e9	የሱስ ኤስ ባሮን ማኬናስ ባርክ አማነፌ ባሶ ኤጴቶሶነክ ፋ ሀኦሲ አያናኒ ቾዋሲክዋ። የሱስ ኣነ ኡልፍንቶዌ ስንና ቦርአ ኮርቶ አያናስ ኣነ ኬሮዋ።
2b07280085	ዳራሳስን እሳ እሳ ሜያ ኤስ ካማሶን ኦደሴቴይሴ፦ «ሀን ባር ፉቶክ ራጁሶሶ!» ይሴቴ።
2b07290098	ኦሚስ ደይ፦ «ሀን ባር ሙድቶስዋ» ይሴቴ። ስኑንታኖ ኦሚስ፦ «ክርስቶስ ጋሊላን ኣፋዋ ዮናዉዛ።
2b072a00ae	ሙድቶስ ዳዊትኒ ዛላስን ኮኒቶናማቶናዋ ዳዊት ፌፌና ካታማ ቤቴለሙን ዮናማቶና ትቻሲ ኣነ ትቾዋኖሶ?» ይሴቴ።
2b072b005e	ኤስ ባሪ ቦርኣ ባሳ ቾዋሲክ ዳራሳ ጋነሲ ኦር ኦር ኬሳ ስኒ።
2b072c0087	እሳ እሳይስ ባሪን ኤጳክ ሾልሴቴ። ስኑንታኖ ኤጳክ ኩሹባሶን ባሳስታ ሾ ር ኦኑ ኣፌ።
2b072d00f8	ኤስታን ቤቴሜቅደስሲ ታሶኒ ሜያ ማግኒ ጋኝኜ ሜያክናዋ ፌርሳዊኒ ሜያክና ዎል ሌ ሀሜቴን ኤካ ይሬ ማሙሴቴ፦ «አዉኒ ቦርአ የሱስኒን ኤጳ ዮ ቤየትሶ?» ይሴቴ።
2b072e0091	ቤቴሜቅደስሲ ታሶኒ ሜያ፦ «ኤስ አሱስ ዎል ሌፌናሲማቶ ዎል ሌር ኦኑ ኣፌዋ» ይሬ ዎሉግሴቴ።
2b072f0044	ፌርሳዊኒ ሜያ ደይ፦ «ንቶ ደይ ኤሽቴትዮሶ?
2b07300064	ሀእሲፌ ባሶስናዋ ፌርሳዊኒ ሜያስና ባርክ አማነር ፌሴቴርታሶ?
2b07310046	ሀን ሙሴኒ ቱማሶን አሩኖይ ዳራስ ኤርዉቶዋ»
2b0732006b	ፌርሳዊኒ ሜያስን ዜሞ ስናክ የሱስኒኪ ሀማ ንቆድሞስ ይስቴፌ ባር፦
2b073300c0	«እንኖ ቱማስማቶ ዜምሜ እሳ አሱ ማላቴና ማላታስ ኦድቶኖይፌንናዋ አዉ ዛግናማቶ አሪቶኖይፌንና ማጝሱ ኣነ ካቴፋዋ» ይ።
2b073400b3	ባሶ ደይ ዎልግሴሬ፦ «ነ ደይ ጋሊላኪርኖሶ? ራጁ ጋሊላን ኣፋ ካቡና ዉዛ ስንናማቶ ትቻሶን ቱእኒራ አሩዋ» ይሴቴ።
2b07350047	ኤስታን እሳ እሳርቤሲስ ኬቤሲ ኬቤሲ ሀሜቴ።
2b08010043	ኤስታን የሱስ ዳብራዛይትኒ ኩማስታ ሀሚ።
2b080200a6	ዎኖትሪ ዎኖ ኤሶ ቤቴሜቅደሲሲ ዎል ሌ የ። ዳራስ ዙቴሬ ባርኪ ዬሴቴ። ባር ደይ ዲፋት ባሶትን አሲት ፌር።
2b080300a6	ሙሴኒ ቱማሲ አስሲኛናዋ ፌርሳዊኒ ሜና ጌርኬስፌን ኦቴ ማሽካሱ ቴሸሴሬ ዳራ ዙታምባሴ አሲ ስና ዬትሴቴ።
2b0804006e	የሱስኒክ ደይ ኤካ ይሴቴ፦ «አስሲኛኖ! ሀን አሱስ ጌርኬስፌን ኦቴዋ።
2b080500ba	እኖክ እምቴ ቱማስ ኤስ ኤካ ዛግፋ አሱስ ሹአክ እቼራ ክቱናክ ሙሴ አጃጀዋ። ነ ሀን ባሪ ቾዋሶን አዉ ኡታስሶ?» ይሴቴ።
2b080600d4	ኤስ ባሮን ኤካ ይሴቴስ ባርኪን ማላቶኒ ቾዋ ዳንነ ፋታኖሶነክ ሾልሴፋትዋ። ስኑንታኖ የሱስ ሙግሬ ኩሹባሲ ዋይአክ ዳስታክ ትቹ ኤጲ።
2b080700a4	ሄፓ ሄፓ ዎልግሬ ማሙሶቤሲሴ ካንነ፦ «ንቶስን ቦርእባ ፎንቶስ ቴሱኒ ሹኣሶን ባሪስታ ሀእሬ እቾዋ» ይ።
2b08080031	ሄፕሳ ደይ ሙግሬ ዳስታክ ትች።
2b08090119	ባሶ ደይ ኤስ ባሮን ኦደሴቴይሴ ኩርኡሳታን ካብሬ ናኦሳታ ካርኤ እሳ እሳርቤሲስ ኤስታን ሀሜቴ። የሱስ ደይ ዳራ ዙታምባሴ አሲ ስና የሬ ማሽካሱስኔን የሱስኔን ኤስታ ፉእቴሴቴ።
2b080a00a1	የሱስ ካንነ፦ «ሀን አሱሴ፥ ኔን ማላቴ ባሶ አይ ፌሴቴሴ? ነይስታ ማጝሱ ካርአር እሳንነ ኣፌኖሴ?» ይ።
2b080b00e1	አሱስ ደይ፦ «ዳምታሶ! እሳንነ ኣፌዋ» ይ። የሱስ ደይ፦ «ታ ደይ ነይስታ ኣፋዌ ማጝሱ ካርአናዉዛ፤ ሀምሜ፤ ሀውጙኔን ኤካሎ ጌርኬሳታታዌ» ይ።
2b080c00ed	ሄፕሳ ደይ የሱስ ባሶክ፦ «ታ ሀን ዳስታክ ፌ አሱሲክ ቻሬፋዋ። ታኪ ዬፌ ባር ዙታምባሴ ካ እምፋ ቻሬፋሶንቱ ዳናናታኖ ታልማሲ ኣፋ ፎና ዉዛ» ይሬ ማኬ።
2b080d008b	ፌርሳዊኒ ሜያ ደይ፦ «ነ ነ ቴታሲክቱ ዛላ ማኬፋትዋ፤ ኤስ ማኬታ ዛላስ ፉቶታዋ» ይሴቴ።
2b080e0140	የሱስ ዎልግሬ ባሶክ ኤካ ይ፦ «ታ ታ ቴታሲ ቾዋኖን ዛላ ማኬፋናነ አይን ያናማቶናዋ አይ ሀማናማቶና አሪፋኒ ስንና ቦርአ ዛልናስ ፉቶዋ። ስኑንታኖ ንቶ አይን ያናማቶናዋ አይ ሀማናማቶና ኣነ አሪፌትዋ።
2b080f0075	ንቶ አሱኒማቶቱ ማጝሱ ካርፌቲ። ታ እሳ አሱኒታኑ ማጝሱ ኣፋ ካርአናዉዛ።
2b081000e5	ማጝሱ ካርፋናክኑ ታን ዎሲ አባስ ታኔን አነቱ ፌ ስንና ቦርአናዋ ማጝሱ ካርፋና ካባሲክ ደይ ታ ታ ስና ቤይና ቦርአና ኤስ ማጝሱኒ ካርናስ ፉቶዋ።
2b0811005d	ሄፕ አሱ ማኬና ዛላ ፉቶ ስንናማቶ ንቶ ቱማሲ ትቼራ ፋርዋ።
2b08120098	ኤስ ባሪ ቦርኣ ታ ቴታሲሮን ታቱ ዛላ ማኮኒርዋ። ታን ዎሲ አባታስ ደይ ታ ቾዋሲክ ዛላ ማኮናዋ።»
2b08130105	ባሶ ደይ፦ «ኤኪን አባኔሲን አይንሶ?» ይሴቴ። የሱስ ዎልግሬ፦ «ታን ወደይ አባታስን ፉቶክ ኣነ አሪሴፌትዋ። ታን አርሴት ስንፋናነ አባታስን ደይ አሩት ካባዋ» ይ።
2b081400f7	የሱስ ሀን ካማሶን ማኬና ቤቴሜቅደሲሲኪ ዋጋ ዙቴፋና ሳጥኒሲ ቴሻ ዲፋት አሲፌትዋ። ስኑንታኖ ባር ኦቶና ዎናስ ኣነ ካርአ ስንና ቦርአ ኦኑ ባሪን ኣነ ኤጴ።
2b081500db	የሱስ ደይ ሄፕሳ፦ «ታ ሀማናርዋ፤ ንቶ ደይ ታን ሾልሶትዋ። ስኑንታኖ ቦርንትሲክ ክቱትር፤ ታ ሀማና ድማሲ ንቶ ዮትክ ኣፋ ችማት ዉዛ» ይ።
2b081600a3	አይሁድኒ ሜያ፦ «‹ታ ሀማና ድማስታ ንቶ ዮሶትክ ኣፋ ችማት ዉዛ› ኡባስ ባር ባሪን ዎሩኒቴሶ?» ይሴቴ።
2b081700a1	ባር ደይ ኤካ ይ፦ «ንቶ ሀን ዳስታኪር፤ ታ ደን ሳማኪርዋ። ንቶ ሀን ዳስታኪር፤ ታ ሀን ዳስታኪርቴዋ።
2b081800d2	ኤስ ባሪ ቦርኣቱ፦ ‹ንቶ ቦርንትሲክ ክቱትርዋ› ይራ ማኬጝዋ። ታ ኦ ስንናማቶ አሪራ አማኖ ቤይፋትነ ቦርንትሲክ ክቱትርዋ» ይጝዋ።
2b0819008b	ባሶ ደይ፦ «ኤኪን ነ ኦንሶ?» ይሴቴ። የሱስ ዎልግሬ፦ «ዜምሜኔን ማኬት ፌይስ ታ ባርዋ።
2b081a0100	ንቶስታ ሾዎ ማኮና ዉዝነዋ ሾዎ ማጝሱ ካርአና ዉዝነ ፋርዋ። ስኑንታኖ ታን ዎሲ ባር ፉቶኒርዋ። ታ ደይ ባርኪን ኦደና ባሮን ሀን ዳስታኪ አሱኒክ ማኬፋውጙዋ» ይ።
2b081b0044	አባሳ ቾዋኖን ማኬናማቶ ባሶ ኣነ አሪሶቶ።
2b081c0143	ኤስ ባሪ ቦርኣ የሱስ ኤካ ይ፦ «ንቶ አሱኒ ናኒን ደን ቴግፌት ካባሲክ ታ ባር ስንናማቶ አሩትዋ። ኤሲስማቶ ደይ አባታስ ታክ አሲና ባሮንቱ ማኬፋንታኖ ታ ታኪን እሳ ዉዛነ ኣነ ዛግፋት ስኒባሶን ያዳቶትዋ።
2b081d00a6	ታን ዎሲ ባር ታኔን አነዋ። ታ ዎንና ዎንና ዛግፋናስ ባሪን ግርሱክ ስንና ቦርአ ታን ታን ኣነ ቤየዋ» ይ።
2b081e0060	የሱስ ኤስ ዉዛሲክቶኖን ማኮባሴ ሾዎቤሲስ ባሪክ አማነሴቴ።
2b081f007f	የሱስ ባርክ አማነሴ አይሁድኒ ሜያክ፦ «ታ ካማሲክ ፋፋትነ ፉቶክ ንቶ ታ ናዎዋ።
2b0820006a	ፉቶሶን ደይ አሩትዋ፤ ፉቶስ ደይ ብርማዱምማ ንቶትን ክሱናዋ» ይ።
2b082100e5	ባሶ ዎሉግሴሬ፦ «እንኖ አብራሀምኒ ዛላዋ፤ እሳ አሱኒክኑ እሳንነ ቦዝ ኣነ ስንነንዋ፤ ኣካክ ነ እኖትን ‹ቦዞስን ኬሳትርዋ› ይፋትሶ?» ይሴቴ።
2b08220095	የሱስ ዎልግሬ ኤካ ይ፦ «ፉቶክ ንቶ ማኬፋውጙዋ፤ ቦርኣሶን ዎስቴፌ ባር ዙቴሬ ቦርእኒ ቦዝዋ።
2b0823006a	ቦዝ ዎንና ዎንና ኬር ኣነ ዲፌዋ። ናስቱ ዎንና ዎንና ኬር ፌፌርዋ።
2b08240057	ኤሴ ናስ ብርማዱምማ ኪሳናነ ፉቶክ ብርማዱምማ ኬሳቲ።
2b082500a8	አብራሀምኒ ዛላ ስንትሶን አሪፋውጙዋ፤ ስኑንታኖ ካምናሶን ኤጳ ቶ ቤየቲ ቦርአ ታን፤ ዎሩትክ ሾሌፌትዋ።
2b0826008a	ታ አባታስኪን ቢና ባሮንቱ ማኬፋን፤ ንቶ ደይ አባንቲስኪን ኦደቲ ባሮንቱ ዛግሴፌት።»
2b082700fc	አይሁድኒ ሜያ ደይ ባርኪ፦ «እንኖ አባ አብራሀምዋ» ይሴቴ። የሱስ ዎልግሬ ባሶክ፦ «አብራሀምኒ ናንጎታ ስነት ስንፋናነ አብራሀም ዛግፌናሲማቶ ዛጉት ካባዋ።
2b082800ab	ታ ሀኦስኪን ኦደና ፉቶሶን ንቶክ ማኬን። ስኑንታኖ ንቶ ታን ዎሩክ ሾሌፌት። አብራሀም ደይ ኤካ ኣነ ዛጉዌ።
2b082900de	ንቶ አባንትሳ ዎስቶኖንቱ ዎስቴፌትዋ» ይ። ባሶ ደይ፦ «እንኖ ጌርኬሳክ ኣነ ኮንቶዌንዋ። እሳ አባን ፌርዋ፤ ኤስ ባር ደይ ሀኦስዋ» ይሴቴ።
2b082a00da	የሱስ ደይ ኤካ ይ፦ «ሀኦሲ አባንት ስኒ ስንፋናነ ታን ሹናቲ ካባዋ። ታ ሀኦስኪን ያና ቦርአ ሀኦስቱ ታን ዎሲርታኖ ታ ቴትናክ ኣነ ዮትዋ።
2b082b0076	አዉኒ ቦርአንሶ ታ ዎላሶን ጋሳሱ ቤይፌት? ካምናሶን ኦዶክ ኣነ ሾሌፌትዋ።
2b082c017f	ንቶ አባንት ስና ዳቡሎስኒ ናንጎትዋ። አባንት ሾሌፌና ባሮንቱ ዛጉክ ሾሌፌት። ባር ዜምሜኔን ካ ዎሪር። ፉቶ ባርኪክ ኣፋ ስንና ቦርአ ፉቶክ ኣነ የሬፌ። ባር ኤሽኛ፥ ኤሽኒ አባ ስንና ቦርአ ኤሻ ዎል ሌፌና ካባሲክ ቴትባስንቱ ኪሲሬ ዎል ሌፌ።
2b082d0059	ስኑንታኖ ታ ፉቶ ዎል ሌፋና ቦርአ ንቶ ኣነ አማነፌትዋ።
2b082e00b6	ንቶስን፦ ‹ቦርአ ዎስቴትዋ› ይሬ ታን ዌኦክ ችምኒር ኦንሶ? ታ ፉቶ ዎል ሌናር ስንፋናነ አዉኒሮን አማኖ ቤይፌትሶ?
2b082f0089	ሀኦስኪን ስና ባር ሀኦሲ ካማኖን ኦደር። ንቶ ሀኦስኪን ስና ቤይቲ ቦርአ ኣነ ኦደፌት»
