010000001b	আদিপুস্তক
17260600f3	অশূরীয়ার রাজার হাত থেকে আমি তোমাকে ও এই শহরকে উদ্ধার করব এবং শহরটার উদ্ধারের ব্যবস্থা করব।
17260700cd	এবং আমি যে কাজ করব তার প্রমাণস্বরূপ চিহ্ন হল এই: সদাপ্রভু যা বলেছেন তা আমি করব।
1726080103	দেখো, আমি আহসের সিঁড়ির উপরে দশ ধাপ পিছনে ছায়া দেবো। তাই ছায়াটি পিছিয়ে গিয়েছিল দশটি সিঁড়িতে।
17260900e5	যিহূদার রাজা হিষ্কিয় তাঁর অসুস্থতা থেকে যখন সুস্থ হবার পরে প্রার্থনায় যা লিখেছিলেন:
17260a015d	আমি বলেছিলাম, আমি বললাম যে আমার জীবনের মাঝখান দিয়ে আমি পাতালের দরজা দিয়ে যাব; আর আমার বাকি বছরগুলো থেকে কি আমাকে সেখানে পাঠানো হবে।
17260b015f	আমি বলেছিলাম যে, জীবিতদের দেশে আমি সদাপ্রভুকে আর দেখতে পাব না; এই অস্থায়ী জগতে মানবজাতি বা বিশ্ববাসীর বাসিন্দার আর আমি দেখতে পাব না।
17260c01fb	মেষপালকের তাঁবুতে আমার প্রাণ সরে যায় এবং আমার কাছ থেকে দূরে সরিয়ে নিয়ে যায়। তাঁতীদের মত করে আমার জীবন ঘূর্ণিত হয়েছে। তুমি কাঁটা থেকে আমাকে কেটে ফেলছ। রাতের মধ্যে তুমি আমাকে শেষ করে দেবে।
17260d0147	সকাল না হওয়া পর্যন্ত আমি চিৎকার করে উঠলাম; সিংহের মত তিনি আমার সমস্ত হাড় ভেঙে ফেলবে এবং দিনের মধ্যে তুমি আমার জীবন শেষ করছ।
17260e014a	ঘুঘুর মত আমি কাতর স্বরে ডাকতে লাগলাম। উপর দিকে তাকাতে আমার চোখ দুর্বল হয়ে পড়ল। প্রভু, আমি কষ্ট পাচ্ছি, তুমি আমার সাহায্য কর।
17260f0154	আমি কি বলব? তিনি আমার সাথে কথা বলেছেন এবং নিজেই এটা করছে। আমার প্রাণের এই যন্ত্রণার জন্য আমি জীবনের বাকি সব বছরগুলো নম্র হয়ে চলব।
1726100158	প্রভু, তোমরা যে দুঃখ প্রকাশ করছ তা আমার পক্ষে ভাল; আমার জীবন আমার কাছে ফিরে আসতে পারে; তুমি আমার জীবন এবং স্বাস্থ্য পুনরুদ্ধার করেছ।
1726110190	আমার সুবিধার জন্য দুঃখের অভিজ্ঞতা ভোগ করেছি, কিন্তু ধ্বংসের গর্ত থেকে তোমার ভালবাসায় তুমি আমাকে উদ্ধার করেছ। কারণ আমার সব পাপ তুমি পিছনে ফেলে দিয়েছ।
172612016e	কারণ পাতাল তোমার ধন্যবাদ দিতে পারে না; আর মৃত্যুও তোমার প্রশংসা করতে পারে না। যারা গর্তে নামে তারা তোমার বিশ্বাসযোগ্যতার আশা করতে পারে না।
1726130123	কেবল জীবিতেরা, জীবিতেরাই তোমার প্রশংসা করে যেমন আজ আমি করছি; বাবা তার ছেলেদের তোমার বিশ্বাসযোগ্যতার কথা বলবে।
1726140198	সদাপ্রভু আমাকে রক্ষা করেছেন এবং সেইজন্য আমাদের জীবনের সমস্ত দিন গুলোতে সদাপ্রভুর ঘরে তারের বাজনার সাথে আমরা গান গাইব। সমস্ত দিন আমি সদাপ্রভুর ঘরে থাকবো।
172615010d	এখন যিশাইয় বলেছিলেন, “ডুমুর দিয়ে একটা প্রলেপ তৈরী করে তার ফোড়ার উপর লাগিয়ে দিলে তিনি সুস্থ হবেন।”
17261600b7	হিষ্কিয় জিজ্ঞাসা করেছিলেন, “আমি যে সদাপ্রভুর ঘরে উঠবো তার চিহ্ন কি?”
1727010141	এই দিন ব্যাবিলনের রাজা বলদনের ছেলে মরোদক-বলদন হিষ্কিয়ের অসুখ ও সুস্থ হবার খবর শুনে তাঁর কাছে চিঠি ও উপহার পাঠিয়ে দিলেন।
17270202a8	হিষ্কিয় দূতেদের দ্বারা সন্তুষ্ট হয়ে তার যা ছিল; মূল্যবান জিনিস রৌপ্যের ভান্ডার, সোনা, মশলা এবং মূল্যবান তেল, তার অস্ত্রের ভান্ডার এবং তার সব ধনভান্ডারেও পাওয়া যায়নি, তার বাড়িতেও কিছু পাওয়া যায়নি, না তার রাজ্যে, এমন কিছু নেই যে হিষ্কিয় তাদের দেখায়নি।
17270301a9	ভাববাদী যিশাইয় রাজা হিষ্কিয়ের কাছে গিয়ে জিজ্ঞাসা করলেন, এই লোকেরা তোমাকে কি বলল? আর কোথা থেকেই তারা এসেছিল? হিষ্কিয় বললেন, তারা দূর দেশ ব্যাবিলন থেকে এসেছিল।
17270401f2	ভাববাদী যিশাইয় জিজ্ঞাসা করলেন, “ওরা তোমার বাড়ীর মধ্যে কি কি দেখেছে?” হিষ্কিয় বলল, “আমার বাড়িতে সব কিছুই তারা দেখেছে। আমার মূল্যবান জিনিসগুলোর মধ্যে এমন কিছু নেই যা আমি তাদের দেখাই নি।”
17270500a3	তখন যিশাইয় হিষ্কিয়কে বললেন, “বাহিনীদের সদাপ্রভু এই কথা শোন:
1727060196	দেখো, এমন দিন আসবে যখন তোমার প্রাসাদে সব কিছু তোমার পূর্বপুরুষরা আজ পর্যন্ত যে জিনিসগুলো সংরক্ষণ করেছিল, ব্যাবিলননকে তা বহন করতে হবে, কিছুই বাকি থাকবে না।
1727070175	এবং তুমি যাকে জন্ম দিয়েছ, যেহেতু তোমরা নিজেই পিতা হয়েছ, তারা তাদের দূরে নিয়ে যাবে, তারা ব্যাবিলনের রাজার বাড়িতে নপুংসকদের সেবা কাজ করবে।”
172708015e	তখন হিষ্কিয় যিশায়কে বললেন, “সদাপ্রভুর কথা তুমি যে বলেন তা ভাল।” কারণ তিনি চিন্তা করেন, আমার দিন গুলোতে শান্তি ও স্থিতিশীলতা থাকবে।
17280100a9	তোমাদের ঈশ্বর বলছেন, “আমার লোকদের সান্ত্বনা দাও, সান্ত্বনা দাও।
17280201e6	যিরূশালেমের লোকদের সঙ্গে নরমভাবে কথা বল, আর তাদের কাছে এই কথা ঘোষণা কর যে, তাদের লড়াইয়ের দিন শেষ হয়েছে, তাদের পাপের ক্ষমা হয়েছে, যা সে তার সমস্ত পাপ প্রভুর হাত থেকে দ্বিগুন পেয়েছে।”
172803016c	এক জনের কণ্ঠস্বর চিৎকার করে জানাচ্ছে, “তোমরা মরুপ্রান্তে সদাপ্রভুর পথ প্রস্তুত কর; অরাবাতে আমাদের ঈশ্বরের জন্য একটা সোজা রাস্তা তৈরী কর।
1728040161	প্রত্যেক উপত্যকাকে তোলা হবে এবং প্রত্যেক পাহাড় ও পর্বতকে সমান করা হবে, উঁচু নিচু জায়গা সমান মাপের করা হবে, আর অসমান জমি সমান করা হবে।
1728050102	এবং সদাপ্রভুর গৌরব প্রকাশিত হবে, আর সমস্ত মানুষ তা একসঙ্গে দেখবে; কারণ সদাপ্রভু এই সব কথা বলেছেন।”
172806014e	এক জনের কণ্ঠস্বর বলছে, “ঘোষণা কর।” আমি বললাম, “আমি কি ঘোষণা করব?” “সব মানুষই ঘাসের মত, মাঠের ফুলের মতই তাদের চুক্তির বিশ্বস্ততা।
1728070121	ঘাস শুকিয়ে যায় আর ফুলও ঝরে পড়ে, যখন সদাপ্রভুর নিঃশ্বাস সেগুলোর উপর দিয়ে বয়ে যায়। অবশ্যই মানুষ ঘাসের মত।
17280800d8	ঘাস শুকিয়ে যায় আর ফুলও ঝরে পড়ে, কিন্তু আমাদের ঈশ্বরের বাক্য অনন্তকালস্থায়ী।”
172809021d	হে তুমি যে সুখবর সিয়োনে যিরূশালেম থেকে নিয়ে আসছ, তুমি উঁচু পাহাড়ে গিয়ে ওঠো। হে ইউমী কে সুখবর নিয়ে আসছি যিরূশালেমে, তুমি জোরে চিৎকার কর, চিৎকার কর, ভয় কোরো না; যিহূদার শহরগুলোকে বল, “এই তো তোমাদের ঈশ্বর!”
17280a016a	দেখ, প্রভু সদাপ্রভু শক্তির সঙ্গে আসছেন, তাঁর শক্তিশালী হাত তাঁর হয়ে রাজত্ব করছে। দেখ, পুরষ্কার তাঁর সঙ্গে আছে, তাঁর পাওনা তাঁর কাছেই আছে।
17280b01cf	তিনি রাখালের মত তাঁর ভেড়ার পাল চরাবেন, ভেড়ার বাচ্চাদের তিনি হাতে তুলে নেবেন আর কোলে করে তাদের বয়ে নিয়ে যাবেন; বাচ্চা আছে এমন ভেড়ীদের তিনি আস্তে আস্তে চালিয়ে নিয়ে যাবেন।
17280c01b7	কে তার হাতের তালুতে পৃথিবীর সব জল মেপেছে কিম্বা তার বিঘত দিয়ে আকাশের সীমানা মেপেছে? কে পৃথিবীর ধুল মাপের ঝুড়িতে ভরেছে কিম্বা দাঁড়িপাল্লায় পাহাড়-পর্বত ওজন করেছে?
17280d00d8	কে সদাপ্রভুর মন মাপতে পেরেছে কিম্বা তাঁর পরামর্শদাতা হিসাবে তাঁকে উপদেশ দিয়েছে?
17280e0186	কারো থেকে কি তিনি কখনো পরামর্শ নিয়েছেন? আর কাজ করার সঠিক পথ কে তাঁকে দেখিয়ে দিয়েছে, কে তাঁকে জ্ঞান শিক্ষা দিয়েছে কিম্বা বোঝার রাস্তা দেখিয়েছেন?
17280f0181	দেখ, দেশ গুলো যেন কলসীর মধ্যে জলের একটা ফোঁটা; দাঁড়িপাল্লায় ধূলিকণার মতই তাদের মনে করা হয়। দেখ দ্বীপপুঞ্জকে তিনি ক্ষুদ্র কনার মতন পরিমাপ করেন।
17281000e1	আগুন জ্বালাবার জন্য লিবানোনের কাঠ আর হোমবলি উৎসর্গের জন্য লিবানোনের পশু যথেষ্ট নয়।
17281100f3	সমস্ত জাতি তাঁর সামনে যথেষ্ট নয়; সেগুলোকে তিনি কিছু বলেই মনে করেন না; সেগুলো তাঁর কাছে অসার।
17281200a5	তবে কার সঙ্গে তোমরা ঈশ্বরের তুলনা করবে? তুলনা করবে কিসের সঙ্গে?
172813010f	প্রতিমা, কারিগরেরা যা ছাঁচে ঢেলে বানায়; স্বর্ণকার তা সোনা দিয়ে মোড়ে আর তার জন্য রূপোর শিকল তৈরী করে।
172814014d	একজন উত্সর্গের জন্য যে কাঠ পচবে না সেই কাঠই বেছে নেয়। যাতে না পড়ে যায় এমন প্রতিমা তৈরীর জন্য সে একজন পাকা কারিগরের খোঁজ করে।
1728150123	তোমরা কি জান না? তোমরা কি শোন নি? শুরু থেকেই কি তোমাদের সে কথা বলা হয়নি? পৃথিবী স্থাপনের দিন থেকে কি তোমরা বোঝ নি?
17281601e7	পৃথিবীর দিগন্তের উপরে তিনিই সিংহাসনে বসে আছেন, আর পৃথিবীবাসী তার সম্মুখে গঙ্গাফড়িংয়ের মত। চাঁদোয়ার মত করে তিনি আকাশকে বিছিয়ে দিয়েছেন, বসবাসের তাঁবুর মত করে তা খাটিয়ে দিয়েছেন।
17281700ba	তিনি রাজাদের ক্ষমতাশূন্য করেন আর এই জগতের শাসনকর্ত্তাদের তুচ্ছ করেন।
17281801de	দেখ, যেই তাদের লাগানো হয়, যেই তাদের বোনা হয়, যেই তারা মাটিতে শিকড় বসায়, অমনি তিনি তাদের উপর ফুঁ দেন আর তারা শুকিয়ে যায়; একটা ঘূর্ণিবাতাস খড়কুটোর মত করে তাদের উড়িয়ে নিয়ে যায়।
17281900b0	সেই পবিত্রজন বলছেন, “তোমরা কার সঙ্গে আমার তুলনা করবে? কে আমার সমান?”
17281a021e	চোখ তুলে আকাশের দিকে তাকিয়ে দেখ; কে ঐ সব তারাদের সৃষ্টি করেছেন? তিনিই তারাগুলোকে এক এক করে বের করে এনেছেন; তিনিই তাদের প্রত্যেকের নাম ধরে ডাকেন। তাঁর মহাক্ষমতা ও মহাশক্তির জন্য তাদের একটাও হারিয়ে যায় না।
17281b01a6	হে যাকোব, কেন তুমি বলছ, হে ইস্রায়েল, কেন তুমি এই নালিশ করছ, “আমার পথ সদাপ্রভুর কাছ থেকে লুকানো রয়েছে, আমার ন্যায়বিচার পাবার অধিকার আমার ঈশ্বর অগ্রাহ্য করেছেন”?
17281c01b8	তোমরা কি জান না? তোমরা কি শোননি? সদাপ্রভু, যিনি চিরকাল স্থায়ী ঈশ্বর, যিনি পৃথিবীর শেষ সীমার সৃষ্টিকর্ত্তা, তিনি দুর্বল হন না, ক্লান্তও হন না; তাঁর জ্ঞানের কোনো সীমা নেই।
17281d009b	তিনি ক্লান্তকে শক্তি দেন আর দুর্বলদের আবার শক্তিমান করেন।
17281e00d0	অল্পবয়সীরা পর্যন্ত দুর্বল হয় ও ক্লান্ত হয় আর যুবকেরা হোঁচট খেয়ে পড়ে যায়,
17281f01a0	কিন্তু যারা সদাপ্রভুর অপেক্ষা করে তারা আবার নতুন শক্তি পাবে। তারা ঈগল পাখীর মত ডানা মেলে উঁচুতে উড়বে; তারা দৌড়ালে ক্লান্ত হবে না, তারা হাঁটলে দুর্বল হবে না।
1729010180	“হে উপকূলগুলো, তোমরা আমার সামনে চুপ করে থাক। জাতিগুলো নতুন করে শক্তি পাক; তোমরা এগিয়ে এস এবং বল। আমরা একটি বিতর্কের বিচারের জন্য একসঙ্গে জড়ো হই।
172902028f	কে পূর্ব দিক থেকে এক জনকে উত্তেজিত করল? কে তাকে ধার্ম্মিকতায় ডেকে তার অনুগামী করেন? তিনি তার হাতে জাতিদের তুলে দেন এবং রাজাদের পরাস্ত করতে তাকে সক্ষম করে তোলেন। তার তরোয়াল দিয়ে সে তাদের ধূলোর মত করবে আর তার ধনুকের সঙ্গে বায়ুতাড়িত খড়ের মত করেন।
17290300fb	সে তাদের তাড়া করবে এবং নিরাপদে অতিক্রম করবে, এক দ্রুতগতির পথের দ্বারা যে পথ তারা মোটেই ছুঁইনি।
172904016a	কে এই কাজ করেছেন? কার দ্বারা এই কাজ সম্পন্ন হয়েছে? এক বংশের শুরু থেকে কে ডাকেন? আমি, সদাপ্রভু, প্রথম এবং শেষ দিনের র লোকদের সঙ্গে, আমিই তিনি।
17290500cb	উপকূলগুলি দেখল এবং ভীত হল; পৃথিবীর শেষ সীমার লোকেরা কাঁপল। তারা কাছাকাছি আসল;
17290600dc	প্রত্যেকে তার প্রতিবেশীকে সাহায্য করল এবং প্রত্যেকে একজন অন্য জনকে বলল, ‘সাহস কর।’
17290701d2	তাই ছুতোরমিস্ত্রি স্বর্ণকারকে উৎসাহ দিল; হাতুড়ী দিয়ে সমানকারী লোক নেহাইয়ের ওপর আঘাতকারীকে জোড়ার বিষয়ে বলল, ‘ভাল হয়েছে।’ তারা পেরেক দিয়ে দৃঢ় করল যেন সেটা পড়ে না যায়।
17290800c5	কিন্তু হে আমার দাস ইস্রায়েল, আমার মনোনীত যাকোব, আমার বন্ধু অব্রাহামের বংশ,
17290901b8	আমি তোমাকে পৃথিবীর শেষ সীমা থেকে এনেছি, তোমাকে সবচেয়ে দূরের জায়গা থেকে ডেকেছি এবং আমি বলেছি, ‘তুমি আমার দাস;’ আমি তোমাকে মনোনীত করেছি এবং তোমাকে প্রত্যাখ্যান করিনি।
17290a01ac	ভয় কর না, কারণ আমি তো তোমার সঙ্গে আছি; উদ্বিগ্ন হয়ো না, কারণ আমি তোমার ঈশ্বর। আমি তোমাকে শক্তি দেব এবং আমি তোমাকে সাহায্য করব আর আমার ডান হাত দিয়ে তোমাকে ধরে রাখব।
17290b0142	দেখ, তারা লজ্জিত ও নিন্দিত হবে, সবাই যারা তোমার সঙ্গে বিবাদ করে; তারা থাকবে না এবং বিনষ্ট হবে যারা তোমার প্রতি বিরোধিতা করে।
17290c0165	তুমি খুঁজবে এবং পাবে না যারা তোমার সঙ্গে প্রতিযোগিতা করে; যারা তোমার বিরুদ্ধে যুদ্ধ করেছিল তারা শূন্যের মত হবে, একেবারে শূন্যের মত হবে।
17290d010a	কারণ আমি, সদাপ্রভু তোমার ঈশ্বর, তোমার ডান হাত ধরে আছি, তোমাকে বলছি, ভয় কোরো না; আমি তোমাকে সাহায্য করব।
17290e015e	হে কীট যাকোব ভয় কোরোনা এবং হে ইস্রায়েলের লোক; আমি তোমাকে সাহায্য করব” এটা সদাপ্রভুর ঘোষণা, ইস্রায়েলের এক পবিত্রতম, তোমার উদ্ধারক।
17290f01b5	দেখ, আমি তোমাকে নতুন, ধারালো দাঁতযুক্ত শস্য মাড়াইয়ের যন্ত্র এবং দুই ধারের মত বানাব। তুমি পর্বতদের মাড়াই করে সেগুলো চুরমার করবে, আর ছোট পাহাড়গুলোকে তুষের মত করবে।
172910019d	তুমি তাদেরকে ঝাড়বে বাতাস তাদের বয়ে নিয়ে যাবে এবং বাতাস তাদের ছড়িয়ে-ছিটিয়ে দেবে। তুমি সদাপ্রভুতে আনন্দ করবে, তুমি ইস্রায়েলের পবিত্রতমে আনন্দিত হবে।
17291101d1	“নির্যাতিতরা ও অভাবগ্রস্তরা জলের খোঁজ করে, কিন্তু জল নেই; পিপাসায় তাদের জিভ শুকিয়ে গেছে। আমি, সদাপ্রভু, তাদের প্রার্থনার উত্তর দেব; আমি, ইস্রায়েলের ঈশ্বর, তাদের ত্যাগ করব না।
172912017c	আমি গাছপালাহীন পাহাড়গুলোর উপরে নদী বইয়ে দেব আর উপত্যকার নানা জায়গায় ঝরণা বইয়ে দেব। আমি মরুভূমিকে পুকুর করব ও শুকনো ভূমি ফোয়ারা খুলে দেব।
172913010a	আমি মরুপ্রান্তের এরস, বাবলা, গুলমেঁদি ও জলপাই গাছ লাগাব আর মরুপ্রান্তে লাগাব দেবদারু, ঝাউ ও তাশূর গাছ,
1729140140	যাতে লোকেরা দেখে, জেনে ও বিবেচনা করে বুঝতে পারে যে, সদাপ্রভুর হাতই এই কাজ করেছে, ইস্রায়েলের পবিত্রতম ঈশ্বর এই সব করেছেন।”
17291500d8	সদাপ্রভু বলছেন, “তোমাদের মূর্তির জন্য ভালো যুক্তি উপস্থিত কর” যাকোবের রাজা বলেন।
1729160189	ওরা সে সব নিয়ে আসুক, যা যা ঘটবে, আমাদেরকে জানাক; আগেকার বিষয়ে কি কি তা বল; তা হলে আমরা বিবেচনা করে তার শেষ ফল জানব, কিংবা ওরা আগামী ঘটনা সব আমাদের জানাক।
172917014d	ভবিষ্যতে কি হবে তা আমাদের বল, তা হলে আমরা জানতে পারব যে, তোমরা দেবতা। ভাল হোক বা মন্দ হোক একটা কিছু কর যা দেখে আমরা ভীত ও মুগ্ধ হব।
17291800de	দেখ, তোমরা কিছুই না, আর তোমাদের কাজগুলোও কিছু না; যে তোমাদের বেছে নেয় সে ঘৃণার পাত্র।
1729190155	উত্তর দিকের একজন লোক উত্তেজিত করলাম, সে এসেছে। যেমন করে কাদা দলায় আর কুমার মাটি দলাই করে তেমনি করে সে শাসনকর্ত্তাদের পায়ে দলবে।
17291a0198	কে শুরু থেকে এর সংবাদ দিয়েছে যাতে আমরা জানতে পারি? এবং কে আগে জানিয়েছিল যাতে আমরা বলতে পারি, সে সঠিক? কেউ বলে নি, কেউ জানায় নি, কেউ তোমাদের কথা বলতে শোনে নি।
17291b00eb	আমিই প্রথমে সিয়োনকে বলেছি, “দেখ এদেরকে দেখ;” আমি যিরূশালেমকে একজন সুসংবাদদাতা দিয়েছি।
17291c0103	আমি দেখলাম কেউ নেই; পরামর্শ দেবার জন্য তাদের মধ্যে কেউ নেই যে, তাদের জিজ্ঞাসা করলে উত্তর দিতে পারে।
17291d011f	দেখ, তারা সবাই কিছুই নয় এবং তাদের কাজ কিছুই না তাদের ছাঁচে-ঢালা মুর্ত্তিগুলো বাতাস ও শূন্যতা ছাড়া কিছু নয়।
172a010186	দেখ, আমার দাস, যাঁকে আমি সাহায্য করি; আমার মনোনীত লোক, যাঁর উপর আমি সন্তুষ্ট। আমি তাঁর উপরে আমার আত্মা দেব; তিনি জাতিদের কাছে ন্যায়বিচার নিয়ে আসবেন।
172a0200f2	তিনি চিৎকার করবেন না বা জোরে কথা বলবেন না; তিনি রাস্তায় রাস্তায় তাঁর গলার স্বর শোনাবেন না।
172a030133	তিনি থেঁৎলে যাওয়া নল ভাঙবেন না আর মিটমিট করে জ্বলতে থাকা সলতে নিভাবেন না। তিনি সততার সঙ্গে ন্যায়বিচার চালু করবেন।
172a04015d	পৃথিবীতে ন্যায়বিচার স্থাপন না করা পর্যন্ত তিনি দুর্বল হবেন না বা নিরুত্সাহ হবেন না। উপকূলের লোকেরা তাঁর নিয়মের অপেক্ষায় থাকবে।
172a0501f1	সদাপ্রভু ঈশ্বর আকাশ সৃষ্টি করে বিস্তার করেছেন; তিনি পৃথিবী ও তাতে যা জন্মায় তা সব ছড়িয়ে দিয়েছেন; তিনি সেখানকার লোকদের নিঃশ্বাস দেন আর যারা সেখানে যারা বাস করে তাদের জীবন দেন। তিনি বলেন,
172a0601d9	আমি, সদাপ্রভু, তোমাকে ধার্ম্মিকতায় ডেকেছি এবং আমি তোমার হাত ধরে রাখব। আমি তোমাকে রক্ষা করব এবং আমার লোকদের জন্য তোমাকে একটা ব্যবস্থার মত করব আর অন্যান্য জাতিদের জন্য আলোর মত করব।
172a07018d	তুমি অন্ধদের চোখ খুলে দেবে, জেলখানা থেকে বন্দীদের মুক্ত করবে, কারাকূপ থেকে বন্দীদের মুক্ত করবে এবং কারাবাস থেকে যারা অন্ধকারে বসে তাদেরকে মুক্ত করবে।
172a0800f5	“আমি সদাপ্রভু, এই আমার নাম এবং আমি অন্যকে আমার গৌরব কিংবা প্রতিমাকে আমার প্রশংসা পেতে দেব না।
172a090123	দেখ, আগেকার ঘটনাগুলো ঘটে গেছে আর এখন আমি নতুন ঘটনার কথা ঘোষণা করব; সেগুলো ঘটবার আগেই তোমাদের কাছে তা জানাচ্ছি।”
172a0a01e0	হে সাগরে চলাচলকারীরা, সাগরের মধ্যেকার সব প্রাণী, হে উপকূল সব আর তার মধ্যেকার বাসিন্দারা, তোমরা সবাই সদাপ্রভুর উদ্দেশ্যে একটা নতুন গান কর, পৃথিবীর শেষ সীমা থেকে তাঁর প্রশংসার গান গাও।
172a0b019c	মরুভূমি ও তার শহরগুলো জোরে জোরে প্রশংসা করুক; কেদরীয়দের গ্রামগুলোও আনন্দের জন্য চিত্কার করুক, শেলার লোকেরা গান করুক, পাহাড়ের চূড়াগুলো থেকে চিৎকার করুক।
172a0c00b5	তারা সদাপ্রভুর গৌরব করুক; উপকূলগুলোর মধ্যে তাঁর প্রশংসা ঘোষণা করুক।
172a0d01b5	একজন শক্তিশালী লোকের মত করে সদাপ্রভু বের হয়ে আসবেন; তিনি যোদ্ধার মত তাঁর আগ্রহকে উত্তেজিত করবেন; তিনি চিৎকার করে যুবক হাঁক দেবেন আর শত্রুদের ওপর তার ক্ষমতা দেখাবেন।
172a0e01bd	আমি সদাপ্রভু অনেক দিন চুপ করেছিলাম; আমি শান্ত থেকে নিজেকে দমন করে রেখেছিলাম। কিন্তু এখন প্রসবকারিণী স্ত্রীলোকের মত আমি চিৎকার করছি, হ্যাঁ করে শ্বাস নিচ্ছি ও হাঁপাচ্ছি।
172a0f0166	আমি পাহাড়-পর্বতগুলো গাছপালাহীন করব আর সেখানকার সমস্ত গাছপালা শুকিয়ে ফেলব এবং আমি নদীগুলোকে দ্বীপ বানাব আর জলাশয়গুলো শুকিয়ে ফেলব।
172a100217	আমি অন্ধদের এক রাস্তা দিয়ে নিয়ে আসব যা তারা জানে না; যে পথ তারা জানে না সেই পথে তাদের চালাব। তাদের আগে আগে আমি অন্ধকারকে আলো করব আর অসমান জায়গাকে সমান করে দেব। এ সবই আমি করব, আমি তাদেরকে পরিত্যক্ত করব না।
172a110181	কিন্তু যারা খোদাই করা প্রতিমার উপর নির্ভর করে, যারা ছাঁচে ঢালা মুর্ত্তিগুলোকে বলে, “তোমরা আমাদের দেবতা,” আমি তাদের ভীষণ লজ্জায় ফেলে ফিরিয়ে দেব।
172a120089	“ওহে বধির লোকেরা, শোন, আর অন্ধেরা, তোমরা তাকিয়ে দেখ।
172a13012c	আমার দাস ছাড়া অন্ধ আর কে? আমার পাঠানো দূতের মত বধির আর কে? আমার উপর মিত্রের মত অন্ধ আর কে? সদাপ্রভুর দাসের মত অন্ধকে?
172a1400c2	তুমি অনেক কিছু দেখেও মনোযোগ দিচ্ছ না; তোমার কান খোলা থাকলেও কিছু শুনছ না।”
172a1500b0	সদাপ্রভু নিজের ধর্মশীলতার অনুরোধে নিয়মকে মহৎ ও গৌরবযুক্ত করলেন।
172a160232	কিন্তু এই লোকদের সব কিছু নিয়ে যাওয়া ও লুট করা হয়েছে, তাদের সবাইকে গর্তে ফেলা হয়েছে আর জেলখানায় লুকিয়ে রাখা হয়েছে। তারা লুটের জিনিসের মত হয়েছে, তাদের উদ্ধার করবার কেউ নেই এবং কেউ বলে না, “তাদের ফিরিয়ে দাও।”
172a1700d3	তোমাদের মধ্যে কে আমার কথা শুনবে? আর যে দিন আসছে সেই দিনের র জন্য কে আমার কথা শুনবে?
172a1801d6	যাকোবকে কে লুট হতে দিয়েছেন? আর ইস্রায়েলকে কে লুটেরাদের হাতে তুলে দিয়েছেন? তিনি কি সদাপ্রভু নন, যাঁর বিরুদ্ধে আমরা পাপ করেছি? যারা তাঁর পথে চলতে চায়নি, তাঁর নির্দেশ পালন করে নি।
172a1901eb	তাই তিনি তাঁর জ্বলন্ত ক্রোধ ও যুদ্ধের ভয়ংকরতা ইস্রায়েলের উপর ঢেলে দিয়েছেন। তাতে সেই আগুন তার চারদিকে জ্বলে উঠল, তবুও সে বুঝতে পারল না; তাদের পুড়িয়ে দিল, কিন্তু তাতে সে মনোযোগ দিল না।
172b010208	কিন্তু এখন, হে যাকোব, যিনি তোমাকে সৃষ্টি করেছেন, হে ইস্রায়েল, যিনি তোমাকে তৈরী করেছেন, সেই সদাপ্রভু এখন এই কথা বলছেন, তুমি ভয় কোরো না, কারণ আমি তোমাকে মুক্ত করেছি। আমি তোমার নাম ধরে ডেকেছি, তুমি আমার।
172b020227	তুমি যখন জলের মধ্যে দিয়ে যাবে তখন আমি তোমার সঙ্গে সঙ্গে থাকব। যখন তুমি নদী মধ্যে দিয়ে যাবে, তখন তারা তোমাকে ডুবিয়ে দেবে না; তুমি যখন আগুনের মধ্যে দিয়ে যাবে, তখন তুমি পুড়বে না; আগুনের শিখা তোমার ক্ষতি করবে না;
172b030196	কারণ আমিই তোমার ঈশ্বর সদাপ্রভু, তোমার উদ্ধারকর্তা, ইস্রায়েলের সেই পবিত্রজন। আমি তোমার মুক্তির মূল্য হিসাবে মিশর দেশ দেব, আর তোমার বদলে কূশ ও সবা দেশ দেব।
172b04016a	কারণ তুমি আমার চোখে মূল্যবান ও সম্মানিত, আর আমি তোমাকে ভালবাসি; তাই আমি তোমার বদলে অন্য লোকদের দেব আর তোমার প্রাণের বদলে অন্য জাতিদের দেব।
172b050148	তুমি ভয় কোরো না, কারণ আমি তোমার সঙ্গে সঙ্গে আছি। পূর্ব দিক থেকে আমি তোমার বংশকে নিয়ে আসব আর পশ্চিম দিক থেকে তোমাকে জড়ো করব।
172b0601be	আমি উত্তরের দিককে বলব, ওদের ছেড়ে দাও, আর দক্ষিণের দিককে বলব, ওদের আটকে রেখো না। আমি তাদের বলব, তোমরা দূর থেকে আমার ছেলেদের আর পৃথিবীর শেষ সীমা থেকে আমার মেয়েদের নিয়ে এস।
172b0700fd	আমার নামে যাদের ডাকা হয়, আমি যাদের আমার গৌরবের জন্য সৃষ্টি করেছি, যাদের আমি গড়েছি ও তৈরী করেছি।
172b08009b	যারা চোখ থাকতেও অন্ধ আর কান থাকতেও বধির তারা বের হয়ে আসুক।
