0100000012	Англунимо
2a091700e6	А всавэрэнди пхэнда: — Кала ко камэл тэ джя пала Ман, тунчи отпхэнпэ еджино пэстар, лэ пэхкоро трушул кожно диво и джя пала Ман.
2a091800cc	Ко камэл тэ фирисарэ пэхкоро води, кодэва хацарэла лэ. А ко хацарэла пэхкоро води важ Ман, кодэва сфирисарэла лэ.
2a091900ab	Сави бахт кодэлэстар, со мануш затерэла всавиря люмля, а еджино хасявэла чи терэла пэсти бида?
2a091a011c	Ко ладжяла Мандар чи Мурэ лавэндар, кодэлэстар ладжяла и Чяво Манушыкано, кала авэла дэ Пэхкири слава, дэ слава Дадэхкири и свэнтононэ ангелонэнгири слава.
2a091b00a9	Чячимаґа пхэнав тумэнди: ачен катэ мануша, савэ инте ды мэрима дыкхэна Дэвлэхкоро Тхагаримо.
2a091c00b0	Кала проджиля пашэ охто дивэ, Исусо лиля Пэґа Пётро, Иаково тай Иоанно и джиля пэ плай тэ мангэпэ.
2a091d00bb	И кала мангляпэ, парувдапэ англа лэн муй Лэхкоро, тай їда Лэхкири кади парниля, со дукхано сля тэ дыкхэ.
2a091e007e	Тай акэ, авиле дуй мурша, савэ дэдумане Лэґа. Када сле Моисеи тай Илья.
2a091f00bf	Вонэ авиле дэ бари слава и пхэнэнас, со Исусости трэбуни авэла тэ джя дэ Ерусалимо и тэ ачявэ кадыя люмля.
2a092000dd	Пётро и кодэла, савэ сле лэґа їтханэ, совэнас, а кала джюнгавдэпэ, удыкхле слава Исусохкири и дон муршэн, савэ аченас Лэґа.
2a0921013d	Кала мурша ачиле тэ уджя, Пётро пхэнда Исусости: — Сиклимари! Сар мишто амэнди катэ! Тховаґа трин катуны, екх Тути, екх Моисеести и екх Ильясти. Ай еджино на полэлас, со пхэнэл.
2a092200bc	И кала вов инте дэдуманя, авиля хмара и ушарда лэн упрал. Кала ж вонэ ачиле дэ хмара, лэн облиля бари дар.
2a09230077	Тай сля шундо ґласо хмаратар: — Када Чяво Муро вытидэно. Шунэн Лэ!
2a092400ec	Кала ґласо пэрэачиля тэ дэдумэ, Исусо ачиляпэ Еджино. И сиклярнэ аченас мулком и никасти на розпхэнэнас, со дыкхле дэ кодыя вряма.
2a09250081	Пэ авэр диво, кала вонэ сджянас плаестар, авиля Исусостэ гроза манушэн.
2a092600a2	Екх мануш типисиля: — Сиклимари! Мангав Тут, подыкх пэ мурэ чяворэ! Мандэ вов екхоро исин.
2a0927012f	Дэ лэстэ заджял бэнгано фано и чяворо ачел тэ типисявэ. Нажужо марэл чяворэ кади, со лэхкэрэ мостар чюлён саля. И вов дэл тэ ха чяворэсти бари грыжа, и пхаро отмукэл лэ.
2a09280089	Мэ манглём Тирэ сиклярнен, соб вонэ тэ вытрадэн нажужэ, нэ лэндэ нэнай зора.
2a092900f6	Исусо пхэнда: — Мануша бипатявнэ и родо мусардэ їлэнца! Скици инте тэ авэ тумэнца? Скици инте тэ вырицарав тумэн? Ан кордэ пэхкэрэ чявэ!
2a092a00fc	Кала чяворо джялас Исусостэ, бэнг аравда лэ пэ пхув тай ачиля тэ марэ. Тунчи Исусо запхэнда нажужэсти, састярда чяворэ и отдэня лэ дадэсти.
2a092b00e8	Всавэрэ дэнас дыво кодэлэсти, саво баро Дэвэл. И кала вонэ дэнас дыво кодэлэсти, со терда Исусо, Вов пхэнда Пэхкэрэ сиклярнэнди:
2a092c009c	— Тховэн дэ тумарэ канэн кадэла лава: Чявэ Манушыканэ сиго здэна манушэнди дэ вастэн.
2a092d00f8	Нэ вонэ инте на полиле, пала со Исусо дэдуманя. Лэнгири годи инте сля затерди, а тэ пхуче Исусостар, сар тэ полэ Лэхкоро лав, вонэ даранас.
2a092e0097	Екхвар Лэхкэрэ сиклярнэ ачиле тэ хапэ екх екхэґа пала кода, ко лэндар исин барэдэр.
2a092f0097	Исусо джянгля, со лэндэ пэ годен, тунчи Вов лиля цыкнэ чяворэ тай тховда паша Пэстэ.
2a0930017c	Тай пхэнда сиклярнэнди: — Ко прылэла кадэлэ чяворэ важ Мурэ Лавэ, кодэва Ман прылэла. Ай ко прылэла Ман, прылэла Кодэлэ, Ко Ман бичалда. Ко тумэндар исин цыкнэдэр всавэрэндар, кодэва авэла всавэрэндар барэдэр.
2a0931012b	Тунчи Иоанно пхэнда Лэсти: — Сиклимари! Амэ дыкхле манушэ, саво вытрадэл бэнгэн Тирэ Лавэґа, и запхэндэ лэсти кади тэ терэ. Кодэлэсти со вов на пхирэл амэнца їтханэ.
2a093200a2	Исусо дэдуманя: — На запхэнэн лэсти. Кодэла, савэ на ваздэнпэ пэ тумэн, кодэла пала тумэн.
2a093300b0	Кала поджялас вряма тэ ваздэпэ Исусости пэ упралима, Вов лиля Пэсти дэ гындо тэ джя дэ Ерусалимо.
2a093400b4	Тунчи Исусо бичалда англал Пэстэ манушэн, и вонэ авиле дэ гав Самариякоро, соб вса важ Лэ тэ лачярэ.
2a0935007a	Нэ самарянуря на прылиле Исусо, колэсти со Вов джялас дэ Ерусалимо.
2a09360104	Кала Исусохкэрэ сиклярнэ Иаково тай Иоанно дыкхле кода, вонэ пхэндэ: — Рае! Камэх, амэ пхэнаґа, соб тэ сджял яг упралимастар и тэ спхабарэл лэн?
2a0937007f	Нэ Исусо обрисиля лэндэ тай запхэнда када тэ терэ. И джиле дэ авэр гав.
2a093900a9	Кала вонэ джянас пав дром, екх мануш пхэнда Исусости: — Мэ джява пала Тут, курик Ту тэ на джях.
2a093a00f3	Исусо пхэнда лэсти: — Рувэндэ исин тхан, тев вонэ отцинён, и чириклендэ кади ж. Ай Манушыканэ Чявэстэ нэнай тхан, тев шэро тэ притховэ.
2a093b00bf	Аврэ манушэсти Исусо пхэнда: — Джя пала Ман! Кодэва пхэнда: — Рае! Мук ман майанглал тэ гаравав мурэ дадэ!
2a093c00ba	Исусо пхэнда лэсти: — Мэк мулэ гаравэн пэхкэрэн мулэн, а ту джя тай розпхэн пала Дэвлэхкэрэ Тхагарима!
2a093d00bd	Трито мануш пхэнда Исусости: — Рае! Мэ джява пала Тут, нэ дэ манди майанглал тэ джяв и тэ дыкхав муро їри.
2a093e00ca	Исусо пхэнда лэсти: — Мануш, саво лэлпэ пала плуго, нэ обрисявэлпэ павпалэ, на поджял важ Дэвлэхкэрэ Тхагарима.
2a0a010103	Тунчи Рай Исусо вытидэня эфтадэша аврэн сиклярнэн тай бичалда лэн пав дуй англал Пэстар дэ всавэрэн форонэн и тханэн, тев Еджино камля тэ авэ.
2a0a02010c	И пхэнда лэнди: — Ваздэняпэ бут мандро пэ мален, а бутярнэн набут. Важ кода мангэн Хулае малякэрэ, соб Вов тэ бичалэл бутярнэн, тэ злэн див малендар.
2a0a03005a	Джянтэ! Мэ бичалав тумэн, сар бакрэн машкар рувэн.
2a0a040096	На лэн пэґа ни тышыла, ни траста, ни пундрангэ. И пав дромэ на наисарэнпэ манушэнца.
2a0a05006f	Дэ саво цэр заджяна, майанглал пхэнэн: «Пачя кадэлэ цэрэсти!»
2a0a0600d2	Кала котэ джювэл мануш, саво камэл пачя, кадыя пачя ачела пэ лэстэ. А кала нат, тумари пачя рисявэла тумэндэ павпалэ.
2a0a070114	Аченпэ дэ кодэлэ цэрэ, хантэ тай пэнтэ кода, со тумэнди дэна. Бутярно мануш ачел кода, соб лэсти тэ потинэн важ лэхкири бути. На пэрэджян цэрэстар дэ цэр.
2a0a080079	Кала авэна дэ форо и прылэна тумэн котэ, хантэ вса, со тумэнди дэна.
2a0a090097	Састярэн лэнгэрэн насвалэн и пхэнэн лэнди: «Надур тумэндар Дэвлэхкоро Тхагаримо».
2a0a0a0084	Кала авэна дэ форо тай на прылэна тумэн котэ, тунчи джян пэ гаса и пхэнэн:
2a0a0b00d6	«И прахо, саво прыачиля амарэ пурэндэ дэ тумаро форо, амэ обмарах. Нэ джянэн, со надур тумэндар Дэвлэхкоро Тхагаримо».
2a0a0c0094	Пхэнав тумэнди, дэ кодэва диво форости Содомо авэла локхэдэр, сар кадэлэ форости.
2a0a0d0171	Бида тути, форо Хоразино! Бида тути, форо Вифсаида! Тэ дыкхэн форуря Тиро тай Сидоно дывуря, савэ сле тумэндэ, вонэ б думут обрисявэнаспэ пэхкэрэ бэзимастар, урявэнаспэ дэ їда гонэндар и бэшэнас дэ прахо.
2a0a0e006d	Нэ Тирости и Сидоности пэ сындо авэла локхэдэр, сар тумэнди.
2a0a0f007b	И ту, форо Капернаумо, гинисарэх тэ ваздэпэ упрэ? Ту дэ адо тэлэдэґа.
2a0a10011a	Кодэва, ко шунэла тумэн, кодэва Ман шунэла, и ко отпхэнэлпэ тумэндар, отпхэнэлапэ Мандар. А ко отпхэнэлапэ Мандар, отпхэнэлапэ и Кодэлэстар, Ко Ман бичалда.
2a0a1100a3	Эфтадэша сиклярнэн рисиле баря лошаґа тай пхэндэ: — Рае! И бэнга кандэн амэн важ Тиро Лав!
2a0a1200a8	Исусо пхэнда лэнди: — Мэ дыкхлём, сар сатана тэлэдэня упралимастар кади, сар тэлэдэл молния.
2a0a1300e6	Акэ, дав тумэнди зор тэ тасавэ пурэнца сапэн и скорпионэн, и тэ чувэ пэ пхув врыжымашэн, и нисави бибахт вонэ тумэнди на терэна.
2a0a1400ab	Кици лошавэн на колэсти, со фануря кандэн тумэн, а колэсти, со тумарэ лава зачиндэ пэ упралима.
2a0a150161	Тунчи Исусо лошыля дэ Свэнто Фано тай пхэнда: — Наисарав Тут, Дадэ, Тхагари пэ пхуя и пэ упралима, со Ту оттердан цыкнэнди гаравдо їрвалэндар и годявэрэндар. Кади, Дадэ! Кацави сля Тири лачи воля!
2a0a1600f1	Вса дэно Манди Мурэ Дадэстар. Нико на джянэл Чявэ, кици Дад, и нико на джянэл Дадэ, кици Чяво и кодэла, касти Чяво камэл тэ сикавэ Дадэ.
2a0a1700bc	Тунчи обрисиля сиклярнэндэ тай пхэнда лэнди: — Бахталэ якха, савэ дыкхэна кода, со тумэ дыкхэн екхатар!
2a0a180128	Пхэнав тумэнди, со бут ко англунарендар тай тхагарендар камле тэ дыкхэ кода, со тумэ акана дыкхэн, нэ на дыкхле. Камле тэ шунэ кода, со тумэ акана шунэн, нэ на шундэ.
2a0a1900fc	Тунчи екх сиклимарендар пав Упхэнима вщиля, соб тэ зумавэ Исусо, тай пхучля: — Сиклимари! Со манди тэ терэ, соб тэ авэл мандэ вечно джювимо?
2a0a1a0068	Исусо пхэнда лэсти: — Сар чиндо дэ Упхэнима? Сар ту полэх?
2a0a1b0117	Кодэва пхэнда: — Кам тирэ Рае Дэвлэ всавэрэ тирэ їлэґа и всавэрэ тирэ водеґа, всавиря тиря зораґа и всавиря годяґа. И кам тирэ пашунэ, сар еджино пэ камэх.
2a0a1c0071	Исусо дэдуманя: — Чячимо ту пхэндан. Тер кади и авэґа тэ джювэ.
2a0a1d008f	Нэ кодэва камля тэ допхэнэ пэхкоро и пхучля Исусостар: — А ко исин муро пашуно?
2a0a1e0112	Исусо пхэнда: — Екх мануш джиля Ерусалимостар дэ Ерихоно. Тай хутилдэ лэ прахаря, злиле лэстар їда, домардэ лэ и джиле, а вов ачиляпэ тэ пашлё епашмуло.
2a0a1f00e6	Выджиля кади, со трэбуни сля тэ джя кодэлэ дромэґа рашаести. Вов удыкхля кадэлэ манушэ, пэрэджиля пэ авэр риг и проджиля мамуй.
2a0a20008b	Джялас котэ и левито, удыкхля манушэ, пэрэджиля пэ авэр риг и проджиля мамуй.
2a0a21008a	Екх самарянино ладэлас кодэлэ дромэґа, удыкхля манушэ, и ачиля лэсти дор лэ.
2a0a220132	Вов поджиля манушэстэ, упрал чута мол, помакхля дукхавдэ тхана зэтоґа тай пэрэпхангля лэн. Тунчи тховда лэ пэ пэхкэрэ мугаре, анда дэ гостиница тай прыдыкхэлас пала лэ.
2a0a23014c	Пэ авэр диво, кала трэбуни лэсти сля тэ уладэ, вов дэня хулаести дуй динарии тай пхэнда: «Прыдыкх пала кадэлэ манушэ, а кала джяна будэр ловэ, мэ дава тути инте, кала рисявава павпалэ».
2a0a240087	Ко тринэндар сля пашуно манушэсти, савэ домардэ прахаря, сар ту гинисарэх?
2a0a2500ce	Сиклимари пав Упхэнима пхэнда: — Кодэва, ко терда манушэсти лачимо. Тунчи Исусо пхэнда лэсти: — Джя и ту тер кади!
2a0a2600cd	Кала вонэ джянас дурэдэр, Исусо заджиля дэ екх гав. Котэ манушни, савя акхарэнас Марфа, прылиля Лэ дэ пэхкоро цэр.
2a0a270084	Латэ сля пхэнь Мария. Вой бэшля паша пурэн Раестэ тай шунда Лэхкэрэ лава.
2a0a280141	Марфа ж змардапэ пурэндар, соб тэ тховэ баро скаминд. Тунчи поджиля Исусостэ и пхэнда: — Рае! Чи ту на дыкхэх, со мури пхэнь всавири бути ачявда пэ ман? Пхэн лати, мэк терэл манца.
2a0a2900a1	Рай Исусо пхэнда: — Марфа! Марфа! Бут пала со ту думисарэх, и бут пала со тутэ дукхал шэро.
2a0a2a008c	Нэ кици екх трэбуни. Мария ж вытидэня кода, со фэдэр, и када латар на залэлапэ.
2a0b010114	Екхвар Исусо мангляпэ, ай кала пэрэачиля, екх Лэхкэрэ сиклярнэндар пхэнда Лэсти: — Рае! Сикляр амэн тэ мангэпэ, сар Иоанно сиклярда пэхкэрэн сиклярнэн!
2a0b0200b7	Исусо пхэнда лэнди: — Кала мангэнпэ, пхэнэн: Дадэ! Мэк тэ свэнцолпэ Лав Тиро! Мэк авэл Тхагаримо Тиро!
2a0b03004b	Пэ кожно диво мандро амэнди дэ авдивутно.
2a0b0400e6	И бэзимо амаро эртисар амэнди, сар и амэ дош эртисарах кодэлэнди, ко исин амэнди вуджилэ. И на домук, соб тэ змарахпэ дромэстар.
2a0b0500e4	Тунчи Исусо пхэнда лэнди: — Кала варико тумэндар авэла рятяґа амалэстэ тай пхэнэла лэсти: «Морэ! Залэ манди трин питы мандро.
2a0b060079	Амал дромэстар заджиля мандэ, и нэнай мандэ, со тэ дав лэсти тэ ха».
2a0b0700f6	Чи пхэнэла амал тиро тути андрал: «На замисар ман! Мэ вудара затердом, и мурэ чяворэ совэн манца. Нисар манди тэ вще и тэ дэ тути мандро»?
2a0b0800e7	Пхэнав тумэнди: кала на вщела и на дэла тути мандро, сар амал тиро, тунчи вщела и дэла тути кодэлэсти, со ту на пэрэачех тэ мангэ.
2a0b0900d9	И Мэ пхэнав тумэнди: мангэн — и Дэвэл дэла тумэнди, родэн — и тумэ аракхэна, марэн дэ вудара — и Дэвэл оттерэла тумэнди.
2a0b0a00c2	Акэ, кожно, ко мангэл — лэл, кодэва, ко родэл — аракхэл. И кодэлэсти, ко марэла дэ вударэн, — Дэвэл оттерэла.
2a0b0b00b0	Чи исин машкар тумэн кацаво дад, саво подэла пэхкэрэ чяворэсти сапэ, кала вов мангэл лэстар мачё?
2a0b0c0084	И саво дад подэла чяворэсти скорпионо, кала вов мангэл дадэстар парноро?
2a0b0d0117	Кала тумэ, мижэ мануша, джянэн, сар тэ терэ лачимо тумарэ чяворэнди, тунчи пэ скици будэр Дад Упралимастар дэла Свэнто Фано кодэлэнди, савэ мангэн Лэстар?
2a0b0e0110	Екхвар Исусо вытрадэня бэнгэ, саво терэлас манушэ лалэґа. Кала бэнг выджиля, лало мануш ачиля тэ дэдумэ, а всавэрэ мануша прылиле када пала баро дыво.
2a0b0f00bf	А койсавэ лэндар дэдумане: — Вов вытрадэл бэнгэн зораґа, сави дэл Лэсти Веельзевуло, барэдэр бэнгэнгоро.
2a0b10006f	Авэр мануша зумавэнас Лэ и мангле Лэстар шпэра упралимастар.
2a0b11010a	Нэ Исусо джянгля лэнгоро гындо тай пхэнда лэнди: — Тхагаримо, дэ савэ ханпэ екх екхэґа, авэла шушо. Тай цэр, дэ савэ ханпэ екх екхэґа, розпхагэлапэ.
2a0b1200fe	И кала сатана халпэ еджино пэґа, тунчи сар выачела лэхкоро тхагаримо? Тумэ пхэнэн, со Мэ вытрадав бэнгэн зораґа, сави дэл Манди Веельзевуло.
2a0b13010c	А кала Мэ вытрадав бэнгэн зораґа, сави дэл Манди Веельзевуло, тунчи савя зораґа вытрадэн бэнгэн тумарэ сиклярнэ? Кодэлэсти вонэ сундисарэна тумэн.
2a0b14009f	А кала Мэ вытрадав бэнгэн Дэвлэхкиря зораґа, тунчи тумэндэ авиля Дэвлэхкоро Тхагаримо.
2a0b1500a7	Кала зорало мануш дэстэнца и чюренца дыкхэл пала пэхкэрэ цэрэ, лэхкоро хулаимо нико залэла.
2a0b1600f7	Нэ кала авэла зорэдэр лэстар, тунчи марэла лэ, залэла лэстар дэста и чюря, пэ савэн лэстэ сля надия, и всаворо лэхкоро барвалимо роздэла.
2a0b17008f	Ко на їтханэ Манца, кодэва ваздэлпэ пэ Ман. Ко на стидэл Манца, кодэва розчувэл.
2a0b180156	Кала нажужо выджяла манушэстар, тунчи пхирэл пав бипаненгирэн тханэн, родэл тхан, тев лэсти тэ отцинё, нэ нисар на аракхэл. Тунчи пхэнэл: «Рисявава павпалэ дэ муро цэр, катарь мэ выджилём».
2a0b190060	А кала авэл павпалэ, дыкхэл, со цэр шулавдо и прытидо.
2a0b1a00f5	Тунчи джял, акхарэл пэстэ эфта аврэн нажужэн, мижэдэр пэстар, и вонэ заджян тай джювэн котэ. И кода авэла важ манушэ инте шымай, сар сля.
2a0b1b00f6	Кала Исусо дэдуманя кадэва лав, екх манушни лэнгэрэ стидэмастар затиписиля зоралэ ґласоґа: — Бахтали джювли, сави бэня Тут и парварда!
2a0b1c00b6	Исусо пхэнда: — Нат, на кади! Бахталэ кодэла, савэ шунэн Дэвлэхкоро Лав и джювэн кади, сар вов пхэнэл!
2a0b1d0118	Кала инте будэр манушэн стидэняпэ паша Исусостэ, Вов ачиля тэ дэдумэ: — Кадэва родо — хохавно. Вов родэл пэсти шпэра, нэ лэсти авэла кици шпэра Ионахкири.
2a0b1e00ac	Сар Иона ачиля шпэра важ манушэн Ниневиятар, кади Чяво Манушыкано авэла шпэра важ кадэва родо.
2a0b1f0177	Тхагарни югостар ваздэлапэ пэ сындо їтханэ кадэлэ родоґа и дошарэла лэ, колэсти со вой авиля авря ригакиря пхуятар тэ пошунэ годявэр лава Соломонохкэрэ. Нэ акэ, катэ Кодэва, Саво исин барэдэр Соломоностар.
2a0b200163	Мануша Ниневиятар ваздэнапэ пэ сындо їтханэ кадэлэ родоґа и дошарэна лэ. Колэсти со вонэ ачявдэ пэхкэрэ бэзима, кала Иона пхэнэлас лэнди лав Дэвлэстар. Нэ акэ, катэ Кодэва, Саво барэдэр Ионастар.
2a0b210106	Кала мануш запхабарэл лампа, вов на тховэл ла ни дэ граждо, ни тала вакхор, нэ тховэл ла упрэ, соб лакири яг тэ дэл душлимо манушэнди, савэ заджян.
2a0b220115	Якха — када лампа важ тиро трупо. Кала якха тутэ жужэ, тунчи дэ трупо тиро пхэрдо одуд. А кала якха тутэ налаче, тунчи и дэ трупо тиро авэла пхэрдо калимо.
2a0b23006e	Кади дыкх: одуд, саво дэ тут исин, соб тэ на авэл вов калимаґа.
2a0b2400c7	Кала дэ тиро трупо исин одуд и нэнай калимо, тунчи ту всаворо жужо, пхэнэґа, сар душлимо лампатар марэл пэ тут.
2a0b2500d4	Кала Исусо пхэнда кадэла лава, екх фарисеендар акхарда Лэ пэстэ тэ ха. Исусо авиля лэстэ и залиля тхан пала скаминдэ.
2a0b26008a	Фарисеи удыкхля, со Вов на халавда васта англа колэ, сар тэ ха, и дэняпэ дыво.
2a0b2700e1	Нэ Рай пхэнда лэсти: — Акэ тумэ, фарисея, жужарэн аврял тахтая тай чярэ, нэ андрал тумэндэ пхэрдо ханджьвалимо тай вурытимо.
2a0b280097	Бигодякэрэ! Кодэва, Саво стерда кода, со аврял, чи на стерда кади ж и кода, со андрал?
2a0b2900a7	Кала тэ пхэнэ пала кода, со андрал, тунчи подэн боґудэенди їлэстар, и вса тумэндэ авэла жужо.
2a0b2a0184	Нэ бида тумэнди, фарисея! Тумэ дэн Дэвлэсти дэшто котор чярендар мята и рута и всавэрэстар, со барёл тумэндэ пэ баря, нэ бистарэн чячюно сындо и Дэвлэхкоро камавимо. Трэбуни и када тэ терэ, и пала кода тэ на бистарэ.
2a0b2b00eb	Бида тумэнди, фарисея! Тумэ камэн тэ бэшэ пэ англунэн тханэн дэ синагоги, и чялёл тумэнди, кала пэ форо мануша наисарэнпэ тумэнца.
2a0b2c0092	Бида тумэнди! Тумэ сар могилы, савэ на душон, пав савэн пхирэн мануша и на джянэн.
2a0b2d00bf	Екх сиклимари пав Упхэнима шунда кадэла лава и пхэнда Лэсти: — Сиклимари! Кадэлэ лавэнца Ту и амэн кошэх.
2a0b2e0115	Нэ Исусо пхэнда: — Бида и тумэнди, сиклимаря пав Упхэнима! Тумэ чувэн пэ манушэн баро пхаримо, саво нащи тэ подваздэ, а еджинэ и ангуштэґа лэстэ на лэнпэ.
2a0b2f00a8	Бида тумэнди! Тумэ ваздэн пэ кладбищен памятникуря англунаренди, савэн мулярдэ тумарэ дада!
2a0b3000ee	Тумарэ дада мулярэнас англунарен, а тумэ ваздэн лэнди памятникуря. Кадэлэґа тумэ сикавэн, со тумэ цырдэн васта пала тумарэн дадэн.
2a0b3100de	Колэсти пхэнэл Дэвлэхкири годи: «Бичалава лэндэ англунарен и апостолонэн. Екхэн вонэ мулярэна, а аврэн авэна тэ вытрадэ».
2a0b3200d4	Колэсти пхучелапэ кадэлэ родостар пала англунаренгоро рат, саво сля прочуто кодэла вряматар, сар Дэвэл терда люмля.
2a0b33010b	Ратэстар, саво прочута Авели, ды Захарияхкэрэ ратэ, кала лэ умардэ машкар храмо и жэртвеннико. Чячимаґа пхэнав тумэнди, пхучелапэ кадэлэ родостар.
2a0b340112	Бида тумэнди, сиклимаря пав Упхэнима! Тумэ залиле тии вударэндар, савэ лиджян джянимастэ. Нэ и еджинэ на заджиле, и аврэн, савэ камле тэ заджя, на мукле.
2a0b3500f2	Кала Исусо джиля котарь, сиклимаря пав Упхэнима и фарисея фартэ мижыле пэ Лэстэ тай ачиле тэ долэ Исусо и тэ пхуче Лэстар бут пала со.
2a0b36004d	Вонэ родэнас, сар тэ астарэ Исусо пэ лавэн.
2a0c010197	Екхвар стидэняпэ бут пхангля манушэн, кади бут, со ачиле тэ тасавэ екх екхэ. Исусо ачиля тэ дэдумэ англэдэр Пэхкэрэ сиклярнэнди: — Рицарэнпэ дурэдэр фарисеенгэрэ закваскатар, соб тэ на авэн тумэ домуенгэрэ мануша, сар вонэ.
2a0c020096	Нэнай нисо гаравдо, со б тэ на оттерэлпэ, и нэнай чёрахано, со б тэ на авэл уджянгло.
2a0c0300c7	Кода, со тумэ пхэндэ рятяґа, шунэна дивэсэ, и со тумэ чёраханэ пхэндэ дэ цэр, пхэнэна зоралэ ґласоґа пэ ушарди.
2a0c0400ae	Пхэнав жэ тумэнди, Мурэ амалэнди: на даран кодэлэндар, савэ умарэн трупо, а будэр нисо на терэна.
2a0c05011b	Нэ сикавава тумэнди, кастар трэбуни тэ дара: даран Кодэлэстар, Кастэ исин зор на кици тэ мулярэ, нэ тэ чувэ дэ геенна. Кади, пхэнав тумэнди, Кодэлэстар даран.
2a0c06008a	Пала дуй харумэ мардэ тинэн панч чириклен. Нэ ника лэндар Дэвэл на бистарда.
2a0c0700b8	А тумэндэ Вов джянэл, и скици бала исин пэ тумаро шэро. На даран! Тумэ пэ бутэ кучэдэр цыкнэн чириклен!
2a0c0800d7	Пхэнав жэ тумэнди: кодэлэ, ко прыджянэла Ман англа манушэн, прыджянэла и Чяво Манушыкано англа Дэвлэхкэрэн ангелонэн.
2a0c0900c9	А ко отпхэнэлапэ Мандар англа манушэн, кодэлэстар и Чяво Манушыкано отпхэнэлапэ англа Дэвлэхкэрэн ангелонэн.
2a0c0a00f6	Манушэсти, саво пхэнэла налачё лав пэ Чявэ Манушыканэ, эртисарэлапэ бэзимо, а кодэлэсти, ко кошэла Свэнто Фано, бэзимо на эртисарэлапэ.
2a0c0b00d6	Кала ж лиджяна тумэн дэ синагоги, пхурэдэрэндэ и раендэ, на пэрэджювэн пала кода, сар и со тэ пхэнэ лэнди дэ отпхэнима.
2a0c0c0074	Дэ кодыя вряма Свэнто Фано сиклярэла тумэн, со трэбуни тэ пхэнэ.
2a0c0d0110	Екх мануш, саво ачиля машкар лэн, пхэнда Исусости: — Сиклимари! Пхэн мурэ пхралэсти, соб тэ дэл манди кодэлэ хулаимастар, саво ачиляпэ амарэ дадэстар!
2a0c0e0094	Нэ Исусо пхэнда лэсти: — Ко тховда Ман тэ сундисарэ тумэн и тэ розлэ тумаро рындо?
2a0c0f00f3	Тунчи пхэнда лэнди: — Дыкхэн, соб тэ на авэн тумэ ханджьвалэ. Саво б тэ на авэл мануш барвало, лэхкэрэ джювимастэ када бэрша на додэла.
2a0c1000a7	Тунчи Вов розпхэнда лэнди кацави дума: — Екхэ барвалэ манушэстэ выбариля бут ворзо пэ маля.
2a0c11008b	Тай дэдумэлас еджино пэсти: «Со манди тэ терэ? Нэнай мандэ, тев тэ стидэ див».
2a0c1200b9	Тай пхэнда: «Пхагава мурэ граждуря и терава инте барэдэр. Стидава дэ лэн див и всаворо муро барвалимо.
2a0c1300fb	Тай пхэнава пэхкэрэ водести: "Води муро! Бут исин тутэ барвалимо, саво ту стидэнян, хутилэла тути пэ бут бэрша. Отцинюв, ха, пи и ав лошало!"»
2a0c1400ed	Нэ Дэвэл пхэнда кадэлэ манушэсти: «Бигодякоро! Кадэла рятяґа тиро води залэна тутар. Тунчи касти доросэлапэ кода, со ту стидэнян?»
2a0c150087	Кади авэла кодэлэґа, ко стидэл барвалимо важ пэ, а англа Дэвлэ ачелпэ чёро.
2a0c160109	И пхэнда Пэхкэрэ сиклярнэнди: — Пхэнав тумэнди, на пэрэджювэн пала джювима, ни пала кода, со тумэнди тэ ха, ни пала трупо, дэ со тумэнди тэ урявэпэ.
2a0c170052	Джювимо будэр хамастар, и трупо будэр їдатар.
2a0c18012f	Подыкхэнтэ пэ воронэн: вонэ на чувэн ворзо дэ пхув, на стидэн мандро малендар. Лэндэ нэнай ни цэра, ни граждо, нэ Дэвэл парварэл лэн. Тумэ ж пэ бутэ кучэдэр чириклендар!
2a0c190078	Ко тумэндар, кала пэрэджювэл, додэла джювимастэ пэ екх чясо вряма?
2a0c1a007f	И кала тумэ кадэва цыкно рындо на стерэна, сости пала аврэ пэрэджювэн?
2a0c1b014d	Подыкхэн пэ маленгэрэн лулуден, сар вонэ барён. Вонэ на терэн бути и на сювэн пэсти їда. Нэ пхэнав тумэнди, со и тхагари Соломоно дэ пэхкири слава на урявэласпэ кади, сар кадэла лулудя.
2a0c1c00ff	Кала чяр малякири, сави авдивэ барёл, а атася чувэна ла дэ бов, Дэвэл кади урявэл, пэ скици будэр Вов тумэн урявэла, мануша набарэ патявимаґа?
2a0c1d0070	И тумэ на родэн, со тэ ха чи со тэ пэ, и на пэрэджювэн пала кода.
2a0c1e00a4	Вса откада родэн народуря кадэла люмлякэрэ, нэ тумаро Дад джянэл, со тумэнди када трэбуни.
2a0c1f0075	Нэ родэн Лэхкоро Тхагаримо, и вса откада тумэнди дэлапэ прэдэбэ.
2a0c20007b	На даран, цыкнэ бакрора! Тумаро Дад закамля тэ дэ тумэнди Тхагаримо.
2a0c210141	Битинэн тумаро хулаимо и дэн чёрорэнди! Лачярэн тышыла, савэ никала на чинэнапэ! Стидэн барвалимо, саво никала на хасявэла, пэ упралима, курик чёр на пашола и тев цэрмо на схала.
2a0c220053	Тев тумаро барвалимо, котэ и тумаро їло авэла.
2a0c2300a6	Мэк всавири вряма тумарэ кущика тэ авэн зацырдэнэ, и мэк всавири вряма пхабон тумарэ лампы.
