2800000016	ማቶስ እንጂለ
2b050200d5	ዬሩሳሌማን ሆለ ኡሮ መዴን እብራዌ መን አፎን «ቤተ ሳይዳ» ዬኖቤቾን መት ቡቁት ሄኦ እቅ፤ ህከኔን ኣጌኖ ኦንት ጎልጌ ኡሩት ሄኦ እቅ።
2b050300d5	ህከንቤቾንን ልግቡ ጥዘናመተ፥ ቆቃኑተ፥ ድናኑተለከ ናፋኑተ ህከን ህጌኖ ኦንቴ ጎልጌ ኡሮን ኦሰእ ውሁ ሌንቄቀኖገ አገርታኢት እቅ።
2b050400df	መት-መቱ ወክት ቀርች መላይኬቹ ድር ህከ ዋሃ ሌንቄቅሰኖ እቅ፤ ሁኩን ሌንቄቄኢች ኤተሮን ሄጭ ህከ ዊ ኣዝ ኣጎ መንቹ ዮስ ጥዘናች ፈየኖ እቅ።
2b0505005b	ህከንቤቾንን ሰጅኔ ህዜቱ ዘማን ጥዦ ጥዘናሙ ሄዕዮ እቅ።
2b050600ad	ኢስን ሁኩ መንቹ ህከኔ ኦሰዕዮሃ ለዕይ ልግብያ ዘማኒች ኬሽ ጥዦ እሁስ ደግ «ፈይቶተ ሀሰንንዶ?» ይ ጠዕሜስ።
2b050700e0	ሁኩ ጥዘናሙንኩ «ቀርቾ! ውሁ ሌንቄቄ ወክት ኤሳሃ መስ ህከን ዋን ኣግሰኖኤ መኑ ዮኤበአ፤ አን መሮተ እሀንን ዎሉ መኑ ኤሳሃ ሄጭ ኣገኖ» ዬእ።
2b0508004d	ኢስን «ኬእ! ኦሰኦንት ዴሰክ እጅት ኦሮእ» ዬስ።
2b05090083	ሁኩ መንቹ ወክትንከስ ፈይ ዴሰስ እጅ ኦሮዕዮ፤ ሁኩንን እኮሁ ፎሎጭ በሬኔት እቅ።
2b050a00eb	ህካን እኮቤቺሃ አይሁድ አዎንሳኑት ህከን ጥዘናች ፈዬ መንቺን ደቀንት «ከበር ፎሎጬኖ በር እኮቤቺሃ ኦሰኦንት ዴሰ እጁ ሕጉ ፈቀደኖሄበአ» ይቶስ።
2b050b007e	ጠው እኮጎሬ እስ «ኤሳሃ ፈይሾ መንቹ ‹ዴሰክ እጅት ኦሮእ› ዬኤ» ይ ፈንቀሼሰ።
2b050c0061	እሰን «ዴሰክ እጅት ኦሮእ ዬሄ መንቹ አዬት?» ይት ጠዕምቶስ።
2b050d00b9	ህከን ቤቾን መኑ በተዕዮቤቺሃለከ ኢስ ህከንቤቺች ዎሉቤቹ ኦሮዮቤቺሃ ሁኩ መንቹ ፈይሾሲሁ አዬት ጎር ደጎበአ እቅ።
2b050e00cb	ህከኒች ኤተሮን ኢስ ህከን መንቺን መገን ምኔን ደቀም «ቴሱ ፈይቶንት፤ ከኒች ኤተሮን ባሰኖርቹ አፈኖሄበእገ ጩብ አቶት» ዬስ።
2b050f0062	ሁኩ መንቹንኩ ፈይሾሲሁ ኢሰ እሁስ መር አይሁድ ሹማተ ኩሎሰ።
2b0510007d	ህትኔ ጠወ አበ በሬን አዕዮቤቺሃ አይሁድ ሹመት ኢሰ ሂለ ጠዊን ሆችታሲት እቅ።
2b05110080	ጠዉ እኮጎሬ ኢስ «አኑኤ ጉዕመረን አአኖት፤ ህትን አኒሁ አኣሚት» ይ ፈንቀሼሰ።
2b05120108	ኢስ ህት ዩስ አይሁድ አዎንሳኑት እሱ ሽቶተ አበ ኬሰንሴሰ፤ መሰንትስ እስ አበ በሬን ጠለዕል ሆጉተ አኡ እሁዕነ «መገኑ አናኤ» የን ገዉስ መገኒን ቅጥ አዕዮቤቺሃት።
2b051300e3	ኢስን ፈንቀሽ «ሀንቅንከ ያንክዕኔ፤ አኑ አአን ለዕዮሃ አእ ቤሉ ቤቱ ገይንከስ መቱርቹሃ አአኖበአ፤ አኑ አአኖሃ ቤቱሁ ህትን እስገን አአኖ።
2b051400c1	መሰንትስ አኑ ቤቱስ ኢተኖ፤ ህትን አአኖሃ ጉዕመንከ እሲሃ ለሊሰኖ፤ አዕኑን አጀብሲጭቶኖተ ከኒች በተአኖሃ ለሊሰኖስ።
2b05150074	አኑ ሬሆች ኬሽ ሄኡ ኣሰኖሰገን ቤቱሁ ህትን ኣሶተ ሀሾ መኒሃ ሄኡ ኣሰኖ።
2b05160092	አኑ አዬ አሌኒ ፈረደኖበአ፤ ጠዉ እኮጎሬ ፈረዶተ አታለኖ ዎልቀተ ጉዕመንከ ቤቲሃ ኣስዮስ።
2b051700ae	ካን አዕዮሁ መኑ ጉዕሙንኩ አነ ኬዕምሰኖገን ቤቱሃ ኬዕምሶታት፤ ቤቱ ኬዕምስባሁ ሶኮስ አነሃ ኬዕምሰኖበአ።
2b051800e6	«ሀንቅንከ ያንክዕኔ፤ ላገእ ሞጮጨኖሀኒሃለከ ሶኮኤሃ አመዕነኖሀኒሃ ዘላለሚሃ ሄአኖ ሄኡ ሄአኖስ፤ እስ ሬሆች ሄኦን ህጎ ቤሉ ፈረደመኖስበአ።
2b051900bb	ሀንቅንከ ያንክዕኔ፤ ሬቶእሩ መገን ቤት ላገተ ሞጮጭታ ወክቱ አሜተኖ፤ ወክቱንኩስ ከኒት፤ ሞጮጭታእሩ ፎልን ሄኣአ።
2b051a006c	መሰንትስ አኑ ሄእ ቡቁተ እኮገን ቤቱሁ ሄእ ቡቁተ እሀኖገ አዕዮስ።
2b051b0097	ህትን አኑ ዊመ ዎልቀተ ኣሴስ ቤቱስ እስን መንች ቤቱ የመመኖሁ ፍርደ ፈረዶተ ሹምነቱ ኣስዮስ።
2b051c008f	ከኒን አጀብሲጭቶኖቼ፤ ሎድ ኣዜን ሄኦእሩ እስ ላገተ ሞጮጭት ሎዲች ፉልታ ወክቱ አሜተኖ።
2b051d00b4	ጡመ ሆጉተ አቶእሩ ሬሆች ኬእ ፎሊን ሄኣአ፤ ጠዉ እኮጎሬ ሂለ ሆጉተ አቶእሩ ሬሆች ኬኣን አሌሰ ፈረደመኖሰ» ዬሰ።
2b051e011b	ህትን ኢስ «አን ገይእ ዎልቃን መቱርቹሃ አኦተ አታላምበአ፤ ጠዉ እኮጎሬ አኒችኤ ሞጮጬሚሃ ፈረዳም፤ ሶኮኤሀን ሃሽኣቶ ቤሉ ገይኤ ሃሽኣቱተ ዊንሻምበእቤቺሃ ፍርዱእ ሀንቅሃን።
2b051f0066	«አን ገይኤተኔ መሰከሮም ጎሬ ምስክሩስ ሀንቅ እሁስ ለለኖበአ።
2b05200099	ጠዉ እኮጎሬ ኢተኔሃ መሰከረኖሁ ዎሉ ዮኡ፤ እስን ኢተኔሃ መሰከረኖ ምስክሩ ሀንቅ እሁስ ደጋም።
2b05210073	አዕኑ ያህይቤቹ ሶቀማኑተ ሶኬንታአ እቅ፤ እስን ሀንቅተኔሃ ኩሎህዕኔ።
2b05220088	አን መን ምስክር ቶጉ ሀስሰኖኤበአ እቅ፤ ጠዉ እኮጎሬ አዕኑ ጡምቶኖተ ይ ከ ጠወ ያም።
2b05230081	ያህይ ቡበኖለከ ለሊሰኖ ኩራዝጋት፤ አዕኑ ቀዎ ወክቲሃ እስ ኑሬን ሙንደኤነንተ።
2b052400e3	ጠዉ እኮጎሬ ኤሳሃ ያህዪች በተአኖ ምስክሩ ዮኤ፤ ሁኩንን ሹል አኦተ አኑኤ ኣስዮኤተ ሆጉ፤ ሁኩ አን አኣም ሆጉት አኑኤ ኤሳሃ ሶሁስ ለሊሳእተ።
2b052500b4	ኤሳሃ ሶኮ አኑኤ ገዉንኩስ ኢተኔሃ መሰከሮኡ፤ እኮጎሬሁ አዕኑ ላገሲ ሞጮጭቴንታበአ፤ ህትን ገዉሲ ለኤንታበአ።
2b05260072	እስ ሶኮሀኒን አመዕንቴነንተበእቤቺሃ እስ ላገት ክዕኔቤቾን ሄኣበአ።
2b052700b9	አዕኑ ዘላለሚ ሄኡ ጠሊለ መጻፋች ደዕቴነንታሃ አጉጃንክዕኔ እሰተ መረመርቴነንታት፤ እሳሁ ኢተኔ መሰከርታእራን።
2b05280057	እኮጎሬሁ አዕኑ ሄኡ ደዕቶኖተ ኢቤቹ አሜቱ ግቤንታአ።
2b05290035	«አን መኑ ኬዕምሶኤተ ሀሳምበአ።
2b052a0061	እኮጎሬሁ ክዕኔኤ ቀልቤን መገን ኢተት ዮበኢሃ እሁስ ደጎም።
2b052b00a4	አን አንኤ ሱዕሚን አሜቾምጎሬሁ ቶጌንታኤበአ፤ ጠዉ እኮጎሬ ዎሉስ ገይስ ሱዕሚን አሜቻን ቶጌነንተስ።
2b052c00b2	አዕኑ መት-መቱክዕኔ ኬዕምሴንተሩለከ ሜጡዋ መገኒች ኬዕምኝ ሀሴንበሩ ሀት እኬን ኢን አመዕንቶኖተ አታልቴነን?
2b052d008a	አን አንኤ ብሬን ኦዳሚሃ አጉዱንከህዕኔ፤ ኦደኖህዕኔሁ አዕኑ ተቢሳ አቴነንተ ሙሳት።
2b052e008e	አዕኑ ሙሰ አመዕንቴንተ እቃ ኤሳሁ አመዕንቴነንተ እቅ፤ መሰንትስ እስ ኢተኔሃ ከተቦኡ።
2b052f0081	እስ ከተቦሃ አመዕንቴንባች ኢ ላጋን ሀት እኬን አመዕንቶኖተ አታልቴነን?» ዬሰ።
2b06010071	ህከኒች ኤተሮን ኢስ «ጥባሮሰ ህከረንገ ገሊለ» ዬኖ ባር ዉድ አደ ቶሎ።
2b06020068	ኢስ ጥዘናመተ ፈይሻን አጀብሲሰኖ ጠወ ለኦ ልግቡ መኑ አዎንቶስ።
2b0603004e	ኢስ ቆተ አል ፉል አሳባንተስን ሜጡበ አፉዕሌእ።
2b0604003a	አይሁድ ሻሽግ ከበጃቱ ሆንጠኮ እቅ።
2b060500e3	ህከ ወክት ኢስ ልግቡ መኑ እስበ አሜተን ለዕይ እልስ አሌ ዋሽ ፍልጶሴ «ካን ጉዕማንከ መኒሃ እታ እቸተ ሀከን አዲች ህዕርኖተ አታልናም?» ዬእ።
2b06060087	ኢስ ህት ዬኢሁ ፍልጶስ የኖሃ ለኦታት ቤሉ እስ አኡ ሀስሰኖሲሃ ገዉንኩስ ደገኖ እቅ።
2b0607007e	ፍልጶስን «መት-መትሀሰ ቀዉ ቀዉ እልሲሃ ለሜ ጥቤ ዲናር እቸቲ እካሰበአ» ዬእ።
2b0608004a	አሳባች መቱ ስሞን ጴጥሮሴ አመቤቱ እንድርያስ
2b060900c0	«ከኔ ኦንቶ ሶእ ጣብተለከ ለም ቁርጩሜተ አፎ መቱ ጩሉ ዮኡ፤ ጠው እኮጎሬ ኩን ከን ጉዕማንከ መኒሃ ሀት እክ እሀኖ?» ዬእ።
2b060a00b7	ኢስን «መኑ አፉዕለኖገ አዕዬ» ዬሰ፤ ህከን ቤቾን ልግቡ ህጥት ሄኦ እቅ፤ ኦንቶ ኩሜ ጌሱ ጎኑ ህከኔ አፉዕልዮ እቅ።
2b060b00b6	ህከኒች ኤተሮን ጣብተ ኬሽ መገኑ ገለትጭ አፉዕሌ መኒሃ ኣሴእ፤ ህትን ቁርጩሜተ ጉዕሚንከሰ ሀስሰኖሰ ጌሰ ኣሴእ።
2b060c00a0	ጉዕሙንኩ እት ዱቦች ኤተሮን ኢስ አሳባተስ «መቱርቹሁ ፈቁዕናን ፈቆ ፉርፉሩ መጤን ጭምአዕዬ» ዬሰ።
2b060d007f	እሰን ኦንቶ ሶእ ጣብቲች መኑ እች ዱባን ፈቆ ፉርፉሩ ቶነ ለሙ መሶበ ዊመ ኬሶኡ።
2b060e00a1	መኑንኩ ኢስ አዕዮ አጀብሲሰኖ ጠወ ለኦ ወክት «ሀንቅንከ ኩን ኣዱንያ አል አሜተኖሃ ነቢዬቹ» ይቶኡ።
2b060f0089	እኮጎሬ ሁኩ መኑ ዎመ አቶተ ሰውይቶገ ደግ ኢስ ሜጥሀስ ቆተ አል ዋል እሳች ገበጭ ዬእ።
2b06100048	ሀዎሬ ወክት አሳበስ ገሊል ባር ቤቹ ድርቶኡ።
2b061100b4	እሰን ጀልባን ኣግ ቅፍርናሆመ መርቶተ ኬኦኡ፤ ሁኩ ወክቱ ኡለት ቱንስቹሃ እቅ፤ ህትን ኢስ እሰበ አሜቾበአ እቅ።
2b0612004d	ቦብሩ አበ ቦብርሰኖቤቺሃ ባሩ ሌንቄቀኖት እቅ።
2b061300d7	አሳበንት ኦንቱ ህከረንገ ሌሁ ኪሎ ሜትረ ባር አሌን ሃንቶኢች ኤተሮን ኢስ ባር አሌን ሃመን ህከ ጀልብ ቤቹ ሆንጠኮ ወክት ለእ ዋጅቶኡ።
2b06140043	ጠዉ እኮጎሬ ኢስ «አኔት! ዋጅቶኖቼ» ዬሰ።
2b06150084	እሰን ሙንዲኖን ጅልብ ኣዝ ኣግሶስ፤ ጀልቡንኩ ወክትንከስ እሰ መርታቤቹ ኢልሾሰ።
2b06160107	ለንክ በር ባር ዉድ አዲን ፈቆ መኑ ባር አሌን ጠለዕል መቱ ጀልቡ ፈቆገ ለኦ እቅ፤ ህትን ሜጢሃሰ አሳበት መሩሰለከ ኢስ እሳን ሜጡበ መርከባን ኣጉዕነ ፈቁስ ደጎ እቅ።
2b061700ab	ጠዉ እኮጎሬ ዎሉ መርከቡ ጥባሮስ ከተሚች ኬዕይ ኢስ መገኑ ገለትጬለከ ኡመቱ ጣብተ እቶ ቤቹ መድስ አሜቶኡ።
2b061800c9	ሁኩ መኑንኩ ኢስ ህከረንገ እስ አሳበት ህከን ቤቾን ሄኡ ሆጉሰ ለኦ ወክት ህከን መርከባን ኣግ ኢሰ ሀሶተ ቅፍርናሆመ መርቶኡ።
2b06190073	ባር ዉድ አዲን ደጎስ ወክት «አስተማርቾ! መ ወክት ከቤቹ ኢልት?» ይቶስ።
2b061a00f7	ኢስን ፈንቀሽ «ሀንቅንከ ያንክዕኔ፤ አዕኑ ኤሳሃ ሀሴነንታሁ ጣቢተ እትሾንክዕኔቤቺሃትለከ ዱቤንተቤቺሃት ቤሉ አን ለሊሾንክዕኔ አጀብሲሰኖ ጠውሃበአ።
2b061b00cf	መንች ቤቱ ኣሰኖህዕኔ ዘላለሚሃ ሄኣ ሄእ እቻተ አዕዬ ቤሉ በኣ እቻተ አቶኖቼ፤ እስን አኑ መገኑ ቤቲሀስ አዕዮ ሀንቅተ መላ» ዬሰ።
2b061c0061	ሁኩ መኑንኩ «መገን ሆጉተ አዕኖተ መ አኡ ሀስሰኖኔ?» ይቶስ።
2b061d0065	ኢስን ፈንቀሽ «መገን ሆጉት መገኑ ሶኮሀኒን አመዕኑሃን» ዬእ።
2b061e007b	እሰን ፈንቀሽት «ነኡ ለእን ኪን አመዕንኖተ መ መላተ አስተን? ህትን መ አተን?
2b061f00a2	‹እቶተ ሰሜች እቸተ ኣሴእ› የመም ከተበሞገን አናከኔ ኡለ ኡድማን ‹መና› ዬኖ እቸተ እቶኡ» ይቶስ።
2b062000b1	ኢስ «ሀንቅንከ ያንክዕኔ፤ ሰሜች እቸተ ኣሰኖሁ ሙሳበአ፤ ጠዉ እኮጎሬ ሀንቅ እቸተ ሰሜች ኣሰኖህዕኔሁ አናኤ።
2b0621008a	መሰንትስ መገኑ ኣሰኖ እቸተ ሰሜች ድርታእተለከ ኣዱንያ አሊሃ ሄኡ ኣስታእታን» ዬሰ።
2b06220057	እሰን «ቀርቾ! ከ እቸተ ጉዕመ ወክትንከ ኣስኔ» ይቶስ።
2b062300b1	ኢስን ፈንቀሽ «ሄእ እቸት አኔት፤ ኢቤቹ አሜተኖሁ ሆሮን ጎሩ አፈኖስበአ፤ ኢን አመዕነኖሁ ሆሮን ሰገበኖበአ።
2b06240066	ጠዉ እኮጎሬ ‹አዕኑ ኤሳሃ ለኤን አመዕንቴንታበአ› ዬንክዕኔ።
2b0625009e	አኑኤ ኣሰኖኤሁ ጉዕሙንኩ ኢቤቹ አሜተኖ፤ አንን ኢቤቹ አሜተኖሃ ጉዕመንከ አብል ዋሽ ቶቻንስበአ።
2b06260087	አን ሰሜች አሜቾሚሁ ሶኮኤሀን ሃሽኣቱተ ዊንሾታት ቤሉ ገይኤ ሃሽኣቱተ ዊንሾታበአ።
2b06270078	ሶኮኤሀን ሃሽኣቱት ኣሴኤ መኒች መቱሃ ቤሱዕናን ቂያመ በር ሬሆች ኬሶታት።
2b062800c9	አንኤ ሃሽኣቱት ቤቱስ ለዕይ እሲን አመዕነኖሁ ጉዕሙንኩ ዘላለሚሃ ሄአኖ ሄኡ ደኦታት፤ አንን ቂያመ በር ሬሆች ኬሳንስ» ዬእ።
2b06290070	ኢስ «ሰሜች ድርቶ እቸት አኔት» ዬቤቺሃ አይሁዱ እስ አሌን ቁንቁቶኡ።
2b062a00ba	እሰን «ኩን ነኡ አነስለከ አመስ ደንጋም ዩሱፍሃ ቤቱ ኢሳበእንዶ? እስ ሀት ‹አን ሰሜች ድርዮምሃን› የኖት?» ይቶኡ።
2b062b0045	ኢስን ፈንቀሽ «መት-መቱክዕኔ ቁንቁቶኖቼ።
2b062c00bf	ኤሳሃ ሶኮ አኑኤ ኢ አደ ኤቦሀን ቤሉ አዪሁ ኢቤቹ አሜቶተ አታለኖበአ፤ ኢቤቹ አሜተኖሃ አንን ቂያመ በር ሬሆች ኬሳንስ።
2b062d00ea	ነቢያካ መጻፋን ‹ጉዕሙንኩሰ መገኒች ተማርቶረ እካአ› የመም ከተበሞኡ፤ ህካን እኮቤቺሃ መገኒች ሞጮጬኢሁለከ ተማሮሁ ጉዕሙንኩ ኢቤቹ አሜተኖ።
2b062e0083	ጠዉ እኮጎሬ አነ ለዕዮሁ አዪሁ ዮበአ፤ መገን አዲች እኮሁ ጠለዕሉ አነ ለዕዮሃን።
2b062f007d	ሀንቅንከ ያንክዕኔ፤ ኢን አመዕነኖሀኒሃ ዘላለሚሃ ጉዕሚንከ ሄአኖ ሄኡ ዮስ።
2b0630001d	ሄእ እቸት አኔት።
2b06310068	አናከክዕኔ ኡለ ኡድማን ‹መና› ዬኖ እቸተ እቶኡ፤ እሰን ሬቶኡ።
2b06320068	ሰሜች ድርቶ እቸት ተኒት፤ ከኒች እተኖሁ አዪሁ ሆሮን ሬሀኖበአ።
2b063300e5	ሁኩ ሰሜች ድርቶ ሄእ እቸት አኔት፤ አዪሁ ህከን እቻች እቾጎሬ ዘላለሚሃ ጉዕሚንከ ሄአኖ፤ አንን ኣዱንያ አሊሃ ኣሳም እቸት ገግኤ ማላኤ» ዬእ።
2b0634009c	ህከ ወክት አይሁዱ «ኩ መንቹ ማለስ እንቶተ ኣሶተ ሀት አታለኖ?» ይተን መት-መትንከሰ ኦደቀንቶኡ።
2b063500b0	ኢስን «ሀንቅንከ ያንክዕኔ፤ መንች ቤት ማለ እቴንባችለከ ቄጉስ አጌንባች ክዕኔሃ ሄኡ ኣዜክዕኔ ዮህዕኔበአ።
2b063600b0	ኢ ማለ እተኖሀኒሃለከ ቄጉእ አገኖሀኒሃ ዘላለሚሃ ጉዕሚንከ ሄአኖ ሄኡ ዮስ፤ አንን ቂያመ በር ሬሆች ኬሳንስ።
2b0637006a	መሰንትስ ማሉኤ ሀንቅተ እቸ፤ ህትን ቄጉንኩኤ ሀንቅሃ አጌኖሃን።
2b06380072	ማላኤ እተኖሁለከ ቄጉኤ አገኖሁ ኢን ሄአኖ፤ አንን እሲን ሜጡበ እሃም።
2b06390090	ሄአኖ አኑኤ ሶኮኤቤቺሃ አን እሲን ሄኣሚሃ እኮምገን ህትን ማላኤ እተኖሁ ኢ አዲን ሄአኖ።
2b063a00f9	ሰሜች ድርቶ እቸት ተኒት፤ ሁኩንን አናከክዕኔ እቶኢሃ አጉድበሃን፤ መሰንትስ ህከ እቸተ እቶእሩ ሬቶኡ፤ ከ እቸተ እቶእሩ ዘላለሚሃ ጉዕሚንከ ሄኣአ» ዬሰ።
2b063b0064	ኢስ ህካን ዬኢሁ ቅፍርናሆማን ሄዕዮ ጭምት ምኔን ተማርሰኒት።
2b063c00a9	አሳባች ልግቡሰ ህካን ሞጮጭቶ ወክት «ኩ ትምርቱ አበ ኬዕመኖሃን፤ ከ ትምርት አይ ቶጎተ አታለኖ?» ይቶኡ።
2b063d0094	ጠዉ እኮጎሬ ኢስ አሳበስ ከን ትምርትተኔሃ ቁንቁቶገ አያኒንከስ ደግ «ኩን ሉሲሰኖህዕኔንዶ?
2b063e0069	መንች ቤቱ ወዕና ሄዕዮቤቹ ፈንቀል ፉለን ለኤንተጎር መ ይቶኖታት?
2b063f00b9	ሄኡ ኣሰኖሁ መገንየ አያነ፤ ጠዉ እኮጎሬ ማሉ ሜጡራ ደግለለኖበአ፤ አን ክዕኔሃ ጠወዕዮም ላገት አያነለከ ሄኦሃን።
2b064000fa	ጠዉ እኮጎሬ ክዕኔ በሊች አመዕንትቡሩ ዮኡ» ዬሰ፤ ኢስ ካን ዬኢሁ ወዕኔችን ኬሽ አመዕንትበሩ አዬኤታጎሬ ህትን ህግሽ ኣሰኖሁ አዬት ጎሬ ደገኖቤቺሃት እቅ።
2b0641009e	ህትን ኢስ «‹አኑኤ አሜተኖገ አዕዮሀን ቤሉ ዎሉ ኢ አደ አሜቶተ አታለኖበአ› ዬሚሁ ከኒሃት» ዬሰ።
2b0642008e	ህካን እኮቤቺሃ አሳባች ልግቡ ፈንቀልት መርቶኡ፤ ህከኒች ኤተሮን ኢሰ አዎኑ አጉርቶኡ።
2b06430080	ህካን እኮቤቺሃ ኢስ ቶነ ለሙንከ አሳበተ «አዕኑሁ መርቶኖተ ሀሴነንንዶ?» ዬሰ።
2b064400a3	ስምዖን ጴጥሮስን ፈንቀሽ «ቀርቾ ነኡ ሀከቤቹ መርናም? ኬሳሃ ዘላለሚሃ ጉዕሚንከ እካ ሄእ ላገት ዮሄ።
2b06450054	ነኡ አት መገን ጠሊለ እሁክ አመዕንን ደንጎም» ዬእ።
2b06460090	ህትን ኢስ «አን ክዕኔተ ቶነ ለሙንከክዕኔ መጠርበህዕኔንዶ? ክዕኔች መቱ እልቢስሃ» ዬሰ።
2b064700dd	ካን ዬኢሁ ስሞኔ ቤት አስቆሮንቶ ይሁድተኔሃት፤ መሰንትስ ይሁድ ቶነ ለሞንከ አሳባች መቱስ እኮጎሬሁ ኢሰ ህግሽ ኣሰኖሁ እሱ እኮቤቺሃት።
2b070100c6	ህከኒች ኤተሮን ኢስ ገሊለ ባዶን ሃመኖት እቅ፤ መሰንትስ አይሁድ አዎንሳኑት ሽቶተ ሀሶስቤቺሃ ይሁድ ባዶን ሃሞተ ሀሾበአ።
2b07020045	ህከ ወክት አይሁድ ዳስ በአሉ ሆንጠኮ እቅ።
2b0703009e	ህካን እኮቤቺሃ አመስኦሱት «አዎንታሄሩ አት አታንት ሆጉተ ለኦተ ከንቤቺች ኬእ ይሁድ ባዱ ኦሮእ።
2b070400d0	መሰንትስ ለሎተ ሀሰኖ መንቹ ሆጉስ ማጭ አኦተ ሀሰኖበአ፤ አት ካን ጉዕመንከ አተን ገዉክ መኒሃ ጉዕሚንከ ለሊሱ ሀስሰኖሄ» ይቶስ።
2b0705006e	ህካን ይቶኢሁ ዎሉ ፈቅ አመስ ኦሱንት እሲን አመዕንትበቤቺሃት እቅ።
2b07060094	ህካን እኮቤቺሃ ኢስ «ኢ ወክቱ ኢልዮበአ፤ ጠዉ እኮጎሬ ክዕኔሃ ጉዕሙንኩ ወክቱ መክዮእሃን።
2b070700c3	ኩ ኣዱንያ አሉ ክዕኔተ ግቦህዕኔተ አታለኖበአ፤ ጠዉ እኮጎሬ ኤሳሃ ግበኖ፤ መሰንትስ አን ሆጉስ ሂለ እሁስ ኩላምቤቺሃት።
2b070800ac	አዕኑ ህከ ከበጀተ ከበጄኖቤቹ አሌ ዋልቴን መሬ፤ ወክቱእ ኢልበቤቺሃ አን ህከ ቤቹ መሮተ አታላምበአ» ዬእ።
2b0709002b	ኢስ ህካን ይ ገሊላን ፈቆ።
2b070a00a7	ጠዉ እኮጎሬ አመስ ኦሱት ህከ ከበጃት ከበጄኖቤቹ መርቶች ኤተሮን እስ ህከ ቤቹ ለሉዕናን ማጠም ኦሮዕዮ።
2b070b0072	ህከን ከበጀ ቤቾን አይሁድ ሹመት «እስ ሀከበ ዮኡ?» ይተን ሀሳሲት እቅ።
2b070c00e3	አይሁድ ኡመቱ ህከን ቤቾን እስተኔ ኩሽኩሽይተን መት-መቱሰ «እስ ጡማ መንቹ» ይተን ዎሉሰንገ «ህትጎተበአ እስ መነ ሉሲሰኖሃን» ይታሲት እቅ።
2b070d0077	ጠዉ እኮጎሬ አይሁድ ሹመት ዋጅቶቤቺሃ አዪሁ እስተኔሃ ለሊሽ ጠወዕዮበአ።
2b070e0077	ህከ ከበጀት ከበጅተን ደሩ እኮሀኒን ኢስ አሌ ዋል ዱእ ምኒ መር ተማርሴእ።
2b070f00ab	ህከንቤቾንን አይሁድ ሹመት «ኩ መንቹ ተማርባሃ ከ ጉዕመንከ ሀት ደጎተ አታሎ?» ይተን አጀብሲጭታኢት እቅ።
2b07100080	ህካን እኮቤቺሃ ኢስ ፈንቀሽ «አን ተማርሳሚሁ ኢች እሁዕነ ኤሳሃ ሶኮኤሀኒቺት።
2b071100c0	መገን ሃሽኣቱተ አኦተ ሀሰኖሁ አዪሁ ኩ ትምህርቱ መገኒች አሜቾሃ እሁስ ህከረንገ አን ገይችኤ ጠወኣምጎሬ መለል ደገኖ።
2b071200c5	ገይችስ ጠወአኖሁ ገይሀስ ኬዕምኝ ሀሰኖ፤ ጠዉ እኮጎሬ ሶኮስሀን ኬዕምኝ ሀሰኖሁ ሀንቅየ መንቹ፤ ክዝቡንኩ እሲን ዮስበአ።
2b071300ba	ሙስ ሕገ ኣስዮህዕኔበእንዶ? እኮጎሬ ክዕኔኤች መቱክዕኔሁ ሕገ አገርቴንበረ፤ ሚሃት ሽቶኖኤተ ሀሴነንተኤሁ?» ዬሰ።
2b07140071	ኡመቱንኩ ፈንቀሽ «ኬሳሃ ዱሩ አፎሄ፤ ኬሳሃ አይ ሾሄተ ሀሾሄ?» ይቶስ።
2b07150080	ህትን ኢስ «አን መት ሆጉተ አዕዮም፤ አዕኑ ጉዕሙንኩ ህከኒን አጀብሲጭቴንታአ።
2b071600a1	ሙስ ጡርከም ሴረ ኣስዮህዕኔ፤ ሁኩንን አናካቺት ቤሉ ሙሲችበአ፤ አዕኑ አበ በሬን ጡርከንቴነንታት።
2b071700cf	ሙሲ ሕጉ ድጀምበገ መኑ አበ በሬን ጡርከመኖ እኮች አን አበ በሬን መንች ዊመንከስ ጅስመ ፈይሾምቤቺሃ ኢን ሚሃት ኡሙዕርቴነንታት?
2b0718005b	ሀንቅ ፍርደ ፈረጄ ቤሉ መን እልተ ለኤን ፈረዶኖቼ» ዬሰ።
2b07190075	ዬሩሳሌም ከተማን ሄኦ መኒች መት-መቱሰ «ኩን ሽቶተ ሀሳስየ መንቹበእንዶ?
2b071a00c3	ሁኩዕኑን እስ አልባሽ ጠወአኖት፤ እሰን መቱርቹሃ ይቶስበአ፤ ሹመት ኩ መንቹ መሲህ እሁስ ሀንቅንከ ደግትንዶ ጨለይቶኢሁ?
2b071b00bd	ጠዉ እኮጎሬ ኩ መንቹ አሜቾቤቹ ነኡ ደንጋም፤ መሲሁ አሜተኖ ወክት እስ ሀከን አዲች አሜቾንዶ አዪሁ ደገኖበአ» ይቶኡ።
2b071c013d	ህካን እኮቤቺሃ ኢስ መገን ምኔን ተማርሰን ላገስ ጎት አዕይ «አን ሀከን አዲች አሜቾምጎሬ ኤሳሃ ደጌነንተ፤ ጠዉ እኮጎሬ አን ገይንከኤ አሜቾምበአ፤ ኤሳሃ ሶኮኤንኩ ሀንቅሃ፤ አዕኑ ደጌነንተስበአ።
2b071d007e	አን እስ አዲች አሜቾምቤቺሃለከ እስን ኤሳሃ ሶኮኤቤቺሃ አን እሱ ደጋም» ዬእ።
