1300000006	Psalmi
2c081d0038	Duh pa reče Filipu: Pristopi in pridruži se temu vozu.
2c081e005b	Pritekši pa Filip, sliši ga, da bere preroka Izaija, ter reče: Ali pa umeš, kar bereš?
2c081f0061	On pa reče: Kako bi mogel, če me kdo ne napoti? Ter zaprosi Filipa, naj vstopi in sede k njemu.
2c082000aa	Vrsta pa pisma, ktero je bral, bila je ta: Kakor ovca na zaklanje se je odpeljal, in kakor je jagnje pred tistim, kteri ga striže, brez glasú: tako ni odprl ust svojih.
2c08210085	V ponižanji njegovem se je preklicala sodba njegova; a rod njegov kdo bo razložil? kajti življenje njegovo se bo vzelo od zemlje."
2c0822006b	Odgovarjajoč pa skopljenec Filipu, reče: Prosim te, o kom govorí to prerok? o sebi, ali o kterem drugem?
2c08230048	Filip pa odpre usta svoja, in začenši od tega pisma, oznani mu Jezusa.
2c08240067	Ko sta pa šla po poti, prideta k nekej vodi: in skopljenec reče: Glej, voda! kaj brani krstiti mi se?
2c08250074	Filip pa reče: Če veruješ iz vsega srca, smeš. In odgovarjajoč, reče: Verujem, da je Jezus Kristus sin Božji.
2c08260053	In ukaže voz ustaviti: in snideta oba v vodo, Filip in pa skopljenec: in krsti ga.
2c08270076	Ko sta bila pa izšla iz vode, vzel je Duh Gospodov Filipa; in ni ga več videl skopljenec: šel je pa vesel svoj pot.
2c08280071	A Filip se je našel v Azotu; in gredoč skozi, oznanjeval je evangelj vsem mestom, dokler ni prišel v Cezarejo.
2c09010065	Savel pa, kteri je še dihtel pretenje in smrt zoper učence Gospodove, pristopi k vélikemu duhovnu,
2c09020091	In izprosi od njega pisem v Damask do shajališč, da če najde koga od tega pota, bodi si možé ali žene, da jih zvezane pripelje v Jeruzalem.
2c0903005f	A ko je bil na poti, zgodí se, da se je bližal Damasku: in nagloma ga obsije svetloba z neba.
2c09040051	In padši na zemljo, zasliši glas, da mu pravi: Savel, Savel, kaj me preganjaš?
2c09050070	Pa reče: Kdo si, Gospod? A Gospod reče: Jaz sem Jezus, kterega ti preganjaš; težko ti je proti ostnu brcati.
2c090600a4	In trepetaje in strmeč, reče: Gospod! Kaj hočeš, da naj storím? In Gospod mu reče: Vstani in vnidi v mesto, in tam ti se bo povedalo, kaj ti je treba storiti.
2c09070074	Možjé pa, kteri so ž njim šli, ustavili so se, in strmeli so, ko so glas sicer slišali, pa nikogar niso videli.
2c0908007a	In vstal je Savel od tâl; in z odprtimi očmí svojimi ni nikogar videl. Tedaj ga primejo za roko in pripeljejo v Damask.
2c09090029	In tri dní ni videl, in ni jedel ne pil.
2c090a0078	Bil je pa neki učenec v Damasku po imenu Ananija; in reče mu Gospod v prikazni: Ananija! On pa reče: Glej me, Gospod!
2c090b0088	A Gospod njemu: Vstani in pojdi v ulico, ktera se imenuje Ravna, in vprašaj v hiši Judovej po imenu Savla, Taršana. Kajti glej, moli,
2c090c0062	In videl je v prikazni moža po imenu Ananija, da je vstopil in položil na-nj roko, da spregleda.
2c090d0076	Ananija pa odgovorí: Gospod! slišal sem od mnogih za tega moža, koliko hudega je storil svetim tvojim v Jeruzalemu.
2c090e004b	In tu ima oblast od vélikih duhovnov vezati vse, kteri kličejo ime tvoje.
2c090f007a	Pa mu Gospod reče: Pojdi; kajti posoda izvoljena mi je on, da ponese ime moje pred pogane in kralje, in sinove Izraelove.
2c09100045	Jaz namreč mu bom pokazal, koliko mu je treba za ime moje pretrpeti.
2c091100ce	In Ananija odide, in vnide v hišo, in položivši na-nj roke, reče: Savel brat! Gospod me je poslal, Jezus, kteri ti se je prikazal na poti, po kterej si šel, da spregledaš in se napolniš Duha svetega.
2c0912006a	In precej so odpadle od očî njegovih kakor luskinje, in spregledal je precej, in vstavši, krstil se je;
2c09130062	In vzemši jedí, okrepčal se je. Bil je pa Savel z učenci, kteri so bili v Damasku, nekaj dnî,
2c09140045	In precej je po shajališčih oznanjeval Jezusa, da je on sin Božji.
2c091500c8	In zavzemali so se vsi, kteri so poslušali, in govorili so: Ni li ta tisti, ki je pregnal v Jeruzalemu te, kteri so klicali to ime, in je za to sem prišel, da jih povezane popelje vélikim duhovnom?
2c0916007c	Savel pa je če dalje močneji prihajal, in osramotoval je Jude, kteri so prebivali v Damasku, dokazujoč, da je ta Kristus.
2c09170043	Ko je pa minolo dosti dní, posvetujejo se Judje, da bi ga umorili.
2c0918005a	Ali Savel zvé njih zalezovanje. In stražili so pri vratih noč in dan, da bi ga umorili.
2c09190044	Ali učenci ga vzemó po noči, in spusté po zidu, po vrvi v koši.
2c091a007f	Ko je pa prišel Savel v Jeruzalem, izkusil se je pridružiti učencem; ali vsi so se ga bali, ker niso verjeli, da je učenec.
2c091b00b2	Barnaba ga pa vzeme in pripelje k aposteljnom, in razloží jim, kako je bil na poti videl Gospoda, in da je ž njim govoril, in kako je v Damasku srčno oznanjeval ime Jezusovo.
2c091c0051	In prebival je ž njimi v Jeruzalemu; in srčno je oznanjeval ime Gospoda Jezusa.
2c091d0048	In govoril je in se prepiral z Grki; a oni so gledali, da bi ga umorili.
2c091e004c	Zvedevši pa to bratje, odpeljejo ga dol v Cezarejo, in pošljejo ga v Tars.
2c091f00a2	In cerkve po vsej Judeji in Galileji in Samariji so imele mir, in utrjevale so se, in hodile so v strahu Gospodovem, in umnoževale so se s tolažbo Duha svetega.
2c0920005c	Zgodí se pa, da Peter, ko je obiskoval vse, pride tudi k svetim, kteri so prebivali v Lidi.
2c09210067	In tu najde nekega človeka Eneja po imenu, kteri je uže osem let ležal na odru, in je bil mrtvouden.
2c09220064	In reče mu Peter: Eneja! Jezus Kristus te uzdravlja; vstani in postelji si sam. In precej je vstal.
2c0923005a	In videli so ga vsi, kteri so prebivali v Lidi in Saronu, in izpreobrnili so se h Gospodu.
2c09240096	A v Jopi je bila neka učenka po imenu Tabita (ktera se, če raztolmačiš, imenuje Srna); ta je bila polna dobrih del in miloščin, ktere je dajala.
2c09250060	Zgodilo pa se je v te dni, da je zbolela in umrla; in omivši jo, položili so jo v vrhnjo izbo.
2c0926008a	Ker je pa Lida blizu Jope, in so učenci slišali, da je Peter v njej, pošljejo dva moža k njemu, proseč, naj ne odlaša priti do njih.
2c092700c5	Vstavši pa Peter, odide ž njima; in ko pride, odpeljejo ga v vrhnjo izbo, in obstopijo ga vse vdove, jokajoč in pokazujoč suknje in oblačila, ktera jim je delala Srna, dokler je bila ž njimi.
2c09280092	Izgnavši pa vse ven Peter, poklekne in moli; in obrnivši se k truplu, reče: Tabita, vstani! In ona odpre očí svoje; in ko ugleda Petra, sede.
2c09290052	In podavši jej roko, vzdigne jo; in poklicavši svete in vdove, pokaže jo živo.
2c092a0042	In razglasí se po vsej Jopi, in veliko jih je verovalo v Gospoda.
2c092b0048	Zgodí pa se, da je dosti dnî prebil v Jopi pri nekem Simonu strojarji.
2c0a010061	Bil je pa neki mož v Cezareji po imenu Kornelij, stotnik trume, ktera se je imenovala Italijska,
2c0a020074	Pobožen in bogaboječ z vso hišo svojo, kteri je dajal veliko miloščine ljudém, in je molil k Bogu neprenehoma;
2c0a030078	Videl je v prikazni razločno, okoli devete ure dné, angelja Božjega, da je prišel k njemu, in mu je rekel: Kornelij!
2c0a040092	On pa, pogledavši na-nj in uplašivši se, reče: Kaj je, Gospod? Pa mu reče: Molitve tvoje in miloščine tvoje so prišle v spomin pred Bogom.
2c0a05004b	In sedaj pošlji v Jopo móž, in pokliči Simona, kteri ima priimek Peter;
2c0a06006b	On gostuje pri nekem Simonu strojarji, komur je hiša pri morji: on ti bo povedal, kaj ti je treba storiti.
2c0a07008e	Ko je pa angelj, kteri je s Kornelijem govoril, odšel, pokliče dva od domačih svojih, in pobožnega vojaka izmed teh, kteri so mu služili;
2c0a08002c	In razloživši jim vse, pošlje jih v Jopo.
2c0a09006a	A drugi dan, ko so bili ti na poti in so se mestu bližali, izide Peter na streho molit, okoli šeste ure,
2c0a0a004c	In postane lačen, in hotel je jesti. Ko so pa oni pripravljali, zamakne se,
2c0a0b007e	In ugleda nebo odprto, in nekako posodo da shaja na-nj, kakor velik prt, za čvetere ogle privezana, in se spušča na zemljo;
2c0a0c0057	V kterej so bile vse štirinogate in divje in lazeče živali zemlje, in tice nebeške.
2c0a0d0035	In oglasí mu se glas: Vstani, Peter, zakolji in jej!
2c0a0e005c	Peter pa reče: Nikakor ne, Gospod! kajti nikoli nisem jedel kaj nagnjusnega ali nečistega.
2c0a0f004d	In glas mu zopet v drugo reče: Kar je Bog očistil, ne imej ti za nagnjusno.
2c0a100045	To pa se je zgodilo trikrat. In zopet se je vzela posoda gor na nebo.
2c0a1100b9	Ko je pa Peter sam pri sebi strmel, kaj bi bila ta prikazen, ktero je videl, in glej, možjé, kteri so bili poslani od Kornelija, izprašali so hišo Simonovo, in stali so pred vratmi;
2c0a120046	In poklicavši, vpraševali so, če Simon s priimkom Peter tu gostuje.
2c0a130057	Ko je pa Peter premišljeval o prikazni, reče mu Duh: Glej, trije možjé te iščejo;
2c0a140059	Vstani torej, in snidi, in pojdi ž njimi, brez pomišljevanja; kajti jaz sem jih poslal.
2c0a15009c	In Peter snide k možém, kteri so bili od Kornelija k njemu poslani, in reče: Glej, jaz sem, kterega iščete; kaj je vzrok, za voljo kterega ste prišli?
2c0a1600d0	Oni pa rekó: Kornelij stotnik, mož pravičen in pobožen, imajoč dobro pričevanje od vsega naroda Judovskega, prejel je povelje od angelja svetega, naj te pokliče v hišo svojo, da sliši besede od tebe.
2c0a170085	Tedaj jih noter pokliče in vzeme pod streho. A drugi dan izide Peter ž njimi, in nekaj bratov, kteri so bili v Jopi, odide ž njim.
2c0a18006f	In drugi dan vnidejo v Cezarejo; a Kornelij jih je pričakoval, sklicavši rojake svoje in bližnje prijatelje.
2c0a19005b	Ko se pa zgodi, da Peter vnide, pride mu Kornelij naproti, in pade na noge, ter se pokloni.
2c0a1a003c	Peter pa ga vzdigne, govoreč: Vstani! tudi jaz sem človek.
2c0a1b0037	In govoreč ž njim, vnide in najde jih veliko zbranih,
2c0a1c00a2	In reče jim: Vi véste, kako nespodobno je možu Judu družiti se ali hoditi k tujcu; in meni je Bog pokazal, naj ne imenujem nikogar nagnjusnega ali nečistega.
2c0a1d0076	Za to sem tudi brez pomišljevanja prišel, ko sem bil poklican. Vprašujem torej, iz kterega vzroka ste me poklicali?
2c0a1e00b2	In Kornelij reče: Od četrtega dné noter do te ure sem se postil, in ob devetej uri sem molil v hiši svojej; in glej, mož se postavi pred menoj v svetlem oblačilu, in reče:
2c0a1f0053	Kornelij, uslišana je molitev tvoja, in miloščine tvoje so v spominu pred Bogom.
2c0a200085	Pošlji torej v Jopo, in pokliči Simona s priimkom Petra; on gostuje v hiši Simona strojarja pri morji: on ti bo povedal, ko pride.
2c0a21009b	Za to sem precej poslal k tebi; in ti si prav storil, da si prišel. Sedaj torej vsi mí pred Bogom stojimo, da slišimo vse, kar ti je zapovedano od Boga.
2c0a22004b	Tedaj Peter odpre usta, in reče: V resnici vidim, da Bog ne gleda na lice,
2c0a230047	Nego v vsakem narodu, kdor se ga bojí in dela pravico, prijeten mu je.
2c0a240063	Besedo, ktero je poslal sinovom Izraelovim, oznanjujoč mir po Jezusu Kristusu (ta je vsem Gospod):
2c0a25006a	Vi véste, kaj se je zgodilo po vsej Judeji, počenši od Galileje, po krstu, kterega je oznanjeval Janez:
2c0a2600b5	Jezusa iz Nazareta, kako ga je pomazilil Bog z Duhom svetim in močjó; kteri je prešel, delajoč dobroto in uzdravljajoč vse, ktere je bil hudič posedel, ker je bil Bog ž njim.
2c0a270071	In mi smo priče vsemu, kar je storil v deželi Judovskej, in v Jeruzalemu: kterega so na les obesili in umorili.
2c0a28003e	Tega je Bog obudil tretji dan, in dal mu je, da se je pokazal.
2c0a290081	Ne vsemu ljudstvu, nego pričam poprej izvoljenim od Boga, nam, kteri smo ž njim jedli in pili, potem ko je bil vstal od mrtvih,
2c0a2a006c	In ukazal nam je, naj oznanjujemo ljudstvu, in pričamo, da je on odločeni od Boga sodnik živih in mrtvih.
2c0a2b0066	Temu vsi preroki pričajo, da bo po imenu njegovem prejel odpuščanje grehov vsak, kdor veruje va-nj.
2c0a2c004e	Ko je Peter še govoril te besede, pade Duh sveti na vse, kteri so poslušali.
2c0a2d006f	In zavzemó se verni iz obreze, kteri so bili s Petrom prišli, da se je tudi na pogane izlil dar Duha svetega;
2c0a2e0054	Kajti slišali so jih govoriti jezike, in poveličevati Boga. Tedaj odgovorí Peter:
2c0a2f005f	Ali more kdo vodo zabraniti, da se ne bi krstili ti, ki so Duha svetega prejeli, kakor tudi mi?
2c0a30005d	In ukaže jih krstiti v ime Gospoda. Tedaj ga zaprosijo, naj bi ostal pri njih nekoliko dnî.
2c0b010066	Slišali pa so aposteljni in bratje, kteri so bili v Judeji, da so tudi pogani sprejeli besedo Božjo.
2c0b020054	In ko je prišel Peter v Jeruzalem, prepirali so se z njim, kteri so bili iz obreze,
2c0b03003e	Govoreč: K možém neobrezanim si šel, in jedel si ž njimi.
2c0b040037	Peter pa začne, in izkladal jim je po vrsti, govoreč:
2c0b0500b4	Jaz sem v mestu Jopi molil, in videl sem v zamaknenji prikazen, da je shajala nekaka posoda, kakor velik prt, in se je za čvetere ogle spuščala z neba, in prišla noter do mene.
2c0b06006b	In pogledavši va-njo, opazim in ugledam štirinogate in divje in lazeče živali zemlje, in tice nebeške.
2c0b07003e	In zaslišim glas, da mi pravi: Vstani, Peter, zakolji in jej!
2c0b080066	In rekel sem; Nikakor ne, Gospod! kajti nagnjusnega ali nečistega ni nikoli nič prišlo v usta moja.
2c0b090052	Odgovorí pa mi glas v drugo z neba: Kar je Bog očistil, ne imej ti za nagnjusno.
2c0b0a0042	To pa se je zgodilo trikrat, in zopet se je potegnilo vse na nebo.
2c0b0b0064	In glej, precej se trije možjé postavijo pred hišo, v kterej sem bil, poslani iz Cezareje k meni.
2c0b0c0087	In reče mi Duh, naj grem brez pomišljevanja ž njimi. Prišlo je pa z menoj tudi tehle šest bratov, in vstopili smo v hišo moževo.
2c0b0d0090	In povedal nam je, kako je videl angelja v hiši svojej, da je pristopil in mu rekel: Pošlji v Jopo móž, in pokliči Simona s priimkom Petra,
2c0b0e004e	Kteri ti bo govoril besede, po kterih se boš zveličal ti in vsa hiša tvoja.
2c0b0f004c	Ko sem pa jel govoriti, pade sveti Duh na-nje, kakor tudi na nas v začetku.
2c0b100081	Tedaj sem se spomenil besede Gospodove, kakor je povedal: "Janez sicer je krstil z vodo, ali vi se boste krstili z Duhom svetim."
2c0b110097	Ko jim je torej Bog dal ravno ta dar, kakor tudi nam, kteri smo verovali v Gospoda Jezusa Kristusa: kdo pa sem bil jaz, da bi bil mogel Bogu zabraniti?
2c0b120075	Ko so pa to slišali, umolknili so, in slavili so Boga, govoreč: Torej tudi poganom je Bog dal pokoro za življenje.
2c0b13009d	Ti pa, kteri so se bili razkropili za voljo stiske, ktera je nastala za Štefana, prišli so noter do Fenicije, nikomur ne govoreč besede, razen samo Judom.
2c0b140095	Bili so pa nekteri od njih možjé Ciprani in Cirenci, kteri so, ko so bili prišli v Antijohijo, govorili tudi Grkom, in oznanjevali Gospoda Jezusa.
2c0b150064	In bila je roka Gospodova ž njimi; in veliko število jih je verovalo in izpreobrnilo se h Gospodu.
2c0b160075	In prišel je glas o tem do ušes cerkve, ktera je bila v Jeruzalemu; in poslali so Barnaba, naj odide do Antijohije.
2c0b17007b	Ta, ko je prišel, in je videl milost Božjo, oveselil se je, in prosil je vse, naj s stanovitnim srcem ostanejo v Gospodu.
2c0b180063	Kajti bil je mož dober in poln Duha svetega in vere. In pridružilo se je veliko ljudstva Gospodu.
2c0b190055	Tedaj izide Barnaba v Tars iskat Savla; in ko ga je našel, pripelje ga v Antijohijo.
2c0b1a007e	In zbirala sta se celo leto v cerkvi, in učila sta dosti ljudstva, in imenovali so se učenci najprej v Antijohiji Kristjani.
2c0b1b003b	V te dní so pa prišli iz Jeruzalema preroki v Antijohijo.
2c0b1c0082	In vstavši eden od njih po imenu Agab, oznani po Duhu, da bo lakota velika po vsem svetu; ktera je tudi bila za Klavdija cesarja.
2c0b1d0068	Tedaj učenci, vsak po zmožnosti svojej, sklenejo v pomoč poslati bratom, kteri so prebivali v Judeji;
2c0b1e004a	Kar so tudi storili, poslavši starešinam po roki Barnabovej in Savlovej.
2c0c010046	V ta čas pa vzdigne Herod kralj roke, da bi nektere od cerkve mučil.
2c0c02002b	In umorí Jakoba brata Janezovega z mečem.
2c0c03005c	In videvši, da je po godi Judom, sklene tudi Petra vjeti (bili so pa dnevi presnih kruhov);
2c0c04009b	Kterega je tudi vjel in posadil v ječo, in izročil štirim četvericam vojakov, naj ga varujejo, in hotel ga je po Velikej noči izpeljati pred ljudstvo.
2c0c050053	Petra torej so sicer varovali v ječi; a cerkev je molila za-nj k Bogu neprenehoma.
2c0c06008f	Ko ga je pa imel Herod izpeljati, tisto noč je spal Peter med dvema vojakoma, okovan v dvojne verige; a varuhi pred vratmi so stražili ječo.
2c0c07009f	In glej, angelj Gospodov pristopi, in svetloba se zasveti v ječi; in udarivši Petra v rebra, zbudí ga, govoreč: Vstani hitro! In spadle so mu verige z rok.
2c0c08007b	In reče mu angelj: Opaši se, in obuj opanke svoje. In storil je tako. In reče mu: Ogrni plašč svoj, in pojdi za menoj.
2c0c090077	In izšel je, in šel je za njim; in ni vedel, da je res, kar se je godilo po angelji, nego menil je, da vidi prikazen.
2c0c0a00d2	Ko sta bila pa prešla mimo prve straže in druge, prideta do železnih vrat, ktera so držala v mesto, in ta jima se sama od sebe odpró. Ter izideta, in prideta v eno ulico, in precej odstopi angelj od njega.
2c0c0b009b	In ko pride Peter k sebi, reče: Sedaj vém res, da je poslal Gospod angelja svojega, in me je otel iz roke Herodove in vsega čakanja ljudstva Judovskega.
2c0c0c0077	In razmislivši to, pride do hiše Marije matere Janeza s priimkom Marka, kjer je bilo veliko zbranih, kteri so molili.
2c0c0d0051	Ko je pa Peter na vežna vrata potrkal, pristopi deklica po imenu Roda poslušat.
2c0c0e007d	In spoznavši glas Petrov, od veselja ni odprla vrat, nego odbežala je noter, in sporočila je, da stojí Peter pred vratmi.
2c0c0f0061	Oni jej pa rekó: Meša ti se. A ona je trdila, da je tako. Oni so pa govorili: Angelj njegov je.
2c0c100042	A Peter je čakal in trkal. Ko pa odpró, ugledajo ga, in ostrmé.
2c0c1100aa	Namignivši pa z roko, naj molčé, razloží jim, kako ga je Gospod izpeljal iz ječe. In reče: Sporočite to Jakobu in bratom. In izšel je, in odšel je v drugi kraj.
2c0c120053	Ko se je pa zdanilo, ni bil majhen strah med vojaki, kaj da se je s Petrom zgodilo.
2c0c130087	Herod pa, ko ga je zahteval in ga ni našel, izpraša varuhe, in ukaže jih odpeljati: in snide iz Judeje v Cezarejo, ter je tu živel.
2c0c1400c4	Bil je pa Herod jezen na Tirce in Sidonce; a oni enodušno pridejo k njemu, in pregovorivši Blasta komornika kraljevega, prosili so mirú, za to, ker je njih dežela dobivala živež iz kraljeve.
2c0c150061	A odločeni dan se je oblekel Herod v kraljevo oblačilo, in sedši na sodišče, govoril jim je.
2c0c160039	Ljudstvo pa je vpilo: Božji glas je to, a ne človeški.
2c0c170069	Pri tej priči pa ga je udaril angelj Gospodov, za to ker ni dal slave Bogu: in sneden od črvov je umrl.
2c0c18002f	A beseda Gospodova je rastla in razširjala se.
2c0c190080	A Barnaba in Savel sta se vrnila iz Jeruzalema, ko sta bila opravila službo, in vzela sta s seboj tudi Janeza s priimkom Marka.
2c0d0100c0	Bili so pa v cerkvi, ktera je bila v Antijohiji, nekteri preroki in učeniki: Barnaba in Simeon, ki se je imenoval Niger, in Lucij Cirenec, in Manahen, s Herodom četrtnikom odgojen, in Savel.
2c0d020088	Ko so pa oni službo Gospodu opravljali in se postili, reče sveti Duh: Odločite mi Barnaba in Savla za delo, na ktero sem ju poklizal.
2c0d030047	Tedaj, postivši se in molivši, položé roke na nju, ter ju odpusté.
2c0d040060	Ta torej, poslana od Duha svetega, snideta v Selevcijo, in odtod se odpeljeta po morji na Ciper.
2c0d050080	In ko sta prišla v Salamino, oznanjevala sta besedo Božjo po shajališčih Judovskih; imela sta pa tudi Janeza za služabnika.
2c0d060076	In ko sta prešla otok noter do Pafa, najdeta nekega vražarja, lažnjivega preroka Juda, kteremu je bilo ime Barjezu,
2c0d07007d	In je bil z namestnikom Sergijem Pavlom, pametnim možem. Ta, poklicavši Barnaba in Savla, želel je slišati besedo Božjo.
2c0d08007c	Ali ustavljal jima se je Elima, vražar (tako namreč se tolmači ime njegovo), gledajoč, da bi namestnika odvrnil od vere.
2c0d090049	Savel pa, ki se tudi Pavel imenuje, poln Duha svetega, pogledavši na-nj,
2c0d0a008f	Reče: O polni vsake zvijače in vsake hudobije, sin hudičev, sovražnik vsake pravice! ali ne boš nehal prevračati pravih potov Gospodovih?
2c0d0b00af	In sedaj, glej, roka Gospodova je zoper té, in slep boš in ne boš videl solnca do časa. In pri tej priči je padel na-nj mrak in tema, in tipajoč okoli, iskal je vodnika.
2c0d0c005f	Tedaj je namestnik, ko je videl, kaj se je zgodilo, veroval, in čudil se je nauku Gospodovemu.
2c0d0d0088	Odpeljavši pa se iz Pafa Pavel in kteri so bili ž njim, pridejo v Pergo Pamfilijsko. Janez pa se loči od nju, in vrne se v Jeruzalem.
2c0d0e0079	Ona pa, ko sta bila odšla iz Perge, prideta v Antijohijo Pisidijsko, in vnideta v sobotni dan v shajališče, in sedeta.
2c0d0f0097	Po branji postave in prerokov pa pošljejo poglavarji shajališča k njima, govoreč: Moža brata! če je v vaju beseda tolažbe za ljudstvo, govorita.
2c0d100077	Vstavši torej Pavel, pomigne z roko, naj umolknejo, ter reče: Možjé Izraelci, in kteri se bojite Boga, poslušajte!
2c0d1100a2	Bog naroda tega Izraelovega je izvolil očete naše, in povišal je ljudstvo, ko so prebivali v zemlji Egiptovskej, in s povzdigneno roko jih je izpeljal iž nje.
2c0d120040	In okoli štirideset let je potrpel ž njih šegami v puščavi.
2c0d130058	In pokončavši sedem narodov v zemlji Kanaanskej, razdelil jim je po kocki njih zemljo.
2c0d140053	In po tem, kakih štiri sto in petdeset let, dal jim je sodnike do Samuela preroka.
2c0d150074	In odtlej so zahtevali kralja, in dal jim je Bog Savla sina Kisovega, moža iz rodú Benjaminovega, štirideset let.
2c0d1600b8	In ko je bil tega zavrgel, obudil jim je Davida za kralja, kteremu je tudi rekel, pričevaje: "Našel sem Davida Jesejevega, moža po srcu svojem, kteri bo izpolnjeval vso voljo mojo."
2c0d170049	Iž njegovega semena je Bog po obljubi obudil Izraelu zveličarja Jezusa,
2c0d180052	Ko je oznanil Janez pred prihodom njegovim krst pokore vsemu ljudstvu Izraelovemu.
2c0d1900a0	Ko je pa Janez tek svoj dopolnjeval, govoril je: "Kdo menite, da sem jaz? Nisem jaz, nego glej, prišel bo za menoj, komur nisem vreden obutala odvezati z nog."
2c0d1a0075	Možjé bratje, sinovi rodú Abrahamovega, in kteri se med vami bojé Boga! vam se je poslala beseda tega življenja.
2c0d1b00a8	Kajti tí, kteri prebivajo v Jeruzalemu, in njih poglavarji, ker tega niso poznali, odsodili so ga, in tako so glasove prerokov, kteri se vsako soboto beró, dopolnili;
2c0d1c004b	In nobene krivice smrtne niso našli, in prosili so Pilata, naj ga pogubí.
2c0d1d005c	In ko so dopolnili vse, kar je bilo pisano za njega, sneli so ga z lesa in položili v grob.
2c0d1e001d	A Bog ga je obudil iz mrtvih,
2c0d1f0085	In pokazoval se je več dnî tem, kteri so bili ž njim vred prišli iz Galileje v Jeruzalem, kteri so priče njegove pred ljudstvom.
2c0d200077	In mi vam oznanjujemo obljubo, ktera se je obljubila očetom, da je to Bog izpolnil nam njih otrokom, obudivši Jezusa,
2c0d21004e	Kakor je tudi v drugem psalmu pisano: "Sin moj si ti; jaz sem te danes rodil."
2c0d220074	Da ga je pa obudil iz mrtvih, da se ne vrne več v trohnenje, rekel je tako: "Dal vam bom svetinjo Davidovo zvesto."
2c0d230054	Za to pravi tudi na drugem mestu: "Ne boš dal, da bi svetnik tvoj videl trohnenje."
2c0d240088	Kajti David, ko je bil ob času svojem poslužil volji Božjej, zaspal je, in položili so ga k očetom njegovim, in videl je trohnenje.
2c0d25002f	Ta pa, ki ga je Bog obudil, ni videl trohnenja.
2c0d260056	Znano vam torej bodi, možjé bratje! da vam se po njem odpuščanje grehov oznanjuje;
2c0d270071	In od vsega, od česar se v Mojzesovej postavi niste mogli opravičiti, opravičil se bo v tem vsak, kdor veruje.
2c0d28003c	Glejte torej, da ne pride na vas, kar je rečeno v prerokih:
2c0d290090	"Glejte, zaničevalci! in čudite se in izginite; kajti delo bom jaz storil v dnéh vaših, delo, kteremu ne boste verovali, če vam kdo pové."
2c0d2a006e	Ko sta pa izšla iz shajališča Judovskega, prosili so ju pogani, naj bi jim drugo soboto govorila te besede.
2c0d2b00aa	In ko se je zbor razšel, odšlo je veliko Judov in pobožnih izpreobrnencev za Pavlom in Barnabom, ktera sta, govoreč jim, prigovarjala, naj ostanejo v milosti Božjej.
2c0d2c004a	A drugo soboto se je skoro vse mesto zbralo, da bi slišali besedo Božjo.
2c0d2d0081	Videč pa Judje ljudstvo, napolnijo se nenavidnosti, in govorili so zoper to, kar je pravil Pavel, nasprotujoč in preklinjajoč.
2c0d2e00b8	Tedaj Pavel in Barnaba srčno rečeta: Vam se je morala najprej govoriti beseda Božja; ko jo pa zametujete, in se nevredne štejete večnega življenja, glej, obračava se do poganov.
2c0d2f0074	Kajti tako nam je zapovedal Gospod: "Postavil sem te za luč poganom, da boš na zveličanje noter do kraja zemlje."
2c0d300091	Ko so pa pogani to slišali, veselili so se, in slavili so besedo Gospodovo, in verovali so, kolikor jih je bilo odločenih za večno življenje.
2c0d310036	In razširjala se je beseda Gospodova po vsej deželi.
2c0d32008f	Judje pa nadražijo pobožne in poštene žene in prvake mestne, in zbudé preganjanje zoper Pavla in Barnaba, in izženó ju iz svojih krajev.
2c0d330046	A ona sta otresla prah z nog svojih na njih, in prišla sta v Ikonijo.
2c0d340036	Učenci pa so so napolnjevali radosti in Duha svetega.
2c0e010089	Zgodí se pa v Ikoniji, da sta šla vkupej v shajališče Judovsko, in sta govorila, tako, da je veliko mnoštvo Judov in Grkov verovalo.
2c0e020057	Tisti Judje pa, kteri niso verovali, podpihajo in nadražijo duše poganov zoper brate.
2c0e0300a2	Ali ostala sta dosti časa, govoreč srčno v Gospodu, kteri je pričeval besedo milosti svoje, in je dajal, da so se znamenja in čudeži godili po njunih rokah.
2c0e04004d	In množica mestna se razdelí; in eni so bili z Judi, eni pa z aposteljnoma.
2c0e05005e	Ko so se pa vzdignili pogani in Judje s poglavarji svojimi, da bi ju zasramotili in kamenjali,
2c0e060043	Zvesta, in pobegneta v Likaonski mesti Listro in Derbo, in okolico,
2c0e07001f	In tu sta oznanjevala evangelj.
2c0e080064	In sedel je v Listri en mož bolan na nogah, hrom iz telesa matere svoje, kteri ni bil nikoli hodil.
2c0e090063	Ta je poslušal Pavla, ko je govoril; in on pogleda nanj, in videvši, da ima vero, da bo ozdravel,
2c0e0a0051	Reče z močnim glasom: Stopi na noge svoje po konci! In skočil jo, in hodil je.
2c0e0b0088	Ljudstvo pa, ko je videlo, kar je Pavel storil, povzdignejo glas svoj, govoreč Likaonski: Bogova sta v človeškej podobi sešla k nam.
2c0e0c0055	In imenovali so Barnaba Jupiterja; a Pavla Merkurija, ker je bil on načelnik besede.
2c0e0d0083	Duhoven pa Jupiterjev, ki je bil pred mestom, pripelje juncev, in prinese vencev pred vrata, in hotel jima je z ljudstvom darovati.
2c0e0e0078	Ko sta pa aposteljna Barnaba in Pavel to slišala, raztrgala sta oblačila svoja, in skočila sta med ljudstvo kričeč,
