2800000005	Matai
2c04070066	Hhela Beduru, Yaheiyaghalai dunda beighadene asawo, "Ta kienyi nenli, niereghala ene shiqinyi giezho?"
2c04080053	Qingiekude Bedurude Shenlin duruzhi hhelade kieliewo, "Bexinlai noyen, zhanlaolaya,
2c04090063	ta enedu ene dogholonyi jiere bijien giesan gou shiqin, pse hhe matugie goudasei bijiende asazhoshi
2c040a00cb	ta ashighala, Isilieni bexinla man mejiendu. Tai melie beizhi goudasan ene kunshi ta shizijia jiere ghadadene Huda fugusan kun dundase aminne olughasan Nasale kun Ersa Mexihani niereghala goudaghasan wo.
2c040b006c	Ene Ersashi jinwunde ingiezhi kieliesan hhe wo, 'Ta jianrenla bendasan tashi ede giei zhunyo tashi gholuwo.'
2c040c0051	Ersase chugo pse jiuichen uwo. Qienxiade matanyi jiuiku psedu nierei ese ogizho."
2c040d009c	Hhela Beduru, Yaheiya ghuala fugie danzighala kieliesei uzhewo. Hhelade yama unhua wikui mejiedene ghanirawo. Pse ene ghua kunshi Ersare hhantuku wo giezho.
2c040e0059	Hhe goudasan kun hhelare hhantu beisanyi chanladene hhelade yama kielieku kielien widawo.
2c040f0066	Ingie BeduruYaheiyai zui fugie fayense khireigha giezhi fenfuladene goyalane shanlian giezhi kieliewo.
2c0410008c	"Matan ene ghua kunyi matugiene? Hhela nie ghudureqi xienjighawo, jien Yelusalende sousan kunla man mejiene. Matan uwo giezhi kielie danema,
2c04110070	ene shiqin bexinlai dunda fugiedakuse ayizhi matan hhelai nie ayighaye. Ene kunyi niereghala pse bu chonji gie."
2c0412005b	Ingie hhe ghualai uruzhi ire, Ersani niereghala kunlade pse bu jianji, ye bu surugha giewo.
2c04130080	BeduruYaheiyaghala kieliewo, "Tai kieliei chenlie, Hudai kieliei ulie chenliese, Hudai melie heshi winu uwo? Ta goyalane sumula.
2c0414003b	Bijien chujieghezhi sonosusanne ulie kieliezhi ulie olune."
2c04150097	Noyenla hhelade yama faikui jiekou ereizhi khizhe dawo. Pse bexinla ene fashen giesan shiqin jiere Hudai kuaise hhe ghualai hende nie ayigha andaghawo.
2c04160036	Yenlai ene ghudureqighala goudaghasan kun 40 ji olune.
2c04170085	BeduruYaheiyaghalai andaghadene hhela goya kunlane hhende echiwo. Fugie buwa, zhanlaolai kieliesan kielienyi goya kunladene kieliewo.
2c0418008c	Hhela chenliedene Hudade nie zhugheghala fugiede kieliewo, "Asiman, zemin, hai, pse hhei sudorodu shihenilai man zhayaghazhi gonjisan Ezhan,
2c041900a1	chi Shenlinyi tungo giezhi goya hojine, bijienyi xienren Dawudeni amanghala ingiezhi kieliewo, 'Go gojiala yale nouine? Go minzula yale oronde wikui jihua giene?
2c041a005f	Duyai honshanla bosizhewo. Noyenla hhantulazho. Ezhanse, Ezhanni Mexihase fandui giene giezho.'
2c041b0096	Hherode, Benjiu-Bilado ghuala ene chenshide niman kun, Isilie kunlare hhantuladene chi sunghu goudaghasan zhiguitu hoji Ersai qingiezhi fandui giezho.
2c041c004b	Hhela giesanlashi man chii nenli, isighala eqighan jiejin giesan shiqin wo.
2c041d0069	Ezhan, hhela ede bijienyi ayighasei chi nie uzhe. Hojiladene fugie danzi ogizhi chii kielienni kieliegha.
2c041e0072	Chi nenline xienjighazhi gienlai goudagha. Chii zhiguitu hoji Ersai niereghala ghudureqi, fugie shiqin xienjigha."
2c041f0083	Hhela onxian gie baluse hhantulasan oron gojiolu qii, hhelade man Shenlin duruzhi danzine fugiedagha, Hudai kielienni kielie qiiwo.
2c04200076	Xianxin giesan kunla zhughede, sumulasanla man nie wo. Kienliuzhe eneshi goyanughun wo ulie giene, man hhantu injizho.
2c0421006c	Shitula fugie nenlighala Ezhan Ersa fuho giesande ganzhen beizho. Ingiese kunlade Hudai fugie nenjien irewo.
2c04220059	Hhelai dunda kiemade yama ese chaizho. Hhela ghazha, gielane huisan baerni agizhi iredene
2c04230046	shitulani melie jiese shitula zhao kunla injiku mutun ghughazhi ogiwo.
2c04240087	Nie Liwi kunyi nierei Yusufu giene. Saipuluside oluzho. Shitula hhei Banaba giezhi uruzho, isishi kunlade goude sughazhi kieliechen wo.
2c0425003e	Hhe ghazhalane huidene baerni agizhi ire shitulai melie jiewo.
2c05010054	Da nie kunyi nierei Yananiya giene. Biereiini Safeila giene. Ghuala ghazhane huidene
2c05020061	baerse ghulazhi goyadene gouji feiliegha, psedulai shitulai melie jiewo. Enei biereiniye mejiene.
2c05030084	Beduru kieliewo, "Yananiya, yale chii zhughede Ibilisi duruzhi Shenlinyi piendane? Ghazhane huisan baerni yale goujinie feilieghawo?
2c05040098	Ghazhane uye huikude ghazhashi chinughun pushonu? Ede huise baerne chi zozhu giezhola? Chi yale intui giezho? Chi kunni ese piendazho. Hudai piendazho."
2c0505005a	Yananiya ene kielienyi chenliedene fura bou, ho sirawo. Chenliesan kunla man hende ayizho.
2c05060050	Giedun nasuchighan kunla bosi ire, hhei boui goudaghadene qienlie khirei bulawo.
2c05070043	Ghuran zhuntou daose biereini irewo. Ene shiqinni dou ulie mejiene.
2c05080063	Beduru hhende asawo, "Chi made kielie, ta ghazha huisan baershi enezighan onu?" "Jiu enezighan wo."
2c05090095	Beduru kieliewo, "Ta ghuala yale hhantulazhi Ezhanni ruhherni shiine? Zhanguijii chii bulasan kunla ede wijien konde irewo, chiiye qienlie khighane."
2c050a009b	Ingie hhe bierei deigo Bedurui kon konde fura bou, ho sirawo. Hhe nasuchighan kunla oro ire fuguseini chanladene, qienlie echi zhanguijiini kanzide bulawo.
2c050b0048	Jien jiohuini kunla, pse ene shiqinyi chenliesan kunla man hende ayizho.
2c050c008d	Ezhan shitulai tungo giezhi bexinlai dunda ghudureqi, fugie shiqin olon giewo. Xianxin giesan kunla Sulumane zoulande heqide man hhantulazho.
2c050d004b	Bexinla man hhelai zanchen giezhoma, kunlase ayizhi hhelare hhantula dazho.
2c050e003c	Ezhanyi xianxin giesan ere kun, biereila yebeiseye olodozho.
2c050f0095	Niezhan kunla da gientulai qienliezhi geidoude khirei chon, ruzi jiere jiezho. Sumulase Beduru yozhi daokude xiujieniliuzhe hhelai jiere kuse giezho.
2c05100064	Pse Yelusalen zhouwini xianlase olon kunla gientu, zannan ruhher heisanlai uduru ire man goudaghawo.
2c05110041	Zui fugie buwa, hhei lienshoulani Sadugai kunla hende dubiliedene
2c05120023	shitulai barei agi bafanzide khawo.
2c05130052	Xienidei Ezhanyi qienxien bafanzi wijienyi niezhi hhelai uduru khizhegha kieliewo,
2c05140041	"Ta mechide echidene ene amin ogiku daolii bexinlade man kielie."
2c051500e8	Ingiese shitula ene kielienyi chenliedene ogheikude mechide echizhi kunlade sughazho. Zui fugie buwa, lienshoularene kuzhedene zui fugie fayenni kun, Isilieni zhanlaolai uruzhi irewo. Kun peizhi bafanzise shitulai lai iregha giezho.
2c05160055	Mechini sagheisan kunla bafanzide echise kun nieda uwo. Ingie khareizhi ire kieliewo,
2c05170075	"Bijien echise bafanzi wijien yama ese giezho. Sagheisan kun wijien ghadane wo. Wijienyi niese sudoro kun nieda uwo."
2c05180069	Mechini sagheisan duizhan, fugie buwa ene kielienyi chenliedene ghanirazhi matugie imutui gholuwo giezho.
2c0519005f	Nie kun iredene kieliewo, "Ta bafanzide bareisan kunla ede mechide beidene bexinlade sughazho."
2c051a0084	Ingie duizhan mechini sagheisan kunlai uduruzhi shitulai barei irewo. Bexinla hhelai tashighala eghikuse ayizhi khidunde ese giezho.
2c051b0055	Hhela shitulai barei ire zui fugie fayen sudoro beigha zui fugie buwa hhelade asazho,
2c051c00c9	"Bijien tande hende jingao giezhi ene kunyi niereghala kunlai bu surugha giezhi kieliewo. Ta daoline nie Yelusalende kielie kurughadene dou alasan ene kunni chusunni zhanni bijienyi jiere beilieghane."
2c051d004e	Beduru, pse shitula kieliewo, "Hudai shunjizhi kunyi ulie shunjise indanji wo.
2c051e0048	Mai xienrenni Huda ta mutun jiere guaidene alasan Ersai aminne olughawo.
2c051f0089	Huda hhei undudaghazhi borun miendene khighawo. Hhei honshan, jiuichen danlaghazhi Isilie kunni geizhen gieghazhi zuini mienliene giezho.
2c0520005d	Bijien ene shiqinlade ganzhen beine. Hudai shunjisan kunlade ogisan Shenlinye ganzhen beine."
2c0521004b	Zui fugie fayenni kunla enei chenliedene hende hokuzhi hhelai alane giezho.
2c052200b6	Nie Falisai kunyi niereini Jiamalie giene. Hheshi nie jinwun loushi wo, kunla man hhei zunjine. Zui fugie fayende bosi ire kunlade fenfulazhi shitulai ghadane niecha khireigha giewo.
2c0523004d	Ingie kunlade kieliewo, "Isilie kunla, ta ene kunlai xioxin giezhi chuli gie.
2c05240088	Eqighandei Duda bosi ire goyane fugie wo giezho. Hhei daghasan kun 400 wine. Hhei alasenu daghasan kunlai man sanda widazhi yama widawo.
2c05250089	Hhense khuinashi hukou denji giekude Jialilini Yuda bexinlai yela giezhi goyane daghaghawoma, hhe fuguse daghasan kunla man sanda widawo.
2c0526006d	Ede bi tande kielieye, ta ene kunlase gholodo. Hhelai bu gonji. Hhelai jihua, giesanlashi kunse irese widane.
2c0527007d	Hudase iresan enbese ta hhelai widagha dane. Ta kenen Hudare duitou gholune." Zui fugie fayenni kunla hhei kieliei shunjidene
2c05280048	shitulai uru ire idun eghidene Ersai niereghala bu kielie gie andaghawo.
2c0529006c	Shitula Ersai nierede oluzhi jiuren giese pei shidane giezhi hende bayasudene zui fugie fayense likai giewo.
2c052a006e	Hhela niudunie mechide, go gielade ese beidene Ersashi Mexiha wo giezhi kunlade sughazhi gouxioxini chonjizho.
2c060100c3	Hhe oloncha tuji niudunie olodozho. Niudunieku shenhofei ogiku shiqin jiere Xila kielien kieliechen Yutaii guafulai jiezho. Ingiese hhela Xibolai kielien kieliechen Yutai kunlade boxin kieliezho.
2c0602007e	Ingie 12 gie shitu olon tujilai uru ire kieliewo, "Matan Hudai kielienyi chonjikui bendazhi jiedene ijiekui gonjise heshi uwo.
2c06030076	Gaijiula, tai dundase gou minshentu, Shenlin duruzhi agheli olontu dolon ere kunyi sunghuzhi ene shiqinlai gonjighaye.
2c0604003e	Ingiese matan zhomen onxian giezhi pse Hudai kieliende giene."
2c060500be	Kunla man ene kielienyi zanchen giedene Siqifan, Feili, Bologelo, Nijiano, Qimun, Bamina, pse Yutaijiode suisan Anqiya kun Nigelai sunghuwo. Siqifan xianxin giesan gou wo, Shenlinye duruzho.
2c0606004e	Enelai shitulai melie beighase shitula onxian giezhi hhelai jiere khane teiwo.
2c06070067	Hudai kielien ondazhi Yelusalende tujila zhenzhen olodozho. Tebie olon buwalaye ene xinyanni shunjizho.
2c06080053	Siqifande Hudai nenjien, nenli olonshi kunlai dunda fugie shiqin, ghudureqi giezho.
2c06090097	Ingiese Ziyutu kunla giezhi urusan huitanni giedun kun bosi ire Siqifanghala jianjinduwo. Enelashi Gulinai, Yalishanda, Jilijia, Yaxiya gochuse irezho.
2c060a0042	Siqifan agheli, Shenlinyi kouizhi kielien kieliese hhela dui dane.
2c060b0060	Ingie kunlai baerghala agidene kielieghawo, "Bijien chenliese SiqifanMusa, Hudaghalai sugiezho."
2c060c006a	Hhela bexin, zhanlao, jinwun hanjialai shanjizhi Siqifanyi hhende echighase barei zui fugie fayende irewo.
2c060d0076	Hhela pse jia ganzhen beisan kunlai uru ire kielieghawo, "Ene kun zhiguitu oronji Musani guijinni sugiezhi ese beizho.
2c060e0073	Bijien chenliese hhe kieliezhi Nasale kun Ersa mechii furaghane, pse Musa matande ogisan guijinni geighane giezho."
2c060f005e	Zui fugie fayende sousan kunla man Siqifanni xianxide uzhese ungieni qienxienni ungiei xianli.
2c07010033	Zui fugie buwa Siqifande asawo, "Intu shiqin winu?"
2c0702009f	Siqifan kieliewo, "Oqio kun, gaijiula, ta chenliendu. Matai xienren IburaheimuHalande soutula Meisobudamiyade bikude famatu Huda hhende xienjighadene kieliewo,
2c07030048	'Chi goya oron, jiawusene likai giezhi bi chade uzheghaku oronde echi.'"
2c0704008a	"Ingie hhe Jialeji kunlai oronse likai giedene Halande souwo. Hhei adani fugudene Huda hhei banjighazhi ta ede sousan ene oronde ireghawo.
2c070500b4	Ene oronde Huda hhende yama jiachan, lien beiku oronye uye ogiwoma, Huda kielien yenjizhi ene oronyi hhende, hhei houdeide ogizhi caichan gie giewo. Hhe shihoude hhende kewosi uwo.
2c07060059	Ingiese Huda kieliewo, 'Houdeichii kunlai oronde souzhi hoji danlazhi 400 nien zayalane.'
2c0707006f	Pse kieliewo, 'Hhelai hoji danlaghasan gojiani bi panjine. Khuinashi hhela khizhedene ene oronde mii shunjine.'
2c070800be	Ingiedene Huda Iburaheimude hetoune giekughala kielien yenjiwo. Iburaheimude Isagheini oluzhi neimudude hetoune giewo. Isagheide Yagebuni oluwo, Yagebude mai 12 gie famatu xienrenlai oluwo."
2c07090060	"Ene famatu xienrenla Yusufu jiuni dubiliedene Aijide huiwo. Ingieliuzhe Huda hheghala hhantushi
2c070a00b5	hhei yan kunnanseliuzhe khizheghawo. Huda hhende nenjien, agheli ogise Aijini Falao honshan hhei uzhedan gou wo. Falao hhei Aijide zui fugie noyen danlaghazhi giene man gonjighawo."
2c070b0056	"Ingiedene Aiji, Jianande honnien kuzhezhi zeinan irewo. Mai xienrenlade taran sirawo.
2c070c005b	Yagebu sonosuse Aijide taran wine. Ingie mai xienrenlani peizhi tou 1 hui hhende echighawo.
2c070d0058	2 huide echise Yusufu gaijiuladene tanighawo. Ingiese Falao hhei gieni qinkonyi mejiewo.
2c070e004d	Yusufu kun peizhi adane nie gie kunyi jienlieghale echiwo. Man 75 gie kun wo.
2c070f0054	Ingie YagebuAijide bouzhewo. Khuinashi Yagebu, mai xienrenla man hhende duya ijiewo.
2c0710005b	Hhelai laizhi Shijiende echi IburaheimuHamoni houdeilase miengughala agisan mezade bulawo."
2c07110050	"Huda Iburaheimude yenjisan kielien kuzhekude Aijide Isilie kunla hende olodowo.
2c0712004a	Khuinashi Yusufui tani dachen nie shini honshan khizhezhi Aijini gonjizho.
2c0713006a	Hhe mai kunlai heizhi xienrenlai mai zayalazho. Hhelai biizhi yeliwalai bendaghazhi aminne ese olughazho."
2c07140068	"Hhe shihoude Musani oluwo. Hudai melie hhe uzhezhi seighan wo. Hhei adaini giede ghuran sara qiezhedene
2c07150038	bendase Falaoi oqin kewonni giedene qiezhe fugiedaghawo.
2c0716004d	MusaAiji kunlai unhuani man suruwo. Kielien kielie, shiqin giese nenli wine."
2c07170047	"Musa 40 olukude goya Isilie kunlane uzhele echine giezhi jiejin giewo.
2c07180078	Niefade hhe echikude nie Aiji kun nie Isilie kunyi qifulasanyi chanlasenu hhe Aiji kunyi alazhi hhe kunde bouchou giewo.
2c0719005c	Hhe sumulase Huda hhei tungo giezhi goya kunlai jiuikui mejiemu giezhoma, hhela mejie dazho.
2c071a0081	Khuichudu Musa chanlase Isilie kunla eghinduzho. Hhelai sidaghazhi kieliewo, 'Gujiu, tashi gaijiula wo, yale nieniene qifulane?'"
2c071b006a	"Giebeine qifulasan kun Musai tungu daogha kieliewo, 'Kien chii bijiende lindao, panjichen kun danlaghawo?
2c071c0034	Chi uchughudu hhe Aiji kunyi alaku mutun mii alanu?'
2c071d0074	Musa ene kielienyi chenliedene Aijise ghula holu Mijiende toreisan mutun souwo. Hhe oronde hhende ghua kewon oluwo."
2c071e005a	"40 nien daose Xinaishan hontande nie qienxien siderasan eghesun dunda Musade chanlaghawo.
2c071f0060	Musa zhoujin mutunyi chanladene ghanirazhi melie daozhi uzhene giekude Ezhanyi shenqii sonosuwo,
2c07200077	'Bishi chii xienrenlai Huda wo. Iburaheimu, Isaghei, Yagebuni Huda wo.' Musa chenliesenu pugharadene ayizhi uzhe dazho.
2c07210059	Ezhan hhende kieliewo, 'Chi kon jieredu maheine tei. Chi beisan oronshi zhiguitu oron wo.
2c072200a2	Mii bexinlai Aijide zayalasanyi bi qinchude chanlawo. Hhela shonholosan shenqiiye sonosuwo. Bi hhelai jiuile bouzhewo. Ede ire, bi chii peizhi Aijide echighane.'"
2c072300d5	"Eneshi bexinla kien chii bijiende lindao, panjichen kun danlaghawo giezhi fandui giesan Musa wo. Ingieliuzhe Huda siderasan eghesun dunda qienxienyi tungo giezhi hhei peidene bexinlade noyen, jiuichen danlaghawo.
2c07240067	MusaAiji, Hunhai, hontande 40 nien olon fugie shiqin, ghudureqi giezhi bexinlai Aijise uduru khizhewo."
2c0725006c	"Eneshijiu Isilie kunlade 'Huda tai dundase bi mutun nie xienzhi khizheghane.' giezhi kieliesan hhe Musa wo.
2c072600c1	Ene Musa hontandedu Isilie kunlare hhantu wo. Mai xienrenghala hhantu Xinaishan jiere hhende kielien kieliesan qienxienyi tungo giezhi amin ogiku kielienyi jienliedene matande chonjizhi ogiwo."
2c0727005d	"Mai xienrenla hhei kielienyi ese chenliedene hhei tungu daoghazhi Aijide khareiku duralazho.
2c07280091	Hhela Hharunede kieliewo, 'Bijiende mo uduruku nigiedalani gie. Bijienyi Aijise uduru khizhesan Musa yan shiqin penji woshi bijien ulie mejiene.'
2c07290078	Ingie hhe shihoude hhela nie fughe giedene hhe nigiedade mure khughozhi goya khaghalane giesanlade beiizhi bayasunduzho.
2c072a00ef	Ingiese Huda hhelase likai giedene hhela asiman jieredu naran, sara, hodunlai beiise uye gonjizho. Zhen xienzhii shu jiere huaisan mutun, 'Isilie kunla, ta hontande 40 nien dunda zharusan ghoni fugheji pse ogisan mureshi made giesan pusho.
2c072b00ad	Ta qienliesanshi Molo nigiedani zhanfan wo, Lifan nigiedani hodun wo. Enelashi ta goyala beiine giezhi giesan nigiedala wo. Ingiese bi tai touzhi Babilun ghadane khighane.'"
2c072c007e	"Mai xienrenla hontande bikude ganzhen beiku zhanfan wine. Hheshi Huda Musade fenfuladene uzheghasan yanzi mutun gieghasan wo.
2c072d00a7	Mai xienrenla ene zhanfanyi jienliewo. Huda hhelai melie niman kunlai tou khighasan oronde hhela Yeshuyare hhantu zhanfanyi agi echizhi Dawude honshanni shihou kuruwo.
2c072e0070	Huda Dawudede orezho. Ingiese hhe Hudai xiahua giezhi Yagebui houdeilade Huda souku oron zhunbei giene giezhoma,
2c072f0026	Hudade giei beighasanshi Sulumane wo."
2c07300068	"Ingiezhoma, Zui Unduni Huda kun khaghalane giesan giede ulie soune. Xienzhi kieliesan kielien mutun wo,
2c07310077	Ezhan kieliewo, 'Asimanshi mii zowi wo. Zeminshi mii bandou wo. Ta made matui gie giene? Khalashi bi hhamuraku oron wo?
2c0732002c	Enelashi man bi khaghalane giesan pushonu?'"
2c0733007c	"Ta ene jianbanjin kunla, zhughe, chighindene hetoune ese giesan kunla. Ta xienrenlane mutun ibeizi Shenlinni fandui giezho.
2c07340093	Alinie xienzhilai tai xienrenla ese heiwo? Hhela nie gou kun irene giezhi melie kieliesan xienzhilai alawo. Ede ta hhe gou kunni ghudanduzhi alawo.
2c07350041	Ta qienxienla chonjizhi ogisan guijinni jienliedene ese zunjiwo."
2c07360049	Hhela ene kielienyi chenliedene Siqifande hende hokuzhi shidunne zhouzho.
2c07370077	Siqifande Shenlin duruzhi asimanyi xianxide uzhezhi Hudai fama, pse Ersa Hudai borun miende beisei chanladene kieliewo,
2c07380041	"Asiman keizhi Kunnikewon Hudai borun miende beisei bi chanlawo."
2c0739004c	Ingiese kunla chighinne duigha fugiede onghonozhi hhei melie chunji echidene
2c073a0097	hhei chenshi ghadane tungu khigha tashighala eghi qiiwo. Ganzhen beisan kunla jienne teidene nie Saolo giezhi urusan nasuchighan kunyi kon konde jiewo.
2c073b005d	Hhela tashighala eghikude Siqifan onxian giezhi kieliewo, "Ezhan Ersa, mii ruhherni jienlie!"
2c073c0068	Pse xiutuliezhi fugiede kieliewo, "Ezhan, ene zuini hhelade bu sougha!" Ene kielienyi kieliedene fuguwo.
2c0801009c	Siqifanyi alasande Saolo tunyi giewo. Ene uduse Yelusalenni jiohuii hende heizho. Shitulase chugo psedu tujila sandazhi Yudaya, Samaliyani go oronde echiwo.
2c0802004a	Niezhan xienliantu kunla Siqifanyi buladene hhende oluzhi fugiede wilazho.
2c0803005c	Saolo jiohuini heizhi jien kunlai giede orodene ere kun, biereilai bafanzide lai echi khawo.
2c0804003d	Hhe sandasan kunla gochude echizhi Hudai kielienyi chonjizho.
2c0805003b	FeiliSamaliyai chenshide echizhi kunlade Mexihai chonjizho.
2c0806006f	Olon kunla Feili kieliesan kielienyi chenliezhi giesan ghudureqii uzhedene man hhei kielienyi goude chenliezho.
2c08070078	Olon kunlai jierese zannan ruhherla fugiede nie onghonodene likai giewo. Pse olon tanhon giesan, dogholonlai goudaghawo.
2c0808002b	Ingiese hhe chenshii kunla hende bayasuzho.
2c08090077	Hhe chenshide nie kunyi nierei Ximun giene. Eqighanse baxi shuaizhi bi hen wo giezho. Samaliyai bexinlai ghaniraghazho.
2c080a0062	Bugon fugiei ganii man hhei daghazhi ene kunshi fugie nenlitu giezhi urusan Hudai nenli wo giezho.
2c080b0047	Hhela hhei chenliekushi hhe oloncha baxi shuaizhi hhelai ghaniraghazho.
2c080c0082	Ingiekude Feili hhelade Hudai gojiai gouxioxi, Ersa Mexihai nierei chonjise hhela xianxin giezhi ere kun, biereila xili jienliewo.
2c080d0091	Lien Ximunye xianxin giedene xili jienliewo. Hhe Feilighala chan hhantulazhi Feili giesan ghudureqi, fugie nenlitu shiqinlai uzhedene ghanirazho.
2c080e0080	Shitula Yelusalende bikude chenliese Samaliya kunla Hudai kielienyi jienliewo giese BeduruYaheiyaghalai hhelai hhende echighawo.
2c080f0045	Hheghala boudene hhelade Shenlinyi jienlieghane giezhi onxian giezho.
2c08100057	Shenlin kiemai jiere ese bouzhezho. Hhela zinie Ezhan Ersai niereghala xili jienliezho.
2c08110046	BeduruYaheiyaghala hhelai jiere khane teise hhela Shenlinyi jienliewo.
2c0812004c	Shitula khane teise Shenlin bouzhesei Ximun chanladene baerne hhelade ogizhi
2c08130068	kieliewo, "Ene nenlii madeye ogi. Bi kienyi jiere khane teizhi onxian giese kienye Shenlinyi jienliene."
2c08140070	Ingiese Beduru kieliewo, "Chi baerghalane hhantu fugule echi. Chi sumulase Huda ogiku nenjienni baerghala aginu?
2c08150040	Ene wiliede chade guzi uwo. Hudai melie chii zhughe donzhen uwo.
2c08160056	Chi ene doghunnii geizhi Ezhanni xiahua gie. Kenen chi zhughedene sumulasei mienliene.
2c08170043	Bi uzhese chii zhughede dubilieku olon wo, gou wini chii banlazho."
2c0818006f	Ingiese Ximun kieliewo, "Ta made oluzhi Ezhanni xiahua gie. Ingiese ta kieliesanla mii jiere nieda ulie irene."
2c0819008f	BeduruYaheiyaghala Ezhanyi kielienni kieliezhi ganzhen beidene Yelusalende khareiwo. Idou mo jiere Samaliyani go aghinlade gouxioxii chonjizho.
2c081a0088	Ingiekude Ezhanni qienxien Feilide kieliewo, "Chi bosidene nanbangiede yo. Yelusalense Jiasade bouku mo jiere echi." Hhe mo hontande wo.
2c081b00e5	Feili bosizhedene echise mo jiere nie Aisaiebiya kunyi chanlawo. Ene kunshi Aisaiebiya bierei honshan Gandajini kha douradu taijien wo. Hheshi bierei honshanni baerlai man gonjisan fugie noyen wo. Yelusalende libai giezhi irezho.
2c081c003e	Khareiku mo jiere mache souzhi xienzhi Isaiyai shuni onshizho.
2c081d0038	Shenlin Feilide kieliewo, "Chi gierudene chezii shigha."
2c081e006d	Feili holuzhi echise xienzhi Isaiyai shuni onshisei sonosuwo. Ingie hhende asawo, "Chi onshisanne dunjirenu?"
2c081f0071	Hhe kieliewo, "Mii kiema ese uduruzho, bi matugie dunjirene?" Ingie Feilii chezi jierene uru khirei hhantu souwo.
2c082000b3	Hhe onshisan jinwun jiere kieliezho, "Hhei ghoni zharuchen kun shida echiku ghoni mutun lai echiwo. Usun ghighachen kunni kha douradu qioqioji ghoni mutun hhe amanne ese angheiwo.
2c0821006b	Kunla hhei uru giezho, gundande ese panjiwo. Hhei aminni duyase agi echiwo. Kunlade kielieku houdeiye uwo."
2c08220088	Taijien Feilide kieliewo, "Bi nie asaye, xienzhi kieliesan ene kielienshi kienyi kieliezho? Goyane kieliezhou? Pse nie kunyi kieliezho?"
2c08230045	Feili ene jinwunse kaishi giezhi hhende Ersai gouxioxii jianji qiiwo.
2c0824007f	Hhela mo jiere yokude usu winetu oronde kuruwo. Taijien kieliewo, "Uzhe, enende usu wine. Bi enende xili jienliese ulie olunu?"
2c0826005e	Ingie fenfulazhi chezii beighadene Feili taijienghala usude bouzhi Feili hhende xili gieghawo.
2c0827006c	Ususe khizhese Ezhanyi Shenlin Feilii uduru yolawo. Taijien hhei chanla dawo. Ingiedene bayasuzhi mone yowo.
2c08280065	Ingie Feilii Yasodude chanlawo. Hhe yozhi go chenshilade gouxioxii chonjizhi izhi Kaisaliyade kuruwo.
2c0901005b	Saolo izhigie Ezhanyi tujilai alane giezhi ayighazho. Ingie zui fugie buwai hhende echidene
2c0902008e	Damashigeni go huitande echiku xinni kerewo. Ene daolini daghasan kunyi faxien giese bugon bierei ere kun barei Yelusalende lai echine giezho.
2c09030066	Saolo mo jiere yozhi Damashigede kurukude menzhali asiman jierese gonqi faizhi hhei simiende zhouizho.
2c0904006a	Ingie hhe zemin jiere fura bouwo. Sonususe nie shenqi hhende kieliewo, "Saolo! Saolo! Chi mii yale heine?"
2c09050041	Hhe kieliewo, "Ezhan, chishi kien wo?" "Bishi chi heisan Ersa wo.
2c09060044	Chi bosizhedene chenshide echi. Hhende matui giekui chade kieliene."
2c09070056	Hhantu yosan kunla shenqii sonosuzhoma kunni chanla dase beidene kielien kielie dazho.
2c09080066	Saolo zemin jierese bosise nudunne niewoma, yama chanla dane. Kunla hhei khase lai Damashigede echiwo.
2c09090032	Ghurudu chanla dadene yama ese ijiezhi ese ochiwo.
2c090a0093	Damashigede nie tuji wine. Niereini Yananiya giene. Ezhan zhoujin mutun xienjighazhi hhende kieliewo, "Yananiya." Hhe kieliewo, "Ezhan, matugiewo?"
2c090b009f	Ezhan hhende kieliewo, "Chi bosizhedene Dondonji giezhi urusan geidoude echizhi Yudai giede nie Dashu kunyi erei. Niereini Saolo giene. Hhe zhen onxian giezho.
2c090c005f	Hhe zhoujin mutun chanlase Yananiya giesan nie kun oro iredene hhei jiere khane teise goudawo."
2c090d0089	Ingiese Yananiya kieliewo, "Ezhan, bi sonosuse ene kun Yelusalende chii shentulade olon doghun shiqin giezho giezhi olon kunla kieliezho.
2c090e0054	Hhe pse fugie buwalase chii beiisan jien kunlai bareiku qienlii kere enende irezho."
2c090f0086	Ingiese Ezhan hhende kieliewo, "Chi echi. Hheshi niman kun, honshan, Isilie kunlade bi nierene chonjighane giezhi sunghusan rencai wo.
2c0910003b	Hhe mii nierede bixi olon ku shoukui bi hhende mejieghane."
2c091100d9	Ingiese Yananiya echidene hhei giede orowo. Khane Saoloi jiere teizhi kieliewo, "Saolo gaijiu, chi ireku mo jiere chade chujiegheghasan Ezhan Ersa mii ireghakushi chii pse chanlaghazhi chade Shenlin durughane giezho."
2c0912007e	Ingiese Saoloi nudun jierese deigo zhaghasun arasun mutun nie dunxi bou irese hhe chanlawo. Ingiedene bosi ire xili jienliewo.
2c0913004f	Ijiewuni ijiedene lilian orowo. SaoloDamashigeni tujilare hhantu giedudu souzhi
2c0914003c	deigo Ersashi Hudai kewon wo giezhi go huitanlade chonjizho.
2c091500c8	Jien ene kielienyi chenliesan kunla man ghaniradene kieliewo, "Ene kunshi Yelusalende Ersai beiisan kunlai heisan hhe kun pushonu? Hhe enende irezhi hhelai bareidene fugie buwalade ogine ese giezhou?"
2c0916006d	Saolode yebeiseye nenli olodozhi Ersashi Mexiha bikui zhenmin giese Damashigeni Yutai kunlai kielie beighawo.
2c09170041	Ezighancha daose Yutai kunla Saoloi alane giezhi shanlian giezho.
