2800000008	Matáayo
2c082100e0	Vakamuchwa matɨ na vakamʉsea nɨ mʉvɨ, maa kaa, yeeye sɨ abweeyya ʉvɨ wowoosi tʉkʉ. Kusiina mʉʉntʉ ˆarɨ daha lʉʉsɨkɨra masáare ya mbyaala yaachwe tʉkʉ. Sa kʉva mooyo kwaachwe, kwaseyyiwa aha weerwii.”
2c082200a8	Ʉra Mweesiópia akamuurya Filíipi, “Nooloomba wʉʉngyɨɨre masáare aya mʉláali na mʉtwe alʉʉsa sa ani? Nɨ sa yeeye mweeneevyo au sa mʉʉntʉ wɨɨngɨ?”
2c08230066	Hahara Filíipi akaanda na yayara Masáare ˆYarɨ Mpeho, akamʉvariyʉrɨra Masáare Maaja ya Yéesu.
2c082400b0	Mpɨɨndɨ ˆvayeendáa, vakafika haantʉ ˆkʉjáa na maaji. Ʉra Mweesiópia akamʉsea Filíipi, “Laanga! Maaji naaya aha. Che kɨrɨ kʉʉnkɨtɨra ndɨɨre batisiwa?” [
2c082500a0	Filíipi akamʉsea, “Koonɨ wooruma kwa mʉtɨma waako woosi daha ʉrɨ batisiwa.” Akamʉsea, “Narúmire, Yéesu Kirisitʉ nɨ Mwaana wa Mʉlʉʉngʉ.”]
2c08260075	Hara ʉra Mweesiópia akalairirya gáari yaachwe yiimiwe, vakakiima, vakɨɨngɨra luujii, maa Filíipi akamʉbatisa.
2c082700aa	ˆVakafume vii luujii, hahara, Mʉtɨma wa Ijʉva ʉkamʉsʉmʉla Filíipi, na ʉra Mweesiópia sɨ amoona kei tʉkʉ. Akatuuba lʉyeendo lwaachwe kʉnʉ arɨ na cheerʉ.
2c0828009a	Filíipi ne akiishaana arɨ múujii wa Asóoto. Akatweera míiji yoosi ɨrɨ njirii kʉnʉ yoovariyʉla Masáare Maaja mpaka akafika múujii wa Kaisaría.
2c090100a2	Mpɨɨndɨ ijo, Saúli ajáa atuuba kʉvavuumba vaantʉ ˆvamuruma Yéesu Mweenevyoosi. Yeeye asaakáa avamale imalo. Aho, akadoma na kwa mweeneɨsɨ mʉkʉʉlʉ,
2c090200ea	noo loomba barʉ́wa sa akataangwe ʉko masinagóogii ya Damésiki. Barʉ́wa ijo, jamʉheeráa ngururu yo vakwaata no vachuunga vaantʉ valʉme na vaantʉ vaki vara ˆvaruma Njɨra ya Yéesu Mweenevyoosi sa avatwaale na Yerusaléemu.
2c09030093	Aho, akakwaata njɨra yo doma na Damésiki. ˆAkasengerere Damésiki, koonka kɨweerʉ kɨkʉʉlʉ fuma kurumwii kɨkamʉmʉrɨka fuma kɨra ivaru.
2c09040067	Haaho akawya na ɨsɨ na akateera sawúti yookaanɨrɨra, “Saúli, Saúli sa che wookuunturikirya?”
2c09050087	Saúli akasea, “Aaɨ Mʉkʉ́lʉ, ʉrɨ ani weewe?” Na ɨra sawúti ɨkamʉsea, “Nɨɨnɨ ndɨrɨ Yéesu. Weewe wookuunturikirya.
2c09060066	Ɨma, ʉtamanye na múujii, ʉko wyɨɨrwa ʉrɨ nɨ mʉʉntʉ ʉmwɨ ˆcheene woosaakwa ʉbweeyye.”
2c090700a6	Vaantʉ ˆayeendanʼyáa novo vajáa viímire kimi kʉnʉ vahwáalɨɨre, sa baa voovo vajáa vatéɨɨre ɨyo sawúti, maa kaa, sɨ vamoona mʉʉntʉ yoyoosi tʉkʉ.
2c09080096	Hara, Saúli akiinʉka, akasaaka kʉnʉkʉla miiso baa koona kɨɨntʉ tʉkʉ. Vara viivaachwe vakamʉkwaata mʉkono vakamʉtwaala fʉʉrʉ Damésiki.
2c09090070	Saúli iikala ʉko kwa sikʉ itatʉ baa koona tʉkʉ. Mpɨɨndɨ ijo, sɨ arijáa baa noo nywa kɨɨntʉ tʉkʉ.
2c090a00de	Ʉko Damésiki kʉjáa kwatɨɨte mʉʉntʉ ʉmwɨ ˆamuruma Yéesu ˆasewáa Ananía. Yéesu Mweenevyoosi ajáa amwáanɨrɨɨre Ananía njorii akamʉsea, “Ananía!” Ne akamʉsea, “Mweenevyoosi, nɨɨnɨ nʉ aha!”
2c090b00d8	Mweenevyoosi akamʉsea, “Tamanya fʉʉrʉ njɨra ɨra ˆyaséwaa Njɨra ˆYawoloka. Aho, nyuumbii ya Yʉ́ʉda, wuurikirirye mʉʉntʉ ʉmwɨ fuma Társo irina raachwe Saúli. Haaha nɨ mʉloomba iise Mʉlʉʉngʉ,
2c090c008d	na ɨɨ́ne njori. Ʉko njorii amwɨɨ́ne mʉʉntʉ ˆasewáa Ananía yookɨɨngɨra na nyuumbii na amʉvɨ́kɨɨre mɨkono sa oone kei.”
2c090d00a9	Maa kaa, Ananía akamʉsea, “Ee Mweenevyoosi, nateera kwa vaantʉ ˆvarɨ foo ˆvyeene ʉhʉ Saúli avatʉmamɨra viintʉ vɨvɨ vaantʉ vaako vaaja ʉko Yerusaléemu.
2c090e0087	Haaha amwaarɨ aha arɨ na wiimiriri fuma kwa vakʉ́ʉ́lʉ va veeneɨsɨ va Ijʉva wo kwaata vaantʉ voosi ˆvariruma irina raako.”
2c090f00e3	Maa kaa, Mweenevyoosi akamʉsea Ananía, “Weewe doma! Ʉhʉ mʉʉntʉ nɨɨnɨ namʉsáawɨɨre ave mʉtʉmami waanɨ. Yeeye kweenerya arɨ irina raanɨ kwa vaantʉ sɨ ˆvarɨ Vayahúudi, kwa vatemi, baa na kwa Viisiraéeli.
2c09100063	Nɨɨnɨ mweeneevyo kʉmʉlaɨra ndɨrɨ ˆvyeene arɨ turikiriwa maatʉkʉ vii sa irina raanɨ.”
2c09110117	Hara Ananía akadoma, akɨɨngɨra nyuumba kʉʉntʉ ˆajáa Saúli. Akamʉvɨkɨra mɨkono akamʉsea, “Saúli mwanawiitʉ, Yéesu Mweenevyoosi aantúmire kwaako, waande koona, ʉmʉhokere Mʉtɨma Mʉʉja. Ʉhʉ Yéesu noo akʉfʉmɨra kʉra njirii kati ˆwʉʉjáa na aha.”
2c0912006d	Koonka, viintʉ ˆviri ja majʉla vikawya fuma miiswii ya Saúli, akaanda koona. Aho, akiinʉka, akabatisiwa.
2c09130094	ˆAkahʉmʉle kurya chákurya, maa akava na ngururu kei. Saúli iikalakala ʉko Damésiki, na mpɨɨndɨ ijo nɨ na vaantʉ ˆvamuruma Yéesu ajáa.
2c0914005e	Hahara, akaanda doma na masinagóogii, na akaanda variyʉla Yéesu nɨ Mwaana wa Mʉlʉʉngʉ.
2c0915017f	Vaantʉ voosi ˆvateereráa ʉvariyuli waachwe ʉwo, vahwaalaláa maatʉkʉ vii. Viiyuryáa voosea, “Eri, ʉhʉ sɨ noo ʉra mʉʉntʉ ˆavaturikiryáa mʉnʉmʉʉnʉ vaantʉ ˆvamuruma Yéesu ʉko Yerusaléemu tʉkʉ wʉʉ? Eri, ˆchamʉreeta na aha sɨ joo kwaata vaantʉ ˆvamuruma Yéesu aha Damésiki sa avatwaale na kwa vakʉ́ʉ́lʉ va veeneɨsɨ va Ijʉva tʉkʉ wʉʉ?”
2c091600bb	Maa kaa, Saúli akava yookiitema mʉnʉmʉʉnʉ, yeeye avavariyʉrɨráa Vayahúudi ˆviikaláa Damésiki, ko tweera Masáare ˆYarɨ Mpeho Yéesu noo Masía na sɨ vadaháa siita tʉkʉ.
2c09170051	Mpɨɨndɨ ˆjikalooke, Vayahúudi vakatʉʉnga mʉryʉʉngʉ wo mʉʉlaa Saúli.
2c0918008f	Vakaanda kumugiida mɨryaangwii ya ʉra múuji uchikʉ na muusi sa vamʉʉlae. Maa kaa, mʉryʉʉngʉ waavo wo mʉʉlaa ʉkamʉfɨkɨra Saúli.
2c091900b8	Sa jeyyo, nuuchikʉ vapooji vaachwe vakamʉvɨkɨra kɨkápwii kɨkʉʉlʉ, vakamukiimya na ɨsɨ na ludihi ko tweera na chooririi ˆcheene kɨjáa lʉkaandii lwa múuji, maa akalooka.
2c091a00bc	Saúli ˆakafike Yerusaléemu, akiisompyasompya kʉsaangɨra na vaantʉ ˆvamuruma Yéesu. Vaantʉ voosi ˆvamuruma Yéesu vakamoofa, sa sɨ varumáa koonɨ ajáa amurúmire Yéesu tʉkʉ.
2c091b0129	Maa kaa, Barinába akamʉtwaala Saúli na kwa vatumwi va Yéesu. Akavawyɨɨra ˆvyeene Saúli ajáa amoona Mweenevyoosi njirii yoodoma na Damésiki na ˆvyeene Mweenevyoosi amuwyɨɨra. Kei, akavawyɨɨra ˆvyeene Saúli avavariyʉrɨráa vaantʉ Masáare ˆYarɨ Mpeho ko kiitema ʉko Damésiki.
2c091c00a7	Sa jeyyo, Saúli akiikala hamwɨ novo. Ɨndoorɨɨngɨrɨra novo ʉko Yerusaléemu, kʉnʉ yoovavariyʉrɨra vaantʉ kwa irina ra Yéesu Mweenevyoosi baa woowa tʉkʉ.
2c091d0075	Alʉʉsɨkáa no kwiiruta ndihi na Vayahúudi ˆveene valʉʉsɨkáa Kɨgiríki, maa kaa, voovo vasaakáa vamʉʉlae.
2c091e0098	Maa kaa, vaaniitʉ ˆvakataange ayo, vakamʉsʉmʉla, vakamʉtwaala na múujii wa Kaisaría, maa vakamʉtʉma atamanye na kwaavo ʉko múujii wa Társo.
2c091f00fe	Mpɨɨndɨ ijo, mpuka ya vaantʉ ˆvamuruma Yéesu vajáa viikala mwiikalo mʉʉja ɨsɨ yoosi ya Yudéea, Galiláaya, na Samaría. Vajáa vakɨɨngɨka, vajáa vadoma na mbere, na Mʉtɨma Mʉʉja ajáa avaheera mʉtɨma. Kei vamʉnyemyáa Mweenevyoosi.
2c09200090	Mpɨɨndɨ ijo, Peéteri arɨɨngɨrɨráa ʉko nooko, akadoma fʉʉrʉ múuji wa Líida sa avaluumbye vaantʉ va Mʉlʉʉngʉ ˆviikaláa ʉko.
2c09210085	Ʉko Líida akamʉshaana mʉʉntʉ ʉmwɨ ˆasewáa Ainéea. Ʉhʉ ajáa aakwya iyandiyandi kwa myaaka ɨnaanɨ na alaala ndirii vii.
2c09220079	Peéteri akamʉsea, “Ainéea, Yéesu Kirisitʉ akʉhóriirye. Inʉka! Fota ndɨrɨ yaako.” Koonka, Ainéea akiinʉka.
2c09230080	Vaantʉ voosi ˆviikaláa ʉko múuji wa Líida na nyika yoosi ya Sharóoni ˆvakamoone Ainéea, vakamuruma Yéesu Mweenevyoosi.
2c092400ea	Ʉko múuji wa Yóopa, kʉjáa kwatɨɨte mwaana muki ʉmwɨ ˆajáa amuruma Yéesu irina raachwe noo Tabíita asewáa, noo kʉsea Dorikáasi na Kɨgiríki. Dorikáasi avaambiriryáa vakɨva na avabweeyyiryáa vaantʉ vɨɨngɨ vaaja.
2c0925009b	Mpɨɨndɨ ijo Peéteri ˆajáa ʉko, Dorikáasi ajáa alwaala, maa akawulala. Vaantʉ vakamooyya, vakamʉlaarya, maa vakamʉvɨɨka chúumba cha gorófii.
2c09260110	Na sa viintʉ múuji wa Líida ʉjáa heehi na Yóopa, vaantʉ ˆvamuruma Yéesu vakateera Peéteri amwaarɨ Líida. Sa jeyyo, vakavatʉma vaantʉ vavɨrɨ vakamwaanɨrɨre. Vakavasea, vakamʉsee jei, “Tooloomba wʉʉje chaangʉ na mɨɨtʉ, karɨ ʉchérevaa tʉkʉ.”
2c0927011f	Aho, maa Peéteri akatamanyanʼya novo. ˆVakafike Yóopa, vakamʉtwaala Peéteri na kʉra chúumba cha gorófii. Ʉko, valala ˆvarɨ foo vakaanda kʉmʉrɨɨngɨrɨra Peéteri kʉnʉ voomʉrɨrɨra no mʉlaɨra Peéteri ɨngo ˆngʼeene Dorikáasi avachʉmɨra kati ˆajáa arɨ mooyo.
2c092800db	Peéteri akavaseyya voosi na weerwii, akachwaama, akamʉloomba Mʉlʉʉngʉ. Hara akʉʉlaanga ʉra mʉvɨrɨ, maa akasea, “Tabíita, inʉka!” Tabíita akakʉnʉkʉla miiso yaachwe, na ˆakamoone Peéteri, akiikala.
2c092900a5	Peéteri akamʉkwaata mʉkono, maa akamwaambirirya kwɨɨma. Akavaanɨrɨra vara valala, na vaantʉ vɨɨngɨ ˆvamuruma Yéesu, maa akavalaɨra Tabíita arɨ mooyo.
2c092a0063	Masáare aya yakeenera múujii woosi wa Yóopa, vaantʉ ˆvarɨ foo vakamuruma Yéesu Mweenevyoosi.
2c092b0091	Peéteri akiikala ʉko Yóopa kwa sikʉ ˆjiri foo na kʉʉntʉ ˆɨkaláa nɨ kwa mʉʉntʉ ˆaséwaa Simóoni ˆmweene aténgeneshaa mɨmberʉ.
2c0a0100d0	Ʉko múujii wa Kaisaría, kʉjáa kwatɨɨte mʉkʉ́ʉ́lʉ wa valwi nkoondo ʉmwɨ ˆasewáa Kornéeli. Ʉhʉ ɨɨmɨrɨráa valʉkalʉka fuma mpuka nkʉʉlʉ ya valʉkalʉka ˆyasewáa Mpuka ya Kiitalía.
2c0a0200b9	Kornéeli nɨ mʉʉntʉ mʉʉja ajáa, na amʉnyemyáa Mʉlʉʉngʉ hamwɨ na vaantʉ voosi va kaaya yaachwe. Yeeye amʉloombáa Mʉlʉʉngʉ mpɨɨndɨ joosi na avaambiriryáa vakɨva.
2c0a03009b	Sikʉ ɨmwɨ mpɨɨndɨ ja cháámuusi, akoona njori. Aho njorii akoona murimʉ mʉʉja wa Mʉlʉʉngʉ woomwaanɨrɨra kwa irina raachwe, “Kornéeli!”
2c0a04010d	Kornéeli akʉʉlaanga ʉra murimʉ mʉʉja na woowa, maa akuurya, “Ee aaɨ nɨ che?” Murimʉ mʉʉja ʉkamʉsea, “Mʉlʉʉngʉ atéɨɨre kʉloomba kwaako na ɨɨ́ne ˆvyeene ʉvaambɨráa vakɨva. Ivyo vyoosi vyafíkire kwa Mʉlʉʉngʉ na vikʉmbʉkɨra iise.
2c0a050082	Haaha, tʉma vaantʉ vatamanye na múujii wa Yóopa, sa vakamʉreete mʉʉntʉ ʉmwɨ ˆaséwaa Simóoni irina rɨɨngɨ Peéteri.
2c0a060077	Kʉʉntʉ ˆyookiikala nɨ kwa Simóoni mʉtengeneshi wa ndɨrɨ. Nyuumba yaachwe nɨ mbarɨmbarɨ ya mayɨya ɨrɨ.”
2c0a0700b5	Murimʉ mʉʉja ˆʉkahʉmʉle kumuwyɨɨra Kornéeli ayo masáare, maa ʉkalooka. Aho, maa akavaanɨrɨra vatʉmami vaachwe vavɨrɨ na mulwi nkoondo ʉmwɨ ˆmweene ajáa mʉʉja.
2c0a080050	Akavawyɨɨra yoosi ˆyajáa yamʉfʉ́mɨɨre, maa akavatʉma vadome na Yóopa.
2c0a0900c6	Sikʉ ya kavɨrɨ mpɨɨndɨ ja mpoloonge, vaantʉ ˆveene Kornéeli ajáa avatʉma vakava vaséngerɨɨre Yóopa. Mpɨɨndɨ yɨɨyo, Peéteri ne akaambʉka na ikekeerii noo mʉloomba Mʉlʉʉngʉ.
2c0a0a0077	Mpɨɨndɨ ˆasaaryáa, njala ɨkamwaava mʉnʉmʉʉnʉ. Maa kaa, mpɨɨndɨ chóorya ˆchiimiwáa neeja, akoona njori.
2c0a0b008e	Aho njorii, akoona kurumu kwayúurikire, na kɨɨntʉ ja lweénda lʉkʉlʉkʉʉlʉ ˆlwakwáatirwe makondowa yoosi lʉkakiima fʉʉrʉ ɨsɨ.
2c0a0c0090	Isii ya ʉlo lweénda, kʉjáa kwatɨɨte maka ja kɨra ivala. Kʉjáa kwatɨɨte maka ˆjiri na mawʉlʉ yanɨ, viintʉ ˆvitámbaalaa na ndee.
2c0a0d004a	Aho, akateera sawúti yoomʉsea, “Peéteri, inʉka, ʉsɨɨnje, urye.”
2c0a0e008e	Maa kaa, Peéteri akamʉsea, “Ee Mweenevyoosi, tʉkʉ! Nɨɨnɨ sɨ nɨnaarya baa kamudu vii tʉkʉ kɨɨntʉ chochoosi ˆkɨrɨ na njeo.”
2c0a0f006e	Kei ɨyo sawúti ɨkamʉsea lwa kavɨrɨ, “Kuvisea viintʉ ˆavijirʉla Mʉlʉʉngʉ viri na njeo tʉkʉ.”
2c0a10004f	Ivi vijáa vyafʉmɨra katatʉ, maa lʉra lweénda lʉkahɨndʉlwa na kurumwii.
2c0a1100be	Mpɨɨndɨ Peéteri ˆajáa akaarɨ ahwáalɨɨre, vaantʉ vara ˆvajáa vatúmirwe nɨ Kornéeli vakuurikirirya ɨra nyuumba ya Simóoni, maa vakɨɨtaanga. Aho, maa vakɨɨma mʉryaangwii.
2c0a120073	Vakaluumbya, maa vakuurya, “Eri, aha kwatɨɨte mʉyeni ˆaséwaa Simóoni, na irina rɨɨngɨ Peéteri wʉʉ?”
2c0a13008f	Na mpɨɨndɨ Peéteri ˆiiririkanáa ɨra njori, Mʉtɨma Mʉʉja akamʉsea, “Simóoni, ʉko ɨsɨ vamwaarɨ vaantʉ vatatʉ vookʉsaakɨra.
2c0a14006c	Kiima na ɨsɨ na ʉdomanʼye novo. Kʉva na kivundu tʉkʉ, nɨ nɨɨnɨ mweeneevyo nɨvatúmire kwaako.”
2c0a150070	Aho, Peéteri akakiima na ɨsɨ, maa akavasea, “Nɨɨnɨ noo ˆmweene mookʉʉnsaakɨra. Che kɨvaréetire?”
2c0a160129	Vakamʉsea, “Mʉkʉ́ʉ́lʉ ʉmwɨ wa valwi nkoondo atutúmire. Irina raachwe noo Kornéeli aséwaa. Yeeye nɨ mʉwoloki na amʉnyémyaa Mʉlʉʉngʉ na Vayahúudi voosi vamʉdʉ́ʉmbaa. Haaha murimʉ mʉʉja wamʉsea, akʉteengye na kaayii kwaachwe na ateerere masáare ˆʉrɨ muwyɨɨra.”
2c0a1700a1	Aho, maa Peéteri akavateengya na nyuumbii, vave vayeni vaachwe. Lomʉtóondo yaachwe, Peéteri akiinʉkanʼya na vara vayeni na vamwɨ va vaaniitʉ fuma Yóopa.
2c0a180087	Kukyɨɨre yaachwe, vakafika Kaisaría. Kʉra vakamʉshaana Kornéeli avajíingire vandʉʉ vaachwe na vijeengi vyaachwe, yoovawoojera.
2c0a190088	Peéteri ˆakɨɨngɨre vii kaayii kwa Kornéeli, maa Kornéeli akɨɨta noo musingirirya, akachwaama mbere yaachwe, maa akamwiinamɨra.
2c0a1a0060	Maa kaa, Peéteri akamwiimya, kʉnʉ yoomʉsea, “Ɨma, nɨɨnɨ ndɨrɨ mʉʉntʉ ja weewe.”
2c0a1b0074	Aho, Kornéeli akɨɨma, vakaanda lʉʉsɨka hamwɨ, maa vakɨɨngɨra na nyuumbii, vakashaana vaantʉ viijíingire.
2c0a1c010e	Aho, Peéteri akavasea, “Nyuunyu veeneevyo mwamányire, suusu Vayahúudi Miiro yiiswi yakaanʼya ko valuumbya vaantʉ sɨ ˆvarɨ Vayahúudi baa kʉsaangɨrɨra novo. Maa kaa, Mʉlʉʉngʉ aankáaniirye ndeke kʉmʉlaanga mʉʉntʉ wɨɨngɨ yoyoosi ja ˆarɨ na njeo.
2c0a1d00a0	Noo ˆchooreka sɨ nasiitiré kʉʉja mpɨɨndɨ ˆʉkavatʉme vaantʉ na kwaanɨ jɨ vaandeete na aha. Haaha nɨ kuvuurya niise, sa che mʉʉnyánɨrɨɨre?”
2c0a1e00e2	Kornéeli akamʉsea, “Jalóokire sikʉ ine keende mpɨɨndɨ ɨra ˆnamʉlóombaa Mʉlʉʉngʉ aha nyuumbii, mpɨɨndɨ ja iji ja cháámuusi. Koonka, noona mʉʉntʉ iímire mbere yaanɨ iivɨ́kɨɨre ɨngo ˆjilavalaváa.
2c0a1f0091	Ʉhʉ mʉʉntʉ aansea, ‘Kornéeli! Kʉlʉʉsɨka kwaako Mʉlʉʉngʉ akʉtéɨɨre na kʉvaambirirya kwaako vakɨva, Mʉlʉʉngʉ akwɨɨ́ne.
2c0a2000ee	Haaha, tʉma vaantʉ vadome vakamwaanɨrɨre Simóoni ˆvamʉséaa Peéteri. Ʉhʉ iíkalaa Yóopa kwa mʉʉntʉ ʉmwɨ irina raachwe Simóoni ˆmweene aténgeneshaa ndɨrɨ. Nyuumba ya ʉhʉ Simóoni nɨ mbarɨmbarɨ ya mayɨya ɨrɨ.’
2c0a2100f8	Aya noo yaambweeyyiiryé ntʉme chaangʉ vaantʉ jɨ vakwaanɨrɨre, na weewe wabwéeyyiirye vyabooha viintʉ ˆwuújire. Haaha suusu voosi nɨ mbere ya Mʉlʉʉngʉ tʉrɨ, toowoojera kʉteera masáare Mweenevyoosi ˆakʉláiriirye utuwyɨɨre.”
2c0a22006a	Aho, maa Peéteri akavasea, “Haaha natáangire, nɨ kɨkomi Mʉlʉʉngʉ sɨ asínanalaa vaantʉ tʉkʉ.
2c0a230063	Yeeye avarúmaa vaantʉ va kɨra ɨsɨ ˆveene vamʉnyémyaa na vabwéeyyaa ʉwoloki mbere jaachwe.
2c0a2400bc	Nyuunyu mwamányire, Mʉlʉʉngʉ atʉma vaantʉ vaachwe kʉvavariyʉrɨra ViisiraéeliMasáare Maaja, vapate mwiikalo mʉʉja kwa njɨra ya YéesuKirisitʉ, Mweenevyoosi wa vaantʉ voosi.
2c0a250083	Mwamányire yara ˆyafʉ́mɨɨre Yudéea yoosi, kwaandɨra Galiláaya mpɨɨndɨ Yooháani ˆavavariyʉrɨráa vaantʉ vabatisiwe.
2c0a260121	Mwamányire ˆvyeene Mʉlʉʉngʉ amʉhaka makuta Yéesu wa Nasaréeti ko mʉheera Mʉtɨma Mʉʉja na lʉvɨro. Yéesu adomáa ʉko na ʉko, yoobweeyya maaja no horya vaantʉ voosi ˆveene vaturikiriwáa nɨ ngururu ya Ikʉ́ʉ́lʉ ra Mirimʉ Mɨvɨ, sa Mʉlʉʉngʉ nɨ hamwɨ ajáa ne.
2c0a2700b2	Ayo yoosi Yéesu ayatʉmamáa ʉko ɨsɨ ya Vayahúudi na Yerusaléemu múujii, na suusu tʉrɨ vara ˆvoona. Mpɨɨndɨ ˆjikalooke, vakamʉʉlaa ko muningʼinʼya mʉsaláabii.
2c0a280051	Maa kaa, sikʉ ya katatʉ Mʉlʉʉngʉ akamʉfʉfʉla na akamoonekya kwa vaantʉ.
2c0a29009d	Sɨ oonekana kwa kɨra mʉʉntʉ tʉkʉ, maa kaa, kʉrɨ suusu Mʉlʉʉngʉ ˆajáa atʉsaawʉla tʉve vara ˆvoona. Suusu twaarya, no nywa ne ˆakafʉfʉke.
2c0a2a00a3	Akatʉlairirya tʉvavariyʉrɨre vaantʉ Masáare Maaja, na toonekye kɨkomi yeeye noo avɨɨkwa nɨ Mʉlʉʉngʉ avalamʉrɨre vaantʉ ˆvarɨ mooyo na ˆvaakwya.
2c0a2b00a0	Ʉhʉ Yéesu valáali na mʉtwe voosi voonekya ʉkʉ́ʉ́lʉ waachwe, vakasea, mʉʉntʉ yoyoosi ˆarɨ kumuruma ʉvɨ waachwe sira ʉrɨ kwa irina raachwe.”
2c0a2c0088	Kati Peéteri ˆavijáa akaarɨ yoolʉʉsɨka ayo, vaantʉ voosi ˆvajáa aho vooyateerera ayo masáare, Mʉtɨma Mʉʉja akavakiimɨra.
2c0a2d00a5	Vayahúudi ˆvajáa vamuruma Yéesu vara ˆvajáa vʉʉjanʼya na Peéteri, vakahwaalala koona vaantʉ sɨ ˆvarɨ Vayahúudi novo vookiimɨrwa nɨ Mʉtɨma Mʉʉja.
2c0a2e007e	Voovo vajáa vavatéɨɨre voolʉʉsɨka kwa ndʉʉsɨka ˆjiísimiresimire voomʉdʉʉmba Mʉlʉʉngʉ. Aho, Peéteri akasea,
2c0a2f008e	“Vaantʉ ava, novo vamʉhókɨɨre Mʉtɨma Mʉʉja ja ˆvyeene suusu tamʉhokera. Nɨ ani ˆarɨ daha siita vadɨɨre batisiwa na maaji?”
2c0a300091	Haaho Peéteri akalairirya Kornéeli na viivaachwe vabatisiwe kwa irina ra Yéesu Kirisitʉ. Maa reerʉ, vakamʉloomba iikale novo kwa sikʉ nke.
2c0b010088	Haaha, vatumwi na vaaniitʉ vara ˆviikaláa Yudéea, vakateera vaantʉ sɨ ˆvarɨ Vayahúudi novo varirúmire isáare ra Mʉlʉʉngʉ.
2c0b02005f	Peéteri ˆakahɨndʉke na Yerusaléemu, maa vara Vayahúudi vakaanda mʉngʼʉʉrɨra Peéteri
2c0b030068	voomʉsea, “Weewe wɨɨngɨɨré nyuumbii ya vaantʉ sɨ ˆvanatwaalwa na kɨbawii na ʉkarya novo!”
2c0b040047	Aho, Peéteri akavawyɨɨra pusu masáare yoosi ˆyafʉmɨra, yoovasea,
2c0b0500e1	“Sikʉ ɨmwɨ kati ˆnɨjáa múujii Yóopa noomʉloomba Mʉlʉʉngʉ, nɨjáa noona kɨɨntʉ ja lweénda lʉkʉʉlʉ, lookiimiwa na ɨsɨ fuma kurumwii lwakwáatirwe makondowa yoosi, maa lʉkavɨɨkwa mbarɨmbarɨ yaanɨ.
2c0b060086	ˆNkalaange kʉra isii, nkoona kʉrɨ na maka ja isaka, maka ˆjiri na mawʉlʉ yanɨ, viintʉ ˆvitámbaalaa na ndee ˆjiwʉ́lʉkaa.
2c0b07004d	Aho, nkateera sawúti yookʉʉnsea, ‘Peéteri, inʉka, ʉsɨɨnje, urye!’
2c0b08006f	Maa kaa, nɨɨnɨ nkasea, ‘Ee Mweenevyoosi tʉkʉ! Laanga sɨ nɨnaarya kɨɨntʉ ˆkɨrɨ na njeo tʉkʉ!’
2c0b09008e	Maa kaa, ɨra sawúti fuma kurumwii ɨkaansea kei, ‘Kɨɨntʉ chochoosi ˆakijirʉla Mʉlʉʉngʉ, kʉchaanɨrɨra kɨrɨ na njeo tʉkʉ.’
2c0b0a0052	Masáare aya yafʉmɨra katatʉ, aho, maa ivyo viintʉ vikahɨndʉlwa na kurumwii.
2c0b0b005c	Hahara, vaantʉ vatatʉ ˆvajáa vatúmirwe Kaisaría, vakafika nyuumba haantʉ ˆniikaláa.
2c0b0c0096	Na Mʉtɨma Mʉʉja akaangwyɨɨra ndomanʼye novo baa kivundu tʉkʉ. Ava vaaniitʉ vasasatʉ nadomanʼya novo, na twɨɨngɨra kaayii kwa Kornéeli.
2c0b0d00c6	Ne Kornéeli atuwyɨɨra ˆvyeene murimʉ mʉʉja wamʉfʉmɨra aho kaayii kwaachwe. Ʉwo murimʉ mʉʉja wamʉsea, ‘Vatʉme vaantʉ vadome na Yóopa, vakamwaanɨrɨre Simóoni ˆaséwaa Peéteri.
2c0b0e005e	Yeeye kʉretera arɨ masáare ˆyarɨ kʉlamurirya weewe na vaantʉ voosi va nyuumba yaako.’
2c0b0f0075	Naanɨ ˆnkaande lʉʉsɨka novo, Mʉtɨma Mʉʉja akakiima mweeri yaavo ja ˆvyeene atʉkɨɨmɨra suusu aho ncholo.
2c0b1000ab	Naanɨ nkakʉmbʉkɨra rɨra isáare Yéesu Mweenevyoosi ˆatuwyɨɨra, ‘Yooháani avabatisáa vaantʉ na maaji, maa kaa, nyuunyu batisiwa mʉrɨ na Mʉtɨma Mʉʉja.’
2c0b1100da	Haaha koonɨ Mʉlʉʉngʉ avaheera vaantʉ ava wʉʉya wa Mʉtɨma Mʉʉja ʉra ˆatʉheera suusu ˆtamuruma Yéesu Kirisitʉ Mweenevyoosi, nɨɨnɨ ndɨrɨ ani mpaka niiririkane daha ndɨrɨ kumusiita Mʉlʉʉngʉ?”
2c0b12011c	Vayahúudi ˆvakateere ayo, maa vakareka kwiiruta ndihi. Vakamʉbweeyyirya Mʉlʉʉngʉ nkongojima voosea, “Kʉmba Mʉlʉʉngʉ avaheera baa vaantʉ sɨ ˆvarɨ Vayahúudi njɨra ˆɨrɨ vabweeyya vadahe kʉvalandʉka fuma uvii waavo, na vapate nkaasʉ ya sikʉ ˆjisiina ʉhero!”
