010000000c	ԾՆՆԴՈՑ
29062700b7	Ասաց նրանց. «Քանի՞ նկանակ ունէք, գնացէք տեսէ՛ք»: Երբ իմացան, նրան ասացին. «Հինգ նկանակ եւ երկու ձուկ»:
290628006a	Եւ նա հրամայեց խումբ-խումբ նստեցնել նրանց դալար խոտի վրայ:
290629005e	Եւ դաս-դաս նստեցին, տեղ-տեղ՝ հարիւր, տեղ-տեղ՝ յիսուն:
29062a013d	Եւ նա վերցնելով հինգ նկանակը եւ երկու ձկները՝ նայեց դէպի երկինք, օրհնեց, մանրեց նկանակները եւ տուեց աշակերտներին, որպէսզի դնեն նրանց առաջ: Եւ երկու ձկներն էլ բաժանեց բոլորին:
29062b001e	Կերան եւ յագեցան
29062c007c	եւ տասներկու սակառ լիքը կտորտանքները վերցրին, ինչպէս նաեւ՝ ձկներից:
29062d004c	Եւ նրանք որ կերան, մօտ հինգ հազար հոգի էին:
29062e0106	Իսկոյն եւեթ Յիսուս շտապեցրեց աշակերտներին, որ նաւակ մտնեն եւ իրենից առաջ գնան հանդիպակաց կողմը՝ դէպի Բեթսայիդա, մինչեւ ինքը ժողովրդին արձակէր:
29062f005f	Եւ բաժանուելով նրանցից՝ լեռ բարձրացաւ աղօթք անելու:
2906300075	Երբ երեկոյ եղաւ, նաւակը ծովի մէջտեղում էր, իսկ ինքը՝ ցամաքի վրայ:
290631015e	Եւ տեսաւ նրանց, որ հողմակոծ էին լինում թիավարելիս, որովհետեւ քամին նրանց հակառակ կողմից էր. գիշերուայ ուշ ժամին նա գալիս էր նրանց մօտ՝ ծովի վրայ քայլելով, եւ ուզում էր նրանցից առաջ անցնել գնալ:
29063200a2	Երբ նրանք տեսան, որ քայլում է ծովի վրայ, կարծեցին, թէ մի ուրուական է, եւ աղաղակ բարձրացրին,
29063300d7	որովհետեւ ամէնքը տեսան նրան եւ խռովուեցին: Եւ նա իսկոյն խօսեց նրանց հետ ու ասաց. «Քաջալերուեցէ՛ք, ե՛ս եմ, մի՛ վախեցէք»:
29063400d5	Եւ նա նաւակ բարձրացաւ նրանց մօտ, եւ քամին դադարեց: Եւ նրանք առաւել եւս ապշել էին իրենց մտքում ու սաստիկ զարմանում էին,
29063500a5	քանի որ մտքները բթացած լինելով՝ չէին հասկացել նաեւ այն, ինչ վերաբերում էր հացի բազմացմանը:
2906360058	Երբ դիմացի կողմն անցան, Գեննեսարէթի ցամաքը ելան:
2906370078	Եւ երբ նաւակից դուրս ելան, տեղի մարդիկ իսկոյն եւեթ նրան ճանաչեցին:
290638022f	Եւ ամբողջ գաւառում այս ու այն կողմ վազելով՝ սկսեցին մահիճներով հիւանդներ բերել այնտեղ, ուր լսում էին, թէ նա գտնւում է: Եւ ուր որ մտնում էր՝ գիւղեր, քաղաքներ թէ ագարակներ, հրապարակներում դնում էին ախտերով տառապողներին եւ աղաչում նրան, որ գոնէ իր զգեստի քղանցքներին դիպչեն: Եւ ովքեր մի անգամ դիպան, բժշկուեցին:
29070100a1	Եւ նրա մօտ հաւաքուեցին փարիսեցիներն ու օրէնսգէտներից ոմանք, որոնք եկել էին Երուսաղէմից:
29070200c1	Նրանք տեսնելով, որ նրա աշակերտներից ոմանք անմաքուր ձեռքերով, այսինքն՝ անլուայ հաց էին ուտում, բամբասեցին,
29070300e4	որովհետեւ փարիսեցիները եւ բոլոր հրեաները, եթէ ձեռքները մի լաւ չլուանան, հաց չեն ուտում, քանի որ հների աւանդութիւնը պահում են:
290704014b	Նաեւ՝ շուկայից տուն մտնելով՝ եթէ նախ չլուացուեն, չեն ուտում: Եւ ուրիշ շատ բաներ էլ կան, որ աւանդաբար պահում են. ինչպէս՝ բաժակների, սափորների, պղնձէ ամանների ու մահիճների լուացումներ:
290705012e	Ահա ինչու փարիսեցիները եւ օրէնսգէտները հարց տուեցին նրան. «Ինչո՞ւ քո աշակերտները նախնիների աւանդութեան համաձայն չեն շարժւում, այլ անմաքուր ձեռքերով են հաց ուտում»:
290706012b	Նա պատասխանեց եւ ասաց նրանց. «Եսային լաւ մարգարէացաւ ձեր՝ կեղծաւորներիդ մասին՝ ասելով. «Այս ժողովուրդը ինձ շրթներո՛վ է մեծարում, բայց նրանց սրտերը ինձնից հեռու են.
29070700a0	ի զուր են ինձ պաշտում. ուսուցանում են վարդապետութիւններ, որ մարդկանց պատուիրածներն են»:
290708006d	Աստծու պատուիրանը թողած՝ մարդկանց աւանդութիւնն էք պահում»:
290709009f	Ապա աւելացրեց. «Աստծու պատուիրանը լաւ էք անարգում, որպէսզի ձե՛ր աւանդութիւնը հաստատէք.
29070a00d0	որովհետեւ Մովսէսն ասում է. «Պատուի՛ր քո հօրն ու մօրը. եւ ով որ չարախօսի իր հօր կամ մօր մասին, մահուամբ թող պատժուի»:
29070b00ce	Իսկ դուք ասում էք. «Եթէ մէկը հօրը կամ մօրն ասի. ՚Ինչ ինձնից պիտի օգտուես, Կորբան է՚, (այսինքն՝ Աստծուն տալու ընծայ),
29070c0085	դրանով իսկ այլեւս թոյլ չէք տալիս, որ նա իր հօր կամ մօր համար որեւէ բան անի,
29070d00dd	եւ այդպէս անարգում էք Աստծու խօսքը նոյն աւանդութեամբ, որ դուք փոխանցում էք միմեանց: Եւ սրա նման ուրիշ շատ բաներ էք անում»:
29070e0097	Եւ նա ամբողջ ժողովրդին իր մօտ կանչելով՝ ասաց նրանց. «Ամէնքդ ինձ լսեցէ՛ք եւ իմացէ՛ք.
29070f00dc	չկայ որեւէ բան, որ մարդու մէջ դրսից մտնելով կարողանայ նրան պղծել. այլ այն, ինչ ելնում է նրանից, ա՛յն է, որ պղծում է մարդուն:
290710003d	Ով ականջներ ունի լսելու, թող լսի»:
2907110091	Եւ երբ ամբոխից բաժանուելով տուն մտաւ, աշակերտները այդ առակի մասին նրան հարցրին:
29071200d2	Եւ նրանց ասաց. «Դո՞ւք էլ այդպէս անմիտ էք, չէ՞ք իմանում, թէ ամէն բան, որ դրսից մարդու մէջ է մտնում, չի կարող նրան պղծել,
29071300ae	որովհետեւ ոչ թէ նրա սիրտն է մտնում, այլ՝ որովայնը եւ դուրս է ելնում ու մաքրում բոլոր կերածները»:
290714007e	Եւ ասում էր. «Ինչ որ մարդուց դուրս է գալիս, ա՛յն է, որ պղծում է մարդուն,
290715009a	որովհետեւ ներսից, մարդկանց սրտից են ելնում չար խորհուրդները՝ շնութիւն, պոռնկութիւն,
29071600e2	գողութիւն, սպանութիւն, ագահութիւն, չարութիւն, նենգութիւն, գիջութիւն, չար նախանձ, հայհոյանք, ամբարտաւանութիւն, անզգամութիւն:
2907170067	Այս բոլոր չարիքները ներսից են ելնում եւ պղծում մարդուն»:
2907180123	Եւ այնտեղից վեր կացաւ եկաւ Տիւրոսի ու Սիդոնի սահմանները. եւ մի տուն մտնելով՝ չէր ուզում, որ որեւէ մէկն իմանայ իր այնտեղ լինելը, սակայն չկարողացաւ թաքնուած մնալ:
2907190096	Նրա մասին լսեց մի կին, որի դուստրը տառապում էր պիղծ ոգուց. սա եկաւ ընկաւ նրա ոտքերը:
29071a0094	Այս կինը հեթանոս էր, փիւնիկ-ասորի ազգից. աղաչում էր նրան, որ իր աղջկանից դեւը հանի:
29071b00d4	Եւ Յիսուս նրան ասաց. «Թո՛յլ տուր, որ նախ մանուկները կշտանան, քանի որ լաւ չէ մանուկների հացը առնել եւ շների առաջ գցել»:
29071c009e	Կինը պատասխանեց եւ ասաց. «Տէ՛ր, շներն էլ մանուկների սեղանի փշրանքներից են կերակրւում»:
29071d007d	Եւ նա ասաց նրան. «Այդ խօսքիդ համար գնա՛, դեւը քո աղջկանից դուրս ելաւ»:
29071e007c	Կինը գնաց իր տունը եւ դեւին ելած գտաւ, իսկ աղջկան՝ պառկած մահճի վրայ:
29071f00c6	Եւ դարձեալ դուրս ելնելով Տիւրոսի եւ Սիդոնի սահմաններից, եկաւ Գալիլիայի ծովեզրը, Դեկապոլսի սահմաններից ներս:
2907200087	Նրա առաջ բերեցին մի խուլ ու համր մարդ եւ աղաչեցին, որ իր ձեռքը դնի նրա վրայ:
29072100cb	Եւ Յիսուս նրան ամբոխից մի կողմ տանելով՝ իր մատները դրեց նրա ականջների մէջ եւ այնտեղ թքեց. ապա բռնեց նրա լեզուից.
2907220084	դէպի երկինք նայեց, հոգոց հանեց եւ ասաց՝ Եփփաթա, որ նշանակում է՝ բացուի՛ր:
2907230095	Եւ իսկոյն նրա լսողութիւնը բացուեց, եւ լեզուի կապանքներն ընկան, եւ խօսում էր ուղիղ:
29072400c1	Եւ նա նրանց պատուիրեց, որ ոչ ոքի չասեն. բայց ինչքան էլ նա պատուիրում էր նրանց, նրանք է՛լ աւելի էին տարածում:
29072500d3	Եւ աւելի ու աւելի էին զարմանում եւ ասում. «Սա ամէն ինչ լաւ արեց, որովհետեւ խուլերին լսել է տալիս եւ համրերին՝ խօսել»:
29080100c1	Այդ օրերին ժողովուրդը դարձեալ շատ էր, եւ ուտելու բան չունէին: Յիսուս կանչեց իր աշակերտներին եւ ասաց նրանց.
29080200b4	«Սիրտս ցաւում է այս ժողովրդի համար, որովհետեւ արդէն երեք օր է, որ ինձ մօտ են. եւ բան չունեն, որ ուտեն:
29080300ce	Եթէ նրանց իրենց տներն արձակեմ քաղցած, ճանապարհին ուշագնաց կը լինեն, որովհետեւ նրանցից ոմանք հեռուներից են եկել»:
29080400b9	Աշակերտները նրան պատասխանեցին եւ ասացին. «Որտեղի՞ց կարող ես նրանց հացով կշտացնել այս ամայի վայրում»:
290805007c	Եւ նա հարցրեց նրանց. «Քանի՞ նկանակ հաց ունէք»: Եւ նրանք ասացին՝ եօթը:
2908060156	Եւ նա հրամայեց ժողովրդին նստել գետնի վրայ. եւ վերցնելով եօթը նկանակները՝ գոհութիւն յայտնեց Աստծուն, կտրեց եւ տուեց աշակերտներին, որ դնեն ժողովրդի առաջ. եւ նրանք հացը ժողովրդի առաջ դրեցին:
290807008d	Եւ քիչ թուով ձկներ էլ ունէին. եւ նա այդ եւս օրհնեց ու հրամայեց նրանց առաջ դնել:
2908080073	Կերան եւ կշտացան եւ եօթը զամբիւղ աւելացած կտորտանքներ վերցրին:
290809006d	Եւ նրանք, որ կերան, մօտ չորս հազար հոգի էին. եւ նրանց արձակեց:
29080a007d	Եւ իսկոյն աշակերտների հետ նաւակ մտնելով՝ եկաւ Դաղմանունայի կողմերը:
29080b00a9	Եկան փարիսեցիները եւ սկսեցին վիճել նրա հետ եւ նրան փորձելով՝ երկնքից նշան էին ուզում նրանից:
29080c00da	Եւ նա իր հոգում զայրացաւ եւ ասաց. «Ինչո՞ւ է այս սերունդը նշան ուզում. ճշմարիտ եմ ասում ձեզ, որ այս սերնդին նշան չի տրուի»:
29080d0061	Թողեց նրանց, նորից նաւակ մտաւ եւ գնաց ծովի միւս կողմը:
29080e009a	Եւ աշակերտները մոռացան հաց վերցնել. սակայն միայն մէկ նկանակ ունէին իրենց նաւակի մէջ:
29080f00aa	Եւ նա պատուիրեց նրանց ու ասաց. «Զգո՛յշ եղէք փարիսեցիների խմորից եւ հերովդէսականների խմորից»:
2908100062	Իսկ նրանք իրենց մէջ խորհում էին եւ ասում՝ հաց չունենք:
290811013c	Յիսուս իմացաւ նրանց խորհուրդը եւ նրանց ասաց. «Թերահաւատնե՛ր, ինչո՞ւ էք ձեր սրտերում խորհում, թէ հաց չունէք. դեռ չէ՞ք հասկանում եւ չէ՞ք յիշում. ապշութի՞ւնն է ձեր մտքերը պատել:
29081200ac	Աչքեր ունէք եւ չէ՞ք տեսնում, ականջներ ունէք եւ չէ՞ք լսում եւ դեռ չէ՞ք հասկանում ու չէ՞ք յիշում.
29081300d4	երբ հինգ նկանակը բաժանեցի հինգ հազար հոգու, կտորտանքներով լի քանի՞ սակառ վերցրիք»: Եւ նրան պատասխանեցին՝ տասներկու:
29081400d9	«Եւ երբ եօթը նկանակը չորս հազար հոգու բաժանեցի, կտորտանքների քանի՞ զամբիւղ լիքը վերցրիք»: Եւ նրանք պատասխանեցին՝ եօթը:
2908150060	Եւ նա նրանց ասաց. «Ապա ուրեմն ինչպէ՞ս չէք հասկանում»:
2908160086	Եկան Բեթսայիդա. եւ նրա առաջ բերեցին մի կոյրի ու աղաչում էին, որ դիպչի նրան:
29081700f2	Եւ նա բռնելով կոյրի ձեռքից՝ գիւղից դուրս հանեց. նրա աչքերը թքով թրջեց եւ ձեռքը նրա վրայ դրեց. եւ հարցնում էր կոյրին, թէ բան տեսնո՞ւմ է:
2908180085	Նա բացեց աչքերը եւ ասաց. «Տեսնում եմ մարդկանց, որ շրջում են ինչպէս ծառեր»:
29081900cd	Նա կրկին ձեռքերը դրեց նրա աչքերի վրայ. կոյրը իր աչքերը բացեց եւ տեսնում էր. բժշկուեց եւ ամէն ինչ յստակ տեսնում էր:
29081a00bf	Նրան իր տունն արձակեց եւ ասաց. «Գիւղ մի՛ մտիր, այլ գնա՛ քո տունը, իսկ երբ գիւղ մտնես, գիւղում ոչ ոքի չասես»:
29081b0131	Եւ Յիսուս իր աշակերտների հետ միասին ելաւ գնաց Փիլիպպեան Կեսարիայի գիւղերը. եւ ճանապարհին աշակերտներին հարցնում էր եւ ասում. «Մարդիկ ի՞նչ են ասում իմ մասին՝ ո՞վ եմ ես»:
29081c00bf	Նրանք պատասխան տուեցին եւ ասացին. «Յովհաննէս Մկրտիչը, եւ ոմանք՝ Եղիան, իսկ ուրիշներ՝ մարգարէներից մէկը»:
29081d00ca	Նրանց ասաց. «Իսկ դուք ի՞նչ էք ասում իմ մասին՝ ո՞վ եմ ես»: Պետրոսը պատասխան տուեց եւ ասաց նրան. «Դու Քրիստոսն ես»:
29081e0068	Եւ նա խստիւ պատուիրեց նրանց, որ իր մասին մարդու բան չասեն:
29081f0141	Եւ սկսեց ուսուցանել աշակերտներին, թէ մարդու Որդին պէտք է բազում չարչարանքներ կրի, անարգուի երէցներից ու քահանայապետներից եւ օրէնսգէտներից, մեռնի եւ երրորդ օրը յարութիւն առնի:
290820009f	Եւ այս խօսքը ասաց բացայայտօրէն. եւ Պետրոսը նրան մի կողմ տանելով՝ սկսեց յանդիմանել նրան:
29082100ff	Իսկ նա դարձաւ տեսաւ աշակերտներին, սաստեց Պետրոսին ու ասաց. «Ետե՛ւս գնա, սատանա՛յ, որովհետեւ դու Աստծո՛ւ բաները չես խորհում, այլ՝ մարդկանցը»:
2908220125	Եւ նա իր մօտ կանչելով ժողովրդին, աշակերտների հետ միասին, ասաց նրանց. «Եթէ մէկը կամենում է գալ իմ յետեւից, թող ուրանայ իր անձը, թող վերցնի իր խաչը եւ գայ իմ յետեւից,
29082300c7	որովհետեւ ով կամենում է ազատել իր անձը, այն պիտի կորցնի. իսկ ով կորցնի իր անձը Աւետարանի համար, պիտի ազատի այն:
2908240078	Ի՞նչ օգուտ է մարդուն, եթէ ամբողջ աշխարհը շահի, բայց իր անձը կորցնի.
2908250056	որովհետեւ մարդ ի՞նչ ունի տալու իր անձի փոխարէն:
290826010c	Ով որ ամօթ համարի ինձ եւ իմ խօսքերը այս շնացող եւ մեղաւոր ազգի մէջ, մարդու Որդին էլ նրան պիտի ամաչեցնի, երբ գայ փառքովն իր Հօր եւ սուրբ հրեշտակների»:
2909010117	Եւ նրանց ասաց. «Ճշմարիտ եմ ասում ձեզ, թէ նրանցից, որ այստեղ են, կան ոմանք, որոնք մահ չպիտի ճաշակեն, մինչեւ որ տեսնեն Աստծու արքայութիւնը՝ զօրութեամբ եկած»:
2909020106	Վեց օր յետոյ Յիսուս իր հետ վերցրեց Պետրոսին, Յակոբոսին եւ Յովհաննէսին ու առանձին նրանց հանեց մի բարձր լերան վրայ եւ նրանց առաջ պայծառակերպուեց:
29090300cd	Եւ նրա զգեստները փայլուն, խիստ սպիտակ դարձան, այնպէս որ երկրի վրայ ոչ մի լուացք անող չի կարող այդքան սպիտակեցնել:
2909040088	Եւ նրանց երեւաց Եղիան՝ Մովսէսի հետ մէկտեղ, ու նրանք խօսում էին Յիսուսի հետ:
29090500fa	Պետրոսը Յիսուսին ասաց. «Ռաբբի՛, լաւ է, որ մենք այստեղ լինենք եւ երեք տաղաւարներ շինենք, մէկը՝ քեզ, մէկը՝ Մովսէսի եւ մէկն էլ՝ Եղիայի համար»:
2909060067	Սակայն չգիտէր, թէ ինչ էր խօսում, որովհետեւ զարհուրած էին:
29090700b9	Եւ մի ամպ նրանց վրայ հովանի եղաւ. ամպից մի ձայն եկաւ, որ ասում էր. «Դա՛ է իմ սիրելի Որդին, դրա՛ն լսեցէք»:
29090800b6	Եւ յանկարծակի այս ու այն կողմ նայելով՝ այլեւս ոչ մի տեղ ոչ ոքի չտեսան, այլ միայն Յիսուսին՝ իրենց հետ:
29090900e9	Եւ մինչ լեռնից իջնում էին, նա պատուիրեց նրանց, որ իրենց տեսածը մարդու չպատմեն, մինչեւ որ մարդու Որդին մեռելներից յարութիւն առնի:
29090a00bc	Նրանք այս խօսքը իրենց մտքում պահում էին եւ միմեանց հարցնում էին, թէ ի՛նչ է մեռելներից յարութիւն առնելը:
29090b00a3	Ապա հարցրին նրան ու ասացին. «Այն ի՞նչ է, որ օրէնսգէտներն ասում են, թէ նախ Եղիան պէտք է գայ»:
29090c011c	Նա պատասխանեց նրանց եւ ասաց. «Եղիան նախ պիտի գայ եւ ամէն բան կարգի պիտի դնի. իսկ ինչո՞ւ մարդու Որդու մասին գրուած է, որ շատ չարչարանքներ պիտի կրի ու անարգուի:
29090d00ae	Բայց ես ասում եմ ձեզ, որ Եղիան եկաւ, եւ նրան արեցին, ինչ որ կամեցան, ինչպէս որ գրուած է նրա մասին»:
29090e00bd	Եւ աշակերտների մօտ գալով՝ նրանց շուրջը տեսաւ մեծ բազմութիւն եւ օրէնսգէտներ, որոնք վիճում էին նրանց հետ:
29090f00ad	Եւ իսկոյն ամբողջ ժողովուրդը, երբ տեսաւ նրան, զարմացաւ եւ, ընդառաջ վազելով, ողջոյն էր տալիս նրան:
2909100076	Յիսուս աշակերտներին հարցրեց. «Ինչի՞ մասին էիք վիճում նրանց հետ»:
29091100bb	Ժողովրդի միջից մէկը պատասխանեց եւ ասաց. «Վարդապե՛տ, քեզ մօտ բերեցի որդուս, որին մի համր չար ոգի բռնել է.
290912011d	եւ ուր պատահում է, նրան գետին է զարկում. փրփրում է, ատամներն է կրճտացնում եւ ապա չորանում մնում է: Քո աշակերտներին ասացի, որ հանեն, բայց չկարողացան հանել այն»:
29091300f7	Նա պատասխանեց նրանց եւ ասաց. «Ո՛վ անհաւատ սերունդ, մինչեւ ե՞րբ ձեզ հետ պիտի լինեմ, մինչեւ ե՞րբ ձեզ պիտի հանդուրժեմ. բերէ՛ք նրան ինձ մօտ»:
29091400da	Եւ նրան բերեցին իր մօտ: Երբ չար ոգին նրան տեսաւ, իսկոյն ուժգին ցնցեց տղային, որը, գետին ընկնելով, թաւալւում էր ու փրփրում:
29091500dd	Յիսուս հարցրեց նրա հօրը եւ ասաց. «Ինչքա՞ն ժամանակ է անցել այն օրուանից, ինչ այդ նրան պատահել է»: Եւ նա ասաց. «Մանկութիւնից:
29091600d2	Շատ անգամ չար ոգին կրակի եւ ջրի մէջ է նետում նրան, որ կործանի. արդ, եթէ մի կերպ կարող ես, օգնի՛ր մեզ, Տէ՛ր, գթալով մեզ»:
29091700a0	Եւ Յիսուս նրան ասաց. «Ասացիր՝ եթէ կարող ես. ամէն ինչ հնարաւոր է նրա համար, ով հաւատում է»:
2909180091	Երեխայի հայրը իսկոյն աղաղակեց եւ ասաց. «Հաւատում եմ, օգնի՛ր իմ անհաւատութեանը»:
2909190139	Երբ Յիսուս տեսաւ, որ ժողովուրդը իրար վրայ է հաւաքւում, սաստեց պիղծ ոգուն եւ ասաց. «Դո՛ւ, հա՛մր եւ խո՛ւլ ոգի, ես հրամայում եմ քեզ, դո՛ւրս ելիր նրանից եւ այլեւս չմտնես դրա մէջ»:
29091a00d3	Եւ չար ոգին ճչաց, ուժգին ցնցեց նրան ու դուրս ելաւ. եւ պատանին մեռելի պէս եղաւ, այն աստիճան, որ շատերը ասացին, թէ մեռաւ:
29091b006e	Յիսուս բռնեց նրա ձեռքից, բարձրացրեց նրան, եւ նա ոտքի կանգնեց:
29091c00b2	Եւ երբ Յիսուս տուն մտաւ, աշակերտները, առանձին, հարցրին նրան. «Ինչո՞ւ մենք չկարողացանք հանել դրան»:
29091d0099	Եւ նա նրանց ասաց. «Այդ տեսակը ուրիշ բանով չի ելնի, եթէ ոչ ծոմապահութեամբ ու աղօթքով»:
29091e00b3	Այնտեղից ելնելով՝ նրանք անցնում էին Գալիլիայի միջով, եւ Յիսուս չէր կամենում, որ որեւէ մէկն իմանայ,
29091f013a	քանի որ իր աշակերտներին ուսուցանում էր եւ նրանց ասում. «Մարդու Որդին մատնուելու է մարդկանց ձեռքը, նրանք պիտի սպանեն նրան. եւ երբ նա սպանուի, երրորդ օրը յարութիւն պիտի առնի»:
2909200077	Բայց նրանք չէին հասկանում այդ խօսքը եւ վախենում էին նրան հարցնել:
29092100bc	Եկաւ Կափառնայում եւ, երբ տուն մտաւ, աշակերտներին հարցրեց. «Ճանապարհին իրար հետ ինչի՞ մասին էիք վիճում»:
2909220091	Եւ նրանք լուռ էին մնում, որովհետեւ ճանապարհին իրար հետ վիճում էին, թէ ո՛վ է մեծը:
29092300ea	Եւ երբ նստեց, կանչեց Տասներկուսին ու նրանց ասաց. «Եթէ մէկն ուզում է առաջին լինել, բոլորից վերջինը եւ բոլորի սպասաւորը պիտի լինի»:
2909240096	Եւ մի մանուկ վերցնելով՝ կանգնեցրեց նրանց մէջ եւ նրան իր գիրկն առնելով՝ նրանց ասաց.
2909250101	«Ով այսպիսի մանուկներից մէկին ընդունում է իմ անունով, ինձ է ընդունում, եւ ով ինձ է ընդունում, ոչ թէ ինձ է ընդունում, այլ նրան, ով ինձ ուղարկեց»:
29092600f2	Յովհաննէսը պատասխանեց եւ ասաց. «Վարդապե՛տ, տեսանք մէկին, որը քո անունով դեւեր էր հանում, բայց մեզ հետ չէր շրջում, եւ արգելեցինք նրան»:
29092700cf	Եւ նա ասաց. «Արգելք մի՛ եղէք նրան, որովհետեւ չկայ մէկը, որ իմ անունով զօրաւոր գործեր անի ու կարողանայ ինձ հայհոյել.
2909280046	քանզի ով մեզ հակառակ չէ, նա մեր կողմն է:
29092900d4	Եւ ով որ ձեզ մի բաժակ ջուր խմեցնի յանուն այն բանի, որ դուք Քրիստոսինն էք, ճշմարիտ եմ ասում ձեզ, իր վարձը չպիտի կորցնի»:
29092a0115	«Եւ ով որ ինձ հաւատացող այս փոքրիկներից մէկին գայթակղեցնի, նրա համար աւելի լաւ կը լինէր, եթէ նրա պարանոցից կախուած լինէր էշի մի երկանաքար, եւ ծով գցուէր:
29092b014c	Եւ եթէ քեզ գայթակղեցնում է քո ձեռքը, կտրիր դէ՛ն գցիր քեզնից, որովհետեւ քեզ համար աւելի լաւ է խեղուած մտնել յաւիտենական կեանքը, քան թէ երկու ձեռք ունենալ ու գնալ գեհեն, անշէջ կրակի մէջ:
29092d010d	Եւ եթէ քո ոտքն է գայթակղեցնում քեզ, կտրի՛ր, քեզնից դէ՛ն գցիր այն. լաւ է, որ դու կաղ մտնես յաւիտենական կեանքը, քան թէ երկու ոտք ունենաս ու գեհեն ընկնես:
29092f0105	Եւ եթէ քո աչքն է գայթակղեցնում քեզ, քաշիր հանի՛ր այն. լաւ է, որ դու մէկ աչքով մտնես Աստծու արքայութիւնը, քան թէ երկու աչք ունենաս ու ընկնես գեհեն,
2909300056	ուր նրանց որդը չի մեռնում, եւ կրակը չի հանգչում,
2909310044	որովհետեւ ամէն ինչ կրակով պիտի աղուի:
29093200e4	Աղը լաւ բան է. բայց եթէ աղը անհամանայ, ինչո՞վ պիտի համեմուի. արդ, դուք ձեր մէ՛ջ ունեցէք աղը եւ իրար հետ խաղաղութեա՛մբ ապրեցէք»:
290a010142	Յիսուս այնտեղից վեր կացաւ եկաւ Հրէաստանի սահմանները, Յորդանանի միւս կողմը. եւ ժողովուրդը դարձեալ գնում խռնւում էր նրա շուրջը, եւ նա, ինչպէս սովոր էր, նորից ուսուցանում էր նրանց:
290a0200bd	Իսկ փարիսեցիները մօտեցան եւ նրան փորձելով՝ հարց տուին ու ասացին. «Օրինաւո՞ր է, որ մարդ իր կնոջն արձակի»:
290a030071	Նա պատասխան տուեց նրանց եւ ասաց. «Մովսէսը ձեզ ի՞նչ պատուիրեց»:
290a040084	Եւ նրանք ասացին. «Մովսէսը հրաման տուեց արձակելու թուղթ գրել եւ արձակել»:
290a050096	Յիսուս պատասխանեց եւ ասաց նրանց. «Ձեր խստասրտութեան պատճառով գրեց այդ պատուիրանը,
290a06007b	մինչդեռ արարչագործութեան սկզբից Աստուած արու եւ էգ ստեղծեց նրանց»:
290a070098	Եւ ասաց. «Դրա համար տղամարդը պիտի թողնի իր հօրն ու մօրը եւ պիտի գնայ իր կնոջ յետեւից:
290a08007d	Եւ երկուսը մի մարմին պիտի լինեն, եւ այլեւս երկու չեն, այլ՝ մէկ մարմին:
290a090056	Արդ, ինչ որ Աստուած միացրեց, մարդը թող չբաժանի»:
290a0a005c	Եւ աշակերտները տան մէջ դարձեալ նոյնը հարցրին նրան:
290a0b0094	Եւ նրանց ասաց. «Եթէ մի մարդ արձակի իր կնոջը եւ ուրիշին առնի, շնութիւն արած կը լինի:
290a0c0093	Եւ մի կին եթէ թողնի իր ամուսնուն եւ ուրիշ մարդու կին լինի, շնութիւն արած կը լինի»:
290a0d00d3	Եւ նրան մանուկներ էին բերում, որպէսզի ձեռքը դնի նրանց վրայ: Իսկ աշակերտները յանդիմանում էին նրանց, ովքեր բերում էին:
290a0e0133	Երբ Յիսուս այս տեսաւ, բարկանալով սաստեց նրանց եւ ասաց. «Թո՛յլ տուէք այդ մանուկներին գալ ինձ մօտ եւ արգելք մի՛ եղէք նրանց, որովհետեւ Աստծու արքայութիւնը այդպիսիներինն է:
290a0f00a0	Ճշմարիտ եմ ասում ձեզ, ով Աստծու արքայութիւնը չընդունի որպէս մանուկ, նրա մէջ չի մտնելու»:
290a10007f	Եւ նա վերցնելով նրանց իր գիրկը՝ նրանց վրայ ձեռքը դրեց եւ օրհնեց նրանց:
290a11012d	Երբ նա այնտեղից ճանապարհ ընկաւ, ահա մեծահարուստ մէկը առաջ վազելով ծնկի իջաւ, հարցրեց նրան ու ասաց. «Բարի՛ Վարդապետ, ի՞նչ պէտք է անեմ, որ յաւիտենական կեանքը ժառանգեմ»:
290a120093	Եւ Յիսուս նրան ասաց. «Ինչո՞ւ ես ինձ բարի կոչում. բարի չէ ոչ ոք, այլ միայն՝ Աստուած:
290a1300b3	Պատուիրանները գիտես. մի՛ շնանար, մի՛ սպանիր, մի՛ գողանար, սուտ մի՛ վկայիրպատուի՛ր քո հօրն ու մօրը»:
290a1400c1	Նա պատասխանեց եւ ասաց նրան. «Վարդապե՛տ, այդ բոլորը իմ մանկութիւնից ի վեր արել եմ. արդ, ի՞նչ եմ պակաս թողել»:
290a150185	Եւ Յիսուս նրան նայելով՝ սիրեց նրան եւ ասաց. «Քեզ մէ՛կ բան է պակասում. եթէ կամենում ես կատարեալ լինել, գնա վաճառի՛ր ինչ որ ունես ու աղքատների՛ն տուր եւ երկնքում գանձեր կ՚ունենաս. եւ վերցրո՛ւ խաչդ եւ արի՛ իմ յետեւից»:
290a160085	Եւ մարդը այդ խօսքի վրայ խոժոռուած՝ գնաց տրտում, որովհետեւ շատ հարուստ էր:
290a170100	Եւ Յիսուս այս կողմ, այն կողմ նայելով՝ ասաց իր աշակերտներին. «Ինչքա՜ն դժուարին է Աստծու արքայութիւն մտնել նրանց համար, որ հարստութիւն ունեն»:
