0100000008	Genesisi
1723010053	Gwenga nenyika yakaoma zvichafara; sango richafara kwazvo uye richatumbuka; seruva,
17230200b2	richatumbuka; richafara zvikuru uye richapembera nomufaro. Mbiri yeRebhanoni ichapiwa kwariri, kunaka kweKarimeri neSharoni; vachaona kubwinya kwaJehovha, nokunaka kwaMwari wedu.
1723030035	Simbisai maoko asina simba, tsigirai mabvi anodedera;
172304008a	muti kuna avo vane mwoyo inotya, “Simbai, musatya; Mwari wenyu achauya, achauya nokutsiva, nokuripira kutsvene achauya kuzokuponesai.”
1723050042	Ipapo meso amapofu achasvinudzwa uye nzeve dzematsi dzichazarurwa.
1723060086	Ipapo akaremara achakwakuka senondo, uye rurimi rwechimumu ruchaimba nomufaro. Mvura ichatubuka murenje, uye nehova dzemvura mugwenga.
1723070099	Jecha rinopisa richashanduka rikava dziva, ivhu rine nyota richava zvitubu zvemvura. Maigara makava noumo maaimbovata, muchamera uswa, netsanga nenhokwe.
17230800a4	Ipapo pachava nomugwagwa; uchanzi Nzira yoUtsvene. Vane tsvina havangazofambi mairi; ichava yaivavo vanofamba muNzira iyoyo; vakaipa namapenzi havangazofambi mairi.
1723090070	Hapangavi neshumba ipapo, kana chikara chipi zvacho chichawanikwapo. Asi vakadzikinurwa voga ndivo vachafambamo,
17230a00a9	uye vakasunungurwa vaJehovha vachadzoka. Vachapinda muZioni vachiimba; mufaro usingaperi uchava pamusoro pavo. Vachawana mufaro nokufarisisa, kusuwa nokuneta zvichatiza.
1724010080	Mugore regumi namana rokutonga kwaMambo Hezekia, Senakeribhi mambo weAsiria akarwisa maguta ose akakomberedzwa aJudha akaapamba.
17240200cd	Ipapo mambo weAsiria akatuma mukuru wehondo yake nehondo huru achibva kuRakishi kuna Mambo Hezekia muJerusarema. Mukuru wehondo akati amira pamugero weDziva roKumusoro, pamugwagwa unoenda kuMunda woMusuki,
17240300a7	ipapo Eriakimu mwanakomana waHirikia, mufambisi webasa mumuzinda wamambo, naShebhina munyori, naJoa mwanakomana waAsafi munyori wenhoroondo, akabuda kundosangana naye.
172404007e	Mukuru wehondo akati kwavari, “Udzai Hezekia kuti: “‘Zvanzi namambo mukuru, iye mambo weAsiria: Uri kuvimba nei chaizvo?
1724050072	Iwe unoti une urongwa nesimba rokurwa, asi uri kutaura mashoko asina maturo. Ko, unovimba naaniko, zvawandimukira?
17240600c8	Tarira zvino, unovimba neIjipiti, ruya rushanga rwomudonzvo rwakavhunika, runobaya ruoko rwomunhu nokumupa vanga kana azendamira parwuri! Ndizvo zvakaita Faro mambo weIjipiti kuna vose vanovimba naye.
17240700dc	Asi kana ukati kwandiri, “Isu tinovimba naJehovha Mwari wedu,” haasi iye here ane nzvimbo dzakakwirira nearitari dzakabviswa naHezekia, iye akati kuJudha neJerusarema, “Munofanira kunamata pamberi pearitari iyi”?
1724080094	“‘Zvino chiuya, ita sungano natenzi wangu, mambo weAsiria: Ndichakupa mabhiza anokwana zviuru zviviri, kana ukagona kuisa vatasvi pamusoro pawo!
1724090083	Ungagona seiko kukunda mubati mumwe wavabati vadiki vatenzi vangu, kunyange uchivimba nengoro dzeIjipiti navatasvi vadzo vamabhiza?
17240a0093	Pamusoro pezvo, ndauya kuzorwa nenyika ino nokuiparadza ndisina Jehovha here? Jehovha pachake andiudza kuti ndiuye munyika ino ndizoiparadza.’”
17240b00ca	Ipapo Eriakimu, naShebhina, naJoa vakati kumukuru wehondo, “Tapota hedu, taurai kuvaranda venyu norurimi rwechiAramu, sezvo tichirunzwa. Musataura nesu nechiHebheru vanhu vari parusvingo vachinzwa.”
17240c00d7	Asi mukuru wehondo akapindura akati, “Ko, ndakatumwa natenzi wangu kuna tenzi wenyu nemi chete ndisingatauriwo kuvarume vagere parusvingo, ivo vanofanira kudya tsvina yavo nokunwa mvura yavo kufanana nemi here?”
17240d0071	Ipapo mukuru wehondo akasimuka akadanidzira nechiHebheru achiti, “Inzwai mashoko amambo mukuru, mambo weAsiria!
17240e004c	Zvanzi namambo: Musarega Hezekia achikunyengerai. Iye haangagoni kukurwirai!
17240f009a	Musarega Hezekia achikunyengetedzai kuti muvimbe naJehovha achiti, ‘Jehovha achakurwirai zvirokwazvo; guta rino harizoiswa muruoko rwamambo weAsiria.’
17241000cc	“Musateerera Hezekia. Zvanzi namambo weAsiria: Itai rugare neni mugouya kwandiri. Ipapo mumwe nomumwe wenyu achadya zvinobva pamuzambiringa wake napamuonde wake uye achanwa mvura inobva muchitubu chake,
172411008f	kusvikira ndauya ndizokutorai, ndigokuendesai kunyika yakaita seyenyu, nyika ine zviyo newaini itsva, nyika ine chingwa neminda yemizambiringa.
1724120091	“Musarega Hezekia achikutsausai achiti, ‘Jehovha achatirwira.’ Ndimwari weipi nyika zvayo akamborwira nyika yake muruoko rwamambo weAsiria?
1724130069	Vamwari veHamati neAripadhi varipi? Vamwari veSefarivhaimi varipi? Vakarwira Samaria muruoko rwangu here?
1724140099	Ndavapi pakati pavamwari vendudzi dzose vakambogona kuponesa nyika dzavo kubva kwandiri? Ko, Jehovha achagona seiko kurwira Jerusarema muruoko rwangu?”
172415006d	Asi vanhu vakaramba vanyerere, vakasapindura chinhu, nokuti mambo akanga arayira achiti, “Musamupindura.”
17241600e4	Ipapo Eriakimu mwanakomana waHirikia mutariri womuzinda wamambo, naShebhina munyori, naJoa mwanakomana waAsafi munyori wenhoroondo vakaenda kuna Hezekia, nenguo dzavo dzakabvaruka, vakamuudza zvakanga zvataurwa nomukuru wehondo.
1725010062	Mambo Hezekia akati anzwa izvi, akabvarura nguo dzake akafuka masaga akapinda mutemberi yaJehovha.
1725020093	Akatuma Eriakimu mutariri womuzinda wamambo, naShebhina munyori, navakuru vavaprista, vose vakapfeka masaga, kumuprofita Isaya mwanakomana waAmozi.
172503009e	Vakati kwaari, “Zvanzi naHezekia: Nhasi izuva renhamo nokutukwa uye kunyadziswa, sezvinoitika kana vana vakasvika pakuzvarwa asi simba rokusununguka pasina.
17250400f5	Zvimwe Jehovha Mwari wenyu achanzwa mashoko omukuru wehondo, akatumwa naishe wake, mambo weAsiria, kuzomhura Mwari mupenyu, uye kuti azomutuka pamusoro pamashoko aakanzwa iye Jehovha Mwari wenyu. Naizvozvo nyengetererai vakasara vari vapenyu.”
172505002b	Vabati vaHezekia vakati vasvika kuna Isaya,
1725060092	Isaya akati kwavari, “Udzai ishe wenyu kuti, ‘Zvanzi naJehovha: Usatya hako zvawakanzwa, mashoko andakamhurwa nawo navaranda vamambo weAsiria.
172507008b	Teererai! Ndichaisa mweya maari wokuti akangonzwa rimwe guhu, achadzokera kunyika yake, uye ikoko, ndichaita kuti aurayiwe nomunondo.’”
1725080070	Mukuru wehondo akati anzwa kuti mambo weAsiria akanga abva kuBhakishi, akadzoka akawana mambo achirwa neRibhina.
17250900b8	Zvino Senakeribhi akagamuchira mashoko okuti Tirihaka, muEtiopia mambo weIjipiti, akanga achiuya kuzorwa naye. Akati anzwa izvozvo, akatuma nhume kuna mambo Hezekia neshoko iri rokuti:
17250a008f	“Udzai Hezekia mambo weJudha muti: Mwari waunovimba naye ngaarege kukunyengera achiti, ‘Jerusarema harizoiswa muruoko rwamambo weAsiria.’
17250b0073	Zvirokwazvo wakanzwa zvakaitwa namadzimambo eAsiria kunyika dzose vachidziparadza chose. Zvino iwe ucharwirwa here?
17250c009c	Ko, vamwari vamamwe marudzi akaparadzwa namadzibaba angu vakavarwira here, vamwari veGezani, neHarani neRezefi navanhu vokuEdheni vakanga vari kuTeri Asari?
17250d0061	Mambo weHamati aripiko, namambo weArifadhi namambo weguta reSefarivhaimi, kana Hena kana Ivha?”
17250e0084	Hezekia akagamuchira tsamba kubva mumaoko enhume, akaiverenga. Ipapo akakwidza kutemberi yaJehovha akaitambanudza pamberi paJehovha.
17250f002e	Uye Hezekia akanyengetera kuna Jehovha achiti,
17251000a1	“Haiwa Jehovha Wamasimba Ose, Mwari waIsraeri, mugere pakati pamakerubhimi, imi moga ndimi Mwari aripo pamusoro poumambo hwose hwenyika. Makasika denga nepasi.
1725110091	Rerekai nzeve yenyu, Jehovha, munzwe; zarurai meso enyu, Jehovha muone; teererai mashoko ose aSenakeribhi aakatuma kuzozvidza nawo Mwari mupenyu.
1725120061	“Ichokwadi, Jehovha, kuti madzimambo eAsiria akaparadza chose ndudzi idzi dzose nenyika dzadzo.
172513007e	Vakakanda vamwari vavo mumoto vakavaparadza, nokuti vakanga vasiri vamwari asi matanda chete namatombo akaitwa namaoko avanhu.
172514008d	Zvino, Jehovha Mwari wedu, tidzikinurei kubva muruoko rwake, kuitira kuti madzimambo ose enyika azive kuti imi moga, Jehovha, ndimi Mwari.”
17251500b6	Ipapo Isaya mwanakomana waAmozi akatumira shoko kuna Hezekia achiti, “Zvanzi naJehovha, Mwari waIsraeri: Nokuda kwokuti wanyengetera kwandiri pamusoro paSenakeribhi mambo weAsiria,
17251600b2	heri shoko rakataurwa naJehovha pamusoro pake: “Mhandara Mwanasikana weZioni anokuzvidza uye anokuseka. Mwanasikana weJerusarema anokudzungudzira musoro wake paunenge uchitiza.
1725170084	Ndianiko wawatuka uye ukamhura? Ndianiko wawasimudzira inzwi rako, uye ukasimudzira meso ako uchizvikudza? Ndiye Mutsvene waIsraeri!
172518010d	Navaranda vako watutira kutuka pamusoro paIshe. Uye wakati, ‘Nengoro dzangu zhinji ndakakwira makomo marefu, kumusoro-soro kweRebhanoni. Ndakatema misidhari yayo mirefu refu, nemisipuresi yayo yakanakisisa. Ndakasvika kumusoro-soro kwayo, nokumasango ayo akanakisisa.
172519006d	Ndakachera matsime munyika yavamwe, ndikanwa mvura imomo. Netsoka dzangu ndakapwisa hova dzose dzeIjipiti.’
17251a00a6	“Hauna kunzwa here? Izvi ndakazviita kare. Ndakazvironga pamazuva akare; zvino ndaita kuti zviitike, nokuti wakaparadza maguta akakomberedzwa akava mirwi yamatombo.
17251b009d	Vanhu vawo, vapererwa nesimba, vavhundutswa uye vanyadziswa. Vafanana nembeu mumunda, namabukira manyoro, sebundo ramera padenga remba, ratsva risati rakura.
17251c005e	“Asi ndinoziva paunogara uye nguva yaunouya neyaunoenda uye kuti unondiitira hasha zvakadii.
17251d00d5	Nokuda kwehasha dzako kwandiri uye nokuda kwokuti kusateerera kwako kwasvika munzeve dzangu, ndichaisa chiredzo changu mumhuno dzako namatomu angu mumuromo mako, uye ndichaita kuti udzokere nenzira yawakauya nayo.
17251e00e8	“Ichi ndicho chichava chiratidzo kuvarwi, iwe Hezekia: “Gore rino muchadya zvinomera zvoga, uye mugore rinotevera muchadya mabukira azvo. Asi mugore rechitatu mudyare mugokohwa, mudyare minda yemizambiringa mugodya michero yayo.
17251f0057	Zvakare, vakasara veimba yaJudha vachava nemidzi pasi uye vachabereka michero kumusoro.
1725200077	Nokuti muJerusarema muchabuda vachasara, uye muZioni muchabuda boka ravachapunyuka. Kushingaira kwaJehovha kuchazviita.
17252100a8	“Naizvozvo zvanzi naJehovha pamusoro pamambo weAsiria, “Haazopindi muguta iri kana kupfura museve pano. Haazosviki mberi kwaro nenhoo kana kuvaka gomo revhu pariri.
1725220058	Achadzokera nenzira yaakauya nayo; haazopindi muguta rino,” ndizvo zvinotaura Jehovha.
1725230068	“Ndichadzivirira guta rino uye ndichariponesa, nokuda kwangu uye nokuda kwaDhavhidhi muranda wangu!”
17252400a5	Ipapo mutumwa waJehovha akabuda akauraya varume zviuru zana namakumi masere nezvishanu pamusasa wavaAsiria. Vanhu vakati vachimuka mangwanani, onei mitumbi yavakafa!
172525005c	Naizvozvo Senakeribhi mambo weAsiria akaputsa musasa. Akadzokera kuNinevhe akandogara ikoko.
17252600c9	Mumwe musi achinamata ari mutemberi yamwari wake Nisiroki, Adhiramereki naSharezeri, vanakomana vake vakamuuraya nomunondo, ndokutizira kunyika yeArarati. Mwanakomana waEsarihadhoni akamutevera paushe.
17260100c0	Mumazuva iwayo Hezekia akarwara kusvikira oda kufa. Muprofita Isaya mwanakomana waAmozi akaenda kwaari akati, “Zvanzi naJehovha: Gadzirisa zveimba yako, nokuti uri kuzofa; hausi kuzopona.”
1726020042	Hezekia akatendeukira kumadziro akanyengetera kuna Jehovha achiti,
17260300a5	“Rangarirai henyu, Jehovha, kuti ndakafamba sei nokutendeka pamberi penyu nomwoyo wose nechokwadi uye ndikaita zvakanaka pamberi penyu.” Hezekia akachema kwazvo.
1726040031	Ipapo shoko raJehovha rakauya kuna Isaya richiti,
17260500b5	“Enda undoti kuna Hezekia, ‘Zvanzi naJehovha, Mwari wababa vako Dhavhidhi: Ndanzwa munyengetero wako uye ndaona misodzi yako; ndichawedzera makore gumi namashanu paupenyu hwako.
1726060059	Uye ndichakurwira iwe neguta rino kubva muruoko rwamambo weAsiria. Ndicharwira guta rino.
1726070058	“‘Ichi ndicho chiratidzo chaJehovha kwauri kuti Jehovha achaita zvose zvaakavimbisa:
17260800b2	Ndichaita kuti mumvuri waitwa pazuva udzokere shure nhambwe gumi pamutaro wawanga wafamba pamanera aAhazi.’” Saizvozvo zuva rakadzokera shure nhambwe gumi dzarakanga radzika.
1726090044	Chinyorwa chaHezekia mambo weJudha mushure mokurwara nokupora kwake:
17260a007f	Ndakati, “Mazuva oupenyu hwangu achangotanga ndingafanira kupinda mumasuo orufu here? Ndigotorerwa makore angu asara here?”
17260b008b	Ndakati, “Handichazoonizve Jehovha, iye Jehovha, munyika yavapenyu; handichazotarisizve kuvanhu kana kuva naavo vagere munyika ino zvino.
17260c00a5	Setende romufudzi, imba yangu yakoromorwa uye yatorwa. Somuruki ndapeta upenyu hwangu, uye iye andigura kubva pachirukiso; masikati namadekwana makaita kuti ndigume.
17260d009d	Ndakamirira nomwoyo murefu kusvikira mambakwedza, asi iye akavhuna mapfupa angu ose kufanana nezvinoitwa neshumba; masikati namadekwana makaita kuti ndigume.
17260e009f	Ndakarira senyenganyenga kana kondo. Ndakachema sokuchema kunoita njiva. Meso angu akaneta nokutarisa kudenga. Haiwa Jehovha, ndine nhamo, uyai mundinunure!”
17260f0094	Asi ndingati kudiniko? Iye ataura neni, uye iye ndiye aita izvi. Ndichafamba nokuzvininipisa pamakore angu ose, nokuda kwokurwadziwa kwomwoyo wangu.
1726100072	Ishe, vanhu vanorarama nezvinhu zvakadai; uye mweya wangu unowana upenyu mazviriwo. Makandiporesa mukandiraramisa.
1726110097	Zvirokwazvo kutambudzika kwangu kukuru kwakandivigira rugare. Murudo rwenyu makandirwira pagomba rokuparadzwa; makaisa zvivi zvangu zvose shure kwenyu,
1726120086	Nokuti guva haringagoni kukurumbidzai, rufu harugoni kukurumbidzai nenziyo; vanodzika kugomba havangagoni kutarisira kutendeka kwenyu.
172613007b	Vapenyu, ivo vapenyu, ndivo vanokurumbidzai, sezvandiri kuita iye nhasi; madzibaba anoudza vana vavo nezvokutendeka kwenyu.
1726140062	Jehovha achandiponesa, uye tichaimba nemitengeranwa, mazuva ose oupenyu hwedu mutemberi yaJehovha.
1726150055	Zvino Isaya akanga ati, “Gadzirai bundu ramaonde mugoriisa pamota, uye achapora.”
1726160062	Hezekia akanga abvunza achiti, “Chiratidzo chichava chei chokuti ndiende kutemberi yaJehovha?”
17270100a9	Panguva iyoyo Merodhaki-Bharadhani mwanakomana waBharadhani mambo weBhabhironi, akatumira matsamba nechipo kuna Hezekia, nokuti akanga anzwa nezvokurwara nokupora kwake.
1727020114	Hezekia akagamuchira nhume nomufaro akavaratidza zvakanga zviri mumatura ake: sirivha, goridhe, zvinonhuhwira namafuta anokosha nenhumbi dzake dzose dzokurwa uye nezvose zvaiwanikwa papfuma yake. Hapana chinhu mumuzinda wake kana muumambo hwake chavasina kuratidzwa naHezekia.
17270300d4	Ipapo muprofita Isaya akaenda kuna Mambo Hezekia akabvunza achiti, “Varume avo vakati kudini, uye vakabvepi?” Hezekia akapindura achiti, “Vakabva kunyika iri kure. Vakauya kwandiri vachibva kuBhabhironi.”
17270400ad	Muprofita akamubvunza achiti, “Vakaoneiko mumuzinda menyu?” Hezekia akati, “Vakaona zvose zviri mumuzinda mangu. Pakati pepfuma yangu hapana chandisina kuvaratidza.”
1727050047	Ipapo Isaya akati kuna Hezekia, “Inzwa shoko raJehovha Wamasimba Ose:
17270600c6	Zvirokwazvo nguva ichauya iyo zvose zviri mumba mako, nezvose zvakaunganidzwa namadzibaba ako kusvikira nhasi, zvichatakurwa zvichiendeswa kuBhabhironi. Hapana chichasara, ndizvo zvinotaura Jehovha.
1727070081	Uye vamwe vavana vako, venyama neropa rako chairo vauchabereka, vachatorwa uye vachava varanda mumuzinda wamambo weBhabhironi.”
1727080099	Hezekia akapindura achiti, “Shoko raJehovha rawataura rakanaka.” Nokuti akafunga kuti, “Pachava norugare nokudzivirirwa pamazuva oupenyu hwangu.”
1728010040	Nyaradzai, nyaradzai vanhu vangu, ndizvo zvinotaura Mwari wenyu.
17280200c8	Taurai nounyoro kuJerusarema, mudanidzire kwariri kuti kubata kwaro kukuru kwapera, uye kuti chivi charo charipirwa, kuti ragamuchira kubva muruoko rwaJehovha zvakapetwa kaviri pamusoro pezvivi zvaro.
172803006b	Inzwi rounodanidzira achiti, “Gadzirai nzira yaJehovha mugwenga, ruramisai mugwagwa waMwari wedu murenje.
1728040066	Mipata yose ichasimudzirwa, makomo ose nezvikomo zvichaenzaniswa; nzvimbo dzisakaenzana dzichava bani.
1728050070	Uye kubwinya kwaJehovha kucharatidzwa, uye marudzi ose avanhu achazviona. Nokuti muromo waJehovha wazvitaura.”
1728060094	Inzwi rinoti, “Danidzirai.” Ini ndokuti, “Ndodanidzireiko?” “Vanhu vose vakaita souswa, uye kubwinya kwavo kwose kwakaita samaruva omunda.
172807006a	Uswa hunooma uye maruva anowa, nokuti mweya waJehovha unofuridzira pamusoro pazvo. Zvirokwazvo vanhu uswa.
1728080050	Uswa hunooma uye maruva anowa, asi shoko raMwari wedu rinogara nokusingaperi.”
17280900b6	Imi munoparidzira Zioni zvinhu zvakanaka, kwirai pagomo refu. Imi munoparidzira Jerusarema mashoko akanaka, danidzirai nesimba, musatya; muti kumaguta eJudha, “Hoyu Mwari wenyu!”
17280a0088	Tarirai, Ishe Jehovha ari kuuya nesimba, uye ruoko rwake runomubatira ushe. Tarirai, mubayiro wake anawo, uye zvaanoripira nazvo anazvo.
17280b0093	Anofudza makwai ake somufudzi: Anounganidza makwayana mumaoko ake agoatakurira pedyo nomwoyo wake; zvinyoronyoro anotungamirira nhunzvi dzinonwisa.
17280c00c2	Ndianiko akayera mvura zhinji muchanza chake, kana kuyera denga noupamhi hwechanza chake? Ndianiko akaisa guruva rose rapasi mudengu, kana kuyera kurema kwamakomo nechiyero, nezvikomo pachiyero?
17280d004e	Ndiani akanzwisisa murangariro waJehovha, kana kumudzidzisa somudzidzisi wake?
17280e0099	Ndiani akabvunzwa naJehovha kuti amujekesere, uye ndiani akamudzidzisa nzira yakanaka? Ndianiko akamudzidzisa ruzivo kana kumuratidza nzira yokunzwisisa?
17280f009b	Zvirokwazvo ndudzi dzavanhu dzakaita sedonhwe remvura riri muchirongo; vanongova seguruva riri pamusoro pechiyero; anoyera zviwi kunge guruva rakatsetseka.
1728100073	Rebhanoni harina huni dzinoringana kuvesa moto wearitari, uye zvipfuwo zvaro hazvikwani kuita chipiriso chinopiswa.
1728110062	Ndudzi dzose dzakaita sepasina chinhu pamberi pake; iye anodziona sedzisina maturo, kunge dzisipo.
172812004f	Zvino, mungafananidza Mwari naaniko? Ndoupi mufananidzo wamungamuenzanisa nawo?
1728130077	Kana chiri chifananidzo, muumbi anochiumba, mupfuri wegoridhe ochinamira negoridhe, uye anochiitira uketani hwesirivha.
1728140077	Murombo anoshayiwa chipo anosarudza danda risingaori. Anotsvaka mhizha kuti imuvezere chifananidzo chisingazozungunuki.
172815007e	Hamuzivi here? Hamuna kunzwa here? Hamuna kumbozviudzwa kubva pakutanga here? Hamuna kunzwisisa kubva pakuvamba kwenyika here?
1728160093	Anogara samambo pamusoro pedenderedzwa renyika, uye vanhu vayo vakaita semhashu. Anotambanudza matenga setende, agoawaridzira setende kuti agaremo.
1728170055	Anoita kuti machinda ave pasina, uye anoderedza vatongi venyika ino kuti vave pasina.
172818008d	Vachangosimwa, vachangodyarwa, vachangodzika midzi muvhu, iye anofuridza pamusoro pavo vachibva vaoma, uye chamupupuri chinovakukura sehundi.
1728190060	“Mungandienzanisa naaniko? Kana kuti ndiani akaenzana neni?” ndizvo zvinotaura Iye Mutsvene.
17281a00e3	Simudzai meso enyu mutarire kumatenga. Ndianiko akasika zvose izvi? Iye anobudisa nyeredzi imwe imwe, achidzidana imwe neimwe nezita rayo. Nokuda kwesimba rake guru uye noukuru hwesimba rake, hapana kana imwe zvayo inoshayikwa.
17281b0093	Unoreveiko, iwe Jakobho, unogununʼuna chii, iwe Israeri uchiti, “Nzira yangu haizivikanwi naJehovha; Mwari wangu haana hanya nezvandinorwira?”
17281c0096	Hauzivi here? Hauna kunzwa here? Jehovha ndiye Mwari nokusingaperi, Musiki wamagumo enyika. Haaneti kana kuziya, uye hakuna angayera kunzwisisa kwake.
17281d0046	Anopa simba kuna vakarukutika, uye anowedzera simba kuna vasina simba.
17281e0046	Kunyange majaya anoneta uye anorukutika, uye majaya anogumburwa agowa;
17281f0090	asi avo vane tariro muna Jehovha vachavandudza simba ravo. Vachabhururuka namapapiro samakondo; vachamhanya vasinganeti; vachafamba vasingaziyi.
172901009d	“Nyararai pamberi pangu, imi zviwi! Ndudzi ngadzivandudze simba radzo! Ngadziswedere mberi dzitaure; ngatisanganei pamwe chete panzvimbo inotongerwa mhaka.
17290200e5	“Ndianiko akamutsa mumwe kubva kumabvazuva, akamudana nokururama kuushumiri hwake? Anopa ndudzi kwaari, uye anoisa madzimambo pasi pake. Anovashandura vagova guruva nomunondo wake, vagova hundi inopepereswa nemhepo nouta hwake.
172903005d	Anovadzinganisa agopfuurira mberi asina vanga, nenzira yaasina kumbotsika netsoka dzake kare.
1729040086	Ndiani akabata basa iri akaripedza, akadana zvizvarwa kubva pakutanga? Ini, Jehovha, iye wokutanga wavo newokupedzisira, ndini iye.”
1729050053	Zviwi zvakazviona zvikatya; magumo enyika anodedera. Vanoswedera uye vagouya mberi;
1729060042	mumwe nomumwe anobatsira wokwake, achiti kuhama yake, “Simba!”
17290700da	Mhizha inokurudzira mupfuri wegoridhe, uye iye anotsetsenura nenyundo anokurudzira uyo anorova panhera. Anoti kune chakanamwa nomoto, “Ichi chakanaka.” Anoroverera chifananidzo pasi nechipikiri kuti chisazungunuka.
1729080063	“Asi iwe, Israeri, muranda wangu, Jakobho, wandakasarudza, imi vana vaAbhurahama, shamwari yangu,
172909009a	ndakakutora kubva kumagumo enyika, ndikakudana kubva kumakona ayo ari kure. Ndakati kwauri, ‘Uri muranda wangu,’ ndakakusarudza uye handina kukuramba.
17290a00a1	Naizvozvo usatya, nokuti ndinewe; usavhunduka, nokuti ndini Mwari wako. Ndichakusimbisa uye ndichakubatsira; ndichakutsigira noruoko rwangu rworudyi rwokururama.
17290b0085	“Vose vanokutsamwira zvirokwazvo vachanyadziswa uye vachanyara; vose vanokakavadzana newe vachava sechinhu chisipo uye vachaparara.
17290c005e	Kunyange ukatsvaka vavengi vako, hauzovawani. Avo vanorwa newe vachava sechinhu chisipo chose.
17290d0066	Nokuti ndini Jehovha, Mwari wako, anobata ruoko rwako rworudyi achiti kwauri, Usatya; ndichakubatsira.
17290e0093	Usatya Jakobho iwe honye, iwe mudiki Israeri, nokuti ini iyeni ndichakubatsira,” ndizvo zvinotaura Jehovha, Mudzikinuri wako, Mutsvene waIsraeri.
17290f0085	“Tarira, ndichakuita mupuro, mutsva unopinza, una meno mazhinji. Uchapura makomo ugoapwanya, uye uchaderedza zvikomo zvikava hundi.
172910008a	Uchaapepeta, achatorwa nemhepo, uye chamupupuri chichaaparadzira. Asi iwe uchafara muna Jehovha, uye uchazvirumbidza muMutsvene waIsraeri.
1729110095	“Varombo navanoshaya vanotsvaka mvura asi hakuna; ndimi dzavo dzaoma nenyota. Asi ini Jehovha ndichavapindura; ini, Mwari waIsraeri, handizovasiya.
172912009b	Ndichaita kuti nzizi dziyerere pamitunhu isina miti, namatsime pakati pemipata. Ndichashandura gwenga rikava madziva emvura, nenyika yakaoma ikava matsime.
1729130078	Ndichaisa mugwenga musidhari nomuakasiya, mumite nomuorivhi. Ndichaisa mipaini musango, misipuresi nemifiri pamwe chete,
1729140092	kuitira kuti vanhu vaone uye vagoziva, varangarire vagonzwisisa, kuti ruoko rwaJehovha rwakaita izvozvi, kuti Mutsvene waIsraeri ndiye akazvisika.
172915007a	“Sumai mhaka yenyu,” ndizvo zvinotaura Jehovha. “Uyai namashoko enyu akasimba,” ndizvo zvinotaura Mambo waJakobho.
17291600b7	“Uyai nezvifananidzo zvenyu zvitiudze zvichaitika. Tiudzei zvinhu zvakare kuti zvaiva zvipi, kuti zvimwe tizviongorore tigoziva magumo azvo. Kana kuti tizivisei, zvinhu zvichaitika,
17291700a7	tiudzei kuti ramangwana rinei, kuti tizive kana imi muri vanamwari. Itai chimwe chinhu, chingava chakanaka kana chakaipa, kuitira kuti tigoshamiswa tigozadzwa nokutya.
1729180056	Asi imi hamusi chinhu, uye mabasa enyu haana maturo chose; anokusarudzai anonyangadza.
17291900c1	“Ndamutsa mumwe anobva kumusoro, zvino ari kuuya, mumwe anobva kumabvazuva anodana kuzita rangu. Iye anotsika pamusoro pavabati kunge anotsika dope, kuita sokunge muumbi wehari anokanya ivhu.
17291a00e5	Ndianiko akazvireva kubva pakutanga, kuti zvimwe, tingaziva, kana kuti zvichigere kuitika, kuti zvimwe tigoti, ‘Akanga anatsa?’ Hapana akataura izvozvi, hapana akataura kuti zvichauya, hapana akanzwa kana shoko kubva kwamuri.
17291b0073	Ndini akava wokutanga kuudza Zioni kuti, ‘Tarira, ava vari pano!’ Ndakapa kuJerusarema nhume yamashoko akanaka.
17291c0062	Ndinotarisa asi hapana munhu, hapana pakati pavo anopa zano, hapana anondipindura pandinovabvunza.
17291d005c	Tarirai, vose inhema dzoga! Mabasa avo haana maturo; zvifananidzo zvavo imhepo nenyonganiso.
172a010095	“Tarirai muranda wangu, wandinotsigira, musanangurwa wangu wandinofarira; Ndichaisa Mweya wangu pamusoro pake, uye achavigira ndudzi kururamisirwa.
172a02004a	Haazodanidziri kana kuridza mhere, kana kusimudza inzwi munzira dzomuguta.
172a030078	Rutsanga rwakapwanyika haangaruvhuni, uye nomwenje unopfungaira haazoudzimi. Mukutendeka, achavigira vanhu kururamisira;
172a04007c	haangakoniwi uye haangaperi simba kusvikira asimbisa kururamisirwa panyika. Zviwi zvichaisa tariro yazvo mumurayiro wake.”
172a0500ac	Zvanzi naMwari Jehovha, iye akasika matenga akaatatamura, akatambanudza nyika nezvose zvinobuda mairi, anopa kufema kuvanhu vayo, noupenyu kuna avo vanofamba pamusoro payo:
172a060095	“Ini, Jehovha, ndakakudana mukururama; ndichabata ruoko rwako. Ndichakuchengeta ndigokuita kuti uve sungano yavanhu nechiedza kune veDzimwe Ndudzi,
172a07006e	kuti usvinudze meso asingaoni, usunungure vakasungwa mutorongo uye usunungure vari mugomba, avo vagere murima.
172a080071	“Ndini Jehovha; ndiro zita rangu! Handizopi kukudzwa kwangu kuno mumwe, kana kurumbidzwa kwangu kuzvifananidzo.
172a090072	Tarira, zvinhu zvakare zvaitika, uye ndiri kutaura zvinhu zvitsva; izvo zvisati zvavapo ndinozvizivisa kwamuri.”
172a0a008f	Imbirai Jehovha rwiyo rutsva, murumbidzei kubva kumagumo enyika, imi munoburukira kugungwa, nezvose zviri mariri, imi zviwi, navose vanogaramo.
