2800000007	Matewos
2b13200083	Estan meya taar'osakito yeesere Yesusneen ane suuttere yere tesuni basa orgonon kiir'esete. Tusire dey hepsaasa orgonon kiir'esete.
2b13210054	Sinuntano Yesusniki yeesefe kabaasik bar kitinamato biyaat orgobaason aane kiir'oto.
2b1322004b	Meya taar'osasin isaas teshbaason ebok kejin geregere harinnewa akane kesi.
2b1323006c	Es baron biya bar nitto amanotik zaala make. Makena zaalaas dey futo. Makefena bar futo sinnamato bar arife.
2b1324005e	Es bar dey sinnaas: «Basa megaassin isarnu aafa kiitona wuza» yifa tichaasi kaama ko'unakwa.
2b13250033	Dey ooma tichaasnu: «Kejete barin biyonewa» yifa.
2b132600bb	Ayhudni ha'sinynyani meyanon digefaat aachok Yesusni nawo sina Armatiyaski Yosef Yesusni dugnooson ephanak Philaxosnin shiiphe. Pilatos dey ephanak make. Estan Yosef hamme dugnooson ephi.
2b13270072	Zeemo sinak talmak Yesuniki ye Nikodimos fayba keezasir kiilo sinni Kumbinewa Reettine woi'to sawa wuza ephphe ye.
2b1328007d	Yosefnawa Nikodimosna Yesusni dugnooson ephphe taamme Ayhudni meeni zuutuni tumaasimato shitto woshshire wor'a maamak kimete.
2b13290082	Bar suuttena dimaas toktera di akakiltiisi teshta. Es toktera di akakiltiisi ganesi asuni dugno girunoyna gaddo shu'ni mooga faar.
2b132a0070	Beysani wonaasi hooroni wona sinna boor'anawa moogaas dey ta'a sinna boor'ana Yesusni dugnooson esta kabbarsete.
2b1401007e	Guddani wono she'u feteetunoyfeen Megdelawitki Maarami moogaaski hami. Moogaasta uktera kuni inya shu'aas bukalera kunfeen bi.
2b1402009b	Bar eelet Simon phexirosnikinawa Yesus shunfena oom nawooskina hamma: «Daamiisa dugnonon shu'ni moogaassin ephetewa. Ay kunussetemato aane aruweniwa» yi.
2b14030034	Estan Phexiros oom nawoosna kesere moogaaski hamete.
2b14040068	Hepobesiise eelet hameter. Sinuntano oom nawoos Phexirosnistan taptere eelle zeemme moogaasi esta kar'i.
2b14050048	Mogire biin Yesus kimtena maamaas kunfeen bi. Sinuntano sir aane giruwe.
2b1406004e	Simon Phexiros dey orfobaase yeere moogaassi girin kimtena maamaas kunfeen bi.
2b14070061	Dey teetbaasta marte maamaas kimte maamaasneen sinnoynaron teetbak birtera ooma dimta kunfeen bi.
2b14080040	Estan dey zeemme moogaaski ye oom nawoos girire biire dey amane.
2b1409004e	«Bar kitun kabunak sholsifa» yifa tichaasi kaamanon hashnu aane yaadatosoto.
2b140a0036	Esseen orfo nawoni meya wolle feesefe dimaasta hamete.
2b140b0059	Megdelawitki Maarami moogaasi gerakalo yerefaat waasidifar. Waasifat moogaassi mogira bi.
2b140c0068	Hep Ha'oni wosiya foro maya mayera Yesusni dugno kunnaasta isaas boktaasta isaas chogoosta diisefeen bi.
2b140d0093	Baasso dey: «Han asuse! Awuni boor'a waasidifatarinse?» yisete. Bar wolgira: «Daamtaasa dugnonon ephphe hamete. Ay kunussetemato aane arut» yi.
2b140e0057	Es baron iyaat orfoba wolla biin Yesus yerefeen bi. Sinuntano bar sinbaason aane aruwa.
2b140f00b7	Yesus: «Han asuse! Awuni boor'a waasidifatarinse? Oonininse sholedifatari?» yi. Bar akakiltini tasowa iyaat: «Daamiiso! Ne ephaatane ay kunsitamato makowa. Ta ephpha hamanawa» yi.
2b14100072	Yesus baron: «Maaram» yi. Bar dey orfo wolla Ibrayistini noonok: «Rabuni» yi. Kotbaas dey: «Assinynyano» uu.
2b141100c7	Yesus: «Hashne den Abaaski aane hamut sinna boor'a taan ta'utaatawe. Sinuntano aytaasakitoniki hamfaat: ‹Ta abataaskinawa abantiisikna, Ha'onaaskinawa Ha'ontiiskina hamanar yi› yira makowe» yi.
2b14120073	Estan Magdelawitki Maarami hamma nawoni meyak: «Daamiisin biingwa» yi. Dey bar barik awu makenamato baassok make.
2b141300cb	Es guddani wono waalin nawoni meya Ayhudni meeni ha'sinynyani meyanon digesete boor'a gamalaasikitonon kulfaat zuuttesere feeseter. Yesus yeere baasso ganeyaassi yerefaat: «Naga nittok sinfawungwa» yi.
2b14140071	Es baron makefaat kushubaasewa teshbaase asin baassok besi. Nawoni meya dey daamiisin biyeteyse akamanon girsete.
2b14150063	Yesus hepsa dey: «Naga nittok sinfawungwa. Abaas taan wosinaysimato ta dey nittotin wosunawa» yi.
2b14160044	Es baron makefaat baassosta fugin: «Korto Ayyanaason ephpheteesete.
2b1417009b	Nitto asuni meeni boor'aason feeshun iyaatine boor'besiis feeshun ustona. Nitto asuni meeni boor'aason feeshun uu shakaatine aafa feeshun ustona wuza» yi.
2b14180064	Es kabaasik asire heppesasin isaas; Didimoos yistefe Tomas Yesus yeena kabaasik baassoneen ane aafe.
2b141900f5	Oom nawoni meya Tomasnik: «Daamiisin biiniwa» yisete. Sinuntano bar: «Musmarik ichche kushubaastaki sakaasson kushunaasi waay'ak sir zugera biinoynawa dey kushunaasi waay'ak teshbaastaki mazanon taptira biinoyna isanne aafa amanona wuza» yi.
2b141a00c0	Hepsa dey nangrinsinari wono nawoni meya isarik feeseter. Tomas dey baassoneen ane feer. Gamalaasikito kuluftobaase feen Yesus yeere baasso ganeyaassi yerefaat: «Naga nittok sinfawungwa» yi.
2b141b00b4	Esseen orfo Tomasnin: «Kushuneesi waay'anon teshshera kushunaasi sakaasta ta'ira biwa. Kushuneeson teshshera teshnaastaki mazaason ta'uwa; amaner sintano amanonor sinatatawa» yi.
2b141c0030	Tomas dey: «Daamtaaso! Ha'onaase!» yire wolgi.
2b141d0056	Yesus dey Tomasnin: «Ne biita boor'atu amanetwa. Biinoy amanefe baasso suustowa» yi.
2b141e0063	Yesus han tichaassi tichchonoy showo biistera artonoy wuza nawoni meyaneen ane feena kabaasik zagi.
2b141f008b	Sinuntano Yesus bar Kiristoos Ha'oosi Naa sinbaason amanotiknawa amanera dey basa sunaasik koi'ba foonto kaa danatiknatu han bar tichchewa.
2b15010077	Esseen orfo Yesus Galiilaki baarisi tesha hepsa nawoni meyak ammanon beste. Es baassok ammanon bestenaas haniisimatowa.
2b1502009e	Simon Phexirons, «Mano» yistefe Tomas, Galiilak fa Qaanani katamaassiki Naatinael, Zabdiyosni naanggotiisnawa nawobaasasin oom hep nawoosna isarik feeseter.
2b150300b1	Simon Phexiros baassok: «Kurxummni eshak hamnarwa» yi. Baasso dey: «Neneen ane hamaniwa» yisete. Kesere dey goonuussi girsete. Sinuntano es waalaasik isarinnu aane ephosoto.
2b1504005f	Wonfana kabaasik Yesus es baarisi ha'a yere. Sinuntano nawoni meya Yesus sinbaason aane arsoto.
2b1505006c	Yesus: «Naanggotno! Isa eshsha ephti qurxummi faaroso?» yire mamsi. Baasso dey: «Aafawa» yire wolugsete.
2b15060098	Bar dey: «Yugudooson goonuusi oi'ta teshta ha'utiwa; Estan danati» yi. Baasso dey ha'sete. Showo qurxummi ootte sinna boor'a zatte kisuk aane chimoto.
2b150700ac	Yesus shunfena nawoos Phexirosnin: «Daamiiswabiti!» yi. Es bari boor'a Simon Phexiros daamniis sinbaason odenayse atatubaase sinna boor'a maambaason mayye baariissi giri.
2b15080093	Sinuntano oom nawoni meya daastan woketees isa tiya metiritano akamanon aane wokoto. Qurxummi tuumma fa yugudooson zatet goonuussi diisere yeesete.
2b15090051	Goonuussin kersefe kabaasik kurxummi barista kunna kaa'oni geenewa tushne biyete.
2b150a003c	Yesus: «Hashti eshsha ephti kurxummiissin teshshotiwa» yi.
2b150b00a9	Simon Phexiros goonuussi girire isa tiirewa uuchasire keeze inya inya qurxummik tuumma fa yugudooson zatte daasta kisi. Effatena showo sinfanaknu yugudoos aane karatowa.
2b150c008d	Yesus baassotin: «Yaara ufeshshu muutiwa» yi. Daamiis bar sinbaason arsete boor'a nawoosasin isarnu: «Ne oonso?» yire mamsuk chimar aafe.
2b150d0046	Yesus yeere tushaason ephphe baassok imaat kesse kurxummiison dey imi.
2b150e003e	Yesus kitun kabinanneen orfo nawoni meyak keessa wolle uphoba.
2b150f00f1	Ufeshshu meesetenneen orfo Yesus Simon Phexirosnin: «Yohanisni naa Simonno! Han baassostan denalo taan keeshtefatoso?» yire mamsi. Bar wolgire: «Aa, Daamtaaso! Shunfanamato ne aritarwa» yi. Yesus dey: «Garo garo fantunaason keemma» yi.
2b151000a4	Hepsa dey Yesus: «Yohannisni naa Simonno, taan keeshtefatoso?» yi. «Aa, Daamtaaso! Shunfanamato ne aritarwa» yi. Yesus wolgire: «Fantunaasikitonon keemma» yi.
2b151100f0	Keessak dey: «Yohannisni naa Simonno taan shunfa toso?» yi. Keessak dey: «Taan shunfa toso?» yina boor'a Phexiros suumere: «Daamtaaso! Ne zuuttambaase asin aritarwa. Shunfanamato dey ne aritarwa» yi. Yesus: «Fantunaasikitonon keemma.
2b151200e4	Futo neek makefangwa: Ne na'o asu sinfa ta kabaasik ne teetneesik geshoneeson talfak taar'era shunta dima hamet faatar. Sinuntano kur'ifata kabaasik kushuneeson kabgira besaan oom asu taatuna. Ne shunnoyta dima dey taamana» yi.
2b15130076	Yesus ekka yinaas Phexiros aro kitu kitire Ha'ooson ulfinsunamatotu besifa. Es baron iyaat: «Taneen ane hamniwa» yi.
2b151400b7	Phexiros yerqere Yesus shunfena nawobaas basa orfoose hamfeen bi. Es bar dey meeta'u maastefana kabaasik Yesusniki tai'sere: «Daamtaaso! Neen aatire imniis oonso?» yire mamsi barwa.
2b1515004f	Phexiros Yesus shunfena nawobaasin biyaat Yesusnin: «Han asus awu sinni?» yi.
2b1516006b	Yesus: «Ta wolla yoona kabaneen bar kaak foonak sholefaanane neen awu tiir'e. Ne taneen ane hamniwa!» yi.
2b151700df	Es bari boor'a nawoni meeni ganeyaassi: «Es nawoos aafa kituna wuza» yifa wolla zi'i. Sinuntano Yesus: «Ta wolla yoona kabaneen bar kaak foonak sholefaanane neen awu tiir'eso?» utu yiteno: «Aafa kituna wuza» aane uwe.
2b15180066	Es nawoos han chowaasikitonon zuutire zaala makere tichiwa. Bar makena zaalaas futo sinnamato arifeni.
2b151900b2	Yesus zagina ooma showo wuza faar. Taak bestefanaysimato bar zagina wuzaas zuuttera isarba isarbaasik tichche sinfaanane es tichaason han daas teetbaasik wor'ak chimana kabatawa.
2c00000012	Wosini meeni wosto
2c0101009e	Tewofilosno! Zeemoti tichina tichaasta Yesus wostena wuzaasewa assina assuse asinna tichingwa. Es Tichinaas dey Yesus wostobaason jammarena wonaastan kabgira,
2c0102008e	Den sama hamana wononeen kar'a wostena wostosongwa. Den sama hamnaas bar korina wosibaasik Korto Ayyanaaski kamo ajajibaason imnanneen orfowa.
2c010300c3	Akama shanaason ephpheteere kitinanneen orfo hayew sinne foobaason showo ugnak ammanon biiste zaalaak kesse baassok beste. Acheechasir wona kesse bestefaafe Ha'oosi taatoni chowanon baassok assi.
2c01040072	Baassoneen ane feena kabaasik ekka yire ajaje: «Ta makena Abaaskin imte abdiison oodtitano Yerusalemun kesatiita.
2c0105005b	Yohannis akaktu haphqi; sinuntano nitto garo wonaneen orfo Korto Ayyanaktu haphuqtoti» yi.
2c0106007d	Baasso Yesusneen ane isarik zuuttere feeseten: «Daamiiso! Israelni taatooson wolgira imata wonaas hashnoso?» yit mamussete.
2c01070073	Yesus dey wolgire: «Abaas basa ha'suni hugnaasik hoossina wonaasewa neyaase asin nitto arutik aafawa chimati wuza.
2c010800ac	Sinuntano Korto Ayyanaas nittoosta kerefana kabaasik hugna danatiwa. Es kabaasik Yerusalemuk, Yuudak, Samariyaknawa hamma daani dila kar'ananneenna taak zaal sinatiwa» yi.
2c01090066	Es baron makenanneen orfo baasso biyefeen den sama hami. Shaaruus dey barin ephpha aaffesiissin aachi.
2c010a0072	Bar den sama hamfeen baasso dey den sama kootkire biyefeen diinqone foro maama mayo hep asu baasso tesha yerefaat:
2c010b0099	«Nitto Galiilaki asu! Awagan den sama kootkira biyet yeretirinso? Han den sama hamfeen biyeti Yesus den sama hamfeen biyetiisimato wolle dey yoonirwa.»
2c010c008d	Esseen orfo Dabrazayitini kumaastan Yerusalem wolsete. Es Dabrazayitini kumaas Yerusalemniistan wokbaas isa beysani wonni kutuni ugna sinana.
2c010d00d7	Yerusalem yeesere den diisefe segenetiista kesete. Es kese baasso dey Phexiros, Yohannis, Yaqob, Indiriyas, Filiphoos, Tomas, Bertelomewos, Matiyos, Ilfiyosni naa Yaqob, Kooner yistefe Simonnawa Yaqobni naa Yuudana.
2c010e00b6	Es baasso zuuttambesiise isarik Ha'oni shiiphok wonna wonna zuutteset feeseter. Baassoneen ane dey isa isa mashka meya Yesusni into Maarami esiisimato dey Yesusni ayni meya feeseter.
2c010f0051	Es wono Phexiros tiirewa hepasire sinni amanynyini meeni ganesi yerefaat ekka yi:
2c01100091	«Ayni meyane! Yesusnin ephpha baassok zoonsi sina Yuudani chowaasik Korto Ayyanaas zeemma Dawitniki kamo makena tichaasi kaama ko'unak sholsuwa.
2c0111004d	Yuuda innoossin isar sinne faattere han inno wostefeni wostooson wostet feer.
2c0112007d	Sinuntano han asus es wostena mangu wostobaasi waagak daa waage. Estan sinbaasik gandere kixxek karate. Kenashbaas dey fe'te.
2c011300ae	Es chowaas dey Yerusalemuk feese baasso zuuttambesiise asik odte. Es bari boor'a es daas baasso noonoosik: ‹Akkeldaama› yistera teegte. Kotbaas dey: ‹Harinni daa› uu.
2c011400c2	Es bar sinnaas gaamni matsafaassi: «‹Foona keebaas ona sinfawungwa; oonu barissi foonaatawa› dey: ‹Barik imte wostooson; oom asu basaastan ephphe wostowowa.› yistera tichchena boor'awa.
2c0115005f	«Es bari boor'a Daam Yesus inno ganeyaassi kutit feena kabaasik innoneen ane feese baassossin;
2c011600ba	Esiisimato dey Yohannisni haphqustan kabira Daam Yesus den sama hamna wonaastaneen kar'e ane feese asuni meyaassin isa asu innoneen ane kitun kabubaasi chowaasik zaal sinanak sholsuwa.»
2c0117006b	Esseen orfo hep asunin ephphe yeesete. Es baasso dey Barsabaas wedey Iyyosixos yistefe Yosefnawa Matiyasna.
2c01180078	Ekka yisere shiiphsete: «Asu zuuttambaase asi nibanon arife Daamiiso! Han heppiisasin oonin koritamato ne innok besuwa.
2c01190073	Shiiphefeniis Yuuda beyye basa teetni dimaassi hamna wostoosewa wosi sinaason ephphetooni barinna innok besutakwa»
2c011a0062	Estan ixaason hai'seten Matiyasnik kesi. Es bari boor'a bar asire isse wosini meyaneen ane faatte.
2c0201006a	Penxekooste yiste heeboos kar'fana kabaasik nawoni meya zuuttambesiise isarik isa dimta zuuttere feeseter.
2c02020056	Diinqo akama ipuwani kaamane fa kaama den saman ya. Baasso feesete keyaassi dey tuumi.
2c02030048	Termane fa geeni wino baassok beste. Bagte bagtera isa isarbesiisata di.
2c02040066	Zuuttambesiise Korto Ayyanak tuuntesete. Korto Ayyanaas baassok imna aruusimato ooma noonok wolumsete.
2c02050051	Es kabaasik daa daassin yeese Ha'ooson digsefe Ayhudni meya Yerusalemuk feeseter.
2c0206008d	Es kaamaason odesefe kabaasik showo asuni meya zuuttesete. Isarbesi isarbesiis baasso teetni noonoosik wolumsefeen odesete boor'a diinqesete.
2c02070060	Diinqoknawa dajokna ekka yisete: «Han ekka wolumsefe baasso zuuttambesiise Galiilaki asutenoso?
2c0208003a	Eekin inno daani noonoosik wolumsefeen odefeniis aakkanso?
2c0209005a	Inno Partenaki, Meedki, Elamki, Mesopetomiyaki, Yuudaki, Kepedokiyaki, Pantoski, Iisiyaki,
2c020a008f	Firgiyaki, Punfiliyaki, Giphtsiki, Kerenani tesha fa Libiyani awurajjaasitu faafeni. Inno Roomun ye Ayhudni meenawa Ayhud sina inno dey faanir.
2c020b0084	Esiisimato Qerxesni asuni meenawa Arabni asuni meena zuuttere Ha'oosi akama wostonon inno teetni noonoosik wolumsefeen odedifeniwa»
2c020c004a	Es bari boor'a zuuttambesiise diinqesere: «Han wuzaas aambanso?» yisete.
2c020d0046	Sinuntano isa isaas: «Wayinini usha ushere zaysetewa» yit kanyesete.
2c020e00f6	Es kabaasik Phexiros asire isse wosini meyaneen yerefaat kaambaason teggire daraasik ekka yit make: «Nitto Yuudani daastaki asunawa Yerusalemuk feese nittona zuuttamnitiise han sina chowaason aruk sholefaatine ta makefana baron mai'sira odotiwa.
2c020f005a	Hash wonnanneen keez sa'ati sinna boor'a nitto safarefetisimato han baasso aane zaysotowa.
2c02100046	Sinuntano han bar sinnaas raajju Iyyuel ekka yit makena bar ko'unakwa:
2c021100c3	«‹Ha'oos koi'ni wonaasikitosi; Ayyananaason asu zuuttambaase asiista kessunawa; arqaasnawa mashka naanggotnitiise raaji maksone; na'oni meya dey raa'i biyone; kur'uni meya dey miito miitosone.
2c02120089	Esiisimato dey es wonaasikitosi; arqa wostinynyataasatanawa; mashka wostinynyanaastana; Ayyananaason kessunawa; baasso dey Raaji maksone.
2c02130075	Den samak diinqi wuzasikitonon; han daastak dey biistera artonoy wuza besunawa; hanna, geya, geeni ki'na dey bestona.
2c02140065	Akama dey diinqi sina Daamiisa wona yoonoyfeen; zeemma Awaas talmona; assaas dey hannane faar sinana.
2c02150037	Daamiisa sunanon teegefe bar zuuttere fui'tona› yiwa.
2c021600e4	«Israelni asuni meeno! Han kaamaason odotiwa. Nitto teetaasik arifetisimato Naaziretki Yesus bar oo sinnamato Ha'oos nitto ganeyaassi barki kamo zagina akama akama wostoos, biistera artonoy wuzaasewa besose futo sinbaas artewa.
2c0217009d	Bar teetbaasik Ha'oos zeemma koppa'ena bariknawa arina barikna nittok aattere imtewa. Nitto dey barin tumabesi foonto meeni kushusi suuttonak zagira worseti.
2c02180071	Sinuntano kituus barin ephpha fu'onak aane chima sinna boor'a Ha'oos kituusi shananon tishkira barin kitun kabgi.
2c02190081	Dawit dey basa chowaasik ekka yi: «‹Daamiisin wonna wonna sinnaastatu biifawungwa; nawonoynamato bar hoi'ta teshnaastatu fewa.
2c021a005e	Es bari boor'a nibnaas gire; noononaas dey girak tuunte; Esiisimato ashnaas dey abdiktu faafa.
2c021b0069	Kaanaason ke'oni dimaassi aafa beyana wuza; Kortoneesin dey; moogaassi kuuppe fui'tonak aafa zaguta wuza.
2c021c0052	Kaani ugnaason taak assitwa; ne taneen ane sinta boor'a; giranaas tuuma sinana.›
2c021d00a1	«Aytaasakitono! Zeemoti abani meeni ganeyaassin isaas sina Dawit kitire kabbartenamato; moogbaas dey hawungneen kar'a innokik faanamato ammanon nittok makonawa.
2c021e00bb	Sinuntano Dawit es baron makenaas raajju sinna boor'anawa dey Ha'oos barik: ‹Ne zalaassin isaasin ne zigimoosta duusunawa› yit teyya girina abdini kaamaason arire feer sinna boor'awa.
2c021f009b	Es bari boor'a: ‹Kiristoos› ke'oni dimaassi fui'tonoynamatonawa ashbaas dey moogaassi kuupnoynamatonatu zeemme biyaat kitun kabuna bari chowaason make.
2c02200048	Es Yesusnin Ha'oos kitun kabgiwa. Inno dey zuuttera es chowaasik zaalwa.
2c02210095	Ha'oosi hoi'ta teshta duuk den tegifena kabaasiknawa Korto Ayyanaasi abdinon Abaaskin ephna kabaasikna han biifeti baronnawa odefeti baronna kessiwa.
2c022200b9	Ese den sama kesaas Dawit sinna beybaason Dawit teetbaasik ekka yit makewa: «‹Daamiis Daamtaasik; gumaneesin ne ha'suni hugnaasi sikalosi; zaguna kabaneen; hoi'ta teshnaasta duwa.›
2c02240074	«Ese han nitto suutti Yesusnin Ha'oos Daam dey Kiristoos zaginamato Israelni meeni daraas zuuttere futok aruwowa!»
2c02250099	Daraas dey es baron odesefe kabaasik nibbesiissi akamanon safarsere Phexirosninnawa oom wosini meyanonna: «Ayni meyane! Eekin awu zagunirinso?» yisete.
2c022600a9	Phexiros dey ekka yi: «Harmutiwa; boor'nitiis dey feeshun ustonak isa isarnitiis Yesus Kiristoosni sunaasik haphuqtoti. Ha'oosi ima sina Korto Ayyanaason ephphatootiwa.
2c0227008c	Abdini kaamaas nittoknawa naanggotnitiisikitoknawa. Esiisimato dey Daama Ha'oos barki teegona woksok feese baasso zuuttambesiise asiknawa.»
2c0228006d	Dey ooma showo kaama zaala maket: «Han elinga koontoosta yooni ke'oossin teetnitiison fu'otiwa» yire kiiti.
2c02290074	Baassossin showobesiis es kaamaason ephpheteesere haphuktesete. Es wono keez kum sinni asuni meya amanere daytesete.
2c022a006b	Baasso dey wosini meeni assuuson odesere isarik fook, tushaason isarik muuknawa shiiphokna chimet feeseter.
2c022b007a	Es kabaasik wosini meeni kushuussi showo biistera artonoy wuznewa diinqine zagtet faar sinna boor'a asu zuuttambaase dige.
2c022c0047	Amanynyini meya zuuttere isariktu feesefe. Fa wuzbesiis zuuttera gaara.
2c022d0074	Fa wuzbesiisonnawa otumbesiisonna kisire waagefaafe es waagaason isarba isarbaasik sholsinamato haa'e imet feeseter.
2c022e0097	Wonna wonna betemeqdesiissi zuutteset feeseter. Keebesi keebesiissik dey wol teegsefaafe isarik tushaason batte giraknawa ma'a nibakna meeset feeseter.
2c022f0094	Daamiisin dey galatteset feeseter. Dara zuuttambaase dey baassotin ulfinsit feer. Ha'oos dey faruni asuni meyanon wonna wonna baassosta daysit faar.
2c03010061	Isa wona Phexirosnawa Yohannisna Ha'o shiiphtefana wonni izgin sa'atiista betemeqdesiiski kesete.
2c030200dc	Estak «Gada» yistefa betemeqdesiisi finynyi faar. Estak intobaasi keensin laafa sinne koonte isa asu feer. Bar dey betemeqdesiissi girife asuskin waaga shiiphonak wonna wonna asuni meya wor'e teshshosi duusit feeseter.
2c0303005c	Es asus Phexiros Yohannisna betemeqdesiissi girsefeen biyaat waaga imonek baassotin shiiphe.
2c0304004f	Phexiros Yohannisna asuski kootkire biyefaat Phexiros: «Hang innoki biwa» yi.
2c03050039	Asus dey baassokin isa wuzane imonerwa iyaat kootkire bi.
2c03060097	Sinuntano Phexiros: «Birrinewa warqene taakik aafawa. Sinuntano taaki fa baron neek imanawa. Naaziretki Yesus Kiristoosni sunaasik kabira kutuwa» yi.
2c03070049	Hoi'ta kushubaasi zatte kabgin geregere wochobaasewa kumarkushbaase zagi.
2c03080069	Kabire dey yere. Kutit baassoneen ane betemeqdesiissi giri. Bar dey kutit, fillet Ha'ooson galattet feer.
2c03090046	Daraasakito zuuttambesiise kutifeennawa Ha'ooson galattefeenna biyete.
2c030a00a4	«Gada finynya» yistera teegtefa betemeqdesiisi finynyita diifaat shiiphet fe bar sinnamato arsete. Basaastaki sina chowaasik akamanon dajesere diinqeset feeseter.
2c030b0090	Fari asus Phexirosninnawa Yohannisninna asin zataat feen daraas zuuttere diinqok: «Solomonni dagafiyo» yistefa dimaasta baassoki eelet hamete.
2c030c00fc	Phexiros asuni meyanon biinayse ekka yi: «Israelni daraaso! Han chowaasik awuni boor'a diinqedifetirinso? Awuniron kootkira biidifetirinso? Inno teetniri hugnak wedey Ha'ooson digoniisik han asus farire kutunak zaginirne faar sinna nittok bestefawoso?
2c030d00ce	Inno abani meya Abraham Yisaqnawa Yaqobna asi Ha'o bari Naa Yesusnin ulfinsiwa. Sinuntano nitto kitunak Philaxosni sina aatira barin imetiwa. Pilatos dey kotanak sholen nitto: ‹Aane sholefeniwa› yiseti.
2c030e0060	Nitto Kortoosinnawa ookoosinna: ‹Aane sholefeni› yisefaat kaa wori barin kotanak shiiphseti.
2c030f0055	Kaa imfe barin worseti. Sinuntano Ha'oos barin kitun kabgi. Es chowaasik inno zaalwa.
2c031000a1	Han biifeti asusinnawa arifeti asusinna farire chima dannaas Yesusni sunaasik beste amantoosikwa. Yesusnik amanobaasik zuuttamnitiise asi sina tuuma faru daniwa.
2c03110073	«Hashnu aytaasakitono! Han Yesusniista zagseti bar nittotin ha'sife baassosimato tugga'ok zagsetimato arifawungwa.
2c03120091	Sinuntano Ha'oos zeemma raajjuni meya zuuttambesiise asiki kamo: ‹Kiristoos› shana ephphetoonak sholsifa yina kaamaas esiisik ko'unak zagiwa.
2c0313003b	Ese boor'nitiis feeshun ustonak harmira Daamiiski wolutiwa.
2c03140068	Daamiiskin hepsa wolla gaddo sinati wona nittok yoonak Daamiis zeemme korina Kiristoosnin nittok wosuna.
2c03150092	Es Yesus den samak foonaas Ha'oos zeemma korto raajjuni meyaki kamo makenaasimato han daas zuuttera hepsa wolla gaddo sinna wosustona kabaneengwa.
2c0316008e	Muse dey ekka yiwa: ‹Daama Ha'oos taan kabginaasimato nitto ganeyaassin raajjunin nittok kabgunawa. Bar nittok makona baron zuutira odotiwa.
2c0317004b	Es raajjuusin odo beya bar zuuttere daraasa ganesin oor kesse tishunawa.›
2c0318005c	Samuelniistan kabire feese raajjuni meya zuuttere han wonaasi chowanon esiisimato maksetewa.
2c031900cc	Raajjuni meyak makte abdiis nittokwa; esiisimato dey Ha'oos Abrahamnik: ‹Han daasta fe darani meya zuuttere ne zalaasiktu suustosonewa› yira abaniisakitoneen ane girina teyyaasi kaama nittoktu siniwa.
2c031a0099	Es bari boor'a Ha'o zeemma nawubaasin kabgira wosinaas nittokwa. Es baron dey zaginaas nitto isarniti isarnitiis mangu wostontiissin wolini suusanakwa.»
2c04010089	Phexiros Yohannisna daraasik maksefeen maagni meenawa betemeqdesini tasoni gaanynyaasna esiisimato dey Seduk'awini meya baassoki yeesete.
2c0402008e	Es hep wosini meya daraasik Yesusni kitun kabuuson assubesiisiknawa barki kamo kitun kabu foobaasonna kotte maksete boor'a akamanon gi'tesete.
2c04030072	Es bari boor'a Phexiros Yohannisna asin ephere gerok waala sinna boor'a wonananneen taatoni keer foosonek zagsete.
2c0404007c	Sinuntano basakitoni kaamaason ode baasso ganeyaassin showobesiis amanesete. Amane asuni meeni faadaas dey uuch kuma sinana.
2c04050072	Wonotirik Ayhudni meeni gaanynye meenawa kur'uni meena dey Museni tumaasi assinynyani meya Yerusalemuk zuuttesete.
2c040600b6	Zuuttese asuni meeni ganeyaassin maagni gaanynye meeni gaanynya Haannanawa Keyyaffana; Yohannisnawa Iskindirosna; maagni gaanynye meeni gaanynyaasa keerki meyaneen zuuttere feeseter.
2c04070081	Baasso dey Phexiros Yohannisna asin ganebesiissi yeetaat: «Han baron zagsetiis aro hugnak wedey ooni sunakinso?» yit mamussete.
2c04080064	Es kabaasik Phexiros Korto Ayyanak tuuntere ekka yit wolgi: «Daraasa ha'sinynyanawa kur'uni meyane!
2c0409005b	Hash hawung inno mamustoniis isa laafa asusata zagte ma'a wostoosewa aakkak farinamatonawa.
2c040a00b4	Han asus farire nitto sina yerenaas nitto suutni Ha'oos dey kitun kabgina Naaziretki Yesus Kiristoosni sunaasik sinnamato nittonawa Israelni dara zuuttambaase asikna arto sinungwa.
2c040b0057	Keyaason keer'fe nitto kashshira ha'iti shu'aas barwa; bar dey kajjaasta duuni shu'awa.
2c040c0082	Es bari boor'a faru ooma ookinnu aafawa. Inno farunik sholsina Ha'oos asunik imna suna barneen ooma samaneen daakuk oonu aafewa.»
2c040d00b8	Shonggoni meya Phexiros Yohannisna diga foontonon maksobesiison biyeteese arubesi foonto asu sinobesiison arseter sinna boor'a diinqesete. Yesusneen ane feeser sinobesiison dey arsete.
2c040e004f	Fari asus Phexirosneen Yohannisneen ane yerefeen biyaat maksone wuza turuksete.
2c040f0038	Estan shonggoostan kesonek zagsefaat ekka yit merkesete:
2c041000b1	«Eekin han asusakitonista awu zagunirinso? Yerusalemuk fe asu zuuttambaase asik baasso zagsete biistera artonoy wuzaas arto siniwa. Es bari boor'a mormonik aafawa chimani wuza.
2c04110093	Sinuntano han chowaas daraasa ganesi tagunoynamato hawungneen ekalo han Yesusni sunaason kabgire ooniknu maksonoytemato deessira kalaniwa» yisete.
2c04120068	Estan baassotin teegsere Yesusni sunaasik isanne maksonoytemato wedey assusonoytemato chinire ajajesete.
