0100000006	Genesi
1418010043	Non invidiare gli uomini malvagi, non desiderare di stare con loro;
141802004e	poiché il loro cuore trama rovine e le loro labbra non esprimono che malanni.
141803004a	Con la sapienza si costruisce la casa e con la prudenza la si rende salda;
141804004f	con la scienza si riempiono le sue stanze di tutti i beni preziosi e deliziosi.
1418050054	Un uomo saggio vale più di uno forte, un uomo sapiente più di uno pieno di vigore,
141806005f	perché con le decisioni prudenti si fa la guerra e la vittoria sta nel numero dei consiglieri.
141807005e	E' troppo alta la sapienza per lo stolto, alla porta della città egli non potrà aprir bocca.
141808002f	Chi trama per fare il male si chiama mestatore.
1418090051	Il proposito dello stolto è il peccato e lo spavaldo è l'abominio degli uomini.
14180a0044	Se ti avvilisci nel giorno della sventura, ben poca è la tua forza.
14180b005b	Libera quelli che sono condotti alla morte e salva quelli che sono trascinati al supplizio.
14180c00ab	Se dici: «Ecco, io non ne so nulla», forse colui che pesa i cuori non lo comprende? Colui che veglia sulla tua vita lo sa; egli renderà a ciascuno secondo le sue opere.
14180d0053	Mangia, figlio mio, il miele, perché è buono e dolce sarà il favo al tuo palato.
14180e006d	Sappi che tale è la sapienza per te: se l'acquisti, avrai un avvenire e la tua speranza non sarà stroncata.
14180f0053	Non insidiare, o malvagio, la dimora del giusto, non distruggere la sua abitazione,
141810005d	perché se il giusto cade sette volte, egli si rialza, ma gli empi soccombono nella sventura.
1418110060	Non ti rallegrare per la caduta del tuo nemico e non gioisca il tuo cuore, quando egli soccombe,
141812004d	perché il Signore non veda e se ne dispiaccia e allontani da lui la collera.
1418130035	Non irritarti per i malvagi e non invidiare gli empi,
1418140055	perché non ci sarà avvenire per il malvagio e la lucerna degli empi si estinguerà.
141815004f	Temi il Signore, figlio mio, e il re; non ribellarti né all'uno né all'altro,
141816005c	perché improvvisa sorgerà la loro vendetta e chi sa quale scempio faranno l'uno e l'altro?
1418170056	Anche queste sono parole dei saggi. Aver preferenze personali in giudizio non è bene.
141818005e	Se uno dice all'empio: «Tu sei innocente», i popoli lo malediranno, le genti lo esecreranno,
1418190061	mentre tutto andrà bene a coloro che rendono giustizia, su di loro si riverserà la benedizione.
14181a003e	Dà un bacio sulle labbra colui che risponde con parole rette.
14181b0055	Sistema i tuoi affari di fuori e fatti i lavori dei campi e poi costruisciti la casa.
14181c0053	Non testimoniare alla leggera contro il tuo prossimo e non ingannare con le labbra.
14181d005a	Non dire: «Come ha fatto a me così io farò a lui, renderò a ciascuno come si merita».
14181e004a	Sono passato vicino al campo di un pigro, alla vigna di un uomo insensato:
14181f006f	ecco, ovunque erano cresciute le erbacce, il terreno era coperto di cardi e il recinto di pietre era in rovina.
141820003c	Osservando, riflettevo e, vedendo, ho tratto questa lezione:
141821004e	un pò dormire, un pò sonnecchiare, un pò incrociare le braccia per riposare
1418220048	e intanto viene passeggiando la miseria e l'indigenza come un accattone.
1419010058	Anche questi sono proverbi di Salomone, trascritti dagli uomini di Ezechia, re di Giuda.
1419020043	E' gloria di Dio nascondere le cose, è gloria dei re investigarle.
1419030062	I cieli per la loro altezza, la terra per la sua profondità e il cuore dei re sono inesplorabili.
141904003c	Togli le scorie dall'argento e l'orafo ne farà un bel vaso;
1419050055	togli il malvagio dalla presenza del re e il suo trono si stabilirà sulla giustizia.
1419060040	Non darti arie davanti al re e non metterti al posto dei grandi,
1419070088	perché è meglio sentirsi dire: «Sali quassù» piuttosto che essere umiliato davanti a uno superiore. Quanto i tuoi occhi hanno visto
1419080071	non metterlo subito fuori in un processo; altrimenti che farai alla fine, quando il tuo prossimo ti svergognerà?
141909004a	Discuti la tua causa con il tuo vicino, ma non rivelare il segreto altrui;
14190a0053	altrimenti chi ti ascolta ti biasimerebbe e il tuo discredito sarebbe irreparabile.
14190b004d	Come frutti d'oro su vassoio d'argento così è una parola detta a suo tempo.
14190c0056	Come anello d'oro e collana d'oro fino è un saggio che ammonisce un orecchio attento.
14190d007f	Come fresco di neve al tempo della mietitura, è un messaggero verace per chi lo manda; egli rinfranca l'animo del suo signore.
14190e0053	Nuvole e vento, ma senza pioggia, tale è l'uomo che si vanta di regali che non fa.
14190f0051	Con la pazienza il giudice si lascia persuadere, una lingua dolce spezza le ossa.
141910005c	Se hai trovato il miele, mangiane quanto ti basta, per non esserne nauseato e poi vomitarlo.
1419110060	Metti di rado il piede in casa del tuo vicino, perché non si stanchi di te e ti prenda in odio.
1419120051	Mazza, spada e freccia acuta è colui che depone il falso contro il suo prossimo.
1419130061	Qual dente cariato e piede slogato tale è la fiducia dell'uomo sleale nel giorno della sventura,
141914006c	è togliersi le vesti in un giorno rigido. Aceto su una piaga viva, tali sono i canti per un cuore afflitto.
1419150052	Se il tuo nemico ha fame, dagli pane da mangiare, se ha sete, dagli acqua da bere;
1419160054	perché così ammasserai carboni ardenti sul suo capo e il Signore ti ricompenserà.
1419170052	La tramontana porta la pioggia, un parlare in segreto provoca lo sdegno sul volto.
1419180056	Abitare su un angolo del tetto è meglio di una moglie litigiosa e una casa in comune.
141919004f	Come acqua fresca per una gola riarsa è una buona notizia da un paese lontano.
14191a0058	Fontana torbida e sorgente inquinata, tale è il giusto che vacilla di fronte all'empio.
14191b004f	Mangiare troppo miele non è bene, né lasciarsi prendere da parole adulatrici.
14191c0052	Una città smantellata o senza mura tale è l'uomo che non sa dominare la collera.
141a01005a	Come la neve d'estate e la pioggia alla mietitura, così l'onore non conviene allo stolto.
141a020068	Come il passero che svolazza, come la rondine che vola, così una maledizione senza motivo non avverrà.
141a03005a	La frusta per il cavallo, la cavezza per l'asino e il bastone per la schiena degli stolti.
141a04005b	Non rispondere allo stolto secondo la sua stoltezza per non divenire anche tu simile a lui.
141a05004f	Rispondi allo stolto secondo la sua stoltezza perché egli non si creda saggio.
141a06004d	Si taglia i piedi e beve amarezze chi invia messaggi per mezzo di uno stolto.
141a07004f	Malferme sono le gambe dello zoppo, così una massima sulla bocca degli stolti.
141a08004d	Come chi lega il sasso alla fionda, così chi attribuisce onori a uno stolto.
141a09005a	Una spina penetrata nella mano d'un ubriaco, tale è una massima sulla bocca degli stolti.
141a0a0051	Arciere che ferisce tutti i passanti, tale è chi assume uno stolto o un ubriaco.
141a0b004a	Come il cane torna al suo vomito, così lo stolto ripete le sue stoltezze.
141a0c0052	Hai visto un uomo che si crede saggio? E' meglio sperare in uno stolto che in lui.
141a0d0052	Il pigro dice: «C'è una belva per la strada, un leone si aggira per le piazze».
141a0e0038	La porta gira sui cardini, così il pigro sul suo letto.
141a0f0048	Il pigro tuffa la mano nel piatto, ma dura fatica a portarla alla bocca.
141a100048	Il pigro si crede saggio più di sette persone che rispondono con senno.
141a110051	Prende un cane per le orecchie chi si intromette in una lite che non lo riguarda.
141a120034	Come un pazzo che scaglia tizzoni e frecce di morte,
141a13005e	così è quell'uomo che inganna il suo prossimo e poi dice: «Ma sì, è stato uno scherzo!».
141a140057	Per mancanza di legna il fuoco si spegne; se non c'è il delatore, il litigio si calma.
141a15005b	Mantice per il carbone e legna per il fuoco, tale è l'attaccabrighe per rattizzar le liti.
141a160058	Le parole del sussurrone sono come ghiotti bocconi, esse scendono in fondo alle viscere.
141a170060	Come vernice d'argento sopra un coccio di creta sono le labbra lusinghiere con un cuore maligno.
141a180049	Chi odia si maschera con le labbra, ma nel suo intimo cova il tradimento;
141a19005b	anche se usa espressioni melliflue, non ti fidare, perché egli ha sette abomini nel cuore.
141a1a004a	L'odio si copre di simulazione, ma la sua malizia apparirà pubblicamente.
141a1b0053	Chi scava una fossa vi cadrà dentro e chi rotola una pietra, gli ricadrà addosso.
141a1c0049	Una lingua bugiarda odia la verità, una bocca adulatrice produce rovina.
141b01004a	Non ti vantare del domani, perché non sai neppure che cosa genera l'oggi.
141b020045	Ti lodi un altro e non la tua bocca, un estraneo e non le tue labbra.
141b030067	La pietra è greve, la sabbia è pesante, ma più dell'una e dell'altra lo è il fastidio dello stolto.
141b04004e	La collera è crudele, l'ira è impetuosa; ma chi può resistere alla gelosia?
141b050030	Meglio un rimprovero aperto che un amore celato.
141b06003e	Leali sono le ferite di un amico, fallaci i baci di un nemico.
141b070046	Gola sazia disprezza il miele; per chi ha fame anche l'amaro è dolce.
141b08005e	Come un uccello che vola lontano dal nido così è l'uomo che va errando lontano dalla dimora.
141b090055	Il profumo e l'incenso allietano il cuore, la dolcezza di un amico rassicura l'anima.
141b0a00ac	Non abbandonare il tuo amico né quello di tuo padre, non entrare nella casa di tuo fratello nel giorno della tua disgrazia. Meglio un amico vicino che un fratello lontano.
141b0b0063	Sii saggio, figlio mio, e allieterai il mio cuore e avrò di che rispondere a colui che mi insulta.
141b0c0051	L'accorto vede il pericolo e si nasconde, gli inesperti vanno avanti e la pagano.
141b0d006a	Prendigli il vestito perché si è fatto garante per uno straniero e tienilo in pegno per gli sconosciuti.
141b0e005a	Benedire il prossimo di buon mattino ad alta voce gli sarà imputato come una maledizione.
141b0f0053	Il gocciolar continuo in tempo di pioggia e una moglie litigiosa, si rassomigliano:
141b100051	chi la vuol trattenere, trattiene il vento e raccoglie l'olio con la mano destra.
141b11004b	Il ferro si aguzza con il ferro e l'uomo aguzza l'ingegno del suo compagno.
141b12005b	Il guardiano di un fico ne mangia i frutti, chi ha cura del suo padrone ne riceverà onori.
141b13005a	Come un volto differisce da un altro, così i cuori degli uomini differiscono fra di loro.
141b14005c	Come gli inferi e l'abisso non si saziano mai, così non si saziano mai gli occhi dell'uomo.
141b15006c	Come il crogiuolo è per l'argento e il fornello per l'oro, così l'uomo rispetto alla bocca di chi lo loda.
141b160070	Anche se tu pestassi lo stolto nel mortaio tra i grani con il pestello, non scuoteresti da lui la sua stoltezza.
141b170039	Preòccupati del tuo gregge, abbi cura delle tue mandrie,
141b180060	perché non sono perenni le ricchezze, né un tesoro si trasmette di generazione in generazione.
141b19004f	Si toglie il fieno, apparisce l'erba nuova e si raccolgono i foraggi dei monti;
141b1a004b	gli agnelli ti danno le vesti e i capretti il prezzo per comprare un campo,
141b1b0065	le capre latte abbondante per il cibo e per vitto della tua famiglia. e per mantenere le tue schiave.
141c01005c	L'empio fugge anche se nessuno lo insegue, mentre il giusto è sicuro come un giovane leone.
141c02006f	Per i delitti di un paese molti sono i suoi tiranni, ma con un uomo intelligente e saggio l'ordine si mantiene.
141c030051	Un uomo empio che opprime i miseri è una pioggia torrenziale che non porta pane.
141c04005c	Quelli che violano la legge lodano l'empio, ma quanti osservano la legge gli muovono guerra.
141c05005b	I malvagi non comprendono la giustizia, ma quelli che cercano il Signore comprendono tutto.
141c060055	Meglio un povero dalla condotta integra che uno dai costumi perversi, anche se ricco.
141c07005d	Chi osserva la legge è un figlio intelligente, chi frequenta i crapuloni disonora suo padre.
141c08005f	Chi accresce il patrimonio con l'usura e l'interesse, lo accumula per chi ha pietà dei miseri.
141c09005f	Chi volge altrove l'orecchio per non ascoltare la legge, anche la sua preghiera è in abominio.
141c0a0081	Chi fa traviare gli uomini retti per una cattiva strada, cadrà egli stesso nella fossa, mentre gli integri possederanno fortune.
141c0b0043	Il ricco si crede saggio, ma il povero intelligente lo scruta bene.
141c0c005b	Grande è la gioia quando trionfano i giusti, ma se prevalgono gli empi ognuno si nasconde.
141c0d0067	Chi nasconde le proprie colpe non avrà successo; chi le confessa e cessa di farle troverà indulgenza.
141c0e0045	Beato l'uomo che teme sempre, chi indurisce il cuore cadrà nel male.
141c0f0053	Leone ruggente e orso affamato, tale è il malvagio che domina su un popolo povero.
141c100066	Un principe privo di senno moltiplica le vessazioni, ma chi odia la rapina prolungherà i suoi giorni.
141c110050	Un uomo perseguitato per omicidio fuggirà fino alla tomba: nessuno lo soccorre.
141c120057	Chi procede con rettitudine sarà salvato, chi va per vie tortuose cadrà ad un tratto.
141c130058	Chi lavora la sua terra si sazierà di pane, chi insegue chimere si sazierà di miseria.
141c140060	L'uomo leale sarà colmo di benedizioni, chi si arricchisce in fretta non sarà esente da colpa.
141c15003b	Non è bene essere parziali, per un pezzo di pane si pecca.
141c160067	L'uomo dall'occhio cupido è impaziente di arricchire e non pensa che gli piomberà addosso la miseria.
141c170053	Chi corregge un altro troverà in fine più favore di chi ha una lingua adulatrice.
141c180056	Chi deruba il padre o la madre e dice: «Non è peccato», è compagno dell'assassino.
141c190047	L'uomo avido suscita litigi, ma chi confida nel Signore avrà successo.
141c1a0054	Chi confida nel suo senno è uno stolto, chi si comporta con saggezza sarà salvato.
141c1b005b	Per chi dà al povero non c'è indigenza, ma chi chiude gli occhi avrà grandi maledizioni.
141c1c0056	Se prevalgono gli empi, tutti si nascondono, se essi periscono, sono potenti i giusti.
141d01005e	L'uomo che, rimproverato, resta di dura cervice sarà spezzato all'improvviso e senza rimedio.
141d020058	Quando comandano i giusti, il popolo gioisce, quando governano gli empi, il popolo geme.
141d030058	Chi ama la sapienza allieta il padre, ma chi frequenta prostitute dissipa il patrimonio.
141d04005b	Il re con la giustizia rende prospero il paese, l'uomo che fa esazioni eccessive lo rovina.
141d050045	L'uomo che adula il suo prossimo gli tende una rete per i suoi passi.
141d060057	Sotto i passi del malvagio c'è un trabocchetto, mentre il giusto corre ed è contento.
141d070050	Il giusto si prende a cuore la causa dei miseri, ma l'empio non intende ragione.
141d08004c	I beffardi mettono sottosopra una città, mentre i saggi placano la collera.
141d09004f	Se un saggio discute con uno stolto, si agiti o rida, non vi sarà conclusione.
141d0a0049	Gli uomini sanguinari odiano l'onesto, mentre i giusti hanno cura di lui.
141d0b004f	Lo stolto dà sfogo a tutto il suo malanimo, il saggio alla fine lo sa calmare.
141d0c004d	Se un principe dà ascolto alle menzogne, tutti i suoi ministri sono malvagi.
141d0d0059	Il povero e l'usuraio si incontrano; è il Signore che illumina gli occhi di tutti e due.
141d0e004c	Un re che giudichi i poveri con equità rende saldo il suo trono per sempre.
141d0f005f	La verga e la correzione danno sapienza, ma il giovane lasciato a se stesso disonora sua madre.
141d100053	Quando governano i malvagi, i delitti abbondano, ma i giusti ne vedranno la rovina.
141d110044	Correggi il figlio e ti farà contento e ti procurerà consolazioni.
141d12004c	Senza la rivelazione il popolo diventa sfrenato; beato chi osserva la legge.
141d13004a	Lo schiavo non si corregge a parole, comprende, infatti, ma non obbedisce.
141d140059	Hai visto un uomo precipitoso nel parlare? C'è più da sperare in uno stolto che in lui.
141d150052	Chi accarezza lo schiavo fin dall'infanzia, alla fine costui diventerà insolente.
141d160043	Un uomo collerico suscita litigi e l'iracondo commette molte colpe.
141d17004e	L'orgoglio dell'uomo ne provoca l'umiliazione, l'umile di cuore ottiene onori.
141d18005c	Chi è complice del ladro, odia se stesso, egli sente l'imprecazione, ma non denuncia nulla.
141d190053	Il temere gli uomini pone in una trappola; ma chi confida nel Signore è al sicuro.
141d1a004c	Molti ricercano il favore del principe, ma è il Signore che giudica ognuno.
141d1b0054	L'iniquo è un abominio per i giusti e gli uomini retti sono in abominio ai malvagi.
141e010070	Detti di Agùr figlio di Iakè, da Massa. Dice quest'uomo: Sono stanco, o Dio, sono stanco, o Dio, e vengo meno,
141e02004b	perché io sono il più ignorante degli uomini e non ho intelligenza umana;
141e03003a	non ho imparato la sapienza e ignoro la scienza del Santo.
141e0400df	Chi è salito al cielo e ne è sceso? Chi ha raccolto il vento nel suo pugno? Chi ha racchiuso le acque nel suo mantello? Chi ha fissato tutti i confini della terra? Come si chiama? Qual è il nome di suo figlio, se lo sai?
141e050048	Ogni parola di Dio è appurata; egli è uno scudo per chi ricorre a lui.
141e060058	Non aggiungere nulla alle sue parole, perché non ti riprenda e tu sia trovato bugiardo.
141e070039	Io ti domando due cose, non negarmele prima che io muoia:
141e080071	tieni lontano da me falsità e menzogna, non darmi né povertà né ricchezza; ma fammi avere il cibo necessario,
141e090093	perché, una volta sazio, io non ti rinneghi e dica: «Chi è il Signore?», oppure, ridotto all'indigenza, non rubi e profani il nome del mio Dio.
141e0a0064	Non calunniare lo schiavo presso il padrone, perché egli non ti maledica e tu non ne porti la pena.
141e0b003b	C'è gente che maledice suo padre e non benedice sua madre.
141e0c0044	C'è gente che si crede pura, ma non si è lavata della sua lordura.
141e0d0043	C'è gente dagli occhi così alteri e dalle ciglia così altezzose!
141e0e0090	C'è gente i cui denti sono spade e i cui molari sono coltelli, per divorare gli umili eliminandoli dalla terra e i poveri in mezzo agli uomini.
141e0f0075	La sanguisuga ha due figlie: «Dammi! Dammi!». Tre cose non si saziano mai, anzi quattro non dicono mai: «Basta!»:
141e10005e	gli inferi, il grembo sterile, la terra mai sazia d'acqua e il fuoco che mai dice: «Basta!».
141e110089	L'occhio che guarda con scherno il padre e disprezza l'obbedienza alla madre sia cavato dai corvi della valle e divorato dagli aquilotti.
141e12003f	Tre cose mi sono difficili, anzi quattro, che io non comprendo:
141e130094	il sentiero dell'aquila nell'aria, il sentiero del serpente sulla roccia, il sentiero della nave in alto mare, il sentiero dell'uomo in una giovane.
141e140070	Tale è la condotta della donna adultera: mangia e si pulisce la bocca e dice: «Non ho fatto niente di male!».
141e150043	Per tre cose freme la terra, anzi quattro cose non può sopportare:
141e160046	uno schiavo che diventi re, uno stolto che abbia viveri in abbondanza,
141e170063	una donna gia trascurata da tutti che trovi marito e una schiava che prenda il posto della padrona.
141e18005d	Quattro esseri sono fra le cose più piccole della terra, eppure sono i più saggi dei saggi:
141e19004c	le formiche, popolo senza forza, che si provvedono il cibo durante l'estate;
141e1a003c	gli iràci, popolo imbelle, ma che hanno la tana sulle rupi;
141e1b004c	le cavallette, che non hanno un re, eppure marciano tutte insieme schierate;
141e1c0053	la lucertola, che si può prender con le mani, ma penetra anche nei palazzi dei re.
141e1d0052	Tre esseri hanno un portamento maestoso, anzi quattro sono eleganti nel camminare:
141e1e004e	il leone, il più forte degli animali, che non indietreggia davanti a nessuno;
141e1f0042	il gallo pettoruto e il caprone e un re alla testa del suo popolo.
141e200057	Se ti sei esaltato per stoltezza e se poi hai riflettuto, mettiti una mano sulla bocca,
141e210077	poiché, sbattendo il latte ne esce la panna, premendo il naso ne esce il sangue, spremendo la collera ne esce la lite.
141f01003b	Parole di Lemuèl, re di Massa, che sua madre gli insegnò.
141f020050	E che, figlio mio! E che, figlio delle mie viscere! E che, figlio dei miei voti!
141f030053	Non dare il tuo vigore alle donne, né i tuoi costumi a quelle che corrompono i re.
141f040069	Non conviene ai re, Lemuèl, non conviene ai re bere il vino, né ai principi bramare bevande inebrianti,
141f050062	per paura che, bevendo, dimentichino i loro decreti e tradiscano il diritto di tutti gli afflitti.
141f060055	Date bevande inebrianti a chi sta per perire e il vino a chi ha l'amarezza nel cuore.
141f070047	Beva e dimentichi la sua povertà e non si ricordi più delle sue pene.
141f080043	Apri la bocca in favore del muto in difesa di tutti gli sventurati.
141f09004f	Apri la bocca e giudica con equità e rendi giustizia all'infelice e al povero.
141f0a0052	Una donna perfetta chi potrà trovarla? Ben superiore alle perle è il suo valore.
141f0b0048	In lei confida il cuore del marito e non verrà a mancargli il profitto.
141f0c004a	Essa gli dà felicità e non dispiacere per tutti i giorni della sua vita.
141f0d003a	Si procura lana e lino e li lavora volentieri con le mani.
141f0e004b	Ella è simile alle navi di un mercante, fa venire da lontano le provviste.
141f0f0064	Si alza quando ancora è notte e prepara il cibo alla sua famiglia e dà ordini alle sue domestiche.
141f10004e	Pensa ad un campo e lo compra e con il frutto delle sue mani pianta una vigna.
141f110043	Si cinge con energia i fianchi e spiega la forza delle sue braccia.
141f12005b	E' soddisfatta, perché il suo traffico va bene, neppure di notte si spegne la sua lucerna.
141f13003d	Stende la sua mano alla conocchia e mena il fuso con le dita.
141f140035	Apre le sue mani al misero, stende la mano al povero.
141f150056	Non teme la neve per la sua famiglia, perché tutti i suoi di casa hanno doppia veste.
141f16003c	Si fa delle coperte, di lino e di porpora sono le sue vesti.
141f170053	Suo marito è stimato alle porte della città dove siede con gli anziani del paese.
141f180042	Confeziona tele di lino e le vende e fornisce cinture al mercante.
141f19003e	Forza e decoro sono il suo vestito e se la ride dell'avvenire.
141f1a0046	Apre la bocca con saggezza e sulla sua lingua c'è dottrina di bontà.
141f1b004f	Sorveglia l'andamento della casa; il pane che mangia non è frutto di pigrizia.
141f1c0047	I suoi figli sorgono a proclamarla beata e suo marito a farne l'elogio:
141f1d004e	«Molte figlie hanno compiuto cose eccellenti, ma tu le hai superate tutte!».
141f1e0052	Fallace è la grazia e vana è la bellezza, ma la donna che teme Dio è da lodare.
141f1f0059	Datele del frutto delle sue mani e le sue stesse opere la lodino alle porte della città.
150000000b	Ecclesiaste
1501010037	Parole di Qoèlet, figlio di Davide, re di Gerusalemme.
150102004d	Vanità delle vanità, dice Qoèlet, vanità delle vanità, tutto è vanità.
150103004d	Quale utilità ricava l'uomo da tutto l'affanno per cui fatica sotto il sole?
150104004d	Una generazione va, una generazione viene ma la terra resta sempre la stessa.
1501050050	Il sole sorge e il sole tramonta, si affretta verso il luogo da dove risorgerà.
1501060069	Il vento soffia a mezzogiorno, poi gira a tramontana; gira e rigira e sopra i suoi giri il vento ritorna.
1501070079	Tutti i fiumi vanno al mare, eppure il mare non è mai pieno: raggiunta la loro mèta, i fiumi riprendono la loro marcia.
150108008f	Tutte le cose sono in travaglio e nessuno potrebbe spiegarne il motivo. Non si sazia l'occhio di guardare né mai l'orecchio è sazio di udire.
1501090062	Ciò che è stato sarà e ciò che si è fatto si rifarà; non c'è niente di nuovo sotto il sole.
15010a008b	C'è forse qualcosa di cui si possa dire: «Guarda, questa è una novità»? Proprio questa è gia stata nei secoli che ci hanno preceduto.
15010b0084	Non resta più ricordo degli antichi, ma neppure di coloro che saranno si conserverà memoria presso coloro che verranno in seguito.
15010c0034	Io, Qoèlet, sono stato re d'Israele in Gerusalemme.
15010d00b9	Mi sono proposto di ricercare e investigare con saggezza tutto ciò che si fa sotto il cielo. E' questa una occupazione penosa che Dio ha imposto agli uomini, perché in essa fatichino.
15010e0063	Ho visto tutte le cose che si fanno sotto il sole ed ecco tutto è vanità e un inseguire il vento.
15010f0050	Ciò che è storto non si può raddrizzare e quel che manca non si può contare.
15011000cb	Pensavo e dicevo fra me: «Ecco, io ho avuto una sapienza superiore e più vasta di quella che ebbero quanti regnarono prima di me in Gerusalemme. La mia mente ha curato molto la sapienza e la scienza».
1501110095	Ho deciso allora di conoscere la sapienza e la scienza, come anche la stoltezza e la follia, e ho compreso che anche questo è un inseguire il vento,
1501120051	molta sapienza, molto affanno; chi accresce il sapere, aumenta il dolore. perchè
150201008a	Io ho detto in cuor mio: «Vieni, dunque, ti voglio mettere alla prova con la gioia: Gusta il piacere!». Ma ecco anche questo è vanità.
150202003f	Del riso ho detto: «Follia!» e della gioia: «A che giova?».
15020300ee	Ho voluto soddisfare il mio corpo con il vino, con la pretesa di dedicarmi con la mente alla sapienza e di darmi alla follia, finché non scoprissi che cosa convenga agli uomini compiere sotto il cielo, nei giorni contati della loro vita.
150204004e	Ho intrapreso grandi opere, mi sono fabbricato case, mi sono piantato vigneti.
1502050050	Mi sono fatto parchi e giardini e vi ho piantato alberi da frutto d'ogni specie;
150206003e	mi sono fatto vasche, per irrigare con l'acqua le piantagioni.
15020700a7	Ho acquistato schiavi e schiave e altri ne ho avuti nati in casa e ho posseduto anche armenti e greggi in gran numero più di tutti i miei predecessori in Gerusalemme.
1502080095	Ho accumulato anche argento e oro, ricchezze di re e di province; mi sono procurato cantori e cantatrici, insieme con le delizie dei figli dell'uomo.
1502090070	Sono divenuto grande, più potente di tutti i miei predecessori in Gerusalemme, pur conservando la mia sapienza.
15020a00c1	Non ho negato ai miei occhi nulla di ciò che bramavano, né ho rifiutato alcuna soddisfazione al mio cuore, che godeva d'ogni mia fatica; questa è stata la ricompensa di tutte le mie fatiche.
15020b00c1	Ho considerato tutte le opere fatte dalle mie mani e tutta la fatica che avevo durato a farle: ecco, tutto mi è apparso vanità e un inseguire il vento: non c'è alcun vantaggio sotto il sole.
15020c007a	Ho considerato poi la sapienza, la follia e la stoltezza. «Che farà il successore del re? Ciò che è gia stato fatto».
15020d0069	Mi sono accorto che il vantaggio della sapienza sulla stoltezza è il vantaggio della luce sulle tenebre:
15020e007a	Il saggio ha gli occhi in fronte, ma lo stolto cammina nel buio. Ma so anche che un'unica sorte è riservata a tutt'e due.
15020f00ae	Allora ho pensato: «Anche a me toccherà la sorte dello stolto! Allora perché ho cercato d'esser saggio? Dov'è il vantaggio?». E ho concluso: «Anche questo è vanità».
15021000a2	Infatti, né del saggio né dello stolto resterà un ricordo duraturo e nei giorni futuri tutto sarà dimenticato. Allo stesso modo muoiono il saggio e lo stolto.
1502110082	Ho preso in odio la vita, perché mi è sgradito quanto si fa sotto il sole. Ogni cosa infatti è vanità e un inseguire il vento.
1502120063	Ho preso in odio ogni lavoro da me fatto sotto il sole, perché dovrò lasciarlo al mio successore.
15021300a7	E chi sa se questi sarà saggio o stolto? Eppure potrà disporre di tutto il mio lavoro, in cui ho speso fatiche e intelligenza sotto il sole. Anche questo è vanità!
1502140061	Sono giunto al punto di disperare in cuor mio per tutta la fatica che avevo durato sotto il sole,
15021500b8	perché chi ha lavorato con sapienza, con scienza e con successo dovrà poi lasciare i suoi beni a un altro che non vi ha per nulla faticato. Anche questo è vanità e grande sventura.
1502160082	Allora quale profitto c'è per l'uomo in tutta la sua fatica e in tutto l'affanno del suo cuore con cui si affatica sotto il sole?
1502170083	Tutti i suoi giorni non sono che dolori e preoccupazioni penose; il suo cuore non riposa neppure di notte. Anche questo è vanità!
150218008d	Non c'è di meglio per l'uomo che mangiare e bere e godersela nelle sue fatiche; ma mi sono accorto che anche questo viene dalle mani di Dio.
1502190031	Difatti, chi può mangiare e godere senza di lui?
15021a00cd	Egli concede a chi gli è gradito sapienza, scienza e gioia, mentre al peccatore dà la pena di raccogliere e d'ammassare per colui che è gradito a Dio. Ma anche questo è vanità e un inseguire il vento!
1503010051	Per ogni cosa c'è il suo momento, il suo tempo per ogni faccenda sotto il cielo.
150302006a	C'è un tempo per nascere e un tempo per morire, un tempo per piantare e un tempo per sradicare le piante.
150303005d	Un tempo per uccidere e un tempo per guarire, un tempo per demolire e un tempo per costruire.
1503040058	Un tempo per piangere e un tempo per ridere, un tempo per gemere e un tempo per ballare.
1503050079	Un tempo per gettare sassi e un tempo per raccoglierli, un tempo per abbracciare e un tempo per astenersi dagli abbracci.
150306005c	Un tempo per cercare e un tempo per perdere, un tempo per serbare e un tempo per buttar via.
150307005a	Un tempo per stracciare e un tempo per cucire, un tempo per tacere e un tempo per parlare.
1503080058	Un tempo per amare e un tempo per odiare, un tempo per la guerra e un tempo per la pace.
150309002f	Che vantaggio ha chi si dà da fare con fatica?
15030a0056	Ho considerato l'occupazione che Dio ha dato agli uomini, perché si occupino in essa.
15030b00c0	Egli ha fatto bella ogni cosa a suo tempo, ma egli ha messo la nozione dell'eternità nel loro cuore, senza però che gli uomini possano capire l'opera compiuta da Dio dal principio alla fine.
15030c005b	Ho concluso che non c'è nulla di meglio per essi, che godere e agire bene nella loro vita;
15030d0043	ma che un uomo mangi, beva e goda del suo lavoro è un dono di Dio.
15030e0094	Riconosco che qualunque cosa Dio fa è immutabile; non c'è nulla da aggiungere, nulla da togliere. Dio agisce così perché si abbia timore di lui.
15030f0057	Ciò che è, gia è stato; ciò che sarà, gia è; Dio ricerca ciò che è gia passato.
1503100076	Ma ho anche notato che sotto il sole al posto del diritto c'è l'iniquità e al posto della giustizia c'è l'empietà.
1503110067	Ho pensato: Dio giudicherà il giusto e l'empio, perché c'è un tempo per ogni cosa e per ogni azione.
1503120070	Poi riguardo ai figli dell'uomo mi son detto: Dio vuol provarli e mostrare che essi di per sé sono come bestie.
15031300dd	Infatti la sorte degli uomini e quella delle bestie è la stessa; come muoiono queste muoiono quelli; c'è un solo soffio vitale per tutti. Non esiste superiorità dell'uomo rispetto alle bestie, perché tutto è vanità.
