280000000f	मत्ती
2c13050088	ये सुणी की तिने प्रभु यीशुए रे नाओं ते बपतिस्मा लया।
2c1306014e	और जेबे पौलुसे तिना पाँदे आथ राखेया, तो तेबे तिना पाँदे पवित्र आत्मा उतरेया और सेयो लग-लग पाषा बोलणे लगे और भविष्यबाणी करने लगे।
2c13070044	यो सब तकरीबन बारा मर्द थे।
2c1308014d	तेबे पौलुस प्रार्थना रे कअरो रे जाई की तीन मीन्ने तक निडर ऊई की बोलदा रया और परमेशरो रे राज्य रे बारे रे बईस करदा और समजयांदा रया
2c130901e0	पर जेबे बऊत जणेया कठोर ऊई की विश्वास करने ते न कित्ती, बल्कि लोका सामणे एसा बाटा खे बुरा बोलणे लगे, तेबे तिने तिना खे छाडी की चेले लग करी ते और हर रोज तुरन्नुसो री पाठशाला रे उपदेश करो था।
2c130a011e	दो साला तक येई ऊँदा रया, एथो तक कि आसिया प्रदेशो रे रणे वाल़े क्या यहूदी, क्या यूनानी सबी प्रभुए रा वचन सुणी ला।
2c130b0084	परमेशर पौलुसो रे जरिए सामर्था रे नऊखे काम दखाओ था।
2c130c0150	एथो तक कि रूमाल और टाल्ले तेसरे शरीरो साथे छवाँई की बमारा पाँदे राखो थे और सेयो ठीक ऊई जाओ थे और दुष्टात्मा तिना ते निकल़ी जाओ थी।
2c130d01f0	पर कुछ यहूदी लोक जो सँवावा करदे फिरदे रओ थे, ये बोलणे लगे, “जेसदे दुष्टात्मा ओ, तिना पाँदे प्रभु यीशुए रा नाओं, ये बोली की फूक बाओ थे कि जेस यीशुए रा प्रचार पौलुस करोआ आऊँ ताखे तेसरी कसम देऊँआ।”
2c130e00c2	तेबे स्क्किवा नाओं रे एक यहूदी बड़े पुरोईतो रे सात पाऊ थे, जो एड़ा ई करो थे।
2c130f00db	पर दुष्टात्मे बोलेया, “यीशुए खे तो आऊँ जाणूंई और पौलुसो खे बी पछयाणुँई, पर तूँ कूणे?”
2c131001a4	तेबे तिने मांणूए जेसदे दुष्टात्मा थी, तिना पाँदे लमखी की और तिना खे बसो रे ल्याई की तिना पाँदे एड़ा उपद्रव कित्तेया कि सेयो नांगे और काईल ऊई की तेस कअरो ते नठीगे।
2c13110129	ये गल्ल इफिसुसो रे रणे वाल़े यहूदी और यूनानी, सबी खे पता लगी गी और सेयो सब डरी गे और प्रभु यीशुए रे नाओं री तारीफ ऊई।
2c131200ed	जिने विश्वास कित्तेया था तिना बीचा ते कई जणेया आयी की आपणे-आपणे काम मानी ले और सामणे ल्याए।
2c131301c3	और जादू करने वाल़ेया बीचा ते कई जणेया आपणी-आपणी पोथिया कट्ठिया करी की सबी सामणे फूकी तिया और जेबे तिना रा दाम जोड़ेया, तो सेयो पंजा ह्जार चाँदिए रे सिक्के रे बराबर निकल़िया।
2c131400a5	ईंयां प्रभुए रा वचन जोरो-शोरो साथे फैलदा गया और प्रबल ऊँदा गया।
2c131501b2	जेबे यो गल्ला ऊई चुकिया तेबे पौलुसे आत्मा रे ठाणी ला कि मकिदुनिया और अखाया प्रदेशो ते ऊई की यरूशलेमो खे जाऊँ और बोलेया, “तेती जाई की माखे रोम नगरो खे देखणा बी जरूरी ए।”
2c1316017d	तेबे आपणी सेवा करने वाल़ेया बीचा ते तीमुथियुस और इरास्तुसो खे मकिदुनिया प्रदेशो रे पेजी की आपू कुछ दिन तक आसिया प्रदेशो रे इफिसुस नगरो रेई रई गा।
2c1317007c	तेस बखते एस पंथो रे बारे रे बऊत आल्ला-गोल्ला ऊआ।
2c13180145	कऊँकि देमेत्रियुस नाओं रा एक सन्यार अरतिमिसो री देविया रे मन्दरो री चाँदिए री मूर्तिया बणवाई की कारीगरा खे बऊत काम दलाओ था।
2c13190151	देमेत्रियुसे तिना खे और एड़ी चीजा रे कारीगरा खे कट्ठे करी की बोलेया, “ओ पाईयो! तुसे जाणोए कि एस काम करी की आसा खे कितणा पैसा मिलोआ।
2c131a01d0	तुसे देखोए और सुणो बी ए कि सिर्फ इफिसुस नगरो रेई नि बल्कि सारे आसिया प्रदेशो रे ये बोली-बोली की इने पौलुसे बऊत लोका खे समजयाया और परमाई बी राखे, कि जो आथे की बणाई राखे, से ईश्वर निए।
2c131b0223	और एबे सिर्फ एसा गल्ला रा ई डर निए कि आसा रे एस कामो री प्रतिष्ठा जांदी रणी, बल्कि ये बी कि महान् देवी अरतिमिसा रा मन्दर तुच्छ समजेया जाणा और जेसखे सारा आसिया प्रदेश और दुनिया पूजो ई, तिजी री खासियत बी जांदी रणी।”
2c131c00ee	तिना खे ये सुणी की रोष आईगा और सेयो चींगी-चींगी की बोलणे लगे, “इफिसियों री अरतिमिस महान् ए।”
2c131d019d	तेबे सारे नगरो रे बड़ा आल्ला पड़ी गा और लोके गयुस और अरिस्तर्खुस मकिदुनिया प्रदेशो खे जो पौलुसो साथे यात्री थे, पकड़ी ते और एक चित्त ऊई की रंगशाला खे दौड़ी गे।
2c131e00b4	जेबे पौलुसे लोका गे पीतरे जाणा चाया तेबे चेलेया से जाणे नि दित्तेया।
2c131f0168	आसिया रे कुछ हाकिमा बीचा ते बी तेसरे कई दोस्ते, तेसखे सन्देशा पेजेया और बिनती कित्ती कि रंगशाला रे जाई की आपणी जिन्दगी मुसीबता रे नि पाणी।
2c13200149	तेबे कोई कुछ बोलणे लगे और कोई कुछ, कऊँकि सभा रे बऊत गड़बड़ी ऊणे लगी री थी और बऊत जणे लोक ये पनि जाणो थे कि आसे किजी खे कट्ठे ऊई रे।
2c13210186	तेबे तिने सिकन्दरो खे, जो यहूदिये खड़ा कित्तेया था, पीड़ा (भीड़) बीचा ते आगे कित्तेया। सिकन्दर आथो साथे सारा (ईशारा) करी की लोका सामणे कुछ बोलणा चाओ था।
2c13220134	पर जेबे तिना खे पता लगेया कि ये यहूदी ए, तो सब के सब एक शब्दो ते कोई दो कंटे तक चींगदे रये कि इफिसियों री अरतिमिस महान् ए।
2c132301f3	तेबे नगरो रे मन्त्रिये लोका खे शान्त करी की बोलेया, “ओ इफिसियों रे लोको! कुण नि जाणदा कि इफिसियों रा नगर बड़ी देवी अरतिमिसो रे मन्दर और ज्यूस मतलब सर्गो री तरफा ते सेटिया री मूरता रा रखवाल़ा ए।
2c132400f4	तो तेबे इना गल्ला रा कोई जवाब नि ऊई सकदा, तो तुसा खे ठीक ए कि चुप रओ और बिना सोचे-समजे कुछ नि करो।
2c13250102	कऊँकि तुसे इना मांणूआ खे, जो ल्याई राखे, ना मन्दरो खे लूटणे वाल़े ए और ना ई आसा री देविया रे निन्दक ए।
2c13260152	जे देमेत्रियुस और तेसरे साथी कारीगरा खे केसी ते कोई बईस ओ तो कचैरी खुली ए और न्याय करने खे हाकिम बी ए, सेयो एकी दूजे पाँदे दोष लगाओ।
2c132700cb	पर तुसे जे केसी ओरी गल्ला रे बारे रे पूछणा चाओए, तो सभा सामणे न्याय करेया जाणा।
2c1328022e	माखे डर ए कि जेबे राज्यपालो एस अंगामे रे बारे रे सुणना तो तेस बोलणा कि आसे रोमी सरकारा रे खलाफ बिद्रोह करने री कोशिश लगी रे करने। कऊँकि एस अंगामे रा कोई कारण निए, तो आसे एसा पीड़ा रे कट्ठे ऊणे रा कोई जवाब नि देई सकदे।”
2c1329006e	तेबे तिने ये बोली की तिने सभा बिदा कित्ती।
2c14010142	जेबे आल्ला-गोल्ला बंद ऊईगा, तेबे पौलुसे चेले बुलाई की तिना री इम्मत बढ़ाई और तिना ते बिदा ऊई की मकिदुनिया प्रदेशो खे चली गा।
2c140200cc	तेबे से तेस सारे देशो ते ऊई की और तिना खे बऊत इम्मत देई की यूनान प्रदेशो खे आया।
2c14030256	जेबे तीन मीन्ने यूनानो रे रई की जाह्जो रे सीरिया प्रदेशो खे जाणे वाल़ा था, तेबे तिने सुणेया कि कुछ यहूदी अगुवे बाटा रे तेसखे काणे री ताका रे लगी रे, तेबे तिने आपणे मनो रे ठाणी ला कि मकिदुनिया प्रदेशो ते ऊई की सीरिया प्रदेशो खे जाऊँ।
2c1404022b	एसा यात्रा रे बिरिया रे पुर्रूसो रा पाऊ सोपत्रुस और थिस्सलुनीकियों नगरो बीचा ते अरिस्तर्खुसो रा सिकुन्दुस और दिरबे नगरो रा गयुस और लुस्त्रा नगरो ते तीमुथियुस, आसिया प्रदेशो रा तुखिकुस और त्रुफिमुस आसा साथे थे।
2c140500e5	सेयो आसा रे साथी यात्री आसा ते आगे चली गे और त्रोआस नगरो रे पऊँछी की आसा खे न्याल़दे रये।
2c1406016f	तेबे आसे अखमीरी रोटिया रे त्योआरो ते बाद फिलिप्पिया नगरो ते जाह्जो रे चढ़ी की पाँज दिना रे त्रोआसो रे तिना गे पऊँछे और साता दिना तक तेथी रये।
2c1407018a	अफ़्ते रे पईले दिने जेबे आसे रोटी तोड़ने खे कट्ठे ऊए, तेबे पौलुसे, जो दूजे दिने जाणे वाल़ा था, तिना साथे गल्ला करने लगेया और आदी राती तक गल्ला ई करदा रया।
2c14080094	जेसा बाऊड़ी रे आसे कट्ठे थे, तिदे बऊत सारे दिऊए थे बल़े रे
2c1409024d	और यूतुखुस नाओं रा एक जवान द्वारिया रे बैठी की गईरी नींजा रे चुलारे खाणे लगी रा था और जेबे पौलुस गल्ला लगी रा था करने तेबे से नींजा रे चुलारे रे तीजिया बाऊड़ी ते रूड़ी गा और जेबे कुछ लोक तेसखे चकणे थाले आये तेबे से मरी चुकेया था।
2c140a0114	पर पौलुस उतरी की थाले गया और तेस साथे चिपटी गा और गल़े लगाई की बोलेया, “कबराओ नि, कऊँकि एसरा प्राण एसदे ईए।”
2c140b011b	तेबे फेर ऊबे जाई की रोटी तोड़ी और खाई की इतणी देरा तक तिना साथे गल्ला करदा रया कि प्याग ऊईगी और तेबे से चली गा।
2c140c009d	तेबे सेयो तेस जवानो खे जिऊँदा ली आए और तिना खे बऊत शान्ति ऊई।
2c140d0188	आसे पईले तेई जाह्जो रे चढ़ी की अस्सुस नगरो खे ये सोची की आगे गये कि तेथा ते आसे पौलुसो खे चढ़ाई लऊँए, कऊँकि तिने ये बोली राखेया था कि मां आपू ई पैदल जाणा।
2c140e00f2	जेबे से अस्सुस नगरो रे आसा खे मिलेया, तेबे आसे तेसखे जाह्जो रे चढ़ाई की मितुलेन नगरो खे ली आए।
2c140f012c	तेथा ते जाह्ज खोली की आसे दूजे दिने खियुस नगरो रे ऊँदे ऊए सामुस नगरो रे पऊँछी गे। तेबे दूजे दिने मिलेतुस नगरो खे आए।
2c141001d9	पौलुसे ठाणी ला की से इफिसुस नगरो खे छाडी की आगे बढ़ी जाओ, ताकि तेसखे आसिया प्रदेशो रे रणा नि पड़ो। कऊँकि से जल्दीया रे था कि ऊई सको तो तेसरा पिन्तेकुस त्योआरो रा दिन यरूशलेमो रे बीतो।
2c1411010d	जेबे आसे मिलेतुस नगरो रे पऊँछे तो पौलुसे इफिसुस नगरो खे सन्देशा पेजेया और मण्डल़िया रे बुजुर्ग बुलाए।
2c1412016f	जेबे सेयो तेसगे आए, तेबे तिना खे बोलेया, “तुसे जाणोए कि पईले ई दिनो ते जेबे आऊँ आसिया नगरो रे पऊँछेया, तो आऊँ हर बखत आजो तक तुसा साथे किंयाँ रया?
2c14130188	मतलब-बड़ी दीनता ते, आसू निकयाल़ी-निकयाल़ी की और तिना परीक्षा ते, जो यहूदिया रे षड़यन्त्रा री बजअ ते मां पाँदे पड़ी, तेबे बी आऊँ प्रभुए री सेवा करदा रया।
2c1414012f	और जो-जो गल्ला तुसा रे फाईदे री थिया, तिना खे बताणे, लोका रे सामणे ल्याऊणे और कअरे-कअरे सखयाणे ते कदी बी पीछे नि अटेया।
2c14150146	बल्कि यहूदी और यूनानिया सामणे गवाई देंदा रया कि परमेशरो री तरफा खे मन फिराणा और आसा रे प्रभु यीशुए पाँदे विश्वास करना चाईयो।
2c14160129	“और एबे देखो, आऊँ पवित्र आत्मा रा बानेया रा यरूशलेमो खे जाऊँआ और आऊँ ये नि जाणदा कि मां पाँदे तेती क्या-क्या बितणी।
2c141700ef	बस येई कि पवित्र आत्मा हर नगरो रे गवाई देई-देई की माखे बोलोआ कि बन्दन और क्ल़ेश ताखे त्यार ए।
2c14180208	पर आऊँ आपणे प्राणो खे कुछ नि समजदा कि तेसखे प्यारे जाणूं, बल्कि ये कि आऊँ आपणी दौड़ा खे और आपणी सेवकाईया खे पूरा करुँ, जो मैं परमेशरो री कृपा रे सुसमाचारो पाँदे गवाई देणे खे प्रभु यीशु मसीहे ते पाई राखी
2c14190134	“और एबे देखो, आऊँ जाणूंआ कि तुसा सबी जणेया, जिना खे आऊँ परमेशरो रे राज्य रा सुसमाचार सुणांदा रया, मेरा मूँ फेर नि देखणा।
2c141a018e	इजी री खातर आऊँ आजके दिनो रे तुसा खे गवाई देई की बोलूँआ कि जे तुसा बीचा ते कोई बी यीशुए पाँदे विश्वास करने ते बगैर मरी जाओआ तो आऊँ सबी रे खूनो ते निर्दोष ए।
2c141b00d3	कऊँकि आऊँ परमेशरो री सारी इच्छा खे तुसा खे पूरी रीतिया ते मनाणे ते पीछे नि अटेया।
2c141c01c7	“इजी री खातर आपणी और पूरे चूण्डो री चौकसी करो, जेते साथे पवित्र आत्मे तुसे अध्यक्ष बणाई राखे कि तुसे परमेशरो री मण्डल़िया री रखवाल़ी करो, जो तिने आपणे खून बाह्ई की खरीदी राखी।
2c141d00fb	आऊँ जाणूंआ कि मांते जाणे ते बाद तुसा बीचे चूठे उपदेशक आऊणे और विश्वासिया खे बऊत नुकशाण पऊँछाणा।
2c141e0110	तुसा बीचा ते बी एड़े-एड़े मांणू खड़े ऊणे, जिना चेलेया खे आपू पीछे खिंजणे खे टेडिया-मेडिया गल्ला बोलणिया।
2c141f012e	इजी री खातर जागदे रओ, और याद राखो कि मैं तीन साल तक रात-दिन आसू निकयाल़ी-निकयाल़ी की हर एकी खे चेतावणी देणा नि छाडेया।
2c1420018f	एबे आऊँ तुसा खे परमेशरो गे और तेसरी कृपा रे वचनो गे सम्बाल़ी देऊँआ, जो तुसा री तरक्की करी सकोआ और सबी पवित्र कित्ते रे लोका खे साजी करी की जायदात देई सकोआ।
2c1421009b	“मैं केसी रे बी चाँदी-सूईने और टालेया रा लाल़च नि कित्तेया।
2c142200bc	तुसे आपू जाणोए कि इने आथे मेरे और मेरे साथिया री जरूरता पूरी करी राखिया।
2c142301b9	मैं तुसा खे सब कुछ करी की दखाया कि किंयाँ मईणत करी की कमजोर सम्बाल़ने और प्रभु यीशु मसीहे रिया गल्ला याद राखणिया जरूरी ए कि तिने आपू ई बोली राखेया कि लणे ते देणा अच्छा ए।”
2c142400a1	ये बोली की तिने कुटणे टेके और तिना सबी साथे प्रार्थना कित्ती।
2c142500a6	तेबे सेयो बऊत रोए और पौलुसो रे गल़ो रे चिपकी की तेसखे चूमणे लगे।
2c14260141	सेयो खास करी की इना गल्ला रा दु: ख करो थे, जो तिने बोलिया थिया कि तुसा मेरा मूँ फेर नि देखणा और तेबे तिने से जाह्जो तक पऊँछाया।
2c15010149	जेबे आसे तिना ते विदा ऊई की जाह्ज खोलेया, तेबे सिदी बाटा ते कोस टापूए खे आए और दूजे दिने रूदुस टापूए दे और तेथा ते पतरा टापूए दे।
2c150200df	तेबे एक जाह्ज फीनीके नगरो खे जांदा ऊआ मिलेया और तेस पाँदे चढ़ी की यात्रा शुरू कित्ती।
2c1503016a	जेबे आसा खे साईप्रस टापू खूँजे कनारे दिशेया, आसे तिजी खे छाडी की सीरिया प्रदेशो खे चली की सूरो रे उतरे, कऊँकि तेती जाह्जो रा बोजा उतारना था।
2c1504013d	तेबे तेती चेलेया खे पाई की सात दिन तक रये, तिने पवित्र आत्मा रे सिखाए रे पौलुसो खे बोलेया, “यरूशलेमो नगरो रे पैर नि राखणा।”
2c150501e4	सात दिना बाद जेबे तेथा ते आसा रे जाणे रा बखत आया, तेबे आसे तेथा ते चली पड़े और सबी जवाणसे बाल़का समेत आसे नगरो ते बारे पऊँछाए, तेबे आसे कनारे पाँदे पऊँछी की कुटणे टेकी की प्रार्थना कित्ती।
2c150600d6	तेबे एकी-दूजे ते बिदा ऊए, आसे तो जाह्जो रे चढ़े और सेयो आपणे-आपणे कअरो खे वापस ऊईगे।
2c1507014f	जेबे आसे सूर नगरो ते जलयात्रा पूरी करी की पतुलिमयिस नगरो रे पऊँछे, तेबे आसे विश्वासी पाईया खे नमस्ते करी की तिना साथे एक दिन रये।
2c15080201	दूजे दिने आसे तेथा ते चली की कैसरिया नगरो खे आए और फिलिप्पुस सुसमाचार प्रचारको रे कअरे, जो साता बीचा ते एक था, जेसखे यरूशलेमो रे चेलेया बिदुआ री देखपाल़ करने खे चुणी राखेया था, जाई की तेसरे कअरे रये।
2c1509008d	तेसरी चार कुआँरी बेटिया थिया, जो भविष्यबाणी करो थिया।
2c150a00ed	जेबे आसे तेती बऊत दिन तक रई चुके, तेबे अगबुस नाओं रा एक भविष्यबक्ता यहूदिया प्रदेशो ते आया।
2c150b01ec	तिने आसा गे आयी की पौलुसो रा पटका लया और आपणे आथ पैर बानी की बोलेया, “पवित्र आत्मा ये बोलोआ कि जेस मांणूए रा ये पटका ए, से यरूशलेमो रे यहूदिया ईंयां बानणा और दुजिया जातिया रे आथो रे देई देणा।”
2c150c00f5	जेबे आसे यो गल्ला सुणिया, तो आसे और तेथो रे लोके पौलुसो ते बिनती कित्ती कि यरूशलेमो खे नि जाणा।
2c150d01b0	पर पौलुसे बोलेया, “तुसे क्या लगी रे करने कि रोयी-रोयी की मेरा मन लगी रे दुःखी करने? आऊँ तो प्रभु यीशुए रे नाओं ते यरूशलेमो रे बाने जाणे खेई नि, बल्कि मरने खे बी त्यार ए।”
2c150e00ca	जेबे से तिना ते नि मानेया, तो आसे ये बोली की चुप ऊईगे, “प्रभुए री इच्छा पूरी ओ।”
2c150f0096	कुछ दिना ते बाद आसे पक्का इरादा करी की यरूशलेमो खे चली गे।
2c15100179	कैसरिया नगरो रे बी कई चेले आसा साथे चली पड़े और मनासोन नाओं रे साईप्रसो रे रणे वाल़े रे एक पुराणे चेले रे कअरे साथे ली आए, ताकि आसे तेसरे कअरे रऊँ।
2c151100c3	जेबे आसे यरूशलेमो रे पऊँछे, तेबे विश्वासी पाई आसा साथे बड़े खुश ऊई की मिले।
2c151200b4	दूजे दिने पौलुस आसा खे लयी की याकूबो गे गया, जेती सब बुजुर्ग कट्ठे थे।
2c15130140	तेबे तिने तिना खे नमस्ते करी की जो-जो काम परमेशरे तेसरी सेवकाईया रे जरिए दुजिया जातिया बीचे कित्ते थे, एक-एक करी की सब बताए।
2c151401ac	तिने ये सुणी की परमेशरो री महिमा कित्ती, तेबे तिने बोलेया, “ओ पाई! तूँ देखणे लगी रा कि यहूदिया बीचा ते कई ह्जार मांणूए विश्वास कित्तेया और सब बिधानो री धुन लगाई राखोए
2c15150235	तिना यहूदी विश्वासिया खे तेरे बारे रे बताया कि तूँ दुजिया जातिया बीचे रणे वाल़े यहूदिया खे मूसे रे बिधानो खे छाडणे रे बारे रे सिखाएया और बोलोआ कि ना आपणे बच्चेया रा खतना कराओ और ना ई रवाजा पाँदे चलो, तो क्या करना चाईयो?
2c1516004e	लोका जरूर सुणना कि तूँ आयी रा।
2c151700d5	इजी री खातर जो आसे ताखे बोलूँए, से कर, आसा गे एती चार मांणू ए, जिने मान्नत मानी राखी।
2c15180250	तिना खे लयी की तेस साथे आपणे आपू खे शुद्ध कर और तिना खे खर्चा दे, ताकि सेयो बाल़ कटवाओ। तेबे सबी खे पता लगी जाणा कि जो गल्ला तिना खे तेरे बारे रे सिखाईया गईया, तिना री कोई जड़ निए, पर तूँ आपू बी बिधानो खे मानी की तिजी रे मुताबिक चलेया
2c151901fc	पर तिना दुजिया जातिया रे बारे रे, जिने विश्वास कित्तेया, आसे ये न्याय लयी की लिखी की पेजी राखेया कि सेयो मूर्तिया सामणे बलि कित्ते रे मासो ते, खूनो ते, गल़ा कोटे रे मासो ते और व्याभिचारो ते बचे रओ।”
2c151a01cd	तेबे पौलुस तिना मांणूआ खे लयी की दूजे दिने तिना साथे शुद्ध ऊई की मन्दरो रे गया और बताई ता कि शुद्ध ऊणे रे दिन, मतलब-तिना बीचा ते हर एकी खे चढ़ावा चड़ाए जाणे तको रे दिन कदी पूरे ऊणे।
2c151b0159	जेबे सेयो सात दिन पूरे ऊणे वाल़े थे, तेबे आसिया प्रदेशो रे यहूदिये पौलुसो खे मन्दरो रे देखी की सब लोक उकसाये और ये बोली की से पकड़ी ता,
2c151c01f9	“ओ इस्राएलियो! मताद करो, ये सेई मांणू ए, जो लोका खे और बिधानो खे और एथो री जगा रे बिरोदो रे, हर जगा रे सबी लोका खे सिखाओआ, एथो तक कि यूनानिया खे बी मन्दरो रे ल्याई की तिने ये पवित्र जगा अशुद्ध करी ती।”
2c151d013b	तिने तो इजी ते पईले त्रुफिमुस इफिसुसवासिए खे पौलुसो साथे नगरो रे देखेया था और समजो थे कि पौलुस तेसखे मन्दरो रे ली आयी रा।
2c151e0162	तेबे सारे नगरो रे आल्ला पड़ी गा और लोक दौड़ी की कट्ठे ऊईगे और पौलुसो खे पकड़ी की मन्दरो ते बारे कसिटी की ली आए और फटाफट द्वार बन्द करी ते।
2c151f011a	जेबे सेयो तेसखे काणा चाओ थे, तेबे पल़टणा रे सरदारो खे सन्देशा पऊँछेया कि सारे यरूशलेम नगरो रे आल्ला पड़ी रा।
2c152001bb	तेबे से फटाफट सिपाईया और सूबेदारा खे लयी की तिना गे थाले दौड़ी की आया। जेबे पीड़े फौजिया री पल़टणा रे सरदारो खे और सिपाईया खे देखी की पौलुसो खे मारने कुटणे खे बन्द करी ता।
2c1521016f	तेबे पल़टणा रे सरदारे पौलुसो रे नेड़े आयी की से पकड़ी ता और दो जंजीरा साथे बानणे री आज्ञा देई की पूछणे लगेया, “ये कूणे और इने क्या करी राखेया?”
2c1522017e	पर पीड़ा (भीड़) बीचा ते कोई कुछ बोलणे लगे और कोई कुछ और जेबे शोर-शराबे रे मारे ठीक सच्चाईया रा पता नि लगेया तो तेसखे गढ़ो रे लयी जाणे री आज्ञा दित्ती।
2c15230103	जेबे से संगा पाँदे पऊँछेया, तेबे एड़ा ऊआ कि पीड़ा रे दबाओ री बजअ ते सिपाईया खे से चकी की निणा पड़ेया।
2c152400ab	कऊँकि लोका री पीड़ ये बोली की तेस पीछे पड़ी गी कि एसरा अन्त करी दो।
2c152501b0	जेबे सेयो पौलुसो खे गढ़ो रे निणे वाल़े थे, तेबे तिने पल़टणा रे सरदारो खे बोलेया, “क्या माखे आज्ञा आयी कि आऊँ ताखे कुछ बोलूँ?” तिने बोलेया, “क्या तूँ यूनानी पाषा जाणेया?
2c15260114	क्या तूँ सेई मिस्री निए, जो इना दिनो ते पईले बिरोदी बणाई की चार ह्जार आतंकबादी लोका खे जंगल़ो रे लयी गा था?”
2c15270176	पौलुसे बोलेया, “आऊँ तो तरसुसो रा यहूदी मांणू ए, किलिकिया रा प्रसिद्ध रणे वाल़ा निवासी आ और आऊँ तांते बिनती करूँआ कि माखे लोका ते गल्ला करने दे।”
2c1528018f	जेबे तिने आज्ञा दित्ती, तेबे पौलुसे संगाओ पाँदे खड़े ऊई की लोका खे आथो साथे सारा (ईशारा) कित्तेया, जेबे सेयो चुप ऊईगे, तेबे से इब्रानी पाषा रे बोलणे लगेया।
2c160100b6	“ओ पाईयो! और पितरो, मेरा जवाब सुणो, जो आऊँ एबे तुसा सामणे बोलणे लगी रा।”
2c160200ec	सेयो ये सुणी की कि से आसा साथे इब्रानी पाषा (भाषा) दे बोलोआ, और बी चुप ऊईगे। तेबे तिने बोलेया,
2c1603028a	“आऊँ तो यहूदी मांणू ए, और किलिकिया प्रदेशो रे तरसुस नगरो रा जम्मे राए, पर एस नगरो रे गमलिएलो रे पैरा गे बैठी की पढ़ाई राखेया और बाप-दादेया रे बिधानो री ठीक रीतिया रे सखाई राखेया और परमेशरो खे एड़ी धुन लगाई री राखूँ था, जिंयाँ तुसे सब जणे आज लगाणे लगी रे।
2c1604010b	और मैं मर्द और जवाणस दूँईं खे बानी-बानी की और जेला रे पाई-पाई की एस पंथो खे एथो तक सताया कि सेयो मरवाईते।
2c16050225	एसा गल्ला रे प्रदान पुरोईत और बड़ी सभा रे सब बुजुर्ग गवा ए कि तिना बीचा ते आऊँ पाईया रे नाओं पाँदे चिट्ठिया लयी की दमिश्क नगरो खे जाणे लगी रा था, ताकि जो तेती बी ओ तिना खे बी सजा दलाणे खे बानी की यरूशलेमो खे ल्याऊँ।
2c1606014d	“जेबे आऊँ चलदे-चलदे दमिश्क नगरो रे नेड़े पऊँछेया, तेबे एड़ा ऊआ कि तकरीबन त्याड़िया जे सर्गो ते एकदम ज्योति मेरे चऊँ कनारे चमकी।
2c160700f3	और आऊँ जमीना पाँदे रूड़ी गा, तेबे मैं ये शब्द सुणेया, ‘ओ शाऊल! ओ शाऊल’ तूँ माखे कऊँ सताणे लगी रा?
2c160800d7	मैं बोलेया, ‘ओ प्रभु! तूँ कुणे ए?’ तिने बोलेया, ‘आऊँ यीशु नासरी ए, जेसखे तूँ सताएया।’
2c1609010d	और मेरे साथिया ज्योति तो देखी, पर जो मां साथे जपणे लगी रा था, तिने तेसरा शब्द तो सुणेया, पर से समजी नि सके।
2c160a0161	तेबे मैं बोलेया, ‘ओ प्रभु! आऊँ क्या करुँ?’ प्रभुए माखे बोलेया, ‘उठी की दमिश्को रे जा और जो कुछ तेरे करने राए, तेती ताखे सब कुछ बताया जाणा।’
2c160b0112	जेबे तेसा ज्योतिया रे चमकणे ते माखे कुछ नि दिशेया, तेबे आऊँ आपणे साथिया रे आथ पकड़ी की दमिश्क नगरो रे आया।
2c160c0115	“तेबे हनन्याह नाओं रा बिधानो रे मुताबिक एक चेला था, जो तेती रणे वाल़े सबी यहूदिया बीचे सुनाम था, मांगे आया।
2c160d010a	और खड़े ऊई की माखे बोलेया कि ओ शाऊल पाई फेर देखणे लगी जा। तेसी बखते मेरी आखी खुली गिया और मैं से देखेया।
2c160e01b2	तेबे तिने बोलेया कि आसा रे बाप-दादेया रे परमेशरे तूँ इजी री खातर ठराई राखेया; ताकि तूँ तेसरी इच्छा खे जाणे और तेस तर्मिंयों खे देखी सके और तेसरे मुंओ ते गल्ला सुणी सके।
2c160f00fe	कऊँकि तूँ तेसरी तरफा ते सबी मांणूआ सामणे तिना गल्ला रा गवा ऊणा, जो तैं देखी राखिया और सुणी राखिया।
2c161000c6	एबे देर कऊँ लगी रा करने? उठ बपतिस्मा लओ और तेसरा नाओं लयी की आपणे पापो खे तोओ।
2c161100da	“जेबे आऊँ फेर यरूशलेमो रे आयी की मन्दरो रे प्रार्थना लगी रा था करने, तेबे बेओश ऊईगा।
2c16120137	और तिने देखेया कि से माखे बोलोआ कि फटाफट यरूशलेमो ते निकल़ी जा, कऊँकि तिना लोका जो एती ए मेरे बारे रे तेरी गवाई नि मानणी।
2c16130164	मैं बोलेया कि ओ प्रभु! तुसे तो जाणोए कि आऊँ तुसा पाँदे विश्वास करने वाल़ेया खे जेला रे पाऊँ था और जगा-जगा प्रार्थना रे कअरो रे कुटवाऊँ था।
2c16140184	और जेबे तेरे गवा स्तिफुनुसो रा खून बइणे लगी रा था, तेबे आऊँ बी तेथी खड़ा था और एसा गल्ला रे शामिल था और तेसखे काणे वाल़ेया रे टालेया री देख-रेख करुँ था।
