2800000007	mathi.h
2c151400da	iti "srutvaa te prabhu. m dhanya. m procya vaakyamidam abhaa. santa, he bhraata ryihuudiiyaanaa. m madhye bahusahasraa. ni lokaa vi"svaasina aasate kintu te sarvve vyavasthaamataacaari. na etat pratyak. sa. m pa"syasi|
2c151500a2	"si"suunaa. m tvakchedanaadyaacara. na. m prati. sidhya tva. m bhinnade"sanivaasino yihuudiiyalokaan muusaavaakyam a"sraddhaatum upadi"sasiiti tai. h "srutamasti|
2c151600bb	tvamatraagatosiiti vaarttaa. m samaakar. nya jananivaho militvaava"syamevaagami. syati; ataeva ki. m kara. niiyam? atra vaya. m mantrayitvaa samupaaya. m tvaa. m vadaamasta. m tvamaacara|
2c1517004d	vrata. m karttu. m k. rtasa"nkalpaa ye. asmaa. mka catvaaro maanavaa. h santi
2c1518010a	taan g. rhiitvaa tai. h sahita. h sva. m "suci. m kuru tathaa te. saa. m "siromu. n.dane yo vyayo bhavati ta. m tva. m dehi| tathaa k. rte tvadiiyaacaare yaa jana"sruti rjaayate saaliikaa kintu tva. m vidhi. m paalayan vyavasthaanusaare. nevaacarasiiti te bhotsante|
2c15190117	bhinnade"siiyaanaa. m vi"svaasilokaanaa. m nika. te vaya. m patra. m likhitvettha. m sthiriik. rtavanta. h, devaprasaadabhojana. m rakta. m galapii. danamaaritapraa. nibhojana. m vyabhicaara"scaitebhya. h svarak. sa. navyatireke. na te. saamanyavidhipaalana. m kara. niiya. m na|
2c151a00d7	tata. h paulastaan maanu. saanaadaaya parasmin divase tai. h saha "suci rbhuutvaa mandira. m gatvaa "saucakarmma. no dine. su sampuur. ne. su te. saam ekaikaartha. m naivedyaadyutsargo bhavi. syatiiti j naapitavaan|
2c151b00ae	te. su saptasu dine. su samaaptakalpe. su aa"siyaade"sanivaasino yihuudiiyaasta. m madhyemandira. m vilokya jananivahasya mana. hsu kuprav. rtti. m janayitvaa ta. m dh. rtvaa
2c151c0127	proccai. h praavocan, he israayellokaa. h sarvve saahaayya. m kuruta| yo manuja ete. saa. m lokaanaa. m muusaavyavasthaayaa etasya sthaanasyaapi vipariita. m sarvvatra sarvvaan "sik. sayati sa e. sa. h; vi"se. sata. h sa bhinnade"siiyalokaan mandiram aaniiya pavitrasthaanametad apavitramakarot|
2c151d0099	puurvva. m te madhyenagaram iphi. sanagariiya. m traphima. m paulena sahita. m d. r.s. tavanta etasmaat paulasta. m mandiramadhyam aanayad ityanvamimata|
2c151e00ab	ataeva sarvvasmin nagare kalahotpannatvaat dhaavanto lokaa aagatya paula. m dh. rtvaa mandirasya bahiraak. r.syaanayan tatk. sa. naad dvaaraa. ni sarvvaa. ni ca ruddhaani|
2c151f00df	te. su ta. m hantumudyate. su yiruu"saalamnagare mahaanupadravo jaata iti vaarttaayaa. m sahasrasenaapate. h kar. nagocariibhuutaayaa. m satyaa. m sa tatk. sa. naat sainyaani senaapatiga. na nca g. rhiitvaa javenaagatavaan|
2c1520006e	tato lokaa. h senaaga. nena saha sahasrasenaapatim aagacchanta. m d. r.s. tvaa paulataa. danaato nyavarttanta|
2c152100a3	sa sahasrasenaapati. h sannidhaavaagamya paula. m dh. rtvaa "s. r"nkhaladvayena baddham aadi"sya taan p. r.s. tavaan e. sa ka. h? ki. m karmma caaya. m k. rtavaan?
2c152200af	tato janasamuuhasya ka"scid ekaprakaara. m ka"scid anyaprakaara. m vaakyam araut sa tatra satya. m j naatum kalahakaara. naad a"sakta. h san ta. m durga. m netum aaj naapayat|
2c15230068	te. su sopaanasyopari praapte. su lokaanaa. m saahasakaara. naat senaaga. na. h paulamuttolya niitavaan|
2c1524005b	tata. h sarvve lokaa. h pa"scaadgaamina. h santa ena. m duriikuruteti vaakyam uccairavadan|
2c152500c6	paulasya durgaanayanasamaye sa tasmai sahasrasenaapataye kathitavaan, bhavata. h purastaat kathaa. m kathayitu. m kim anumanyate? sa tamap. rcchat tva. m ki. m yuunaaniiyaa. m bhaa. saa. m jaanaasi?
2c1526009b	yo misariiyo jana. h puurvva. m virodha. m k. rtvaa catvaari sahasraa. ni ghaatakaan sa"ngina. h k. rtvaa vipina. m gatavaan tva. m ki. m saeva na bhavasi?
2c152700d0	tadaa paulo. akathayat aha. m kilikiyaade"sasya taar. sanagariiyo yihuudiiyo, naaha. m saamaanyanagariiyo maanava. h; ataeva vinaye. aha. m laakaanaa. m samak. sa. m kathaa. m kathayitu. m maamanujaanii. sva|
2c152800a5	tenaanuj naata. h paula. h sopaanopari ti. s.than hastene"ngita. m k. rtavaan, tasmaat sarvve susthiraa abhavan| tadaa paula ibriiyabhaa. sayaa kathayitum aarabhata,
2c1601004f	he pit. rga. naa he bhraat. rga. naa. h, idaanii. m mama nivedane samavadhatta|
2c16020070	tadaa sa ibriiyabhaa. sayaa kathaa. m kathayatiiti "srutvaa sarvve lokaa atiiva ni. h"sabdaa santo. ati. s.than|
2c16030174	pa"scaat so. akathayad aha. m yihuudiiya iti ni"scaya. h kilikiyaade"sasya taar. sanagara. m mama janmabhuumi. h, etannagariiyasya gamiliiyelanaamno. adhyaapakasya "si. syo bhuutvaa puurvvapuru. saa. naa. m vidhivyavasthaanusaare. na sampuur. naruupe. na "sik. sito. abhavam idaaniintanaa yuuya. m yaad. r"saa bhavatha taad. r"so. ahamapii"svarasevaayaam udyogii jaata. h|
2c16040084	matametad dvi. s.tvaa tadgraahinaariipuru. saan kaaraayaa. m baddhvaa te. saa. m praa. nanaa"saparyyantaa. m vipak. sataam akaravam|
2c1605013d	mahaayaajaka. h sabhaasada. h praaciinalokaa"sca mamaitasyaa. h kathaayaa. h pramaa. na. m daatu. m "saknuvanti, yasmaat te. saa. m samiipaad damme. sakanagaranivaasibhraat. rga. naartham aaj naapatraa. ni g. rhiitvaa ye tatra sthitaastaan da. n.dayitu. m yiruu"saalamam aanayanaartha. m damme. sakanagara. m gatosmi|
2c160600a8	kintu gacchan tannagarasya samiipa. m praaptavaan tadaa dvitiiyapraharavelaayaa. m satyaam akasmaad gaga. naannirgatya mahatii diipti rmama caturdi"si prakaa"sitavatii|
2c16070088	tato mayi bhuumau patite sati, he "saula he "saula kuto maa. m taa. dayasi? maamprati bhaa. sita etaad. r"sa eko ravopi mayaa "sruta. h|
2c1608007c	tadaaha. m pratyavada. m, he prabhe ko bhavaan? tata. h so. avaadiit ya. m tva. m taa. dayasi sa naasaratiiyo yii"suraha. m|
2c1609007d	mama sa"ngino lokaastaa. m diipti. m d. r.s. tvaa bhiya. m praaptaa. h, kintu maampratyudita. m tadvaakya. m te naabudhyanta|
2c160a00d5	tata. h para. m p. r.s. tavaanaha. m, he prabho mayaa ki. m karttavya. m? tata. h prabhurakathayat, utthaaya damme. sakanagara. m yaahi tvayaa yadyat karttavya. m niruupitamaaste tat tatra tva. m j naapayi. syase|
2c160b0090	anantara. m tasyaa. h kharataradiipte. h kaara. naat kimapi na d. r.s. tvaa sa"ngiga. nena dh. rtahasta. h san damme. sakanagara. m vrajitavaan|
2c160c007c	tannagaranivaasinaa. m sarvve. saa. m yihuudiiyaanaa. m maanyo vyavasthaanusaare. na bhakta"sca hanaaniiyanaamaa maanava eko
2c160d0087	mama sannidhim etya ti. s.than akathayat, he bhraata. h "saula sud. r.s. ti rbhava tasmin da. n.de. aha. m samyak ta. m d. r.s. tavaan|
2c160e0100	tata. h sa mahya. m kathitavaan yathaa tvam ii"svarasyaabhipraaya. m vetsi tasya "suddhasattvajanasya dar"sana. m praapya tasya "sriimukhasya vaakya. m "s. r.no. si tannimittam asmaaka. m puurvvapuru. saa. naam ii"svarastvaa. m manoniita. m k. rtavaana. m|
2c160f0077	yato yadyad adraak. siira"srau. sii"sca sarvve. saa. m maanavaanaa. m samiipe tva. m te. saa. m saak. sii bhavi. syasi|
2c1610006a	ataeva kuto vilambase? prabho rnaamnaa praarthya nijapaapaprak. saalanaartha. m majjanaaya samutti. s.tha|
2c16110098	tata. h para. m yiruu"saalamnagara. m pratyaagatya mandire. aham ekadaa praarthaye, tasmin samaye. aham abhibhuuta. h san prabhuu. m saak. saat pa"syan,
2c16120096	tva. m tvarayaa yiruu"saalama. h prati. s.thasva yato lokaamayi tava saak. sya. m na grahii. syanti, maampratyudita. m tasyeda. m vaakyam a"srau. sam|
2c1613006c	tatoha. m pratyavaadi. sam he prabho pratibhajanabhavana. m tvayi vi"svaasino lokaan baddhvaa prah. rtavaan,
2c161400aa	tathaa tava saak. si. na. h stiphaanasya raktapaatanasamaye tasya vinaa"sa. m sammanya sannidhau ti. s.than hant. rlokaanaa. m vaasaa. msi rak. sitavaan, etat te vidu. h|
2c16150067	tata. h so. akathayat prati. s.thasva tvaa. m duurasthabhinnade"siiyaanaa. m samiipa. m pre. sayi. sye|
2c1616009f	tadaa lokaa etaavatparyyantaa. m tadiiyaa. m kathaa. m "srutvaa proccairakathayan, ena. m bhuuma. n.dalaad duuriikuruta, etaad. r"sajanasya jiivana. m nocitam|
2c16170050	ityuccai. h kathayitvaa vasanaani parityajya gaga. na. m prati dhuuliirak. sipan
2c161800e8	tata. h sahasrasenaapati. h paula. m durgaabhyantara netu. m samaadi"sat| etasya pratikuulaa. h santo lokaa. h kinnimittam etaavaduccai. hsvaram akurvvan, etad vettu. m ta. m ka"sayaa prah. rtya tasya pariik. saa. m karttumaadi"sat|
2c161900e2	padaataya"scarmmanirmmitarajjubhistasya bandhana. m karttumudyataastaastadaanii. m paula. h sammukhasthita. m "satasenaapatim uktavaan da. n.daaj naayaam apraaptaayaa. m ki. m romiloka. m praharttu. m yu. smaakam adhikaarosti?
2c161a0090	enaa. m kathaa. m "srutvaa sa sahasrasenaapate. h sannidhi. m gatvaa taa. m vaarttaamavadat sa romiloka etasmaat saavadhaana. h san karmma kuru|
2c161b0073	tasmaat sahasrasenaapati rgatvaa tamapraak. siit tva. m ki. m romiloka. h? iti maa. m bruuhi| so. akathayat satyam|
2c161c00a2	tata. h sahasrasenaapati. h kathitavaan bahudravi. na. m dattvaaha. m tat paurasakhya. m praaptavaan; kintu paula. h kathitavaan aha. m janunaa tat praapto. asmi|
2c161d00d7	ittha. m sati ye prahaare. na ta. m pariik. situ. m samudyataa aasan te tasya samiipaat praati. s.thanta; sahasrasenaapatista. m romiloka. m vij naaya svaya. m yat tasya bandhanam akaar. siit tatkaara. naad abibhet|
2c161e0116	yihuudiiyalokaa. h paula. m kuto. apavadante tasya v. rttaanta. m j naatu. m vaa nchan sahasrasenaapati. h pare. ahani paula. m bandhanaat mocayitvaa pradhaanayaajakaan mahaasabhaayaa. h sarvvalokaa"sca samupasthaatum aadi"sya te. saa. m sannidhau paulam avarohya sthaapitavaan|
2c170100a2	sabhaasadlokaan prati paulo. ananyad. r.s. tyaa pa"syan akathayat, he bhraat. rga. naa adya yaavat saralena sarvvaanta. hkara. nene"svarasya saak. saad aacaraami|
2c17020066	anena hanaaniiyanaamaa mahaayaajakasta. m kapole cape. tenaahantu. m samiipasthalokaan aadi. s.tavaan|
2c170300c3	tadaa paulastamavadat, he bahi. spari. sk. rta, ii"svarastvaa. m praharttum udyatosti, yato vyavasthaanusaare. na vicaarayitum upavi"sya vyavasthaa. m la"nghitvaa maa. m praharttum aaj naapayasi|
2c17040053	tato nika. tasthaa lokaa akathayan, tva. m kim ii"svarasya mahaayaajaka. m nindasi?
2c170500be	tata. h paula. h pratibhaa. sitavaan he bhraat. rga. na mahaayaajaka e. sa iti na buddha. m mayaa tadanyacca svalokaanaam adhipati. m prati durvvaakya. m maa kathaya, etaad. r"sii lipirasti|
2c1706010e	anantara. m paulaste. saam arddha. m siduukilokaa arddha. m phiruu"silokaa iti d. r.s. tvaa proccai. h sabhaasthalokaan avadat he bhraat. rga. na aha. m phiruu"simataavalambii phiruu"sina. h satnaana"sca, m. rtalokaanaam utthaane pratyaa"saakara. naad ahamapavaaditosmi|
2c1707007c	iti kathaayaa. m kathitaayaa. m phiruu"sisiduukino. h paraspara. m bhinnavaakyatvaat sabhaayaa madhye dvau sa. mghau jaatau|
2c17080098	yata. h siduukilokaa utthaana. m svargiiyaduutaa aatmaana"sca sarvve. saam ete. saa. m kamapi na manyante, kintu phiruu"sina. h sarvvam a"ngiikurvvanti|
2c1709013b	tata. h parasparam ati"sayakolaahale samupasthite phiruu"sinaa. m pak. siiyaa. h sabhaasthaa adhyaapakaa. h pratipak. saa utti. s.thanto. akathayan, etasya maanavasya kamapi do. sa. m na pa"syaama. h; yadi ka"scid aatmaa vaa ka"scid duuta ena. m pratyaadi"sat tarhi vayam ii"svarasya praatikuulyena na yotsyaama. h|
2c170a00e0	tasmaad atiiva bhinnavaakyatve sati te paula. m kha. n.da. m kha. n.da. m kari. syantiityaa"sa"nkayaa sahasrasenaapati. h senaaga. na. m tatsthaana. m yaatu. m sabhaato balaat paula. m dh. rtvaa durga. m neta ncaaj naapayat|
2c170b00a7	raatro prabhustasya samiipe ti. s.than kathitavaan he paula nirbhayo bhava yathaa yiruu"saalamnagare mayi saak. sya. m dattavaan tathaa romaanagarepi tvayaa daatavyam|
2c170c0095	dine samupasthite sati kiyanto yihuudiiyalokaa ekamantra. naa. h santa. h paula. m na hatvaa bhojanapaane kari. syaama iti "sapathena svaan abadhnan|
2c170d003c	catvaari. m"sajjanebhyo. adhikaa lokaa iti pa. nam akurvvan|
2c170e00ab	te mahaayaajakaanaa. m praaciinalokaanaa nca samiipa. m gatvaa kathayan, vaya. m paula. m na hatvaa kimapi na bhok. syaamahe d. r.dhenaanena "sapathena baddhvaa abhavaama|
2c170f0121	ataeva saamprata. m sabhaasadlokai. h saha vaya. m tasmin ka ncid vi"se. savicaara. m kari. syaamastadartha. m bhavaan "svo. asmaaka. m samiipa. m tam aanayatviti sahasrasenaapataye nivedana. m kuruta tena yu. smaaka. m samiipa. m upasthite. h puurvva. m vaya. m ta. m hantu sajji. syaama|
2c17100072	tadaa paulasya bhaagineyaste. saamiti mantra. naa. m vij naaya durga. m gatvaa taa. m vaarttaa. m paulam uktavaan|
2c171100b3	tasmaat paula eka. m "satasenaapatim aahuuya vaakyamidam bhaa. sitavaan sahasrasenaapate. h samiipe. asya yuvamanu. syasya ki ncinnivedanam aaste, tasmaat tatsavidham ena. m naya|
2c171200cf	tata. h sa tamaadaaya sahasrasenaapate. h samiipam upasthaaya kathitavaan, bhavata. h samiipe. asya kimapi nivedanamaaste tasmaat bandi. h paulo maamaahuuya bhavata. h samiipam enam aanetu. m praarthitavaan|
2c1713007e	tadaa sahasrasenaapatistasya hasta. m dh. rtvaa nirjanasthaana. m niitvaa p. r.s. thavaan tava ki. m nivedana. m? tat kathaya|
2c1714009f	tata. h sokathayat, yihuudiiyalaakaa. h paule kamapi vi"se. savicaara. m chala. m k. rtvaa ta. m sabhaa. m netu. m bhavata. h samiipe nivedayitu. m amantrayan|
2c17150124	kintu mavataa tanna sviikarttavya. m yataste. saa. m madhyevarttina"scatvaari. m"sajjanebhyo. adhikalokaa ekamantra. naa bhuutvaa paula. m na hatvaa bhojana. m paana nca na kari. syaama iti "sapathena baddhaa. h santo ghaatakaa iva sajjitaa idaanii. m kevala. m bhavato. anumatim apek. sante|
2c17160085	yaamimaa. m kathaa. m tva. m niveditavaan taa. m kasmaicidapi maa kathayetyuktvaa sahasrasenaapatista. m yuvaana. m vis. r.s. tavaan|
2c17170126	anantara. m sahasrasenaapati rdvau "satasenaapatii aahuuyedam aadi"sat, yuvaa. m raatrau praharaikaava"si. s.taayaa. m satyaa. m kaisariyaanagara. m yaatu. m padaatisainyaanaa. m dve "sate gho. takaarohisainyaanaa. m saptati. m "saktidhaarisainyaanaa. m dve "sate ca janaan sajjitaan kuruta. m|
2c1718006e	paulam aarohayitu. m phiilik. saadhipate. h samiipa. m nirvvighna. m netu nca vaahanaani samupasthaapayata. m|
2c17190039	apara. m sa patra. m likhitvaa dattavaan tallikhitametat,
2c171a004d	mahaamahima"sriiyuktaphiilik. saadhipataye klaudiyalu. siyasya namaskaara. h|
2c171b00b3	yihuudiiyalokaa. h puurvvam ena. m maanava. m dh. rtvaa svahastai rhantum udyataa etasminnantare sasainyoha. m tatropasthaaya e. sa jano romiiya iti vij naaya ta. m rak. sitavaan|
2c171c0050	kinnimitta. m te tamapavadante tajj naatu. m te. saa sabhaa. m tamaanaayitavaan|
2c171d00ca	tataste. saa. m vyavasthaayaa viruddhayaa kayaacana kathayaa so. apavaadito. abhavat, kintu sa "s. r"nkhalabandhanaarho vaa praa. nanaa"saarho bhavatiid. r"sa. h kopyaparaadho mayaasya na d. r.s. ta. h|
2c171e00fc	tathaapi manu. syasyaasya vadhaartha. m yihuudiiyaa ghaatakaaiva sajjitaa etaa. m vaarttaa. m "srutvaa tatk. sa. naat tava samiipamena. m pre. sitavaan asyaapavaadakaa. m"sca tava samiipa. m gatvaapavaditum aaj naapayam| bhavata. h ku"sala. m bhuuyaat|
2c171f0064	sainyaga. na aaj naanusaare. na paula. m g. rhiitvaa tasyaa. m rajanyaam aantipaatrinagaram aanayat|
2c1720006e	pare. ahani tena saha yaatu. m gho. takaaruu. dhasainyaga. na. m sthaapayitvaa paraav. rtya durga. m gatavaan|
2c17210092	tata. h pare gho. takaarohisainyaga. na. h kaisariyaanagaram upasthaaya tatpatram adhipate. h kare samarpya tasya samiipe paulam upasthaapitavaan|
2c1722008e	tadaadhipatistatpatra. m pa. thitvaa p. r.s. thavaan e. sa kimprade"siiyo jana. h? sa kilikiyaaprade"siiya eko jana iti j naatvaa kathitavaan,
2c1723006c	tavaapavaadakaga. na aagate tava kathaa. m "sro. syaami| herodraajag. rhe ta. m sthaapayitum aadi. s.tavaan|
2c180100ed	pa ncabhyo dinebhya. h para. m hanaaniiyanaamaa mahaayaajako. adhipate. h samak. sa. m paulasya praatikuulyena nivedayitu. m tartullanaamaana. m ka ncana vaktaara. m praaciinajanaa. m"sca sa"ngina. h k. rtvaa kaisariyaanagaram aagacchat|
2c180200f7	tata. h paule samaaniite sati tartullastasyaapavaadakathaa. m kathayitum aarabhata he mahaamahimaphiilik. sa bhavato vayam atinirvvighna. m kaala. m yaapayaamo bhavata. h pari. naamadar"sitayaa etadde"siiyaanaa. m bahuuni ma"ngalaani gha. titaani,
2c1803005a	iti heto rvayamatik. rtaj naa. h santa. h sarvvatra sarvvadaa bhavato gu. naan gaayama. h|
2c1804007c	kintu bahubhi. h kathaabhi rbhavanta. m yena na vira njayaami tasmaad vinaye bhavaan banukampya madalpakathaa. m "s. r.notu|
2c180500c2	e. sa mahaamaariisvaruupo naasaratiiyamatagraahisa. mghaatasya mukhyo bhuutvaa sarvvade"se. su sarvve. saa. m yihuudiiyaanaa. m raajadrohaacara. naprav. rtti. m janayatiityasmaabhi rni"scita. m|
2c1806008f	sa mandiramapi a"suci karttu. m ce. s.titavaan; iti kaara. naad vayam ena. m dh. rtvaa svavyavasthaanusaare. na vicaarayitu. m praavarttaamahi;
2c18070058	kintu lu. siya. h sahasrasenaapatiraagatya balaad asmaaka. m karebhya ena. m g. rhiitvaa
2c180800c7	etasyaapavaadakaan bhavata. h samiipam aagantum aaj naapayat| vaya. m yasmin tamapavaadaamo bhavataa padapavaadakathaayaa. m vicaaritaayaa. m satyaa. m sarvva. m v. rttaanta. m veditu. m "sak. syate|
2c18090048	tato yihuudiiyaa api sviik. rtya kathitavanta e. saa kathaa pramaa. nam|
2c180a00ca	adhipatau kathaa. m kathayitu. m paula. m pratii"ngita. m k. rtavati sa kathitavaan bhavaan bahuun vatsaraan yaavad etadde"sasya "saasana. m karotiiti vij naaya pratyuttara. m daatum ak. sobho. abhavam|
2c180b0094	adya kevala. m dvaada"sa dinaani yaataani, aham aaraadhanaa. m karttu. m yiruu"saalamanagara. m gatavaan e. saa kathaa bhavataa j naatu. m "sakyate;
2c180c00a8	kintvibhe maa. m madhyemandira. m kenaapi saha vita. n.daa. m kurvvanta. m kutraapi bhajanabhavane nagare vaa lokaan kuprav. rtti. m janayantu. m na d. r.s. tavanta. h|
2c180d005c	idaanii. m yasmin yasmin maam apavadante tasya kimapi pramaa. na. m daatu. m na "saknuvanti|
2c180e0104	kintu bhavi. syadvaakyagranthe vyavasthaagranthe ca yaa yaa kathaa likhitaaste taasu sarvvaasu vi"svasya yanmatam ime vidharmma. m jaananti tanmataanusaare. naaha. m nijapit. rpuru. saa. naam ii"svaram aaraadhayaamiityaha. m bhavata. h samak. sam a"ngiikaromi|
2c180f00a3	dhaarmmikaa. naam adhaarmmikaa. naa nca pramiitalokaanaamevotthaana. m bhavi. syatiiti kathaamime sviikurvvanti tathaahamapi tasmin ii"svare pratyaa"saa. m karomi;
2c18100063	ii"svarasya maanavaanaa nca samiipe yathaa nirdo. so bhavaami tadartha. m satata. m yatnavaan asmi|
2c1811008a	bahu. su vatsare. su gate. su svade"siiyalokaanaa. m nimitta. m daaniiyadravyaa. ni naivedyaani ca samaadaaya punaraagamana. m k. rtavaan|
2c181200ac	tatoha. m "suci rbhuutvaa lokaanaa. m samaagama. m kalaha. m vaa na kaaritavaan tathaapyaa"siyaade"siiyaa. h kiyanto yihudiiyalokaa madhyemandira. m maa. m dh. rtavanta. h|
2c1813006e	mamopari yadi kaacidapavaadakathaasti tarhi bhavata. h samiipam upasthaaya te. saameva saak. syadaanam ucitam|
2c18140092	nocet puurvve mahaasabhaasthaanaa. m lokaanaa. m sannidhau mama da. n.daayamaanatvasamaye, ahamadya m. rtaanaamutthaane yu. smaabhi rvicaaritosmi,
2c181500a6	te. saa. m madhye ti. s.thannaha. m yaamimaa. m kathaamuccai. h svare. na kathitavaan tadanyo mama kopi do. so. alabhyata na veti varam ete samupasthitalokaa vadantu|
2c181600e7	tadaa phiilik. sa etaa. m kathaa. m "srutvaa tanmatasya vi"se. sav. rttaanta. m vij naatu. m vicaara. m sthagita. m k. rtvaa kathitavaan lu. siye sahasrasenaapatau samaayaate sati yu. smaaka. m vicaaram aha. m ni. spaadayi. syaami|
2c181700a9	anantara. m bandhana. m vinaa paula. m rak. situ. m tasya sevanaaya saak. saatkara. naaya vaa tadiiyaatmiiyabandhujanaan na vaarayitu nca "samasenaapatim aadi. s.tavaan|
2c181800b1	alpadinaat para. m phiilik. so. adhipati rdru. sillaanaamnaa yihuudiiyayaa svabhaaryyayaa sahaagatya paulamaahuuya tasya mukhaat khrii. s.tadharmmasya v. rttaantam a"srau. siit|
2c181900c6	paulena nyaayasya parimitabhogasya caramavicaarasya ca kathaayaa. m kathitaayaa. m satyaa. m phiilik. sa. h kampamaana. h san vyaaharad idaanii. m yaahi, aham avakaa"sa. m praapya tvaam aahuusyaami|
2c181a0096	muktipraptyartha. m paulena mahya. m mudraadaasyante iti patyaa"saa. m k. rtvaa sa puna. h punastamaahuuya tena saaka. m kathopakathana. m k. rtavaan|
2c181b00b0	kintu vatsaradvayaat para. m parkiyaphii. s.ta phaalik. sasya pada. m praapte sati phiilik. so yihuudiiyaan santu. s.taan cikiir. san paula. m baddha. m sa. msthaapya gatavaan|
2c19010068	anantara. m phii. s.to nijaraajyam aagatya dinatrayaat para. m kaisariyaato yiruu"saalamnagaram aagamat|
2c1902005e	tadaa mahaayaajako yihuudiiyaanaa. m pradhaanalokaa"sca tasya samak. sa. m paulam apaavadanta|
2c19030068	bhavaan ta. m yiruu"saalamam aanetum aaj naapayatviti viniiya te tasmaad anugraha. m vaa nchitavanta. h|
2c190400bc	yata. h pathimadhye gopanena paula. m hantu. m tai rghaatakaa niyuktaa. h| phii. s.ta uttara. m dattavaan paula. h kaisariyaayaa. m sthaasyati punaralpadinaat param aha. m tatra yaasyaami|
2c190500a8	tatastasya maanu. sasya yadi ka"scid aparaadhasti. s.thati tarhi yu. smaaka. m ye "saknuvanti te mayaa saha tatra gatvaa tamapavadantu sa etaa. m kathaa. m kathitavaan|
2c19060095	da"sadivasebhyo. adhika. m vilambya phii. s.tastasmaat kaisariyaanagara. m gatvaa parasmin divase vicaaraasana upadi"sya paulam aanetum aaj naapayat|
2c190700e0	paule samupasthite sati yiruu"saalamnagaraad aagataa yihuudiiyalokaasta. m caturdi"si sa. mve. s.tya tasya viruddha. m bahuun mahaado. saan utthaapitavanta. h kintu te. saa. m kimapi pramaa. na. m daatu. m na "saknuvanta. h|
2c1908009a	tata. h paula. h svasmin uttaramidam uditavaan, yihuudiiyaanaa. m vyavasthaayaa mandirasya kaisarasya vaa pratikuula. m kimapi karmma naaha. m k. rtavaan|
2c190900ac	kintu phii. s.to yihuudiiyaan santu. s.taan karttum abhila. san paulam abhaa. sata tva. m ki. m yiruu"saalama. m gatvaasmin abhiyoge mama saak. saad vicaarito bhavi. syasi?
2c190a00d9	tata. h paula uttara. m proktavaan, yatra mama vicaaro bhavitu. m yogya. h kaisarasya tatra vicaaraasana eva samupasthitosmi; aha. m yihuudiiyaanaa. m kaamapi haani. m naakaar. sam iti bhavaan yathaarthato vijaanaati|
2c190b0145	ka ncidaparaadha. m ki ncana vadhaarha. m karmma vaa yadyaham akari. sya. m tarhi praa. nahananada. n.damapi bhoktum udyato. abhavi. sya. m, kintu te mama samapavaada. m kurvvanti sa yadi kalpitamaatro bhavati tarhi te. saa. m kare. su maa. m samarpayitu. m kasyaapyadhikaaro naasti, kaisarasya nika. te mama vicaaro bhavatu|
2c190c00a4	tadaa phii. s.to mantribhi. h saarddha. m sa. mmantrya paulaaya kathitavaan, kaisarasya nika. te ki. m tava vicaaro bhavi. syati? kaisarasya samiipa. m gami. syasi|
2c190d0077	kiyaddinebhya. h param aagripparaajaa bar. niikii ca phii. s.ta. m saak. saat karttu. m kaisariyaanagaram aagatavantau|
2c190e00c5	tadaa tau bahudinaani tatra sthitau tata. h phii. s.tasta. m raajaana. m paulasya kathaa. m vij naapya kathayitum aarabhata paulanaamaanam eka. m bandi phiilik. so baddha. m sa. msthaapya gatavaan|
2c190f0085	yiruu"saalami mama sthitikaale mahaayaajako yihuudiiyaanaa. m praaciinalokaa"sca tam apodya tamprati da. n.daaj naa. m praarthayanta|
2c19100109	tatoham ityuttaram avada. m yaavad apodito jana. h svaapavaadakaan saak. saat k. rtvaa svasmin yo. aparaadha aaropitastasya pratyuttara. m daatu. m suyoga. m na praapnoti, taavatkaala. m kasyaapi maanu. sasya praa. nanaa"saaj naapana. m romilokaanaa. m riiti rnahi|
2c19110078	tataste. svatraagate. su parasmin divase. aham avilamba. m vicaaraasana upavi"sya ta. m maanu. sam aanetum aaj naapayam|
2c1912007b	tadanantara. m tasyaapavaadakaa upasthaaya yaad. r"sam aha. m cintitavaan taad. r"sa. m ka ncana mahaapavaada. m notthaapya
2c1913007b	sve. saa. m mate tathaa paulo ya. m sajiiva. m vadati tasmin yii"sunaamani m. rtajane ca tasya viruddha. m kathitavanta. h|
2c19140081	tatoha. m taad. rgvicaare sa. m"sayaana. h san kathitavaan tva. m yiruu"saalama. m gatvaa ki. m tatra vicaarito bhavitum icchasi?
2c191500c7	tadaa paulo mahaaraajasya nika. te vicaarito bhavitu. m praarthayata, tasmaad yaavatkaala. m ta. m kaisarasya samiipa. m pre. sayitu. m na "saknomi taavatkaala. m tamatra sthaapayitum aadi. s.tavaan|
2c191600ac	tata aagrippa. h phii. s.tam uktavaan, ahamapi tasya maanu. sasya kathaa. m "srotum abhila. saami| tadaa phii. s.to vyaaharat "svastadiiyaa. m kathaa. m tva. m "sro. syasi|
2c191700dd	parasmin divase aagrippo bar. niikii ca mahaasamaagama. m k. rtvaa pradhaanavaahiniipatibhi rnagarasthapradhaanalokai"sca saha militvaa raajag. rhamaagatya samupasthitau tadaa phii. s.tasyaaj nayaa paula aaniito. abhavat|
