0100000016	ሜꬌቴꬃ ማጻፋ
0e1c0e00b2	ሄሳ ጊሻስ ኦላንቻቲ ዲኢ ኤሂዳ ኣሳታ ሃላቃታ ሲንꬃኒኔ ኩሜꬃ ዴራ ሲንꬃን ዬዲዳ፤ ዲኢ ኤሂዳ ሚሻካ ዛሪ ሼꬊዳ።
0e1c0f023d	ሄሳፌ ጉዬ ሱንꬃይ ሃይሳፌ ቆሞን ጻፌቲዳ ኣሳቲ ዴንዲ ኤቂዲ ዲኤቲዳ ኣሳታ ኤኪዲ ኢስታ ጊዶን ካሎ ዲዛይታ ዲኢ ኤኪዳ ማይኦፌ ኢስታ ማይዚዳ፤ ኢስቲ ሄ ኣሳታስ ማይኦኔ ጫማ ኢሚዳ፤ ቃሴ ኢስታ ሚዚዳኔ ኡሺዳ፤ ኢስታ ማዱንꬃካ ዛይቴ ቲይዳ፤ ኢስታ ጊዶፌ ዳቡርዳይታ ሃሬ ቶጊሲዲ ኢስታ ኢሻንታኮ ዛምባ ካታማ ጌቴታ ጼይጌቲዛ ኢያርኮ ካታማ ኤፊዲ ጉዬ ሳማሪያ ሲሚዳ።
0e1c100061	ሄ ዎዴ ካዎ ኣካዜይ ኣሶሬ ካዎይ ባና ማዳና ማላ ኪታ ዬዲዴስ።
0e1c11007a	ጋሶይካ ኤዶሜ ኣሳይ ናምኣንꬆ ዩሁዳ ቦላ ዎራጂዲ ዳሮ ኣስ ዲኢ ኤፊዳ ጊሻሳ።
0e1c12011e	ፊሊስጼሜ ኣሳቲ ቃሴ ዩሁዳ ሻራ ሜንꬆኒኔ ኔጌቤ ባዞን ዴኢዛ ካታማታ ዎራጂዲ ቤቲ-ሼሚሼ፥ ኣያሎኔ፥ ጋዴሮቴ፥ ሶኮ፥ ቴሚና፥ ጊሚዞኔ ኢስታ ዩሾን ዲዛ ሞꬃታ ኡባ ኦይኪዲ ሄን ዴኢዳ።
0e1c1300a7	ዩሁዳ ካዎ ኣካዜይ ዩሁዳ ኣሳ ናጋራ ኦሲሲዳ ጊሻሲኔ ጎዳስ ኣማኔቶንታ ኣጊዳ ጊሻስ ጾሲ ዩሁዳ ካዉሺዴስ።
0e1c14008c	ሄሳ ጊሻስ ኣሶሬ ካዎ ቴሊጌሊቴሊፌሊሶሬይ ኣካዜኮ ዪዲ ሃራ ሜቶ ሜꬊዴስ ኣቲን ማዲቤና።
0e1c15009a	ኣካዜይ ጾሳ ኬꬃፌ፥ ካዎ ኬꬃፌኔ ሹሜታፔ ኣማርዳ ሚሻታ ኤኪዲ ኣሶሬ ካዎስ ኢሚንካ ኢዛ ማዲቤና።
0e1c160062	ካዎ ኣካዜይ ሜቶቲዳ ዎዴ ጎዳስ ኣማኔታናይሳ ኣጊ ኣጊ ቢዴስ።
0e1c170138	ኢዚካ፥ «ኣራሜ ካዎታ ጾሳቲ ኢስታ ማዲዳ ጊሻስ ታናካ ኢስታ ማዳና ማላ ታኒ ኢስታስ ያርሻና» ጊዲ ባና ጾኒዳ ዳማስቆ ጾሳታስ ያርሺዴስ፤ ጊዶ ኣቲን ሄ ጾሳቲ ኢዛሲኔ ኢስራኤሌ ኣሳ ኡባስ ባሽ ኤሂዳ።
0e1c1800e9	ኣካዜይ ጾሳ ኬꬃ ሚሻ ኡባ ኢሲሶ ሺሺዲ ኪንቼሬꬂዴስ፤ ሂስቲዲ ጾሳ ኬꬃ ፔንጌታ ጎርዲዲ ዬሩሳላሜን ዎጋ ኦጌታ ቲጻን ቲጻን ባስ ያርሾሶታ ኤሲዴስ።
0e1c1900d1	ኣካዜይ ዩሁዳ ካታማታን ሃራ ኤቃ ጾሳታስ ያርሾ ጹጋናስ ዙምቡላታ ቦላ ጎይኒዛሶታ ጊግሲዴስ፤ ሄሳን ጎዳ ባ ኣዋታ ጾሳ ሃንቄꬂዴስ።
0e1c1a0106	ኣካዜ ካዎቴꬃ ላይꬃን ኮይሮፔ ቢዲ ዉርሴꬅ ጋካናስ ኦሴቲዳ ሃራ ኦሶቲኔ ኢዛ ሃኖይ ኡባይ ዩሁዳ ካዎታ ታሪኬ ማጻፋኒኔ ኢስራኤሌ ካዎታ ታሪኬ ማጻፋን ጻፌቲ ኡቲዴስ።
0e1c1b00e7	ኣካዜይ ባ ኣዋታꬆ ሃይቂዴስ፤ ዬሩሳላሜ ካታማን ኢዛ ሞጊዳ፤ ጊዶ ኣቲን ኢስራኤሌ ካዎታ ዱፎን ሞጌቲቤና፤ ኢዛ ና ሂዝቂያሲ ኢዛሶሆን ካዎቲዴስ።
0e1d0100b6	ሂዝቂያሲ ካዎቲዛ ዎዴ ኢዛስ ላይꬃይ 25፤ ኢዚ ዬሩሳላሜን 29 ላይꬅ ካዎቲዴስ፤ ኢዛ ኣያ ዛካራሳ ና ኣቢዮ ጌቴታዉስ።
0e1d020064	ኢዛ ኣዋ ዳዊቲ ጎዳ ሲንꬃን ሎኦ ኦꬂዳ ማላ ኢዚካ ሎኦ ኦꬂዴስ።
0e1d030086	ሂዝቂያሲ ባ ካዎቲዳ ኮይሮ ላይꬃን ኮይሮ ኣጊናን ጾሳ ኬꬃ ፔንጌታ ዶይዲ ኦራꬂዴስ።
0e1d04006c	ቄሴታኔ ሌዌታ ጾሳ ኬꬃስ ኣርሼይ ሞኪዛ ባጋራ ዲዛ ዳባባን ሺሺዴስ።
0e1d0500ce	ሂስቲዲ፥ «ሌዌቶ! ታኒ ጊዛይሳ ሲዪቴ! ሃኢራ ኤሶን ኢንቴና ጌሺቴ፤ ኢንቴ ኣዋታ ጾሳ ኬꬃካ ጌሺቴ፤ ቱና ሚሽ ኡባ ጾሳ ኬꬃፌ ዲጊቴ።
0e1d0600d7	ካሴ ኑ ኣዋቲ ኣማኔቲቤቴና፤ ኑ ጎዳ ሲንꬃን ኢታ ሚሽ ኦꬂዳ፤ ኢዛካ ኣጊዳ፤ ጎዳይ ዴኢዛሶፔ ባንታ ሲንꬂ ሃራሶ ዛሪዲ ኢዛስ ዞኮ ቤሲዳ።
0e1d0700e0	ኢስቲ ቃሴ ጾሳ ኬꬃ ፔንጌታ ጎርዲዳ፤ ጾምፔታ ቶይሲዳ፤ ኢስራኤሌ ጎዳስ ኤጻኔ ጩዋሲቤቴና፤ ዎይኮ ኢዛ ኬꬃንካ ጹጌቲዛ ያርሾካ ያርሺቤቴና።
0e1d0800e5	ሄሳ ጊሻስ ጎዳ ሃንቆይ ዩሁዳ ቦላኔ ዬሩሳላሜ ቦላ ዎꬊዴስ፤ ኢንቴ ኢንቴ ኣይፌን ቤኢዳይሳꬆ ጎዳይ ኢስታ ዳጋማስ፥ ሚቻሲኔ ቂꬌስ ኣꬂ ኢሚዴስ።
0e1d090090	ሄሳ ጋሶን ኑ ኣዋቲ ጊꬃ ማሻን ሲፌቲዳ፤ ኑ ኣቱማ ናይቲ፥ ኑ ማጫ ናይቲኔ ኑ ማቼቲ ዲኤቲዳ።
0e1d0a00ab	«ሃኢ ጊዲኮ ባቢሲዛ ኢዛ ሃንቆይ ኑ ቦላፌ ኪቻና ማላ ታኒ ጎዳ ኢስራኤሌ ጾሳራ ጫቄታናስ ታ ዎዚናን ቆፓዲስ።
0e1d0b00f8	ታ ናይቶ! ኢንቴ ጎዳ ሲንꬃን ኤቂዲ ኦꬃና ማላ ኢዛ ኦሳንቻ ጊዳና ማላኔ ኢዛስ ኤጻኔ ጩዋሳና ማላ ኢንቴና ኢዚ ዶሪዳ ጊሻስ ዉዳይ ባይንዳይታ ጊዶፒቴ» ጊዴስ።
0e1d0c0147	ሄ ሶሆን ዴኢዛ ሌዌቲ ሃይሳፌ ካሊዲ ጻፌቲዳ። ቃኣቴ ዛርኬፌ ኣማሳዬ ና ማሃቴኔ ኣዛሪያሳ ና ኢዩኤሌ። ሜራሬ ዛርኬታፔ ኣቢዴ ና ቂሴኔ ዩሃሌልኤሌ ና ኣዛሪያሳ። ጌርሾኔ ዛርኬፌ ዚማ ና ዮኣሃኔ ኢዛ ና ኤዴኔ።
0e1d0d0070	ኤልጻፋኔ ዛርኬፌ ሺሚሬኔ ዪኢኤሌ። ኣሳፌ ዛርኬፌ ዛካራሳኔ ማታኒያ።
0e1d0e006a	ሄማኔ ዛርኬፌ ዪሂኤሌኔ ሺምኤ። ኤዶታኔ ዛርኬፌ ሻማኤኔ ኡዚኤሌ።
0e1d0f00ba	ኢስቲ ባንታ ኢሻታ ሺሺዲ ባንታና ጌሺዳፔ ጉዬ ካዎዚ ጎዳ ቃላይ ጊዛ ማላ ኢስታ ኣዛዚን ኢስቲ ጾሳ ኬꬃ ጌሻናስ ጌሊዳ።
0e1d1000d4	ሄሳ ጊሻስ ቄሴቲ ጾሳ ኬꬃ ጌሻናስ ጊዶ ጌሊዲ ሄን ዲዛ ቱና ሚሽ ኡባ ኬሲዲ ጾሳ ኬꬃ ዛጎ ኤሂዳ፤ ሌዌቲ ቶኪ ኤፊዲ ቄዲሮኔ ሾባን ኦሊዳ።
0e1d11013a	ኢስቲ ኮይሮ ኣጊናን፥ ኮይሮ ጋላስ ጾሳ ኬꬃ ጌሾ ዶሚዲ ሄ ኣጊናን ኦስፑንꬃ ጋላስ ዳራንቻ ጋኪዳ፤ ሃራ ኦስፑን ጋላሳን ጾሳ ኬꬃ ጌሺዳ፤ ሃ ጌሾ ዎጋዚ ኮይሮ ኣጊናን ታማኔ ኡሱፑንꬃ ጋላስ ፖሌቲዴስ።
0e1d120127	ሄሳፌ ጉዬ ኢስቲ ካዎ ሂዝቂያሳኮ ጌሊዲ፥ «ኑኒ ጾሳ ኬꬃ ኡባ፥ ጹጌቲዛ ያርሾ ያርሺዛሶዛኔ ያርሾስ ጎኤቲዛ ሚሻታ፥ ጎዳ ሲንꬃን ዎꬂዛ ጻራጴዛኔ ሄ ጻራጴዛ ቦላ ኡቲዛ ሚሻታ ኡባ ጌሺዶስ።
0e1d130111	ቃሴ ካዎ ኣካዜይ ካዎቲዲ ዴኢዛ ዎዴ ጾሳስ ኣማኔቶንታ ኣጊዲ ኤፊዳ ሚሻታ ኡባ ኑኒ ዛሪዲ ጌሺዶስ፤ ቤኣ ኑኒ ጌሺዳ ሚሻቲ ኡባይ ጎዳስ ያርሾ ያርሺዛሶዛ ሲንꬃን ዴቴስ» ጊዳ።
0e1d140097	ካዎ ሂዝቂያሲ ዎንቴꬃ ጋላስ ጉራራ ዴንዲዲ ካታማ ሃላቃታ ሺሺዲ ኢስታራ ኢሲፌ ጾሳ ኬꬅ ቢዴስ።
0e1d15016e	ኢስቲ ካዎቴꬃ ጊሻስ፥ ጾሳ ኬꬃ ጊሻሲኔ ዩሁዳ ኣሳ ጊሻስ፥ 7 ኮርማ ቦራታ፥ 7 ꬋርሾታ፥ 7 ማጫ ዶርሳ ላቃታኔ 7 ዴይሻ ኮርቤታ ናጋራ ያርሾስ ኤሂዳ፤ ኣሮኔ ዜሬꬅ ጊዲዳ ቄሴቲ ጎዳስ ያርሾ ያርሺዛሶን ሄይታ ያርሻና ማላ ካዎዚ ኣዛዚዴስ።
0e1d160093	ቄሴቲ ኮርማ ቦራታ፥ ꬋርሾታኔ ዶርሳ ላቃታ ሹኪዲ ኢስታ ሱꬃ ያርሾ ያርሺዛሶዛ ቦላ ኣራጪዳ፤
0e1d1700c6	ናጋራ ያርሾስ ሺቂዛ ዴይሻ ኦርጌታ ካዎዛ ሲንꬂኔ ዱላታስ ሺቂዳ ኣሳ ሲንꬅ ኤሂን ኢስቲ ኡባይ ባንታ ኩሼ ኦርጌታ ቦላ ዎꬂዳ።
0e1d18012b	ካዎዚ ኢስቲ ጹጌቲዛ ያርሾኔ ናጋራ ያርሾ ያርሻና ማላ ኣዛዚዳ ጊሻስ ቄሴቲ ኦርጌታ ሹኪዲ ኢስራኤሌ ኣሳ ኡባ ናጋራ ዉርሳናሲኔ ጹጌቲዛ ያርሾ ሂስቲ ኢስታ ሱꬃ ያርሾ ያርሺዛሶዛ ቦላ ዉጺዳ።
0e1d190112	ሄሳፌ ጉዬ ጎዳይ ካዎስ ቲንቢቴ ዮቲዛ ጋዴ ባጋራ፥ ናቤ ናታኔ ባጋራኔ ካዎ ዳዊቴ ባጋራ ኣዛዚዳ ኣዛዞ ሂዝቂያሲ ካሊዲ ሌዌታ ዳላ፥ ዲꬂኔ ማሲንቆ ኦይꬂዲ ጾሳ ኬꬃን ኤሲዴስ።
0e1d1a0087	ሌዌቲ ዳዊቲ ካሴ ማዛሙሬ ዬጺዛ ሚሻታ ኦይኪን ቄሴቲ ቃሴ ዛዬታ ኦይኪዲ ጊጌቲ ኤቂዳ።
0e1d1b00ff	ሄሳፌ ጉዬ ኢስቲ ጹጌቲዛ ያርሾ ያርሻና ማላ ሂዝቂያሲ ኣዛዚዴስ፤ ጹጌቲዛ ያርሾዚ ዶሜቲዛ ዎዴ ዛዬታኒኔ ካዎ ዳዊቴ ዬꬃ ሚሻታን ኣዣቤቲዲ ጎዳስ ማዛሙሬ ዶሚዳ።
0e1d1c00a7	ጹጌቲዛ ያርሾይ ፖሌታና ጋካናስ ዬጺዛይቲ ዬጺሺን፥ ዛዬ ፑኒዛይቲ ፑኒሺን ኩሜꬃ ኢስራኤሌይ ጎይኒዴስ።
0e1d1d0089	ቄሴቲ ያርሾዛ ያርሺ ፖሊዳፔ ጉዬ ካዎዚኔ ኢዛራ ዲዛ ኣሳይ ኡባይ ጉልባቲዲ ጎይኒዴስ።
0e1d1e00f2	ካዎ ዳዊቲኔ ናቤ ኣሳፌይ ጻፊዳ ጋላታ ዬꬃ ጎዳስ ዬጻና ማላ ካዎ ሂዝቂያሲኔ ሃላቃቲ ሌዌታ ኣዛዚዳ፤ ሂስቲን ሌዌቲ ኡፋይሳን ጋላቲሼ ጉልባቲዲ ጎይኒዳ።
0e1d1f0166	ሄሳፌ ጉዬ ሂዝቂያሲ ኣሳ፥ «ሃኢ ኢንቴ ኢንቴና ጎዳስ ዱማሲዴታ፤ ኢንቴ ሺቂዲ ያርሾኔ ጋላታ ኢሞታ ጾሳ ኬꬃ ኤሂቴ» ጊዴስ፤ ሄሳ ጊሻስ ሺቂዳ ኣሳይ ያርሾኔ ጋላታ ኢሞታ ኤሂዳ፤ ቃሴ ኣማርዳ ኣሳቲ ባ ሼኔን ጹጌቲዛ ያርሾ ኤሂዳ።
0e1d2000e3	ሄ ሺቂዳ ኣሳይ ኤሂዳ ጹጌቲዛ ያርሾዛ ቆዳይ 70 ኮርማ ቦራታ፥ 100 ꬋርሾታኔ 200 ꬋርሾ ላቃታ፤ ሄይቲ ኡባይ ጎዳስ ጹጌቲ ሺቂዛ ያርሾስ ኢሜቲዳይታ።
0e1d21005d	ቃሴ ያርሾስ ሺቂዳ ኮርማ ቦራቲ 600፥ ዶርሲኔ ዴይሺ ሄꬑ ሺ።
0e1d220180	ጊዶ ኣቲን ጹጌቲዛ ያርሾ ኡባ ሹኪዲ ጋልባ ሾቂ ኬሳናስ ዲዛ ቄሴቲ ቆዳን ኬሂ ጉꬅ ጊዲዳ ጊሻስ ኦሶይ ዉራና ጋካናሲኔ ሃራ ቄሴቲ ባንታ ሁኤ ጌሻና ጋካናስ፥ ኢስታ ዳቦ ጊዲዳ ሌዌቲ ኢስታ ማዲዳ። (ሌዌቲ ባና ጌሻናስ ቄሴታፔ ቦላራ ባና ናጊዛይታ።)
0e1d2300ec	ጹጌቲዛ ያርሾ፥ ኢሲፌቴꬃ ያርሾ ሃንዳኔ ጹጌቲዛ ያርሾራ ኢሲፌ ያርሼቲዛ ኡሻ ያርሾቲ ኬሂ ዳሮ። ሄሳꬆ ሃኒዲ ጾሳ ኬꬃ ኦሶይ ናምኣንꬆ ዛሪ ዶሚዴስ።
0e1d24009f	ሄሳፌ ጉዬ ሂዝቂያሲኔ ኡባ ኣሳይ ሄ ኦሶዛ ኤሶን ፖላና ማላ ጾሲ ኢስታ ማዲዳ ጊሻስ ኬሂፔ ኡፋዬቲዳ።
0e1e010131	ጎዳ ኢስራኤሌ ጾሳ ፓዚጋ ባኣሌ ቦንቻናስ ኢስራኤሌ ኣሳይ ኡባይኔ ዩሁዳ ኣሳይ ኡባይ ዬሩሳላሜን ዴኢዛ ጾሳ ኬꬅ ያና ማላ ሂዝቂያሲ ኪቲዴስ፤ ቃሴ ኤፍሬሜ ኣሳሲኔ ሚናሴ ኣሳስ ዳብዳቤ ጻፊዴስ።
0e1e0200a5	ካዎይ፥ ሃላቃቲኔ፥ ዬሩሳላሜን ሺቂዳ ኣሳይ ኡባይ ፓዚጋ ባኣሌ ናምኣንꬆ ኣጊናን ቦንቻናስ ቆፋ ቃቺዳ።
0e1e0300d5	ቆዳን ጉꬃ ቄሴቲ ጻላ ባና ጌሺዳ ጊሻሲኔ ዳሮ ኣሲካ ዬሩሳላሜን ሺቆንታ ጊሻስ ኣሳይ ፓዚጋ ዎዴራ ኮይሮ ኣጊናን ቦንቻናስ ዳንዳይቤና።
0e1e04004b	ካዎዚኔ ዴሬዚ ሄ ቆፋይ ሎኦ ጊዲዳይሳ ቤኢዴስ።
0e1e05015d	ካሴ ዎጋን ኣዛዜቲዳ ማላ ፓዚጋ ባኣሌዚ ዳሮ ዎዴ ዳሮ ኣሳታን ቦንቼቲ ኤሮንታ ጊሻስ ኢስራኤሌ ጎዳ ፓዚጋ ባኣሌ ዬሩሳላሜን ቦንቻናስ ቤርሳቤሄፔ ቢዲ ዳኔ ጋካናስ ዲዛ ኢስራኤሌ ኣሳይ ኡባይ ያና ማላ ኣዋጃናስ ቆፋ ቃቺዳ።
0e1e06014c	ካዎዚኔ ኢዛ ሹሜቲ ኣዛዚን ኪቴቲዳይቲ ኢስራኤሌ ዴራሲኔ ዩሁዳ ዴራስ ኡባስ፥ «ኢስራኤሌ ኣሳዉ! ኣሶሬ ካዎታ ኩሼፔ ኬሲ ኤኪዲ ኣቲዳ ኢንቴኮ ጾሲ ሲማና ማላ ኢንቴካ፥ ጎዳ ኣብራሃሜ፥ ዪሳቃኔ ያቆቤ ጾሳኮ ሲሚቴ!
0e1e0700cc	ኢንቴ ኤሪዛ ማላ ኢስቲ ቂꬌስ ኬዛናሼ ጋካናስ ባንታ ኣዋታ ጎዳስ ኣማኔቶንታ ኢጺዳ ኢንቴ ኣዋታ ማላኔ ኢንቴ ኢሻታ ማላ ጊዶፒቴ።
0e1e080104	ኢንቴ ጎዳስ ኣዛዜቲቴፔ ኣቲን ካሴ ኢንቴ ኣዋታ ማላ ዎዚና ሙሜ ጊዶፒቴ! ኢዚ ሜርናስ ዱማሲዳ ኬꬃ ሃ ዪቴ። ኬሂ ያሺዛ ኢዛ ሃንቆይ ኢንቴፌ ሲማና ማላ ጎዳስ ሃጋዚቴ።
0e1e09016b	ኢንቴ ኢንቴ ጎዳኮ ሲሚኮ ጎዳ ኢንቴ ጾሳይ ቃꬌቲዛዴኔ ማሪዛዴ ጊዲዳ ጊሻስ ኢንቴ ኢሻታኔ ኢንቴ ናይታ ዲኢ ኤፊዳይታ ሲንꬃን ኢስቲ ማሮቴꬅ ዴሚዲ ሃ ቢታ ሲማና፤ ኢንቴ ኢዛኮ ሲሚኮ ኢዚ ባ ሲንꬅ ኢንቴኮ ዛራና» ጊዛ ዳብዳቤ ኤፊዳ።
0e1e0a0104	ኪቴቲዳይቲ ኤፍሬሜ ቢታኔ ሚናሴ ቢታ ካንꬂዲ ዛቢሎኔ ቢታ ጋካናስ ካታማፔ ካታማ ቢዳ፤ ጊዶ ኣቲን ሄ ካታማታን ዴኢዛ ኣሳቲ ኢስታ ካꬊዲ ኢስታ ቦላ ሚጪዳኔ ቂልጪዳ።
0e1e0b0098	ጊዲኮካ ኣሴሬ ኣሳታፔ፥ ሚናሴ ኣሳታፔኔ ዛቢሎኔ ኣሳታፔ ጉꬃቲ ባንታና ካዉሺዲ ዬሩሳላሜ ዪዳ።
0e1e0c00c1	ካዎዚኔ ኢዛ ሹሜቲ ጎዳ ቃላይ ጊዳ ማላ ኣዛዚዳይሳ ዩሁዳ ኣሳይ ኢሲ ዎዚናን ኣዛዜታና ማላ ጾሳ ኩሼይ ዩሁዳ ኣሳ ቦላ ዴስ።
0e1e0d007b	ናምኣንꬆ ኣጊናን ኡኬꬃ ባኣሌ ቦንቻናስ ኬሂ ዳሮ ኣሳይ ዬሩሳላሜን ሺቂዴስ።
0e1e0e00af	ኢስቲ ዴንዲዲ ዬሩሳላሜን ዴኢዛ ያርሺዛሶሆታ ዴንꬂዲ ኤጻኔ ያርሺዛሶሆታ ኡባ ዲጊዲ ቄዲሮኔ ዙሌ ኤፊ ኦሊዳ።
0e1e0f00fd	ሄሳፌ ጉዬ ናምኣንꬆ ኣጊናን ታማኔ ኦይዳንꬆ ጋላስ ፓዚጋ ዶርስ ሹኪዳ፤ ባና ጌሾንታ ቄሴቲኔ ሌዌቲ ዬላቲዲ ባና ጌሺዳ፤ ሂስቲዲ ጹጌቲዛ ያርሾ ጾሳ ኬꬃ ኤሂዳ።
0e1e1000bf	ሄሳፌ ጉዬ ጾሳ ኣስ ሙሴ ዎጋ ማላ ጾሳ ኬꬃ ጊዶን ባንታ ሶሆን ሶሆን ኤቂዳ፤ ሂስቲዲ ቄሴቲ ሌዌታ ኩሼፔ ኤኪዳ ሱꬃ ዉጺዳ።
0e1e11011d	ሄ ዱላታ ጊዶን ባና ጌሾንታ ዳሮ ኣሳቲ ዲዛ ጊሻስ ካሴ ዲዛ ዎጋ ማላ ባና ጌሾንታይታሲኔ ባንታ ያርሾ ዶርሳ ላቃ ጾሳስ ሺሻናስ ዳንዳዮንታ ኡባታስ ፓዚጋ ዶርሳ ሌዌቲ ሹካናስ ቤሴስ።
0e1e1200f2	ኤፍሬሜ፥ ሚናሴ፥ ዪሳኮሬ፥ ዛቢሎኔ ቆሞታፔ ዳሮ ኣሳቲ ዎጋይ ኣዛዚዛ ማላ ባና ጌሾንታይሳ ጊዲኮካ፥ ፓዚጋ ባኣሌ ጊቢራ ሚዳ፤ ሄሳ ጊሻስ ካዎ ሂዝቂያሲ፥
0e1e130109	«ኣቤት ኣሳ ኡባስ ኪያ ጎዳዉ፥ ሃይቲ ካሴ ዎጋይ ጊዛ ማላ ባና ጌሾንታይታ ጊዲኮካ ኢስቲ ጎዳ ባንታ ኣዋታ ጾሳ ኮያናስ ባ ዎዚና ጊግሲዳ ኣሳታስ ኔ ኣቶ ጋ» ጊዲ ዎሲዴስ።
0e1e14004b	ጎዳይ ሂዝቂያሳ ዎሳ ሲዪዲ ኢስታስ ኣቶ ጊዴስ።
0e1e1500eb	ዬሩሳላሜን ሺቂዳ ኢስራኤሌ ኣሳይ ኡኬꬃ ባኣሌዛ ጊታ ኡፋይሳን ላፑን ጋላስ ቦንቺዴስ፤ ሌዌቲኔ ቄሴቲ ዬꬃ ሚሻታን ዬጺሼ ጋላስ ጋላስ ጎዳ ጋላቲዳ።
0e1e160142	ሄሳፌ ጉዬ ሂዝቂያሲ ጎዳ ኦሶን ኣኬካራ ዲዛ ሌዌታ ኡባ ሚንꬄꬂዴስ። ሌዌቲ ኡባይ ባንታስ ኢሜቲዳ ጊሻስ ኢሲፌቴꬃ ያርሾ ያርሺሼ ጎዳ ባንታ ኣዋታ ጾሳ ጋላቲሼ፥ ሚሼኔ ኡዪሼ ባኣሌዛ ላፑን ጋላስ ቦንቺዳ።
0e1e1700e9	ዱላታ ሺቂዳ ኣሳይ ኡባይ ካሊዛ ላፑን ጋላሳታን ባኣሌዛ ዛሪ ቦንቻናስ ቆፋ ቃቺዳ፤ ሄሳ ጊሻስ ኣሳይ ባኣሌዛ ሃራ ላፑን ጋላስ ኡፋዬቲሼ ቦንቺዴስ።
0e1e18011f	ዩሁዳ ካዎ ሂዝቂያሲ ሺቂዳ ዴራስ 1,000 ኮርማ ቦራታ፥ 7,000 ዶርሳታኔ ዴይሻታ ኢሚዴስ፤ ቃሴ ኢዛ ሹሜቲ 1,000 ኮርማ ቦራታ፥ 10,000 ዶርሳታኔ ዴይሽ ኢሚዳ፤ ኬሂፔ ዳሮ ቄሴቲካ ባንታና ጌሺዳ።
0e1e1900df	ኩሜꬃ ዩሁዳ ኣሳይ፥ ቄሴቲ፥ ሌዌቲ፥ ኢስራኤሌፔ ዱላታ ዪዳ ኣሳይ ኡባይኔ ካሴ ኢስራኤሌ ቢታፌ ዪዲ ዩሁዳ ቢታን ዲዛ ኣሳይ ኡባይ ኡፋዬቲዳ።
0e1e1a00fc	ኢስራኤሌ ካዎ ዳዊቴ ና ሶሎሞኔ ካዎቴꬃ ዎዴፔ ሃ ሲሚን ሃች ጋካናስ ዬሩሳላሜን ሃይሳ ማላ ባኣሌይ ቦንቼቲ ኤሮንታ ጊሻስ ዬሩሳላሜን ኣሳይ ኬሂፔ ኡፋዬቲዴስ።
0e1e1b00c2	ሄሳፌ ጉዬ ቄሴቲኔ ሌዌቲ ዴንዲ ኤቂዲ ዴራ ኣንጂዳ፤ ጾሳይ ኢስቲ ጊዛይሳ ሲዪዴስ፤ ኢስታ ዎሳይካ ሳሎ ኬꬅ ጾሳኮ ጋኪዴስ።
0e1f01024a	ሃይሲ ኡባይ ፖሌቲዳፔ ጉዬ ሄን ዲዛ ኢስራኤሌ ኣሳይ ዩሁዳ ካታማታ ዪዲ ጎይኔቲዛ ሹቻታ ሜንꬄሬꬂ ዬጊዳ፤ ኣሼሮ ጌቴቲዛ ኤቃ ጾሳይ ሚስሌታ ቃንጼሬꬂ ኦሊዳ፤ ቃሴካ ዩሁዳ ቢታን፥ ቢኒያሜ ቢታን፥ ኤፍሬሜ ቢታኒኔ ሚናሴ ቢታን ዲዛ ዙምቡላታ ቦላ ጎይኒዛሶታኔ ያርሾ ያርሺዛሶሆታ ꬋይሲዳ፤ ኢስራኤሌ ኣሳይ ሄሳ ኡባ ኦꬂዳፔ ጉዬ ባንታ ካታማ ካታማኔ ባንታሶ ባንታሶ ሲሚዳ።
0e1f0200f7	ሂዝቂያሲ ቄሴታኔ ሌዌታ ኢስታ ኦሶ ማራን ማራን ሻኪ ኤሲዴስ፤ ኢስታ ኦሶይ ጹጌቲዛ ያርሾ ሺሾ፥ ኢሲፌቴꬃ ያርሾ ሺሾ፥ ጾሳ ኬꬃን ሃጋዞ፥ ጎዳ ጋላቶኔ ሳቦ።
0e1f030106	ጎዳ ዎጋን ጻፌቲዳ ማላ ማላዶኔ ኦማርስ፥ ሳምባታን ሳምባታን፥ ኣጊናይ ጼሪን ኮይሮ ጋላሳታኒኔ ዱማ ዱማ ባኣሌታ ጋላስ ጹጌቲ ሺቂዛ ያርሾዛ ካዎዚ ባ ሚሻፌ ኢሚዴስ።
0e1f0400c8	ባንታ ኩሜꬃ ዎዴዛ ጎዳ ኦሶስ ጎኤታና ማላ ቄሴቲኔ ሌዌቲ ዬሩሳላሜን ዲዛ ኣሳይ ኢስታስ ኮሺዛይሳ ኢማና ማላ ካዎዚ ኣዛዚዴስ።
0e1f05012b	ሂዝቂያሲ ሄሳ ኣዛዚዳ ማላ ኢስራኤሌ ኣሳይ ካꬃፌ፥ ዎይኔ ኡሻፌ፥ ዛይቴፔ፥ ኤሳፌኔ ጎዪ ሺሺዳ ካꬃ ኣይፌፔ ጼራ ጎዳስ ኪያቴꬃን ኢሚዳ፤ ባንታስ ዴኢዛ ኡባ ሚሻፌካ ኬሂ ዳሮ ኣስራታ ኤሂዳ።
0e1f0600f8	ዩሁዳ ካታማታን ዴኢዛ ኢስራኤሌ ኣሳይኔ ዩሁዳ ኣሳይ ሚዛታፔ፥ ዶርሳታፔ፥ ዴይሻታፔኔ ጎዳ ባንታ ጾሳስ ኢስቲ ዱማሲ ዎꬂዳ ሚሽ ኡባፌ ኣስራታ ኤሂ ኩንꬂዳ።
