0100000018	ഉല്പത്തി
17170e00f2	തർശീശ് കപ്പലുകളേ, വിലപിക്കുക; നിങ്ങളുടെ ശക്തികേന്ദ്രങ്ങൾ നശിപ്പിക്കപ്പെട്ടിരിക്കുന്നു.
17170f019c	അന്ന്, ഒരു രാജാവിന്റെ കാലമായ, എഴുപതു വർഷത്തേക്കു സോർ വിസ്മൃതിയിലാണ്ടുപോകും. എന്നാൽ ആ എഴുപതു വർഷത്തിനുശേഷം വേശ്യയുടെ പാട്ടുപോലെതന്നെ സോരിനു സംഭവിക്കും.
17171001a5	“വിസ്മൃതിയിലാണ്ടുപോയ വേശ്യയേ, നിന്റെ വീണയുമെടുത്തുകൊണ്ട്, നഗരത്തിൽ ചുറ്റിനടക്കുക; അതു നന്നായി മീട്ടുക, നീ ഓർമിക്കപ്പെടേണ്ടതിന്, അനവധി ഗാനങ്ങൾ ആലപിക്കുക.”
1717110207	ആ എഴുപതു വർഷങ്ങൾക്കുശേഷം യഹോവ സോരിനെ സന്ദർശിക്കും. അവൾ തന്റെ വേശ്യാവൃത്തിയുടെ പ്രതിഫലം ലഭിക്കാൻ തിരിച്ചുപോയി. ഭൂമുഖത്തുള്ള എല്ലാ രാജ്യങ്ങളോടും അവൾ ലാഭംകൊയ്യുന്ന വേശ്യാവൃത്തിയിൽ ഏർപ്പെടും.
17171202c6	എന്നാൽ അവളുടെ ലാഭവും സമ്പാദ്യവും യഹോവയ്ക്കായി വേർതിരിക്കപ്പെടും; അതു ശേഖരിക്കപ്പെടുകയോ പൂഴ്ത്തിവെക്കപ്പെടുകയോ ചെയ്യുകയില്ല. അവളുടെ ലാഭമെല്ലാം യഹോവയുടെ സന്നിധിയിൽ വസിക്കുന്നവർക്ക് വേണ്ടുവോളം ഭക്ഷിക്കുന്നതിനും നല്ല വസ്ത്രം ധരിക്കുന്നതിനും ഉപയുക്തമാക്കും.
1718010140	ഇതാ, യഹോവ ഭൂമിയെ ശൂന്യവും ജനവാസമില്ലാത്തതുമാക്കും; അതിനെ കീഴ്‌മേൽ മറിക്കുകയും അതിലെ നിവാസികളെ ചിതറിക്കുകയും ചെയ്യും.
17180202db	അത് ഒരുപോലെ, ജനങ്ങൾക്കെന്നപോലെ പുരോഹിതനും ദാസന്മാർക്കെന്നപോലെ യജമാനനും ദാസിക്കെന്നപോലെ യജമാനത്തിക്കും വാങ്ങുന്നവർക്കെന്നപോലെ കൊടുക്കുന്നവർക്കും കടം കൊടുക്കുന്നവർക്കെന്നപോലെ കടം വാങ്ങുന്നവർക്കും പലിശ വാങ്ങുന്നവർക്കെന്നപോലെ പലിശ കൊടുക്കുന്നവർക്കും സംഭവിക്കും.
171803010a	ഭൂമി ഒന്നാകെ ശൂന്യമായും അതുമുഴുവനും കവർച്ചയായും പോകും. യഹോവയാണ് ഈ വചനം അരുളിച്ചെയ്തിരിക്കുന്നത്.
17180400fb	ഭൂമി ഉണങ്ങി വാടിപ്പോകുന്നു, ലോകം തളർന്നു വാടിപ്പോകുന്നു, ഭൂമിയിലെ കുലീനരും തളർന്നുപോകുന്നു.
17180501d4	ഭൂമി അതിലെ നിവാസികൾമൂലം ദുഷിക്കപ്പെട്ടിരിക്കുന്നു; അവർ അവിടത്തെ നിയമങ്ങൾ അനുസരിക്കാതിരിക്കുകയും നിയമവ്യവസ്ഥകൾ ലംഘിക്കുകയും നിത്യ ഉടമ്പടി തകർക്കുകയും ചെയ്തിരിക്കുന്നു.
171806018b	തന്മൂലം ഭൂമിയെ ശാപം വിഴുങ്ങി; അതിലെ ജനം അവരുടെ കുറ്റം വഹിക്കേണ്ടിവരുന്നു. അതുനിമിത്തം ഭൂവാസികൾ ദഹിച്ചുപോകുന്നു, ചുരുക്കംപേർമാത്രം ശേഷിക്കുന്നു.
171807011b	പുതുവീഞ്ഞ് വറ്റിപ്പോകുകയും മുന്തിരിവള്ളി വാടുകയുംചെയ്യുന്നു; സന്തുഷ്ടഹൃദയമുള്ളവർ നെടുവീർപ്പിടുന്നു.
1718080125	തപ്പുകളുടെ ആഹ്ലാദം നിലയ്ക്കുന്നു; ഉല്ലസിക്കുന്നവരുടെ ഘോഷം നിന്നുപോകുന്നു, വീണയുടെ ആനന്ദം ഇല്ലാതെയാകുന്നു.
17180900ea	അവർ പാട്ടോടെ വീഞ്ഞു കുടിക്കുന്നില്ല; മദ്യം കുടിക്കുന്നവർക്ക് അതു കയ്‌പായിത്തീരുന്നു.
17180a012f	നശിപ്പിക്കപ്പെട്ട നഗരം വിജനമായിക്കിടക്കുന്നു; ആരും പ്രവേശിക്കാതവണ്ണം എല്ലാ വീടും അടയ്ക്കപ്പെട്ടിരിക്കുന്നു.
17180b01ba	തെരുവീഥികളിൽ അവർ വീഞ്ഞിനുവേണ്ടി നിലവിളിക്കുന്നു. ആഹ്ലാദമെല്ലാം ഇരുണ്ടുപോയിരിക്കുന്നു, ഭൂമിയിൽനിന്ന് ആനന്ദത്തിന്റെ എല്ലാ സ്വരങ്ങളും അപ്രത്യക്ഷമായിരിക്കുന്നു.
17180c00c0	നഗരത്തിൽ ശൂന്യത അവശേഷിച്ചിരിക്കുന്നു, നഗരകവാടം ഇടിച്ചുതകർത്തുകളഞ്ഞു.
17180d01df	ഒലിവുമരത്തിൽനിന്നു കായ്കൾ ശേഖരിക്കുന്നതിനായി തല്ലുന്നതുപോലെയോ മുന്തിരിപ്പഴം ശേഖരിച്ചശേഷം കാലാപെറുക്കുന്നതുപോലെയോ ആയിരിക്കും ഭൂമിയിൽ രാഷ്ട്രങ്ങൾക്കിടയിൽ സംഭവിക്കുന്നത്.
17180e0140	അവർ ശബ്ദമുയർത്തുന്നു, ആനന്ദത്താൽ ആർപ്പിടുന്നു; യഹോവയുടെ മഹത്ത്വത്തെപ്പറ്റി അവർ സമുദ്രത്തിൽനിന്ന് വിളിച്ചുപറയുന്നു.
17180f013a	അതിനാൽ കിഴക്കേദേശത്ത് യഹോവയ്ക്കു മഹത്ത്വംകൊടുക്കുക; സമുദ്രതീരങ്ങളിൽ ഇസ്രായേലിന്റെ ദൈവമായ യഹോവയുടെ നാമം ഉയർത്തുക.
1718100275	“നീതിമാനായവനു മഹത്ത്വം,” എന്ന ഗാനം ഭൂമിയുടെ അറുതികളിൽനിന്ന് നാം കേൾക്കുന്നു. എന്നാൽ ഞാൻ പറഞ്ഞു, “ഞാൻ ക്ഷയിച്ചുപോകുന്നു, ഞാൻ ക്ഷയിച്ചുപോകുന്നു! എനിക്ക് അയ്യോ കഷ്ടം! വഞ്ചകർ ഒറ്റുകൊടുക്കുന്നു. അതേ, വഞ്ചകർ വഞ്ചനയോടെ ഒറ്റുകൊടുക്കുന്നു.”
17181100bf	അല്ലയോ ഭൂവാസികളേ, ഭീതിയും കുഴിയും കെണിയും നിനക്കു നേരിട്ടിരിക്കുന്നു.
17181201d7	ഭീകരതയുടെ ശബ്ദംകേട്ട് ഓടിപ്പോകുന്നവർ കുഴിയിൽ വീഴും; കുഴിയിൽനിന്ന് കയറുന്നവർ കെണിയിൽ അകപ്പെടും. ആകാശത്തിലെ ജാലകങ്ങൾ തുറന്നിരിക്കുന്നു, ഭൂമിയുടെ അടിസ്ഥാനങ്ങൾ കുലുങ്ങുന്നു.
17181300ee	ഭൂമി ചെറിയകഷണങ്ങളായി തകരുന്നു, ഭൂമി പൊട്ടിപ്പിളരുന്നു, ഭൂമി അതിതീവ്രമായി കുലുങ്ങുന്നു.
17181401d4	ഭൂമി മദ്യപനെപ്പോലെ ചാഞ്ചാടുന്നു, അത് കാറ്റിൽ ഒരു കുടിൽപോലെ ഇളകിയാടുന്നു; അതിന്റെ അതിക്രമം അതിന്മേൽ അതിഭാരമായിരിക്കുന്നു, അതു വീണുപോകും—ഇനിയൊരിക്കലും എഴുന്നേൽക്കുകയില്ല.
17181500fc	അന്നാളിൽ യഹോവ ഉയരത്തിൽ ആകാശത്തിലെ സൈന്യത്തെയും താഴേ ഭൂമിയിലെ രാജാക്കന്മാരെയും ശിക്ഷിക്കും.
1718160198	കാരാഗൃഹത്തിൽ തടവുകാരെയെന്നപോലെ അവർ ഒരുമിച്ചുകൂട്ടപ്പെടും; അവർ കാരാഗൃഹത്തിൽ അടയ്ക്കപ്പെടുകയും അനേകം ദിവസങ്ങൾക്കുശേഷം ശിക്ഷിക്കപ്പെടുകയും ചെയ്യും.
17181701dc	അന്നു ചന്ദ്രൻ വിളറിപ്പോകും; സൂര്യൻ ലജ്ജിക്കും; സൈന്യങ്ങളുടെ യഹോവ സീയോൻപർവതത്തിലും ജെറുശലേമിലും വാഴും. തന്റെ ജനത്തിന്റെ നേതാക്കന്മാരുടെമുമ്പിൽ സകലപ്രതാപത്തോടുംകൂടെത്തന്നെ.
1719010220	യഹോവേ, അങ്ങാണ് എന്റെ ദൈവം; ഞാൻ അങ്ങയെ പുകഴ്ത്തും; അങ്ങയുടെ നാമത്തിനു ഞാൻ സ്തോത്രമർപ്പിക്കും, കാരണം അങ്ങ് അത്ഭുതകാര്യങ്ങൾ പ്രവർത്തിച്ചിരിക്കുന്നു; അവിടത്തെ പുരാതന പദ്ധതികൾ പരിപൂർണ വിശ്വസ്തതയുള്ളതാണ്.
1719020213	അങ്ങ് നഗരത്തെ കൽക്കൂമ്പാരമാക്കി, കോട്ടയാൽ ഉറപ്പിക്കപ്പെട്ട പട്ടണത്തെ നശിപ്പിച്ചിരിക്കുന്നു, വിദേശികളുടെ കെട്ടുറപ്പുള്ള കോട്ടകൾ ഇനിമേൽ നഗരമായിരിക്കുകയില്ല; അവ ഇനി പുനർനിർമിക്കപ്പെടുകയുമില്ല.
171903010a	അതുകൊണ്ടു ശക്തരായ ജനതകൾ അങ്ങയെ ആദരിക്കും; ക്രൂരരായ രാഷ്ട്രങ്ങളുടെ പട്ടണങ്ങൾ അങ്ങയെ ബഹുമാനിക്കും.
1719040228	ക്രൂരരുടെ നിശ്വാസം മതിലിന്നെതിരേ കൊടുങ്കാറ്റുപോലെ അടിക്കുമ്പോൾ, അങ്ങ് ദരിദ്രർക്ക് ഒരു സങ്കേതവും സഹായാർഥർക്ക് അവരുടെ ദുരിതത്തിൽ ഒരു സങ്കേതവും കൊടുങ്കാറ്റിൽ ഒരു ആശ്രയവും ഉഷ്ണത്തിൽ ഒരു തണലുമായിരിക്കും.
17190501d4	വരണ്ട നിലത്തിലെ ഉഷ്ണമെന്നപോലെ അങ്ങ് വിദേശികളുടെ ആരവത്തെ ശമിപ്പിച്ചുകളയുന്നു; മേഘത്തിന്റെ തണൽകൊണ്ട് ചൂടിനു ശമനംവരുന്നപോലെ അനുകമ്പയില്ലാത്തവരുടെ പാട്ട് നിലച്ചുപോകുന്നു.
17190601d4	സൈന്യങ്ങളുടെ യഹോവ ഈ പർവതത്തിൽ സകലജനതകൾക്കുംവേണ്ടി മൃഷ്ടാന്നഭോജനങ്ങളും നല്ല പഴക്കമേറിയ വീഞ്ഞുമുള്ള ഒരു വിരുന്നൊരുക്കും— ഉത്തമമായ മാംസവും വിശിഷ്ടമായ വീഞ്ഞുംകൊണ്ടുതന്നെ.
171907014f	ഈ പർവതത്തിൽവെച്ച് അവിടന്ന് സകലജനതകളുടെയുംമേലുള്ള ആവരണം, എല്ലാ രാഷ്ട്രങ്ങളുടെയുംമേൽ വിരിക്കപ്പെട്ട മൂടുപടം നശിപ്പിക്കും;
171908025b	അവിടന്ന് മരണത്തെ എന്നെന്നേക്കുമായി വിഴുങ്ങിക്കളയും. യഹോവയായ കർത്താവ് എല്ലാ കണ്ണുകളിൽനിന്നും കണ്ണുനീർ തുടച്ചുകളയും; തന്റെ ജനത്തിന്റെ നിന്ദ അവിടന്ന് സകലഭൂമിയിൽനിന്നും നീക്കിക്കളയും. യഹോവയല്ലോ അരുളിച്ചെയ്തിരിക്കുന്നത്.
17190901d4	ആ ദിവസത്തിൽ അവർ പറയും, “ഇതാ, നമ്മുടെ ദൈവം! അവിടത്തേക്കായി നാം കാത്തിരുന്നു. നാം കാത്തിരുന്ന യഹോവ ഇതാകുന്നു; നമുക്ക് അവിടത്തെ രക്ഷയിൽ ആനന്ദിക്കുകയും ആഹ്ലാദിക്കുകയുംചെയ്യാം.”
17190a0193	യഹോവയുടെ കരം ഈ പർവതത്തിന്മേൽ ആവസിക്കും; ചാണകത്തിൽ വൈക്കോൽ ചവിട്ടിമെതിക്കപ്പെടുന്നതുപോലെ മോവാബ് അവരുടെ ദേശത്തുവെച്ചുതന്നെ ചവിട്ടിമെതിക്കപ്പെടും.
17190b01a0	നീന്തുന്നവർ നീന്തുന്നതിനു കൈകൾ നീട്ടുന്നതുപോലെ, അവൻ അതിന്റെ മധ്യത്തിൽ കൈനീട്ടും. യഹോവ അവരുടെ അഹങ്കാരം അവസാനിപ്പിക്കും അവരുടെ കൈകളുടെ പ്രാവീണ്യത്തെയും.
17190c0142	അവിടന്ന് മോവാബിന്റെ ഉയരമുള്ള കോട്ടകൾ നശിപ്പിക്കും അവയെ താഴെവീഴ്ത്തും; നിലത്തെ പൊടിയോളം അവിടന്ന് അവരെ നിലംപരിചാക്കും.
171a010179	ആ കാലത്ത് യെഹൂദ്യയിൽ ഈ ഗാനം ആലപിക്കപ്പെടും: ഞങ്ങൾക്ക് ഉറപ്പുള്ളൊരു നഗരമുണ്ട്; ദൈവം രക്ഷ അതിന്റെ കോട്ടകളും പ്രതിരോധസന്നാഹങ്ങളും ആക്കുന്നു.
171a0200e3	വിശ്വാസം കാക്കുന്ന നീതിനിഷ്ഠരായ ജനത പ്രവേശിക്കേണ്ടതിന് അതിന്റെ കവാടങ്ങൾ തുറക്കുക.
171a0300d3	സ്ഥിരമാനസൻ അങ്ങയിൽ ആശ്രയിച്ചിരിക്കുകയാൽ അങ്ങ് അവരെ പൂർണസമാധാനത്തിൽ കാക്കും.
171a0400df	യഹോവയിൽത്തന്നെ എന്നേക്കും ആശ്രയം വെക്കുക യഹോവ, യഹോവതന്നെ ശാശ്വതമായൊരു പാറ ആണല്ലോ.
171a050189	മലകളിൽ പാർക്കുന്നവരെ അവിടന്ന് താഴ്ത്തുന്നു, ഉന്നത നഗരങ്ങളെ അവിടന്നു താഴെയിറക്കുന്നു; അവിടന്ന് അതിനെ നിലംപരിചാക്കി പൊടിയിൽ വീഴ്ത്തിക്കളയുന്നു.
171a0600ba	കാൽ അതിനെ ചവിട്ടിക്കളയും; പീഡിതരുടെ കാലുകൾ, അശരണരുടെയും കാലുകൾതന്നെ.
171a0700f2	നീതിനിഷ്ഠരുടെ വഴി നിരപ്പായതുതന്നെ; നീതിനിഷ്ഠനായ ദൈവമേ, അങ്ങ് നീതിമാന്റെ വഴി നേരേയാക്കും.
171a080177	അതേ, യഹോവേ, അങ്ങയുടെ നിയമങ്ങൾക്കനുസൃതമായി ജീവിച്ച്, ഞങ്ങൾ അങ്ങേക്കായി കാത്തിരുന്നു; അങ്ങയുടെ നാമവും സ്മരണയും, ഞങ്ങളുടെ ഹൃദയവാഞ്ഛയാകുന്നു.
171a0901d1	രാത്രിയിൽ ഞാൻ അങ്ങേക്കായി കാത്തിരിക്കുന്നു; പ്രഭാതത്തിൽ എന്റെ ആത്മാവ് അങ്ങയെ അന്വേഷിക്കുന്നു. അങ്ങയുടെ ന്യായവിധികൾ ഭൂമിയിൽ നടപ്പിലാക്കുമ്പോൾ ഭൂവാസികൾ നീതി അഭ്യസിക്കും.
171a0a01c3	എന്നാൽ ദുഷ്ടരോടു കരുണ കാണിച്ചാലും, അവർ നീതി അഭ്യസിക്കുകയില്ല; നീതിനിഷ്ഠരുടെ ദേശത്ത് അവർ ദുഷ്ടത പ്രവർത്തിച്ചുകൊണ്ടിരിക്കുന്നു; യഹോവയുടെ മഹത്ത്വം അവർ കാണുന്നതുമില്ല.
171a0b020a	യഹോവേ, അങ്ങയുടെ കരം ഉയർന്നിരിക്കുന്നു, എങ്കിലും അവർ അതു കാണുന്നില്ല. അങ്ങയുടെ ജനത്തോടുള്ള അവിടത്തെ തീക്ഷ്ണത അവർ കണ്ടു ലജ്ജിക്കട്ടെ; അങ്ങയുടെ ശത്രുക്കൾക്കായുള്ള അഗ്നി അവരെ ദഹിപ്പിച്ചുകളയട്ടെ.
171a0c0147	യഹോവേ, ഞങ്ങളുടെ സകലപ്രവൃത്തികളും അങ്ങ് ഞങ്ങൾക്കുവേണ്ടി ചെയ്തുതന്നിരിക്കുകയാൽ, അങ്ങ് ഞങ്ങൾക്കു സമാധാനം സ്ഥാപിക്കുന്നു.
171a0d0188	ഞങ്ങളുടെ ദൈവമായ യഹോവേ, അങ്ങല്ലാതെയുള്ള മറ്റു യജമാനന്മാർ ഞങ്ങളെ ഭരിച്ചിട്ടുണ്ട്, എങ്കിലും അങ്ങയെ, അങ്ങയുടെ നാമംമാത്രമാണ് ഞങ്ങൾക്ക് ആരാധ്യമായത്.
171a0e025f	അവർ ഇപ്പോൾ മരിച്ചവരാണ്, ഇനിയൊരിക്കലും ജീവിക്കുകയില്ല; അവർ വെറും നിഴൽ, ഇനി ഉയിർത്തെഴുന്നേൽക്കുകയുമില്ല. അങ്ങ് അവരെ ശിക്ഷിക്കുകയും നശിപ്പിക്കുകയും ചെയ്തിരിക്കുന്നു; അവരുടെ ഓർമയെ മുഴുവനായും അങ്ങ് തുടച്ചുനീക്കിയിരിക്കുന്നു.
171a0f01f8	യഹോവേ, അങ്ങ് ജനത്തെ വർധിപ്പിച്ചു; അതേ, തന്റെ ജനത്തെ വർധിപ്പിച്ചിരിക്കുന്നു. അങ്ങ് അങ്ങേക്കുതന്നെ മഹത്ത്വം നേടിയിരിക്കുന്നു; ദേശത്തിന്റെ അതിരുകളെല്ലാം അങ്ങ് വിസ്തൃതമാക്കിയിരിക്കുന്നു.
171a100167	യഹോവേ, അവർ കഷ്ടതയിൽ അങ്ങയെ അന്വേഷിച്ചു; അവിടത്തെ ശിക്ഷ അവരുടെമേൽ വീണപ്പോൾ ഒരു യാചന അങ്ങയുടെമുമ്പിൽ പകരുന്നതിനേ അവർക്കു കഴിഞ്ഞുള്ളൂ.
171a110188	യഹോവേ, ഗർഭിണിക്കു പ്രസവസമയമടുക്കുമ്പോൾ അവൾ വേദനകൊണ്ടു പുളയുകയും നിലവിളിക്കുകയുംചെയ്യുന്നു അതുപോലെ ആയിരുന്നു അവിടത്തെ മുമ്പിൽ ഞങ്ങളുടെ അവസ്ഥ.
171a1201dc	ഞങ്ങൾ ഗർഭംധരിച്ചു, ഞങ്ങൾ പ്രസവവേദനകൊണ്ട് പുളഞ്ഞു, എന്നാൽ ഞങ്ങൾ പ്രസവിച്ചത് വെറും കാറ്റ് ആയിരുന്നു. ദേശത്തിന് ഒരു രക്ഷയും ഞങ്ങൾ വരുത്തിയില്ല, ഭൂവാസികൾ ജീവനിലേക്കു വന്നതുമില്ല.
171a13026b	അങ്ങയുടെ മൃതന്മാർ ജീവിക്കും; അവരുടെ ശവങ്ങൾ എഴുന്നേൽക്കും— പൊടിയിൽ അധിവസിക്കുന്നവരേ, ഉണർന്ന് ആനന്ദത്താൽ ആർപ്പിടുവിൻ. നിങ്ങളുടെ മഞ്ഞ് പ്രഭാതത്തിലെ തുഷാരബിന്ദുക്കൾപോലെയാണ്; ഭൂമി അവളുടെ മൃതരുടെ ആത്മാക്കളെ വീണ്ടും ജീവിപ്പിക്കും.
171a140169	എന്റെ ജനമേ, വന്നു നിങ്ങളുടെ അറകളിൽ പ്രവേശിച്ച് വാതിലുകൾ അടയ്ക്കുക; ക്രോധം നിങ്ങളെ കടന്നുപോകുന്നതുവരെ, അൽപ്പനേരത്തേക്ക് ഒളിച്ചുകൊൾക.
171a150284	ഇതാ, യഹോവ ഭൂവാസികൾക്ക് അവരുടെ പാപങ്ങൾക്കുള്ള ശിക്ഷനൽകാൻ തന്റെ നിവാസസ്ഥാനത്തുനിന്നും വരുന്നതിനുള്ള സമയം അടുത്തിരിക്കുന്നു. ഭൂമി തന്റെമേൽ ചൊരിയപ്പെട്ട രക്തമൊക്കെയും വെളിപ്പെടുത്തും, തന്റെ കൊല്ലപ്പെട്ടവരെ ഇനിമേൽ മറച്ചുവെക്കുകയുമില്ല.
171b010228	അന്നാളിൽ, യഹോവ തന്റെ ഭയങ്കരവും വലുതും ശക്തവുമായ വാൾകൊണ്ട് ശിക്ഷിക്കും, കുതിച്ചുപായുന്ന സർപ്പമായ ലിവ്യാഥാനെയും വക്രസർപ്പമായ ലിവ്യാഥാനെയും ശിക്ഷിക്കും. സമുദ്രവാസിയായ ഭീകരസത്വത്തെ അവിടന്നു കൊന്നുകളയും.
171b0200c0	ആ ദിവസത്തിൽ, “ഫലഭൂയിഷ്ഠമായ മുന്തിരിത്തോട്ടത്തെപ്പറ്റി ഗാനമാലപിക്കുക:
171b030166	യഹോവയായ ഞാൻ അതിന്റെ പാലകനാകുന്നു; പതിവായി ഞാൻ അതു നനയ്ക്കുന്നു. ആരും അതിനു ഹാനി വരുത്താതിരിക്കാൻ രാവും പകലും ഞാൻ അതു കാവൽചെയ്യുന്നു.
171b0401a1	ഞാൻ കോപിഷ്ഠനല്ല. എനിക്കെതിരേ വരുന്നത് മുള്ളും പറക്കാരയും ആയിരുന്നെങ്കിൽ ഞാൻ അവർക്കെതിരേ പാഞ്ഞുചെന്ന് അവരെ ആസകലം ആക്രമിച്ച് ദഹിപ്പിച്ചുകളയുമായിരുന്നു.
171b050150	അല്ലെങ്കിൽ അവർ എന്റെ സംരക്ഷണയിലാശ്രയിക്കട്ടെ; എന്നോട് സമാധാനസന്ധിയിൽ ഏർപ്പെടട്ടെ, അതേ, അവർ എന്നോട് സമാധാനസന്ധി ചെയ്യട്ടെ.”
171b060133	വരുംനാളുകളിൽ യാക്കോബ് വേരൂന്നുകയും ഇസ്രായേൽ തളിർത്തു പൂക്കുകയും ഭൂമിമുഴുവനും ഫലംകൊണ്ടു നിറയ്ക്കുകയും ചെയ്യും.
171b07013e	അവളെ അടിച്ചവരെ അടിച്ചുവീഴ്ത്തിയതുപോലെയാണോ യഹോവ അവളെ അടിച്ചത്? അവളെ വധിച്ചവരെ വധിച്ചതുപോലെയാണോ അവൾ വധിക്കപ്പെട്ടത്?
171b0801a9	യുദ്ധത്തിലൂടെയും പ്രവാസത്തിൽ അയയ്ക്കുന്നതിലൂടെയും അവിടന്ന് അവളോട് എതിർത്തു: കിഴക്കൻകാറ്റിന്റെ ദിവസത്തിൽ തന്റെ കൊടുങ്കാറ്റിനാൽ അവിടന്ന് അവരെ പുറന്തള്ളി.
171b0902c0	ഇതിനാൽ, യാക്കോബിന്റെ അകൃത്യത്തിനു പ്രായശ്ചിത്തംവരുത്തും, അവന്റെ പാപം നീക്കിക്കളയുന്നതിന്റെ പൂർണഫലം ഇതാകുന്നു: യാഗപീഠത്തിന്റെ കല്ലുകളെല്ലാം അവിടന്ന് തകർക്കപ്പെട്ട ചുണ്ണാമ്പുകല്ലുകൾപോലെയാക്കുമ്പോൾ അശേരാപ്രതിഷ്ഠകളും ധൂപപീഠങ്ങളും നിവർന്നുനിൽക്കുകയില്ല.
171b0a0270	കോട്ടകെട്ടിയുറപ്പിച്ച പട്ടണം ഇതാ ശൂന്യമായിരിക്കുന്നു, ഉപേക്ഷിക്കപ്പെട്ട ആവാസസ്ഥലവും മരുഭൂമിപോലെ തിരസ്കൃതവും ആയിത്തീർന്നിരിക്കുന്നു. അവിടെ കാളക്കിടാങ്ങൾ മേഞ്ഞുനടക്കും, അവിടെ അവ കിടക്കുകയും ചില്ലകൾ തിന്നുതീർക്കുകയും ചെയ്യും.
171b0b023c	അതിന്റെ ശാഖകൾ ഉണങ്ങുമ്പോൾ ഒടിഞ്ഞുവീഴും, സ്ത്രീകൾ വന്ന് അവ കത്തിച്ചുകളയും. കാരണം അവർ തിരിച്ചറിവില്ലാത്ത ജനമല്ലോ; അതിനാൽ അവരുടെ സ്രഷ്ടാവിന് അവരോടു കരുണ തോന്നുകയില്ല, അവരെ നിർമിച്ചവന് അവരോടു കൃപയുണ്ടാകുകയുമില്ല.
171b0c0152	അന്ന് യൂഫ്രട്ടീസ് നദിമുതൽ ഈജിപ്റ്റിലെ നദീതീരംവരെ യഹോവ കറ്റകൾ മെതിക്കും. ഇസ്രായേൽജനമേ, നിങ്ങൾ ഓരോരുത്തരായി ശേഖരിക്കപ്പെടും.
171b0d01e3	ആ ദിവസത്തിൽ ഒരു മഹാകാഹളം ധ്വനിക്കും. അശ്ശൂരിൽ നശിച്ചുകൊണ്ടിരുന്നവരും ഈജിപ്റ്റിൽ പ്രവാസികളാക്കപ്പെട്ടവരും ജെറുശലേമിലെ വിശുദ്ധപർവതത്തിൽ യഹോവയെ ആരാധിക്കുന്നതിനായി വന്നുചേരും.
171c01027d	എഫ്രയീമിലെ മദ്യപരുടെ അഹങ്കാരമായ ആ കിരീടത്തിന് ഹാ കഷ്ടം! വാടിക്കരിഞ്ഞുപോകും പുഷ്പംപോലെയുള്ള അവന്റെ ഉജ്ജ്വലസൗന്ദര്യത്തിന്, ഫലഭൂയിഷ്ഠമായ താഴ്വരയുടെ ശിരോഭൂഷണമായ നഗരത്തിന്, മദോന്മത്തരായി വീണുകിടക്കുന്നവരുടെ അഹന്തയായ നഗരത്തിനുംതന്നെ.
171c020239	ഇതാ, കർത്താവിനു ശക്തനും ബലവാനുമായ ഒരുവനുണ്ട്. കന്മഴപോലെയും വിനാശകാരിയായ കൊടുങ്കാറ്റുപോലെയും കൂലംകുത്തി ജലമൊഴുക്കുന്ന മഴപോലെയും പ്രളയം ഉണ്ടാക്കുന്ന പെരുമഴ പോലെയും, അതിശക്തിയോടെ അവൻ അതിനെ നിലത്തു തള്ളിയിടും.
171c0300d0	എഫ്രയീമിലെ മദ്യപരുടെ അഹങ്കാരമായ ആ കിരീടം കാൽക്കീഴിൽ ചവിട്ടിമെതിക്കപ്പെടും.
171c04024c	വാടിക്കരിഞ്ഞുപോകും പുഷ്പംപോലെയുള്ള അവന്റെ ഉജ്ജ്വലസൗന്ദര്യം, ഫലഭൂയിഷ്ഠമായ താഴ്വരയുടെ ശിരോഭൂഷണം, വിളവെടുപ്പിനുമുമ്പേ പഴുത്തുപോയ അത്തിപ്പഴംപോലെ ആയിത്തീരും— ജനം അതു കണ്ടാലുടനെ കൈനീട്ടി പറിച്ച് അവർ അതു വിഴുങ്ങുന്നു!
171c050153	ആ ദിവസത്തിൽ സൈന്യങ്ങളുടെ യഹോവ തന്റെ ജനത്തിൽ ശേഷിച്ചിരിക്കുന്നവർക്കു ശോഭയുള്ള ഒരു കിരീടവും മഹത്ത്വകരമായ മകുടവുമായിരിക്കും.
171c06015f	ന്യായാസനത്തിലിരിക്കുന്നവർക്ക് അവിടന്ന് നീതിബോധത്തിന്റെ ആത്മാവും നഗരകവാടത്തിൽ ആക്രമണം ചെറുക്കുന്നവർക്ക് കരുത്തും ആയിരിക്കും.
171c070350	എന്നാൽ ഇവരും വീഞ്ഞുനിമിത്തം ആടി നടക്കുകയും മദ്യംനിമിത്തം വേച്ചുപോകുകയും ചെയ്യുന്നു: പുരോഹിതന്മാരും പ്രവാചകന്മാരും മദ്യം കുടിച്ച് ചാഞ്ചാടുന്നു, അവർ വീഞ്ഞിനാൽ മത്തരും മദോന്മത്തതയിൽ വേച്ചു നടക്കുന്നവരുമത്രേ. ദർശനങ്ങൾ ദർശിക്കുമ്പോൾ അവർക്ക് തെറ്റ് പറ്റുന്നു, വിധി പ്രസ്താവിക്കുമ്പോൾത്തന്നെ അവർ പാളിപ്പോകുന്നു.
171c0800f5	മേശകളെല്ലാം ഛർദികൊണ്ടു നിറഞ്ഞിരിക്കുന്നു, വൃത്തിയുള്ള ഒരു സ്ഥലംപോലും അവശേഷിച്ചിട്ടില്ല.
