2800000006	mathiH
2c161d00b6	itthaM sati ye prahAreNa taM parIkShituM samudyatA Asan te tasya samIpAt prAtiShThanta; sahasrasenApatistaM romilokaM vij nAya svayaM yat tasya bandhanam akArShIt tatkAraNAd abibhet|
2c161e00f2	yihUdIyalokAH paulaM kuto. apavadante tasya vR^ittAntaM j nAtuM vA nChan sahasrasenApatiH pare. ahani paulaM bandhanAt mochayitvA pradhAnayAjakAn mahAsabhAyAH sarvvalokAshcha samupasthAtum Adishya teShAM sannidhau paulam avarohya sthApitavAn|
2c1701008f	sabhAsadlokAn prati paulo. ananyadR^iShTyA pashyan akathayat, he bhrAtR^igaNA adya yAvat saralena sarvvAntaHkaraNeneshvarasya sAkShAd AcharAmi|
2c17020054	anena hanAnIyanAmA mahAyAjakastaM kapole chapeTenAhantuM samIpasthalokAn AdiShTavAn|
2c170300af	tadA paulastamavadat, he bahiShpariShkR^ita, IshvarastvAM praharttum udyatosti, yato vyavasthAnusAreNa vichArayitum upavishya vyavasthAM la NghitvA mAM praharttum Aj nApayasi|
2c17040048	tato nikaTasthA lokA akathayan, tvaM kim Ishvarasya mahAyAjakaM nindasi?
2c170500a6	tataH paulaH pratibhAShitavAn he bhrAtR^igaNa mahAyAjaka eSha iti na buddhaM mayA tadanyachcha svalokAnAm adhipatiM prati durvvAkyaM mA kathaya, etAdR^ishI lipirasti|
2c170600e9	anantaraM paulasteShAm arddhaM sidUkilokA arddhaM phirUshilokA iti dR^iShTvA prochchaiH sabhAsthalokAn avadat he bhrAtR^igaNa ahaM phirUshimatAvalambI phirUshinaH satnAnashcha, mR^italokAnAm utthAne pratyAshAkaraNAd ahamapavAditosmi|
2c17070067	iti kathAyAM kathitAyAM phirUshisidUkinoH parasparaM bhinnavAkyatvAt sabhAyA madhye dvau saMghau jAtau|
2c17080083	yataH sidUkilokA utthAnaM svargIyadUtA AtmAnashcha sarvveShAm eteShAM kamapi na manyante, kintu phirUshinaH sarvvam a NgIkurvvanti|
2c17090113	tataH parasparam atishayakolAhale samupasthite phirUshinAM pakShIyAH sabhAsthA adhyApakAH pratipakShA uttiShThanto. akathayan, etasya mAnavasya kamapi doShaM na pashyAmaH; yadi kashchid AtmA vA kashchid dUta enaM pratyAdishat tarhi vayam Ishvarasya prAtikUlyena na yotsyAmaH|
2c170a00b7	tasmAd atIva bhinnavAkyatve sati te paulaM khaNDaM khaNDaM kariShyantItyAsha NkayA sahasrasenApatiH senAgaNaM tatsthAnaM yAtuM sabhAto balAt paulaM dhR^itvA durgaM neta nchAj nApayat|
2c170b0096	rAtro prabhustasya samIpe tiShThan kathitavAn he paula nirbhayo bhava yathA yirUshAlamnagare mayi sAkShyaM dattavAn tathA romAnagarepi tvayA dAtavyam|
2c170c0084	dine samupasthite sati kiyanto yihUdIyalokA ekamantraNAH santaH paulaM na hatvA bhojanapAne kariShyAma iti shapathena svAn abadhnan|
2c170d0036	chatvAriMshajjanebhyo. adhikA lokA iti paNam akurvvan|
2c170e0094	te mahAyAjakAnAM prAchInalokAnA ncha samIpaM gatvA kathayan, vayaM paulaM na hatvA kimapi na bhokShyAmahe dR^iDhenAnena shapathena baddhvA abhavAma|
2c170f00f6	ataeva sAmprataM sabhAsadlokaiH saha vayaM tasmin ka nchid visheShavichAraM kariShyAmastadarthaM bhavAn shvo. asmAkaM samIpaM tam Anayatviti sahasrasenApataye nivedanaM kuruta tena yuShmAkaM samIpaM upasthiteH pUrvvaM vayaM taM hantu sajjiShyAma|
2c1710005d	tadA paulasya bhAgineyasteShAmiti mantraNAM vij nAya durgaM gatvA tAM vArttAM paulam uktavAn|
2c171100a1	tasmAt paula ekaM shatasenApatim AhUya vAkyamidam bhAShitavAn sahasrasenApateH samIpe. asya yuvamanuShyasya ki nchinnivedanam Aste, tasmAt tatsavidham enaM naya|
2c171200b3	tataH sa tamAdAya sahasrasenApateH samIpam upasthAya kathitavAn, bhavataH samIpe. asya kimapi nivedanamAste tasmAt bandiH paulo mAmAhUya bhavataH samIpam enam AnetuM prArthitavAn|
2c1713006d	tadA sahasrasenApatistasya hastaM dhR^itvA nirjanasthAnaM nItvA pR^iShThavAn tava kiM nivedanaM? tat kathaya|
2c17140085	tataH sokathayat, yihUdIyalAkAH paule kamapi visheShavichAraM ChalaM kR^itvA taM sabhAM netuM bhavataH samIpe nivedayituM amantrayan|
2c17150100	kintu mavatA tanna svIkarttavyaM yatasteShAM madhyevarttinashchatvAriMshajjanebhyo. adhikalokA ekamantraNA bhUtvA paulaM na hatvA bhojanaM pAna ncha na kariShyAma iti shapathena baddhAH santo ghAtakA iva sajjitA idAnIM kevalaM bhavato. anumatim apekShante|
2c1716006e	yAmimAM kathAM tvaM niveditavAn tAM kasmaichidapi mA kathayetyuktvA sahasrasenApatistaM yuvAnaM visR^iShTavAn|
2c171700f4	anantaraM sahasrasenApati rdvau shatasenApatI AhUyedam Adishat, yuvAM rAtrau praharaikAvashiShTAyAM satyAM kaisariyAnagaraM yAtuM padAtisainyAnAM dve shate ghoTakArohisainyAnAM saptatiM shaktidhArisainyAnAM dve shate cha janAn sajjitAn kurutaM|
2c1718005d	paulam ArohayituM phIlikShAdhipateH samIpaM nirvvighnaM netu ncha vAhanAni samupasthApayataM|
2c17190033	aparaM sa patraM likhitvA dattavAn tallikhitametat,
2c171a0044	mahAmahimashrIyuktaphIlikShAdhipataye klaudiyaluShiyasya namaskAraH|
2c171b009c	yihUdIyalokAH pUrvvam enaM mAnavaM dhR^itvA svahastai rhantum udyatA etasminnantare sasainyohaM tatropasthAya eSha jano romIya iti vij nAya taM rakShitavAn|
2c171c0043	kinnimittaM te tamapavadante tajj nAtuM teShA sabhAM tamAnAyitavAn|
2c171d00b1	tatasteShAM vyavasthAyA viruddhayA kayAchana kathayA so. apavAdito. abhavat, kintu sa shR^i NkhalabandhanArho vA prANanAshArho bhavatIdR^ishaH kopyaparAdho mayAsya na dR^iShTaH|
2c171e00cf	tathApi manuShyasyAsya vadhArthaM yihUdIyA ghAtakAiva sajjitA etAM vArttAM shrutvA tatkShaNAt tava samIpamenaM preShitavAn asyApavAdakAMshcha tava samIpaM gatvApavaditum Aj nApayam| bhavataH kushalaM bhUyAt|
2c171f0052	sainyagaNa Aj nAnusAreNa paulaM gR^ihItvA tasyAM rajanyAm AntipAtrinagaram Anayat|
2c1720005b	pare. ahani tena saha yAtuM ghoTakArUDhasainyagaNaM sthApayitvA parAvR^itya durgaM gatavAn|
2c17210082	tataH pare ghoTakArohisainyagaNaH kaisariyAnagaram upasthAya tatpatram adhipateH kare samarpya tasya samIpe paulam upasthApitavAn|
2c1722007c	tadAdhipatistatpatraM paThitvA pR^iShThavAn eSha kimpradeshIyo janaH? sa kilikiyApradeshIya eko jana iti j nAtvA kathitavAn,
2c1723005a	tavApavAdakagaNa Agate tava kathAM shroShyAmi| herodrAjagR^ihe taM sthApayitum AdiShTavAn|
2c180100ce	pa nchabhyo dinebhyaH paraM hanAnIyanAmA mahAyAjako. adhipateH samakShaM paulasya prAtikUlyena nivedayituM tartullanAmAnaM ka nchana vaktAraM prAchInajanAMshcha sa NginaH kR^itvA kaisariyAnagaram AgachChat|
2c180200d3	tataH paule samAnIte sati tartullastasyApavAdakathAM kathayitum Arabhata he mahAmahimaphIlikSha bhavato vayam atinirvvighnaM kAlaM yApayAmo bhavataH pariNAmadarshitayA etaddeshIyAnAM bahUni ma NgalAni ghaTitAni,
2c1803004e	iti heto rvayamatikR^itaj nAH santaH sarvvatra sarvvadA bhavato guNAn gAyamaH|
2c18040070	kintu bahubhiH kathAbhi rbhavantaM yena na vira njayAmi tasmAd vinaye bhavAn banukampya madalpakathAM shR^iNotu|
2c180500a2	eSha mahAmArIsvarUpo nAsaratIyamatagrAhisaMghAtasya mukhyo bhUtvA sarvvadesheShu sarvveShAM yihUdIyAnAM rAjadrohAcharaNapravR^ittiM janayatItyasmAbhi rnishchitaM|
2c1806007d	sa mandiramapi ashuchi karttuM cheShTitavAn; iti kAraNAd vayam enaM dhR^itvA svavyavasthAnusAreNa vichArayituM prAvarttAmahi;
2c1807004b	kintu luShiyaH sahasrasenApatirAgatya balAd asmAkaM karebhya enaM gR^ihItvA
2c180800a5	etasyApavAdakAn bhavataH samIpam Agantum Aj nApayat| vayaM yasmin tamapavAdAmo bhavatA padapavAdakathAyAM vichAritAyAM satyAM sarvvaM vR^ittAntaM vedituM shakShyate|
2c1809003e	tato yihUdIyA api svIkR^itya kathitavanta eShA kathA pramANam|
2c180a00b2	adhipatau kathAM kathayituM paulaM pratI NgitaM kR^itavati sa kathitavAn bhavAn bahUn vatsarAn yAvad etaddeshasya shAsanaM karotIti vij nAya pratyuttaraM dAtum akShobho. abhavam|
2c180b007b	adya kevalaM dvAdasha dinAni yAtAni, aham ArAdhanAM karttuM yirUshAlamanagaraM gatavAn eShA kathA bhavatA j nAtuM shakyate;
2c180c008f	kintvibhe mAM madhyemandiraM kenApi saha vitaNDAM kurvvantaM kutrApi bhajanabhavane nagare vA lokAn kupravR^ittiM janayantuM na dR^iShTavantaH|
2c180d004f	idAnIM yasmin yasmin mAm apavadante tasya kimapi pramANaM dAtuM na shaknuvanti|
2c180e00e2	kintu bhaviShyadvAkyagranthe vyavasthAgranthe cha yA yA kathA likhitAste tAsu sarvvAsu vishvasya yanmatam ime vidharmmaM jAnanti tanmatAnusAreNAhaM nijapitR^ipuruShANAm Ishvaram ArAdhayAmItyahaM bhavataH samakSham a NgIkaromi|
2c180f008a	dhArmmikANAm adhArmmikANA ncha pramItalokAnAmevotthAnaM bhaviShyatIti kathAmime svIkurvvanti tathAhamapi tasmin Ishvare pratyAshAM karomi;
2c18100057	Ishvarasya mAnavAnA ncha samIpe yathA nirdoSho bhavAmi tadarthaM satataM yatnavAn asmi|
2c18110075	bahuShu vatsareShu gateShu svadeshIyalokAnAM nimittaM dAnIyadravyANi naivedyAni cha samAdAya punarAgamanaM kR^itavAn|
2c1812008d	tatohaM shuchi rbhUtvA lokAnAM samAgamaM kalahaM vA na kAritavAn tathApyAshiyAdeshIyAH kiyanto yihudIyalokA madhyemandiraM mAM dhR^itavantaH|
2c18130064	mamopari yadi kAchidapavAdakathAsti tarhi bhavataH samIpam upasthAya teShAmeva sAkShyadAnam uchitam|
2c1814007e	nochet pUrvve mahAsabhAsthAnAM lokAnAM sannidhau mama daNDAyamAnatvasamaye, ahamadya mR^itAnAmutthAne yuShmAbhi rvichAritosmi,
2c18150094	teShAM madhye tiShThannahaM yAmimAM kathAmuchchaiH svareNa kathitavAn tadanyo mama kopi doSho. alabhyata na veti varam ete samupasthitalokA vadantu|
2c181600c2	tadA phIlikSha etAM kathAM shrutvA tanmatasya visheShavR^ittAntaM vij nAtuM vichAraM sthagitaM kR^itvA kathitavAn luShiye sahasrasenApatau samAyAte sati yuShmAkaM vichAram ahaM niShpAdayiShyAmi|
2c1817008e	anantaraM bandhanaM vinA paulaM rakShituM tasya sevanAya sAkShAtkaraNAya vA tadIyAtmIyabandhujanAn na vArayitu ncha shamasenApatim AdiShTavAn|
2c18180099	alpadinAt paraM phIlikSho. adhipati rdruShillAnAmnA yihUdIyayA svabhAryyayA sahAgatya paulamAhUya tasya mukhAt khrIShTadharmmasya vR^ittAntam ashrauShIt|
2c181900a7	paulena nyAyasya parimitabhogasya charamavichArasya cha kathAyAM kathitAyAM satyAM phIlikShaH kampamAnaH san vyAharad idAnIM yAhi, aham avakAshaM prApya tvAm AhUsyAmi|
2c181a0081	muktipraptyarthaM paulena mahyaM mudrAdAsyante iti patyAshAM kR^itvA sa punaH punastamAhUya tena sAkaM kathopakathanaM kR^itavAn|
2c181b0094	kintu vatsaradvayAt paraM parkiyaphIShTa phAlikShasya padaM prApte sati phIlikSho yihUdIyAn santuShTAn chikIrShan paulaM baddhaM saMsthApya gatavAn|
2c1901005a	anantaraM phIShTo nijarAjyam Agatya dinatrayAt paraM kaisariyAto yirUshAlamnagaram Agamat|
2c19020050	tadA mahAyAjako yihUdIyAnAM pradhAnalokAshcha tasya samakShaM paulam apAvadanta|
2c19030059	bhavAn taM yirUshAlamam Anetum Aj nApayatviti vinIya te tasmAd anugrahaM vA nChitavantaH|
2c1904009f	yataH pathimadhye gopanena paulaM hantuM tai rghAtakA niyuktAH| phIShTa uttaraM dattavAn paulaH kaisariyAyAM sthAsyati punaralpadinAt param ahaM tatra yAsyAmi|
2c19050097	tatastasya mAnuShasya yadi kashchid aparAdhastiShThati tarhi yuShmAkaM ye shaknuvanti te mayA saha tatra gatvA tamapavadantu sa etAM kathAM kathitavAn|
2c19060087	dashadivasebhyo. adhikaM vilambya phIShTastasmAt kaisariyAnagaraM gatvA parasmin divase vichArAsana upadishya paulam Anetum Aj nApayat|
2c190700bc	paule samupasthite sati yirUshAlamnagarAd AgatA yihUdIyalokAstaM chaturdishi saMveShTya tasya viruddhaM bahUn mahAdoShAn utthApitavantaH kintu teShAM kimapi pramANaM dAtuM na shaknuvantaH|
2c19080085	tataH paulaH svasmin uttaramidam uditavAn, yihUdIyAnAM vyavasthAyA mandirasya kaisarasya vA pratikUlaM kimapi karmma nAhaM kR^itavAn|
2c19090093	kintu phIShTo yihUdIyAn santuShTAn karttum abhilaShan paulam abhAShata tvaM kiM yirUshAlamaM gatvAsmin abhiyoge mama sAkShAd vichArito bhaviShyasi?
2c190a00bc	tataH paula uttaraM proktavAn, yatra mama vichAro bhavituM yogyaH kaisarasya tatra vichArAsana eva samupasthitosmi; ahaM yihUdIyAnAM kAmapi hAniM nAkArSham iti bhavAn yathArthato vijAnAti|
2c190b0121	ka nchidaparAdhaM ki nchana vadhArhaM karmma vA yadyaham akariShyaM tarhi prANahananadaNDamapi bhoktum udyato. abhaviShyaM, kintu te mama samapavAdaM kurvvanti sa yadi kalpitamAtro bhavati tarhi teShAM kareShu mAM samarpayituM kasyApyadhikAro nAsti, kaisarasya nikaTe mama vichAro bhavatu|
2c190c008e	tadA phIShTo mantribhiH sArddhaM saMmantrya paulAya kathitavAn, kaisarasya nikaTe kiM tava vichAro bhaviShyati? kaisarasya samIpaM gamiShyasi|
2c190d0063	kiyaddinebhyaH param AgripparAjA barNIkI cha phIShTaM sAkShAt karttuM kaisariyAnagaram Agatavantau|
2c190e00a7	tadA tau bahudinAni tatra sthitau tataH phIShTastaM rAjAnaM paulasya kathAM vij nApya kathayitum Arabhata paulanAmAnam ekaM bandi phIlikSho baddhaM saMsthApya gatavAn|
2c190f0071	yirUshAlami mama sthitikAle mahAyAjako yihUdIyAnAM prAchInalokAshcha tam apodya tamprati daNDAj nAM prArthayanta|
2c191000df	tatoham ityuttaram avadaM yAvad apodito janaH svApavAdakAn sAkShAt kR^itvA svasmin yo. aparAdha Aropitastasya pratyuttaraM dAtuM suyogaM na prApnoti, tAvatkAlaM kasyApi mAnuShasya prANanAshAj nApanaM romilokAnAM rIti rnahi|
2c1911006b	tatasteShvatrAgateShu parasmin divase. aham avilambaM vichArAsana upavishya taM mAnuSham Anetum Aj nApayam|
2c1912006b	tadanantaraM tasyApavAdakA upasthAya yAdR^isham ahaM chintitavAn tAdR^ishaM ka nchana mahApavAdaM notthApya
2c1913006c	sveShAM mate tathA paulo yaM sajIvaM vadati tasmin yIshunAmani mR^itajane cha tasya viruddhaM kathitavantaH|
2c19140070	tatohaM tAdR^igvichAre saMshayAnaH san kathitavAn tvaM yirUshAlamaM gatvA kiM tatra vichArito bhavitum ichChasi?
2c191500a9	tadA paulo mahArAjasya nikaTe vichArito bhavituM prArthayata, tasmAd yAvatkAlaM taM kaisarasya samIpaM preShayituM na shaknomi tAvatkAlaM tamatra sthApayitum AdiShTavAn|
2c1916008f	tata AgrippaH phIShTam uktavAn, ahamapi tasya mAnuShasya kathAM shrotum abhilaShAmi| tadA phIShTo vyAharat shvastadIyAM kathAM tvaM shroShyasi|
2c191700c6	parasmin divase Agrippo barNIkI cha mahAsamAgamaM kR^itvA pradhAnavAhinIpatibhi rnagarasthapradhAnalokaishcha saha militvA rAjagR^ihamAgatya samupasthitau tadA phIShTasyAj nayA paula AnIto. abhavat|
2c191800f9	tadA phIShTaH kathitavAn he rAjan Agrippa he upasthitAH sarvve lokA yirUshAlamnagare yihUdIyalokasamUho yasmin mAnuShe mama samIpe nivedanaM kR^itvA prochchaiH kathAmimAM kathitavAn punaralpakAlamapi tasya jIvanaM nochitaM tametaM mAnuShaM pashyata|
2c191900b7	kintveSha janaH prANanAsharhaM kimapi karmma na kR^itavAn ityajAnAM tathApi sa mahArAjasya sannidhau vichArito bhavituM prArthayata tasmAt tasya samIpaM taM preShayituM matimakaravam|
2c191a00f5	kintu shrIyuktasya samIpam etasmin kiM lekhanIyam ityasya kasyachin nirNayasya na jAtatvAd etasya vichAre sati yathAhaM lekhituM ki nchana nishchitaM prApnomi tadarthaM yuShmAkaM samakShaM visheShato he AgripparAja bhavataH samakSham etam Anaye|
2c191b004f	yato bandipreShaNasamaye tasyAbhiyogasya ki nchidalekhanam aham ayuktaM jAnAmi|
2c1a010083	tata AgrippaH paulam avAdIt, nijAM kathAM kathayituM tubhyam anumati rdIyate| tasmAt paulaH karaM prasAryya svasmin uttaram avAdIt|
2c1a02009b	he AgripparAja yatkAraNAdahaM yihUdIyairapavAdito. abhavaM tasya vR^ittAntam adya bhavataH sAkShAn nivedayitumanumatoham idaM svIyaM paramaM bhAgyaM manye;
2c1a030099	yato yihUdIyalokAnAM madhye yA yA rItiH sUkShmavichArAshcha santi teShu bhavAn vij natamaH; ataeva prArthaye dhairyyamavalambya mama nivedanaM shR^iNotu|
2c1a04007d	ahaM yirUshAlamnagare svadeshIyalokAnAM madhye tiShThan A yauvanakAlAd yadrUpam AcharitavAn tad yihUdIyalokAH sarvve vidanti|
2c1a0500b8	asmAkaM sarvvebhyaH shuddhatamaM yat phirUshIyamataM tadavalambI bhUtvAhaM kAlaM yApitavAn ye janA A bAlyakAlAn mAM jAnAnti te etAdR^ishaM sAkShyaM yadi dadAti tarhi dAtuM shaknuvanti|
2c1a06008e	kintu he AgripparAja Ishvaro. asmAkaM pUrvvapuruShANAM nikaTe yad a NgIkR^itavAn tasya pratyAshAhetoraham idAnIM vichArasthAne daNDAyamAnosmi|
2c1a0700b7	tasyA NgIkArasya phalaM prAptum asmAkaM dvAdashavaMshA divAnishaM mahAyatnAd IshvarasevanaM kR^itvA yAM pratyAshAM kurvvanti tasyAH pratyAshAyA hetorahaM yihUdIyairapavAdito. abhavam|
2c1a080052	Ishvaro mR^itAn utthApayiShyatIti vAkyaM yuShmAkaM nikaTe. asambhavaM kuto bhavet?
2c1a090068	nAsaratIyayIsho rnAmno viruddhaM nAnAprakArapratikUlAcharaNam uchitam ityahaM manasi yathArthaM vij nAya
2c1a0a00c4	yirUshAlamanagare tadakaravaM phalataH pradhAnayAjakasya nikaTAt kShamatAM prApya bahUn pavitralokAn kArAyAM baddhavAn visheShatasteShAM hananasamaye teShAM viruddhAM nijAM sammatiM prakAshitavAn|
2c1a0b00b0	vAraM vAraM bhajanabhavaneShu tebhyo daNDaM pradattavAn balAt taM dharmmaM nindayitavAMshcha punashcha tAn prati mahAkrodhAd unmattaH san videshIyanagarANi yAvat tAn tADitavAn|
2c1a0c005a	itthaM pradhAnayAjakasya samIpAt shaktim Aj nApatra ncha labdhvA dammeShaknagaraM gatavAn|
2c1a0d00a1	tadAhaM he rAjan mArgamadhye madhyAhnakAle mama madIyasa NginAM lokAnA ncha chatasR^iShu dikShu gagaNAt prakAshamAnAM bhAskaratopi tejasvatIM dIptiM dR^iShTavAn|
2c1a0e00be	tasmAd asmAsu sarvveShu bhUmau patiteShu satsu he shaula hai shaula kuto mAM tADayasi? kaNTakAnAM mukhe pAdAhananaM tava duHsAdhyam ibrIyabhAShayA gadita etAdR^isha ekaH shabdo mayA shrutaH|
2c1a0f005c	tadAhaM pR^iShTavAn he prabho ko bhavAn? tataH sa kathitavAn yaM yIshuM tvaM tADayasi sohaM,
2c1a1000a5	kintu samuttiShTha tvaM yad dR^iShTavAn itaH puna ncha yadyat tvAM darshayiShyAmi teShAM sarvveShAM kAryyANAM tvAM sAkShiNaM mama sevaka ncha karttum darshanam adAm|
2c1a11006a	visheShato yihUdIyalokebhyo bhinnajAtIyebhyashcha tvAM manonItaM kR^itvA teShAM yathA pApamochanaM bhavati
2c1a1200f2	yathA te mayi vishvasya pavitrIkR^itAnAM madhye bhAgaM prApnuvanti tadabhiprAyeNa teShAM j nAnachakShUMShi prasannAni karttuM tathAndhakArAd dIptiM prati shaitAnAdhikArAchcha IshvaraM prati matIH parAvarttayituM teShAM samIpaM tvAM preShyAmi|
2c1a130044	he AgripparAja etAdR^ishaM svargIyapratyAdeshaM agrAhyam akR^itvAhaM
2c1a1400e9	prathamato dammeShaknagare tato yirUshAlami sarvvasmin yihUdIyadeshe anyeShu desheShu cha yena lokA matiM parAvarttya IshvaraM prati parAvarttayante, manaHparAvarttanayogyAni karmmANi cha kurvvanti tAdR^isham upadeshaM prachAritavAn|
2c1a150040	etatkAraNAd yihUdIyA madhyemandiraM mAM dhR^itvA hantum udyatAH|
2c1a160089	tathApi khrIShTo duHkhaM bhuktvA sarvveShAM pUrvvaM shmashAnAd utthAya nijadeshIyAnAM bhinnadeshIyAnA ncha samIpe dIptiM prakAshayiShyati
2c1a1700cd	bhaviShyadvAdigaNo mUsAshcha bhAvikAryyasya yadidaM pramANam adaduretad vinAnyAM kathAM na kathayitvA IshvarAd anugrahaM labdhvA mahatAM kShudrANA ncha sarvveShAM samIpe pramANaM dattvAdya yAvat tiShThAmi|
2c1a18007d	tasyamAM kathAM nishamya phIShTa uchchaiH svareNa kathitavAn he paula tvam unmattosi bahuvidyAbhyAsena tvaM hataj nAno jAtaH|
2c1a19005f	sa uktavAn he mahAmahima phIShTa nAham unmattaH kintu satyaM vivechanIya ncha vAkyaM prastaumi|
2c1a1a009f	yasya sAkShAd akShobhaH san kathAM kathayAmi sa rAjA tadvR^ittAntaM jAnAti tasya samIpe kimapi guptaM neti mayA nishchitaM budhyate yatastad vijane na kR^itaM|
2c1a1b0063	he AgripparAja bhavAn kiM bhaviShyadvAdigaNoktAni vAkyAni pratyeti? bhavAn pratyeti tadahaM jAnAmi|
2c1a1c005f	tata AgrippaH paulam abhihitavAn tvaM pravR^ittiM janayitvA prAyeNa mAmapi khrIShTIyaM karoShi|
2c1a1d00c3	tataH so. avAdIt bhavAn ye ye lokAshcha mama kathAm adya shR^iNvanti prAyeNa iti nahi kintvetat shR^i NkhalabandhanaM vinA sarvvathA te sarvve mAdR^ishA bhavantvitIshvasya samIpe prArthaye. aham|
2c1a1e005c	etasyAM kathAyAM kathitAyAM sa rAjA so. adhipati rbarNIkI sabhAsthA lokAshcha tasmAd utthAya
2c1a1f0068	gopane parasparaM vivichya kathitavanta eSha jano bandhanArhaM prANahananArhaM vA kimapi karmma nAkarot|
2c1a200088	tata AgrippaH phIShTam avadat, yadyeSha mAnuShaH kaisarasya nikaTe vichArito bhavituM na prArthayiShyat tarhi mukto bhavitum ashakShyat|
2c1b0100b1	jalapathenAsmAkam itoliyAdeshaM prati yAtrAyAM nishchitAyAM satyAM te yUliyanAmno mahArAjasya saMghAtAntargatasya senApateH samIpe paulaM tadanyAn katinayajanAMshcha samArpayan|
2c1b0200d3	vayam AdrAmuttIyaM potamekam Aruhya AshiyAdeshasya taTasamIpena yAtuM matiM kR^itvA la Ngaram utthApya potam amochayAma; mAkidaniyAdeshasthathiShalanIkInivAsyAristArkhanAmA kashchid jano. asmAbhiH sArddham AsIt|
2c1b03009e	parasmin divase. asmAbhiH sIdonnagare pote lAgite tatra yUliyaH senApatiH paulaM prati saujanyaM pradarthya sAntvanArthaM bandhubAndhavAn upayAtum anujaj nau|
2c1b04005f	tasmAt pote mochite sati sammukhavAyoH sambhavAd vayaM kupropadvIpasya tIrasamIpena gatavantaH|
2c1b050063	kilikiyAyAH pAmphUliyAyAshcha samudrasya pAraM gatvA lUkiyAdeshAntargataM murAnagaram upAtiShThAma|
2c1b060079	tatsthAnAd itAliyAdeshaM gachChati yaH sikandariyAnagarasya potastaM tatra prApya shatasenApatistaM potam asmAn Arohayat|
2c1b0700b0	tataH paraM bahUni dinAni shanaiH shanaiH rgatvA knIdapArshvopasthtiH pUrvvaM pratikUlena pavanena vayaM salmonyAH sammukham upasthAya krItyupadvIpasya tIrasamIpena gatavantaH|
2c1b08004c	kaShTena tamuttIryya lAseyAnagarasyAdhaH sundaranAmakaM khAtam upAtiShThAma|
2c1b090077	itthaM bahutithaH kAlo yApita upavAsadina nchAtItaM, tatkAraNAt nauvartmani bhaya Nkare sati paulo vinayena kathitavAn,
2c1b0a009f	he mahechChA ahaM nishchayaM jAnAmi yAtrAyAmasyAm asmAkaM kleshA bahUnAmapachayAshcha bhaviShyanti, te kevalaM potasAmagryoriti nahi, kintvasmAkaM prANAnAmapi|
2c1b0b0056	tadA shatasenApatiH pauloktavAkyatopi karNadhArasya potavaNijashcha vAkyaM bahumaMsta|
2c1b0c00b2	tat khAtaM shItakAle vAsArhasthAnaM na tasmAd avAchIpratIchordishoH krItyAH phainIkiyakhAtaM yAtuM yadi shaknuvantastarhi tatra shItakAlaM yApayituM prAyeNa sarvve mantrayAmAsuH|
2c1b0d00a0	tataH paraM dakShiNavAyu rmandaM vahatIti vilokya nijAbhiprAyasya siddheH suyogo bhavatIti buddhvA potaM mochayitvA krItyupadvIpasya tIrasamIpena chalitavantaH|
2c1b0e0055	kintvalpakShaNAt parameva urakludonnAmA pratikUlaH prachaNDo vAyu rvahan pote. alagIt
2c1b0f0042	tasyAbhimukhaM gantum potasyAshaktatvAd vayaM vAyunA svayaM nItAH|
2c1b100066	anantaraM klaudInAmna upadvIpasya kUlasamIpena potaM gamayitvA bahunA kaShTena kShudranAvam arakShAma|
2c1b11008f	te tAmAruhya rajjchA potasyAdhobhAgam abadhnan tadanantaraM chet poto saikate lagatIti bhayAd vAtavasanAnyamochayan tataH poto vAyunA chAlitaH|
2c1b12007a	kintu kramasho vAyoH prabalatvAt poto dolAyamAno. abhavat parasmin divase potasthAni katipayAni dravyANi toye nikShiptAni|
2c1b130044	tR^itIyadivase vayaM svahastaiH potasajjanadravyANi nikShiptavantaH|
2c1b140081	tato bahudinAni yAvat sUryyanakShatrAdIni samAchChannAni tato. atIva vAtyAgamAd asmAkaM prANarakShAyAH kApi pratyAshA nAtiShThat|
2c1b150104	bahudineShu lokairanAhAreNa yApiteShu sarvveShAM sAkShat paulastiShThan akathayat, he mahechChAH krItyupadvIpAt potaM na mochayitum ahaM pUrvvaM yad avadaM tadgrahaNaM yuShmAkam uchitam AsIt tathA kR^ite yuShmAkam eShA vipad eSho. apachayashcha nAghaTiShyetAm|
2c1b160095	kintu sAmprataM yuShmAn vinIya bravImyahaM, yUyaM na kShubhyata yuShmAkam ekasyApi prANino hAni rna bhaviShyati, kevalasya potasya hAni rbhaviShyati|
2c1b17006f	yato yasyeshvarasya loko. ahaM ya nchAhaM paricharAmi tadIya eko dUto hyo rAtrau mamAntike tiShThan kathitavAn,
2c1b18006d	he paula mA bhaiShIH kaisarasya sammukhe tvayopasthAtavyaM; tavaitAn sa Ngino lokAn IshvarastubhyaM dattavAn|
2c1b190082	ataeva he mahechChA yUyaM sthiramanaso bhavata mahyaM yA kathAkathi sAvashyaM ghaTiShyate mamaitAdR^ishI vishvAsa Ishvare vidyate,
2c1b1a0034	kintu kasyachid upadvIpasyopari patitavyam asmAbhiH|
2c1b1b00bd	tataH param AdriyAsamudre potastathaiva dolAyamAnaH san itastato gachChan chaturdashadivasasya rAtre rdvitIyapraharasamaye kasyachit sthalasya samIpamupatiShThatIti potIyalokA anvamanyanta|
