2800000006	mathiH
2d0509004e	ataeva tasya raktapAtena sapuNyIkRtA vayaM nitAntaM tena kopAd uddhAriSyAmahe|
2d050a00a8	phalato vayaM yadA ripava Asma tadezvarasya putrasya maraNena tena sArddhaM yadyasmAkaM melanaM jAtaM tarhi melanaprAptAH santo'vazyaM tasya jIvanena rakSAM lapsyAmahe|
2d050b0071	tat kevalaM nahi kintu yena melanam alabhAmahi tenAsmAkaM prabhuNA yIzukhrISTena sAmpratam Izvare samAnandAmazca|
2d050c0081	tathA sati, ekena mAnuSeNa pApaM pApena ca maraNaM jagatIM prAvizat aparaM sarvveSAM pApitvAt sarvve mAnuSA mRte rnighnA abhavat|
2d050d0075	yato vyavasthAdAnasamayaM yAvat jagati pApam AsIt kintu yatra vyavasthA na vidyate tatra pApasyApi gaNanA na vidyate|
2d050e009e	tathApyAdamA yAdRzaM pApaM kRtaM tAdRzaM pApaM yai rnAkAri Adamam Arabhya mUsAM yAvat teSAmapyupari mRtyU rAjatvam akarot sa Adam bhAvyAdamo nidarzanamevAste|
2d050f00f2	kintu pApakarmmaNo yAdRzo bhAvastAdRg dAnakarmmaNo bhAvo na bhavati yata ekasya janasyAparAdhena yadi bahUnAM maraNam aghaTata tathApIzvarAnugrahastadanugrahamUlakaM dAnaJcaikena janenArthAd yIzunA khrISTena bahuSu bAhulyAtibAhulyena phalati|
2d051000c1	aparam ekasya janasya pApakarmma yAdRk phalayuktaM dAnakarmma tAdRk na bhavati yato vicArakarmmaikaM pApam Arabhya daNDajanakaM babhUva, kintu dAnakarmma bahupApAnyArabhya puNyajanakaM babhUva|
2d051100cf	yata ekasya janasya pApakarmmatastenaikena yadi maraNasya rAjatvaM jAtaM tarhi ye janA anugrahasya bAhulyaM puNyadAnaJca prApnuvanti ta ekena janena, arthAt yIzukhrISTena, jIvane rAjatvam avazyaM kariSyanti|
2d05120081	eko'parAdho yadvat sarvvamAnavAnAM daNDagAmI mArgo 'bhavat tadvad ekaM puNyadAnaM sarvvamAnavAnAM jIvanayuktapuNyagAmI mArga eva|
2d05130074	aparam ekasya janasyAjJAlaGghanAd yathA bahavo 'parAdhino jAtAstadvad ekasyAjJAcaraNAd bahavaH sapuNyIkRtA bhavanti|
2d05140080	adhikantu vyavasthAgamanAd aparAdhasya bAhulyaM jAtaM kintu yatra pApasya bAhulyaM tatraiva tasmAd anugrahasya bAhulyam abhavat|
2d05150084	tena mRtyunA yadvat pApasya rAjatvam abhavat tadvad asmAkaM prabhuyIzukhrISTadvArAnantajIvanadAyipuNyenAnugrahasya rAjatvaM bhavati|
2d0601006e	prabhUtarUpeNa yad anugrahaH prakAzate tadarthaM pApe tiSThAma iti vAkyaM kiM vayaM vadiSyAmaH? tanna bhavatu|
2d06020035	pApaM prati mRtA vayaM punastasmin katham jIviSyAmaH?
2d0603006a	vayaM yAvanto lokA yIzukhrISTe majjitA abhavAma tAvanta eva tasya maraNe majjitA iti kiM yUyaM na jAnItha?
2d060400a3	tato yathA pituH parAkrameNa zmazAnAt khrISTa utthApitastathA vayamapi yat nUtanajIvina ivAcarAmastadarthaM majjanena tena sArddhaM mRtyurUpe zmazAne saMsthApitAH|
2d0605006b	aparaM vayaM yadi tena saMyuktAH santaH sa iva maraNabhAgino jAtAstarhi sa ivotthAnabhAgino'pi bhaviSyAmaH|
2d06060099	vayaM yat pApasya dAsAH puna rna bhavAmastadartham asmAkaM pAparUpazarIrasya vinAzArtham asmAkaM purAtanapuruSastena sAkaM kruze'hanyateti vayaM jAnImaH|
2d0607001c	yo hataH sa pApAt mukta eva|
2d06080073	ataeva yadi vayaM khrISTena sArddham ahanyAmahi tarhi punarapi tena sahitA jIviSyAma ityatrAsmAkaM vizvAso vidyate|
2d06090067	yataH zmazAnAd utthApitaH khrISTo puna rna mriyata iti vayaM jAnImaH| tasmin kopyadhikAro mRtyo rnAsti|
2d060a0060	aparaJca sa yad amriyata tenaikadA pApam uddizyAmriyata, yacca jIvati tenezvaram uddizya jIvati;
2d060b0065	tadvad yUyamapi svAn pApam uddizya mRtAn asmAkaM prabhuNA yIzukhrISTenezvaram uddizya jIvanto jAnIta|
2d060c0054	aparaJca kutsitAbhilASAn pUrayituM yuSmAkaM martyadeheSu pApam AdhipatyaM na karotu|
2d060d00bb	aparaM svaM svam aGgam adharmmasyAstraM kRtvA pApasevAyAM na samarpayata, kintu zmazAnAd utthitAniva svAn Izvare samarpayata svAnyaGgAni ca dharmmAstrasvarUpANIzvaram uddizya samarpayata|
2d060e0074	yuSmAkam upari pApasyAdhipatyaM puna rna bhaviSyati, yasmAd yUyaM vyavasthAyA anAyattA anugrahasya cAyattA abhavata|
2d060f006f	kintu vayaM vyavasthAyA anAyattA anugrahasya cAyattA abhavAma, iti kAraNAt kiM pApaM kariSyAmaH? tanna bhavatu|
2d061000a9	yato mRtijanakaM pApaM puNyajanakaM nidezAcaraNaJcaitayordvayo ryasmin AjJApAlanArthaM bhRtyAniva svAn samarpayatha, tasyaiva bhRtyA bhavatha, etat kiM yUyaM na jAnItha?
2d061100b3	aparaJca pUrvvaM yUyaM pApasya bhRtyA Asteti satyaM kintu yasyAM zikSArUpAyAM mUSAyAM nikSiptA abhavata tasyA AkRtiM manobhi rlabdhavanta iti kAraNAd Izvarasya dhanyavAdo bhavatu|
2d0612003d	itthaM yUyaM pApasevAto muktAH santo dharmmasya bhRtyA jAtAH|
2d061300ef	yuSmAkaM zArIrikyA durbbalatAyA heto rmAnavavad aham etad bravImi; punaH punaradharmmakaraNArthaM yadvat pUrvvaM pApAmedhyayo rbhRtyatve nijAGgAni samArpayata tadvad idAnIM sAdhukarmmakaraNArthaM dharmmasya bhRtyatve nijAGgAni samarpayata|
2d0614003c	yadA yUyaM pApasya bhRtyA Asta tadA dharmmasya nAyattA Asta|
2d06150081	tarhi yAni karmmANi yUyam idAnIM lajjAjanakAni budhyadhve pUrvvaM tai ryuSmAkaM ko lAbha AsIt? teSAM karmmaNAM phalaM maraNameva|
2d0616008f	kintu sAmprataM yUyaM pApasevAto muktAH santa Izvarasya bhRtyA'bhavata tasmAd yuSmAkaM pavitratvarUpaM labhyam anantajIvanarUpaJca phalam Aste|
2d0617006c	yataH pApasya vetanaM maraNaM kintvasmAkaM prabhuNA yIzukhrISTenAnantajIvanam IzvaradattaM pAritoSikam Aste|
2d07010086	he bhrAtRgaNa vyavasthAvidaH prati mamedaM nivedanaM| vidhiH kevalaM yAvajjIvaM mAnavoparyyadhipatitvaM karotIti yUyaM kiM na jAnItha?
2d07020095	yAvatkAlaM pati rjIvati tAvatkAlam UDhA bhAryyA vyavasthayA tasmin baddhA tiSThati kintu yadi pati rmriyate tarhi sA nArI patyu rvyavasthAto mucyate|
2d070300cc	etatkAraNAt patyurjIvanakAle nArI yadyanyaM puruSaM vivahati tarhi sA vyabhicAriNI bhavati kintu yadi sa pati rmriyate tarhi sA tasyA vyavasthAyA muktA satI puruSAntareNa vyUDhApi vyabhicAriNI na bhavati|
2d070400c4	he mama bhrAtRgaNa, IzvaranimittaM yadasmAkaM phalaM jAyate tadarthaM zmazAnAd utthApitena puruSeNa saha yuSmAkaM vivAho yad bhavet tadarthaM khrISTasya zarIreNa yUyaM vyavasthAM prati mRtavantaH|
2d0705007c	yato'smAkaM zArIrikAcaraNasamaye maraNanimittaM phalam utpAdayituM vyavasthayA dUSitaH pApAbhilASo'smAkam aGgeSu jIvan AsIt|
2d070600c4	kintu tadA yasyA vyavasthAyA vaze Asmahi sAmprataM tAM prati mRtatvAd vayaM tasyA adhInatvAt muktA iti hetorIzvaro'smAbhiH purAtanalikhitAnusArAt na sevitavyaH kintu navInasvabhAvenaiva sevitavyaH
2d070700eb	tarhi vayaM kiM brUmaH? vyavasthA kiM pApajanikA bhavati? netthaM bhavatu| vyavasthAm avidyamAnAyAM pApaM kim ityahaM nAvedaM; kiJca lobhaM mA kArSIriti ced vyavasthAgranthe likhitaM nAbhaviSyat tarhi lobhaH kimbhUtastadahaM nAjJAsyaM|
2d07080086	kintu vyavasthayA pApaM chidraM prApyAsmAkam antaH sarvvavidhaM kutsitAbhilASam ajanayat; yato vyavasthAyAm avidyamAnAyAM pApaM mRtaM|
2d07090073	aparaM pUrvvaM vyavasthAyAm avidyamAnAyAm aham ajIvaM tataH param AjJAyAm upasthitAyAm pApam ajIvat tadAham amriye|
2d070a003a	itthaM sati jIvananimittA yAjJA sA mama mRtyujanikAbhavat|
2d070b004a	yataH pApaM chidraM prApya vyavasthitAdezena mAM vaJcayitvA tena mAm ahan|
2d070c0046	ataeva vyavasthA pavitrA, Adezazca pavitro nyAyyo hitakArI ca bhavati|
2d070d00d0	tarhi yat svayaM hitakRt tat kiM mama mRtyujanakam abhavat? netthaM bhavatu; kintu pApaM yat pAtakamiva prakAzate tathA nidezena pApaM yadatIva pAtakamiva prakAzate tadarthaM hitopAyena mama maraNam ajanayat|
2d070e0056	vyavasthAtmabodhiketi vayaM jAnImaH kintvahaM zArIratAcArI pApasya krItakiGkaro vidye|
2d070f007a	yato yat karmma karomi tat mama mano'bhimataM nahi; aparaM yan mama mano'bhimataM tanna karomi kintu yad RtIye tat karomi|
2d07100050	tathAtve yan mamAnabhimataM tad yadi karomi tarhi vyavasthA sUttameti svIkaromi|
2d0711005b	ataeva samprati tat karmma mayA kriyata iti nahi kintu mama zarIrasthena pApenaiva kriyate|
2d07120096	yato mayi, arthato mama zarIre, kimapyuttamaM na vasati, etad ahaM jAnAmi; mamecchukatAyAM tiSThantyAmapyaham uttamakarmmasAdhane samartho na bhavAmi|
2d07130078	yato yAmuttamAM kriyAM karttumahaM vAJchAmi tAM na karomi kintu yat kutsitaM karmma karttum anicchuko'smi tadeva karomi|
2d0714007f	ataeva yadyat karmma karttuM mamecchA na bhavati tad yadi karomi tarhi tat mayA na kriyate, mamAntarvarttinA pApenaiva kriyate|
2d07150062	bhadraM karttum icchukaM mAM yo 'bhadraM karttuM pravarttayati tAdRzaM svabhAvamekaM mayi pazyAmi|
2d07160034	aham AntarikapuruSeNezvaravyavasthAyAM santuSTa Ase;
2d0717008e	kintu tadviparItaM yudhyantaM tadanyamekaM svabhAvaM madIyAGgasthitaM prapazyAmi, sa madIyAGgasthitapApasvabhAvasyAyattaM mAM karttuM ceSTate|
2d0718004e	hA hA yo'haM durbhAgyo manujastaM mAm etasmAn mRtAccharIrAt ko nistArayiSyati?
2d07190092	asmAkaM prabhuNA yIzukhrISTena nistArayitAram IzvaraM dhanyaM vadAmi| ataeva zarIreNa pApavyavasthAyA manasA tu IzvaravyavasthAyAH sevanaM karomi|
2d08010062	ye janAH khrISTaM yIzum Azritya zArIrikaM nAcaranta AtmikamAcaranti te'dhunA daNDArhA na bhavanti|
2d08020053	jIvanadAyakasyAtmano vyavasthA khrISTayIzunA pApamaraNayo rvyavasthAto mAmamocayat|
2d080300b4	yasmAcchArIrasya durbbalatvAd vyavasthayA yat karmmAsAdhyam Izvaro nijaputraM pApizarIrarUpaM pApanAzakabalirUpaJca preSya tasya zarIre pApasya daNDaM kurvvan tatkarmma sAdhitavAn|
2d08040070	tataH zArIrikaM nAcaritvAsmAbhirAtmikam AcaradbhirvyavasthAgranthe nirddiSTAni puNyakarmmANi sarvvANi sAdhyante|
2d08050060	ye zArIrikAcAriNaste zArIrikAn viSayAn bhAvayanti ye cAtmikAcAriNaste Atmano viSayAn bhAvayanti|
2d08060049	zArIrikabhAvasya phalaM mRtyuH kiJcAtmikabhAvasya phale jIvanaM zAntizca|
2d0807007a	yataH zArIrikabhAva Izvarasya viruddhaH zatrutAbhAva eva sa Izvarasya vyavasthAyA adhIno na bhavati bhavituJca na zaknoti|
2d08080031	etasmAt zArIrikAcAriSu toSTum IzvareNa na zakyaM|
2d080900a1	kintvIzvarasyAtmA yadi yuSmAkaM madhye vasati tarhi yUyaM zArIrikAcAriNo na santa AtmikAcAriNo bhavathaH| yasmin tu khrISTasyAtmA na vidyate sa tatsambhavo nahi|
2d080a0061	yadi khrISTo yuSmAn adhitiSThati tarhi pApam uddizya zarIraM mRtaM kintu puNyamuddizyAtmA jIvati|
2d080b00b1	mRtagaNAd yIzu ryenotthApitastasyAtmA yadi yuSmanmadhye vasati tarhi mRtagaNAt khrISTasya sa utthApayitA yuSmanmadhyavAsinA svakIyAtmanA yuSmAkaM mRtadehAnapi puna rjIvayiSyati|
2d080c0059	he bhrAtRgaNa zarIrasya vayamadhamarNA na bhavAmo'taH zArIrikAcAro'smAbhi rna karttavyaH|
2d080d007b	yadi yUyaM zarIrikAcAriNo bhaveta tarhi yuSmAbhi rmarttavyameva kintvAtmanA yadi zarIrakarmmANi ghAtayeta tarhi jIviSyatha|
2d080e004e	yato yAvanto lokA IzvarasyAtmanAkRSyante te sarvva Izvarasya santAnA bhavanti|
2d080f0097	yUyaM punarapi bhayajanakaM dAsyabhAvaM na prAptAH kintu yena bhAvenezvaraM pitaH pitariti procya sambodhayatha tAdRzaM dattakaputratvabhAvam prApnuta|
2d08100067	aparaJca vayam Izvarasya santAnA etasmin pavitra AtmA svayam asmAkam AtmAbhiH sArddhaM pramANaM dadAti|
2d081100d1	ataeva vayaM yadi santAnAstarhyadhikAriNaH, arthAd Izvarasya svattvAdhikAriNaH khrISTena sahAdhikAriNazca bhavAmaH; aparaM tena sArddhaM yadi duHkhabhAgino bhavAmastarhi tasya vibhavasyApi bhAgino bhaviSyAmaH|
2d08120062	kintvasmAsu yo bhAvIvibhavaH prakAziSyate tasya samIpe varttamAnakAlInaM duHkhamahaM tRNAya manye|
2d0813004f	yataH prANigaNa Izvarasya santAnAnAM vibhavaprAptim AkAGkSan nitAntam apekSate|
2d08140037	aparaJca prANigaNaH svairam alIkatAyA vazIkRto nAbhavat
2d0815007f	kintu prANigaNo'pi nazvaratAdhInatvAt muktaH san Izvarasya santAnAnAM paramamuktiM prApsyatItyabhiprAyeNa vazIkartrA vazIcakre|
2d08160068	aparaJca prasUyamAnAvad vyathitaH san idAnIM yAvat kRtsnaH prANigaNa ArttasvaraM karotIti vayaM jAnImaH|
2d081700ab	kevalaH sa iti nahi kintu prathamajAtaphalasvarUpam AtmAnaM prAptA vayamapi dattakaputratvapadaprAptim arthAt zarIrasya muktiM pratIkSamANAstadvad antarArttarAvaM kurmmaH|
2d08180093	vayaM pratyAzayA trANam alabhAmahi kintu pratyakSavastuno yA pratyAzA sA pratyAzA nahi, yato manuSyo yat samIkSate tasya pratyAzAM kutaH kariSyati?
2d0819005d	yad apratyakSaM tasya pratyAzAM yadi vayaM kurvvImahi tarhi dhairyyam avalambya pratIkSAmahe|
2d081a00b1	tata AtmApi svayam asmAkaM durbbalatAyAH sahAyatvaM karoti; yataH kiM prArthitavyaM tad boddhuM vayaM na zaknumaH, kintvaspaSTairArttarAvairAtmA svayam asmannimittaM nivedayati|
2d081b0064	aparam IzvarAbhimatarUpeNa pavitralokAnAM kRte nivedayati ya AtmA tasyAbhiprAyo'ntaryyAminA jJAyate|
2d081c007d	aparam IzvarIyanirUpaNAnusAreNAhUtAH santo ye tasmin prIyante sarvvANi militvA teSAM maGgalaM sAdhayanti, etad vayaM jAnImaH|
2d081d0092	yata Izvaro bahubhrAtRNAM madhye svaputraM jyeSThaM karttum icchan yAn pUrvvaM lakSyIkRtavAn tAn tasya pratimUrtyAH sAdRzyaprAptyarthaM nyayuMkta|
2d081e006e	aparaJca tena ye niyuktAsta AhUtA api ye ca tenAhUtAste sapuNyIkRtAH, ye ca tena sapuNyIkRtAste vibhavayuktAH|
2d081f0055	ityatra vayaM kiM brUmaH? Izvaro yadyasmAkaM sapakSo bhavati tarhi ko vipakSo'smAkaM?
2d08200074	AtmaputraM na rakSitvA yo'smAkaM sarvveSAM kRte taM pradattavAn sa kiM tena sahAsmabhyam anyAni sarvvANi na dAsyati?
2d0821005b	IzvarasyAbhiruciteSu kena doSa AropayiSyate? ya IzvarastAn puNyavata iva gaNayati kiM tena?
2d082200e6	aparaM tebhyo daNDadAnAjJA vA kena kariSyate? yo'smannimittaM prANAn tyaktavAn kevalaM tanna kintu mRtagaNamadhyAd utthitavAn, api cezvarasya dakSiNe pArzve tiSThan adyApyasmAkaM nimittaM prArthata evambhUto yaH khrISTaH kiM tena?
2d082300a9	asmAbhiH saha khrISTasya premavicchedaM janayituM kaH zaknoti? klezo vyasanaM vA tADanA vA durbhikSaM vA vastrahInatvaM vA prANasaMzayo vA khaGgo vA kimetAni zaknuvanti?
2d08240079	kintu likhitam Aste, yathA, vayaM tava nimittaM smo mRtyuvaktre'khilaM dinaM| balirdeyo yathA meSo vayaM gaNyAmahe tathA|
2d08250042	aparaM yo'smAsu prIyate tenaitAsu vipatsu vayaM samyag vijayAmahe|
2d082600df	yato'smAkaM prabhunA yIzukhrISTenezvarasya yat prema tasmAd asmAkaM vicchedaM janayituM mRtyu rjIvanaM vA divyadUtA vA balavanto mukhyadUtA vA varttamAno vA bhaviSyan kAlo vA uccapadaM vA nIcapadaM vAparaM kimapi sRSTavastu
2d08270037	vaiteSAM kenApi na zakyamityasmin dRDhavizvAso mamAste|
2d09010087	ahaM kAJcid kalpitAM kathAM na kathayAmi, khrISTasya sAkSAt satyameva bravImi pavitrasyAtmanaH sAkSAn madIyaM mana etat sAkSyaM dadAti|
2d0902002a	mamAntaratizayaduHkhaM nirantaraM khedazca
2d09030054	tasmAd ahaM svajAtIyabhrAtRNAM nimittAt svayaM khrISTAcchApAkrAnto bhavitum aiccham|
2d0904009b	yatasta isrAyelasya vaMzA api ca dattakaputratvaM tejo niyamo vyavasthAdAnaM mandire bhajanaM pratijJAH pitRpuruSagaNazcaiteSu sarvveSu teSAm adhikAro'sti|
2d0905007f	tat kevalaM nahi kintu sarvvAdhyakSaH sarvvadA saccidAnanda Izvaro yaH khrISTaH so'pi zArIrikasambandhena teSAM vaMzasambhavaH|
2d09060074	Izvarasya vAkyaM viphalaM jAtam iti nahi yatkAraNAd isrAyelo vaMze ye jAtAste sarvve vastuta isrAyelIyA na bhavanti|
2d09070075	aparam ibrAhImo vaMze jAtA api sarvve tasyaiva santAnA na bhavanti kintu ishAko nAmnA tava vaMzo vikhyAto bhaviSyati|
2d0908008e	arthAt zArIrikasaMsargAt jAtAH santAnA yAvantastAvanta evezvarasya santAnA na bhavanti kintu pratizravaNAd ye jAyante taevezvaravaMzo gaNyate|
2d0909006b	yatastatpratizrute rvAkyametat, etAdRze samaye 'haM punarAgamiSyAmi tatpUrvvaM sArAyAH putra eko janiSyate|
2d090a0073	aparamapi vadAmi svamano'bhilASata IzvareNa yannirUpitaM tat karmmato nahi kintvAhvayitu rjAtametad yathA siddhyati
2d090b00af	tadarthaM ribkAnAmikayA yoSitA janaikasmAd arthAd asmAkam ishAkaH pUrvvapuruSAd garbhe dhRte tasyAH santAnayoH prasavAt pUrvvaM kiJca tayoH zubhAzubhakarmmaNaH karaNAt pUrvvaM
2d090c0038	tAM pratIdaM vAkyam uktaM, jyeSThaH kaniSThaM seviSyate,
2d090d0041	yathA likhitam Aste, tathApyeSAvi na prItvA yAkUbi prItavAn ahaM|
2d090e0041	tarhi vayaM kiM brUmaH? IzvaraH kim anyAyakArI? tathA na bhavatu|
2d090f0071	yataH sa svayaM mUsAm avadat; ahaM yasmin anugrahaM cikIrSAmi tamevAnugRhlAmi, yaJca dayitum icchAmi tameva daye|
2d09100051	ataevecchatA yatamAnena vA mAnavena tanna sAdhyate dayAkAriNezvareNaiva sAdhyate|
2d0911007a	phirauNi zAstre likhati, ahaM tvaddvArA matparAkramaM darzayituM sarvvapRthivyAM nijanAma prakAzayituJca tvAM sthApitavAn|
2d09120058	ataH sa yam anugrahItum icchati tamevAnugRhlAti, yaJca nigrahItum icchati taM nigRhlAti|
2d0913006a	yadi vadasi tarhi sa doSaM kuto gRhlAti? tadIyecchAyAH pratibandhakatvaM karttaM kasya sAmarthyaM vidyate?
2d09140075	he Izvarasya pratipakSa martya tvaM kaH? etAdRzaM mAM kutaH sRSTavAn? iti kathAM sRSTavastu sraSTre kiM kathayiSyati?
2d0915005b	ekasmAn mRtpiNDAd utkRSTApakRSTau dvividhau kalazau karttuM kiM kulAlasya sAmarthyaM nAsti?
2d09160089	IzvaraH kopaM prakAzayituM nijazaktiM jJApayituJcecchan yadi vinAzasya yogyAni krodhabhAjanAni prati bahukAlaM dIrghasahiSNutAm Azrayati;
2d09170096	aparaJca vibhavaprAptyarthaM pUrvvaM niyuktAnyanugrahapAtrANi prati nijavibhavasya bAhulyaM prakAzayituM kevalayihUdinAM nahi bhinnadezinAmapi madhyAd
2d09180025	asmAniva tAnyAhvayati tatra tava kiM?
2d09190080	hozeyagranthe yathA likhitam Aste, yo loko mama nAsIt taM vadiSyAmi madIyakaM| yA jAti rme'priyA cAsIt tAM vadiSyAmyahaM priyAM|
2d091a0056	yUyaM madIyalokA na yatreti vAkyamaucyata| amarezasya santAnA iti khyAsyanti tatra te|
2d091b00b7	isrAyelIyalokeSu yizAyiyo'pi vAcametAM prAcArayat, isrAyelIyavaMzAnAM yA saMkhyA sA tu nizcitaM| samudrasikatAsaMkhyAsamAnA yadi jAyate| tathApi kevalaM lokairalpaistrANaM vrajiSyate|
2d091c005a	yato nyAyena svaM karmma parezaH sAdhayiSyati| deze saeva saMkSepAnnijaM karmma kariSyati|
2d091d009e	yizAyiyo'paramapi kathayAmAsa, sainyAdhyakSaparezena cet kiJcinnodaziSyata| tadA vayaM sidomevAbhaviSyAma vinizcitaM| yadvA vayam amorAyA agamiSyAma tulyatAM|
2d091e0060	tarhi vayaM kiM vakSyAmaH? itaradezIyA lokA api puNyArtham ayatamAnA vizvAsena puNyam alabhanta;
2d091f0046	kintvisrAyellokA vyavasthApAlanena puNyArthaM yatamAnAstan nAlabhanta|
2d0920007c	tasya kiM kAraNaM? te vizvAsena nahi kintu vyavasthAyAH kriyayA ceSTitvA tasmin skhalanajanake pASANe pAdaskhalanaM prAptAH|
2d0921009d	likhitaM yAdRzam Aste, pazya pAdaskhalArthaM hi sIyoni prastarantathA| bAdhAkAraJca pASANaM paristhApitavAnaham| vizvasiSyati yastatra sa jano na trapiSyate|
2d0a010068	he bhrAtara isrAyelIyalokA yat paritrANaM prApnuvanti tadahaM manasAbhilaSan Izvarasya samIpe prArthaye|
2d0a020058	yata Izvare teSAM ceSTA vidyata ityatrAhaM sAkSyasmi; kintu teSAM sA ceSTA sajJAnA nahi,
2d0a03007c	yatasta IzvaradattaM puNyam avijJAya svakRtapuNyaM sthApayitum ceSTamAnA Izvaradattasya puNyasya nighnatvaM na svIkurvvanti|
2d0a04004b	khrISTa ekaikavizvAsijanAya puNyaM dAtuM vyavasthAyAH phalasvarUpo bhavati|
2d0a050068	vyavasthApAlanena yat puNyaM tat mUsA varNayAmAsa, yathA, yo janastAM pAlayiSyati sa taddvArA jIviSyati|
2d0a060063	kintu pratyayena yat puNyaM tad etAdRzaM vAkyaM vadati, kaH svargam Aruhya khrISTam avarohayiSyati?
2d0a07005c	ko vA pretalokam avaruhya khrISTaM mRtagaNamadhyAd AneSyatIti vAk manasi tvayA na gaditavyA|
2d0a08008a	tarhi kiM bravIti? tad vAkyaM tava samIpastham arthAt tava vadane manasi cAste, tacca vAkyam asmAbhiH pracAryyamANaM vizvAsasya vAkyameva|
2d0a09008f	vastutaH prabhuM yIzuM yadi vadanena svIkaroSi, tathezvarastaM zmazAnAd udasthApayad iti yadyantaHkaraNena vizvasiSi tarhi paritrANaM lapsyase|
2d0a0a005d	yasmAt puNyaprAptyartham antaHkaraNena vizvasitavyaM paritrANArthaJca vadanena svIkarttavyaM|
2d0a0b0043	zAstre yAdRzaM likhati vizvasiSyati yastatra sa jano na trapiSyate|
2d0a0c0087	ityatra yihUdini tadanyaloke ca kopi vizeSo nAsti yasmAd yaH sarvveSAm advitIyaH prabhuH sa nijayAcakAna sarvvAn prati vadAnyo bhavati|
2d0a0d0060	yataH, yaH kazcit paramezasya nAmnA hi prArthayiSyate| sa eva manujo nUnaM paritrAto bhaviSyati|
2d0a0e00c3	yaM ye janA na pratyAyan te tamuddizya kathaM prArthayiSyante? ye vA yasyAkhyAnaM kadApi na zrutavantaste taM kathaM pratyeSyanti? aparaM yadi pracArayitAro na tiSThanti tadA kathaM te zroSyanti?
2d0a0f00da	yadi vA preritA na bhavanti tadA kathaM pracArayiSyanti? yAdRzaM likhitam Aste, yathA, mAGgalikaM susaMvAdaM dadatyAnIya ye narAH| pracArayanti zAntezca susaMvAdaM janAstu ye| teSAM caraNapadmAni kIdRk zobhAnvitAni hi|
2d0a100076	kintu te sarvve taM susaMvAdaM na gRhItavantaH| yizAyiyo yathA likhitavAn| asmatpracArite vAkye vizvAsamakaroddhi kaH|
2d0a110040	ataeva zravaNAd vizvAsa aizvaravAkyapracArAt zravaNaJca bhavati|
2d0a12006d	tarhyahaM bravImi taiH kiM nAzrAvi? avazyam azrAvi, yasmAt teSAM zabdo mahIM vyApnod vAkyaJca nikhilaM jagat|
2d0a1300bb	aparamapi vadAmi, isrAyelIyalokAH kim etAM kathAM na budhyante? prathamato mUsA idaM vAkyaM provAca, ahamuttApayiSye tAn agaNyamAnavairapi| klekSyAmi jAtim etAJca pronmattabhinnajAtibhiH|
2d0a14009c	aparaJca yizAyiyo'tizayAkSobheNa kathayAmAsa, yathA, adhi mAM yaistu nAceSTi samprAptastai rjanairahaM| adhi mAM yai rna sampRSTaM vijJAtastai rjanairahaM||
2d0a15008f	kintvisrAyelIyalokAn adhi kathayAJcakAra, yairAjJAlaGghibhi rlokai rviruddhaM vAkyamucyate| tAn pratyeva dinaM kRtsnaM hastau vistArayAmyahaM||
2d0b01008d	IzvareNa svIkIyalokA apasAritA ahaM kim IdRzaM vAkyaM bravImi? tanna bhavatu yato'hamapi binyAmInagotrIya ibrAhImavaMzIya isrAyelIyaloko'smi|
2d0b020086	IzvareNa pUrvvaM ye pradRSTAste svakIyalokA apasAritA iti nahi| aparam eliyopAkhyAne zAstre yallikhitam Aste tad yUyaM kiM na jAnItha?
2d0b0300e8	he paramezvara lokAstvadIyAH sarvvA yajJavedIrabhaJjan tathA tava bhaviSyadvAdinaH sarvvAn aghnan kevala eko'ham avaziSTa Ase te mamApi prANAn nAzayituM ceSTanate, etAM kathAm isrAyelIyalokAnAM viruddham eliya IzvarAya nivedayAmAsa|
2d0b040084	tatastaM pratIzvarasyottaraM kiM jAtaM? bAlnAmno devasya sAkSAt yai rjAnUni na pAtitAni tAdRzAH sapta sahasrANi lokA avazeSitA mayA|
2d0b05005a	tadvad etasmin varttamAnakAle'pi anugraheNAbhirucitAsteSAm avaziSTAH katipayA lokAH santi|
2d0b0600ae	ataeva tad yadyanugraheNa bhavati tarhi kriyayA na bhavati no ced anugraho'nanugraha eva, yadi vA kriyayA bhavati tarhyanugraheNa na bhavati no cet kriyA kriyaiva na bhavati|
2d0b070070	tarhi kiM? isrAyelIyalokA yad amRgayanta tanna prApuH| kintvabhirucitalokAstat prApustadanye sarvva andhIbhUtAH|
2d0b08006f	yathA likhitam Aste, ghoranidrAlutAbhAvaM dRSTihIne ca locane| karNau zrutivihInau ca pradadau tebhya IzvaraH||
2d0b090081	etesmin dAyUdapi likhitavAn yathA, ato bhuktyAsanaM teSAm unmAthavad bhaviSyati| vA vaMzayantravad bAdhA daNDavad vA bhaviSyati||
2d0b0a0062	bhaviSyanti tathAndhAste netraiH pazyanti no yathA| vepathuH kaTidezasya teSAM nityaM bhaviSyati||
2d0b0b0094	patanArthaM te skhalitavanta iti vAcaM kimahaM vadAmi? tanna bhavatu kintu tAn udyoginaH karttuM teSAM patanAd itaradezIyalokaiH paritrANaM prAptaM|
