010000000a	Бытие
0d08140029	Елиенай, Цилфай, Елиил,
0d08150045	Адаия, Бераия и Шимраф - сыновья Шимея.
0d08160021	Ишпан, Евер, Елиил,
0d08170025	Авдон, Зихрий, Ханан,
0d08180029	Ханания, Елам, Антофия,
0d08190039	Ифдия и Фенуил - сыновья Шашака.
0d081a002f	Шамшерай, Шехария, Афалия,
0d081b004c	Иаарешия, Елия и Зихрий, сыновья Иерохама.
0d081c0077	Это главы поколений, в родах своих главные. Они жили в Иерусалиме.
0d081d0069	В Гаваоне жили: Иеил, отец Гаваонитян, - имя жены его Мааха,
0d081e0068	и сын его, первенец Авдон, за ним Цур, Кис, Ваал, Надав, Нер,
0d081f0031	Гедор, Ахио, Зехер и Миклоф.
0d082000a3	Миклоф родил Шимея. И они подле братьев своих жили в Иерусалиме, вместе с братьями своими.
0d08210099	Нер родил Киса; Кис родил Саула; Саул родил Иоанафана, Мелхисуя, Авинадава и Ешбаала.
