2800000006	Matayu
2c19090091	Fesito pakipala kuayeleha Akaayahudi, kakinkonya Paulo, “Bhuli, ghubha kala kughenda ku Yelusalemu ngati ngakutose akwo mu ulongolo ghwangu?”
2c190a00ef	Paulo kakinnyanga, pakiyanga “Hata hinu nnyima mu nlamula ghwa malaghilo ywakabhikitwe na Mutwa Nkulu ghwa Akaaloma, na bahala apa ndo pangunnogha kutoswa. Handa ghu mwene pa ghumanya nikiatendela ng'obhe uhokelo ghwohele kwa Akaayahudi.
2c190b00fa	Hinu handa nega ndenda uhakata ghwohele ghughunnogha kuhwegha, nyupa ng'obhe kulekekehwa toso ayi. Peni handa kahone hoto mu ngokeho yabhe kahone ywa kunngamuha kwa bhene. Nunguyupa lihamba lya kunng'egha mu njekakaya ya Mutwa Nkulu ghwa Akaaloma!”
2c190c00b3	Ndo Fesito pakayomoliti kuyobhela na atangatila bhake, ndo kakighomba, “Ghupala lihamba lya kughenda libalasa lya Mutwa Nkulu ghwa Akaaloma, hinu ghwaaghenda kwa Mutwa Nkulu.”
2c190d0061	Mbole ya manjubha gha mandina, mutwa Agilipa na Belinike bhakihika ku Kaisalia kunjambuha Fesito.
2c190e00c2	Kiyaha bhakipala kutama akwo Kaisalia kwa manjubha gha mandina, Fesito kakighombana na mutwa kwa kya ngokeho ya Paulo pakilongela, “Kabhegha mundu yumu apa ywakalekitwi na Felikisi mu kibhopo.
2c190f0086	Pameghiti akwo Yelusalemu, hilongohi bha andundame na aghohi bha Akaayahudi bhakinng'ombela mihalu yake na kunnyupa toso ya kya mwene.
2c191000dc	Peni nenga nikiayanga kukita yikinoghwa ng'obhe mu kitohe kya Akaaloma kunbhuha mundu kahyatulighwe kukali na kukongana kibhungi kwa hibhungi na bhala bhaankokilite, na kukamuhwa ng'ebhu ya kulipingikiha mu ngokeho yake.
2c19110096	Hinu pahikiti apa nikikabhabhila ng'obhe kilabho yake nikikema libalasa, na nikitama mu kiteho kyangu kya toso, na nikikwilikiha aywo mundu kagheghwe.
2c19120057	Paayimiti bhala bhaankokilite bhakilongela ng'obhe uhakata ghwohele ghunighuhwachiliti.
2c191300b2	Peni kukibhegha na mbingiko ya hwacho ya kya njila ya kuntundamila Chapanga na kwa kya mundu yumu ywakakemitwi Yesu ywakahweghite, peni Paulo kakilongela kukita kakali kangulama.
2c191400c4	Nikimanya ng'obhe ya kya kukamuha hoto ya nnando aghwo, kya habhu nikinkonya Paulo kukita handa kakipala kughenda ku Yelusalemu na kakakwonywe akwo ya kya ngokeho ayo kakatole akwo kwa mihalo ayo.
2c191500ac	Peni Paulo kakiyupa kakayihwe kwa Mutwa nkulu ghwa Akaaloma, na nenga nikikwilikiha kakakingikihwe na amachonda mbaka panhotola kunng'egha kwa Mutwa nkulu ghwa Akaaloma.”
2c19160083	Agilipa kakinng'ombela Fesito, “Nenga ningapalite kunnyihwa mundu aywo nimwene.” Fesito kakinnyanga, “Ghwannyihwa kilabho.”
2c191700d1	Habho kilabho yake Agilipa na Beliniki bhakihika kwa uyelelo mu ludami lwa kukonganila paakibhegha na akulu bha machonda na hilongohi bha kitami. Fesito kakikwilikiha kayingihwe Paulo muludamu lwa kukonganila,
2c191800d0	Mbole Fesito kakilongela, “Mutwa Agilipa na bhoha mummeghiti apa na twenga! Mu ulongolo ghwenu kabha mundu ywene Akaayahudi bhoha apa na akwo Yelusalemu bhakinkokela kukita yingunnogha ng'obhe kulama kangi.
2c191900d1	Peni nenga nikighubhona ng'obhe uhakata ghwohele mbaka kunoghwa toso ya kuhwegha. Peni kiyaha mwene Paulo kakiyupa lihamba lya kughenda ku libalasa lya Mutwa nkulu ghwa Akaaloma, nikilamula kunng'egha ku Loma.
2c191a00c7	Peni nenga megha ng'obhe na kilibhi kya kuntyekela Mutwa ghwetu nkulu kwa kya mundu ayu. Hinu nunng'egha mu ulongolo ghwakwo ghwenga Mutwa Agilipa, ngati kubhukana na ngonyo yakwo mokole kya kutyeka.
2c191b004b	Kiyaha yibha maha ng'obhe kunng'egha mmopwa kya nga kulaha ngokelo yake.”
2c1a010090	Hino Mutwa Agilipa kakinng'ombela Paulo, “Nungughutegheka kulipingikiha.” Apwo Paulo kakiayebheha kwa kibhoko kyake na kakilikingikiha abhu,
2c1a020096	“Mutwa Agilipa, nilibhona handa mundu yuna njuka kulikingikiha mu ulongolo ghwakwo kwa kya nongwa yangu hyoha yaakwokiliti Akaayahudi kwa kya nenga.
2c1a0300a9	Na kiyaha ghumwene ghungughamanya maha hitohe hyoha hya Akaayahudi na kiyaha ghwenga ghungumanya tela mihalo ya makingikano. Hinu nungukuyupa ghuyihwe kya ulimbililo.”
2c1a0400c0	“Akaayahudi bhoha bhangumanya ya kya bhuli nikilama kuhumila pameghite nu mwana, na kya bhuli nikitama munnima ghwangu kuhumila makachu mu nnima ghwanga akwo ku Yelusalemu kutandila kandahi.
2c1a0500c8	Bhangunmanya kwa manjubha matangalo na bhahotola kuyimiha handa paapala, kukita kuhumila makachu nikitama handa yumoo ywakalibhuhite munu mu njila ya Chapanga na nikibhegha mu kimati kya Akaafalisayu.
2c1a06006f	Na hinu mmegha apa ningutoswa lelo kwa kya kuhyubhalila yila ninganilo lyakalaghiliti Chapanga kwa atate bhetu.
2c1a0700d3	Naghilo ayo ndo makabila ghetu mbinda mabhoko yimo na ibhili gha nnima ghwetu, bhakilindila kuyibhona kunu paakintundaila Chapanga kwa kulitumba pamuhi na pakilo maalongo bhangu megha apa ngokelwa na Akaayahudi,
2c1a08005d	kiyaha niki mwenga mungubhona kukita Chapanga kanguhotola ng'obhe kubhahyuha bhaahweghite.”
2c1a090095	“Kya hoto nenga nikihyubhalila kukita yikingwilia kuyitenda mihalo mitangalo ya kulipingikiha Lihina lya Yesu ghwa Nasaleti kwa njila ywohele yila.
2c1a0a00e4	Mihalo ayo ndo yiniyitendite akwo ku Yelusalemu. Pangamuhitwe makakala kuhuma kwa Ndundame Nkulu nikiabhika mu kibhopo atangalo mu bhandu bha Chapanga. Nabho paatositwe kuhwegha nikibha yumoo bha bhandu bhaayikitilite bhakwomwe.
2c1a0b00de	Pipipi nikighenda mu hitutubhi hya kutundamila Akaayahudi mu mbande nhanganganiko na kuakwiliha bhaghukiluke uhyubhalilo ghwabhe. Na kiyaghabhu kyangu kwa bhene kikibha kikulu mbaka nikiapalaha kuhuma nnima mbaka nnima.”
2c1a0c008c	“Linjubha limu nikibha mu mwanja kughenda ku Dameski kya nningo aghwo aghwo, nikikamuhwa makakala na malaghilo kuhuma kwa andundame akulu.
2c1a0d00b3	Nhokamilwa, yikibha pamuhi kati, nikilibhona lubhwelu luung'anyimite munu kupitingana nkenge paliking'anyiha kya kunndindila papamu na bhala bhaabheghite na nenga mu mbande hyoha.
2c1a0e00da	Twabhoha tukighwegha pahi na nikiyihwa lilobhe pa likilongela na nenga kwa nongelo ya Kibulania, ‘Shauli Shauli, kiyaha niki ghungumbamanda? Ghungulighaha yaghi handa senga ywakaghututa nhimbati ghwa Bambo ghwake.’
2c1a0f0067	Ndo nenga nikikonya, ‘Ghwenga ndo ghani Bambo?’ Bambo kakinnyanga, ‘Nenga ndo Yesu yughumbamanda.
2c1a1000af	Peni hinu ghuyinuke ghuyime ghwima. Nighubwitukila ngati ngulibhike kala kya kundendela lihengo na kunnyimiha kwa kya nnando ghunughubhonihite na ghala gha mbala kughubhoneha.
2c1a11006e	Ndaghulopoha kuhuma kwa Akaayahudi ayako na bhandu bhaabheghite Akaayahudi ng'obhe kwene kumbala kughulaghila.
2c1a120103	Ghwabhamanyiha na kubhatangatila kuhuma mu lubhindu na kubhayingiha ku ubhwelo na kuhuma mu makakala gha Nchipila, bhampilukile Chapanga ngati amokole ulekekeho ghwa ulemwa na kutola ng'ebu mu bhala bhaaghululitwe kwa uhyubhalilo ghuubheghite kwa nenga.’”
2c1a13005b	“Kya habhu, Mutwa Agilipa, nikileka ng'obhe kughayitikila milando yakanangihiti Chapanga.
2c1a14010c	Ngati kalongohi nikilandamiha huti kwa bhandu bha ku Damesiki na kwa bhala bha ku Yelusalemu na ku nnima ghwoha ghwa ku Yudea na bhandu bhaabheghite ng'obhe Akaayahudi, kukita bhalipetule na bhantughile Chapanga na bhaliyimihe kwa kya ndendelo kukita bhalipetula hoto.
2c1a15006c	Kubhukana na nhalo aghu Akaayahudi bhakingamula pameghite mu Kitutubhi kya Chapanga, Na bhakiyigha kunngoma.
2c1a1600e7	Peni Chapanga kakindangatila, kya habhu mbaka lelo nyima apa kwa makakala panyimiha kwa bhoha, akulu na adokwa, kya nga kuyobhela kyohele ngati nga ghala ghene ghaalongilite mambuye bha Chapanga na Musa ghaalongilite ghaabwitukila,
2c1a1700db	kukita Kilisito yikinnogha kambamandwe na kukita ywombe kangabheghite ghwa ulongohi kuhyuka kuhuma kwa bhaahweghite, na kaalandamiha nhalo ghwa lubhwelo lwa bhandu bhake na kwa bhandu bhaabheghite ng'obhe Akaayahudi.”
2c1a1800b2	Paulo pakabheghite kangulikingikiha habhu, Fesito kakilongela kwa lilobhe likulu, “Ghwenga Paulo, ghubhegha na Nng'uluka! Kusoma kuuchwehiti kungughutenda ghubhe na lukwale!”
2c1a190094	Peni Paulo kakinnyanga, “Nenga megha na nng'uluka ng'obhe, ghwee nkulu Fesito, ngati nungukambuka malagho gha hoto na megha na mahala ghangu maha.
2c1a1a00f2	Ghwenga Mutwa Agilipa ghungumanya milando ayi, kya habhu nunghotola kulongela kya nga lyogha mu ulongolo ghwakwo. Megha na bhwaghalili ng'obhe kukita matendelo agho ghangumanyika kwa ghwenga, kiyaha nnando aghu ghukitendeka pa kihiho ng'obhe.
2c1a1b0050	Bhuli, Mutwa Agilipa ghungumanya mambuye? Nungumanya kukita ghunguhyubhalila!”
2c1a1c0070	Agilipa kakinng'ombela Paulo, “Bhuli, ghungunyegheleha kya kuyumbatika kya habhu ghupala meghe nu Nkilisto?”
2c1a1d00e1	Paulo kakinnyanga, “Payibhele kya kuyumbatika ebu chepa, nungunnyupa Chapanga, kwa ghwenga ghweka chakwo ng'obhe ngati na kwa bhala bhoha bhaanyihwa lelo bhubho, abheghe handa mumeghite nenga, peni kya nga minyololo ayi!”
2c1a1e0076	Apwo mutwa Agilipa, papamo na ntabhala ghwa kitami na Belinike na bhala bhaatamite papamo nabho, bhakiyima kya papamo,
2c1a1f0095	paabheghite mu kubhuka bhakighombana bhene kwa bhene, “Mundu ayu kakitenda ng'obhe kilibhi kyohele kya kunnogha kukomwa ebu kubhopwa ku kibhopo.”
2c1a20008f	Agilipa kakinng'ombela Fesito, “Mundu ayu kangahotolite kulekekehwa kya nga kuyupa nongwa yake yikayihwe na Kaisali Mutwa Nkulu ghwa Loma.”
2c1b0100d9	Payilamuliti kukita twaaghenda mbaka ku Italia, Paulo na mmopwa bhangi bhakibhikwa kwa makakala gha machonda yumu lihina lyake Juliasi, ywene kakibha machonda nhwadali ghwa kimati kikemitwe “kimati kya Agusitino.”
2c1b0200da	Tukihubhuka Meli yiihumite ku Adilamito nayo yiibheghite mumwanja ghwa kughenda mbande nhanganiko ku nnkoa ghwa Asia, tukiyanda mwanja, tukibhegha papamu na Alistaliko nkolannima ghwa ku Makedonia kuhuma ku Sesalonike.
2c1b03009d	Kilabho yake tukihika kambi ya ku Sidoni. Juliasi kakintendela gha maha Paulo, kakintegheka kaghende kwa aghanja bhake ngati bhampeghe hilibhi hyakahipalite.
2c1b0400b4	Kuhuma akwo tukighendelela na mwanja, peni kiyaha kukibha na liyegha palipula muno muulongolo ghwetu, tukibhetukila mbande ya ligunguli lya ku Kupulo kwene liyegha likibha lichoko.
2c1b05006e	Mbole tukiyomboka lihibha lya mbande ya ku Kilikia na ya ku Pamfulia, tukipaghika ku Mula kitami kya ku Lukia.
2c1b060066	Apwo yula machonda kakighubhona bhwato ghwa ku Alekisandlia paghughenda ku Italia, kakitukweleha amwo.
2c1b070117	Tukityanga kwa manjubha matangalo tukityanga mbolembole, na kwa mapungwo, pauhiko tukihika ugheghela na ku Nido. Kiyaha likusi likibha likali palukitupingika, mbaka tukihotola ng'obhe kukinda ughololeho ghutughuhwachiliti, tukikindila ugheghela ya ku Klete mbande ya ku Salimone.
2c1b080061	Tukikinda kwa kupungwa na tukihika mu ng'ebu yimo kambi ya maha ugheghela na kitami kya ku Lasea.
2c1b0900c2	Tukibha mu mwanja mu manjubha matangalo na kiyaha mbole ya manjubha gha kulikunga lihibha litimbhukagha habhu yikibha uhakata kwa twenga kughendelela na mwanja. Ndo Paulo kakiakinya pakilongela.
2c1b0a00a3	“Mabambo, nungubhona kukita mwanja aghu ghwabhegha na mapungwo na ghuhobheho utangalo, kwa mihigho na Meli bhubho ng'obhe, ngati na kwa ulami ghwetu hilahila.”
2c1b0b007c	Peni yula machonda nkulu kakighapughana ghakalongelite Paulo na kakihutika muno kuyuhwa ghakalongelite baalia na nkola meli.
2c1b0c014b	Kiyaha kambi yila yikibha yamaha ng'obhe kutama pa nndaluko ghwa malili, bhandu atangalo bhakinoghelwa bhaghendelele na mwanja, bhakihwachila bhahike ku Foinike na bhatame akwo. Foinike ndo kambi yibheghite ku Kilete yinakughendelela mbande ya kusi ya maghalibi na kasi maghalibi, na akwo bhangahotolite kutama manjubha gha malili.
2c1b0d00c9	Hino, likusi lya kupughwa palitandilite kupula kuhuma ku kusi, bhakihwachila kukita bhahotola nningo ghwabhe, habhu bhakiyandiha mwanja, na kukinda mubhweghabhwegha ya mbwani ya ligunguli lya ku Klete.
2c1b0e0077	Peni kya masaa gha mandina, liyegha likulu liikemitweghe “Eulakilo” Likiyanda kupula kuhuma ku kigunguli kya Klete.
2c1b0f0088	Liyegha likulu lukighuyuka meli, na kiyaha tukihotola ng'obhe kulikanikiha liyegha, ndo tukiyileka meli yitolwe kulighenda lila liyegha.
2c1b1000b1	Kigunguli kimo kiikemitwe Kauda kikitukingiha kachoko na lila likusi, na tukikindila ku kusi mwa kila kigunguli, tukihotola kwa kulimba kughupaghika ghula bhwato na kughulopoha.
2c1b110121	Bhala mabahalia bhakighuhuta bhwato nkati ya meli mbole bhakighukwatalila meli kwa ngoyi na kuyibhopa kwa makakala. Bhakiyoghopa kughomelwa mu nhanga ghwa ugheghela na mbwani ya Libia. Habhu bhakihuluha nanga ngati kutangatila meli yityange mbole mbole pakiileka meli yigheghwe na liyegha.
2c1b12005a	Liyegha likighendelela kupula na kilabho yake bhakiyanda kutagha panji mihigho ya mu meli.
2c1b130059	Linjubha lya ndandu, bhene kwa mabhoko ghabhe bhakihitagha hilibhi hya mu meli mulihibha.
2c1b14008b	Mumanjubha matangalo tukighubhona ng'obhe nkenge ebu ndondwa, liyegha likighendelela kupula muno, mbaka tukidumuka mwoyo ghwa kulama kangi.
2c1b1500f5	Mbole ya bhandu kutama kya nga kulyegha mu manjubha matangalo, Paulo kakiyima pankati ya bhombe pakilongela, “Mabhandu mwenga, yikianogha kunyihwa na kughuleka mwanja kuhuma ku Kilete, ndo nge tuhepetukite mbyupila ayi na uhobheho aghu ghwoha.
2c1b16008d	Hinu nunguayupa, mmeghe na mwoyo nkulu, kiyaha kahone yumoo mu mwenga ywakapala kuhobheha ulami ghwake, ngati yadibala nga meli ghweka chake.
2c1b170068	Nenga ndo mundu ghwa Chapanga kangi ndo nndumitumi ghwake, lelo pakilo nndumitumi ghwake kakinbwitukila,
2c1b1800fd	Naywo kakilongela, ‘Paulo, ghukotoke kuyoghopa, yingukunogha mbaka ghuyime muulongolo ghwa Mutwa Nkulu ghwa Akaaloma, kangi ghumanye kukita bhoha bhaabheghite mu mwanja papamu na ghwenga Chapangaka kataalopoha kwa ghumaha ghwake na kwa kya ghwenga.’
2c1b19007b	Kya habhu, mabhandu mwenga, mulipeghe mwoyo, kiyaha nungunhyubhalila Chapanga kukita yabhegha handa bhula pakanng'ombelite.
2c1b1a003e	Peni hata habhu meli yetu yaaghomehwa mukiigunguli kyoheli.”
2c1b1b00cc	Palihikite linjubha lya kumi na ncheche pakilo, patubheghite tukali tungutakulwa na likusi mu lihibha lya Adilia, ugheghela na uhiku kati, Alongoha meli bhakihwachila kukita tukiheghelela ku nnima nnyumu.
2c1b1c00ca	Habhu bhakipala kumanya njulwa ya machi gha lihibha, na kubhona pakibha na utali ghwa pima mbinda mabhoko ncheche. Mbole ya kughendelela pamandina bhakitenda kangi bhakimokola mita mbinda mabhoko ndatu.
2c1b1d009d	Bhakiyoghopa kukita bhwato ghwetu ghungalitutiti mu litalabha, bhakihuluha ngwamiho ncheche unyuma ghwa meli yikotoke kutyanga, bhakiyupa kucheghe kanongola.
2c1b1e00ba	Alongoha meli bhakipala kunyelembuka, na bhakibha kala ghula bhwato nchoko ghwa kulopohela bhandu mumachi, bhakilihwangila kukita bhangughenda kuhuluha ngwamiho hya kuulongolo ghwa meli.
2c1b1f0090	Peni Paulo kakinng'ombela yula machonda nkulu na machonda ayake, “Handa bhandu abha bhaahighala ng'obhe mu meli agho, maalepelwa kulopohwa,”
2c1b200066	Ndo bhala machonda bhakidumula ngoyi hikamulilite ghula bhwato ndokwa, bhakighuleka ghutolwe na machi.
2c1b2100b4	Pakali na kuchegha, Paulo kakiayupa bhandu bhoha alyeghe hilyo, “Lelo ndo linjubha lya mbinda mabhoko yimo na ncheche mmegha mughunyenyema kya nga kulyegha, mulyegha nga kyoheli.
2c1b22008f	Kya habhu nunguandakila nlyeghe hilyo, mana kyabhatanga nhotole kulama. Kiyaha kahone na yumoo mu nkati yenu ywa kuhwegha ebu kubhangalilwa.”
2c1b23008a	Mbole ya kulongela malagho agho, Paulo kakitola lingate, kakinnumba Chapanga muulongolo ghwabhe bhoha, kakighumegha na kakiyanda kulyegha.
2c1b240039	Apwo bhoha bhakimokola makakala, nabho bhakilyegha hilyo.
2c1b250044	Mu bhwato tukibhegha bhandu mbinda mabhoko kumi ibhili na saba sita.
2c1b260064	Mbole ya kulyegha na kuyukuta bhakitagha ngano hyoha ku libhibha ngati kubhika maha utopo ghwa meli.
2c1b2700b1	Paghucheghite Alongoha meli bhakighumanya ng'obhe ghula nnima, peni bhakibhona kimbwela kya nhanga kya maha kwa kiyomboko, bhakilamula bhapaghike meli akwo handa yingahotolitwe.
2c1b2800f4	Kya habhu bhakidumula ngoyi hya meli na bhakilekekeha ghwamiho bhakichumbukiha mu lihibha na bhakihoghoyeha ngoyi ya kilongoha bhwato mbole bhakiliyinula lipinda lichoko ngali lighukingikihe liyegha na kughughegha bhwato kughulongolo mu mbwani.
2c1b2900d0	Peni tukihika pa ngongano mbili ya mahibha, na meli yikighomelwa, mbande ya ulongolo yikighomelwa mumahughulu gha nhanga, mbande unyuma ya meli yikiyanda kumetuka pechepeche kwa kya kututwa na liyegha likulu.
2c1b2a0081	Bhala machonda bhakihwachila kuakoma mmopwa ngati apingikihe hata yumu mu bhombe kakotoke kuhumba na kuhughilila na kunyelembuka.
2c1b2b00e0	Hinu, yula machonda nkulu kakipala kughulamiha ulami ghwa Paulo, kakiakanikiha machonda ayake bhakotoke kutenda nnando aghwo, kakiakwilikiha bhala bhaamanyite kuhughilila ahumbe kubhuka mu meli na kughugilila mbaka ku uyumu.
2c1b2c00b4	Bhaahighilalite bhangahotolite kuyomboka kumwambo kwa kukamulila hagha na hipalamande ya bhwato, Apwo ndo bhoha tukihotola kuyumboka kuhika kumwambo maha handa pakalongelite Paulo.
2c1c01005b	Mbole ya kuhika maha munnima nnyumu, ndo tukimanya kukita kigunguli kila kingukemwa Malita.
2c1c020089	Akolannima ghwa kigunguli kila bhakibha na upalo ghwa maha. Bhakikwata mwoto na kutukema bhoha kiyaha yikituta hula na kukibha na malili.
2c1c0300a8	Paulo kakilokota nhigho ghwa hanjo na kukolekeha mu mwoto kwa kya kuyotela, na kubhukana na mbyupila liyoka lunalusungu likighwimuka na kulibhilingiha mu kibhoko kyake.
2c1c0400e4	Bhala akolannima bha kigungula kila pabhalibhonite lila liyoka paakilemelela mu kibhoko kya Paulo, bhakighombana, “Mundu ayu kankoma mundu, hata pakalopokite kubhuka mulihibha, chapanga ghwetu kangummuyihila uhakata ghwake.”
2c1c05004e	Peni Paulo kakimpumundila yula liyoka mu mwoto hangi mwene kakitebhala ng'obhe
2c1c0600ec	Bhandu bhakibha bhangulolekeha pangi kaatupa na kughwegha pahi na kuhwegha. Peni mbole ya kulindila munu kya nga kubhona kabwitukilwa na nnando ghwohele nhakata bhakighalambula hwacho yabhe na kulongela kukita, “Yombe ndo chapanga.”
2c1c0700c4	Paugheghela na pang'ebu yila pakibhegha na mighunda mikulu ya kilongohi ghwa kigunguli akyo kaakemitwe Pubilo. Kakitukingama ku lubhagha lwake na kakitulela kwa utekulo nkulu kwa manjubha mandatu.
2c1c0800cc	Hinu, tate ghwake Publio kakighonja paulili, kakilwala nhehemela ghwa lupweka lwa mwahi. Paulo kakighenda kunnola na kakinyupila kwa Chapanga, kakinyabhikila mabhoko unane mwa yula ntamwa, na kakinlamiha.
2c1c090070	Nnando aghu paghubwitukite, bhandu bhoha bha kigunguli kila bhaabheghite na atamwa bhakihika nabho bhakilamihwa.
2c1c0a0081	Bhandu bhakituhokamila muno, na patubheghite kala kuyandiha kangi mwanja, bhakighegha mu meli hilibhi hyoha hituhipalite mu meli.
2c1c0b00d2	Mbole ya myehi mindatu tukiyanda kangi mwanja kukindila mu njila ya lihibha kwa meli yimo ya ku Alekisandlia giikemitwe “Machapanga pacha.” Meli aywo yikiyima pa ligunguli akyo mu nndaluko ghoha ghwa malili
2c1c0c0046	Tukihika ku kitami kya Silakusa na tukitama apwo kwa manjubha mandatu.
2c1c0d007d	Kubhuka akwo tukighenda mbaka ku Legio kilabho yake likusi lya kusi ghukiyanda likipula, na kilabho yake tukihika ku Puteoli.
2c1c0e009c	Akwo tukiabhona alongo bhaanhyubhalilite Kilisito, bhakitukingama na kutuyupa tutame nabho kwa manjubha saba na Mbole tukiyendelela na mwanja mbaka ku Loma.
2c1c0f00e7	Alongo bhaanhyubhalilite Kilisito kula ku Loma paayihwite mihalo yetu, bhakihika kutukingama ku ligulio lya Apio na kwingi kuukemiteghwe mu hitutubhi mindatu hya ahenja. Paulo pakaabhoniti kakinnumba Chapanga, kakitengelehwa mwoyo.
2c1c100064	Patuhikite ku Loma Paulo kakilekekehwa Katame ghweka chake papamu na machonda yumu ywa kunkingikiha.
2c1c110128	Mbole ya manjubha mandatu Paulo kakiakema papamu hilongohi bha Akaayahudi. Paakwemukiti kala kakiaghombela, “Maalongo bhangu nenga hata naha nikitenda ng'obhe kyohele kihakataho ebu kya kupingika hitohe hya aghohi bhetu, peni nikikamulwa kula ku Yelusalemu na kubhikwa mu makakala gha Akaaloma.
2c1c12008a	Na bhombe paayomoliti kunngonya bhakipala kumopolela, kiyaha bhakibhona ng'obhe uhokelo ghwoheli ghunighutendite ghuunoghela toso ya kiho.
2c1c1300cc	Peni Akaayahudi bhangi bhakipingikiha ngotoke kulekekehwa nikilepelwa kya kutenda habhu nikiyupa hike kwa Mutwa Nkulu ghwa Akaaloma, hata panikibhele na kilibhi kyohele kya kukokela kwa kya nnima ghwangu.
2c1c14009e	Hino kwa kya mihalo ayi nubhayupa nhike apa na munnole na kuyobhela na mwenga, kiyaha mopwa minyololo ayi kubhukana na uhyubhalilo ghula ghwa Akaaisilaeli.”
2c1c1500b5	Bhombe bhakinng'ombela, “Twenga tunakamuhwa ng'obhe lihamba lyoheli kuhuma ku Yudea, ebu kahone nnongo ywohele ywakahikite apa kulongela nnando nhakataho ghwohele ghwa kya ghwenga
2c1c1600a0	Peni tungapaliti kuyihwa kuhuma kwa ghwenga lighulihwacha kiyaha tungumanya mbande hyoha bhandu bhanguyobhela mahakataho kwa kya kimatu kya bhandu bha njila.”
2c1c170141	Hino pakalinganite linjubha lya kukongana nayo, bhandu atangalo bhakihika akwo pakabheghite kangulama. Naywo Paulo kakiaghombela na kulandamiha ya kya Ghubhutwa ghwa Chapanga pakiyigha kuhumila malabhila mbaka makimuhi kakialubhulila na kubhafwambulila mihalo ya Yesu kubhuka ku malaghilo gha Musa na kubhuka kwa Mambuye.
2c1c18005a	Amoo bhabhe bhakihyubhalila kwa ghala ghakalongelite, peni bhangi bhakihyubhalila ng'obhe.
2c1c1900eb	Hino bhakilingana malobhe ng'obhe ghwa hwacho nkati yabhe. Paabheghite mu kubhuka Paulo kakikambuka nnando ghumu, “Nhuki ywa Chapanga kakiaghombela hoto na tate bhenu pakalongelite kwa ngulo ya mbuye ghwa Chapanga ywakakemitwe Isaya!
2c1c1a0090	Kakilongela, ‘Ghughende kwa bhandu abha ghukaaghombele, Kulyaghila maayihwa peni maamanya ng'obhe. Kya hoto maalolekeha peni maabhona ng'obhe,
2c1c1b011a	kiyaha myoyo ya bhandu abha yibhegha na unonopo, na makutu ghabhe ghana utopo ghwa kuyihwa, na ahumbata meho ghabhe. Hela bhubho bhangabhonite kwa meho ghabhe na kuyihwa kwa makutu ghabhe na kumanya kwa myoyo yabhe Na kubhuya kwa nenga kalongela Chapanga. Na kualamiha bhombe.’”
2c1c1c00ba	Na mbole Paulo kakiyomolela pakilongela, “Hino na imanyikane kwa mwenga kukita aghu ulopohi ghwa Chapanga ghugheghwa kwa bhandu bhaabheghite ng'obhe Akaayahudi nabho bhangughuyihwa.”
2c1c1d0075	Paulo pakayomolite kughakambuka malagho agho, bhala Akaayahudi bhakibhuka paakikonyekehana matangalo bhene kwa bhene.
2c1c1e006e	Mu ngungwa ibhili hyoha Paulo kakitama akwo mu nyumba yakakisumulite. Na kakiakingama bhoha bhaahikite kummona
2c1c1f008d	Kakilandamiha mihalo ya Ghubhutwa ghwa Chapanga na kuyihunda mihalo ya Bambo Yesu Kilisito kwa ukangamalo nkulu kya nga kukanikihwa na mundu.
2d00000008	Akaaloma
2d0101008e	Nenga Paulo, nndumitumi ghwa Kilisito Yesu, na nndumila yunuhaghulitwe na kukemwa kwa kya kubhalandamiha bhandu Nhalo ghwa Maha ghwa Chapanga.
2d0102007a	Kutandila pamakachu apo, Chapanga kakialagha bhandu Nhalo aghu ghwa Maha kukindila akaambuye bhake mu matyeko mang'anyimo.
2d01030086	Nhalo ghwa Maha ghungunninga Mwana ghwa Chapanga, Bambo ghwetu Yesu Kilisito, ywene mu umundu ghwake kakibha ghwa kibheleko kya Daudi,
2d0104008f	kwa makakala gha Nhuki ghwa Chapanga kakibhonehwa kwa makakala makulu kukita ndo Mwana ghwa Chapanga kwa uhyuko ghwake kuhuma kwa bhaahweghite.
2d0105009a	Kwa kukindila Yesu, Chapanga kambegha umaha na undumila ngati nubhakeme bhandu bha milima yoha bhamokole kughuhyubhalila na kughuyitikila Nhalo ghwa Maha,
2d01060049	na mwenga bhubho Makaaloma, munkemitwe mmeghe bhandu bhake Yesu Kilisito.
2d010700e4	Hino, nunguatyekela mabhoha mummeghite ku kitami kya Loma bhene Chapanga kanguapala, na kakiahaghula mmeghe bhandu bhake. Nunguayupila kwa Chapanga Tate ghwetu na kwa Bambo ghwetu Yesu Kilisito ngati nkingame umaha na uhihimilo.
2d010800a8	Kukali huti kwa ghoha, nungunnumba Chapanga ghwangu kwa kukindila kwa Yesu Kilisito kwa kya mabhoha mwenga, kiyaha bhandu bhoha bha munnima bhayihwa uhyubhalilo ghwenu.
2d010900a5	Chapanga ywene yununtumikila kwa mwoyo ghwangu ghwoha mu kulandamiha Nhalo ghwa Maha ghwa Mwana ghwake, ndo nnyimiho ghwangu kukita nungubhakulughwa mumayupo ghangu.
2d010a0050	Manjubha ghoha nungunnyupa Chapanga handa pakapala kandende hike kubhatangatila,
2d010b006e	Nungupala muno kubhatyangila na mokole kubhatangatila mu mihalo ya uhyubhalilo ghwenu ngati mmeghe ngingilima.
