0100000006	Genezo
1742150044	Kaj el ili Mi prenos al Mi pastrojn kaj Levidojn, diras la Eternulo.
1742160083	Ĉar kiel la nova ĉielo kaj la nova tero, kiujn Mi kreos, staros antaŭ Mi, diras la Eternulo, tiel staros via idaro kaj via nomo.
1742170073	Kaj regule en ĉiu monatkomenco kaj en ĉiu sabato venos ĉiu karno, por adorkliniĝi antaŭ Mi, diras la Eternulo.
17421800b4	Kaj ili eliros kaj vidos la kadavrojn de la homoj, kiuj malbonagis kontraŭ Mi; ĉar ilia vermo ne mortos kaj ilia fajro ne estingiĝos, kaj ili estos abomenindaĵo por ĉiu karno.
1800000007	Jeremia
1801010063	Paroloj de Jeremia, filo de Ĥilkija, el la pastroj, kiuj estis en Anatot, en la lando de Benjamen;
1801020080	al kiu aperis la vorto de la Eternulo en la tempo de Joŝija, filo de Amon, reĝo de Judujo, en la dek-tria jaro de lia reĝado,
18010300cf	kaj poste en la tempo de Jehojakim, filo de Joŝija, reĝo de Judujo, ĝis la fino de la dek-unua jaro de Cidkija, filo de Joŝija, reĝo de Judujo, ĝis la forkonduko de la Jerusalemanoj en la kvina monato.
180104002e	Aperis al mi la vorto de la Eternulo, dirante:
180105008f	Antaŭ ol Mi formis vin en la utero, Mi vin konis, kaj antaŭ ol vi eliris el la ventro, Mi vin sanktigis, Mi faris vin profeto por la popoloj.
1801060052	Mi diris: Ho ve, Sinjoro, ho Eternulo! mi ne povoscias paroli, ĉar mi estas juna.
1801070085	Sed la Eternulo diris al mi: Ne diru, ke vi estas juna; sed ĉien, kien Mi sendos vin, iru, kaj ĉion, kion Mi ordonos al vi, parolu.
1801080044	Ne timu ilin; ĉar Mi estas kun vi, por savi vin, diras la Eternulo.
1801090086	Kaj la Eternulo etendis Sian manon kaj ektuŝis mian buŝon, kaj la Eternulo diris al mi: Jen Mi enmetis Miajn vortojn en vian buŝon.
18010a0085	Vidu, Mi starigas vin hodiaŭ super la popoloj kaj super la regnoj, por elŝiri, rompi, pereigi, kaj detrui, por konstrui kaj planti.
18010b0078	Kaj aperis al mi la vorto de la Eternulo, dirante: Kion vi vidas, Jeremia? Kaj mi diris: Mi vidas bastonon maldormantan.
18010c005e	Kaj la Eternulo diris al mi: Vi vidis bone; ĉar Mi maldormos pri Mia vorto, por plenumi ĝin.
18010d0091	Kaj duafoje aperis al mi la vorto de la Eternulo, dirante: Kion vi vidas? Kaj mi diris: Mi vidas flame bolantan poton, kaj ĝi rigardas de norde.
18010e005c	Kaj la Eternulo diris al mi: De norde venos la malfeliĉo sur ĉiujn loĝantojn de la lando.
18010f00d3	Ĉar jen Mi alvokos ĉiujn gentojn de la nordaj regnoj, diras la Eternulo, kaj ili venos kaj starigos ĉiu sian tronon antaŭ la pordegoj de Jerusalem kaj ĉirkaŭ ĝiaj muregoj kaj antaŭ ĉiuj urboj de Judujo.
18011000ae	Kaj Mi eldiros Mian verdikton pri ili pro ĉiuj iliaj malbonagoj, pro tio, ke ili forlasis Min kaj incensis al aliaj dioj kaj adorkliniĝis antaŭ la faritaĵo de siaj manoj.
180111008b	Kaj vi zonu viajn lumbojn, leviĝu, kaj diru al ili ĉion, kion Mi ordonas al vi; ne tremu antaŭ ili, por ke Mi ne tremigu vin antaŭ ili.
18011200cc	Jen Mi faras vin hodiaŭ fortikigita urbo, fera kolono, kaj kupraj muroj en la tuta lando, kontraŭ la reĝoj de Judujo, kontraŭ ĝiaj princoj, kontraŭ ĝiaj pastroj, kaj kontraŭ la popolo de la lando.
1801130062	Ili batalos kontraŭ vi, sed ne venkos vin; ĉar Mi estas kun vi, diras la Eternulo, por savi vin.
1802010032	Kaj aperis al mi la vorto de la Eternulo, dirante:
18020200c5	Iru kaj prediku al la oreloj de Jerusalem, dirante: Tiele diras la Eternulo: Mi memoras la piecon de via juneco, la amon de via fianĉineco, kiam vi sekvis Min en la dezerto, en lando ne prisemita.
1802030094	Izrael tiam estis sanktaĵo de la Eternulo, Lia unua frukto; ĉiuj, kiuj manĝis ĝin, estis kondamnitaj, malbono venis sur ilin, diras la Eternulo.
180204005d	Aŭskultu la vorton de la Eternulo, ho domo de Jakob kaj ĉiuj familioj de la domo de Izrael.
1802050089	Tiele diras la Eternulo: Kian maljustaĵon viaj patroj trovis en Mi, ke ili malproksimiĝis de Mi kaj sekvis vantaĵon kaj mem vantiĝis?
18020600dd	Kaj ili ne diris: Kie estas la Eternulo, kiu elkondukis nin el la Egipta lando, kiu kondukis nin tra dezerto, tra lando de stepoj kaj kavoj, tra lando seka kaj malluma, tra lando, kiun neniu trapasis kaj kie neniu loĝis?
18020700ae	Kaj Mi venigis vin en landon fruktodonan, por ke vi manĝu ĝiajn fruktojn kaj bonaĵojn; sed vi venis kaj malpurigis Mian landon, kaj Mian heredaĵon vi faris abomenindaĵo.
180208009f	La pastroj ne diris: Kie estas la Eternulo? la leĝokompetentuloj ne atentis Min, la paŝtistoj perfidis Min, la profetoj profetis per Baal kaj sekvis idolojn.
1802090063	Pro tio Mi ankoraŭ procesos kun vi, diras la Eternulo, kaj kun la filoj de viaj filoj Mi procesos.
18020a0087	Ĉar iru sur la insulojn de la Kitidoj kaj rigardu, sendu al la Kedaridoj kaj esploru bone kaj rigardu, ĉu tie estas farita io simila.
18020b006d	Ĉu ia popolo ŝanĝis siajn diojn, kvankam ili ne estas dioj? sed Mia popolo ŝanĝis sian gloron je idoloj.
18020c0053	Miregu pri tio, ho ĉielo, sentu teruron kaj forte konsterniĝu, diras la Eternulo.
18020d0094	Ĉar du malbonagojn faris Mia popolo: Min ili forlasis, la fonton de viva akvo, por elhaki al si putojn, truhavajn putojn, kiuj ne povas teni akvon.
18020e0058	Ĉu Izrael estas sklavo, aŭ ĉu li estas infano de la domo? kial li fariĝis rabitaĵo?
18020f0084	Kontraŭ li blekegis leonidoj, forte kriis, kaj ili faris lian landon dezerto; liaj urboj estas bruligitaj, kaj neniu loĝas en ili.
180210003c	Eĉ la filoj de Nof kaj de Taĥpanĥes frakasis vian verton.
1802110073	Vi jam mem tion faris al vi, ĉar vi forlasis la Eternulon, vian Dion, en la tempo, kiam Li gvidis vin sur la vojo.
18021200a1	Kaj nun por kio vi bezonas la vojon al Egiptujo? ĉu por trinki la akvon de Nilo? Kaj por kio vi bezonas la vojon al Asirio? ĉu por trinki la akvon de Eŭfrato?
18021300df	Via malboneco vin punos, kaj viaj malbonagoj faros al vi riproĉojn, por ke vi sciu kaj vidu, kiel malbone kaj maldolĉe estas, ke vi forlasis la Eternulon, vian Dion, kaj ne timas Min, diras la Sinjoro, la Eternulo Cebaot.
18021400be	Ĉar antaŭ longe vi rompis vian jugon kaj disŝiris viajn ŝnurojn, kaj vi diris: Mi ne plu malbonagos; tamen sur ĉiu alta loko kaj sub ĉiu verda arbo vi kuŝigis vin kiel malĉastistino.
1802150085	Mi plantis vin kiel bonegan vinberbranĉon, portontan plej ĝustajn fruktojn; kiel do vi ŝanĝiĝis ĉe Mi je vinberbranĉo sovaĝa?
1802160087	Se vi eĉ lavus vin per natro kaj uzus por vi multe da sapo, via malvirto tamen restos makula antaŭ Mi, diras la Sinjoro, la Eternulo.
18021700aa	Kiel vi povas diri: Mi ne malpurigis min, mi ne sekvis Baalojn? rigardu vian agadon en la valo, pripensu, kion vi faris, juna kamelino rapidpieda, petolanta sur sia vojo.
18021800bc	Kiu povas reteni sovaĝan azeninon, alkutimiĝintan al la dezerto, kiam ĝi sopiregas de sia volupta celado? ĉiuj, kiuj ĝin serĉas, ne bezonas laciĝi, en la sama stato ili ĝin trovos.
1802190084	Detenu viajn piedojn de nudeco kaj vian gorĝon de soifo. Sed vi diras: Ne, mi ne volas, ĉar mi amas fremdulojn kaj mi sekvos ilin.
18021a0098	Kiel ŝtelinto hontas, kiam oni lin trovas, tiel estas hontigita la domo de Izrael, ili, iliaj reĝoj, iliaj princoj, iliaj pastroj, kaj iliaj profetoj,
18021b00b5	kiuj diras al ligno: Vi estas mia patro; kaj al ŝtono: Vi min naskis. Ili turnis al Mi la nukon, ne la vizaĝon; sed en la tempo de sia malfeliĉo ili diras: Leviĝu, kaj savu nin.
18021c00a5	Kie do estas viaj dioj, kiujn vi faris al vi? ili leviĝu, se ili povas vin savi en la tempo de via malfeliĉo; ĉar kiom da urboj, tiom da dioj vi havas, ho Jehuda.
18021d0048	Kial vi volas disputi kun Mi? vi ĉiuj defalis de Mi, diras la Eternulo.
18021e0079	Vane Mi frapis viajn infanojn, ili ne akceptis la moralinstruon; via glavo ekstermis viajn profetojn, kiel furioza leono.
18021f00a8	Ho generacio, atentu la vorton de la Eternulo! Ĉu Mi estis por Izrael dezerto aŭ lando malluma? Kial do Mia popolo diras: Ni mem estas sinjoroj, ni ne plu iros al Vi?
180220007d	Ĉu virgulino forgesas sian ornamon, aŭ fianĉino sian ĉirkaŭligon? sed Mia popolo Min forgesis jam de tempo nekalkulebla.
1802210051	Kiel vi beligas vian vojon, por serĉi amon! al agoj malbonaj vi ja alkutimiĝis.
180222007b	Eĉ sur viaj baskoj oni trovas sangon de malriĉuloj, senkulpuloj; ne en foskavoj Mi tion trovis, sed sur ĉiuj tiuj lokoj.
180223007d	Vi diras: Mi estas senkulpa, Lia kolero deturnu sin de mi. Sed Mi postulos juĝon inter ni pro tio, ke vi diras: Mi ne pekis.
1802240082	Kiel malestiminda vi fariĝis, ŝanĝante vian vojon! De Egiptujo vi estos tiel same hontigita, kiel vi estas hontigita de Asirio.
1802250077	Ankaŭ el tie vi eliros kun la manoj sur la kapo, ĉar la Eternulo forpuŝis viajn esperojn kaj vi ne sukcesos kun ili.
18030100f7	Oni diras: Se viro forigas sian edzinon, kaj ŝi foriras de li kaj edziniĝas kun alia viro, ĉu li tiam povas reveni al ŝi denove? ĉu ne malpuriĝus per tio tiu lando? Kaj vi malĉastis kun multaj amantoj; tamen revenu al Mi, diras la Eternulo.
18030200bb	Levu viajn okulojn al la altaĵoj, kaj rigardu; kie vi ne adultis? Ĉe la vojoj vi sidis por ili, kiel Arabo en la dezerto, kaj vi malpurigis la landon per via malĉastado kaj malbonagoj.
1803030083	Pro tio estas retenitaj la pluvoj, kaj la printempa pluvo ne aperis; sed vi havas frunton de malĉastistino, vi ne plu volas honti.
180304003c	Tamen vi kriis al Mi: Mia patro, Vi, gvidinto de mia juneco!
180305007a	ĉu Vi koleros eterne kaj konservos la koleron por ĉiam? Tiel vi parolas, kaj tamen vi faras malbonon kaj kontraŭstaras.
18030600b5	La Eternulo diris al mi en la tempo de la reĝo Joŝija: Ĉu vi vidis, kion faris la defalinta Izrael? ŝi iris sur ĉiun altan monton kaj sub ĉiun verdan arbon kaj tie malĉastis.
1803070081	Kaj post kiam ŝi faris ĉion ĉi tion, Mi diris: Revenu al Mi; sed ŝi ne revenis. Kaj tion vidis ŝia perfidema fratino Judujo.
18030800c1	Mi vidis ĉiujn adultaĵojn de la defalinta Izrael, kaj Mi forpelis ŝin kaj donis al ŝi eksedzigan leteron; tamen ne ektimis ŝia perfidema fratino Judujo, sed ŝi iris kaj ankaŭ malĉastis.
1803090062	Kaj de la bruo de ŝia malĉastado malpuriĝis la lando, kaj ŝi adultis kun ŝtono kaj kun ligno.
18030a0079	Kaj malgraŭ ĉio ŝia perfidema fratino Judujo revenis al Mi ne per sia tuta koro, sed nur hipokrite, diras la Eternulo.
18030b0062	Kaj la Eternulo diris al mi: La defalinta Izrael estas piulino en komparo kun la perfidema Judujo.
18030c00c9	Iru, kaj proklamu ĉi tiujn vortojn norden, kaj diru: Revenu, defalinta Izrael, diras la Eternulo; Mi ne forturnos de vi Mian vizaĝon, ĉar Mi estas kompatema, diras la Eternulo, Mi ne koleros eterne.
18030d00a5	Nur konfesu vian kulpon, ke vi pekis kontraŭ la Eternulo, via Dio, kaj kuradis al aliaj sub ĉiun verdan arbon, kaj Mian voĉon vi ne aŭskultis, diras la Eternulo.
18030e0098	Revenu, defalintaj infanoj, diras la Eternulo, ĉar Mi estas via sinjoro, kaj Mi prenos vin po unu el urbo kaj po du el tribo kaj venigos vin en Cionon.
18030f0056	Kaj Mi donos al vi paŝtistojn laŭ Mia koro, kiuj paŝtos vin kun sciado kaj saĝeco.
18031000eb	Kaj kiam vi kreskos kaj multiĝos en la lando en tiu tempo, diras la Eternulo, oni ne plu parolos pri la kesto de interligo de la Eternulo; ĝi ne venos en la koron, oni ne rememoros ĝin, oni ne serĉos ĝin, oni ne faros ĝin denove.
18031100b8	En tiu tempo oni nomos Jerusalemon trono de la Eternulo, kaj tie kolektiĝos ĉiuj popoloj en la nomo de la Eternulo, en Jerusalem, kaj ili ne plu sekvos la logojn de sia malbona koro.
1803120099	En tiu tempo la domo de Jehuda iros al la domo de Izrael, kaj ili kune iros el la norda lando en la landon, kiun Mi donis kiel heredaĵon al viaj patroj.
18031300ca	Mi diris: Kiamaniere Mi alkalkulos vin al la filoj, kaj donos al vi la ĉarman landon, la plej belan heredaĵon inter multe da popoloj? Kaj Mi diris: Vi nomos Min patro, kaj vi ne fordeturnos vin de Mi.
1803140067	Sed kiel virino, kiu perfidis sian amanton, tiel vi perfidis Min, ho domo de Izrael, diras la Eternulo.
180315008d	Voĉo estas aŭdata sur la altaĵoj, plenda plorado de la filoj de Izrael, ĉar ili malvirtigis sian vojon, forgesis la Eternulon, sian Dion.
180316006e	Revenu, defalintaj infanoj; Mi resanigos vian defalon. Jen ni venis al Vi, ĉar Vi estas la Eternulo, nia Dio.
1803170070	Vere, mensogo estis en la altaĵoj, en la multo da montoj; nur en la Eternulo, nia Dio, estas la savo de Izrael.
180318008a	La hontindaĵo formanĝis la penadon de niaj patroj de post nia juneco: iliajn ŝafojn, iliajn bovojn, iliajn filojn, kaj iliajn filinojn.
18031900d8	Ni kuŝu en nia abomenindaĵo, kaj nia hontindaĵo nin kovru; ĉar kontraŭ la Eternulo, nia Dio, ni pekis, ni kaj niaj patroj, de nia juneco ĝis la nuna tago, kaj ni ne aŭskultis la voĉon de la Eternulo, nia Dio.
18040100a2	Se vi volas rekonverti vin, ho Izrael, diras la Eternulo, rekonvertu vin al Mi; kaj se vi forigos viajn abomenindaĵojn de antaŭ Mia vizaĝo, kaj ne plu vagados,
1804020084	kaj se vi en vero, bonordo, kaj pieco ĵuros: Kiel la Eternulo vivas, tiam ankaŭ la popoloj benos sin per Li kaj gloros sin per Li.
180403007f	Ĉar tiele diras la Eternulo al la viroj de Judujo kaj al Jerusalem: Plugu al vi novan plugokampon, kaj ne semu inter dornaĵo.
18040400d6	Cirkumcidu vin al la Eternulo kaj forigu la prepucion de via koro, ho viroj de Judujo kaj loĝantoj de Jerusalem, por ke Mia kolero ne eliru kiel fajro kaj ne brulu pro viaj malbonagoj tiel, ke neniu ĝin estingos.
180405009e	Proklamu en Judujo, aŭdigu en Jerusalem, prediku kaj trumpetu en la lando; voku per plena voĉo, kaj diru: Kolektiĝu, kaj ni iru en la fortikigitajn urbojn.
1804060061	Levu standardon en Cion, kuru, ne haltu; ĉar malfeliĉon Mi venigas de nordo kaj grandan pereon.
18040700ae	Leono leviĝas el sia densejo, kaj pereiganto de popoloj elmoviĝas kaj eliras el sia loko, por fari vian landon dezerto; viaj urboj estos detruitaj, kaj neniu loĝos en ili.
1804080065	Pro tio zonu vin per sakaĵo, ploru kaj ĝemu, ĉar la flama kolero de la Eternulo ne foriĝas de ni.
1804090091	En tiu tago, diras la Eternulo, senviviĝos la koro de la reĝo kaj la koro de la princoj, konsterniĝos la pastroj, kaj la profetoj konfuziĝos.
18040a009d	Kaj mi diris: Ho Sinjoro, ho Eternulo! ĉu Vi erarigis ĉi tiun popolon kaj Jerusalemon, dirinte: Vi havos pacon — kaj dume la glavo atingis jam la animon?
18040b00af	En tiu tempo oni diros al tiu popolo kaj al Jerusalem: Seka vento de la altaĵoj en la dezerto venas sur la vojon de la filino de Mia popolo, ne por ventumi kaj ne por purigi;
18040c004e	vento pli forta ol ili venos al Mi; tiam Mi diros Mian verdikton kontraŭ ili.
18040d008c	Jen ĝi leviĝas kiel nuboj, kaj ĝiaj ĉaroj estas kiel ventegoj, ĝiaj ĉevaloj estas pli rapidaj ol agloj; ve al ni! ni estos ruinigitaj.
18040e006c	Lavu de la malbono vian koron, ho Jerusalem, por ke vi saviĝu; ĝis kiam loĝos en vi viaj malbonaj pensoj?
18040f004a	Venas voko el la regiono de Dan, kaj malbona sciigo de la monto de Efraim:
180410008a	Sciigu al la popoloj, aŭdigu pri Jerusalem, ke sieĝontoj venas el lando malproksima kaj sonigas sian voĉon kontraŭ la urboj de Judujo.
1804110059	Kiel kampogardistoj ili ĉirkaŭas ĝin, ĉar ĝi ribelis kontraŭ Mi, diras la Eternulo.
180412007c	Via konduto kaj viaj faroj kaŭzis tion al vi, tiu via malboneco, ĉar ĝi estas maldolĉa, ĉar ĝi penetris ĝis via koro.
1804130092	Mia internaĵo, mia internaĵo min doloras, batas mia koro, mi ne povas silenti; ĉar vi, mia animo, aŭdis sonon de korno, trumpetadon de batalo.
1804140088	Estas proklamata malfeliĉo post malfeliĉo, ĉar la tuta lando estas ruinigata, subite estas detruataj miaj domoj, momente miaj tendoj.
1804150041	Kiel longe ankoraŭ mi vidos standardon, aŭdos sonadon de korno?
18041600a6	Ĉar Mia popolo estas freneza, Min ili ne rekonas; ili estas malsaĝaj infanoj, ili ne komprenas; saĝaj ili estas por fari malbonon, sed fari bonon ili ne povoscias.
1804170064	Mi rigardas la teron, kaj jen ĝi estas malplena kaj dezerta; la ĉielon, kaj jen ĝi estas senluma.
1804180047	Mi rigardas la montojn — ili tremas, kaj ĉiuj montetoj ŝanceliĝas.
180419004e	Mi rigardas — troviĝas neniu homo, kaj ĉiuj birdoj de la ĉielo disflugis.
18041a0087	Mi rigardas — la fruktoriĉa lando fariĝis dezerto, kaj ĉiuj ĝiaj urboj estas detruitaj de la Eternulo, de la flamo de Lia kolero.
18041b0060	Ĉar tiele diras la Eternulo: Dezertigita estos la tuta lando, sed plenan ekstermon Mi ne faros.
18041c0081	Pro tio la tero ploros kaj la ĉielo supre malĝojos; ĉar Mi eldiris Mian decidon, kaj Mi ne bedaŭras, kaj Mi ne reprenos ĝin.
18041d00a5	Pro la bruo de la rajdantoj kaj pafantoj forkuras la tuta urbo; oni kuras en densajn arbarojn, grimpas sur rokojn; ĉiuj urboj malpleniĝis, kaj neniu en ili loĝas.
18041e00d7	Kaj vi, dezertigita, kion vi faros? Eĉ se vi metos sur vin purpuron, se vi ornamos vin per oraj ornamoj, se vi ruĝe kolorigos vian vizaĝon, vi ornamos vin vane: viaj amantoj vin malestimos, ili volos vin mortigi.
18041f00d5	Ĉar Mi aŭdas krion kiel de naskantino, ĝemegadon kiel de virino naskanta la unuan infanon, krion de la filino de Cion; ŝi ĝemas, kaj etendas siajn manojn: Ho ve al mi! ĉar mia animo pereas de la mortigantoj.
18050100a9	Trairu la stratojn de Jerusalem kaj rigardu, esploru kaj serĉu sur ĝiaj palacoj, ĉu vi trovos homon, kiu agas juste, kiu serĉas la veron — tiam Mi pardonos al ĝi.
1805020049	Eĉ se ili diras: Mi ĵuras per la Eternulo — ili tamen ĵuras mensoge.
18050300e4	Ho Eternulo, Viaj okuloj rigardas ja la fidelecon; Vi batas ilin, sed ili ne sentas doloron; Vi preskaŭ pereigas ilin, sed ili ne volas preni moralinstruon; sian vizaĝon ili faris pli malmola ol roko, ili ne volas konvertiĝi.
1805040075	Mi diris al mi: Eble ili estas malriĉuloj, malkleruloj, ili ne konas la vojon de la Eternulo, la leĝojn de sia Dio;
18050500b1	mi iros al la eminentuloj, kaj mi parolos kun ili: ili ja konas la vojon de la Eternulo, la leĝojn de sia Dio; sed ankaŭ ili ĉiuj kune rompis la jugon, disŝiris la ŝnurojn.
18050600df	Pro tio mortigos ilin leono el la arbaro, lupo el la stepo ilin prirabos, leopardo atendos ilin apud iliaj urboj; ĉiu, kiu eliros el tie, estos disŝirata. Ĉar multaj fariĝis iliaj krimoj, fortaj fariĝis iliaj perfidoj.
180507008f	Kiel Mi tion pardonus al vi? viaj filoj Min forlasis kaj ĵuris per ne-dioj. Mi ĵurigis ilin, sed ili adultas kaj iras amase en malĉastejojn.
1805080059	Ili fariĝis kiel voluptemaj pasiaj ĉevaloj; ĉiu blekas al la edzino de sia proksimulo.
1805090061	Ĉu Mi povas ne puni pro tio? diras la Eternulo; kaj ĉu al tia popolo Mia animo povas ne venĝi?
18050a007c	Iru sur ĝiajn muregojn kaj detruu ilin, tamen ne tute ekstermu; forigu ĝiajn branĉojn, ĉar ne por la Eternulo ili estas.
18050b0053	Ĉar forte perfidis Min la domo de Izrael kaj la domo de Jehuda, diras la Eternulo.
18050c0084	Ili neis la ekzistadon de la Eternulo, kaj diris: Li ne ekzistas, kaj ne venos sur nin malbono, kaj glavon kaj malsaton ni ne vidos.
18050d005b	Kaj la profetoj estas kiel vento, ne troviĝas en ili la vorto de Dio; tiel fariĝu al ili.
18050e00c1	Pro tio tiele diras la Eternulo, Dio Cebaot: Pro tio, ke vi parolas tiajn vortojn, jen Mi metos Miajn vortojn en vian buŝon kiel fajron, kaj ĉi tiu popolo estos kiel ligno, kiun ĝi konsumos.
18050f00c6	Jen Mi venigos sur vin, sur la domon de Izrael, popolon de malproksime, diras la Eternulo, popolon fortan, popolon antikvan, popolon, kies lingvon vi ne scias; kaj vi ne komprenos, kion ĝi parolas.
1805100040	Ĝia sagujo estas kiel malfermita tombo; ĉiuj ili estas herooj.
18051100ed	Ĝi formanĝos vian rikolton kaj vian panon, ekstermos viajn filojn kaj viajn filinojn, formanĝos viajn ŝafojn kaj viajn bovojn, formanĝos viajn vinberojn kaj viajn figojn, detruos per glavo viajn fortikigitajn urbojn, kiujn vi fidas.
1805120041	Sed eĉ en tiu tempo, diras la Eternulo, Mi ne pereigos vin tute.
18051300de	Kaj kiam oni demandos: Pro kio la Eternulo, nia Dio, faras al ni ĉion ĉi tion? tiam diru al ili: Kiel vi forlasis Min kaj servas al fremdaj dioj en via lando, tiel vi servos al fremduloj en lando, kiu ne apartenas al vi.
180514003f	Anoncu tion en la domo de Jakob kaj aŭdigu en Judujo, dirante:
1805150072	Aŭskultu ĉi tion, ho popolo malsaĝa kaj senkora, kiu havas okulojn, sed ne vidas, havas orelojn, sed ne aŭdas.
18051600f7	Ĉu vi ne timas Min? diras la Eternulo; ĉu vi ne tremas antaŭ Mi, kiu faris sablon limo por la maro, aranĝo eterna, kiun ĝi ne transpaŝas? kiom ajn ĝi skuiĝas, ĝi nenion povas fari; kiom ajn bruas ĝiaj ondoj, ili ne povas ĝin transpaŝi.
1805170050	Sed ĉi tiu popolo havas koron defaleman kaj neobeeman, ili defalis kaj foriris.
18051800bd	Kaj ili ne diris en sia koro: Ni timu la Eternulon, nian Dion, kiu donas al ni pluvon frusezonan kaj malfrusezonan en ĝia tempo, kiu gardas por ni la semajnojn, destinitajn por la rikolto.
1805190046	Viaj malbonagoj tion forklinis, kaj viaj pekoj forigis de vi la bonon.
18051a0071	Ĉar inter Mia popolo troviĝas malvirtuloj, kiuj faras insidojn, starigas pereigajn kaptilojn, kaptas la homojn.
18051b007a	Kiel birdejo estas plena de birdoj, tiel iliaj domoj estas plenaj de trompakiraĵoj; tial ili fariĝis grandaj kaj riĉaj.
18051c00a7	Ili fariĝis grasaj, ili fariĝis dikaj; ili faris malbonajn agojn; juĝon ili ne faras, juĝon pri orfo, sed ili ĝuas la vivon; justecon al malriĉuloj ili ne faras.
18051d005b	Ĉu Mi povas lasi tion sen puno? diras la Eternulo; ĉu al tia popolo Mia animo ne venĝos?
18051e002d	Io konsterna kaj terura fariĝis en la lando:
18051f0081	la profetoj profetas malveraĵon, kaj la pastroj regas per ili; kaj al mia popolo tio plaĉas. Kaj kion vi faros en la estonteco?
18060100a3	Kuru rapide, ho filoj de Benjamen, el Jerusalem, kaj en Tekoa sonigu la trumpeton kaj super Bet-Kerem faru signalon; ĉar de nordo aperas malbono kaj granda pereo.
180602003c	Al bela kaj delikata virino Mi similigis la filinon de Cion.
180603006c	Al ŝi venos paŝtistoj kun siaj brutaroj, ĉirkaŭ ŝi ili starigos tendojn, kaj ĉiu paŝtos sur sia loko.
1806040081	Aranĝu militon kontraŭ ŝi; leviĝu, ni iru en tagmezo. Ho ve al ni! ĉar baldaŭ vesperiĝos, etendiĝas la ombroj de vespero.
1806050035	Leviĝu, ni iru nokte, kaj ni detruu ŝiajn palacojn.
18060600a3	Ĉar tiele diras la Eternulo Cebaot: Haku ŝiajn arbojn kaj aranĝu remparon ĉirkaŭ Jerusalem; ĉi tiun urbon oni devas puni, ĝi estas tute plena de malbonagoj.
18060700a1	Kiel fonto elfluigas sian akvon, tiel ĝi elfluigas el si malbonon; nur perforteco kaj rabado estas aŭdataj en ĝi, antaŭ Mi estas ĉiam turmentado kaj batado.
180608006e	Prudentiĝu, ho Jerusalem, por ke ne foriĝu de vi Mia animo, por ke Mi ne faru vin dezerto, lando ne loĝata.
18060900ad	Tiele diras la Eternulo Cebaot: Oni kolektu la restaĵon de Izrael kiel restaĵon de vinberoj; eltiru kaj retiru vian manon, kiel ŝirkolektanto de vinberoj super la korboj.
18060a00b3	Kun kiu Mi parolu, kiun Mi admonu, ke oni Min aŭskultu? ilia orelo ne estas cirkumcidita, kaj ili ne povas aŭdi. Jen la vorton de la Eternulo ili malŝatas; ili ne deziras ĝin.
18060b00e4	Tial Mi pleniĝis de kolero de la Eternulo, Mi ne plu povas toleri; elverŝu ĝin sur la infanojn sur la strato kaj sur la interkonsiliĝon de la junuloj; kiel viro, tiel ankaŭ virino estos kaptita, maljunulo kaj profundaĝulo.
18060c008f	Iliaj domoj transiros al aliuloj, ankaŭ la kampoj kaj la edzinoj; ĉar Mi etendos Mian manon sur la loĝantojn de la lando, diras la Eternulo.
18060d0080	Ĉar ĉiuj, de la malgrandaj ĝis la grandaj, estas profitavidaj; kaj de la profetoj ĝis la pastroj ĉiuj faras malhonestaĵon.
18060e007d	Kaj la vundojn de Mia popolo ili kuracas per facilanimigo, dirante, ke ĉio estas en bona stato, kvankam ne estas bona stato.
18060f00bc	Ĉu ili hontas, ke ili faras abomenindaĵon? ili tute ne hontas, ili eĉ ne povoscias ruĝiĝi; tial ili falos inter la falantoj, ili renversiĝos, kiam Mi vizitos ilin, diras la Eternulo.
18061000c3	Tiele diras la Eternulo: Stariĝu sur la vojoj kaj rigardu, kaj demandu pri la vojoj antikvaj, kia estas la bona vojo, kaj iru laŭ ĝi kaj trovu ripozon por via animo. Sed ili diris: Ni ne iros.
180611006d	Kaj Mi starigis gardistojn super vi, dirante: Atentu la sonadon de la trumpeto. Sed ili diris: Ni ne atentos.
1806120045	Tial aŭdu, ho popoloj, kaj sciu, ho komunumoj, kio fariĝas ĉe ili.
18061300a1	Aŭskultu, ho tero! jen Mi venigas malfeliĉon sur ĉi tiun popolon, frukton de iliaj pensoj; ĉar ili ne atentis Miajn vortojn, kaj Mian instruon ili forpuŝis.
18061400ad	Por kio Mi bezonas la olibanon venantan el Ŝeba, kaj la bonodoran kanon el malproksima lando? viaj bruloferoj ne plaĉas al Mi, kaj viaj buĉoferoj ne estas agrablaj al Mi.
1806150097	Tial tiele diras la Eternulo: Jen Mi metos antaŭ ĉi tiu popolo falpuŝilon, kaj sur ĝi falpuŝiĝos kune patroj kaj filoj, najbaro kaj amiko pereos.
180616006c	Tiele diras la Eternulo: Jen venos popolo el norda lando, kaj granda nacio leviĝos de la randoj de la tero.
18061700c1	Pafarkon kaj lancon ili tenas forte; kruelaj ili estas kaj senkompataj; ilia voĉo bruas kiel maro; sur ĉevaloj ili rajdas, armite por la batalo kiel unu homo, kontraŭ vin, ho filino de Cion.
180618005e	Kiam ni aŭdis pri ili, malleviĝis niaj manoj, teruro kaj doloro nin atakis kiel naskantinon.
