2800000007	Mataayo
2c02220095	Daudi umwene ataatiirirɨ mwisaarʉ, nawe akabhuga, ‘Ʉmʉkʉrʉ Mungu akabhʉʉrɨra Ʉmʉkʉrʉ waanɨ, “Ikara ʉrʉbhaara rwanɨ rwu ubhuryʉ,
2c02230052	kuhika hanʉ nɨkʉtʉʉra abhabhisa bhaazʉ iyaasɨ wa amagʉrʉ gaazʉ.”’”
2c022400bc	Peetero akamariirya kʉgamba, “Ereenderwa Abhiiziraɨri bhʉʉsi momenye amaheene kʉbha, Yɨɨsu wuyo mwanyaakiryɨ mʉkamwita, newe Mungu akʉrirɨ kʉbha Ʉmʉkʉrʉ na Kiriisitʉ!”
2c022500ba	Hanʉ abhaatʉ bhayo bhiigwirɨ amangʼana gayo, gakabhasikɨra mumyʉyʉ jabhʉ. Bhakabhuurya Peetero na abhatumwa abhakɨndichazɨ kʉbha, “Bhahiiri bhɨɨtʉ, nangʉ tokorebhwɨ?”
2c022600d8	Peetero akabhagarukirya, “Bhʉʉsibhu mutigɨ ʉbhʉbhɨ bhwanyu na mʉbhatiizwɨ kuriina rya Yɨɨsu Kiriisitʉ, korereke mobheererwe ʉbhʉbhɨ bhwanyu na niimwɨ mʉrasʉngʼaana ʉmʉbhanʉ gwe Ekoro Ɨndɨndu.
2c022700c2	Ʉbhʉragɨ bhʉnʉ ni igʉrʉ waanyu na abhaana bhaanyu, kʉbhaatʉ bhʉʉsi bhanʉ bharɨ mubhyarʉ ɨbhɨndɨ, bhʉʉsi bhayo Ʉmʉkʉrʉ Mungu arabhabhɨrɨkɨra bhabhɨ abhaatʉ bhaazɨ.”
2c02280097	Peetero akangʼeha kʉbhʉʉrɨra abhaatʉ bhayo amangʼana maaru na kʉbhahama, arabhuga, “Mwituuryɨ murwɨ murwibhʉrʉ rwʉ ʉbhʉbhɨ rʉnʉ!”
2c0229008f	Abhaatʉ bhɨkwɨ bhɨtatʉ bhakiisirirya amangʼana ga Peetero, bhakabhatiizwa, bhakagwatana na abhahɨmba abhandɨ bha Yɨɨsu urusikʉ ruyo.
2c022a0090	Abhahɨmba bha Yɨɨsu bhakakongʼera kwɨga amiija ga abhatumwa bha Yɨɨsu, bhakagwatana hamwɨmwɨ, kusunyura ʉmʉkaatɨ na kosengera Mungu.
2c022b0095	Abhatumwa bhayo bhaarɨ bharakora amateemo ni ibhyɨrɨkɨnʼyʉ bhyaru, kuhika abhaatʉ bhʉʉsi bhakasikirwa nʉ ʉrʉhaho nu ubhusuuku bhwa Mungu.
2c022c006a	Abhiisirirya bhʉʉsi bhaarɨ nu ubhumwɨmwɨ, bhakasangɨra na kwihaana ebhegero bhyabhʉ kʉbhʉsɨɨgi.
2c022d008f	Bhaarɨ bharagurya emenyo ne ebhegero bhyabhʉ, zimpirya zɨnʉ bhaarɨ bhakobhona, bharazesondya kʉrɨngʼaana nu ubhwɨndi bhwʉ ʉmʉʉtʉ.
2c022e0093	Zisikʉ zʉʉsi, bhaarɨ bharahunana hamwɨmwɨ mwihekaaru. Bhaarɨ bhararya ibhyakurya zinyumba zʉʉsi kwa kozomerwa hamwɨmwɨ ne ekoro nzɨrʉ,
2c022f0095	ɨnʉ bharakumya Mungu nʉ ʉkʉsɨɨgwa na abhaatʉ bhʉʉsi. Kɨrakabhu Ʉmʉkʉrʉ akangʼeha kutuurya abhandɨ, abhiisirirya bhakoongera kwaruha.
2c0301006c	Rusikʉ rʉmwɨ zɨɨsa kenda umwise, ribhaga ryo okosengera, Peetero na Yoohana bhaarɨ bharaja mwihekaaru.
2c0302013d	Mwihekaaru hayo, chareho ikishoko kɨnʉ kikubhirikirwa Ikisikʉ Ɨkɨzʉmu. Rusizʉ wi ikishoko kiyo, aarɨ areho omorema wa kwɨma ubhwibhurwa bhwazɨ. Sikʉ zʉʉsi aarɨ aragegwa na abhaatʉ na kutuurwa haguhɨ ni ikishoko kiyo, korereke asabhɨ ikimweso kʉbhaatʉ bhanʉ bhaarɨ bharahɨta kusikɨra mwihekaaru.
2c03030079	Hanʉ ʉmʉʉtʉ wuyo aabharʉʉzɨ Peetero na Yoohana bharɨ haguhɨ kusikɨra mwihekaaru, akabhasabha bhamohe ikimweso.
2c03040065	Peetero na Yoohana bhakamorora bhʉkʉngʼu, akʉmara Peetero akamʉbhʉʉrɨra, “Torore iitwɨ!”
2c03050047	Akabharora, ɨnʉ aarɨ ararɨnda arɨɨbhɨ bhane ekegero cho okomoha.
2c030600bd	Nawe Peetero akamʉbhʉʉrɨra, “Nɨtaana mpirya nʉʉrʉ ɨzahaabhu, nawe ekegero kɨnʉ nɨnachʉ necho nekokoha, kuriina rya Yɨɨsu Kiriisitʉ Ʉmʉnazarɨɨti, imɨɨrɨra ogende!”
2c0307007c	Peetero akagwata ʉmʉʉtʉ wurya okobhoko ku ubhuryʉ, akamwimiirirya. Rogendo rʉmwɨ ɨbhɨtʉgʉrʉ bhɨkabhona zinguru.
2c0308009c	Akabhururuka, akiimɨɨrɨra, akatanga kogenda umwene, akasikɨra mwihekaaru hamwɨmwɨ na Peetero na Yoohana, ɨnʉ arabhururukabhururuka na kukumya Mungu.
2c0309003c	Abhaatʉ bhʉʉsi bhakamorora aragenda ɨnʉ arakumya Mungu.
2c030a00a7	Bhakamomenya kʉbha newe wurya ahiikara kuKisikʉ Ɨkɨzʉmu cha rihekaaru, kʉsabha ikimweso. Bhʉʉsi bhakarʉgʉʉra bhʉkʉngʼu, kʉmangʼana ganʉ gaamubhwɨnɨ.
2c030b00cb	Hanʉ aarɨ akuhirana na Peetero na Yoohana, abhaatʉ bhʉʉsi bhakabharyarɨra ɨnʉ bharuguurirɨ, kuhika ahagero hanʉ Peetero na Yoohana bhaarɨ. Ahagero hayo hakabhirikirwa Rigoobhe rya Sɨrɨmaani.
2c030c0124	Hanʉ Peetero aarʉʉzɨ abhaatʉ bhiibhiringirɨ, akabhabhʉʉrɨra, “Imwɨ Abhiiziraɨri, kwakɨ amangʼana gayo garabhatangarya? Ndora mʉratomogorera, kina ʉmʉʉtʉ wʉnʉ ahʉriibhwɨ kʉbhʉnaja bhwɨtʉ itubheene, hamwɨ kʉbhʉrɨndu bhwɨtʉ tʉkʉrirɨ ʉmʉʉtʉ wʉnʉ agende?
2c030d00f3	Mungu wa Abhurahaamu, Iisaka na Yaakobho, newe Mungu wa bhasʉʉkʉrʉ, agungiryɨ Yɨɨsu omohocha waazɨ newe imwɨ mwamʉtɨɨrɨ mʉmabhoko ga abhakangati, na kumwanga mʉbhʉtangɨ bhwa Piraato, nangabha Piraato akeenda amutigʉrʉkɨrɨ!
2c030e0050	Mʉkamwanga ʉmʉrɨndu na we eheene, mʉkasabha Piraato abhatazʉrɨrɨ umwiti.
2c030f0098	Mʉkamwita Yɨɨsu wʉnʉ akoha abhaatʉ ʉbhʉhʉru, nawe Mungu akamuryʉra kurwa mʉbhaku! Na niitwɨ nɨ‑bhamɨnyɨɨkɨrɨri bhu ukuryʉka kwazɨ.
2c031000db	Ʉmʉʉtʉ wʉnʉ mokorora hanʉ mumwɨzɨ, umwene ahʉriibhwɨ kʉbhʉnaja bhwi iriina rya Yɨɨsu nu ubhwisirirya bhwi iriina riyo, bhɨmʉhɨɨrɨ zinguru na bhɨmʉhɨɨrɨ ʉbhʉhʉru bhʉnʉ mʉbhʉtangɨ bhwanyu.
2c03110099	“Nangʉ abhahiiri bhɨɨtʉ, gʉʉsi ganʉ mwakʉrɨɨrɨ Yɨɨsu, imwɨ na abhakʉrʉ bhaanyu, nɨmɨnyirɨ kʉbha, mʉkagakora kʉ ʉkʉtama komenya.
2c031200a9	Nawe gakakorebhwa, korereke Mungu amarɨ amangʼana ganʉ aaragɨɨnʼyɨ kʉhɨtɨra kʉbharʉʉtɨrɨri bhaazɨ bhʉʉsi kʉbha, Kiriisitʉ waazɨ araaza anyaakibhwɨ.
2c03130089	Nangʉ mutigɨ ʉbhʉbhɨ bhwanyu mwichʉrɨrɨ Mungu korereke abhabheerere, rɨbhɨhʉ ribhaga ryo obhozomerwa kʉ kʉbhaho Ʉmʉkʉrʉ,
2c03140077	korereke atʉmɨ Yɨɨsu kwa niimwɨ. Ewe newe Kiriisitʉ, Ʉmʉsabhuri wʉnʉ Mungu iitʉʉrirɨ kwɨma mʉbhʉtangɨ.
2c031500bd	Ereenderwa Yɨɨsu asaagɨ mwisaarʉ, kuhika ribhaga rɨnʉ Mungu araakore ebhegero bhyʉsi bhuhya, chɨmbu Mungu aabhugirɨ kwɨma ɨkarɨ kʉhɨtɨra abharʉʉtɨrɨri bhaazɨ abharɨndu.
2c031600a5	“Musa akabhuga, ‘Mʉbhahiiri bhaanyu, Ʉmʉkʉrʉ Mungu waanyu ariimiirirya ʉmʉrʉʉtɨrɨri ncha niinyɨ. Mumwitegeerere kʉganʉ gʉʉsi araabhabhʉʉrɨrɨ.
2c03170088	Ʉmʉʉtʉ wʉwʉʉsi wʉnʉ arɨɨtamɨ kwigwa ʉmʉrʉʉtɨrɨri wuyo, araahurwa kemerano kurwa mʉbharɨndu bha Mungu na kurichwa.’
2c03180081	“Abharʉʉtɨrɨri bhʉʉsi, kwɨma kwa Samwɨri na abhandɨ bhanʉ bhaamutunirɨ, bhakaraganʼya amangʼana ga zisikʉ zɨnʉ.
2c031900f4	Imwɨ mʉbhɨɨrɨ abhaana bha abharʉʉtɨrɨri, na bhʉ ʉbhʉragɨ bhʉnʉ Mungu aakʉrirɨ na bhawʉsʉʉkʉrʉ. Mungu akaraganʼya Abhurahaamu kʉbha, ‘Kurwibhʉrʉ rwazʉ, abhaatʉ bhɨ ɨbhɨgambʉ bhyʉsi bharahaabhwa ʉrʉbhangʉ.’
2c031a00a9	Hanʉ Mungu aamarirɨ kuryʉra Yɨɨsu omohocha waazɨ, akamʉtʉma kwa niimwɨ, korereke abhahɨ ʉrʉbhangʉ na abhaatʉ bhʉʉsi bhataanɨ nʉ ʉbhʉbhɨ bhwabhʉ.”
2c040100bb	Hanʉ Peetero na Yoohana bhaarɨ bhakɨɨrɨ bharabharaganʼya abhaatʉ bharya ɨngʼana ya Mungu, abhakuhaani na abhariibhi bha rihekaaru na Abhasadukaayo bhanʉ bhaarɨ hayo, bhakahika.
2c040200ba	Abhakʉrʉ bhayo bhakiigatana bhʉkʉngʼu, kʉ kʉbha Peetero na Yoohana bhaarɨ bhariija abhaatʉ na kʉbharwazɨra kʉbha, kʉrɨngʼaana nu ukuryʉka kwa Yɨɨsu, abhaku bhararyʉka.
2c0403006a	Bhakagwata Peetero na Yoohana, bhakatuurwa mokebhoho kuhika tabhʉʉri waho, kʉ kʉbha yaarɨ rigoroobha.
2c0404009b	Nawe abhaaru bhanʉ bhiigwirɨ amangʼana ga Peetero na Yoohana bhakiisirirya, ne endengo ya abhasubhɨ abheene bhaarɨ bhariisemera ɨbhɨkwɨ bhɨtaanʉ.
2c0405006c	Tabhʉʉri waho, abhakangati, abhakaruka na abhiija bhi imigirʉ, nebho bhiibhiringirɨ Yɨrusarɨɨmu hayo.
2c040600a0	Kwiribhita riyo, bhaarɨmu Anaasi wʉnʉ aarɨ kuhaani ʉmʉkʉrʉ, hamwɨmwɨ na Kayaafa, Yoohana, Arɨkizanda na abhandɨ bhanʉ bhaarɨ abhahiiri bha Anaasi.
2c040700b4	Bhakatʉmanʼya Peetero na Yoohana bhareetwe, bhakabhiimiirirya mʉbhʉtangɨ bhwabhʉ kuchandarʉ, bhakabhabhuurya, “Ganʉ mʉgakʉrirɨ kwa ngurukɨ na kuriina rya wɨɨwɨ?”
2c04080078	Hayo Peetero aarɨ izwirwɨ Ekoro Ɨndɨndu, akabhabhʉʉrɨra, “Abhakangati na abhakaruka bha abhaatʉ bha Iziraɨri,
2c0409006a	reero mʉratubhuurya igʉrʉ wa amangʼana amazʉmu ganʉ twakʉrɨɨrɨ omorema na chɨmbu aahʉriibhwɨ.
2c040a0123	Imwɨ na Abhiiziraɨri abhandɨ bhʉʉsi, nereenda emenyekanɨ kʉbha, ʉmʉʉtʉ wʉnʉ ariimɨɨrɨra mʉbhʉtangɨ bhwanyu reero, nɨ‑mʉhʉru kʉbhʉnaja bhwi iriina rya Yɨɨsu Kiriisitʉ wa Nazarɨɨti. Newe wʉnʉ imwɨ mwitirɨ kʉmʉsarabha, nawe Mungu akamuryʉra kurwa mʉbhaku.
2c040b009b	Wʉnʉ newe Amaandɨkʉ Amarɨndu garagamba igʉrʉ waazɨ, ‘Riibhwɨ rɨnʉ abhʉʉmbaki mwangirɨ, neryo rɨbhɨɨrɨ riibhwɨ rikʉrʉ rya rusizʉ.’
2c040c00a7	Bhʉtareeho bhutuurya kurwa kwa wʉndɨ wʉwʉʉsi, kʉ kʉbha rɨtareeho iriina ɨrɨndɨ mʉʉsɨ mʉnʉ ryʉ ʉbhʉnaja bhu ukututuurya itwɨ kʉhɨtɨra kwaryo!”
2c040d0100	Abhakʉrʉ bhayo bhaaza korora kʉbha, Peetero na Yoohana bhagambirɨ kwa bhʉkararu, no okomenya kʉbha bhayo, nɨ‑bhaatʉ bhanʉ bhaarɨ bhataasʉmirɨ, bhakarʉgʉʉra bhʉkʉngʼu. Bhakoobhoora kʉbha Peetero na Yoohana bhaarɨ hamwɨmwɨ na Yɨɨsu.
2c040e00a3	Abhakʉrʉ bhayo bhataarɨ ni‑ngʼana ryʉryʉsi ryʉ ʉkʉgamba, kʉ kʉbha bhakarora umusubhɨ wʉnʉ ahʉriibhwɨ imiiriirɨ hamwɨmwɨ na Peetero na Yoohana.
2c040f0066	Bhakabhaswaja Peetero na Yoohana bhahʉrʉkɨ muchandarʉ murya. Ebho bhakasaaga bharagambana abheene,
2c041000ad	bharabhuga, “Tokorebhwɨ na abhaatʉ bhanʉ? Abhiikari bhʉʉsi bha Yɨrusarɨɨmu hanʉ, bhɨɨzɨ kʉbha bhakʉrirɨ ikitiika ɨkɨkʉrʉ kɨnʉ tʉtakʉtʉra kʉchanga.
2c04110085	Kuriribhɨra ringʼana rɨnʉ rɨtasanza kʉbhaatʉ, tʉbhareche bhatigɨ kʉgambana nʉ ʉmʉʉtʉ wʉwʉʉsi igʉrʉ wa Yɨɨsu.”
2c0412009f	Akʉmara abhakʉrʉ bhayo bhakabhabhɨrɨkɨra naatu muchandarʉ Peetero na Yoohana. Bhakabhahama kwa bhʉhaari, bhatiija nʉʉrʉ kʉgamba naatu kuriina riyo.
2c041300b1	Nawe Peetero na Yoohana bhakabhagarukirya, “Mʉrarora imubheene, arɨɨbhɨ nɨ‑bhwaheene mʉbhʉtangɨ bhwa Mungu, kubhiitegeerera imwɨ kʉkɨra kwitegeerera Mungu umwene.
2c0414005f	Nawe itwɨ tʉtakʉtʉra kutiga kʉgamba igʉrʉ wa amangʼana ganʉ twarʉʉzɨ nu ukwigwa!”
2c041500ec	Hanʉ abhakʉrʉ bhayo bhaamarirɨ kʉbhakanga Peetero na Yoohana kwa bhʉhaari, bhakabhatigʉrʉkɨra. Bhataabhwɨnɨ nzɨra yʉ ʉkʉbhatema, kʉ kʉbha abhaatʉ bhʉʉsi bhaarɨ bharakumya Mungu bhʉkʉngʼu igʉrʉ wi ikitiika kiyo.
2c04160075	Ʉmʉʉtʉ wʉnʉ ahʉriibhwɨ, aarɨ morema kwɨma kwibhurwa kwazɨ ni imyaka jazɨ jarɨ gihitiiriirɨ merongo ene.
2c041700c6	Hanʉ Peetero na Yoohana bhaatigurukiirwɨ, bhakagarʉka kubhiisirirya abhakɨndichabhʉ. Bhakabhaha ikiina chʉsi kɨnʉ bhaabhuuriirwɨ na abhakʉrʉ bha abhakuhaani na abhakaruka bha Abhayaahudi.
2c041800cb	Hanʉ bhiigwirɨ amangʼana gayo, bhʉʉsi bhakoongera riraka kʉsabha Mungu, “Ʉmʉkʉrʉ wʉ Ʉbhʉnaja, awɨ naawɨ Mungu, naawɨ watɨɨmirɨ risaarʉ, ɨɨsɨ, ɨnyanza na bhyʉsi bhɨnʉ bhirimu.
2c041900f0	Awɨ ʉkagamba kʉhɨtɨra umunywa gwa sʉʉkʉrʉ wɨɨtʉ Daudi omohocha waazʉ, na koKoro Ɨndɨndu ʉkabhuga, ‘Ndora abhaatʉ bha mubhyarʉ ɨbhɨndɨ bhiigatɨɨnɨ? Kwakɨ abhaatʉ bhariiseega kokora amangʼana ganʉ gataana bhwera?
2c041a0081	Abhatɨmi bhɨ ɨɨsɨ na abhakangati, bhariibhiringa hamwɨmwɨ, igʉrʉ wu ukumwanga Ʉmʉkʉrʉ Mungu na Kiriisitʉ waazɨ.’
2c041b00ff	“Ganʉ nɨ‑maheene, kʉ kʉbha Heroode Antipaasi na Pʉntiyʉ Piraato na abhaatʉ bha mubhyarʉ ɨbhɨndɨ na Abhiiziraɨri, bhakahunana hamwɨmwɨ mʉrʉbhɨri rʉnʉ korereke bhaangɨ Yɨɨsu, omohocha waazʉ ʉmʉrɨndu wʉnʉ wamʉhakirɨ amaguta.
2c041c006d	Ganʉ bhakʉrirɨ bhayo, nego ganʉ wɨɨndirɨ gakorwe kwɨma ʉbhʉtangɨ na gakakorwa kumiisɨɨgi gaazʉ.
2c041d008a	Nangʉ Ʉmʉkʉrʉ, rora amakango gaabhʉ, tohe ʉbhʉnaja itwɨ abhahocha bhaazʉ, tʉraganʼyɨ ɨngʼana yaazʉ kwa bhʉkararu bhwʉsi.
2c041e0097	Ʉraagorore okobhoko kwazʉ, kohorya abhaatʉ, ibhyɨrɨkɨnʼyʉ na amateemo bhekorwe kʉnzɨra yi iriina rya Yɨɨsu, omohocha waazʉ ʉmʉrɨndu!”
2c041f00b8	Hanʉ bhaamarirɨ kʉsabha Mungu, ahagero hanʉ bhaarɨ bhiibhiringiirɨ, hakasingishwa. Bhʉʉsi bhayo bhakiizuribhwa ne Ekoro Ɨndɨndu, bhakarwaza ɨngʼana ya Mungu kwa bhʉkararu.
2c042000ee	Abhiisirirya bhʉʉsi bhaarɨ nu umwʉyʉ gʉmwɨ nʉ ʉbhʉkararu bhʉmwɨ. Ataarɨ areho mʉʉtʉ wʉwʉʉsi we ebhegero bhyazɨ, wʉnʉ akʉrirɨ kʉbha ibhyazɨ umwene, nawe bhaarɨ bhariimɨɨrɨrɨra ebhegero bhyʉsi kwa hamwɨmwɨ.
2c04210088	Neho abhatumwa bha Yɨɨsu bhakamenyeekererya abhaatʉ kʉmanaga gu ukuryʉka kʉMʉkʉrʉ Yɨɨsu, Mungu wʉʉsi akabhaha ʉrʉbhangʉ.
2c042200b0	Ataareho ʉmʉʉtʉ wʉwʉʉsi gatɨ waabhʉ wʉnʉ akwenda, kʉ kʉbha abhaatʉ bhanʉ bhaarɨ kʉbha nɨ ɨmɨgʉndʉ hamwɨ zinyumba, bhakabhigurya na koreeta zimpirya ziyo.
2c0423006c	Bhakazereeta, bhakazɨhaana kʉbhatumwa, bhʉʉsi bhakasondya abhaatʉ kʉrɨngʼaana nu ubhwɨndi bhwabhʉ.
2c042400d0	Aarɨ areho Ʉmʉraawi wʉmwɨ, arabhirikirwa Yuusufu, umwibhurwa wa mucharʉ cha Kipurʉ, wʉnʉ abhatumwa bha Yɨɨsu bhaamʉhɨɨrɨ iriina Bharinaabha, enzobhooro yaku ni mwana wʉ ʉmʉhaani wu umwʉyʉ.
2c0425004e	Aarɨ nʉ ʉmʉgʉndʉ, akagugurya, akareeta zimpirya akazɨhaana kʉbhatumwa.
2c05010082	Aarɨ areho ʉmʉʉtʉ wʉmwɨ iriina ryazɨ Ananiya, nʉ ʉmʉkari waazɨ aarɨ arabhirikirwa Safiira. Bhakagurya emenyo yaabhʉ.
2c05020100	Gatɨ wa zimpirya zɨnʉ bhaabhwɨnɨ, Ananiya akabhisa ɨzɨndɨ, ʉmʉkari waazɨ aarɨ isirirɨɨnʼyɨ neewe kokorabhu. Zimpirya zɨnʉ zasaagirɨ, Ananiya akazereeta akabhaha abhatumwa bha Yɨɨsu, ataagambirɨ amaheene kʉbha bhagɨgirɨku ɨzɨndɨ.
2c050300cf	Peetero akamubhuurya, “Ananiya! Kwakɨ Shɨtaani asikiirɨ mumwʉyʉ gwazʉ na akʉrirɨ ʉbhʉʉrɨrɨ Ekoro Ɨndɨndu ʉrʉrɨmɨ na kubhisa zimpirya ɨzɨndɨ zɨnʉ wabhwɨnɨ ku kugurya emenyo yaazʉ?
2c0504010e	Hanʉ waarɨ ʉkɨɨrɨ kugurya ɨtaarɨ yaazʉ? Hanʉ yaarɨ ɨmarirɨ kuguribhwa kɨnʉ wabhwɨnɨ kɨtaarɨ mʉmabhoko gaazʉ? Ɨkabhabhwɨ kuhika ʉkatʉʉra ringʼana ncha rɨnʉ mumwʉyʉ gwazʉ? Ʉtabhuuriirɨ ʉmʉʉtʉ rʉrɨmɨ, nawe ni‑Mungu ubhuuriirɨ!”
2c0505009b	Hanʉ Ananiya iigwirɨ amangʼana gayo, bhwangʉ bhu akagwa haasɨ, akakwa. Abhaatʉ bhʉʉsi bhanʉ bhiigwirɨ ringʼana riyo, bhakʉʉbhaha bhʉkʉngʼu.
2c05060083	Neho abhamura bhakabhʉʉka, bhakakundikirya ɨkɨtʉndʉ chazɨ ɨsanda, bhakamuhurucha igʉtʉ wʉ ʉrʉbhɨri, bhakamʉbhɨɨka.
2c05070080	Hanʉ zaahitirɨ zɨɨsa isatʉ, ʉmʉkari wa Ananiya wʉʉsi akasikɨra ɨgatɨ muyo, atɨɨzɨ amangʼana ganʉ gakʉriibhwɨ.
2c0508008a	Peetero akamubhuurya, “Mbʉʉrɨra, mʉkagurya emenyo yanyu kuzimpirya zɨnʉ?” Ewe akabhuga, “Hee, tʉkagurya kwe ekerengo kiyo.”
2c05090115	Peetero akamʉbhʉʉrɨra, “Ndora awɨ nu umusubhɨ waazʉ mwisirirɨɨnʼyɨ kogema Ekoro Ɨndɨndu yʉ Ʉmʉkʉrʉ? Rora! Amagʉrʉ ga bhanʉ bhaarɨ bhagiirɨ kʉbhɨɨka umusubhɨ waazʉ garɨ kukisikʉ, bhamarirɨ kʉgarʉka, bharaaza kusikɨra bhakuhuruchɨ igʉtʉ!”
2c050a00e4	Rogendo rʉmwɨ Safiira wʉʉsi akagwa haasɨ mʉbhʉtangɨ bhwa amagʉrʉ ga Peetero, akakwa. Neho abhamura bhakasikɨra, bhakabhona Safiira wʉʉsi akuurɨ, bhakamuhurucha igʉtʉ, bhakamʉbhɨɨka haguhɨ nu umusubhɨ waazɨ.
2c050b007b	Gayo gakakora risengerero igima, hamwɨmwɨ na abhandɨ bhʉʉsi bhanʉ bhiigwirɨ amangʼana gayo, kwʉbhaha bhʉkʉngʼu.
2c050c00da	Abhatumwa bha Yɨɨsu bhaarɨ bharakora ibhyɨrɨkɨnʼyʉ na amateemo bhyaru kʉbhaatʉ. Abhiisirirya bhʉʉsi bha Yɨɨsu, bhaarɨ bhanarirɨ kwibhiringa hamwɨmwɨ Mwigoobhe rya Sɨrɨmaani rɨnʉ ryarɨ mwihekaaru.
2c050d008e	Abhaatʉ bhanʉ bhaarɨ bhakɨɨrɨ kwisirirya Yɨɨsu, bhakʉʉbhaha kʉbha hamwɨmwɨ nebho, nangabha abhaatʉ bharabhasʉʉka bhʉkʉngʼu.
2c050e008b	Nawe abhaatʉ abhandɨ, abhasubhɨ na abhakari, bhakiisirirya Ʉmʉkʉrʉ, kuriyo endengo ya abhiisirirya yaarɨ iriiyoongera bhʉkʉngʼu.
2c050f0113	Kʉrɨngʼaana na amateemo gayo, abhaatʉ bhaarɨ bharabhahira abharwɨrɨ na kʉbhatʉʉra rusizʉ wɨ ɨnzɨra. Mʉnzɨra hayo, bhaarɨ bharabhahindirya kʉbhʉrɨrɨ na kʉbhɨragʉ, korereke Peetero araahɨtɨ, ikiiriiri chazɨ kɨbhakunʼyɨku abhaatʉ bhorebhe bhahore.
2c051000bb	Abhaatʉ bhaaru bhaarɨ kurwa mʉzɨmbɨri za rusizʉ wa Yɨrusarɨɨmu, bhakabha bharareeta abharwɨrɨ bhaabhʉ na bhanʉ bhaarɨ bhakʉnyaakibhwa na amasambwa, bhʉʉsi bhakahʉribhwa.
2c05110096	Neho kuhaani ʉmʉkʉrʉ na abhakɨndichabhʉ bhʉʉsi, bhanʉ bhaarɨ bha riribhita rya Abhasadukaayo, bhakabharorera ikiriiso abhatumwa bha Yɨɨsu.
2c05120036	Bhakagwata abhatumwa bhayo, bhakabhatʉʉra mokebhoho.
2c05130098	Nawe ubhutikʉ bhurya, maraika wʉ Ʉmʉkʉrʉ akaaza, akiigʉra ibhisikʉ bhyi inyumba yiyo, akabhahurucha igʉtʉ. Hanʉ aamarirɨ, akabhabhʉʉrɨra,
2c05140080	“Mogende mwimɨɨrɨrɨ mwihekaaru, mʉbhabhʉʉrɨrɨ abhaatʉ amangʼana gʉʉsi igʉrʉ wʉ ʉbhʉhʉru ubhuhya bhʉnʉ!”
2c0515013d	Hanʉ abhatumwa bhayo bhiigwirɨ, bhakamweza ritabhʉʉri bhakaja mwihekaaru, bhakatanga kwija abhaatʉ. Hanʉ kuhaani ʉmʉkʉrʉ hamwɨmwɨ na abhakɨndichazɨ bhaahikirɨ, bhakabhɨrɨkɨra abhakʉrʉ bhʉʉsi bha Abhiiziraɨri, bhahunanɨ kuchandarʉ. Bhakatʉma abhariibhi mokebhoho, korereke bhareete abhatumwa.
2c05160083	Nawe hanʉ abhariibhi bhayo bhaasikiirɨ, bhataabhwɨnɨ abhatumwa bhayo mokebhoho. Bhakagarʉka kʉbhakʉrʉ, bhakabhabhʉʉrɨra,
2c051700d5	“Hanʉ twahikirɨ kunyumba ye ekebhoho, tʉkabhona ibhisikʉ bhyigɨɨrɨ bhwaheene, abhariibhi bhiimiiriirɨ igʉtʉ wi ibhisikʉ, hanʉ twigwirɨ ibhisikʉ, tʉtabhwɨnɨ mʉʉtʉ wʉwʉʉsi mokebhoho muyo!”
2c051800a4	Ʉmʉkʉrʉ wa abhariibhi bha rihekaaru na abhakʉrʉ bha abhakuhaani hanʉ bhiigwirɨ gayo, bhakatama kwobhoora, bhakiibhuurya, “Ringʼana riyo rɨrabhabhwɨ?”
2c0519009b	Akaaza ʉmʉʉtʉ wʉmwɨ, akabhabhʉʉrɨra, “Munyiitegeerere! Abhaatʉ bhanʉ mwigariirɨ mokebhoho, nangwɨnʉ bhari mwihekaaru! Bhariija abhaatʉ.”
2c051a00c9	Neho ʉmʉkʉrʉ wa abhariibhi wuyo, hamwɨmwɨ na abhariibhi bhaazɨ, bhakaja kʉbhatumwa bhayo, bhakabhareeta. Nawe bhataabhagwatirɨ kwa nguru, kʉ kʉbha bhakʉʉbhaha kotemwa amabhwɨ na abhaatʉ.
2c051b005b	Hanʉ bhabharɨɨtirɨ kuchandarʉ cha abhakʉrʉ bhayo, kuhaani ʉmʉkʉrʉ akabhabhuurya,
2c051c0111	“Tʉmarirɨ kʉbharecha kwa nguru kʉbha mutigɨ kwija abhaatʉ igʉrʉ wi iriina ryʉ ʉmʉʉtʉ wuyo! Nawe imwɨ mʉrangʼeha kwija abhaatʉ amangʼana gaanyu mbaara zʉʉsi za Yɨrusarɨɨmu, naatu moreenda koreeta ɨkɨsaahɨ chʉ ʉmʉʉtʉ wuyo igʉrʉ wɨɨtʉ!”
2c051d0064	Peetero na abhatumwa abhandɨ bhakamʉgarukirya, “Toreenderwa kʉsʉʉka Mungu, kʉkɨra abhaatʉ.
2c051e0060	Imwɨ mukiita Yɨɨsu kʉ kʉmʉbhamba kʉmʉsarabha, nawe Mungu wa abhasʉʉkʉrʉ akamuryʉra.
2c051f00b7	Mungu akamʉgʉnga nʉ ʉkʉmʉtʉʉra ʉrʉbhaara rwazɨ rwu ubhuryʉ, abhɨ Ʉmʉkangati nʉ Ʉmʉsabhuri, abhahɨ Abhiiziraɨri korereke bhatigɨ ʉbhʉbhɨ bhwabhʉ, bhabheererwe.
