2800000005	Mahte
2c160d007a	Ka veia law lü, ka peia ngdüi lawki naw, ‘Ka na Sawluh aw, mdei law be a ti. Acunüng, hmu law be ngüse ka teng kyet.
2c160e0088	Ani naw, ‘Mi pupaea Pamhnam naw, a hlüei na ksing khaia, ngsungpyunki Mpya na hmu khaia, a ngthu na ngjak khaia, ning xü pängki ni;
2c160f0048	Na hmu ja na ngjaka ngthu cun khyang naküta veia ania phäh saksi khai.
2c16100077	Ise na ve sawxatki ni? Tho law lü, Baptican khana. A veia na ktaiyü üng na mkhyekatnake ja kpyawta kya khai’ a ti.
2c16110052	Jerusalema ka ceh be käna, temple k'uma ka ktaiyü k'um üng, mdangnak ka hmuhki,
2c16120092	mdangnak üng Bawipa naw, ‘Angxita Jerusalem üngka naw cita; ka ngthu na sang vai ahin üng am ning ngja hlü ve u’ a ti cun ka khamei yahki.
2c1613006d	Kei naw, ‘Bawipa aw, sinakok naküta jumeiki naküt thawngim üng ja khyum lü, ka jah kpai khawi ksingkie;
2c1614008a	na saksi Stephena thisen ami hnim üng, kei pi a peia ngdüi hnga lü, a thih vai yüna lü, hnimki hea ami suisak ka na kpawmki’ ka ti.
2c16150058	Ani naw, ‘Cita, hin üngka naw athuknak, khyangmjükceea veia ning tüih veng’ a ti.
2c16160089	Acuna ngthu a pyen veia khyange naw ngai u lü; acunüng, angsanga ngpyang u lü, “Ceh ta ua! Hnim ua, xüng khaia am daw ve” ami ti.
2c16170050	Ngpyang u lü, ami suisake jah sut u lü, jah kha u lü, mput khan da phuh u se;
2c161800c0	acunüng, Romah yekap ngvai säih naw, Pawluh ise acukba ami pawh tia ksing hlü lü, “Yekapea venaka ceh u lü, kpai u lü ise Judahe acukba ngpyangkie ti cun kcet ua” ti lü a jah mtheh.
2c161900af	Acunüng, khit u lü kpai u se, Pawluh naw, a peia ngdüikia yekap ngvai üng, “Romah khyang naki, am mkhyenak angsinga am ksing xa u lü nami kpai hin nglawiki aw?” a ti.
2c161a0096	Acunüng, yekap ngvai naw, acun a ngjak ja, yekap ngvai säiha veia cit lü, “Na bi law cän ngaia, hin hin Romah khyanga kya ve” ti lü, a mtheh.
2c161b0099	Acunüng, yekap ngvai säih naw law lü, a veia, “Romah, khyanga na kyaki aw? Na mtheha” a ti. Acunüng, ani naw, “Ä, kei Romah khyang ni” a ti.
2c161c00b4	Acunüng, yekap ngvai säih naw, “Romah khyanga ka kyanak vaia ngui khawha ka peki ni” ti lü, msang se, acunüng, Pawluh naw, “Kei cun Romah khyanga ka ngtüi lawki” a ti.
2c161d00a7	Acun ja kcet khaia bükie naw Pawluh cun angxita cehta u se; yekap ngvai säih naw pi, Romah khyang ni tia ksing lü, Romah khyang a khiha phäha aktäa kyühei lawki.
2c161e00d9	A ngawi üng, Judahe naw ise Pawluh ami hneng ti ksing hlü lü, yekap ngvai säih naw Pawluh cun xaki naw, ktaiyü ngvaie ja ngthumkhyahkie naküt jah ngbämsak lü, ani cun lawpüiki naw, ami hmaia a ngdüih lawsak.
2c17010083	Pawluh naw kawngci jah bük lü, “Ka püi Isarele, Tungawi cäpa Pamhnama hmaia ngcimcaihkia mlungmthin am ka xüngseiki” a ti.
2c17020058	Ktaiyü ngvai Anani naw a peia ngdüikie üng Pawluha mpyawng ami kbei vaia a jah mtheh.
2c170300a8	Acunüng, Pawluh naw, “Nang abawk am hluka lung, Mhnam naw ni kbei khai; ngthumkhyah khaia ngawh lü, am kcang khaia thum pawh lü ami na kbei vaia na pyenki” a ti.
2c17040046	A peia kae naw, “Pamhnama ktaiyü ngvai na ksekhanaki aw?” ami ti.
2c17050094	Pawluh naw, “Ka püi Isarele aw, ktaiyü ngvaia akya am ksing veng; ‘Na khyang jah upki käh na ksekhanak vai’ tia Cangcim naw pyenki” a ti.
2c170600ce	Pawluh naw, avang Sadukee, avang Pharisee tia ksing lü, “Ka püi Isarele aw, kei Pharisea ka kyaki, Pharisea cakpaa pi ka kyaki; khyangkthi tho be khai tia ka äpeia phäh, ahikba nami na kcetki” a ti.
2c1707005e	Cunüng, acuna ngthu a pyen law päng ja, Pharisee ja Sadukee ngcuh law u lü, ngtai lawki he.
2c170800c4	Ami ngtainaka suilam cun, Sadukee naw, “Khyangkthia thawnak be am veki, khankhawngsä he, Ngmüimkhyae am veki” ti khawi u se; Pharisee naw, acuna lam kthum cun veki tia ami juma phäha kyaki.
2c170900b4	Pharise da ka thum ksinge ngdüi law u lü, “Hina a katnak i am ksing ve üng; Ngmüimkhya naw pi kyase, khankhawngsä naw pi kyase, a ngthuheipüi üng pi, ia am kya?” ami ti.
2c170a00bf	Ngcuh law dämdäm u se, yekap ngvai säih naw, Pawluh man u lü, amte mtea ami pawh law vai kyühki naw, yekape veia cit u lü ami vei üngka naw yekapea venaka ami cehpüi vaia a jah mtheh.
2c170b008e	Acunüng, mthana Bawipa cun Pawluha peia ngdüi lü, “Käh cäi kawpi, ka ngthu Jerusalema na saksia mäiha Romaha pi na saksi khai” a ti.
2c170c0069	Khawthai law lü Judah khyange, Pawluh am ami hnima küt üng i käh eiaw khaiea, ng'yüngce u lü vekie.
2c170d0048	Acukba ng'yüngce u lü ngkhämkie cun khyang kphyükipa kthaka nungkie.
2c170e0083	Acunee cun ktaiyü ngvaie ja ngvaiea veia cit u lü, “Pawluh am kami hnima küt üng i käh kami mdep khaia kami ng'yüngceki ni.
2c170f0142	Acunakyase, khaw ngawia, yekap ngvai säih naw Pawluh cun nangmia veia lawpüi lü, ngkhai ngai khaia nami kcet vaia mäiha, ngvaie am atänga yekap ngvai säiha veia kthäh ua, acun üng Pawluh hnim vai ami täng. Acunüng, Pawluh nami veia am a pha law ham üng keimi cun kami hnim khaia, ngtün päng ve üng” ami ti.
2c17100078	Acunsepi, Pawluha a naa ca naw, lama ami na maha mawng cun ngja lü, yekapea venakaa va lutki naw, Pawluh am a va mtheh.
2c17110082	Pawluh naw, yekap ngvai mat khü lü, “Hina cawngpyang hin yekap ngvaisäiha veia cehpüia; i mä a pyen vai ve khai ni” a ti.
2c171200b0	Yekap ngvaia veia cehpüi lü, “Thawngim üng kyumkia Pawluh naw na khü lü, hina cawngpyang na veia ka lawpüi khaia, ana tüih law, na veia i mä a pyen vai ve ve” a ti.
2c17130075	Acunüng, yekap ngvai säih naw a kut üng man lü, akcea cehpüiki naw, “I na na mtheh hlüki?” ti lü a kthäh.
2c171400a7	Ani naw “Judah ngvaie naw khaw ngawia Pawluh kawngcia na lawpüi vai ngjak'hlü ve u. Pawluha mawng cun ami naw aksing ngtea ksing hlükie hana ngsaih ve u, a ti.”
2c17150109	Acunsepi, ami pyen käh jah na kcang na kawpi; khyang kphyükipa kthaka nungkie naw ani k'äih u lü ngthupkie ni, acune cun ani, am ami hnima küt üng i käh eiaw khaiea ng'yüngcekie ni; atuh na ja msangnak be vaia ngthu k'äihkie, ngtün u lü vekie ni” a ti.
2c1716007b	Acunüng, yekap ngvaisäih naw cawngpyang cun tüih be lü, “Hina ngthu na na mtheh hin u pi käh ksingsak kawpi” a ti.
2c171700e6	Yekap ngvai säih naw jung ngvai nghngih jah khü lü, “Tuh mü naji kaw üng, Ketarih khaw cäpa cit khaia yekap phyanghngih, ngsela ngcumki khyang khyühkip, kcei kawtki khyang phyanghngih ngsungcei u se ti lü” a jah mtheh.
2c17180065	Pe uk Felika veia phyawn lü pha khaia, Pawluha ngcumnak vaia ngsela ami pet vaia pi a jah mtheh sih.
2c1719001a	Ngvai naw hikba ca yu lü;
2c171a0043	“Kalawdih Lusik aw ami leisawnga pe uk Felik naw ning hnukset ve.
2c171b008f	Hina khyang Judahe naw man u lü ami hnim law hlü ja, ami veia yekape jah ngkhahpüi lü ka citki, Romah khyang ni tiaa ksing lü ka yung law.
2c171c004c	Acunüng, ami mkatnaka suilam ksing hlü lü, ami kawngciea veia ka cehpüi.
2c171d008d	Ami thum ia phäha ami mkat tia ka ksing, acunsepi ami mkatnak üng thihnak vai ja man u lü thawng üng khyum vaia anglawinak i am hmu veng.
2c171e00b4	Judahe naw ami hnim vaia kham hükie ni tia khyang naw a na mtheh ja, na veia ka tüih law ni, mkatkie naw pi ami mkatnaka mawng na hmaia ami pyen vaia ngthu ka jah pet ni” a ti.
2c171f0060	Ngthu a jah peta mäiha yekape naw mthan nglunga Pawluh cun man u lü, Antipatariha ami cehpüi.
2c17200066	A ngawi üng, ngsela ngcumkie Pawluh am jah cehsak u lü, amimät cun yekapea venaka nghlat law bekie.
2c17210051	Ketarih ami pha law üng, ca cun pe uk Felik am pe u lü, Pawluh cun pi ami msum.
2c17220070	Pe uk naw a kheh law päng üng, Pawluha venaka khaw a kthäh. Acunüng, Kilikih khawa ka ni tia a ksing law ja,
2c1723008e	“Ning mkatkie ami pha law käna, na mawng ka ning ngaih pet khai” a ti. Acunüng, Pawluh cun pe uka junga ami ngäng vaia ngthu a jah pet.
2c1801008d	Amhnüp mhma käna, ktaiyü ngvai säih Anani, ngvaie avang ja seihne Tetulah ngsut lawki he naw, Pawluha mawng cun pe uka veia ami pyen law.
2c180200bc	Acunüng, Pawluh cun khü u lü Tetulah naw mkat law lü, “Bawi kdaw säih aw, nanga phäha dim’yenak am kami vea phäh, kami pea phäh na jah thunghlai hin nanga jah cehcawn phäh ni.
2c1803003b	Angläta, a hawa pi jenak am kami veki cun nanga bänak ni.
2c18040079	Acunsepi, na kcün khawvei am la hlü veng lüpi, na mlunga a nemnak am ka pyen cun na ngaih pet vaia ning nghui na veng.
2c18050072	Hina khyang hin, Nazaret ami ti khyange üng ngvai bi lü, khawmdeka khana Judahe naküt jah suksaki kami ksingki.
2c1806003b	Pamhnama temple pi mtüihkhehsaki; acunakyase, kami man ni.
2c180700c7	Na thuma mäiha, a mawng mtai pet vaia kami tängki ni, acunsepi yekap ngvaisäih Lusika naw law lü, kami kut üngka asihlinga jah hut hlawk lü, amät kami mkatkie na veia law vaia ngthu a jah pet.
2c18080054	Namät naw hina khyang kthäh lü, kami mkatnak naküt cun na ksing khai ni” a ti.
2c1809004a	Acunüng, Judahe naw pi law u lü ahin hin kcangki ni” tia ami pyen sih.
2c180a00e5	Pe uk naw Pawluh cun ngthu pyen khaia a kut säng se ta, Pawluh naw, “Nang kum khawvei hina khyangmjü lei jah mkhyah pe lü na veki tia ka ksinga phäha, aktäa jenak am kamäta ngsungkhameinak na hmaia ngthu ka pyen law khai.
2c180b006f	Jerusalema Pamhnam hjawkhah khaia ka cehnak atuh mhnüp xaleinghngih va law hamki tia namät naw na ksing khai.
2c180c005a	Temple k'uma pi, sinakoka pi, mlüha pi, upi ka ngcuhpüi, khyang ka ksük pi am na hmu u.
2c180d0039	Tukbäih pi, ami na mkatnak vai tuilam am mdan thei ve u.
2c180e00b5	Acunsepi, hin hin na veia ka phyeh khai, Kami pupaea Mhnam kei naw ka hjawkhah Mawnglam cun am kcang ami ti ni. Sahmaea caupe jah Mosia thum üng ng’yuk nakütki pi ka jum hngaki.
2c180f006b	Ka äpnak pi veki ta Pamhnam naw khyang naküt akdaw ja akse pi thihnak üngkhyüh jah mtho law be khai ni.
2c18100063	Acuna phäha, Pamhnam veia ja nghngicima veia pi, ka mlungmthina käh mkhyemsawh vaia ka ktha naki.
2c18110066	Acunüng, kum khawvei anghjawk käna ka khyangea ngui jah pet vai ja ngkengtainak pawh khaia ka lawki.
2c18120083	Ngcimngcaihnak pawi päng lü ahine ka jah pawh k'um üng amimi naw Templea na hmuhkie. Ka hlawnga khyange ja suksaknak pi am ve u.
2c1813008b	Acua, Asah üngka Judahe pi vekie, acune naw law u lü ka khana ami pyen vai a vea kyak üng, hin üng na hmaia ve u lü na mkat khaie sü.
2c18140072	Am acunüng, hina khyange naw, kawngcia hmaia ka ngdüih üng, ka katnak ami hmuh khawia kyak üng atuh pyen u se,
2c1815008a	Kawngcia hmaia ka pyen mata, ‘Khyangkthi tho be khai tia ka jumeia phäha na mkatei u lü tuhngawi nami hmaia ami na lawpüi ni” a ti.
2c1816008c	Acunüng, Felik naw, Mawnglam cun ana ksing lawa kyase, “Yekap ngvai säih Lusika a pha law üng na mawng ka ning mkhyah pet khai” a ti.
2c18170071	Pawluh cun a jah ngängsak vai ja, a püipawe naw pi law u lü ami mbeimbawk law vaia yekap ngvai am ngthu a pet.
2c181800a4	Mhnüp khawveica anghjawk käna, Felik cun a khyu Dusilah, Judah nghnumi ngkhahpüi lü law beki naw, Pawluh ja khüsak lü, Khritaw Jesuh jumnaka ngthu cun ngaiki.
2c181900d4	Pawluh naw, dawkyanaka ngthu, mät ja mät nängeinaka ngthu, ngthumkhyahnak ve law khaia ngthue a jah mtheh üng, Felik naw aktäa kyüh law lü, “Cit be maa, akcün a awng üng, ning khü law be kawm” a ti.
2c181a004b	Pawluh naw ngui a pet vai a ngaihk’uheia kyase, khü lü a kthäha kyaki.
2c181b00aa	Acunsepi, kum nghngih päih käna, Pocih Festuh naw Felik mthawng se; acunüng, Felik naw Judahea ksunga a ngminga daw vai ngai lü Pawluh cun thawngim üng a khyum hüt.
2c19010057	Festuh naw khaw a uk law, amhnüp thum käna Ketarih mlüh üngka naw Jerusalema citki.
2c19020055	Ktaiyü ngvaie ja Judah üng axüngvaie naw Pawluha mawng cun akse lama ami na mtheh.
2c19030068	Jerusalem mlüh üngka naw a jah laksak vaia nghui na u lü, lama a na kham u lü ami hnim vaia ami bü.
2c19040053	Acunsepi, Festuh naw, “Pawluh cun Ketariha thawngima, kei pi acua ka cit be khai.
2c1905007e	Acunakyase, nami mkhawnge Ketarih khawa Pawluh mkatei khaiea ka hlawnga cit hnga u se, kakia akya üng” ti lü, a jah msang.
2c190600a6	Ami veia, mhnüp khyet, mhnüp xa hlawk a ve khap üng, Ketariha ju cit beki; acunüng, a ngawia ngthumkhyahnak üng ngaw lü, Pawluh ami lawpüi vaia ngthu a ja pet.
2c190700ae	Acunüng, ami lawpüi ja, Jerusalem üngka naw ju lawki hea Judahe cun a peia ngdüi u lü, a khana am cangkia mkatnak khawha ami pyen. A mkhyenak kcang cun am ami msuh thei.
2c190800a8	Pawluh naw a cangnaka ngthu pyen lü, “Judahea thuma khana pi kyase, Pamhnama temple khana pi kyase, Romah Emperoa khana pi kyase, katnak ka pawh i am ve naw” a ti.
2c190900b2	Acunsepi Festuh naw, Judahea khana a ngminga kdaw vai ngja hlü lü, Pawluh üng “Jerusalema hang cit lü, acuia ka hmaia hina mawng mtai vai na ngaiki aw?” ti lü, a kthäh.
2c190a009a	Pawluh naw, “Romah Emperoa ngthumkhyahnaka hmaia ka ngdüi hlüki ni; Judahea khana katnak i am pawh ni se, acun cun nang naw haw angsinga ksing ye lü.
2c190b00dd	Thum lümkan lü, thihnak vaia katnak ka pawh üng ta ka thih vai pi am ma nawng; acunsepi, hinea ami na khyaknak aphung i am a ve üng, u süm naw ami veia käh na pe thei khai. Romah Emperoa veia ka ngdüi khai” a ti.
2c190c0097	Festuh naw a ngthumkhyahpüie a ja ksük käna, “Romah Emperoa veia ngsut khaia bü veki, Emperoa veia na ngsut law mkyäi khai ni” ti lü a msang.
2c190d0069	Angsawkca käna, sangpuxang Akipah ja Berani cun Ketarih Mlüha ngsut law ni lü, Festuh ani hnukset law.
2c190e009d	Acunüng, mhnüp khawvei acuia veki xawia kyase, Festuh naw Pawluha mawng cun sangpuxanga veia pyen lü, “Felik naw thawngim üng kyumki u aw yawk hüt se;
2c190f0070	Jerusalema ka ve hui üng, ktaiyü ngvaie ja Judah ngvaie naw a mawng na mtheh u lü, mkat vaia ami na nghuinak.
2c1910010e	Acunüng, kei naw ami veia, ‘Ami khyaka khyang ja khyakie ngkhyum u se, ami khyaknaka mawng üng cangnak am ami hmu hama küt üng, amät asungkhamei vai akcün am a yaha küt üng khyang u pi mkhuimkha vaia thum hin Romaha mi thuma am kyaki ni’ ti lü, ka ja msang.
2c19110073	Acune hina khaw ami pha law ja, käh msawk lü, a ngawia ngthumkhyahnak üng ngaw ktäi lü, ani cun ka ja khüsak.
2c1912005e	Khyakie ami ngdüi law ja, ka ngaia mäi kunga, a khana a am dawkia mkhyenak i am pyen thei u.
2c191300a2	Ami jumnaka thume ja Jesuh khyang mat thi pängki cen Pawluh naw, ‘Xüng beki ni’ tia pyen se, acuna phäha, a khana katnak veki tia ami khyak lawa kya hüki.
2c19140094	Acunüng, kei naw acuna mäih cun ihawkba bi vai am ka ksingki naw, Jerusalema cit se, acuia a mawng mtai pet vai a ngai ja am a ngai ka kthäh sum.
2c191500b4	Acunsepi, Pawluh cun yekap am cit u lü hlüng säihkia sangpuxanga mtai pet vaia a nghuinak, acuna Romah Emperoa veia am ka tüih hama küt üng yekape am ka jah mtätsak” a ti.
2c1916009b	Akipah naw Festuha veia, “Kei haw acuna ngthu pyen ka ngai vai ka na ngai khawiki ni” a ti. Acunüng, Festuh naw, “Khawngawia pyen se ngai kaw pi.”
2c191700bc	Acukba, a ngawia, Akipah ja Berani cun hlüngtainak am law ni lü, yekap ngvaie ja mlüh üng khyang kyäp kyäpe am, ngthu pyennaka ima lut ni se; acunüng, Festuh naw Pawluh a ja lawsak.
2c191800d5	Festuh naw, “Sangpuxang Akipah ja hin üng vekiea khyange aw, hina nami hmu hin, a mawngmaa phäha, Judahe naküt naw mkatei u lü, käh xüng ti khai tia, Jerusalem mlüha ja hin üngkae naw ka veia ami kthäh.
2c1919009d	Acunsepi, thihnak sen vaia i katnak am pawhki ti ka ksingki; acunüng, amät naw ngvaisäih sangpuxanga veia a ngsut vai ngaikia kyase, tüih vaia ka bü ni;
2c191a00c8	acunsepi, ania mawng Emperoa veia ka yuk vai am ksing veng. Acunakyase, nami hmaia ka lawpüi ni, sangpuxang Akipah nanga maa ka lawpüi ktunga kyaki ni, kthäh lü i yaw hleng yuk vai ka hmunak vaia.
2c191b0081	Khyang kyum, sangpuxang ngvaisäiha veia tüih u lü, a mawng ami khyaknak, käh ksingsak lek cun, am mawngkia ngai veng” a ti.
2c1a01007d	Akipah naw Pawluh üng, “Na mäta phäh ngthu pyen lawa” a ti. Pawluh naw, a kut säng lü, a ngsungkhameinak pyen lawki;
2c1a020095	“Sangpuxang Akipah aw, Judahe naw ami na khyaknak naküt üng, ka ngsungeinak ngthu tuhngawi na hmaia ka pyen khaia akyaka phäha, dawki ngai veng;
2c1a030065	Judahea thum ja ngcuhnak naküt aktäa ksingki. Na mlung msaü lü na na ngaih vaia ni nghui na veng.
2c1a04009b	“Ka dik ham üng ihawkba ka ve khawiki ti cun Judah khyange avan naw na ksingkie. Akcüka kamäta pe ja Jerusalema ihawkba ka kcün ka sumei pi ksingkie.
2c1a050074	Judah jumnak thum üng aktäa ling lü, Pharisea ka kya khawi cän ajana na ksingkie, ami pyen vai ta saksi na u se.
2c1a06006a	Kami pupaea vei Pamhnam naw a jah peta khyütam äpeinaka phäha kei hia ka ngdüi law khaia na pawh ve u,
2c1a0700af	amhnüp amthan Pamhnam hjawkhah u lü kami khyange pasang xaleihngihe naw ami yahei vaia äpeikie. Ahina äpeinaka phäh Judahe naw na mkatei ve u ahlüng säih sangpuxang aw.
2c1a08005d	Hin üng veki khyange naw ise Pamhnam naw khyangkthi mtho beki ti hin, am a nami jum thei ni?
2c1a090069	“Kei naw pi Nazaret Jesuha ngming cawkei lü, ka pawh khawh naküt cun ka bikia ka na ngai law khawiki.
2c1a0a00ce	Ahin hin Jerusalema ka bilo khawiki. Ktaiyü ngvaiea veia bilawnak thei ana yah lü, Mhnama khyang khawhae thawngim üng ka ja khyum khawiki; ami jah hnim vai üng kei naw pi ami thih vaia ka täng khawiki.
2c1a0b00b9	Sinakok k'uma jah mkhuimkha lü, ami jumeinak ami cehtak vai khawvei ka pawh khawiki. Aktäa ka mlung na uiawng se, pe kcea ka mlüha vekie pi ka jah mkhuimkha khaia ka cit hü khawiki.
2c1a0c004c	“Ahina phäh vaia Ktaiyü ngvaiea vei ana yah lü Damatet mlüha ka citki.
2c1a0d0092	Sangpuxang aw, ka ceh mhnüp nglunga kyaki, ka jah cehpüia khyange ja kei pei cu nghngi kthaka vaiki akvai cun khan üngkhyüh vai lawki ka hmuh.
2c1a0e00bb	Kami van mdek üng kyu u ngüse, Hebru am, ‘Sawluh, Sawluh, i vai na na mkhuimkhaki ni? Se naw a mahpaa kcung a leha mäiha i vai namät naw namät na pawhki ni?’ tia, kthai ka ngjak.
2c1a0f005e	‘Bawipa aw, nang u ni?’ ka ti. Acunüng, Bawipa naw, ‘Kei Jesuh, na mkhuimkhaa ka kyaki.
2c1a1000bd	Acunsepi, tho law lü; na khaw am ngdüi lawa. Ka ning mpya vaia na veia tuhngawi ka ngdang lawki. Nang naw tungawi na hmu cun jah mtheh lü malama i ka ning mhnuh khai ti cun ka pyen khai.
2c1a110081	Isarel khyange naküt ja Khyangmjükceea kut üngka naw ka ning yung khai; ami mik na ja mdeisak khaia, ami veia ning tüih veng.
2c1a1200f9	Ami mik jah mdeisak lü, nghmüp üngka naw akvaia na jah nghlatsak khaia khawyama johit üngka naw Mhnama veia ja nghlatsak lü, kei ami na jumeinak am ami mkhyekatnake jah mhläta lü Pamhnama xüe khyange am atänga hnün ami yah vaia ni’ a ti.
2c1a13004f	“Acunakyase, sangpuxang Akipah aw, khankhawa ka, ngdannak cun am kcanga veng.
2c1a1400c0	Akcüka Damatet ja Jerusalema kaea veia, Judah pe naküta kaea veia, khyangmjükcee veia pi, ngjutnaka nglawia bi bi u lü, ngjut u lü Pamhnama veia ami nghlat lawnak vaia, ka jah mthehki ni.
2c1a150048	Ahina phäha ni, Judahe naw temple k'uma na man u lü, ami na hnim hlü.
2c1a1600cb	Acunsepi, Pamhnama na yungnaka phäha tuhngawi cäpa, hin üng adik ja akdämea veia ka saksi pyen veng. I pyen akcea am kya sahmae ja Mosi naw ami na pyen cun küm law khai ti cun ni ka jah ksinghüsak,
2c1a170096	Mesijah cun mkhuimkhanak khamei lü, thihnak üngka naw akcüka tho beki tia küikyannaka mawng cun khyangmjükcee jah Judahe veia ka sangki,” a ti.
2c1a180096	Acukba Pawluh naw a ngsungkhameinak pyen lü, Festuh angsanga ngpyang lü, “Pawluh aw, ang veki; na ngtheingkhawng khawha naw ning yusak ve” a ti.
2c1a190057	Acunsepi, Pawluh naw, “Akhlüngtai, Festuh aw, am ang veng; ngthu kcang ka pyenki ni.
2c1a1a00ab	Sangpuxang Akipah aw! Hina ngthu avan na ksingkia kyase na veia ling lü ka pyen theiki. Hina mawng avan na süm khaia ka ngaiki. I pi thup vai am ve ti cun pi na ksingki.
2c1a1b004c	Sangpuxang Akipah aw, sahmaea na jah jumki aw? Na jumkia ka ksingki” a ti.
2c1a1c0058	Akipah naw Pawluh üng, “Asängca üng Khritjana ka thawn khaia na ngaiki aw?” a ti.
2c1a1d00cf	Pawluh naw, “Asänga pi kyase, khawveia pi kyase, nang däka am kyakia, tuhngawi ka pyen ngjaki naküt pi, keia kba ami ve law hnga vaia, mthiyüi am khun käh nikia, Pamhnama veia ka ktaiyüki ni” a ti.
2c1a1e0041	Sangpuxang, pe uki, Berani ja ami peia ngawhkie ngdüi law u lü;
2c1a1f006c	a jah cehtak käna, “Hina khyang hin hnim vai ja thawngim üng kyum vaia i pi am pawh” tia ngthähki he.
2c1a20007a	Acunüng, Akipah naw Festuh üng, “Hina khyang naw Romah Emperoa veia a pha vaia am a ngtänga ta hlät vai sü” a ti.
2c1b0100bb	Italia mlawng am ceh vai ami mkhyah law ja Pawluh ja thawng kyum avange cun Julijah ngmingnaki, Romah yekap üngka ngvai üng a jah mhjum, “Acun cun sangpuxang yekappä ngvai ami ti.”
2c1b0200ae	Adramutiha mlawng üngka naw, Asah hne üngka tui pei üngkhyüh ngtünei lü athuknaka kami ciki. Maketawnih hnea ka Aristakhas, Thesalonikah mlüh üngka kami hlawnga veki.
2c1b030088	Angawi üng, Sidon kami phaki. Julijah naw Pawluh mceh na lü a khyah, a püiea veia cit se a püie naw hlükawki ami pet vaia a cehsak.
2c1b040067	Acun üngka naw, tui üng kami cit beki, khawkhi naw akceha jah cehsak se, Kuparuh kyawn da kami citki.
2c1b05004b	Kilikiha ja Pampuliha pei tui kami khe käna, Lukia hne, Muraha kami phaki.
2c1b06005a	Acua yekap ngvai naw Aleksandria üngkhyüh Itali cit khai mlawng hmu lü; a jah ngcumsak.
2c1b070099	Mhnüp khawvei angpäicaa cit u lü akpäihnaka Kanidah mlüh kami phaki. Khawkhi am daw se, Karet kyawn cit lü Kep Salmonih ami ti khe lü kami citkie.
2c1b080063	Va thäihca u lü, Laseah mlüh üngkhyüh am thuki Sep Habar ami tia hnün anänga kami pha lawki.
2c1b090083	Mhnüp khawvei sumei lü, mlawng am msu lü ceh vai a kyühksea phäha, Thawngnaka Mhnüp pi a khe päng. Pawluh naw jah mcäi lü,
2c1b0a008e	“Khyange aw, atuh mlawng am mi cehta, mlawng ja khawhthem he ami khyüh päih däka am kya lü, mi xünnak pi khyük khaia hmu veng” a ti.
2c1b0b0061	Acunsepi, yekap ngvai naw Pawluha pyen am kcang na lü keptin ja mlawng maha pyen a jah kcangnak.
2c1b0c011b	Acuna tui kam cun khawksik khya üng venaka am daw se, cit be tü u lü, Phonenih pha vaia kami kthanaki, a thawn khawh ta acua khawksik khya kami sumei khai kami ngtängki. Phonenih tui pei cun Kareta ve lü, nghngi kyak ja cuma keh, nghngi kyak ja sipa keh da pi kyase ma na hüki.
2c1b0d008e	Khet da khawkhi nghäi ngtün lü khi law se, khyange naw ami ngaia kba thawn khaia ngai u lü, kpunnak yüi kaih lü Karet tui kam da citkie.
2c1b0e0052	Acunsepi, asäng üng, Püi Khawkhi ami tia khawkhi cun kyawn da aktäa khi lawki.
2c1b0f006f	Mlawng a cut law üng, mlawng naw khawkhi am näng se, kami ktha päih lü khawa a khinak da a jah ceh hüpüi.
2c1b10006c	Kaladeh ngming nakia kyawna kami ngtunjinnak vai kami hmuki. Mlawng käh a pyak vaia ngyan üng kami pawhki.
2c1b1100ab	Mlawng cun jän kaihca lü khäng khaia yüi am ami kphung. Acunüng Libya kawnga khana a ngtaih vai kyüh u lü, jih ja nemsak lü khawkhia a jah cehnak püia kami citki.
2c1b120051	Angawi üng khawkhikse khi law se, mlawng üngka phüie cun tui üng ami ja tawn.
2c1b13004a	A ngawi be tü üng, ami naw mlawng üngka phüie cun ami jah tawn be tü.
2c1b140079	Khaw mhnüp khawvei nghngi ja aisie pi käh ngdang lü khawkhi naw jah mnawk hü se, kami lät khai pi am kami ngai tiki.
2c1b1500c2	Khawvei ei kaa kami ve käna, Pawluh ami ksunga ngdüi lawki naw, “Khyange aw, asüa, ka pyen ngai u lü, Karet üngka naw käh mi lawa ta, ahikba pyaknak ja sungpyamnak am mi khamei khai sü.
2c1b16006d	Acunsepi, atuh ning jah nghui na veng, ling u lü ve u, mlawng däk khyük lü, nami xünnak am khyük, a ti.
2c1b170060	Isetiakyaküng, tuh mthana, ka jumei ja ka hjawkhah, Pamhnama khankhawngsä mat ka veia law lü,
2c1b180086	‘Pawluh aw, käh cäia! Empero Sangpuxanga hmaia na ngdüi khai, Pamhnama dawkyanak naw na jah ngkhapkie sak cän jah mpyenei ve.’
2c1b190052	Acunakyase, khyange aw, ling ua, a na mtheha mäiha kya khai tia Pamhnam ka jumki.
2c1b1a0033	Acunsepi, tui kam mat mata mi ngtaih khaie” a ti.
2c1b1b00b3	Acunüng, mthan xaleikphyü üng, Adih Mpanglaituia khawkhikse naw a jah mnawk hü. Mthan nglunga yekape naw keimi cun kawng da kami ng’et lawki tia cam hü u lü ami ksing law.
2c1b1c007e	Acunüng, tuia a thuk cam tü se, lam mku lawkia ami ksing. Asäng nghjawk se ami cam be üng, lam xaleimhma law se ami ksing.
2c1b1d0078	Lung a suk vai kyühei u lü, mlawnga ngmei da mthimhjum phyü ju khya u lü, khawa thaih law hlah vaia kami ktaiyükie.
