010000001b	ஆதியாகமம்
12151f0140	அவன் நடத்தையை அவன் முகத்துக்கு முன்பாகக் கண்டிப்பவன் யார்? அவன் செய்தவற்றிற்கேற்ப அவனுக்கு எதிர்ப்பழி செய்பவன் யார்?
12152000ef	அவன் குழிக்குள் கொண்டுசெல்லப்படுகிறான். அவனுடைய கல்லறைக்குக் காவலும் வைக்கப்படுகிறது.
1215210176	பள்ளத்தாக்கின் மண் அவனுக்கு இன்பமாயிருக்கிறது; எல்லா மனிதரும் அவனுக்குப்பின் செல்கிறார்கள், எண்ணில்லா திரள்கூட்டம் அவன்முன் செல்கிறது.
1215220132	“வீண் பேச்சினால் நீங்கள் எப்படி என்னை ஆறுதல்படுத்துவீர்கள்? உங்கள் பதில்களில் வஞ்சனையைத் தவிர வேறொன்றுமில்லை!”
121601008c	அதற்கு தேமானியனான எலிப்பாஸ் மறுமொழியாக சொன்னதாவது:
12160200c7	“மனிதனால் இறைவனுக்குப் பயன் ஏதும் உண்டோ? ஞானவானாலும் அவருக்கு பயன் உண்டோ?
1216030192	நீ நீதிமானாய் இருந்திருந்தாலும், எல்லாம் வல்லவருக்கு அது மகிழ்ச்சி அளிக்குமோ? உன் வழிகள் குற்றமற்றவையாய் இருந்தாலும் அதினால் அவருக்கு இலாபம் என்ன?
12160400ef	“அவர் உன்னைக் கடிந்துகொண்டு, உனக்கு எதிராகக் குற்றம் சாட்டுவது உன் பக்தியின் காரணமாகவோ?
12160500a4	உன் கொடுமை பெரிதானதல்லவோ? உன் பாவங்கள் முடிவில்லாதவை அல்லவோ?
1216060116	நீ காரணமின்றி உனது சகோதரரின் அடகுப்பொருளை வற்புறுத்திக் கேட்டு, ஏழைகளின் உடைகளைப் பறித்துக்கொண்டாய்.
12160700e4	நீ களைத்தவனுக்குத் தண்ணீர் கொடுக்கவில்லை; பசித்தவனுக்கும் உணவு கொடுக்காமல் போனாய்.
12160800e9	நீ நிலத்திற்கு உரிமையாளன். மதிப்புக்குரியவனாய் வாழ்ந்திருந்தபோதும் இப்படி செய்தாய்.
12160900cf	நீ விதவைகளை வெறுங்கையுடன் அனுப்பினாய்; அனாதைப் பிள்ளைகளின் பெலனை ஒடித்தாய்.
12160a010f	அதினால்தான் கண்ணிகள் உன்னைச் சுற்றிலுமிருக்கின்றன; திடீரென வரும் துன்பம் உன்னைத் திகிலூட்டுகிறது.
12160b00e9	அதினால்தான் நீ பார்க்க முடியாத அளவு இருளாகவும் இருக்கிறது; வெள்ளமும் உன்னை மூடுகிறது.
12160c0146	“வானத்தின் உன்னதங்களில் அல்லவோ இறைவன் இருக்கிறார்? மேலேயுள்ள நட்சத்திரங்களைப் பார்; அவை எவ்வளவு உயரத்தில் இருக்கின்றன.
12160d0113	அப்படியிருந்தும் நீ, ‘இறைவனுக்கு என்ன தெரியும்? இப்படிப்பட்ட இருளின்வழியே அவர் நியாயந்தீர்க்கிறாரோ?
12160e013c	வானமண்டலங்களில் அவர் உலாவுகையில் அடர்ந்த மேகங்கள் அவரை மூடுகின்றன; அதினால் அவர் எங்களைக் காண்கிறதில்லை’ என்கிறாய்.
12160f007f	தீய மனிதர் சென்ற பழைய பாதையில் நீயும் நடப்பாயோ?
1216100109	அவர்கள் தங்கள் காலம் வருமுன்பே இறந்துபோனார்கள்; அவர்களுடைய அஸ்திபாரத்தின்மேல் வெள்ளம் புரண்டது.
121611010d	அவர்கள் இறைவனிடம், ‘நீர் எங்களை விட்டுவிடும்! எல்லாம் வல்லவரால் எங்களுக்கு என்ன ஆகும்?’ என்றார்கள்.
1216120102	இருப்பினும், அவர் அவர்களை நன்மைகளால் நிரப்பினார்; நான் கொடியவரின் ஆலோசனைக்கு விலகி நிற்கிறேன்.
1216130102	அவர்களின் அழிவைக் கண்டு நேர்மையானவர்கள் மகிழ்கிறார்கள்; குற்றமற்றவர்கள் அவர்களைக் கேலிபண்ணி,
12161400a6	‘பகைவர்கள் அழிய, நெருப்பு செல்வத்தைச் சுட்டது’ என்கிறார்கள்.
12161500c8	“இறைவனுக்குப் பணிந்து அவருடன் சமாதானமாயிரு; உனக்குச் செழிப்பு உண்டாகும்.
121616011f	அவர் வாயிலிருந்து வரும் அறிவுறுத்தல்களை ஏற்றுக்கொள். அவருடைய வார்த்தைகளை உன் இருதயத்தில் பதித்துக்கொள்.
1216170119	நீ கொடுமையை உன் கூடாரத்தைவிட்டு அகற்றி, எல்லாம் வல்லவரிடத்தில் திரும்பினால், உன் பழைய நிலைமையை அடைவாய்.
12161800e4	நீ தூளைப்போல் பொன்னையும், ஆற்றுக் கற்களைப்போல் ஓப்பீரின் தங்கத்தையும் எண்ணிக்கொள்.
12161900eb	அப்பொழுது எல்லாம் வல்லவரே உனது தங்கமாகவும், உனக்குரிய சிறந்த வெள்ளியாகவும் இருப்பார்.
12161a010f	அப்பொழுது, நீ நிச்சயமாய் எல்லாம் வல்லவரில் மகிழ்ச்சிகொண்டு, இறைவனை நோக்கி உன் முகத்தை உயர்த்துவாய்.
12161b0114	நீ அவரிடம் வேண்டுதல் செய்யும்போது, அவர் உனக்குச் செவிகொடுப்பார்; நீ பொருத்தனைகளையும் நிறைவேற்றுவாய்.
12161c00b0	நீ தீர்மானிப்பது செய்யப்படும், உன் வழிகளிலும் ஒளி பிரகாசிக்கும்.
12161d012a	மனிதர் தாழ்த்தப்படும்போது நீ அவரிடம், ‘அவர்களை உயர்த்தும்’ என்று சொன்னால், அவர் தாழ்ந்தோரைக் காப்பாற்றுவார்.
12161e0112	அவர் குற்றமுள்ளவனையும்கூட விடுவிப்பார்; உன் கைகளின் தூய்மையின் நிமித்தம் அவன் விடுவிக்கப்படுவான்.”
1217010055	அதற்கு யோபு மறுமொழியாக சொன்னது:
1217020140	“இன்றும் என் முறையீடு கசப்பானதாக இருக்கிறது; நான் வேதனையுடன் புலம்பியும், அவருடைய கரங்கள் என்மேல் பாரமாயிருக்கின்றன.
1217030130	அவரை எங்கே கண்டுகொள்ளலாம் என்று மாத்திரம் எனக்குத் தெரிந்தாலோ, அவரின் உறைவிடத்திற்கு என்னால் போகக் கூடுமானாலோ,
12170400c8	நான் என் வழக்கை அவர் முன்னால் வைப்பேன்; என் வாயை விவாதங்களால் நிரப்புவேன்.
12170500e1	அவர் எனக்கு என்ன பதில் சொல்வார் என்பதை அறிந்து, அவர் சொல்வதை யோசித்துப் பார்ப்பேன்.
121706013a	அவர் தமது மிகுந்த வல்லமையினால் என்னை எதிர்ப்பாரோ? இல்லை, அவர் எனக்கு எதிராகக் குற்றச்சாட்டுகளைக் கொண்டுவரமாட்டார்.
1217070138	நேர்மையானவன் அவருக்குமுன் தன் வழக்கைக் கொண்டுவரலாம்; நானும் என் நீதிபதியிடமிருந்து என்றென்றும் விடுதலை பெறுவேன்.
12170800de	“ஆனால் நான் கிழக்கேபோனால் அங்கே அவர் இல்லை; மேற்கே போனாலும் நான் அவரைக் காணவில்லை.
121709016b	அவர் வடக்கிலே வேலையாயிருக்கும்போதும் நான் அவரைக் காணவில்லை; அவர் தெற்கே திரும்பும்போதும் ஒரு நொடிப்பொழுதுகூட நான் அவரைக் காணவில்லை.
12170a00f8	ஆனாலும் நான் போகும் வழியை அவர் அறிவார்; அவர் என்னைச் சோதித்தபின், நான் தங்கமாய் விளங்குவேன்.
12170b013e	என் பாதங்கள் அவருடைய அடிச்சுவடுகளை நெருக்கமாகப் பின்பற்றின; நான் விலகாமல் அவருடைய வழியையே கடைப்பிடித்திருக்கிறேன்.
12170c0167	அவருடைய உதடுகளின் கட்டளைகளிலிருந்து நான் விலகவில்லை; என் அன்றாட உணவைவிட, அவருடைய வாயின் வார்த்தைகளை ஒரு பொக்கிஷமாக நான் நினைத்தேன்.
12170d012b	“ஆனால் அவரோ தன்னிகரற்றவராய் இருக்கிறார்; அவரை யாரால் எதிர்க்கமுடியும்? தாம் விரும்பும் எதையும் அவர் செய்வார்.
12170e0134	எனக்கு திட்டமிட்டிருக்கிறதை அவர் நிறைவேற்றுகிறார்; இப்படிப்பட்ட அநேக திட்டங்களை அவர் இன்னும் வைத்திருக்கிறார்.
12170f0122	அதினால்தான் நான் அவர் முன்பு திகில் அடைகிறேன்; இவற்றையெல்லாம் சிந்திக்கும்போது அவருக்குப் பயப்படுகிறேன்.
12171000f2	இறைவன் என் இருதயத்தை சோர்வடையப் பண்ணினார்; எல்லாம் வல்லவர் என்னைத் திகிலடையப் பண்ணினார்.
121711014f	அப்படியிருந்தும், நான் இருளினால் மவுனமாக்கப்படவில்லை; என் முகத்தை மூடும் காரிருளின் நிமித்தம் நான் பேசாதிருக்கவும் இல்லை.
1218010160	“எல்லாம் வல்லவர் நியாயந்தீர்க்கும் காலத்தை மறைத்திருப்பது ஏன்? அவரை அறிந்தவர்கள் அந்நாட்களுக்காக வீணாய்க் காத்திருப்பதும் ஏன்?
1218020109	மனிதர் எல்லைக் கற்களைத் தள்ளிவைக்கிறார்கள்; அவர்கள் திருடிய மந்தைகளையே அவர்கள் மேய்க்கிறார்கள்.
1218030115	அநாதைகளின் கழுதைகளை அவர்கள் துரத்திவிடுகிறார்கள்; விதவைகளின் எருதை ஈட்டுப் பொருளாக வாங்குகிறார்கள்.
1218040157	அவர்கள் தேவையுள்ளவர்களை வழியிலிருந்து தள்ளிவிடுகிறார்கள்; அவர்களுடைய வன்முறையால் நாட்டிலுள்ள ஏழைகளை ஒழியப்பண்ணுகிறார்கள்.
121805014c	காட்டுக் கழுதை பாலைவனத்தில் அலைவதுபோல், ஏழைகள் உணவு தேடி அலைகிறார்கள்; அவர்கள் பிள்ளைகளுக்குப் பாழ்நிலம் உணவளிக்கின்றது.
1218060152	வயல்வெளிகளில் அவர்கள் தங்கள் உணவைச் சேர்க்கிறார்கள்; கொடியவர்களின் திராட்சைத் தோட்டத்தில் விடப்பட்டதை பொறுக்குகிறார்கள்.
1218070131	அவர்கள் போர்த்துக்கொள்ள உடையில்லாமல் இரவை கழிக்கிறார்கள்; குளிரில் மூடிக்கொள்வதற்கு அவர்களிடம் ஒன்றுமே இல்லை.
121808010f	மலைகளிலிருந்து வரும் மழையினால் அவர்கள் நனைகிறார்கள்; தங்குவதற்கு இடமின்றி பாறைகளில் மறைகிறார்கள்.
1218090127	தந்தையற்ற பிள்ளை தாயின் மார்பிலிருந்து பிடுங்கப்படுகிறது; ஏழையின் குழந்தை கடனுக்காகக் கைப்பற்றப்படுகிறது.
12180a00cc	ஏழைகள் உடையின்றி நடந்து, அரிக்கட்டுகளைச் சுமந்து, பசியாகவே இருக்கிறார்கள்.
12180b010f	அவர்கள் தாகத்தால் செக்கு ஆட்டி, ஒலிவ எண்ணெயை எடுக்கிறார்கள்; ஆலைகளில் திராட்சை இரசம் பிழிகிறார்கள்.
12180c0195	சாகிறவர்களின் அழுகை பட்டணத்திலிருந்து எழும்புகிறது, காயப்பட்டவர்கள் உதவிவேண்டி கதறி அழுகிறார்கள், ஆனாலும் இறைவன் அவர்கள் மன்றாட்டைக் கேட்கவில்லை.
12180d0174	“கொடியவர்கள் ஒளியை எதிர்த்துக் கலகம் செய்கிறார்கள்; அவர்கள் ஒளியின் வழிகளை அறியாமலும், அதின் பாதைகளில் நிலைத்திராமலும் இருக்கிறார்கள்.
12180e0130	பொழுது விடிகிறபோது கொலையாளி எழுந்து, ஏழையையும் தேவை மிகுந்தவர்களையும் கொன்று, இரவில் திருடனைப்போல் திரிகிறான்.
12180f01a1	விபசாரம் செய்கிறவனின் கண்கள் மாலை மங்கும்வரை காத்திருக்கின்றன; அவன், ‘என்னை ஒருவரும் பார்க்கமாட்டார்கள்’ என எண்ணி, தன் முகத்தையும் மறைத்துக்கொள்கிறான்.
1218100132	பகலில் அடையாளம் பார்த்த வீடுகளை இரவில் கன்னமிடுகிறார்கள்; வெளிச்சத்தில் எதையும் செய்ய அவர்கள் விரும்புவதில்லை.
121811012c	அவர்கள் எல்லோருக்கும் கடும் இருளே காலை நேரமாயிருக்கிறது; இருளின் பயங்கரங்களுடன் அவர்கள் நட்பு வைக்கிறார்கள்.
12181201b6	“அவர்கள் தண்ணீரின் மேலுள்ள நுரையாயிருக்கிறார்கள்; நாட்டில் அவர்களின் பங்கு சபிக்கப்பட்டிருப்பதினால், அவர்களுடைய திராட்சைத் தோட்டத்திற்கு ஒருவரும் போவதில்லை.
1218130108	வெப்பமும் வறட்சியும் உருகிய உறைபனியை பறித்துக்கொள்வதுபோல, பாதாளமும் பாவிகளை பறித்துக்கொள்ளும்.
12181401f1	அவர்களைப் பெற்றெடுத்த கர்ப்பம் அவர்களை மறந்துவிடும், புழுக்கள் அவர்களை விருந்தாக உண்ணும். தீய மனிதர் இனி ஒருபோதும் நினைக்கப்படுவதில்லை, மரத்தைப்போல் அவர்கள் முறிக்கப்படுகிறார்கள்.
1218150102	அவர்கள் பிள்ளையில்லாத மலடியின் சொத்தைப் பட்சிக்கிறார்கள், விதவைக்கும் இரக்கம் காட்டுவதில்லை.
1218160148	இறைவன் தன் வல்லமையினால் வலிமையானோரை வீழ்த்துகிறார்; அவர்கள் நிலைபெற்றிருந்தாலும், வாழ்வின் நிச்சயம் அவர்களுக்கு இல்லை.
121817013c	இறைவன் அவர்களைப் பாதுகாப்புணர்வுடன் இருக்கவிட்ட போதிலும், அவருடைய கண்களோ அவர்களைப் பார்த்துக்கொண்டேயிருக்கின்றன.
1218180213	சிறிது காலத்திற்கு உயர்த்தப்படுகிறார்கள், பின்பு இல்லாமல் போகிறார்கள். அவர்கள் தாழ்த்தப்பட்டு, மற்றவர்களைப் போல சேர்க்கப்படுகிறார்கள்; தானியக்கதிர்கள் வெட்டப்படுவதுபோல் வெட்டப்படுகிறார்கள்.
1218190116	“இது இப்படியில்லாவிட்டால், நான் பொய்யன் என நிரூபித்து, என் வார்த்தைகளை வீண் என்று யார் சொல்லமுடியும்?”
121901008c	அப்பொழுது சூகியனான பில்தாத் மறுமொழியாக சொன்னதாவது:
121902012f	“ஆளுகையும், பிரமிக்கத்தக்க பயமும் இறைவனுக்கே உரியது; அவரே பரலோகத்தின் உயரங்களில் சமாதானத்தை நிலைநாட்டுகிறவர்.
12190300d5	அவருடைய படைவீரர்களை எண்ணமுடியுமோ? அவருடைய ஒளி யார்மேல் உதிக்காமல் இருக்கிறது?
1219040153	அப்படியிருக்க ஒரு மனிதன் இறைவனுக்கு முன்பாக நேர்மையானவனாக நிற்பதெப்படி? பெண்ணிடத்தில் பிறந்தவன் தூய்மையாய் இருப்பதெப்படி?
121905010b	அவருடைய பார்வையில் சந்திரன் பிரகாசம் இல்லாமலும், நட்சத்திரங்கள் தூய்மையற்றதாயும் இருக்கும்போது,
12190600df	பூச்சியாயிருக்கும் மனிதனும், புழுவாயிருக்கும் மனுமகனும் எவ்வளவு அற்பமானவர்கள்!”
121a010055	அதற்கு யோபு மறுமொழியாக சொன்னது:
121a0200ca	“பெலவீனமானவனுக்கு நீ எப்படி உதவினாய்? தளர்ந்த கையை நீ எப்படித் தாங்கினாய்?
121a0300ee	ஞானமில்லாத ஒருவனுக்கு நீ எப்படி புத்திமதி கூறி, சிறந்த மெய்யறிவைக் காட்டியிருக்கிறாய்?
121a0400e7	இந்த வார்த்தைகளைச் சொல்ல உனக்கு உதவியவர் யார்? யாருடைய ஆவி உன் வாயிலிருந்து பேசிற்று?
121a05011a	“தண்ணீரின்கீழ் மடிந்தவர்களும் அவர்களோடே இருப்பவர்களும், இறந்தவர்களின் ஆவிகளும் பயந்து நடுங்குகின்றன.
121a0600ca	பாதாளம் இறைவனுக்குமுன் வெளியரங்கமாய் இருக்கிறது; நரகம் திறந்திருக்கிறது.
121a07010a	இறைவன் வெறுமையான வெளியில் வடதிசை வானங்களை விரிக்கிறார், அவர் பூமியை அந்தரத்திலே தொங்கவிடுகிறார்.
121a08012d	அவர் தண்ணீரைத் தம்முடைய மேகங்களில் சுற்றி வைக்கிறார், ஆனாலும் அவைகளின் பாரத்தால் மேகங்கள் கிழிந்து போவதில்லை.
121a0900e5	அவர் சிங்காசனத்தின் மேற்பரப்பின் மேலாகத் தமது மேகத்தை விரித்து, அதை மூடிவைக்கிறார்.
121a0a010e	அவர் தண்ணீரின் மேற்பரப்பில் அடிவானத்தை ஒளிக்கும் இருளுக்கும் இடையிலுள்ள எல்லையாகக் குறிக்கிறார்.
121a0b00ac	வானத்தின் தூண்கள், அவருடைய கண்டனத்தால் திகைத்து நடுங்குகின்றன.
121a0c0127	அவர் தமது வல்லமையினால் கடலை அமர்த்துகிறார், தமது ஞானத்தினால் ராகாப் கடல் விலங்கைத் துண்டுகளாக வெட்டுகிறார்.
121a0d00f8	அவருடைய சுவாசத்தினால் ஆகாயங்கள் அழகாயின; அவருடைய கரம் நெளியும் பாம்பை ஊடுருவிக் குத்தியது.
121a0e01d2	இவை அவருடைய செயல்களில் வெளிப்புற விளிம்பு மட்டுமே; அவரைப்பற்றி நாம் கேள்விப்பட்டது மிகக் கொஞ்சமே; அப்படியானால் அவருடைய வல்லமையின் இடிமுழக்கத்தை விளங்கிக்கொள்பவன் யார்?”
121b01007e	யோபு மேலும் தன் பேச்சைத் தொடர்ந்து சொன்னதாவது:
121b0200ef	“எனக்கு நீதியை மறுத்து, வாழ்வைக் கசப்பாக்கின எல்லாம் வல்ல இறைவன் வாழ்வது நிச்சயம்போலவே,
121b0300b7	எனக்குள் என் உயிரும், என் மூக்கில் இறைவனின் சுவாசமும் இருக்கும்வரை,
121b0400ba	என் உதடுகள் கொடுமையானதைப் பேசாது, என் நாவு வஞ்சகமானவற்றைச் சொல்லாது.
121b050124	நீங்கள் சொல்வது சரி என நான் ஒருபோதும் ஒத்துக்கொள்ளமாட்டேன்; நான் சாகும்வரை என் உத்தமத்தை மறுக்கவுமாட்டேன்.
121b060169	என் நேர்மையை நான் காத்துக்கொள்வேன், அதை நான் ஒருபோதும் விடமாட்டேன்; நான் உயிரோடிருக்குமட்டும் என் மனசாட்சி என்னைக் கடிந்துகொள்ளாது.
121b0700ff	“என் பகைவர் கொடியவர்களைப்போல் இருக்கட்டும், என் விரோதி அநீதியுள்ளவர்களைப்போல் இருக்கட்டும்.
121b080123	இறைவனை மறுதலிக்கிறவன் வெட்டுண்டுபோய், இறைவன் அவனுடைய உயிரை எடுத்துக்கொள்ளும்போது, அவனுடைய நம்பிக்கை என்ன?
121b0900a9	அவனுக்குத் துன்பம் வரும்போது இறைவன் அவனுடைய கதறலைக் கேட்பாரோ?
121b0a00f1	எல்லாம் வல்லவரில் அவன் மகிழ்ச்சியடைவானோ? எல்லா நேரங்களிலும் அவன் இறைவனைக் கூப்பிடுவானோ?
121b0b0123	“இறைவனின் வல்லமையைக் குறித்து நான் உங்களுக்குப் போதிப்பேன்; எல்லாம் வல்லவரின் வழிகளை நான் மறைக்கமாட்டேன்.
121b0c00a8	இவற்றையெல்லாம் நீங்கள் பார்த்திருந்தும் ஏன் இந்த வீண்பேச்சு?
121b0d014d	“கொடியவனுக்கு இறைவனிடத்திலிருந்து கிடைக்கும் பங்கும், தீயவன் எல்லாம் வல்ல இறைவனிடமிருந்து பெறும் உரிமைச்சொத்தும் இதுவே:
121b0e0178	அவனுக்கு பிள்ளைகள் அநேகர் இருப்பார்கள், ஆனால் அவர்கள் வாளுக்கு இரையாவார்கள்; அவனுடைய சந்ததியினருக்கு ஒருபோதும் போதியளவு உணவு கிடைக்காது.
121b0f00fb	அவனுக்கு மீதியானவர்கள் கொள்ளைநோய்க்குப் பலியாகும்போது, அவர்களுடைய விதவைகள் அழமாட்டார்கள்.
121b1000f1	அவன் வெள்ளியைப் தூசியைப்போலவும், உடைகளைக் களிமண் குவியலைப் போலவும் குவித்து வைத்தாலும்,
121b110136	அவன் குவித்து வைத்ததை நேர்மையானவர்கள் உடுத்துவார்கள், குற்றமற்றவர்கள் அவனுடைய வெள்ளியைப் பகிர்ந்துகொள்வார்கள்.
121b120131	அவன் தன்னுடைய வீட்டை சிலந்தி பூச்சியின் கூட்டைப்போலவும், காவற்காரன் கட்டிய சிறுகுடிசையைப்போலவும் கட்டுகிறான்.
121b13015c	அவன் செல்வந்தனாக படுக்கைக்குப் போகிறான், ஆனால் தொடர்ந்து அப்படியிரான்; அவன் தன் கண்களைத் திறக்கும்போது எல்லாமே போய்விடுகின்றன.
121b1400fc	பயங்கரங்கள் வெள்ளம்போல் அவனை மேற்கொள்கின்றன; இரவில் பெரும்புயல் அவனை அள்ளிக்கொண்டுபோகிறது.
121b150137	கொண்டல் காற்று அவனை அடித்து செல்கிறது, அவன் காணாமல் போகிறான்; அவன் இருப்பிடத்திலிருந்து அவனை வாரிக்கொண்டுபோகிறது.
121b1600cc	அது இரக்கமின்றி அவனை விரட்டும்; இறைவனுடைய கைக்குத் தப்பியோட பார்ப்பார்கள்.
121b170104	மக்கள் அவனைப் பார்த்துக் கைகொட்டி ஏளனம் செய்து, அவனை அவனுடைய இடத்தைவிட்டு விரட்டிவிடுவார்கள்.”
121c0100ba	வெள்ளிக்குச் சுரங்கமும் தங்கத்திற்கு சுத்திகரிக்கும் இடமும் உண்டு.
121c0200e6	இரும்பு பூமியிலிருந்து எடுக்கப்படுகிறது, செம்பு கற்களில் உருக்கி எடுக்கப்படுகிறது.
121c03010f	மனிதன் இருளுக்கு முடிவுண்டாக்கி, உலோக மூலப்பொருட்களைக் காரிருளிலும் ஆழமான குழிகளிலும் தேடுகிறான்.
121c040139	அவன் மிகத் தொலைவில் சுரங்க வாசலை வெட்டுகிறான், காலடிகளே படாத, மனித நடமாட்டம் இல்லாத ஆழத்தில் ஊசலாடித் தொங்குகிறான்.
121c0500d0	உணவு கொடுக்கும் பூமி அதின் கீழ்ப்பகுதியிலுள்ளவை நெருப்பினால் உருமாறுகிறது.
121c060102	அதின் பாறைகளிலிருந்து நீலக்கற்கள் விளைகின்றன, அதின் தூசி தங்கத்துகள்களை உடையதாயிருக்கின்றது.
121c0700ea	இரைதேடும் ஒரு பறவைகூட அந்த மறைவான பாதையை அறியாது; பருந்தின் கண்ணும் அதைக் காண்பதில்லை.
121c0800d8	கொடிய மிருகங்கள் அங்கு அடியெடுத்து வைப்பதுமில்லை; சிங்கம் அங்கு திரிவதுமில்லை.
121c0900df	மனிதனின் கையே கடினமான பாறையைத் தாக்கி, மலைகளின் அடிவாரங்களை வேரோடே புரட்டுகிறான்.
121c0a010f	அவன் கன்மலையில் வாய்க்கால்களை வெட்டுகிறான்; அவனுடைய கண்கள் அதின் பொக்கிஷங்களையெல்லாம் காண்கின்றன.
121c0b0113	ஆறுகளின் உற்பத்தியிடங்களை ஆராய்ந்து, மறைந்திருக்கும் பொருட்களை வெளிச்சத்திற்குக் கொண்டுவருகிறான்.
121c0c00ba	ஆனால் ஞானம் காணப்படுவது எங்கே? விளங்கும் ஆற்றல் குடியிருப்பது எங்கே?
121c0d00f3	மனிதன் அதின் மதிப்பைப் புரிந்துகொள்வதில்லை; உயிர்வாழ்வோரின் நாட்டில் அதைக் காணமுடியாது.
121c0e00d9	“அது என்னிடம் இல்லை” என ஆழம் சொல்கிறது; “அது என்னுடன் இல்லை” என கடலும் கூறுகிறது.
121c0f0102	சுத்தத் தங்கத்தைக் கொடுத்து, அதை வாங்கமுடியாது, அதின் மதிப்பை வெள்ளியால் நிறுக்கவும் முடியாது.
121c1000dc	ஓப்பீரின் தங்கமும், விலையேறப்பெற்ற கோமேதகமும், இந்திர நீலக்கல்லும் அதற்கு ஈடல்ல.
121c1100fb	பொன்னும் பளிங்கும் அதற்கு இணையாகாது, தங்க நகைகளைக் கொடுத்தும் அதைப் பெற்றுக்கொள்ள முடியாது.
121c120111	பவளத்தையும் மரகதத்தையும் ஒரு பொருட்டாக எண்ண முடியாது; ஞானத்தின் விலை மாணிக்கக் கற்களைவிட உயர்வானது.
121c1300de	எத்தியோப்பியாவின் புஷ்பராகம் அதற்கு நிகரல்ல; சுத்தப் பொன்னால் அதை வாங்கமுடியாது.
121c1400de	அப்படியானால் ஞானம் எங்கிருந்து வருகிறது? விளங்கும் ஆற்றல் எங்கே குடியிருக்கிறது?
121c1500e6	அது உயிருள்ள அனைவருக்கும், ஆகாயத்துப் பறவைகளுக்குங்கூட மறைக்கப்பட்டும் இருக்கிறது.
121c1600f2	“இதைப் பற்றிய வதந்தி மட்டுமே எங்கள் காதுகளுக்கு எட்டின” என்று அழிவும் சாவும் சொல்கின்றன.
121c1700c7	அதின் வழி இறைவனுக்குத் தெரியும்; அதின் குடியிருப்பை அவர் மட்டுமே அறிவார்.
121c180107	ஏனெனில் பூமியின் கடைமுனைகளை அவர் பார்க்கிறார், வானத்தின் கீழுள்ள ஒவ்வொன்றையும் அவர் காண்கிறார்.
121c19009a	அவர் காற்றின் பலத்தை நிலைநாட்டி, தண்ணீர்களை அளந்தபோதும்,
121c1a0104	மழைக்கு ஒரு நியமத்தை விதித்தபோதும், இடிமுழக்கத்தோடு கூடிய மின்னலுக்கு ஒரு பாதையை வகுத்தபோதும்,
121c1b00ce	அவர் ஞானத்தைப் பார்த்து மதிப்பிட்டார்; அதை உறுதிப்படுத்தி சோதித்தறிந்தார்.
121c1c012c	இறைவன் மனிதனிடம், “யெகோவாவுக்கு பயந்து நடத்தலே ஞானம், தீமைக்கு விலகி நடப்பதே விளங்கும் ஆற்றல்” என்று சொன்னார்.
121d01007e	யோபு மேலும் தன் பேச்சைத் தொடர்ந்து சொன்னதாவது:
121d0200ec	“கடந்துபோன மாதங்களை, இறைவன் என்னைக் கண்காணித்த நாட்களை, நான் எவ்வளவாய் விரும்புகிறேன்!
121d030105	அந்நாட்களில் அவருடைய விளக்கு என் தலைமேல் பிரகாசித்தது; அவருடைய ஒளியினால் நான் இருளில் நடந்தேன்.
121d0400b7	வாலிப நாட்களில், இறைவனின் நெருங்கிய நட்பு என் வீட்டை ஆசீர்வதித்தது.
121d0500db	எல்லாம் வல்லவர் என்னோடு இருந்தார், என் பிள்ளைகளும் என்னைச் சூழ்ந்திருந்தார்கள்.
121d060119	என் காலடிகள் வெண்ணெயால் கழுவப்பட்டது; கற்பாறையிலிருந்து எனக்காக ஒலிவ எண்ணெய் ஊற்றெடுத்துப் பாய்ந்தது.
121d070101	“அந்நாட்களில் நான் பட்டணத்தின் வாசலுக்குச் சென்று, பொது இடத்தில் எனது இருக்கையில் அமரும்போது,
121d0800d8	வாலிபர்கள் என்னைக் கண்டு ஒதுங்கி நின்றார்கள்; முதியவர்கள் எழுந்து நின்றார்கள்.
121d0900c7	அதிகாரிகள் பேச்சை நிறுத்திவிட்டு தங்கள் கைகளால் வாயை மூடிக்கொண்டார்கள்.
121d0a00e4	உயர்குடி மக்களின் குரல்களும் அடங்கின, அவர்களுடைய நாவுகள் மேல்வாயோடு ஒட்டிக்கொண்டன.
121d0b0112	என்னைக் கேட்டவர்கள் என்னைப்பற்றி நன்றாக பேசினார்கள், என்னைக் கண்டவர்களும் என்னைப் பாராட்டினார்கள்.
121d0c00f9	ஏனெனில் உதவிக்காக அழுத ஏழைகளையும், உதவுவாரில்லாத தந்தையற்றவர்களையும் நான் காப்பாற்றினேன்.
121d0d011f	செத்துக்கொண்டிருந்த மனிதன் என்னை ஆசீர்வதித்தான்; நான் விதவையைத் தன் உள்ளத்தில் மகிழ்ந்து பாடச்செய்தேன்.
121d0e0114	நான் நேர்மையை என் உடையாக அணிந்திருந்தேன்; நியாயம் என் அங்கியாகவும், தலைப்பாகையாகவும் அமைந்திருந்தது.
121d0f00b8	நான் குருடனுக்குக் கண்களாயும், முடவனுக்குக் கால்களாயும் இருந்தேன்.
121d1000e8	நான் தேவையுள்ளோருக்கு தகப்பனாக இருந்து, அறியாதவனின் வழக்கில் நான் அவனுக்கு உதவினேன்.
