0100000009	መተꬅ
0f022e003b	አጋባ ያራ፥ ሳምላ ያራ፥ ሀናና ያራ፥
0f022f0038	ጋዳላ ያራ፥ ጋሃራ ያራ፥ ራያ ያራ፥
0f0230003e	ራአሶና ያራ፥ ናቆዳ ያራ፥ ጋሳማ ያራ፥
0f02310038	ኦዛ ያራ፥ ፋሴሀ ያራ፥ በሳያ ያራ፥
0f02320044	አስና ያራ፥ መኡንማ ያራ፥ ንፉሴስማ ያራ፥
0f02330041	ባቅቡቃ ያራ፥ ሀቁፋ ያራ፥ ሀርሁራ ያራ፥
0f0234003e	ባስሉታ ያራ፥ ማህዳ ያራ፥ ሀርሳ ያራ፥
0f0235003b	ባርቆሳ ያራ፥ ስሳራ ያራ፥ ቴማ ያራ፥
0f02360027	ናስያ ያራነ ሀፅፋ ያራ።
0f02370089	ሀይሳቲ ድኦፐ ስምዳ ሶሎሞነ ኦሳንቾታ ያራታ፤ ሶፃያ ያራ፥ ሶፌረታ ያራ፥ ፋሩዳ ያራ፥
0f0238003e	ያእላ ያራ፥ ዳርቆና ያራ፥ ጋዳላ ያራ፥
0f02390069	ሳፋፃ ያራ፥ ሀፄላ ያራ፥ ፋክራታ ያራ፥ ሀፃቦይማ ያራነ አማ ያራ።
0f023a007b	ድኦፐ ስሚድ፥ ፆሳ ኬꬃን ኦꬅያ አሳ ያራትነ ሶሎሞነ አይለታ ያራታ ታይቦይ 392.
0f023b0120	ሀይሳፈ ካለይሳት ቃስ ታልመላ፥ ተላረሳ፥ ካሩባ፥ አዳናነ እመራ ካታማታፐ የሩሳላመ ስምዶሶና። ሽን ኤንቲ ዎይኮ ኤንታ አዋት እስራኤለ ሼሽ ግደይሳ ኤርሳናዉ ኤንቲ ዳንዳእቦኮና።
0f023c0032	ዳላያ፥ ፆቢያነ ናቆዳ ያራት 652.
0f023d0102	ካህነታፐ አባያ ያራይ፥ አቆሳ ያራይነ ባርዝለ ያራይ ስምዶሶና። ባርዝለይ ሀ ሱንꬃን ፄገታናዉ ዳንዳእዳይ ጋላዳ ቢታ አስ ግድዳ ባርዝለ ናእዉ ማቾ ኤክዳ ግሾሳ።
0f023e00e4	ሀይሳቲ ባንታ የለታ ፃጱዋ ኤራናዉ የለታ ማፃፋን ኮይዶሶና፥ ሽን ደምቦኮና። ሄሳ ግሾ፥ ኤንቲ ቱና ጌተትድ ካህነተꬃን ኦꬆና መላ ድገትዶሶና።
0f023f00d2	ኡሪመንነ ቱሚመን ሻክድ ፕርድያ ካህነይ ደንዳና ጋካናዉ፥ ኤንቲ ጌሻ ካꬃፈ ማናዉ ዳንዳኦናይሳ አይሁደታ አይሰይስ ኤንታዉ ኦድስ።
0f02400043	ድኦፐ ይሁዳ ስምዳ አሳ ታይቦይ ኩመꬅ 42,360.
0f0241008d	ሄስካ 7,337 አደነ ማጫ አይለታ ጉጁና ደእሽና። ኤንታ ግዶን 200 አደነ ማጫ ዛማረት ደኦሶና።
0f0242003f	ድኦፐ ስምዳ አሳ ፓራት 736፤ ባቁሎት 245፤
0f02430024	ግማለት 435፤ ሀረት 6,720.
0f024400d6	ኤንቲ የሩሳላመን ደእያ ፆሳ ኬꬃ ጋክዳ ዎደ እስ እስ ሶ አሳ ሀላቃት ፆሳ ኬꬃይ ካሰ ባ በሳን ኬፀታና መላ ባንታ ዶሳን እሞታ እምዶሶና።
0f024500de	እሶይ እሶይ ባዉ ዳንዳእዳ መላ ፆሳ ኬꬃ ኦሱዋስ እሞታ እሚስ፤ እሞታይ 500 ክሎ ግራመ ዎርቃ፥ 2,800 ክሎ ግራመ ብራነ 100 ካህነታ ማኦ እምዶሶና።
0f0246016c	ሄሳፈ ጉየ፥ ካህነት፥ ሌወትነ ጉꬃ አሳይ የሩሳላመን ኡትዶሶና፤ ዛማረት፥ ፆሳ ኬꬃ ፐንገ ናገይሳትነ ፆሳ ኬꬃን ኦꬅያ ኦሳንቾት የሩሳላመ ዩሾን ደእያ ካታማታን ኡትዶሶና፤ አትዳ አሳ ኡባይ ባንታ ካታማታን ካታማታን ኡትዶሶና።
0f03010092	ላፑንꬃ አጌናን እስራኤለ አሳይ ባንታ ደእያ ካታማታፐ እስ አስ ግድድ የሩሳላመ ሺቅዶሶና።
0f0302012c	እዮሳደቃ ናኣ እያሱነ፥ እያራ ኦꬅያ ካህነት፥ ሳላትያላ ናኣ ዛሩባበልነ እያ ዳቦት ፆሳ አስ ግድዳ ሙሰ ህግያን ፃፈትዳይሳዳ ፁሳ ያርሾ ያርሻናዉ፥ እስራኤለ ፆሳስ ያርሾ በሲ ጊግስዶሶና።
0f030300d3	ሄ ቢታን ደእያ አሳ እፁዋፐ ደንዶይሳን ያይኮካ፥ ያርሾ በሲ ካሰ በሳን ኬፅድ፥ ፁሳ ያርሾ ጎዳስ ኡባ ዎደ ዎንታነ ኦማርስ ሺሽዶሶና።
0f030400a2	ካሰ ፃፈትዳይሳዳ ሻቃራ ባኣለ ቦንችዶሶና፤ ፁሳ ያርሾ እስ እስ ጋላስ ኮሸይሳዳ ፓጭሶና ያርሽዶሶና።
0f03050103	ቃስ ኡባ ዎደ ሺቅያ ፁሳ ያርሾ፥ አጌና ፄሮ ያርሾነ ጎዳ ጌሻ ባለታን ያርሽያ ያርሾ ኡባ ያርሽዶሶና። ሄሳ ቦላካ አሳይ ባ ዶሳን ጎዳስ እምዳ እሞታ ኡባ ያርሽዶሶና።
0f030600a8	ፆሳ ኬꬃ ባሶይ ቡሮ ዶመቶናባ ግድኮካ ላፑንꬃ አጌናን ኮይሮ ጋላስ ኤንቲ ጎዳስ ፁሳ ያርሾ ሺሾ ዶምዶሶና።
0f03070141	ሄሳፈ ጉየ፥ ሹቹ ማሰይሳታስነ አናፀታስ ሚሸ እምድ ኦሶ ኦይክዶሶና። ፋርሰ ካዎይ ቅሮስ ኤንታዉ ኪትዳ ግሾ፥ ልባኖሳፐ ዝጋ አባ ፕንꬅድ፥ ዮጰ ኤሀናዉ ስዶናነ ፅሮሳ አሳስ ካꬅ፥ ኡሽነ ዛይተ እምዶሶና።
0f030801ee	ኤንቲ የሩሳላመ ስምዳ ናምአንꬆ ላይꬃን ናምአንꬆ አጌናን፥ ሳላትያላ ናአይ ዛሩባበል፥ እዮሳደቃ ናኣ እያሱይነ ኤንታ ዳቦት፥ ካህነት፥ ሌወትነ ድኦፐ ስምዳ አሳ ኡባይ ፆሳ ኬꬃ ካሰ በሳን ኬፆ ዶምዶሶና። ቃስ ፆሳ ኬꬃ ኦሱዋ አዋተꬃን ፄላና መላ ላታሙ ላይꬅ ግድዳይሳታነ ላታሙ ላይꬃፈ አꬍዳ ሌወታ ሹምዶሶና።
0f03090133	ሌወ ኮቸ ግድዳ እያሱ፥ እያ ናይታነ እያ ዳቦት፥ ሆዳዋ ሶ አስ ግድዳ ቃድምኤልነ እያ ናይት እስፈ ግድድ፥ ፆሳ ኦሱዋ ኦስሳና መላ አዋተꬅ ኤክዶሶና፤ ኤንሀዳዳ ኮቸ ግድዳ ሌወት ኤንታ ማድዶሶና።
0f030a011f	አናፀት ፆሳ ኬꬃ ባሱዋ የገꬅ ኦይክያ ዎደ፥ ካህነት ባንታ ማኦ ማእድ ሞይዘ ኦይክድ፥ አሳፋ ኮቸ ግድዳ፥ ሌወት ዳላ ኦይክድ፥ እስራኤለ ካዋ ዳዊታ ዎጋ መላ ጎዳ ጋላታናዉ ኤቅዶሶና።
0f030b0180	ኤንቲ ጎዳ ጋላትሸነ እሶይ እሱዋ ካል ካል ማዝሙረን ሳቢሸ፥ ሀይሳዳ ያግድ ዛማርዶሶና። “ጎዳይ ኬሀ፤ እስራኤለስ ደእያ እያ ሲቆይ መርናሳ” ያግዶሶና። ፆሳ ኬꬃ ባሶይ የገትያ ግሾ፥ አሳ ኡባይ ባንታ ቃላ ꬎቁ ኦꬅድ እልልሸ ጎዳ ጋላትዶሶና።
0f030c0129	ሽን ካሰ ፆሳ ኬꬃ በእዳ ጭማ ካህነታፐ፥ ሌወታፐነ ኮቻታ ሀላቃታፐ ዳሮት ሀእ ፆሳ ኬꬃ ኬፃናዉ የገትዳ ባሱዋ በእዳ ዎደ ባንታ ቃላ ꬎቁ ኦꬅድ ዬክዶሶና፤ ሀራት ቃስ ኡፋይትሸ ቦንችዶሶና።
0f030d00ba	ኦንካ ኡፋይሳ እልልሳነ ዬሆ ዋሱዋ ሻካናዉ ዳንዳእቤና፤ አሳይ ዋስያ ዋሶይ ዎልቃማ ግድያ ግሾ ዋሶይ ሃሆን ስኤቴስ።
0f040100a8	ይሁዳስነ ብንያመስ ሞርከ ግድዳ አሳይ፥ ድኦፐ ስምዳይሳት ጎዳስ፥ እስራኤለ ፆሳስ ኬ ኬፀይሳ ስእዶሶና።
0f0402012a	ዛሩባበላኮነ እስራኤለ ያራ ሀላቃታኮ ይድ፥ “አሶረ ካዎይ አስራዶን ኑና ሀ በሳ ኤህዳ ጋላሳፐ ዶምድ፥ ኑካ ህንተ ፆሳ ጎይኖስ፥ እያዉ ያርሾስ። ሄሳ ግሾ፥ ኑካ ህንተራ ኬፃና” ያግዶሶና።
0f04030132	ሽን ዛሩባበል፥ እያሱይነ እስራኤለ ያራ ሀላቃት፥ “ኑ ፆሳ ኬꬃ ኬፃናዉ ኑስነ ህንተዉ ግሾይ ባዋ። ሽን ፋርሰ ካዎይ ቅሮስ ኪትዳይሳዳ ጎዳ፥ እስራኤለ ፆሳ ኬꬃ ኑኒ ኑ ፃላላ ኬፃና” ያግዶሶና።
0f040400b4	ሄሳፈ ጉየ፥ ሄ ቢታን ደእያ አሳይ፥ ይሁዳ አሳይ ፆሳ ኬꬃ ኬፆና መላ ኡፋይስ ቃንፅሳናዉነ ያሽሳናዉ ደንድዶሶና።
0f040500a5	ፋርሰ ካዋ ቅሮሳ ላይꬃፈ ብድ ዳርዮሳ ካዎተꬃ ጋካናዉ ኤንቲ ይሁዳ አሳ ዞረታ ላላና መላ አሰ ሻምዶሶና።
0f04060074	አርፀክስስ ካዎትዳ ዎደ ይሁዳነ የሩሳላመ አሳ ሞታናዉ ፓይለ ዶይዶሶና።
0f0407010f	አርፀክስሳ ካዎተꬃ ላይꬃን፥ ብሽላም፥ ምትርዳት፥ ፃቤልነ ኤንታ ባጋ ግድድ፥ ፋርሰ ካዋ አርፀክስሳስ ዳብዳበ ፃፍዶሶና፤ ሄ ዳብዳበይ አራምከ ፕዳለንነ ዶናን ፃፈትስ።
0f040800a1	ቢታ አይስያ ረሁምነ ፃፈይ ስምሳይ የሩሳላመባ ሀይሳዳ ያግድ፥ ካዋ አርፀክስሳስ ዳብዳበ ፃፍዶሶና፤
0f040900fb	“ሀ ዳብዳበይ ቢታ አይስያ ረሁማፐ፥ ፃፍያ ስምሳያፐ፥ በተራፕለሳፐ፥ ፋርሰፐ፥ አርካፈ፥ ባብሎነፐ ሱሳፐነ ኤላማ ቢታን ደእያ ዳይናታፐነ ቢታ አይሰይሳፈ፥
0f040a00b9	ቃስ ግታነ ቦንቸትዳ ካዋ አስናፋር ድእድ ሳማረንነ ኤፍራፂሳ ሻፋፐ ሄፍንꬃን ዎꬅዳ አሳ ኡባፈ ፃፈትስ” ያግዶሶና።
0f040b00bb	ኤንታ ዳብዳበይ ሀይሳዳ ያጌስ፤ “ካዋ አርፀክስሳስ፥ ኤፍራፂሳ ሻፋፐ ሄፍንꬃን ደእያ ነ ሞርናታፐ የደትዳ ዳብዳበ።
0f040c0113	“ካዋዉ፥ ነ ማታፐ ኑኮ ይዳ አይሁደት የሩሳላመ ይድ፥ ሀ ማካላነ ኢታ ካታምዉ ዛሪድ ኬፆ ቦላ ደኤይሳ ኤራ። እ ግምበ ድርሳ ኦራꬆሶና፤ እ ባሱዋ የጎሶና፤ እ ፃጱዋ ምንꬆሶና።
0f040d00da	ሄሳ ቦላ ቃስ፥ ሀ ካታምያ ኬፀትኮነ እ ድርሳ ግምበይ ኦራፅኮ ኤንቲ ጊራነ ቃራፃ ቃንፆናይሳ ኤራ፤ ካዎ ኬꬅ ገልያ ሚሸይ ጉፃናይሳ አኬካ።
0f040e00a7	ኑኒ ካዎይ ሹምን ኦ ይሳታ ግድያ ግሾነ ካዎይ ካዉይሽን በአናዉ ኮዮና ግሾ ሀይሳ ነ ኤራና መላ ግድ ኦዶስ።
0f040f0111	ሄሳ ግሾ፥ ካሰ ነ አዋታ ታርከ ማፃፋይ ኮየትድ ፄለቶ፤ ሄ ፃፈትዳባፐ ሀ ካታምያ ማካላነ ካዎታስነ ቢታታስ መቶ መꬋሸ ደእዳይሳ ኤራናዉ ዳንዳኣሳ፤ ሄሳ ጋሶን እያ ላለታሱ።
0f041000d1	ሀ ካታምያ ኬፀትያነ እ ድርሳ ግምበይ ኦራፅያባ ግድኮ፥ ኤፍራፂሳ ሻፋፐ ሄፍንꬃን ደእያ ቢታይ ነ ኩሸፐ ከይዳይሳ ኤራ” ያግዶሶና።
0f041100f5	ካዎይ ሀይሳዳ ግያ ዛሮ ኤንታዉ የድስ፤ “ቢታ አይስያ ረሁማ፥ ፃፍያ ስምሳያ፥ ሳማረንነ ኤፍራፂሳ ሻፋፐ ሄፍንꬃን ደእያ ኤንታራ እስፍዳ አሳ ሳሮ ጋይስ።
0f04120057	ህንተ ታዉ የድዳ ዳብዳበይ ብርሸትድ ናባበትን ስአስ።
0f041300bf	ታ ኪታን፥ ካሰ ታርከይ ኮየትድ ፄለትያ ዎደ፥ ሀ ካታምያ በንፐካ ካዎታስ ማካላነ መቶ መꬋሸ ደእያ ቢታ ግደይስ ኤረትስ።
0f041400b5	የሩሳላመን ዎልቃማ ካዎት ካዎትዶሶና፤ ኤፍራፂሳ ሻፋፐ ሄፍንꬃን ደእያ ቢታፈካ ሄ ካዎት ጊራነ ቃራፃ ኤክዶሶና።
0f04150093	ሄሳ ግሾ፥ ታኒ ኤንታዉ ሀ ኪታ እማና ጋካናዉ፥ ሀ አሳት ሄ ካታምዉ ኬፀይሳ ኤሳና መላ ኦድተ።
0f04160081	ህንተ ሀ ኦዳ ቀል ጎና መላ ናገትተ፤ ካዎታስ መቶ ዳርሳናዉ ኮሸና” ያግድ ኪትስ።
0f04170109	ካዋ አርፀክስሳ ዳብዳበይ ረሁማስ፥ ፃፍያ ስምሳያስነ ኤንታራ ደእያ ኡባስ ናባበትዳ ዎደ የሩሳላመን ደእያ አይሁደታኮ ኤለስ ብድ፥ ኤንቲ ኬፀይሳ ዎልቃን ኤስዶሶና።
0f0418009a	ሄ ዎደፐ ዶምድ የሩሳላመን ደእያ ፆሳ ኬꬃ ኦሶይ ዳርዮስ ካዎትዳ ናምአንꬆ ላይꬅ ጋካናዉ ኤቅስ።
0f050100c3	ሄ ዎደ ናምኡ ናበት ሀገይነ ዛካርያስ ይሁዳንነ የሩሳላመን ደእያ አይሁደ አሳስ እስራኤለ ፆሳ ሱንꬃን ትንብተ ኦድዶሶና።
0f05020100	ሳላትያላ ናአይ ዛሩባበልነ እዮሳደቃ ናአይ እያሱይ ደንድድ፥ የሩሳላመን ደእያ ጎዳ ኬꬃ ዛሪድ ኬፃናዉ ዶምዶሶና። ፆሳ ናበትካ ኤንታ ማድሸ ኤንታራ ደእዶሶና።
0f05030124	ሄ ዎደ ኤፍራፂሳ ሻፋፐ ሄፍንꬃን ደእያ ቢታ አይስያ ታንታን፥ ሳታርቡዛንነ ኤንታራ ደኤይሳት የሩሳላመ ይድ፥ “ሀ ኬꬃ ህንተ ኬፃና ማላ ህንተዉ ማታ እምዳይ ኦኔ?” ያግድ ኦይችዶሶና።
0f05040063	ቃስ፥ “ሀ ኬꬃ ኬፅያ አሳታ ሱንꬃይ ኦኔ?” ያግድ ኦይችዶሶና።
0f050500c3	ሽን ፆሳ አይፈይ ይሁዳ ጭማታ ቦላ ደእያ ግሾ፥ ሀ ኦዳይ ዳርዮሳኮ ጋክን፥ ዳብዳበይ ያና ጋካናዉ ኤንታ ኦንካ ኦሶ ድግበና።
0f050600b8	ኤፍራፂሳ ሻፋፐ ሄፍንꬃ ቢታ አይስያ ታንታናያ፥ ሳታርቡዛንነ ኤንታራ ኦꬅያ ካዋ ዳርዮሳስ ፃፍዳ ዳብዳበይ ሀይሳ።
0f05070089	ኤንቲ እያዉ የድዳ ዳብዳበይ ሀይሳዳ ያግድ ናባበቴስ። ካዋ ዳርዮሳ፥ ሳሮይ ነዉ ግዶ።
0f05080109	ኑኒ ይሁዳ ቢታን ደእያ ግታ ፆሳ ኬꬃ ብድ በእዳይሳ ካዎይ ኤሮ። ሄ ፆሳ ኬꬃይ ግታ ሹቻን ኬፀትስ፤ ግምበ ቱሳት ከይዶሶና፤ ኦሶይካ ግታ አኬካንነ ኤሶን ኦሰትሸ ደኤስ።
0f05090078	“ኑኒ፥ ሀ ኬꬃ ኬፃና ማላ ህንተዉ ማታ እምዳይ ኦኔ?” ያግድ ጭማታ ኦይችዳ።
0f050a007c	ቃስ ኤንታና ካለꬅያ አሳታ ሱንꬃይ ኦነኮ ፃፍድ ነና ኤርሳናዉ ኤንታ ኦይችዳ።
0f050b00da	ኤንቲ ሀይሳዳ ያግድ ዛርዶሶና፦ “ኑኒ ሳሎነ ሳአ ፆሳ አይለታ፤ ኑኒ ዳሮ ላይꬃፈ ካሰ ግታ እስራኤለ ካዎይ ኬፅድ ፖልዳ ኬꬃ ዛሪድ ኬፆስ።
0f050c00df	ኑ አዋት ሳሎ ፆሳ ሀንቀꬅዳ ግሾ፥ እ ኤንታ ባብሎነ ካዋ ናቡካዳናፆራ ኩሸን አꬅድ እሚስ። እ ሀ ኬꬃ ላልስ፤ አሳ ድእድ ባብሎነ ቢታ ኤፍስ።”
0f050d0092	“ሽን ባብሎነ ካዎይ ቅሮስ ባ ካዎትዳ ኮይሮ ላይꬃን፥ ፆሳ ኬꬃ ዛር ኬፃና መላ አዋጆ ከስስ።
0f050e0154	ናቡካዳናፆር የሩሳላመን ደእያ ፆሳ ኬꬃፈ ኤክ ኤፍድ፥ ባብሎነ ቢታን ደእያ ባ ካዎ ጋꬎን ዎꬅዳ ዎርቃነ ብራ ሚሸታካ ቅሮስ ዛሪድ የድስ። ሄ ሚሸት ካዎይ ቅሮስ ይሁዳ ቢታ አይሳና መላ ዶርዳ ሰሳብሳራ ኩሸን እመትስ።
0f050f00af	ካዎይ፥ ‘ሀ ሚሸታ ኤካ ኤፋዳ የሩሳላመን ደእያ ፆሳ ኬꬃን ዎꬃ፤ ፆሳ ኬꬃይካ ካሰ ደእያ በሳን ኬፀቶ’ ያግን፥
0f051000d1	ሰሳብሳር ይድ፥ ‘ፆሳ ኬꬃ ኬፅያ በሳን የሩሳላመን ባስስ። እ ሀእ ጋካናዉ ዉርቤና፤ ሄ ዎደፐ ዶምድ፥ ኬፀትሸ ደኤስ’” ያግዶሶና።
0f05110193	“ህዛ ሀ ኦዳይ ካዋ ኡፋይስያባ ግድኮ፥ አነ ካዎይ ቅሮስ ሀ ፆሳ ኬꬃ የሩሳላመን ኬፃና መላ፥ ቱማካ አዋጁዋ ከስዳኮ ኤራናዉ ካሰ አꬍዳ ባብሎነ ካዎታ ታርከ ማዝጋበይ ኮየትድ ፄለቶ። ሄሳፈ ጉየ፥ ካዎይ ሀ ኦዳ ዋታናዉ ቆፕዳኮ ኑና ኤርሶ” ያግድ ፃፍዶሶና።
0f0601009d	ሄሳ ግሾ፥ ካዎይ ዳርዮሳ ኪታን፥ ባብሎነ ደእያ ሚሸ ዎꬅያ ኬꬃን ደእያ ታርከ ማዝጋበታ ኮይዶሶና።
0f06020099	ሜዶና አዉራጃን አህማታ ካታማን እስ ፃꬃ ማፃፍ በንትስ፤ ሄ ማፃፋን ፃፈትዳባይ ሀይሳዳ ያጌስ፦
0f06030180	“ካዎይ ቅሮስ ባ ካዎትዳ ኮይሮ ላይꬃን፥ የሩሳላመን ደእያ ፆሳ ኬꬃ ግሾ፥ ሀይሳዳ ግያ አዋጆ ከስስ። ፆሳ ኬꬃይ ያርሾ ሺሽያ በሲ ግድድ ዛር ኬፀቶ፤ እያ ባሶይካ የገቶ። ሄ ኬꬃ አዱሳተꬃይ ኡሱፑን ታሙ ዋꬋ፥ ዳልጋተꬃይ ኡሱፑን ታሙ ዋꬋ ግዶ።
0f060400a8	ሄꬑ ቶሆ ግታ ሹቻን ዩሾ፥ እስ ቶሆ ምꬃ ቱሳት ዩዮ። ሄሳስ ኮሽያ ሚሸ ኡባይ ካዎ ሻሎ ምንጅያ ኬꬃፈ እመቶ።
0f060500f0	ናቡካዳናፆር የሩሳላመን ደእያ ፆሳ ኬꬃፈ ኤክድ፥ ባብሎነ ኤህዳ ፆሳ ኬꬃ ዎርቃነ ብራ ሚሸት ባንታ በሳ ጉየ የሩሳላመ ስሚድ፤ ፆሳ ኬꬃን ደኦ” ያግስ።
0f0606010b	ሄሳፈ ጉየ፥ ዳርዮስ ፃፍዳ ዳብዳበይ ሀይሳዳ ያጌስ። “ህንተኖ ኤፍራፂሳ ሻፋፐ ሄፍንꬃ ቢታ አይስያ ታታናያ፥ ሳታርቦዝንያነ ኤንታራ ኦ ይሳቶ፥ ሀ ፆሳ ኬꬃኮ ሺቆፕተ።
0f060700a2	ሀ ፆሳ ኬꬃ ኦሱዋስ ꬉበ ግዶፕተ። አይሁደታ ሀላቃትነ አይሁደ ጭማት ፆሳ ኬꬃ ካሰ በሳን ዛሪድ ኬፆ።”
0f06080133	ሄሳ ቦላ ቃስ፥ “ሀ አይሁደ ጭማት ፆሳ ኬꬃ ኬፅያ ዎደ፥ ኤንቲ ኦꬅያ ኦሶይ ኤቆና መላ ኤንታዉ ኮሽያ ሚሸ ኡባ ኤፍራፂሳ ሻፋፐ ሄፍንꬃ ቢታፈ ሺሽዳ ካዋ ጊራ ሚሽያፐ ኤንታዉ እማና መላ ታኒ ኪታስ።
0f06090166	የሩሳላመን ደእያ ካህነት ሳሎ ፆሳስ ፁሳ ያርሾ ያርሻናዉ ኮሽያ ዎፋኖ ግድን፥ ማራዘ ግድን ዎይኮ ዶርሳ ኡርገ ግድን ኤንታዉ እምተ። ቃስ አይባካ ፓጭሶና ኤንቲ ኮይያ ግስተ፥ ማፅነ፥ ዎይነነ ዛይተ ኤንታዉ ጋላስ ጋላስ እምተ።
0f060a0090	ሄሳ ህንተ እመይ ኤንቲ ሳሎ ፆሳ ኡፋይስያ ያርሾ ያርሻናሳነ ካዋስነ እያ ናይታስ ዎሳናሳ።
0f060b00ac	ሀ አዋጁዋ ላምያ ኦንካ ደእኮ፥ እያ ኬꬃ ቱሳ ሾድድ፥ ሄ ቱሳ ቦላ እያ ካቆ፤ እያ ኬꬃይካ ፕቶ የግያ በሰ ግዶ።
0f060c015c	ሀ ኪታ ላማናዉ ዎይኮ የሩሳላመን ደእያ ፆሳ ኬꬃ ላላናዉ ኩሸ ደንꬅያ አይ ካዎይ ዎይኮ አስ ግድን፥ ባ ሱንꬃይ ፄገታና መላ የሩሳላመ ዶርዳ ፆሳይ እያ ꬋይሶ። ታኒ ዳርዮስ ሀይሳ ኪታስ። ሀ ኡባይ ምኖተꬃን ፖለቶ” ያግስ።
0f060d00ec	ሄሳፈ ጉየ፥ ኤፍራፂሳ ሻፋፐ ሄፍንꬃ ቢታ አይስያ ታታናያ፥ ሳታርቡዛንነ ኤንታራ ኦꬅያ ኡባይ ካዎይ ዳርዮስ ኪትዳይሳዳ ምኖተꬃን ኦꬅድ ፖልዶሶና።
0f060e0165	አይሁደ ጭማት ባንታ ኦሱዋ አጎና ኦꬅዶሶና፤ ቃስ ናበይ ሀገይነ እዶ ናአይ ዛካርያስ ኦድዳ ቃላን ምነትዶሶና። እስራኤለ ፆሳይ ኪትዳይሳዳ ፋርሰ ካዎት ቅሮስ፥ ዳርዮስነ አርፀክስስ አዋጅዳይሳዳ ፆሳ ኬꬃ ኬፅድ ዉርስዶሶና።
0f060f009f	ዳርዮስ ካዎትዳ ኡሱፑንꬆ ላይꬃን አዳረ ጌተትያ አጌናን ሄꬓንꬆ ጋላሳን፥ ፆሳ ኬꬃ ኦሶይ ፖለትስ።
0f061000ac	እስራኤለ አሳይ፥ ካህነት፥ ሌወትነ ድኦፐ ስምዳ አሳ ኡባይ ፆሳ ኬꬃ አንጅስያ ባኣለ ኡፋይሳን ቦንችዶሶና።
0f0611012f	ሄ ባለይ ቦንቸትያ ዎደ ኤንቲ እስ ፄቱ ኮርማ፥ ናምኡ ፄቱ ማራዘ፥ ኦይዱ ፄቱ ዶርሳ ኡርገታ ያርሽዶሶና። ቃስ ናጋራ ያርሾስ ታማነ ናምኡ እስራኤለ ኮቻታ ታይቦን ታማነ ናምኡ ኮለ ያርሽዶሶና።
0f061200b6	ሙሰ ማፃፋን ፃፈትዳይሳዳ፥ የሩሳላመን ደእያ ፆሳ ኬꬃን ኦꬃና መላ ካህነትነ ሌወት ኤንታ ማራዳ ማራዳ ዎꬅዶሶና።
0f06130082	ድኦፐ ስምዳ አሳይ ኮይሮ አጌናን ታማነ ኦይዳንꬆ ጋላስ ፓስካ ባኣለ ቦንችዶሶና።
0f061400dc	ካህነትነ ሌወት ባንታና ጌሽዶሶና፤ ኤንቲ ኡባይ ዎጋዳ ጌይዶሶና። ሌወት ድኦፐ ስምዳ ኡባስ፥ ካህነታስነ ባንታዉ ፓስካ ዶርሰ ሹክዶሶና።
0f061500e1	ድኦፐ ስምዳ እስራኤለ አሳይነ አይሁደ ግዶና አሳይ ኦꬅያ ቱናተꬃፈ ባንታና ሻክድ፥ ጎዳኮ፥ እስራኤለ ፆሳኮ ስምዳ አሳ ኡባይ ፓስካ ምዶሶና።
0f061600da	ጎዳይ አሶረ ካዋ ቆፋ ላምድ እስራኤለ ጎዳ፥ ፆሳ ኬꬃ ኬፅድ ፖላና መላ ማድዳ ግሾ፥ ኤንቲ ላፑን ጋላስ ኡይꬃ ባኣለ ኡፋይሳን ቦንችዶሶና።
0f070100cd	ዳሮ ዎደፐ ጉየ፥ ፋርሰ ካዉአ አርፀክስስ ካዎትዳ ዎደ እዝራ ጌተትያ እስ አስ ደእስ። እዝር ሳራያ ናአ፤ አዛራ ናአ፤ ካልቀ ናአ፤
0f0702003e	ሳሉማ ናአ፤ ሳዶቃ ናአ፤ አክፁባ ናአ፤
0f0703003e	አማረ ናአ፤ አዛራ ናአ፤ ማራዮታ ናአ፤
0f07040035	ዛራሀ ናአ፤ ኦዛ ናአ፤ ቡቃ ናአ፤
0f07050076	አብሱ ናአ፤ ፍንሃሳ ናአ፤ ፍንሃስ አላዛራ ናአ፤ ካህነ ሀላቃ አሮና ናአ።
0f070600fc	ሀይስ እዝር ባብሎነፐ ብስ። ጎዳይ፥ እስራኤለ ፆሳይ እምዳ ሙሰ ህግያ ኤርያ አስ። ጎዳ፥ ፆሳ ኩሸይ እያ ቦላ ደእያ ግሾ፥ እ ኦይችዳባ ኡባ ካዎይ እያዉ እሚስ።
0f0707010c	ካዎይ አርፀክስስ ካዎትዳ ላፑንꬃ ላይꬃን እስራኤለ አሳፐ ጉꬃታራ፥ ካህነት፥ ሌወት፥ ዛማረት፥ ፐንገ ናገይሳትነ ፆሳ ኬꬃ ኦሳንቾት እዝራራ እስፈ የሩሳላመ ብዶሶና።
0f07080074	ካዎይ ካዎትዳ ላፑንꬃ ላይꬃን እቻሻንꬆ አጌናን እዝር የሩሳላመ ጋክስ።
0f070900cc	ፆሳ ሎኦ ኩሸይ እያ ቦላ ደእያ ግሾ ኮይሮ አጌናን ኮይሮ ጋላስ ባብሎነፐ ከይድ፥ እቻሻንꬆ አጌናን ኮይሮ ጋላስ የሩሳላመ ጋክስ።
0f070a00af	እዝር ጎዳ ህግያ ፃናኦን፥ ኦሶ ቦላ ፔሾንነ እስራኤለ አሳ እያ ዎጋነ እያ ህግያ ታማርሳናዉ ባ ዎዛና ጊግስስ።
