2800000030	ᎣᏍᏛ ᎧᏃᎮᏛ ᎹᏚ ᎤᏬᏪᎳᏅᎯ
2d031e00ca	ᏌᏉᎯᏳᏰᏃ ᎤᏁᎳᏅᎯ ᎾᏍᎩ ᎪᎯᏳᏗ ᎨᏒ ᏥᏕᎫᏓᎴᏍᏗᎭ ᏗᎨᏥᎤᏍᏕᏎᎸᎯ, ᎠᎴ ᏂᏗᎨᏥᎤᏍᏕᏎᎸᎾ ᎪᎯᏳᏗ ᎨᏒ ᏥᏕᎫᏓᎴᏍᏗᎭ.
2d031f00bb	ᎾᏍᎩᏍᎪᏃ ᎢᏳᏍᏗ ᎠᏎᏉᏉ ᏂᏛᏁᎭ ᏗᎧᎿᎭᏩᏛᏍᏗ ᎪᎯᏳᏗ ᎨᏒ ᎢᏛᏗᎭ? ᎬᏩᏟᏍᏗ; ᎢᏗᏍᏓᏱᏗᏍᎩᏂ ᏗᎧᎿᎭᏩᏛᏍᏗ.
2d0401007f	ᎾᏍᎩᏃ ᏥᏄᏍᏗ ᎦᏙ ᏓᏓᏛᏂ ᎡᏆᎭᎻ ᎢᎩᏙᏓ ᎤᏩᏛᎲ ᎤᏇᏓᎵ ᎨᏒ ᏅᏓᏳᏓᎴᏅᏛ?
2d040200a7	ᎢᏳᏰᏃ ᎡᏆᎭᎻ ᏚᎸᏫᏍᏓᏁᎲ ᎤᏚᏓᎴᏍᏔᏅᎯ ᏱᎩ, ᎤᎭ ᎤᏢᏈᏍᏙᏗ; ᎠᏎᏃ ᎥᏝ [ᏳᎭ,] ᎤᏁᎳᏅᎯ ᎠᎦᏔᎲᎢ.
2d040300a7	ᎦᏙᏰᏃ ᎠᏗᎭ ᎦᎸᏉᏗ ᎪᏪᎵ? ᎡᏆᎭᎻ ᎤᏬᎯᏳᏁ ᎤᏁᎳᏅᎯ, ᎾᏍᎩᏃ ᏚᏳᎪᏛ ᎢᏯᏛᏁᏗ ᎨᏒ ᎠᏥᏰᎸᎾᏁᎴᎢ.
2d04040106	ᎩᎶᏰᏃ ᏧᎸᏫᏍᏓᏁᎯ ᎠᎦᎫᏴᎡᏗ ᎨᏒ ᎥᏝ ᎬᏩᎦᏘᏯ ᎤᏓᏙᎵᏍᏗ ᎨᏒ ᏱᏅᏗᎦᎵᏍᏙᏗᏍᎪ ᎤᏤᎵ ᏯᏥᏰᎸᎾᏁᎰᎢ, ᎤᏓᏚᎬᏍᎩᏂ ᏅᏗᎦᎵᏍᏙᏗᏍᎪ ᎤᏤᎵ ᎠᏥᏰᎸᎾᏁᎰᎢ.
2d040500d0	Ꮎ-ᏍᎩᏂ ᏂᏚᎸᏫᏍᏓᏁᎲᎾ, ᎪᎯᏳᎲᏍᎩᏉᏍᎩᏂ ᎾᏍᎩ Ꮎ ᎫᏓᎴᏍᎩ ᎠᏍᎦᎾᎢ, ᎾᏍᎩ ᎤᏬᎯᏳᏒ ᏚᏳᎪᏛ ᎢᏯᏛᏁᏗ ᎨᏒ ᎠᏥᏰᎸᎾᏁᎰᎢ.
2d040600eb	ᎾᏍᎩᏯ ᎾᏍᏉ ᏕᏫ ᏥᎧᏁᎢᏍᏗᎭ ᎣᏍᏛ ᎢᏳᎵᏍᏓᏁᏗ ᎨᏒ ᏴᏫ, ᎾᏍᎩ Ꮎ ᎤᏁᎳᏅᎯ ᏚᏳᎪᏛ ᎢᏯᏛᏁᏗ ᎨᏒ ᎾᏍᎩᏯ ᎤᏰᎸᎾᏁᎭ ᏂᏚᎸᏫᏍᏓᏁᎸᎾ ᎨᏒᎢ,
2d04070098	[ᎯᎠ ᏥᏂᎦᏪᎭ,] ᎣᏏᏳ ᎢᏳᎾᎵᏍᏓᏁᏗ ᎤᏂᏍᎦᏅᏨ ᎦᎨᏥᏁᎸᎯ, ᎠᎴ ᎤᏲ ᏄᎾᏛᏁᎸ ᎨᎫᏢᎾᏁᎸᎯ;
2d04080075	ᎣᏏ ᎢᏳᎵᏍᏓᏁᏗ ᏴᏫ ᎾᏍᎩ Ꮎ ᎤᎬᏫᏳᎯ ᎤᏍᎦᏅᏨ ᏄᏭᎪᏍᏗᏍᎬᎾ ᎨᏒᎢ.
2d04090120	ᎯᎠᏃ ᎾᏍᎩ ᎣᏏᏳ ᎢᏳᏓᎵᏍᏓᏁᏗ ᎨᏒ ᏗᎨᏥᎤᏍᏕᏎᎸᎯᏉᏍᎪ ᎤᏂᎷᏤᎭ, ᏥᎪᎨ ᎾᏍᏉ ᏗᎨᏥᎤᏍᏕᏎᎸᎯ ᏂᎨᏒᎾ? ᎪᎯᏳᏗᏰᏃ ᎨᏒ ᏚᏳᎪᏛ ᎢᏯᏛᏁᏗ ᎨᏒ ᎠᏥᏰᎸᎾᏁᎴ ᎡᏆᎭᎻ ᎢᏓᏗᎭ.
2d040a0114	ᎢᎳᎩᏳᏃ ᎾᏍᎩ ᏄᏍᏕ ᎠᏥᏰᎸᎾᏁᎴᎢ? ᏥᎪ ᎠᏥᎤᏍᏕᏎᎸᎯ ᏥᎨᏎᎢ? ᏥᎪᎨ ᎠᏥᎤᏍᏕᏎᎸᎯ ᏂᎨᏒᎾ ᏥᎨᏎᎢ? ᎥᏝ ᎠᏥᎤᏍᏕᏎᎸᎯ ᏥᎨᏎᎢ, ᎠᏥᎤᏍᏕᏎᎸᎯᏍᎩᏂ ᏂᎨᏒᎾ ᏥᎨᏎᎢ.
2d040b01b9	ᎠᎴ ᎠᏥᏁᎴ ᎠᎱᏍᏕᏍᏗ ᎨᏒ ᎤᏰᎸᏛᎢ, ᎠᏍᏓᏱᏗᏍᎩ ᏚᏳᎪᏛ ᎢᏯᏛᏁᏗ ᎨᏒ ᎠᏥᏰᎸᎾᏁᎲᎢ ᏅᏓᏳᏓᎴᏅᎯ ᎤᏬᎯᏳᏒ ᎠᏏ ᎾᏥᎤᏍᏕᏎᎸᎾ ᏥᎨᏎᎢ; ᎾᏍᎩ ᎤᏂᏙᏓ ᎢᏳᎵᏍᏙᏗᏱ ᎾᏂᎥ ᎠᏃᎯᏳᎲᏍᎩ, ᏂᏗᎨᏥᎤᏍᏕᏎᎸᎾ ᎨᏒᎢ; ᎾᏍᎩ ᏚᏳᎪᏛ ᎢᏯᏛᏁᏗ ᎨᏒ ᎾᏍᎩ ᎾᏍᏉ ᎨᏥᏰᎸᎾᏁᏗᏱ;
2d040c0145	ᎠᎴ ᎾᏍᏉ ᏗᎨᏥᎤᏍᏕᏎᎸᎯ ᎤᏂᏙᏓ ᎢᏳᎵᏍᏙᏗᏱ, ᎾᏍᎩ ᏗᎨᏥᎤᏍᏕᏎᎸᎯ ᎤᏩᏒ ᏂᎨᏒᎾ ᏥᎩ, ᎾᏍᏉᏍᎩᏂ ᎠᏂᏍᏓᏩᏕᎩ ᏥᎩ ᏚᎳᏏᏅᏒ ᎢᎩᏙᏓ ᎡᏆᎭᎻ, ᎾᏍᎩ ᏧᏬᎯᏳᏎ ᎠᏥᎤᏍᏕᏎᎸᎯ ᎠᏏ ᏂᎨᏒᎾ ᏥᎨᏎᎢ.
2d040d0119	ᏣᏥᏚᎢᏍᏓᏁᎴᏰᏃ ᎤᏤᎵ ᎢᏳᎵᏍᏙᏗᏱ ᎡᎶᎯ, ᎥᏝ ᎡᏆᎭᎻ ᎠᎴ ᎾᏍᎩ ᎤᏁᏢᏔᏅᏛ ᎨᏒ ᏗᎧᎿᎭᏩᏛᏍᏗ ᏅᏓᏳᏓᎴᏅᎯ ᏱᎨᏎᎢ, ᎪᎯᏳᏗᏍᎩᏂ ᎠᏚᏓᎴᏍᏙᏗ ᎨᏒ ᏅᏓᏳᏓᎴᏅᎯ ᎨᏎᎢ.
2d040e00f3	ᎢᏳᏰᏃ ᏗᎧᎿᎭᏩᏛᏍᏗ ᎠᎾᎵᏍᎦᏍᏙᏗᏍᎩ ᎤᎾᏤᎵ ᏱᏂᎨᎬᏁᎭ, ᎿᎭᏉ ᎠᏎᏉ ᏂᎦᎵᏍᏗᎭ ᎪᎯᏳᏗ ᎨᏒᎢ, ᎠᎴ ᎠᏚᎢᏍᏛ ᎪᎱᏍᏗ ᎬᎪᏗ ᏂᎨᏒᎾ ᏂᎦᎵᏍᏗᎭ.
2d040f00d4	ᏗᎧᎿᎭᏩᏛᏍᏗᏰᏃ ᎤᏔᎳᏬᎯᏍᏗ ᎨᏒ ᏩᎵᏰᎢᎶᎯᎭ; ᏗᎧᎿᎭᏩᏛᏍᏗᏰᏃ ᎾᎿᎭᎾᎲᎾ ᎨᏒ, ᎾᎿᎭᏗᎧᎿᎭᏩᏛᏍᏗ ᎠᏲᏍᏙᏗ ᎨᏒ ᎥᏝ ᏰᎭ.
2d04100234	ᎾᏍᎩ ᎢᏳᏍᏗ ᎪᎯᏳᏗ ᎨᏒ ᎠᎵᏍᎦᏍᏙᏗᎭ, ᎾᏍᎩ ᎬᏩᎦᏘᏯ ᎤᏓᏙᎵᏍᏗ ᎨᏒ ᏅᏓᏳᏓᎴᏗᏱ; ᎾᏍᎩ ᎠᏚᎢᏍᏔᏅᎯ ᎨᏒ ᎤᎵᏂᎩᏗᏳ ᎢᏳᎾᎵᏍᏓᏁᏗᏱ ᎾᏂᎥ ᎤᏁᏢᏔᏅᏛ ᎨᏒᎢ; ᎥᏝ ᎾᏍᎩ ᎤᏅᏒ ᏧᏁᏢᏔᏅᏛ ᎨᏒ ᎾᏍᎩᏯ ᏗᎧᎿᎭᏩᏛᏍᏗ ᏂᎬᏅᎢ, ᎾᏍᏉᏍᎩᏂ ᎾᏍᎩ ᏧᏁᏢᏔᏅᏛ ᎨᏒ ᎡᏆᎭᎻ ᎤᏬᎯᏳᏒ ᎾᏍᎩᏯ ᎤᏃᎯᏳᏅᎯ ᎢᏳᏩᏂᏌᏛ, ᎾᏍᎩ ᎡᏆᎭᎻ ᏂᏗᎥ ᎢᎩᏙᏓ ᏥᎩ,
2d04110163	(ᎾᏍᎩᏯ ᎯᎠ ᏥᏂᎬᏅ ᏥᎪᏪᎳ, ᎤᏂᏣᏘ ᏧᎾᏓᎴᏅᏛ ᏴᏫ ᎤᏂᏙᏓ ᏂᎬᏴᎦ,) ᎠᎦᏔᎲ ᎤᏁᎳᏅᎯ ᎾᏍᎩ ᏥᎪᎯᏳᎲᏍᎨᎢ, ᎾᏍᎩ ᏗᎬᏂᏗᏍᎩ ᏥᎩ ᏧᏂᏲᎱᏒᎯ, ᎠᎴ ᏗᏯᏂᏍᎩ ᏥᎩ ᏧᎾᏓᎴᏅᏛ ᎾᏍᎩ ᎾᏁᎲᎾ ᎨᏒᎢ, ᎾᏍᎩ ᏣᏁᎰ ᎾᏍᎩᏯᎢ;
2d0412011b	ᎾᏍᎩ ᎤᏚᎩ ᎦᎬᏗ ᏂᎨᏒᎾ ᏥᎨᏎᎢ ᎤᏚᎩ ᎬᏗ ᎨᏒ ᏧᏬᎯᏳᏁᎢ, ᎾᏍᎩ ᎤᏂᏣᏘ ᏧᎾᏓᎴᏅᏛ ᏴᏫ ᎤᏂᏙᏓ ᎢᏳᎵᏍᏙᏗᏱ, ᎾᏍᎩᏯ ᎯᎠ ᎢᎦᏪᏛ ᏥᎩ, ᎾᏍᎩᏯ ᏄᏂᏧᏈᏍᏕᏍᏗ ᏣᏁᏢᏔᏅᎯ;
2d04130128	ᎠᎴ ᏩᎾᎦᎳ ᏂᎨᏒᎾ ᎨᏒ ᎤᏬᎯᏳᏒᎢ, ᎥᏝ ᏳᏓᏅᏖᎴ ᎤᏩᏒ ᎠᏰᎵ ᎤᎵᏬᏨᎯ ᎨᏒᎢ, ᎿᎭᏉ ᎠᏍᎪᎯᏧᏈ ᎢᏴᏛ ᎢᏳᏕᏘᏴᏛ ᎨᏒᎢ, ᎥᏝ ᎠᎴ ᏳᏓᏅᏖᎴ ᎤᎶᏒᏍᏓᏁᎸᎯ ᎨᏒ ᏎᎵ ᏧᏓᎾᏄᎪᏫᏍᏗᏱ;
2d041400c5	ᎥᏝ ᏳᏜᏓᏏᏛᎡᎮ ᎤᏁᎳᏅᎯ ᎤᏚᎢᏍᏔᏅᎢ ᏄᏬᎯᏳᏒᎾ ᎨᏒ ᎢᏳᏍᏗ; ᎤᎵᏂᎩᏗᏳᏍᎩᏂ ᎨᏎ ᎤᏬᎯᏳᏒᎢ, ᎦᎸᏉᏗᏍᎨ ᎤᏁᎳᏅᎯ,
2d04150082	ᎠᎴ ᎤᎧᎵᏨᎯ ᎤᏬᎯᏳᏎᎢ ᎾᏍᎩ ᏄᏍᏛ ᎤᏚᎢᏍᏔᏅ ᏰᎵᏉ ᎾᏍᏉ ᎢᎬᏩᏛᏁᏗ ᎨᏒᎢ.
2d04160062	ᎠᎴ ᎾᏍᎩ ᎢᏳᏍᏗ ᏚᏳᎪᏛ ᎢᏯᏛᏁᏗ ᎨᏒ ᎠᏥᏰᎸᎾᏁᎴ ᎾᏍᎩ.
2d041700a2	ᎥᏝ ᎠᎴ ᎤᏩᏒᏉ ᎨᏒ ᏱᏅᏗᎦᎵᏍᏙᏗᏍᎨ ᎪᏪᎳᏅᎯ ᏥᎩ, ᎾᏍᎩ [ᏚᏳᎪᏛ ᎢᏯᏛᏁᏗ ᎨᏒ] ᏣᏥᏰᎸᎾᏁᎴᎢ;
2d041800f0	ᎠᏴᏍᎩᏂ ᎨᏒ ᎾᏍᏉ ᏅᏗᎦᎵᏍᏙᏗᏍᎨᎢ, ᎾᏍᎩ [ᏚᏳᎪᏛ ᎢᏯᏛᏁᏗ ᎨᏒ] ᎡᎩᏰᎸᎾᏁᏗ ᏥᎩ, ᎡᏙᎯᏳᎲᏍᎩ ᎾᏍᎩ ᏧᎴᏔᏅᎯ ᎤᏲᎱᏒ ᏥᏌ ᎢᎦᏤᎵ ᎤᎬᏫᏳᎯ;
2d04190091	ᎾᏍᎩ ᏥᏓᏥᏲᏎ ᎠᏴ ᎢᎩᏍᎦᏅᏨ ᏥᏅᏗᎦᎵᏍᏙᏗᏍᎨᎢ, ᎠᎴ ᏥᏓᎦᎴᏔᏁ ᎠᏴ ᎢᎦᏚᏓᎴᏍᏗᏱ.
2d050100c0	ᎾᏍᎩ ᎢᏳᏍᏗ ᎪᎯᏳᏗ ᎨᏒ ᎢᎦᏚᏓᎴᏍᏔᏅᎯ ᏥᎩ, ᏅᏩᏙᎯᏯᏛ ᏂᎬᏅ ᎤᏁᎳᎥᎯ ᎢᎦᏤᎵ ᎤᎬᏫᏳᎯ ᏥᏌ ᎦᎶᏁᏛ ᎢᏳᏩᏂᏌᏛ;
2d0502013c	ᎾᏍᎩ ᎾᏍᏉ ᎢᏳᏩᏂᏌᏛ ᎪᎯᏳᏗ ᎢᏛᏗᏍᎬ ᎨᎩᎷᎯᏍᏗ ᏥᏄᎵᏍᏔᏅ ᎯᎠ ᎾᏍᎩ ᎬᏩᎦᏘᏯ ᎤᏓᏙᎵᏍᏗ ᎨᏒᎢ, ᎾᏍᎩ ᎾᎿᎭᏥᏕᏗᏙᎦ, ᎠᎴ ᏥᏓᎵᎮᎵᎦ ᎤᏚᎩ ᎢᎬᏒ ᎦᎸᏉᏗᏳ ᎨᏒ ᎤᏁᎳᏅᎯ ᎤᏤᎵ ᎡᎩᏁᏗᏱ.
2d050300dc	ᎠᎴ ᎥᏝ ᎾᏍᎩᏉ ᏱᏂᎦᎥ, ᎾᏍᏉᏍᎩᏂ ᎠᎩᎵᏯ ᎢᎩᎷᏤᎲ ᎢᏓᎵᎮᎵᎪᎢ; ᏅᏗᎦᎵᏍᏙᏗᏍᎪ ᎢᏗᎦᏔᎲ ᎠᎩᎵᏲᎢᏍᏗ ᎨᏒ ᎠᎬᏂᏗᏳ ᎾᏓᏛᏁᎲᎢ;
2d050400b3	ᎠᎬᏂᏗᏳᏃ ᎨᏒ ᎣᏩᏒ ᎣᏓᎦᏙᎥᎯᏍᏗ ᎨᏒ ᎾᏓᏛᏁᎲᎢ; ᎣᏩᏒᏃ ᎣᏓᎦᏙᎥᎯᏍᏗ ᎨᏒ ᎤᏚᎩ ᎬᏗ ᎨᏒ ᎠᏓᏩᏛᎡᎲᎢ;
2d05050109	ᎾᏍᎩᏃ ᎤᏚᎩ ᎬᏗ ᎨᏒ ᎥᏝ ᎠᏕᎰᎯᏍᏗᏱ ᏴᎬᏓᏩᏛᏏ; ᏅᏗᎦᎵᏍᏙᏗᎭ ᎤᏁᎳᏅᎯ ᎠᎨᏳᏗ ᎨᏒ ᎡᎩᏐᏅᏰᎸ ᏗᎩᎾᏫᏱ, ᎦᎸᏉᏗᏳ ᎠᏓᏅᏙ ᎢᏳᏩᏂᏌᏛ, ᎾᏍᎩ ᎡᎩᏁᎸᎯ ᏥᎩ.
2d05060088	ᏂᏗᎦᎵᏂᎬᎬᎾᏰᏃ ᎠᏎ ᏥᎨᏎᎢ, ᎾᎯᏳ ᎠᏎᎸᎯ ᎨᏒ ᎦᎶᏁᏛ ᎢᎩᏲᎱᎯᏎᎴ ᎢᏗᏍᎦᎾᎢ.
2d050700a5	ᎤᏎᎦᏨᎯᏰᏃ ᎤᏓᏅᏘ ᎠᏍᎦᏯ ᎩᎶ ᏯᏲᎱᎯᏏ; ᏯᏎᎦᎩᏍᎩᏂᏃᏅ ᎣᏍᏛ ᎠᏍᎦᏯ ᎩᎶ ᎬᏩᏲᎱᎯᏎᏗ ᏱᏂᎦᎩ.
2d050800a1	ᎤᏁᎳᏅᎯᏍᎩᏂ ᎦᎾᏄᎪᏫᏍᎦ ᎢᎩᎨᏳᎯᏳ ᎨᏒᎢ, ᎾᏍᎩ ᎠᏏ ᎢᏗᏍᎦᎾ ᏥᎨᏎᎢ ᎦᎶᏁᏛ ᎢᎩᏲᎱᎯᏎᎴᎢ.
2d050900dd	ᎾᏍᎩᏃ ᏥᏄᏍᏗ, ᎾᏍᎩ ᎤᎩᎬ ᎢᎦᏚᏓᎴᏍᏔᏅᎯ ᏥᎩ, ᎤᏟᎯ ᎤᏙᎯᏳᎯᏯ ᎡᎩᏍᏕᎸᏗ ᎨᏎᏍᏗ ᎡᎫᏓᎴᏍᏗ ᎤᏔᎳᏬᎯᏍᏗ ᎨᏒ ᎾᏍᎩ ᎢᏳᏩᏂᏌᏛ.
2d050a0121	ᎢᏳᏰᏃ, ᎠᏏ ᎡᏗᏍᎦᎩ ᏥᎨᏒᎩ ᎡᏙᎢᏍᏓᏁᎸᎯ ᏱᎩ ᎤᏁᎳᏅᎯ ᎬᏔᏅᎯ ᎤᏪᏥ ᎤᏲᎱᏒᎢ, ᎿᎭᏉ ᎪᎯ ᎡᏙᎢᏍᏓᏁᎸᎯ ᏥᎩ, ᎤᏟᎯ ᎤᏙᎯᏳᎯᏯ ᎡᎩᏍᏕᎸᏗ ᎨᏎᏍᏗ ᎾᏍᎩ ᎬᏃᏛ ᎨᏒ ᎢᏳᏍᏗ.
2d050b0101	ᎥᏝ ᎠᎴ ᎾᏍᎩᏉ ᏱᏂᎦᎥ, ᎤᏁᎳᏅᎯᏍᎩᏂ ᎾᏍᏉ ᎡᏓᎵᎡᎵᎦ, ᎢᎦᏤᎵ ᎤᎬᏫᏳᎯ ᏥᏌ ᎦᎶᏁᏛ ᎢᏳᏩᏂᏌᏛ, ᎾᏍᎩ ᎢᏳᏩᏂᏌᏛ ᎪᎯ ᎨᏒ ᎢᎩᏁᎸᎯ ᏥᎩ ᎪᎯᏍᏙᏗ ᎨᏒᎢ.
2d050c0143	ᎾᏍᎩᏃ, ᏌᏉ ᎠᏍᎦᏯ ᎢᏳᏩᏂᏌᏛ ᎠᏍᎦᏂ ᎡᎶᎯ ᏧᎾᏄᎪᏨ, ᎠᎴ ᎠᏲᎱᎯᏍᏗ ᎨᏒ [ᏧᎾᏄᎪᏨ;] ᎠᏍᎦᏂ ᎢᏳᏩᏂᏌᏛ ᎠᎴ ᎾᏍᎩ ᏥᏂᎦᎵᏍᏙᏗᎭ ᎠᏲᎱᎯᏍᏗ ᎨᏒ ᏂᎦᏗᏳ ᏴᏫ ᏧᏂᎷᏤᎸ, ᏂᎦᏗᏳᏰᏃ ᎤᏂᏍᎦᏅᏨ —
2d050d00bf	ᏗᎧᎿᎭᏩᏛᏍᏗᏰᏃ ᎤᎵᏁᏨ ᎠᏍᎦᏂ ᏁᎰ ᎡᎶᎯ; ᎠᏎᏃ ᎥᏝ ᎤᏂᏍᎦᏅᏨᎯ ᎨᏥᏰᎸᏗ ᏱᎩ ᎾᎿᎭᏗᎧᎿᎭᏩᏛᏍᏗ ᎾᎲᎾ ᎨᏒᎢ.
2d050e013a	ᎠᏎᏍᎩᏂᏃᏅ ᎠᏲᎱᎯᏍᏗ ᎨᏒ ᎡᎲᎩ ᎠᏓᏫ ᏤᎮ ᏅᏓᎬᏩᏓᎴᏅᏛ ᎼᏏᏃ ᏤᎮ ᏫᎬᏍᏘ, ᎾᏍᎩ ᎾᏍᏉ ᎠᏁᎲ ᏄᏂᏍᎦᏅᏨᎾ ᎨᏒ ᎾᏍᎩᏯ ᏄᏛᏁᎸ ᎤᏍᎦᏅᏨ ᎠᏓᏫ, ᎾᏍᎩ ᎤᎷᎯᏍᏗ ᏥᎨᏒ ᏣᎦᏟᎶᏍᏙᏗ ᏥᎨᏎᎢ.
2d050f0215	ᎠᏎᏃ ᎥᏝ ᎾᏍᎩᏯ ᏥᏄᏍᏕ ᎠᏍᎦᏅᏨᎢ, ᎾᏍᎩ ᎾᏍᏉ ᏱᏄᏍᏕ ᎬᏩᎦᏘᏯ ᎠᏓᏁᏗ ᎨᏒᎢ. ᎢᏳᏰᏃ ᎠᏏᏴᏫ ᎤᏍᎦᏅᏨ ᎤᏂᏣᏘ ᏧᏂᏲᎱᎯᏍᏔᏅᎯ ᏱᎩ; ᎤᏟᎯᏳ ᎢᎦᎢ ᎤᏂᏣᏘ ᎤᏣᏘ ᎤᏂᎷᏤᎸ ᎬᏩᎦᏘᏯ ᎤᏓᏙᎵᏍᏗ ᎨᏒ ᎤᏁᎳᏅᎯ, ᎠᎴ ᎤᏓᏁᏗ ᎨᏒ ᎬᏩᎦᏘᏯ ᎤᏓᏙᎵᏍᏗ ᎨᏒ ᏅᏓᏳᏓᎴᏅᎯ ᏥᎩ, ᎾᏍᎩ ᎠᏏᏴᏫ ᎠᏍᎦᏯ ᎢᏳᏩᏂᏌᏛ, ᎾᏍᎩ ᏥᏌ ᎦᎶᏁᏛ.
2d05100182	ᎠᎴ ᎥᏝ ᎾᏍᎩᏯ ᎠᏏᏴᏫᏉ ᎤᏍᎦᏅᏨᎯ ᎢᏳᏩᏂᏌᏛ [ᏗᎨᎫᎪᏓᏁᏗ ᏥᏄᎵᏍᏔᏁ] ᎾᏍᎩᏯ ᏱᏄᏍᏗ ᎤᏓᏁᏗ ᎨᏒᎢ; ᎠᏍᎦᏅᏨᏰᏃ ᏗᎫᎪᏙᏗ ᎨᏒ ᏌᏉᏉ ᎢᏯᏍᎦᏅᏨᎯ ᏅᏓᏳᏓᎴᏅᎯ; ᎬᏩᎦᏘᏯᏍᎩᏂ ᎤᏓᏁᏗ ᎨᏒ ᎤᏣᏘ ᎢᏯᏍᎦᏅᏨᎯ ᎠᏚᏓᎴᏍᏙᏗ ᎤᎬᏩᎳ.
2d051101aa	ᎢᏳᏰᏃ ᏌᏉ ᏴᏫ ᎤᏍᎦᏅᏨ ᏱᏅᏗᎦᎵᏍᏙᏗᎭ ᎠᏲᎱᎯᏍᏗ ᎨᏒ ᏰᎭ ᎾᏍᎩ ᎠᏏᏴᏫ ᎢᏳᏩᏂᏌᏛ; ᎤᏟᎯᏳ ᏄᏓᎷᎸᎾ ᎾᏍᎩ ᎤᏣᏘ ᎨᏥᏁᎸᎯ ᏥᎩ ᎤᏓᏙᎵᏍᏗ ᎨᏒ ᎠᎴ ᎬᏩᎦᏘᏯ ᎠᏚᏓᎴᏍᏙᏗ ᎨᏒᎢ, ᎾᏍᎩ ᎬᏂᏛ ᏗᎨᏒ ᎤᏂᎬᏫᏳᎯ ᎨᏎᏍᏗ ᎠᏏᏴᏫ ᎢᏳᏩᏂᏌᏛ, ᎾᏍᎩ ᏥᏌ ᎦᎶᏁᏛ.
2d05120176	ᎾᏍᎩ ᎢᏳᏍᏗ ᎾᏍᎩ ᎠᏏᏴᏫ ᎤᏍᎦᏅᏨ ᎢᏳᏩᏂᏌᏛ ᎠᏍᎦᏅᏨ ᏗᎫᎪᏙᏗ ᎨᏒ ᏂᎦᏗᏳ ᏴᏫ ᏧᏂᎷᏤᎸ; ᎾᏍᎩᏯ ᎾᏍᏉ ᎠᏏᏴᏫ ᏚᏳᎪᏛ ᏄᏛᏁᎸ ᎢᏳᏩᏂᏌᏛ ᎬᏩᎦᏘᏯ ᎤᏓᏁᏗ ᎨᏒ ᎤᏂᎷᏤᎸ ᏂᎦᏗᏳ ᏴᏫ ᎨᎫᏓᎴᏍᏗᏱ ᎬᏂᏛ ᎤᏂᏩᏛᏗᏱ ᎤᎬᏩᎳ.
2d05130108	ᎠᏏᏴᏫᏰᏃ ᏴᏫ ᏄᏬᎯᏳᏅᎾ ᎨᏒ ᎢᏳᏩᏂᏌᏛ ᎤᏂᏣᏘ ᎠᏂᏍᎦᎾ ᏥᏄᎾᎵᏍᏔᏅ, ᎾᏍᎩᏯ ᎾᏍᏉ ᎠᏏᏴᏫ ᎤᏬᎯᏳᏅ ᏅᏓᎦᎵᏍᏙᏔᏂ ᎤᏂᏣᏘ ᎠᏂᏍᎦᎾ ᏂᎨᏒᎾ ᏅᏛᎾᎵᏍᏔᏂ.
2d051400fc	ᏗᎧᎿᎭᏩᏛᏍᏗᏍᎩᏂ ᎤᏙᏢᏁ ᎠᏍᎦᏅᎢᏍᏗ ᎨᏒ ᎤᏁᏉᎢᏍᏗᏱ. ᎠᏎᏃ ᎾᎿᎭᎠᏍᎦᏅᎢᏍᏗ ᎨᏒ ᎤᏁᏉᏥᏕᎬ ᎾᎿᎭᎬᏩᎦᏘᏯ ᎤᏓᏙᎵᏍᏗ ᎨᏒ ᎤᏟᎯᏳ ᎤᏁᏉᏥᏕᎬᎩ;
2d05150162	ᎾᏍᎩᏃ ᎠᏍᎦᏂ ᏧᎬᏫᏳᏌᏕᎬᎩ ᎠᏲᎱᎯᏍᏗ ᎨᏒ ᎦᎾᏄᎪᏫᏍᎬᎢ, ᎾᏍᎩᏯ ᎾᏍᏉ ᎬᏩᎦᏘᏯ ᎤᏓᏙᎵᏍᏗ ᎨᏒ ᎤᎬᏫᏳᏌᏕᎩ ᎢᏳᎵᏍᏙᏗᏱ ᎬᏂᏛ ᎦᎾᏄᎪᏫᏍᎬ ᎬᏔᏅᎯ ᎠᏚᏓᎴᏍᏙᏗ ᎨᏒ ᏥᏌ ᎦᎶᏁᏛ ᎤᎬᏫᏳᎯ ᎢᎦᏤᎵ ᎢᏳᏩᏂᏌᏛ.
2d060100a8	ᎦᏙᎨᏃ ᏓᏓᏛᏂ? ᏥᎪ ᎠᏏᏉ ᎨᏗᏍᎦᏅᎨᏍᏗ ᎾᏍᎩ ᎢᏳᏩᏂᏐᏗᏱ ᎤᏁᏉᎢᏍᏗᏱ ᎬᏩᎦᏘᏯ ᎤᏓᏙᎵᏍᏗ ᎨᏒᎢ?
2d06020097	ᎬᏩᏟᏍᏗ. ᎠᏴ ᏗᎩᏲᎱᏒᎯ ᎠᏍᎦᏅᎢᏍᏗ ᎨᏒ ᎤᎬᏩᎵ, ᎦᏙ ᏱᏚᎵᏍᏙᏓ ᏰᎵ ᎠᏏ ᎾᎿᎭᏴᏓᎴᏂᏓ?
