2800000006	Máté
2b0818007b	Azért mondtam néktek, hogy a bűneitekben haltok meg: mert ha nem hiszitek, hogy én vagyok, meghaltok a bűneitekben.“
2b08190069	Mondták azért neki: „Ki vagy te?“ És mondta nekik Jézus: „Amit eleitől fogva mondok is nektek.
2b081a0093	Sok beszélni és ítélni valóm van felőletek: de igaz az, aki küldött engem, és én azokat beszélem a világnak, amiket tőle hallottam.“
2b081b0033	Nem vették észre, hogy az Atyáról szólt nekik.
2b081c00bd	Mondta azért nekik Jézus: „Amikor felemelitek az Emberfiát, akkor megismeritek, hogy én vagyok, és semmit sem cselekszem magamtól, hanem amint az Atya tanított engem, úgy szólok.
2b081d0087	És aki küldött engem, velem van. Nem hagyott engem az Atya egyedül, mert én mindenkor azokat cselekszem, amelyek neki kedvesek.“
2b081e002b	Amikor ezeket mondta, sokan hittek őbenne.
2b081f0082	Mondta azért Jézus a benne hívő zsidóknak: „Ha ti megmaradtok az én beszédemben, bizonnyal az én tanítványaim vagytok,
2b08200046	megismeritek az igazságot, és az igazság szabaddá tesz titeket.“
2b08210085	Így feleltek neki: „Ábrahám magva vagyunk, és nem szolgáltunk soha senkinek: hogyan mondhatod hát, hogy szabaddá lesztek?“
2b0822006b	Jézus így felelt nekik: „Bizony, bizony mondom néktek, hogy aki bűnt cselekszik, szolgája a bűnnek.
2b08230051	A szolga pedig nem marad mindörökké a házban: a Fiú marad ott mindörökké.
2b08240049	Azért, ha a Fiú megszabadít titeket, valósággal szabadok lesztek.“
2b08250074	„Tudom, hogy Ábrahám utódai vagytok, de meg akartok engem ölni, mert az én beszédemnek nincs helye nálatok.
2b08260072	Én azt beszélem, amit az én Atyámnál láttam, de ti is azt cselekszitek, amit a ti atyátoknál láttatok.“
2b08270090	Ezt mondták neki: „A mi atyánk Ábrahám.“ Jézus ezt mondta nekik: „Ha Ábrahám gyermekei volnátok, Ábrahám dolgait cselekednétek.
2b0828008f	Ámde meg akartok engem ölni, olyan embert, aki az igazságot beszéltem nektek, amelyet az Istentől hallottam. Ábrahám ezt nem cselekedte.
2b0829008b	Ti az atyátok dolgait cselekszitek.“ Ők pedig ezt mondták neki: „Mi nem paráznaságból születtünk, egy Atyánk van, az Isten.“
2b082a00bb	Jézus pedig ezt mondta nekik: „Ha az Isten volna a ti Atyátok, szeretnétek engem: mert én az Istentől származtam és jöttem, mert nem magamtól jöttem, hanem ő küldött engem.
2b082b004f	Miért nem értitek az én beszédemet? Mert nem hallgatjátok az én szavamat.
2b082c010b	A ti atyátok az ördög, és a ti atyátok kívánságait akarjátok teljesíteni. Ő emberölő volt kezdettől fogva, és nem állt meg az igazságban, mert nincsen ő benne igazság. Mikor hazugságot szól, a sajátjából szól, mert hazug, és hazugság atyja.
2b082d0036	Mivel pedig én igazságot szólok, nem hisztek nekem.
2b082e005b	Ki vádol engem közületek bűnnel? Ha pedig igazságot szólok: miért nem hisztek nekem?
2b082f007a	Aki az Istentől van, hallgatja az Isten beszédeit, azért nem hallgatjátok ti, mert nem vagytok az Istentől valók.“
2b0830006a	A zsidók így feleltek neki: „Nem jól mondjuk-e mi, hogy te samáriai vagy, és ördög van benned?“
2b08310069	Jézus így felelt: „Nincs énbennem ördög, hanem tisztelem az én Atyámat, és ti gyaláztok engem.
2b08320048	Pedig én nem keresem a dicsőségemet: van, aki keresi, és megítéli.
2b08330060	Bizony, bizony mondom néktek, ha valaki megtartja az én beszédemet, nem lát halált soha.“
2b083400cd	A zsidók pedig ezt mondták neki: „Most értettük meg, hogy ördög van benned. Ábrahám meghalt, a próféták is, és te azt mondod: ha valaki megtartja az én beszédemet, nem kóstol halált soha.
2b0835007b	Vagy pedig nagyobb vagy te atyánknál, Ábrahámnál, aki meghalt? A próféták is meghaltak: kinek állítod magadat?“
2b083600a4	Jézus így felelt: „Ha én dicsőítem magamat, az én dicsőségem semmi: az én Atyám az, aki dicsőít engem, akiről ti azt mondjátok, hogy a ti Istenetek,
2b083700a7	és nem ismeritek őt: de én ismerem, és ha azt mondom, hogy nem ismerem őt, hozzátok hasonlóvá, hazuggá leszek: de ismerem őt, és az ő beszédét megtartom.
2b0838005f	Ábrahám a ti atyátok örvendezett, hogy meglátja az én napomat, látta is, és örült.“
2b08390061	A zsidók pedig ezt mondták neki: „Még ötvenesztendős sem vagy, és Ábrahámot láttad?“
2b083a0064	Mondta nekik Jézus: „Bizony, bizony mondom néktek: mielőtt Ábrahám lett volna: én vagyok.“
2b083b009c	Erre köveket ragadtak, hogy reáhajigálják. Jézus pedig elrejtőzködött, és kiment a templomból, átmenve közöttük, és ilyen módon eltávozott.
2b0901004f	És amint eltávozott, látott egy embert, aki születésétől fogva vak volt.
2b0902007b	És kérdezték őt a tanítványai, ezt mondva: „Mester, ki vétkezett, ez vagy ennek szülei, hogy vakon született?“
2b0903008c	Jézus így felelt: „Nem ő vétkezett, nem is a szülei, hanem azért van ez így, hogy nyilvánvalókká legyenek benne az Isten dolgai.
2b09040082	Nekem cselekednem kell annak dolgait, aki elküldött engem, amíg nappal van: eljön az éjszaka, amikor senki sem munkálkodhat.
2b09050039	Míg e világon vagyok, e világ világossága vagyok.“
2b09060069	Ezeket mondva, a földre köpött, és a nyálából sarat csinált, és rákente a sarat a vak szemeire,
2b0907009c	és mondta neki: „Menj el, mosakodj meg a Siloám-tavában“ – ami azt jelenti: küldött. Elment tehát és megmosakodott, és mire megjött, látott.
2b09080083	A szomszédok, és akik korábban látták azt, hogy vak volt, ezt mondták: „Nem ő-e az, aki itt szokott ülni és koldulni?“
2b09090074	Némelyek azt mondák, hogy ez az, mások pedig azt, hogy hasonlít hozzá. De ő kijelentette: „Én vagyok az.“
2b090a0040	Ekkor ezt mondták neki: „Hogyan nyíltak meg a te szemeid?“
2b090b00fb	Ő így felelt, és ezt mondta: „Egy ember, akit Jézusnak hívnak, sarat készített, és rákente a szemeimre, és ezt mondta nekem: Menj el a Siloám-tavára, és mosakodjál meg. Miután pedig elmentem és megmosakodtam, megjött a látásom.“
2b090c004c	Ekkor ezt mondták neki: „Hol van ő?“ Ő pedig mondta: „Nem tudom.“
2b090d003f	Ekkor elvitték őt, aki előbb még vak volt, a farizeusokhoz.
2b090e004e	Mikor pedig Jézus a sarat csinálta, és felnyitotta a szemeit, szombat volt.
2b090f0096	A farizeusok szintén megkérdezték, hogyan jött meg a látása? Ő pedig ezt mondta nekik: „Sarat tett a szemeimre, megmosakodtam, és látok.“
2b091000dd	Mondták azért némelyek a farizeusok közül: „Ez az ember nincsen Istentől, mert nem tartja meg a szombatot.“ Mások ezt mondták: „Hogyan tehet bűnös ember ilyen jeleket?“ És meghasonlás támadt köztük.
2b09110079	Újra mondták a vaknak: „Te mit mondasz róla, hogy megnyitotta a szemeidet?“ Ő pedig mondta: „Hogy próféta.“
2b0912008b	A zsidók pedig nem hitték róla, hogy vak volt, és megjött a látása, mígnem előhívták annak szüleit, akinek megjött a látása.
2b09130084	És megkérdezték őket, ezt mondva: „Ez a ti fiatok, akiről azt mondjátok, hogy vakon született? Mi módon lát hát most?“
2b09140066	A szülei ezt felelték, és mondták nekik: „Tudjuk, hogy ez a mi fiunk, és hogy vakon született:
2b09150093	de miképpen lát most, nem tudjuk, vagy ki nyitotta meg a szemeit, mi nem tudjuk. Elég idős már, őt kérdezzétek, ő beszéljen magáról.“
2b091600a9	Ezeket mondták az ő szülei, mivel féltek a zsidóktól, mert megegyeztek már a zsidók, hogy ha valaki Krisztusnak vallja őt, ki kell rekeszteni a gyülekezetből.
2b0917003f	Ezért mondták a szülei, hogy elég idős, őt kérdezzétek.
2b09180087	Másodszor is odahívták az embert, aki vak volt, és mondták neki: „Dicsőítsd az Istent: mi tudjuk, hogy ez az ember bűnös.“
2b0919006a	Ő pedig így válaszolt: „Hogy bűnös-e, nem tudom: egyet tudok, hogy noha vak voltam, most látok.“
2b091a005c	Ekkor újra megkérdezték tőle: „Mit csinált veled? Hogyan nyitotta meg a szemeidet?“
2b091b0093	Ő így felelt: „Már mondtam nektek, és nem hallottátok meg: miért akarjátok újra hallani? Vagy ti is az ő tanítványai akartok lenni?“
2b091c006a	Szidalmazták őt, és ezt mondták: „Te vagy az ő tanítványa, mi pedig Mózes tanítványai vagyunk.
2b091d005a	Mi tudjuk, hogy Mózessel beszélt az Isten: erről pedig azt sem tudjuk, honnan való.“
2b091e0086	Az az ember így válaszolt nekik: „Bizony az a csodálatos, hogy ti nem tudjátok honnan való, pedig az én szemeimet megnyitotta.
2b091f008c	Pedig tudjuk, hogy az Isten nem hallgatja meg a bűnösöket, hanem ha valaki istenfélő, és az ő akaratát cselekszi, azt hallgatja meg.
2b09200064	Örök időktől fogva nem hallotta senki, hogy vakon szülöttnek szemeit valaki megnyitotta volna.
2b09210041	Ha ő nem Istentől volna, semmit sem tudott volna cselekedni.“
2b09220078	Ekkor ezt mondták neki: „Te mindenestől bűnben születtél, és te tanítasz minket?“ És kiközösítették őt.
2b09230080	Meghallotta Jézus, hogy kiközösítették őt, és amikor találkozott vele, ezt mondta neki: „Hiszel-e az Isten Fiában?“
2b0924003a	Az így válaszolt: „Ki az, Uram, hogy higgyek benne?“
2b0925004e	Jézus pedig ezt mondta neki: „Láttad őt, és aki beszél veled, ő az.“
2b09260035	Erre azt mondta: „Hiszek, Uram.“ És imádta őt.
2b0927008b	Jézus pedig azt mondta: „Ítélet végett jöttem én e világra, hogy akik nem látnak, lássanak, és akik látnak, vakok legyenek.“
2b09280068	Némely farizeus meghallotta ezt, akik vele voltak, és mondták neki: „Talán mi is vakok vagyunk?“
2b0929008d	Jézus azt mondta nekik: „Ha vakok volnátok, nem volna bűnötök, ámde azt mondjátok, hogy látunk: ezért a ti bűnötök megmarad.“
2b0a01007d	„Bizony, bizony mondom néktek: Aki nem az ajtón megy be a juhok aklába, hanem máshonnan hatol be, tolvaj az és rabló.
2b0a020032	Aki pedig az ajtón megy be, az a juhok pásztora.
2b0a030076	Ennek az őr ajtót nyit, és a juhok hallgatnak szavára, és a maga juhait nevükön szólítja, és kivezeti őket.
2b0a040064	És mikor kiereszti a juhait, előttük megy, és a juhok követik őt, mert ismerik az ő hangját.
2b0a05005d	Idegent pedig nem követnek, hanem elfutnak attól: mert nem ismerik az idegenek hangját.“
2b0a060059	Ezt a példázatot mondta nekik Jézus, de ők nem értették, mi az, amit mondott nekik.
2b0a070066	Újra mondta azért nekik Jézus: „Bizony, bizony mondom néktek, hogy én vagyok a juhoknak ajtaja.
2b0a080058	Mindazok, akik előttem jöttek, tolvajok és rablók: de nem hallgattak rájuk a juhok.
2b0a09006b	Én vagyok az ajtó: ha valaki énrajtam megy be, megtartatik, bejár és kijár majd, és legelőt talál.
2b0a0a0089	A tolvaj nem egyébért jön, hanem hogy lopjon, öljön és pusztítson, én azért jöttem, hogy életük legyen, és bővölködjenek.
2b0a0b0044	Én vagyok a jó pásztor: a jó pásztor életét adja a juhokért.
2b0a0c00b5	A béres pedig nem igazi pásztor, neki a juhok nem tulajdonai. Amikor látja a farkast jönni, elhagyja a juhokat, és elfut: a farkas elragadja azokat, és elszéleszti a juhokat.
2b0a0d0046	A béres pedig azért fut el, mert béres, és nincs gondja a juhokra.
2b0a0e0052	Én vagyok a jó pásztor, ismerem az enyéimet, és engem is ismernek az enyéim.
2b0a0f0056	Ahogyan ismer engem az Atya, én is ismerem az Atyát, és életemet adom a juhokért.
2b0a1000a6	Más juhaim is vannak nekem, amelyek nem ebből az akolból valók: azokat is elő kell vezetnem, hallgatnak majd az én szavamra, és lesz egy akol és egy pásztor.
2b0a11005a	Azért szeret engem az Atya, mert én leteszem az én életemet, hogy újra felvegyem azt.
2b0a1200b3	Senki sem veszi azt el éntőlem, hanem én adom oda azt magamtól. Van hatalmam odaadni, és van hatalmam ismét visszavenni azt. Ezt a parancsolatot kaptam az én Atyámtól.“
2b0a130040	Újra meghasonlás támadt a zsidók között e beszédek miatt.
2b0a140058	Sokan mondták közülük: „Ördög van benne, és bolondozik, mit hallgattok reá?“
2b0a150072	Mások azt mondták: „Ezek nem megszállott ember beszédei. Vajon az ördög megnyithatja-e a vakok szemeit?“
2b0a16003f	Jeruzsálemben pedig a templomszentelés ünnepe és tél volt.
2b0a170030	Jézus a templomban, Salamon tornácában járt.
2b0a1800a0	Körülvették azért a zsidók, és mondták neki: „Meddig tartasz még bizonytalanságban bennünket? Ha te vagy a Krisztus, mondd meg nékünk nyíltan!“
2b0a19009f	Jézus így felelt: „Megmondtam néktek, és nem hiszitek: a cselekedetek, amelyeket én cselekszem az én Atyám nevében, azok tesznek bizonyságot rólam.
2b0a1a0057	De ti nem hisztek, mert ti nem az én juhaim közül vagytok, amint megmondtam néktek.
2b0a1b004f	Az én juhaim hallják az én szavamat, én ismerem őket, és követnek engem.
2b0a1c0060	Örök életet adok nekik, soha el nem vesznek, és senki ki nem ragadja őket az én kezemből.
2b0a1d006e	Az én Atyám, aki őket adta nekem, nagyobb mindennél, senki sem ragadhatja ki őket az Atyámnak kezéből.
2b0a1e001f	Én és az Atya egy vagyunk.“
2b0a1f0041	Ekkor ismét köveket ragadtak a zsidók, hogy megkövezzék őt.
2b0a20007e	Jézus így felelt nekik: „Sok jó dolgot mutattam nektek az én Atyámtól, azok közül melyikért köveztek meg engem?“
2b0a21009e	A zsidók így feleltek neki: „Jó dologért nem kövezünk meg téged, hanem káromlásért, tudniillik, hogy te ember létedre Istenné teszed magadat.“
2b0a220066	Jézus így felelt nekik: „Nincs-e megírva a ti törvényetekben: »én mondtam: istenek vagytok«?
2b0a230075	Ha azokat isteneknek mondta, akikhez az Isten beszéde szólt, márpedig az Írást nem lehet érvénytelenné tenni,
2b0a240096	akkor arról ti azt mondjátok, akit az Atya megszentelt és elküldött e világra: Káromlást szólsz, mivelhogy azt mondtam: az Isten Fia vagyok?!
2b0a25003c	Ha az én Atyám dolgait nem cselekszem, ne higgyetek nekem,
2b0a2600ac	ha pedig azokat cselekszem, ha nekem nem hisztek is, higgyetek a cselekedeteknek: hogy megtudjátok és elhiggyétek, hogy az Atya énbennem van, és én őbenne vagyok.“
2b0a270041	Ismét meg akarták azért őt fogni, de kiment a kezük közül.
2b0a280067	Jézus újra elment, túl a Jordánon, arra a helyre, ahol János először keresztelt, és ott maradt.
2b0a290087	És sokan mentek oda hozzá, és mondták, hogy János nem tett ugyan semmi csodát, de mindaz, amit János felőle mondott, igaz volt.
2b0a2a001e	És sokan hittek ott ő benne.
2b0b010070	Volt pedig egy beteg ember, Lázár, Bethániából, Máriának és az ő testvérének, Mártának falujából.
2b0b020084	Az a Mária volt az, aki megkente az Urat kenettel, és a hajával törölte meg annak lábait: az ő testvére, Lázár volt beteg.
2b0b03005b	Testvérei tehát hozzá küldtek, s ezt üzenték: „Uram, íme, akit szeretsz, beteg.“
2b0b0400a8	Jézus pedig, amikor ezt meghallotta, ezt mondta: „Ez a betegség nem halálos, hanem az Isten dicsőségére való, hogy dicsőíttessék általa az Istennek Fia.“
2b0b050041	Jézus pedig szerette Mártát és annak nővérét és Lázárt.
2b0b060057	Mikor tehát meghallotta, hogy beteg, akkor két napig maradt azon a helyen, ahol volt,
2b0b070048	de azután ezt mondta tanítványainak: „Menjünk ismét Júdeába.“
2b0b080073	A tanítványok ezt mondták neki: „Mester, most akartak téged megkövezni a júdabeliek, és újra odamégy?“
2b0b090091	Jézus így felelt: „Vagy nem tizenkét órája van-e a napnak? Ha valaki nappal jár, nem botlik meg, mert látja a világnak világosságát.
2b0b0a0042	De aki éjjel jár, megbotlik, mert nincsen abban világosság.“
2b0b0b0070	Ezeket mondta nekik, és hozzátette: „Lázár, a mi barátunk, elaludt, de elmegyek, hogy felköltsem őt.“
2b0b0c0047	A tanítványai azt mondták erre: „Uram, ha elaludt, meggyógyul.“
2b0b0d005b	Pedig Jézus a haláláról beszélt, de ők azt hitték, hogy álomba merülésről szól.
2b0b0e0041	Ekkor aztán Jézus nyíltan megmondta nekik: „Lázár meghalt,
2b0b0f005b	és örülök, hogy nem voltam ott, tiértetek, hogy higgyetek. De menjünk el őhozzá!“
2b0b10006e	Tamás, akit Ikernek hívtak, azt mondta tanítványtársainak: „Menjünk el mi is, hogy meghaljunk vele.“
2b0b110054	Jézus pedig elment, és úgy találta, hogy Lázár már négy napja van a sírban.
2b0b120047	Betánia pedig közel volt Jeruzsálemhez, mintegy tizenöt futamnyira,
2b0b130072	ezért a zsidók közül sokan mentek Mártához és Máriához, hogy vigasztalják őket az ő testvérük miatt.
2b0b140053	Márta, amint meghallotta, hogy Jézus jön, elébe ment, Mária pedig otthon ült.
2b0b150062	Márta ekkor ezt mondta Jézusnak: „Uram, ha itt lettél volna, nem halt volna meg a testvérem.
2b0b160050	De most is tudom, hogy amit csak kérsz az Istentől, megadja neked az Isten.“
2b0b170035	Jézus ezt mondta neki: „Feltámad a testvéred.“
2b0b180058	Márta ezt mondta neki: „Tudom, hogy feltámad a feltámadáskor, az utolsó napon.“
2b0b190069	Jézus ezt mondta neki: „Én vagyok a feltámadás és az élet: aki hisz énbennem, ha meghal is, él,
2b0b1a0042	és aki él és hisz énbennem, soha meg nem hal. Hiszed-e ezt?“
2b0b1b0075	Márta így felelt: „Igen, Uram, én hiszem, hogy te vagy a Krisztus, az Istennek Fia, aki e világra jövendő.“
2b0b1c0084	Amint ezeket mondta, elment, és titkon szólította az ő testvérét, Máriát, mondván: „A Mester itt van, és hív téged.“
2b0b1d0036	Mihelyt ez meghallotta, felkelt hamar, és hozzáment.
2b0b1e005c	Jézus pedig nem ment még be a faluba, hanem azon a helyen volt, ahová Márta elébe ment.
2b0b1f00b3	A zsidók azért, akik ővele otthon voltak, és vigasztalták őt, látva, hogy Mária hamar felkelt és kiment, utánamentek, ezt mondva: „A sírhoz megy, hogy ott sírjon.“
2b0b2000a9	Mária pedig, amint odaért, ahol Jézus volt, meglátva őt, a lábaihoz esett, ezt mondva neki: „Uram, ha itt lettél volna, nem halt volna meg az én testvérem.“
2b0b210076	Jézus pedig, amint látta, hogy sír, és sírnak a vele jött zsidók is, elbúsult lelkében, és igen megrendült.
2b0b22005a	És mondta: „Hová helyeztétek őt?“ Mondták neki: „Uram, gyere, és lásd meg!“
2b0b230019	Könnyekre fakadt Jézus.
2b0b24003d	Mondták azért a zsidók: „Íme, mennyire szerette őt!“
2b0b250084	Némelyek pedig ezt mondták közülük: „Ő, aki a vaknak szemét felnyitotta, nem tehette volna-e meg, hogy ez ne haljon meg?“
2b0b26006a	Jézus pedig újra felindulva magában, odament a sírhoz. Az pedig egy üreg volt, és kő feküdt rajta.
2b0b270094	Jézus ezt mondta: „Vegyétek el a követ.“ A megholtnak nőtestvére, Márta ezt mondta neki: „Uram, immár szaga van, hiszen negyednapos.“
2b0b28006a	Jézus ezt mondta neki: „Nem mondtam neked, hogy ha hiszel, meglátod majd az Istennek dicsőségét?“
2b0b2900a7	Elvették azért a követ onnan, ahol a megholt feküdt. Jézus pedig felemelte szemeit az égre, és mondta: „Atyám, hálát adok neked, hogy meghallgattál engem.
2b0b2a008a	Tudtam is, hogy te mindenkor meghallgatsz engem, csak a körülálló sokaság miatt mondtam, hogy elhiggyék, hogy te küldtél engem.“
2b0b2b0047	És mikor ezeket mondta, fennhangon kiáltott: „Lázár, jöjj ki!“
2b0b2c00b3	És kijött a megholt, lábain és kezein kötelékekkel megkötözve, és az orcája kendővel volt leborítva. Mondta nekik Jézus: „Oldozzátok el, és hagyjátok elmenni.“
2b0b2d006e	Sokan hittek őbenne azok közül a zsidók közül, akik Máriához mentek, és látták, amiket cselekedett.
2b0b2e0067	De némelyek azok közül elmentek a farizeusokhoz, és elbeszélték nekik, amiket Jézus cselekedett.
2b0b2f0095	Egybegyűjtötték azért a papi fejedelmek és a farizeusok a főtanácsot, és mondták: „Mit cselekedjünk? Mert ez az ember sok csodát művel.
2b0b300092	Ha ekképpen hagyjuk őt, mindenki hinni fog ő benne: és eljönnek majd a rómaiak, és elveszik tőlünk mind a helyet is, mind a népet is.“
2b0b31006d	Egy pedig közülük, Kajafás, aki főpap volt abban az esztendőben, mondta nekik: „Ti semmit sem tudtok.
2b0b320077	Még arra sem gondoltok, hogy jobb nékünk, hogy egy ember haljon meg a népért, és ne az egész nép vesszen el.“
2b0b330088	Ezt pedig nem magától mondta: hanem mivel abban az esztendőben főpap volt, jövendőt mondott, hogy Jézus meg fog halni a népért,
2b0b34005e	és nemcsak a népért, hanem azért is, hogy az Istennek elszéledt gyermekeit egybegyűjtse.
2b0b350038	Ama naptól azért azon tanakodtak, hogy őt megöljék.
2b0b3600bd	Jézus tehát nem járt többé nyilvánosan a zsidók között, hanem elment onnan a vidékre, a pusztához közel, egy Efraim nevű városba, és ott tartózkodott az ő tanítványaival.
2b0b370078	Közel volt pedig a zsidók húsvétja: vidékről sokan mentek fel Jeruzsálembe húsvét előtt, hogy megtisztuljanak.
2b0b38007a	A templomban állva keresték Jézust, és így szóltak egymáshoz: „Mit gondoltok, hogy nem jön-e fel az ünnepre?“
2b0b39007e	A papi fejedelmek pedig és a farizeusok is parancsot adtak, hogy ha valaki megtudja, hogy hol van, jelentse, hogy megfogják.
2b0c01007d	Jézus azért hat nappal a húsvét előtt elment Betániába, ahol a meghalt Lázár volt, akit feltámasztott a halálból.
2b0c020078	Vacsorát készítettek ott neki, Márta szolgált fel, Lázár pedig egy volt azok közül, akik együtt ültek ővele.
2b0c0300ab	Mária ekkor elővett egy font igazi, drága nárdusból való kenetet, megkente Jézus lábait, és megtörölte saját hajával, a ház pedig megtelt a kenet illatával.
2b0c040068	Egy az ő tanítványai közül, Iskáriótes Júdás, Simonnak fia, aki őt majd elárulja, ezt mondta:
2b0c050068	„Miért nem adták el ezt a kenetet háromszáz dénárért, és miért nem adták a szegényeknek?“
2b0c060096	Ezt pedig nem azért mondta, mintha neki a szegényekre volna gondja, hanem mivel tolvaj volt, nála volt az erszény, és amit abba tettek, elcsente.
2b0c070059	Jézus erre ezt mondta: „Hagyj békét neki, az én temetésem idejére tartogatta ezt.
2b0c08004c	Mert szegények mindenkor vannak veletek, én pedig nem mindenkor vagyok.“
2b0c0900ab	A zsidók közül nagy sokaság értesült arról, hogy ő ott van, és odamentek, nemcsak Jézus miatt, hanem hogy Lázárt is lássák, akit feltámasztott a halálból.
2b0c0a0043	A papi fejedelmek pedig tanácskoztak, hogy Lázárt is megöljék,
2b0c0b0046	mivel a zsidók közül sokan miatta mentek oda, és hittek Jézusban.
2b0c0c005b	Másnap a nagy sokaság, amely az ünnepre jött, hallván, hogy Jézus Jeruzsálembe jön,
2b0c0d0082	pálmaágakat vett, kiment elé, és így kiáltott: „Hozsánna! Áldott, aki jön az Úrnak nevében, az Izraelnek Királya!“
2b0c0e0044	Jézus pedig talált egy szamarat, felült rá, amint meg van írva:
2b0c0f004c	„Ne félj, Sionnak leánya! Íme, királyod jön, szamárcsikón ülve.“
2b0c1000af	Ezeket pedig nem értették eleinte az ő tanítványai: hanem amikor Jézus megdicsőült, akkor emlékeztek vissza, hogy azokat művelték vele, amik róla meg vannak írva.
2b0c110084	A sokaság pedig, amely vele volt, amikor kihívta Lázárt a koporsóból, és feltámasztotta őt a halálból, bizonyságot tett.
2b0c12004e	Azért is ment elébe a sokaság, mivel hallotta, hogy ezt a csodát művelte.
2b0c130075	A farizeusok egymás között ezt mondták: „Látjátok-e, hogy semmit sem értek? Íme, a világ őutána megy.“
2b0c140057	Néhány görög is volt azok között, akik felmentek, hogy imádkozzanak az ünnepen.
2b0c15007c	Ezek a galileai Bétsaidából való Fülöphöz mentek, és kérték őt, ezt mondván: „Uram, látni akarjuk Jézust.“
2b0c160052	Fülöp elment, és szólt Andrásnak, András és Fülöp pedig szólt Jézusnak.
2b0c170056	Jézus pedig ezt felelte nekik: „Eljött az óra, hogy megdicsőüljön az Emberfia.
2b0c180084	Bizony, bizony mondom néktek: ha a földbe esett gabonamag el nem hal, csak egymaga marad, ha pedig elhal, sok gyümölcsöt terem.
2b0c190077	Aki szereti a maga életét, elveszti azt, és aki gyűlöli a maga életét e világon, örök életre tartja meg azt.
2b0c1a0087	Aki nekem szolgál, engem kövessen, és ahol én vagyok, ott lesz az én szolgám is: és aki nekem szolgál, megbecsüli azt az Atya.
2b0c1b008c	Most háborog az én lelkem, és mit mondjak: Atyám, ments meg engem ettől az órától? De hiszen éppen ezért jutottam erre az órára.
2b0c1c0080	Atyám, dicsőítsd meg a te nevedet!“ Szózat jött azért az égből: „Meg is dicsőítettem, és újra megdicsőítem.“
2b0c1d007d	A sokaság azért, amely ott állt, és hallotta, azt mondta, hogy mennydörgött, mások mondták: „Angyal szólt neki.“
2b0c1e0047	Jézus ezt mondta: „Nem énértem szólt ez a hang, hanem tiértetek.
2b0c1f0046	Most van e világ kárhoztatása, most vettetik ki e világ fejedelme:
2b0c200046	Én pedig, ha felemeltetem e földről, mindeneket magamhoz vonzok.“
2b0c21004b	Ezt pedig azért mondta, hogy megjelentse, milyen halállal kell meghalnia.
2b0c2200c4	A sokaság ezt felelte neki: „Mi azt hallottuk a törvényből, hogy a Krisztus örökké megmarad: hogyan mondhatod hát te, hogy az Emberfiának fel kell emeltetnie? Kicsoda ez az Emberfia?“
2b0c2300d3	Jézus azt mondta nekik: „Még egy kevés ideig veletek van a világosság. Járjatok, amíg világosságotok van, hogy sötétség ne lepjen meg titeket: mert aki a sötétségben jár, nem tudja, hová megy.
2b0c2400a1	Míg a világosságotok megvan, higgyetek a világosságban, hogy a világosság fiai legyetek.“ Ezeket mondta Jézus, és elmenve, elrejtőzködött előlük.
2b0c25003e	És noha ő ennyi jelt tett előttük, mégsem hittek őbenne,
2b0c260094	hogy beteljesedjék Ézsaiás próféta beszéde, amelyet mondott: „Uram, ki hitt a mi tanításunknak, és az Úr karja kinek jelentetett meg?“
2b0c270032	Azért nem hihettek, mert Ézsaiás ezt is mondta:
2b0c2800b1	„Megvakította a szemeiket, és megkeményítette a szívüket, hogy szemeikkel ne lássanak, és szívükkel ne értsenek, meg ne térjenek, és meg ne gyógyítsam őket.“
2b0c290051	Ezeket mondta Ézsaiás, amikor látta az ő dicsőségét, és őróla beszélt.
2b0c2a0092	Mindazáltal a főemberek közül is sokan hittek őbenne, de a farizeusok miatt nem vallották be, hogy ki ne rekesszék őket a gyülekezetből,
2b0c2b0052	mert inkább szerették az emberek dicséretét, mintsem az Istennek dicséretét.
2b0c2c0070	Jézus pedig kiáltva ezt mondta: „Aki hisz énbennem, nem énbennem hisz, hanem abban, aki elküldött engem;
2b0c2d0034	és aki engem lát, azt látja, aki küldött engem.
2b0c2e0063	Én világosságul jöttem e világba, hogy senki ne maradjon a sötétségben, aki énbennem hisz.
2b0c2f00a7	Ha valaki hallja az én beszédeimet, és nem hisz, én nem kárhoztatom azt; mert nem azért jöttem, hogy kárhoztassam a világot, hanem hogy megtartsam a világot.
2b0c30009b	Aki megvet engem, és nem fogadja el az én beszédeimet, annak van, aki őt elítélje: a beszéd, amelyet szólottam, az ítéli el őt az utolsó napon.
2b0c310080	Mert én nem magamtól szóltam, hanem az Atya, aki küldött engem, ő parancsolta nekem, hogy mit mondjak, és mit beszéljek.
2b0c32007c	És tudom, hogy az ő parancsolata örök élet. Amiket azért én beszélek, úgy beszélem, amint az Atya mondta nekem.“
2b0d0100ad	A húsvét ünnepe előtt tudta Jézus, hogy eljött az ő órája, hogy átmenjen e világból az Atyához, pedig szerette az övéit e világon, mindvégig szerette őket.
2b0d02007f	És vacsora közben, amikor az ördög belesugallta már Iskáriótes Júdásnak, Simon fiának szívébe, hogy árulja el őt,
2b0d03006f	tudta Jézus, hogy az Atya mindent hatalmába adott neki, és hogy ő az Istentől jött, és az Istenhez megy,
2b0d040062	felkelt a vacsorától, levette a felsőruháját, és egy kendőt véve, körülkötötte magát.
