0100000018	उत्पत्ति
121e0c013b	मेरो दाहिने हातमा हुल्याहाहरू खडा हुन्छन् । तिनीहरूले मलाई टाढा लखेट्छन् र मेरो विरुद्धमा आफ्‍ना घेरा-मचान बनाउँछन् ।
121e0d011c	तिनीहरूले मेरो मार्ग नष्‍ट गर्छन् । तिनीहरूले ममाथि विपत्ति ल्याउँछन्, र ती मानिसहरूलाई रोक्‍ने कोही छैन ।
121e0e014a	सहरको पर्खालमा भएको ठुलो प्वालबाट आउने फौजझैं तिनीहरू मेरो विरुद्धमा आउँछन् । विनाशको बिचमा तिनीहरू ममाथि लडिबडि खेल्छन् ।
121e0f0114	त्रासहरू ममाथि परेका छन् । बतासले उडाएर लगेझैं मेरो आदरलाई लगिएको छ । मेरो समृद्धि बादलझैं बितेर जान्छ ।
121e1000bd	अब मेरो जीवन मभित्रै सकिंदैछ । कष्‍टका धेरै दिनहरूले मलाई समातेका छन् ।
121e1100e5	रातमा मभित्र भएका हड्‍डीहरूले मलाई घोच्‍छन् । मलाई सताउने मेरा पीडाले आराम लिंदैनन् ।
121e120105	परमेश्‍वरको महान् शक्तिले मेरो वस्‍त्र समातेको छ । मेरो कमीजको कठालोझैं यसले मेरो चारैतिर बेर्छ ।
121e1300a2	उहाँले मलाई हिलोमा फाल्‍नुभएको छ । म धूलो र खरानीझैं भएको छु ।
121e140127	हे परमेश्‍वर, म तपाईंमा पुकार्छु, तर तपाईंले मलाई जवाफ दिनुहुन्‍न । म खडा हुन्छु, तर तपाईंले हेर्नु मात्र हुन्छ ।
121e1500ff	तपाईं बद्लिनुभएको छ र मप्रति क्रुर बन्‍नुभएको छ । आफ्नो हातको ताकतले तपाईंले मलाई सताउनुहुन्छ ।
121e160138	तपाईंले मलाई बतासमा उचाल्‍नुहुन्छ र त्‍यसले मलाई उडाउने बनाउनुहुन्छ । तपाईंले मलाई आँधीमा यताउता हुत्‍याउनुहुन्छ ।
121e170131	किनकि म जान्‍दछु, कि तपाईंले मलाई मृत्युमा पुर्‍याउनुहुन्‍छ, सबै जीवितहरूका लागि नियुक्त गरिएको घरमा लानुहुन्‍छ ।
121e180132	तापनि जब कोही लड्छ, तब के त्यसले मदतको लागि आफ्नो हात उठाउँदैन र? के सङ्कष्‍टमा भएको कसैले पनि मदतको लागि पुकार्दैन र?
121e1900d9	कष्‍टमा भएको व्यक्तिको लागि म रोइनँ र? खाँचोमा परेको मानिसको लागि मैले शोक गरिनँ र?
121e1a00ef	जब मैले भलाइको आशा गरें, तब खराबी आयो । जब मैले ज्योतिको आशा गरें, त्‍यसको साटो अन्धकार आयो ।
121e1b00c5	मेरो हृदय कष्‍टमा छ र यसले विश्राम लिंदैन । कष्‍टका दिनहरू ममाथि आएका छन् ।
121e1c011c	अन्धकारमा बसिरहेको मानिसझैं म हिंडेको छ, तर सूर्यको कारणले होइन । म सभामा खडा हुन्छु र मदतको लागि पुकार्छु ।
121e1d007d	म स्यालहरूको भाइ, अस्ट्रिचहरूको मित्र भएको छु ।
121e1e00be	मेरो छाला कालो छ, र पत्रै-पत्र भएर झर्छ । मेरा हड्‍डीहरू रापले जलेका छन् ।
121e1f00dc	त्यसकारण मेरो वीणाले शोकका गीतहरू गाउँछ, र मेरो बाँसुरीले रुनेहरूको निम्ति गाउँछ ।
121f0100e2	मैले मेरा आँखासित करार बाँधेको छु । तब कसरी कुनै कन्यालाई म कुदृष्‍टिले हेर्न सक्छु र?
121f020136	किनकि माथि हुनुभएको परमेश्‍वरबाट के हिस्सा पाइन्‍छ र? उच्‍चमा हुनुभएको सर्वशक्तिमान्‌बाट के उत्तराधिकार पाइन्‍छ र?
121f030113	विपत्ति अधर्मी मानिसहरूका लागि हो, अनि विनाशचाहिं दुष्‍ट काम गर्नेहरूका लागि हो भनी मैले विचार गर्थें ।
121f0400c5	के परमेश्‍वरले मेरा मार्गहरू देख्‍नुहुन्‍न र मेरा सबै कदम गन्‍नुहुन्‍न र?
121f0500b0	म झुटो कुरामा हिंडेको छु भने, र मेरो खुट्टा छल गर्न हतारिन्‍छन् भने,
121f0600e6	न्यायको तराजुमा मलाई जोखियोस्, जसले गर्दा परमेश्‍वरले मेरो सत्यनिष्ठा जान्‍नुहुनेछ ।
121f070121	मेरो कदमह बाटोबाट तर्किएको छ भने, र मेरो हृदय मेरा आँखाको पछि लागेको छ भने, र मेरा हातमा कुनै दाग टाँसिएको छ भने,
121f0800b1	तब मलाई रोप्‍न दिइयोस् अनि अर्कैले खाओस्, र मेरा बालीहरू उखेलिऊन् ।
121f0900e2	मेरो हृदय स्‍त्रीद्वारा धोकामा परेको छ भने, र मेरो छिमेकीको ढोकामा म ढुकिबसेको छु भने,
121f0a00dd	तब मेरी पत्‍नीले अर्कैको लागि अन्‍न पिसोस्, र अरू मानिसहरू त्यसमाथि घोप्‍टो परून् ।
121f0b00e6	किनकि त्यो त डरलाग्दो अपराध हुन्छ । वास्तवमा यो न्यायाधीशहरूले दण्ड दिने अपराध हुन्छ ।
121f0c00e0	किनकि त्यो त नरकसम्म नै भस्म पार्ने आगो हो, र त्‍यसले मेरा सबै फसललाई जरैसम्म जलाउँछ ।
121f0d0108	मेरो कमारा वा कमारीले न्‍यायको लागि बिन्‍ती गर्दा, तिनीहरूले मसित बहस गर्दा, मैले बेवास्ता गरेको भए,
121f0e0161	जब मलाई दोष लगाउन परमेश्‍वर उठ्‍नुहुन्‍छ, तब म के गर्न सक्‍छु र? जब मेरो न्याय गर्न उहाँ आउनुहुन्‍छ, तब म उहाँलाई कसरी जवाफ दिन सक्‍छु र?
121f0f011d	मलाई गर्भमा रच्नुहुनेले नै तिनीहरूलाई पनि रच्नुभएको होइन र? हामी सबैलाई उहाँले नै गर्भमा बनाउनुभएको होइन र?
121f10012f	गरिब मानिसहरूलाई मैले तिनीहरूको इच्छा वञ्चित गरेको छु भने, अर्थात् विधवाका आँखालाई मैले आँसुले धमिल्याएको छु भने,
121f1100ea	अर्थात् मैले आफ्‍नो गासलाई एक्‍लै खाएको छु, अनि अनाथहरूलाई पनि त्‍यो खान दिएको छैनँ भने—
121f120149	किनकि मेरो युवावस्थादेखि मसित अनाथ बुबासितझैं हुर्केको छ, अनि मैले उसकी विधवा आमालाई मेरी आमाको गर्भदेखि नै डोर्‍याएको छु ।
121f130141	लुगाफाटाको कमीले कोही नष्‍ट भएको मैले देखेको छु भने, अर्थात् खाँचोमा परेको मान्छेले लुगा लगाउन नपाएको मैले देखेको छु भने,
121f1400eb	मेरो भेडाको ऊनले आफूलाई न्यानो पार्न नपाएको हुनाले, उसको हृदयले मलाई आशिष् दिएको छैन भने,
121f150170	सहरको मूल ढोकामा मैले आफ्‍नो समर्थन देखेको हुनाले, अनाथहरूको विरुद्धमा मैले आफ्‍नो हात उठाएको छु भने, तब मेरो विरद्धमा अभियोग लगाउनुहोस् ।
121f16011a	मैले यी कुराहरू गरेको छु भने, मेरो काँधको पाता काँधबाट खुस्कोस् र मेरो पाखुरा त्‍यसको जोर्नीबाट खुस्कोस् ।
121f1700ff	किनकि परमेश्‍वरबाट आउने विनाशदेखि म डराएँ । उहाँको ऐश्‍वर्यको कारण मैले ती कुराहरू गर्न सकिनँ ।
121f180112	सुनलाई मैले आफ्‍नो आशा बनाएको छु भने, अनि निखुर सुनलाई मैले यसो भनेको छु, ‘मैले भर पर्ने तँमाथि नै हो,' भने,
121f190177	मेरो धन-सम्पत्ति प्रशस्त भएको हुनाले, मेरो हातले धेरै धनदौलत प्राप्‍त गरेको हुनाले म रमाएको छु भने, तब मेरो विरुद्धमा अभियोगहरू ल्याउनुहोस् ।
121f1a00ec	सूर्य उदाउँदा मैले त्‍यसको दर्शन गरेको, अर्थात् चन्द्रमा चम्‍किलो भएर हिंडेको हेरेको भए,
121f1b0122	अनि मेरो हृदय गुप्‍तमा आकर्षित भएको छ भने, जसको कारणले तिनको पुजा गर्न मेरो मुखले मेरो हातलाई चुम्बन गरेको भए—
121f1c0149	यो पनि न्यायाधीशहरूले दण्ड दिने अपराध हुन्‍थ्‍यो, किनकि माथि विराजमान् हुनुहुने परमेश्‍वरलाई मैले इन्कार गरेको हुन्‍थें ।
121f1d019e	मलाई घृणा गर्ने कुनै व्यक्तिको विनाशमा म रमाएको छु भने, अर्थात् विपत्तिले उसमाथि विजय पाउँदा आफैलाई बधाई दिएको छु भने, तब मेरो विरुद्धमा अभियोग लगाउनुहोस् ।
121f1e00d7	वास्तवमा ऊ मरोस् भनी सराप्‍नलाई, आफ्‍नो मुखलाई पाप गर्ने अनुमति मैले दिएकै छैनँ ।
121f1f0118	मेरो पालका मानिसहरूले कदापि यसो भनेका छैनन् भने, 'अय्यूबको भोजनले तृप्‍त नभएको मानिस कसैले भेट्टाउन सक्छ?'
121f2001b7	(विदेशीले पनि कदापि सहरको चोकमा बास बस्‍नुपरेको छैन, किनकि यात्रु निम्‍ति मैले सधैँ आफ्‍ना ढोकाहरू खुला गरेको छु), र त्यसो होइन भने, मेरो विरुद्धमा अभियोग लगाउनुहोस् ।
121f2100d7	आफ्‍नो दोषलाई आफ्‍नै लुगाले ढाकेर, मानव-जातिले झैं मैले आफ्‍ना पापहरू लुकाएको भए,
121f220181	(किनकि ठुलो भिडदेखि म डराएँ, परिवारहरूको निन्दाले मलाई त्रसित पार्‍यो, जसको कारणले म चुप लागें र बाहिर गइनँ), तब मेरो विरुद्धमा अभियोग लगाउनुहोस् ।
121f230172	ओहो, मेरो कुरा सुन्‍ने कोही भए त, हेर्नुहोस्, मेरो हस्ताक्षर यहीँ छ । सर्वशक्तिमान्‌को जवाफ पाऊँ । मेरो प्रतिवादीले लेखेको दोष-पत्र मसित भए त,
121f2400ec	निश्‍चय पनि त्‍यो म आफ्‍नै काँधमा खुलमखुला बोकेर हिंड्‍थें । मुकुटझैं त्‍यो म लगाउँथें ।
121f250104	जसरी निर्धक्‍क राजकुमार उहाँकहाँ जान्‍छन्, त्‍यसरी नै उहाँलाई म आफ्‍ना कदमहरूको हिसाब दिन्‍थें ।
121f2600e7	मेरो खेत मेरो विरुद्धमा कदापि कराएको छ भने, र यसमा भएका हलोका डोबहरू एकसाथ रोएका छन् भने,
121f270123	त्‍यसको फसलको लागि मूल्‍य नचूकाइ मैले खाएको छु भने, अर्थात्, त्‍यसका मालिकहरूलाई मृत्‍युमा पुर्‍याएको छु भने,
121f2800d0	तब गहुँको साटोमा काँढा र जौँको साटो झारपात उम्रियोस् ।” अय्यूबका वचनहरू सकिए ।
1220010112	त्‍यसैले यी तिन जना मानिसले अय्यूबलाई जवाफ दिन छाडे किनभने आफ्‍नो दृष्‍टिमा तिनले आफूलाई धर्मी ठहराए ।
12200201b4	त्यसपछि रामको परिवारको बुजी बारकेलका छोरा एलीहूलाई रिस उठ्यो । तिनलाई अय्यूबको विरुद्धमा रिस उठेको थियो, किनकि तिनले परमेश्‍वरभन्दा पनि आफैलाई धर्मी ठहराएका थिए ।
122003017c	तिन जना मित्रको विरुद्धमा पनि एलीहूलाई रिस उठ्यो किनकि तिनीहरूले अय्यूबलाई जवाफ दिन सकेका थिएनन्, र पनि तिनीहरूले अय्यूबलाई दोषी ठहराएका थिए ।
12200400f6	अरू मानिसहरू एलीहूभन्दा उमेरमा पाका भएका हुनाले तिनले अय्यूबसित बोल्‍नलाई पर्खिरहेका थिए ।
12200500bd	तापनि यी तिन जना मानिसका मुखमा एलीहूले जवाफ नदेखेपछि तिनलाई रिस उठ्यो ।
122006018b	तब बुजी बारकेलका छोरा एलीहू बोले र यसो भने, “म जवान छु, र तपाईंहरू निकै पाका हुनुहुन्छ । त्यसैले म चुप लागें, र मेरो विचार तपाईंहरूलाई भन्‍ने आँट गरिनँ ।
12200700d8	मैले भनें, “बुढा-पाकाले बोल्नुपर्छ । धेरै वर्ष बिताएकाहरूले बुद्धि सिकाउनुपर्छ ।
12200800c5	तर मानिसमा एउटा आत्मा हुन्छ । सर्वशक्तिमान्‌को सासले उसलाई सुझबुझ दिन्छ ।
12200900e8	महान् मानिसहरू मात्र बुद्धिमान् हुँदैनन्, न त पाका मानिसहरूले मात्र न्यायलाई बुझ्छन् ।
12200a0103	यसैकारण म तपाईंहरूलाई भन्दछु, 'मेरो कुरा सुन्‍नुहोस् । म पनि तपाईंहरूलाई आफ्‍नो ज्ञान भन्‍नेछु ।’
12200b0122	हेर्नुहोस्, मैले तपाईंहरूका कुरा सुनें । तपाईंहरूले के भन्‍ने भनी विचार गरिरहँदा मैले तपाईंका बहसहरू सुनें ।
12200c0188	वास्तवमा मैले ध्यान दिएर तपाईंहरूका कुरा सुनें, तर तपाईंहरूमध्ये एक जनाले पनि अय्यूबलाई विश्‍वस्त पार्न, अर्थात् तिनको वचनलाई जवाफ दिन सक्‍नुभएन ।
12200d0149	'हामीले बुद्धि भेट्टाएका छौं,' नभन्‍नलाई होसियार हुनुहोस् । अय्यूबलाई परमेश्‍वरले नै हराउनुपर्छ । मानिसले यसो गर्न सक्दैन ।
12200e0124	किनकि अय्यूबले आफ्ना वचनहरू मेरो विरुद्धमा बोलेका छैनन् । त्यसैले तपाईंहरूकै जवाफले म तिनलाई जवाफ दिनेछैनँ ।
12200f0151	यी तिन जना मानिसका बोली बन्‍द भएका छन् । तिनीहरूले फेरि अय्यूबलाई जवाई दिन सक्दैनन् । तिनीहरूसँगत बोल्‍नलाई एउटै शब्द पनि छैन ।
12201000e5	तिनीहरू बोल्‍दैनन्, तिनीहरू चूपचाप खडा छन्, अनि कुनै जवाफ दिंदैनन् भनेर के म पर्खिरहनू?
12201100d2	अहँ, म पनि आफ्‍नो तर्फबाट जवाफ दिनेछु । म पनि तिनीहरूलाई आफ्‍नो ज्ञान भन्‍नेछु ।
12201200ab	किनकि मसँग जवाफ धेरै छन् । मभित्र भएको आत्माले मलाई बाध्य पार्छ ।
12201300f2	मेरो छाती फुल्‍दै गरेको दाखमद्यझैं भएको छ जसको प्‍वाल छैन । नयाँ मशकझैं यो फुट्नलाई तयार छ ।
12201400ae	म ताजा हुन सकूँ भनेर म बोल्नेछु । म आफ्‍नो ओठ खोल्नेछु, र बोल्नेछु ।
12201500a2	म पक्षपात गर्नेछैनँ, न त कुनै मानिसलाई आदरको दर्जा नै दिनेछु ।
1220160130	किनकि त्‍यस्तो दर्जा कसरी दिने हो म जान्‍दिनँ । मैले त्यसो गरें भने, मेरा सृष्‍टिकर्ताले मलाई चाँडै लैजानुहुन्‍छ ।
12210100fc	त्यसैले अब, हे अय्यूब, मेरो कुरा सुन्‍न म तपाईंसित बिन्ती गर्छु, मेरा सबै शब्‍दहरू सुन्‍नुहोस् ।
12210200cc	हेर्नुहोस्, अब मैले आफ्‍नो मुख खोलेको छु । मेरो जिब्रोले मेरो मुखमा बोलेको छ ।
12210300c3	मेरा वचनहरू मेरो हृदयको सोझोपनबाट आउँछन् । मेरो ओठले शुद्ध ज्ञान बोल्‍छ ।
12210400f1	परमेश्‍वरका पवित्र आत्माले मलाई बनाउनुभएको छ । सर्वशक्तिमान्‌को सासले मलाई जीवन दिएको छ ।
1221050119	तपाईं सक्‍नुहुन्छ भने मलाई जवाफ दिनुहोस् । आफ्‍ना बहसहरू मेरो सामु क्रमैसित राख्‍नुहोस्, र खडा हुनुहोस् ।
1221060126	हेर्नुहोस्, परमेश्‍वरको दृष्‍टिमा तपाईं जस्तो हुनुहुन्‍छ म पनि त्‍यस्‍तै हुँ । म पनि माटैबाट रचना गरिएको हुँ ।
12210700d8	हेर्नुहोस्, मेरो डरले तपाईंलाई त्रसित नपारोस्, न त मेरो बोझ तपाईंलाई गह्रौं होस् ।
122108010d	तपाईंले निश्‍चय पनि मैले सुन्‍ने गरी बोल्नुभएको छ । तपाईंका वचनहरूका आवाजले यसो भनेको मैले सुनेको छु,
1221090094	'म शुद्ध र अपराधरहित छु । म निर्दोष छु, र ममा कुनै पाप छैन ।
12210a00fc	परमेश्‍वरले मलाई आक्रमण गर्ने मौकाहरू खोज्‍नुहुन्‍छ । उहाँले मलाई आफ्नो शत्रु ठान्‍नुहुन्छ ।
12210b00eb	उहाँले मेरो खुट्टा ठिंगुरोमा हाल्नुहुन्छ । उहाँले मेरा सबै मार्ग नियालेर हेर्नुहुन्छ ।'
12210c012e	हेर्नुहोस्, यो कुरोमा तपाईं ठिक हुनुहुन्‍न— म तपाईंलाई जवाफ दिन्छु, किनकि परमेश्‍वर मानिसभन्दा महान् हुनुहुन्छ ।
12210d00fc	उहाँको विरुद्धमा तपाईं किन सङ्घर्ष गर्नुहुन्छ? उहाँले त आफ्ना कुनै पनि कामको लेखा दिनुपर्दैन ।
12210e00cd	परमेश्‍वरले एक पटक, दुई पटक बोल्नुहुन्छ, तापनि मानिसले त्‍यसको ख्याल गर्दैन ।
12210f00c4	राती सपनामा, दर्शनमा, मानिसहरू मस्त निद्रामा पर्दा, ओछ्यानमा सुतेको समयमा,
12211000e8	तब परमेश्‍वरले मानिसहरूका कान खोल्‍नुहुन्छ, र तिनीहरूलाई चेतावनीहरूले तर्साउनुहुन्छ,
12211100ed	मानिसका पापी उद्देश्यहरूबाट उसलाई फर्काएर ल्याउनलाई, र अहङ्कारलाई ऊबाट टाढा राख्‍नलाई ।
12211200e6	परमेश्‍वरले मानिसको जीवनलाई खाडल पर्नबाट, उसको जीवनलाई मृत्युमा जानबाट बचाउनुहुन्छ ।
12211300fb	मानिसलाई ओछ्यानमा हुने पीडा, उसका हड्‍डीहरूमा निरन्तर हुने वेदनाद्वारा पनि उसलाई दण्ड दिइन्छ,
12211400e4	जसको कारणले उसको जीवनले खानेकुरालाई घृणा गर्छ, र उसको प्राणले मिठो भोजनलाई घृणा गर्छ ।
122115010f	उसको शरीरको मासु नदेखियोस् भनेर त्यो नष्‍ट भएको हुन्छ । पहिले नदेखिने उसका हाडहरू लौरोझैं देखिन्छन् ।
12211600ec	वास्तवमा उसको प्राण मृत्‍युको खाडल नजिक, उसको जीवन उसलाई नष्‍ट गर्न चाहनेहरूकहाँ पुग्छ ।
12211701a1	तर के गर्नु ठिक हुन्‍छ भनेर उसलाई देखाउन, उसको निम्‍ति मध्‍यस्‍थकर्ता हुनलाई एउटा स्‍वर्गदूत छन्, हजारौँ स्वर्गदूतहरूका बिचबाट एउटा यस्तो मध्यस्थकर्ता छन्,
122118019f	र त्यो स्वर्गदूत ऊप्रति दयालु हुन्‍छन् र परमेश्‍वरलाई यसो भन्‍छन् भने, 'य स व्यक्तिलाई मृत्‍युको खाडल जानबाट बचाउनुहोस् । उसलाई छुटकारा दिने मोल म तिर्नेछु,'
12211900dd	तब उसको मासु बच्‍चाको भन्दा कलिलो हुन्छ । उसले फेरि आफ्नो युवावस्थाको ताकत पाउनेछ ।
12211a01be	उसले परमेश्‍वरलाई प्रार्थना चढाउनेछ, र परमेश्‍वर ऊप्रति दयालु बन्‍नुहुनेछ, ताकि उसले आनन्दले परमेश्‍वरको मुहार हेर्छ । परमेश्‍वरले त्यो व्यक्तिलाई विजय दिनुहुन्‍छ ।
12211b0149	तब त्यो व्यक्तिले अरू मानिसहरूको सामु गाउनेछ र यसो भन्‍नेछ, 'मैले पाप गरें, र ठिक कुरालाई बङ्ग्याएँ, तर मेरो पापको दण्ड दिइएन ।
12211c012a	परमेश्‍वरले मेरो प्राणलाई मृत्‍युको खाडलमा जानबाट छुटकारा दिनुभएको छ । मेरो जीवनले निरन्‍तर ज्योति देख्‍नेछ ।'
12211d00c9	परमेश्‍वरले एक जना व्यक्तिसित यी सबै कुरा, दुई पटक वा तिन पटक पनि गर्नुहुन्छ,
12211e010a	उसको प्राणलाई मृत्‍युको खाडलबाट फर्काउनलाई, जसले गर्दा जीवनको ज्योतिले उसले आफूलाई चम्काउन सकोस् ।
12211f00da	हे अय्यूब, ध्यान दिनुहोस्, र मेरो कुरा सुन्‍नुहोस् । चुप लाग्‍नुहोस्, र म बोल्नेछु ।
1221200153	तपाईंसित भन्‍नुपर्ने कुनै कुरा छ भने मलाई जवाफ दिनुहोस् । बोल्नुहोस्, किनकि तपाईं ठिक हुनुहुन्छ भनी म प्रमाणित गर्न चाहान्‍छु ।
12212100ee	होइन भने, मेरो कुरा सुन्‍नुहोस् । चुप लाग्‍नुहोस्, र म तपाईंलाई बुद्धिका कुरा सिकाउनेछु ।”
1222010046	अझै एलीहूले निरन्‍तर बोले,
12220200fb	“हे बुद्धिमान् मानिसहरू हो, मेरा वचन सुन्‍नुहोस् । हे ज्ञान भएकाहरू हो, मेरा कुरा सुन्‍नुहोस् ।
12220300b5	जिब्रोले भोजनको स्वाद लिएझैं, कानले शब्दहरूलाई जाँच्ने कोसिस गर्छ ।
12220400dc	जे न्‍यायोचित छ, सो हामी आफ्‍नो निम्‍ति रोजौं । जे असल छ, सो हामी आफ्‍नो बिचमा खोजौं ।
12220500d9	किनकि अय्यूबले भनेका छन्, 'म धर्मी छु, तर परमेश्‍वरले मेरा अधिकारहरू हटाउनुभएको छ ।
12220600d2	मेरा अधिकारहरू भए पनि मलाई झुटो ठानिएको छ । म पापी नभए पनि मेरो घाउ निको हुँदैन ।'
12220700a0	अय्यूब कस्ता मानिस हुन्, जसले गिल्लालाई पनि पानीझैं पिउँछन्,
12220800cf	जो दुष्‍ट काम गर्नेहरूको सङ्गतमा जान्छन्, र जो दुष्‍ट मानिसहरूसितै हिंड्छन् ।
122209010a	किनकि तिनले भनेका छन्, 'परमेश्‍वरले जे इच्‍छा गर्नुहुन्‍छ त्‍यो गर्नमा मानिसलाई कुनै रमाहट हुँदैन ।'
12220a0183	त्यसैले हे सुझबुझ भएका मानिसहरू हो, मेरो कुरा सुन्‍नुहोस् । परमेश्‍वरले कदापि दुष्‍ट काम गर्नुहुन्‍न । सर्वशक्तिमान्‌ले कदापि पाप गर्नुहुन्‍न ।
12220b013b	किनकि उहाँले व्यक्तिको कामअनुसारको प्रतिफल दिनुहुन्छ । उहाँले हरेक मानिसलाई उसका आफ्नै चालअनुसारको इनाम दिनुहुन्छ ।
12220c011b	वास्तवमा परमेश्‍वरले कुनै दुष्‍ट काम गर्नुहुन्‍न, न त सर्वशक्तिमान्‌ले कदापि न्यायलाई बङ्ग्याउनुहुन्छ ।
12220d00f4	कसले उहाँलाई पृथ्वीको निरीक्षक तुल्याएको हो र? कसले सारा संसार उहाँको अधीनमा राखिदिएको हो र?
12220e010a	उहाँले आफ्ना मनसायहरू आफैमा मात्र राख्‍नुभएको भए, र उहाँले कहिलै आफ्ना आत्मा र सास आफैमा फर्काउनुभए,
12220f00d4	तब सारा प्राणी एकसाथ नष्‍ट हुन्‍थे । मानव-जाति फेरि पनि माटोमा नै फर्कन्‍थ्‍यो ।
12221000d4	अब तपाईंसित सुझबुझ छ भने, यो कुरा सुन्‍नुहोस् । मेरो वचनको आवाजलाई सुन्‍नुहोस् ।
1222110135	के न्यायलाई घृणा गर्नेले शासन गर्न सक्छ? के तपाईंले परमेश्‍वरलाई दोषी ठहराउनुहुन्‍छ जो धर्मी र शक्तिशाली हुनुहुन्छ?
1222120108	परमेश्‍वरले राजालाई भन्‍नुहुन्छ, 'तँ निकम्मा होस्' वा कुलीनहरूलाई भन्‍नुहुन्छ, 'तिमीहरू दुष्‍ट हौ ।'
1222130161	परमेश्‍वरले अगुवाहरूको पक्ष लिनुहुन्‍न, र गरिबहरूलाई भन्दा बढी मान धनीहरूलाई गर्नुहुन्‍न, किनकि तिनीहरू सबै उहाँका हातका काम हुन् ।
1222140164	एकै क्षणमा तिनीहरू मर्नेछन् । मध्यरातमा मानिसहरू हल्लिन्‍छन् र बितेर जान्‍छन् । शक्तिशाली मानिसहरू लगिन्‍छन्, तर मानवीय हातले होइन ।
12221500e4	किनकि परमेश्‍वरको दृष्‍टि मानिसको चालमा हुन्‍छ । उहाँले त्यसका सबै कदम हेर्नुहुन्छ ।
12221600e9	यस्तो कुनै अन्धकार वा बाक्लो अँध्यारो छैन, जहाँ अधर्म गर्नेहरूले आफैलाई लुकाउन सक्छन् ।
1222170131	किनकि परमेश्‍वरले व्‍यक्‍तिको थप जाँच गर्नुपर्दैन । कुनै पनि व्यक्ति इन्‍साफको लागि उहाँको सामु जानु आवश्यक छैन ।
12221801b6	उहाँले शक्तिशाली मानिसहरूलाई तिनीहरूका चालको कारणले टुक्रा-टुक्रा पार्नुहुन्छ जसको थप अनुसन्धान आवश्यक नै हुँदैन । उहाँले तिनीहरूका ठाउँमा अरूलाई राख्‍नुहुन्छ ।
122219013c	यसरी तिनीहरूका कामहरूका जानकारी उहाँलाई हुन्‍छ । उहाँले यी मानिसहरूलाई रातमा पल्टाउनुहुन्छ । तिनीहरू नष्‍ट हुन्छन् ।
12221a0128	अरूले देख्‍नेगरी खुला ठाउँमा, उहाँले तिनीहरूका दुष्‍ट कामहरूको लागि अपराधीहरूलाई झैं तिनीहरूलाई मार्नुहुन्छ,
12221b00f7	किनकि उहाँको अनुसरण गर्नबाट तिनीहरू तर्के, र उहाँका कुनै पनि मार्गको अनुसरण गर्न इन्कार गरे ।
12221c0133	यसरी गरिब मानिसहरूको रोदन उहाँको कानले सुन्‍ने तिनीहरूले बनाए । कष्‍टमा परेका मानिसहरूको रोदन उहाँले सुन्‍नुभयो ।
12221d01e8	जब उहाँ चुप लाग्‍नुहुन्‍छ, तब कसले उहाँलाई दोषी ठहराउन सक्छ र? उहाँले आफ्नो अनुहार लुकाउनुहुन्‍छ भने कसले उहाँलाई भेट्‍न सक्छ र? उहाँले जाति र व्यक्तिमाथि समान किसिमले शासन गर्नुहुन्छ,
12221e00e6	जसको कारणले पापी मानिसले शासन गर्न नपाओस्, यसरी मानिसहरूलाई पासोमा पार्ने कोही नहोस् ।
12221f00cc	मानौँ, कसैले परमेश्‍वरलाई भन्छ, 'म निश्‍चय नै दोषी छु, तर म फेरि पाप गर्नेछैनँ ।
12222000f7	मैले देख्‍न नसक्‍ने कुरा मलाई सिकाउनुहोस् । मैले पाप गरेको छु, तर त्‍यो काम म फेरि गर्नेछैनँ ।'
1222210213	तपाईंको विचारमा, परमेश्‍वरले गर्नुहुने कुरा तपाईंलाई मन पर्दैन भन्‍दैमा, के परमेश्‍वरले त्यो व्यक्तिको पापलाई दण्ड दिनैपर्छ र? तपाईंले नै चुन्‍ने हो, मैल होइन । त्यसैले आफूले जानेका कुरा भन्‍नुहोस् ।
122222010c	सुझबुझ भएका मानिसहरूले मलाई भन्‍नेछन्— वास्तवमा मेरो कुरा सुन्‍ने हरेक बुद्धिमान् मानिसले भन्‍नेछ,
12222300b3	'अय्यूब ज्ञानविनै बोल्छन् । तिनका शब्‍दहरूमा बुद्धिका कुरा छैनन् ।'
12222400fc	अय्यूबले दुष्‍ट मानिसहरूले झैं कुरा गरेको हुनाले, तिनको भनेका स-साना कुरा लिएर जाँच गर्न सकिए त!
1222250174	किनकि आफ्नो पापमा तिनले विद्रोह थप्छन् । हाम्रा बिचमा गिल्ला गर्दै तिनी थपडी मार्छन् । तिनी परमेश्‍वरको विरुद्धमा वचनको थुप्रो लगाउँछन् ।”
1223010056	अझै एलीहूले निरन्‍तर यसो भनिरहे,
1223020121	“जब तपाईं भन्‍नुहुन्‍छ, 'परमेश्‍वरको सामु मेरो अधिकार' तब त्‍यो न्‍यायोचित नै हो भन्‍ने विचार तपाईंलाई हुन्छ?
12230300fa	किनकि तपाईं सोध्‍नुहुन्छ, 'यसबाट मलाई के फाइदा हुन्‍छ?' अनि 'मैले पाप गर्दा मलाई के असल हुन्‍छ र?’
122304009a	म तपाईंलाई, तपाईं र तपाईंका मित्रहरू दुवैलाई जवाफ दिनेछु ।
12230500e6	माथि आकाशमा हेर्नुहोस् र विचार गर्नुहोस् । आकाशलाई हेर्नुहोस्, जुन तपाईंभन्दा माथि छ ।
