010000000e	Γένεσις
100b1f004a	καὶ οἱ υἱοὶ Βενιαμιν ἀπὸ Γαβα Μαχαμας
100b240059	καὶ ἀπὸ τῶν Λευιτῶν μερίδες Ιουδα τῷ Βενιαμιν
100c0100d9	καὶ οὗτοι οἱ ἱερεῖς καὶ οἱ Λευῖται οἱ ἀναβαίνοντες μετὰ Ζοροβαβελ υἱοῦ Σαλαθιηλ καὶ Ἰησοῦ Σαραια Ιερμια Εσδρα
100c020019	Αμαρια Μαλουχ
100c03000e	Σεχενια
100c07007c	οὗτοι ἄρχοντες τῶν ἱερέων καὶ ἀδελφοὶ αὐτῶν ἐν ἡμέραις Ἰησοῦ
100c0800c5	καὶ οἱ Λευῖται Ιησου Βανουι Καδμιηλ Σαραβια Ιουδα Μαχανια ἐπὶ τῶν χειρῶν αὐτὸς καὶ οἱ ἀδελφοὶ αὐτοῦ
100c090023	εἰς τὰς ἐφημερίας
100c0a00a9	καὶ Ἰησοῦς ἐγέννησεν τὸν Ιωακιμ καὶ Ιωακιμ ἐγέννησεν τὸν Ελιασιβ καὶ Ελιασιβ τὸν Ιωδαε
100c0b007b	καὶ Ιωδαε ἐγέννησεν τὸν Ιωναθαν καὶ Ιωναθαν ἐγέννησεν τὸν Ιαδου
100c0c00d5	καὶ ἐν ἡμέραις Ιωακιμ ἀδελφοὶ αὐτοῦ οἱ ἱερεῖς καὶ οἱ ἄρχοντες τῶν πατριῶν τῷ Σαραια Μαραια τῷ Ιερμια Ανανια
100c0d0041	τῷ Εσδρα Μεσουλαμ τῷ Αμαρια Ιωαναν
100c0e0041	τῷ Μαλουχ Ιωναθαν τῷ Σεχενια Ιωσηφ
100c0f0037	τῷ Αρεμ Αδνας τῷ Μαριωθ Ελκαι
100c100047	τῷ Αδδαι Ζαχαριας τῷ Γαναθων Μοσολλαμ
100c110059	τῷ Αβια Ζεχρι τῷ Βενιαμιν ἐν καιροῖς τῷ Φελητι
100c12003f	τῷ Βαλγα Σαμουε τῷ Σεμεια Ιωναθαν
100c13003b	τῷ Ιωιαριβ Μαθθαναι τῷ Ιδια Οζι
100c140039	τῷ Σαλλαι Καλλαι τῷ Αμουκ Αβεδ
100c150045	τῷ Ελκια Ασαβιας τῷ Ιεδεϊου Ναθαναηλ
100c1600ff	οἱ Λευῖται ἐν ἡμέραις Ελιασιβ Ιωαδα καὶ Ιωαναν καὶ Ιδουα γεγραμμένοι ἄρχοντες πατριῶν καὶ οἱ ἱερεῖς ἐν βασιλείᾳ Δαρείου τοῦ Πέρσου
100c1700d3	υἱοὶ Λευι ἄρχοντες τῶν πατριῶν γεγραμμένοι ἐπὶ βιβλίῳ λόγων τῶν ἡμερῶν καὶ ἕως ἡμερῶν Ιωαναν υἱοῦ Ελισουβ
100c18017c	καὶ ἄρχοντες τῶν Λευιτῶν Ασαβια καὶ Σαραβια καὶ Ιησου καὶ υἱοὶ Καδμιηλ καὶ οἱ ἀδελφοὶ αὐτῶν κατεναντίον αὐτῶν εἰς ὑμνεῖν καὶ αἰνεῖν ἐν ἐντολῇ Δαυιδ ἀνθρώπου τοῦ θεοῦ ἐφημερία πρὸς ἐφημερίαν
100c190042	ἐν τῷ συναγαγεῖν με τοὺς πυλωροὺς
100c1a00c0	ἐν ἡμέραις Ιωακιμ υἱοῦ Ἰησοῦ υἱοῦ Ιωσεδεκ καὶ ἐν ἡμέραις Νεεμια καὶ Εσδρας ὁ ἱερεὺς ὁ γραμματεύς
100c1b0199	καὶ ἐν ἐγκαινίοις τείχους Ιερουσαλημ ἐζήτησαν τοὺς Λευίτας ἐν τοῖς τόποις αὐτῶν τοῦ ἐνέγκαι αὐτοὺς εἰς Ιερουσαλημ ποιῆσαι ἐγκαίνια καὶ εὐφροσύνην ἐν θωδαθα καὶ ἐν ᾠδαῖς κυμβαλίζοντες καὶ ψαλτήρια καὶ κινύραι
100c1c00c2	καὶ συνήχθησαν οἱ υἱοὶ τῶν ᾀδόντων καὶ ἀπὸ τῆς περιχώρου κυκλόθεν εἰς Ιερουσαλημ καὶ ἀπὸ ἐπαύλεων
100c1d008f	καὶ ἀπὸ ἀγρῶν ὅτι ἐπαύλεις ᾠκοδόμησαν ἑαυτοῖς οἱ ᾄδοντες ἐν Ιερουσαλημ
100c1e00c6	καὶ ἐκαθαρίσθησαν οἱ ἱερεῖς καὶ οἱ Λευῖται καὶ ἐκαθάρισαν τὸν λαὸν καὶ τοὺς πυλωροὺς καὶ τὸ τεῖχος
100c1f0113	καὶ ἀνήνεγκα τοὺς ἄρχοντας Ιουδα ἐπάνω τοῦ τείχους καὶ ἔστησα δύο περὶ αἰνέσεως μεγάλους καὶ διῆλθον ἐκ δεξιῶν ἐπάνω τοῦ τείχους τῆς κοπρίας
100c20006e	καὶ ἐπορεύθη ὀπίσω αὐτῶν Ωσαια καὶ ἥμισυ ἀρχόντων Ιουδα
100c21003c	καὶ Αζαριας Εσδρας καὶ Μεσουλαμ
100c22004d	Ιουδα καὶ Βενιαμιν καὶ Σαμαια καὶ Ιερμια
100c2300ed	καὶ ἀπὸ υἱῶν τῶν ἱερέων ἐν σάλπιγξιν Ζαχαριας υἱὸς Ιωναθαν υἱὸς Σαμαια υἱὸς Μαθανια υἱὸς Μιχαια υἱὸς Ζακχουρ υἱὸς Ασαφ
100c2400e6	καὶ ἀδελφοὶ αὐτοῦ Σαμαια καὶ Οζιηλ αἰνεῖν ἐν ᾠδαῖς Δαυιδ ἀνθρώπου τοῦ θεοῦ καὶ Εσδρας ὁ γραμματεὺς ἔμπροσθεν αὐτῶν
100c250133	ἐπὶ πύλης τοῦ αιν κατέναντι αὐτῶν ἀνέβησαν ἐπὶ κλίμακας πόλεως Δαυιδ ἐν ἀναβάσει τοῦ τείχους ἐπάνωθεν τοῦ οἴκου Δαυιδ καὶ ἕως πύλης τοῦ ὕδατος κατὰ ἀνατολάς
100c260164	καὶ περὶ αἰνέσεως ἡ δευτέρα ἐπορεύετο συναντῶσα αὐτοῖς καὶ ἐγὼ ὀπίσω αὐτῆς καὶ τὸ ἥμισυ τοῦ λαοῦ ἐπάνω τοῦ τείχους ὑπεράνω τοῦ πύργου τῶν θεννουριμ καὶ ἕως τοῦ τείχους τοῦ πλατέος
100c270139	καὶ ὑπεράνω τῆς πύλης Εφραιμ καὶ ἐπὶ πύλην τῆς ισανα καὶ ἐπὶ πύλην τὴν ἰχθυηρὰν καὶ πύργῳ Ανανεηλ καὶ ἕως πύλης τῆς προβατικῆς καὶ ἔστησαν ἐν πύλῃ τῆς φυλακῆς
100c2800bd	καὶ ἔστησαν αἱ δύο τῆς αἰνέσεως ἐν οἴκῳ τοῦ θεοῦ καὶ ἐγὼ καὶ τὸ ἥμισυ τῶν στρατηγῶν μετ’ ἐμοῦ
100c2900a4	καὶ οἱ ἱερεῖς Ελιακιμ Μαασιας Βενιαμιν Μιχαιας Ελιωηναι Ζαχαριας Ανανιας ἐν σάλπιγξιν
100c2a00f9	καὶ Μαασιας καὶ Σεμειας καὶ Ελεαζαρ καὶ Οζι καὶ Ιωαναν καὶ Μελχιας καὶ Αιλαμ καὶ Εζουρ καὶ ἠκούσθησαν οἱ ᾄδοντες καὶ ἐπεσκέπησαν
100c2b0195	καὶ ἔθυσαν ἐν τῇ ἡμέρᾳ ἐκείνῃ θυσιάσματα μεγάλα καὶ ηὐφράνθησαν ὅτι ὁ θεὸς ηὔφρανεν αὐτοὺς μεγάλως καὶ αἱ γυναῖκες αὐτῶν καὶ τὰ τέκνα αὐτῶν ηὐφράνθησαν καὶ ἠκούσθη ἡ εὐφροσύνη ἐν Ιερουσαλημ ἀπὸ μακρόθεν
100c2c0226	καὶ κατέστησαν ἐν τῇ ἡμέρᾳ ἐκείνῃ ἄνδρας ἐπὶ τῶν γαζοφυλακίων τοῖς θησαυροῖς ταῖς ἀπαρχαῖς καὶ ταῖς δεκάταις καὶ τοῖς συνηγμένοις ἐν αὐτοῖς ἄρχουσιν τῶν πόλεων μερίδας τοῖς ἱερεῦσι καὶ τοῖς Λευίταις ὅτι εὐφροσύνη ἦν ἐν Ιουδα ἐπὶ τοὺς ἱερεῖς καὶ ἐπὶ τοὺς Λευίτας τοὺς ἑστῶτας
100c2d010d	καὶ ἐφύλαξαν φυλακὰς θεοῦ αὐτῶν καὶ φυλακὰς τοῦ καθαρισμοῦ καὶ τοὺς ᾄδοντας καὶ τοὺς πυλωροὺς ὡς ἐντολαὶ Δαυιδ καὶ Σαλωμων υἱοῦ αὐτοῦ
100c2e00a7	ὅτι ἐν ἡμέραις Δαυιδ Ασαφ ἀπ’ ἀρχῆς πρῶτος τῶν ᾀδόντων καὶ ὕμνον καὶ αἴνεσιν τῷ θεῷ
100c2f0165	καὶ πᾶς Ισραηλ ἐν ἡμέραις Ζοροβαβελ διδόντες μερίδας τῶν ᾀδόντων καὶ τῶν πυλωρῶν λόγον ἡμέρας ἐν ἡμέρᾳ αὐτοῦ καὶ ἁγιάζοντες τοῖς Λευίταις καὶ οἱ Λευῖται ἁγιάζοντες τοῖς υἱοῖς Ααρων
100d01014a	ἐν τῇ ἡμέρᾳ ἐκείνῃ ἀνεγνώσθη ἐν βιβλίῳ Μωυσῆ ἐν ὠσὶν τοῦ λαοῦ καὶ εὑρέθη γεγραμμένον ἐν αὐτῷ ὅπως μὴ εἰσέλθωσιν Αμμανῖται καὶ Μωαβῖται ἐν ἐκκλησίᾳ θεοῦ ἕως αἰῶνος
100d020139	ὅτι οὐ συνήντησαν τοῖς υἱοῖς Ισραηλ ἐν ἄρτῳ καὶ ἐν ὕδατι καὶ ἐμισθώσαντο ἐπ’ αὐτὸν τὸν Βαλααμ καταράσασθαι καὶ ἔστρεψεν ὁ θεὸς ἡμῶν τὴν κατάραν εἰς εὐλογίαν
100d03008f	καὶ ἐγένετο ὡς ἤκουσαν τὸν νόμον καὶ ἐχωρίσθησαν πᾶς ἐπίμικτος ἐν Ισραηλ
100d0400a3	καὶ πρὸ τούτου Ελιασιβ ὁ ἱερεὺς οἰκῶν ἐν γαζοφυλακίῳ οἴκου θεοῦ ἡμῶν ἐγγίων Τωβια
100d0501d6	καὶ ἐποίησεν αὐτῷ γαζοφυλάκιον μέγα καὶ ἐκεῖ ἦσαν πρότερον διδόντες τὴν μανααν καὶ τὸν λίβανον καὶ τὰ σκεύη καὶ τὴν δεκάτην τοῦ σίτου καὶ τοῦ οἴνου καὶ τοῦ ἐλαίου ἐντολὴν τῶν Λευιτῶν καὶ τῶν ᾀδόντων καὶ τῶν πυλωρῶν καὶ ἀπαρχὰς τῶν ἱερέων
100d060164	καὶ ἐν παντὶ τούτῳ οὐκ ἤμην ἐν Ιερουσαλημ ὅτι ἐν ἔτει τριακοστῷ καὶ δευτέρῳ τοῦ Αρθασασθα βασιλέως Βαβυλῶνος ἦλθον πρὸς τὸν βασιλέα καὶ μετὰ τέλος ἡμερῶν ᾐτησάμην παρὰ τοῦ βασιλέως
100d0700fb	καὶ ἦλθον εἰς Ιερουσαλημ καὶ συνῆκα ἐν τῇ πονηρίᾳ ᾗ ἐποίησεν Ελισουβ τῷ Τωβια ποιῆσαι αὐτῷ γαζοφυλάκιον ἐν αὐλῇ οἴκου τοῦ θεοῦ
100d0800b1	καὶ πονηρόν μοι ἐφάνη σφόδρα καὶ ἔρριψα πάντα τὰ σκεύη οἴκου Τωβια ἔξω ἀπὸ τοῦ γαζοφυλακίου
100d0900ce	καὶ εἶπα καὶ ἐκαθάρισαν τὰ γαζοφυλάκια καὶ ἐπέστρεψα ἐκεῖ σκεύη οἴκου τοῦ θεοῦ τὴν μαναα καὶ τὸν λίβανον
100d0a00fd	καὶ ἔγνων ὅτι μερίδες τῶν Λευιτῶν οὐκ ἐδόθησαν καὶ ἐφύγοσαν ἀνὴρ εἰς ἀγρὸν αὐτοῦ οἱ Λευῖται καὶ οἱ ᾄδοντες ποιοῦντες τὸ ἔργον
100d0b0110	καὶ ἐμαχεσάμην τοῖς στρατηγοῖς καὶ εἶπα διὰ τί ἐγκατελείφθη ὁ οἶκος τοῦ θεοῦ καὶ συνήγαγον αὐτοὺς καὶ ἔστησα αὐτοὺς ἐπὶ τῇ στάσει αὐτῶν
100d0c00ad	καὶ πᾶς Ιουδα ἤνεγκαν δεκάτην τοῦ πυροῦ καὶ τοῦ οἴνου καὶ τοῦ ἐλαίου εἰς τοὺς θησαυροὺς
100d0d018b	ἐπὶ χεῖρα Σελεμια τοῦ ἱερέως καὶ Σαδδουκ τοῦ γραμματέως καὶ Φαδαια ἀπὸ τῶν Λευιτῶν καὶ ἐπὶ χεῖρα αὐτῶν Αναν υἱὸς Ζακχουρ υἱὸς Μαθανια ὅτι πιστοὶ ἐλογίσθησαν ἐπ’ αὐτοὺς μερίζειν τοῖς ἀδελφοῖς αὐτῶν
100d0e00b3	μνήσθητί μου ὁ θεός ἐν ταύτῃ καὶ μὴ ἐξαλειφθήτω ἔλεός μου ὃ ἐποίησα ἐν οἴκῳ κυρίου τοῦ θεοῦ
100d0f020f	ἐν ταῖς ἡμέραις ἐκείναις εἶδον ἐν Ιουδα πατοῦντας ληνοὺς ἐν τῷ σαββάτῳ καὶ φέροντας δράγματα καὶ ἐπιγεμίζοντας ἐπὶ τοὺς ὄνους καὶ οἶνον καὶ σταφυλὴν καὶ σῦκα καὶ πᾶν βάσταγμα καὶ φέροντας εἰς Ιερουσαλημ ἐν ἡμέρᾳ τοῦ σαββάτου καὶ ἐπεμαρτυράμην ἐν ἡμέρᾳ πράσεως αὐτῶν
100d1000df	καὶ ἐκάθισαν ἐν αὐτῇ φέροντες ἰχθὺν καὶ πᾶσαν πρᾶσιν πωλοῦντες ἐν τῷ σαββάτῳ τοῖς υἱοῖς Ιουδα καὶ ἐν Ιερουσαλημ
100d110123	καὶ ἐμαχεσάμην τοῖς υἱοῖς Ιουδα τοῖς ἐλευθέροις καὶ εἶπα αὐτοῖς τίς ὁ λόγος οὗτος ὁ πονηρός ὃν ὑμεῖς ποιεῖτε καὶ βεβηλοῦτε τὴν ἡμέραν τοῦ σαββάτου
100d12017d	οὐχὶ οὕτως ἐποίησαν οἱ πατέρες ὑμῶν καὶ ἤνεγκεν ἐπ’ αὐτοὺς ὁ θεὸς ἡμῶν καὶ ἐφ’ ἡμᾶς πάντα τὰ κακὰ ταῦτα καὶ ἐπὶ τὴν πόλιν ταύτην καὶ ὑμεῖς προστίθετε ὀργὴν ἐπὶ Ισραηλ βεβηλῶσαι τὸ σάββατον
100d1301e2	καὶ ἐγένετο ἡνίκα κατέστησαν πύλαι Ιερουσαλημ πρὸ τοῦ σαββάτου καὶ εἶπα καὶ ἔκλεισαν τὰς πύλας καὶ εἶπα ὥστε μὴ ἀνοιγῆναι αὐτὰς ἕως ὀπίσω τοῦ σαββάτου καὶ ἐκ τῶν παιδαρίων μου ἔστησα ἐπὶ τὰς πύλας ὥστε μὴ αἴρειν βαστάγματα ἐν ἡμέρᾳ τοῦ σαββάτου
100d140088	καὶ ηὐλίσθησαν πάντες καὶ ἐποίησαν πρᾶσιν ἔξω Ιερουσαλημ ἅπαξ καὶ δίς
100d150170	καὶ διεμαρτυράμην ἐν αὐτοῖς καὶ εἶπα πρὸς αὐτούς διὰ τί ὑμεῖς αὐλίζεσθε ἀπέναντι τοῦ τείχους ἐὰν δευτερώσητε ἐκτενῶ τὴν χεῖρά μου ἐν ὑμῖν ἀπὸ τοῦ καιροῦ ἐκείνου οὐκ ἤλθοσαν ἐν σαββάτῳ
100d160171	καὶ εἶπα τοῖς Λευίταις οἳ ἦσαν καθαριζόμενοι καὶ ἐρχόμενοι φυλάσσοντες τὰς πύλας ἁγιάζειν τὴν ἡμέραν τοῦ σαββάτου πρὸς ταῦτα μνήσθητί μου ὁ θεός καὶ φεῖσαί μου κατὰ τὸ πλῆθος τοῦ ἐλέους σου
100d1700c8	καὶ ἐν ταῖς ἡμέραις ἐκείναις εἶδον τοὺς Ιουδαίους οἳ ἐκάθισαν γυναῖκας Ἀζωτίας Αμμανίτιδας Μωαβίτιδας
100d1800b3	καὶ οἱ υἱοὶ αὐτῶν ἥμισυ λαλοῦντες Ἀζωτιστὶ καὶ οὔκ εἰσιν ἐπιγινώσκοντες λαλεῖν Ιουδαϊστί
100d1901cf	καὶ ἐμαχεσάμην μετ’ αὐτῶν καὶ κατηρασάμην αὐτοὺς καὶ ἐπάταξα ἐν αὐτοῖς ἄνδρας καὶ ἐμαδάρωσα αὐτοὺς καὶ ὥρκισα αὐτοὺς ἐν τῷ θεῷ ἐὰν δῶτε τὰς θυγατέρας ὑμῶν τοῖς υἱοῖς αὐτῶν καὶ ἐὰν λάβητε ἀπὸ τῶν θυγατέρων αὐτῶν τοῖς υἱοῖς ὑμῶν
100d1a01af	οὐχ οὕτως ἥμαρτεν Σαλωμων βασιλεὺς Ισραηλ καὶ ἐν ἔθνεσιν πολλοῖς οὐκ ἦν βασιλεὺς ὅμοιος αὐτῷ καὶ ἀγαπώμενος τῷ θεῷ ἦν καὶ ἔδωκεν αὐτὸν ὁ θεὸς εἰς βασιλέα ἐπὶ πάντα Ισραηλ καὶ τοῦτον ἐξέκλιναν αἱ γυναῖκες αἱ ἀλλότριαι
100d1b00dd	καὶ ὑμῶν μὴ ἀκουσόμεθα ποιῆσαι τὴν πᾶσαν πονηρίαν ταύτην ἀσυνθετῆσαι ἐν τῷ θεῷ ἡμῶν καθίσαι γυναῖκας ἀλλοτρίας
100d1c00ea	καὶ ἀπὸ υἱῶν Ιωαδα τοῦ Ελισουβ τοῦ ἱερέως τοῦ μεγάλου νυμφίου τοῦ Σαναβαλλατ τοῦ Ωρωνίτου καὶ ἐξέβρασα αὐτὸν ἀπ’ ἐμοῦ
100d1d00bc	μνήσθητι αὐτοῖς ὁ θεός ἐπὶ ἀγχιστείᾳ τῆς ἱερατείας καὶ διαθήκης τῆς ἱερατείας καὶ τοὺς Λευίτας
100d1e00f2	καὶ ἐκαθάρισα αὐτοὺς ἀπὸ πάσης ἀλλοτριώσεως καὶ ἔστησα ἐφημερίας τοῖς ἱερεῦσιν καὶ τοῖς Λευίταις ἀνὴρ ὡς τὸ ἔργον αὐτοῦ
100d1f00de	καὶ τὸ δῶρον τῶν ξυλοφόρων ἐν καιροῖς ἀπὸ χρόνων καὶ ἐν τοῖς βακχουρίοις μνήσθητί μου ὁ θεὸς ἡμῶν εἰς ἀγαθωσύνην
110000000b	Ἐσθήρ
1101010f91	ἔτους δευτέρου βασιλεύοντος Ἀρταξέρξου τοῦ μεγάλου τῇ μιᾷ τοῦ Νισα ἐνύπνιον εἶδεν Μαρδοχαῖος ὁ τοῦ Ιαϊρου τοῦ Σεμεϊου τοῦ Κισαιου ἐκ φυλῆς Βενιαμιν ἄνθρωπος Ιουδαῖος οἰκῶν ἐν Σούσοις τῇ πόλει ἄνθρωπος μέγας θεραπεύων ἐν τῇ αὐλῇ τοῦ βασιλέως ἦν δὲ ἐκ τῆς αἰχμαλωσίας ἧς ᾐχμαλώτευσεν Ναβουχοδονοσορ ὁ βασιλεὺς Βαβυλῶνος ἐξ Ιερουσαλημ μετὰ Ιεχονιου τοῦ βασιλέως τῆς Ιουδαίας καὶ τοῦτο αὐτοῦ τὸ ἐνύπνιον καὶ ἰδοὺ φωναὶ καὶ θόρυβος βρονταὶ καὶ σεισμός τάραχος ἐπὶ τῆς γῆς καὶ ἰδοὺ δύο δράκοντες μεγάλοι ἕτοιμοι προῆλθον ἀμφότεροι παλαίειν καὶ ἐγένετο αὐτῶν φωνὴ μεγάλη καὶ τῇ φωνῇ αὐτῶν ἡτοιμάσθη πᾶν ἔθνος εἰς πόλεμον ὥστε πολεμῆσαι δικαίων ἔθνος καὶ ἰδοὺ ἡμέρα σκότους καὶ γνόφου θλῖψις καὶ στενοχωρία κάκωσις καὶ τάραχος μέγας ἐπὶ τῆς γῆς καὶ ἐταράχθη δίκαιον πᾶν ἔθνος φοβούμενοι τὰ ἑαυτῶν κακὰ καὶ ἡτοιμάσθησαν ἀπολέσθαι καὶ ἐβόησαν πρὸς τὸν θεόν ἀπὸ δὲ τῆς βοῆς αὐτῶν ἐγένετο ὡσανεὶ ἀπὸ μικρᾶς πηγῆς ποταμὸς μέγας ὕδωρ πολύ φῶς καὶ ὁ ἥλιος ἀνέτειλεν καὶ οἱ ταπεινοὶ ὑψώθησαν καὶ κατέφαγον τοὺς ἐνδόξους καὶ διεγερθεὶς Μαρδοχαῖος ὁ ἑωρακὼς τὸ ἐνύπνιον τοῦτο καὶ τί ὁ θεὸς βεβούλευται ποιῆσαι εἶχεν αὐτὸ ἐν τῇ καρδίᾳ καὶ ἐν παντὶ λόγῳ ἤθελεν ἐπιγνῶναι αὐτὸ ἕως τῆς νυκτός καὶ ἡσύχασεν Μαρδοχαῖος ἐν τῇ αὐλῇ μετὰ Γαβαθα καὶ Θαρρα τῶν δύο εὐνούχων τοῦ βασιλέως τῶν φυλασσόντων τὴν αὐλὴν ἤκουσέν τε αὐτῶν τοὺς λογισμοὺς καὶ τὰς μερίμνας αὐτῶν ἐξηρεύνησεν καὶ ἔμαθεν ὅτι ἑτοιμάζουσιν τὰς χεῖρας ἐπιβαλεῖν Ἀρταξέρξῃ τῷ βασιλεῖ καὶ ὑπέδειξεν τῷ βασιλεῖ περὶ αὐτῶν καὶ ἐξήτασεν ὁ βασιλεὺς τοὺς δύο εὐνούχους καὶ ὁμολογήσαντες ἀπήχθησαν καὶ ἔγραψεν ὁ βασιλεὺς τοὺς λόγους τούτους εἰς μνημόσυνον καὶ Μαρδοχαῖος ἔγραψεν περὶ τῶν λόγων τούτων καὶ ἐπέταξεν ὁ βασιλεὺς Μαρδοχαίῳ θεραπεύειν ἐν τῇ αὐλῇ καὶ ἔδωκεν αὐτῷ δόματα περὶ τούτων καὶ ἦν Αμαν Αμαδαθου Βουγαῖος ἔνδοξος ἐνώπιον τοῦ βασιλέως καὶ ἐζήτησεν κακοποιῆσαι τὸν Μαρδοχαῖον καὶ τὸν λαὸν αὐτοῦ ὑπὲρ τῶν δύο εὐνούχων τοῦ βασιλέως καὶ ἐγένετο μετὰ τοὺς λόγους τούτους ἐν ταῖς ἡμέραις Ἀρταξέρξου οὗτος ὁ Ἀρταξέρξης ἀπὸ τῆς Ἰνδικῆς ἑκατὸν εἴκοσι ἑπτὰ χωρῶν ἐκράτησεν
110102009c	ἐν αὐταῖς ταῖς ἡμέραις ὅτε ἐθρονίσθη ὁ βασιλεὺς Ἀρταξέρξης ἐν Σούσοις τῇ πόλει
1101030131	ἐν τῷ τρίτῳ ἔτει βασιλεύοντος αὐτοῦ δοχὴν ἐποίησεν τοῖς φίλοις καὶ τοῖς λοιποῖς ἔθνεσιν καὶ τοῖς Περσῶν καὶ Μήδων ἐνδόξοις καὶ τοῖς ἄρχουσιν τῶν σατραπῶν
1101040123	καὶ μετὰ ταῦτα μετὰ τὸ δεῖξαι αὐτοῖς τὸν πλοῦτον τῆς βασιλείας αὐτοῦ καὶ τὴν δόξαν τῆς εὐφροσύνης τοῦ πλούτου αὐτοῦ ἐπὶ ἡμέρας ἑκατὸν ὀγδοήκοντα
110105012c	ὅτε δὲ ἀνεπληρώθησαν αἱ ἡμέραι τοῦ γάμου ἐποίησεν ὁ βασιλεὺς πότον τοῖς ἔθνεσιν τοῖς εὑρεθεῖσιν εἰς τὴν πόλιν ἐπὶ ἡμέρας ἓξ ἐν αὐλῇ οἴκου τοῦ βασιλέως
110106025f	κεκοσμημένῃ βυσσίνοις καὶ καρπασίνοις τεταμένοις ἐπὶ σχοινίοις βυσσίνοις καὶ πορφυροῖς ἐπὶ κύβοις χρυσοῖς καὶ ἀργυροῖς ἐπὶ στύλοις παρίνοις καὶ λιθίνοις κλῖναι χρυσαῖ καὶ ἀργυραῖ ἐπὶ λιθοστρώτου σμαραγδίτου λίθου καὶ πιννίνου καὶ παρίνου λίθου καὶ στρωμναὶ διαφανεῖς ποικίλως διηνθισμέναι κύκλῳ ῥόδα πεπασμένα
1101070107	ποτήρια χρυσᾶ καὶ ἀργυρᾶ καὶ ἀνθράκινον κυλίκιον προκείμενον ἀπὸ ταλάντων τρισμυρίων οἶνος πολὺς καὶ ἡδύς ὃν αὐτὸς ὁ βασιλεὺς ἔπινεν
1101080128	ὁ δὲ πότος οὗτος οὐ κατὰ προκείμενον νόμον ἐγένετο οὕτως δὲ ἠθέλησεν ὁ βασιλεὺς καὶ ἐπέταξεν τοῖς οἰκονόμοις ποιῆσαι τὸ θέλημα αὐτοῦ καὶ τῶν ἀνθρώπων
11010900bb	καὶ Αστιν ἡ βασίλισσα ἐποίησε πότον ταῖς γυναιξὶν ἐν τοῖς βασιλείοις ὅπου ὁ βασιλεὺς Ἀρταξέρξης
11010a0176	ἐν δὲ τῇ ἡμέρᾳ τῇ ἑβδόμῃ ἡδέως γενόμενος ὁ βασιλεὺς εἶπεν τῷ Αμαν καὶ Βαζαν καὶ Θαρρα καὶ Βωραζη καὶ Ζαθολθα καὶ Αβαταζα καὶ Θαραβα τοῖς ἑπτὰ εὐνούχοις τοῖς διακόνοις τοῦ βασιλέως Ἀρταξέρξου
11010b014f	εἰσαγαγεῖν τὴν βασίλισσαν πρὸς αὐτὸν βασιλεύειν αὐτὴν καὶ περιθεῖναι αὐτῇ τὸ διάδημα καὶ δεῖξαι αὐτὴν πᾶσιν τοῖς ἄρχουσιν καὶ τοῖς ἔθνεσιν τὸ κάλλος αὐτῆς ὅτι καλὴ ἦν
11010c00cd	καὶ οὐκ εἰσήκουσεν αὐτοῦ Αστιν ἡ βασίλισσα ἐλθεῖν μετὰ τῶν εὐνούχων καὶ ἐλυπήθη ὁ βασιλεὺς καὶ ὠργίσθη
11010d00ba	καὶ εἶπεν τοῖς φίλοις αὐτοῦ κατὰ ταῦτα ἐλάλησεν Αστιν ποιήσατε οὖν περὶ τούτου νόμον καὶ κρίσιν
11010e0119	καὶ προσῆλθεν αὐτῷ Αρκεσαιος καὶ Σαρσαθαιος καὶ Μαλησεαρ οἱ ἄρχοντες Περσῶν καὶ Μήδων οἱ ἐγγὺς τοῦ βασιλέως οἱ πρῶτοι παρακαθήμενοι τῷ βασιλεῖ
11010f0111	καὶ ἀπήγγειλαν αὐτῷ κατὰ τοὺς νόμους ὡς δεῖ ποιῆσαι Αστιν τῇ βασιλίσσῃ ὅτι οὐκ ἐποίησεν τὰ ὑπὸ τοῦ βασιλέως προσταχθέντα διὰ τῶν εὐνούχων
1101100146	καὶ εἶπεν ὁ Μουχαιος πρὸς τὸν βασιλέα καὶ τοὺς ἄρχοντας οὐ τὸν βασιλέα μόνον ἠδίκησεν Αστιν ἡ βασίλισσα ἀλλὰ καὶ πάντας τοὺς ἄρχοντας καὶ τοὺς ἡγουμένους τοῦ βασιλέως
11011100e5	καὶ γὰρ διηγήσατο αὐτοῖς τὰ ῥήματα τῆς βασιλίσσης καὶ ὡς ἀντεῖπεν τῷ βασιλεῖ ὡς οὖν ἀντεῖπεν τῷ βασιλεῖ Ἀρταξέρξῃ
1101120137	οὕτως σήμερον αἱ τυραννίδες αἱ λοιπαὶ τῶν ἀρχόντων Περσῶν καὶ Μήδων ἀκούσασαι τὰ τῷ βασιλεῖ λεχθέντα ὑπ’ αὐτῆς τολμήσουσιν ὁμοίως ἀτιμάσαι τοὺς ἄνδρας αὐτῶν
11011301ad	εἰ οὖν δοκεῖ τῷ βασιλεῖ προσταξάτω βασιλικόν καὶ γραφήτω κατὰ τοὺς νόμους Μήδων καὶ Περσῶν καὶ μὴ ἄλλως χρησάσθω μηδὲ εἰσελθάτω ἔτι ἡ βασίλισσα πρὸς αὐτόν καὶ τὴν βασιλείαν αὐτῆς δότω ὁ βασιλεὺς γυναικὶ κρείττονι αὐτῆς
