1300000006	Psalms
2a1734002c	Wuyenda kuidi Pilatu, wunlomba nitu yi Yesu.
2a1735009c	Bu kayi kulula va dikulusi, buna wuyizinga mu dilasola di lino ayi wutula yawu mu dibumbi disokulu mu ditadi dinneni. Kadi mutu kazikulu ko mu dibumbi beni.
2a1736002f	Kiba lumbu ki khubumunu, tuamina lumbu ki saba.
2a1737006e	Baketo bobo balandakana Yesu tona ku Ngalili balandakana Zefu, bamona bibumbi ayi buevi batudila nitu yi Yesu.
2a17380077	Bosi bavutuka kuawu ayi bakubika mafuta ma tsudi yi kotoko ayi malasi. Bavunda kuawu mu lumbu ki saba boso bubela mina.
2a18010074	Mu nsuka-nsuka wu lumbu kitheti ki sabala, baketo bayenda kudibumbi. Banata mafuta ma tsudi yi kitoko momo bakubika.
2a18020042	Bamona ditadi difuka mualo wu dibumbi divindumunu va ndambu muelo.
2a1803002d	Bakota vayi basia mona ko nitu yi Pfumu Yesu.
2a18040071	Buna bakidi yindula tsundu yi diambu diodi, bazimbukila batu buadibavuata minledi miba lezama batelama va ndambu.
2a18050095	Sumbu bamona tsisi ayi bayinika bizizi biawu mu tsi, buna batu beni baba yuvula: —Bila mbi luntombila mutu widi moyo va khatitsika yi batu bafua e?
2a18060069	Kasiedi vava ko vayi fulukidingi. Lutebuka moyo buevi kaluyolukilabuna wukidi ku Ngalili bu kalukamba ti:
2a18070070	“Muana Mutu kafueti yekulu mu mioko mi bankua masumu, wela bandu va dikulusi ayi wela fuluka mu lumbu kintatu.
2a18080026	Buna batebukila mambu mandi momo moyo.
2a18090085	Basia bika dibumbi, bavutuka kuawu ayi bavumbudila kipholo ki mambu moso mama kuidi kumi mimvuala wumosi ayi kuidi batu boso bankaka.
2a180a0080	Mu bawu muba Maliya muisi Mangadala, Zana, Maliya ngudi yi Zaki va kimosi ayi maketo bankaka basamuna mambu mama kuidi mimvuala.
2a180b0060	Vayi mimvuala mimanga wilukila mambu mawu bila mimonina mambu mawu banga mambu makambulu tsundu.
2a180c00a5	Vayi Piela wutelama, wuzawula ku dibumbi. Bu kayinama, buna miomiminledi mikazikulu kaka kamona. Wuvutuka kuandi ku nzo andi wusiminamu diambu di mambu momo mavioka.
2a180d00a3	Mu kina kiawu lumbu, minlonguki miodi miyenda ku buala bumosibaba ntedilanga Emawusi. Buala beni butatukila Yelusalemi nduka-ndukamu tezo ki kumi kilometele biodi.
2a180e0023	Miyolukila mambu moso momo mavioka.
2a180f006d	Bu miba solula ayi miba findana zimpaka, mizimbukila niandi veka Yesu wuba fikama ayi wuyenda yawu va kimosi.
2a18100036	Vayi meso mawu maba mafuku mu diambu babika kumbakula.
2a18110076	Buna wuba yuvula: —A mambu mbi momo lulembu yolukila bu lueti kuenda yendingi e? Mitelama ayi bizizi bi kiadi-kiadi.
2a181200aa	Wumosi mu bawu, dizina diandi Klewopasi wumvutudila: —Vayi buna ngeyo kaka mu batu bobo bamvuandanga ku Yelusalemikambulu zaba mambu maviokidi muawu mu bilumbu biabi e?
2a181300cb	Niandi wuba yuvula: —A mambu mbi momo e? Bawu bamvutudila: —Mambu mabuilulu Yesu muisi Nazaleti wubedi mbikudi wu lulendomu mavanga mandi ayi mu thubulu andi va ntuala Nzambi ayi va ntuala batu boso.
2a1814008a	Bapfumu zieto zi banganga Nzambi ayi bapfumu zieto zinyekudi mu diambu di banzengila nkanu wu lufua ayi mu diambu di bambanda va dikulusi.
2a18150078	Diana tubedi tulanga ti niandi wukuiza kudi Iseli. Vayi talabuabu kiawu kiaki lumbu kintatu tona mambu beni makibelanga.
2a18160069	Bukiedika kuandi ti baketo bankaka mu beto batuyindusidingi ngolo bu babedingi ku dibumbi va nsuka-nsuka.
2a18170082	Sumbu basi monanga ko nitu andi, buna biza samunanga ti tsongolobamueningi; bamueningi zimbasi zibakembingiti bukiedika widi moyo.
2a18180083	Buna bankaka mu bobo badi yeto bedingi ku dibumbi. Benda buanangamambu boso busamuniningi baketo; vayi, niandi, basi kummonanga ko.
2a18190078	Buna Yesu wuba kamba: A batu bakambu diela ayi fuana phasi lummona mu mintima mu wilukila mambu moso mimbikudi mibikula.
2a181a005c	A keti Klisto kafueti tuama mona phasi mu diambu di mambu momosimbu kakota mu nkembo andi e?
2a181b006c	Bosi Yesu wutona kuba sudikisa mambu moso masonama mu diambu dianditonina mu Moyize nate mu mimbikudi mioso.
2a181c0049	Vayi buna bafikama buala bobo baba kuenda; niandi wuvunikisa kuenda thama
2a181d0081	vayi bansimbidila bu banleba: —Vuanda yeto, tala buisi bueka yila ayi masika mazidi. Buna wukota yawu mu nzo ayi wuvuanda yawu.
2a181e005b	Wuvuanda yawu va meza, wubonga dipha ayi wudisakumuna, wudibukuna bosi wuba kabudila diawu.
2a181f005e	Buna meso mawu mazibuka ayi bambakula vayi kasia buela monikako, wutumbu zimbala va meso mawu.
2a18200096	Buna bakambasana bawu na bawu: —Keti mintima mieto misi banga mu khini ko mu thangu kalembukutuyolukilanga mu nzila, bu katuzingu budidi masonuku e?
2a18210078	Muna yina thangu, bavutuka ku Yelusalemi. Bayiza bata kumi mimvuala wumosi buna bakutikini va kimosi ayi bobo baba yawu,
2a18220053	balembu tubi ti: —Bukiedika ti Pfumu fulukidingi; wukimonikisidingi kuidi Simoni.
2a1823007e	Buna minlonguki miodi beni mamvawu misamuna mambu momo mimonamu nzila ayi buevi miyiza bakudila Yesu mu thangu kabukuna dipha.
2a18240075	Buna bakidi solula mu diambu di mambu beni, Yesu wutelamava khatitsikꞌawu ayi wuba kamba: —Ndembama yibanga yeno.
2a18250041	Vayi baboso batita, bamona tsisi bila babanzila ti nkuyu bamueni.
2a18260056	Buna wuba kamba: —A bila mbi luekila tsisi-tsisi? Bila mbi mayindu mu mintima mieno?
2a182700b5	Talanu mioko miama ayi malu mama. Keti minu kuandi e! Bika lutsimba ayi lutala! Keti nkuyu kasi ko minsuni ayi mimvesi vayi lulembu moni kueno ti minu minsuni ayi mimvesi midi yama.
2a18280038	Bu katuba bobo, wuba monisa mioko miandi ayi malu mandi.
2a18290076	Bu bakambu vika wilukila mu diambu di khini ayi mu diambu di simina, buna wuba yuvula: —Kima kidia kidi yeno vava e?
2a182a0024	Buna bamvana tini ki mbizi ki lambu.
2a182b0023	Wukibonga ayi wukidia va meso mawu.
2a182c00c8	Bosi wuba kamba: —Tala mawu mama mambu ndilukamba buna ndikidi yeno va kimosimambu mamo masonama mu diambu diama mu Mina mi Moyize, mu minkanda mi mimbikudi ayi mu minkunga mafueti kaka dedakana!”
2a182d003d	Buna wuzibula diela diawu muingi babaka bu sudikila masonuku.
2a182e0058	Wuba kamba ti: —Disonama ti Klisto kafueti mona phasi ayi wela fuluka mu lumbu kintatu
2a182f008f	ayi bela samuna kuidi batu ba makanda moso tonina mu Yelusalemi ti mu dizina diandi, batu babalula mavanga ayi batambula nlemvo mu masumu mawu.
2a18300022	Beno luidi bambangi ba mambu momo.
2a1831008c	Tala minu ndieka nduka kulufidisila biobi Dise diama kaluvaninatsila. Diawu beno luvuanda kaka mu divula nate luela vuiku lulendo lu diyilu.
2a1832006e	Bosi wuba nata ku nganda yi divula nate ku ndambu yi Betani. Kuna kamvumbudila mioko miandi ayi wuba sakumuna.
2a18330044	Mu thangu kaba kubasakumuna, wuvambana yawu ayi wutombulu mu diyilu.
2a1834003f	Bawu buna bamana kunsambila, mu khini bavutukila ku Yelusalemi.
2a1835005b	Thangu ka thangu bavuanda kuawu mu nzo Nzambi mu diambu di zitisanga ayi kembisanga Nzambi.
2b00000004	John
2b01010056	Va thonono, Diambu dikibela, Diambu diba va kimosi ayi Nzambi ayi Diambu diawu Nzambi.
2b0102002c	Diambu diba va thonono va kimosi ayi Nzambi.
2b01030063	Bima bioso bivangimina mu diawu, kuisi ko kima kikambu vangu mu kambu diawu mu bibioso bikivangulu.
2b01040039	Mu diawu muba Luzingu. Luzingu beni luba kiezila ki batu.
2b0105003f	Kiezila kilembo kienzuka mu tombi vayi tombi kisia kisudika ko.
2b0106003b	Vaba Mutu wumosi wutumu kuidi Nzambi, dizina diandi Yowani.
2b01070069	Wuyiza mu telama kimbangi; mu telama kimbangi mu diambu di kiezila muingi batu boso bawilukila mu niandi.
2b01080062	Niandi veka kasia ba kiezila ko, vayi, niandi wuyiza kaka mu telama kimbangi mu diambu di kiezila.
2b01090052	Kiezila ki kiedika kiawu kioki kiyiza va ntoto, kioki kieti kienzulanga batu boso.
2b010a0056	Niandi diambu diyiza va ntoto ayi ntoto wuvangu mu niandi vayi ntoto wusia kunzaba ko.
2b010b0045	Niandi wuyiza ku tsiꞌandi vayi basi tsiꞌandi basia kuntambula ko.
2b010c0076	Vayi kuidi batu boso bantambula, niandi wuba vana lulendo lukitukila bana ba Nzambi; bobo bawilukila mu dizina diandi.
2b010d007a	Bika sia ti bana beni mu menga voti mu luzolo lu nsuni babutukila, voti mu luzolo lu mutu vayi babutu mu luzolo lu Nzambi.
2b010e00bd	Diambu dikituka nsuni ayi diyiza zinga va khatitsikꞌeto. Beto tumona nkembo andi; banga nkembo wu Muana wumosi kaka wowo wuba kuidi Tata. Nkembo beni wuba wuwala mu nlemvo ayi mu kiedika.
2b010f00cc	Yowani wuntelimina kimbangi bu katuba mu yamikina: —Talanu mutu wawu, niandi ndiyolukila mu thangu ndilukamba: mutu wowo wunkuiza ku manima mama wundutidi munneni, bila niandi wutuama kukibela ayi minu.
2b01100057	Mu diambu di fuluka ku nlemvo andi, beto boso tutambula lusakumunu va mbata lusakumunu.
2b01110051	Bila Moyize niandi wuvana Mina vayi Yesu Klisto niandi wunata nlemvo ayi kiedika.
2b01120069	Kadi mutu kamuenieti Nzambi ko vayi Muanꞌandi wumosi kaka widi va ndambu yi Tata, niandi wunzabikisidi.
2b0113008f	Vava vadi kimbangi ki Yowani mu thangu Bayuda baba ku Yelusalemi bafidisa zinganga Nzambi ayi Balevi muingi banyuvula: “ngeyo widi nani e?”
2b01140045	Buna wuba kamba kiedika mu kambu memata: —Minu ndisi ama Klisto ko.
2b0115009d	Babuela kunyuvula: —Vayi buna widi nani e? Widi Eli? Wuba vutudila: —Ndisi ama Eli ko! Bawu babuela kunyuvula: —Widi mbikudi e? Wuba vutudila: —Nana.
2b01160097	Buna babuela kunyuvula diaka: —Vayi widi nani e? Wutukamba muingi tubaka buvanina mvutu kuidi bobo batutumini. Mbi wuntuba mu diambu di ngeyo veka e?
2b01170088	Buna wuba kamba: —Minu ndidi mbembo yi mutu wowo wulembo yamikina mu dikanga: luludika nzila yi Pfumu banga bu bikudila mbikudi Ezayi.
2b0118002e	Batu Bobo bafidusu baba mu dikabu di Bafalisi;
2b01190066	banyuvula: —Enati wisi Klisto ko voti Eli ko, voti mbikudi ko vayi buna bila mbi wulembo botikila e?
2b011a0077	Yowani wuba vutudila: —Minu ndilembo lubotikila mu nlangu, vayi va khatitsikꞌeno vadi mutu wumosi wulukambulu zaba,
2b011b005a	mutu wowo wunkuiza ku manima mama, ndisi fuana ko mu nianguna minsinga mi zisapatu ziandi.
2b011c006b	Mambu mama ku Betani maviokila, buala buidi va disimu di nzadi Yolidani, kuna Yowani kaba botikilanga batu.
2b011d0084	Mu lumbu kilanda, Yowani wumona Yesu wunkuiza kuidi niandi, buna wutuba: —Tala, Muana dimemi di Nzambi wumbotulanga masumu ma nza.
2b011e0091	Niandi mutu wowo ndiluyolukila bu ndilukamba ti: “Mutu wowo wunkuiza ku manima mama wundutidi munneni bila niandi wutuama kukibela ayi minu.”
2b011f006b	Minu ndisia tuama kunzaba ko, vayi mu diambu kazabakana kuidi Iseli diawu minu ndilembo botikila mu nlangu.
2b0120006c	Yowani wutelama kimbangi bu katuba: —Ndimona Pheve yitotukila ku Diyilu banga dibembe, yivuanda va niandi.
2b012100e1	Kuidi minu, ndisi kunzaba ko; vayi mutu wowo wuthuma mu kuiza botika mu nlangu niandi wukhamba: “Va mutu wowo wela mona Pheve yikulukidi va niandi ayi yivuendi va niandi; buna niandi mutu wela botikila mu Pheve Yinlongo.”
2b0122004a	Buna minu ndimona ayi nditelama kimbangi ti mutu wawu niandi muana Nzambi.
2b0123004b	Diaka mu lumbu kilanda, Yowani wuba diaka vana ayi minlonguki miandi miodi.
2b01240053	Mu thangu kamona Yesu wumviokila vana buna wutuba: —Tala, Muana dimemi di Nzambi.
2b0125003b	Minlonguki mi miodi minwa bu katuba, buna milandakana Yesu.
2b01260093	Yesu bu kabaluka wuba mona balembo nlandakana. Diawu kaba yuvudila: —A mbi luntomba e? Bamvutudila: —Labi bu dinsundula Nlongi, kuevi wukala e?
2b0127008e	Wuba kamba: —Yizanu ayi malumona. Bayenda ayi bamona va kaba nkalanga. Bakala yandi mu lumbu kina; yiba nduka-nduka thangu yi nya yi masika.
2b01280075	Andele, khomba yi Simoni Piela, wuba wumosi mu minlonguki beni miodi miomi miwa mambu ma Yowani ayi milandakana Yesu.
2b01290076	Ku nzimunina, niandi wuyenda bata theti khombꞌandi Simoni, wunkamba: —Beto tumueningi Mesiya Tsundu Mesiya Klisto.
2b012a0095	Buna wunnata kuidi Yesu. Yesu bu kantala, buna wunkamba: —Ngeyo widi Simoni, muana Zonasi. Ngeyo wela tedolongo Sefasi. Tsundu Sefasi “Ditadi”.
2b012b005d	Mu lumbu kilanda, Yesu wukana kuenda ku Ngalili. Wumona Filipi ayi wunkamba: —Wundandakana!
2b012c0041	Filipi wuba muisi Betesayida, divula dimosi ayi Andele ayi Piela.
2b012d00b3	Filipi wuyenda tala Natanayeli ayi wunkamba: —Beto tumueningi mutu wowo Moyize kayolukila mu Mina ayi wowo mimbikudi miyolukila, dizina diandi Yesu, muana zozefu muisi Nazaleti.
2b012e0078	Natanayeli wunkamba: —Buna ku Nazaleti kulenda kuandi totukila diambu dimboti e? Filipi wumvutudila: —Yiza ayi mona.
2b012f0074	Yesu wumona Natanayeli wulembo yizi ku kaba, buna wutuba: —Tala muisi Iseli wukiedika, mu niandi mukambulu mayuya.
2b01300090	Natanayeli wunyuvula: —Kuevi wunzabidi e? Yesu wumvutudila: —Tuamina Filipi kiza kambi, bu vuendingi kuna tsi nti wu figi, minu ndimueningi.
2b01310052	Buna Natanayeli wunkamba: —Nlongi, ngeyo widi Muana Nzambi, widi ntinu wu Iseli.
2b01320087	Yesu wumvutudila: —Ngeyo wilukidi bu ndikembi ti ndimueningi bu vuendingi ku tsi nti wu figi e? Wela mona mambu manneni viokila mama.
2b01330086	Buna wubuela kamba: —Bukiedika ndikulukamba, luela mona Diyilu dizibukidi ayi zimbasi zi Nzambi ziela maka ayi kuluka va muana mutu.
2b02010056	Mu lumbu kintatu, nyengo wu makuela wuba ku Kana mu tsi Ngalili. Ngudi Yesu yiba kuna.
2b02020046	Yesu ayi minlonguki miandi mamvawu batumusu ku nyengo beni wu makuela.
2b0203005a	Vayi zimbukila vinu kimeni. Buna ngudi Yesu yiyiza kunkamba: —Basiedi diaka ayi vinu ko.
2b02040053	Yesu wumvutudila: —A nketo, mambu mbi tuidi beto yaku e? Thanguꞌama yifueni ko.
2b0205004a	Buna ngudi andi wukamba bisadi ti: —Luvanga mambu moso ka kuiza lukambi.
2b020600c1	Mimvungu minsambanu miba vana mu diambu di lundilanga nlangu, mitulu vana boso bubela kifu ki Bayuda mu kukivedisanga. Mvungu wumosi wulenda kota nduka-nduka khatitsika yi dingungulu di nlangu.
2b02070060	Buna Yesu wukamba bisadi: —Wesanu nlangu mu mimvungu. Buna bawesa mimvungu beni nate vana ntu.
2b02080075	Yesu wubuela kuba kamba diaka: —Buabu bonganu fioti ayi lunata fiawu kuidi nkulutu wu nyengo. Bawu bannatina kiawu.
2b020900b8	Nkulutu wu nyengo bu babimba nlangu wukituka vinu, kasia zaba ko kuevi kuba vinu beni Vayi bisadi biteka nlangu bizaba. Buna nkulutu wu nyengo wutumisa mu nsualu dibakala diodi dikuela
2b020a00c8	ayi wunkamba: —Woso kuandi mutu weta tuama kabudila batu vinu kimboti; bosi ku nzimunina wunkabulanga vinu kidekuka, batu bu bameni nua bufuana. Vayi ngeyo kimboti kiawu lundidingi nate thangu yayi.
2b020b009c	Kiaki kiawu kumu kitheti mu bikumu bivanga Yesu; kiawu kivangimina ku Kana mu tsi yi Ngalili. Kuna kamonisa nkemboꞌandi ayi minlonguki miandi minwilukila.
2b020c0096	Momo bu mavioka, Yesu wuyenda ku Kafalinawumi va kimosi ayi ngudi andi, ayi bakhomba bandi ayi minlonguki miandi. Ndambu bilumbu kaka bavuandila kuna.
2b020d0033	Pasika buna yeka nduka, Yesu wuyenda ku Yelusalemi.
2b020e007d	Wumona muna luphangu lu nzo Nzambi minsumbisi mi zingombi, mi mamemi ayi mi mabembi ayi minsienzi mi zimbongo buna mimvuendi.
2b020f00ab	Buna wubonga minsinga, wuvanga kikoti. Buna wukuka batu boso ku luphangu lu Nzo Nzambi ayi mamemi ayi zingombi, wuloza zimbongo zi minsienzi va tsi ayi wusengubula zimeza.
2b0210007d	Bosi, wubaluka kuidi minsumbisi mi mabembi, wuba kamba: —Botulanu bima biobi vava! Lubika kitula nzo yi dise diama dizandu!
2b02110077	Minlonguki miandi mitebuka moyo ti busonama: A Nzambi, luzolo luidi yama mu diambu di nzoꞌaku luawu luela kuphondisa.
2b02120079	Bayuda bamvutudila: —A kumu mbi wulenda vanga mu kutumonisa ti bukiedika lulendo luidiyaku luvangila mambu moso momo e?
2b02130056	Yesu wuba kamba: —Tiolumunanu Nzo Nzambi yayi, ndiela kuyitungila mu bilumbu bitatu.
2b0214008e	Buna Bayuda batuba: —Mu makumaya ayi mimvu minsambanu nzo Nzambi yayi yitungulu vayi ngeyo mu bilumbu bitatu kuandi fueti buela kuyitungila?
2b0215002f	Vayi niandi wuyolukila nzo Nzambi yi nitu andi.
2b02160080	Yesu bu kafuluka mu bafua, minlonguki miandi mitebuka moyo ti wutuba buawu. Buna miwilukila masonuku ayi mambu momo matuba Yesu.
2b02170080	Mu thangu Yesu kaba ku Yelusalemi mu nyengo wu Pasika, batu bawombo bamona bikumu biobi kavanga ayi bawilukila mu dizina diandi.
2b02180037	Vayi yesu kasi kubasila diana ko bila wuzaba batu boso.
2b02190082	Bila kasia ba mfunu ko muingi mutu wunkaka katelama kimbangi mu diambu di mutu wunkaka bila niandi veka wuzaba mambu madi mu mutu.
2b03010051	Vaba mutu wumosi mu Bafalisi dizina diandi Nikodemi, wuba pfumu yimosi yi Bayuda.
2b030200cd	Niandi wuyiza bata Yesu va builu ayi wunkamba: —Labi, tuzebi kueto ti ngeyo widi nlongi wuba kuidi Nzambi bila kuisi ko mutu wulenda vanga bikumu biobi wulembo vangi enati Nzambi kasi yandi va kimosi ko.
2b03030079	Yesu wumvutudila: —Bukiedika ndikukamba, enati mutu kakadi butuka mbutuka yimonabuna kalendi ko mona kipfumu ki Nzambi!
2b0304008c	Nikodemi wuyuvula: —Buna buevi mutu kalenda butukila mu thangu keka nunu e? Wulenda buela vutuka diaka mu vumu ki ngudi andi ayi butuka e?
2b03050081	Yesu wumvutudila: —Bukiedika ndikukamba, enati mutu kakadi butuka mu nlangu ayi mu Pheve, kalendi ko kota mu Kipfumu ki Nzambi.
2b03060052	Kioso kibutuka mu kinsuni kidi kinsuni. Vayi kioso kibutuka mu Pheve kidi kipheve.
2b0307003f	Bika kuaku simina bu ndikembi ti lufueti butuka mbutuka yimona.
2b030800ad	Phemo yimvevumukanga koso ku yitidi ayi ngeyo weti wanga biyoko, vayi wukadi zaba kuevi wubedi ayi kuevi wulembo yendi. Buawu bobo buididi kuidi woso mutu wubutuka mu Pheve.
2b0309003e	Nikodemi wunyuvula: —Buevi mambu momo malenda vangiminina e?
2b030a004e	Yesu wumvutudila: —Ngeyo widi nlongi wu Iseli vayi wukadi zaba mambu mama e?
2b030b0088	Bukiedika ndikukamba: beto tuntubanga mambu tuzebi; tunteliminanga kimbangi mu mambu tumona, vayi beno lutambudilanga ko kimbangi kieto.
2b030c0079	Enati ndiluyolukidi mambu ma ntoto vayi lukadi wilukila buna buevilulenda wilukila enati ndiluyolukidi mambu ma Diyilu e?
2b030d0080	Kuisi ko mutu wukuma ku Diyilu, botula kaka Mutu wukulumuka va ntoto bu kaba ku Diyilu: Muana mutu niandi kaka wukuma ku diyilu.
2b030e0059	Boso bu nangikina Moyize nioka mu dikanga, buawu bobo mamvandi Muana Mutu kela nangukulu.
2b030f0040	Mu diambu di woso mutu wunkunwilukila kabaka luzingu lukalumani.
2b0310009c	Bila Nzambi wuzodila ngolo batu va nza, diawu kavanina Muanꞌandi wumosi kaka muingi woso mutu wukunwilukila kabika bungana vayi kabaka luzingu lukalumani.
2b0311006b	Bila Nzambi kasia fidisa ko Muanꞌandi va nza mu diambu di sambisa ntoto vayi muingi nza yivuka mu niandi.
2b03120087	Woso wukunwilukila kalendi sambusu ko vayi woso wunkambu wilukila wukisambusulu bila niandi mengi wilukila Muana wumosi kaka wu Nzambi.
2b03130082	Nzengolo nkanu yawu yayi: kiezila kiyiza va nza vayi batu baluta kuawu zola tombi viokila kiezila bila mavanga mawu maba mambimbi.
2b0314008a	Bila woso mutu wumvanganga mambu mambimbi kazolanga ko kiezila ayi kalendi kuiza kuidi kiezila ko tala mavanga mandi mambimbi medi monika.
2b0315007e	Vayi woso mutu wunsadilanga kiedika, wunkuizanga ku kiezila mu diambudi mavanga mandi mamonika ti malembo vangimina mu Nzambi.
2b0316006a	Momo bu mavioka, Yesu ayi minlonguki miandi, bayenda vuanda ndambu bilumbu mu Yuda. Kuna kaba botikilanga.
2b0317007d	Yowani mamvandi buna wulembo botikila ku Enoni yifikimini ayi Salimi bila nlangu wuwombo wuba kuna; batu bayiza ayi babotoko.
2b03180028	Bila buna Yowani kakotosolo ko mu nloko.
2b03190057	Ziphaka zibua va khatitsika minlonguki mi Yowani ayi nyuda wumosi, mu diambu di vedila.
2b031a00c9	Buna bayenda kuidi Yowani ayi bankamba: —Labi, mutu wowo bedingi yaku kuna disimu di Yolidani, wowo teliminingi kimbangi, tala niandi mamvandi wulembo botika ayi batu boso balembo yendi kuidi niandi.
2b031b0062	Yowani wuba vutudila: —Mutu kalendi tambula kima ko enati kasi kukitambula ko bu kiba ku diyilu.
2b031c0073	Beno veka lulembo thelimina kimbangi bu ndituba ti: minu ndisiꞌama Klisto ko vayi minu ndifidusu ku ntualꞌandi.
2b031d00cd	Nketo wukuelo vuiwulu kuidi bakala dinkuedidi. Vayi nkundi wu bakalakuedidi wuntelamanga va ndambu ayi wunkunwanga weti monanga khini mu wanga mbembo yi bakala dikuedidi. Khini yoyo yidi mu minu, yidukidi.
2b031e0032	Bufueni niandi kaluta zangama vayi minu ndikuluka.
2b031f00ad	Mutu wowo wuba ku Diyilu lutidi batu boso. Vayi mutu wowo wutotukila va ntoto, widi muisi ntoto; ayi wuntubanga banga muisi ntoto. Mutu wowo wuba ku Diyilu lutidi batu boso.
2b03200071	Niandi wunteliminanga kimbangi mu mambu momo kamona ayi momo kawa vayi kadi mutu kakadi wilukila kimbangi kiandi.
2b0321004f	Woso mutu wukikinina kimbangi kiandi, buna wunwilukila ti Nzambi wid wukiedika.
2b03220063	Bila mutu wowo Nzambi katuma, weta tuba mambu ma Nzambi bila Nzambi wumvananga Pheve mu kambu teza.
2b0323003c	Dise dinzolanga Muana ayi wutula bima bioso mu mioko miandi.
2b032400a0	Woso mutu wunwilukilanga Muana beki luzingu lukalumani vayi wosowunkambu wilukila Muana kalendi baka ko luzingu lukalumani. Vayi nganziyi Nzambi yidi va niandi.
2b04010059	Yesu bu kazaba ti Bafalisi bawa ti wukitula ayi wubotika minlonguki miwombo vioka Yowani,
2b0402005b	muaki niandi veka Yesu kasia botika mutu ko vayi minlongukimiandi kaka miba botikanga batu;
2b0403002b	buna wukatuka mu Yuda, wuvutuka ku Ngalili.
2b0404001f	Kafueti kaka viokila va Samali.
2b0405007a	Buna wutula va divula dimosi di Samali bantedilanga Sikali, difikimini ayi nsitu wu Yakobi wowo kavana muanꞌandi Zozefi.
2b04060084	Kuna kuba dibulu di nlangu di Yakobi. Yiba nduka-nduka midi, Yesu wuvuanda mu nkuefu wu dibulu bila phokongo yi nzietolo yiba yandi.
2b04070065	Zimbukila nketo wumosi wu muisi Samali wuyiza ku teka nlangu, Yesu wunkamba: —Wuphana nlangu wunua!
2b04080033	Minlonguki miandi miyenda ku divula ku sumba bidia.
2b040900a6	Vayi nketo beni wunkamba: —Buna buevi ngeyo widi Nyuda wufueti kundombila nlangu wu nua minu nketo wu muisi Samali e? Bila Bayuda ayi basi Samali baba wizananga ko.
2b040a009c	Yesu wumvutudila: —Enati zebi dikaba di Nzambi ayi mutu wulombidi nlangu wu nua; nganu ngeyo wunlombidi nlangu wu nua ayi niandi wuveni nlangu wu luzingu.
2b040b008d	Nketo wumvutudila: —A Tata, wusi ko kadi kima kitekila nlangu, ayi dibulu thipula didi. Buna kuevi wulenda bakila nlangu beni wu luzingu e?
2b040c00bc	Nkuluꞌeto Yakobi wutuvana dibulu diadi, niandi veka wunua nlangu wu dibulu diadi va kimosi ayi bana bandi ayi bibulu biandi. Buna wumbanzila ti ngeyo lutidi nkulu eto Yakobi mu buneni e?
2b040d0052	Yesu wumvutudila: —Woso kuandi mutu wela nua nlangu wawu wela buela mona phuila;
2b040e00ae	vayi woso mutu wela nua nlangu wowo ndiela kumvana kalendi buela mona phuila ko. Bila nlangu wowondiela kumvana wela kituka mu niandi nto yinkumba nate mu luzingu lukalumani.
2b040f008f	Buna nketo beni wunkamba: —A Tata, wuphana nlangu beni muingi ndibika buela monanga phuilaayi muingi ndibika buela kuiza tekanga nlangu vava!
2b04100046	Yesu wunkamba: —Yenda tedi bakala diaku mbila, buna wiza yandi vava.
2b04110064	Nketo wumvutudila: —Ndisi wukuela ko. Yesu wunkamba: —Buiedika kuandi tubidi ti wisi wukuela ko.
2b04120073	Bila babakala batanu baba yaku. Diodi didi yaku buabu kasiꞌandibakala diaku ko. Mambu momo tubidi madi makiedika.
2b04130035	Nketo wumvutudila: —A tata, mbueni ti widi mbikudi.
2b0414006a	Bakulu beto basambila va mongo wawu vayi beno lueta tuba ti ku Yelusalemi kaka kuawu bafueti sambidilanga.
2b04150080	Yesu wumvutudila: —Nketo, wunguilukila; thangu yeka kuiza yoyi luela sambidila Tata bika va mongo wawu ayi bika ku Yelusalemi.
2b0416006d	Beno lunsambilanga ma lukambulu zaba. Vayi beto tuzebi ma tuetasambila, bila phulusu yitotukila kuidi Bayuda.
2b041700ae	Vayi thangu yeka nduka kuiza, ayi yifueni yoyo minsambidi mikiedika miela sambilanga Tata mu Pheve ayi mu kiedika, bila Tatawuntombanga bobo bankunsambidilanga mu phila yoyo.
2b04180061	Nzambi niandi Pheve, buna bufueni bobo bakunsambila bafueti kunsambidila mu Pheve ayi mu kiedika.
2b04190089	Nketo wunkamba: —Nzebi ti Mesiya mutu beta tedila Klisto wela kuiza, bu kela kuiza. Buna kela kuiza buna wela kutu sudikisa mambu moso.
2b041a002e	Yesu wumvutudila: —Minu wawu wunyoluka yaku.
2b041b00ec	Muna thangu yina, minlonguki miandi mivutuka, misimina bu miyiza kumbata wulembo solula ayi nketo wu muisi Samali. Muaki kadi mutu wumosi kasia kunyuvula ko ti: “mbi wulembo nyuvulanga e?” Bila “mbi wulembo soludilanga yandi e?”
2b041c0057	Vana vawu nketo wutumbu bika mvunguꞌandi, wuvutuka nsualu ku divula ayi wukamba batu:
2b041d004d	—Yizanu, lutala mutu wukhembi mambu moso momo ndivanga. Niandi ko Klisto e?
2b041e0032	Diawu batu batotuka mu divula ayi bayenda ku kaba.
2b041f0048	Mu thangu yina, minlonguki miandi mintatimisa bu minkamba: —Labi, dia!
2b0420004b	Vayi Yesu wuba vutudila: —Minu bidia bidi yama biobi beno lukambulu zaba.
