0100000018	ကမ္ဘာ​ဦး
1332030174	ငါ တို့၏ ဘုရား သခင်ကြွလာ တော်မူ၏။ တိတ်ဆိတ် စွာ နေတော်မ မူ။ ရှေ့ တော်၌ မီး လောင် လျက် ပတ်ဝန်းကျင် ၌ မိုဃ်းသက် မုန်တိုင်းပြင်းပြ လျက်ရှိ၏။
1332040115	မိမိ လူ တို့ကို စစ်ကြော စီရင်ခြင်းအလိုငှါ အထက် ကောင်းကင် ကို ၎င်း၊ မြေကြီး ကို ၎င်း ခေါ် တော်မူလျှက်၊
133205012e	ယဇ် ပူဇော်သောအားဖြင့် ၊ ငါ နှင့်ပဋိညာဉ် ဖွဲ့ သော ငါ ၏သန့်ရှင်း သူတို့ကို ငါ့ ထံသို့ စုဝေး စေကြဟု မိန့်တော်မူ၏။
1332060183	ဘုရား သခင်သည် ကိုယ်တော် တိုင် တရား ဆုံးဖြတ်တော်မူသည်ဖြစ်၍ ၊ ဖြောင့်မတ် တော်မူခြင်း အကြောင်းကို ကောင်းကင် တို့သည် ထင်ရှားစွာ ပြ ကြ လိမ့်မည်။
133207015a	ငါ ၏လူ များတို့နားထောင် ကြ။ ငါပြော မည်။ အိုဣသရေလ အမျိုး၊ သင့် တဘက် ၌ငါသက်သေ ခံမည်။ ငါသည်ဘုရား သခင်ဖြစ်၏။ သင် ၏ဘုရား သခင်ဖြစ်၏။
133208013d	မီးရှို့ သောယဇ်မှစ၍ ယဇ် ပူဇော်ခြင်းအမျိုးမျိုးအတွက် ငါသည် သင် ၌အပြစ် မ တင်။ ထိုယဇ်တို့သည် ငါ့ ရှေ့ မှာ အစဉ် ရှိကြ၏။
13320900b4	သင့် အိမ် ထဲ က နွား ကို၎င်း၊ သင့် ခြံ ထဲ က ဆိတ် ထီးကို၎င်းငါမ ခံမယူ။
13320a0113	တော တိရစ္ဆာန် ရှိသမျှ တို့နှင့် တထောင် သော တောင် ပေါ် မှာရှိသော တိရစ္ဆာန် တို့သည် ငါ ၏ ဥစ္စာ ဖြစ်ကြ၏။
13320b00dc	တောင် ပေါ်မှာ နေတတ်သော ငှက် အပေါင်း တို့ကို ငါသိ ၏။ တော သားရဲ တို့သည် ငါ ၌ ရှိကြ၏။
13320c00dc	ငါသည် ငတ်မွတ် လျှင် သင့် ကို မ ပြော။ လောက ဓါတ် နှင့် လောကဥစ္စာသည် ငါ ၏ ဥစ္စာဖြစ်၏။
13320d0095	နွား သား ကိုငါစား မည်လော။ ဆိတ် သွေး ကို ငါသောက် မည်လော။
13320e0150	ကျေးဇူး ချီးမွမ်းခြင်း ယဇ်ကိုဘုရား သခင်အား ပူဇော် လော့။ သစ္စာ ဂတိထားသည်အတိုင်း ၊ အမြင့်ဆုံး သောအရာ၌ သစ္စာဝတ်ကိုဖြေ လော့။
13320f0137	အမှု ရောက်သည်ကာလ ၌ ငါ့ ကိုပဌနာ ပြုလော့။ ငါသည် ကယ်လွှတ် မည်။ သင် သည်လည်း ငါ့ ကိုချီးမွမ်း လိမ့်မည်ဟု မိန့်တော်မူ၏။
1332100149	မတရား သောသူကို ကား ၊ သင် သည် ငါ ၏အထုံးအဖွဲ့ တို့ကို ကြားပြော ၍ ငါ ၏ပဋိညာဉ် တရားကို မြွက်ဆို ခြင်းငှါ အဘယ်သို့ ဆိုင်သနည်း။
13321100d8	ဆုံးမ သွန်သင်ခြင်းကို သင် သည်မုန်း ၍ ငါ့ စကား ကို သင့် နောက် ၌ ပစ် ထားပါသည်တကား။
133212010c	သင်သည် သူခိုး ကိုမြင် လျှင် ၊ သူ နှင့် သဘော တူတတ်၏။ သူ့မယားကို ပြစ်မှား သောသူတို့ နှင့် ဆက်ဆံတတ်၏။
13321300bf	သင် ၏နှုတ် ကို ဒုစရိုက် ၌ အပ်နှံ ၍ ၊ သင် ၏လျှာ ဖြင့် မုသာ ကို စီရင် တတ်၏။
133214010b	သင်သည်ထိုင် လျက် ၊ ကိုယ် ညီအစ်ကို ကို ဆန့်ကျင် ဘက်ပြု၍ ပြော ဆိုတတ်၏။ ကိုယ် အမိ ၏သား ကို ဆဲရေး တတ်၏။
133215018a	ထို သို့ကျင့် ၍ ငါသည် တိတ်ဆိတ် စွာနေသောကြောင့်၊ ငါ့ ကို သင် နှင့်တူ သည်ဟု ထင် လေပြီတကား။ သင် ၏အပြစ် ကို ငါဘော်ပြ၍ ၊ သင့် မျက်မှောက် ၌ ခင်း ထားမည်။
1332160171	ဘုရား သခင်ကို မေ့လျော့ သောသူတို့၊ ဤ အမှုကို ဆင်ခြင် ကြလော့။ သို့မဟုတ် သင်တို့ကိုကယ်နှုတ် သော သူမ ရှိ။ ငါသည် အပိုင်းပိုင်းဆွဲ ဖြတ်မည်။
1332170201	ကျေးဇူး ချီးမွမ်းခြင်းယဇ် ပူဇော်သောသူသည် ငါ ၏ဘုန်း ကို ထင်ရှားစေသောသူဖြစ်၏။ မိမိ သွားသော လမ်း ကို ဆင်ခြင်သောသူအားလည်း၊ ကယ်တင် တော်မူခြင်း ကျေးဇူးကို ငါပြ မည်ဟု ဘုရား သခင်မိန့်တော်မူ၏။
13330102fc	ဒါဝိဒ် သည် ဗာသရှေဘ နှင့်မှားယွင်း ၍ ပရောဖက် နာသန် ၏ဆုံးမ ခြင်းကိုခံပြီးမှ စပ်ဆိုသောဆာလံ။ အိုဘုရား သခင်၊ ကျေးဇူး ပြုချင်သော စေတနာစိတ် တော်ရှိသည်အတိုင်း ၊ အကျွန်ုပ် ကိုသနား တော်မူပါ။ စုံမက် တော်မူခြင်း ကရုဏာများ ပြားသည်နှင့်အညီ ၊ အကျွန်ုပ် လွန်ကျူး ခြင်း အပြစ်ကိုဖြေ တော်မူပါ။
13330200da	ဒုစရိုက် အညစ်အကြေးကို အကုန်အစင်ဆေးကြော ၍ ၊ အကျွန်ုပ် ကို သန့်ရှင်း စေတော်မူပါ။
13330300e3	အကျွန်ုပ် လွန်ကျူး ပါပြီဟု ဝန်ချလျက် ကိုယ် အပြစ် ကို အစဉ် မပြတ်အောက်မေ့လျက်နေပါ၏။
1333040202	ကိုယ်တော် ကို ပြစ်မှားပါပြီ။ ကိုယ်တော် ကိုသာ ပြစ်မှား ၍ မျက်မှောက် တော်၌ ပင် မ တရားသောအမှုကို ပြု ပါပြီ။ သို့ဖြစ်၍ မိန့် တော်မူချက်သည် ဖြောင့် ပါ၏။ တရား စီရင်တော်မူချက်သည် အပြစ် လွတ်ပါ၏။
13330500ed	အကျွန်ုပ် သည် မွေး စကပင် အပြစ် ပါလျက် ရှိ၏။ အမိ ဝမ်းထဲမှာ ပဋိသန္ဓေ ယူစဉ်ပင် အပြစ် စွဲ၏။
1333060144	ဟုတ်မှန် ဖြောင့်မတ် သော စိတ် နှလုံးကို နှစ်သက် တော်မူသည်ဖြစ်၍ ၊ အကျွန်ုပ် ၏ စိတ် နှလုံးထဲမှာ ပညာ ကို သွန်သင် တော်မူပါ။
13330701bf	အကျွန်ုပ် ကို စင်ကြယ် စေခြင်းငှါ၊ ဟုဿုပ် ပင် ညွန့်နှင့် သန့်ရှင်း ခြင်းမင်္ဂလာကို ပေးတော်မူပါ။ အကျွန်ုပ် ကို မိုဃ်းပွင့် ထက် သာ၍ဖြူ စေခြင်းငှါ ဆေးကြော တော်မူ ပါ။
13330801bc	စိတ်သက်သာဝမ်းမြောက် ခြင်း ရှိမည်အကြောင်းစကားကို အကျွန်ုပ် အားကြား စေတော်မူပါ။ သို့ပြုလျှင်၊ ချိုးဖဲ့ တော်မူသောအရိုး တို့သည် ရွှင်မြူး ခြင်းရှိကြပါလိမ့် မည်။
1333090130	အကျွန်ုပ် လွန်ကျူး ခြင်း ဒုစရိုက်တို့မှ မျက်နှာ တော်လွှဲ ၍ ၊ အကျွန်ုပ် အပြစ် ရှိသမျှ တို့ကိုလည်းဖြေ တော်မူ ပါ။
13330a0147	အိုဘုရား သခင်၊ အကျွန်ုပ် အထဲ ၌ စင်ကြယ် သောနှလုံး ကို ဖန်ဆင်း တော်မူပါ။ မြဲမြံ တည်ကြည်သော သဘော ကို အသစ် ပြုပြင်တော်မူပါ။
13330b0129	အကျွန်ုပ် ကို အထံ တော်ထဲ က နှင်ထုတ် တော် မ မူပါနှင့်။ သန့်ရှင်း သောဝိညာဉ် တော်ကို ရုပ်သိမ်း တော် မ မူပါနှင့်။
13330c018a	ကယ်တင် တော်မူခြင်းနှင့် ယှဉ်သော ဝမ်းမြောက် ခြင်း အခွင့်ကို ပြန် ၍ ပေးသနားတော်မူပါ။ ကြည်ညိုသော စေတနာ စိတ် သဘောသည် အကျွန်ုပ် ကိုထောက် မပါ စေသော။
13330d015d	အကျွန်ုပ်သည်လည်း မ တရားသောသူတို့အား တရားလမ်း ကို ပြသသွန်သင် ပါမည်။ အပြစ် ရှိသောသူတို့ သည် ကိုယ်တော် ထံ သို့ပြန် ကြပါလိမ့်မည်။
13330e022a	အိုဘုရား သခင်၊ အကျွန်ုပ် ကို ကယ်တင် တော်မူ သောဘုရား ၊ လူ အသက်ကို သတ်ခြင်းအပြစ်နှင့် အကျွန်ုပ် ကို ကင်းလွတ် စေတော်မူပါ။ တရား သဖြင့် စီရင်တော်မူခြင်းကို အကျွန်ုပ် လျှာ သည် ရွှင်လန်းစွာ သီချင်း ဆိုပါမည်။
13330f0112	အိုထာဝရ ဘုရား၊ အကျွန်ုပ် ၏ နှုတ် ကို ဖွင့် တော်မူ ပါ။ ဂုဏ်ကျေးဇူးတော်ကို ချီးမွမ်း ၍ မြွက်ဆို ပါမည်။
1333100148	ယဇ် ပူဇော်ခြင်းကို အလို တော်မ ရှိ။ သို့မဟုတ် လျှင် ယဇ်ပူဇော်ပါမည်။ မီးရှို့ သော ယဇ်ပူဇော်ခြင်းကိုပင် နှစ်သက် တော်မ မူ။
133311018d	ဘုရား သခင်နှစ်သက်တော်မူသောယဇ် မူကား၊ ကျိုးပဲ့ သောစိတ် ပေတည်း။ အိုဘုရား သခင်၊ ကိုယ်တော်သည် ကျိုးပဲ့ ကြေမွသော နှလုံး ကို ငြင်းပယ် တော်မ မူ တတ်ပါ။
1333120109	စေတနာ စိတ်တော်ရှိ၍ ဇိအုန် တောင်ကို ကျေးဇူး ပြုတော်မူပါ။ ယေရုရှလင် မြို့ရိုး ကို တည် စေတော်မူပါ။
13331301f0	ထိုအခါ တရား သဖြင့် ပူဇော်သောယဇ် ၊ မီးရှို့ သောယဇ်၊ တကိုယ် လုံးမီးရှို့သောယဇ်နှင့် မွေ့လျော် တော်မူလိမ့်မည်။ ထိုအခါ ယဇ် ပလ္လင်တော်ပေါ် မှာ နွား လား တို့ကို ယဇ် ပူဇော်ကြပါလိမ့်မည်။
1334010298	ဒါဝိဒ် သည် အဟိမလက် အိမ် သို့ ရောက် ကြောင်းကို ဧဒုံ အမျိုးသားဒေါဂ သည် ရောလု ထံသို့ လာ ၍ လျှောက် သောအခါ စပ်ဆိုသောဆာလံ။ အားကြီး သော အချင်းလူ၊ သင်သည်သူ့အကျိုး ကို ဖျက်ခြင်းအမှု၌ အဘယ်ကြောင့် ဝါကြွား သနည်း။ ဘုရား သခင်၏ ကရုဏာ တော်သည် အစဉ် မပြတ်တည်၏။
133402010c	သင် ၏လျှာ သည် ထက် သောသင်တုန်း ကဲ့သို့ လှည့်စား သဖြင့်၊ သူ့အကျိုး ကို ဖျက်ခြင်းအမှု ကို ပြုစု တတ်၏။
1334030103	သင်သည် သုစရိုက် ထက် ဒုစရိုက် ကို၎င်း၊ ဖြောင့်မတ် သောစကား ထက် မုသာ စကားကို၎င်းသာ၍နှစ်သက် တတ်၏။
13340400d6	အိုလှည့်စား တတ်သောလျှာ ၊ သင်သည် ပျက်စီး သော စကား ရှိသမျှ တို့ကို နှစ်သက် တတ်၏။
1334050185	အကယ် စင်စစ်ဘုရား သခင်သည် သင့် ကို အစဉ် အမြဲချိုးဖျက် ပယ်ရှင်းလျက် ၊ သင် ၏နေရာ ထဲက နှင်ထုတ် ၍ ၊ အသက် ရှင်သောသူတို့၏ နေရာ ထဲက နှုတ် ပစ်တော်မူမည်။
1334060095	ဖြောင့်မတ် သောသူတို့ သည်မြင် ၍ ကြောက်ရွံ့ ကြလိမ့်မည်။
1334070155	ဘုရား သခင်ကိုမ ခိုလှုံ ၊ မိမိ ဥစ္စာ ကြွယ်ဝ ခြင်း၌ ကိုးစား ၍ ၊ မိမိ ဒုစရိုက် ၌ ခိုင်ခံ့ သောသူကို ကြည့် ပါဟူ၍သူ ၌ ရယ် ကြလိမ့်မည်။
1334080145	ငါ မူကား ၊ ဘုရား သခင်၏အိမ် တော်၌ စိမ်းလန်း သောသံလွင် ပင်ကဲ့သို့ ဖြစ်၍၊ ဘုရား သခင်၏ ကရုဏာ တော်၌ ကာလ အစဉ်အမြဲကိုးစား မည်။
1334090204	ကိုယ်တော်စီရင် တော်မူသောကြောင့် ၊ အကျွန်ုပ် သည် ကိုယ်တော် ကို ကာလ အစဉ်အမြဲ ချီးမွမ်း ပါမည်။ ကောင်းမြတ် တော်မူသောကြောင့် ၊ ကိုယ်တော် ၏သန့်ရှင်း သူတို့ရှေ့ မှာ နာမတော် ကို မြော်လင့် ပါမည်။
13350101c9	ဘုရား သခင်မ ရှိဟု မိုက် သောသူသည် ထင် တတ် ၏။ ထိုသို့သောသူတို့ သည် ဆွေးမြေ့ ယိုယွင်း၍ စက်ဆုပ် ဘွယ်သော ဒုစရိုက် ကို ပြုတတ်ကြ၏။ ကောင်း သောအမှု ကို ပြု သောသူတယောက် မျှမရှိ။
133502019e	နားလည် သောသူ၊ ဘုရား သခင်ကိုရှာ သောသူ တစုံတယောက်ရှိ သည် မ ရှိသည်ကို သိ မြင်ခြင်းငှါ ဘုရား သခင် သည် ကောင်းကင် ပေါ်က လူ သား တို့ကို ငုံ့၍ ကြည့်ရှု တော်မူ၍၊
1335030170	လူ အပေါင်း တို့သည် ဆုတ် သွားကြပြီ။ တညီ တညွတ်တည်း ဆွေးမြေ့ ယိုယွင်းခြင်းရှိကြ၏။ ကောင်း သောအကျင့်ကို ကျင့် သောသူမ ရှိ။ တ ယောက်မျှ မ ရှိ။
133504012b	မုန့် ကိုစား သကဲ့သို့ငါ ၏လူ တို့ကို ကိုက်စား ၍၊ ဘုရား သခင်ကို ပဌနာ မ ပြုသော အဓမ္မ လူ တို့သည် မ သိ ဘဲနေရကြသလော့။
13350502c0	သို့ဖြစ်၍ကြောက်လန့် စရာမ ရှိ သော်လည်း၊ အလွန် ကြောက်လန့် ကြလိမ့်မည်။ အကြောင်း မူကား၊ သင့် ကိုဝန်းရံ၍ တပ်ချ သောသူ၏ အရိုး တို့ကို ဘုရား သခင်သည် ဖရိုဖရဲကွဲပြား စေတော်မူမည်။ သူ တို့ကို ဘုရား သခင် ရှုတ်ချ တော်မူသောကြောင့် ၊ သင်သည် သူတို့ကို အရှက် ခွဲရလိမ့်မည်။
1335060296	ဣသရေလ အမျိုးကို ကယ်တင် ခြင်း ကျေးဇူးတော်သည် ဇိအုန် တောင်ပေါ် မှာ ပေါ်ထွန်း ပါစေသော။ သိမ်း သွားခြင်းကို ခံရသောလူမျိုး တော်ကို တဖန် ဘုရား သခင် သည် ဆောင် ခဲ့တော်မူသောအခါ ၊ ယာကုပ် သည် ဝမ်းမြောက် ခြင်း၊ ဣသရေလ သည်လည်း ရွှင်လန်း ခြင်း ရှိလိမ့်မည်။
13360102a7	ဒါဝိဒ် သည် ကျွန်တော် တို့တွင် ပုန်းရှောင် ၍နေပါသည်မ ဟုတ်လော ဟု၊ ဇိဖ သားတို့သည် ရှောလု ထံသို့ လာ ၍ လျှောက် သောအခါ စပ်ဆိုသောဆာလံ။ အိုဘုရား သခင်၊ နာမ တော်အားဖြင့် အကျွန်ုပ် ကို ကယ်တင် တော်မူပါ။ တန်ခိုး တော်အားဖြင့် အကျွန်ုပ် ဘက် ၌ တရား စီရင်တော်မူပါ။
13360200f6	အကျွန်ုပ် ပြုသောပဌနာ နှင့် အကျွန်ုပ် မြွက် သောစကား ကို နားထောင် နား ညောင်းတော်မူပါဘုရား။
13360301da	အကြောင်း မူကား၊ တကျွန်း တနိုင်ငံသားတို့သည် အကျွန်ုပ် ကို ရန်ဘက် ပြု၍ထကြပါပြီ။ ကြမ်းတမ်း သောသူတို့ သည် အကျွန်ုပ် အသက် ကို ရှာ ကြပါ၏။ ဘုရား သခင်၏ မျက်နှာတော်ကို မ ထောက် ကြပါ။
1336040127	ကြည့်ရှု လော့။ ဘုရား သခင်သည် ငါ့ ကို ကူမ တော်မူ၏။ ငါ့ အသက် ကိုထောက် ပင့်သောသူတို့တွင် ထာဝရ ဘုရားရှိတော်မူ၏။
1336050132	ငါ ၏ရန်သူ တို့အား မ ကောင်းသောအကျိုးကို ဆပ် ပေးတော်မူမည်။ သစ္စာ တော်ရှိသည်အတိုင်း သူ တို့ကို ပယ်ရှင်း တော်မူပါ။
1336060190	အကျွန်ုပ်သည်လည်း၊ စေတနာ စိတ်နှင့် ကိုယ်တော် အား ယဇ် ပူဇော်ပါမည်။ အိုထာဝရဘုရား ၊ နာမတော် ကို ချီးမွမ်း ပါမည်။ အကြောင်း မူကား၊ ကောင်းမြတ် တော်မူ၏။
133607014c	အကျွန်ုပ် ကို ခပ်သိမ်း သော ဒုက္ခ ထဲက ကယ်နှုတ် တော်မူသဖြင့် ၊ အကျွန်ုပ် သည် ရန်သူ တို့ကို ကိုယ် မျက်စိ နှင့် မြင် ၍အားရပါ၏။
1337010132	အိုဘုရား သခင်၊ အကျွန်ုပ် ဆုတောင်း သော စကားကို နားထောင် တော်မူပါ။ အသနား တော်ခံသောအခါ ရှောင် ၍နေတော်မ မူပါနှင့်။
13370201b4	ကြည့်ရှုနားထောင် တော်မူပါ။ ရန်သူ ၏စကား သံကြောင့် ၎င်း၊ မတရား သောညှဉ်းဆဲ ခြင်းကြောင့် ၎င်း၊ အကျွန်ုပ်သည် ညှိုးငယ် သောစိတ် နှင့် ညည်းတွား မြည်တမ်း လျက်နေရပါ၏။
13370300d8	သူတို့သည် အကျွန်ုပ် အပေါ် ၌ အပြစ် ကို သက်ရောက် စေ၍ ၊ ဒေါသ စိတ်နှင့် မုန်း ကြပါ၏။
13370400cb	အကျွန်ုပ် နှလုံး သည် ကိုယ် အထဲ မှာ တုန်လှုပ် ၍ သေ ဘေးကို ကြောက် အားကြီးပါ၏။
13370500da	ကြောက်ရွံ့ တုန်လှုပ် ခြင်းသို့ ရောက် ၍ အလွန် ထိတ်လန့်ခြင်း၌ မွန်း လျက်ရှိရပါ၏။
1337060126	ငါ သည် ချိုးငှက် ကဲ့ သို့အတောင် ကို ရပါစေ သော။ ထိုသို့ရ လျှင် အခြားသို့ပျံ သွား၍ ၊ ငြိမ်ဝပ် လျက် နေလိမ့်မည်။
1337070066	ဝေး စွာသွား ၍ တော မှာ နေရာ ကျလိမ့်မည်။
133708011f	ပြင်းစွာ သော မိုဃ်းသက်မုန်တိုင်း နှင့် လွတ် ခြင်းငှါ ၊ အလျင် အမြန်ပြေးလိမ့်မည်ဟု အကျွန်ုပ် စိတ် ရှိပါ၏။
1337090182	အိုထာဝရ ဘုရား၊ သူ တို့စကား ကို ပပျောက် အောင် ကွဲပြား စေတော်မူပါ။ မြို့ တော်တွင် အနိုင် အထက်ပြုခြင်းနှင့် လုယူ ခြင်းကို အကျွန်ုပ် မြင် ပါပြီ။
13370a014a	မြို့ရိုး ပေါ် မှာ နေ့ ညဉ့်မပြတ် သူတို့သည် လည် ကြပါပြီ။ မြို့ ထဲ မှာ ဆိုးညစ် သောအမှုနှင့် နှောက်ယှက် ခြင်း အမှုရှိကြပါ၏။
13370b010e	အဓမ္မ တရားတို့သည် မြို့ အလယ် ၌ ရှိ၍ ၊ ညှဉ်းဆဲ ခြင်း နှင့် လှည့်စား ခြင်းသည် လမ်း တို့၌ နေရာ ကျကြပါ၏။
13370c01a5	ငါ့ ကို ကဲ့ရဲ့ သောသူသည် ငါ့ရန်သူ မ ဟုတ်။ ဟုတ် လျှင် သည်းခံ နိုင်၏။ ငါ့ ကိုရန် ဘက်ပြုသောသူသည် ငါ့ ကိုမုန်း သောသူမ ဟုတ်။ ဟုတ်လျှင် ထိုသူ ကို ငါရှောင် နိုင်၏။
13370d00e6	ထို သို့ပြုသောသူ သည် သင် ဖြစ်၏။ ငါ နှင့် ဘက် သောသူ၊ ငါ့ မိတ်ဆွေ ၊ ငါ အသိ အကျွမ်းဖြစ်၏။
13370e013a	အချင်းချင်း သာယာ သော ဆွေးနွေး တိုင်ပင်ခြင်း ကို ပြုကြပြီ။ ဘုရား သခင်၏ အိမ် တော်သို့ လူ အစုအဝေးနှင့်အတူ သွား ကြပြီ။
13370f0196	သူ တို့ကို သေမင်း ဘမ်းဆီး ပါစေ။ အသက် ရှင်လျက် မရဏာ နိုင်ငံသို့ ဆင်းသက် ကြပါစေ။ အကြောင်း မူကား၊ ဒုစရိုက် တို့သည် သူ တို့နေရာ တွင် သူ တို့အထဲ ၌ ရှိကြ ၏။
13371000b5	ငါ မူကား၊ ဘုရား သခင်ကို ပဌနာ ပြု၍ ၊ ထာဝရဘုရား သည် ကယ်တင် တော်မူမည်။
1337110117	ညဦး အချိန်၊ နံနက် အချိန်၊ မွန်းတည့် အချိန်တို့၌ ငါသည် ညည်းတွား မြည်တမ်း၍ ၊ ငါ ၏အသံ ကို ကြား တော်မူ မည်။
1337120120	ငါ့ ကို စစ်တိုက် ကြစဉ်တွင် ၊ ငါ့ အသက် ကို ရွေးနှုတ် ၍ ချမ်းသာ ပေးတော်မူမည်။ ငါ့ ဘက် ၌ နေသောသူ အများ ရှိ ကြ၏။
13371301ac	ရှေး ကာလမှစ၍ အမြဲစီရင် သော ဘုရား သခင် သည် နားထောင် ၍ သူ တို့ကို နှိမ့်ချ တော်မူမည်။ သူ တို့သည် ပြောင်းလဲ ခြင်းမ ရှိသောကြောင့် ဘုရား သခင် ကို မ ကြောက် မရွံ့ကြ။
13371400b2	ထိုသို့သောသူသည် မိတ်ဆွေ ဖြစ်သောသူ ကို ပြစ်မှား၍ သစ္စာ ပျက် တတ်၏။
133715013e	သူ ၏စကား သည် ထောပတ် ထက် ချော သော်လည်း ၊ စစ်တိုက် မည်ဟုအကြံ ရှိ၏။ သူ ၏စကား သည် ဆီ ထက် ပြော့ သော်လည်း ၊ ထုတ် သော ထားဖြစ်၏။
1337160149	ထမ်းရွက်ရသောဝန် ကို ထာဝရဘုရား ၌ ချ ထား လော့။ သင့် ကို မစ တော်မူမည်။ ဖြောင့်မတ် သောသူကို အစဉ် အမြဲလှုပ်ရှား စေ တော်မ မူရာ။
1337170223	အိုဘုရား သခင်၊ အခြားသောသူ တို့ကို ဖျက်ဆီး ရာ တွင်း ထဲ သို့ချ တော်မူမည်။ လူ အသက်ကိုသတ် သောသူ နှင့် သစ္စာ ပျက်သောသူတို့သည် မိမိ အသက် တာတဝက် ခန့်မျှ မ ရှင်ရကြ။ အကျွန်ုပ် မူကား ၊ ကိုယ်တော် ၌ ခိုလှုံ ပါမည်။
133801022d	ဒါဝိဒ် သည် ဂါသ မြို့မှာ ဖိလိတ္တိ လူတို့လက် သို့ရောက်သောအခါ စပ်ဆိုသောဆာလံ။ အိုဘုရား သခင်၊ အကျွန်ုပ် ကို သနား တော်မူပါ။ လူ တို့သည် ကိုက်စား အံ့ သော ဒေါသနှင့်နေ့တိုင်း တိုက် ၍ အကျွန်ုပ် ကို နှိပ်စက် ကြပါ ၏။
133802012e	ရန်သူ တို့သည် နေ့တိုင်း ကိုက်စား အံ့သော ဒေါသ ရှိ၍ မြင့် သောစိတ်နှင့် အကျွန်ုပ် ကို တိုက် သောသူ အများ ရှိကြပါ၏။
13380300a0	အကျွန်ုပ် သည် ကြောက်ရွံ့ သောအခါ ကိုယ်တော် ၌ ခိုလှုံ ပါမည်။
1338040186	ဘုရား သခင်ကို အမှီပြု၍ နှုတ်ကပတ် တော်၌ ဝါကြွား ပါမည်။ ငါသည် ဘုရား သခင်ကို ခိုလှုံ သည်ဖြစ်၍ ကြောက် စရာမ ရှိ။ လူ သည် ငါ ၌ အဘယ်သို့ ပြု နိုင်သနည်း။
13380500de	သူတို့သည် နေ့တိုင်း ငါ့ စကား ကို အလွဲ ယူကြ၏။ ငါ ၌ မကောင်း သောအကြံကိုသာ ကြံစည် ကြ၏။
13380600eb	ငါ့ အသက် ကို စောင့် စဉ် အခါစုဝေး ၍ ချောင်းမြောင်း လျက်၊ ငါ ခြေရာ တို့ကို ကြည့် မှတ်ကြ၏။
1338070162	သူ တို့သည် မ တရားသောအမှုအားဖြင့် လွှတ်ခြင်း သို့ ရောက်ရပါမည်လော။ အိုဘုရား သခင်၊ ထိုလူ များ တို့ကို အမျက် တော်ထွက်၍ လှဲ တော်မူပါ။
13380801a0	အကျွန်ုပ် သည် အရပ်ရပ်လည် ရသောအခြင်း အရာတို့ကို ကိုယ်တော် မှတ် ၍ အကျွန်ုပ် မျက်ရည် တို့ကို ဘူး တော်ထဲ မှာ ထည့် တော်မူပါ။ စာရင်း တော်၌ ရှိပါသည် မဟုတ် လော။
133809012e	ဘုရား သခင်သည် ငါ့ ဘက်မှာ နေတော်မူသောကြောင့် ၊ ငါအော်ဟစ် သောအခါ ရန်သူ တို့သည် လှန် ခြင်း ကိုခံရကြမည်ကို ငါသိ ၏။
13380a011c	ဘုရား သခင်ကို အမှီပြု ၍ နှုတ်ကပတ် တော်၌ ဝါကြွား မည်။ ထာဝရဘုရား ကို အမှီပြု၍ နှုတ်ကပတ် တော်၌ ဝါကြွား မည်။
13380b00f3	ငါသည် ဘုရား သခင်ကို ခိုလှုံ သည်ဖြစ်၍ ကြောက် စရာမ ရှိ။ လူ သည် ငါ ၌ အဘယ်သို့ ပြု နိုင် သနည်း။
13380c0133	အိုဘုရား သခင်၊ အကျွန်ုပ် သည် ရှေ့ တော်၌ သစ္စာ ပြုပါသည်ဖြစ်၍၊ သစ္စာ ဝတ်ကို ဖြေလျက်ကိုယ်တော် ကို ချီးမွမ်း ပါမည်။
13380d0255	ကိုယ်တော်သည် အကျွန်ုပ် အသက် ကို သေ ခြင်း မှ ကယ်လွှတ် တော်မူပြီ။ အသက် ရှင်သောသူတို့၏ အလင်း ထဲ မှာဘုရား သခင့်ရှေ့ တော်၌ အကျွန်ုပ်ကျင့်နေပါမည် အကြောင်း၊ အကျွန်ုပ် ခြေ ကိုလည်း ထိမိ၍လဲ ခြင်းမှ ကယ်လွှတ်တော်မူမည်မဟုတ် လော။
1339010264	ဒါဝိဒ် သည် ဥမင် ၌ ရှောလု ထံမှ ထွက်ပြေး သောအခါ စပ်ဆိုသောဆာလံ။ အိုဘုရား သခင်၊ အကျွန်ုပ် ကို သနား တော်မူပါ။ သနား တော်မူပါ။ ဘေး မ လွန် မှီတိုင်အောင်အကျွန်ုပ် ၏ ဝိညာဉ် သည် ကိုယ်တော် ကို ခိုလှုံ ပါ၏။ အတောင် တော် အရိပ် ၌ ခိုလှုံ ပါ၏။
13390200f7	ငါသည်အမြင့်ဆုံး သော ဘုရား သခင်၊ ငါ့ အမှုကို ပြီးစီး စေတော်မူသောဘုရား သခင်ကို အော်ဟစ် မည်။
13390301d2	ကောင်းကင် က လက်တော်ကို ဆန့် တော်မူမည်။ ငါ့ ကို ကိုက်စား အံ့သောသူကို အရှက်ခွဲ သဖြင့် ၊ ငါ့ ကို ကယ်တင် တော်မူမည်။ ကရုဏာ တော်နှင့် သစ္စာ တော်ကို ဘုရား သခင်စေလွှတ် တော်မူမည်။
