0100000008	Postanak
180d020037	Tako kupih pojas po reči Gospodnjoj, i opasah se njim.
180d03002d	Potom dođe mi opet reč Gospodnja govoreći:
180d040075	Uzmi taj pojas što si kupio, što je oko tebe, pa se digni i idi na Efrat, i sakrij ga onde u kakvu raselinu kamenu.
180d050039	I otidoh i sakrih ga kod Efrata, kako mi zapovedi Gospod.
180d06006f	A posle mnogo vremena reče mi Gospod: Ustani i idi na Efrat, i uzmi pojas koji ti zapovedih da sakriješ onde.
180d070071	I otidoh na Efrat i otkopah i uzeh pojas s mesta gde ga bejah sakrio; a gle, pojas otruhnuo, i ne beše nizašta.
180d080027	Tada mi dođe reč Gospodnja govoreći:
180d090057	Ovako veli Gospod: Tako ću učiniti da otrune ponos Judin i veliki ponos jerusalimski,
180d0a00bc	tog naroda nevaljalog, što neće da sluša moje reči, što hodi po mislima srca svog i ide za drugim bogovima služeći im i klanjajući im se; i biće kao taj pojas, koji nije nizašta.
180d0b00b5	Jer kako se pojas pripoji oko čoveka, tako bejah pripojio oko sebe sav dom Izrailjev i sav dom Judin, veli Gospod, da bi bili moj narod na slavu i hvalu i diku; ali ne poslušaše.
180d0c008a	Zato im reci ovu reč: Ovako veli Gospod Bog Izrailjev: Svi se mehovi pune vina. A oni će reći: Zar ne znamo da se svi mehovi pune vina?
180d0d00c6	Tada im reci: Ovako veli Gospod: Evo ja ću napuniti pijanstva sve stanovnike ove zemlje i careve, koji sede mesto Davida na prestolu njegovom, i sveštenike i proroke i sve stanovnike jerusalimske.
180d0e0080	I razbiću ih jednog o drugog, i očeve i sinove, veli Gospod; neću požaliti ni poštedeti niti se smilovati, da ih ne potrem.
180d0f003b	Slušajte i čujte, nemojte se ponositi, jer Gospod govori.
180d1000ae	Dajte slavu Gospodu Bogu svom dok nije spustio mrak, dokle se nisu spotakle noge vaše po gorama mračnim, da čekate svetlost, a On je obrati u sen smrtni i pretvori u tamu.
180d110099	Ako li ovo ne poslušate, duša će moja plakati tajno radi oholosti vaše i roniti suze, suze će teći iz oka mog, jer će se zarobiti stado Gospodnje.
180d120054	Reci caru i carici: Dole sedite, jer će se slavni venac vaš skinuti s vaše glave.
180d13007c	Gradovi južni zatvoriće se i neće biti nikoga da ih otvori, odvešće se Juda u ropstvo, sasvim će se odvesti u ropstvo.
180d140069	Podignite oči svoje i vidite one što idu od severa. Gde je stado što ti je predano, stado slave tvoje?
180d150085	Šta ćeš reći kad te pohodi? Jer si ih ti naučio da budu knezovi nad tobom. Neće li te spopasti bolovi kao ženu kad se porađa?
180d16007c	Ako li kažeš u srcu svom: Zašto me to zadesi? Za mnoštvo bezakonja tvog uzgrnuće se skuti tvoji i obuća ti se skinuti.
180d170076	Može li Etiopljanin promeniti kožu svoju ili ris šare svoje? Možete li vi činiti dobro naučivši se činiti zlo?
180d180041	Zato ću ih razmetnuti kao što razmeće plevu vetar iz pustinje.
180d190062	To je deo tvoj i obrok tvoj od mene, govori Gospod, zato što si me zaboravio i pouzdao se u laž.
180d1a003f	Zato ću ti ja uzgrnuti skute na lice da se vidi sramota tvoja.
180d1b00a7	Preljube tvoje, rzanje tvoje, sramotna kurvarstva tvoja po humovima, po poljima, gadove tvoje video sam; teško tebi, Jerusalime! Zar se nećeš očistiti? Dokle još?
180e01002b	Reč Gospodnja koja dođe Jeremiji o suši.
180e020061	Juda tuži, i vrata su mu žalosna; leže na zemlji u crno zaviti; vika iz Jerusalima podiže se.
180e0300a8	Najveći između njih šalju najmanje na vodu; došavši na studence ne nalaze vode, vraćaju se s praznim sudovima svojim, stide se i srame se i pokrivaju glavu svoju.
180e040061	Zemlja je ispucala, jer ne beše dažda na zemlji; zato se težaci stide i pokrivaju glavu svoju.
180e050037	I košuta u polju ostavlja mlade svoje, jer nema trave.
180e060067	I divlji magarci stojeći na visovima vuku u se vetar kao zmajevi, oči im iščileše, jer nema trave.
180e070073	Kad bezakonja naša svedoče na nas, Gospode, učini radi imena svog; jer je mnogo odmeta naših, Tebi sagrešismo.
180e080079	Nado Izrailjeva! Spasitelju njegov u nevolji! Zašto si kao tuđin u ovoj zemlji i kao putnik koji se svrati da prenoći?
180e090091	Zašto si kao umoran čovek, kao junak, koji ne može izbaviti? Ta, Ti si usred nas, Gospode, i ime je Tvoje prizvano na nas; nemoj nas ostaviti.
180e0a00b1	Ovako govori Gospod za narod ovaj: Milo im je da se skitaju, ne ustavljaju noge svoje, zato nisu mili Gospodu; sada će se opomenuti bezakonja njihova i pohodiće grehe njihove.
180e0b0043	Potom reče mi Gospod: Ne moli se za taj narod da bi mu bilo dobro.
180e0c009c	Ako će i postiti, neću uslišiti vike njihove; i ako će prineti žrtve paljenice i dar, neće mi to ugoditi, nego mačem i glađu i pomorom pomoriću ih.
180e0d0095	Tada rekoh: Oh, Gospode Gospode, evo, proroci im govore: Nećete videti mača, i neće biti gladi u vas, nego ću vam dati mir pouzdan na ovom mestu.
180e0e00c1	A Gospod mi reče: Laž prorokuju ti proroci u moje ime, nisam ih poslao, niti sam im zapovedio, niti sam im govorio; lažne utvare i gatanje i ništavilo i prevaru srca svog oni vam prorokuju.
180e0f00ac	Zato ovako veli Gospod za proroke koji prorokuju u moje ime, a ja ih nisam poslao, i govore: Neće biti mača ni gladi u ovoj zemlji: od mača i gladi izginuće ti proroci.
180e1000dd	A narod ovaj, kome oni prorokuju, biće povaljan po ulicama jerusalimskim od gladi i mača, i neće biti nikoga da ih pogrebe, njih, žene njihove i sinove njihove i kćeri njihove; tako ću izliti na njih zloću njihovu.
180e110094	Reci im dakle ovu reč: Neka oči moje liju suze danju i noću i neka ne prestaju, jer devojka, kći mog naroda satre se veoma, od udarca preljutog.
180e120090	Ako iziđem u polje, eto pobijenih mačem; ako uđem u grad, eto iznemoglih od gladi; jer i prorok i sveštenik otidoše u zemlju koju ne znaju.
180e1300b0	Eda li si sasvim odbacio Judu? Eda li je omrzao duši Tvojoj Sion? Zašto si nas udario tako da nam nema leka? Čekasmo mir, ali nema dobra; i vreme da ozdravimo, a gle, strah.
180e14004c	Priznajemo, Gospode, zloću svoju, bezakonje otaca svojih, zgrešili smo Ti.
180e15007a	Nemoj nas odbaciti radi imena svog; nemoj naružiti prestola slave svoje, opomeni se zaveta svog s nama, nemoj ga ukinuti.
180e1600a2	Ima li među taštinama u naroda koji da daje dažd? Ili nebesa, daju li sitan dažd? Nisi li Ti to, Gospode Bože naš? Zato Tebe čekamo, jer Ti činiš sve to.
180f010088	I reče mi Gospod: Da stane Mojsije i Samuilo preda me, ne bi se duša moja obratila k tom narodu; oteraj ih ispred mene, i neka odlaze.
180f0200a1	I ako ti kažu: Kuda ćemo ići? Tada im reci: Ovako veli Gospod: ko je za smrt, na smrt; ko je za mač, pod mač; ko za glad, na glad; ko za ropstvo, u ropstvo.
180f03008f	I pustiću na njih četvoro, govori Gospod: Mač, da ih ubija, i pse, da ih razvlače, i ptice nebeske i zveri zemaljske, da ih jedu i istrebe.
180f040087	I daću ih da se potucaju po svim carstvima zemaljskim radi Manasije sina Jezekijinog cara Judinog za ono što je učinio u Jerusalimu.
180f050066	Jer ko bi se smilovao na tebe, Jerusalime? Ko li bi te požalio? Ko li bi došao da zapita kako ti je?
180f06007a	Ti si me ostavio, govori Gospod, otišao si natrag; zato ću mahnuti rukom svojom na te i pogubiću te; dosadi mi žaliti.
180f070083	Zato ću ih izvijati vijačom na vratima zemaljskim, učiniću ih sirotima, potrću narod svoj, jer se ne vraćaju s puteva svojih.
180f080098	Više će mi biti udovica njegovih nego peska morskog, dovešću im na majke momačke zatirače u podne, i pustiću iznenada na njih smetnju i strahotu.
180f0900c5	Iznemoći će koja je rodila sedmoro i ispustiće dušu, sunce će joj zaći još za dana, sramiće se i stideće se, a ostatak ću njihov dati pod mač pred neprijateljima njihovim, govori Gospod.
180f0a00a6	Teško meni, majko moja, što si me rodila da se sa mnom prepire i da se sa mnom svađa sva zemlja; ne davah u zajam niti mi davaše u zajam, i opet me svi proklinju.
180f0b0073	Gospod reče: Doista, ostatku će tvom biti dobro, i braniću te od neprijatelja, kad budeš u nevolji i u teskobi.
180f0c0036	Eda li će gvožđe slomiti gvožđe severno i bronzu?
180f0d0069	Imanje tvoje i blago tvoje daću da se razgrabi bez cene po svim međama tvojim, i to za sve grehe tvoje.
180f0e007a	I odvešću te s neprijateljima tvojim u zemlju koje ne poznaješ, jer se raspalio oganj od gneva mog, i goreće nad vama.
180f0f009d	Ti znaš, Gospode, opomeni me se i pohodi me i osveti me od onih koji me gone; nemoj me zgrabiti dokle se ustežeš od gneva; znaj da podnosim rug tebe radi.
180f100093	Kad se nađoše reči Tvoje, pojedoh ih, i reč Tvoja bi mi radost i veselje srcu mom, jer je ime Tvoje prizvano na me, Gospode Bože nad vojskama.
180f11006c	Ne sedim u veću podsmevačkom niti se s njima veselim; sedim sam radi ruke Tvoje, jer si me napunio srdnje.
180f120089	Zašto bol moj jednako traje? I zašto je rana moja smrtna, te neće da se isceli? Hoćeš li mi biti kao varalica, kao voda nepostojana?
180f1300d2	Zato ovako veli Gospod: Ako se obratiš, ja ću te opet postaviti da stojiš preda mnom, ako odvojiš što je dragoceno od rđavog, bićeš kao usta moja; oni neka se obrate k tebi, a ti se ne obraćaj k njima.
180f14009d	I učiniću da budeš tom narodu kao jak zid bronzani, i udaraće na te, ali te neće nadvladati; jer sam ja s tobom da te čuvam i izbavljam, govori Gospod.
180f150047	I izbaviću te iz ruku zlih ljudi, i iskupiću te iz ruku nasilničkih.
1810010028	Potom dođe mi reč Gospodnja govoreći:
181002003c	Nemoj se ženiti, i da nemaš sinove ni kćeri na tom mestu.
1810030092	Jer ovako govori Gospod za sinove i kćeri što se rode na tom mestu i za matere njihove koje ih rode, i za oce njihove koji ih rode u toj zemlji:
18100400c9	Ljutom će smrću pomreti, neće biti oplakani niti će se pogrepsti, biće gnoj po zemlji, i od mača i od gladi izginuće, i mrtva će telesa njihova biti hrana pticama nebeskim i zverima zemaljskim.
18100500a9	Jer ovako govori Gospod: Ne ulazi u kuću u kojoj je žalost, i ne idi da plačeš niti ih žali; jer sam uzeo mir svoj od tog naroda, govori Gospod, milost i žaljenje.
1810060081	Pomreće mali i veliki u ovoj zemlji, neće biti pogrebeni niti će se oplakati, niti će se ko rezati ni glave strići za njima.
181007007c	Neće im se dati hleba u žalosti da se poteše za mrtvim, niti će ih napojiti iz čaše radi utehe za ocem ili za materom.
181008004e	Tako ne ulazi u kuću u kojoj je žalost da sediš s njima da jedeš i piješ.
18100900cb	Jer ovako veli Gospod nad vojskama, Bog Izrailjev: Evo, ja ću učiniti da na ovom mestu pred vašim očima i za vaših dana ne bude glasa radosnog ni glasa veselog, glasa ženikovog ni glasa nevestinog.
18100a00bc	A kad kažeš tom narodu sve ove reči, ako ti kažu: Zašto izreče Gospod sve to veliko zlo na nas? I kakvo je bezakonje naše ili kakav je greh naš, kojim zgrešismo Gospodu Bogu svom?
18100b00a2	Tada im reci: Jer oci vaši ostaviše mene, govori Gospod, i idoše za drugim bogovima i služiše im i klanjaše im se, a mene ostaviše i zakon moj ne držaše;
18100c0067	a vi još gore činite nego oci vaši, jer eto idete svaki po misli srca svog zlog ne slušajući mene.
18100d009f	Zato ću vas izbaciti iz ove zemlje u zemlju koje ne poznaste ni vi ni oci vaši, i onde ćete služiti drugim bogovima dan i noć dokle vam ne učinim milost.
18100e008b	Zato, evo, idu dani, govori Gospod, kad se neće više govoriti: Tako da je živ Gospod koji je izveo sinove Izrailjeve iz zemlje misirske;
18100f00c0	nego: Tako da je živ Gospod koji je izveo sinove Izrailjeve iz zemlje severne i iz svih zemalja u koje ih beše razagnao! Jer ću ih opet dovesti u zemlju njihovu koju sam dao ocima njihovim.
18101000a0	Gle, ja ću poslati mnoge ribare, govori Gospod, da ih love, i posle ću poslati mnoge lovce da ih love po svakoj gori i po svakom humu i po raselinama kamenim.
1810110077	Jer oči moje paze na sve puteve njihove, nisu sakriveni od mene, niti je bezakonje njihovo zaklonjeno od mojih očiju.
18101200a3	I platiću im prvo dvojinom za bezakonje njihovo i za greh njihov, što oskvrniše zemlju moju strvima gadova svojih, i nasledstvo moje napuniše gnusobama svojim.
18101300bf	Gospode, kreposti moja i grade moj i utočište moje u nevolji, k Tebi će doći narodi od krajeva zemaljskih, i reći će: Doista oci naši imaše laž, i taštinu i što ni malo ne pomaže.
181014003f	Eda li će čovek načiniti sebi bogove, koji ipak nisu bogovi?
1810150069	Zato, evo, ja ću ih naučiti sada, pokazaću im ruku svoju i silu svoju, da poznadu da mi je ime Gospod.
181101007e	Greh je Judin zapisan gvozdenom pisaljkom i vrhom od dijamanta, urezan je na ploči srca njihovog i na rogovima oltara vaših,
1811020069	da se sinovi njihovi sećaju oltara njihovih i lugova njihovih pod zelenim drvetima, na visokim humovima.
1811030076	Goro s poljem, daću imanje tvoje, sve blago tvoje daću da se razgrabi, visine tvoje, za greh po svim međama tvojim.
18110400ce	I ti ćeš i koji su s tobom ostaviti nasledstvo svoje, koje sam ti dao, i učiniću da služiš neprijateljima svojim u zemlji koje ne poznaješ; jer ste raspalili oganj gneva mog, koji će goreti do veka.
1811050086	Ovako veli Gospod: Da je proklet čovek koji se uzda u čoveka i koji stavlja telo sebi za mišicu, a od Gospoda odstupa srce njegovo.
1811060090	Jer će biti kao vres u pustinji, koji ne oseća kad dođe dobro, nego stoji u pustinji, na suvim mestima u zemlji slanoj i u kojoj se ne živi.
181107003f	Blago čoveku koji se uzda u Gospoda i kome je Gospod uzdanica.
18110800be	Jer će biti kao drvo usađeno kraj vode i koje niz potok pušta žile svoje, koje ne oseća kad dođe pripeka, nego mu se list zeleni, i sušne godine ne brine se i ne prestaje rađati rod.
1811090038	Srce je prevarno više svega i opako: ko će ga poznati?
18110a0073	Ja Gospod ispitujem srca i iskušavam bubrege, da bih dao svakome prema putevima njegovim i po plodu dela njegovih.
18110b0098	Kao što jarebica leži na jajima ali ne izleže, tako ko sabira bogatstvo ali s nepravdom, u polovini dana svojih ostaviće ga i najposle će biti lud.
18110c003f	Mesto je svetinje naše presto slave, visoko mesto od početka.
18110d009d	Nado Izrailjeva, Gospode! Svi koji Te ostavljaju neka se posrame; koji odstupaju od mene, neka se zapišu na zemlji, jer ostaviše izvor vode žive, Gospoda.
18110e0059	Isceli me, Gospode, i biću isceljen; izbavi me, i biću izbavljen, jer si Ti hvala moja.
18110f0036	Gle, oni mi govore: Gde je reč Gospodnja? Neka dođe.
1811100082	A ja se ne zatezah ići za Tobom kao pastir, i dan žalosni ne želeh, Ti znaš; šta je god izašlo iz usta mojih, pred Tobom je.
181111002e	Ne budi mi strah, Ti si utočište moje u zlu.
181112007b	Neka se posrame koji me gone, a ja ne; neka se oni uplaše, a ja ne; pusti na njih zli dan, i dvostrukim polomom polomi ih.
181113008a	Ovako mi reče Gospod: Idi, i stani na vrata sinova narodnih, na koja ulaze carevi Judini i na koja izlaze, i na svaka vrata jerusalimska.
181114006e	I reci im: Čujte reč Gospodnju, carevi Judini i svi Judejci i svi Jerusalimljani, koji ulazite na ova vrata.
181115005e	Ovako veli Gospod: Čuvajte se da ne nosite breme u subotu i ne unosite na vrata jerusalimska.
1811160084	I ne iznosite bremena iz kuća svojih u subotu, i nikakav posao ne radite, nego svetite subotu, kao što sam zapovedio ocima vašim.
181117006c	Ali ne poslušaše niti prignuše uha svog, nego otvrdnuše vratom svojim da ne poslušaju i ne prime nauke.
1811180088	Ako me poslušate, govori Gospod, da ne nosite bremena na vrata ovog grada u subotu, nego svetite subotu ne radeći u nju nikakav posao,
18111900be	tada će ulaziti na vrata grada ovog carevi i knezovi, koji sede na prestolu Davidovom, na kolima i na konjima, oni i knezovi njihovi, Judejci i Jerusalimljani, i stajaće ovaj grad do veka.
18111a00d9	I dolaziće iz gradova Judinih i iz okoline jerusalimske, i iz zemlje Venijaminove, i iz ravnice i iz gora i s juga, i donosiće žrtve paljenice i prinose s darom i kadom, i žrtve zahvalne donosiće u dom Gospodnji.
18111b00ce	Ako li me ne poslušate da svetite subotu i ne nosite bremena ulazeći na vrata jerusalimska u subotu, onda ću raspaliti oganj na vratima njegovim, koji će upaliti dvorove jerusalimske i neće se ugasiti.
181201002e	Reč koja dođe Jeremiji od Gospoda govoreći:
1812020045	Ustani, i siđi u kuću lončarevu, i onde ću ti kazati reči svoje.
1812030046	Tada siđoh u kuću lončarevu, i gle, on rađaše posao na svom kolu.
1812040084	I pokvari se u ruci lončaru sud koji građaše od kala, pa načini iznova od njega drugi sud, kako beše volja lončaru da načini.
1812050027	Tada dođe mi reč Gospodnja govoreći:
1812060097	Ne mogu li činiti od vas kao ovaj lončar, dome Izrailjev? Govori Gospod; gle, šta je kao u ruci lončarevoj, to ste vi u mojoj ruci, dome Izrailjev.
1812070046	Kad bih rekao za narod i za carstvo da ga istrebim i razorim i zatrem;
1812080068	ako se obrati narod oda zla, za koje bih rekao, i meni će biti žao sa zla koje mišljah da mu učinim.
181209003e	A kad bih rekao za narod i za carstva da ga sazidam i nasadim;
18120a006f	ako učini šta je zlo preda mnom ne slušajući glas moj, i meni će biti žao dobra koje rekoh da mu učinim.
18120b00cb	Zato sada reci Judejcima i Jerusalimljanima govoreći: Ovako veli Gospod: Evo spremam na vas zlo, i mislim misli na vas; vratite se, dakle, svaki sa svog puta zlog, i popravite puteve svoje i dela svoja.
18120c0071	A oni rekoše: Nema ništa od toga, nego ćemo ići za svojim mislima i činićemo svaki po misli srca svog zlog.
18120d0070	Zato ovako govori Gospod: Pitajte po narodima je li ko čuo takvo šta? Grdilo veliko učini devojka Izrailjeva.
18120e0058	Ostavlja li sneg livanski sa stene moja polja? Ostavljaju li se vode studene, koje teku?
18120f0082	A narod moj mene zaboravi, kadi taštini, i spotiču se na svojim putevima, na starim stazama, da hode stazama puta neporavnjenog,
1812100076	Da bih obratio zemlju njihovu u pustoš, na večnu sramotu, da se čudi ko god prođe preko nje i maše glavom svojom.
181211005f	Kao ustokom razmetnuću ih pred neprijateljem; leđa a ne lice pokazaću im u nevolji njihovoj.
18121200b1	A oni rekoše: Hodite da smislimo šta Jeremiji, jer neće nestati zakona svešteniku ni saveta mudracu ni reči proroku; hodite, ubijmo ga jezikom i ne pazimo na reči njegove.
1812130032	Pazi na me, Gospode, i čuj glas mojih protivnika.
181214009a	Eda li će se zlo vratiti za dobro, kad mi kopaju jamu? Opomeni se da sam stajao pred Tobom govoreći za njihovo dobro, da bih odvratio gnev Tvoj od njih.
18121500ad	Zato predaj sinove njihove gladi i učini da izginu od mača, i žene njihove da budu sirote i udove, i muževi njihovi da se pogube, mladiće njihove da pobije mač u boju.
181216008d	Neka se čuje vika iz kuća njihovih, kad dovedeš na njih vojsku iznenada; jer iskopaše jamu da me uhvate, i zamke namestiše nogama mojim.
18121700bc	A Ti, Gospode, znaš sve što su naumili meni da me ubiju, nemoj im oprostiti bezakonja ni greh njihov izbrisati ispred sebe; nego neka popadaju pred Tobom, u gnevu svom radi suprot njima.
1813010074	Ovako reče Gospod: Idi i kupi krčag zemljan u lončara s nekoliko starešina narodnih i starešina svešteničkih.
1813020068	I otidi u dolinu sina Enomovog što je pred vratima istočnim, i onde proglasi reči koje ću ti kazati.
18130300c1	I reci: Čujte reč Gospodnju, carevi Judini i stanovnici jerusalimski; ovako veli Gospod nad vojskama Bog Izrailjev: Evo, ja ću pustiti zlo na to mesto da će zujati uši svakome ko ga čuje.
18130400a3	Jer me ostaviše i oskvrniše ovo mesto kadeći na njemu drugim bogovima, kojih ne znaše ni oni ni oci njihovi, ni carevi Judini, i napuniše to mesto krvi prave.
181305008e	I pogradiše visine Valu da sažižu sinove svoje ognjem na žrtve paljenice Valu, čega ne zapovedih niti o tom govorih, niti mi na um dođe.
1813060078	Zato, evo, ide vreme, veli Gospod, kad se ovo mesto neće više zvati Tofet, ni dolina sina Enomovog, nego krvna dolina.
18130700ee	Jer ću uništiti savet Judin i jerusalimski na ovom mestu, i učiniću da padnu od mača pred neprijateljima svojim i od ruke onih koji traže dušu njihovu, i mrtva ću telesa njihova dati za hranu pticama nebeskim i zverima zemaljskim.
181308006a	I obratiću taj grad u pustoš i rug: ko god prođe mimo nj, čudiće se i zviždaće za sve muke njegove.
18130900c7	I učiniću da jedu meso od svojih sinova i meso od svojih kćeri, i svaki će jesti meso od druga svog u nevolji i teskobi, kojom će im dosađivati neprijatelji njihovi i koji traže dušu njihovu.
18130a0037	Potom razbij krčag pred ljudima koji će ići s tobom.
18130b00da	I reci im: Ovako veli Gospod nad vojskama: Tako ću razbiti taj narod i taj grad kao što se razbije sud lončarski, koji se ne može više opraviti, i u Tofetu će se pogrebavati, jer neće biti mesta za pogrebavanje:
18130c006a	Tako ću učiniti tome mestu, veli Gospod, i stanovnicima njegovim i učiniću taj grad da bude kao Tofet;
18130d00a4	i kuće jerusalimske i kuće careva Judinih biće nečiste kao mesto Tofet, sve kuće, gde na krovovima kadiše svoj vojsci nebeskoj i liše nalive drugim bogovima.
18130e0082	Potom se vrati Jeremija iz Tofeta kuda ga beše poslao Gospod da prorokuje, i stade u tremu doma Gospodnjeg, i reče svemu narodu:
18130f00bb	Ovako veli Gospod nad vojskama, Bog Izrailjev: Evo, ja ću pustiti na taj grad i na sve gradove njegove sve zlo koje izrekoh za nj, jer otvrdnuše vratom svojim da ne slušaju reči moje.
181401006e	A Pashor sin Imirov, sveštenik, koji beše starešina u domu Gospodnjem, ču Jeremiju gde prorokuje te reči.
1814020068	I udari Pashor proroka Jeremiju, i metnu ga u tamnicu na gornjim vratima Venijaminovim uz dom Gospodnji.
1814030075	A sutradan kad Pashor izvede Jeremiju iz tamnice, reče mu Jeremija: Gospod ti nade ime ne Pashor nego Magor-Misaviv.
1814040103	Jer ovako veli Gospod: Evo, ja ću pustiti na te strah, na tebe i na sve prijatelje tvoje, koji će pasti od mača neprijatelja svojih, i oči će tvoje videti, i svega ću Judu dati u ruke caru vavilonskom, koji će ih odvesti u Vavilon, i pobiće ih mačem.
18140500b6	I daću sve bogatstvo tog grada i sav trud njegov i sve što ima dragoceno, i sve blago careva Judinih daću neprijateljima njihovim u ruke, i razgrabiće i uzeti i odneti u Vavilon.
18140600c2	I ti, Pashore, i svi koji žive u tvom domu otići ćete u ropstvo; i doći ćeš u Vavilon i onde ćeš umreti i onde ćeš biti pogreben ti i svi prijatelji tvoji, kojima si prorokovao lažno.
1814070087	Nagovarao si me, Gospode, i dadoh se nagovoriti; bio si jači od mene i nadvladao si me; na podsmeh sam svaki dan, svak mi se podsmeva.
1814080078	Jer od kad govorim, vapim, radi nasilja i pustošenja vičem, jer mi je reč Gospodnja na porugu i na podsmeh svaki dan.
18140900ba	I rekoh: Neću Ga više pominjati, niti ću više govoriti u ime Njegovo; ali bi u srcu mom kao oganj razgoreo, zatvoren u kostima mojim, i umorih se zadržavajući ga, i ne mogoh više.
18140a00b7	Jer čujem poruge od mnogih, strah od svuda: Prokažite da prokažemo; svi koji behu u miru sa mnom, vrebaju da posrnem: Da ako se prevari, te ćemo ga nadvladati i osvetićemo mu se.
18140b00b2	Ali je Gospod sa mnom kao strašan junak; zato oni koji me gone spotaknuće se i neće nadvladati; posramiće se vrlo; jer neće biti srećni, sramota večna neće se zaboraviti.
18140c0090	Zato, Gospode nad vojskama, koji kušaš pravednika, koji vidiš bubrege i srce, daj da vidim Tvoju osvetu na njima, jer Tebi kazah parbu svoju.
18140d0050	Pevajte Gospodu, hvalite Gospoda, jer izbavi dušu siromahu iz ruke zlikovačke.
18140e0056	Proklet da je dan u koji se rodih! Dan, u koji me rodi mati moja, da nije blagosloven!
18140f0054	Proklet da je čovek koji javi ocu mom i vrlo ga obradova govoreći: Rodi ti se sin.
181410006f	I taj čovek da bi bio kao gradovi koje Gospod zatre i ne bi Mu žao! Neka sluša viku ujutru i vrisku u podne,
181411006e	Što me ne usmrti u utrobi materinoj da bi mi mati moja bila grob, i utroba njena da bi ostala do veka trudna.
1814120054	Zašto iziđoh iz utrobe da vidim muku i žalost i da se svrše u sramoti dani moji?
181501008c	Reč koja dođe Jeremiji od Gospoda kad posla k njemu car Sedekija Pashora sina Melhijinog i Sofoniju sina Masijinog sveštenika, i poruči:
1815020090	Upitaj Gospoda za nas, jer Navuhodonosor, car vavilonski, zavojšti na nas; eda bi nam učinio Gospod po svim čudesima svojim, da otide od nas.
181503002b	A Jeremija im reče: Ovako recite Sedekiji:
18150400d0	Ovako veli Gospod Bog Izrailjev: Evo, ja ću okrenuti natrag oružje što je u vašim rukama, kojim se bijete s carem vavilonskim i s Haldejcima koji su vas opkolili iza zidova, i skupiću ih usred tog grada.
1815050066	I ja ću vojevati na vas rukom podignutom i mišicom krepkom i gnevom i jarošću i žestinom velikom.
181506004c	I pobiću stanovnike tog grada, i ljude i stoku; od pomora velikog pomreće.
1815070145	A posle, veli Gospod, daću Sedekiju cara Judinog i sluge njihove i narod, one koji ostanu u tom gradu od pomora, od mača i od gladi, u ruke Navuhodonosoru caru vavilonskom i u ruke neprijateljima njihovim i u ruke onima koji traže dušu njihovu, te će ih pobiti mačem, neće ih žaliti ni štedeti niti će se smilovati.
181508005b	A narodu tom reci: Ovako veli Gospod: Evo ja stavljam pred vas put k životu i put k smrti.
18150900ac	Ko ostane u tom gradu, poginuće od mača ili od gladi ili od pomora; a ko izađe i preda se Haldejcima koji su vas opkolili, ostaće živ, i duša će mu biti mesto plena.
18150a0089	Jer okretoh lice svoje tome gradu na zlo, a ne na dobro, govori Gospod; u ruke caru vavilonskom biće predan, i on će ga spaliti ognjem.
18150b002c	A za dom cara Judinog čujte reč Gospodnju:
18150c00c7	Dome Davidov, tako veli Gospod, sudite svako jutro, i kome se otima izbavljajte ga iz ruku nasilnikovih da ne iziđe kao oganj gnev moj i razgori se da ga niko ne može ugasiti za zloću dela vaših.
18150d0094	Evo me na tebe, koji sediš u dolini, kao stena u ravnici, govori Gospod, na vas, koji govorite: Ko će doći na nas? I ko će ući u stanove naše?
18150e0087	Jer ću vas pokarati po plodu dela vaših, veli Gospod, i raspaliću oganj u šumi njegovoj, koji će proždreti sve što je oko njega.
1816010044	Ovako govori Gospod: Siđi u dom cara Judinog, i reci onde ovu reč,
1816020089	i kaži: Slušaj reč Gospodnju, care Judin, koji sediš na prestolu Davidovom, ti i sluge tvoje i narod tvoj, koji ulazite na ova vrata.
18160300d0	Ovako veli Gospod: Činite sud i pravdu, i kome se otima izbavljajte ga iz ruku nasilnikovih, i ne činite krivo inostrancu ni siroti ni udovici, i ne činite im silu, i krv pravu ne prolivajte na ovom mestu.
18160400a9	Jer ako doista uzradite ovo, ulaziće na vrata ovog doma carevi, koji sede mesto Davida na prestolu njegovom, na kolima i na konjima, oni i sluge njihove i narod njihov.
1816050059	Ako li ne poslušate ove reči, zaklinjem se sobom, veli Gospod, da ću opusteti taj dom.
1816060089	Jer ovako veli Gospod za dom cara Judinog: Ti si mi Galad i vrh livanski, ali ću te obratiti u pustinju, u gradove u kojima se ne živi.
1816070069	I spremiću na tebe zatirače, svakog s oružjem, i poseći će tvoje krasne kedre i pobacati ih u oganj.
1816080074	I mnogi će narodi prolaziti mimo taj grad, i govoriće jedan drugom: Zašto učini ovo Gospod od tog grada velikog?
1816090062	I reći će: Jer ostaviše zavet Gospoda Boga svog, i klanjaše se drugim bogovima i služiše im.
18160a0086	Ne plačite za mrtvim niti ga žalite; nego plačite za onim koji odlazi, jer se neće više vratiti niti će videti svoje postojbine.
18160b0093	Jer ovako govori Gospod o Salumu sinu Josije, cara Judinog, koji carovaše mesto Josije oca svog, koji otide iz ovog mesta: neće se više vratiti.
18160c0055	Nego će umreti u mestu kuda ga odvedoše u ropstvo, i neće više videti ove zemlje.
18160d0099	Teško onom koji gradi svoju kuću ne po pravdi, i kleti svoje ne po pravici, koji se služi bližnjim svojim nizašta i platu za trud njegov ne daje mu;
