0100000006	Senesi
10070700f6	‌ʻAkinautolu naʻe ʻalu hake mo Selupepeli, mo Sesua, mo Nehemaia, mo ʻAsalia, mo Leamia, mo Nehamani, mo Motekiai, mo Pilisani, mo Misipeleti, mo Pikivai, mo Nehumi, mo Paʻana. Ko eni ʻa hono lau ʻoe kau tangata ʻoe kakai ʻo ʻIsileli:
1007080048	Ko e fānau ʻa Palosi, ko e toko ua afe mo e teau ma fitungofulu ma ua.
1007090042	Ko e fānau ʻa Sifatia, ko e toko tolungeau ma fitungofulu ma ua.
10070a003f	Ko e fānau ʻa ʻAla, ko e toko onongeau ma nimangofulu ma ua.
10070b0071	Ko e fānau ʻa Pehati-Moape, ko e fānau ʻa Sesua mo Soape, ko e toko ua afe ma valungeau ma hongofulu ma valu.
10070c0048	Ko e fānau ʻa ʻIlami, ko e taha afe ma uangeau ma nimangofulu ma fā.
10070d0040	Ko e fānau ʻa Satu, ko e toko valungeau ma fāngofulu ma nima.
10070e0039	Ko e fānau ʻa Sakai, ko e toko fitungeau ma onongofulu.
10070f0040	Ko e fānau ʻa Pinui, ko e toko onongeau ma fāngofulu ma valu.
100710003c	Ko e fānau ʻa Pepai, ko e toko onongeau ma uofulu ma valu.
1007110049	Ko e fānau ʻa ʻAsikati, ko e toko ua afe ma tolungeau ma uofulu ma ua.
1007120046	Ko e fānau ʻa ʻAtonikami, ko e toko onongeau ma onongofulu ma fitu.
1007130040	Ko e fānau ʻa Pikivai, ko e toko ua afe ma onongofulu ma fitu.
1007140043	Ko e fānau ʻa ʻAtini, ko e toko onongeau ma nimangofulu ma nima.
1007150045	Ko e fānau ʻa ʻAteli ʻia Hesekaia, ko e toko hivangofulu ma valu.
100716003e	Ko e fānau ʻa Hasumi, ko e toko tolungeau ma uofulu ma valu.
100717003c	Ko e fānau ʻa Pisai, ko e toko tolungeau ma uofulu ma fā.
100718003a	Ko e fānau ʻa Halife, ko e toko teau ma hongofulu ma ua.
1007190037	Ko e fānau ʻa Kipione, ko e toko hivangofulu ma nima.
10071a0051	Ko e kau tangata ʻo Petelihema mo Nitofa, ko e toko teau ma valungofulu ma valu.
10071b0043	Ko e kau tangata ʻo ʻAnatoti, ko e toko teau mā uofulu mā valu.
10071c0043	Ko e kau tangata ʻo Pete-ʻAsimavete, ko e toko fāngofulu mā ua.
10071d0067	Ko e kau tangata ʻo Kesa-Sialimi, mo Kifila, mo Piheloti, ko e toko fitungeau mā fāngofulu mā tolu.
10071e004b	Ko e kau tangata ʻo Lama ʻo Kepa, ko e toko onongeau mā uofulu mā taha.
10071f0040	Ko e kau tangata ʻo Mikimasi, ko e toko teau mā uofulu mā ua.
1007200048	Ko e kau tangata ʻo Peteli mo ʻAi, ko e toko teau mā uofulu mā tolu.
1007210041	Ko e kau tangata ʻo Nipo ʻe taha, ko e toko nimangofulu mā ua.
100722005c	Ko e fānau ʻae ʻIlami ʻe taha, ko e toko taha afe, mā uangeau, mā nimangofolu mā fā.
1007230037	Ko e fānau ʻa Halimi, ko e toko tolungeau mā uofulu.
1007240044	Ko e fānau ʻa Seliko, ko e toko tolungeau mā fāngofulu mā nima.
1007250051	Ko e fānau ʻa Loti, mo Hatiti, mo Ono, ko e toko fitungeau mā uofulu mā taha.
100726004a	Ko e fānau ʻa Sinaʻa, ko e toko tolu afe mā hivangeau mā tolungofulu.
1007270076	Ko e kau taulaʻeiki eni: ko e fānau ʻa Sitaia, ʻi he fale ʻo Sesua, ko e toko hivangeau mā fitungofulu mā tolu.
1007280041	Ko e fānau ʻa Imeli, ko e toko taha afe mā nimangofulu mā ua.
100729004f	Ko e fānau ʻa Pasuli, ko e toko taha afe mā uangeau mā fāngofulu mā fitu.
10072a0042	Ko e fānau ʻa Halimi, ko e toko taha afe mā hongofulu mā fitu.
10072b0074	Ko e kau Livai eni: ko e fānau ʻa Sesua, ʻo Katimieli, pea mo e fānau ʻa Hoteva, ko e toko fitungofulu mā fā.
10072c0053	Ko e kau hiva eni: ko e fānau ʻa ʻAsafi, ko e toko teau mā fāngofulu mā valu.
10072d00d7	Ko e kau leʻo matapā eni: ko e fānau ʻa Salumi, ko e fānau ʻa ʻAteli, ko e fānau ʻa Talimoni, ko e fānau ʻa ʻAkupi, ko e fānau ʻa Hatita, ko e fānau ʻa Sopai, ko e toko teau mā tolungofulu mā valu.
10072e005d	Ko e kau Netenimi eni: ko e fānau ʻa Siha, ko e fānau ʻa Hasufa, ko e fānau ʻa Tapaoti,
10072f0044	Ko e fānau ʻa Kilosi, ko e fānau ʻa Sia, ko e fānau ʻa Patoni.
1007300048	Ko e fānau ʻa Lipana, ko e fānau ʻa Hakapa, ko e fānau ʻa Salimei,
1007310046	Ko e fānau ʻa Hanani, ko e fānau ʻa Kiteli, ko e fānau ʻa Kehaa,
1007320046	Ko e fānau ʻa Liaia, ko e fānau ʻa Lesini, ko e fānau ʻa Nikota,
1007330043	Ko e fānau ʻa Kasami, ko e fānau ʻa Usa, ko e fānau ʻa Pasea,
100734004a	Ko e fānau ʻa Pesai, ko e fānau ʻa Mehunimi, ko e fānau ʻa Nifisimi,
1007350048	Ko e fānau ʻa Pakipuki, ko e fānau ʻa Hakufa, ko e fānau ʻa Hahua,
1007360049	Ko e fānau ʻa Pasiliti, ko e fānau ʻa Mehita, ko e fānau ʻa Halisa,
1007370045	Ko e fānau ʻa Pakosi, ko e fānau ʻa Sisila, ko e fānau ʻa Tama,
100738002e	Ko e fānau ʻa Nisia, ko e fānau ʻa Hatifa.
100739007c	Ko e fānau eni ʻae kau tamaioʻeiki ʻa Solomone: ko e fānau ʻa Sotei, ko e fānau ʻa Sofeleti, ko e fānau ʻa Pelita.
10073a0045	Ko e fānau ʻa Sala, ko e fānau ʻa Takoni, ko e fānau ʻa Kiteli,
10073b006e	Ko e fānau ʻa Sifatia, ko e fānau ʻa Hatili, ko e fānau ʻa Pokileti ʻo Sipemi, ko e fānau ʻa ʻAmoni.
10073c007a	Ko e kakai Netimimi kotoa pē, mo e fānau ʻae kau tamaioʻeiki ʻa Solomone, ko e toko tolungeau mā hivangofulu mā ua.
10073d00ef	Pea ko kinautolu eni ʻaia naʻe ʻalu hake foki mei Telimela mo Telihalesa, mo Kilupi, mo ʻAtoni, mo Imeli: ka naʻe ʻikai te nau faʻa fakahā ʻae fale ʻo ʻenau tamai, pe ko honau hoko, pe naʻe ʻo ʻIsileli ʻakinautolu pe ʻikai.
10073e0071	Ko e fānau ʻa Tilaia, ko e fānau ʻa Topaia, ko e fānau ʻa Nikota, ko e toko onongeau mā fāngofulu mā ua.
10073f00e8	Pea ʻi he kau taulaʻeiki: ko e fānau ʻa Hopaia, ko e fānau ʻa Kose, ko e fānau ʻa Pasilai, ʻaia naʻa ne ʻave ʻae ʻofefine ʻe taha ʻo Pasilai ko e tangata Kiliati ko hono uaifi, pea naʻe ui ia ki hono hingoa ʻoʻona.
10074000cc	Naʻe kumi ʻekinautolu honau hohoko fakataha mo kinautolu naʻe lau ʻi he hokohoko, ka naʻe ʻikai ʻilo ia: ko ia naʻe tukuange ai ʻakinautolu ʻo hangē ha taʻemaʻa mei he ngāue fakataulaʻeiki.
10074100ab	Pea naʻe pehē ʻe he pule kiate kinautolu, ke ʻoua naʻa nau kai ʻi he ngaahi meʻa māʻoniʻoni lahi, ke ʻoua ke tuʻu hake ha taulaʻeiki mo e ʻUlimi mo e Tumemi.
100742006a	Ko hono tokolahi ʻoe kakai kātoa ko e toko fā mano mo e toko ua afe mo e toko tolungeau mā onongofulu.
10074300f9	Ka naʻe lau kehe ʻenau kau tamaioʻeiki mo honau kau kaunanga, ko e toko fitu afe mo e toko tolungeau, mā tolungofulu mā fitu: pea naʻe ʻiate kinautolu ʻae kau tangata hiva mo e kau fefine hiva ko e toko uangeau mo e toko fāngofulu mā nima.
100744007d	Ko ʻenau fanga hoosi, ko e fitungeau mo e tolungofulu mā ono: ko ʻenau fanga miuli, ko e uangeau mo e fāngofulu mā nima:
100745007b	Ko ʻenau fanga kāmeli, ko e fāngeau mo e tolungofulu mā nima: ko e fanga ʻasi ko e ono afe mo e fitungeau mo e uofulu.
10074600f8	Pea naʻe foaki meʻa ki he ngāue ʻe he niʻihi ʻoe kau mātuʻa tuʻukimuʻa. Naʻe foaki ʻe he pule ki he fale koloa ʻae koula ko e talami ʻe taha afe, mo e ipu luoluo ʻe nimangofulu, mo e kofu fakataulaʻeiki ʻe nimangeau ma tolungofulu.
10074700a3	Pea naʻe foaki ʻe he kau tuʻukimuʻa niʻihi ʻoe kau mātuʻa ki he koloa ʻoe ngāue ko e talami koula ʻe ua mano, mo e paunite siliva ʻe ua afe ma uangeau.
100748009d	Pea ko ia naʻe foaki ʻe he kakai naʻe toe ko e talami koula ʻe ua mano, mo e paunite siliva ʻe ua afe, mo e kofu fakataulaʻeiki ʻe onongofulu ma fitu.
1007490119	Ko ia naʻe nofo ʻi honau ngaahi kolo ʻae kau taulaʻeiki, mo e kau Livai, mo e kau leʻo matapā, mo e kau hiva, mo e kakai niʻihi, mo e kau Netenimi, mo ʻIsileli kotoa pē: pea ʻi he hokosia hono fitu ʻoe māhina, naʻe nofo ʻae fānau ʻa ʻIsileli ʻi honau ngaahi kolo.
1008010115	Pea naʻe fakakātoa fakataha ʻakinautolu ʻe he kakai ʻo hangē ko e tangata pē taha ʻi he hala lahi ʻaia naʻe hangatonu ki he matapā vai: pea naʻa nau lea kia Esela ko e tangata tohi ke ʻomi ʻae tohi ʻoe fono ʻa Mōsese, ʻaia naʻe fekau ʻe Sihova ki ʻIsileli.
10080200e2	Pea naʻe ʻomi ʻe Esela ko e tangata tohi ʻae fono ki he ʻao ʻoe fakataha ʻoe kau tangata mo e kau fefine, pea mo kinautolu kotoa pē naʻe faʻa fanongo mo e loto ʻilo, ʻi he ʻuluaki ʻaho ʻi hono fitu ʻoe māhina.
1008030109	Pea naʻa ne lau ʻe ia ʻi ai ʻi he hala ʻaia naʻe hangatonu ki he matapā vai mei he pongipongi ki he hoʻatā, ʻi he ʻao ʻoe kau tangata mo e kau fefine, mo kinautolu naʻe ʻilo hono ʻuhinga; pea naʻe fanongo ʻe he kakai kotoa pē ki he tohi ʻoe fono.
100804014f	Pea naʻe tuʻu ʻa Esela ko e tangata tohi ki he tuʻunga ʻakau, ʻaia naʻa nau ngaohi ki he meʻa ko ia: pea naʻe tuʻu mo ia ʻa Matitia, mo Sema, mo ʻAnaia, mo Ulisa, mo Hilikia, mo Maaseia ʻi hono nima toʻomataʻu; pea ʻi hono toʻohema, ko Pitaia, mo Misaeli, mo Melikia, mo Hasumi, mo Hasipatana, mo Sakalia, mo Mesulami.
10080500bd	Pea naʻe folahi ʻe Esela ʻae tohi ʻi he ʻao ʻoe kakai kotoa pē: (he naʻe māʻolunga ia ʻi he kakai kotoa pē;) pea ʻi heʻene folahi ia, naʻe tuʻu hake ai ʻae kakai kotoa pē:
10080600f3	“Pea naʻe fakafetaʻi ʻe Esela kia Sihova, ko e ʻOtua lahi.” Pea naʻe tali ʻe he kakai kotoa pē, “ʻEmeni, ʻEmeni,” ʻo hiki hake honau nima: pea naʻa nau punou hifo honau ʻulu, ʻo hū kia Sihova mo honau mata ki he kelekele.
1008070109	Pea ko Sesua foki mo Pani, mo Selepea, mo Samini, mo ʻAkupi, mo Sapitei, mo Hotisa, mo Maaseia, mo Kilita, mo ʻAsalia, mo Sosapati, mo Hanani, mo Pelaia, mo e kau Livai, naʻa nau ako ki he kakai ke nau ʻilo ʻae fono pea naʻe tutuʻu ʻae kakai ʻi honau potu:
100808009d	Ko ia naʻa nau lau fakapatonu ʻi he tohi ʻi he fono ʻae ʻOtua, mo fakamatala hono ʻuhinga, pea akonakiʻi ʻakinautolu ke ʻilo hono ʻuhinga ʻoe lau.
1008090168	Pea ko Nehemaia, ʻaia ko e ʻeiki pule, mo Esela ko e taulaʻeiki mo e tangata tohi, mo e kau Livai ʻaia naʻe akonakiʻi ʻae kakai, naʻa nau lau ki he kakai kotoa pē, “ʻOku māʻoniʻoni ʻae ʻaho ni kia Sihova ko homou ʻOtua: ʻoua naʻa mou mamahi, pe tangi. He naʻe tangi ʻae kakai kotoa pē, ʻi heʻenau fanongo ki he ngaahi lea ʻoe fono.”
10080a015a	Pea naʻe pehē ʻe ia kiate kinautolu, “ʻAlu ʻi homou hala, kai ʻae ngako, pea inu ʻae meʻa melie, pea fekau ke ʻave ʻae ngaahi ʻinasi kiate kinautolu ʻaia naʻe ʻikai teuteu ha meʻa ʻe taha ki ai: he ʻoku māʻoniʻoni ʻae ʻaho ni ki hotau ʻOtua: pea ʻoua naʻa mou loto mamahi: he ko e fiefia ʻa Sihova ko homou mālohi.”
10080b009d	Pea naʻe lolomi ʻe he kau Livai ʻae kakai kotoa pē, ʻo pehē, “Mou longo pe, he ʻoku māʻoniʻoni ʻae ʻaho ni: pea ʻoua foki naʻa mou mamahi.”
10080c00e6	Pea naʻe ʻalu ʻae kakai kotoa pē ʻi honau hala ke kai, mo inu, pea ke feʻaveʻaki ʻae ngaahi ʻinasi, pea ke fai ʻae fiefia lahi, ko e meʻa ʻi heʻenau ʻilo hono ʻuhinga ʻoe ngaahi lea naʻe fakapapau kiate kinautolu.
10080d00e5	Pea naʻe fakakātoa fakataha ʻi hono ua ʻoe ʻaho ʻae kau tuʻukimuʻa ʻi he mātuʻa ʻoe kakai, mo e kau taulaʻeiki, mo e kau Livai, kia Esela ko e tangata tohi, ʻio, ke nau ʻilo hono ʻuhinga ʻoe ngaahi lea ʻoe fono.
10080e00cb	Pea naʻa nau ʻilo kuo tohi ʻi he fono ʻaia naʻe fekau ʻe Sihova ʻia Mōsese, ʻo pehē ʻe nofo ʻae fānau ʻa ʻIsileli ʻi he ngaahi fale fehikitaki ʻi he kātoanga ʻo hono fitu ʻoe māhina:
10080f015c	Pea ke nau fakahā mo fanongonongo ʻi heʻenau ngaahi kolo, pea ʻi Selūsalema, ʻo pehē, “Mou ʻalu atu ki he moʻunga, pea fetuku mei ai ʻae ngaahi ʻuluʻi ʻolive, mo e ʻuluʻi paini, mo e ngaahi maile, mo e ngaahi vaʻa ponga, mo e ngaahi vaʻa ʻakau matolutolu, ke ngaohiʻaki ʻae ngaahi falefehikitaki, ʻo hangē ko ia kuo tohi.”
1008100131	Ko ia naʻe ʻalu atu ai ʻae kakai, ʻo fetuku ia, pea naʻe ngaohi ʻaki ʻae ngaahi tuʻu fale, ʻo taki taha ki he tuʻa fale ʻo hono fale, pea ʻi honau ngaahi loto ʻā, pea mo e lotoʻā ʻoe fale ʻoe ʻOtua, pea ʻi he hala lahi ʻoe matapā vai, pea ʻi he hala lahi ʻoe matapā ʻo ʻIfalemi.
100811015b	Pea ko e fakataha kotoa pē ʻokinautolu naʻe toe haʻu mei he pōpula, naʻa nau ngaohi honau ngaahi tuʻu fale, pea nofo ʻi he malu ʻoe ngaahi tuʻu fale: he ʻoku talu mei he ngaahi ʻaho ʻo Siosiua ko e foha ʻo Nuni ʻo aʻu ki he ʻaho ko ia naʻe ʻikai fai pehē ʻe he fānau ʻa ʻIsileli. Pea naʻe ʻi ai ʻae fiefia lahi ʻaupito.
1008120117	Pea naʻa ne lau ʻi he tohi ʻoe fono ʻoe ʻOtua ʻi he ʻaho hokohoko pe, mei he ʻuluaki ʻaho ʻo aʻu ki he ʻaho ki mui. Pea naʻa nau fai ʻae kātoanga ʻi he ʻaho ʻe fitu; pea ʻi hono valu ʻoe ʻaho naʻe ʻi ai ʻae fakakātoa molumalu, ʻo fakatatau mo hono anga.
10090100b4	Pea ko eni ʻi hono uofulu mā fā ʻoe ʻaho ʻoe māhina ni naʻe kātoa fakataha ʻae fānau ʻa ʻIsileli ʻi he ʻaukai, mo e ngaahi kofu tauangaʻa naʻe pani ʻaki ʻae efu.
10090200a7	Pea naʻe fakamavae ʻakinautolu ʻe he hako ʻo ʻIsileli mei he kakai muli kotoa pē, ʻonau tuʻu ʻo vete ʻenau ngaahi angahala, mo e hia ʻa ʻenau ngaahi tamai.
10090300d8	Pea naʻa nau tuʻu hake ʻi honau potu, pea lau ʻi he tohi ʻoe fono ʻa Sihova ko honau ʻOtua, ʻi hono vahe fā ʻe taha ʻoe ʻaho; pea ʻi hono vahe ʻe taha naʻa nau vete, pea hū kia Sihova ko honau ʻOtua.
10090400c8	Pea naʻe tuʻu hake ki he tuʻunga ʻae kau Livai, ko Sesua, mo Pani, mo Katimieli, mo Sepania, mo Puni, mo Selepea, mo Pani, mo Kinani, ʻonau tangi ʻaki ʻae leʻo lahi kia Sihova ko honau ʻOtua.
100905016d	Pea pehē ai ʻe he kau Livai, ko Sesua, mo Katimieli, mo Pani, mo Hasapenia, mo Selepea, mo Hotisa, mo Sepania, mo Pitaia, “Tuʻu ki ʻolunga pea fakafetaʻi kia Sihova ko homou ʻOtua ke taʻengata, pea taʻengata: pea fakafetaʻi ki ho huafa ʻoku nāunauʻia, ʻaia kuo fakahikihiki he māʻolunga lahi ʻi he ngaahi fakafetaʻi kotoa pē mo e fakaongo lelei.
100906015e	Ko koe, ʻio, ko koe pe, ko Sihova tokotaha pe: naʻa ke fakatupu ʻae langi, ko e langi ʻoe ngaahi langi, mo honau ngaahi tokolahi kotoa pē, ʻae fonua mo e ngaahi meʻa kotoa pē ʻoku ʻi ai, ko e ngaahi tahi, mo ia kotoa pē ʻoku ʻi ai, pea ʻoku ke fakatolonga ʻakinautolu kotoa pē; pea ʻoku hū kiate koe ʻae ngaahi tokolahi ʻoe langi.
1009070099	Ko koe ko Sihova ko e ʻOtua, naʻa ke fili ʻa ʻEpalame, mo ke ʻomi ia kituaʻā mei Ua ʻoe kakai Kalitia, pea naʻa ke fakahingoa ia ko ʻEpalahame;
100908014f	Pea naʻa ke ʻilo hono loto naʻe angatonu ʻi ho ʻao, mo ke fai ʻae fuakava mo ia ke foaki ʻae fonua ʻoe kakai Kēnani, mo e kakai Heti, mo e kakai ʻAmoli, mo e kakai Pelesi, mo e kakai Sepusi, mo e kakai Keakasa, ʻoku ou pehē ke foaki ia ki hono hako, pea kuo ke fakahoko ʻa hoʻo ngaahi folofola: he ʻoku ke māʻoniʻoni:
100909007b	Naʻa ke mamata ki he ngaahi mamahi ʻo ʻemau ngaahi tamai ʻi ʻIsipite, mo ke ongoʻi ʻenau tangi ʻi he Tahi Kulokula;
10090a0126	Pea naʻa ke fakahā ʻae ngaahi fakaʻilonga mo e ngaahi mana kia Felo, pea ki heʻene kau tamaioʻeiki kotoa pē, pea ki he kakai kotoa pē ʻo hono fonua: he naʻa ke ʻiloʻi ʻenau fai fakafiefielahi kiate kinautolu. Ko ia naʻa ke maʻu ai ʻae huafa moʻou, ʻo hangē ko ia he ʻaho ni.
10090b00cf	Pea naʻa ke vaeua ʻae tahi ʻi honau ʻao, ko ia naʻa nau ʻalu ai ʻi he kelekele mōmoa ʻi he loto tahi: pea naʻa ke lī honau kau fakatanga ki he loloto, ʻo hangē ha maka ki he ngaahi tahi mālohi.
10090c00b1	Pea naʻa ke taki ʻakinautolu ʻi he ʻaho ʻaki ʻae pou ʻao; pea ʻi he poʻuli ʻaki ʻae pou afi ke tuku ha maama kiate kinautolu ʻi he hala ʻoku totonu ke nau ʻalu ai.
10090d00e9	Pea naʻa ke ʻalu hifo foki ki he moʻunga ko Sainai, mo ke folofola kiate kinautolu mei he langi, mo ke foaki kiate kinautolu, ʻae ngaahi fakamaau totonu, mo e ngaahi fono moʻoni, ʻae ngaahi tuʻutuʻuni lelei mo e ngaahi fekau:
10090e00bf	Mo ke fakaʻilo kiate kinautolu ho ʻaho tapu māʻoniʻoni, mo ke fekau kiate kinautolu ʻae ngaahi fekau, mo e tuʻutuʻuni, mo e ngaahi fono, ʻi he nima ʻo Mōsese ko hoʻo tamaioʻeiki;
10090f00fb	Mo ke foaki kiate kinautolu ʻae mā mei he langi ʻi heʻenau fiekai, mo ke fakatupu ʻae vai mei he maka ʻi heʻenau fieinu, mo ke fakaʻilo kiate kinautolu ke nau ʻalu ʻo hoko ʻo maʻu ʻae fonua ʻaia naʻa ke fuakava ke foaki kiate kinautolu.
100910008b	Ka naʻe fai fakafiefielahi ʻekinautolu, mo ʻemau ngaahi tamai, ʻo fakafefeka honau kia, pea naʻe ʻikai tokanga ki hoʻo ngaahi fekau,
10091101b3	Pea naʻa nau talangataʻa, pea naʻe ʻikai tokanga ki hoʻo ngaahi mana ʻaia naʻa ke fai ʻi honau haʻohaʻonga; ka naʻa nau fakafefeka honau kia, pea ʻi heʻenau angatuʻu naʻa nau tuʻutuʻuni hanau ʻeiki ke nau foki ki heʻenau nofo pōpula; ka ko e ʻOtua koe ʻoku ke tali teu ke fakamolemole, ʻoku ke angalelei mo angaʻofa, ʻoku tuai ho houhau, pea ʻoku ke angalelei lahi pea naʻe ʻikai te ke liʻaki ʻakinautolu.
10091200bf	‌ʻIo, hili ʻenau ngaohi maʻanautolu ʻae ʻuhiki pulu [koula] naʻe haka, ʻonau pehē, Ko ho ʻOtua eni ʻaia naʻe ʻomi koe mei ʻIsipite, ʻonau fai ʻae ngaahi ʻahiʻahi kovi lahi:
1009130138	Ka ko koe ʻi hoʻo ngaahi angaʻofa lahi naʻe ʻikai te ke liʻaki ʻakinautolu ʻi he toafa: naʻe ʻikai hiki meiate kinautolu ʻae pou ʻoe ʻao ʻi he ʻaho, ke tataki ʻakinautolu ʻi he hala: pe ko e pou afi ʻi he pō, ke fakahā ʻae maama kiate kinautolu, mo e hala ʻaia ʻoku totonu ke nau ʻalu ai.
10091400c6	Pea naʻa ke foaki foki ʻa ho laumālie lelei ke akonakiʻi ʻakinautolu, pea naʻe ʻikai te ke taʻofi hoʻo mana mei honau ngutu, pea naʻa ke foaki ʻae vai kiate kinautolu ʻi heʻenau fieinu.
10091500e5	‌ʻIo, naʻa ke tokoni ʻakinautolu ʻi he toafa, ʻi he taʻu ʻe fāngofulu, ko ia naʻe ʻikai te nau masiva ʻi ha meʻa ʻe taha; naʻe ʻikai fakaʻaʻau ʻo motuʻa honau ngaahi kofu, pea naʻe ʻikai fufula honau vaʻe.
1009160103	Pea naʻa ke foaki foki kiate kinautolu ʻae ngaahi puleʻanga, mo e kakai, mo ke vaheʻi ʻakinautolu ki he ngaahi vāhenga [fonua]: ko ia naʻa nau maʻu ai ʻae fonua ʻo Sihoni, mo e fonua ʻoe tuʻi ʻo Hesiponi, mo e fonua ʻo Oki ko e tuʻi ʻo Pesani.
10091700d6	Pea naʻa ke fakatokolahi ʻenau fānau ʻo hangē ko e ngaahi fetuʻu ʻoe langi, pea naʻa ke ʻomi ʻakinautolu ki he fonua, ʻaia naʻa ke fakaʻilo ki heʻenau ngaahi tamai, ʻaia ke nau ʻalu ki ai ʻo maʻu.
1009180116	Ko ia naʻe ʻalu ki ai ʻae fānau ʻo [nau] maʻu ʻae fonua, pea naʻa ke fakavaivai ʻae kakai ʻoe fonua, ko e kakai Kēnani, ʻi honau ʻao, mo ke foaki ʻakinautolu ki honau nima, mo honau ngaahi tuʻi, mo e kakai ʻoe fonua, koeʻuhi ke nau fai ʻenau faʻiteliha ki ai.
1009190163	Pea naʻa nau kapasi ʻae ngaahi kolo mālohi, mo e fonua mahu, ʻonau maʻu ʻae ngaahi fale naʻe fonu ʻi he ngaahi meʻa kotoa pē, mo e ngaahi vaikeli, mo e ngaahi ngoue vaine, mo e ngoue ʻolive, mo e ngaahi ʻakau fua lahi ʻaupito: ko ia naʻa nau kai, pea mākona, pea hoko ʻo sino, ʻonau fakafiemālieʻi ʻakinautolu ʻi hoʻo angalelei lahi.
10091a00f3	Ka ko e moʻoni naʻa [nau] fai talangataʻa, pea angatuʻu kiate koe, pea liʻaki hoʻo fono ki honau tuʻa, ʻonau tāmateʻi hoʻo kau palōfita naʻe valoki ʻakinautolu ke nau tafoki kiate koe, mo nau fai ʻae ngaahi ʻahiʻahi kovi lahi.
10091b017e	Ko ia naʻa ke tukuange ai ʻakinautolu ki he nima ʻo honau ngaahi fili, ʻaia naʻa nau fakamamahiʻi ʻakinautolu: pea ʻi he kuonga ʻo ʻenau mamahi, ʻi heʻenau tangi kiate koe, naʻa ke ongoʻi ʻakinautolu mei langi; pea naʻa ke foaki kiate kinautolu, ʻo taau mo hoʻo ngaahi angaʻofa, ʻae ngaahi fakamoʻui, ʻaia naʻa nau moʻui ai mei he nima ʻo honau ngaahi fili.
10091c016d	Kae hili ʻenau maʻu ʻae fiemālie, naʻa nau toe fai kovi ʻi ho ʻao: ko ia naʻa ke tuku ai ʻakinautolu ki he nima ʻo honau ngaahi fili, pea naʻa nau hoko ai ʻo pule kiate kinautolu: ka ʻi heʻenau tafoki, ʻo tangi kiate koe, naʻa ke ongoʻi ʻakinautolu mei langi; pea naʻe liunga lahi hoʻo fakamoʻui ʻakinautolu ʻo taau mo hoʻo ngaahi angaʻofa;
10091d0164	Pea naʻa ke takitalaʻi ʻakinautolu, koeʻuhi ke ke toe ʻomi ʻakinautolu ki hoʻo fono: ka naʻa nau fai fakafiefielahi, pea ʻikai tokanga ki hoʻo ngaahi fekau, ka naʻa nau fai angahala ki hoʻo ngaahi fakamaau, (ʻaia kapau ʻe fai ia ʻe ha tangata, ʻe moʻui ai ia:) ʻonau kalofaki honau uma, pea fakakekeva honau kia, pea naʻe ʻikai tokanga.
10091e0110	Ka naʻa ke kātakiʻi ʻakinautolu ʻi he ngaahi taʻu lahi, pea naʻa ke fakaʻilo kiate kinautolu ʻenau kovi, ʻi ho laumālie ʻi hoʻo kau palōfita: ka naʻe ʻikai te nau tokanga: ko ia naʻa ke fakatukutukuʻi ʻakinautolu ki he nima ʻoe kakai ʻoe ngaahi fonua.
10091f009c	Ka koeʻuhi ko hoʻo angaʻofa lahi naʻe ʻikai te ke fakaʻauha ʻaupito ʻakinautolu, pe liʻaki ʻakinautolu; he ko e ʻOtua angalelei mo angaʻofa koe.
10092001dc	Pea ko eni, ʻE homau ʻOtua, ko e ʻOtua lahi, mo mālohi, mo fakamanavahē, ʻa koe ʻoku ke tauhi ʻae fuakava mo e angaʻofa, ʻoua naʻa hangē ia ko ha meʻa siʻi kiate koe, ʻae ngaahi mamahi kotoa pē ʻaia kuo hoko kiate kimautolu, pea ki homau ngaahi tuʻi, ki homau houʻeiki, pea ki homau kau taulaʻeiki, pea ki homau kau palōfita, pea ki heʻemau ngaahi tamai, pea ki he kakai kotoa pē, talu ʻae kuonga ʻoe ngaahi tuʻi ʻo ʻAsilia ʻo aʻu ki he ʻaho ni.
1009210097	Ka ko e moʻoni ʻoku ke tonuhia koe ʻi he meʻa kotoa pē kuo fakahoko kiate kimautolu: he kuo ke fai totonu koe, ka naʻe fai angakovi ʻakimautolu:
10092200f6	Pea naʻe ʻikai tauhi hoʻo fono ʻe homau ngaahi tuʻi, mo homau ngaahi houʻeiki, mo homau kau taulaʻeiki, pe ko ʻemau ngaahi tamai, pe tokanga ki hoʻo ngaahi fekau, mo hoʻo ngaahi tuʻutuʻuni, ʻaia naʻa ke valoki ʻaki kiate kinautolu.
1009230100	He naʻe ʻikai te nau tauhi koe ʻi honau puleʻanga, pea ʻi he ngaahi angalelei ʻaia naʻa ke foaki kiate kinautolu, pea ʻi he fonua lahi mo mahu ʻaia naʻa ke foaki kiate kinautolu, pea naʻe ʻikai te nau tafoki mei heʻenau ngaahi ngāue angakovi.
10092400ce	Vakai, ko e kau tamaioʻeiki ʻakimautolu he ʻaho ni, pea ko e fonua ʻaia naʻa ke foaki ki heʻemau ngaahi tamai ke nau kai hono fua ʻo ia mo hono lelei, vakai ko e kau tamaioʻeiki ʻakimautolu ʻi ai:
