0100000018	ഉല്പത്തി
17190201a1	നീ ശത്രുകളുടെ നഗരത്തെ കല്ക്കുന്നും ഉറപ്പുള്ള പട്ടണത്തെ ശൂന്യവും അന്യന്മാരുടെ കൊട്ടാരങ്ങളെ നഗരമല്ലാത്തവിധവും ആക്കിത്തീർത്തു; അത് ഒരുനാളും പണിയുകയില്ല.
17190300f4	അതുകൊണ്ട് ബലമുള്ള ജനം നിന്നെ മഹത്ത്വപ്പെടുത്തും; ഭയങ്കരജനതകളുടെ പട്ടണം നിന്നെ ഭയപ്പെടും.
1719040215	ഭയങ്കരന്മാരുടെ ചീറ്റൽ മതിലിന്‍റെ നേരെ കൊടുങ്കാറ്റുപോലെ അടിക്കുമ്പോൾ, നീ എളിയവന് ഒരു ദുർഗ്ഗവും ദരിദ്രന് അവന്‍റെ കഷ്ടത്തിൽ ഒരു കോട്ടയും കൊടുങ്കാറ്റിൽ ഒരു ശരണവും ഉഷ്ണത്തിൽ ഒരു തണലും ആയിരിക്കുന്നു.
171905019b	വരണ്ട നിലത്തിലെ ഉഷ്ണത്തെപ്പോലെ നീ അന്യന്മാരുടെ ആരവത്തെ അടക്കിക്കളയുന്നു; മേഘത്തിൻ്റെ തണൽകൊണ്ട് ഉഷ്ണം എന്നപോലെ ഭയങ്കരന്മാരുടെ പാട്ട് ഒതുങ്ങിപ്പോകും.
1719060249	സൈന്യങ്ങളുടെ യഹോവ ഈ പർവ്വതത്തിൽ സകലജനതകൾക്കും മൃഷ്ടഭോജനങ്ങൾകൊണ്ടും മട്ടൂറിയ വീഞ്ഞുകൊണ്ടും ഒരു വിരുന്നു കഴിക്കും; മേദസ്സു നിറഞ്ഞ മൃഷ്ടഭോജനങ്ങൾകൊണ്ടും മട്ടു നീക്കി തെളിച്ചെടുത്ത വീഞ്ഞുകൊണ്ടുമുള്ള വിരുന്നു തന്നെ.
171907012b	സകലവംശങ്ങൾക്കും ഉള്ള മൂടുപടവും സകലജനതകളുടെയും മേൽ കിടക്കുന്ന മറവും അവൻ ഈ പർവ്വതത്തിൽവച്ചു നശിപ്പിച്ചുകളയും.
1719080251	അവൻ മരണത്തെ സദാകാലത്തേക്കും നീക്കിക്കളയും; യഹോവയായ കർത്താവ് സകലമുഖങ്ങളിലും നിന്നു കണ്ണുനീർ തുടയ്ക്കുകയും തന്‍റെ ജനത്തിന്‍റെ നിന്ദ സകലഭൂമിയിലുംനിന്നു നീക്കിക്കളയുകയും ചെയ്യും. യഹോവയല്ലയോ അരുളിച്ചെയ്തിരിക്കുന്നത്.
1719090203	ആ നാളിൽ: “ഇതാ, നമ്മുടെ ദൈവം; അവനെയാകുന്നു നാം കാത്തിരുന്നത്; അവൻ നമ്മെ രക്ഷിക്കും; അവൻ തന്നെ യഹോവ; അവനെയത്രേ നാം കാത്തിരുന്നത്; അവന്‍റെ രക്ഷയിൽ നമുക്ക് ആനന്ദിച്ചു സന്തോഷിക്കാം” എന്നു അവർ പറയും.
17190a0195	യഹോവയുടെ കൈ ഈ പർവ്വതത്തിൽ ആവസിക്കുമല്ലോ; എന്നാൽ വൈക്കോൽ ചാണകക്കുഴിയിലെ വെള്ളത്തിൽ ഇട്ടു ചവിട്ടുന്നതുപോലെ മോവാബ് സ്വസ്ഥാനത്തുതന്നെ മെതിക്കപ്പെടും.
17190b018a	നീന്തുന്നവൻ നീന്തുവാൻ കൈ നീട്ടുന്നതുപോലെ മോവാബ് അതിന്‍റെ നടുവിൽ കൈ നീട്ടും; എങ്കിലും അവന്‍റെ അഹങ്കാരവും കൈമിടുക്കും അവിടുന്ന് താഴ്ത്തിക്കളയും.
17190c00fa	നിന്‍റെ ഉറപ്പും ഉയരവും ഉള്ള മതിലുകളെ അവിടുന്ന് താഴെ നിലത്തു തള്ളിയിട്ടു പൊടിയാക്കിക്കളയും.
171a010169	ആ നാളിൽ അവർ യെഹൂദാദേശത്ത് ഈ പാട്ടുപാടും: നമുക്കു ബലമുള്ള ഒരു പട്ടണം ഉണ്ട്; അവിടുന്ന് രക്ഷയെ മതിലുകളും കൊത്തളങ്ങളും ആക്കി വയ്ക്കുന്നു.
171a0200d6	വിശ്വസ്തത കാണിക്കുന്ന നീതിയുള്ള ജനത പ്രവേശിക്കേണ്ടതിനു വാതിലുകളെ തുറക്കുവിൻ.
171a0300fb	സ്ഥിരമാനസൻ നിന്നിൽ ആശ്രയം വച്ചിരിക്കുകകൊണ്ടു അവിടുന്നു അവനെ പൂർണ്ണസമാധാനത്തിൽ കാക്കുന്നു.
171a0400cf	യഹോവയാം യാഹിൽ ശാശ്വതമായ ഒരു പാറ ഉള്ളതിനാൽ യഹോവയിൽ എന്നേക്കും ആശ്രയിക്കുവിൻ.
171a05013b	യഹോവ ഉയരത്തിൽ വസിക്കുന്നവരെ ഉന്നതനഗരത്തെതന്നെ താഴ്ത്തി തള്ളിയിട്ടു നിലംപരിചാക്കി പൊടിയിൽ ഇട്ടുകളഞ്ഞിരിക്കുന്നു.
171a0600d2	കാൽ അതിനെ ചവിട്ടിക്കളയും; എളിയവരുടെ കാലുകളും ദരിദ്രന്മാരുടെ കാലടികളും തന്നെ.
171a0700de	നീതിമാന്‍റെ വഴി ചൊവ്വുള്ളതാകുന്നു; അങ്ങ് നീതിമാന്‍റെ പാതയെ ചൊവ്വായി നിരത്തുന്നു.
171a0801bf	അതേ, യഹോവേ, അങ്ങേയുടെ ന്യായവിധികളുടെ പാതയിൽ ഞങ്ങൾ അങ്ങയെ കാത്തിരിക്കുന്നു; അങ്ങേയുടെ നാമത്തിനായിട്ടും അങ്ങേയുടെ സ്മരണയ്ക്കായിട്ടും ഞങ്ങളുടെ ഉള്ളം വാഞ്ഛിക്കുന്നു.
171a090215	എന്‍റെ ഉള്ളംകൊണ്ട് ഞാൻ രാത്രിയിൽ നിന്നെ ആഗ്രഹിച്ചു; എന്‍റെ ഉള്ളിൽ എന്‍റെ ആത്മാവുകൊണ്ടുതന്നെ ഞാൻ ജാഗ്രതയോടെ അങ്ങയെ അന്വേഷിക്കും; അങ്ങേയുടെ ന്യായവിധികൾ ഭൂമിയിൽ നടക്കുമ്പോൾ ഭൂവാസികൾ നീതി പഠിക്കും.
171a0a015b	ദുഷ്ടനു കൃപ കാണിച്ചാലും അവൻ നീതി പഠിക്കുകയില്ല; നേരുള്ള ദേശത്ത് അവൻ അന്യായം പ്രവർത്തിക്കും; യഹോവയുടെ മഹത്ത്വം അവൻ കാണുകയുമില്ല.
171a0b0206	യഹോവേ, അവിടുത്തെ കൈ ഉയർന്നിരിക്കുന്നു; അവരോ കാണുന്നില്ല; എങ്കിലും ജനത്തെക്കുറിച്ചുള്ള അവിടുത്തെ തീക്ഷ്ണത അവർ കണ്ടു ലജ്ജിക്കും; അവിടുത്തെ ശത്രുക്കളെ ദഹിപ്പിക്കുന്ന തീ അവരെ ദഹിപ്പിച്ചുകളയും.
171a0c0165	യഹോവേ, അങ്ങ് ഞങ്ങൾക്കായിട്ടു സമാധാനം നിയമിക്കും; ഞങ്ങളുടെ സകലപ്രവൃത്തികളെയും അങ്ങ് ഞങ്ങൾക്കുവേണ്ടി നിവർത്തിച്ചിരിക്കുന്നുവല്ലോ.
171a0d01c2	ഞങ്ങളുടെ ദൈവമായ യഹോവേ, അങ്ങല്ലാതെ വേറെ കർത്താക്കന്മാർ ഞങ്ങളുടെമേൽ കർത്തൃത്വം നടത്തിയിട്ടുണ്ട്; എന്നാൽ അങ്ങയെ മാത്രം, അവിടുത്തെ നാമത്തെ തന്നെ, ഞങ്ങൾ സ്വീകരിക്കുന്നു.
171a0e01a8	മരിച്ചവർ ജീവിക്കുന്നില്ല; മൃതന്മാർ എഴുന്നേല്ക്കുന്നില്ല; അതിനായിട്ടല്ലയോ നീ അവരെ സന്ദർശിച്ച് സംഹരിക്കുകയും അവരുടെ ഓർമ്മയെ അശേഷം ഇല്ലാതാക്കുകയും ചെയ്തത്.
171a0f01bb	അങ്ങ് ജനത്തെ വർദ്ധിപ്പിച്ചു; യഹോവേ, ജനത്തെ അങ്ങ് വർദ്ധിപ്പിച്ചു; അങ്ങ് മഹത്ത്വപ്പെട്ടിരിക്കുന്നു; ദേശത്തിന്‍റെ അതിരുകളെയെല്ലാം അങ്ങ് വിസ്താരമാക്കിയിരിക്കുന്നു.
171a100124	യഹോവേ, കഷ്ടതയിൽ അവർ അവിടുത്തെ നോക്കുകയും അങ്ങേയുടെ ശിക്ഷ അവർക്ക് തട്ടിയപ്പോൾ പ്രാർത്ഥന കഴിക്കുകയും ചെയ്തു.
171a11014e	യഹോവേ, പ്രസവം അടുത്തിരിക്കുന്ന ഗർഭിണി നോവുകിട്ടി തന്‍റെ വേദനയിൽ നിലവിളിക്കുന്നതുപോലെ ഞങ്ങൾ അങ്ങേയുടെ മുമ്പാകെ ആയിരുന്നു.
171a1201af	ഞങ്ങൾ ഗർഭംധരിച്ചു നോവുകിട്ടി പ്രസവിച്ചപ്പോൾ, കാറ്റിനെ പ്രസവിച്ചതുപോലെ ആയിരുന്നു; ദേശത്ത് ഒരു വിടുതലും ഞങ്ങൾ കൊണ്ടുവന്നിട്ടില്ല; ഭൂവാസികൾ പിറന്നുവീണതുമില്ല.
171a130203	അവിടുത്തെ മൃതന്മാർ ജീവിക്കും; എന്‍റെ ശവങ്ങൾ എഴുന്നേല്‍ക്കും; പൊടിയിൽ കിടക്കുന്നവരേ, ഉണർന്നു ഘോഷിക്കുവിൻ; നിന്‍റെ മഞ്ഞ് പ്രഭാതത്തിലെ മഞ്ഞുപോലെ ആയിരിക്കുന്നു; ഭൂമി മരിച്ചവരെ പുറംതള്ളുമല്ലോ.
171a14013a	എന്‍റെ ജനമേ, വന്നു നിന്‍റെ അറകളിൽ കടന്നു വാതിലുകൾ അടയ്ക്കുക; ക്രോധം കടന്നുപോകുവോളം അല്പനേരത്തേക്ക് ഒളിച്ചിരിക്കുക.
171a1501f6	യഹോവ ഭൂവാസികളെ അവരുടെ അകൃത്യം നിമിത്തം ശിക്ഷിക്കുവാൻ തന്‍റെ സ്ഥലത്തുനിന്ന് ഇതാ വരുന്നു. ഭൂമി താൻ കുടിച്ച രക്തം മുഴുവനും വെളിപ്പെടുത്തും; തന്നിലുള്ള മൃതന്മാരെ ഇനി മൂടിവയ്ക്കുകയുമില്ല.
171b0101e6	അന്നാളിൽ യഹോവ കടുപ്പവും വലിപ്പവും ബലവും ഉള്ള തന്‍റെ വാൾകൊണ്ടു വിദ്രുതസർപ്പമായ ലിവ്യാഥാനെയും വക്രസർപ്പമായ ലിവ്യാഥാനെയും ശിക്ഷിക്കും; സമുദ്രത്തിലെ മഹാസർപ്പത്തെ അവൻ കൊന്നുകളയും.
171b0200bd	അന്നു നിങ്ങൾ മനോഹരമായ ഒരു മുന്തിരിത്തോട്ടത്തെപ്പറ്റി പാട്ടുപാടുവിൻ.
171b030177	“യഹോവയായ ഞാൻ അതിനെ സൂക്ഷിക്കും; നിമിഷംപ്രതി ഞാൻ അതിനെ നനയ്ക്കും; ആരും അതിനെ നശിപ്പിക്കാതിരിക്കേണ്ടതിനു ഞാൻ അതിനെ രാവും പകലും സൂക്ഷിക്കും.
171b0401be	ക്രോധം എനിക്കില്ല; യുദ്ധത്തിൽ മുള്ളുകളും മുൾച്ചെടികളും എനിക്ക് വിരോധമായിരുന്നെങ്കിൽ കൊള്ളാമായിരുന്നു; ഞാൻ അവയുടെ നേരെ ചെന്നു അവയെ ആകപ്പാടെ ചുട്ടുകളയുമായിരുന്നു.
171b050132	അല്ലെങ്കിൽ അവൻ എന്നെ അഭയം പ്രാപിച്ച് എന്നോട് സമാധാനം ചെയ്തുകൊള്ളട്ടെ; അതേ, അവൻ എന്നോട് സമാധാനം ചെയ്തുകൊള്ളട്ടെ.”
171b06014e	വരുംകാലത്ത് യാക്കോബ് വേരൂന്നുകയും യിസ്രായേൽ തളിർത്തുപൂക്കുകയും അങ്ങനെ ഭൂതലത്തിന്‍റെ ഉപരിഭാഗം ഫലപൂർണ്ണമാവുകയും ചെയ്യും.
171b070177	യിസ്രായേലിനെ അടിച്ചവരെ അടിച്ചതുപോലെയോ യഹോവ യിസ്രായേലിനെ അടിച്ചത്? യിസ്രായേലിനെ കൊന്നവരെ കൊന്നതുപോലെയോ അവര്‍ കൊല്ലപ്പെട്ടിരിക്കുന്നത്?
171b080151	ദൈവമേ, അങ്ങ് ജനങ്ങളെ യുദ്ധത്തില്‍ പങ്കെടുപ്പിക്കുകയും പ്രവാസത്തിലയയ്ക്കുകയും ചെയ്യുന്നതിലൂടെ അവരോട് വഴക്കുണ്ടാക്കുന്നു.
171b0902c3	ഇതുകൊണ്ട് യാക്കോബിന്‍റെ അകൃത്യത്തിനു പരിഹാരം വരും; അവന്‍റെ പാപത്തെ നീക്കിക്കളഞ്ഞതിന്‍റെ ഫലമെല്ലാം ഇതാകുന്നു; അവൻ ബലിപീഠത്തിന്‍റെ കല്ല് എല്ലാം ഇടിച്ചുതകർത്ത ചുണ്ണാമ്പുകല്ലുപോലെ ആക്കുമ്പോൾ അശേരാപ്രതിഷ്ഠകളും സൂര്യസ്തംഭങ്ങളും ഇനി നിവിർന്നുനില്‍ക്കുകയില്ല.
171b0a0176	ഉറപ്പുള്ള പട്ടണം ഏകാന്തവും മരുഭൂമിപോലെ നിർജ്ജനവും ശൂന്യവും ആയിരിക്കും; അവിടെ കാളക്കിടാവു മേഞ്ഞുകിടന്ന് അവിടെയുള്ള തളിരുകൾ തിന്നുകളയും.
171b0b0257	അതിലെ കൊമ്പുകൾ ഉണങ്ങുമ്പോൾ ഒടിഞ്ഞുവീഴും; സ്ത്രീകൾ വന്ന് അത് പെറുക്കി തീ കത്തിക്കും; അത് തിരിച്ചറിവില്ലാത്ത ഒരു ജനമല്ലയോ; അതുകൊണ്ട് അവരെ നിർമ്മിച്ചവന് അവരോടു കരുണ തോന്നുകയില്ല; അവരെ മനെഞ്ഞവൻ അവർക്ക് കൃപ കാണിക്കുകയുമില്ല.
171b0c0124	ആ നാളിൽ യഹോവ നദിമുതൽ മിസ്രയീം തോടുവരെ കറ്റ മെതിക്കും; യിസ്രായേൽ മക്കളേ, നിങ്ങളെ ഓരോന്നായി പെറുക്കി എടുക്കും.
171b0d019a	അന്നാളിൽ മഹാകാഹളം ഊതും; അശ്ശൂർ ദേശത്തു നഷ്ടരായവരും മിസ്രയീംദേശത്തു പുറത്താക്കപ്പെട്ടവരും വന്നു യെരൂശലേമിലെ വിശുദ്ധപർവ്വതത്തിൽ യഹോവയെ നമസ്കരിക്കും.
171c0101ee	എഫ്രയീമിലെ മദ്യപന്മാരുടെ ഡംഭകിരീടത്തിനും വീഞ്ഞു കുടിച്ചു ലഹരിപിടിച്ചവരുടെ ഫലവത്തായ താഴ്വരയിലെ ശിരസ്സിന്മേൽ വാടിപ്പോകുന്ന പുഷ്പമായ അവന്‍റെ ഭംഗിയുള്ള അലങ്കാരത്തിനും അയ്യോ, കഷ്ടം!
171c020209	ഇതാ, ശക്തിയും ബലവുമുള്ള ഒരുവൻ കർത്താവിങ്കൽനിന്നു വരുന്നു; തകർക്കുന്ന കൊടുങ്കാറ്റോടുകൂടിയ കന്മഴപോലെയും കവിഞ്ഞൊഴുകുന്ന മഹാ ജലപ്രവാഹം പോലെയും അവിടുന്ന് അവരെ വെറുംകൈകൊണ്ടു നിലത്തു തള്ളിയിടും.
171c0300b7	എഫ്രയീമിലെ മദ്യപന്മാരുടെ ഡംഭകിരീടം അവൻ കാലുകൊണ്ടു ചവിട്ടിക്കളയും.
171c0401f3	ഫലവത്തായ താഴ്വരയിലെ ശിരസ്സിന്മേൽ വാടിപ്പോകുന്ന പുഷ്പമായ അവന്‍റെ ഭംഗിയുള്ള അലങ്കാരം ഫലശേഖരകാലത്തിനു മുമ്പ് പഴുത്തതും കാണുന്നവൻ ഉടനെ പറിച്ചുതിന്നുന്നതുമായ അത്തിപ്പഴംപോലെ ഇരിക്കും.
171c05011d	ആ നാളിൽ സൈന്യങ്ങളുടെ യഹോവ തന്‍റെ ജനത്തിന്‍റെ ശേഷിപ്പിനു മഹത്ത്വമുള്ള ഒരു കിരീടവും ഭംഗിയുള്ള ഒരു മുടിയും
171c06017e	ന്യായവിസ്താരം കഴിക്കുവാൻ ഇരിക്കുന്നവന് ന്യായത്തിന്‍റെ ആത്മാവും പട്ടണവാതില്‍ക്കൽവച്ചു പടയെ മടക്കിക്കളയുന്നവർക്കു വീര്യബലവും ആയിരിക്കും.
171c0702b4	എന്നാൽ ഇവരും വീഞ്ഞു കുടിച്ചു ചാഞ്ചാടുകയും മദ്യപിച്ച് ആടിനടക്കുകയും ചെയ്യുന്നു; പുരോഹിതനും പ്രവാചകനും മദ്യപാനം ചെയ്തു ചാഞ്ചാടുകയും വീഞ്ഞു കുടിച്ചു മത്തരാവുകയും മദ്യപിച്ച് ആടിനടക്കുകയും ചെയ്യുന്നു; അവർ ദർശനത്തിൽ പിഴച്ചു ന്യായവിധിയിൽ തെറ്റിപ്പോകുന്നു.
171c0800f3	മേശകൾ മുഴുവനും ഛർദ്ദിയും അഴുക്കുംകൊണ്ടു നിറഞ്ഞിരിക്കുന്നു; ഒരു സ്ഥലവും ശേഷിക്കുന്നില്ല.
171c090191	“ആർക്കാകുന്നു ഇവൻ പരിജ്ഞാനം ഉപദേശിക്കുവാൻ പോകുന്നത്? ആരെയാകുന്നു അവൻ പ്രസംഗം ഗ്രഹിപ്പിക്കുവാൻ പോകുന്നത്? പാലുകുടി മാറിയവരെയോ? മുലകുടി വിട്ടവരെയോ?
171c0a0171	ചട്ടത്തിന്മേൽ ചട്ടം, ചട്ടത്തിന്മേൽ ചട്ടം; സൂത്രത്തിന്മേൽ സൂത്രം, സൂത്രത്തിന്മേൽ സൂത്രം; ഇവിടെ അല്പം, അവിടെ അല്പം” എന്നു അവർ പറയുന്നു അതേ.
171c0b00dd	വിക്കിവിക്കി പറയുന്ന അധരങ്ങളാലും അന്യഭാഷയിലും അവിടുന്ന് ഈ ജനത്തോടു സംസാരിക്കും.
171c0c01d3	“ഇതാകുന്നു സ്വസ്ഥത; ക്ഷീണിച്ചിരിക്കുന്നവനു സ്വസ്ഥത കൊടുക്കുവിൻ; ഇതാകുന്നു വിശ്രമം” എന്നു അവിടുന്ന് അവരോട് അരുളിച്ചെയ്തു എങ്കിലും കേൾക്കുവാൻ അവർക്ക് മനസ്സില്ലായിരുന്നു.
171c0d0279	അതിനാൽ അവർ ചെന്നു പുറകോട്ടുവീണു തകർന്നു കുടുക്കിൽ അകപ്പെട്ടു പിടിപെടേണ്ടതിന്, യഹോവയുടെ വചനം അവർക്ക് “ചട്ടത്തിന്മേൽ ചട്ടം, ചട്ടത്തിന്മേൽ ചട്ടം, സൂത്രത്തിന്മേൽ സൂത്രം, സൂത്രത്തിന്മേൽ സൂത്രം, ഇവിടെ അല്പം അവിടെ അല്പം” എന്നു ആയിരിക്കും.
171c0e00d9	അതുകൊണ്ട് യെരൂശലേമിലെ ഈ ജനത്തെ ഭരിക്കുന്ന പരിഹാസികളേ, യഹോവയുടെ വചനം കേൾക്കുവിൻ.
171c0f0251	“ഞങ്ങൾ മരണത്തോട് സഖ്യതയും പാതാളത്തോട് ഉടമ്പടിയും ചെയ്തിരിക്കുന്നു; പ്രവഹിക്കുന്ന ബാധ കടന്നുപോകുമ്പോൾ അത് ഞങ്ങളോട് അടുത്തു വരികയില്ല; ഞങ്ങൾ ഭോഷ്കിനെ ശരണമാക്കി വ്യാജത്തിൽ ഒളിച്ചിരിക്കുന്നു” എന്നു നിങ്ങൾ പറഞ്ഞുവല്ലോ.
171c10024e	അതുകൊണ്ട് യഹോവയായ കർത്താവ് ഇപ്രകാരം അരുളിച്ചെയ്യുന്നു: “ഇതാ, ഞാൻ സീയോനിൽ ഉറപ്പുള്ള അടിസ്ഥാനമായിട്ടു ശോധനചെയ്ത കല്ലും വിലയേറിയ മൂലക്കല്ലും ആയി ഒരു അടിസ്ഥാനക്കല്ല് ഇട്ടിരിക്കുന്നു; വിശ്വസിക്കുന്നവൻ ഓടിപ്പോവുകയില്ല.
171c110174	ഞാൻ ന്യായത്തെ അളവുചരടും നീതിയെ തൂക്കുകട്ടയും ആക്കിവയ്ക്കും; കന്മഴ വ്യാജശരണത്തെ നീക്കിക്കളയും; വെള്ളം ഒളിപ്പിടത്തെ ഒഴുക്കി കൊണ്ടുപോകും.
171c1201a1	മരണത്തോടുള്ള നിങ്ങളുടെ ഉടമ്പടി ദുർബ്ബലമാകും; പാതാളത്തോടുള്ള നിങ്ങളുടെ കരാർ നിലനില്‍ക്കുകയില്ല; പ്രവഹിക്കുന്ന ബാധ കടന്നുപോകുമ്പോൾ നിങ്ങൾ തകർന്നുപോകും.
171c13018d	അത് കടന്നുപോകുമ്പോഴെല്ലാം നിങ്ങളെ പിടിക്കും; അത് രാവിലെതോറും, രാവും പകലും, കടന്നുപോകും.” അതിന്‍റെ വാർത്ത കേൾക്കുന്ന മാത്രയ്ക്കു നടുക്കം ഉണ്ടാകും.
171c140104	കിടക്ക ഒരുത്തനു നിവർന്നു കിടക്കുവാൻ നീളം പോരാത്തതും പുതപ്പ് പുതയ്ക്കുവാൻ വീതി പോരാത്തതും ആകും.
171c150265	യഹോവ തന്‍റെ പ്രവൃത്തിയെ തന്‍റെ ആശ്ചര്യപ്രവൃത്തിയെ തന്നെ, ചെയ്യേണ്ടതിനും തന്‍റെ ക്രിയയെ, തന്‍റെ അപൂർവ്വക്രിയയെ തന്നെ നടത്തേണ്ടതിനും പെറാസീംമലയിൽ എന്നപോലെ എഴുന്നേല്‍ക്കുകയും ഗിബെയോൻതാഴ്വരയിൽ എന്നപോലെ കോപിക്കുകയും ചെയ്യും.
171c16026a	അതുകൊണ്ട് നിങ്ങളുടെ ബന്ധനങ്ങൾ മുറുകിപ്പോകാതെയിരിക്കേണ്ടതിനു നിങ്ങൾ പരിഹാസികൾ ആയിരിക്കരുത്; സർവ്വഭൂമിയിലും വരുവാൻ നിർണ്ണയിച്ചിട്ടുള്ള ഒരു സംഹാരത്തെക്കുറിച്ചു ഞാൻ സൈന്യങ്ങളുടെ യഹോവയായ കർത്താവിങ്കൽനിന്നു കേട്ടിരിക്കുന്നു.
171c1700c3	ചെവിതന്ന് എന്‍റെ വാക്കു കേൾക്കുവിൻ; ശ്രദ്ധവച്ച് എന്‍റെ വചനം കേൾക്കുവിൻ.
171c180140	വിതക്കുവാൻ ഉഴുന്നവൻ ഇടവിടാതെ ഉഴുതുകൊണ്ടിരിക്കുന്നുവോ? അവൻ എല്ലായ്‌പ്പോഴും നിലം കീറി കട്ട ഉടച്ചുകൊണ്ടിരിക്കുന്നുവോ?
171c1901d1	നിലം നിരപ്പാക്കിയിട്ട് അവൻ കരിഞ്ജീരകം വിതയ്ക്കുകയും ജീരകം വിതറുകയും ഗോതമ്പ് ഉഴവു ചാലിലും യവം അതിനുള്ള സ്ഥലത്തും ചെറുഗോതമ്പ് അതിന്‍റെ അറ്റത്തും ഇടുകയും ചെയ്യുന്നില്ലയോ?
171c1a00bb	അങ്ങനെ അവന്‍റെ ദൈവം അവനെ യഥാക്രമം ഉപദേശിച്ചു പഠിപ്പിച്ചിരിക്കുന്നു.
171c1b01ce	കരിഞ്ജീരകം മെതിവണ്ടികൊണ്ടു മെതിക്കുന്നില്ല; ജീരകത്തിന്മേൽ വണ്ടിയുടെ ചക്രം ഉരുട്ടുന്നതുമില്ല; കരിഞ്ജീരകം വടികൊണ്ടും ജീരകം കോൽകൊണ്ടും തല്ലിയെടുക്കുകയത്രേ ചെയ്യുന്നത്.
171c1c01ec	മെതിക്കയിൽ ധാന്യം ചതച്ചുകളയാറുണ്ടോ? അവൻ അതിനെ എല്ലായ്‌പ്പോഴും മെതിക്കുകയും വണ്ടിയുടെ ചക്രത്തെയും കുതിരകളെയും അതിന്മേൽ തെളിക്കുകയും ചെയ്യുകയില്ലല്ലോ; അവൻ അതിനെ ചതച്ചുകളയുകയില്ല.
171c1d011f	അതും സൈന്യങ്ങളുടെ യഹോവയിങ്കൽനിന്നു വരുന്നു; അവൻ ആലോചനയിൽ അതിശയവും ജ്ഞാനത്തിൽ ഉൽകൃഷ്ടതയും ഉള്ളവനാകുന്നു.
171d010152	അയ്യോ, അരീയേലേ, അരീയേലേ! ദാവീദ് പാളയമിറങ്ങിയിരുന്ന നഗരമേ! ആണ്ടോട് ആണ്ട് കൂട്ടുവിൻ; ഉത്സവങ്ങൾ മുറയ്ക്കു വന്നുകൊണ്ടിരിക്കട്ടെ.
171d020100	എന്നാൽ ഞാൻ അരീയേലിനെ ഞെരുക്കും; ദുഃഖവും വിലാപവും ഉണ്ടാകും; അത് എനിക്ക് അരീയേലിനെപോലെ ഇരിക്കും.
171d03014a	ഞാൻ നിനക്കു വിരോധമായി ചുറ്റും പാളയമിറങ്ങി മൺകൂനകൊണ്ട് നിന്നെ ഉപരോധിക്കുകയും നിന്‍റെനേരെ കൊത്തളം ഉണ്ടാക്കുകയും ചെയ്യും.
171d0401fa	അപ്പോൾ നീ താണു, നിലത്തുനിന്നു സംസാരിക്കും; നിന്‍റെ വാക്ക് പൊടിയിൽനിന്നു പതുക്കെ വരും; വെളിച്ചപ്പാടിന്‍റെതുപോലെ നിന്‍റെ ഒച്ച നിലത്തുനിന്നു വരും; നിന്‍റെ വാക്ക് പൊടിയിൽനിന്നു ചിലയ്ക്കും.
171d05019d	നിന്‍റെ ശത്രുക്കളുടെ സംഘം നേരിയ പൊടിപോലെയും ഭയങ്കരന്മാരുടെ കൂട്ടം, പാറിപ്പോകുന്ന പതിർപോലെയും ഇരിക്കും; അത് ഒരു ക്ഷണമാത്രകൊണ്ടു പെട്ടെന്ന് സംഭവിക്കും.
171d0601b6	ഇടിമുഴക്കത്തോടും ഭൂകമ്പത്തോടും മഹാനാദത്തോടും കൂടി ചുഴലിക്കാറ്റും കൊടുങ്കാറ്റും ദഹിപ്പിക്കുന്ന അഗ്നിജ്വാലയുമായി അത് സൈന്യങ്ങളുടെ യഹോവയാൽ സന്ദർശിക്കപ്പെടും.
171d0701f6	അരീയേലിന്‍റെ നേരെ യുദ്ധം ചെയ്യുന്ന സകലജനതകളുടെയും കൂട്ടം അതിനും അതിന്‍റെ കോട്ടയ്ക്കും നേരെ യുദ്ധംചെയ്തു അതിനെ വിഷമിപ്പിക്കുന്ന ഏവരും തന്നെ, ഒരു സ്വപ്നംപോലെ, ഒരു രാത്രിദർശനംപോലെ ആകും.
171d080319	വിശന്നിരിക്കുന്നവൻ താൻ ഭക്ഷിക്കുന്നു എന്നു സ്വപ്നം കണ്ടിട്ട് ഉണരുമ്പോൾ വിശന്നിരിക്കുന്നതുപോലെയും ദാഹിച്ചിരിക്കുന്നവൻ താൻ പാനംചെയ്യുന്നു എന്നു സ്വപ്നം കണ്ടിട്ട് ഉണരുമ്പോൾ ക്ഷീണിച്ചും ദാഹിച്ചും ഇരിക്കുന്നതുപോലെയും സീയോൻ പർവ്വതത്തോടു യുദ്ധം ചെയ്യുന്ന സകലജനതകളുടെയും കൂട്ടം ആയിരിക്കും.
171d0901b6	വിസ്മയിച്ചു സ്തംഭിച്ചുപോകുവിൻ; അന്ധതപിടിച്ചു കുരുടരായിത്തീരുവിൻ; അവർ മത്തരായിരിക്കുന്നു. വീഞ്ഞുകൊണ്ടല്ലതാനും; അവർ ചാഞ്ചാടിനടക്കുന്നു; മദ്യപാനംകൊണ്ടല്ലതാനും.
