2800000013	Matiwos Dooshishiyo
2d0e0e009b	Ik keewo kiime err asaabiru ashosh keew man kima b́ wotiti bako kon naari keewonworu b́ tookon kim b́ woterawok'o taa doonzo Iyesusn t'iwintsdek' danre.
2d0e0f009b	Nee n meyiru mishi jangon ni eshush t'ugo n wotiyal shúnonaliye nbeyiri, eshe Krstos bísh b́k'irts asho n meyiru mishi jangon b́ t'afitwok'o woshk'aye.
2d0e100049	Eshe itoke sheeng keew wotts keewo k'oshuwots bok'efetuwok'o woshk'ayere.
2d0e110061	Ik' mengsto S'ayin shayiron datsetsetk kááwe, jeenonat gene'ona bako, móónat úshi keewaliye.
2d0e120056	Han jangosh Krstissh guuts wotts asho Ik'o geneúshituwe, ashoknowere údeek wotituwe.
2d0e13004d	Eshe jeenwoto bín datsetuwonat no ats atseyo bín nokup'it keewon sha'owone.
2d0e140068	Mishi jangosh Ik' fino gakk'ayone. Mish jamo s'ayine, ernmó k'osh ashosh t'ug wotitu mish móó dáree.
2d0e150093	Eshe ni eshúsh t'úg wotk'azosh meetso maak'azo, Weyinyon dútsets biro úsh k'azo, wee kon naari t'ug wotituwo fino fin k'azo sheenge b́ wotiti.
2d0e16006f	Eshe imnetiyan itnat Ik' dagots wotowe, err n amants keewo b́k'alor b́ maac'o bín b́gac'erawu asho údekee.
2d0e17008e	B́ amaneraniyere meyiru ashonmó b́ k'aliruwo imnetiyatse tuutson wot b́ k'aztsosh bíyats angshetuwe, imnetiyon k'aleraw keewu jamo morre.
2d0f01006b	No imnetiyon kúp wottswots, mawirwots kuro kurdek'o geyife bako no took mec'ro geneúshitu woto geyiratse,
2d0f020069	no took tookon k'osh asho b́ imnetiyon b́ kup'ituwok'o bín t'ak'amituwonat geneúshit keewo k'aluwone.
2d0f030089	Krstos b́ tooko geneúshratse, dab «Ashuwots neen boc'ashts c'asho ti'ats b́ oot'i» etiru S'ayn mas'aafotse eteetso bí ats b́ bodi.
2d0f040084	S'ayin mas'aafotse nodatsituwots k'amonat kup'on, noosh jángo b́beetuwok'o shin guut'ets jamo dano noosh b́ wotituwok'o guut'ere.
2d0f0500c1	Ik níbon wotde'er ik noonon Ik'o nodoonz Iyesus Krstos nihi, bín it mangitwok'o, k'amikonat angi kúp'iko Ik'o Izar Izewer Krstos Iyesus shunok'on it atsatsewo ik níbetsuwotsi woto itsh ime.
2d0f07003d	Krstos Ik' mangosh itn b́ dek'tsok'o it jamets iko iko de'e.
2d0f08009e	Hanowere t keewor Ik'o shints nihuwotssh b́ jangitso b́ wotituwok'onat Ik'o arikeewets b́ wotonwere b́ danetuwok'o Krstos ayhudiyotssh guutso wotere etee.
2d0f0900e4	Krstos ayhudiyots guutso b́ wottso k'osh jango Ik' ash woterawwots Ik'o b́ mhretiyosh bín bo údituwok'owe, hanuwere, «Eshe Ik' ash woterawwots dagotse neen udituwe, n shúútsosh dubon údo t'intsituwe» ett guut'etsok'one.
2d0f0a004d	Aaninu «It Ik' ash woterawotso, Ik' ashuwotsnton gene'owere!» ett guut'ere.
2d0f0b0062	Aaninuwere, «Ik' ash Woteraw jamwots! doonz údoore, Ash ash jamwotswere údoore!» ett guut'ere.
2d0f0c0090	Ando Isiyas, «Iseyi naarotse shuwetuwo weetuwe, Ik' ash woterawwotssho jishituwo wotar tuwituwe, boowere bojangtso biyats woshdek'etune» etfe.
2d0f0d0082	It jangtso S'ayin shayiri angon eenfere b́ ametuwok'o jangetso Izar Izewer bín it amanetsosh gene'únat jeenon s'eenon itsh ime.
2d0f0e0078	Ti eshuwotso! doo woton s'eentsuwotsi, danon gaaltsuwotsnat it ik iketsuwots k'osho izosh falituwotsi itwottsok'o danre.
2d0f0f0066	Ik ik keewwotsi itsh gawiyosh geeyat woshan Ik'o taash b́ imts s'aatok'on ááwushuk'on itsh guut're.
2d0f1000f2	Deeranuwere taash b́ime Ik'o doo shishi keewo Ik'i ashwoterawwotssh shishiyosh kahniyo wotat Krstos Iyesush finoshe, Mansh Ik' ashwoteraw ashuwotssh S'ayin shayiro S'ayintsonat Ik'onowere gene'úshit wosho wotáár bot'inetuwok'o finiruwone.
2d0f11003f	Manatse tuutson Krstos Iyesun Ik'osh fino tfaltsotse it'iruwee.
2d0f120087	Ik'i ash woterawwots bo aletwok'o woshosh Krstos ti aap'onat finatse tuutson b́ fints keewo wotiyalabako k'osho aap'osh aawo shu'atse.
2d0f130090	Hank'owere een adits milikit finuwotsn S'ayin shayiri angon Iyerusalemnat b gúúratse tuut Elwarik'oni b́ borfetso Krstos doo shishiyo danire.
2d0f14008a	Jam aawu t tewuno k'osh asho b́ agtsats dabr ago b́woterawo Krstos shutso b́ shiyerawu beyok jamok sheeng doo shishiyi keewuman daniye.
2d0f150083	Hanu, «Haniyere shinon b́ jangosh eegoru keewerawu ashuwots bek'etune, b́ jangosh shiyawwots t'iwitsitunee» ett guut'etsok'one.
2d0f160034	Manshowere itmaants twarawok'o ayoto taan baziyeree.
2d0f170080	Andomó han gúúratsi fa'a datsuwotsatse t finit beeyokuwots bo beetsotse, hank'o ay dúrosh itn s'ilosh een tewuno tdetstsotse
2d0f180098	Ispen maants t amor man weeron itn s'ilosh gawure. Muk' aawosh itnton gene'útsat tteshiyakon twerindo ttuwosh taan falit tep'o it k'alituwok'o jangere.
2d0f190044	Andomó Ik' jirwots tep'et gizo deshde'er Iyerusalem maants ametuwe.
2d0f1a008e	Hanuwere Mek'odoniyonat Ak'yiyi datsatse fa'a Ik' jirwots Iyerusalemn beyiru tugúretsuwotssh boon tep'et gizo woshosh boshunon bogawutsotsne.
2d0f1b00ad	Tep'anowere bo shunon imo boosh geyik b́wottsotsne, Ik' ash woterawots ayhudiyotsnton shayiri deero kayosh b́wotiyal boowere bomeets deeron ayhudiyotsi tep'o boosh geyife.
2d0f1c0061	Eshe ko'iyets gizan Iyerusalem maants de'am boosh t imiyakon it weeron waar Ispen maants t ameti.
2d0f1d003e	Itok twoor Krstos deero s'eenon itsh de'er tweetuwok'o danfee.
2d0f1e0084	Tieshuwotso! t jangosh Ik'o maants k'onon tmaak'oriruwo taash itdabish nodoonz Iyesus Krstosnat S'ayin shayiri shunon iti k'oniruwe.
2d0f1f009e	Ik'o taash it k'onituwere Yihud datsatsi fa'a amanerawu ashuwots kishotse farr Iyeresalemitse t detsts fiinonuwere Ik'i jirwotsoke dek'eyo b́daatsituwok'owe.
2d0f20004b	Han b́wotiyakon Ik'o bíetal geneúwon itok waarr itoke kashdek'o shunfee.
2d0f21002f	Jeeniko Izar Izewer it únetsnton wotowe! Amen.
2d10010052	Feben Knkriy kitotse Ik' moowosh finiru nomish amanetsu b wottsok'o it dano geefe.
2d100200ab	Bi taanat k'osh ay ashuwotsi b tep'iruwotse amants ibuwotsi ibiyo boosh b́ wotituwok'o doonzo shútson de'er bish geyit keewo jamon bin it tep'etuwok'o oona itsh etiruwe.
2d10030052	Iyesus Krstos fino finiruwotsnton ik wottsuwots P'rsk'lnat Ak'ilnsh jamo keewwere,
2d100400ae	boowere t shegro k'iroshoru dab k'andek'kne boteshi, hann boon jam aawosh úditwe, t s'uzi b́ woterawo Ik' ashwoteraw krstani woto maants aants Ik' moowwotsworu it údirune.
2d1005008e	Bo moots Ik' k'onosh kakuwets amantsuwotssh jamo t'intsuwere. Isiyi dats kayatse shini Krstosn amantsonat tshuntso Ep'enet'ossh jamo keewwere.
2d10060033	Itsh ayidek'at maawutsu Mariyamsh jamo t'intsuwere.
2d100700a0	Taanton tipeyat teshts woshetswotsitsere daneets teshts ayhudiyots jaagúwots Andronik'osnat Yuniyassh jamo t'intsuwere, boowere taayere shine Krstosi bo amani.
2d10080032	Doonzon tshúntso Amp'ilyat'ossh jamo t'intsuwere,
2d10090051	Krstos finon noonton ik wottso Úrbanosnat tshúntso Ist'akussh jamo t'intsuwere.
2d100a0081	Krstosk b́ wottsotse fadeyat bíere bísh gawetso Ap'elissh jamo t'intsuwere, Arst'obulos maa ash wottsuwotssh jamo t'intsuwere.
2d100b0072	Ayhudiyotse t jago Herodiyonsh jamo t'intsuwere, Narsises maa ashuwotsitse Doonzon amantsuwotssh jamo t'intsuwere.
2d100c00a3	Doonzosh finon ayidek't maawirwotssh Trufaynnat Trufolsh jamo t'intsuwere. Doonzo finon ayidek'at mááwtsunat Krstosn ayidek'at tshunts Persissh jamo t'intsuwere.
2d100d0071	Doonzosh finon ayidek't danetso Rufossh jamo t'intsuwere, taan b naayikok'o shunfu b́ indshowre jamo t'intswere.
2d100e0063	Asnkritosnat Flegonsh, Hermesmsh, Patrobasmsh, Hermasmsh, bonton fa'a eshúwotssh jamo t'intsuwere.
2d100f0082	Filologossh, Yulyash, Neryanat b́ mishsh jamo t'intsuwere, hank'o Olumpasnat bínton fa'a amantsuwots jamwotssh jamo t'intsuwere.
2d10100065	S'ayin jobon it atsatseyo jobeyar jamo aatewere. Krstosk wotts Ik' maa jamwots jamo itsh t'intsirune.
2d10110089	Ti eshuwotso! it dek'ts dan man k'efituwotsi wotat it dagotse k'aleyon gond bek'o dowet ashuwotsatse it atso korde'ere, boatsere wokoore!
2d10120072	Hank'o ashuwots botookosha bako Krstosshaliye bo finiri. Bonono shaawshdek' dáshon garaamiwots nibo boant'elciri.
2d101300af	Doo shishi aap'osh aleets ash it wottso ash jamokere b́ danetsotse geneúk t wotwotiyaloru, sheeng keewosh dantswotsi, gond keewoshomó maac' kúp'uwotsi it wotitwok'o geefe.
2d1014006c	Jeeniko Izar Izewer káári Shed'ano it tufi shirots tiitsetwe. No Doonz Iyesus Krstos s'aato itnton wotowe.
2d10150089	T finonton ik wottso T'imotiwos jamo itsh t'intsiruwe, eshe ayhudiyotse t jag wotts Luk'iyosnat Iyason Sosip'at'roswere jamo t'intsirune.
2d1016003b	Woshhan guut'tso taawe T'ert'iyos Doonzon jamo t'intsituwe.
2d10170095	Taanat hanokere fa'a jamo Ik' moowwotsi Ibiiruwo Gayiyos jamo t'intsiruwe, kitutsi gizo detsiruwo Erast'os, no eshú K'a'rt'os jamo itsh t'intsiruwe.
2d101900c3	Taa tdaniru doo shishi keewan Iyesus Krstos jangosh beshiyeyiru woshonat yootstson aashat teshtso, andomó be'ets ari ááshts keewon Ik'onwere it imnetiyats it ned'ituwok'o iti woshosh falituwe.
2d101a008b	Andomó arikan be'ere, dúre dúrts Ik'o tzaziyon jamwots amanar bo aletwok'o Nebiywots mas'aafi weeron ash jamwots bo danetuwok'o k'alere.
2d101b0060	B́ s'uzn dani teleefo detsts Ik'o Izar Izewersh, Iyesus Krstosn dúre dúron údo wotowe! Amen.
2e0000000b	1 K'orontos
2e01010055	Ik' shunon Iyesus Krstossh wosheets wotosh s'eegetso P'awlosnat no eshu Sostensokere.
2e010200d1	K'orontos kitotse fa'a Ik' moosh, biyitsnowere Iyesus Krstosn S'ayin wotts S'ayin bowotish s'eegetswotssh, mank'owero bo be beyoke, bonat nonsh Doonz wottso no Doonz Iyesus Krstos shúútso s'eegiru jamwotssh.
2e01030047	No nihi Ik'onat Doonzo Iyesus Krstosokere s'aatonat jeenon itsh wotowe.
2e01040048	Iyesus Krtosnton s'aato itsh imetsosh it jangosh jam aawo Ik'o údituwe.
2e0105003a	Jam keewon, noon keewon wotowa danon Krstosn gaalwutserte.
2e01060033	Krstos jangosh itsh t keewts gawo itokere kúp'ere.
2e01070057	Eshe no Doonz Iyesus Krstos be'ewo koton nobefere kon naari shayiri imo itsh shapratse,
2e01080082	No doonz Iyesus Krstos aani woor eeg eeg deshawwotsi wotar nodatsetwok'o bí s'uwosh b́ borfetsosh kup'ar it beetuewk'o woshúwe.
2e01090054	B́ naay no Doonz Iyesus Krstosnton ikwoto itdetsetuwok'o itn s'eegtso Ik'o amaneke.
2e010a00aa	Ti eshuwotso! «K'alewo it dagotse b́ berawok'o, it jamets shiyeyar ik níbonat ik s'iil s'iilon kup'ar beewere,» etaat no Doonz Iyesus Krstos shúútson itn k'oniruwe.
2e010b004d	T eshuwotso! it dagotse fayo b́ beyiruwok'o K'elo'e maa ashuwotsoke shishre.
2e010c0073	Manuwere it itok tookon «Taa P'awlosk taane, taa Ap'losk taane, taa P'et'rosk taane, taa Krstosk taane» it etiri.
2e010d004d	Bére Krstos kayera? P'awlos itsh jiitera? Himó it gupe P'awlos shútsoneya?
2e010e004e	Taa K'ersp'osnat Gayyosiyere okoon ititsere konnoru t gufawotse Ik'o údituwe.
2e010f0046	Eshe «Taan P'awlos shútson guuperte» err keewosh falituwo aaliye. [
2e01100065	Arikee, Ist'ifanos maa ashuwotsi gupre, maniyere okoon k'osho taa t gupts asho b́ bewok'o gawratse.]
2e011100b6	Krstos taan b́wosh doo shishi keewo t danituwok'owa bako t gupishaliye, Krstos jiito hank'on b́ oorerawok'o doo shishi keewan tdanir ashoke daatsets dani telfi noon keewok'onaliye.
2e0112005a	B́ jiti keewo t'afit ashuwotssh darok'owe b́ taaweti, noosh kashituwotsshomó Ik' angee.
2e0113005f	«Dani telefetswots dano t'afituwe, Dani telefetswots danono ok k'aaú bazetuwe» ett guut'ere.
2e011400ac	Eshe dantso aawoke b́ fa'oni? Nem daniruwonu aawoke b́ fa'oni? Danosh geyiruwonu aawoke b́ fa'oni? Ik'o datsanatsi dani telefo eegoru bítse dandeshawok'o woshk'rerosha?
2e011500c6	Datsnatsi ashuwots bo took danitelefon Ik'o danosh bo falawok'o Ik'o b́ danon boats is'k'rere, ernmó dárok'o taaweyiru no nodaniru doo shishiy keewon amanituwots bo kashituwok'o Ik' shún wotere.
2e01160054	Ayihudiyots adits keewo bek'oshe bo geefoni, Girik ashuwotswere danitelefe bogefoni.
2e01170066	Noomó Krstos noosh b́ jitetsok'oniye no daniri, Hanuwere ayhudiyotssh t'uge, Grik ashuwotssh dáree.
2e0118005a	S'eegetswotsshomó ayhudiyotssh wotowa Grik ashuwotssh, Krstos Ik' angonat Ik' danitelefe.
2e0119006d	Ik' dára ett gaweyiru keewo ash danitelefoniyere bogfe, Ik'o maawa ett gaweyiru keewo ash kup'oniyere bogfe.
2e011a00a4	T eshuwotso! Ik'o itn b́ s'eegor awuk'o ash it wottsok'o aab gawde'ere, ash gaawiruwok'on it dagotse aywots daanetsuwots wee kúp'uwots wee een een ashuwots aalne.
2e011b0096	Ik'o dantelfetswotsi jitsiyosh datsanatse dartsok'o taawets ashuwotsi b́ marat'i, kúp'uwotsi jitsiyosh datsatse maawtsok'o taawetswotsi b́ marat'i,
2e011c008f	Ik'o datsatsi ashuwotsoke fa'ane ett be'eyiru keewwotsi bo berawok'o woshosh datsanatse dash antsonat gac'ets k'awnts deshaw keewo b́ marat'i.
2e011d004c	Hanowere b́k'al konwor asho Ik' shinatse b́ tooko dambaan b́deshawok'owe.
2e011e00b9	Itnomó Ik'o Iyesus Krstosnton ik woto it detsetwok'o b́ woshi, mansh Ik'o Iyesus Krstosn noko danitelefo bíne, noosh noko kááwo bíne, no s'ayinonat no bín nofaritwok'o b́ woshi.
2e011f0042	Eshe mas'aafotse guut'etsok'on «It'etuwo b́ beyal Ik'on id'ee.»
2e02010058	Ti eshuwotso! taa itok twoor Ik' jango itsh t gawutso, keew falonat bog dan kitsonaliye.
2e0202007c	Itnton t beyor Iyesus Krstosiyere oko dab jitats jiteyat b́ k'ironiyere k'osho eegoru tdanawok'osh k'ut'dek'atniye t teshi.
2e0203003c	Eshe itnton t beyor maawk wotat shatonat ay k'eewone tteshi.
2e0204006e	T noon keewonat nabo ash danitelefonat noon keew shawshats b́ woterawo Ik' shayiri angaats tep'ekee b́teshi.
2e0205005b	Hanowere tk'altso it imnetiyo ash danitelefats b́ woterawo ik' angaats te'ek b́ wotishee.
2e020600b1	Ernmó bo shayiri beyon katsuwotssh dantelefi aap'o keewituwone, wotowa eree nokeewitwo datsanatsi danitelefon wee s'uwatse t'afosh wotit datsan k'eeziruwots danitelefoniyaliye.
2e0207006c	No no keewiruwonmó Ik'o yoots dúroniye shinon no mangosh b́ k'anitsonat aashat teshts Ik' danitelefoniye.
2e02080071	Datsni k'eziruwitsitsere danitelefo dantso konworu aaliye, danfno wotik'ee mang wotts Doonzo jirawuk'ne b́ tshi.
2e02090072	Wotowa eree mas'aafo, «Ash ááw be'awo, Ash waaz shiyawo, Ash nib gawawo, Ik'o b́ shúntswotssh k'anire» etfe.
2e020a0087	Nooshmó Ik'o b́ shayiron aashts man kitsre, Ik' shayiro dashan wokts Ik'oke aashtsonoru b́ oreraniyere jam keewo p'ec'at b́ s'iili.
2e020b008a	Ash iko jangosh b́ took shayironiyere okoon b́ gawiruwo dantso kone? mank'o Ik' shayironiyere okoon Ik' gawiruwo dantso konuworu aaliye.
2e020c0054	Ik'oke noosh b́ imets keewo nodanish Ik' shayira bako datsanatsi shayiro de'atsone.
2e020d0089	Eshe no shayiri keewo shayiron wotts ashuwotssh no danir ashokere daatsets danitelefon b́ woterawo Ik' shayirokere daatsets dantelefone.
2e020e00d2	Ik' shayiro deshaw meets ashonmó Ik' shayiroke imeyiru imo dek'osh falatse, bí im eenonuwere p'ec'ar b́s'ilet Ik' shayiron b́wottsotse t'iwints dek'osh falatse, hanuwere bísh darok'owe woshder b́ s'ileti.
2e020f0071	Ik' shayir detsts jamonmó jam keewo p'ec'ar s'iilo falituwe, b́ took keewonomó konuwor p'ec'ar s'iilo falatse.
2e02100079	Hanu, «Doonzo gawiruwo kone danosh faliti? Bísh izosh falituwo kone?» Ett guut'etsok'one. Noomó Krstos nibo detsfone.
2e03010085	T eshuwotso! taa iti t daniyor meets asho Krstosats kúp'eraw na'i marmat'ok'o it wottsok'ona bako shayiretswotsk'o it wottsoshaliye.
2e03020097	Kúp' mish moo máá falaaw na'i marmat'ok'o it wottsotse taa itsh t maanztso ezaa bako kúp' mishaliye, andoor b́ wotiyal kúp' mish moo falrafa'ate.
2e0303007f	It andoru meets ash itne, it ats atseyo it okoreyirwotsnat it mosheyirwotse meets ash itnosha? it finirwore k'osh ashok'owosha?
2e03040058	Iko «Taa P'awlosk taane» k'osho «Taa Ap'losk taane» bí etor datsanatsi ash itnosha?
2e03050095	wotowa bako Ap'los kone? P'awlos kone? boowere it itk'alirwok'o k'alts guutsne, botook tookon bo finir Doonzo botook tookon boosh b́ eezts finoniye,
2e03060039	Taa ttooki, Ap'los aatso b́ ishi, eenshtsonmó Ik'oniye.
2e03070044	Eshe bos'man enshtso Ik'oni bako tooktsonu aats ishirwonu eegnaliye.
2e03080056	Tooktso wotowa aats ishtsonu taalne, bo took tookon bofintsok'o bo k'awntso dek'etune.
2e0309004d	No Ik'osh tohar finit guutswots noone, itmó Ik' goshonat Ik' agiru maa itne.
2e030a00a8	Ik' taash b́imts s'aatok'on maa agiru s'ekok'o agoko need'itdek'i, koshonu taa need'itsmanats bíagi, ernmó ik iko manats awuk'o bíagiruwok'o t'iwintso bísh geyife.
2e030b005e	Ikn ned'yetsmantsere okoon konuworu k'osho ned'iyosh falatse, need'yokanwere Iyesus Krstosiye.
2e030c006a	Ned'okanats awntson, wee ambaron wee k'awunts shaaw shúútson, mitoon, tootson wee buyon agetuwo b́beyal
2e030d007b	ik ik asho b́ fino b́be'et angshiy aawo weetuwe, manots aaw ik ik asho b́ fino awuk'o b́ wotok'o tawon fadere be'etuwe.
2e030e0056	Gmbi agf iko bíagtso tawon b́fadeyor mic'aniyere b́ oriyal b́ k'awntso daatsituwe.
2e030f007f	B́ fino tawon mic'r t'afitu agtsonmó t'ut'etuwe, wotoa eree bí b́tookon tawotse beshat mic'aniyere oorts ashok'o kashituwe.
2e03100046	Ik' maa it wottsok'onat Ik' shayiro ititse b́ beyiruwok'o danatsteya?
2e03110060	Eshe asho Ik' moo b́ gakal Ik'o bín gaketuwe, Ik' mooniye S'ayine, Ik' maa S'aynwotswere itne.
2e03120098	Konworu b́ tooko ant'elck'aye, datsanatse danitelefetso araar be'etwo fa'e wotiyal Ik'oki arik wottso danitelefo b́datsish b́ tooko dartsok'o taawwe.
2e03130074	Datsatsi danitelefo Ik' shinatse dáree, hanu, «Ik'o dani telefetswotsi bogond finon detsetwe» ett guut'etsok'one.
2e03140061	Hank'owere, «Doonzo dani telefetsuwots asaabiyo k'awuntso b́deshawok'o danfee» ettso guut'ere.
2e03150037	Eshe jam keewo itk b́wottsotse konworu ashon it'k'aye.
2e0316009d	P'awlosi wotowa, Ap'losi b́ wotowa, P'et'rosi wotowa, Datsan wotowa, kasho wotowa, k'iro wotowa, and beyiruwo wotowa, shuuts wetuwo wotowa, jámonwor itkee.
2e03170033	Itmó Krstos nanaúwots itne, Krstoswere Ik' na'ee.
2e04010073	Eshe ash jámo noon Krstos guutswotsi nowottsok'o Ik'oke aashtso kitso adaro boosh imetswotsk'o woshde noon taawwe.
2e0402003d	Adar dek'tswotswere amanetswotsi wotar daatsewo boosh geyife.
2e04030098	T jangosh b́wotitka wotiyal itwoor tiyats itangshiyal wee k'osh asho tiyats b́angshiyal eegonor kic'eratse, arikon taawor dab ttookats angsho falatse.
2e04040084	Taa tdantsok'oyi wotiyal tnibo taan gac'eratse, hanuwere taa s'ayin twottsok'owo kitsratse, ernmó tiyats angshituwo doonzo s'uziye.
2e040500f8	Mansh bíaawo b́ borawo, doonzo angshosh b́waftsere shino konatsor angshk'ayere, bí b́woor t'aluwotse ááshtso mist'iriyo shanomaants kishituwe, ashuwots nibotse ááshts hasabiyo kishituwe, manoor ik ikon Ik'oke bísh wotit údono daatsituwe.
2e040600e2	Eshuwwotso! iti t'ak'amosha etaat keewanats taanat Ap'losi aridek'at tkeewi, hanowere tk'al «Guut'etsatse beshk'aye» etiru izi biitso no atse it danetuwok'wa etaatniye, mansh ash ikon it'o k'oshonowere gac'o geyiratse itsha.
2e0407008d	Nee k'oshuwotsiyere eegneya nbogi? K'oshoke nde'aw keewo eebi fa'oni? Eshe jam keewo k'oshoke ndek'ka wotiyal de'aw ashok'o eegoshe n it'iri?
2e040800ce	Andere itsh geyiru keew jamo daatsrte, andere galetswotsi wotertee, no atse k'aleyat naashwtserte, arikon it naashka wotink'ere, noowere itnton toowar nonaashitwotse it naashonuwere sheenge b́wotiyank'oni,
2e040900e0	Ik'o noon b́woshtswotsi k'iro boatsats angshr bo úd'etuwoki beewok de'amet ashuwotsitse shutstsuwotsi noon b́wooshtsok'o arefee, manatse tuutso dats jamatse melakiwotsnat ashuwots shinatse miis'i mit wotatniye nobe'eyiri,
2e040a00d8	Noo Krstos jangosha etaat dogwotsi woterone, itmó Krstosn ayidek'at dantsuwotsi wotwutserte, mank'owere noo mawtswotsi woterone, itmó kup'uwotsi woterte, it mangiyeyirwotsi woterte, noomó keteyeyiruwotsi woterone.
2e040b0088	And b́ wotiyaloru and sa'atansh b́ borfetso nok'ak'iri, no shashúwiri, no aratsiri, no jot'eyiri beyoko t'út'at hake bako nojawriri.
2e040c0054	No kishon finat ango nomaawiri, noon bo c'ashor noderiri, noon bo gishor no k'amiri,
2e040d008f	noon boc'ashonat noshútso bot'afiyor maac' nefon boosh no aaniri, andish b́ borfetso datsanatse juwetsok'onat datsatse fokets kímo woterone.
2e040e0069	Taa han itsh tguut'ir shuneets tnana'úwotsk'o woshdek'at izosh gawatni bako iti jiitsiyo geyatniyaliyee.
2e040f006c	Krstosn jishiru ayuwotsi it detsalor nih ayuwotsi deshatste, taayere itn Iyesus Krstos doo shishiyon shuure.
2e04100035	Mansh tjafro sha'ar taan it arituwok'o iti k'oniruwe.
2e041100ce	Hanatse tuutson shuneetsonat amanets doonzon t naayi wottso T'imotiyosi itsh woshere, b́ be beyokenowere Ik'i maa mooke t daniyirwok'o bí taa Krstosn t daatsts handr beyon bín it jishetuwo itsh gawituwe.
2e04120059	Ernmó ititse ik ikuwots taa itn s'iilo twarawok'o boosh bí arere kofangon s'eenwtserne.
2e04130081	Ernmó doonzon tooh karn aawotse itok weetuwe, manoor kofangirwanots bo noon keew s'uzi b́woterawo bokúp' kúp'onor dano geefe.
2e04140036	Ik'i mengsto noon keewi kis' b́ woterawo Ik'i kúp'e.
2e04150073	It geyirwo eebi? Sezi gumbo de'er it maants twoo geeftee? Himo shunonat tooko dashan detsi shayiron twoone it geyi?
2e050100b4	Ititse jitsits widi fino b́beyok'o keeweyiruwe, han naari widi fino dab Ik'i ash woterawwotsoke k'alekaliye, manuwere b́ nih máátsu máátsok'o woshdek't beyiruwo fa'ee eteefe.
2e050200b2	Eshe, hank'o jitsits keewo ititse b́ befere eegoshe bognone etaat it míshiri? Maniyere dab keewanatse tuutso shiyano itsh geyiratsa? Han naari fino fints asho ititse kishuwere.
2e050300a2	Taa meetson dab itnton woto tk'azalor shayiron itntoniye tfa'oni, ar itnton tbeyiruk'o wotde'er han naari fino k'alts ashaats Doonzo Iyesus shúútson angshuwere,
2e0504004c	It kakwewor taawere nodoonz Iyesus angon it dagotse shayiron tdaatsetuwotse,
2e050500a4	Morron s'eents ashaan meetso b́ gáhituwok'o Shed'anosh imo itsh geyiyank'ee. Han it k'alitwere doonzo Iyesus angshosh b́weyi aawots ashaan kashu bkashituwok'wee.
2e05060057	Eshe it it'o shengaliye, boot' shash múk'naú boot' jamo b́ shashituwok'o danatsteya?
2e0507008b	And it wotts jamok'o boot' shasho bítse deshaw handr boot'ok'o it wotish boot'i nato ok juuk'rore, nofazigi mereer wottso Krstos shukeere,
2e0508007c	Mansh gondonat gondon s'eents boot'i shashon b́woterawo boot' shasho bítse deshaw kaawonat ari tushon nobaaliyo mangiwone.
2e0509004f	Haniyere shin itsh tguut'ts woshatse gobetswotsnton ik wotk'ayere etreb́teshi.
2e050a00d1	Han tietoorowere b́ jamon datsanatsi gobetsuwotsatse wee jaalets ashuwotsatse wee úmp'etswotsatse wee woteraw Ik'o ik'iyrwotston iko wotk'ayere etaliye, mank'o b́wotink'ere datsuatse kesho itsh geyife etee.
2e050b00fc	Taayere itsh tguut' krstiyaniyotsi etefere wido sha'iruwotsnton, k'awntiruwotsnton, Woteraw Ik'o ik'iruwotsnton, wee ash shúúts t'afiruwotsnton, wee mashiruwotsnton, wee biik'iruwotsnton ik wotk'ayere etniye. Hanotsk'o ashuwotsnton towaar maak'ayere.
2e050c008e	Krstiyaniwots mabariyoniyere úre fa'a ashuwotsats angshosh kone taa? Krstiyaniwots mabariyatse fa'úwotsatsnmó itwoor angsho faliyalkitneya?
2e050d006d	Úratse fa'a ashuwots jango angshituwo Ik'oniye, eshe mas'aafo bíetiruwok'on «Gond asho ititse kishuwere.»
2e060100c2	Ititsere iko bí eshu amantsonton b́ fayeyal b́ keewman amantsuwots angshon bísh bo s'iiletwok'o b́ k'aloniyere s'amiyosh Ik' ash woteraw angshiruwots shinats daamosh ááweya b́ shúk'eti?
2e06020086	Ik' ashuwots datsatsi ashaats bo angshituwok'o danatsteya? eshe, datsanatse angshiruwots it wotor keew muk'anats angshosh maawituteya?
2e06030070	Melakiwotsats dab it angshitwok'o danatsteya? eshe, datsanatsi keewwotsats bogshde aawuk'oneya angsho nomaawiti?
2e06040087	Eshe it took tookon it fayeyal krstyaniwots ik mabariyoniyere úratsi gac'ets ashuwots shinats bokeew man aawuk'oneya it t'intsituteya?
2e0605006d	Hano tíetir it jitsituwok'owa etaatniye, wotowa ére eshuwotsitsere angsh falitu dants eenasho datseyalkeya?
2e06060061	Eshe, ik krstiyaniyo k'osh krstiyaniyo s'amir Ik' ashwoterawwotsok angshi moots daamo geyiyituwa?
2e06070087	Eshe it took tookon s'amiyeyar mooshewo b́tookon itsh it took keetiye, maniyere iti dadewo k'aneratsa? mank'o iti dirshewo k'aneratsa?
2e0608003e	Itmó it eshuwotsi wotts krstiyaaniwotsnoor dadaat itdirshiri.
2e060900aa	Eshe weergondetswots Ik'i mengsto bonaarawok'o danftooshna? Keewhan jangatsno daand k'ayere, gusiyetswots, wee woteraw Ik'o ik'iruwots, wee gobetsuwots, wee gad'ayirwots,
