010000000e	Kĩambĩrĩria
10031100fc	Kũrigania nake, wĩra wa gũcookereria rũthingo warutirwo nĩ Alawii arĩa maarũgamĩrĩirwo nĩ Rehumu mũrũ wa Bani. Kũrigania nake, Hashabia, mwathi wa nuthu ya gĩcigo gĩa Keila, agĩcookereria rũthingo handũ-inĩ ha andũ a gĩcigo gĩake.
1003120093	Kũrigania nake, andũ ao a bũrũri nĩo maacookereirie rũthingo matongoretio nĩ Binui mũrũ wa Henadadi, mwathi wa nuthu ĩyo ĩngĩ ya Keila.
10031300c1	Kũrigania nake, Ezeri mũrũ wa Jeshua, mwathi wa Mizipa, nĩacookereirie gĩcunjĩ kĩngĩ kuuma harĩa haangʼetheire mwambato nginya harĩa haigagwo indo cia mbaara, o nginyagia koine-inĩ.
10031400b6	Kũrigania nake, Baruku mũrũ wa Zabai agĩcookereria gĩcunjĩ kĩngĩ arĩ na kĩyo, kuuma koine-inĩ nginya itoonyero rĩa nyũmba ya Eliashibu mũthĩnjĩri-Ngai ũrĩa mũnene.
10031500a7	Kũrigania nake, Meremothu mũrũ wa Uria, mũrũ wa Hakozu, nĩacookereirie gĩcunjĩ kĩu kĩngĩ kuuma itoonyero rĩa nyũmba ya Eliashibu nginya mũthia-inĩ wayo.
1003160073	Kũrigania nake, rũthingo rwacookereirio nĩ athĩnjĩri-Ngai a kuuma rũgongo rũrĩa rwathiũrũrũkĩirie kũu.
10031700dd	Kuuma harĩo, Benjamini na Hashubu magĩcookereria rũthingo gĩcunjĩ kĩrĩa kĩarĩ mbere ya nyũmba yao; na kũrigania nao, Azaria mũrũ wa Maaseia, mũrũ wa Anania, agĩcookereria rũthingo hakuhĩ na nyũmba yake.
100318009a	Kũrigania nake, Binui mũrũ wa Henadadi nĩacookereirie gĩcunjĩ kĩngĩ kuuma nyũmba-inĩ ya Azaria o nginya koine-inĩ harĩa thingo ciacemanĩirie,
10031900ec	nake Palali mũrũ wa Uzai agĩcookereria rũthingo kũngʼethera harĩa thingo ciacemanĩirie na mũthiringo ũrĩa wacomokete nyũmba-inĩ ya igũrũ ya mũthamaki hakuhĩ na nja ya arangĩri. Kũrigania nake, Pedaia mũrũ wa Paroshu
10031a00e7	hamwe na atungati a hekarũ arĩa maatũũraga kĩrĩma-igũrũ kĩa Ofeli magĩcookereria rũthingo o nginya kũngʼethera Kĩhingo kĩa Maaĩ kwerekera mwena wa irathĩro na kũngʼethera mũthiringo ũrĩa wacomokete na igũrũ.
10031b0092	Kũrigania nao, andũ a Tekoa magĩcookereria gĩcunjĩ kĩngĩ kuuma mũthiringo mũnene ũrĩa wacomokete na igũrũ nginya rũthingo rwa Ofeli.
10031c0070	Igũrũ wa Kĩhingo kĩa Mbarathi, athĩnjĩri-Ngai nĩmacookereirie rũthingo, o mũndũ mbere ya nyũmba yake.
10031d00e5	Kũrigania nao, Zadoku mũrũ wa Imeri agĩcookereria rũthingo kũngʼethera nyũmba yake. Kũrigania nake, Shemaia mũrũ wa Shekania, mũikaria wa Kĩhingo kĩa Irathĩro, nĩwe wacookereirie rũthingo rũrĩa rwarũmĩrĩire.
10031e00e7	Kũrigania nake, Hanania mũrũ wa Shelemia, na Hanuni mũriũ wa gatandatũ wa Zalafu, nĩo maacookereirie gĩcunjĩ kĩu kĩngĩ. Kũrigania nao, Meshulamu mũrũ wa Berekia agĩcookereria rũthingo kũngʼethera harĩa aikaraga.
10031f00ec	Kũrigania nake, Malikija, ũmwe wa aturi a thahabu, agĩcookereria rũthingo nginya nyũmba-inĩ ya ndungata cia hekarũ na cia onjorithia, kũngʼethera Kĩhingo gĩa Gũtuĩria, na o nginya kanyũmba karĩa kaarĩ igũrũ rĩa koine;
1003200086	na gatagatĩ ga kanyũmba karĩa kaarĩ igũrũ rĩa koine na Kĩhingo kĩa Ngʼondu haacookereirio nĩ aturi a thahabu na onjorithia.
1004010077	Rĩrĩa Sanibalati aaiguire atĩ nĩtwakaga rũthingo rĩngĩ, akĩrakara na agĩthirĩka mũno. Agĩthekerera Ayahudi,
100402014b	na arĩ mbere ya athiritũ ake na mbũtũ cia ita cia Samaria, akiuga atĩrĩ, “Ayahudi aya ahinyaru-rĩ, nĩ kĩĩ mareka? Nĩmegũcookereria rũthingo rwao? Nĩmekũruta magongona? Nĩmekũrĩkia wĩra ũyũ na mũthenya ũmwe? Maahota gũtũma mahiga macooke muoyo kuuma hĩba-inĩ ici cia mahuti maya mahĩĩte ũũ wothe?”
1004030095	Tobia ũrĩa Mũamoni, ũrĩa warĩ mwena wake, akiuga atĩrĩ, “Rũthingo rũu rwa mahiga maraaka-rĩ, o na mbwe ĩngĩrũhaica no ĩrũmomore!”
100404009e	No rĩrĩ, Wee Ngai witũ tũthikĩrĩrie, tondũ tũrĩ andũ anyarare. Garũra irumi icio ciao imacookerere. Maneane ta matahĩtwo bũrũri-inĩ wa ũkombo.
100405007c	Ndũkahithĩrĩre mahĩtia mao kana weherie mehia mao kuuma ũthiũ-inĩ waku, nĩgũkorwo nĩmarumĩte andũ arĩa maraaka.
10040600a6	Nĩ ũndũ ũcio tũgĩaka rũthingo rũu rĩngĩ o nginya ruothe rũgĩkinya nuthu ya ũraihu waruo, nĩgũkorwo andũ acio maarutire wĩra na ngoro cia kwĩyendera.
10040700d1	No hĩndĩ ĩrĩa Sanibalati, na Tobia, na Aarabu, na Aamoni, na andũ a Ashidodi maiguire atĩ thingo cia Jerusalemu nĩciathiiaga na mbere gũcookererio na atĩ mĩanya nĩyathingagwo-rĩ, makĩrakara mũno.
100408006e	Magĩthiĩ ndundu marĩ othe, magĩciira ũrĩa megũka mahũũrane na Jerusalemu, na mambĩrĩrie ngũĩ kuo.
1004090073	No nĩtwahooire Ngai witũ na tũkĩiga arangĩri a gũtũgitĩra mũthenya na ũtukũ nĩ ũndũ nĩtwehĩtĩirwo.
10040a00a8	O ihinda rĩu, andũ a Juda makiuga atĩrĩ, “Aruti a wĩra nĩmaroorwo nĩ hinya, na nĩ kũrĩ na mahuti maingĩ mũno matangĩreka twake rũthingo rũu rĩngĩ.”
10040b009b	O nacio thũ ciitũ ikiuga atĩrĩ, “Mũira wa mamenye ũhoro kana matuone, tũgũkorwo hamwe nao, tũmoorage na tũtũme wĩra ũcio ũtige kũrutwo.”
10040c00a5	Hĩndĩ ĩyo Ayahudi arĩa maatũũraga hakuhĩ na thũ icio magĩũka, magĩtwĩra maita ikũmi atĩrĩ, “O kũrĩa mũngĩũrĩra-rĩ, nĩmegũtũtharĩkĩra.”
10040d00c8	Nĩ ũndũ ũcio ngĩiga andũ amwe na thuutha wa kũrĩa rũthingo rwarĩ thĩ mũno na gũtaarĩ na ũgitĩri; ngĩmaiga kũringana na nyũmba ciao marĩ na hiũ ciao cia njora, na matimũ, na mota.
10040e013f	Ndaarĩkia kuona ũrĩa maũndũ maatariĩ, ngĩrũgama ngĩĩra andũ arĩa maarĩ igweta, na anene, na andũ arĩa angĩ atĩrĩ, “Mũtikametigĩre. Ririkanai Mwathani, o we ũrĩa mũnene na wa kũmakania, nĩguo mũrũĩrĩre ariũ a thoguo, na aanake anyu, na airĩtu anyu, na atumia anyu, o na mĩciĩ yanyu.”
10040f00bd	Rĩrĩa thũ ciitũ ciamenyire atĩ nĩtwamenyete ũhoro wa ndundu yao, na atĩ Ngai nĩarigĩrĩirie ũndũ ũcio, ithuothe tũgĩcooka rũthingo-inĩ, o mũndũ agĩthiĩ wĩra-inĩ wake.
10041000c7	Kuuma mũthenya ũcio nuthu ya andũ akwa nĩo maarutaga wĩra nayo nuthu ĩyo ĩngĩ yao makĩheo matimũ, na ngo, na mota, o na nguo cia kĩgera. Anene nao makĩrũgama thuutha wa andũ othe a Juda
1004110094	arĩa maakaga rũthingo. Nao arĩa maakuuaga indo cia mwako maarutaga wĩra na guoko kũmwe, nakuo kũrĩa kũngĩ kũnyiitĩte kĩndũ kĩa mbaara,
1004120084	nake mwaki o wothe aikaraga eyohete rũhiũ rwake rwa njora njohero o akĩrutaga wĩra. No mũhuhi wa karumbeta aanjikaraga hakuhĩ.
10041300c4	Ningĩ ngĩĩra arĩa maarĩ igweta, na anene, na andũ arĩa angĩ atĩrĩ, “Wĩra nĩ mũingĩ mũno na ũgatambũrũka, na nĩtũraihanĩrĩirie mũno mũndũ na ũrĩa ũngĩ rũthingo-inĩ.
100414006e	Rĩrĩa rĩothe mũngĩigua karumbeta kaahuhwo, mũũke harĩa tũrĩ. Ngai witũ nĩwe ũgũtũrũĩrĩra!”
100415008b	Nĩ ũndũ ũcio tũgĩthiĩ na mbere na kũruta wĩra, nuthu ya andũ ĩnyiitĩte matimũ kuuma rũciinĩ nginya njata cioneke hwaĩ-inĩ.
10041600c4	Hĩndĩ o ĩyo ngĩĩra andũ atĩrĩ, “Reke o mũndũ na mũteithia wake maikarage Jerusalemu thĩinĩ ũtukũ, nĩgeetha matũtungatagĩre ta arangĩri ũtukũ, na mũthenya makaruta wĩra.”
10041700bc	Niĩ mwene, kana ariũ a baba, kana andũ akwa, kana arangĩri arĩa maarĩ hamwe na niĩ gũtirĩ warutaga nguo; o mũndũ aakoragwo na indo ciake cia mbaara o na agĩthiĩ gũtaha maaĩ.
1005010084	Na rĩrĩ, andũ amwe na atumia ao nĩmatetire mũno nĩ ũndũ wa ũrĩa maahinyĩrĩirio nĩ Ayahudi arĩa angĩ ariũ a ithe wao.
1005020092	Amwe moigaga atĩrĩ, “Ithuĩ na aanake aitũ na airĩtu aitũ tũrĩ aingĩ. Na no nginya tũkorwo na irio, nĩguo tũrĩe tũtũũre muoyo.”
10050300a4	Angĩ moigaga atĩrĩ, “Tũneanaga ithaka ciitũ na mĩgũnda iitũ ya mĩthabibũ, na mĩciĩ iitũ itũrũgamĩrĩre nĩguo tũheo irio hĩndĩ ya ngʼaragu.”
100504009e	O na angĩ moigaga atĩrĩ, “No nginya tũngĩakombire mbeeca nĩguo tũhote kũrĩha igooti rĩa mũthamaki rĩa ithaka ciitũ na mĩgũnda ya mĩthabibũ.
1005050195	O na gũtuĩka tũrĩ a mũthiimo ũmwe na thakame ĩmwe na andũ a bũrũri witũ, na o na gũtuĩka aanake aitũ nĩ ega o ta ao-rĩ, ithuĩ tũtuĩkĩte no nginya tũneane aanake aitũ na airĩtu aitũ matuĩke ngombo. O na rĩu airĩtu aitũ amwe nĩ ngombo, no tũtirĩ na ũhoti wa kũgirĩrĩria ũndũ ũcio tondũ ithaka ciitũ na mĩgũnda iitũ ya mĩthabibũ ĩrĩ moko-inĩ ma andũ angĩ.”
1005060044	Rĩrĩa ndaiguire mateta mao na thitango icio, nĩndarakarire mũno.
10050700fe	Ngĩĩcũũrania maũndũ macio, na ngĩrũithia andũ arĩa maarĩ igweta na anene, ngĩmeera atĩrĩ, “Nĩmũreetia andũ a bũrũri wanyu uumithio wa mbeeca iria mũmakombithĩtie!” Nĩ ũndũ ũcio ngĩĩtana mũcemanio mũnene wa kũmaciirithia,
10050800fd	ngiuga atĩrĩ, “Tũgeretie o ũrĩa tũngĩhota gũkũũra Ayahudi ariũ a ithe witũ arĩa mendeirio ndũrĩrĩ. No inyuĩ nĩ kwendia mũrendia andũ anyu nĩguo tũcooke tũmagũre rĩngĩ!” Andũ acio magĩkira ki tondũ matingĩonire wa kuuga.
10050900ca	Ningĩ ngĩthiĩ na mbere ngiuga atĩrĩ, “Ũrĩa mũreka ti wega. Githĩ mũtiagĩrĩirwo nĩ gũthiiaga mwĩtigĩrĩte Ngai witũ nĩgeetha tũtikanyararwo nĩ ndũrĩrĩ iria irĩ ũthũ na ithuĩ?
10050a009f	Niĩ, na ariũ a baba, na andũ akwa, o na ithuĩ nĩtũrakombithia andũ mbeeca na irio. No rekei gwĩtia kwa uumithio wa mbeeca iria mũkombanĩire gũthire!
10050b00e2	Cookeriai andũ ithaka ciao narua, na mĩgũnda yao ya mĩthabibũ na ya mĩtamaiyũ, na nyũmba ciao, o na uumithio ũcio mũmarĩhagia wa gĩcunjĩ kĩa igana kĩa mbeeca, na ngano, na ndibei ya mũhihano, na kĩa maguta.”
10050c00f7	Nao makiuga atĩrĩ, “Nĩtũkũmacookeria. Na tũtikũmetia kĩndũ kĩngĩ. Tũgwĩka o ta ũrĩa ũkuuga.” Ningĩ ngĩtũmanĩra athĩnjĩri-Ngai ngĩĩra andũ arĩa maarĩ igweta na arĩa anene mehĩte atĩ nĩmakahingia ũrĩa meranĩire.
10050d0189	O na niĩ ngĩribariba icũrĩ cia nguo yakwa ya igũrũ, ngiuga atĩrĩ, “O ta ũguo-rĩ, mũndũ o wothe ũtakahingia kĩrĩkanĩro gĩkĩ, Ngai aromũribariba kuuma nyũmba yake na kuuma kũrĩ indo ciake. Nĩ ũndũ ũcio mũndũ ta ũcio aroribaribwo, atigwo atarĩ kĩndũ!” Mũingĩ wothe ũkiuga, “Ameni,” na ũkĩgooca Jehova. Nao andũ othe magĩĩka o ta ũrĩa meeranĩire.
10050e0119	Ningĩ kuuma mwaka wa mĩrongo ĩĩrĩ wa Mũthamaki Aritashashita, rĩrĩa ndathuurirwo nduĩke barũthi wao bũrũri wa Juda, nginyagia mwaka wa mĩrongo ĩtatũ na ĩĩrĩ, mĩaka ikũmi na ĩĩrĩ-rĩ, niĩ o na kana ariũ a baba, tũtiarĩire irio iria ciagayagĩrwo barũthi.
10050f00f5	No rĩrĩ, abarũthi arĩa maarĩ mbere yakwa nĩmahatagĩrĩria andũ mũno na makametia cekeri cia betha mĩrongo ĩna, hamwe na irio na ndibei. Ateithĩrĩria ao nao no mahatagĩrĩria andũ. No niĩ tondũ wa gwĩtigĩra Ngai ndiekire ũguo.
1005100097	Handũ ha gwĩka ũguo-rĩ, niĩ ndeheanire gwaka rũthingo rũrũ. Andũ akwa othe moonganĩte hau nĩ ũndũ wa wĩra; na tũtiigana kũgũra ithaka.
10051100a0	Ningĩ-rĩ, Ayahudi igana rĩa mĩrongo ĩtano, o hamwe na anene maarĩĩaga gwakwa, hamwe na arĩa mookaga kuuma ndũrĩrĩ-inĩ iria ciatũthiũrũrũkĩirie.
1005120135	O mũthenya indo iria ciahaaragĩrio cia kũrĩĩo ciarĩ ndegwa ĩmwe, na ngʼondu ithathatũ noru, na ngũkũ, na o mĩthenya ikũmi yathira ndaarehagĩrwo ndibei nyingĩ mũno ya mĩthemba yothe. O na kũrĩ ũguo-rĩ, ndietagia irio iria ciagayagĩrwo barũthi, tondũ maruta macio nĩmaritũhĩire andũ.
1005130062	Wee Ngai wakwa, ndirikana, ũnjĩke wega nĩ ũndũ wa maũndũ marĩa mothe njĩkĩire andũ aya.
1006010116	Na rĩrĩa Sanibalati, na Tobia, na Geshemu ũrĩa Mũarabu, na thũ iria ingĩ ciitũ maakinyĩirwo nĩ ũhoro atĩ nĩnjakĩte rũthingo rĩngĩ na hatiarĩ ithenya o na rĩmwe rĩatigarĩte rũthingo-inĩ, o na gũtuĩka nginyagia ihinda rĩu ndiekĩrĩte mĩrango ya ihingo,
10060200a6	Sanibalati na Geshemu makĩndũmĩra ndũmĩrĩri ĩno: “Ũka, reke tũcemanie itũũra-inĩ rĩmwe werũ-inĩ wa Ono.” No rĩrĩ, maathugundaga kũnjĩka ũũru;
10060300cb	nĩ ũndũ ũcio ngĩmatũmĩra andũ mamacookerie atĩrĩ: “Ndĩ na wĩra wa bata ndĩraruta, ndingĩhota gũikũrũka njũke. Wĩra ũngĩkĩrũgamio nĩkĩ, atĩ nyambe njikũrũke kũrĩ inyuĩ?”
1006040056	Maandũmĩire ndũmĩrĩri ta ĩyo maita mana, na o hĩndĩ ndaacookagia icookio rĩu.
1006050076	Ihinda rĩa gatano Sanibalati akĩndũmĩra ndungata yake na ndũmĩrĩri o ro ĩyo, ĩkuuĩte marũa mataarĩ matume,
1006060128	marĩa maandĩkĩtwo ũũ: “Ũhoro nĩwarĩtio ndũrĩrĩ-inĩ, na Geshemu aroiga ũhoro ũcio nĩ wa ma, atĩ wee na Ayahudi nĩmũrathugunda kũremera mũthamaki mũmũũkĩrĩre, na nĩ ũndũ ũcio nĩmũraaka rũthingo. Ningĩ kũringana na ũhoro ũcio nĩũrenda gũtuĩka mũthamaki wao
10060700de	na atĩ nĩ ũthuurĩte anabii a kwanĩrĩra ũhoro ũgũkoniĩ kũu Jerusalemu makiugaga atĩrĩ, ‘Juda kũrĩ na mũthamaki!’ Rĩu-rĩ, ũhoro ũcio nĩũgũkinyĩra mũthamaki; nĩ ũndũ ũcio ũka, twaranĩrie.”
100608009a	Na niĩ ngĩkĩmũcookeria atĩrĩ: “Gũtirĩ ũndũ ta ũcio ũroiga ũrekĩka; nĩ gwĩthugundĩra ũrethugundĩra ũhoro ũcio meciiria-inĩ maku.”
10060900e1	Andũ acio maageragia ũrĩa wothe mangĩtũguoyohia, magĩĩciiria atĩrĩ, “Moko mao nĩmekwaga hinya wa kũruta wĩra, naguo wage kũrĩĩka.” No ngĩhooya Ngai, ngĩmwĩra atĩrĩ, “Rĩu ĩkĩra moko makwa hinya.”
10060a0133	Mũthenya ũmwe nĩndathiire mũciĩ gwa Shemaia mũrũ wa Delaia, mũrũ wa Mehetabeli, ũrĩa wahingĩirwo gwake mũciĩ. Akĩnjĩĩra atĩrĩ, “Nĩtũcemanie nyũmba ya Ngai, hekarũ thĩinĩ, na tũhinge mĩrango ya hekarũ, tondũ kũrĩ na andũ maroka gũkũũraga, megũka gũkũũraga ũtukũ.”
10060b00b3	No ngĩmũũria atĩrĩ, “Mũndũ ta niĩ nĩagĩrĩirwo nĩ kũũra? Kana mũndũ ta niĩ nĩagĩrĩirwo kwĩhitha thĩinĩ wa hekarũ ahonokie muoyo wake? Niĩ ndigũthiĩ!”
10060c0078	Nĩndamenyire atĩ ti Ngai wamũtũmĩte, no aandathagĩra ũũru tondũ Tobia na Sanibalati nĩmamũrĩhĩte eke ũguo.
10060d0080	Aarĩhĩtwo nĩguo atũme ndĩtigĩre nĩgeetha ndeka ũguo njĩhie, ngĩe na rĩĩtwa rĩũru nao mone njĩra ya kũũmenithia.
10060e00b5	Wee Ngai wakwa, ririkana Tobia na Sanibalati tondũ wa ũrĩa mekĩte, na ũririkane Noadia mũnabii mũndũ-wa-nja, o na anabii arĩa angĩ makoretwo makĩgeria kũnjĩkĩra guoya.
10060f009c	Nĩ ũndũ ũcio, rũthingo rũu rwarĩĩkire thuutha wa mĩthenya mĩrongo ĩtano na ĩĩrĩ, mũthenya wa mĩrongo ĩĩrĩ na ĩtano, mweri-inĩ wa Eluli.
10061000d9	Rĩrĩa thũ ciitũ ciaiguire ũhoro ũcio, ndũrĩrĩ ciothe iria ciatũthiũrũrũkĩirie igĩĩtigĩra na ikĩaga mwĩhoko, nĩ ũndũ nĩmamenyire atĩ wĩra ũcio warutĩkire na ũndũ wa ũteithio wa Ngai witũ.
1006110090	Ningĩ matukũ-inĩ macio, andũ arĩa maarĩ igweta a Juda nĩmatũmagĩra Tobia marũa maingĩ, nao nĩmanyiitaga macookio kuuma kũrĩ Tobia.
10061200c3	Nĩgũkorwo andũ aingĩ a Juda nĩmehĩtĩte gũkorwo mwena wake, tondũ aarĩ mũthoni-we wa Shekania mũrũ wa Ara, na mũriũ wake Jehohanani aahikĩtie mwarĩ wa Meshulamu mũrũ wa Berekia.
10061300ab	Na ningĩ nĩmaikaraga makĩĩheaga ũhoro wa ciĩko ciake njega magacooka makamwĩra ũrĩa na niĩ njugĩte. Nake Tobia akaandũmagĩra marũa ma gũtũma ndĩĩtigĩre.
10070100a3	Na rĩrĩ, rũthingo rwarĩka gwakwo rĩngĩ, na niĩ ngĩkorwo njĩkĩrĩte mĩrango ihingo-inĩ-rĩ, nĩrĩo arangĩri a ihingo, na aini, na Alawii maathuurirwo.
10070200d2	Nĩndatuire Hanani mũrũ wa baba mũrũgamĩrĩri wa Jerusalemu, marĩ na Hanania mũnene wa gĩikaro kĩgitĩre kĩa mũthamaki, tondũ aarĩ mũndũ mwĩhokeku, na agetigĩra Ngai gũkĩra andũ arĩa angĩ.
1007030190	Ngĩmeera atĩrĩ, “Ihingo cia Jerusalemu itikahingũragwo, o nginya rĩrĩa riũa rĩrĩkoragwo rĩarĩte. Ningĩ o na rĩrĩa arangĩri a ihingo marĩ wĩra-inĩ, nĩmaikarage mahingĩte mĩrango ĩyo, na makamĩĩkĩra mĩgĩĩko. Ningĩ mũthuure aikari a Jerusalemu matuĩke arangĩri, amwe marangagĩre harĩa matuĩrĩirwo kũrangĩra, na arĩa angĩ marangagĩre hakuhĩ na nyũmba ciao.”
100704009e	Na rĩrĩ, itũũra rĩa Jerusalemu rĩarĩ inene mũno na rĩkaarama, no andũ arĩa maatũũraga kuo maarĩ anini, na nyũmba itiakoretwo ciakĩtwo rĩngĩ.
1007050133	Nĩ ũndũ ũcio Ngai wakwa akĩnjĩkĩra wendo ngoro-inĩ yakwa wa gũcookanĩrĩria andũ arĩa maarĩ igweta, na anene, na andũ arĩa angĩ nĩguo meyandĩkithie kũringana na nyũmba ciao. Nĩndonire ibuku rĩa marĩĩtwa ma njiaro cia arĩa maarĩ a mbere gũcooka. Ũũ nĩguo ndonire rĩandĩkĩtwo:
10070600f0	Aya nĩo andũ a bũrũri arĩa maacookire kuuma bũrũri ũrĩa maatahĩirwo, arĩa Nebukadinezaru mũthamaki wa Babuloni aatahĩte akamatwara Babuloni bũrũri wa ũkombo (nao magĩcooka Jerusalemu na Juda, o mũndũ itũũra-inĩ rĩake,
10070700ce	marehanĩte na Zerubabeli, na Jeshua, na Nehemia, na Azaria, na Raamia, na Nahamani, na Moridekai, na Bilishani, na Misiperethu, na Bigivai, na Nehumu, na Baana): Mũigana wa andũ a Isiraeli watariĩ ũũ:
100708001f	njiaro cia Paroshu ciarĩ 2,172
100709001a	na cia Shafatia ciarĩ 372
10070a0015	na cia Ara ciarĩ 652
10070b0048	na cia Pahathu-Moabi (iria cioimĩte harĩ Jeshua na Joabu) ciarĩ 2,818
10070c0019	na cia Elamu ciarĩ 1,254
10070d0016	na cia Zatu ciarĩ 845
10070e0017	na cia Zakai ciarĩ 760
10070f0017	na cia Binui ciarĩ 648
1007100017	na cia Bebai ciarĩ 628
100711001b	na cia Azigadi ciarĩ 2,322
1007120022	na njiaro cia Adonikamu ciarĩ 667
1007130022	na njiaro cia Bigivai ciarĩ 2,067
1007140017	na cia Adini ciarĩ 655
1007150035	na cia Ateri (iria cioimĩte harĩ Hezekia) ciarĩ 98
1007160019	na cia Hashumu ciarĩ 328
1007170017	na cia Bezai ciarĩ 324
1007180018	na cia Harifu ciarĩ 112
1007190019	na cia Gibeoni ciarĩ 95.
10071a002c	nao andũ a Bethilehemu na Netofa maarĩ 188
10071b001f	na andũ a Anathothu maarĩ 128
10071c0025	na andũ a Bethi-Azimavethu maarĩ 42
10071d003e	na andũ a Kiriathu-Jearimu, na Kefira, na Beerothu maarĩ 743
10071e0022	na andũ a Rama na Geba maarĩ 621
10071f001f	na andũ a Mikimashi maarĩ 122
1007200023	na andũ a Betheli na Ai maarĩ 123
1007210027	na andũ a Nebo ĩrĩa ĩngĩ maarĩ 52
100722002b	na andũ a Elamu ĩrĩa ĩngĩ maarĩ 1,254
100723001c	na andũ a Harimu maarĩ 320
100724001c	na andũ a Jeriko maarĩ 345
100725002d	na andũ a Lodi, na Hadidi, na Ono maarĩ 721
100726001e	na andũ a Senaa maarĩ 3,930.
1007270062	Nao athĩnjĩri-Ngai maarĩ: njiaro cia Jedaia (iria cioimĩte harĩ nyũmba ya Jeshua) ciarĩ 973
1007280019	na cia Imeri ciarĩ 1,052
100729001b	na cia Pashuri ciarĩ 1,247
10072a001b	na cia Harimu ciarĩ 1,017.
10072b006d	Nao Alawii maarĩ: a njiaro cia Jeshua (iria cioimĩte harĩ Kadimieli, rũciaro-inĩ rwa Hodavia) ciarĩ 74.
10072c002d	Nao aini maarĩ: njiaro cia Asafu ciarĩ 148.
10072d0072	Nao aikaria a ihingo maarĩ: njiaro cia Shalumu, na Ateri, na Talimoni, na Akubu, na Hatita, na Shobai ciarĩ 138.
10072e004b	Nacio ndungata cia hekarũ ciarĩ: njiaro cia Ziha, na Hasufa, na Tabaothu,
10072f001d	na Keroso, na Sia, na Padoni,
1007300022	na Lebana, na Hagaba, na Shalimai,
1007310020	na Hanani, na Gideli, na Gaharu,
100732001f	na Reaia, na Rezini, na Nekoda,
100733001c	na Gazamu, na Uza, na Pasea,
1007340022	na Besai, na Meunimu, na Nefisimu,
1007350024	na Bakabuku, na Hakufa, na Harihuru,
1007360024	na Baziluthu, na Mehida, na Harasha,
1007370020	na Barikosi, na Sisera, na Tema,
1007380014	na Nezia, na Hatifa.
1007390059	Nacio njiaro cia ndungata cia Solomoni ciarĩ: njiaro cia Sotai, na Soferethu, na Perida,
10073a0021	na Jaala, na Darikoni, na Gideli,
10073b0039	na Shefatia, na Hatili, na Pokerethu-Hazebaimu, na Amoni.
10073c0050	Ndungata cia hekarũ hamwe na njiaro cia ndungata cia Solomoni maarĩ andũ 392.
10073d00ab	Nao aya nĩo maambatire kuuma matũũra ma Teli-Mela, na Teli-Harasha, na Kerubu, na Adoni, na Imeri, no matingĩonanirie atĩ nyũmba ciao ciarĩ cia njiaro cia Isiraeli:
10073e0032	njiaro cia Delaia, na Tobia, na Nekoda ciarĩ 642.
10073f00ae	Na kuuma kũrĩ athĩnjĩri-Ngai: njiaro cia Hobaia, na Hakozu, na Barizilai (mũndũ ũrĩa wahikĩtie mwarĩ wa Barizilai ũrĩa Mũgileadi, na eetanagio na rĩĩtwa rĩu).
10074000ad	Andũ acio nĩmacaririe maandĩko ma nyũmba ciao, no matiigana kũmona, nĩ ũndũ ũcio makĩeherio thiritũ-inĩ ya athĩnjĩri-Ngai, magĩtuuo ta andũ maarĩ na thaahu.
100741008b	Nake barũthi wa kũu akĩmaatha matikarĩe irio iria therie mũno, o nginya gũkaagĩa mũthĩnjĩri-Ngai ũratungata na Urimu na Thumimu.
100742002a	Andũ acio othe marĩ hamwe maarĩ 42,360,
1007430076	gũtatarĩtwo ndungata ciao cia arũme na cia andũ-a-nja 7, 337; ningĩ nĩ maarĩ na aini arũme na andũ-a-nja 245.
1007440028	Maarĩ na mbarathi 736, na nyũmbũ 245,
1007450024	na ngamĩĩra 435, na ndigiri 6,720.
10074600d4	Atongoria amwe a nyũmba nĩmarutire indo ciao nĩ ũndũ wa wĩra ũcio. Barũthi wa kũu nĩaheanire durakima 1,000 cia thahabu, na mbakũri 50, na nguo cia athĩnjĩri-Ngai 530, nacio ikĩigwo kĩgĩĩna-inĩ.
10074700a1	Nao atongoria amwe a nyũmba nĩmaheanire indo nĩ ũndũ wa wĩra ũcio, durakima 20,000 cia thahabu, na ratiri 2,200 cia betha, nacio ikĩigwo kĩgĩĩna-inĩ.
1007480095	Mũigana wa kĩrĩa kĩaheanirwo nĩ andũ arĩa angĩ warĩ durakima 20,000 cia thahabu, na ratiri 2,000 cia betha, na nguo 67 cia athĩnjĩri-Ngai.
10074900bd	Athĩnjĩri-Ngai, na Alawii, na aikaria a ihingo, na aini na ndungata cia hekarũ, marĩ hamwe na andũ amwe ao, na andũ arĩa angĩ a Isiraeli magĩaka na magĩtũũra matũũra-inĩ mao.
100801015d	Na rĩrĩ, mweri wa mũgwanja wagĩkinya-rĩ, andũ a Isiraeli magĩkorwo maatũũrĩte thĩinĩ wa matũũra mao. Nao andũ othe makĩũngana marĩ ta mũndũ ũmwe kĩhaaro-inĩ kĩrĩa kĩarĩ mbere ya Kĩhingo kĩa Maaĩ. Nao makĩĩra Ezara ũrĩa mwandĩki-marũa arute Ibuku rĩrĩa rĩa Watho wa Musa ũrĩa Jehova aathĩte andũ a Isiraeli.
