2900000005	Marka
29092b00aa	Na kut nih ta sual ter asihle na kut cu ṭhot. Taksa kim lo in nunnak sungih luh cu kut panih thawn a mit kel lo mi meisa, hell sungih feh nakin na hrangah a ṭha sawn.
29092d008f	Cun na ke nih ta sual ter asihle na ke cu ṭhot. Ke kim lo in nunnak sung luh cu ke panih thawn hell sungih luh nakin na hrangah a ṭha sawn.
29092f009a	Cun na mit nih ta sual ter asihle na mit cu khorh. Mit pakhat thawn Pathian Uknak sungih luh cu mit panih thawn hell ih luh nakin na hrangah a ṭha sawn.
290930004d	Cuvai hmun ahcun ‘zang pawl cu an thi kel lo ih meisa khaw a mit kel lo.’
2909310064	“Thawinak cu ci in thianfaiter a sih mangin mi hmahhmah cu meisa in thianfaiter colh an i ve thok.
2909320095	“Ci cu a ṭha, asinain a al nak a net asihle, zangtin na al ter sal thok? “Nanma ah ci cu nei uh, cule pakhat le pakhat rem fa uh,” tiah a ti.
290a0100a3	Cun Jesuh cu cuvai hmun in a suak ih Jordan tikua ralkhat le Judea peng laah a feh. Mipi pawl cu a sinah an hmuakkhawm fa sei ih a tuah kel mangin thu a zirh hnei.
290a020083	Cun Farasi pawl cu a sinah an feh ih, hneksak an duh ruangah, “Pami nih a nupi ma sehla daan nih a siang maw?” tiah thu an sut.
290a03004f	Jesuh nih a let hnei ih, “Moses nih zangtu thu nan ta pe?” tiah a sut hnei.
290a040051	Cule an ni nih, “Moses nih maknak ca ngan pit in mak cu a siang,” tiah an ti.
290a05005f	Asinain Jesuh nih an sinah, “Nan lungruh tuk ruangah nan hrangah hi daan hi Moses nih a ngan.
290a060044	Asinain sersiam thoktir ihsin ‘Pathian nih numi le pami a tuah.’
290a070040	‘Curuangah pami nih a nu le pa ramta pit in a nupi a kop thok.
290a080071	Cule taksa panih cu taksa pakhat ah an cang thok.’ Curuangah an ni cu panih an i, i lo, taksa pakhat an i sawn.
290a090050	Curuangah Pathian ih a kop cem mi cu hutukhaw nih ṭhen hlah seu,” tiah a ti.
290a0a004e	Cun inn song an luh sal tikah, a dungthluntu pawl nih cuvai thu cu an sut sal.
290a0b0069	Cule Jesuh nih an sinah, “Hutukhaw a nupi ama ih nupi dang a ṭhit asihle ṭangṭawm sualnak a tuah.
290a0c0064	Cun numi khaw nih a pasal ama ih pasal dang a neih asihle ṭangṭawm sualnak a tuah,” tiah a ti.
290a0d0079	Cun mipi pawl nih, Jesuh ih tham dingah, nappang pawl cu a sinah an ṭhi. Cule a dungthluntu pawl nih cu pawl cu an tai.
290a0e00a9	Asinain Jesuh nih a hmuh tikah, a thin a se ih an sinah, “Nappang pawl cu ka sinah tiang seu, dawn hlah uh. Zangahtihle Pathian Uknak cu himang nappang pawl ih ta a i.
290a0f009e	Thutak in nan ta sim, ‘Hutu khaw sisehla nappang pawl mangin Pathian Uknak a cohlang lo tu cu Pathian Uknak sungah an lut thei kel thok lo,’” tiah a ti.
290a10005e	Cule nappang pawl cu a ban tlunah a cawi hnei, an tlunah a kut a suang ih thlawsuah a pe hnei.
290a1100b5	Cun Jesuh cu khual tlawn ding ih a suah zawngah, a sinah mi pakhat a zuang ih a khuk bil in, “Zirhtu ṭha, kumkhua nunnak ka co theinak dingah zangtu ka tuah thok?” tiah a sut.
290a12006b	Cule Jesuh nih a sinah, “Zangruangah zirhtu ṭha tiah ka na ko? Pathian hrello mi ṭha hukhaw an um lo.
290a1300b5	Thupek pawl khi fiah kau hmah ci ee: ‘Mi that hlah, ṭangṭawm sualnak tuah hlah, lolak hlah, fiahpitnak dik lo rel hlah, mi deu hlah, na nu le pa cu upat hnei,’” tiah a ti.
290a140078	Cun ani nih Jesuh sinah, “Sayapa, cuvai pawl hmahhmah cu ka no lai ihsin ka thlun hnei colh cia mi an i,” tiah a ti.
290a1500e1	Cun Jesuh nih cuvai pa cu a zoh ih, a duhdawt, cule a sinah, “Thil pakhat na sam rih: feh la, na neihmi hmahhmah zuar pit in mi fahrah pawl pe hnei, cule vancung ah hlawnthil na nei thok. Cun ka dung ka thlun,” tiah a ti.
290a160083	Cun cuvai pa cu Jesuh sipmi thu ah a riah a se ih thin nuam lo ngai in a feh, zangahtihle ani cu thilri tamngai a neih ruangah a i.
290a170097	Cun Jesuh cu a kiangkap a zoh ih a dungthluntu pawl sinah, “Paisa nei milian pawl hrangah Pathian Uknak sungih luh cu zangtlukin a har!” tiah a ti.
290a180091	Cule a dungthluntu pawl cu a sipmi thu ah an mang a bang. Asinain Jesuh nih an sinah, “Fale pawl, Pathian Uknak sungih luh cu zangtlukin a har!
290a19007b	Pathian Uknak sungih milian pa a luh ding nakin ṭhim awng sungih kalauk luh ding hman a bai sawn,” tiah a sim hnei sal.
290a1a006f	Cun dungthluntu pawl cu an mang a bang hlehhlo ih, a sinah, “Asihle hutu rundam a i thei thok?” tiah an ti.
290a1b00da	Cule Jesuh nih a zoh hnei ih, an sinah, “Minung hrang ahcun thil cangthei lo a i, asinain Pathian hrang ahcun thil cangthei lo a i lo. Zangahtihle Pathian thawn cu zang hmahhmah hi a cangthei colh,” tiah a ti hnei.
290a1c0064	Cutikah Peter nih a sinah, “Ngai hnik, zang hmahhmah ramta pit in na dung kan thlun,” tiah a ti.
290a1d00aa	Cule Jesuh nih, “Thutak in nan ta sim, hutukhaw siseh la keimai ruang ah le thuthang ṭha ruang ah, a inn, a u le nau, a nu le pa, a fale, a leiram pawl a ramta tu cu,
290a1e00d8	tun san sung ah tam sinsin a ngah thok. A inn, a u le nau, a nu, a fale leh a leiram pawl khaw a let zakhat in a ngah thok — hremnak pawl khaw a ngah thok. Cule a tiang lai dingmi san ah kumkhua nunnak a ngah thok.
290a1f0074	Asinain hmasabik a i mi, mi tampi cu netabik an i leh thok ih, netabik pawl cu hmasabik an i leh thok,” tiah a ti.
290a200102	Cun Jerusalem la ih an feh lai ah Jesuh cu an hmai ah a feh khan, a dungthluntu pawl cu an mang a bang ih a thluntu midang pawl khaw an ṭih. Cule dungthluntu hleinih pawl cu hmun dang deuh ah a ṭhi ta hnei sal ih a tlunih thilcang dingmi pawl a sim hnei.
290a2100d3	Jesuh nih, “Ngai hnik uh! Jerusalem khua kan ban thok ih, Minung Fapa cu puithiam upa pawl le daanthiam pawl kut ah pek a i thok. Cule an ni nih thi dingin mawh an puh thok, cule Zentail pawl sinah an ap thok.
290a220090	Cun hnihsuahsainak ah an hmang thok ih cihrit an khak thok, an thawi thok ih an that thok. Cule ni thum hnukah a thosal thok,” tiah a ti hnei.
290a230085	Cun Zebedi ih fapa James le Johan cu Jesuh sinah an feh ih, “Sayapa, thil ta hlermi hmahhmah kan tuahsak la kan duh,” tiah an ti.
290a240047	Cule Jesuh nih an sinah, “Zangtu tuahsak nan duh?” tiah a sut hnei.
290a25007a	Cule an ni nih a sinah, “Na sunlawinak ah na vorh la ah pakhat, na keh la ah pakhat, kan toter veve hram,” tiah an ti.
290a2600bc	Asinain Jesuh nih an sinah, “Zangtu nan hler tihmi nan fiah lo. Ka din dingmi khuat hi nan ding thei thok maw? Asihlole ka co dingmi baptisma teh nan co thei thok maw?” tiah a ti hnei.
290a2700bd	Cun an ni nih a sinah, “Kan tuah thei thok,” tiah an ti. Cule Jesuh nih an sinah, “Ka din dingmi khuat cu nan ding thei kau thok, cule ka co dingmi baptisma khaw nan co thei kau thok.
290a280083	Asinain ka vorh la le ka keh la ih to ding thu cu kei ih pek dingmi a i lo; timtuah sak ciami pawl hrang sawn ah a i,” tiah a ti.
290a29005d	Cun cuvai thu cu a dang pahra pawl nih an theih tikah James le Johan cungah an lung a awi lo.
290a2a00bd	Cule Jesuh nih a sinah a ko hnei ih, an sinah, “Zentail pawl uktu dingih ruahmi pawl cu an mipi tlunah an bawisak fa ngai ih, an hotu pawl khaw an tlunah thu an nei ngai, tih cu nan fiah.
290a2b0075	Asinain nan lakah cu hi mangin i ding a i lo. Hutu khaw nan lak ih hnem bik sih a duh ahcun nan siahhlawh i sawn seh.
290a2c004d	Cule hutukhaw nan lak ih hmasabik sih a duh ahcun nan zate ih sal i sawn seh.
290a2d0096	Zangahtihle Minung Fapa hman riatmi i dingah a tiang lo, riantu i dingah le mi tamngai tlatnak hrangah a nunnak pe ding sawn ah a tiang,” tiah a ti.
290a2e00c3	Cun Jesuh le a dungthluntu pawl cu Jerikho khua an ban; cule a dungthluntu pawl le mipi tamngai thawn Jerikho in an pawh zawngah, Timias ih fapa Bartimias, mitkhang kutdawh, cu lampi kap ah a to.
290a2f007b	Cule Nazareth mi Jesuh a si tih a theih tikah, a hek ih, “Jesuh, David Fapa, ka cungah thinfahnak nei hram!” tiah a ti.
290a300085	Cule mi tampi nih an tai ih, daiten um an forh. Asinain a hek hlehhlo ih, “David Fapa, ka cungah thinfahnak nei hram,” tiah a ti.
290a31009c	Cun Jesuh cu a cawlhnga ih, “Ko uh,” tiah a ti. Cule mitkhang pa cu an ko ih, a sinah, “Thin thlangamten um, hang tho, Jesuh nih ta ko,” tiah an ti.
290a32003c	Cule a hnipuan cu a hlon ta ih, Jesuh sinah cun a pet vervo.
290a3300af	Cule Jesuh nih a let ih, a sinah, “Na hrangah zangtu ta tuahsak na duh?” tiah a sut. Cule mitkhang pa nih a sinah, “Rabbi, khua hmu thei sal ningla ka duh,” tiah a ti.
290a34008e	Cule Jesuh nih a sinah, “Feh, na zupnak nih ta damter cem,” tiah a ti. Cule hmakhatte ah khua a hmu thei sal ih Jesuh cu zalam ah a thlun.
290b010090	Cun Jerusalem la an naih i mepmo ih, Olif Tlang ih Bethfath le Bethani khua hram an bat tikah, Jesuh nih a dungthluntu panih cu a thlah hnei ih,
290b0200b0	an sinah, “Nan hmala ih khaw sungah feh uh, khaw sungih nan luh cangka in hutukhaw ih an to kel lomi lak note hri thawn an khihmi nan hmu thok. A hri cu phoih uhla duk ta uh.
290b0300a2	Cule mi pakhat khat nih, ‘Zangah aitin nan tuah?’ tiah nan ta tih eng le, ‘Bawipa nih a ṭul, hi hmunah nan ta kuat sal lohli thok,’ ti uh,” tiah a ti.
290b040057	Cun an feh ih lampi lengih kotka ah lak note an khih cu an hmu, cule a hri cu an phoih.
290b050062	Cun cuvai hmun ih a dingmi mi hrekkhat nih, “Zangah lak note cu a hri nan phoih?” tiah an sut.
290b060045	Cule an ni nih Jesuh ih a sip hnei cia mangin an sim, cun an feh ter.
290b070060	Cule Jesuh sinah lak note cu an ṭhi ta ih a cungah puan an thah sak ih Jesuh cu a cungah a to.
290b08007b	Cun minung tamngai nih zalam tluanah an puan an thap ih mi hrekkhat nih lo sungih sawlhnah an sat ih zalam tluanah an thap.
290b090082	Cun a hmaiih a fehtu pawl le a dungih a thluntu pawl cu an hek ih, “Hosanna! Bawipa ih hmin in a tiangtu cu thlawsuah in um seh!
290b0a0061	A tiang dingmi kan pa David ih uknak cu thlawsuah in um seh! A sangbik ah Hosanna!” tiah an ti.
290b0b00a0	Cule Jesuh cu Jerusalem ah a feh ih biakinn songah a lut. Thil hmahhmah a zoh colh hnukah, ni a sim i ih, dungthluntu hleinih pawl thawn Bethani khua ah an feh.
290b0c004e	Cun a zingthlala ah, Bethani khua in an kirhsal tikah, Jesuh cu a caw a ṭam.
290b0d00d7	Cule lamhla nawnah a hnah a nim ngaimi thei kuang pakhat a hmu ih a thei ka hmuh pangah tiah thei kuang la cu a feh. Thei kuang umnak a bat tikah, a hnah hrello zangkhaw a hmu lo; zangahtihle thei a thei can a i lo.
290b0e0099	Cutikah Jesuh nih thei kuang cu, “A kumkhua in hutukhaw nih na thei ei i nawn hlah seu,” tiah a ti. Cule a dungthluntu pawl nih a ṭonmi cu an thei.
290b0f00dc	Cun Jerusalem an ban. Cule Jesuh cu Biakinn songah a lut ih Biakinn songih thil zuartu pawl le thil leitu pawl dawisuah a thok. Cule Paisa thlengtu pawl ih cabuai le thute zuartu pawl ih tokheng pawl khaw a linglet colh.
290b10004f	Cule hutukhaw Biakinn songah zangtumang thilri khaw phur in vah a sian hnei lo.
290b1100de	Cun thu a zirh hnei ih an sinah, “Ca Thianghlim sungah ‘Ka inn cu miphun zate hrangah thlacamnak inn tiah kawh a i thok,’ tiah ngan a i lo mawh? Asinain damiah pawl ih rolhnak lungkuak ah nan tuah,” tiah a ti hnei.
290b1200b8	Puithiam upa pawl le daanthiam pawl nih cuvai cu an theih tikah, Jesuh cu an ṭih ruangah a thah thei dan ding an hrawl. Zangahtihle mipi zate cu Jesuh ih thuzirhmi ah an mang a bang.
290b130049	Cun ni a sim i tikah Jesuh le a dungthluntu pawl cu khaw sung in an suak.
290b140055	Cun a zingthlala zalam ih an feh laiah, a tawhram in a rocar mi thei kuang cu an hmu.
290b150074	Cun Peter cu a cing sal ih Jesuh sinah, “Rabbi, Zohhnik aw! Na camsiatmi thei kuang cu a rocar colh,” tiah a ti.
290b160034	Cule Jesuh nih a let ih an sinah, “Pathian zum uh.
290b1700e7	Thutak in nan ta sim, hutukhaw a thinlung sungah rinhelhnak nei lo in a sipmi mangin a cang tengteng thok tiah a zup ahcun, hivai tlang hi, thawnfa pit in tipi thuanthum sungah ṭil, tiah a titu cu a ṭon mangin tuahsak a i thok.
290b180072	Curuangah nan ta sim, thlacamnak thawn nan hlerhmi hmahhmah hi kan ngah cem tiah zum uh la, cule nan ta a si thok.
290b1900c5	Cun thla cam dingih nan din tikah, Van ih a um mi nan Pa nih nan sualnak pawl nan ta ngaihthiam theinak dingah, mi pakhat khat cungah lungkim lonak nan neih asihle ngaihthiam uh,” tiah a ti hnei.
290b1b00a2	Cun Jesuh le a dungthluntu pawl cu Jerusalem ah an ban sal. Cule Jesuh cu biakinn songih a feh laiah, puithiam upa pawl, daanthiam pawl le upa pawl nih an pha ih,
290b1c0098	Jesuh sinah, “Himang thil pawl hi hutu ih thuneihnak in na tuah hnei? Asihlole himang thil pawl tuah dingah hutu nih thuneihnak ta pe?” tiah an sut.
290b1d009e	Cule Jesuh nih an sinah, “Kei khaw thu pakhat nan ta sut ve thok ih, ka let uh. Cun zangtu thuneihnak thawn himang thil pawl ka tuah, tihmi nan ta sim thok.
290b1e005c	Johan ih Baptisma hi vancung la in maw minung sin in a i? Ka let hnik uh,” tiah a ti hnei.
290b1f0088	Cun cuvai thu cu anma ten an relkhawm ih, “Van la in a i, tiah kan tih le, ‘Zangruangah Johan cu nan zum lo,’ tiah kan na ti thok.
290b200095	Cun ‘Minung sin in…,’ tiah kan ti thok maw?” (Zangahtihle mi hmahhmah nih Johan cu profet taktak a i tiah an pom ruangah mipi pawl an ṭih.)
290b2100bb	Curuangah Jesuh sinah “Kan fiah ve lo,” tiah an let. Cule Jesuh nih an sinah, “Kei khaw zangtu thuneihnak thawn hi thil pawl ka tuah, tihmi nan ta sim ve thok lo,” tiah a ti hnei.
290c0100f8	Cun Jesuh nih an sinah tahṭhipnak thawn thusip a thok. “Mi pakhat nih sabit dum a tuah ih hruang in a kulh, cule sabit ti surnak ah khur a lai ih hrawlte a don. Cun a dum cu man pek ih a sawngtu pawl sinah a ramta ih lam hlapi ah khual a tlawn.
290c020069	A tikcu can a kim tikah, dum sawngtu pawl sin in a covo sabit thei la dingah, a siahhlawh pakhat a thlah.
290c030040	Cun cuvaipa cu an tlai ih an thawi hnukah zahawr in an tlungter.
290c040079	Cule an sinah siahhlawh dang pakhat cu a thlah seisei. Cun cuvaipa cu a lu ah an thawi ih hmualpho le ningzak in an tuah.
290c05008f	A dang a thlah sal seisei ih a thlahmi pa cu an that. Cule a dang tamngai khaw cu a thlah bet, a hrekkhat cu an thawi ih a hrekkhat cu an that.
290c0600ab	Thlah dingmi pakhat la cu a nei rih, a duhdawt ngaimi a fapa a si. Netabikah dum sawngtu pawl sinah cun a fapa cu a thlah ih, ‘Ka fapa cu an upat kau thok,’ tiah a ti.
290c0700b1	Asinain dum sawngtu pawl nih, ‘Hivaipa hi ro cotu thok cu a i. Cei uh, that lausing, cule a co dingmi ro hmahhmah cu kan maiʼ ta an i thok,’ tiah pakhat le pakhat an ti fa.
290c080041	Cun cuvaipa cu an tlai ih an that, cule sabit dum lengah an hlon.
290c09008a	“Sabit dum neitu nih zangtin tuah lai? a feh thok ih dum sawngtu pawl cu a siatsuah hnei thok, cule sabit dum cu midang sinah a pe thok.
290c0a0064	Ca thianghlim sungah: “‘Inn satu pawl ih an hnon mi lung cu A thupi bikmi innkil lung ah a cang.
290c0b0074	Hihi Bawipa ih tuahmi a i, Cule kan mithmuh ah mangbangza a i, tiih nganmi khi nan siar kel lo maw?’ tiah a ti.”
290c0c00cf	Cun Judah upa pawl cu Jesuh tlaih dan ding an hrawl, asinain mipi pawl an ṭih. Zangahtihle cuvai tahṭhipnak cu anma tihsat ih a sipmi a si tih an fiah. Curuangah Jesuh cu an ramta ih lam hlapi ah an feh.
290c0d0072	Cun a ṭonkam in ama an tlaih theinak dingah, Farasi hrekkhat le Herod ih milai hrekkhat cu Jesuh sinah an thlah.
290c0e0141	Cun Jesuh sin an ban ih a sinah, “Sayapa, nang cu, mi nih zangtin ka na ruat eng thok, tih khaw zanghrel loʼn thudik na sim, tih kan fiah. Zangahtihle minung mithmai na zoh lo ih Pathian ih zalam cu dik ngaiin na zirh. Caesar sinih siah pek hi daan nih a siang maw siang lo? Kan pe thok maw pe thok lo?” tiah an sut.
290c0f0099	Asinain Jesuh nih an depdetnak a fiah ih an sinah, “Zangruangah ka na hneksak eng? ngun tangka ka pe hnik uh, cule ka zoh hnik thok,” tiah a ti hnei.
290c100097	Cun ngun tangka cu an pe ih an sinah, “Hihi hutu ih muihmel a si ih, zangtu thu a ngan fa?” tiah a sut hnei. Anni nih, “Caesar ih,” tiah an ti.
290c1100a6	Cule Jesuh nih an sinah, “Caesar ih thil pawl cu Caesar sinah pe uh, cule Pathian ih thil pawl cu Pathian pe uh,” tiah a ti. Cun Jesuh cungah an mang a bang ngai.
290c12004c	Cun Jesuh sinah thawhsalnak a um lo titu Sadusi pawl an tiang ih thu an sut.
290c1300ba	“Sayapa, Moses nih, ‘mi pakhat cu fa nei loʼn a nupi a thihtak asihle a unau pa nih cuvai nuhmei cu a ṭhi thok ih, a unau pa ih hrangah ci a thlahsak thok,’ tiah kan na ngansak.
290c140047	Cun unau pasarih an um, uta bik nih nupi a ṭhi ih fa nei loʼn a thi.
290c150075	Cule a panihnak pa nih cuvai nu cu a ṭhi ih fa nei loʼn a thi ve. Cun a pathumnak pa khaw cumang thotho in a cang.
290c16004f	Cule an pasarih in fa nei loʼn an thi colh. Neta bik ah numi nu khaw a thi ve.
290c170082	Curuangah thawhsalnak ih an thawhsal tikah, hutu bik ih nupi a si thok? An pasarih in nupi ah an ṭhi vek sikhaw?” tiah an sut.
290c180068	Jesuh nih an sinah, “Pathian ih cahnak huham le Ca Thianghlim nan fiah lo ruangah nan sual a i lo maw?
290c190096	Zangahtihle thihnak in an thawhsal tikah, an ṭhi fa i thok lo, ṭhitfaknak khaw a um i thok lo ih, vancung ih a ummi vancungmi pawl mang an i thok.
290c1a00bf	Cun mithi thawhsalnak thu ah, hrambur sung in Pathian nih Moses sinah, ‘Kei cu Abraham ih Pathian, Isak ih Pathian, le Jakob ih Pathian ka si,’ a tihmi Moses cabu khi nan siar kel lo maw?
290c1b0079	Ani cu a thimi pawl ih Pathian a i lo, a nungmi pawl ih Pathian a i sawn. Curuangah nan ruatsual ngai,” tiah a ti hnei.
290c1c00c7	Cun daanthiam pawl lakih mi pakhat cu a tiang ih, thu an relmi cu a ngai. Cule Jesuh nih ṭha tukin a sawn hnei thiam tih a hmuh tikah, “Thupek hmahhmah lakah khoitu hi a thupi bik?” tiah a sut.
290c1d006a	Jesuh nih, “A thupi bikmi Thupek cu: ‘Maw Israel, ngai hnik, Bawipa kan Pathian, Bawipa cu pakhat a i.
290c1e0083	Cun Bawipa na Pathian cu na thinlung zateʼn, na nunnak zateʼn, na ruahnak zaten le na cahnak zaten na duhdawt thok,’ tihhi a i.
290c1f00b1	Cun a panihnak cu: ‘Nangma le nangma na duhdawt fak mangin na inn kiangveng pawl na duhdawt thok,’ tihhi a i. Hi thupek pawl nakih thupi sawn thupek a um lo,” tiah a sawn.
290c200094	Cule daanthiam pa nih a sinah, “Sayapa, na sipmi cu a ṭha. Thudik na sim, zangahtihle Pathian pakhat kau a um, ani siarlo pathian dang an um lo.
290c2100d7	Cun thinlung zate, fiahthiamnak zate, cahnak zate thawn ama Pathian duhdawt, le ma le ma duhdawt fak mangin inn kiangveng pawl duhdawt cu meihul thawinak le thawinak dangdang pawl nakin a thupi sawn,” tiah a sawn.
290c2200a9	Cun Jesuh nih, cupa nih fing ngaiin a let, tih a hmuh tikah, a sinah, “Pathian uknak thawn nan hlat fa lo,” tiah a ti. Cuvai hnuk cu hukhaw nih thu an sut ngam i lo.
290c23007f	Cun Jesuh cu biakinn songah thu a zirh. Jesuh nih, “Zangtin daanthiam pawl nih Khrih cu David ih fapa a si, tiah an ti thiam?
290c24009a	David ama rori nih Thlarau Thianghlim hmangin: “‘Bawipa nih ka Bawipa sinah: Na ral pawl na ke tangih ka siah hlan lo, Ka vorh la ah to,’ tiah a ti.
290c2500b7	A ma David rori hman nih ani cu ‘Bawipa’ tiah a ko. Curuangah zangtin a fapa cu a si thiam thok?” tiah a ti. Cule mipi tam ngai nih Jesuh ih thuzirhmi cu lungawi ngaiin an ngai.
290c26008c	Cun a thuzirhnak ah Jesuh nih, “Daanthiam pawl khi ralring uh, an ni cu angki fual thawn tawivah an duh ih dawr tluan ah cibai buk an duh.
290c270059	Cule Sinakok ah tonak ṭhabik ah to an duh ih puai tuahnak ah upatnak hmun ih to an duh.
290c28008d	Nuhmei pawl ih inn an long ih, mi deuhnak ah rei ngaingai in thla an cam fa ter. Hipawl hi thuṭhennak nasa sawn an tuar thok,” tiah a ti.
290c29009e	Cun Jesuh cu thawhhlawm bawm zawn ah a to ih, mipi nih thawhhlawm bawm sungah zangti in tangka an ṭhil, tih a zoh. Milian pawl nih tangka tamngai an ṭhil.
290c2a0043	Cun nuhmei fahrah pakhat a tiang ih dar tangka pia nih a ṭhil ve.
290c2b00b1	Cule a dungthluntu pawl cu a ko hnei ih an sinah, “Thutak in nan ta sim, hivai nuhmei fahrah nu hi thawhhlawm bawm sungih a ṭhiltu dang pawl hmahhmah nakin tamsawn a ṭhil.
290c2c00aa	Zangahtihle midang pawl hmahhmah cu an neih hleifuanmi an pe; asinain ani cu a fahrah ngai na in — a nunkhaw saknak ding ih a neihmi zatein a ṭhil colh,” tiah a ti.
290d0100a9	Cun Jesuh cu Biakinn songin a suah fangah, a dungthluntu pawl lakih mi pakhat nih a sinah, “Zoh hnih, Sayapa, hivai lung pawl le inn pawl hi maktak uh e!” tiah a ti.
290d0200a3	Cule Jesuh nih a sinah, “Hi inn mak tara pawl hi na hmu kau lo maw? Hi lung pakhat cungah lung dang pakhat hman tang lo in hlon colh a i leh thok,” tiah a sim.
290d030070	Jesuh cu Biakinn la hoi in Olif Tlang cungih a to laiah, Peter, James, Johan le Andru nih a thupte in an pha ih,
290d040078	“Cuvai thil pawl cu khawtikah a tiang thok ih, a tian ni a nai tikah zangtu hmuhsaknak pawl a um thok?” tiah an sut.
290d05004a	Cule Jesuh nih an sinah, “Mi ih nan ta deuh eng lonak dingah ralring uh.
290d060066	Mi tampi ka hmin in an tiang thok ih, ‘Kei hi ani ka si!’ tiah an ti thok ih mi tampi an deu thok.
290d0700aa	Cun dohfaknak thu le ral dawhnak thuthang pawl nan theih tikah nan thinphang hlah uh. Cumang thil pawl cu a cang hrimhrim thokmi an i, asinain a netnak cu a tiang rih lo.
290d0800bd	Zangahtihle miphun pakhat le pakhat, ram khat le ram khat an do fa thok. Cule hmun dangdang ah ling a hnin thok ih mangṭam a tlung thok. Cuvai pawl cu nauneih thokih pumfah mang a i thok.
290d0900f3	“Asinain nanma hrimhrim ralring uh. Zangahtihle nan ta tlai eng thok ih khonsil ah nan ta fehpit thok; Sinakok sungah nan ta thawivel eng thok; cule ka thuhla fiahpittu dingah keimaiʼ ruangah uktu pawl le siangpahrang hmai ah nan ding thok.
290d0a0042	Cule thuthang ṭha cu miphun zate sinah sipphuan hmasak a i thok.
290d0b00e7	Cun nan ta tlai eng ih mi kut nan tian tikah, zangtu ka ṭon thok tiah khawruahhar cia hlah uh. Asinain cuvai tikcu can ih nan sinih sipmi hmahhmah kau ṭon uh. Zangahtihle a ṭontu cu nan, nan i lo, Thlarau Thianghlim sawn a i.
290d0c0099	Cule unau le unau khaw thihnak tiang khop in an phatsan fa thok ih, pa nih fa, cun fale nih nu le pa pawl an dodal thok ih thihnak tiang an suah fa thok.
290d0d006d	Cun ka hmin ruangah mi hmahhmah nih nan ta hua eng thok. Asinain a net tiang a tuarsuaktu cu rundam a i thok.
290d0e00b4	“Cun ‘Tuksumza Thil Borhhlawh’ cu a din lonak ding hmun ih a din nan hmu thok.” (A siartu nih cingthiam seh!) “Cule Judea peng ih a um mi pawl cu tlang cung ah zuang seu.
290d0f0058	Inn tlun diphun ih a um mi cu rong ṭum pit in thil la dingah inn song ah lut hlah seh.
290d100044	Cule lo ih a um mi khaw a hnipuan la dingah a inn ah tlung hlah seh.
290d11004f	Cuvai can cu farai pawl le nau hnawi fawp nei pawl hrangah cu a har setak thok.
290d120034	Cuvai can cu isik can ah cang lo dingin thla cam uh.
290d130095	Zangahtihle cuvai ni ah cun Pathian nih leilung a semsuah tir in a tun tiangah a um dah kel lomi, leh a um sal i nawn thok lo mi harsatnak a um thok.
290d140095	Cun cuvai ni cu Bawipa nih a tawiter lo ahcun zangmang minung khaw an luat thok lo. Asinain a hril hleice mi pawl hrangah cuvai ni cu a tawiter thok.
290d15009a	“Cun mi pakhat khat nih, ‘Zohhnik uh, Khrih cu hiva a um!’ lole ‘Zohhnik uh, Khrih cu khiva ah a um,’ tiah nan ta ti eng khawah — zum hlah uh!
290d1600bc	Zangahtihle khrih deu pawl le profet deu pawl an suak thok ih mi an deuh theinak dingah hmuhsaknak pawl le mangbangza thil pawl an tuah thok, a canthei ahcun hril mi pawl hman an deu thok.
290d170040	Asinain ralring uh; ai hlan in thil hmahhmah nan ta sim cia cem.
290d18006a	“Asinain cuvai ni ahcun, cuvai harsatnak a tian hnukah, ni cu a mawk thok ih thlapa khaw a vang thok lo.
290d19005b	Cun vancung in arsi pawl an ṭil thok ih vancung huham cahnak pawl khaw an hnin colh thok.
290d1a0062	Cun mi nih huham cahnak le sunlawinak thawn Minung Fapa khawdur lakin a rong ṭum cu an hmu thok.
290d1b0088	Cule a vancungmi pawl a thlah hnei thok ih Leilung kil li ih a hril mi pawl cu lei taw deng ihsin van deng tiang a khawlkhawm hnei thok.
290d1c0075	“Thei kuang tahṭhipnak in zir uh. A tlang note an hang suak ih a hnah a cerh tikah ṭhal can a nai tih nan fiah.
290d1d006c	Cumang thotho in, himang thil pawl a tian nan hmuh tikah tikcu can a nai i, kotka hram a ban i, tih fiah uh.
290d1e0061	Thutak in nan ta sim, hivai thil pawl a kim lai hlan lo, tun san minung pawl hi an loral thok lo.
290d1f0052	Van le leilung cu an loral thok, asinain ka ṭonkam pawl cu an loral kel thok lo.
290d200090	“Asinain cuvai ni le can cu hutukhaw nih an fiah lo — van ih vancungmi pawl khaw nih an fiah lo, Fapa khaw nih a fiah lo; Pa kau nih a fiah.
290d210064	Nanma hrimhrim ah ralring uh, thengvar zikzik uh. Zangahtihle khawtikah a cang thok tih nan fiah lo.
290d2200f9	Zangtu thawn a ṭiahfa tihle, mi pakhat a inn ramta in khual tlawn dingih a pawh tikah, a sinum pawl sinah thuneihnak le an ṭuanvo vek ṭhaten a peta hnei ih kotka kiltu khaw ihhmul lo in thengvar ringring dingin thu a cah ta tu pa mang khi a i.
