2800000005	Matej
2c14260062	ražalošćeni posebice što je rekao da ga nikada više neće vidjeti. Zatim ga isprate na lađu.
2c15010069	Pošto smo se od njih oprostili, otplovili smo jedrenjakom do otoka Kosa, a sutradan do Roa, pa u Pataru.
2c1502003d	Ondje smo se ukrcali na lađu za sirijsku pokrajinu Feniciju.
2c15030081	Kad smo ugledali Cipar, prošli smo pokraj njega s desne strane jedreći prema Siriji. Pristali smo u Tiru da lađa iskrca teret.
2c1504008f	Sišli smo na kopno te ondje našli vjernike. Kako im je Sveti Duh otkrio da će Pavao u Jeruzalemu imati nevolja, rekli su mu da ne ide onamo.
2c1505009d	Ali kad je prošlo tjedan dana, ipak smo otputovali. Oni su nas svi ispratili do izvan grada, skupa sa ženama i djecom. Na obali smo kleknuli i pomolili se.
2c1506003f	Pozdravili smo se i ukrcali na lađu, a oni su se vratili doma.
2c15070060	Otplovili smo tako iz Tira u Ptolemaidu. Pozdravili smo ondje braću i ostali s njima jedan dan.
2c15080070	Zatim smo otišli u Cezareju i boravili u domu Filipa evanđelista, jednoga od sedmorice koji su dijelili hranu.
2c15090041	On je imao četiri neudane kćeri koje su imale dar prorokovanja.
2c150a005e	Kad smo ondje bili već nekoliko dana, dođe neki Agab koji je također imao dar prorokovanja,
2c150b00ba	uzme Pavlov pojas te njime sebi zaveže noge i ruke. “Ovo govori Sveti Duh”, reče. “Vlasnika ovog pojasa ovako će svezati židovski vođe u Jeruzalemu i predati ga Rimljanima.”
2c150c006e	Kad smo to čuli, i mi koji smo s njime putovali i mještani počnemo preklinjati Pavla da ne ide u Jeruzalem.
2c150d0078	Ali on reče: “Što plačete? Slamate mi srce! Spreman sam ne samo da me svežu nego i umrijeti za Gospodina Isusa.”
2c150e0062	Kad je bilo jasno da se ne daje nagovoriti, odustali smo i rekli: “Neka bude volja Gospodnja!”
2c150f0037	Ubrzo nakon toga spremili smo se i otišli u Jeruzalem.
2c15100082	Neki vjernici iz Cezareje koji su pošli s nama odvedu nas nekome Mnasonu s Cipra, jednomu od prvih učenika, da ondje odsjednemo.
2c15110034	Svi su nas vjernici u Jeruzalemu srdačno dočekali.
2c15120059	Sutradan Pavao pođe s nama k Jakovu. Ondje su bili i svi starješine jeruzalemske Crkve.
2c1513005e	On ih pozdravi te im podrobno izloži što je Bog učinio među poganima kroz njegovu službu.
2c15140098	Kad su to čuli, dadu slavu Bogu. Zatim mu rekoše: “Dragi brate, deseci tisuća Židova također su povjerovali. Oni se revno drže Mojsijeva zakona,
2c151500b2	a za tebe su im rekli da Židove koje žive među poganima učiš da ne poštuju Mojsijev zakon. Kažu da ih poučavaš da ne obrezuju djecu i da se ne drže židovskih običaja.
2c15160031	Što da učinimo? Sigurno će čuti da si došao.
2c1517006e	Učini zato kako ti kažemo. Među nama su četvorica koji su se zavjetovali i sad se spremaju obrijati glavu.
2c151800b9	Idi s njima u Hram i pridruži im se u obredu posvećenja te plati da im obriju glave. Tako će svi znati da su te glasine lažne, da si na pravome putu i da poštuješ židovski Zakon.
2c151900b1	A glede pogana koji su povjerovali, od njih tražimo što smo im napisali u pismu: da ne jedu meso žrtvovano idolima, krv ni meso udavljenih životinja te da se klone bluda.”
2c151a00c0	Pavao dakle pristane na njihov zahtjev te sljedećeg dana obavi s njima obred očišćenja te ode u Hram. Ondje oglasi da je njihov zavjet istekao i da će za svakoga od njih prinijeti žrtvu.
2c151b007e	Upravo se navršavalo sedam dana kad neki Židovi iz Male Azije opaze Pavla u Hramu i podjare narod protiv njega. Ščepaju ga
2c151c009f	vičući: “Izraelci! U pomoć! Evo čovjeka koji poučava protiv naroda, protiv našega Zakona i protiv Hrama! Čak ga je oskvrnuo dovodeći Grke u njega!”
2c151d0067	Prije su, naime, u gradu s njime vidjeli Trofima iz Efeza pa su mislili da je Pavao njega doveo u Hram.
2c151e006a	Sav se grad uzbuni te nastane metež. Ščepaju Pavla i odvuku ga iz Hrama te odmah zatvore za njim vrata.
2c151f0056	Dok su ga nastojali ubiti, zapovjedniku rimske čete dojave da je u Jeruzalemu pobuna.
2c15200088	On odmah s vojnicima i stotnicima potrči prema pobunjenicima. Kad je svjetina vidjela zapovjednika s vojnicima, prestanu udarati Pavla.
2c1521007c	Zapovjednik priđe, uhiti ga i zapovjedi da ga okuju dvostrukim lancima. Onda počne ispitivati tko je on i što je učinio.
2c1522007f	Iz svjetine su jedni vikali jedno, a drugi drugo. Zbog graje nije mogao pouzdano saznati razlog pa zato Pavla povede u vojarnu.
2c15230068	Kad su došli do stuba, svjetina se tako razjarila da su ga vojnici morali nositi kako bi ga zaštitili.
2c15240035	Mnoštvo je išlo za njima i vikalo: “Smakni ga!”
2c1525007e	Na ulazu u vojarnu Pavao reče zapovjedniku: “Smijem li što reći?” “Zar ti znaš grčki?” upita ga ovaj iznenađeno.
2c15260070	“Ti dakle nisi onaj Egipćanin koji je nedavno digao pobunu i poveo u pustinju četiri tisuće prevratnika?”
2c15270083	“Nisam”, odgovori Pavao. “Ja sam Židov iz Tarza, znamenitoga grada u Ciliciji. Molim te, dopusti mi da se obratim narodu.”
2c15280076	Zapovjednik mu dopusti. Pavao stane na stube i mahne rukom narodu. Nastane velika tišina. Prozbori im na hebrejskome.
2c16010051	“Braćo i oci,” reče Pavao, “poslušajte što ću reći u svoju obranu.”
2c16020058	Kad su čuli da govori na njihovu vlastitome, hebrejskom jeziku, još su više utihnuli.
2c160300cd	“Židov sam, rođen u Tarzu u Ciliciji, ali odrastao ovdje u Jeruzalemu uz Gamaliela. Do njegovih sam nogu odgajan da u svemu poštujem Zakon naših otaca. Gorljivo sam se trudio za Boga, kao i vi danas.
2c16040057	Progonio sam nasmrt sljedbenike Puta, okivao ih te i muškarce i žene bacao u tamnicu.
2c160500ca	O tomu mogu posvjedočiti i veliki svećenik i sve starješine. Od njih sam za židovsku braću u Damasku dobio pisma s ovlaštenjem da i kršćane koji su ondje dovedem okovane u Jeruzalem da se kazne.
2c1606005d	Dok sam putovao cestom prema Damasku, oko podneva me s neba odjednom obasjala jaka svjetlost.
2c1607005f	Srušio sam se na tlo. Čuo sam glas koji mi je rekao: ‘Savle, Savle! Zašto me progoniš?’
2c16080071	‘Tko si ti, Gospodine?’ upitao sam. ‘Ja sam Isus Nazarećanin kojega ti progoniš’, odgovori mi Gospodin.
2c16090045	Ljudi koji su bili sa mnom vidjeli su svjetlost, ali nisu čuli glas.
2c160a0084	Rekao sam: ‘Što mi je činiti, Gospodine?’ A Gospodin mi odgovori: ‘Pođi u Damask. Ondje će ti se reći što da činiš.’
2c160b005a	Od jake sam svjetlosti oslijepio pa su me moji pratitelji morali za ruku odvesti u Damask.
2c160c0079	Ondje mi je došao neki Ananija, pobožan čovjek koji je poštivao Zakon i bio na dobru glasu među Židovima u Damasku.
2c160d0057	On mi priđe i reče: ‘Brate Savle, progledaj!’ I istog časa sam ga mogao vidjeti.
2c160e0079	Reče mi zatim: ‘Bog naših predaka odabrao te je da spoznaš njegovu volju, da vidiš Pravednika i da mu čuješ glas.
2c160f0041	Pred svima ćeš o njemu svjedočiti o tomu što si vidio i čuo.
2c16100051	Što čekaš? Ustani, krsti se i operi se od grijeha prizivajući njegovo ime.’
2c16110047	Po povratku u Jeruzalem jednog sam se dana molio u Hramu i pao u zanos.
2c16120083	Vidio sam Isusa kako mi govori: ‘Brzo otiđi iz Jeruzalema jer ti ljudi ovdje neće vjerovati kad im budeš svjedočio o meni!’
2c16130075	‘Ali, Gospodine,’ rekao sam, ‘pa znaju da sam one koji u tebe vjeruju bacao u tamnice i bičevao po sinagogama.
2c1614006c	A kad su ubili Stjepana, stajao sam ondje odobravajući. Čuvao sam ogrtače onima koji su ga kamenovali.’
2c16150054	Ali Gospodin mi reče: ‘Idi iz Jeruzalema jer te šaljem daleko, k poganima!’”
2c1616008f	Mnoštvo je slušalo sve dok Pavao nije izgovorio tu riječ. Nato složno poviču: “Zbrišite ga s lica zemlje! Nije pravo da takav živi!”
2c1617003d	Vikali su, bacali sa sebe ogrtače i vitlali prašinu u zrak.
2c1618008e	Zapovjednik zato uvede Pavla u vojarnu i zapovjedi da ga izbičuju kako bi priznao zločin. Htio je znati zašto mnoštvo tako viče na njega.
2c16190099	Kad su ga zavezali remenjem da ga bičuju, Pavao upita stotnika koji je bio ondje: “Zar smijete bičevati rimskoga građanina, a ni sudili mu niste?”
2c161a005a	Stotnik nato ode zapovjedniku i reče: “Što radiš? Taj je čovjek rimski građanin!”
2c161b0059	Zapovjednik ode k Pavlu i upita: “Jesi li ti Rimljanin?” “Jesam”, odgovori Pavao.
2c161c0085	“I ja sam”, reče zapovjednik. “Mnogo sam novca dao da steknem taj naziv!” “A ja sam se s njim rodio”, odgovori mu Pavao.
2c161d0091	Svi vojnici koji su ga trebali ispitivati odmah odstupe od njega. Zapovjednik se prestrašio doznavši da je Pavao Rimljanin jer ga je on okovao.
2c161e00a6	Sutradan zapovjednik skine Pavlu okove te zapovjedi da se sastanu veliki svećenici i Vijeće. Htio je doznati za što ga Židovi optužuju. Zato ga izvede pred njih.
2c1701006d	Pavao se zagleda u vijećnike i reče: “Braćo, sve do danas sam pred Bogom živio posve mirne savjesti.”
2c1702004d	Nato veliki svećenik Ananija zapovjedi onima do Pavla da ga udare po ustima.
2c1703007a	“Udarit će tebe Bog, zidu obijeljeni! Sjediš tu da me sudiš po Zakonu, a sam ga kršiš i zapovijedaš da me tuku!”
2c1704004a	Nazočni rekoše Pavlu: “Zar tako grdiš Božjega velikog svećenika?”
2c17050089	“Nisam znao, braćo, da je veliki svećenik”, odvrati Pavao. “Jer u Svetome pismu piše: ‘Ne psuj poglavara svojega naroda.’”
2c170600b8	Pavao je znao da su neki članovi Velikoga vijeća saduceji, a neki farizeji, pa poviče: “Braćo, ja sam farizej i preci su mi farizeji! Sudi mi se zbog nade u uskrsnuće mrtvih!”
2c17070048	Nato izbije svađa među farizejima i saducejima i mnoštvo se podijeli.
2c17080061	Saduceji, naime, kažu da nema ni uskrsnuća, ni anđela, ni duhova, a farizeji u sve to vjeruju.
2c170900ce	Nastane silna graja. Neki pismoznanci iz farizejske sljedbe ustanu u Pavlovu obranu žestoko prosvjedujući: “Ne nalazimo da je taj čovjek počinio ikakvo zlo! A što ako mu je govorio duh ili anđeo?”
2c170a00ae	Nastane tako velika svađa da se zapovjednik prestrašio da Pavla ne rastrgaju. Zapovjedi zato da vojnici siđu po njega. Oni ga otrgnu iz svjetine i odvedu natrag u vojarnu.
2c170b009e	Te noći Gospodin pristupi Pavlu i reče mu: “Samo hrabro, Pavle! Kao što si za mene posvjedočio ovdje u Jeruzalemu, tako trebaš svjedočiti i u Rimu.”
2c170c005f	Kad se razdanilo, Židovi skuju urotu i zakunu se da neće ni jesti ni piti dok ne ubiju Pavla.
2c170d0024	Bilo ih je više od četrdesetorice.
2c170e0077	Odu zatim kazati velikim svećenicima i starješinama: “Zakleli smo se da nećemo jesti ni piti dok ne ubijemo Pavla.
2c170f00af	Zato vi sada skupa s Vijećem zamolite zapovjednika da ga opet dovedu u Vijeće. Recite da želite pobliže razmotriti njegov slučaj. A mi ćemo ga pogubiti na putu ovamo.”
2c1710005d	Ali Pavlov nećak, sin njegove sestre, dočuje za tu zavjeru pa ode u vojarnu dojaviti Pavlu.
2c1711006f	Pavao pozove nekog stotnika i reče mu: “Odvedi ovoga mladića k zapovjedniku. Ima mu nešto važno reći.”
2c1712008c	Stotnik ga odvede i reče zapovjedniku: “Zatvorenik Pavao pozvao me i zamolio da ovoga mladića dovedem k tebi jer ti ima nešto reći.”
2c17130059	Zapovjednik ga uhvati za ruku i povede u stranu te ga upita: “Što mi želiš reći?”
2c1714008d	“Neki su se Židovi dogovorili da te sutra zamole da dovedeš Pavla u Vijeće pretvarajući se da žele pomnjivije ispitati njegov slučaj.
2c171500b1	Ne čini to! Čekat će ga u zasjedi više od četrdesetero ljudi koji su se zakleli da neće ni jesti ni piti dok ga ne ubiju. Već su spremni i samo čekaju tvoj pristanak.”
2c17160054	Zapovjednik otpusti mladića i zapovjedi mu: “Nikomu ne reci da si mi to javio.”
2c1717009a	Dozove zatim dva stotnika i reče im: “Priredite dvjesto vojnika, sedamdeset konjanika i dvjesto strijelaca da večeras po devetoj uri pođu u Cezareju.
2c17180057	Pripravite Pavlu konje za jahanje te ga živa i zdrava odvedite upravitelju Feliksu.”
2c17190020	Napiše zatim pismo upravitelju:
2c171a003e	Od Klaudija Lizijavrlome upravitelju Feliksu. Pozdravljam vas!
2c171b0098	Ovoga su čovjeka uhvatili Židovi i umalo ga ubili, kad sam pritrčao s vojnicima. Doznavši da je rimski građanin, sklonio sam ga od njih na sigurno.
2c171c0042	Odveo sam ga zatim pred njihovo Vijeće da doznam što je skrivio.
2c171d00a2	Utvrdio sam da ga optužuju za nešto prijeporno glede njihova vjerskoga zakona—ali nije skrivio ništa što bi zasluživalo da ga se kazni smrću ili zatvorom.
2c171e0081	Javili su mi da su protiv njega skovali urotu. Šaljem ga zato tebi, a njegove tužitelje uputio sam da tužbu iznesu pred tobom.
2c171f003f	Te noći vojnici, prema zapovijedi, povedu Pavla u Antipatridu.
2c17200044	Sutradan se vrate u vojarnu ostavivši konjanike da ga odvedu dalje.
2c1721005d	Kad su oni pak s njim stigli u Cezareju, uruče upravitelju pismo i privedu Pavla pred njega.
2c17220062	Upravitelj pročita pismo te zapita Pavla iz koje je pokrajine. “Iz Cilicije”, odgovori Pavao.
2c1723006b	“Saslušat ću te kad stignu tvoji tužitelji”, reče mu i zapovjedi da ga čuvaju u Herodovoj palači.
2c18010088	Nakon pet dana dođe židovski veliki svećenik Ananija sa starješinama i odvjetnikom Tertulom. Iznesu upravitelju tužbu protiv Pavla.
2c180200d4	Pošto su pozvali Pavla da dođe, Tertulijan ga počne optuživati pred upraviteljem: “Preuzvišeni Felikse, mi Židovi uživamo velik mir i boljitak korisnih promjena u narodu zahvaljujući tvojoj providnosti.
2c18030022	Na svemu tome smo duboko zahvalni.
2c1804004f	Da ti dugo ne dodijavam, molim te da nas blagonaklono poslušaš samo nakratko.
2c18050084	Utvrdili smo da je taj čovjek prava kuga, da neprekidno podjaruje Židove po cijelomu svijetu i da je kolovođa nazaretske sljedbe.
2c18060034	Čak je i Hram pokušao oskvrnuti pa smo ga uhitili.
2c18080044	Ispitaš li ga sam, utvrdit ćeš da su naše optužbe opravdane.”
2c1809002a	Potvrde to i drugi Židovi podupirući ga.
2c180a0087	Upravitelj glavom dade Pavlu znak da govori te on reče: “Znam da već mnogo godina sudiš ovomu narodu i zato se mirne duše branim.
2c180b007c	Sam se možeš osvjedočiti da nije prošlo više od dvanaest dana otkako sam se otišao pokloniti Bogu u jeruzalemski Hram.
2c180c0052	Nisam ni s kim raspravljao niti dizao bunu ni ondje, ni u sinagogama, ni po gradu.
2c180d0033	Ovi ljudi ne mogu dokazati to za što me optužuju.
2c180e00aa	Ali priznajem da sam sljedbenik Puta, koji oni nazivaju sljedbom, te služim Bogu svojih predaka vjerujući u sve što piše u židovskome Zakonu i u proročkim knjigama.
2c180f0055	Jednako se, kao i oni, pouzdajem u Boga da će uskrsnuti i pravednici i nepravednici.
2c18100047	Zato se uvijek trudim imati čistu savjest i pred Bogom i pred ljudima.
2c18110069	Nakon nekoliko godina vratio sam se u Jeruzalem donijeti milodare svojemu narodu i prinijeti žrtvu Bogu.
2c1812006b	Moji su me tužitelji vidjeli u Hramu kad sam dovršavao obred posvećenja, a ne sa svjetinom ni u metežu.
2c18130081	Ali ondje su bili neki Židovi iz Male Azije—oni bi me, zapravo, trebali doći optužiti pred tobom ako imaju što protiv mene.
2c18140045	Ili upitaj ove ovdje kakvu su krivnju na meni našli članovi Vijeća
2c1815008f	osim možda jedne jedine riječi što sam ju viknuo stojeći među njima: ‘Danas mi se pred vama sudi jer vjerujem u uskrsnuće mrtvih!’”
2c1816008e	Feliks, koji je mnogo znao o Putu, odgodi preslušanje i reče: “Pričekat ćete da dođe zapovjednik Lizija. On će riješiti vaš spor.”
2c18170082	Zapovjedi stotniku da i dalje čuva Pavla u zatvoru, ali da mu odobri olakšice i da nikomu od njegovih ne brani da ga poslužuje.
2c18180098	Nekoliko dana zatim Feliks dođe sa svojom ženom Druzilom koja je bila Židovka. Pošalje po Pavla te ga je slušao kako govori o vjeri u Isusa Krista.
2c181900a3	Kad je Pavao počeo govoriti o pravednosti, uzdržljivosti i sudu što dolazi, Feliks se prestraši. “Idi sada”, reče. “Pozvat ću te kad nađem vremena.”
2c181a005f	Nadao se, osim toga, da će mu Pavao dati novca. Zato ga je često pozivao i razgovarao s njim.
2c181b007d	Tako su prošle dvije godine. Feliksa zatim zamijeni Porcije Fest. Želeći ugoditi Židovima, Feliks ostavi Pavla u zatvoru.
2c19010052	Tri dana pošto je preuzeo vlast nad pokrajinom, Fest iz Cezareje ode u Jeruzalem.
2c19020072	Ondje mu veliki svećenici i drugi židovski uglednici iznesu tužbu protiv Pavla. Preklinjali su ga da se smiluje
2c19030048	i pošalje Pavla u Jeruzalem jer su spremali zasjedu da ga putem smaknu.
2c1904004f	Ali Fest odgovori da je Pavao u zatvoru u Cezareji te da će i on uskoro onamo.
2c19050071	“Ovlastite nekolicinu da pođu sa mnom”, reče stoga. “Ako je taj čovjek što skrivio, neka ga optuže.”
2c1906006e	Osam ili deset dana potom vrati se u Cezareju. Sutradan sjedne na sudački stolac i zapovjedi da dovedu Pavla.
2c1907007e	Kad uđe Pavao, židovski vođe iz Jeruzalema okruže ga i iznesu protiv njega mnoge teške optužbe koje nisu mogli dokazati.
2c19080066	Pavao se branio: “Nisam zgriješio ni protiv židovskoga Zakona, ni protiv Hrama, ni protiv cara.”
2c19090085	A Festus ga, želeći ugoditi Židovima, upita: “Jesi li voljan poći u Jeruzalem da ti se ondje za to sudi u mojoj nazočnosti?”
2c190a007f	Pavao odgovori: “Ne. Stojim pred carevim sudom, gdje mi se i treba suditi. Dobro znaš da tim Židovima nisam ništa skrivio.
2c190b00a7	Ako sam pak zaista skrivio što zaslužuje smrt, ne bježim od toga. Ali ako me ovi ovdje neopravdano tuže, nitko me ne može njima izručiti. Prizivam se na cara!”
2c190c0064	Fest se na to posavjetuje s Vijećem pa odgovori: “Na cara si se prizvao, pred cara ćeš ići!”
2c190d005d	Nakon nekoliko dana dođu kralj Agripa i njegova sestra Berenika u Cezareju pozdraviti Festa.
2c190e008c	Kako su se ondje zadržali nekoliko dana, Fest ispriča kralju o Pavlu. “Tu je neki čovjek što ga je Feliks ostavio u zatvoru”, reče.
2c190f0067	“Dok sam bio u Jeruzalemu, veliki svećenici i starješine optužili su ga i zatražili da ga osudim.
2c191000ac	Odgovorio sam im da Rimljani ne običavaju kazniti čovjeka a da mu ne sude. Prije toga valja optuženika suočiti s tužiteljima i dati mu prigodu da se brani od optužbe.
2c1911008d	Kad su dakle skupa sa mnom doputovali ovamo, odmah sam sutradan, bez odgađanja, sjeo na sudački stolac i zapovjedio da dovedu tog čovjeka.
2c1912006a	Ali tužitelji koji su stajali oko njega nisu ga optužili ni za što od onoga što sam ja pretpostavljao.
2c19130073	Riječ je bila o nečemu prijepornom glede njihove vjere, o nekakvome Isusu koji je umro, a Pavao tvrdi da je živ.
2c19140066	Ne snalazeći se u takvoj raspravi, upitao sam ga bi li htio poći u Jeruzalem da mu ondje za to sude.
2c1915008f	Ali prizivom je zatražio da se podloži presudi njegova Veličanstva. Zato sam zapovjedio da ga čuvaju u zatvoru dok ga ne pošaljem caru.”
2c1916005f	“Htio bih i ja čuti tog čovjeka”, reče Agripa. “Čut ćeš ga sutra”, odgovori Fest.
2c191700a4	Sutradan tako Agripa i Berenika uđu u dvoranu s velikim sjajem, praćeni vojnim zapovjednicima i najvećim gradskim uglednicima. Na Festovu zapovijed dovedu Pavla.
2c19180094	Fest tada reče: “Kralju Agripa i svi nazočni, evo čovjeka zbog kojega me svi ovdašnji i jeruzalemski Židovi salijeću vičući da ga smaknem.
2c19190083	Ali nisam utvrdio da je učinio išta zbog čega bi zaslužio smrt. Kako se on sam prizvao na cara, odlučio sam ga caru i poslati.
2c191a009a	Ali nemam o njemu što pouzdano napisati caru. Zato sam ga izveo pred vas, posebice pred tebe, kralju Agripa, da bih nakon ove istrage znao što napisati.
2c191b0057	Jer doista je besmisleno poslati zatvorenika caru a ne navesti za što se optužuje!”
2c1a01006a	Agripa nato reče Pavlu: “Dopušta ti se da se braniš.” Pavao zato ispruži ruku i počne se braniti:
2c1a020074	“Kralju Agripa, smatram se sretnim da se od svega za što me Židovi optužuju mogu, evo, danas braniti pred tobom
2c1a030060	jer ti najbolje poznaješ židovske običaje i razmirice. Molim te zato, strpljivo me poslušaj!
2c1a040065	Židovski vođe dobro znaju kako sam od najranije mladosti živio među svojim narodom, u Jeruzalemu.
2c1a050077	Odavno me poznaju i mogli bi, da samo hoće, posvjedočiti da sam bio farizej, član najstrože sljedbe u našoj vjeri.
2c1a060053	Sada mi sude jer se nadam da će Bog ispuniti obećanje koje je dao našim precima.
2c1a07008e	Ispunjenju toga obećanja nadaju se i dvanaest izraelskih plemena koja postojano dan i noć služe Bogu. Za tu me nadu, kralju, tuže Židovi!
2c1a080035	Zašto smatrate nevjerojatnim da Bog uskrisuje mrtve?
2c1a09005e	I ja sam nekoć smatrao da se svim silama moram boriti protiv sljedbenika Isusa Nazarećanina.
2c1a0a0085	Pošto sam dobio ovlasti od velikih svećenika u Jeruzalemu, mnoge sam svete zatvorio u tamnicu. Glasovao sam da ih osuđuju na smrt.
2c1a0b009d	Po svim sam ih sinagogama primoravao, često mučenjem, da govore pogrde protiv Boga. Prekomjerno gnjevan na njih, progonio sam ih čak i u tuđim gradovima.
2c1a0c005b	Dok sam tako po istoj zadaći išao u Damask s punomoći i ovlaštenjem velikih svećenika,
2c1a0d006f	u pol bijela dana vidio sam, kralju, kako je mene i moje suputnike obasjala svjetlost s neba sjajnija od sunca.
2c1a0e009c	Popadali smo na zemlju. Zatim sam začuo glas kako mi na hebrejskome govori: ‘Savle, Savle! Zašto me progoniš? Teško je boriti se protiv moje volje.’
2c1a0f0060	‘Tko si ti, Gospodine?’ upitao sam. A Gospodin odgovori: ‘Ja sam Isus kojega ti progoniš.
2c1a100079	Ustani sada! Ukazao sam ti se da te postavim za poslužitelja i svjedoka onoga što si vidio i što ću ti još pokazati.
2c1a110040	Izbavit ću te i od tvojega naroda i od pogana kojima te šaljem
2c1a1200af	da im otvoriš oči, da se obrate od tame k svjetlosti, od Sotonine vlasti k Bogu. Tako će po vjeri u mene primiti oproštenje grijeha i mjesto među mojim svetim narodom.’
2c1a13003c	Kralju Agripa, nisam bio neposlušan tome nebeskom viđenju.
2c1a1400b7	Najprije sam propovijedao ljudima u Damasku pa u Jeruzalemu, a zatim svoj Judeji i poganima—da se pokaju od svojih grijeha i da se obrate Bogu te da čine djela dostojna obraćenja.
2c1a150036	Židovi su me zato uhvatili u Hramu i pokušali ubiti.
2c1a160091	Ali Bog me, eto, sačuvao da do današnjeg dana svjedočim svima, od najmanjega do najvećega, upravo ono što su pretkazivali proroci i Mojsije:
2c1a170069	da će Mesija trpjeti i da će prvi ustati od mrtvih te navješćivati svjetlost Židovima i poganima.”
2c1a18006c	Dok je još govorio u svoju obranu, Fest poviče: “Luduješ, Pavle! Preveliko ti je znanje pomutilo um!”
2c1a190052	Ali Pavao odgovori: “Ne ludujem, preuzvišeni Feste. Govorim istinito i razumno.
2c1a1a008d	Kralj Agripa zna za sve to i zato mu otvoreno govorim. Siguran sam da mu ništa od toga nije nepoznato jer se nije događalo u kakvu zakutku.
2c1a1b003f	Kralju Agripa, vjeruješ li prorocima? Znam da im vjeruješ.”
2c1a1c004c	Agripa reče: “Zamalo si me uvjerio da na brzinu postanem kršćaninom!”
2c1a1d0091	“Na brzinu ili ne,” odgovori mu Pavao, “dao Bog da ne samo ti nego i svi koji me ovdje slušaju postanu poput mene, izuzevši ove okove!”
2c1a1e0043	Nato kralj, upravitelj, Berenika i njihovi pratitelji ustanu i odu.
2c1a1f0075	Dok su odlazili, međusobno su razgovarali: “Taj čovjek nije učinio ništa čime bi zaslužio smrt ili zatvor.”
2c1a200052	Agripa reče Festu: “Da se nije prizvao na Cezara, mogli bismo ga osloboditi!”
2c1b010073	Odlučeno je da odjedrimo u Italiju. Pavla i nekolicinu drugih zatvorenika predali su stotniku carske čete Juliju.
2c1b02008a	Ukrcali smo se na neku adramitsku lađu koja je plovila u azijska mjesta te otplovili. S nama je bio i neki Makedonac, Aristarh iz Soluna.
2c1b030091	Sutradan smo doplovili u Sidon. Julije je s Pavlom vrlo ljubazno postupao. Dopustio mu je posjetiti prijatelje, da se pobrinu za njegove potrebe.
2c1b040065	Otplovili smo dalje jedreći sjeverno uz Cipar između otoka i kopna jer su puhali suprotni vjetrovi.
2c1b05004d	Prošli smo uz cilicijsku i pamfilijsku obalu te stigli u grad Miru u Liciji.
2c1b060061	Ondje stotnik pronađe neku lađu što je iz Aleksandrije plovila u Italiju, pa nas ukrca na nju.
2c1b070082	Nekoliko smo dana sporo plovili i jedva došli do Knida. Kako od vjetra nismo mogli pristati, otplovili smo pod Kretu, do Salmone,
2c1b080059	pa na jedvite jade uz nju do nekoga mjesta zvanog Dobra pristaništa, blizu grada Laseje.
2c1b090065	Mnogo smo vremena izgubili. Plovidba je postala vrlo opasnom jer je već bila jesen, a Pavao upozori:
2c1b0a0084	“Ljudi, vidim da će plovidba biti pogibeljna i da ćemo pretrpjeti veliku štetu—ne samo u teretu nego i u našim životima.”
2c1b0b0044	Ali stotnik je više vjerovao kormilaru i vlasniku broda nego Pavlu.
2c1b0c00c0	Kako luka nije bila prikladna za zimovanje, većina je ljudi predlagala da otplove i pokušaju doći do luke Feniks na Kreti, otvorenoj prema jugozapadu i sjeverozapadu, te da ondje prezimimo.
2c1b0d0077	Tada puhne blagi južnjak te oni, misleći da bi mogli uspjeti u toj nakani, dignu sidro i zaplove uz samu obalu Krete.
2c1b0e0048	Ali ubrzo zatim silovito zapuše žestok vjetar zvani sjeveroistočnjak.
2c1b0f004f	Zahvati lađu tako da mu se nije mogla oteti, pa smo se prepustili da nas nosi.
2c1b100079	Kad smo prolazili uz neki otočić zvan Kauda, jedva smo na brod podignuli čamac za spašavanje koji smo vukli za sobom.
2c1b1100ca	Podignuli su ga da uporabe opremu za spašavanje i da konopcima potpašu lađu. Bojeći se da se ne nasuču na Sirtu uz afričku obalu, spuste plivajuće sidro te smo tako plovili dalje nošeni vjetrom.
2c1b120041	Kako nas je oluja silovito bacala, sutradan izbace s broda teret,
2c1b130036	a treći dan brodsku opremu i sve čega su se domogli.
2c1b140080	Strašna je oluja bjesnjela mnogo dana te se nisu mogli vidjeti ni sunce ni zvijezde. Gubili smo svaku nadu da ćemo se spasiti.
2c1b1500a4	Dugo već nismo ništa jeli. Pavao stane pred posadu i reče: “Trebali ste me, ljudi, poslušati i ne odlaziti s Krete pa biste izbjegli svu ovu nevolju i štetu.
2c1b16005d	Ali sada vam kažem: budite odvažni jer nitko od nas neće stradati iako će lađa potonuti.
2c1b170039	Noćas mi se ukazao anđeo Boga kojemu pripadam i služim
2c1b180083	te mi rekao: ‘Ne boj se, Pavle, jer ćeš sigurno stići pred cara! A Bog ti daruje i da svi tvoji suputnici sigurno doputuju.’
2c1b190044	Zato se, ljudi, razvedrite! Vjerujem Bogu. Bit će kako mi je rekao.
2c1b1a0025	Ali nasukat ćemo se na neki otok.”
2c1b1b007f	Četrnaeste noći oluje, oko ponoći, vjetar nas je gonio amo-tamo po Jadranu. Mornari naslute da se približava nekakvo kopno.
2c1b1c0060	Bace olovnicu i izmjere dvadeset hvati dubine. Malo zatim opet ju bace i izmjere petnaest hvati.
2c1b1d0069	Prestraše se da ne nalete na grebene pa bace s krme četiri sidra i počnu se moliti da se brzo razdani.
