0100000008	Genesisy
181e160034	Ary ianareo ho oloko, ary Izaho ho Andriamanitrareo.
181e170082	He! ny tadion’ i Jehovah! Mivoaka ny fahatezerana sy ny tadio mitambolimbolina ka miantonta amin’ ny lohan’ ny ratsy fanahy.
181e1800a9	Ny firehetan’ ny fahatezeran’ i Jehovah tsy ho afaka ambara-panefany sy ambara-panatanterany ny hevitry ny fony; Mbola ho fantatrareo marimarina izany any am-parany.
181f010076	Amin’ izany andro izany, hoy Jehovah, dia ho Andriamanitry ny isam-pianakavian’ ny Isiraely Aho, ary izy ho oloko.
181f02009b	Izao no lazain’ i Jehovah: Hahita fitia any an-efitra ny olona izay sisa tsy matin’ ny sabatra; Handeha Aho ka hanome fitsaharana ho an’ ny Isiraely.
181f030098	Tany lavitra any no nisehoan’ i Jehovah tamiko ka nanao hoe: Fitiavana mandrakizay no nitiavako anao, koa izany no nampaharetako famindram-po ho anao.
181f0400a9	Mbola hanorina anao indray Aho, ka dia hiorina ianao, ry Isiraely virijina! Ary mbola hiravaka mitondra ny ampongatapakao ianao ka hivoaka amin’ ny dihin’ ny mifaly.
181f05007d	Mbola hanao tanim-boaloboka ao amin’ ny tendrombohitr’ i Samaria ianao; Ny mpamboly dia hamboly sady hihinana ny vokatra.
181f0600bc	Fa mbola hisy andro hiantsoan’ ny mpitazana any amin’ ny tany havoan’ i Efraima hoe: Mitsangana ianareo, ka andeha isika hiakatra any Ziona, Ho any amin’ i Jehovah Andriamanitsika.
181f0700f1	Fa izao no lazain’ i Jehovah: Mihobia amin’ ny fifaliana noho ny amin’ i Jakoba, ary mifalia noho ny amin’ ny lohan’ ny firenena, torionareo, deraonareo, ka ataovy hoe: Jehovah ô, vonjeo ny olonao, dia ny sisa amin’ ny Isiraely.
181f0800fd	Indro, hitondra azy avy any amin’ ny tany avaratra Aho sy hanangona azy avy any amin’ ny faran’ ny tany, ka dia samy ho eny aminy avokoa na ny jamba na ny mandringa, na izay manan’ anaka na izay mihetsi-jaza; Irai-dia marenina no hiverina atỳ.
181f0900ec	Amin’ ny fitomaniana no hihaviany, ary amin’ ny fifonany no hitondrako azy; Ary ho entiko ho eny amoron’ ny renirano izy, amin’ ny lalana mahitsy izay tsy hahatafintohina azy; Fa Rain’ Isiraely Aho, ary Efraima no lahimatoako.
181f0a00fb	Mihainoa ny tenin’ i Jehovah, ianareo jentilisa, ary torio any amin’ ny tany amoron-tsiraka any lavitra any izany, ka atao hoe: Izay nampiely ny Isiraely no hanangona azy indray sady hitandrina azy toy ny fitandrin’ ny mpiandry ondry ny ondriny.
181f0b0064	Fa Jehovah efa nanavotra an’ i Jakoba sy efa nanafaka azy tamin’ ny tanan’ ny mahery noho izy.
181f0c0122	Ka dia ho avy ireny ka hihoby ao amin’ ny havoan’ i Ziona, dia hitanjozotra ho any amin’ ny zava-tsoan’ i Jehovah, dia ny vary sy ny ranom-boaloboka sy ny diloilo sy ny zanak’ ondry ary ny zanak’ omby; Ary ny fanahiny ho toy ny tanimboly vonton-drano, ka tsy hihamalazo intsony.
181f0d00c6	Ary amin’ izany dia ho faly amin’ ny fandihizana ny virijina mbamin’ ny zatovo sy ny antitra koa; Fa hampodiko ho fifaliana ny fitomaniany, ka hampiononiko sy hampifaliko izy ho afaka alahelo.
181f0e0068	Dia hovokisako zava-matavy ny fanahin’ ny mpisorona, ary ny oloko ho voky ny zava-tsoako, hoy Jehovah.
181f0f00cc	Izao no lazain’ i Jehovah: Nisy feo re tao Rama, dia fidradradradrana sy fitomaniana fatratra; Rahely nitomany ny zanany, ary tsy azo nampiononina izy noho ny amin’ ny zanany, satria lany ritra ireny.
181f1000b9	Izao no lazain’ i Jehovah: Atsaharo ny fitomanianao sy ny fandatsahanao ranomaso; Fa hisy valiny tokoa ny ataonao, hoy Jehovah, ary hody avy any amin’ ny tanin’ ny fahavalo ireny.
181f110071	Ary misy fanantenana ho anao any am-parany, hoy Jehovah; Fa ny zaza dia hiverina ho any amin’ ny taniny indray.
181f1200b5	Efa reko tokoa Efraima nitomany ny tenany hoe: Nofaizanao aho, eny, nofaizana toy ny ombilahy kely tsy voafolaka; Avereno aho, dia ho tafaverina, fa Hianao no Jehovah Andriamanitro.
181f1300c3	Nony efa niverina tokoa aho, dia vao nahalala fanenenana; Ary rehefa nampahafantarina ny toe-tenako aho, dia niteha-tratra; Menatra sady mangaihay aho, fa latsain’ ny tsinin’ ny fahatanorako.
181f1400ba	Zanako mahafinaritra va Efraima, zaza malalako va izy, no dia fatra-pahatsiaro azy isaky ny mitezitra azy Aho? Noho izany dia onena azy ny foko; Hamindra fo aminy tokoa Aho, hoy Jehovah.
181f1500e0	Manangàna famantaran-dalana ho anao ianao, manorena tsangam-bato; Saino tsara ny lalana efa voavoatra, dia ilay lalana efa nalehanao; Miverena indray, ry Isiraely virijina, miverena indray ho amin’ ireto tanànanao ireto.
181f160090	Mandra-pahoviana no hirioriovanao, ry zanakavavy mpiodina? Fa Jehovah efa namorona zava-baovao amin’ ny tany: Vehivavy no hanodidina lehilahy.
181f17013f	Izao no lazain’ i Jehovah, Tompon’ ny maro, Andriamanitry ny Isiraely: Mbola holavina indray ao amin’ ny tanin’ ny Joda sy ao amin’ ny tanànany izao teny izao, raha hampodiko avy amin’ ny fahababoany izy: Hotahin’ i Jehovah anie ianao, ry fonenan’ ny fahamarinana, sy ry tendrombohitry ny fahamasinana!
181f180088	Ary ny Joda sy ny tanànany rehetra dia hiara-monina ao aminy ho mpiasa tany sy ho mpilasy mitondra ny andian’ ny ondry aman’ osiny.
181f190051	Fa ny fanahy ana dia hampisotroiko, ary ny fanahy mihaosa rehetra dia hovokisako.
181f1a0049	Ary tamin’ izay dia nahatsiaro aho ka nahita; Ary mamiko ny torimasoko.
181f1b009f	Indro, avy ny andro, hoy Jehovah, ka hafafiko eo amin’ ny taranak’ Isiraely sy ny taranak’ i Joda Ny taranak’ olombelona sy ny taranaky ny biby fiompy.
181f1c00a1	Ary toy ny niambenako azy hongotana sy hazera sy harodana sy horavana ary hampahorina, dia ho toy izany no hiambenako azy Haorina sy hambolena kosa, hoy Jehovah.
181f1d0085	Amin’ izany andro izany izy dia tsy hanao intsony hoe: ny ray no nihinana voaloboka maharikivy, ka ny nifin’ ny zanany no madilo.
181f1e007e	Fa ny olona rehetra samy ho fatin’ ny helony avy; Izay rehetra homana ny voaloboka maharikivy. Dia izy ihany no hadilo nify.
181f1f0078	Indro, avy ny andro, hoy Jehovah, Izay hanaovako fanekena vaovao amin’ ny taranak’ Isiraely sy ny taranak’ i Joda,
181f2000d7	Nefa tsy araka ny fanekena nataoko tamin’ ny razany tamin’ ny andro nitantanako azy nitondra azy nivoaka avy tany amin’ ny tany Egypta; Fa izy ireny dia nivadika ny fanekeko, Nefa Izaho no vadiny, hoy Jehovah.
181f2100d4	Fa izao no fanekena havoko amin’ ny taranak’ Isiraely. Rehefa afaka izany andro izany, hoy Jehovah: Dia hataoko ao an-tsainy ny lalàko sady hosoratako ao am-pony; Ary Izaho ho Andriamaniny, ary izy ho oloko.
181f22011b	Ary samy tsy hampianatra ny namany sy ny rahalahiny avy intsony izy hoe: Mahalalà an’ i Jehovah; Fa samy hahalala Ahy avokoa izy rehetra. Hatramin’ ny kely indrindra ka hatramin’ ny lehibe indrindra, hoy Jehovah; Fa havelako ny helony, ary tsy hotsarovako intsony ny fahotany.
181f230109	Izao no lazain’ i Jehovah, Izay manome ny masoandro ho fahazavana amin’ ny antoandro ary ny filahatry ny volana sy ny kintana ho fahazavana amin’ ny alina, Izay mampanonja ny ranomasina, ka dia mirohondrohona ny onjany, Jehovah, Tompon’ ny maro, no anarany:
181f240090	Raha miova eo anoloako izany filahatra izany, hoy Jehovah, dia hitsahatra tsy ho firenena eo anatrehako mandrakizay kosa ny taranak’ Isiraely.
181f2500cf	Izao no lazain’ i Jehovah: Raha misy maharefy ny lanitra ambony, na mahafantatra ny fanorenan’ ny tany ambany, dia Izaho kosa hanary ny taranak’ Isiraely rehetra noho izay rehetra nataony, hoy Jehovah.
181f2600a9	Indro, avy ny andro, hoy Jehovah, Izay hanorenana ity tanàna ity indray ho an’ i Jehovah hatramin’ ny tilikambon’ i Hananela ka hatramin’ ny vavahady an-jorony.
181f270078	Ary ny famolaina dia mbola hohenjaniko mahitsy hatreo an-tampon’ ny tendrombohitra Gareba, dia hasangodina ho any Goa;
181f2800f6	Ary ny lohasaham-paty sy lavenona rehetra sy ny saha rehetra hatramin’ ny Lohasahan-driaka Kidrona ka hatramin’ ny zoron’ ny vavahadin-tsoavaly atsinanana dia ho masìna ho an’ i Jehovah; Tsy hongotana na horavana intsony izy mandrakizay.
18200100c8	Izao no teny tonga tamin’ i Jeremia avy tamin’ i Jehovah tamin’ ny taona fahafolo nanjakan’ i Zedekia, mpanjakan’ ny Joda, dia ny taona fahavalo ambin’ ny folo nanjakan’ i Nebokadnezara.
18200200e7	Fa tamin’ izany no nanaovan’ ny miaramilan’ ny mpanjakan’ i Babylona fahirano an’ i Jerosalema; ary Jeremia mpaminany nambenana teo an-kianjan’ ny trano fiambenana, izay teo amin’ ny tranon’ ny mpanjakan’ ny Joda.
18200300d5	Fa Zedekia, mpanjakan’ ny Joda, nampiambina azy ka nanao hoe: Nahoana ianao no maminany hoe: Izao no lazain’ i Jehovah: Indro, hatolotro eo an-tànan’ ny mpanjakan’ i Babylona ity tanàna ity, ka ho afany;
18200400d6	ary Zedekia, mpanjakan’ ny Joda, dia tsy ho afa-mandositra ny tanan’ ny Kaldeana, fa hatolotra eo an-tànan’ ny mpanjakan’ i Babylona tokoa izy, ary hiteny aminy mifanatrika izy sady hifankahita maso aminy;
18200500a4	ary ho any Babylona no hitondrana an’ i Zedekia, ka ho any izy ambara-pamangiko azy, hoy Jehovah; na dia miady amin’ ny Kaldeana aza ianareo, dia tsy hambinina.
1820060038	Ary hoy Jeremia: Tonga tamiko ny tenin’ i Jehovah hoe:
18200700a6	Indro Hanamela, zanak’ i Saloma, rahalahin-drainao, ho avy eto aminao hanao hoe: Vidionao ny sahako izay ao Anatota, fa ianao no havana akaiky tokony hanavotra azy.
1820080166	Ary Hanamela, zana-drahalahin’ ikaky, dia tonga tamiko teo an-kianjan’ ny trano fiambenana araka ny tenin’ i Jehovah, ka hoy izy tamiko: Masìna ianao, vidio ny sahako izay ao Anatota, dia ilay ao amin’ ny tanin’ ny Benjamina, fa ianao no havana akaiky tokony handova sy hanavotra azy, vidio re ho anao. Ka dia fantatro fa tenin’ i Jehovah izany.
1820090099	Ary novidiko tamin’ i Hanamela, zana-drahalahin’ ikaky, ny saha izay tao Anatota, ary nolanjaiko ny vola, dia sekely volafotsy fito ambin’ ny folo.
18200a0086	Ary nosoratako tamin’ ny taratasy izany ka nasiako tombo-kase sady nasiako vavolombelona, ary nolanjaiko tamin’ ny mizana ny vola.
18200b00a3	Ka dia noraisiko ny taratasy nisy ny fanekena tamin’ ny vidin-tany, dia ilay voaisy tombo-kase araka ny lalàna sy ny fanao, mbamin’ ny taratasy mivelatra koa;
18200c017f	dia natolotro an’ i Baroka, zanak’ i Neria, zanak’ i Mahaseia, ilay taratasy nisy ny fanekena tamin’ ny vidin-tany, teo imason’ i Hanamela, zana-drahalahin’ ikaky, sy teo anatrehan’ ny vavolombelona izay nanao sonia tamin’ ny taratasy nisy ny fanekena tamin’ ny vidin-tany, dia teo anatrehan’ ny Jiosy rehetra izay nipetraka teo an-kianjan’ ny trano fiambenana.
18200d003f	Ary nandidy an’ i Baroka teo anatrehan’ ireo aho nanao hoe:
18200e0112	Izao no lazain’ i Jenovah, Tompon’ ny maro, Andriamanitry ny Isiraely: Ento ireto taratasy ireto, dia ireto taratasy misy ny fanekena amin’ ny vidin-tany, dia ilay misy tombo-kase, mbamin’ ny taratasy mivelatra, ary ataovy ao anaty vilany tany izy mba haharitra ela.
18200f00a4	Fa izao no lazain’ i Jehovah, Tompon’ ny maro, Andriamanitry ny Isiraely: Mbola hisy trano sy saha ary tanim-boaloboka hovidina indray eto amin’ ity tany ity.
1820100097	Ary rehefa voatolotra an’ i Baroka, zanak’ i Neria, ilay taratasy nisy ny fanekena tamin’ ny vidin-tany, dia nivavaka tamin’ i Jehovah aho hoe:
18201100a9	Indrisy, Jehovah Tompo ô! Indro, Hianao no nanao ny lanitra sy ny tany tamin’ ny herinao lehibe sy ny sandrinao ahinjitra, ary tsy misy zava-mahagaga izay tsy hainao.
18201200bc	Mamindra fo amin’ ny arivo arivo Hianao ary mamaly ny heloky ny ray ho ao an-tratran’ ny zanany mandimby azy dia Andriamanitra lehibe sy mahery, Jehovah, Tompon’ ny maro, no anarany,
18201300c3	lehibe amin’ ny fisainana sy mahery amin’ ny atao; fa ny masonao mibanjina ny alehan’ ny zanak’ olombelona rehetra mba hanome azy rehetra araka ny lalany avy sy araka ny vokatry ny asany,
18201400da	dia Ilay nanisy famantarana sy fahagagana tany amin’ ny tany Egypta ka mandraka androany koa, na ao amin’ ny Isiraely, na ao amin’ ny olona hafa koa, ka dia nanao anarana ho Anao tahaka ny amin’ izao anio izao.
18201500c3	Ary nitondra ny Isiraely olonao nivoaka avy tany amin’ ny tany Egypta Hianao tamin’ ny famantarana sy ny fahagagana ary ny tanana mahery sy ny sandry nahinjitra ary ny fampahatahorana lehibe,
1820160082	ka dia nanome azy ity tany ity, izay efa nianiananao nolazainao tamin’ ny razany homena azy, dia tany tondra-dronono sy tantely.
18201700e9	Ary tonga teto izy, dia nandova azy, nefa tsy nihaino ny feonao izy sady tsy nandeha araka ny lalànao; ary tsy nanao na inona na inona tamin’ izay rehetra nasainao nataony izy, ka dia nataonao mihatra aminy izao loza rehetra izao.
1820180108	Indro, ny tovon-tany efa miorina akaikin’ ny tanàna hanafahana azy, ary ny tanàna dia atolotra eo an-tànan’ ny Kaldeana izay mamely azy noho ny sabatra sy ny mosary sy ny areti-mandringana; ary izay nolazainao dia tonga, ka indro, hitan’ ny masonao izany.
18201900af	Ary Hianao, Jehovah Tompo ô, dia niteny tamiko ka nanao hoe: Vidionao vola ny saha, ary makà vavolombelona, na dia efa voatolotra eo an-tànan’ ny Kaldeana aza ny tanàna.
18201a0037	Dia tonga tamin’ i Jeremia ny tenin’ i Jehovah hoe:
18201b0061	Indro, Izaho no Jehovah, Andriamanitry ny nofo rehetra; moa misy zava-mahagaga izay tsy haiko va?
18201c00aa	Koa izao no lazain’ i Jehovah: Indro, efa hatolotro eo an-tànan’ ny Kaldeana ity tanàna ity sy eo an-tànan’ i Nebokadnezara mpanjakan’ i Babylona, ka ho afany.
18201d010f	Ary ny Kaldeana, izay efa mamely ity tanàna ity dia hiditra ary handrehitra afo eto ka handoro azy mbamin’ ny trano izay efa nandoroana ditin-kazo manitra teo an-tampony ho an’ i Bala, sady nanidinana fanatitra aidina ho an’ andriamani-kafa mba hampahatezitra Ahy.
18201e00d3	Fa izay ratsy eo imasoko ihany no nataon’ ny Zanak’ Isiraely sy ny taranak’ i Joda hatry ny fony ireo mbola kely; fa ny Zanak’ Isiraely efa nampahatezitra Ahy tamin’ ny asan’ ny tànany, hoy Jehovah.
18201f00a2	Fa ity tanàna ity dia efa nampahatezitra sy nampahavinitra Ahy hatramin’ ny andro nanorenana azy ka mandraka androany, mba hanesorako azy tsy ho eo anatrehako,
18202000f2	noho ny ratsy rehetra nataon’ ny Zanak’ Isiraely sy ny taranak’ i Joda, dia izy sy ny mpanjakany sy ny mpanapaka azy sy ny mpisorony sy ny mpaminaniny sy ny lehilahy amin’ ny Joda ary ny mponina any Jerosalema, mba hampahatezitra Ahy.
18202100ac	Fa efa niamboho Ahy izy, fa tsy nanatrika Ahy, ary na dia nampianariko aza izy ― eny, nifoha maraina koa Aho ka nampianatra azy, dia tsy nihaino mba hahazoany anatra izy.
1820220067	Fa nametraka ny fahavetavetany tato amin’ ny trano izay efa niantsoana ny anarako izy handotoany azy;
182023012c	ary nanorina ny fitoerana avon’ i Bala, izay ao amin’ ny Lohasahan’ ny taranak’ i Hinoma, izy mba hampandeha ny zananilahy sy ny zananivavy hamaky ny afo ho an’ i Moloka, izay tsy nandidiako azy, na tao an-tsaiko akory aza, ka dia nanao izany fahavetavetana izany izy mba hampanota ny Joda.
18202400ed	Koa noho izany dia izao no lazain’ i Jehovah, Andriamanitry ny Isiraely, ny amin’ ity tanàna ity, izay ataonareo hoe: Hatolotra eo an-tànan’ ny mpanjakan’ i Babylona amin’ ny sabatra sy ny mosary ary ny areti-mandringana izy:
18202500d4	Indro izy hangoniko avy any amin’ ny tany rehetra izay nandroahako azy tamin’ ny fahatezerako sy ny fisafoahako ary ny fahavinirana be; ary ho entiko amin’ ity tany ity indray izy ka hataoko mandry fahizay;
182026002c	ary izy ho oloko, ary Izaho ho Andriamaniny.
182027006a	Dia homeko fo iray sy lalana iray izy, mba hatahorany Ahy lalandava hahasoa azy sy ny zanany mandimby azy;
18202800a8	dia hanao fanekena mandrakizay aminy Aho, dia ny tsy hitsaharako amin’ ny fanasoavako azy; ary ny fahatahorana Ahy dia hataoko ao am-pony kosa, mba tsy hialany amiko.
1820290081	Eny, ho faly aminy Aho ka hahasoa azy, dia hamboly azy amin’ ity tany ity tokoa amin’ ny foko rehetra sy ny fanahiko rehetra.
18202a00c0	Fa izao no lazain’ i Jehovah: Araka ny nampahatongavako izao loza lehibe rehetra izao tamin’ ity firenena ity, dia araka izany asa no hampahatongavako ny soa rehetra izay nokasaiko ho azy.
18202b00a4	Ary mbola hisy fividianana saha eto amin’ ity tany ity, izay ataonareo hoe Tany lao tsy misy olona na biby fiompy sady efa voatolotra eo an-tànan’ ny Kaldeana.
18202c01c8	Eny, saha no hovidin’ ny olona vola, ka hosoratany amin’ ny taratasy sy hasiany tombo-kase ary hasiany vavolombelona ao amin’ ny tanin’ ny Benjamina sy amin’ ny manodidina an’ i Jerosalema sy amin’ ny tanànan’ ny Joda sy amin’ ny tanàna any amin’ ny tany havoana sy amin’ ny tanàna ny amin’ ny tany lemaka amoron-tsiraka ary amin’ ny tanàna any amin’ ny tany atsimo; fa hampodiko avy amin’ ny fahababoany izy, hoy Jehovah.
1821010090	Ary tonga fanindroany tamin’ i Jeremia ny tenin’ i Jehovah, raha mbola voahazona teo an-kianjan’ ny trano fiambenana ihany izy, nanao hoe:
1821020073	Izao no lazain’ i Jehovah, Mpanao izany, dia Jehovah Izay namorona izany mba hampitoetra azy; Jehovah no anarany;
1821030064	Antsoy Aho, dia hovaliako ianao ka hampisehoako zavatra lehibe sy saro-pantarina izay tsy fantatrao.
18210400c9	Fa izao no lazain’ i Jehovah, Andriamanitry ny Isiraely; Ny amin’ ny trano amin’ ity tanàna ity sy ny amin’ ny lapan’ ny mpanjakan’ ny Joda, izay noravana noho ny tovon-tany sy ny sabatra,
18210500e6	Raha mandroso hiady amin’ ny Kaldeana izy ka mameno ny trano amin’ ny fatin’ olona, izay novonoiko tamin’ ny fahatezerako sy ny fahavinirako, sady nanafenako ny tavako tamin’ ity tanàna ity noho ny faharatsiany rehetra:
182106008b	Dia, indro, hotanterahiko tokoa ny fanasitranana azy, eny, hositraniko izy, ary hasehoko aminy ny haren’ ny fiadanana sy ny fahamarinana.
1821070065	Ary ny Joda sy ny Isiraely dia hampodiko avy amin’ ny fahababoany, ka haoriko ho toy ny taloha izy.
182108008d	Ary hodioviko ho afaka amin’ ny helony rehetra izy, izay nanotany tamiko; Ka havelako ny helony rehetra, izay nanotany sy niodinany tamiko.
18210900fc	Ary ho anarana mahafaly Ahy izany sady ho dera sy voninahitra ho an’ ny firenena rehetra ambonin’ ny tany, izay handre ny soa rehetra ataoko aminy; Dia hatahotra sy hangovitra izy noho ny soa rehetra sy noho ny fiadanana rehetra izay hataoko aminy.
18210a0116	Izao no lazain’ i Jehovah: Mbola ho re indray eto amin’ ity tany ity, izay ataonareo hoe Rava, ka tsy misy olona na biby fiompy intsony dia eto amin’ ny tanànan’ ny Joda sy ao amin’ ny lalamben’ i Jerosalema izay efa lao, ka tsy misy olona na mponina na biby fiompy
18210b015c	Ny feo mifaly sy ny feo miravoravo, dia ny feon’ ny mpampakatra sy ny feon’ ny ampakarina ary ny feon’ izay manao hoe: Miderà an’ i Jehovah, Tompon’ ny maro, fa tsara Izy, fa mandrakizay ny famindram-pony, dia izay mitondra fanati-pisaorana ho ao an-tranon’ i Jehovah; Fa hataoko tonga tahaka ny tany aloha ny fahatsarany, hoy Jehovah.
18210c00df	Izao no lazain’ i Jehovah, Tompon’ ny maro: Eto amin’ ity tany efa lao tsy misy olona na biby fiompy ity sy amin’ ny tanànany rehetra dia mbola hisy fonenan’ ny mpiandry ondry hampandriany ny ondry aman’ osiny,
18210d0173	Dia amin’ ny tanàna any amin’ ny tany havoana sy amin’ ny tanàna any amin’ ny tany lemaka amoron-tsiraka, ary amin’ ny tanana any amin’ ny tany atsimo sy amin’ ny tanin’ ny Benjamina sy amin’ ny manodidina an’ i Jerosalema ary amin’ ny tanànan’ ny Joda, ary ny ondry aman’ osy mbola handroso araka ny fitondran’ ny mpanisa azy, hoy Jehovah.
18210e008c	Indro, avy ny andro, hoy Jehovah, Izay hanatanterahako ny teny soa, izay nolazaiko ny amin’ ny aranak’ Isiraely sy ny taranak’ i Joda.
18210f00a6	Amin’ izany andro izany sy amin’ izany fotoana izany dia hampaniry Rantsana marina ho an’ i Davida Aho; Ary hanao fitsarana sy fahamarinana amin’ ny tany Izy.
1821100085	Amin’ izany andro izany dia hovonjena ny Joda, ary Jerosalema handry fahizay; Ary izao no hanononana azy: Jehovah Fahamarinantsika.
1821110081	Fa izao no lazain’ i Jehovah: Davida tsy ho diso zanakalahy Hipetraka eo amin’ ny seza fiandrianan’ ny taranak’ Isiraely;
18211200a3	Ary ny Levita mpisorona tsy ho diso zanakalahy ho eo anatrehako, Mba hanaterany mandrakariva fanatitra dorana sy fanatitra hohanina ary fanatitra hafa alatsa-drà.
182113003d	Ary tonga tamin’ i Jeremia ny tenin’ i Jehovah nanao hoe:
18211400a7	Izao no lazain’ i Jehovah: Raha mahafoana ny fanekeko ny amin’ ny andro sy ny fanekeko ny amin’ ny alina ianareo, mba tsy hisy andro sy alina amin’ ny fotoany,
18211500b0	Dia ho azo foanana koa ny fanekeko tamin’ i Davida mpanompoko, tsy hananany zanakalahy hanjaka eo amin’ ny seza fiandrianany, sy ny amin’ ny Levita mpisorona, mpanompoko.
1821160102	Toy ny hamaroan’ ny kintana eny amin’ ny lanitra, izay tsy azo isaina, ary toy ny fasika any amin’ ny ranomasina, izay tsy azo afàtra, dia toy izany no hanamaroako ny taranak’ i Davida mpanompoko sy ny Levita, izay manao fanompoam-pivavahana ho Ahy.
182117003d	Ary tonga tamin’ i Jeremia ny tenin’ i Jehovah nanao hoe:
18211800cb	Tsy hitanao va izay nolazain’ ity firenena ity hoe: Ny fianakaviana roa izay nofidin’ i Jehovah dia efa nariany; Toy izany no anamavoany ny oloko, ka dia tsy vanon-ko firenena eo imasony intsony izy.
1821190094	Izao no lazain’ i Jehovah: Raha tsy amin’ ny andro sy ny alina ny fanekeko, ary raha tsy notendreko ny lalàna fitondrana ny lanitra sy ny tany,
18211a00d1	Dia hariako ny taranak’ i Jakoba sy Davida mpanompoko, ka ny taranany tsy mba hanalako ho mpanapaka ny taranak’ i Abrahama sy Isaka ary Jakoba; Fa hampodiko avy amin’ ny fahababoana izy ka hamindrako fo.
182201011d	Izao no teny tonga tamin’ i Jeremia avy tamin’ i Jehovah, fony Nebokadnezara, mpanjakan’ i Babylona, sy ny miaramilany rehetra ary ny fanjakana rehetra amin’ ny tany izay nanjakany mbamin’ ny firenena rehetra izay namely an’ i Jerosalema sy ny tanànany rehetra, nanao hoe:
1822020111	Izao no lazain’ i Jehovah, Andriamanitry ny Isiraely: Mandehana, lazao amin’ i Zedekia, mpanjakan’ ny Joda, ka ambarao aminy hoe: Izao no lazain’ i Jehovah: Indro, hatolotro eo an-tànan’ ny mpanjakan’ i Babylona ity tanàna ity, ka hodorany amin’ ny afo izy;
18220300e2	ary ianao tsy ho afa-mandositra ny tànany, fa ho voasambotra tokoa ka hatolotra eo an-tànany; ary ny masonao hahita ny mason’ ny mpanjakan’ i Babylona, dia hiteny mifanatrika aminao izy, sady ho tonga any Babylona ianao.
1822040087	Nefa henoy ny tenin’ i Jehovah, ry Zedekia, mpanjakan’ ny Joda. Izao no lazain’ i Jehovah ny aminao: Tsy ho fatin-tsabatra ianao.
182205010f	fa amin’ ny fiadanana no hahafatesanao, ary handoro zavatra ho fisaonana anao ny olona, tahaka ny nandoroany ho fisaonana ny razanao, dia ireny mpanjaka fahiny tany alohanao, ary hitomany anao ny olona hoe: Indrisy ry tompoko; fa Izaho no efa nilaza izany, hoy Jehovah.
1822060077	Dia nolazain’ i Jeremia mpaminany tamin’ i Zedekia, mpanjakan’ ny Joda, tany Jerosalema izany teny rehetra izany.
18220700d4	fony ny miaramilan’ ny mpanjakan’ i Babylona mbola namely an’ i Jerosalema sy ny tanànan’ ny Joda sisa rehetra, dia Lakisy sy Azeka: fa ireo ihany no tanàna mimanda sisa tamin’ ny tanànan’ ny Joda.
18220800ae	Izao no teny tonga tamin’ i Jeremia avy tamin’ i Jehovah, rehefa nanao fanekena tamin’ ny vahoaka rehetra izay tany Jerosalema Zedekia mpanjaka hitory fanafahana aminy,
1822090096	mba samy handefa ny ankizilahiny sy ny ankizivaviny, dia izay Hebreolahy sy Hebreovavy, ho afaka, mba tsy hisy hampanompo ny Jiosy rahalahiny intsony.
18220a00dd	Ka dia nanaiky ny mpanapaka rehetra sy ny vahoaka rehetra izay nanao ny fanekena, samy handefa ny ankizilahiny sy ny ankizivaviny ho afaka mba tsy hampanompoany azy intsony; eny, nanaiky izy, ka samy nandefa azy ho afaka.
18220b00b5	Kanjo taorian’ izany dia nanenina izy, ka naveriny indray ireo ankizilahy sy ankizivavy izay efa nalefany ho afaka ireo, dia nandevoziny ho ankizilahiny sy ho ankizivaviny indray.
18220c0037	Ary tonga tamin’ i Jeremia ny tenin’ i Jehovah hoe:
18220d00e0	Izao no lazain’ i Jehovah, Andriamanitry ny Isiraely: Izaho efa nanao fanekena tamin’ ny razanareo tamin’ ny andro nitondrako azy nivoaka avy tany amin’ ny tany Egypta hiala tamin’ ny trano nahandevozana nanao hoe:
18220e00c1	Isam-pito taona samia mandefa ny Hebreo rahalahiny, izay namidy taminao; ka rehefa nanompo anao enin-taona izy, dia alefaso ho afaka; nefa ny razanareo tsy nihaino Ahy ka nanongilana ny sofiny.
18220f00e8	Ary nibebaka ianareo androany ka nanao izay mahitsy eo imasoko tamin’ ny niantsoanareo fanafahana, samy handefa ny rahalahiny avy; ary nanao fanekena teo anatrehako ianareo, dia tao amin’ ny trano izay efa niantsoana ny anarako;
18221000dc	kanjo nivadika indray ianareo ka tsy nanamasina ny anarako, fa samy namerina ny ankizilahiny sy ny ankizivaviny, izay efa nalefanareo handeha araka izay tiany, dia nanandevo azy ho ankizilahiny sy ho ankizivaviny indray.
182211015d	Koa izao no lazain’ i Jehovah: Hianareo tsy nihaino Ahy ka tsy nety nitory fanafahana ho an’ ny rahalahinareo sy ny namanareo avy; dia, indro, miantso fanafahana ho anareo kosa Aho, hoy Jehovah, nefa ho an’ ny sabatra sy ny areti-mandringana ary ny mosary; ary hatolotro ho mpanjenjena any amin’ ny fanjakana rehetra amin’ ny tany ianareo.
18221200c3	Ary hatolotro ny olona izay nivadika ny fanekeko ka tsy nahatana ny tenin’ ny fanekena, izay nataony teo anatrehako fony nosasahiny ny ombilahy kely, ka nandeha teo anelanelan’ ny tapany izy,
18221300b3	eny, hatolotro ny mpanapaka ny Joda sy ny mpanapaka any Jerosalema sy ny tandapa sy ny mpisorona ary ny vahoaka rehetra, izay nandeha teo anelanelan’ ny tapaky ny ombilahy kely,
