2900000006	Marcos
29091400a1	Kaya gintan lay anak kan Apu Jesus. Nuwa, hin naakit anitu hi Apu Jesus, pinamêgpêg nay anak buy binumagsak ha luta, pinagulung gulung buy binubumulay bêbêy.
2909150071	Tinanung Apu Jesus ya bapan anak, “Nakanu ya pun nagkapakun?” Tinumbayaꞌ bapa, “Ibat pun hin makayêk ya.
2909160080	Ma dalas yan intutumban anitu ha apuy buy ha lanêm takayꞌêmên mapati ya. Nuwa nu mayin kawun magawa, kaingalwan yu kami!”
2909170092	Tinumbay kana hi Apu Jesus, “Antakaya mu innunghung, nu mayin nakun magawa? Hay laataꞌ bagay magawa ha tawung mayin pananampalataya kangku.”
290918007c	Tinumbay agadaꞌ bapan anak, “Nananampalataya haku kayu, nuwa kulang pun. Dagdagan yu punaꞌ pananampalataya ku kayu!”
29091900df	Hin maakit Apu Jesus ya kinukumadlay nay tawung inlulumatêng, pinannunghungan nay anitu buy ambala, “Hakan anituy nagpapapipi buy nagpapabingi ha anakaꞌ ati, inuutuhan katan magꞌalih kana. Ah kay na magbalik kana!”
29091a0079	Nagbungꞌuy anitu, pinamêgpêgaꞌ anak bayu nagꞌalih. Nambuh natiyaꞌ anak. Kaya ambalan kadlan, “Nati yay na!”
29091b004d	Nuwa dinukpan Apu Jesus ya gamêt anak buy impaêdêng na. Nêdêngaꞌ anak.
29091c0090	Hin nagpahuk hilan Apu Jesus ha biyagaꞌ inuulian la, tinanung yan tawtagahunul na, hin kakapadlay na, “Angkaya ah yan mapaalihaꞌ anitu?”
29091d0066	Tinumbay kanla hi Apu Jesus, “Hay habatuy kalasin anitu, panalangin diliyaꞌ makapagpaalih kana.”
29091e007b	Nagꞌalih hila ha rugal bantu buy dinuman ha prubinsiyan Galilea. Ahê labay Apu Jesus ya matandan tawtawung dilag ya istu
29091f00bb	ta tinutuduwanan nay tawtagahunul na. Ambala na kanla, “Hakuy nangibat ha langitaꞌ Inꞌanak Tawuy ipakabili ha tawtawu. Patin la ku nuwa mabiyayakun uman pagkalibah tatluy allêw.”
2909200046	Nuwa alwa lan natêbêkaꞌ ambala na buy nalimu hilan magtanung kana.
2909210094	Nakalatêng hila ha banwan Capernaum. Buy hin dilagana hila ha biyag, tinanung hilan Apu Jesus, “Hitalagyun pinagriribatian yu nangun ha diyan?”
2909220050	Alwa hilan sinumagut ta hay pinagriribatian la nu hitalagyuy pinakadakila kanla.
29092300b4	Kaya nitnu hi Apu Jesus ta binawêgaꞌ labinluway tagahunul buy ambala kanla, “Hitalagyuman kayuy labay magin pinakadakila ha laat, dapat magpakayêpa buy magin lingkud laat.”
2909240070	Nangwa hi Apu Jesus gihay makayêkaꞌ anak buy pinaêdêng ha gitna la. Inampun nay ati ta innunghung na kanla,
29092500d7	“Nu hitamanaꞌ mananggap ha anakaꞌ dapay ati ha pananampalataya na kangku, dapay hakuy nay tinanggap na. Buy hitamanaꞌ mananggap kangku, alwan hakun diliyaꞌ tinanggap na nu alwan hay naysugu mêt kangku.”
290926008a	Ambalan Juan kan Apu Jesus, “Mistru, nakaakit kamin tawung namamaalih anitu ha lagyu yu. Binawalan yan hiya ta alwa tamu yan kaawyun.”
290927007b	Nuwa ambalan Apu Jesus, “Ah yu ya bawalan ta alan nanggagawan himala ha lagyu ku bayu mannunghung malaêt tungkul kangku.
2909280026	Hay alwan laban kantamu, kagampi tamu.
2909290095	Pakalêngꞌên yuy inunghung ku kayu, hitamanaꞌ mamꞌin gihay basun lanêm kayu ta hakuy Criston hinuhunul yu, siguradun makakuwan gantimpala.”
29092a00b2	“Nuwa hitalagyumanaꞌ pinangibatan pagkakasalan gihay makayêkaꞌ anakaꞌ nanampalataya kangku, mangêd punaꞌ itagkêh ha bêng nay mamhakaꞌ batu ta itambuk ya ha dagat.
29092b00f3	Nu gamêtaꞌ pinangibatan kamung pagkakasalaꞌ, putuhun mu! Mangêd punaꞌ gigihay gamêt mun magpahuk ha langitaꞌ mayin biyay ya alan anggan kisira ha luway gamêt mu nuwa maku kay naman ha impirnu, nu haantuy alan kamatiyanaꞌ apuy.”
29092d00d3	“Nu bitih muy namanaꞌ pinangibatan pagkakasalaꞌ, putuhun mu! Mangêd punaꞌ gihay bitih mun magpahuk ha langitaꞌ mayin biyay ya alan anggan kisira ha luway bitih mu nuwa itambuk kay naman ha impirnu.”
29092f00c9	“Nu hay mata muy pinangibatan pagkakasalaꞌ, dukutun mu! Mangêd punaꞌ gigihay mata mun magpahuk ha langitaꞌ mayin biyay ya alan anggan kisira ha luway mata mu nuwa itambuk kay naman ha impirnu.
2909300051	Baistu ha impirnu, hay libun êwêl ahê nanati buy hay apuy ahê napapalêng.”
2909310055	Ta balan gihay tawu, makaranas pagꞌiirap dapay kênan ahinan buy êwêkên ha apuy.
29093200ca	Mangêd punaꞌ ahin ta malaha, nuwa nu tumabꞌangaꞌ namanaꞌ ati, hita pamalaha yun uman? Iitbuh yuy sarili yu ha ahinaꞌ pamalaha ha sangkatauhan takay magkarun kawun kapayapaan ha gihat giha.”
290a0100a5	Nagꞌalih hi Apu Jesus ha Capernaum, naku ha prubinsiyan Judea buy nagbatah ya ha Ilug Jordan. Buy baistu, inlaku yan madlan tawu. Dapay mêt daan, nanudu ya kanla.
290a020099	Mayin umnuy Pariseong naku kana taêmên subukan ya. Kaya nagtanung hila, “Pinauulayan kayan kautuhan Moises ya mikihiyayaꞌ liyaki ha kanan ahawa?”
290a030049	Tinanung mêt hilan Apu Jesus, “Hitalagyuy inꞌuutuh kayung Moises?”
290a040084	Tinumbayaꞌ Pawpariseo, “Pinaulayan Moises ya bayu mikihiyayaꞌ liyaki ha kanan ahawa, manggawa ya pun kasulatan pamikihiyay.”
290a050061	Innunghung kanlan Apu Jesus, “Inꞌibin Moises kayuy kautuhan ban in gawan mangatigasaꞌ u yu.
290a060053	Nuwa ha umpisa punaꞌ inlikhan Apu Diyusaꞌ mundu, ginaway nay liyaki buy babayi.
290a070050	Gawan kayti, ibwatan liyakiyaꞌ kanan mangatuwa ta makiawyun ya ha kanan ahawa.
290a080048	Buy hilan luway magin giha. Kaya alway na hilan luwa nu alwan giha tana.
290a09003c	Kaya hay piniawyun Apu Diyus, alwan dapat pihyayên tawu.”
290a0a005b	Paglatêng la ha biyag, tinanung hi Apu Jesus tawtagahunul na tungkul ha pamihiyay miahawa.
290a0b007d	Ambala na kanla, “Nu hiyayan liyakiy kanan ahawa ta magꞌahawan kanayun, nakikitakpi ya buy nagkasala ya ha una nan ahawa.
290a0c0067	Habatu mêtaꞌ babayi, nu mikihiyay ya ha kanan ahawa ta magꞌahawan kanayun, nakikitakpi ya mêt.”
290a0d008d	Gintan tawtawuy mangkayêkaꞌ anak kan Apu Jesus taêmên ipamanuy anak kana buy pagpalaên. Kayan dili, pinagbawalan hilan tawtagahunul na.
290a0e00b5	Hin naakit Apu Jesus ya nangyari, napuut ya ha tawtagahunul na. Ambala na, “Paulayan yun magdani kangkuy awꞌanak. Andi yu hila pagbawalan ta dapay kanlay pagharian Apu Diyus.”
290a0f0098	Pakalêngꞌên yuy inunghung ku kayu, “Hay ahê mananggap ha paghaharin Apu Diyus dapay pagtanggap ha anakaꞌ makayêk, ahê pagharian Apu Diyus.”
290a10003e	Pagkayari, inampun nay awꞌanak, pinamanu buy pinagpala hila.
290a1100c8	Hin paalihana hi Apu Jesus, mayin gihay liyaking palukhung nagdani kana buy nagluhud. Nagtanung ya, “Mahampataꞌ Mistru, hitalagyuy gawꞌên ku takayꞌêmên magkarunakun biyay ya alan anggan?”
290a12005b	Tinumbay hi Apu Jesus, “Angkaya mu tinutula mahampataku? Hi Apu Diyus diliyaꞌ mahampat.
290a1300cb	Tungkul ha tanung mu, tanda muy innununghung kautuhan. ‘Andi ka mamati. Andi ka makitakpi. Andi ka manakaw. Ah mu papêtêganaꞌ alwan pêtêg. Andi ka mandaya. Igalang muy kamung bapa buy indu.’”
290a140056	Sinumagutaꞌ liyaki, “Mistru, ibat hin anakaku pun, hinunul kuy nay laat ban in.”
290a1500f3	Binalay yan Apu Jesus ya mayin pagmamaal buy ambala, “Gihay bagay punaꞌ kulang kamu. Muli ka buy ipaghaliw muy laataꞌ kayamanan mu buy ibi muy pira ha mangairap taêmên mabꞌiyan kan kayamanan ha langit. Pagkayari humunul ka kangku.”
290a160061	Katangih tangihaꞌ liyaki hin nalêngê nay ati. Buy nagꞌalih yan malungkut ta napakayaman na.
290a170082	Namalay hi Apu Jesus ha paligid buy ambala ha tawtagahunul na, “Napakairap ha mayamanaꞌ magpasakup ha paghaharin Apu Diyus.”
290a18008a	Nagtaka hila ha innunghung Apu Jesus. Nuwa innunghung uman Apu Jesus, “Awꞌanak, napakairap talagan magpasakup ha paghaharin Apu Diyus.
290a190077	Mas madali pun magpahukaꞌ gihay kamilyu ha lubut karayum kisira ha magpasakupaꞌ mayaman ha paghaharin Apu Diyus.”
290a1a0063	Lalu pun nagtakay tawtagahunul na kaya nagtanung hila, “Nu habatu, hita pun aludaꞌ miligtas?”
290a1b0093	Binalay hilan Apu Jesus buy ambala, “Ahê kayan iligtas tawuy kanan sarili nuwa kayan gawꞌên Apu Diyus ta hitalagyuman, kaya nan gawꞌên.”
290a1c0063	Ambala kanan Pedro, “Magpakun kamiyaꞌ naman? Inibwatan yananay laat buy hinumunul kami kayu.”
290a1d00ae	Tinumbay hi Apu Jesus, “Pakalêngꞌên yuy inunghung ku kayu. Hay tawung nangibwat biyag, pawpatêl, mangatuwa, awꞌanak u luta dahilan kangku buy ha Mahampataꞌ Balita,
290a1e00a6	gihandaan bisis nan matanggapaꞌ inibwatan na, kaawyunaꞌ pagꞌiirap, kaban dilag ya pun kayti. Nuwa ha lumatêngaꞌ panawun, mabꞌiyan yan biyay ya alan anggan.
290a1f0097	Nuwa hay tawung nagpapakatagꞌay hapaêg, lumatêngaꞌ allêw mipakayêpa. Buy hay tawung nipakayêpa hapaêg, hiyay mitagꞌay paglatêng allêw.”
290a2000e7	Kaban pahukpa hila palakun Jerusalem, nauuna kanla hi Apu Jesus. Nagtakay tawtagahunul na buy nalimuy naman ya kanayunaꞌ hinuhumunul kana. Impaalibun Apu Jesus ya labinluway tagahunul na, ta innunghung nan umanaꞌ mangyari kana.
290a2100d6	“Manlêngê kawu! Pahukpa kitamuy nan Jerusalem. Ta hakuy nangibat ha langitaꞌ Inꞌanak Tawuy iibi istu ha libun namamaalan pari buy ha tawtagapanudun kautuhan. Hatulan nakun kamatiyan buy iibi ha alwan Judio.
290a220060	Insultuun la ku, tupayan, paghahampasên buy patin. Nuwa ha ikatluy allêw, mabiyayakun uman.”
290a23007e	Nagdani kan Apu Jesus hilan Santiago buy Juanaꞌ anak Zebedeo. Nannunghung hila, “Mistru, mayin kami hanan kayêk labay.”
290a240027	Ambalan Apu Jesus, “Hita labay yu?”
290a250071	Sinumagut hila, “Hana, nu maghari kawuy na, makaitnu kami mêt ha dani yu, giha ha kanan buy giha ha kaliwa.”
290a26009f	Nuwa innunghung kanlan Apu Jesus, “Ah yu tanda nu hita impipikikuwa yu. Kaya yu kayan tiisinaꞌ pagdurusan tiisin ku? Kaya yu kayay irapaꞌ danasên ku?”
290a27005f	Sinumagut hila, “Awu, kaya yan.” Ambalan Apu Jesus, “Pêtêgaꞌ matiis yuy laataꞌ ati.
290a28008e	Kayan dili, alwan hakuy mamili nu hita mitnu ha kanan ku buy ha kaliwa ku. Hay awꞌitnuwanaꞌ ati, para dili ha pinaglaanan kangkun Bapa.”
290a290060	Hin natandan sampuy tagahunul nu hita impipikikuwan mipatêl, napuut hila kan Santiago buy Juan.
290a2a00f0	Kaya binawêg Apu Jesus ya laataꞌ tagahunul na, ta innunghung, “Tanda yu, hay intuturing pawpinunun alwan Judio, impapaakit lay kapangyarihan la ha libun tawtawung nasasakupan la. Buy maski hitalagyun labay la, nahuhunul nasasakupan la.
290a2b0063	Nuwa alwa kawun dapat habatu. Ha halip, hitalagyu kayuy labay magin dakila, dapat magin lingkud yu.
290a2c0044	Buy hitalagyuman kayuy labay magin pinunu, dapat magin alipên laat.
290a2d00d3	Haku bayaꞌ nangibat ha langitaꞌ Inꞌanak Tawuy naku kayti ha luta, alwan hakuy pinaglilingkuran nu alwan hakuy naglingkud kayu. Buy ibi kuy biyay ku takayꞌêmên mahagêp kuy madlan tawu ha kaparusaan.”
290a2e00e2	Inlumatêng hilan Apu Jesus ha banwan Jerico. Buy hin paalih yay na istu, kaawyun nay kanan tawtagahunul buy madla pun kanayun, nadanan lay gihay bulagaꞌ, hi Bartimeo, anak Temeo. Nakaitnu ya ha pingit diyan buy namamalimus.
290a2f0082	Hin nalêngê nay dinuduman hi Apu Jesus ya tiga Nazaret, nagbubungꞌu ya, “Apu Jesus, lahin Haring David, kaingalwan yu ku!”
290a300082	Binawalan yan tawtawu, “Tênggên kay na.” Nuwa lalu pun inlumakasaꞌ bungꞌu na, “Apun Haring David, kaingalwan yu ku!”
290a3100a5	Tinênggên hi Apu Jesus ta innunghung, “Bawgên yu ya.” Kaya binawêg la hi Bartimeo buy innunghung, “Matula ka. Mêdêng ka ta impapabawêg kan Apu Jesus.”
290a32003f	Imbalag Bartimeyoy kanan balabal ta agad nagdani kan Apu Jesus.
290a33006e	Tinanung yan Apu Jesus, “Hita labay mun gawꞌên ku kamu?” Tinumbay ya, “Mistru, labay kun makaakit.”
290a340093	Innunghung Apu Jesus kana, “Pinagaling kay nan kamung pananampalataya, muli kay na.” Nakaakit ya agad bayu hinumunul ya kan Apu Jesus ha diyan.
290b0100ac	Hin palaku hilan Apu Jesus ha banwan Jerusalem, tinênggên hila ha Bungꞌuy Awꞌulibu, madani ha bawbaryun Betfage buy Betania. Pinaunan Apu Jesus ya luway tagahunul na.
290b0200b7	Ambala na kanla, “Maku kawu ha humunulaꞌ baryu. Paglatêng yu istu, maakit yuy gihay bisirun asnu, nakatagkêh, ahê pun nahakyan hitalagyuman. Kalagên yuy ati ta gitan yu kayti.
290b030074	Nu mayin magtanung nu angkaya yu kalagênaꞌ asnu, sabin yu kanla, ‘Kaylangan Panginuun ta ibalik yan agad.’”
290b040078	Kaya, naliyakuy luwa, buy naakit la bayaꞌ asnu ha danin diyanaꞌ nakatagkêh ha luwahan biyag. Hin kinalagan lay ati,
290b050054	tinanung hilan tawtawung nakaêdêng istu, “Antakaya yu kinakalaga asnu ban in?”
290b060040	Innunghung lay ambalan Apu Jesus, kaya pinaulayan hilan tawtawu.
290b070063	Gintan lay asnu kan Apu Jesus, buy sinapinan lan balabalaꞌ bukut asnu bayu naghakay hi Apu Jesus.
290b080076	Madlan tawuy nayꞌamak kanlan balabal ha diyan. Hay kanayunaꞌ naman, nayꞌamak mêt hawhangan pinutuh la ha bukid.
290b090089	Hay libun nauuna kan Apu Jesus buy hay libun hinuhumunul kanay nagbubungꞌu, “Purihin hi Apu Diyus! Pagpalaên nay impagtan Panginuun!
290b0a008b	Buy pagpalaên Apu Diyusaꞌ inlulumatêngaꞌ hari, dapay ha nunu tamung hi Haring David. Purihin tamu hi Apu Diyus ya dilag ha langit!”
290b0b00b5	Paglatêng Apu Jesus ha Jerusalem, naku ya ha timplu. Tinatamulaw nan mahampataꞌ laataꞌ bagay istu. Gawan payabiyana, naku ya ha Betania, kaawyun nay labinluwaꞌ nan tagahunul.
290b0c0043	Kinaybukahan, hin nagꞌalih hila ha Betania, binitil hi Apu Jesus.
290b0d009f	Mayin yan naakitaꞌ malabungaꞌ puun igus. Kaya dinaninan na buy binalay nu mayin tagêy. Nuwa ala yan naakit nu alwan puru dawên, ta ahê pun panawun igus.
290b0e0073	Innunghung Apu Jesus ha puun, “Ibat hapaêg, alay nan makaêkan tagêy mu.” Nalêngên tawtagahunul nay habatu.
290b0f00f5	Paglatêng la ha Jerusalem, naku hi Apu Jesus ha timplu. Naakit nay nagtitinda buy nanyayaliw istu. Kaya intabuy na hila. Impagpapalukub nay lawlamisan mamalit pawpirang alwan tiga istu buy itnuwan nagtitindan kawkalapating inhahandug ha timplu.
290b100033	Binawalan nay tawtawung nanantan paninda ha timplu.
290b1100c5	Pagkayari, tinudwanan nay tawtawu istu. Ambala na, “Alwa nan innunghung Apu Diyus ha kasulatan, ‘Hay kangkun biyag, magin biyag dalanginan laataꞌ bansa.’ Nuwa ginawa yun punduan manakaw.”
290b1200c6	Nabalitꞌan libun namamaalan pari buy tawtagapanudun kautuhanaꞌ ginawan Apu Jesus, kaya nangkap hilan paraan nu pakapakun yan patin. Nuwa nalilimu hila kana ta hinuhumangay libun tawu ha tudu na.
290b13004b	Kinayabinan nagꞌalih hi Apu Jesus ha Jerusalem awyun nay tawtagahunul na.
290b14006c	Kinadatunan, hin pabalikanaꞌ hila ibat ha Jerusalem, nadanan lay puun igus ta naakit lay nayanguy nay ati.
290b15006f	Naihipan Pedroy nangyari. Kaya innunghung na, “Mistru, balayên yuy puun igusaꞌ insumpa yu. Nayanguy na!”
290b16003a	Innunghung Apu Jesus kanla, “Manalig kawu kan Apu Diyus!
290b1700ed	Pakalêngꞌên yuy innununghung ku kayu, nu mayin kawun pananalig, maarin nunghungun yu ha bungꞌuyaꞌ ati, ‘Maglipat ka ha dagat!’ Nu ah kawu magluway ihip buy manalig kawun mangyariyaꞌ habatu, mangyari bayaꞌ innununghung yu.
290b18007a	Tandaan yuy ati. Hitalagyumanaꞌ ipikikuwa yu ha panalangin, manalig kawun matanggap yuy nay ati ta matanggap yuy na bay.
290b19008d	Nu manalangin kawu, patawarên yu punaꞌ nagkasala kayu takayꞌêmên patawarên kaw mêt kayung Bapan hi Apu Diyus ha kayung kawkasalanan.
290b1a0050	[Ta nu ah kawu magpatawad, ah kaw mêt patawarên kayung Bapan hi Apu Diyus.]”
290b1b00a6	Paglatêng la ha Jerusalem, nagbalik hi Apu Jesus ha timplu. Kaban nalliyaliyaku ya istu, nagdani kanay namamaalan pawpari, tawtagapanudun kautuhan buy pawpuun Judio.
290b1c0077	Innunghung la kan Apu Jesus, “Hita karapatan mun gawꞌênaꞌ ati ha timplu? Hita namꞌi kamun karapatanaꞌ in?”
290b1d0083	Tinumbay hi Apu Jesus kanla, “Tanungun kitaw mêt. Nu sagutun yu ku, nunghungun ku mêt kayu nu hita karapatan kun manggawan ati.
290b1e005b	Haantun ibataꞌ karapatan Juanaꞌ magbawtismu? Sagutun yu ku, kan Apu Diyus u ha tawu?”
290b1f0086	Niriribati hila, “Nu sabin tamun ibataꞌ karapatan na kan Apu Diyus, sabin nay naman kantamu, ‘Kaya ah kawu naniwala kan Juan?’
290b200098	Nuwa nu sabin tamung ibat ha tawu, mapuut kantamuy tawtawu.” (Nalilimu hila ha tawtawu ta naniniwalay laataꞌ hi Juanaꞌ tagapannunghung Apu Diyus.)
290b2100a1	Kaya tinumbay hila, “Alwa yan tanda.” Innunghung Apu Jesus kanla, “Nu habatu, ah ku mêt sabin kayu nu haantun nangibataꞌ karapatan kun manggawan ati.”
290c010131	Nangaral hi Apu Jesus ha tawtawu ha gihay pagꞌiitbuh. Ambala na, “Mayin gihay tawung nagtanêm ubas. Pinabakuran nay habatu buy nagpagawa yan panggêêkan ubas. Nagtayu yan matagꞌayaꞌ biyag pamantayan. Buy pagkayari pinaupahan nay kanan ubasan ha libun manggagahak. Bayu, naku ya ha madayun rugal.
290c020094	Hin panawunanan pamiputin ubas, impalaku nay kanan utuhan ha libun manggagahakaꞌ nangungupaan ha kanan ubasan, takayꞌêmên kuwên nay dakay na.
290c030055	Nuwa kinuyug libun manggagahakaꞌ utuhan na, binugbug, buy pinaalih lan alan pigtan.
290c040052	Namagtan yan uman gihay utuhan, nuwa impakadêngꞌêy lay ati bayu pinatukaꞌ u.
290c050098	Namagtan yay namêt giha punaꞌ utuhan. Nuwa pinati lay ati. Madla ya pun impagtan, nuwa binugbug mêtaꞌ kanayun buy pinagpapati mêtaꞌ kanayun.”
290c060081	“Hin kahuli hulianana, ala yay nan maipagtan, kaya impagtan nay pinakamamaal nan anak. Inihip na, ‘Igalang lay anak ku.’”
290c0700a9	“Nuwa hin naakit libun manggagahakaꞌ anak na, ambala la, ‘Dilaganay anakaꞌ tagapagmana. Kali kawu patin tamu ya, taêmên mapalaku kantamuy lutang manaên na.’
290c080046	Kaya kinuyug lay anak, pinati buy intambuk ha labas bakuran ubasan.”
290c0900b3	Pagkayari, nagtanung hi Apu Jesus, “Hitalagyu kayan gawꞌên mayin arin ubasan? Tiyakaꞌ lakwun nay libun manggagahak, ta patin. Pagkayari paupaan nay kanan ubasan ha kanayun.
290c0a007d	Ah yu nabasay talatan ati ha kasulatan? ‘Hay batun tinanggiyan tagapagpaêdêng biyag, Hiya aludaꞌ batun nagin pundasyun.
290c0b004b	Panginuun ya mayin gawan ati, Buy hinuhumangaꞌ kitamu ha ginawa na.’”
290c0c00cf	Hin nakaêhêbaꞌ pawpuun Judion hilay mahawun Apu Jesus ya naypaêdêng biyag ha pagꞌiitbuh, labay lan hiyay dakpên nuwa nalimu hila ha tawtawu. Kaya pinaulayan la tana hi Apu Jesus buy nagꞌalih hila.
290c0d0092	Impalakun pawpuun Hawjudio kan Apu Jesus ya umnuy Pawpariseo buy umnuy tauhan Herodes, ta lêngꞌên la hiya takayꞌêmên madakêp ha sabin na.
290c0e015c	Nagdani hila buy ambala kana, “Mistru, tanda yana pêtêgaꞌ libun innununghung yu buy ala kawun kinakampian ta ah kawu namamalay ha katayuan gihay tawu nu alwan hay intutudu yuy nu hitalagyuy kapêtêgan tungkul ha kaluuban Apu Diyus. Hapaêg, tama kayan hakitamun Hawjudioy magbayad buwis ha Haring Roma? Dapat kitamu kayan magbayad u ahê?”
290c0f009b	Nuwa tandan Apu Jesus ya nagkakanwari hila, kaya innunghung na, “Kaya yu ku sinusubukan ha tanung yun in? Mantan kawu paraw pira haati ta balayên ku.”
290c10009a	Nantan hilan pira kan Apu Jesus. Nagtanung hi Apu Jesus, “Hita nagdampal buy naglagyun nanaakit yu ha pirang ti?” Tinumbay hila, “Ha Haring Roma!”
290c110084	Kaya ambalan Apu Jesus kanla, “Ibi yu ha Haring Romay kana, buy ibi yu kan Apu Diyus ya kana.” Hinumangaꞌ hila ha kanan sagut.
290c120094	Mayin gihay grupun Hawjudio nu bawgêniꞌ Saduceo. Nagdani kan Apu Jesus buy nagtanung. (Hay libun tawung ati, ahê naniniwala ha pagkabiyay uman.)
290c1300be	Ambala la, “Mistru, ha batas insulat Moises, nu mati ya gihay liyaking alan anak ha kanan ahawa, hay nabalꞌu dapat pakasalan bayaw na, taêmên magkaanak hilan para ha ahawa nan nati.”
290c140061	“Hapaêg, mayin pitun mipapatêlaꞌ kaliyakiyan. Nagꞌahaway panganay buy nati yan alan anak.
290c15007b	Kaya hay balꞌu napagꞌahawan kabuhwan, nuwa nati mêtaꞌ kabuhwan alan anak. Habatu mêtaꞌ nangyari ha ikatlun patêl
290c16006b	angga ha ikapitu. Naubuh hilan nating ala hilan anak ha babayi. Buy ha kahuli hulian, nati mêtaꞌ babayi.
290c17007b	Hapaêg, ha allêw pagkabiyay uman nangamamati, hitalagyuy magin tunayaꞌ ahawa na ha pituy kaliyakiyanaꞌ mipapatêl?”
290c18005a	Tinumbay hi Apu Jesus, “Maling mali kawu. Ta ah yu natêtêbêkaꞌ kasulatan Apu Diyus.
290c19006b	Ta ha pagkabiyay uman, alay nan pagꞌaahawa. Dapay mêt hilan awꞌanghil ha langitaꞌ alwan magꞌahawa.
290c1a00ca	Tungkulaꞌ naman ha pagkabiyay uman, ah yu nabasay insulat Moises? Hin dilag hi Moises ha nagliliyabaꞌ mayêpang puun kayu, ambala kanan Apu Diyus, ‘Hakuy Apu Diyus lan Abraham, Isaac buy Jacob.’
290c1b0082	Hay labay nunghungun, nanabiyay pun hila. Ta alwa yan Apu Diyus nawnati nu alwan Apu Diyus yan bawbiyay. Kaya maling mali kawu.”
290c1c00c3	Mayin gihay tagapanudun kautuhan baistu, nanlêlêngên pagriribatian la. Nalêngê nan mahampataꞌ sagut Apu Jesus, kaya nagdani ya ta nagtanung mêt, “Hitalagyu kayay pinakamaalagan utuh?”
290c1d00a3	Tinumbay hi Apu Jesus, “Ati ya pinakamaalagan utuh. ‘Lêngꞌên yuy ati, libun taga Israel. Hay Panginuun tamun Diyus, kagiha gihay Panginuun, ala yan katbuh.
290c1e0062	Kaya maalên muy kamun Panginuun Diyus, buung pusu, buung kalulwa, buung ihip, buy buung lakas.’
290c1f0093	Buy pangalaway ati, ‘Maalên muy kaparihu mu dapay pagmamaal mu ha sarili mu.’ Alay nan kanayunaꞌ utuh higit pun maalaga kisa ha luwan ti.”
290c200083	Ambalan tagapanudun kautuhan, “Mistru, pêtêgaꞌ innunghung yu. Gigihan diliyaꞌ Apu Diyus buy maliban kana, alay nan kanayun.
290c210100	Buy kaylangan, maalên yan buung pusu, buung ihip buy buung lakas. Kaylangan tamu mêt maalênaꞌ kantamun kaparihu dapay pagmamaal tamu ha kantamun sarili. Higitaꞌ maalagay ati kisa ha laat kalasin handugaꞌ inêêwêk buy kanayun pun libun handug.”
290c2200c8	Hin nalêngên Apu Jesus ya mayin katalinuanaꞌ libun sagut na, ambala kana, “Madani kay nan mipasakup ha paghaharin Apu Diyus.” Ibat hin hatu, alay nan naglakas luubaꞌ magtanung kan Apu Jesus.
290c2300b3	Hin nanunudu hi Apu Jesus ha timplu, tinanung nay tawtawu, “Angkaya innununghung tawtagapanudun kautuhanaꞌ hay Criston impangakun tagapagligtas, lahin dili kanun Haring David?
290c2400c3	Pan hi Haring David mêtaꞌ nannunghung ha patnubay Ispiritun Apu Diyus, ‘Ambalan Apu Diyus kan Criston Panginuun ku, “Mitnu ka ha kanan ku, Angga ha mapasuku ku kamuy kamun kawkapati!”’
290c25009b	Hapaêg, nu binawêg Haring David Panginuun ya Cristo, pakapakun yan nagin lahi dilin Haring David?” Naliliway libun tawu ha panlêlêngê kan Apu Jesus.
290c2600d1	Ambala pun Apu Jesus ha kanan panunudu, “Magꞌingat kawu ha tawtagapanudun kautuhan. Labayaꞌ labay lan mamasyalaꞌ nakasuut barun panudu. Buy labayaꞌ labay lan batiin hila ta igalang ha matawung rugal.
290c27005a	Labay lan mitnu ha itnuwan pandangal ha biyag pamititipunan Hawjudio buy ha libun handaan.
290c2800b0	Inluluku lay bawbalꞌu takay makuwa lay ari arian libun ati. Buy kinakadangan lay panalangin la ta impapaakit lan mahampat hila. Kaya mas mabiyataꞌ parusan tanggapên la.”
290c29009e	Nitnu hi Apu Jesus ha danin pamiantiyan alay baistu ha timplu buy binabalay nay tawtawung naynanabun alay. Madlan mangayamanaꞌ naynabun mangamhakaꞌ alaga.
290c2a0048	Mayin gihay mairapaꞌ balꞌu baistun nagdani buy naynabun luway barya.
290c2b009a	Binawêg Apu Jesus ya tawtagahunul na ta innunghung, “Pakalêngꞌên yuy inunghung ku kayu, mas mamhakaꞌ inꞌibin balꞌu kisa ha inꞌibi lan laat.
290c2c0070	Ta hilan laat namꞌin dilin subran pira la. Nuwa hay balꞌu, inꞌibi nan laataꞌ panyaliw nan maêkan na.”
290d0100c0	Hin paalihana hilan Apu Jesus ha timplu, ambalan giha ha tawtagahunul na, “Mistru, balayên yuy pagkagawan bawbiyagaꞌ nakapagitnay timplu! Mangamhakaꞌ batu buy mangamhakaꞌ bawbiyag.”
290d02009d	Ambalan Apu Jesus kana, “Nanakit yuy mangamhakaꞌ biyagaꞌ in. Nuwa lumatêngaꞌ panawun, matibagaꞌ laataꞌ ati, alan mitlay magkapatungaꞌ batu!”
290d030084	Kaban nakaitnu hi Apu Jesus ha Bungꞌuy Awꞌulibu, nakaarap ya ha timplu, tinanung yan lihim lan Pedro, Santiago, Juan buy Andres,
