0100000010	Яритилиш
0c131e00c8	Йәһуда җәмәтиниң қечип қутулған қалдиси болса йәнә төвәнгә қарап йилтиз тартиду, Жуқириға қарап мевә бериду;
0c131f011f	Чүнки Йерусалимдин бир қалдиси, Зион теғидин қечип қутулғанлар чиқиду; Самави қошунларниң Сәрдари болған Пәрвәрдигарниң отлуқ муһәббити мошуни ада қилиду.
0c13200170	Шуңа, Пәрвәрдигар Асурийә падишаси тоғрилиқ мундақ дәйду: — У нә мошу шәһәргә йетип кәлмәйду, Нә униңға бир тал оқму атмайду; Нә қалқанни көтирип алдиға кәлмәйду, Нә униңға қарита қашаларниму ясимайду.
0c132100b1	У қайси йол билән кәлгән болса, У йол билән қайтиду вә мошу шәһәргә кәлмәйду — дәйду Пәрвәрдигар,
0c132200a1	— Чүнки Өзүм үчүн вә Мениң қулум Давут үчүн уни әтрапидики сепилдәк қоғдап қутқузимән».
0c1323016e	Шу кечә шундақ болдики, Пәрвәрдигарниң Пәриштиси чиқип, Асурийәликләрниң баргаһида бир йүз сәксән бәш миң әскәрни урди; мана, кишиләр әтигәндә орнидин турғанда, уларниң һәммисиниң өлгәнлигини көрди!
0c1324009b	Шуңа Асурийә падишаси Сәннахериб чекинип, йолға чиқип, Нинәвә шәһиригә қайтип турди.
0c132501a2	Вә шундақ болдики, у өз бути Нисроқниң бутханисида униңға чоқунуватқанда, оғуллири Адраммәләк һәм Шарезәр уни қиличлап өлтүрүвәтти; андин улар болса Арарат дегән жутқа қечип кәтти. Униң оғли Есарһаддон униң орнида падиша болди.
0c14010191	Шу күнләрдә Һәзәкия әҗәл кәлтүргүчи бир кесәлгә муптила болди. Амозниң оғли Йәшая пәйғәмбәр униң қешиға берип, униңға: — «Пәрвәрдигар мундақ дәйду: — — Өйүң тоғрилиқ вәсийәт қилғин; чүнки әҗәл кәлди, яшимайсән» — деди.
0c1402007b	[Һәзәкия] болса йүзини там тәрәпкә қилип Пәрвәрдигарға дуа қилип: —
0c14030156	И Пәрвәрдигар, Сениң алдиңда мениң һәқиқәт вә пак дил билән меңип жүргәнлигимни, нәзириң алдиңда дурус болған ишларни қилғанлиғимни әсләп қойғайсән, — деди. Вә Һәзәкия жиғлап еқип кәтти.
0c140400b3	Йәшая чиқип ордидики оттура һойлиға йәтмәстә, Пәрвәрдигарниң сөзи униңға йетип мундақ дегәндә: —
0c14050198	Йенип берип хәлқимниң башламчиси Һәзәкияға мундақ дегин: — «Пәрвәрдигар, атаң Давутниң Худаси мундақ дәйду: — «Дуайиңни аңлидим, көз яшлириңни көрдүм; мана, Мән сени сақайтимән. Үчинчи күнидә Пәрвәрдигарниң өйигә чиқисән.
0c1406015c	Күнлириңгә Мән йәнә он бәш жил қошимән; шуниң билән Мән сени вә бу шәһәрни Асурийә падишасиниң қолидин қутқузимән; Өзүм үчүн вә қулум Давут үчүн Мән бу шәһәрни әтрапидики сепилдәк қоғдаймән.
0c140700b4	(Йәшая болса: — «Әнҗир пошкили тәйярлаңлар, деди. Улар уни елип келип, ярисиға чапливиди, у сақайди.
0c1408011b	Һәзәкия Йәшаядин: Пәрвәрдигар мени сақайтип, үчинчи күни униң өйигә чиқидиғанлиғимни испатлайдиғанға қандақ бешарәтлик аламәт болиду? — дәп сориған еди.
0c140901d1	Йәшая: — Пәрвәрдигарниң Өзи ейтқан ишини җәзмән қилидиғанлиғини саңа испатлаш үчүн Пәрвәрдигардин шундақ бешарәтлик аламәт болидуки, сән қуяшниң пәләмпәй үстигә чүшкән сайисиниң он басқуч алдиға меңиши яки он басқуч кәйнигә йенишини халамсән? — деди.
0c140a00aa	Һәзәкия: Қуяш сайисиниң он басқуч алдиға меңиши асан; сайә он башқуч кәйнигә янсун, дегән еди.
0c140b0133	Шуниң билән Йәшая пәйғәмбәр Пәрвәрдигарға нида қилди вә У қуяшниң Аһаз падиша қурған пәләмпәй басқучилири үстигә чүшкән сайисини яндуруп, он басқуч кәйнигә маңдурди).
0c140c00f0	Шу пәйттә Баладанниң оғли Бабил падишаси Меродақ-Баладан, Һәзәкияни кесәл болуп йетип қапту, дәп аңлап, хәтләр һәдийә билән әвәтти.
0c140d0215	Һәзәкия болса әлчиләрниң гепини тиңшап, уларға барлиқ ғәзнә-амбарлирини, күмүчни, алтунни, дора-дәрманларни, сәрхил майларни, савут-қураллар амбиридики һәммини вә байлиқлириниң барлиғини көрсәтти; ордиси вә пүткүл падишалиғи ичидики нәрсиләрдин Һәзәкия уларға көрсәтмигән бириму қалмиди.
0c140e0160	Андин Йәшая пәйғәмбәр Һәзәкияниң алдиға берип, униңдин: — «Мошу кишиләр немә деди? Улар сени йоқлашқа нәдин кәлгән?» — дәп сориди. Һәзәкия: — «Улар жирақ бир жуттин, йәни Бабилдин кәлгән» деди.
0c140f013d	Йәшая йәнә: — «Улар ордаңда немини көрди?» дәп сориди. Һәзәкия: — «Ордамда бар нәрсиләрни улар көрди; байлиқлиримниң арисидин мән уларға көрсәтмигән бириму қалмиди» — деди.
0c14100065	Йәшая Һәзәкияға: Пәрвәрдигарниң сөзини аңлап қойғин: —
0c1411013f	— Мана шундақ күнләр келидуки, ордаңда бар нәрсиләр вә бүгүнгә қәдәр ата-бовилириң топлап, сақлап қойған һәммә Бабилға елип кетилиду; һеч нәрсә қалмайду — дәйду Пәрвәрдигар.
0c141200fd	— Һәмдә Бабиллиқлар оғуллириңни, йәни өзүңдин болған әвлатлириңни елип кетиду; шуниң билән улар Бабил падишасиниң ордисида ағват болиду.
0c1413012b	Һәзәкия әнди өз-өзигә «Өз күнлиримдә болса аман-течлиқ, Худаниң һәқиқәт-вапалиғи болмамду?», дәп Йәшаяға: — «Сиз ейтқан Пәрвәрдигарниң мошу сөзи яхши екән» — деди.
0c1414019d	Һәзәкияниң башқа әмәллири, җүмлидин униң сәлтәнитиниң қудрити, униң қандақ қилип шәһәргә су тәминләш үчүн көл, шундақла су апиридиған нор ясиғанлиғи «Йәһуда падишалириниң тарих-тәзкирилири» дегән китапта пүтүлгән әмәсмиди?
0c14150089	Һәзәкия ата-бовилириниң арисида ухлиди; оғли Манассәһ орнида падиша болди.
0c150100da	Манассәһ падиша болғанда он икки яшта болуп, Йерусалимда әллик бәш жил сәлтәнәт қилди. Униң анисиниң исми Һәфзибаһ еди.
0c15020126	У Пәрвәрдигар Исраилларниң алдидин һайдап чиқиривәткән ят әлликләрниң жиркиничлик адәтлиригә охшаш ишлар билән Пәрвәрдигарниң нәзиридә рәзил болғанни қилди.
0c150301b6	У атиси Һәзәкия бузуп йоқатқан «жуқури җайлар»ни қайтидин ясатти; у Баалға атап қурбангаһларни салдуруп, Исраилниң падишаси Аһаб қилғандәк бир Ашәраһ мәбуд ясиди; у асмандики нурғунлиған ай-юлтузларға баш урди вә уларниң қуллуғиға кирди.
0c150400f7	У Пәрвәрдигарниң өйидиму қурбангаһларни ясатти. Шу ибадәтхана тоғрилиқ Пәрвәрдигар: Мән Йерусалимда Мениң намимни қойимән, дегән еди.
0c150500a2	У Пәрвәрдигарниң өйиниң икки һойлисида «асманниң қошуни»ға қурбангаһларни атап ясатти.
0c15060156	Өз оғлини оттин өткүзди; җадугәрчилик билән палчилиқ ишләтти, өзигә җинкәшләр билән әпсунчиларни бекитти; у Пәрвәрдигарниң нәзиридә сан-санақсиз рәзилликни қилип униң ғәзивини қозғиди.
0c150701bd	У ясатқан «Ашәраһ» ойма мәбудни [Худаниң] өйигә қойди. Шу өй тоғрилиқ Пәрвәрдигар Давутқа вә униң оғли Сулайманға: — «Бу өйдә, шундақла Исраилниң һәммә қәбилилириниң зиминлири арисидин Мән таллиған Йерусалимда Өз намимни әбәткичә қалдуримән;
0c150801be	әгәр Исраил пәқәт Мән уларға тапилиған барлиқ әмирләргә, йәни Өз қулум Муса уларға буйруған барлиқ қанунға мувапиқ әмәл қилишқа көңүл қойсила, Мән уларниң путлирини ата-бовилириға тәқсим қилған бу зиминдин қайтидин нери қилмаймән», дегән еди.
0c15090131	Лекин улар қулақ салмайтти; шуңлашқиму, Манассәһ уларни шундақ аздурдики, улар Пәрвәрдигар Исраилларниң алдидин һалак қилған ят әлликләрдин ашуруп рәзиллик қилатти.
0c150a0098	Шуңа Пәрвәрдигар Өз қуллири болған пәйғәмбәрләрниң вастиси арқилиқ мундақ деди: —
0c150b016a	Йәһуданиң падишаси Манассәһ бу жиркиничлик ишларни қилип, һәтта униңдин илгири өткән Аморийлар қилған барлиқ рәзилликтин зиядә рәзиллик қилип, униң бутлири билән Йәһуданиму гунаға аздурғини үчүн
0c150c012d	Исраилниң Худаси Пәрвәрдигар мундақ дәйду: — «Мана, Йерусалим билән Йәһуданиң үстигә шундақ балаю-апәт кәлтүримәнки, кимки уни аңлисила қулақлири зиңилдап кетиду.
0c150d0165	Мән Самарийәни өлчигән тана вә Аһабниң җәмәтини тәкшүргән тик өлчигүч жип билән Йерусалимни тәкшүртимән; киши қачини чайқап сүрткәндин кейин дүм көмтүрүп қойғандәк, Йерусалимни чайқап өрүймән.
0c150e010a	Мән мирасимниң қалғанлиридинму ваз кечип, дүшмәнлириниң қолиға тапшуримән; уларни һәммә дүшмәнлиригә булаң-талаң объекти вә олҗа қилип беримән;
0c150f00f9	Чүнки улар Мениң нәзиримдә рәзил болғанни қилип, уларниң ата-бовилири Мисирдин чиққан күндин тартип бүгүнгичә ғәзивимни қозғап кәлди».
0c151001a8	Манассәһ әнди пүткүл Йерусалимни бир четидин йәнә бир четигичә қанға толдуруп, көп наһәқ қан төккүзди вә охшашла өзи қиливатқан гунайи билән Йәһудаларни аздуруп, уларниң Пәрвәрдигарниң нәзиридики рәзилликни қилишиға сәвәп болди.
0c15110120	Манассәһниң башқа ишлири һәм қилғанлириниң һәммиси, җүмлидин у садир қилған гуна «Йәһуда падишалириниң тарих-тәзкирилири» дегән китапта пүтүлгән әмәсмиди?
0c151200fd	Манассәһ ата-бовилириниң арисида ухлиди вә өз өйиниң беғида, йәни Уззаһниң беғида дәпнә қилинди. Андин оғли Амон униң орнида падиша болди.
0c1513010f	Амон падиша болғанда жигирмә икки яшта болуп, Йерусалимда икки жил сәлтәнәт қилди. Униң анисиниң исми Мәшулләмәт еди; у Йотбаһлиқ Һарузниң қизи еди.
0c15140091	Амон атиси Манассәһ қилғандәк Пәрвәрдигарниң нәзиридә рәзил болғанни қилатти.
0c151500cc	У атиси маңған барлиқ йолларда маңатти; у атиси қуллуғида болған бутларниң қуллуғида болуп, уларға сәҗдә қилип,
0c15160097	Пәрвәрдигарниң йолида жүрмәй, өз ата-бовилириниң Худаси Пәрвәрдигарни тәрк қилди.
0c15170080	Әнди Амонниң хизмәткарлири падишани қәстләп, уни өз ордисида өлтүрди.
0c151800dc	Лекин жут хәлқи Амон падишани қәстлигәнләрниң һәммисини өлтүрди; андин жут хәлқи униң орнида оғли Йосияни падиша қилди.
0c151900e2	Амонниң башқа ишлири һәм қилғанлириниң һәммиси «Йәһуда падишалириниң тарих-тәзкирилири» дегән китапта пүтүлгән әмәсмиди?
0c151a009d	У Уззаһниң беғида өз қәбридә дәпнә қилинди. Андин оғли Йосия униң орнида падиша болди.
0c16010107	Йосия падиша болғанда сәккиз яшта болуп, Йерусалимда оттуз бир жил сәлтәнәт қилди. Униң анисиниң исми Йәдидаһ еди; у Бозкатлиқ Адаяниң қизи еди.
0c160200ed	Йосия Пәрвәрдигарниң нәзиридә дурус болғанни қилип, һәр ишта атиси Давутниң барлиқ йолида жүрүп, нә оңға нә солға чәтнәп кәтмиди.
0c160300f8	Падиша Йосия сәлтәнитиниң он сәккизинчи жилида, падиша Мәшулламниң нәвриси, Азалияниң оғли катип Шафанни Пәрвәрдигарниң өйигә әвәтип:
0c160400f7	«Баш каһин Һилқияниң қешиға чиқип шуни буйруғинки, у Пәрвәрдигарниң өйигә елип келингән, дәрвазивәнләр хәлиқтин жиққан пулни санисун.
0c16050256	Андин улар Пәрвәрдигарниң өйини оңшайдиған ишларни назарәт қилғучи ишчиларға тапшуруп бәрсун. Булар һәм Пәрвәрдигарниң өйидики бузулған йәрләрни оңшашқа өйдә ишлигүчиләргә, йәни яғаччилар, тамчилар вә таштирашларға бәрсун. Улар мошу пул билән өйни оңшашқа лазим болған яғач билән оюлған ташларни сетивалсун, дегин» — деди.
0c160700aa	Лекин уларниң қолиға тапшурулған пулниң һесави қилинмиди. Чүнки улар инсап билән иш қилатти.
0c1608010a	Баш каһин Һилқия катип Шафанға: — Мән Пәрвәрдигарниң өйидә бир Тәврат китавини таптим, деди. Шуни ейтип Һилқия китапни Шафанға бәрди. У уни оқуди.
0c16090163	Андин кейин катип Шафан падишаниң қешиға берип падишаға хәвәр берип: — Хизмәткарлири ибадәтханидики пулни жиғип Пәрвәрдигарниң өйини оңшайдиған иш бешилириниң қоллириға тапшуруп бәрди, деди.
0c160a00b7	Андин катип Шафан падишаға: Һилқия маңа бир китапни бәрди, деди. Андин Шафан падишаға уни оқуп бәрди.
0c160b009d	Вә шундақ болдики, падиша Тәврат китавиниң сөзлирини аңлиғанда, өз кийимлирини житти.
0c160c00f1	Падиша Һилқия каһин билән Шафанниң оғли Аһикамға, Микаяниң оғли Акбор билән Шафан катипқа вә падишаниң хизмәткари Асаяға буйруп: —
0c160d0245	Берип мән үчүн вә хәлиқ үчүн, йәни пүткүл Йәһудадикиләр үчүн бу тепилған китапниң сөзлири тоғрисида Пәрвәрдигардин йол сораңлар. Чүнки ата-бовилиримиз бу китапниң сөзлиригә, униңдики бизләргә пүтүлгәнлиригә әмәл қилишқа қулақ салмиғанлиғи түпәйлидин Пәрвәрдигарниң бизгә қозғалған ғәзиви интайин дәһшәтлик, деди.
0c160e01b0	Шуниң билән Һилқия каһин, Аһикам, Акбор, Шафан вә Асаялар Хархасниң нәвриси, Тикваһниң оғли кийим-кечәк беги Шаллумниң аяли аял пәйғәмбәр Һулдаһниң қешиға берип, униң билән сөзләшти. У Йерусалим шәһириниң иккинчи мәһәллисидә олтиратти.
0c160f00ca	У уларға мундақ деди: — Исраилниң Худаси Пәрвәрдигар мундақ дәйду: — «Силәрни әвәткән кишигә мундақ дәңлар: —
0c16100124	Пәрвәрдигар мундақ дәйду: — Мана Мән Йәһуданиң падишаси оқуған китапниң һәммә сөзлирини әмәлгә ашуруп, бу җайға вә бу йәрдә турғучиларға балаю-апәт чүшүримән.
0c16110136	Чүнки улар Мени ташлап, башқа илаһларға хушбуй йеқип, қоллириниң һәммә ишлири билән Мениң аччиғимни кәлтүрди. Униң үчүн Мениң қәһрим бу йәргә қарап янди һәм өчүрүлмәйду.
0c16120135	Лекин силәрни Пәрвәрдигардин йол сориғили әвәткән Йәһуданиң падишасиға болса шундақ дәңлар: Сән аңлиған сөзләр тоғрисида Исраилниң Худаси Пәрвәрдигар шундақ дәйду: —
0c1613021b	Чүнки көңлүң юмшақ болуп, мошу җай вә униңда турғучиларниң вәйранә вә ләнәткә айландурулидиғанлиғи тоғрисида уларни әйипләп ейтқан сөзлиримни аңлиғиниңда, Пәрвәрдигарниң алдида өзүңни төвән қилип, кийимлириңни житип, Мениң алдимда жиғлиғиниң үчүн, Мәнму дуайиңни аңлидим, дәйду Пәрвәрдигар.
0c161401a2	Буниң үчүн сени ата-бовилириң билән жиғилишқа, өз қәбрәңгә аман-хатирҗәмлик ичидә беришқа несип қилимән; сениң көзлириң Мән бу җай үстигә чүшүридиған барлиқ күлпәтләрни көрмәйду». Улар йенип берип, бу хәвәрни падишаға йәткүзди.
0c170100b3	Падиша адәмләрни әвәтип, Йәһуда билән Йерусалимниң һәммә ақсақаллирини өз қешиға чақиртип кәлди.
0c1702022e	Падиша Пәрвәрдигарниң өйигә чиқти; барлиқ Йәһудадики әр кишиләр вә Йерусалимда туруватқанларниң һәммиси, каһинлар билән пәйғәмбәрләр, йәни барлиқ хәлиқ, әң кичигидин тартип чоңиғичә һәммиси униң билән биллә чиқти. Андин у Пәрвәрдигарниң өйидә тепилған әһдә китавиниң һәммә сөзлирини уларға оқуп бәрди.
0c1703023f	Падиша түврүкниң йенида туруп Пәрвәрдигарниң алдида: — Пәрвәрдигарға әгишип пүтүн қәлбим вә пүткүл җеним билән Униң әмирлирини, һөкүм-гувалиқлири вә бәлгүлимилирини тутуп, ушбу китапта пүтүлгән әһдигә әмәл қилимән дәп әһдигә өзини бағлиди. Шуниң билән хәлиқниң һәммисиму әһдә алдида туруп униңға өзини бағлиди.
0c17040259	Андин кейин падиша баш каһин Һилқия билән орун басар каһинларға вә һәм дәрвазивәнләргә: — Баалға, Ашәраһ бутиға вә асманниң барлиқ қошуниға атап ясалған барлиқ әсвап-үскүниләрни Пәрвәрдигарниң өйидин чиқириветиңлар, дәп әмир қилди; у буларни Йерусалимниң сиртида, Кидрон етизлиғида көйдүрди вә күллирини Бәйт-Әлгә елип барди.
0c170501ff	У Йәһуда падишалириниң Йәһуда шәһәрлиридики «жуқури җайлар»да һәмдә Йерусалимниң әтраплиридики «жуқури җайлар»да хушбуй яндурушқа тиклигән бут каһинлирини, шуниңдәк Баалға, қуяшқа, айға, юлтуз түркүмлиригә һәмдә асманниң барлиқ қошуниға хушбуй яққучиларни иштин һайдивәтти.
0c17060177	У Пәрвәрдигарниң өйидин Ашәраһ бутни елип чиқип Йерусалимниң сиртиға елип берип, Кидрон җилғисиға апирип шу йәрдә көйдүрүп кукум-талқан қилип езип, тописини аддий пухраларниң қәбирлири үстигә чечивәтти.
0c170700fa	Андин у Пәрвәрдигарниң өйигә җайлашқан бәччивазларниң туралғулирини чеқип ғулатти; бу өйләрдә йәнә аяллар Ашәраһ бутқа чедир тоқуйтти.
0c1708023b	У Йәһуда шәһәрлиридин барлиқ каһинларни чақиртип, өзигә жиғди. Андин у Гәбадин тартип Бәәр-Шебағичә каһинлар хушбуй яқидиған «жуқури җайлар»ни бузуп булғивәтти; у «дәрвазилардики жуқури җайлар»ни чеқип бузди; булар «Шәһәр башлиғи Йәшуаниң қувиқи»ниң йенида, йәни шәһәр қувиқиға кириш йолиниң сол тәрипидә еди
0c1709015d	(әнди «жуқури җайлар»дики каһинларниң Йерусалимда Пәрвәрдигарниң қурбангаһиға чиқиши чәкләнгән еди; лекин улар давамлиқ өз қериндашлири билән биргә питир нанлардин йейишигә муйәссәр еди).
0c170a00e7	Йосия һеч ким өз оғли яки қизини Моләккә атап оттин өткүзмисун дәп, Һинномниң оғлиниң җилғисидики Тофәтниму бузуп булғивәтти.
0c170b01c6	Пәрвәрдигарниң өйигә киридиған йолниң еғизида Йәһуда падишалири қуяшқа тәқдим қилип қойған атларни шу йәрдин йөткәп, «қуяш һарвулири»ни отта көйдүрди (улар [ибадәтханиниң] һойлилириға җайлашқан, Натан-Мәләк дегән ағватниң өйиниң йенида туратти).
0c170c01d0	Падиша йәнә Йәһуда падишалири Аһазниң балиханисиниң өгүзидә салдурған қурбангаһларни вә Манассәһ Пәрвәрдигарниң өйиниң икки һойлисиға ясатқан қурбангаһларни чеқип кукум-талқан қиливәтти; у уларниң тописини у йәрдин елип, Кидрон җилғисиға чечивәтти.
0c170d01e7	Исраилниң падишаси Сулайман Йерусалимниң мәшриқ тәрипигә вә «Һалак теғи»ниң җәнубиға Зидонийларниң жиркиничлик бути Аштарот, Моабийларниң жиркиничлик бути Кемош вә Аммонларниң жиркиничлик бути Милкомға атап ясатқан «жуқури җайлар»ниму падиша бузуп булғивәтти.
0c170e00cd	У бут түврүкләрни парчилап, Ашәраһ бутлирини кесип жиқитип, улар турған йәрләрни адәм сүйәклири билән толдурди.
0c170f0199	У йәнә Исраилни гунаға путлаштурған, Нибатниң оғли Йәробоам Бәйт-Әлдә салдурған қурбангаһ билән «жуқури җай»ни, уларни бузуп чақти, андин кейин «жуқури җай»ни көйдүрүп кукум-талқан қиливәтти, Ашәраһ бутиниму көйдүрүвәтти.
0c17100214	Йосия бурулуп қарап, тағдики қәбирләрни көрүп, адәм әвәтип қәбирләрдики сүйәкләрни колап чиқирип, қурбангаһ үстидә көйдүрди, шу йол билән уни булғивәтти. Бу ишлар Пәрвәрдигарниң каламини йәткүзүп, дәл уларни алдин-ала бешарәт қилип җакалиған Худаниң адиминиң сөзиниң әмәлгә ашурулуши еди.
0c1711017b	Андин Йосия: Көз алдимдики бу қәбир теши кимниң? — дәп сориди. Шәһәрдикиләр униңға: Бу Йәһудадин кәлгән, силиниң Бәйт-Әлдики қурбангаһни бузған мошу ишлирини бешарәт қилған Худаниң адиминиң қәбри екән, деди.
0c17120149	Йосия: — Уни қоюңлар, һеч ким униң сүйәклирини мидирлатмисун, дәп буйруди. Шуниң билән улар униң сүйәклири билән Самарийәдин кәлгән пәйғәмбәрниң сүйәклиригә һеч кимни тәккүзмиди.
0c17130159	Андин Йосия Исраилниң падишалири Пәрвәрдигарниң ғәзивини қозғиған, Самарийәниң шәһәрлиридә ясатқан «жуқури җайлар»дики барлиқ өйләрни чақти; у уларни Бәйт-Әлдә қилғандәк қилип, йоқатти.
0c1714015c	У у йәрләрдики «жуқури җайлар»ға хас болған һәммә каһинларни қурбангаһниң үстидә өлтүрүп, қурбанлиқ қилди, андин уларниң үстигә адәм сүйәклирини көйдүрди; у ахирда Йерусалимға йенип барди.
0c17150102	Падиша барлиқ хәлиққә ярлиқ чүшүрүп: — Бу әһдә китавида пүтүлгәндәк, Худайиңлар Пәрвәрдигарға «өтүп кетиш һейти»ни өткүзүңлар, дәп буйруди.
0c17160163	«Батур һакимлар» Исраилниң үстидин һөкүм сүргән күнләрдин тартип, нә Исраил падишалириниң вақитлирида нә Йәһуда падишалириниң вақитлирида ундақ бир «өтүп кетиш һейти» өткүзүлүп бақмиған еди;
0c171700d5	Йосия падишаниң сәлтәнитиниң он сәккизинчи жилида, Пәрвәрдигарға атап бу «өтүп кетиш һейти» Йерусалимда өткүзүлди.
0c17180244	Шуниңдәк Йосия Йәһуда жутида вә Йерусалимда пәйда болған җинкәшләр вә палчиларни, тәрафим мәбудлири, һәр қандақ бутлар вә барлиқ башқа ләнәтлик нәрсиләрни зиминдин йоқатти. Униң шундақ қилишиниң мәхсити, Һилқия каһин Пәрвәрдигарниң өйидин тапқан китапта хатириләнгән Тәвраттики сөзләргә әмәл қилиштин ибарәт еди.
0c17190191	Униңдәк Мусаға чүшүрүлгән қанунға интилип пүтүн қәлби, пүтүн җени вә пүтүн күчи билән Пәрвәрдигарға қайтип, өзини беғишлиған бир падиша униңдин илгири болмиған еди вә униңдин кейинму униңға охшаш бириси болуп бақмиди.
0c171a0119	Лекин Пәрвәрдигарниң аччиғи Манассәһниң Өзини рәнҗиткән барлиқ рәзилликлири түпәйлидин Йәһудаға туташқандин кейин, Өзиниң шиддәтлик ғәзивидин янмиди.
0c171b0160	Пәрвәрдигар: — Исраилни ташлиғандәк Йәһуданиму Өз көзүмдин нери қилимән вә Өзүм таллиған бу шәһәр Йерусалимни вә Мән: — «Мениң намим шу йәрдә болиду» дегән шу ибадәтханини тәрк қилимән, деди.
0c171c00e8	Йосияниң башқа әмәллири һәм қилғанлириниң һәммиси «Йәһуда падишалириниң тарих-тәзкирилири» дегән китапта пүтүлгән әмәсмиди?
0c171d0172	Униң күнлиридә Мисирниң падишаси Пирәвн-Нәко Асурийәниң падишасиға һуҗум қилғили Әфрат дәриясиға барди. У чағда Йосия падиша Пирәвн билән соқушушқа чиқти; лекин Пирәвн уни көрүп Мәгиддода уни өлтүрди.
0c171e0162	Җан һәлқумида хизмәткарлири уни җәң һарвусиға селип Мәгиддодин Йерусалимға елип келип, уни өз қәбридә дәпнә қилди. Жут хәлқи Йосияниң оғли Йәһоаһазни мәсиһ қилип, атисиниң орнида падиша қилди.
0c171f010b	Йәһоаһаз падиша болғанда жигирмә үч яшта болуп, үч ай Йерусалимда сәлтәнәт қилди. Униң анисиниң исми Һамутал еди; у Либнаһлиқ Йәрәмияниң қизи еди.
0c172000a0	Йәһоаһаз бовилири барлиқ қилғанлиридәк, Пәрвәрдигарниң нәзиридә рәзил болғанни қилди.
0c17210141	Әнди Пирәвн-Нәко униң Йерусалимда сәлтәнәт қилмаслиғи үчүн, уни Хамат жутидики Риблаһда солап қойди вә [Йәһуда] зиминиға йүз талант күмүч билән бир талант алтун селиқ чүшүрди.
0c1722014b	Андин Пирәвн-Нәко Йосияниң оғли Елиакимни атисиниң орнида падиша қилип, исмини Йәһоакимға өзгәртти. У Йәһоаһазни өзи билән Мисирға елип кәтти; Йәһоаһаз Мисирға келип шу йәрдә өлди.
0c172301e0	Йәһоаким күмүч билән алтунни Пирәвнгә бәрди; лекин Пирәвнниң шу буйруғини иҗра қилип пулни тапшуруш үчүн жутқа һәр бир адәмниң чамиға қарап баҗ-алван қойған еди; алтун вә күмүчни у жутниң хәлқидин, һәр биригә салған өлчәм бойичә Пирәвн-Нәкоға беришкә жиққан еди.
0c17240110	Йәһоаким падиша болғанда жигирмә бәш яшта болуп, он бир жил Йерусалимда сәлтәнәт қилди. Униң анисиниң исми Зибидаһ еди; у Румаһлиқ Пәдаяниң қизи еди.
0c172500a3	Йәһоаким бовилири барлиқ қилғанлиридәк Пәрвәрдигарниң нәзиридә рәзил болғанни қилатти.
0c1801013e	Униң күнлиридә Бабилниң падишаси Небоқаднәсар [Йәһудаға] һуҗум қилишқа чиқти; Йәһоаким униңға үч жилғичә беқинди болди, андин униңдин тенип униң һөкүмранлиғиға қарши чиқти.
0c1802026b	Шу вақитларда Пәрвәрдигар униңға һуҗум қилишқа Калдийләр булаңчилар шайкиси, Сурийләр булаңчилар шайкиси, Моабийлар булаңчилар шайкиси, вә Аммонийлар булаңчилар шайкилирини қозғиди; у уларни Йәһудани һалак қилиш үчүн қозғиди. Бу ишлар Пәрвәрдигар Өз қуллири болған пәйғәмбәрләр арқилиқ агаһ қилған сөз-каламиниң әмәлгә ашурулуши еди.
0c180300ff	Дәрвәқә Пәрвәрдигарниң ейтқинидәк, Манассәһниң гуналири түпәйлидин Йәһудани Өз көзлиридин нери қилиш үчүн, бу ишлар уларниң бешиға чүшти.
0c1804010b	Чүнки [Манассәһниң] наһәқ қан төкүп, Йерусалимни наһәқ қанлар билән толдурғини түпәйлидин, Пәрвәрдигар [Йәһудаларни] әпу қилишқа көңли унимайтти.
0c180500ea	Йәһоакимниң башқа ишлири һәм қилғанлириниң һәммиси «Йәһуда падишалириниң тарих-тәзкирилири» дегән китапта пүтүлгән әмәсмиди?
0c18060094	Йәһоаким ата-бовилириниң арисида ухилди; оғли Йәһоакин униң орнида падиша болди.
0c1807013f	Мисирниң падишаси болса өз жутидин иккинчи чиқмиди. Чүнки Бабилниң падишаси «Мисир еқини»дин тартип Әфрат дәриясиғичә болған Мисир падишасиға тәвә зиминни тартивалған еди.
0c1808010f	Йәһоакин падиша болғанда он сәккиз яшта болуп, үч ай Йерусалимда сәлтәнәт қилди. Униң анисиниң исми Нәһушта еди; у Йерусалимлиқ Әлнатанниң қизи еди.
0c1809009f	Йәһоакин атисиниң барлиқ қилғанлиридәк Пәрвәрдигарниң нәзиридә рәзил болғанни қилди.
0c180a00b4	Бабилниң падишаси Небоқаднәсарниң сәрдарлири Йерусалимға җәң қилғили чиқип, шәһәрни қамал қилди.
0c180b00a3	Униң сәрдарлири шәһәрни қамал қилип турғанда Небоқаднәсар өзиму шәһәрниң сиртиға чиқти.
0c180c01a9	Андин Йәһуданиң падишаси Йәһоакин билән аниси, барлиқ хизмәткарлири, әмәлдарлири вә ағватлири Бабил падишасиниң алдиға чиқип униңға тән бәрди. Шундақ қилип Бабилниң падишаси өз сәлтәнитиниң сәккизинчи жилида уни әсир қилип тутти.
