2a00000004	Iluk
2a0702007a	Bi ʊpʊrha agara opyo ɔrɔmɔmɔrʊ arʊ tɛikɔ nuwo, arʊ sini epri ni usho iyoyow ni ɛngɛɛ saa akrʊ etekya ukpoo.
2a07030094	Ikpara sini ɛkǝri ɔrɔmɔmɔrʊ ʊtɛikɔ kung imi sini Iyesu ku sa, aka tuma opyo ɔrɔkɔng Ayaudiya ɔyo sɔrhɔ ngɛ aba ma agara ngɛ ikrʊ.
2a07040066	Ikpara sini abii owro Iyesu, ɔkɔ sɔrhɔ ngɛ nagang, asani “Orokru wen maa sini ʊnʊshɛɛ ngɛ,
2a07050037	kii ɛwɛi ararʊ aka vura arʊ owro utuno Ayaudiya.”
2a070600c3	Iyesu ko kroomo ngɛ. Eneshie ikarha ni ɛkǝri ʊna, ɛkǝri ɔrɔmɔmɔrʊ arʊ tɛikɔ ka tuma orokyoro ngɛ aya sani ɛngɛɛ ni: “Ete, bekya wure ʊkanw kii ise mam sini ʊnʊ bi ʊnam ba,
2a07070055	ʊwɔɔ inakparami ʊkam ni imaa uba eberinw nivum ba. Tana irima agaram nupen ikrʊ.
2a070800bc	Kii ini ari igumo ngee, oshoo ni agara ngɛ ba atata ne emye. Ise sani arʊ wen ni, ‘Kya,’ akan kyaa; asani awan arʊ ni ‘Ba,’ akan ba. Ise sani agaram, ‘Sakǝn’, akan sayo.”
2a070900a1	Ni sini Iyesu kung kǝna, imaa ka maa ʊwɔrɔ ofo ngɛ. Ekǝ tere asani arusu kroo ngɛ ni, “Iku tanany, ko bi ibʊng Isrela isepenmi ʊma ʊbrʊbrʊ kǝn.”
2a070a005c	Ekǝri arʊ sini atumimo oko juro kya bi ɛkǝri ʊna aya darha ɛkǝri agara ngɛ sa akrʊ.
2a070b0075	Ni ʊkywɛrɛ kǝna Iyesu ka kyaa opyo apya sini ayirhi ni Inayin, ɔnɔ ʊmɛr ngɛ kǝni orokru napany ko kro ngɛ.
2a070c00ce	Ni sini akʊ fwa onuo apya, asu kuno ni ʊkwʊng opyoo orokru sini ɛngɛɛ ni ɔnɔ ɛkǝri ereere eyeyie, ɛkǝri ereere ɛrimɛ ngɛ kpoo, ushi orokru napany bai idɔ ɛkǝri apya ni kǝni ɛngɛɛ ngɛ.
2a070d0045	Ni sini Ete rie, aka kung okwoo ka sani ɛngɛɛ ni, “Bekya tei.”
2a070e0088	Aka kya aya apya ima aban sini okoo ngɛ ɛkǝri arʊ sini okowo katiting neding. Iyesu ka sini, “Anagyang, Isini ɔnwɔni, shinɛ!”
2a070f0051	Ɛkǝri arʊ ukpo kǝ shinɛ akiki akasu pya onuo, Iyesu ka kpara ngɛ ama akwaa.
2a0710008f	Irung ka kpinmo kukummo, ɔkɔ dɔɔ Ʊnʊng ngɛ akani, “Arʊ pɛrɛ onuo Ʊnʊng erere kuno bi idɔɔ eri!, Ʊnʊng bʊshɛ arʊɔ ngɛ.”
2a07110062	Ushoshoo imi sini Iyesu siyen ka kyawo kokywu ube bi idɔɔ Iyahudiya kǝni ʊbʊng ʊkʊkǝrimɔ.
2a0712008c	Ɔnɔ ʊmɛr Iyohana arʊ Ibaptisma ka tana Iyohana ngɛ kukum ʊʊma men Iyesu kusani. Kǝnawo Iyohana ka yirha ɔnɔ ʊmɛr ngɛ ara pari,
2a07130084	aka tumamo ki iberi Ete oyo gyurho ngɛ asani, “Ʊnwʊɔ ʊni arʊ sini arʊ kusha ukyee baa, kii arʊ si ikra ni ɛshɛshɛru?”
2a071400d7	Ikpara sini ɛkǝri orokru bii owro Iyesu, aka sani, “Iyohana arʊ Ibaptisma ngɛ atumi arʊ ni ɔnwɔ ani arʊ ba gyurhonw, ‘Ʊnwʊɔ ʊni arʊ sini arʊ kusha ukyee baa, kii arʊ si ikra ni ɛshɛshɛru?’”
2a07150083	Bakywakywa dang Iyesu kurhi orokru idumo ngɛ, arʊ ʊsang ikrʊ, ɛyɛri ering ʊshari kǝni ʊʊma arʊ sini ani ofow urong owro.
2a071600f6	Oko yoro ɛkǝri atina asani, “Inyi juro kya tana Iyohana ngɛ ima sini inyi rii a kung: Ofow pen urong owro, ogoru sa akrʊ, arʊ udumo ʊkɔng pen ikrʊ, arang ku kung ʊring ngɛ, akʊ shinɛ ikwʊng, asu tana iring ididima eberi ara ayarha.
2a07170036	Onuo adadʊma ni ami arʊ sini ana kpaa bɛkɛi mi.”
2a071800c1	Bakywa sini ɛkǝri atina Iyohana kpin ʊtira, Iyesu kasu tana orokru ʊring bi ikywi Iyohana: “Ikimoyo inyi kii urong bi idɔɔ orumo? Inyi kii urong ʊbʊng ʊgbʊgbang sini uwroo ku pyawo?
2a0719009a	Ibasayo kǝna, inyi kii urikimɔyɔ? Ararʊ sini ɔsɔmi ʊʊma ʊdʊdʊma? O-o arʊ ʊʊma ʊsɔmɔ ʊfɛ kǝni arʊ ʊkaadima ani arʊ kiki bi ozoro mo.
2a071a006d	Inyi nɛchiyɛn ikimoyo inyi kuni kya urong? Arʊ pɛrɛ onuo Ʊnʊng? Kǝnawo, Itananyi, epri atina Ʊnʊng.
2a071b0080	Iyohana ngɛ ni arʊ sini irhing Ʊnʊng peri bi ikywie asani: “Inu tuma atinam akpi itenw, sini anu kyenenw ʊtira ʊkyebanw.
2a071c0089	Iku tananyi, kukum bi idɔɔ ubyere ereere araru na saangɛ Iyohana. Kukum kǝna arʊ sini ani atang bi idɔɔ igumo Ʊnʊng sai ngɛ.”
2a071d00a1	(Kukum ɛkǝri orokru, kǝni arʊ yirha ogon ngɛ ma, sini akʊng irhing Iyesu, oko yoro asani ʊtira Ʊnʊng ni ɛmɛr, bekai sini Iyohana ngɛ asimo Ibaptisma.
2a071e007f	Ekǝri Afarisiya kǝni avʊwa ogro Imusa ka tiramo ʊwɔrɔfo Ʊnʊng bi ikywimo aka tiramo karhi Iyohana kya samɔ Ibaptisma.)
2a071f0066	Iyesu ko shoo ngɛ, asani, “Ini marha orokru ikparha yen ni ikimoyo nɛchiyɛn? Ani kǝni ikimoyoni?
2a0720009f	Ani kǝni ɔnɔ sini akiki bi ʊgba Ize asu yirha opyomo asu sani, “‘Arʊ pwiny ipwe, inyi ka tirany ʊya; arʊ ka tany ʊtɛ ukpo, inyi ka tirany utei.’
2a07210073	Kii Iyohana arʊ sa Ibaptisma bii ana rii ngɛ ʊmʊra, ana sirhi ngɛ asira, inyi ka sani, ‘Ani ʊshari ngɛ.’
2a07220080	Ɔnɔ Orokru ka ba asu ra, asu sa, inyi kasani, ‘Orong ʊkʊma kǝni arʊ sa ʊʊma, orokyoro arʊ yirha ogon kǝni arʊya.’
2a07230040	Ʊkiki orokru sini ani amraa ngɛ useyen asani amraa nɛmɛr.”
2a07240088	Upyu Afarisi kɔ sɔrhɔ Iyesu ngɛ aya ra ʊmʊra ʊrɛ kǝni ɛngɛɛ ngɛ, aka kya ʊna ɛkǝri ʊbafarisi aya kiki eberi ʊrʊmʊra.
2a072500df	Opyo erere arʊya ɔnuo ni ʊkiki bi ɛkǝri apya, ni sini akʊng asani Iyesu ku ra ʊmʊra bi ʊna opyo Afarisi, aka ba burha ni ɔnɔ obom sini akyeni ni ʊtari sini ayirhi ni Alibasta ɛtiri ni ɛnyɛ ʊnyang ʊdʊdʊma.
2a072600b3	Aka ba atiting bi utumo ngɛ bi ishi ifraa kasu tei, kasu rono ngɛ ifraa ni ere, aka punamɔ ni ʊfʊrhi ikywie ko mo ifraa Iyesu kasu kuna ɛnyɛ ʊnyang ʊdʊdʊma dang bayamo.
2a072700e9	Ikpara sini ɛkǝri Afarisi sini ɔsɔrhi ngɛ rii kǝna, ekǝ pɛrɛ bi idɔɔ ikywie asani, “Akyusani orokru wen ni arʊ pɛrɛ onuo Ʊnʊng ngɛ anakyu kperhi ngɛ asani, akinadǝi ereere ngee akʊpirha ngɛ, kii arʊya ngɛ.”
2a07280068	Iyesu ka sani ɛkǝri ubafarisi ni, “Isimon, ini imisini iwa tananwu.” Aka sani, “Avuwa, tanam.”
2a07290076	“Opyo orokru nuwo arʊmita ami arapari ʊtʊfɛ ereying kong ngɛ udinari akʊma ɔtɔng awan arʊ udinari isitɔng.
2a072a0096	Sini anabramoɔ ʊkpʊra ngɛ ɛkǝri arʊmita ka pʊnamɔ ʊtamɔ ngɛ, nɛchiyɛn akina arʊ ngɛ bi idɔɔmɔ anʊpri ni ʊwaa ɛkǝri arʊmita?”
2a072b0078	Isimon ko yoro ngɛ asani, “Arʊ sini apʊna ʊta ngɛ ʊrʊrɛ.” Iyesu ka sani ɛngɛɛ ni, “Ʊpɛrɛ nɛmɛr.”
2a072c00d2	Ekǝ tere ki isha ɛkǝri ereere ka sani Isimon ngɛ ni, “Urii ereere wen? Ikpara sini irhii ʊnanw, ʊkyana manw ɛmyɛ omung aki ikurho ifraam ngɛ, yip ɔrɔni ifraam ngɛ ni eree, apuna ni ʊfʊrhi ikyie.
2a072d0063	Sini irii ben use kǝnwu ɛmyɛ, uwe wroo bi ikpara sini irii ʊnanw, ereere wen nuwo akumo ifraam.
2a072e0052	Use kunaunw emye ɛnyɛ bi ikywi, eewe akʊnam ɛnyɛ ʊnyang ʊdʊdʊma bi ifraa.
2a072f007d	Bi kǝnawo itananw apuna ereere wen akai ʊya ngɛ, kii eyen mi ʊwaa nagang, arʊ sini apuna ngɛ ʊya naji anu waa naji.”
2a07300042	Iyesu ka sani ɛkǝri ereere ni, “Akarha pʊnanw ʊyanw ngɛ.”
2a07310069	Ekyeng sini ani burha akasʊ pɛrɛ bi idɔɔ opyomo ni, “Iyaa ewe arʊ sini ese pʊna ʊya ngɛ ni?”
2a0732005d	Iyesu ka sani ɛkǝri erere ni, “Kii ʊma ʊbrʊbrʊnw sanw oforo kyanw bidɔɔ ofofuru.”
2a080100b0	Ni ʊkywɛrɛ kǝn, Iyesu ka shinɛ kya asu kǝri apyapya kǝni apyang asu tanamɔ iring ididima gaa ni igumo Ʊnʊng. Ɔnɔ ʊmɛr ngɛ atarhi ni apari ni kǝni ɛngɛɛ ngɛ,
2a080200ad	adarha opyo erere sini amimo ikrʊ kǝni arʊ sini oworimo ering ʊshari bidɔɔ inamamo; bidɔɔmo Imeri bai Imadala arʊ sini owori ʊshari uten sara bi idɔɔ inama ngɛ.
2a080300b4	Ijowana ere Ikuza arʊ sini ɛngɛɛ ani arite ɔnɔ ʊtina ʊna Ihiridus adarha Isuzana kǝni erere napany arʊ sini akʊ she Iyesu ngee kǝni ɔnɔ ʊmɛr ngɛ ni imisini aniyoo.
2a08040055	Ni sini ushi orokru bi owro Iyesu bai apya pya obotuno napany aka tanamo ushosho wen:
2a0805007a	“Opyo arʊ wro kii ʊpʊra irhɔw. Sini akʊ zara ipyoo kakpaa baya atira, ekǝ titɛɛ ɔnɔnʊng ayaya ka tanayo ngɛ.
2a08060063	Ipyoo ka kpa baya ibʊng atari. Akywa sini emeri ekǝ ne penyo omung nɛgbɛn ikɔ rɔɔyo akurayo.
2a08070067	Ipyoo irhɔw ka kpa idɔɔ Akara kǝ mɛrɛ kǝni ɔyo ngɛ ɛkǝri akara ko turoyo a karhayo ʊfɔnɔ.
2a080800b8	Ipyoo irhɔw kakpaa bi ibʊng ididima. Ikǝmere kɔ fɔnɔ asa akywi ʊsʊsɔng epri imisini apʊri.” Sini ekyweri ʊtanamɔ, aka sani, “Arʊ sini ani atung akʊng ngɛ, akʊng.”
2a08090048	Ɔnɔ ʊmɛr Iyesu ko gyurho ngɛ ikimoyo ɛkǝri ushosho wen ku pɛrɛ.
2a080a00d2	Aka sani, “Eyenyi ʊʊma sini ɔsusi bakywa bidɔɔ igumo Ʊnʊng sini inyi nʊ kperhi ngɛ, ʊparha ɛshɛ ini pɛrɛ ni ɔmɔ ni oshoshoyo, “‘aki, anu ku ikra, anasu romo; anu kungwo, anasu kperhimo.’
2a080b0044	“Imisini ushosho wen peri ye: ɛkǝri irhɔw yo ini Iring Ʊnʊng.
2a080c008f	Imi sini kpii baya ʊtira, ɔmɔmɔ ani arʊ sini akʊng ɛkǝri irhing, ishari ka karhayo ngɛ bi idɔɔ ikywimo, sini anau yoromo epen ʊgya.
2a080d00a1	Imisini ikpii baya ibʊng atari iyoyo ini arʊ sini akʊng ɛkǝri iring aka yirhayɔ ni ofofuru, uwe ese mɛrɛmo ikang, oyoro ba anakywa ʊmarha ka ba aka kpa.
2a080e00ac	Irhɔw sini ikpii bi idɔɔ akara iyoyo ini arʊ sini akʊng ka yirha nisini akpin okyoro uwure ʊkiki eyesing, ʊkaa adʊma kǝni ʊkʊng ididima ka karhamo ngɛ ɔkɔrɔ.
2a080f009d	Irhɔw sini ikpii bi ibʊng ididima iyoyo ini arʊ sini akʊng ɛkǝri iring aka yirha okong nagigi bi idɔɔ ikywi ididima nɛmɛr asu wura ikywi ama ɔnɔ.
2a081000ab	“Ararʊ nasu ta uyen aka frawo ni isong ba. Kǝnawo araru nasu ta uyen ɔsɔmɔ ba atata Ipro. Aba ta uyen anu sawɔ bi owro ukyo uyen aki arʊraa ɛkǝri ʊna nuruyeng.
2a0811006a	Kii kukum ima sini ini ʊsʊsɔ, anu kuno niyo besing, kǝnawo imisini afriyo, anu fʊrɔyo okoba bi uyen.
2a08120098	Inyi sa noshong ni imisini inyi kukung. Arʊ sini ani ima ngɛ anujo ma; arʊ sini asa niyo; ko ani ima sini akʊ wɔrɔfo ni ingɛɛ niyo anu karha.”
2a0813005f	Ikpara dang akwa ubyere kǝni arʊpya Iyesu kaba owroo, ʊrɛ orokru kasa ana bramo ʊfwa ngɛ.
2a0814005d	Opyo arʊ ka tana ngɛ a sani, “Akwa ubyerenw kǝni arupyanw titing besing akuwaw urong.”
2a08150073	Oko yoromo a sani, “Akwa ubyerem kǝni arupyam ɔmɔmɔ ani arʊ sini akʊng iring Ʊnʊng akasʊ ʊtina niyo.”
2a08160097	Upyu Ʊnʊng Iyesu ka sani ɔnɔ ʊmɛr ngɛ ni, “Arʊ bro kyu ʊwan ʊbya ugro ʊrɛ.” Ikpara dang aka raa ɛkǝri ʊgɔrʊ omung aka kpin ʊtira.
2a081700c3	Ni sini akubro ʊmɔrɔ ka kpara Iyesu ngɛ. Uwroo avra ʊmi ikrʊ kǝ shinɛ baya omung sini ʊgɔrʊ ubro omung ugro ʊrɛ ʊtʊ tirɛ ni omung aka kpaa eyi ngɛ atu rong asani imɔ kywɛrɛyo.
2a081800c3	Ɔnɔ ʊmɛr ngɛ kǝyɛ shinɛ ngɛ asu takpa asani, “Arite, Arite, arʊ tekya ʊmirimɔ!” Iyesu kǝshine aka tana ɛkǝri uwroo avra ʊmi ikrʊ kǝni omung, akayari owro kasa na kprukpring.
2a081900c9	Iyesu ko gyurho ɔnɔ ɛmɛr ngɛ, “Eki ʊma ʊbrʊbrʊnyi?” Akyu tirɛ ni irung asuya owro, akasʊ gyurho opyomo ani, “Iyaa we sini apyii onuo ni uwroo avra ʊmi ikrʊ kǝni omung aka kwɔɔ.”
2a081a0060	Iyesu kǝni ɔnɔ ʊmɛr ngɛ kobro kyamo kii ibʊng Igarasi sini ini uteri isha irɔng Igalili.
2a081b00dd	Iyesu ku shuro wurha bi ibʊng, aka darha opyo orokru bai idɔɔ apya arʊ sini ʊshari ni bidɔɔ ngɛ. Orokru wen dɛrhɛ ngɛ ono sono ngɛ ʊʊma ʊsɔmɔ ana kiki ngɛ bi idɔɔ ʊduna akʊ kiki bi idɔɔ ɔgrɔnmɔ.
2a081c00b1	Ni sini eri Iyesu ngɛ ekǝ fen akpa ayaya ka karhakpaa bi ite, kasu takpa ayaya asu sani, “Iyesu Ɔnɔ Ʊnʊng arayaya, ikimo ʊwɛi ni emye, iku sɔrhɔnw bekya ogyurhom!”
2a081d010c	Ɛpɛri kǝnawo, kii Iyesu karha kyu tana ering ebebi usho bidɔɔ inama ngɛ ni ukuno. Bekai sini ɛrɛn ʊraa ngɛ eshuwe ngɛ ɛfɛn. Kǝni sini ese lorho ngɛ ivʊ kǝni ifraa ni, okyo asha, akan karha ɛkǝri itomo ngɛ, ʊshari kon wɔɔ kyamo idɔɔ orumo ngɛ.
2a081e0096	Iyesu ko gyurho ngɛ asani, “Ʊtʊwanw ni iyang?” Oko yoro asani, “Inapany,” eperi kǝnawo bekai sini ʊshari sini ʊrii inamange ʊnʊgrɔɔ.
2a081f0065	Ɛkǝri ʊshari kasu sɔrhɔ Iyesu ngɛ ani ebekya yerimɔ kidɔɔ ukwoo sini ʊsawɔ ni akurha ngɛ.
2a0820008d	Ugrii ku piri Iyoyow burha bi obru ukro. Ɛkǝri ʊshari ko sɔrhɔ Iyesu ngɛ ani esheremo imo raa bi idɔɔ ɛkǝri Ugrii. Iyesu ko Yoromo.
2a082100c8	Bakwya dang ɛkǝri ʊshari ko kuromo bi idɔɔ ɛkǝri orokru ka raamo idɔɔ ɛkǝri Ugrii. Kukum ɛkǝri Ugrii ko shuro ni atara aramo bi idɔɔ ɛkǝri irɔng asa omung okyurhomo ekeremo kukum mo.
2a08220076	Ni sini arʊ piri ɛkǝri Uugrii rii kǝna oko gyoo atara aya tana imi sini isi kidɔɔ apya kǝni apya ʊkʊkǝri mo.
2a082300c6	Orokru kaba okuno oborong imi sini isi. Ni sini abii eberi Iyesu, aka darha ɛkǝri orokru sini ʊshari kuni bi idɔɔ ngɛ akiki bi ite Iyesu ɔsʊsɔmi igbɛ ngɛ, asa akrʊ. Irung ka kpinmo ngɛ.
2a0824007a	Arʊ sini ani burha ori imisini isi ngɛ akasʊ tana arʊ sini abi bi ututumo, sini owori ɛkǝri orokru ʊshari bi inama.
2a082500a4	Ikpara dang kukum arʊ ʊkʊkǝri ibʊng Igarasi kɔ sɔrhɔ Iyesu ngɛ ani esheremo apya ngɛ, kii akʊng irung ngɛ nagang. Iyesu karaa ʊgɔrʊ omung sɔɔ ngɛ.
2a0826007f	Ɛkǝri orokru sini ʊshari kuni bi idɔɔ inama kɔ sorho Iyesu ngɛ a sani ingɛɛ nʊ kroo ngɛ Iyesu ka shirha ngɛ a sani,
2a08270082	“Juro kyanw owro arunw aya tanamo imi sini Ʊnʊng sinw.” Ekǝri orokru kakyaa kidɔɔ apya kukum asu tana imi sini Iyesu sie.
2a08280051	Ni sini Iyesu juri ba ʊwan ʊbya orokru ka yirha ngɛ ni ofofuru kii akaru shaa.
2a0829009c	Ani aya ʊsirha kǝna opyo orokru sini ayirhi ʊtʊwa ngɛ ni Ijerus, arite owro utuno Ayaudiya kaba okpukporo bi ite Iyesu, asu sɔrhɔ ngɛ akya ʊdʊnaa,
2a082a0086	kii ɔnɔ eying enere arʊ sini etekya ʊsa ɛnyɛɛ atarhi na apari etekya ukpo. Ni sini Iyesu nibi ʊtira ushi orokru ko mumun ngɛ.
2a082b00aa	Opyo erere sini akʊ kung igara ni udumo ʊnira eyi ɛnyɛɛ atarhi na apari, ɔnuo burha. Eperi imi sini aniyoo ngɛ bi ʊkikie eberi avuwa ikang, ekɛne pen ngɛ ikrʊ.
2a082c0067	Aka sara bidɔɔ orokru bau utumo Iyesu ka pya afri igbɛ ngɛ, ba kywakywa dang ʊnira eyi nge kating.
2a082d00b5	Iyesu ko gyurho a sani, “Iyaa apim?” Orokru kara amaa ngɛ, ikpara dang Ibitrus ka sani, “Avuwa akai orokru men ekǝkǝrinw a su tanw ivʊ bai ikwu ikinisha keba ni ɔnwɔ.”
2a082e004d	Iyesu ka sani ni, “Ararʊ pyam; ikung sini ikrʊ kuni yo ngɛ bidɔɔmi.”
2a082f00c2	Ni sini ɛkǝri erere rii anasu braa ʊsɔ ngɛ, oko kuno ni ʊyawro aba okpukporo ni orung bi ite Iyesu. Aka tana nashisha imi sini isi ingɛɛ pie kǝni sini eyi ting na kyarh bakywakywa dang.
2a08300058	Iyesu ka sani ɛngɛɛ ni, “Ɔnɔm, ʊma ʊbrʊbrʊnw manw ikrʊ. Kyanw ni ofofuru.”
2a083100be	Ni sini Iyesu ni aya ʊpya onuo, opyo orokru kaba ni itina bau ʊni Ijerus, arite ʊna utuno Ayahudiya. Kaba sani Ijerus ngɛ ni, “Ɔnɔnw kywɛrɛ ukpoo, bekya ojo ma avuwa ngɛ igara.”
2a08320059	Ni sini Iyesu kʊng kǝna aka sani Ijerus ngɛ ni, “Bekya kung irung; yoro! Anu gya.”
2a083300b3	Sini afwi ʊna Ijerus, akya noyoro ngɛ ni araru raa kǝni ɛngɛɛ ngɛ. Ibitrus, kǝni Iyohana kǝni Iyakubu adarhi Akwa ɔnɔ kǝni ekperi ngɛ mo oyori ni araa kǝni ɛngɛɛ.
2a083400a2	Orokru titiri ɛkǝri ʊna asu tei kǝni ʊwʊra ikywi ngɛ bekai ɛkǝri ɔnɔ. Iyesu kasani ɔmɔni, “Shere utei ngɛ ɛkǝri ɔnɔ se kpo ba, akʊ morowo.”
2a0835003b	Orokru ka sina ngɛ, sini ekperhi ngɛ asani ekywere ukpoo.
2a08360035	Iyesu ka kpin ngɛ bavu kasani, “Ɔnɔm, shinɛ!”
2a0837006f	Ʊring ngɛ ko juro bawo idɔɔ ngɛ ekǝ shinɛ akiki bakywakywa dang. Iyesu ka sani ɔmɔni amaa ʊmʊra ara.
2a08380050	Arʊ byere ngɛ kǝjijire, Iyesu ka sani ɔmɔni ebekya tana araru imi sini isi.
2a09010080	Nisini Iyesu yirhi ɛkǝri ɔnɔ ʊmɛr ngɛ atarhi ni apari kukum, aka mamo ikrʊ imu ʊyɛri kukum ʊshari kǝni ʊʊma ikrʊ.
2a0902003a	Aka tuma mo aya tana iring Igumo Ʊnʊng ama aruraa ikrʊ.
2a0903006c	Atanimo: “Inyi bakya kpara iririma bi ukyeng nyi, ko ʊshi ukyeng, ʊbʊrhʊ, ʊmʊra, ʊfɛ ko iri igbɛ.
2a0904005d	Ʊrʊ ʊna sini inyi ba raa, inyi ki burha kekya akywa sini inyi nʊ shere ɛkǝri apya ngɛ.
2a0905005f	Ekǝri orokru bana yirha monyi inyi krikri ifraanyi bi ɛkǝri apya eshere mo ʊpɛ itenomo.”
2a09060081	Oko tuno ikpara ka kpin ʊtira kyamo bai apyang yen kekya apyang yan, asu tana iring ididima kǝni ʊʊma orokru ikrʊ kokyu ube.
2a09070090	Ikpara dang Ihiridus ogumo Igalili ka kʊng kukum imisini iku kyeng ngɛ. Ekǝ pen uwure ngɛ nagang kii opyo arʊ kusani Iyohana ngɛ ɛshinɛ.
2a09080075	Opyo arʊ susani Iliya ngɛ okuni, opyo arʊ susani irɛ ying bi idɔɔ arʊ pɛrɛ onuo Ʊnʊng uwruwroo ngɛ shini.
2a090900ac	Ihiridus kasani, “Ikywa Iyohana ngɛ ikywi ngɛ, yip Iyaa we nɛchiyɛn sini ikusu kung edei ʊring men bi ikywie ni?” Bau ʊpʊrha akasu waa sini ngɛ nuri Iyesu ngɛ.
2a090a00a0	Ikpara sini ɛkǝri ɔnɔ ʊmɛr ngɛɛ ojuri, aka tana Iyesu ngɛ kukum imisini imo si. Ikpara dang aka kparamo ʊsʊsɔ kya opyo apya sini ayirhi ni Ibasaida.
2a090b0089	Yip ɛkǝri ushi orokru ka kung owro sini awa kya ngɛ oko kroomo ngɛ. Aka yirhamɔ, ka tanamo irhing igumo Ʊnʊng, ka ma aruraa ikrʊ.
2a090c00df	Ni ukye ba ʊrɛ ɛkǝri ɔnɔ ʊmɛr atarhi ni apari ka ba eberi ngɛ ka sani, “Shirha ushi orokru men aki akya kidɔɔ ipyang mo kǝni apyang ʊkʊkǝri aya waa ʊmʊra kǝni owro umoro, kii arʊ ni ikarha ni apyang.”
2a090d00b2	Oko yoromo asani, “Inyi mamo iririma ara.” Aka sani, “Ʊpara ikyɛɛ ʊtɔng kǝni utofuru ʊpari mɔɔ arʊ nʊmɔɔ ʊwɛi arʊ yɛrɛɛ kukum ushi orokru men ʊmʊra?”
2a090e008a	(Ɛrɛrimɛ sini ani burha nusa ʊsɔng ʊtɔng.) Yip akasani ɔnɔ ʊmɛr ngɛ ni, “Inyi samɔ akiki ɛshɛshi sini anusa isititong.”
2a090f002e	Ɔnɔ ʊmɛr ngɛ kasa kǝna, ikuyang ka kiki.
2a09100095	Iyesu ka kpara ɛkǝri ʊpara ikyɛɛ ufuforho ʊtɔng, kǝni utofuru ʊpari kasu ro ayaya, kasa ija, kojujurho. Ka ma ɔnɔ ʊmɛr ngɛ akaa orokru.
2a09110074	Kukummo aka ra oshushuro, ɔnɔ ʊmɛr ngɛ ko tuno owurhu ngɛ sini aparhi ɛshɛ ɛtirɛ ʊkɔrɔ atarhi ni apari.
2a091200b9	Ʊpyu Ʊnʊng Iyesu ka shinɛ kyaa ʊsɔrhɔ Ʊnʊng eyeyie. Ɔnɔ ʊmɛr ngɛ mo eyeyimo ani kǝni ɛngɛɛ ngɛ. Iyesu ko gyurhomo asani, “Orokru kʊ pɛrɛ asani imyɛ ini iyaa?”
2a091300a2	Oko yoro asani, “Opyo arʊ sini Iyohana ari Ibaptisma, opyo arʊ sini Iliya, opyo arʊ su sani ereying bi idɔɔ arʊ tana onuo Ʊnʊng uwruwroo ngɛ shinɛ.”
2a0914007d	Oko gyurho mo asani, “Inyi ʊkany nyi peri asani ini iyaa?” Ibitrus ko yoro asani, “Ʊnwʊɔ ni Ikristi amu Ʊnʊng.”
2a0915003b	Iyesu ka wɔɔmɔ atung nagang katanamo ebekya tana ararʊ.
2a091600bc	Aka sani, “Itɔɔyo ɔnɔ orokru kung igara ededei. Ɛkpɛri, ogu ubyen Ʊnʊng kǝni Avʊwa ʊmɛr ogro nʊ tiramo ngɛ, ɛpɛrɛ ngɛ. Yip awri ʊmang tarʊ Ʊnʊng nʊ shinɛ ngɛ.”
2a0917008f	Ikpara dang akasani kukummo ni: “Kukum arʊ sini aba waa okroomi ngɛ itɔɔyo atiramo ʊkamɔ akpara agara mo ko ʊkina ʊnʊng okromi ngɛ.
2a09180067	Kii arʊ sini aba waa ʊsha ʊfɛr mo anu taawo, arʊ sini aba taa ʊfɛrmɔ bi ikywim anu sawɔ oforo.
2a0919004d	Ikimɔyɔ ididima sini orokru nu pen ebe pen kukum eyesing, ataa ʊfɛr ngɛ?
2a091a00b1	Arʊ sini aba kung ʊwam kǝni iring mi, ɛkǝri Ɔnɔ Orokru nʊ kung ʊwaa bi ikpara sini aba ba bi idɔɔ immɔru ngɛ kǝni imʊmɔrʊ Ɛkpɛri kǝni Atina Ʊnʊng Ʊshisha.
2a091b0072	“Ʊbrʊbrʊwɔɔ itaniny, opyo arʊ sini atiting bi upen anasu kpomo kekya ikpara sini oborong Igumo Ʊnʊng.”
2a091c0099	Kekyaa ʊkpin awri ochupari mɔɔ sini Iyesu pɛri iring yen aka kpara Ibitrus ngɛ, Iyohana kǝni Iyakubu aka kirha kyamo ʊsɔrhɔ Ʊnʊng ki aya ukro.
2a091d0061	Nisini akʊ sɔrhɔ Ʊnʊng itee kǝ tere ʊʊma ʊsɔmɔ ngɛ kasa navarh kǝni uyen ʊnʊng ni.
2a091e004d	Akywakywa dang orokru apari ko kuno, Imusa kǝni Iliya asu pya onuo ni Iyesu.
2a091f0078	Okuni bidɔɔ imʊmɔrʊ ayaya kasu pɛrɛ sini Iyesu etekya ushere eyesing ngɛ, imisini itekyu ba tirɛ bi Urushelima.
2a0920008b	Ibitrus kǝni orobyoo kumoro nagang, nisini ʊmɔrɔ karhamɔ oko rong imʊmɔrʊ ngɛ kǝni orokru apari sini atiting kǝni ɛngɛɛ ngɛ.
2a092100f2	Nisini Imusa kǝni Iliya ku shere Iyesu ngɛ, Ibitrus kasani ɛngɛɛ ni, “Avuwa, ini igyang sini arʊ ni bi upen. Shere arʊ tany ɔsɔrɔ ataru, uying ʊnwɔ, uying ʊmi Imusa, uying ʊmi Iliya.” (Ene kperhi ngɛ ima ʊsʊ pɛrɛ ngɛ.)
