2900000006	Markus
2c0f1f004e	Kǝ changngandǝnda sǝkndǝ mbǝnfata, kǝthlǝm alchiɗi chekandǝnda kanda.
2c0f200084	Yahuda tǝ Silas kandangti naka tapǝnechǝ paɗ, shunangndǝ kandǝ ka'ǝn, paɗ chekangndǝ alchita hwammancha, tǝ shiwunchǝ oi.
2c0f210070	Ɗiffitǝ hangmuncha mbǝnniyu, malkǝndǝ kandǝhi ngwalngwal, ngǝrandǝ'ina mbǝɗa fǝchile thlǝnkǝ kanda.
2c0f220036	Kǝllang Silaswa keekesi, mǝllan kǝ sokka mbǝnniyu.
2c0f230075	Bulus tǝ Barnabas tǝngkǝnda hur Antakiya, naknda sakandaɗi tǝ ɓassǝ shunda Lǝmwanda, tǝ nofchǝterchin paɗ.
2c0f2400b5	Ɗiffitǝ hanmuncha, Bulus ndangna Barnabas wa: "ngǝramǝn'in ɗǝmma kǝlandǝ hwanmancha hur chikayen hǝmta mbichi ɓastǝm shunda Lǝmwanda, tǝpaɗ kǝnǝm ndu nakndǝ kǝni."
2c0f25004b	Barnabas yahkǝnsi kǝ pǝdandǝ ɓweet tǝ Yohanna, lǝ atfichǝwa Markus.
2c0f26007a	Bulus yaraǝnhi kamusuwa kǝ pǝɗandǝ tǝle saktǝndǝhi a hur Famfiliya, tǝpaɗ chertǝn ɗǝta mbet tortǝkandǝyuwa.
2c0f2700b5	Mbenniyu thla'akǝ ɓǝɓi somsommǝnchitta hanɗǝkiketa thlerǝnanda, kǝthlǝm ndǝkǝn sakkǝndǝhi tǝ ndani, Barnabas tǝrkǝn Markus, yimkǝnda kombawal pǝɗaknda Sayifurus.
2c0f280061	Bulus taɗkǝn Silas, ɗiffitǝ fǝri fǝrtǝ hwanmanchǝ kanda, ƙǝ kafata Lǝmwanda pǝɗanda.
2c0f290060	Pǝɗak Bulus tǝhur hachahai Suriya tǝ Kilikiya, nakna cheka alchita kanda kǝtǝn hwachikǝn.
2c1001008d	Bulus ɓakǝn paɗ kǝ Darbe tǝ Listira. Lǝ fǝrkitsa mbǝnniyu, thlemkǝnwa Timoti, hweya nuhnifǝ lǝ Yahudawata shinkǝn lǝ Helenawata.
2c10020035	Fafǝrkitti naka Listira tǝ Ikoniya lanaknda hamndi.
2c10030093	Yahkǝ Bulus kǝ ɗǝf Timoti ndi, tǝrkǝnndi tǝ paɗ hesha'ǝn, kǝthlem Yahudawechi naka mbechiniyu nat nda shinndǝwa shinkǝn lǝ Helenawata.
2c100400c2	Naknda ɗar pǝɗata wiikǝndǝ hǝmtǝ hǝmta, naknda mbwa'anda nofcha ichi yarandǝ fathlenchikǝnhi, tǝ pǝktecha fichile naka Urshelima, ndangnda fafǝrkitwa kǝ kuwurndǝ i yarandǝndǝhi.
2c1005005d	Tǝkichu nofchǝ fatǝrmbanda, chekkǝndǝ tǝ alchita hur fǝrkit, chikayen para kanda tera.
2c10060098	Bulus tǝ nofchi'en wiyangndǝ sǝrǝt hachahai Firijiya tǝ Galatiya, kǝthlem Shemeɗ Chiɗchiɗ njanda kanda, mǝ ɓasindǝ pathla Fara hur Asiya wa.
2c10070089	Kǝ ɓatndǝ kǝ sǝrǝt hachahai Misiya, yahkǝndǝ ɗǝt tǝhur hachahai Bitiniya, chikakichu paɗ Shemeɗa Yǝso ngǝmawa kandǝsǝwa.
2c1008003f	Mbǝrkǝndǝhi tǝ kǝllari Misiya, pǝɗaknda hai kǝ Toruwas.
2c10090099	A fiɗikkǝn ɓak ǝna ɓǝs Bulus ndaa hur sǝnata, nakǝn nifǝ lǝ Makidoniyata, kit nakna hwananda tǝ ndatwa: "Aɓu Makidoniya kǝ kǝsangnakanisi."
2c100a009d	Kǝ nat Bulus i'ni nda sǝnnatǝyu, chatkichuyu kakkani mbanda Makidoniya, mweshangngani tǝndatwa Farǝ nakka atkǝm, kǝ ɓassaam kweshcha shunda kandǝsi.
2c100b005c	Pǝɗakani hur kombawal, thlata Toruwas kǝ Samotiras, wendambǝt paɗ pǝɗakani Niyafolis.
2c100c009c	Thlata mbǝnniyu paɗ ɗǝkani Filibi, le naka kapat hǝmta Makidoniya, nat Romawecha sǝt kutǝrichitkǝn. Shiɗani hanmunchǝ ɗǝmek a hur hǝmǝɗiniyu:
2c100d00bb	Farǝ yipta Yahudawecha, chekani kish kǝ mimbang hǝmǝtkǝn, ɗǝkani mi'ama, mbǝɗi natani yarǝwa na mbita natsi i hwanandǝ Fara, mbǝnniyu sokkanihi shunangngani nishchi ngomkǝhi.
2c100e00d5	Ərta hur nishchi naka sǝkkani, thlemkǝnwa Lidiya, ɓakna hǝmǝt Tayatira, lǝ hiiyandi fi njelechaɗi, lǝ mwanandǝ Farǝ naken. I'nang Lǝmwandǝ hanɗǝkiketǝ'enhi, ɗǝfkǝn hur'i'nda i nat Bulussa mbuta.
2c100f00e4	Kǝ sandǝfichǝ baptisma tǝ fichile naka huraa'en, hwanang Lidiya kani, tǝndatwa: "Ɓaknasoktǝwa ngǝmaɗuniwa njang lǝ fǝrkit kǝmbǝnda Lǝmwanda, ɓam tama hure'engna kǝ sokkunihi." Tǝkichu kahandǝn hur i'ɗǝngnani.
2c101000d3	Farǝle nakani pǝɗata mbǝt hwanda, kǝmkani tǝ mafat nuhhweya, lenat shemeɗ luwurchǝsa fi'en, la kulakǝn, tǝpaɗ la mbǝskǝn hanɗǝɓǝlta, kǝ fǝrangka nofchi naka thlǝmatkǝn, tǝ ɓǝɗa kulat'en.
2c10110082	Nakna kuwur kani tǝ Bulus mǝlla hwata, ndatwa: "Nofchiya mafecha Fara le sherkǝ tǝ mwanda, kanda ɓassa mba hǝrǝkta kunisi."
2c101200dd	Ɗǝknamban tǝ sǝt i'niyu i mundǝ tǝrchin. Tǝkichu sǝɓkǝ hanndǝkiketa Bulussa ɗǝ kaǝn, tǝɓǝrkǝnhi ndangna shemeɗiwa: "Nja ɗǝfsǝ waat hur thlem Yǝso Kǝristi chukishsha fat'en." Chatkichuyu cheknakish.
2c101300d1	Kǝnat fa nuhwani natna hure'engnandǝyu, resh mba mbǝs ǝ'nengnandaɗi, kǝsangndǝ Bulus tǝ Sila, tǝpaɗ kahkǝndǝ kanda milumo, ndǝkndǝ tǝ kanda mbanitǝ fichile nak tǝ kuturichit hachahaikǝna har.
2c1014007a	Kǝ ɗǝtndǝ tǝ kanda mbanitǝ fa sakmicha, ndakndǝwa: "Nofchiya Yahudawecha, naknda kanda shekɗa i'ndǝ hǝmtengnani.
2c10150056	Kanda sakandǝ ɗǝssǝchaɗi kamuchǝksi, le kamuchiksi kanang Romawecha kǝ thlani."
2c101600a6	Ɓak terǝ nofcha humangndǝ miya kǝ ɗar walǝkanda, fa sak michikǝn thlethlahangndǝ njelecha nda Bulussa ɗi tǝ Sila, ndankndǝwa kǝ tǝpangficha kandǝ kaǝn.
2c10170090	Ɗiffitǝ tǝpanda kandǝ kaǝn, somkǝndǝ kanda pursuna, ndangficha lǝ pu pursunatǝkǝn harwa, kǝ kǝlansakandǝ kaǝn, mǝninda hǝrǝkta.
2c10180077	Kǝ thlǝtǝn shuwunkǝn, ɗǝkǝn tǝ kanda kakǝ hur kǝtǝn pursunatǝkǝn kǝnaǝn sarǝchengnanda thleri peh'afta.
2c1019007b	A ɗar fiɗikta, Bulus tǝ Sila kanda hwanda, tǝ in i'mish mwanandǝ Fara, tahǝt pursunachikǝn kanda kathlǝmmata kanda.
2c101a00e6	Su tollǝwa, sǝkkǝfichǝ kapat hǝhǝrta kisshitǝfa, njun kǝtǝn pursuna tǝkǝn hǝhǝrkǝnfa. chatkichuyu mikǝtǝn pursuna tǝkǝn inkǝndǝhi nat, tǝpaɗ uf challaluchi kǝnandǝfichǝ pursunachikǝnsi hǝhhatkǝndahaiya.
2c101b0097	Kǝ thlaatǝ lǝpu pursuna tǝkǝnhar, anakǝn in mikǝtǝnchǝkǝnhi nat. Yarkǝnwa reh pursunachikǝn, kǝtkǝn thlohtǝ'en, tǝna ɓǝllandǝfat'en.
2c101c005d	Shuwunkǝ Bulus tǝ kapat ɓurat ndatwa: "Mǝsanǝ mboro i'ndekufuwa, kana mbǝɗya nattani."
2c101d00a2	Lǝpu pursunatǝkǝnhar ndakǝnwa, kǝɓa fichǝ tǝ tikkesha, tǝpaɗ weshkǝna rahta hurkǝn, mǝla saktatfa tǝ lechita ɗǝkna hǝmta mbanitǝ Bulus tǝ Sila.
2c101e0064	Mbǝnniyu chaǝn kanda kish ndangnakandǝwa: "Famwanda, mǝnati sǝt kǝthlem kǝ mbǝsi hǝrǝkta?"
2c101f0063	Ndangndǝwa: "Fǝrukit kǝ ɓǝnda Lemwandǝ Yǝso, nu mbǝs hǝrǝkta tǝ chikawuna hur hure'eku."
2c1020003f	Shunangndǝ pathla Lemwanda, nat tǝ fichile naka hur huraa'en.
2c102100af	Chika nakna fiɗiktiyu, lǝpu pursunatǝkǝnhar kileɗsa kanda tǝpaɗ sapaɗǝ ndindichengnandaɗi. Chatkichuyu mǝlan tǝ fichile naka hur hura'en sangfichǝ baptisma kanda.
2c102200a4	Ɓakǝn tǝ kanda hur huraa'en, tǝpaɗ saǝn ɗǝsǝmta kanda mban, mǝlan tǝ fichile naka hur huraa'en, naknda sǝt mbenfata kǝthlem firndǝkit kǝmbǝnda Fara.
2c1023005b	Wenda mbǝta fa sak michikǝn thlǝnkǝndǝ hansǝsalchǝ ndatwa: "Kǝ kalndǝ nofchihiyu!"
2c10240080	Lǝpu pursunatǝkǝnhar ndangna Bulus wa: "Ndak fa sak michikǝnwa, kǝ kalfichǝ kunihi nakǝnya, chamakis pǝɗam ngwalngwal."
2c102500f0	Ngǝrkǝ Bulussǝwa: "Tǝpangnda kani a ɓaniti nofchǝ talyar, sahhawundǝ mikaniwa, a nakǝn kanang Romawecha, paɗ pǝkkǝndǝkani pursuna. Nakǝnnya yahkǝndǝ kalǝkanihi ɓuɓweta? Auwa! Kǝ ɓanda harandǝ kanikish tǝ i'ndengnanda."
2c1026006e	Kǝ ɗǝt hansǝsalchiyu mbu i'niyu, nak fa samichikǝnna lechita, ɓaknda sǝndǝwa Bulus tǝ Sila Romawecha.
2c10270066	Ɓaknda tǝrandakandǝhi. Kanda harandǝ kandakish, tǝpaɗ hwanangndǝkanda kǝmalndǝ hǝmǝtkǝnhi.
2c102800d9	Ɗiffitǝ cheta nda Bulus tǝ Sila kishsha pursuna, ngǝrangndǝ'ina hura'a Lidiya. Humkǝndǝhi mbǝnniyu tǝ fichile fǝrkǝkit mbwa'angndǝ shuwuncha kanda, paɗ ɓaknda soktǝ tǝ alchit hanɗǝkiketa. Pǝɗaknda.
2c1101006c	Kuwurkǝndǝ tǝ Amfibolis tǝ Afolloniya, saakǝndǝ Tassalonika kǝ mbǝɗi nat kǝtǝn humta Yahudawecha.
2c11020084	Bulus yimkǝna thlǝmmatnanda nda i sǝntǝnhi, mbǝraɗ farǝ yiptǝhi mǝkkan mǝlla halǝ'i'ndǝ tǝ kanda a hur ɗelwercha Fara.
2c110300ca	Nakna chekanda kanda, paɗ kǝna sǝnanda kandǝsi tǝ ndatwa, keekesi kǝ saa Kǝrǝsti pwene, paɗ kǝ thlaaka hur mǝmmatcha, ngǝrkǝn ndatwa. Yǝso ti nati mbwa'andakunniya, mǝllan naka Kǝrǝsti.
2c110400cb	Paɗ funǝ Yahudawecha, kahhafichi hur'inchengnanda, hummangndǝ i'ndǝ tǝ Bulus tǝ Sila, kichupaɗ sǝt Helinawechǝ oi fa lechanda Fara, tǝ kichupaɗ sǝt pǝktat nischǝ oi fa mbutǝ kǝ sǝkficha.
2c110500f8	Nak Yahudawechikǝna sǝrǝhta, ngommang ndǝ hwanchǝ rǝnnecha a lumo. Kǝ ngomtǝnnda, tǝrkaakǝndǝ thla'andǝ hur'i'nda a hur hǝmmǝtkǝn. Yimkǝnnda hurhura'a Yason nak nda kat Bulus tǝ Sila kǝthlǝm kǝ ɓandǝ tǝ kanda mbanitǝ nofcha.
2c110600d7	Kǝ ɓǝssawuchitndǝ kanda, kahkǝndǝ Yason tǝ funǝ hwanmancha, ɗǝkndǝ tǝ kanda mbanitǝ fa sak miiya, nak nda hwatta kanda ndatwa: "Nofchiya naka thlahur'i'nda chika ayi hurkisshita, ɓeɗnda mbǝɗya paɗ.
2c11070065	Yason thliɗtǝ kanda, ufnda kǝllundǝssa kussa Kaisarwa, ndatwa yunǝ kutursi, thlǝmkǝnwa Yǝso."
2c11080043	Thlaakǝ hur'i'nda Nofcha tǝ fa sakmicha kǝ sǝktǝndǝ ichiniyu.
2c1109006d	Kǝ thlǝɗ ndǝ hanɗǝɓǝl punofchǝhar a harra Yason tǝ tahǝt nofcha kalkǝndǝ kandǝhi kǝ pǝɗanda.
2c110a0095	Chat kǝ sǝt fiɗikta, ɗǝfkǝ hwanmancha ndǝ Bulus tǝ Sila kǝ pǝɗanda Biriya. Kǝ saatǝnda mbǝnniyu yimkǝnnda kǝtǝn humta Yahudawechihi.
2c110b00d1	Yahudawechi naka ɓǝɗya pǝɗanda fichilehi naka Tasalonika tǝ hur'i'nda, kǝthlǝm thliɗndǝ shuwunkǝn tǝ harchǝ chap chap, lanaknda tausandǝ shunda Farǝ wembǝta kǝ nandǝ ndu i mbutǝ Bulusyu kit.
2c110c006d	Oiya hur Yahudawechi fǝrkǝkit, Paɗ tǝ funǝ nishchǝ Helinawecha fichile naktǝ mwanda tǝ hishchǝ paɗ.
2c110d00a1	Kǝ sǝktǝ Yahudawechi naka Tassalonikayu, tǝ ndatwa Bulussa ɓassǝ pathla Fara a Biritiya, ɗǝknda nata chikandǝ kanda kǝnnda thla'andǝ hur'i'nda nofcha.
2c110e006a	Chatkichuyu ɗǝfkǝ fafǝrkit Bulus kǝ pǝɗaka mihawurta, nda Sila tǝ Timoti thlarkǝndǝhi mbǝnniyu.
2c110f00ba	Fichile ɗǝfkǝ Bulusyu saakǝndǝ tǝndi kǝ Atina. Naknda ngǝrandǝ'in thlǝkndǝ thlǝnda ɓǝɗa Bulus ndatwa, yehsi nda Sila tǝ Timoti kǝ ɗǝnda mbǝsndǝ leɗleɗ, pǝɗaknda.
2c11100079	Kǝ nat Bulussa pu kanda a Atina, sǝɓkǝ hanɗǝkiketǝ'enaɗi kaǝn, kǝ natǝn hǝmǝtkǝn nihiɗaɗi tǝ ɗǝhhacha.
2c111100ab	I sǝka para la nakna halǝ'i'nda kǝtǝn humta Yahudawechǝhi kandang tǝ funǝ Helinawecha fa lechanda Fara. Chika ɓǝɗi nat lumo fichile la ɓǝlaakǝ nata ɓǝnniyu.
2c11120109	Funǝsǝ paɗ Abikuriyawecha tǝ Sitokiyawecha fa mbǝr'ǝna halkǝndǝ'i'ndǝ tǝ ndi. Funengnanda ndakndǝwa: "Mǝ yahtǝ lǝ ɗaakiya mbuta?" Ndakfunǝwa: "Nda lǝɓassǝ ɗǝhhacha nofcha." "Mbukǝndǝ kichu kǝthlǝm Bulussa ɓassǝ Yǝso tǝ thlata mǝmatcha.
2c1113007d	Tǝrkǝndǝndi ɗǝkndǝ tǝnda ɗar Arasa, ndakndǝwa: "Ndu nu mbǝlla mbwa'andakani witǝ yuwa sakayiɗi natu sakandaɗiya?
2c11140057	Kǝthlǝm ɓanǝ yuwa icha thlǝmechengnani, yahkanisi kǝ sǝnnani i naka sakchikǝn."
2c11150080	Nakǝnya nat Atinawecha tǝ romchi naka mbǝɗengnanda, ǝnsǝ lǝ sǝnndǝ kǝ sherangka mbu yuwa shuwuncha tǝ sǝk yuwa icha.
2c1116008b	Thlaakǝ Bulus thlarkǝnhi hurɗifitǝ Arasacha, ndakǝnwa: "Kunang nofchi Atinacha, a mbǝssaɗi wa kunang fa tǝr mbandǝ chika tǝ teni.
2c111700de	Kǝthlǝm manja mbǝrtǝhi tǝ hǝmǝtkǝn, lanaki ichi natuni mwananda, a naki mbǝt fǝr pofǝn tǝ yarata ɗarkǝn ndatwa: "Kǝthlǝm Fari sǝnuchit ficha. Lenatuni mwanandǝ sǝnuchituniyu, mǝllan nati mbwa'anda kuni.
2c1118008e	Fara letinkǝ kisshita tǝ ichinaka hurkǝn uf, mǝllan naka Lǝmwanda afshi tǝ kisshita, shokwa kǝtǝn kapat hura'a Farǝ letintǝ nifǝwa.
2c111900b0	Kichu paɗ ɓahwa kat nifǝ kǝ kǝssaansǝ tǝ harchǝ'enwa, ɓahwa yah ǝnwa, kǝthlǝm mǝllan tǝ i'ndi'en la fǝrang shisshingta nifa, tǝ yipta tǝ ichi natna yahtǝ nat.
2c111a00a5	Mǝllan paɗ tinkǝ yakat terǝ nofcha tǝ mbǝɗa nifǝ ǝrta, kǝthlǝm kǝ soknda hur kisshitǝ nat, tahsaǝn sǝrǝt naɗengnandǝhi, tǝ sǝrǝt hǝmchengnanda.
2c111b007e	Sǝk Farǝ kichuyu kǝthlǝm kǝ kandǝndi, mbahya nanda taptǝ kǝ mbǝssangnda, chika sokkǝn nga nakǝn langngǝ tǝkǝmwa.
2c111c00aa	Kǝthlǝm: "Tǝ mbǝɗ'en natǝmhi, lanatma yipta, paɗ tǝ mbǝɗ'en mwaatǝmhi. Nda i mbutǝ funengnuni fa at imshi ndatwa: "Kitchitkǝn, kǝmnang ma witǝkǝn nakǝm.'
2c111d0091	"Nakǝn kǝmnang witǝ Fara, kamusi kǝ yarǝm tǝ ndatwa Farǝ nakǝn nda zinariya ndu azurfa ndu ngwiya, le tahhǝstǝ nifǝ tǝ ɗathlǝ'enwa.
2c111e007f	A hur soh tǝrra Farǝ chumwandǝ'enaɗi a ɗar tor ɓomchita. Nakǝnya mbwa'aɗa nofchǝ nat, chika tǝ tee'ǝn kǝtǝrndǝhi.
2c111f00c9	Kǝthlǝm tahsaɗǝ farihi natna ɓata sa kiita kisshitǝsi, i kitchitkǝn tǝ mbǝɗa nofchi tahsaɗǝnhi, kǝthlǝm ndǝkǝn firtǝ kitchitkǝn kǝ mbǝɗa chika wunni, tǝ thla'a nda hur mǝmatcha."
2c11200097	Kǝ sǝktǝndǝ shuwun thlata mǝmatcha, funengnanda njirkǝndǝndi, ndak funǝ paɗwa: "Yahkani kǝ ngǝrani sǝk i natu mbuta kǝ ɗar shuniya paɗ."
2c11210031	A mbǝnniyu saktǝ Bulushi tǝ kanda ɓǝɗakǝn.
2c112200b7	Funengnanda ngǝrang ndǝ'ina mbǝɗa Bulus, fǝrkǝndǝ kit. A hurnanda Diyonisiyus, lǝ sakmicha, tǝ nuhnifa le nat thlǝmkǝnwa Damaris, tǝ funǝ paɗ fichile naka thlǝmatnanda.
2c1201003b	Ɗiffitǝ ndǝkǝn, malkǝ Bulus Atinahi pǝɗakna Korinti.
2c12020101	Kǝmkǝndǝ tǝ lǝ Yahudawata mbǝnniyu nat thlǝmkǝnwa Akila lǝ Fontusta. Le ɓak nakǝnya a Italiya, kandang tǝ nuhkǝn le nat thlǝmkǝnwa Biriskila, kǝthlǝm Kalaudiyus firtǝ kus ndatwa nat Yahudawecha kǝ malndǝ Romahi. Ɗǝk Bulussa mbǝskanda.
2c1203006b	Nakǝn tor harengnandǝ ǝrtǝ tǝ nofchiyu, tor tahhasǝ tenti, sokkǝnna thlǝmatnanda naknda sǝt torra.
2c12040080	I'sǝka farǝ yipta Yahudawecha, la yimkǝna kǝtǝn humta Yahudawecha, a la nangna kahandǝ hur'inda Yahudawechǝ tǝ punofcha.
2c12050094	Kǝ ɓaɗnda Sila tǝ Timoti a Makidoniya, ɓaknda mbǝs Bulus firtǝ fat'enna ɓassa, mǝlla cheɗanda Yahudawecha tǝ kitwa, Yǝso naka Kǝrǝsti.
2c120600c1	Halangndǝ'i'nda nak nda i'erandǝfa, tǝppaǝn njelechi'ennaɗi ndangna kandǝwa: "Hekke tǝ fwarchengnuni tǝ inchengnuni! njang cheɗikish. Thlata nakǝnya kǝ mban ɗǝki mbǝɗa punofcha."
2c1207008a	Malkǝn mbǝnnihiyu pǝɗakna hura'a nifǝ lǝ atfichiwa Titiyus Yustus, lǝmwanandǝ Fara, huraa'en nduk tǝ mikǝtǝn humta Yahudawecha.
2c120800bd	Kirisbus, kappat nifa mbǝt humta Yahudawecha, fǝrkǝn kit kǝmbǝɗa Fara, kandang tǝ nofchi huraa'ennat. Korintiyawechi oi sǝkkǝ ɓassa Bulus, fǝrkǝndǝkit sanfichǝ baptisma kanda.
2c12090080	Farǝle fiɗikta, chenɗang Lǝmwanda Bulus hur'ǝn nda sǝnnatawa: "Mǝlechinuwa, ɗumban tǝ ɓasseku paɗ mǝngasinǝ ɓaawa,
2c120a006e	Kǝthlǝm njangtǝsa, paɗ nifǝsǝ na walǝsa kǝ sukǝn'ǝnwa, kǝthlǝm nofchengnǝsi oi hur hǝmmǝɗiya."
2c120b0066	Sokkǝ Bulushi mbǝnniyu, hurat'ǝrta tǝ ndǝraa tehethl, mǝlla sakandǝ pathla Fara ɗi a hurnanda.
2c120c0074	A fari nat Galiyo sǝt kuturichita furǝt Akaya, thla'ang Yahudawechǝ Bulussafa, ɓakndǝtǝnda mbanitǝ fasakmiya.
2c120d0063	Ndakndǝwa: "Nifiya mǝlla kahhandǝ hur'i'nda nofcha, kǝ mwanangndǝ Fari nguchik keeke tǝ kus."
2c120e0099	Kǝ nat Bulus nduk kǝ shunǝn, ndǝkǝn ndandǝ Galiyo Yahudawechǝkǝnwa: "Makǝthlǝm sǝt'ǝn nduɗuwa ndu kapat ɓǝɓi'ǝna, mani kathlǝmmatakuni.
2c120f00ae	Nakǝn pathlǝ sahmi kǝ ɗar shuwuncha, tǝ thlǝmcha tǝ paɗ kus engnuni, kǝllamǝn kunang tǝ inchengnuni. Njang ngi mbǝlla thlandǝ shundǝhi kǝ ɗar witǝ ichiyawa."
2c12100021	Rǝkkǝn kanda kǝtǝn sakmikǝn.
2c1211009a	Nat nda kǝsangndǝ Sostanus lǝhǝm mbanita a mbǝt humta Yahudawechǝhi, tǝppangnda a mbanitǝ fa sakmikǝn. Kǝmmawuchik'ǝn Galiyo kǝ ɗar i'sǝtnda
2c1212011a	Ɗiffitǝ ndǝkǝn sokkǝ Bulushi hanmunchǝ oi tǝfafǝrkit a mbǝnniyu, ndangna kandǝwa nan malǝkandǝhi, a yimkǝnna kommbawal, ɓǝɗakna Suriya kandang tǝ Biriskila tǝ Akila. Kǝ saatǝnda Kankiriya, hǝsaǝn hwasǝ indǝ'enaɗi, kǝthlǝm kǝ nǝhɗaǝn shunihi mbuɗtǝn.
2c121300a4	Saakǝnda Afisa, malkǝn Biriskila tǝ Akila mbǝnniyu, mǝllan tǝ i'ndǝ'en yimkǝnna kǝtǝn humta Yahudawechihi, nakna tausandǝ shuwunkǝn tǝ Yahudawechikǝn.
2c1214003c	Hwanangndǝwa kǝ sokka mbǝnniyu hanmunchǝ oi, cherkǝnfa.
2c12150077	Nakna pǝɗata ndangnakanduwa: "Ni ngǝrandǝ'inna mbǝɗengnuni ma ngǝmma Fara." Yimkǝnna kommbawal pǝɗakna Afisa.
2c12160066	Kǝ tǝrtǝnahaya a Kaisariya, pǝɗaknashi ɗǝkna nda'ǝnna fa tǝrmbanda, pǝɗatahai kǝ Antakiya.
2c12170093	Ɗifitǝ munchi sǝtna mbǝnniyu, thlaakǝn wiyaan furǝt Galatiya tǝ Firijiya nakna kuwur hǝmtǝ hǝmta, kǝna cheka alchita fa tǝrmbandǝ nat.
2c12180091	Lǝ Yahudawatsi thlǝmkǝnwa Afolos ɓaka Afisa. Mǝllan lǝ Iskandariyatǝ nakǝn. Lǝ mbǝr shunda shintǝ'ǝnkaǝn, nat tǝ yarat shunda Fara.
2c121900b9	Sakafǝchǝ pathlǝ mbanda Lǝmwandǝhar, paɗ nakǝn tǝ alchita fa hur Shemeɗa, la mbukǝn paɗ kǝ sakaan'ichaɗi kǝ ɗar Yǝso keeke, nat tǝ kichu baptisma Yohanna ndak sǝntǝn.
2c121a00a4	Tǝrkaakǝn shundǝ tǝ alchitafa, a kǝtǝn humta Yahudawecha, kǝ sǝktǝ nda Biriskila tǝ Akila ndi, tǝrkǝndǝnda huri, chekangndǝ mbwa'a pathla Farǝ kaǝn.
2c121b00de	Kǝ yahtǝ Afollossa ɗǝta Akaya, chekang hwanmanchǝ alchita, paɗ yarangndǝ ɗelwera fa tǝr mbandǝsi kǝthlǝm kǝ thlǝndǝndi tǝ harchǝchap. Kǝ saatǝn, kǝssangna fichilesi fǝrkǝkit kaǝn, tǝ mbǝɗa kafata.
2c121c008e	Kǝthlǝm sheraɗa Yahudawecha tǝ alchit kaǝn, fǝraan harǝfata kanda mbanitǝ nofcha, la cheɗkǝnwa hur pathla Fara Yǝso naka Kǝrǝsti.
2c13010085	A thlahmbǝɗi nat Afollossa korinti, Bulus wuyaǝn hur thlet hǝmǝtkǝn saakǝna Afisa, mbǝɗi mbǝsandǝn tahhǝt kimshechǝkǝn.
2c13020097	Ndangna kandǝwa: "A thlinduni Shemeɗ Chiɗchiɗ a thlahmbǝɗi fǝrtuni kitwa?" Ndangndǝwa: "Auwa, ɓahwani tamta sǝktǝwa Shemeɗsi Chiɗchiɗwa."
2c13030053	Ndakǝnwa: "Witǝ baptisama tǝmǝ sandǝfichǝkuni?" Ndakndǝwa baptisma Yohanna."
2c1304009d	Ndak Buluswa: "Yohanna sǝkǝn baptisma kǝchendǝnwa tǝrnifǝhi, nakna ndanda nofchuwa kǝ fǝrndǝ kit kǝ mbǝɗa le na ɓata ɗiffitǝkǝn, naka Yǝso."
2c1305004f	Kǝ sǝktǝndǝ kichu, sang fichǝ baptisma kanda a hur thlǝm Lǝmwanda Yǝso.
2c1306008d	Kǝ ɗǝffandǝ Bulus hara kanda in, ɓak Shemeɗ Chiɗchiɗ kǝ ɗarnanda, naknda shundǝ tǝ hanshuwunchǝ somsomǝn, paɗ naknda mbu'icha.
2c13070028	Ufnda nak ndǝ nifǝ kumngǝrǝnsi chap.
2c130800ae	Yimkǝ Bulussa kǝtǝn humta Yahudawechihi nakna ɓassa lechitfuwa shee ndǝraa mǝkkan, mǝlla halǝ'i'ndǝ tǝ kanda, nakna kahhandǝ hur'inchengnanda kǝ ɗar mwanda Fara.
2c130900f1	Paɗ funǝsa hurnanda tǝ kwaakwachit i'nda cherkǝnda fǝrkit, naknda njirandǝ mbanda Lǝmwananda mbanitǝ nofcha, kǝthlǝm kichu Bulus sakkǝnhi tǝkanda, pǝɗakǝn tǝ fa fǝrkit, nakna sakandaɗi i sǝkka wembǝta a makaranta Tiranus.
2c130a007a	Hurat chap mǝlla sǝt kichu, tǝ kichu nat nofchi naka hǝmǝt Asiya shikndǝ pathla Lǝmwanda, Yahudawecha tǝ punofcha.
2c130b004d	A shiɗ Farǝ ǝnat sheka i'ndǝ oi tǝ mbǝɗa Bulus le tamuchit ficha nata.
2c130c0093	Chika mayani'en ndu njelaa'en, le tǝkanghara fat'enfa, la ɗangficha hacha kǝ kǝnda hur hafaɗeng nanda, paɗ kǝ sakndǝhi tǝ ɓǝɓishemecha.
2c130d0100	Funǝ Yahudawecha fichile la naka wiyandǝ hǝmǝtkǝn, la naknda rǝk ɓǝɓishemecha, la sǝkndǝ tor tǝ thlǝm Lǝmwandǝ Yǝso, a ɗar fichile nak tǝ ɓǝɓishemechikǝnafa la ndangndǝwa: "A hur thlǝm Yǝso lela ɓastǝ Bulussa ɗarkǝn chamakish."
2c130e007f	A hurnanda hwechǝsi muɗ kǝ hishcha, naka i kapat pǝrist lǝ Yahudawata le nat thlǝmkǝnwa Sikeba, uf nda lasǝkndǝ kichu.
2c130f0065	Ngǝmang ɓǝɓishemeɗ kǝn kandǝwa: "A shini Yǝso paɗ a shini Bulus, kunang paɗ kunang miicha?"
