2800000004	Moti
2c060f00ac	Héñtte fótuayi-mujilíc ot boiṛá accíl de ítara beggúne yóggwar híkka díyan dóri saiyé rár dekér de, yóggwar siyára fíristar siyárar ḍóilla óigiyoi.
2c07010050	Hétunot boro imame Esṭífen ottu fusár gorér de, “Iín sóiyi ói né?”
2c070200c5	Esṭífene zuwab der de, “Ó báiyain aar bafáin, añr hotá fúno. Añárar baf Ibrahím Háran cóor ot tákibar age Mesopóṭomiyat accíl de októt mohímar Alla ye yóggwa re dahá díyl,
2c07030070	aar hoóil de, ‘Tor mulluk edde tor egana-guiccí ókkol eri oh mulluk ot zaa ziyán Añí toré daháiyum.’
2c070400c4	“Hétunot yóggwa Kasdiyo ókkol or mulluk eri Háran ot zai táikkegoi. Aar yóggwar baf morizaygói baade, Alla ye yóggwa re e mulluk yián ot lori aá baiyé, ziyán ot yala tuáñra tákor.
2c07050137	Montor Íba ye yóggwa re e mulluk yián or honó híssa miras nó dee, ṭéng rakí fare de héttor úddwa nó dee; lekin yóggwa ttu fua nu accíl de októt úddwa Íba ye yóggwa llói waada goijjíl de ki, e mulluk yián yóggwar edde yóggwa zai yóggwar ze nosól ókkol tákibo ítarar kobzat gorídibo.
2c070600b5	Alla ye yóggwa re endilla hoóil, ‘Tor nosól ókkol for or mulluk ot tór sára boni tákibo; héṛe ítara re gulamit rakíbo, aar sair cót bosór foijjonto zulúm háibo.’
2c070700b3	Alla ye aró hoóil de, ‘Montor ítara ze koum or gulami goríbo, Añí hé koum ore sáñza díyum, yárbaade ítara hé mulluk ottu neeli aái e zagat Añr ebaadot goríbo.’
2c0708011d	Tarfore Íba ye Nizor razinamar nicán ísafe yóggwa re ázomi gorár niyom diíl. Tói zeñtté Ibrahím ottu Isahák zormo óiye, yóggwa ye íba re añcṭo din ot din ázomi goráiye; baade Isahák ottu Yakub zormo óoil, aar Yakub ottu baró háandan or bafdada gún zormo óoil.
2c0709005e	“Hé bafdada gúne Yusúf ore ricé Ijíp ot besifélail, montor Alla íbar fúañti accíl,
2c070a00d7	aar íba re tamám mosibot ókkol ottu basaáil. Alla ye íba re Ijíp or baáñcca Féruan ottu meérbani faabáil aar buddíman banaáil, baade íte íba re Ijíp or edde ítar razmohól guñṛar hákim banaáil.
2c070b0092	“Yárbaade, guñṛa Ijíp ot edde Kánan ot eggwá raṭ óoil, zibá ye bicí duk ainné, aar añárar bafdada gúne hái bolla hána nó faa.
2c070c007d	Montor Yakube zettót Ijíp ot hána asé bóuli fúinnil, íba ye añárar bafdada gún ore foóila bar héṛe difeṛáil.
2c070d008d	Dusárabar ot héṛe giiyé rár, Yusúfe íbar báiyain dore nizor foriso dyíl, baade Féruane Yusúf or foribar or baabute zani faijjíl.
2c070e0093	Tarfore Yusúfe íbar baf Yakub ore edde íbar tamám egana-guiccí ókkol ore aitó hóbor foóñsaiye. Ítara kulehale hóittor fañs zon accíl.
2c070f0055	Baade Yakub Ijíp ot giíl; héṛe íba edde añárar bafdada gún entehal óigiyoi.
2c071000a8	Aar ítarar muruda ókkol ore Cekém ot loizai hobor ot diya giyéh; hoborostán waán ot ziyán Ibrahíme Cekém cóor ot Hamor or fuain dor ttu ṭiañ dii kinilóil.
2c0711008b	“Montor Alla ye Ibrahím lói goijjíl de waada fura goríbar októ zettót ḍáke aiyér, Ijíp ot añárar koum barí bicí óigilgoi,
2c07120061	Yárbaade, Ijíp ot ar eggwá baáñcca uiṭṭíl, zee niki Yusúf or baabute kessú no zainto.
2c071300bf	Íte añárar koum loi saláki goijjíl, aar añárar bafdada ókkol ore eddúr zulúm goijjíl zeén níki ítara ttu nizor dud or fuain dore baáre félaidiya fore, zeéne híin morizagói.
2c07140075	“Hé októt Muúsa zormo óoil. Íba bicí cúndor accíl, aar íba re tin mac foijjonto baf or gór ot fala gyíl.
2c07150076	Baade íba re zettót baáre félaidiya gíyeh, Féruan or zíi ye íba re loizai nizor fuar ḍóilla góri faillíl.
2c07160066	Muúsa ye Ijípi ókkol or tamám cíkkar elóm faiyé, aar íba hotát edde ham ot taakotwala accíl.
2c07170068	“Baade Muúsa salic bosór óiye rár, nizor koum Boni Isráil or hálot saitó zaito demak ot aiccé.
2c071800a5	Íba ye dekér de, ezzon Ijípi maincé eggwá Isráilir uore zulúm gorér. Tói íba zai yore Isráili wa re basai Ijíp or manúc cwa re marifélai bodola loiyé.
2c07190096	Muúsa ye báippil de, Alla ye ítara re rehái gorí bolla íba re estemal gorér de híyan íbar koumi báiyain de buzíbo, montor ítara nó buzé.
2c071a00d1	Tarfor din íba ye dekér de, dui zon Isráili ye maramari der. Íba ye ítara re cántir sáañte bonaidibar kucíce hoór de, ‘Ekí, tuáñra toh bái bái, tuáñra kiyá ezzon loi ezzone maramari dor?’
2c071b0094	“Montor zee niki oinno wa re zulúm gorér, yóggwa ye Muúsa re ḍéikka mari hoór de, ‘Toré hone añárar hákim edde bisarhar banaiyé?’
2c071c005a	‘Tui ki añré yó marifélaibi zendilla gel de hailla ezzon Ijípi re marifélaiyos?’
2c071d0083	Híyan fúni Muúsa dáigiyegoi, aar Miídiyan mulluk ot ezzon bidecóitta ísafe táikkil. Héṛe íba ttu duwá fua zormo óoil.
2c071e008c	“Salic bosór guzori zaigói baade, Kuútor Faár or moidan zagat ek fírista ye eggwá zoler de ooin or záḍḍwat Muúsa re dahádiye.
2c071f007c	Híyan dekí Muúsa taajup óigilgoi, aar cúndorgori sai bolla aró ḍáke giiyé rár, Mabude eén hoór de abas fúinne,
2c072000a9	‘Añí óilam de tor bafdada ókkol or Alla, yáni Ibrahím or, Isahák or edde Yakub or Alla.’ Hétunot Muúsa ḍoore hafat dóijjil aar saibár hímmot nó goré.
2c0721007a	“Mabude íba re hoór de, ‘Tor ṭéng or cenṭár kúlifela, kiyólla-hoilé tui ze zagat tíyaiyos híyan pak zaga.
2c072200e5	Becók, Añí Añr bonda ókkol zetará Ijíp ot asé ítarar uore ze zulúm ókkol ór híin deikkí. Añí ítarar dukkór hañdani fúni ítara re basailoibo lla nise aiccí deh. Yala ai, Añí toré Ijíp ot difeṛáiyum.’
2c07230107	“Ibá óilde oh Muúsa, zibá re ítara endilla hoói inkar gorídil, ‘Toré hone hákim edde bisarhar banaiyé?’ Ze fírista ye zoler de záḍḍwat Muúsa re dahá díyl hé fíristar duara Alla Nize íba re hákim edde rehái-goróya banai difeṛáiye.
2c072400b7	Íba ye Boni Isráil ókkol ore Ijíp ottu neelai ainníl, aar Ijíp ot, Nil Doriyat, edde moidan zagat salic bosór fán taajuippa harhána ókkol edde illayi-nicán ókkol daháiye.
2c072500a4	“Ibá óilde oh Muúsa, zibá ye Boni Isráil ókkol ore hoóil de, ‘Alla ye tuáñrar báiyain dor bútottu tuáñra lla añr ḍóilla ézzon nobi tulíbo.’
2c07260107	Íba óilde úba, zibá moidan zagat añárar koum zoma óoil de ítarar fúañti accíl; héṛe añárar bafdada ókkol edde íba llói Kuútor Faár or uore hotá hoóil de fírista wa yó accíl, aar añárar hañse foóñsai bolla íba ye zinda kalam faáil.
2c07270098	“Montor añárar bafdada ókkole íbar hotá mainto nó saá, bólke ítara íba re inkar goijjíl, aar Ijíp ot waafes zai bolla dile-dile mon gorí,
2c072800bc	Aron ore hoóil de, ‘Añárar age-age zai bolla añára lla debota ókkol bano, kiyólla-hoilé añára re Ijíp dec ottu neelai ainné de Muúsar hálot kii óigiyoi añára no zani.’
2c072900a1	Tói hétunot ítara gorur-sóor ḍóilla eggwá mutti banai yíbar hañse kurbani peec goijjé, aar ítara nizor át or banaiya siz or uore kúci-áci goijjé.
2c072a0124	Montor Alla ye ítara ttu muk fíraifelaiye, aar ítara re asman or tara ókkol fuñzitó eridifélaiye, nobi ókkol or kitab ot zendilla leikká asé, ‘Ó Boni Isráil ókkol, tuáñra moidan zagat salic bosór foijjonto Añr hañse januwar kurbani edde oinno kurbani peec goijjíla níki?
2c072b00ec	Tuáñra toh Molek debotar ṭambu edde tuáñrar Rifan debotar sóbi éna tulí looi fúañti-fúañti loizaitá, ziín tuáñra fuñza gorí bolla banaáila. Hétolla Añí tuáñra re Babilon or okul or zagat bondit difeṛáiyum.’
2c072c00bd	“Moidan zagat añárar bafdada ókkol ottu Allar Házirir Ṭambu accíl; híyan ore undilla nomuna mozin bana gyíl, zendilla gori banai bolla Alla ye Muúsa re daháidi hókum goijjíl.
2c072d0105	Ṭambu híyan fai baade, añárar bafdada ókkole Yehócuar sóddarir tole tákite híyan ore nizor fúañti añárar e mulluk ot ainníl. Héñtte Alla ye ítarar muúntu oinno koum ókkol ore neelai dyíl. Híyan Dawud or zobana foijjonto e mulluk ot accíl.
2c072e005f	Dawude Allar rahámot fai yore Yakub or Alla táki bolla ékkan zaga banaibár ezazot maiggíl.
2c072f002d	Montor Íba lla gór Sólomane éna banaiyé.
2c07300058	“Háleke, Alla Tála insán or át or banaiya gór ot no táke. Nobi ye endilla hoór,
2c073100ad	Mabude fórmar de, ‘Asman óilde Añr toktó, aar zobin óilde Añr foo rakíbar banggú. Tui Añr lla hon kisím or gór banaibí? Añí aram goríbar zaga hoṛé óibo?
2c07320033	Iín beggún Añr Nizor áte banaiyí de no né?’
2c073300b2	“Ó uzzoti manúc ókkol! Tuáñrar dil edde han toh bedini ókkol or híin or ḍóilla. Tuáñra hámica Pak-Ruh re oóñli rakó, zendilla tuáñrar bafdada ókkole goittó.
2c073400cc	Tuáñrar bafdada ókkole hon nobi wa re zulúm nó goré de asé? Ítara toh uitará re yó marifélail zetará Insáfwala wa aibár agun hotá hoóil. Aar yala tuáñra yó Íba re dóridi marifélaiyo.
2c07350063	Tuáñra toh fírista ókkol or áta diiya Córiyot faáila, montor toóu híin amól nó goró.”
2c07360071	Híin fúni fótuayi-mujilíc or membór ókkol bicí rak óigiyoi, aar yóggwar ulḍa date-dat kirkirat doijje.
2c073700a4	Montor yóggwa Pak-Ruh lói furaiya ói yore asman or uzu díyan dóri saiyé rár Allar mohíma deikké. Aró deikké de, Isá Allar den ḍák ottu tíyaiya asé.
2c07380074	Yóggwa ye hoór de, “Soó, añí dekír de, asman kúla aar Manúc or Fua Allar den ḍák ottu tíyaiya asé.”
2c0739007f	Hétunot ítara nizor han bon gorífelaiye, aar eggwá ḍoóñr guzoran mari beggúne ekku fúañti yóggwar uore záp maijje.
2c073a00ab	Ítara yóggwa re cóor or baáre loizai cíl or dola marat doijje; aar gobá gúne nizor hoorsuor kúlifelai Sául nam or ézzon juwan manúc or ṭéng or gurat raikké.
2c073b008d	Ítara Esṭífen ore cíl or dola marat accíl de októt, yóggwa ye endilla hoói dua gorér, “Ó Malik Isá, añr ruh re kobul goró.”
2c073c00a2	Baade yóggwa ye añṛú félai eggwá ḍoóñr abase guzori hoór de, “Ó Malik, itarár e guná no dóijjo.” Híyan hoói yóggwa moot or gúm ot foijjé.
2c080100f9	Esṭífen ore marifélaiye de híyan ot Sául furafuri razi accíl. Hé din, Jerúsalem ot accíl de zomát or uore eggwá ḍoóñr zulúm cúru óiye, aar sáhabi gún bade argún beggún Yohúdiya edde Samária elakar agagurat dorbodor óigiyoi.
2c0802006e	Hodún dindár manúce Esṭífen ore dohón gorífelaiye, ítara bilak gorí-gorí yóggwa lla bicí haindé.
2c08030087	Ar Sáule zomát ore dónco gorár kucíce, góre-góre góli morotfuain edde mayafuain ókkol ore ṭani aní ziyól ot díyat doijje.
2c0804005e	Ze imandár ókkol dorbodor óigiyegoi, ítara zaga-zaga zai kúchóbor tobolik gorát accíl.
2c0805005f	Aar Filípe nise Samáriar ekkán cóor ot zai, maincóre Mosihr baabute tobolik gorát doijje.
2c08060086	Manúc ókkole Filíp or boiyan fúni edde íba ye daháito de illayi-nicán ókkol dekí íbar hotá aró díyan or sáañte fúinto.
2c08070085	Kiyólla-hoilé bicí manúc ottu hóraf jin ókkol ḍoóñr abase guzoran mari neeillíl, aar boóut zon mazur edde leng gom óoil.
2c08080029	Hétolla hé cóor ot bicí kúci accíl.
2c080900b9	Yár age hé cóor ot Sáimon nam or ézzon manúc accíl, zibá ye jadu dahái Samáriar manúc ókkol ore taajup gorí rakíto, aar dabi goittó de, añí yó ézzon ḍoóñr manúc.
2c080a00a0	Gorib tuangor beggúne yóggwar hotá díyan dí fúinto aar hoitó de, “E manúc cwa óilde Allar oh kudurut, ziyán ore Ḍoóñr Kudurut bouli zana zah.”
2c080b0084	Ítara yóggwar hotát etollá díyan dito, kiyólla-hoilé yóggwa ye ítara re jadu dahái bicí deri lóti taajup gorí raikkíl.
2c080c00ba	Montor ítara zeñtté Filípe Allar raijjor edde Isá Mosihr baabute kúchóbor tobolik goijjé de híin or uore iman ainné, ítara morotfuain mayafuain duní gúne bápṭisma loiyé.
2c080d00ce	Sáimon nize yó iman aní bápṭisma loiyé. Yóggwa Filíp or fúañti-fúañti zaito, aar íba ye daháito de illayi-nicán ókkol edde ḍoóñr-ḍoóñr keramot ókkol dekí yóggwa taajup óizaytoi.
2c080e00a1	Jerúsalem ot asé de sáhabi gúne zettót Samáriar maincé Allar kalam kobul goijjé de fúinne, ítara Fitor ore edde Yohánna re tarár hañse difeṛáiye.
2c080f004f	Ítara duní zon foóñsi yore tará lla dua goijjé, zeéne tará Pak-Ruh faa;
2c08100073	kiyólla-hoilé tarár uore Pak-Ruh hétun foijjonto nú aiyé; tará cúdu Malik Isár name bápṭisma lóil deh.
2c0811004e	Baade Fitor edde Yohánna ye tarár uore át díye, tói tará Pak-Ruh faiyé.
2c0812005e	Sáimone dekér de, sáhabi gúne át dile Pak-Ruh miler, tói yóggwa ye tará re ṭiañ dii
2c08130064	hoór de, “Añré yó e kémota gán doo, zeéne añí zar uore át dí yóggwa ye Pak-Ruh faa.”
2c081400a8	Montor Fitore yóggwa re hoór de, “Tuáñr ṭiañ tuáñr fúañti dónco óizoggoi, kiyólla-hoilé tuñí toh Allar hádiya ṭiañ dii kina zah bouli ṭáaijjo.
2c08150078	Ham yián ot no tuáñr honó híssa asé aar no honó borat asé, kiyólla-hoilé Allar nozor ot tuáñr dil sóiyi no.
2c08160093	Hétolla tuñí tuáñr e hórafi ttu touwá goró, aar Malik or hañse dua goró, óitofare Íba ye tuáñr dil or e hóraf báfani maf gorídibo.
2c08170050	Kiyólla-hoilé añí dekír de, tuñí lalóse bóra aar gunár kobzat asó.”
2c08180087	Hétunot Sáimone zuwabe hoór de, “Añr lla Malik or hañse dua goró, zeéne tuñí hoiyó de héntu ekkán úddwa añr uore no.”
2c081900ca	Tarfore Malik or kalam tobolik gorí edde Isár baabute gobá dí baade, Fitor edde Yohánna Jerúsalem or uzu rowana loiyé, aar foñt ot Samári ókkol or boóut tan farat kúchóbor tobolik goijjíl.
2c081a00b6	Ek din, Mabud or ek fírista ye Filíp ore hoór de, “Tuñí uṛí doóin míkka rasta ubát zoo, zibá Jerúsalem ottu Gaza cóor ot foijjé.” Hé rasta wa moidan zagat accíl.
2c081b00fe	Hétunot íba uṛí rowana loiyé, aar zaite-zaite foñt ot máze Itúpiya dec or Kandes ranir ek ḍoóñr uzir loi dola óiye, yóggwa accíl ízara, aar ranir tamám dón-doulot or zimmadar. Yóggwa Jerúsalem ot aiccíl de Allar ebaadot gorí bolla.
2c081c0070	Yóggwa nizor gúra-garít boói gór ot waafes zaargói de foñt ot nobi Yesáyahr kitab telawot gorát accíl.
2c081d007a	Hétunot Pak-Ruh ye Filíp ore hoór de, “Hé gúra-garí gán or ḍáke zai híyan or fúañti-fúañti zaat dóro.”
2c081e00cb	Tói Filíp duñri gúra-garír ḍáke giiyé rár fúner de, manúc cwa ye nobi Yesáyahr kitab telawot gorér. Íba ye yóggwa ttu fusár gorér de, “Tuñí ziín telawot gorór híin buzór né?”
2c081f00a5	Yóggwa ye zuwab der de, “Honókiye buzái no dilé añí keéngori buzí faijjum?” Tói yóggwa ye Filíp ore uore uṛí yóggwar fúañti boitó aros goijjé.
2c0820012a	Manúc cwa ye pak-kalam or ze híssa gán telawot gorér híyan óilde yián, “Zoorái bolla bérasóol ore zendilla gori loiza zah, Íba re héndilla góri loiza giyéh; aar nizor keñc haṛoyar muúntu bérasóol or sóo ye zendilla nizám ói táke, héndilla Íba ye yó Nizor muk nó kúle.
2c0821009d	Íba re beizzoti goijjíl de híyan or honó bisar nó faa. Hone Íbar nosól or baabute hoói faribó? Kiyólla-hoilé duniyai ttu Íbar zan loifélagil.”
2c08220093	Hé uzir gwá ye Filíp ottu fusár gorér de, “Meérbani góri añré hoó, nobi ye iín har baabute hoór deh, nizor né náki oinno zon or?”
2c08230092	Hétunot Filípe hotá howá sáat goijjé, aar pak-kalam or hé híssa gán lói cúru gorí yóggwa re Isár baabute kúchóbor tobolik goijjé.
2c082400b2	Ítara rasta báy zaite-zaite faní asé de ekkán zagat foóñicce. Uzir gwá ye hoór de, “Soó, eṛé faní asé, yala bápṭisma lowa ttu añré kiyé oóñli faribó?”
2c082500b2	Filípe yóggwa re hoór de, “Zodi tuñí fura dile Isár uore iman ainnó de óile, loi faribá.” Yóggwa ye hoór de, “Añí iman aní de, Isá Mosih óilde Allar Fua.”
2c0826009f	Baade yóggwa ye gúra-garí tíyagaraito hókum díye, tarfore Filíp edde hé uzir, tará duní zon fanít laimmé, aar Filípe yóggwa re bápṭisma díye.
2c082700b8	Zeñtté ítara faní ttu uiṭṭégai, Malik or Ruh ye bánggori Filíp ore loigiyégoi. Hé uzir gwá ye Filíp ore ar nó deké, lekin kúci gorí-gorí nizor sofór zari raikkíl.
2c08280096	Montor Filípe nizoré Asdod cóor ot loot faiyé, íba héntu lóti Kaisáriyat foóñse foijjonto cóor beggún ot kúchóbor tobolik gorát accíl.
2c09010073	Hé hale, Sáule Malik or ummot ókkol ore dómki diyat edde zulúm gorát accíl. Íba boro imam or hañse giiyé,
2c090200e3	aar Damáskas cóor or mujilíc-hána ókkol ot dii bolla ceñṛí maiggé, zeéne íba ye zaré-zaré Malik or Torikat asé de lootfa, ítara beggún ore bañdí Jerúsalem ot aní fare, ítara morotfuain óuk yáh mayafuain.
2c09030082	Zaite-zaite íba zeñtté Damáskas or hañsáhañsi foóñicce, atíkka asman ottu eggwá foór íbar sairó ḍák ottu soimké,
2c0904007d	baade íba meṛit forigilgói, aar endilla hoór de eggwá abas fúinne, “Sául, Sául, tui Añré zulúm gorór kiyá?”
2c09050072	Sáule fusár gorér de, “Malik, Tuñí hon?” Íba ye zuwab der de, “Añí Isá, zibá re tui zulúm gorór.
2c09060067	Yala tui uṛí cóor or bútore zaa, tor ttu kii gorá foribó de híyan héṛe toré howá zaybo.”
2c09070096	Oinno manúc zetará Sául or fúañti zaar, ítara ammúk ói tíyai táikkil, kiyólla-hoilé ítara abas swá fúner montor honókiyo re no dekér.
2c09080086	Tarfore Sául meṛi ttu uiṭṭé, lekin suk kúille rár kessú no dekér. Baade ítara íba re át ot dóri Damáskas ot loigiyé.
2c09090044	Íba tin din foijjonto añdá accíl, aar honó hána-fina ná háa.
2c090a00ae	Damáskas ot Ananiyas nam or ezzon ummot accíl, Malike yóggwa re ekkán dorcón ot hoór de, “Ó Ananiyas.” Yóggwa ye zuwab der de, “Jii Malik, añí eṛé así.”
2c090b00b3	Baade Malike yóggwa re hoór de, “Uṭ, Uzu hoó de rasta yíbat zaa, aar Yohúdahr gór ot Sául nam or ézzon Tarsús cóor or manúc or talac gorgói. Íba ehón dua gorér.
2c090c0081	Íba ye ekkán dorcón ot deikké de, ezzon Ananiyas nam or manúce aái íbar uore át díye, zeéne íba ye abar dekí fare.”
2c090d009d	Ananiyase hoór de, “Malik, manúc íbar baabute añí boóut maincór ttu fúinni, íba ye Jerúsalem ot Tuáñr pak bonda ókkol ore hotó duk diyé deh,
2c090e0086	aar íba eṛé Tuáñr ebaadot goré de ítara beggún ore gereftar gorí bolla ḍoóñr imam ókkol ottu adíkar fai aiccé deh.”
2c090f00ca	Montor Malike yóggwa re hoór de, “Tui zaa, kiyólla-hoilé íba óilde Añr basíloiya usíla, Beyohúdi ókkol or, baáñcca ókkol or, edde Boni Isráil ókkol or muúntu Añr nam foóñsai bolla.
2c0910004e	Añr nam or wasté íba ttu hodún duk faa foribó Añí íba re daháiyum.”
2c0911010f	Tói Ananiyas zai hé gór gán ot góille, aar Sául or uore át dí hoór de, “Bái Sául, Malik Isá, zibá ye tuáñre eṛé aibárcot rastat dahá díyl, añré tuáñr hañse Íba ye difeṛáiye deh, zeéne tuñí abar dekí faro aar Pak-Ruh lói furaiya ó.”
2c09120094	Baade éhon or bútore Sául or suk ottu oóñc or ḍóilla kessú foijjé, aar íba ye abar dekí faijjé. Tarfore íba uṛí bápṭisma loiyé,
2c09130063	aar hána háiye rár abar bol faiyé. Íba ummot ókkol or fúañti Damáskas ot hooddin táikkil,
2c09140079	aar honó deri no gorí mujilíc-hána ókkol ot Isár baabute tobolik gorát doijje de ki hoilé, Isá óilde Allar Fua.
2c09150125	Zetará íbar boiyan fúinto ítara beggúne taajup ói hoitó de, “Manúc ibá kí ubá no, zibá ye Jerúsalem ot Isár ebaadotgár ókkol ore zulúm goittó? Ibá eṛé yó héndilla goré de ítara re gereftar gorí ḍoóñr imam ókkol or hañse loizaibár niyote aiccé de no né?”
2c091600b0	Montor Sául dinbodin mozbut ówat accíl, aar Isá óilde Mosih de híyan or eén dolil ókkol diyat accíl, zeén níki Damáskas ot táke de Yohúdi ókkol toddó óizaytoi.
2c0917005f	Boóut din guzori zaigói baade, Yohúdi ókkole íba re marifélai bolla ekkán sail gúraiye,
2c09180092	montor Sáule ítarar hé sail or baabute zani faijjé. Ítara íba re marifélai bolla dine raite cóor or geiṭ ókkol ot faára díyat accíl,
2c09190077	montor íbar cárit ókkole raitta eggwá ḍoóñr lai ot gori íba re ḍebal or ekkán zanála báy nise lamaidiyé.
2c091a00e8	Baade Sául Jerúsalem ot giiyégoi. Héṛe íba ye ummot ókkol lói bóng óito kucíc goijjíl; montor ítara beggúne íba re ḍooraitó, kiyólla-hoilé íba sóiyi-sóiyi ummot bonigiyói de híyan ítara biccác no goittó.
2c091b011f	Montor Bárnabase íba re sáhabi gún or hañse ainné. Yóggwa ye ítara re zanaiyé de, Sáule sofór ot zaibarcót rastar uore Malik ore hondilla gori deikkíl, Malike íba llói keéngori hotá hoóil, edde íba ye Damáskas ot Isár name keén hímmot or sáañte tobolik goijjíl.
2c091c0090	Tarfore Sául ítarar fúañti táikkil, aar kúlamela góri Jerúsalem or agagurat zai hímmot or sáañte Malik or name tobolik gorát accíl.
2c091d0088	Íba ye Yohúdi zetarár zuban Girík ítara llói hotá hoitó edde barábari díto; montor ítara íba re marifélaito kucíc goittó.
2c091e0076	Zeñtté imandár báiyain de híyan or baabute zainné, ítara íba re nise Kaisáriyat aní Tarsús ot duñraidiyé.
2c091f00d9	Héñtte fura Yohúdiyar, Galil or, edde Samáriar zomát ókkol ot cánti accíl, aar híin torki ówat accíl. Ítara Malik ore ḍooraitó aar Pak-Ruhr tosólliye solitó; héndilla góri ítarar dol barát accíl.
2c09200081	Fitor hárr zagat sofór goitté-goitté, ek dinná íba Liídiya farat Allar ze pak bonda ókkol asé ítarar hañse yó aiccé.
2c0921007a	Héṛe íba ye Ainiyas nam or ezzon manúc loot faiyé, zibá añtur de hétolla añcṭo bosór fán bisánat fori asé.
2c09220097	Fitore yóggwa re hoór de, “Ainiyas, Isá Mosih ye tuáñre gom goijjé; uṛó, tuáñr bisána boṛi loo.” Baade yóggwa éhon uṛí tíyaiye.
2c09230055	Aar yóggwa re dekí Liídiyar edde Cáron elakar manúc beggún Malik or uzu fíjje.
2c092400c0	Joppa cóor ot Tabita nam or eggwá mayafua ummot accíl; Girík zuban ot híbar nam Dorkas, ziyán or torjuma “Óroin.” Híba ye hámica bálai goittó aar gorif ókkol ore modot goittó.
2c0925007a	Héñtte híba biyaram ói morigílgoi, aar manúc ókkole híba re dúwaidai baade uoror ṭalar ekkán kamárat raikké.
2c092600cb	Liídiya fara gán Joppar ḍáke accíl. Ummot ókkole zettót Fitor héṛe asé de fúinne ítara dui zon manúc difeṛái íba re aros gorér de, “Tuñí añárar héṛe aité deri no goijjó.”
2c09270141	Hétunot Fitor uṛí ítarar fúañti giiyé. Zeñtté íba héṛe foóñicce, ítara íba re uoror ṭalar kamára gán ot ainné. Rari mayafuain beggún Fitor or sairó ḍák ottu tíyai táikke, aar Dorkase zinda tákite zedún kuruta edde hoorsuor ókkol banaáil híin beggún íba re hañdi-hañdi dahát doijje.
2c092800cc	Montor Fitore ítara beggún ore baáre neelaidi añṛú félai dua goijjé. Íba ye lac cwar uzu fíri hoór de, “Tabita, uṭ.” Tói híba ye suk kúille, aar Fitor ore deikké rár uṛí boiccé.
2c09290079	Baade Fitore híba re át ot dóri tuillé, aar rari mayafuain cóo imandár beggún ore matai híba re zinda gosáidiye.
2c092a0059	Hé hóbor gán Joppa agagurat fóligilgoi, aar boóut maincé Malik or uore iman ainné.
2c092b0064	Fitor boóut din foijjonto Joppat maze Sáimon nam or ézzon samarar ham-goróyar fúañti táikkil.
2c0a010086	Kaisáriya cóor ot Korneliyas nam or ezzon manúc accíl, yóggwa accíl Iṭaliyo Ṭeérang hoó de yíbar ek cót fóous or cáap.
2c0a02009e	Yóggwa edde yóggwar gór ṭíya dindár accíl aar Alla re ḍooraitó; yóggwa ye gorif ókkol ore bicí hórat diito, aar Allar hañse nitti dua goittó.
2c0a0300a1	Ekbar din or tin nwá báze yóggwa ye ekkán dorcón deikké, ziyán ot sáf-sáf góri dekér de, Allar ek fírista aái yóggwa re hoór de, “Korneliyas.”
2c0a0400ca	Yóggwa ye ḍoore fíristar uzu suk ḍoóñr gorí saái hoór de, “Malik, hoóna?” Baade fírista ye hoór de, “Tuáñr duaye edde hórat doone Alla kúci óiye aar Íba ye híin monot raikké.
2c0a05005f	Yala tuñí Joppat manúc difeṛó, aar Sáimon zibá re Fitor óu ḍake, íba re matai anó.
2c0a060062	Íba samarar ham-goróya Sáimon or gór ot meéman ísafe asé, zar gór gán doijjar hañsat.”
2c0a0700c3	Yóggwa llói hotá hoóil de fírista wa zaigói baade, yóggwa ye nizor gór or dui zon gulam ore edde yóggwa re hámica hédmot goittó de ítarar bútottu eggwá dindár fóous ore mataiyé.
2c0a08004e	Aar ziín-ziín óiye híin beggún ítara re buzái yore Joppat difeṛáiye.
2c0a090096	Tarfor din ítara zaite-zaite cóor gán or hañsáhañsi foóñser de októt, din or duúñijja Fitor gór or sád or uore dua goittó uiṭṭégoi.
2c0a0a0078	Íba ttu búk laiggíl, aar kessú háito monehoóil, montor hána toiyar ór de októt, íba ye ekkán dorcón deikké,
2c0a0b007d	ziyán ot dekér de, asman kúla aar ḍoóñr saddor or ḍóilla ekkán siz ore sair kuna ttu dóri zobin ot lamaidiya zar.
2c0a0c006b	Híyan or bútore hárr kisím or sair ṭéingga januwar, buke áñṛe de zandár, edde faik ókkol asé.
2c0a0d0056	Baade íbar hañse eggwá abas aiccé de, “Fitor, uṭ, iín ore marifélai háa.”
2c0a0e0068	Montor Fitore hoór de, “No, no, Malik; añí toh honódin kessú nafak yáh háram háiyi de nái.”
2c0a0f007d	Hétunot íbar hañse abar eggwá abas aiccé de, “Alla ye ziyán ore pak-sáf goijjé híyan ore nafak bouli no hoóic.”
2c0a100054	Héndilla tin bar óiye, baade saddor gán atíkka asman ot waafes tulífela gíyeh.
2c0a1100c9	Zeñtté Fitore deikkíl de dorcón or maáni kii hoói báfer, Korneliyase difeṛáil de manúc cún Sáimon or gór gán hoṛé asé de talac gorí fai yore híyan or geiṭ ot aái tíyai táikke.
2c0a120063	Ítara ḍak mari fusár gorér de, “Sáimon, zibá re Fitor óu ḍake, íba eṛé asé né?”
2c0a130081	Fitore dorcón híyan or baabute báfat accíl de októt, Pak-Ruh ye íba re hoór de, “Saá, tin zon maincé tor talac gorér.
