010000000c	Olubereberye
136d0c003c	Waleme kubaawo amusaasira, wadde akolera abaana be ebyekisa.
136d0d0069	Ezzadde lye lizikirizibwe, n’amannya g’abazzukulu be gasangulwe mu ago ag’omu mulembe oguliddirira.
136d0e0057	Mukama ajjukirenga ebyonoono bya bakadde be; n’ekibi kya nnyina kireme kwerabirwanga.
136d0f0049	Mukama ajjukirenga ebyonoono byabwe bulijjo, n’ensi ebeerabirire ddala.
136d100088	Kubanga talowoozangako kukolera muntu yenna kya kisa; naye yayigganyanga abaavu, n’abeetaaga, n’abanakuwavu n’abatuusa ne ku kufa.
136d110067	Yayagalanga nnyo okukolima; kale ebikolimo bimwefuulire. Teyayagalanga mikisa; kale gimwesambire ddala!
136d120067	Yeeteekako okukolima ng’ekyambalo, ne kumutobya ng’amazzi, ne kuyingira mu magumba ge ng’amafuta.
136d130058	Kubeerenga ng’ekyambalo ky’ayambadde, era ng’olukoba lwe yeesibye emirembe gyonna.
136d14006f	Ebyo byonna y’eba ebeera empeera, Mukama gy’awa abo abandoopaloopa, era abanjogerako eby’akabi ebyereere.
136d150078	Naye ggwe, Ayi Mukama Katonda wange, nnwanirira olw’erinnya lyo; era omponye olw’okwagala kwo okulungi okutaggwaawo.
136d160048	Kubanga ndi mwavu era ali mu kwetaaga, n’omutima gwange gunyolwa nnyo.
136d17004f	Sikyaliwo, ndi ng’ekisiikirize eky’akawungeezi; mmansuddwa eri ng’enzige.
136d180051	Amaviivi gange ganafuye olw’okusiiba; omubiri gwange gukozze ne guggwaamu ensa.
136d19003f	Abandoopaloopa bansekerera; bwe bandaba nga banyeenyeza omutwe.
136d1a0053	Mbeera, Ayi Mukama Katonda wange! Ondokole ng’okwagala kwo okutaggwaawo bwe kuli.
136d1b003e	Baleke bategeere nti ggwe okikoze, n’omukono gwo Ayi Mukama.
136d1c0060	Balikoma, naye ggwe olimpa omukisa! Leka abannumbagana baswale, naye nze omuddu wo nga nsanyuka!
136d1d0041	Abandoopa baswazibwe, n’ensonyi zaabwe zibabuzeeko obwekyusizo.
136d1e0052	Nneebazanga Mukama n’akamwa kange; nnaamutenderezanga wakati mu kibiina ekinene.
136d1f004a	Kubanga alwanirira omunaku ali mu kwetaaga, n’amuwonya abo abaagala afe.
136e0100ae	Zabbuli ya Dawudi. Mukama yagamba Mukama wange nti: “Tuula wano ku mukono gwange ogwa ddyo, okutuusa lwe ndimala okufufuggaza abalabe bo ne mbassa wansi w’ebigere byo.”
136e020042	Mukama aligaziya obufuzi bwo okuva mu Sayuuni; olifuga abalabe bo.
136e0300c3	Abantu bo balyewaayo bokka mu ggye lyo ng’ekiseera ky’olutalo kituuse. Abavubuka bo, nga bali mu by’ekitiibwa ekitukuvu, balikukuŋŋaanirako ng’omusulo bwe gulabika ng’obudde bwakakya.
136e040084	Mukama yalayira, era tagenda kukijjulula, yagamba nti, “Olibeera kabona emirembe gyonna ng’engeri ya Merukizeddeeki bw’eri.”
136e050059	Mukama anaakulwaniriranga; bakabaka abakulwanyisa anaababetentanga mu busungu bwe obungi.
136e060071	Aliramula amawanga, abafuzi b’ensi yonna n’abazikiriza, n’entuumo z’emirambo ziriba nnyingi ku nsi yonna.
136e070045	Alinywa amazzi mu kagga ku kkubo, n’addamu amaanyi ag’obuwanguzi.
136f010076	Mutendereze Mukama! Nneebazanga Mukama n’omutima gwange gwonna, mu lukiiko lw’abalongoofu, era ne mu lukuŋŋaana.
136f020046	Mukama by’akola bikulu; bifumiitirizibwako abo bonna ababisanyukira.
136f03005b	Emirimu gye mikulu nnyo era gya kitiibwa, n’obutuukirivu bwe tebuggwaawo emirembe gyonna.
136f04004f	Ayamba abantu okujjukira ebyamagero bye, Mukama wa kisa era ajjudde okusaasira.
136f050040	Agabira abamutya emmere; era ajjukira endagaano ye buli kiseera.
136f060068	Abantu be abalaze ng’ebikolwa bye bwe biri eby’amaanyi; n’abagabira ensi eyali ey’abannaggwanga.
136f070054	By’akola byonna bya bwesigwa era bya bwenkanya; n’amateeka ge gonna ga bwesigwa,
136f08004b	manywevu emirembe gyonna; era yagassaawo nga ga bwesigwa era nga ga mazima.
136f09006a	Yanunula abantu be; n’alagira endagaano ye ebeerewo emirembe gyonna. Erinnya lye ttukuvu era lya ntiisa!
136f0a0084	Mu kutya Mukama amagezi mwe gasookera era abo abagondera ebigambo ebyo bajjudde obutegeevu. Mukama atenderezebwenga emirembe gyonna.
137001005a	Mutendereze Mukama! Alina omukisa omuntu atya Katonda, era asanyukira ennyo mu mateeka ge.
1370020052	Abaana be baliba ba kitiibwa mu nsi; omulembe gw’abalongoofu guliweebwa omukisa.
137003005b	Ennyumba ye enejjulanga ebintu n’obugagga obungi; era anaabanga mutuukirivu ennaku zonna.
1370040069	Ne mu kizikiza, ekitangaala kyakira omulongoofu, alina ekisa, n’oyo alina okusaasira, era omutuukirivu.
1370050071	Omuntu oyo agabira abeetaaga, era tawolera magoba, era akola emirimu gye gyonna n’obwenkanya, alifuna ebirungi.
137006003f	Omutuukirivu talinyeenyezebwa, era anajjukirwanga ennaku zonna.
137007004d	Amawulire amabi tegaamutiisenga, kubanga omutima gwe munywevu gwesiga Mukama.
1370080072	Omutima gwe guteredde, tewali ky’anaatyanga, era oluvannyuma alitunuulira abalabe be n’amaaso ag’obuwanguzi.
137009005e	Agabidde abaavu bye beetaaga; mutuukirivu ebbanga lyonna; era bonna banaamussangamu ekitiibwa.
13700a0088	Omubi anaabirabanga ebyo, n’asunguwala, n’aluma abugigi, naye nga talina kya kukola. Okwegomba kw’ababi tekuubengako kye kubagasa.
1371010056	Mutendereze Mukama! Mumutendereze, mmwe abaweereza be, mutendereze erinnya lya Mukama.
137102004b	Erinnya lya Mukama litenderezebwe okuva leero n’okutuusa emirembe gyonna.
137103004b	Enjuba weeviirayo okutuusa bw’egwa, erinnya lya Mukama litenderezebwenga.
1371040052	Mukama agulumizibwa okusinga amawanga gonna, era n’ekitiibwa kye kisinga eggulu.
137105005c	Ani afaanana nga Mukama Katonda waffe, atuula ku ntebe ye ey’obwakabaka eri waggulu ennyo,
137106002b	ne yeetoowaza okutunuulira eggulu n’ensi?
1371070060	Abaavu abayimusa n’abaggya mu nfuufu; n’abali mu kwetaaga n’abasitula ng’abaggya mu vvu,
137108004d	n’abatuuza wamu n’abalangira, awamu n’abalangira abo abafuga abantu be.
137109006e	Omukazi omugumba amuwa abaana, n’abeera mu maka ge n’ezzadde lye ng’ajjudde essanyu. Mutendereze Mukama!
137201006a	Isirayiri bwe yava mu Misiri, abaana ba Yakobo abo, ne bava mu bantu abaayogeranga olulimi olutali lwabwe;
1372020047	Yuda n’afuuka omutukuvu wa Katonda, Isirayiri n’afuuka amatwale ge.
1372030044	Ennyanja bwe yabalaba n’edduka; Omugga Yoludaani ne gudda emabega.
1372040056	Ensozi ne zibuukabuuka ng’endiga zisseddume, n’obusozi obutono ng’obuliga obuto.
1372050042	Ggwe ennyanja, lwaki wadduka? Ggwe Yoludaani, lwaki wadda emabega?
1372060063	Mmwe ensozi, lwaki mwabuukabuuka ng’endiga zisseddume, nammwe obusozi obutono ng’obuliga obuto?
1372070046	Kankana, ggwe ensi, mu maaso ga Mukama, mu maaso ga Katonda wa Yakobo,
137208005a	eyafuula olwazi ekidiba eky’amazzi, n’olwazi olugumu n’aluggyamu ensulo ez’amazzi.
137301007e	Si ffe, Ayi Mukama, si ffe. Wabula erinnya lyo lye ligwana okuweebwanga ekitiibwa, olw’okwagala kwo n’olw’obwesigwa bwo.
137302003e	Lwaki amawanga gabuuza nti, “Katonda waabwe ali ludda wa?”
1373030034	Katonda waffe ali mu ggulu; akola buli ky’ayagala.
137304004f	Bakatonda baabwe bakole mu ffeeza ne zaabu, ebikolebwa n’emikono gy’abantu.
137305003c	Birina emimwa, naye tebyogera; birina amaaso, naye tebiraba.
1373060043	Birina amatu, naye tebiwulira; birina ennyindo, naye tebiwunyiriza.
1373070072	Birina engalo, naye tebikwata; birina ebigere, naye tebitambula; ne mu bulago bwabyo temuvaamu ddoboozi n’akamu,
137308003a	abakozi ababikola, n’abo bonna ababyesiga balibifaanana.
1373090054	Mmwe ennyumba ya Isirayiri mwesigenga Mukama, ye mubeezi wammwe era ye ngabo yammwe.
13730a0051	Mmwe ennyumba ya Alooni mwesigenga Mukama, ye mubeezi wammwe era ye ngabo yammwe.
13730b0049	Mmwe abamutya, mwesigenga Mukama, ye mubeezi wammwe, era ye ngabo yammwe.
13730c0091	Mukama anaatujjukiranga, era anaatuwanga omukisa. Ab’ennyumba ya Isirayiri anaabawanga omukisa; ab’omu nnyumba ya Alooni anaabawanga omukisa;
13730d0055	n’abo abamutya, ab’ekitiibwa n’abatali ba kitiibwa, Mukama anaabawanga omukisa.
13730e003d	Mukama abaaze mweyongere nnyo obungi, mmwe n’abaana bammwe.
13730f002f	Mukama, eyakola eggulu n’ensi, abawe omukisa.
1373100042	Eggulu ery’oku ntikko lya Mukama, naye ensi yagiwa abantu bonna.
137311003c	Abafu tebatendereza Mukama, wadde abo abaserengeta emagombe.
1373120060	Naye ffe tunaatenderezanga Mukama, okuva leero n’okutuusa emirembe gyonna. Mutendereze Mukama!
137401004b	Mukama mmwagala, kubanga awulidde eddoboozi lyange n’okwegayirira kwange.
1374020067	Kubanga ateze okutu kwe gye ndi, kyennaavanga mmukoowoola ebbanga lyonna lye ndimala nga nkyali mulamu.
1374030069	Emiguwa gy’okufa gyansiba, n’okulumwa okw’emagombe kwankwata; ne nzijula ennaku nnyingi n’okutya.
1374040046	Ne ndyoka nkoowoola erinnya lya Mukama nti, “Ayi Mukama, ndokola.”
1374050042	Mukama wa kisa, era mutuukirivu; Katonda waffe ajjudde okusaasira.
137406004f	Mukama alabirira abantu abaabulijjo; bwe nnali mu buzibu obunene, n’andokola.
1374070043	Wummula ggwe emmeeme yange, kubanga Mukama abadde mulungi gy’oli.
137408008c	Kubanga ggwe, Ayi Mukama, owonyezza omwoyo gwange okufa, n’amaaso gange ogawonyezza okukaaba; n’ebigere byange n’obiwonya okwesittala,
137409003c	ndyoke ntambulirenga mu maaso ga Mukama mu nsi ey’abalamu.
13740a0036	Nakkiriza kyennava njogera nti, “Numizibbwa nnyo.”
13740b003a	Ne njogera nga nterebuse nti, “Abantu bonna baliraba.”
13740c004b	Mukama ndimusasula ntya olw’ebirungi bye ebingi bwe bityo by’ankoledde?
13740d0043	Nditoola ekikompe eky’obulokozi, ne nkoowoola erinnya lya Mukama.
13740e0046	Ndituukiriza obweyamo bwange eri Mukama, mu maaso g’abantu be bonna.
13740f003b	Okufa kw’abatukuvu ba Mukama kwa muwendo nnyo eri Mukama.
137410005f	Ayi Mukama, onsumuluddeko ebyansiba n’onfuula wa ddembe, nange nnaakuweerezanga ennaku zonna.
1374110045	Ndiwaayo ekiweebwayo eky’okwebaza, ne nkoowoola erinnya lya Mukama.
1374120046	Ndituukiriza obweyamo bwange eri Mukama, mu maaso g’abantu be bonna,
1374130050	mu mpya z’ennyumba ya Mukama; wakati wo, ggwe Yerusaalemi. Mutendereze Mukama.
1375010047	Mutendereze Mukama, mmwe ensi zonna; mumugulumize, mmwe amawanga gonna.
137502006d	Kubanga okwagala kwe okutaggwaawo kungi gye tuli; n’obwesigwa bwa Mukama bwa lubeerera. Mutendereze Mukama.
1376010048	Mwebaze Mukama, kubanga mulungi; okwagala kwe kubeerera emirembe gyonna.
1376020050	Kale Isirayiri ayogere nti, “Okwagala kwa Mukama kubeerera emirembe gyonna.”
1376030056	N’ab’ennyumba ya Alooni boogere nti, “Okwagala kwe kubeerera emirembe gyonna.”
137604004c	Abo abatya Mukama boogere nti, “Okwagala kwe kubeerera emirembe gyonna.”
1376050051	Bwe nnali mu nnaku empitirivu, nakoowoola Mukama, n’annyanukula, n’agimponya.
137606004a	Mukama ali ku ludda lwange, siriiko kye ntya. Abantu bayinza kunkolako ki?
137607005a	Mukama ali nange, ye anyamba. Abalabe bange nnaabatunuuliranga n’amaaso ag’obuwanguzi.
1376080031	Kirungi okwesiga Mukama okusinga okwesiga omuntu.
137609003b	Kirungi okuddukira eri Mukama okusinga okwesiga abalangira.
13760a004e	Ensi zonna zanzinda ne zinneebungulula, naye mu linnya lya Mukama naziwangula.
13760b0045	Banneebungulula enjuuyi zonna; naye mu linnya lya Mukama nabawangula.
13760c0084	Bankuŋŋaanirako ne banneebungulula ng’enjuki; naye ne basirikka ng’amaggwa agakutte omuliro; mu linnya lya Mukama nabawangula.
13760d004f	Bannumba n’amaanyi mangi, ne mbulako katono okugwa; naye Mukama n’annyamba.
13760e0048	Mukama ge maanyi gange, era lwe luyimba lwange, afuuse obulokozi bwange.
13760f0092	Muwulire ennyimba ez’essanyu ez’obuwanguzi, nga ziyimbirwa mu weema z’abatuukirivu nti, “Omukono gwa Mukama ogwa ddyo gutukoledde ebikulu!
1376100061	Omukono gwa Mukama ogwa ddyo gugulumizibbwa; omukono gwa Mukama ogwa ddyo gutukoledde ebikulu!”
1376110054	Sijja kufa, wabula nzija kuba mulamu, ndyoke ntegeeze ebyo byonna Mukama by’akoze.
137612002b	Mukama ambonerezza nnyo, naye tandese kufa.
1376130046	Munzigulirewo emiryango egy’obutuukirivu, nnyingire, neebaze Mukama.
137614004b	Guno gwe mulyango omunene ogwa Mukama, abatuukirivu mmwe banaayingiriranga.
137615003a	Nkwebaza kubanga onnyanukudde n’ofuuka obulokozi bwange.
137616004a	Ejjinja abazimbi lye baagaana lye lifuuse ejjinja ekkulu ery’oku nsonda.
1376170048	Kino Mukama ye yakikola; era ffe tukiraba nga kya kitalo mu maaso gaffe.
137618003d	Luno lwe lunaku Mukama lw’akoze; tusanyuke tulujagulizeeko.
1376190050	Ayi Mukama tukwegayiridde, tulokole, Ayi Mukama tukwegayiridde otuwe obuwanguzi.
13761a005f	Alina omukisa oyo ajja mu linnya lya Mukama. Tubasabidde omukisa nga tuli mu nnyumba ya Mukama.
13761b009a	Mukama ye Katonda, y’atwakiza omusana. Mukumbire wamu nga mukutte amatabi mu ngalo zammwe n’ekiweebwayo kyammwe kituukire ddala ku mayembe g’ekyoto.
13761c0050	Ggwe Katonda wange, nnaakwebazanga; ggwe Katonda wange, nange nnaakugulumizanga.
13761d004b	Mwebaze Mukama kubanga mulungi, n’okwagala kwe kubeerera emirembe gyonna.
1377010052	Balina omukisa abo abatambulira mu butuukirivu; abatambulira mu mateeka ga Mukama.
137702005c	Balina omukisa abo abagondera ebiragiro bye, era abanoonya Mukama n’omutima gwabwe gwonna.
137703002e	Abo abatasobya, era abatambulira mu makubo ge.
1377040050	Ggwe wateekawo ebiragiro byo; n’olagira bigonderwenga n’obwegendereza bungi.
1377050046	Ayi Mukama, nsaba mbeerenga munywevu bulijjo; nga nkuuma bye walagira.
137706004e	Bwe ntyo siriswazibwa, amaaso gange nga ngasimbye ku ebyo bye walagira byonna.
137707004b	Nga njiga ebiragiro byo ebitukuvu, nnaakutenderezanga n’omutima omulungi.
1377080037	Nnaakwatanga amateeka go; Ayi Mukama, tonsuulira ddala.
137709006d	Omuvubuka anaakuumanga atya ekkubo lye nga ttereevu? Anaalikuumanga ng’agoberera ekigambo kyo nga bwe kiri.
13770a0044	Nkunoonya n’omutima gwange gwonna; tonzikiriza kuva ku mateeka go.
13770b003d	Ntadde ekigambo kyo mu mutima gwange; ndyoke nneme okwonoona.
13770c0031	Ogulumizibwe, Ayi Mukama; onjigirize amateeka go.
13770d0037	Njatula n’akamwa kange amateeka go gonna ge walagira.
13770e0044	Nsanyukira okugondera ebiragiro byo, ng’asanyukira eby’obugagga.
13770f0044	Nnaafumiitirizanga ku biragiro byo, ne nzisaayo omwoyo ku makubo go.
1377100032	Nnaasanyukiranga amateeka go, era siigeerabirenga.
1377110045	Omuddu wo omukolere ebirungi, mbe omulamu, ngobererenga ekigambo kyo.
1377120048	Ozibule amaaso gange, nsobole okulaba eby’ekitalo ebiri mu mateeka go.
137713002c	Nze ndi muyise ku nsi; tonkisa bye walagira.
137714002e	Bulijjo emmeeme yange eyaayaanira amateeka go.
1377150038	Onenya ab’amalala, abaakolimirwa, abaleka amateeka go.
137716004d	Mponya okuduula kwabwe n’okunyooma kwabwe; kubanga bye walagira mbigondera.
137717006a	Newaakubadde ng’abalangira bansalira enkwe; naye nze, omuweereza wo, nnaafumiitirizanga ku biragiro byo.
1377180034	Amateeka go lye ssanyu lyange, era ge gannuŋŋamya.
137719005e	Nzigweddemu amaanyi, ndi wansi mu nfuufu; nkusaba onzizeemu endasi ng’ekigambo kyo bwe kiri.
13771a004b	Nakutegeeza bye nteesezza okukola, n’onnyanukula; onjigirize amateeka go.
13771b004d	Njigiriza amateeka go bye gagamba, nange nnaafumiitirizanga ku byamagero byo.
13771c0058	Emmeeme empweddemu ensa olw’okunakuwala; onzizeemu amaanyi ng’ekigambo kyo bwe kiri.
13771d0055	Nzigiraako ddala ebyo ebitali bya butuukirivu; olw’ekisa kyo njigiriza amateeka go.
13771e003d	Nonzeewo okubeera omwesigwa; ntambulire mu ebyo bye walagira.
13771f003b	Nnyweredde ku biragiro byo, Ayi Mukama, tondeka kuswazibwa.
137720005c	Bw’onoosumulula omutima gwange, nnaatambuliranga mu makubo go ng’ebiragiro byo bwe biri.
1377210069	Njigiriza, Ayi Mukama, okugonderanga ebiragiro byo; ndyoke mbinywezenga ennaku zonna ez’obulamu bwange.
1377220050	Mpa okutegeera ndyoke nkuume amateeka go era ngakwate n’omutima gwange gwonna.
1377230031	Ntambuliza mu mateeka go, kubanga mwe nsanyukira.
1377240058	Okyuse omutima gwange ogulaze eri ebyo bye walagira; so si eri eby’okufuna ebitaliimu.
1377250070	Kyusa amaaso gange galeme okunneegombesa ebitaliimu; obulamu bwange obufuule obuggya ng’ekigambo kyo bwe kiri.
137726004b	Tuukiriza kye wasuubiza omuddu wo, kubanga ekyo kye wasuubiza abo abakutya.
1377270044	Nziggyako okunyoomebwa kuno kwe ntya, kubanga ebiragiro byo birungi.
137728003d	Laba, njayaanira ebiragiro byo; onkomyewo mu butuukirivu bwo.
137729005a	Okwagala kwo okutaggwaawo kujje gye ndi, Ayi Mukama; ompe obulokozi bwo nga bwe wasuubiza;
13772a0054	ndyoke mbeere n’eky’okwanukula abo abambonyaabonya; kubanga neesiga kigambo kyo.
13772b006a	Toganya kigambo ekitali kya mazima okuva mu kamwa kange; kubanga essuubi lyange liri mu ebyo bye walagira.
13772c003f	Nnaagonderanga amateeka go ennaku zonna, emirembe n’emirembe.
13772d0046	Era nnaatambulanga n’emirembe, kubanga ngoberedde ebyo bye walagira.
13772e0050	Era nnaayogeranga ku biragiro by’omu maaso ga bakabaka, nga sikwatibwa nsonyi.
13772f002d	Kubanga nsanyukira amateeka go, era ngaagala.
1377300055	Nzisaamu nnyo ekitiibwa ebiragiro byo era mbyagala. Nnaafumiitirizanga ku mateeka go.
137731004a	Jjukira ekigambo kye wansuubiza, nze omuddu wo, kubanga gwe wampa essuubi.
137732004d	Ekiwummuza omutima gwange nga ndi mu bulumi kye kisuubizo kyo ekimpa obulamu.
137733003f	Ab’amalala banduulira obutamala, naye nze siva ku mateeka go.
137734004e	Bwe ndowooza ku biragiro byo eby’edda, Ayi Mukama, biwummuza omutima gwange.
137735002f	Nkyawa nnyo abakola ebibi, abaleka amateeka go.
137736004b	Ebiragiro byo binfuukidde ennyimba buli we nsula nga ndi mu lugendo lwange.
1377370043	Mu kiro nzijukira erinnya lyo, Ayi Mukama, ne neekuuma amateeka go.
137738002f	Olw’okukugonderanga nfunye emikisa gyo mingi.
137739003a	Ggwe mugabo gwange, Ayi Mukama; nasuubiza okukugonderanga.
13773a004b	Nkwegayirira n’omutima gwange gwonna, ondage ekisa kyo nga bwe wasuubiza.
13773b004b	Bwe ndabye amakubo amakyamu ge nkutte, ne nkyuka okugoberera ebiragiro byo.
13773c0032	Nyanguwa nnyo okugondera amateeka go, so seekunya.
13773d004c	Newaakubadde ng’emiguwa gy’ababi ginsibye, naye seerabirenga mateeka go.
13773e0040	Nzuukuka mu ttumbi okukwebaza, olw’ebiragiro byo ebituukirivu.
13773f003a	Ntambula n’abo abakutya, abo bonna abakwata amateeka go.
137740003f	Ensi, Ayi Mukama, ejjudde okwagala kwo; onjigirize amateeka go.
1377410040	Okoze bulungi omuddu wo, Ayi Mukama, ng’ekigambo kyo bwe kiri.
1377420069	Njigiriza okumanya n’okwawula ekirungi n’ekibi, era ompe okumanya; kubanga nzikiririza mu mateeka go.
137743004b	Bwe wali tonnambonereza nakyama nnyo, naye kaakano ŋŋondera ekigambo kyo.
1377440043	Ayi Mukama, oli mulungi era okola ebirungi; onjigirize amateeka go.
137745006c	Ab’amalala banjogeddeko nnyo eby’obulimba, naye nze nkwata ebyo bye walagira, n’omutima gwange gwonna.
1377460046	Omutima gwabwe gugezze ne gusavuwala; naye nze nsanyukira amateeka go.
1377470032	Okubonerezebwa kwangasa, ndyoke njige amateeka go.
137748005e	Amateeka go ge walagira ga mugaso nnyo gye ndi okusinga enkumi n’enkumi eza ffeeza ne zaabu.
137749004e	Emikono gyo gye gyankola ne gimmumba, mpa okutegeera ndyoke njige amateeka go.
13774a0053	Abo abakutya banandabanga ne basanyuka, kubanga essuubi lyange liri mu kigambo kyo.
13774b004d	Mmanyi, Ayi Mukama, ng’amateeka go matukuvu, era wali mutuufu okumbonereza.
13774c005c	Kale okwagala kwo okutaggwaawo kumbeere kumpi kunsanyuse, nga bwe wansuubiza, nze omuddu wo.
13774d005d	Kkiriza okusaasira kwo kuntuukeko ndyoke mbeere mulamu; kubanga mu mateeka go mwe nsanyukira.
13774e0074	Ab’amalala baswazibwe, kubanga bampisizza bubi nga siriiko kye nkoze. Naye nze nnaafumiitirizanga ku biragiro byo.
13774f0033	Abo abakutya bajje gye ndi, abategeera amateeka go.
1377500057	Mbeera, omutima gwange guleme kubaako kya kunenyezebwa mu mateeka go, nneme kuswazibwa!
1377510066	Emmeeme yange erumwa nnyo ennyonta ng’eyaayaanira obulokozi bwo, essuubi lyange liri mu kigambo kyo.
137752008f	Ntunuulidde ebbanga ddene n’amaaso gange ne ganfuuyirira nga nninda okutuukirira kw’ekisuubizo kyo; ne neebuuza nti, “Olinsanyusa ddi?”
1377530066	Newaakubadde nga nfuuse ng’ensawo ey’eddiba, eya wayini eri mu mukka, naye seerabira bye walagira.
1377540057	Ayi Mukama, nze omuddu wo nnaalindirira kutuusa ddi nga tonnabonereza abo abanjigganya?
1377550060	Abantu ab’amalala abatatya Katonda bansimidde ebinnya mu kkubo; be bo abatagondera mateeka go.
1377560058	Amateeka go gonna geesigibwa; abo abatakwagala banjigganyiza bwereere; nkusaba onnyambe!
1377570054	Baali kumpi okunzikiririza ddala ku nsi kuno; naye nze sivudde ku ebyo bye walagira.
137758006a	Olw’okwagala kwo okutaggwaawo ndekera obulamu bwange, ndyoke nkuume ebyo bye walagira ebiva mu kamwa ko.
137759003f	Ayi Mukama, Ekigambo kyo kinywevu mu ggulu, kya mirembe gyonna.
13775a004d	Obwesigwa bwo tebuggwaawo emirembe gyonna; watonda ensi era enyweredde ddala.
13775b0045	Amateeka go na buli kati manywevu; kubanga ebintu byonna bikuweereza.
13775c004f	Singa nnali sisanyukira mu mateeka go, nandizikiridde olw’obulumi bwe nalimu.
13775d0058	Siyinza kwerabira biragiro byo; kubanga mu ebyo obulamu bwange mw’obufuulidde obuggya.
13775e0032	Ndi wuwo, ndokola, kubanga neekuumye bye walagira.
13775f006e	Newaakubadde ng’abakola ebibi beekukumye nga banteeze okunzikiriza; naye nze nyweredde ku ebyo bye walagira.
137760003c	Ebintu byonna biriko we bikoma naye amateeka go tegakugirwa.
137761003f	Amateeka go nga ngagala nnyo! Ngafumiitirizaako olunaku lwonna.
1377620055	Amateeka go ganfuula mugezi okusinga abalabe bange, kubanga ge gannuŋŋamya bulijjo.
1377630055	Ntegeera okusinga abasomesa bange bonna, kubanga nfumiitiriza nnyo ebyo bye walagira.
1377640041	Ntegeera okusinga abakadde; kubanga ŋŋondera ebyo bye walagira.
1377650051	Neekuumye obutatambulira mu kkubo lyonna ekyamu, nsobole okugondera ekigambo kyo.
1377660032	Sivudde ku mateeka go, kubanga ggwe waganjigiriza.
1377670058	Ebisuubizo byo nga bimpoomera nnyo! Biwoomera akamwa kange okusinga omubisi gw’enjuki.
137768004b	Mu biragiro byo mwe nfunira okutegeera; kyenva nkyawa ekkubo lyonna ekyamu.
137769004a	Ekigambo kyo ye ttaala eri ebigere byange, era kye kimulisa ekkubo lyange.
13776a0054	Ndayidde ekirayiro era nkikakasizza nga nnaakwatanga amateeka ag’obutuukirivu bwo.
13776b004a	Nnumizibwa nnyo; nzizaamu obulamu, Ayi Mukama, ng’ekigambo kyo bwe kiri.
13776c0050	Okkirize Ayi Mukama ettendo akamwa kange lye kakuwa; era onjigirize amateeka go.
13776d005f	Newaakubadde ng’obulamu bwange ntera okubutambuza nga bwe njagala, naye seerabira mateeka go.
13776e0047	Abakola ebibi banteze omutego, naye sikyamye kuva ku ebyo bye walagira.
13776f005d	Ebiragiro byo gwe mugabo gwange emirembe gyonna; weewaawo, ebyo bye bisanyusa omutima gwange.
1377700058	Omutima gwange gweteeseteese okukwatanga ebiragiro byo ennaku zonna ez’obulamu bwange.
1377710044	Nkyawa abalina emitima egisagaasagana, naye nze njagala amateeka go.
137772004f	Ggwe kiddukiro kyange era ggwe ngabo yange; essuubi lyange liri mu kigambo kyo.
137773005d	Muve we ndi mmwe abakola ebitali bya butuukirivu, mundeke nkwate ebiragiro bya Katonda wange.
1377740058	Onnyweze nga bwe wasuubiza, ndyoke mbeere omulamu; nneme kuswazibwa ne nzigwamu essuubi.
1377750049	Onnyweze ndyoke nfuuke ow’eddembe, era nkwatenga ebiragiro byo bulijjo.
1377760055	Onyooma abo bonna abaleka ebiragiro byo; weewaawo obugezigezi bwabwe tebuliimu kantu.
1377770058	Abakola ebibi bonna mu nsi obalaba ng’ebisasiro; nze kyenva njagala ebyo bye walagira.
1377780031	Nkankana nzenna nga nkutya, era ntya amateeka go.
1377790054	Nkoze eby’obwenkanya era eby’obutuukirivu; tondeka mu mikono gy’abo abanjooga.
13777a004a	Okakase okundaganga ekisa kyo bulijjo, oleme kukkiriza ababi okunjooganga.
13777b0064	Amaaso gange ganfuuyiririra, nga nnindirira obulokozi bwo n’ebyo bye wasuubiza mu butuukirivu bwo.
13777c004e	Nze omuddu wo nkolaako ng’okwagala kwo bwe kuli; era onjigirize amateeka go.
13777d004d	Ndi muddu wo, mpa okwawula ekirungi n’ekibi; ndyoke ntegeere ebiragiro byo.
13777e0053	Ekiseera kituuse, Ayi Mukama, okubaako ky’okola, kubanga amateeka go gamenyeddwa.
13777f0045	Naye nze njagala amateeka go okusinga zaabu, wadde zaabu omulongoose.
1377800052	Kubanga mmanyi ng’ebiragiro byo byonna bituufu; nkyawa buli kkubo lyonna ekyamu.
137781002c	Ebiragiro byo bya kitalo; kyenva mbigondera.
1377820054	Ebigambo byo bwe binnyonnyolwa bireeta omusana; n’atategeera bulungi bimugeziwaza.
1377830041	Njasamya akamwa kange ne mpejjawejja nga njaayaanira amateeka go.
137784004e	Nkyukira, onkwatirwe ekisa, nga bw’okolera bulijjo abo abaagala erinnya lyo.
1377850059	Oluŋŋamye ebigere byange ng’ekigambo kyo bwe kiri, era tokkiriza kibi kyonna kunfuga.
137786003e	Mponya okujooga kw’abantu, bwe ntyo nkwatenga ebiragiro byo.
1377870051	Ontunuulire, nze omuddu wo, n’amaaso ag’ekisa, era onjigirizenga amateeka go.
137788004f	Amaziga gakulukuta mu maaso gange ng’omugga, olw’abo abatakwata mateeka go.
1377890036	Oli mutuukirivu, Ayi Katonda, era amateeka go matuufu.
13778a0038	Ebiragiro byo bye wateekawo bituukirivu, era byesigibwa.
