280000000f	ମାତିଉ
2b082400da	ମାରିନ୍‌ ଜଦି ମିଙ୍ଗିଁ ଡ଼ିସିସ୍‌ କିନାନ୍‌, ଆତିଙ୍ଗ୍‌ ମିର୍‌ ସତ୍‌ତାନ୍‌ ଡ଼ିସାଇ ଆନିଦେର୍‌ ।
2b08250177	ମିର୍‌ ଜେ ଅବ୍ରାହାମତି କୁଟୁମ୍‌, ଆକା ନାନ୍ ନେସ୍‌ନା; ମାତର୍‌ ନା ସିକିୟା ମି ଜିବନ୍‍ତୁ ବାଡି ମାନାଏଦେର୍‍ଆକା ମିର୍‌ ନାଙ୍ଗିଁ ଡାକ୍‍ତେଙ୍ଗ୍‍ ବଦା କିଜିନିଦେର୍‍ ।
2b0826012c	ନା ବୁବାମାନୁ ଆମା ଆମାକା ନାନ୍ ସୁଡ଼ୁତାମାନା, ଆୟାୱିଜୁ ନାନ୍ ୱେର୍‌ନା; ମାତର୍‌ ମି ବୁବା ଇନି ଇସାବ୍‌ତାନ୍‌ ପାଣି କିଜିନିଦେର୍‍ ।”
2b082701d6	ଜିହୁଦିର୍‍ ଜିସୁଙ୍ଗୁଁ ଇର୍ହାର୍‌, “ଅବ୍ରାହାମ ମା ବୁବା ।” ଜିସୁ ୱାରିଙ୍ଗ୍‌ ଇର୍ହାନ୍‌, “ଜଦି ମିର୍‌ ଅବ୍ରାହାମତି ମାରିସିର୍‌ ଆତିଦେର୍‍ମାନ୍ଦି, ଆରିଙ୍ଗ୍‌ ଅବ୍ରାହାମ କିତିମାନି ପାଣି କିତିଦେର୍‍ମାନ୍ଦି;
2b082801c5	ମାପୁରୁମାଣ୍‌କୁ ୱେର୍‍ଇମାନି ସତ୍‌ ଡ଼ିସ୍‍ତିଙ୍ଗ୍‍ ମିଙ୍ଗିଁ ମାରି ଇନିକା ଇନ୍‌ଏ, ଆରିଙ୍ଗ୍‍ବା ମିର୍‌ ନାଙ୍ଗିଁ ଡାକ୍‍ତେଙ୍ଗ୍‍ ବଦା କିଜିନିଦେର୍‍; ଅବ୍ରାହାମ ଇୟାୱାଜା ପାଣି କିଏନ୍‌ ମାର୍ହାନ୍‍ ।
2b08290161	ମିର୍‌ ମି ବୁବାଦି ପାଣିୱିଜୁ କିଜିନିଦେର୍‍ । ୱାର୍‌ ୱାନିଙ୍ଗ୍‌ ଇର୍ହାନ୍‌, ମାପ୍‌ ଦାରିପାଣିଦାନ୍‍ ଜନମ୍‍ ଆଏପ୍‍, କେବଲ୍‌ ମାପୁରୁ ଅରେନ୍‍ନେ ମା ବୁବା ।”
2b082a0247	ଜିସୁ ୱାରିଙ୍ଗ୍‌ ଇର୍ହାନ୍‌, “ମାପୁରୁ ଜଦି ମି ବୁବା ଆତାନ୍‍ମାନ୍ଦି, ଆରିଙ୍ଗ୍‌ ମିର୍‌ ନାଙ୍ଗିଁ ଜିବନ୍‌ ନତିଦେର୍‍ମାନ୍ଦି; ଇରିଙ୍ଗ୍‌ ନାନ୍ ମାପୁରୁ ମାଣ୍‌କୁ ୱାଜି ଇଲେଇ ଇବେ ମାନା; ନାନ୍ ନିଜେଦି ଅଦିକାର୍‍ତାନ୍‍ ରେଏ, ମାତର୍‌ ୱାନ୍‌ ନାଙ୍ଗିଁ ପକ୍‌ତାନ୍‌ ।
2b082b013b	ନାନ୍ ଆମାକା ଇଜିନା, ମିର୍‌ ଏନ୍ଦା ନା ମାଟା ବୁଜାଏଜିନିଦେର୍‍? ଇରିଙ୍ଗ୍‌ ମିର୍‌ ତୋ ନା ବାକ୍ୟ ୱେନ୍‌ଜି ମାନାଦେଙ୍ଗ୍‌ ଆଟ୍‍ଇଜିନିଦେର୍‍ ।
2b082c0366	ମିର୍‌ ମି ବୁବା ସୟତାନ୍ ମାଣ୍‌କୁ ଜନମ୍‍ ଆତିମାନିଦେର୍‍, ମାରି ମି ବୁବାଦି ପାଣି କିଦେଙ୍ଗ୍‌ ମି ବଦା । ୱାଦ୍‌ ଆଗ୍‍ଡ଼ିରାନ୍‍ ଲୋକାଙ୍ଗ୍‌ କାତ୍‍ନିକାତ୍‍, ମାରି ୱାଦ୍‌ ସତ୍‍ତୁ ତେବାଏତ୍‍, ଇରିଙ୍ଗ୍‌ ତାନେମାନୁ ସତ୍‌ ସିଲେତ୍‌ । ଏସ୍ତିୱାଲେ ୱାଦ୍‌ ମିସ୍‌ ଇନାତ୍‍, ନାସ୍ତିୱାଲେ ୱାଦ୍‌ ନିଜେଦି ମାଣାନ୍‌ ଇନାତ୍‍; ଇରିଙ୍ଗ୍‌ ୱାଦ୍‌ ନିଜେ ମିସ୍‍ଇନିକାତ୍‍ ନି ମିସ୍‌ ୱେର୍‍ନି ଲୋକା ବୁବା ।
2b082d00bf	ମାତର୍‌ ନାନ୍ ସତ୍‌ ଇର୍ହାମାନାଆକା ମିର୍‌ ନାଙ୍ଗିଁ ବିସ୍‌ବାସ୍‌ କିଇଜିନିଦେର୍‍ ।
2b082e016a	ନାବାନ୍‍ ପାପ୍‌ ମାନାତ୍‌ ଇଜି ମି ବାଣାନ୍‍ ଏନ୍‌ ପାର୍‍ମାନ୍‍ ସିଜିନାନ୍‌? ନାନ୍ ଏସ୍ତିୱାଲେ ସତ୍‌ ଇନା, ଆରିଙ୍ଗ୍‌ ମିର୍‌ ଏନ୍ଦା ବିସ୍‌ବାସ୍‌ କିଇଜିନିଦେର୍‍?
2b082f01ac	ଏନ୍‌ ମାପୁରୁ ମାଣାନ୍‌ ଜନମ୍‍ ଆତାମାନାନ୍‌, ୱାନ୍‌ ମାପୁରୁଦି ବାକ୍ୟ ୱେନାନ୍‌; ଇୟାଉଣ୍ତିଙ୍ଗ୍‌ ମିର୍‌ ନା ବାକ୍ୟ ୱେନ୍‍ଇଦେର୍‍, ଇରିଙ୍ଗ୍‌ ମିର୍‌ ମାପୁରୁଦି ମାଣାନ୍‌ ଜନମ୍‍ ଆଇଦେର୍‍ ।”
2b08300183	ଜିହୁଦି ନେତାର୍‌ ଜିସୁଙ୍ଗୁଁ ୱେନ୍‌ବାତାର୍‌, “ନିନ୍‌ ଜେ ଅରେନ୍‍ ସମିରୋଣିୟ ମାରି ନିଙ୍ଗିଁ ଜେ ଦୁବା ଆସ୍‍ତାମାନାତ୍‍, ଇକା ଇନିକା ମାପ୍‌ ଟିକ୍‌ ଇନ୍‍ଏପ୍‌ ମାର୍ହାପ୍‍?”
2b08310118	ଜିସୁ ଇର୍ହାନ୍‌, “ନାଙ୍ଗିଁ ଦୁବା ଆସ୍‌ଏତ୍‌, ନାନ୍ ନା ବୁବେଙ୍ଗ୍‌ ମାନାଜିନା, ମାତର୍‌ ମିର୍‌ ନାଙ୍ଗିଁ ମାନାଇଜିନିଦେର୍‌ ।
2b083200f6	ମାତର୍‌ ନାନ୍ ନିଜେଦି ଗୌରବ୍‍ ପୟ୍‍ଏ; ଏନ୍‌ ପଇନାନ୍‍ ମାରି ବିସାର୍‌ କିନାନ୍‍, ଇୟାୱାଜା ଅରେନ୍‍ ମାନାନ୍‌ ।
2b083300fe	ସତ୍‌ ସତ୍‌ ନାନ୍ ମିଙ୍ଗିଁ ଇଜିନା, ଜଦି ଏନ୍‌ ନା ସିକିୟା ମାନାନାନ୍‍, ଆତିଙ୍ଗ୍‌ ୱାନ୍‌ ଏସାଙ୍ଗ୍‌ ବା ସାଏନ୍‌ ।”
2b08340235	ଜିହୁଦିର୍‍ ଜିସୁଙ୍ଗୁଁ ଇର୍ହାର୍‌, “ଇଲେଇ ମାପ୍‌ ନେସ୍‍ତାପ୍‍ ଜେ ସତେନେ ନିଙ୍ଗିଁ ଦୁବା ଆସ୍‍ତାମାନାତ୍‍, ଅବ୍ରାହାମ ମାରି ବାବବାଦିର୍ ସାତା ମାନାର୍‌, ମାରି ନିନ୍‌ ଇଜିନି, ଜଦି ଏନ୍‌ ନା ସିକିୟା ମାନାନାନ୍‍, ଆତିଙ୍ଗ୍‌ ୱାନ୍‌ ଏସାଙ୍ଗ୍‌ ବା ସାଏନ୍‌ ।
2b08350181	ନିନ୍‌ ଇନିକା ମା ବୁବା ଅବ୍ରାହାମତି ମାଣାନ୍‌ ପେରିକିନ୍ଦା? ଅବ୍ରାହାମ ତୋ ସାତା ମାନାନ୍‌, ବାବବାଦିର୍ ବା ସାତାମାନାର୍‍; ନିନ୍‌ ନିଜେଦିଙ୍ଗ୍‍ ଏନ୍‌ ଇଜି ଅଡ଼୍‍ବିଜିନି?”
2b08360207	ଜିସୁ ଇର୍ହାନ୍‌, “ନାନ୍ ଜଦି ନିଜେଦି ଦନ୍ୟବାଦ୍‌ କିଦେଙ୍ଗ୍‌ ବଦା କିତାମାନ୍ଦି, ଆରିଙ୍ଗ୍‌ ତେନି ଦାରା ତେବାଏତାତ୍‍ମାନ୍ଦି; ଏନ୍‌ ନାଙ୍ଗିଁ ଗୌରବ୍‍ କିନାନ୍‍, ୱାନ୍‌ ନା ବୁବା ଏମେୱାନିଙ୍ଗ୍‌ ମିର୍‌ ମି ମାପୁରୁ ଇଜି ଇଜିନିଦେର୍‌ ।
2b083701f7	ମାରି, ମିର୍‌ ୱାନିଙ୍ଗ୍‌ ନେସ୍‌ଇଦେର୍‌, ମାତର୍‌ ନାନ୍ ୱାନିଙ୍ଗ୍‌ ନେସ୍‌ନା । ମାରି, ନାନ୍ ୱାନିଙ୍ଗ୍‌ ନେସେଏ ଇଜି ଜଦି ଇନା, ଆତିଙ୍ଗ୍‌ ନାନ୍ ବା ମି ୱାଜା ମିସ୍‍ବାଦି ଆନା, ମାତର୍‌ ନାନ୍ ନେସ୍‌ନା ମାରି ୱାନି ବାକ୍ୟ ମାନାନା ।
2b0838010f	ମି ବୁବା ଅବ୍ରାହାମ ନା ଦିନ୍‌ ସୁଡ଼ୁନି ଆସାଦାନ୍‍ ୱେଡ଼ିକା କିନାନ୍‍, ମାରି ୱାନ୍‌ ଆକା ସୁଡ଼ୁଜି ୱେଡ଼ିକା କିତାନ୍‍ ।”
2b0839015a	ଆବେଟ୍‌ ଜିହୁଦିର୍‌ ଜିସୁଙ୍ଗୁଁ ଇର୍ହାର୍‌, “ନିଙ୍ଗିଁ ତୋ ଇୟାସାନ୍ଦି ପସାସ୍‌ ବାର୍‍ସେକ୍‍ ଆଏଦେ, ନିନ୍‌ ଇନିକା ଅବ୍ରାହାମ୍‍ତିଙ୍ଗ୍‌ ସୁଡ଼ୁତିମାନି?”
2b083a010c	ଜିସୁ ୱାରିଙ୍ଗ୍‌ ଇର୍ହାନ୍‌, “ସତ୍‌ ସତ୍‌ ନାନ୍ ମିଙ୍ଗିଁ ଇଜିନା, ଅବ୍ରାହାମ ଜନମ୍‍ ଆନି ଆଗ୍‍ଡ଼ିରାନ୍‍ ନାନ୍ ମାନା ।”
2b083b012d	ଆବେଟ୍‌ ୱାର୍‌ ଜିସୁଙ୍ଗୁଁ ଡାକ୍‍ତେଙ୍ଗ୍‍ ଇଜି କାଲ୍‌କୁ ପେର୍‌ତାର୍‌, ମାତର୍‌ ଜିସୁ ମାର୍‍ଗିଜି ମନ୍ଦିର୍‌ତାନ୍‌ ସତାସର୍ହାନ୍‍ ।
2b090100a4	ଜିସୁ ସନିୱାଲେ ଅରେନ୍‍ କାଣା ଆଜି ଜନମ୍‍ଆତି ୱାନିଙ୍ଗ୍‌ ସୁଡ଼ୁତାନ୍‍ ।
2b0902016b	ମାରି, ୱାନି ସିସୁର୍‍ ୱାନିଙ୍ଗ୍‌ ୱେନ୍‍ବାତାର୍‌, “ଏ ଗୁରୁ, ଏନ୍‌ ପାପ୍‌ କିତାମାନାନ୍‍ଆକା ଇକାନ୍‌ କାଣା ଆଜି ଜନମ୍‌ ଆତାନ୍‌? ନିଜେ ନୋ ୱେନି ଆଇସି ବୁବାସିର୍‍?”
2b090301ee	ଜିସୁ ଇର୍ହାନ୍‌, “ଇକାନ୍‌ କି ୱେନି ଆଇସି ବୁବାସି ପାପ୍‌ କିଏତାର୍‌, ମାତର୍‌ ମାପୁରୁଦି ସାକ୍ତି ଏଣ୍ତେସ୍‌ ୱେନିମାନୁ ତରାଇ ଆନାତ୍‌, ଇୟାଉଣ୍ତିଙ୍ଗ୍‌ ୱାନ୍‌ କାଣା ଆଜି ଜନମ୍‌ ଆତାନ୍‌, ଇୟାଉଣ୍ତିଙ୍ଗ୍‌ ଇକା ଗଟାତାତ୍‍ ।
2b09040189	ଦିନ୍‌ ମାନାପ୍ ମାନାପ୍ ନା ପକ୍‍ତିମାନି ପାଣି କିନିକା ମା ନେଗେତ୍‌; ଇୟାୱାଜା ନାଡ଼ା ୱାଜିନାତ୍‍, ଆୟା ସାନ୍ଦି ନାନ୍ ଦୁନିଆଦି ଏମେ ସମୟତୁ ଏନ୍‌ ପାଣି କିଦେଙ୍ଗ୍‌ ଆଟ୍‍ଏନ୍‍ ।
2b09050087	ନାନ୍ ଦୁନିଆଦୁ ଆମା ସାନ୍ଦି ମାନା, ନାନ୍ ଦୁନିଆଦି ଜାୟ୍‌ ।”
2b0906016b	ଇକା ଇର୍‍ଇ ୱେନ୍‌କା ଜିସୁ ସିକ୍‍ଲାଦୁ ପୁସ୍‍ସି ଆୟା ପୁସ୍‍କାଣାଙ୍ଗ୍‍ତାନ୍‍ ଲାଦି କିତାନ୍‌, ମାରି ୱାନି କାଣ୍‌କାଙ୍ଗ୍‌ ଲାଦି ଉସ୍‍ସି ୱାନିଙ୍ଗ୍‌ ଇର୍ହାନ୍‌,
2b09070187	“ସାଙ୍ଗ୍‍ଆ, ସେରୁଦୁ ମକମ୍‌ ଉର୍‍ପାଜ ରାଆ ।” ସିଲୋହଦି ଅର୍ତ ସାଙ୍ଗ୍‍ଆ । ଆବେଟ୍‌ ୱାନ୍‌ ସଲ୍‌ସି ମକମ୍‌ ଉର୍‍ପାଜି ଡ଼େସିୱାନି ୱାଲେ କାଣୁକୁ ସୁଡ଼ୁନି ସାକ୍ତି ପ‍ଇତାନ୍‌ ।
2b090801f7	ଆବେଟ୍‌ ୱାନି ପାଡ଼୍‍କାତିକେଙ୍ଗ୍‍, ମାରି ଏମେକାର୍‌ ୱାନିଙ୍ଗ୍‌ ଆଗ୍‌ଡ଼ି ଅରେନ୍‍ ବିକାରି ଇଜି ସୁଡ଼ୁତାମାର୍ହାର୍‍, ୱାର୍‌ ୱେନ୍‌ବାତାର୍‌, “ଏନ୍‌ ବାସ୍‌ସି ଭିକିୟା ଲସ୍‌ସି ମାର୍ହାନ୍‍, ଇକାନ୍‌ ଇନିକା ଆକାନ୍‍ ଆଏନ୍‍?”
2b0909015d	ଏନ୍‌ ଏନ୍‌ ଇର୍ହାର୍‌, “ଇକାନ୍‌ ୱାନ୍‌,” ମାରି ଏନ୍‌ ଏନ୍‌ ଇର୍ହାର୍‌, “ସିଲେ; ଇକାନ୍‌ ୱାନି ନାନିକାନ୍‍ ।” ମାତର୍‌ ୱାନ୍‌ ଇର୍ହାନ୍‌, “ନାନ୍ ଆୟା ଲୋକୁ ।”
2b090a00cb	ଆବେଟ୍‌ ୱାର୍‌ ୱାନିଙ୍ଗ୍‌ ଇର୍ହାର୍‌, “ଆରିଙ୍ଗ୍‌ ନି କାଣୁକୁ ଏଣ୍ତେସ୍‌ ନେଗେନ୍‌ ଆତେ?”
2b090b023c	ୱାନ୍‌ ଇର୍ହାନ୍‌, “ଆମାୱାନିଙ୍ଗ୍‌ ଜିସୁ ଇଜି ଇନାର୍‌, ଆୟାକାନ୍‌ ଲାଦି କିଜିନା କାଣ୍‌କାଙ୍ଗ୍‌ ଉସ୍‍ତାନ୍‍, ମାରି ନାଙ୍ଗିଁ ଇର୍ହାନ୍‌, ସିଲୋହଦୁ ସଲ୍‌ସି ମକମ୍‌ ଉର୍‍ପାଆ; ଆବେଟ୍‌ ନାନ୍ ସହସି ସଲ୍‌ସି ଉର୍‍ପାତା ମାରି କାଣୁକୁ ସୁଡ଼ୁଦେଙ୍ଗ୍‍ ଆଟ୍‍ତା ।”
2b090c00c0	ୱାର୍‌ ୱାନିଙ୍ଗ୍‌ ୱେନ୍‌ବାତାର୍‌, “ୱାନ୍‌ ଏମେ?” ୱାନ୍‌ ଇର୍ହାନ୍‌, “ନାନ୍ ନେସେଏ?”
2b090d00e0	ଏନ୍‌ ଜନମ୍‍ତାନ୍‍ କାଣା ମାର୍ହାନ୍‍, ୱାର୍‌ ଆୟା ଲୋକ୍‌ତିଙ୍ଗ୍‌ ପାରୁସିର୍‌ ଲାକ୍‌ତୁ ତାତାର୍‌ ।
2b090e0112	ଜିସୁ ଆମା ନାଣ୍ଡିଙ୍ଗ୍ ଲାଦି କିଜି ୱାନି କାଣ୍‌ଗା ନେଗେଣ୍ତ୍‍ କିତାମାର୍ହାନ୍‌, ଆୟାଦିନ୍‍ ରମ୍‍ନିଦିନ୍‍ ମାର୍ହାତ୍‌ ।
2b090f0299	ଆବେଟ୍‌ ୱାନ୍‌ ଏଣ୍ତେସ୍‌ କାଣୁକୁ ସୁଡ଼ୁତାନ୍‌, ଇକା ପାରୁସିର୍‌ ୱାନିଙ୍ଗ୍‌ ମାରିଉଣ୍ତ୍ରିଦେବା ୱେନ୍‍ବାଦେଙ୍ଗ୍‍ ଆସ୍‌ତାର୍‌ । ଆବେଟ୍‌ ୱାନ୍‌ ୱାରିଙ୍ଗ୍‌ ଇର୍ହାନ୍‌, “ୱାନ୍‌ ନା କାଣ୍‍ଗାଦୁ ଲାଦି ଉସ୍‍ତାସିତାନ୍‍, ନାନ୍ ସର୍ହାନୋ ମକମ୍‌ ଉର୍‍ପାତା ମାରି ଇଲେଇ ସୁଡ଼ୁଦେଙ୍ଗ୍‍ ଆଟ୍‍ସିନା ।”
2b09100293	ମାରି ପାରୁସିର୍‌ ଲୋଇ ଏନ୍‌ ଏନ୍‌ ଇର୍ହାର୍‌, “ଆୟା ଲୋକ୍‌ ମାପୁରୁ ମାଣାନ୍‌ ରେଏନ୍‌, ଇରିଙ୍ଗ୍‌ ୱାନ୍‌ ରମ୍‍ନିଦିନ୍‍ ମାନାଏଜିନାନ୍‍ ।” ମାରି, ଏନ୍‌ ଏନ୍‌ ଇର୍ହାର୍‌, “ପାପି ଲୋକୁ ଏଣ୍ତେସ୍‌ ଇୟାୱାଜା କାବାଆନି ପାଣିୱିଜୁ କିଦେଙ୍ଗ୍‌ ଆଟ୍‍ନାନ୍‍?” ଇୟାୱାଜା ୱାରି ଲୋଇ ଜାଟି ନିଙ୍ଗିଁତାତ୍‍ ।
2b09110208	ମାରି ପାରୁସିର୍‌ ମାରିଉଣ୍ତ୍ରିଦେବା ଆୟା କାଣା ଲୋକ୍‌ତିଙ୍ଗ୍‌ ୱେନ୍‌ବାତାର୍‌, “ୱାନ୍‌ ଜେ ନିଙ୍ଗିଁ କାଣୁକୁ ସୁଡ଼ିସ୍‍ କିତାନ୍‌, ଆବେନୁ ନିନୁ ୱାନି ବିସୟ୍‌ତାନ୍‌ ଇନିକା ଇଜିନି?” ୱାନ୍‌ ଇର୍ହାନ୍‌, “ୱାନ୍‌ ଅରେନ୍‍ ବାବବାଦି ।”
2b09120211	ୱାନ୍‌ ଜେ ଜନମ୍‍ତାନ୍‍ କାଣା ମାର୍ହାନ୍‍ ମାରି ସୁଡ଼ୁତାମାନାନ୍‌, ଆୟା କାଣୁକୁ ସୁଡ଼ୁଦେଙ୍ଗ୍‍ ଆଟ୍‍ତି ଲୋକ୍‌ତି ବୁବାସି ଆଇସିଙ୍ଗ୍‍ କୁକ୍‌ସି ୱେନ୍‍ବାଇ ସାନ୍ଦି ଜିହୁଦି ନେତାର୍‌ ୱାନି ବିସୟ୍‌ତାନ୍‌ ଇକା ବିସ୍‌ବାସ୍‌ କିଏତାର୍‌ ।
2b091301e1	ୱାର୍‌ ୱାନି ବୁବାସି ଆଇସିଙ୍ଗ୍‍ ୱେନ୍‍ବାତାର୍‌, ମି ଏମେ କଡ଼ କାଣା ଆଜି ଜନମ୍‌ ଆତାମାନାନ୍‌ ଇଜି ଇଜିମାରିଇଦେର୍‍, “ଇକାନ୍‌ ଇନିକା ମି ଆୟା କଡ଼? ଆରିଙ୍ଗ୍‌ ୱାନ୍‌ ଏଣ୍ତେସ୍‌ ଇଲେଇ ସୁଡ଼ୁଦେଙ୍ଗ୍‍ ଆଟ୍‍ସିନାନ୍‍?”
2b09140140	ଆବେଟ୍‌ ୱାନି ବୁବାସି ଆଇସି ଇର୍ହାର୍‌, “ଇକାନ୍‌ ଜେ ମା କଡ଼ ମାରି ଇକାନ୍‌ ଜେ କାଣା ଆଜି ଜନମ୍‌ ଆତାମାର୍ହାନ୍‍, ହୁଁ, ଇକା ମାପ୍‌ ନେସ୍‌ନାପ୍‌;
2b09150205	ମାତର୍‌ ୱାନ୍‌ ଏଣ୍ତେସ୍‌ ଇଲେଇ ସୁଡ଼ୁଜିନାନ୍‍, ଆକା ନେସ୍‌ଏପ୍‌, ମାରି ଏନ୍‌ ୱାନି କାଣୁକୁ ସୁଡ଼ିସ୍‍କିତାନ୍‍, ଆକାବା ମାପ୍‌ ନେସ୍‌ଏପ୍‌; ୱାନିଙ୍ଗ୍‌ ୱେନ୍‍ବାଦୁ, ୱାନ୍‌ ତୋ ପିରିତାମାନାନ୍‍, ୱାନ୍‌ ୱାନି ମାଟା ନିଜେ ଇନାନ୍‌ ।”
2b09160260	ୱାନି ବୁବାସି ଆଇସି ଜିହୁଦି ନେତାରିଙ୍ଗ୍‌ ତିଲାଜିମାର୍ହାର୍‍ଆକା ଇୟାୱିଜୁ ମାଟା ଇର୍ହାର୍‌, ଇରିଙ୍ଗ୍‌ ଜଦି ଏନ୍‌ ୱାନିଙ୍ଗ୍‌ ମସିହ ଇଜି ମାନାନାର୍‌, ଆରିଙ୍ଗ୍‌ ୱାନ୍‌ ପାର୍‌ତନା ଇଲ୍‌ତାନ୍‌ ସପାନାନ୍‍ ଇଜି ତାନି ଆଗ୍‌ଡ଼ି ଜିହୁଦିର୍‌ ଉଣ୍ତ୍ରେମାଟା ଆତାମାର୍ହାର୍‍ ।
2b091700e9	ଆୟାଉଣ୍ତିଙ୍ଗ୍‌ ୱାନି ବୁବାସି ଆଇସି ଇର୍ହାର୍‌, “ୱାନ୍‌ ପିରିତାମାନାନ୍‍, ୱାନିଙ୍ଗ୍‌ ୱେନ୍‍ବାଦୁ ।”
2b09180183	ଆବେଟ୍‌ ଜନମ୍‍ତାନ୍‍ କାଣା ମାରିଇ ଲୋକ୍‌ତିଙ୍ଗ୍‌ ୱାର୍‌ ମାରିଅର୍ସୁ କୁକ୍‌ସି ୱେନ୍‌ବାତାର୍‌, “ମାପୁରୁଙ୍ଗୁଁ ଗୌରବ୍‍ ସିଆ, ୱାନ୍‌ ଜେ ପାପି, ଇକା ମାପ୍‌ ନେସ୍‌ନାପ୍‌ ।”
2b09190178	ଆବେଟ୍‌ ୱାନ୍‌ ଇର୍ହାନ୍‌, “ୱାନ୍‌ ପାପି ନୋ ସିଲେ, ନାନ୍ ଆକା ନେସେଏ; ମାତର୍‌ ନାନ୍ ଉଣ୍ତ୍ରି ବିସୟ୍‌ ନେସ୍‌ନା, ନାନ୍ କାଣାମାର୍ହା, ଇଲେଇ ସୁଡ଼ୁଦେଙ୍ଗ୍‍ ଆଟ୍‍ସିନା ।”
2b091a012a	ଆବେଟ୍‌ ୱାର୍‌ ୱାନିଙ୍ଗ୍‌ ଇର୍ହାର୍‌, “ୱାନ୍‌ ନିଙ୍ଗିଁ ଇନିକା କିତାନ୍‌? ୱାନ୍‌ ଏଣ୍ତେସ୍‍ କିଜିନି କାଣୁକୁ ସୁଡ଼ିସ୍‍ କିତାନ୍‌?”
2b091b01f2	ୱାନ୍‌ ୱାରିଙ୍ଗ୍‌ ଇର୍ହାନ୍‌, ନାନ୍ ଇର୍ହାୱିସ୍‍ତାନି, “ମାରି ମିର୍‌ ୱେନ୍‍ଇତିଦେର୍‍; ଏନ୍ଦା ମାରି ଉଣ୍ତ୍ରି ଦେବା ୱେନ୍‌ଡ୍ରେଙ୍ଗ୍‌ ବଦା କିଜିନିଦେର୍‌? ମିର୍‌ ବା ଇନିକା ୱାନି ସିସୁର୍‍ ଆଦେଙ୍ଗ୍‌ ବଦା କିଜିନିଦେର୍‌?”
2b091c0105	ଆବେଟ୍‌ ୱାର୍‌ ୱାନିଙ୍ଗ୍‌ ଆନାଦୁରିୟା ଇଡ୍‌ଜି ଇର୍ହାର୍‌, “ନିନ୍‌ ୱାନି ସିସୁ, ମାତର୍‌ ମାପ୍‌ ମୋସାଦି ସିସୁର୍‍ ।
2b091d0147	ମାପ୍‌ ନେସ୍‌ନାପ୍‌ ଜେ, ମାପୁରୁ ମୋସାଦିଙ୍ଗ୍‍ ମାଟା ଇର୍ହାମାନାନ୍‌, ମାତର୍‌ ଇୟା ଲୋକୁ ଏମେଣ୍‌କୁ ୱାତାମାନାନ୍‍, ଆକାବା ମାପ୍‌ ନେସ୍‌ଏପ୍‌ ।”
2b091e0166	ଆୟା ଲୋକୁ ୱାରିଙ୍ଗ୍‌ ଇର୍ହାନ୍‌, “ୱାନ୍‌ କାଣୁକୁ ସୁଡ଼ିସ୍‍କିତାନ୍‍, ମାରି ୱାନ୍‌ ଏମେଣ୍‌କୁ ୱାତାମାନାନ୍‍, ଆକା ମିର୍‌ ନେସ୍‌ଇଦେର୍‌, ଇକା ତୋ କାବା ମାଟା ।
2b091f019d	ମାପୁରୁ ଜେ, ପାପି ଲୋକା ମାଟା ୱେନ୍‌ଏନ୍‌, ଇକା ମାପ୍‌ ନେସ୍‌ନାପ୍‌, ମାତର୍‌ ଜଦି ଏନ୍‌ ମାପୁରୁଙ୍ଗୁଁ ମାନାଜି ୱାନି ବଦାଦିଙ୍ଗ୍‍ ମାନାନାନ୍‍, ଆରିଙ୍ଗ୍‌ ୱାନ୍‌ ୱାନି ମାଟା ୱେନାନ୍‌ ।
2b0920014e	ଦୁନିଆ ତିଆର୍‌ ଆତି ପୁର୍ବେରାନ୍‍ ଏନ୍‌ ଜନମ୍‍ତାନ୍‍ କାଣାଆତିୱାନିଙ୍ଗ୍‍ କାଣୁକୁ ସୁଡ଼ିନି ସାକ୍ତି ସିନି ମାଟା ଏସାଙ୍ଗ୍‍ ବା ୱେନ୍‍ଇ ମାରିଇକା ।
2b092100ee	ଇୟା ଲୋକୁ ମାପୁରୁ ମାଣାନ୍‌ ରେଇତିମାରିଙ୍ଗ୍‍ ଏସାଙ୍ଗ୍‍ ଇୟା ପାଣି କିଦେଙ୍ଗ୍‌ ଆଟ୍‍ଏତାନ୍‍ମାନ୍ଦି ।”
2b092201c2	ୱାର୍‌ ୱାନିଙ୍ଗ୍‌ ଇର୍ହାର୍‌, “ନିନ୍‍ତୋ ପୁରା ପାପ୍‌ତୁ ଜନମ୍‌ ଆଜି ପାପ୍‌ତୁ ପିରିତିମାନି, ମାରି ନିନ୍‌ ମାଙ୍ଗିଁ ସିକିୟା ସିଜିନି?” ଆବେଟ୍‌ ୱାର୍‌ ୱାନିଙ୍ଗ୍‌ ପାର୍‌ତନା ଇଲ୍‌ତାନ୍‌ ସପ୍‍ତାର୍‍ ।
2b092301a6	ଜିହୁଦି ନେତାର୍‌ ଜେ ୱାନିଙ୍ଗ୍‌ ପାର୍‌ତନା ଇଲ୍‌ତାନ୍‌ ସପ୍‍ତାମାନାର୍‍, ଜିସୁ ଇକା ୱେନ୍‌ଞ୍ଜି ୱାନିଙ୍ଗ୍‌ ପଇଜି ଇର୍ହାନ୍‌, “ନିନ୍‌ ଇନିକା ମନୁସ୍ୟପୁତ୍ରମାନୁ ବିସ୍‌ବାସ୍‌ କିଜିନି?”
