2800000008	Matteuse
2c0d0100c3	Aga Antiookias olevas koguduses oli prohveteid ja õpetajaid: Barnabas, Siimeon, keda kutsuti Nigeriks, Luukius Küreenest, Manaeen (kes oli kasvanud üles koos nelivürst Heroodesega) ja Saulus.
2c0d020099	Kui nad olid parasjagu Issandat teenimas ja paastumas, ütles Püha Vaim: „Eraldage minule Barnabas ja Saulus tööle, milleks ma olen nad kutsunud!“
2c0d030055	Siis nad paastusid ja palvetasid, panid oma käed nende peale ning saatsid nad teele.
2c0d040062	Kui Püha Vaim oli nad teele läkitanud, tulid nad kahekesi Seleukeiasse ja purjetasid Küprosele.
2c0d050071	Ja kui nad jõudsid Salamisesse, kuulutasid nad Jumala sõna juudi sünagoogides. Neil oli ka Johannes abiliseks.
2c0d06006f	Nad käisid läbi terve saare Pafosest saadik. Seal kohtasid nad juudi nõida ja valeprohvetit, Barjeesus nimi,
2c0d070090	kes oli prokonsul Sergius Pauluse saatja. Prokonsul, terane mees, kutsus Barnabase ja Sauluse enese juurde, sest ta soovis kuulata Jumala sõna.
2c0d080073	Aga nõid Elümas (sest seda tema nimi tähendab) oli nende vastu ja püüdis prokonsulit usust kõrvale kallutada.
2c0d090066	Aga Saulus, keda hüütakse ka Pauluseks, täis Püha Vaimu, vaatas teravalt Elümase peale ja ütles:
2c0d0a0094	„Sa oled kuradi poeg ja kõige õiguse vaenlane! Sa oled täis valet ja kõiksugu trikke. Kas sa kunagi ei lakka Issanda sirgeid teid väänamast?
2c0d0b00be	Ja nüüd, vaata, Issanda käsi tuleb sinu peale. Sa jääd pimedaks ega näe päikest tükil ajal!“ Otsekohe langes tema peale udu ja pimedus, ja ta kobas enda ümber, otsides talutajaid.
2c0d0c0051	Kui prokonsul nägi, mis juhtus, uskus ta ja oli hämmastunud Issanda õpetusest.
2c0d0d0085	Paulus ja tema kaaslased purjetasid edasi Pafosest Pergesse Pamfüülias, kus Johannes lahkus neist ja pöördus tagasi Jeruusalemma.
2c0d0e006e	Aga nemad läksid Pergest edasi Pisiidia Antiookiasse. Hingamispäeval nad läksid sünagoogi ja istusid maha.
2c0d0f009b	Pärast Seaduse ja Prohvetite ettelugemist saatsid sünagoogi juhid neile sõna: „Mehed-vennad, kui teil on julgustav sõnum rahva jaoks, siis öelge!“
2c0d10006f	Siis tõusis Paulus püsti, viipas käega ja ütles: „Iisraeli mehed ja teie, kes te kardate Jumalat, kuulge!
2c0d110096	Iisraeli rahva Jumal valis meie isad ja tõstis üles selle rahva, kui nad Egiptuses elasid, ja tõi nad sealt välja kõrgele tõstetud käsivarrega;
2c0d12003f	ja neljakümne aasta jooksul ta talus nende käitumist kõrbes;
2c0d130054	ja ta hävitas seitse rahvast Kaananimaal ja andis nende maa oma rahvale pärandiks.
2c0d14007f	Kõik see võttis umbes nelisada viiskümmend aastat. Ja pärast seda andis Jumal neile kohtumõistjaid prohvet Saamueli ajani.
2c0d15007d	Ja seejärel nad palusid endale kuningat, ja Jumal andis neile neljakümneks aastaks Sauli, Kishi poja Benjamini suguvõsast.
2c0d1600bf	Pärast Sauli eemaldamist tõstis ta neile kuningaks Taaveti. Tema kohta ta tunnistas: „Ma olen leidnud Taaveti, Iisai poja, minu südame järgi mehe, kes teeb kõik mu tahtmist mööda.“
2c0d17006c	Sellesama mehe järeltulijate hulgast on Jumal oma tõotust mööda tõstnud Jeesuse Iisraelile Päästjaks.
2c0d180056	Enne Jeesuse tulekut kuulutas Johannes meeleparanduse ristimist kogu Iisraeli rahvale.
2c0d1900b2	Kui Johannes oli oma tööd lõpetamas, ütles ta: „Mina ei ole see, kelle teie arvate minu olevat. Pärast mind tuleb tema, kelle sandaale ei ole mina väärt lahti siduma.“
2c0d1a0075	Mehed-vennad, Aabrahami soo lapsed, ja need teie hulgas, kes Jumalat kardavad: meile on läkitatud see päästesõna.
2c0d1b00a5	Sest Jeruusalemma elanikud ja nende ülemad ei tundnud teda ära, ja saatsid nõnda oma kohtuotsusega täide prohvetite ütlused, mida igal hingamispäeval loetakse.
2c0d1c0046	Ja ühtegi surmasüüd leidmata palusid nad Pilaatust, et ta hukataks.
2c0d1d006f	Ja kui nad olid täide saatnud kõik, mis temast oli kirjutatud, võtsid nad ta ristipuult maha ja panid hauda.
2c0d1e0024	Jumal aga äratas ta surnuist üles.
2c0d1f0086	Ja tema ilmus palju päevi neile, kes temaga olid tulnud Galileast üles Jeruusalemma. Needsamad on nüüd tema tunnistajad rahva ees.
2c0d200041	Ja meie kuulutame teile rõõmusõnumit isadele antud tõotusest,
2c0d2100b5	et Jumal Jeesust üles äratades on täielikult täitnud tõotuse nende lastele, meile – nagu ka teises laulus on kirjutatud: „Sina oled minu Poeg, täna ma sünnitasin sinu.“
2c0d2200be	Et Jumal tema on surnuist üles äratanud, nii et tal iialgi ei ole tarvis kõduneda, sellest on ta öelnud nõnda: „Mina täidan teile need Taavetile antud pühad ja kindlad tõotused!“
2c0d230059	Sellepärast ta ütleb ka teises paigas: „Sina ei lase oma Pühal näha kõdunemist!“
2c0d240083	Kui Taavet oli täitnud oma sugupõlve ajal Jumala eesmärgi, uinus ta magama ja maeti oma esivanemate juurde ning ta ihu kõdunes.
2c0d250037	Aga see, kelle Jumal on üles äratanud, ei kõdunenud.
2c0d260068	Seepärast, mehed-vennad, olgu teile teada, et tema kaudu kuulutatakse teile teie pattude andeksandmist,
2c0d27008a	ja et igaüks, kes usub, mõistetakse õigeks tema sees kõigest sellest, millest te ei võinud õigeks saada Moosese käsuõpetuse kaudu.
2c0d280046	Vaadake siis, et teile ei juhtuks, mis on öeldud prohvetite kirjades:
2c0d290094	„Vaadake, te põlastajad, ja imestage ja hävige. Sest ma teen ühe teo teie päevil, teo, mida te ei usuks, kui keegi seda teile jutustaks.““
2c0d2a006e	Aga kui juudid olid sünagoogist lahkumas, paluti apostleid ka järgmisel hingamispäeval neid asju rääkima.
2c0d2b00b3	Kui kogudus sünagoogist lahkus, järgis palju juute ja juudiusku pöördunud jumalakartlikke Paulust ja Barnabast, kes nendega kõnelesid ja kutsusid neid jääma Jumala armusse.
2c0d2c004b	Järgmisel hingamispäeval kogunes peaaegu kogu linn Issanda sõna kuulama.
2c0d2d005f	Rahvahulki nähes muutusid juudid väga kadedaks ja vaidlesid pilgates vastu Pauluse sõnadele.
2c0d2e00de	Paulus ja Barnabas aga vastasid neile julgelt: „Meie pidime kõnelema Jumala sõna esmalt teile. Aga kuna teie lükkasite selle tagasi ega arva end igavest elu väärivat, siis me pöördume nüüd teiste rahvaste poole.
2c0d2f0081	Sest nõnda on Issand meid käskinud: „Ma olen pannud sind rahvastele valguseks, et sa oleksid päästeks maailma otsani.““
2c0d300088	Seda kuuldes mittejuudid rõõmustasid ja ülistasid Issanda sõna ja said usklikuks, nii palju kui neid oli määratud igaveseks eluks.
2c0d310027	Ja Issanda sõna levis kogu piirkonnas.
2c0d3200b3	Aga juudid ässitasid kõrgemast seisusest jumalakartlikke naisi ja linna tähtsaid mehi, õhutades neid taga kiusama Paulust ja Barnabast, ning ajasid nad välja oma piirkonnast.
2c0d330047	Nemad aga raputasid tolmu oma jalgadelt nende peale ja tulid Ikoonioni.
2c0d34002f	Aga jüngrid said täis rõõmu ja Püha Vaimu.
2c0e010092	Ikoonionis läksid Paulus ja Barnabas nagu tavaliselt juudi sünagoogi. Nad kõnelesid seal nõnda, et suur hulk juute ja kreeklasi sai usklikuks.
2c0e02005e	Aga uskmatud juudid õhutasid üles ja ärritasid teiste rahvaste meeled vihale vendade vastu.
2c0e0300b3	Nõnda jäid Paulus ja Barnabas sinna kauemaks, kuulutades julgesti Issandat, kes andis tunnistust oma armusõnale ja laskis sündida nende käte läbi tunnustähti ja imetegusid.
2c0e040051	Aga linna elanikud jagunesid kaheks: mõned olid juutide, teised apostlite poolt.
2c0e050065	Teised rahvad ja juudid tahtsid koos oma ülematega apostleid teotada ja nad kividega surnuks visata.
2c0e06006c	Aga nad said sellest teada ja põgenesid Lükaoonia linnadesse Lüstrasse ja Derbesse ja nende ümbruskonda,
2c0e07002b	kus nad jätkasid evangeeliumi kuulutamist.
2c0e080064	Ja Lüstras istus maas üks mees, kes oli sünnist saati jalust halvatud ja polnud kunagi kõndinud.
2c0e090062	Ta kuulis Paulust kõnelemas. Kui Paulus talle otsa vaadates nägi, et tal oli usku terveks saada,
2c0e0a0057	hüüdis ta: „Tõuse püsti oma jalgadele!“ Ja mees hüppas kohe püsti ja kõndis.
2c0e0b008f	Kui rahvahulgad nägid, mis Paulus oli teinud, tõstsid nad häält Lükaoonia keeles: „Jumalad on inimeste kujul alla tulnud meie juurde!“
2c0e0c004c	Barnabast nad kutsusid Zeusiks ja Paulust Hermeseks, sest tema pidas kõnet.
2c0e0d008e	Ja linna ääres asuva Zeusi templi preester tõi pullid ja lillevanikud linnaväravate juurde, sest ta tahtis koos rahvaga neile ohvrit tuua.
2c0e0e0076	Aga kui apostlid Barnabas ja Paulus seda kuulsid, käristasid nad oma rõivad katki ja tormasid rahva hulka, hüüdes:
2c0e0f00e3	„Mehed, miks te seda teete? Meiegi oleme teiesugused inimesed. Me kuulutame teile evangeeliumi, et te neist kasututest asjadest pöörduksite elava Jumala poole, kes on teinud taeva ja maa ja mere ja kõik, mis on nende sees.
2c0e10003b	Varasematel aegadel on ta lasknud rahvastel oma teed minna.
2c0e1100d2	Ja ometi ei ole jätnud andmata tunnistust iseendast, näidates oma headust: ta on andnud teile vihma taevast ja saaki nende aastaaegadel, andnud teile külluslikult toitu ja täitnud teie südant rõõmuga.“
2c0e120058	Isegi nende sõnadega oli neil raske hoida tagasi rahvahulka, et see neile ei ohverdaks.
2c0e1300ad	Siis Antiookiast ja Ikoonionist tulid mõned juudid ja võitsid rahvahulga enda poole. Nad loopisid Paulust kividega ning lohistasid ta linnast välja, pidades teda surnuks.
2c0e14008f	Aga kui jüngrid olid kogunenud tema ümber, tõusis Paulus üles ja läks tagasi linna. Järgmisel päeval lahkusid tema ja Barnabas Derbesse.
2c0e150098	Ja kui nad selles linnas olid evangeeliumi kuulutanud ja suur hulk oli jüngriteks saanud, pöördusid nad tagasi Lüstrasse, Ikoonioni ja Antiookiasse,
2c0e16008f	kinnitades jüngrite hingi, julgustades neid jääma ususse. „Me peame sisenema Jumala Kuningriiki läbi paljude katsumuste,“ ütlesid nad.
2c0e17009f	Ja kui Paulus ja Barnabas neile igas koguduses olid määranud vanemad, jätsid nad palvetades ja paastudes nemad Issanda hooleks, kellesse nad nüüd uskusid.
2c0e180037	Pärast Pisiidia läbimist jõudsid nad Pamfüüliasse,
2c0e190040	ja kui nad Perges olid sõna kuulutanud, läksid nad Ataaliasse.
2c0e1a007d	Ataaliast nad purjetasid Antiookiasse, kus nad olid usaldatud Jumala armu alla töö jaoks, mille nad nüüd olid lõpetanud.
2c0e1b008b	Sinna jõudes kogusid nad koguduse kokku ja andsid aru kõigest, mis Jumal oli nende läbi teinud, ja et ta rahvastele oli avanud usu ukse.
2c0e1c002e	Ja nad jäid sinna jüngritega kauemaks ajaks.
2c0f0100a2	Mõned mehed tulid Juudamaalt alla Antiookiasse ja õpetasid vendi: „Kui te ei lase endid Moosese kombe kohaselt ümber lõigata, siis te ei saa päästetud.“
2c0f0200d4	Sellest tõusis tüli ning Paulusel ja Barnabasel oli nendega suur vaidlus. Siis määrati nii, et Paulus ja Barnabas lähevad koos mõne teise usklikuga Jeruusalemma selles asjas apostlite ja vanematega kohtuma.
2c0f0300b3	Kogudus saatis nad teele ja kui nad reisisid läbi Foiniikia ja Samaaria, jutustasid nad üksikasjalikult, kuidas mittejuudid olid pöördunud. See sõnum rõõmustas vendi väga.
2c0f0400a3	Ja kui nad Jeruusalemma saabusid, võtsid kogudus, apostlid ja vanemad nad südamlikult vastu, kellele nad andsid teada kõigest, mis Jumal oli nende läbi teinud.
2c0f05009b	Siis mõned variseride hulgast, kes olid saanud usklikuks, tõusid püsti ja ütlesid: „Neid tuleb ümber lõigata ja nõuda Moosese Seaduse pidamist.“
2c0f06002d	Apostlid ja vanemad tulid kokku asja arutama.
2c0f0700c9	Pärast pikka vaidlust tõusis Peetrus püsti ja ütles: „Vennad, te teate, et mõni aeg tagasi tegi Jumal teie hulgas valiku, et minu suu läbi kuuleksid teised rahvad evangeeliumi sõna ja usuksid.
2c0f080061	Ja südametundja Jumal näitas, et ta on nad vastu võtnud, andes neile Püha Vaimu nagu meilegi.
2c0f090056	Ta ei ole teinud vahet meie ja nende vahel, sest ta puhastas usu läbi nende südamed.
2c0f0a007b	Mispärast te nüüd kiusate Jumalat, soovides panna jüngrite kaela iket, mida ei ole suutnud kanda ei meie isad ega meie?
2c0f0b0060	Ent meie usume, et me oleme Issanda Jeesuse armu läbi päästetud samal kombel nagu nemadki!“
2c0f0c00a8	Kogudus jäi vaikseks, kui nad kuulasid, kuidas Barnabas ja Paulus jutustasid imelistest tunnustähtedest ja imedest, mida Jumal oli teinud rahvaste hulgas nende läbi.
2c0f0d004e	Kui nad olid jutu lõpetanud, võttis Jakoobus sõna: „Vennad, kuulake mind!
2c0f0e006f	Siimon on meile selgitanud, kuidas Jumal esmalt võttis eesmärgiks valida oma nimele rahvast paganate hulgast.
2c0f0f003d	Sellega lähevad kokku prohvetite sõnad, nagu on kirjutatud:
2c0f10007e	„Pärast seda ma tulen tagasi ja ehitan üles Taaveti langenud telgi. Ja ehitan üles selle varemed ja taastan selle uuesti,
2c0f110076	et muudki inimesed otsiksid Issandat ja kõik rahvad, kelle üle on nimetatud minu nimi, ütleb Issand, kes teeb seda,
2c0f120021	mis on teada igavikust alates.“
2c0f130070	Seepärast otsustan mina, et me ei teeks seda raskeks neile, kes teiste rahvaste seast pöörduvad Jumala poole.
2c0f140085	Vaid selle asemel kirjutaksime neile, et nad hoiduksid ebajumalate ohvrilihast, sugukõlvatusest, lämbunud loomade lihast ja verest.
2c0f150073	Sest Moosest on ammustest aegadest alates kuulutatud igas linnas ning loetud igal hingamispäeval sünagoogides.“
2c0f1600f7	Siis apostlid ja vanemad ühes kogudusega otsustasid valida endi hulgast mõned mehed ja saata need Antiookiasse koos Barnabase ja Paulusega. Nad valisid Juudase (Barsabaseks kutsutu) ja Siilase, kaks meest, kes mõlemad olid juhid vendade hulgas.
2c0f1700b2	Nendega nad saatsid järgmise kirja: Apostlid ja vanemad, teie vennad, Teiste rahvaste päritolu vendadele ja õdedele, kes elavad Antiookias, Süürias ja Kiliikias: Tervitused.
2c0f180097	Me oleme kuulnud, et mõned meie hulgast on välja läinud ilma meie heakskiiduta ja oma kõnedega teid segadusse ajanud ja teie hinge rahutuks teinud.
2c0f19007b	Nõnda me oleme otsustanud valida mõned mehed ja saata need teie juurde koos meie kallite sõprade Barnabase ja Paulusega,
2c0f1a0053	meestega, kes on pannud oma elu kaalule meie Issanda Jeesuse Kristuse nime pärast.
2c0f1b0059	Seepärast me läkitasime Juudase ja Siilase kinnitama suusõnal seda, mida me kirjutame.
2c0f1c0067	Sest Püha Vaim ja meie oleme arvanud heaks, et teid ei tohi koormata millegagi peale nende nõudmiste:
2c0f1d0090	te peate hoiduma ebajumalate ohvrilihast, verest, lämbunud loomade lihast ja sugukõlvatusest. Te teete hästi, kui te neist hoidute. Jumalaga!
2c0f1e0063	Nii nad saadeti teele ja nad tulid alla Antiookiasse, kutsusid kokku koguduse ja andsid kirja üle.
2c0f1f004d	Kui nad seda olid lugenud, said nad rõõmsaks selle julgustava sõnumi üle.
2c0f200067	Juudas ja Siilas, kes ka ise olid prohvetid, julgustasid usklikke mitmete sõnadega ja kinnitasid neid.
2c0f210082	Aga kui nad seal olid mõnda aega viibinud, saatsid usklikud nad rahu õnnistustega minema nende juurde, kes neid olid läkitanud.
2c0f22002a	Ja see tundus hea, et Siilas jääb sinna.
2c0f230051	Aga Paulus ja Barnabas jäid Antiookiasse, õpetades ja kuulutades Issanda sõna.
2c0f24009f	Mõni aeg hiljem ütles Paulus Barnabasele: „Lähme jälle vaatama usklikke kõikides linnades, kus me oleme kuulutanud Issanda sõna, kuidas neil läheb.“
2c0f250045	Barnabas tahtis võtta kaasa ka Johannese, keda kutsutakse Markuseks,
2c0f260077	aga Paulus ei pidanud seda õigeks, sest ta oli neid Pamfüülias maha jätnud ega olnud ühes nendega läinud tööle.
2c0f270071	Sellest tekkis äge vaidlus, nii et nad läksid lahku ning Barnabas võttis kaasa Markuse ja purjetas Küprosele.
2c0f28004f	Paulus valis aga Siilase ja läks teele, jättes usklikud Issanda armu hooleks.
2c0f290039	Ta käis läbi Süüria ja Kiliikia, kinnitades kogudusi.
2c1001008e	Paulus saabus Derbesse ja seejärel Lüstrasse. Ja ennäe, seal elas jünger, Timoteos nimeks, uskliku juuditari poeg. Tema isa oli kreeklane.
2c1002003f	Tema kohta andsid Lüstra ja Ikoonioni usklikud hea tunnistuse.
2c10030097	Paulus soovis teda teekonnale kaasa võtta ja ta lõikas tema ümber kohalike juutide pärast, sest need kõik teadsid, et Timoteose isa oli kreeklane.
2c1004008b	Kui nad käisid linnast linna, andsid nad kogudustele järgimiseks need korraldused, mis apostlid ja vanemad olid Jeruusalemmas otsustanud.
2c10050049	Sel viisil said kogudused tugevaks usus ja nende arv kasvas iga päevaga.
2c10060089	Paulus ja tema kaaslased käisid läbi Früügia ja Galaatia alade, sest Püha Vaim oli keelanud neil sõna kuulutada Aasia provintsides.
2c1007006b	Kui nad jõudsid Müüsia piiri äärde, püüdsid nad matkata Bitüüniasse, kuid Jumala Vaim keelas neid.
2c10080033	Nii tulid nad Müüsiast möödudes alla Troasesse.
2c10090072	Paulus nägi öösel nägemust Makedoonia mehest, kes seisis ja palus teda: „Tule Makedooniasse ja aita meid!“
2c100a00a4	Nii kui Paulus oli nägemust näinud, seadsime endid kohe Makedooniasse minekuks valmis, sest me mõistsime, et Jumal on meid kutsunud neile evangeeliumi kuulutama.
2c100b005f	Me läksime Troases merele ja purjetasime otse Samotraakesse, ja järgmisel päeval Neapolisse.
2c100c007f	Sealt läksime Filippisse, mis on Rooma asundus ja tähtis linn selles Makedoonia osas. Sinna linna me jäime mitmeks päevaks.
2c100d00bd	Hingamispäeval me läksime linnaväravast välja jõe äärde, kus me lootsime leida sobivat paika palvetamiseks. Me istusime maha ja hakkasime juttu rääkima sinna kokku tulnud naistega.
2c100e0098	Üks neist oli Lüüdia, purpurkanga müüja Tüatiira linnast, kes armastas Jumalat. Issand avas tema südame, nii et ta pani tähele Pauluse sõnumit.
2c100f00c1	Aga kui Lüüdia ja ta pere olid ristitud, palus ta meil tulla tema koju. „Kui te peate mind Issandale ustavaks,“ ütles ta, „siis tulge ja peatuge minu majas!“ Ja ta käis meile peale.
2c10100084	Üks kord kohtasime palvepaika minnes orjatari, kellel oli lausuja vaim. Ta teenis oma isandatele suurt raha tuleviku ennustamisega.
2c10110096	See tüdruk käis Pauluse ja meie kannul ja karjus: „Need mehed on kõigekõrgema Jumala sulased, kes kuulutavad teile, kuidas saada päästetud.“
2c101200d2	Seda tegi ta palju päevi. Lõpuks tüütas ta Pauluse nii ära, et too pööras ümber ja ütles vaimule: „Ma käsin sind Jeesuse Kristuse nimel: mine temast välja!“ Ja selsamal tunnil vaim lahkus temast.
2c101300a5	Kui nüüd orjatari isandad said aru, et nende lootus raha teenida on lõppenud, võtsid nad Pauluse ja Siilase kinni ja tirisid nad turuplatsile linnavõimude ette.
2c1014006d	Nad viisid nad linnavanemate ette ja ütlesid: „Need mehed on juudid ja nad tekitavad meie linnas segadust,
2c10150058	levitades kombeid, mida seadus ei luba meil kui roomlastel vastu võtta ega järgida.“
2c10160079	Ja rahvahulk ühines rünnakuga Pauluse ja Siilase vastu. Linnavanemad käskisid neid alasti võtta ja kaigastega peksta.
2c10170077	Ja kui nad olid neid rängalt peksnud, heitsid nad apostlid vanglasse ja käskisid vangivalvurit neid hoolsalt valvata.
2c10180065	Saanud sellised ranged korraldused, heitis valvur nad sisemisse vangikongi ja pani nende jalad pakku.
2c10190070	Umbes südaöö paiku Paulus ja Siilas palvetasid ja laulsid ülistust Jumalale, ja teised vangid kuulasid neid.
2c101a0088	Ja järsku sündis nii suur maavärin, et vangla alusmüürid värisesid. Ja otsekohe avanesid kõik uksed ja kõikide ahelad purunesid.
2c101b0091	Kui nüüd vangivalvur üles ärkas ja nägi vanglauksi lahti olevat, võttis ta mõõga ja kavatses end tappa, arvates, et vangid on põgenenud.
2c101c0047	Aga Paulus hüüdis: „Ära tee enesele kurja! Me oleme kõik siin!“
2c101d0056	Valvur lasi tuua tuld, tormas sisse ja langes värisedes Pauluse ja Siilase ette maha.
2c101e005e	Siis juhatas ta nad välja ja küsis: „Isandad, mis ma pean tegema, et saada päästetud?“
2c101f005a	Nad ütlesid: „Usu Issandasse Jeesusesse, siis saad päästetud sina koos oma perega!“
2c10200048	Ja nad kuulutasid Issanda sõna temale ja kõigile, kes olid tema majas.
2c10210091	Vangivalvur võttis Pauluse ja Siilase selsamal öötunnil endaga kaasa ja pesi nende haavad. Siis ristiti tema, ta pere ja kõik ta kodakondsed.
2c10220076	Ta tõi nad oma koju ja kattis neile laua. Ta oli väga rõõmus, et ta kogu perekonnaga oli hakanud uskuma Jumalasse.
2c10230067	Päeva saabudes läkitasid linnavanemad kohtuteenreid vangivalvurile ütlema: „Vabasta need mehed!“
2c10240072	Vangivalvur teatas Paulusele: „Linnavanemad on käskinud sinu ja Siilase vabaks lasta! Te võite rahus minna!“
2c102500ea	Aga Paulus ütles neile: „Nad on meid avalikult peksnud ilma kohut mõistmata, kuigi me oleme Rooma kodanikud; nad on meid vangi heitnud ja tahavad nüüd meist salaja lahti saada? Ei! Las nad tulevad ja saadavad meid ise välja.“
2c10260081	Kohtuteenrid kandsid sellest linnavanematele ette, ja kui need kuulsid, et Paulus ja Siilas on Rooma kodanikud, lõid nad kartma.
2c1027005b	Nad tulid ja palusid neilt vabandust, tõid nad vanglast välja ja palusid linnast lahkuda.
2c1028008a	Siis tulid Paulus ja Siilas vanglast välja ja läksid Lüüdia juurde, kus nad kohtusid vendadega ja julgustasid neid. Siis nad lahkusid.
2c1101006b	Kui nad olid läinud läbi Amfipolise ja Apolloonia, jõudsid nad Tessaloonikasse, kus oli juudi sünagoog.
2c1102007c	Ja Paulus läks, nagu tal kombeks oli, nende juurde sünagoogi, ja arutles nendega kolmel hingamispäeval Jumala sõna üle,
2c11030093	selgitades ja tõestades, et Messias pidi kannatama ja surnuist üles tõusma. „See Jeesus, keda mina teile kuulutan, ongi Messias!“ ütles ta.
2c11040095	Mõned neist lasksid end veenda ja ühinesid Pauluse ja Siilasega, samuti ühines suur hulk jumalakartlikke kreeklasi ja rohkesti suursuguseid naisi.
2c110500f6	Aga õpetuse vastu seisvad juudid said kadedaks, nad võtsid turuplatsilt kaasa mõningaid kurje mehi ja rahvahulki üles kihutades korraldasid linnas mässu. Nad ründasid Jaasoni maja, otsides Paulust ja Siilast, et neid välja rahva ette tuua.
2c110600ba	Aga kui nad neid ei leidnud, vedasid nad Jaasoni ja mõned teised usklikud linna valitsejate ette ja karjusid: „Need mehed, kes kogu ilma on pea peale pööranud, on nüüd siia tulnud
2c11070081	ja Jaason on nad vastu võtnud. Nad rikuvad keisri korraldusi, rääkides ühest teisest kuningast, keda kutsutakse Jeesuseks!“
2c1108003b	Seda kuuldes rahvahulk ja linna valitsejad ärritusid, kuid
2c1109003a	saades Jaasonilt ja teistelt tagatise, lasksid neil minna.
2c110a0068	Usklikud saatsid Pauluse ja Siilase öö saabudes Beroiasse. Sinna jõudes läksid nad juudi sünagoogi.
2c110b0099	Beroias olid inimesed mõistlikumad kui Tessaloonikas; nemad võtsid sõna vastu innukalt ja uurisid iga päev Pühakirjast, kas Paulus rääkis õigust.
2c110c0059	Paljud juudid hakkasid uskuma, samuti rohkesti kõrgemast seisusest kreeka naisi ja mehi.
2c110d0081	Aga kui Tessaloonika juudid said teada, et Paulus ka Beroias kuulutab Jumala sõna, tulid nad ka sinna rahvahulka üles kihutama.
2c110e005c	Siis usklikud saatsid Pauluse otsekohe mere äärde, Siilas ja Timoteos jäid aga Beroiasse.
2c110f00ad	Pauluse saatjad viisid ta Ateenani ja lahkusid pärast seda, kui nad olid saanud Siilase ja Timoteose jaoks juhtnöörid, et need võimalikult ruttu tuleksid Pauluse juurde.
2c11100061	Aga kui Paulus neid Ateenas ootas, siis ta ärritus vaimus, sest linn oli täis iidolite kujusid.
2c11110081	Ta arutles nüüd sünagoogis juutide ja jumalakartlike kreeklastega ning turuplatsil iga päev nendega, kes juhtusid seal olema.
2c111200ff	Aga mõned epikuurlaste ja stoikute mõttetargad vaidlesid temaga. Mõned küsisid: „Mida see lobasuu tahab öelda?“ Teised arvasid: „Tema näib kuulutavat võõraid jumalusi!“ Sest Paulus kuulutas neile evangeeliumi Jeesusest ja ülestõusmisest.
2c11130084	Nad võtsid ta kinni ja viisid Areopaagile ning ütlesid: „Kas me võime teada saada, mis uus õpetus see on, millest sa kõneled?
2c11140053	Sa tood meie kõrvu võõrastavaid mõtteid. Me tahame teada, mis asjad need on.“
2c11150063	(Kõik ateenlased ja seal elavad võõramaalased veetsid oma aega jutustades ja uudiseid kuulates.)
2c1116006c	Aga Paulus seisis keset Areopaagi ning ütles: „Ateena mehed! Ma näen, et te olete väga jumalakartlikud.
2c111700c0	Kui ma käisin läbi teie linna ja vaatasin paiku, mida te kummardate, märkasin ka üht altarit kirjaga: Tundmatule jumalale. Keda teie nüüd tundmatuna kummardate, teda kuulutan mina teile.
2c11180074	Jumal, kes on teinud maailma ja kõik selle sees, kes taeva ja maa Issandana ei ela inimkätega tehtud pühakodades,
2c1119007d	ega lase ennast inimkätega teenida, justkui tal oleks midagi vaja, sest tema ise annab kõikidele elu ja hingamise ja kõik.
2c111a0089	Tema on teinud ühestainsast terve inimkonna kõige maa peale elama ning on neile seadnud ettemääratud ajad ja nende asukohtade piirid.
2c111b0078	Ja Jumal soovis, et inimesed teda otsiksid, et nad teda tunneksid ja leiaksid. Sest ta on meile kõigile väga lähedal.
2c111c0087	Tema tõttu me elame ja liigume ja temas on meie olemine. Sest nagu mõned teie enda luuletajad on öelnud: „Meie oleme tema sugu.“
2c111d00a1	Kui me nüüd oleme Jumala sugu, ei tohiks me arvata, et jumalikkus on nagu kuld-, hõbe- ja kivikujutised, mille on loonud inimesed oma leidlikkuse ja oskusega.
2c111e0089	Jumal on küll sellisest teadmatusest minevikus mööda vaadanud, kuid nüüd käsib ta kõigil inimestel kõigis paigus meelt parandada.
2c111f00c5	Sest ta on seadnud päeva, mil ta mõistab õiglaselt kohut kogu maailma üle mehe läbi, kelle ta on määranud, ja ta on andnud kõigile tõestuse sellega, et on tema üles äratanud surnuist.“
2c11200090	Kui need kuulsid surnute ülestõusmisest, hakkasid mõned neist irvitama, teised aga ütlesid: „Me tahame sind selles asjas kuulda uuesti!“
2c11210023	Nõnda lahkus Paulus nende juurest.
2c11220097	Ent mõned mehed ühinesid temaga ja said usklikuks; nende hulgas oli Areopaagi liige Dionüüsios, samuti üks naine nimega Damaris, ja mitmed teised.
2c12010043	Pärast neid sündmusi lahkus Paulus Ateenast ja tuli Korintosesse.
2c120200c9	Seal ta kohtus Akvilaga, Pontosest pärit juudiga, kes oli hiljuti tulnud Itaaliast oma naise Priskillaga, sest keiser Klaudius oli käskinud kõigil juutidel Roomast lahkuda. Nende juurde tuli Paulus,
2c12030051	ja kuna ta oli telgimeister nagu nemadki, jäi ta sinna ja töötas koos nendega.
2c12040055	Igal hingamispäeval Paulus väitles sünagoogis, püüdes veenda juute ja kreeklasi.
2c12050092	Kui Siilas ja Timoteos Makedooniast sinna jõudsid, pühendus Paulus täielikult sõna kuulutamisele ja tunnistas juutidele, et Jeesus on Messias.
